Ac9h4d3c2s 
Qc9s5h5d4s Ts8h8d4h3h QhJc8s8d3d 9c6s5s4s3s 
KhTc7d4s2c Td8h7c4s3s Tc8h7s7d3h Kd8d5c4h3d 
Jd5d4s2s2h Kh8h7c4d2s As8d7c6h2h Tc8h7s5d2d 
8d7h5d2s2d JcTd8h3s2s Qd4s4c3d2s Ks8s5d4c3s 
7c5h3d2d2c Qh9s8s5s2d 9h8h7h5c2h QcTh8d3s3d 
KdJs7h5c2h 8h7c6h4s2h 8s7s6h6c3s AsQs7h2s2d 
Kh9s6h3h3c 9d8h5s5d2c KcJc7h4c2s AcTh6d5s2h 
Jd9s6h5h2c KcJh8h6s2h QsJc8h8c3c Kc7c5h5d2s 
Ks5h5c3h2c QdTd7c4d2s Qc6d4c2s2d As8s4c3s3h 
QsJc3d2s2h JsTd4h3c2d Qs9h9d7c2s Qs5h3s3c2h 
As9s5s4s4c QsQhQd9d7h KsTd5h3s2s KdTc6c4h2c 
Qs8c7h5h3d Js8d4s3c2d Qh6d6c5s2h QcTc7s4c2d 
Qh4h4d3s2d 9c8d4h2h2d Qs8h8d6c3c Tc8s8d5d2d 
KdTh9s3c2c Tc9c7c6s2c Td9d8d4s2c Jh9h6h6d4h 
Ah5s5c3c2s Qd5c3h3d2c QcJh7h3s2s Ah5c4d2d2c 
Kd7d7c5d2h Qs9d5c4c3h Qc6s5h3s2h Jc9h3d3c2h 
9d7d6d5d2h Th7c6h3d2c Kc7d5d4d3s Th8s7c5h2h 
9c8h8d4s3h 9h7h5h5d3h Jh8d5c4c3s JcTs4s3h2s 
Ad6h5s5c3h KcJh7s5d2d 9d8s6h4h2c QcTc8h3d2c 
KhJc7h3d2s Qs7h4s4h2d JcTh4c3d2c 7s5s5d4c3s 
Ks9s7h4s4d 6c5s5c4h3c QsTd6h6c2c Kh8h7s7c2h 
6d5s3s2s2d Ts8s8h3s3d AcKcTc3c2c KhTs6h3h2c 
QhJd4h4c2h As8h6h6c3d As6d5h5c3d KhQc9h4h2d 
AsJh5c4c2d As6s5s5d2s Kc9s8h5s3d Js9c6d5h2d 
Qd6c5c4c3s QhTh7s7c2d KcJs4s4d3s AcTd6s5h2d 
Ks5c4d2d2c Kc9s8h4d2c Qd7d7c6h3d JhTs8d3d2c 
Jh5d4c3h2d KsJh7c5d2c Js9h9c6d2c Qs7s6h2h2d 
Qc8s6d4c2h Qs7h7c6h3d Th7h5s4h3h Kh9s7d4d2s 
Th9h4h4c3d Qd9s3s2d2c 8s6h4d3d2h 9d5h4s3s2d 
9d8c4s2s2c Qc7c6s3s2d AsQh9c3d2h Th6s6d5c3s 
Jd7s7c6h3c QhQdQc9d7c 8s7c5s2s2d 9c6s4s3d2d 
9h6d4h3c2c Kc5h5c2d2c KsQc8d5h3h As9s5d2s2h 
Qs7d5d2s2d Qc5d4s4c3h JdTd7d5s2d AdKc6c3s2c 
Qc8h6h4s4h Tc8s6c3h3d Jd5c4s3d2c Qd8h7d6d2c 
Ad9d5d4d4c JsTc7h4d2d Ks7s7h4d3s Jh7h6c4d3h 
Ad9s7c4d2d AdJs7h5h2h Qs6c4s2h2c Jd9s7h4h3c 
Th9c7d4s2h Tc6s6h5d3s KdTs5c3h3c Ah7d6d4c3d 
6d5h4h3h2c Js7h7d2s2h Kc9c5s5h2d AdTs6c5h2s 
7c5c4s3h3d Jc8h8d3h2d 8s7h6s3s3c 7c5d4h3s3h 
Jc8d6s5h2h Kc6s6d2h2c Kh9h6h5h2d KhQd9c5c2c 
Jd9h7c3c2h 9h9d7d5d2d Kc9s3c2s2d 7h7d5c4s2s 
Qd8s6h5c2c JdTd8d3s3d Js8d7c4h2s Qc8h5d4c3c 
AhJs8c6d2c 9s5d4h3s2d Td9h7s7h2h Ks9s5s5c3d 
JsJd8s4s2s AdJd7h3d2c Kc8d7h4c3c Kh9c8d4s3h 
KdJs8s8c2s AsQd5d3c2d Qd6s6c5c3c AhJs8s8h8c 
KsJs8s6h3s Qc8s5d4c3c 9h9c6c4s2d 6d5h4c3s3d 
Th8h7c5d2h Ts9s7s6c2s Ad7s6h5h2c Qs7d7c4h4c 
QsJh8h8d3h KhJd7c2d2c JcTs4h4c2c Ac9s4d3s3d 
Tc8c6c3s2s Jc6d5d4h3d Js9c7h4c3c 5d4h4c3s3d 
AsQd5c3d2d 8d7d5d3h2h Ks9s5s5h3d Js8h7h3s2c 
Qs7d7c6d3h Qc9s8d7d3d JsTd6c4c2c Kc9h9d8d4d 
AsTd6s2s2h AdKc9c4c2s 9d8s7s6s2s AdTs3c2s2c 
Qd9h5s5h4h Qh9c5s5d3s 9c6d4s3c2s Kc9h9c8c2c 
Td8c5h4h2h AdTs6c4c3c Js6h5d4h4c Qc8d7h7d4d 
JsTs4s3h2c Qh6c5s5c4c Qc8d6h5h3h 9c8s5d5c2h 
Jc9d7h4h3s Kc9c6h6c4c Js7c6h5s2d Tc5d4d3h2c 
9d6c4h3d2h Qh8h6s5h3h Qd8s7c4s2c 9h7s4s4h2c 
Ks7d4c3d3c Kd9s7h7c3s Js5d4d3s2s Kc9d8h4s3c 
ThTc6d2s2d Jh6d5c4h2s Ts6s5c3s2c Kd9h9d3s3d 
9s6d4s3h2h QsQhQcTs6h Ac8c4s4c2h Qh9c5s5c4c 
Js9s3h3c2c Js7d5c4c3c Ad9c7s4c2s Kd8h8d3h2h 
Kc7s4h3d3c Jd5h4d3c2h Kh7h6s3h3c KdTc5s4h2h 
9d8c5h4s3c KcQsJc7c2c JdJc8c3h2s Qs9h6s6d2s 
Qh8s4h2s2d QcTc7h5c2s QsJd3c2s2h JsTc4s3h2s 
Jd6h5s4s4c Jh8s5c3c2s JhTh4c3h2d KcQh5s3s2d 
KdTc5h3d2d QsJc7c3d2d KcTh7s5h2h Tc8s7d3c2s 
Js7d6c5h2s Ts8c6d4h2c Qd5s4h4d3c Td8h8c5s2s 
AcJc7s3d2c Th7c6h3s2s Ah7h5c3s2h 9h7h4s4d2d 
AhJhJdJc2d JcTs5d3h2h QdQc8s4s2s Th7s6c3s2h 
KsTh8h6h2h Kd9s8h5h5c Tc6s5s3d2d Kh8s7c5s3s 
Jh9d7d4s3d Qh8d5h4h3c Kd5d3d3c2c Td9c7s5s2s 
Ks9d7d4h2h 8h7h6d6c2s 9h8c6h4d3h 9d8s4c2d2c 
AdTh5c4s2h Qc9c8c5c2s QsTd4c3h3c Qc8h7h4s2s 
AsJs7c3s2h Jh9d6c3c2d QdTh5h4h2h Qh6c5c4c3d 
JsJh9d3c2d AcTd5h4h2s Jc9h9d6d2d QsTs4h4c2d 
7d6c4s4h3d QhTc5d3h2h Jc9s7s4d3s QsJd8h8c2h 
KcQd8s5s3s Ac8h6d5s2s Qs8s8d5h2s AhQh7h3h3c 
Js8c7c4h4c QsTc5h3s2s KsJs8h8c2s Kc9d6h3h2d 
AsTh9d3d2d JcTs7d7c2c Qs7s5h3c2h KsQc8h5h3h 
Jc7s6h5c2d Qd7h6c5s2d QhJc8s7s3s JhTh4h3s2d 
Ac8s3d3c2h 8d6h6c4s2c Qc8h5s4c3c 9s7s6s5s2d 
9h9d4d3d3c Qh7d7c5s3c Qc9c8d5c2c KsQs8h8c2d 
KdJs8c4h2s QsJc9h3s2s Ks6h5d5c3h Qs8c4s3s3c 
Ah8s8d6d2c Qh7c6d4d2c Qs8c7d6d3h Kc8d6s6c2c 
Qh9d8d5d2s AhTh4h3h3c Qs9d9c4h4d Kh8h8c4s3d 
9c5d4d3s2c AhTh6c5h2h KcTs5c4c2c KhJc7s5d2s 
Qs9h9c7s2d 9c8h5d5c2s 9c8h5s4c3c Ad6h5h5c3h 
Ad9d8d7d2d As8d4s3s3h AhTs5d4c2s Ah9s4c3h2d 
AcQhQdQc5s KdTc3s3d2h Jd9h9c4s2c QsJc9s7s2s 
KhQc8h4h3d QdJh6c3d2s Qs7h7c6d3c Jc9s9d6h2s 
Ad8s6h5c2h Qc8h8d5h3s KcQh9d5d2d Qd9d8d7d3h 
Ah8c7c6s2d QcJs7s3h2h Jd9s6c4h4c Jd8h7h6s3h 
JdTs4d2h2d 6h5h5c4d3h KhJh8d8c2h 5s5c4c3h3c 
Jc9s7d4d3h Qs9h7h7d4h Ah9s6s6d4s KsJc3d2s2h 
KsKc2h2d2c Qs9c6d5d2h Js8s8h3s2h KsKdKc9c2d 
Qc8c6d5c3c Jd6s5d4h4d Jc6d5h4s3s Jh8h6h4s4d 
AhKh6h3h2s KdJh7s6h2c Qh8h8c5d2h Js9s8c4s4d 
KcTh8d5s2d KcTc5h3d2c KcTd5h3c2c As9h4h4d3d 
Tc8d7h5c2c Tc7h5s5d3d Td7h4s2h2d Kc9c3h2s2h 
9c4d4c2h2d 8h7h6c4d2h AdQd7d6s2d 8c7d6s4s2s 
Ts9s4s4d3c Qh9s9c8d3d Qc8d4c3d3c 9h6s4s2s2h 
Tc5c4h3d2d 9d8c6s6c2c Jc6c5h3h2c Kd9s5h3d2c 
Jc9h8c2s2d AdQh5h3c2h Jc8c6s2s2c ThTc9c3c2c 
AsAhAdAc8c Kc8c7h6c3c Jc9d4h4d2h Kd6s6d2h2c 
9s6s5s5c2d Qc6s4c2s2h Jh9s9d4h2c KcJd7s5h2h 
Ac9s9h3h3d JsJh6h4h2c KdJd8h7d3d 8d7d5d3s2s 
Js6c4s4h2h AsJc8c3h3c KdTh8c5s2c KhTs6s4s2c 
Qc6h4d4c3s 9d6s6h5c2h Ts7c4d4c2s Td5h4h3s2d 
Ks8d4c3d2s AdQh7h4h3h 9c8h7c3h2c Ad9h8s3h3c 
AhQs6d4s2s Th8c7h3c2c Tc5h4c3h2s Jh7s7h4s2h 
AhTs7s7c2s Qs7d5d5c4d 6c5c4c3s2h 9s8c5h4s2d 
Js9c8s4s4d Ts9c3c2s2c Ts8c5d3c2d Js9c5h5c2d 
AcKd7h4h2h 9d9c4d3d2c 9s7s4d4c2d JsTh5h2d2c 
JsJd9h3c2h JsJd8c3h2d Ts8h7s7c2s Kd7s5s4s4h 
Qs8h8d6h3h Tc8s5h3s2h 9c7c6c5c2h KhTh5c2s2h 
Ah8h6s4h3h AdQs6s4s2h Kh8h8c4d3s 7s5d4s3s3c 
KdTs6c4c2h QcTc8d3c2h AhJh9c3h2h Ts8c5s5d3s 
Ah6d6c5d2s QsJh8h8c3h Kc7h6h4d3s Th6d6c5s3s 
Jh7d6d2s2h Jd9d3s3h2s 9h7d4h4d2s Kh8d5s4d4c 
Ad9c7d3s2d AhTh4c2s2h 7s7d6h4h2h Kd9s7h4h2s 
JhJd5c3h2s KhTc5c4d2c AcQd9h6h2h Kc7d5d4d3h 
AsKd7d2d2c Tc8c5d3c2d Qc9s8d7h3d 8h7d7c4d3d 
AdJs6h5c2c Js6c4d3s2d TsTc6h4s2s As9h8h6d2h 
Kd9h3d2h2c Js9c3s3d2c AhJd8d4d3d QhJs4h3h2d 
Js9c7d5h2d JhJc8s3d2h KhJd8d6d3s 4d3s3c2d2c 
KsTc5d4h2h Kc9s3s3h2c 6d5h4s2h2c Kd9d8s8h2d 
7h7c6d4d2d AhTc9c5c2c Qd9s6d6c2d Jh9h8s4h4c 
Ad9c8s3h3c Qc8c6s6c3h Tc6h6d5d3s AhQc7d5d2d 
Td7s5c3d2s 9h8s7d2d2c Kd9d8c4s2h 9s9h5d4h2c 
AsJd6h6d3d AdQc6h5h2h Ac7s6h5h2d Jc9d6s5s2h 
JhTd3c2s2d Jh8d6d3h2c Qh8d4h2d2c Jd6c4h3d2h 
Ac8c6c4c3s Td8s6d3h3c Jc6s5s4h3s Tc7h6c3s2s 
Kc9c3h2h2d 9h8d5c4h2s Jc8s8d5c2c JcTs5h3d2d 
AcJc9d3c2c Jc9c8h4d4c KdJh9s6h2h Td4d4c2d2c 
As7s6s5d2s AdTd4s2h2d AhJs7c4d2s KdQh7c4s4c 
QdTd8d4d3d KsQc9s3s3h 7s5d4s3s3h JdTd9d3d2d 
KhTd5d3d3c 7c5d3d3c2s Ts6c5c4c3h AdQc6c3h3c 
Kc7s6s4d3h Kd7s7d4h3d 9c8d6s6c2c QdJc8s4h3h 
KhJc8s8c2c Qc7c4h3h3c Kd9s9c5s3s Jc6s4s4d3d 
QhQdQc5h5d QdTs7h4s2c Jd9h8d3s3c Th9h7h6c2h 
6h6c4h2s2h Js8s7s7h3c 6s5h5c4d2s 8c7s7h4s3s 
Jd9d8d6s3d Js7c5d4d3d KsQd8h8c4c QcTh7h6s2h 
Qh9s5s4d3c Kc9h9c3d3c KdQc8c7h2c Td8c5s4h2h 
Qs9d3d2s2c Ts9h3h2s2h Kd9h8s5h5c Jd8s5h4c2h 
KdJd7c4d2s Js9h8h4d2c Th9h5s5c2d Js8d5s4s2c 
Ah9d7c3s3d 7h6c5s5c2d Ks8s7d6s3s Ks9h5c3s2d 
QcJd5h2s2d KhTc6c3s3c Jc8h7h3c2s KcJc6s6h2d 
AsQc8h4d2d JsTc4s4d2s QdTd8h3s2d Kc9s9c3d3c 
Td7c6s5d2h Kc7h7d6s3h Js8h7c4d2s 8h7d6d4c2d 
6h5s4d4c3c Jd8s8h5c2c Qh9h7c4c2h Qh9d5c4c3s 
JsJh4c2d2c Jh8s5c4d2c Jd8s8d4c2h 9d6s5h5d2c 
Kc9h9c3s3c Qh9s9d7c2h As9d7c5c2h KhTh8h6h3h 
QhTh4h3c2d Jc8s5h4d3d Kd9d8h4s4c QhJd8c2s2h 
AdQs8h4c2h Jd8s7s5s2h Ks9d3s2h2d Qh7s7d6c3s 
Th8h7s4h2c QsJc8h3d2s AsKd9h4d2d Ks8c4h3c2s 
9h8h6s4h3c KsTh5d3s2s KhJh6s6c2d Qc8c7c5h5c 
Qs6h5h4h3d Kd8d7d5h3d Ac8s8d6h3d JhJc8c4c2c 
Tc8c5h4c2d Td8h7c5d2d KdQc8s6h2h QdJc6h3d2s 
8h7h7c6s2h Ac9c5s2d2c Js9d6c5h2c 9d6d5c4d2h 
9h8c7s2s2d Qc9s3s2d2c Qs6h5s4d2s Td6h6c5c3s 
Kc9d6c3h3c KcJs7c3h2d Kd8c7h5s3h Td5d4h3s2s 
Qh5h3d3c2d Jh9d7c4c3s AcKh7h2s2h AhQc8c4s2c 
Qc9h3h2s2c Tc8h7d4d3s Td7c4c3s2d Qd6h5c2h2c 
Tc6d5d3s2s 8d6d5s5c2d Kh8d7c5s3c KcJh7c3s2d 
Kd9c8s7h3c Tc7s6d5c2h Ah7s7d4c3c Jh5h4h4c2c 
Kh9s9h3h3c Ac9c8c7c3c Ad8d4c3s3d KdTd5d4d3d 
Qh5d3s3h2s Jh6s6h3d3c Jh7d7c2h2c 9h7h5h3h3c 
Ac9d5s5h4s AsJc8c4c3c AcQh6h4h2d AsQd6d4d2c 
Td9d8s5d2d 9s9h5d4s2c Ac8d6h5s2h AhTd9s3s2s 
QsQhQdJcTh Ts8h4s3d2d Td9d6d5d2h AdQc8s4h2s 
Kh9h6h5h2s Jh5h4d2d2c KhTs8d5d2d Tc9s6c4c2h 
9h6d5s5d2c 6h6c4d2s2d JdTh5c3s2s Ad6s6c5c2h 
Ad9d3s2s2d Ks8s6d6c3s 9s6c4s3d2d Td8s7d3s2s 
KcJs8s6s3d 7s4s4d3s3h Qh8s4c2h2c Qs7h7d6c3h 
KdQsJd7d2d QsTs6h6c2s Jc5c4h2s2h Td7d5h3s3c 
Ks8s8c7d2s AhQhJh6h2h 9s5c4h3c2s KsKhKc7h3c 
7h6d6c2s2c 9h6h5s4h2d Js8h5c3c2h Qd9s9c4h4c 
Jd7s7h5c3c 9s8d6s6c2s Ac8s6s5d2h 9h8c5s4d3c 
Qh8c7h6h2s JcTs3d2s2h AdQc8h4h2s JhTs5d3c2c 
Jh6s5c4s4d KdJc7s5h2s AcQc6h2d2c Ac7s7d4s3s 
Td9s4h4c3c Ks9s7d4s3c Ks9s8s7s2d QhTs6d6c2c 
AcTd6d4h3d Jd9h5c3s2d JcTs4c3c2d Kd7d5d3h3c 
Qd7h6d6c3d Jc6s5d3s2d Qh7s7d4s4c 9s8h6h3h3d 
8d7d6h4c2d 9d8d5h5c2s 7d7c5s4h2h 6s5h4h3h2c 
As9c8c6h2c Tc8d6c3s3h Jd9s4s4h2h 9c5s5d3c2d 
9h8d7d3h2h AsQc8h2d2c KcJc7c4h2s AdTs4s4c3h 
Ac7s5s3s3h 8h7s7d3h2s Jh9c8h4h4d KhTc8s5d2s 
KhQc9d5d2d KdQd7h4d3d Ks9s5h5c2d Ac7h6h4d3h 
QsTh5h4h2h 9c6s4c3d2s Kh9s8d7c2s AdTc7h6s2s 
Qd9s6c5c2h Kd8d5c4s3d Jc6h5h4h3s 9h8d6h4s3h 
Jd8s8c7c2h Js9h7c4d3d Kd9h3d3c2h KhJs3h2d2c 
Qd9h8h5h2c Kc8s7d4s2d Jc8h6h4s4d AdQc3h2s2c 
AhTc7d5c2c Ks8h8c7s2s AsKc7c2h2c Jc8h7h4h4d 
AdKd6h3d2d Kc8d8c7h3c Qd9c7c3c2d Ac8c4d3h3c 
9s8c5h4d3c Ks9c8h8d4h Qs8d7s6s2h KhJd7s5c2s 
Js7c6d5h2s TsTc6d5h2d Ts8s8d3h2c Jc6s5s4d3s 
8c5s5c3h2h AcQh8h2s2d As8h8c6d3c 6s6h5h3d2c 
JcTc4c3d2s KhJs5d3d3c Ts5s4h3d2d AcQd6d4d2h 
Ks9s6s6h4s AhQh8h3h3c KcJc6s6c3c Js9d9c4s2h 
KhJs7c5d2c Kh9h7c4h4d QdJc7s7h3c Th9d8c3s2d 
Jh9s9d6s2s Ts5d4d4c2c Tc8d6c5c2c QsJc4s3s2h 
AsQd8c4h2c Js8h4s3c2h Js9c8s4s4h Th9s8s4s2d 
Ts8d7h4c3c Jh9h6h4s4c Qd9s8h7h3h Qh9h9c7h3h 
AhQc5h3h2h Td8s7h5c2c 8s7c6c3s2s Th9c7s4d2h 
Js9s9d3c2h KhQc8s8d2h KhTd9c3s2s KcTc5c3s2d 
8d7d6h6c2s Kh8d4d3s2h Qd9c5d4h2s Jc9s4s4h2h 
Jc8c7s5h2c 8s7s6s3c2c KcTs5d3h3d Jc6s5c4d4c 
Jd7c5h4h3h Kd8h7c4d3d Qd7c5c2d2c As9d7s3h2s 
Jd9h9c6s2c Ks8d6s4s3h Kd9d8c4s4h Jd8c7d5s2d 
Td9h8c3s2c Jh8s7c5c2d Qd8c5h4d3d 8h7h6s4h2d 
Tc7s7c3h2h Jd8d6d4s4h 9c6s6d5h2s KdQh9d3s3d 
JsTh8d3d2c Jd8s7d5h2d Js8c6c4h4d QdJh5h2h2c 
QhJc6s4c2c Tc9d7h4s2c QcJs4h4c2c 7h7c6s4s2s 
Ts9s5h5d2c AsJd5d4h2d Qh6s5s5d4s Qd8h8c5s3s 
Kd9s8c3s3c JsTh7c4d2d Kd7h4d3h2h Jh8s4h3d2s 
Kh9d8s5d5c JsJd5c4h2c Jh8s7h3c2s KhQh8h8c4h 
KcJc7s4c2d AhTs3c2s2c KhTh5s5h2c QdJd9d6d2s 
KhQd9s8s3s AcTsThTc9d 8d8c7s4s3s Qh9s3s3h2c 
AhJsJhJc2c Kh9c6h3s3h 4h3d3c2h2d QcJd8s2h2c 
AhTs6d4d3d JsTd4c3h2d KcTc4s4h2d Tc4h4c2h2c 
Jd7h7d6d3c 9s8h7s4s3c Qs8d8c6h3h 9s8h5h4d2c 
KdQd8h4d3s QcJh8s8d3d Tc8h7h5s2h 9h6d4s3h2s 
Qh8d6d4d4c Jd8s6h5s2s JsTh4d4c2h Tc8d7h5s2s 
Qs7h7c5d3h Tc7h5c3h2d 9d5h4c3c2h 9d9c6c4s2h 
Jc9d5s4s3s QcJc5s2h2c Qs9c5c4d3c 7d6s6c4c2h 
Qs8h8d5s2s Qh7s5s4d3c 9h8d6h4h3c 7d6s4d3h3d 
Qd7h5s5h4h Ts7c5d3s2d Tc8c6s3c2s Qd6s4d2s2c 
Kc9h8d6d2s Qd5d3h3c2c KdJc3s3h2d KsQs8s5s4s 
Qs8h8c6s3s Jc8s6s3d2c ThTc6s4c2c Ad7s3d3c2h 
Kc9h8d7s3h Kh8d8c5h3h AdTc3s2s2c 8h8d4s2d2c 
9h5h5c4c2h Ts8h5d5c3s Ad8s8c6c2h Qs6c5s4h2s 
Qc6s5d3s2d 9d8s6s4h3s TsTd6h4d2c QhJd8c4s3s 
KcQh8s8d2c Kc5d4h2h2d Ah9h9c4h2d Qh8s8d6h3h 
QdJh4d4c2d Kh7d6h4h3h Qh9d7d3h2d Kc8s6c4c3d 
Jd8h8c5s2s As9s9d4s2h 8s7s6h3h2s Ad9s9d4h2d 
Th8s7d7c2s 9h5d4d4c2c QcTc4h4d2s 8d7s5d2h2d 
6s6h4s2s2c Qd8s8h5d2d 8s6d6c4h2c Ts7h6s3c2h 
Ts6d5h5c4d 7d5h4s3s3c QsTs7c5s2h Th9h8h4s2d 
AdQc9h3s2c Td6s4h2h2d 7s6h6c4c2d Ts6d5h5d4d 
QcTd8s3d2h AhTs4s4c3d QhJs9s2s2d Kc6h6d2s2c 
Jc9h3s2s2c Th9c8d3s2d 6h5c4d2s2c Ts8h5d3h2d 
Jh8h5h5c3s 9d9c4s3s3h Tc8s5c4d2c Td9s6s6h2s 
8h6d4d3s2h Jc7h6h2s2c JsJc8d3h2c Qc8s8h4s4d 
KsKdKc9d2s Qd8s8c5c3h Tc8h5s3h2s KcJc9d7c2c 
Jd8h7h6c3h Kd5h5d2d2c Th8d7c4s3s Qh5c3s2h2c 
AdQh9h7h2h Kd8s5h4s4c Td9s6s4s3s 8s7d6c4c2c 
Jh6h5s5c4h AdJh8h6h2h QcJc9c7s2c Tc8h5s4h3h 
As7c3s3d2h KsKdKc3c2s Kh8h5c3h2c Ts6h4d2s2d 
KcTh6h4h2s Js5c4d3s2c AsJs7h3s2d 7d6d4d3s3c 
QhJh5d5c2h Td8h8d3d3c KdJc8h7h2h Kh9h8d6h2h 
Qc7c5d3d2d Jd6c5s5h4c Ad7h5h3h3c Th8c7s5d2s 
9d8s5s2h2c Js8h7c4d3s KhQh4d3c2h Jh9c7s4d3d 
9d8s6s4s3h Td9s9d4d2d KsQs8s6d3s KcQs8d7s3s 
Kc8s7d6h3h Ts7s6s6c3s 8c7s6c4c2d Td9d8h3d2c 
Jc8d5s4h3d 9c8s4h2s2h AcKs9s4s2d Tc9c8d3c2h 
Jc8h6d5s2d Jh8s8d5c2c Jh8d6c4h3s Qs5s3h3c2c 
Jh7d4h4d2c Tc5s4s3h2c 8h8c4s2h2d Qs7s4c3s3c 
Qh9d6c2d2c Th9c4s3s3d QhJc7d4s3s Jc8h7h4s4h 
As8c3s3h2d JsJh8h3d2c Ts7d5c3s2c QsJs5d5c2s 
AsQd6d4d3d 9s6s5s5h4s AsJh7d5d2d Jc7c5s4c3c 
Th8h7s4h3c QsJd9s3h2s KdQs4s3s2h Ac8s8h6d3h 
Ts8c4s3d2d Kd5d3h3d2h Tc7h5h3c2s Js9h6s4s3d 
KsQh4h4c2h 7s5c3h2s2h Tc5d5c3s3c JcTh5d3c2c 
As8h7c6d2d KsQs4c3d2s AsTd7d7c2d KhJs8s8d2s 
Kh8c7s4c2s Kh9c7d4d2c Qs8c7h7d4c 9s5h4s4h2h 
KdQd8c3c2d Tc7c6s6h3c Kc9s4s2s2c KhTh9h4h3h 
Jh9c6s4s4d QdTd4h4c2s 9d5c4d3h2h 9h6h5h5d2c 
Jh9d5s4s3s Kh5s4d2s2d KdQh6s3h2c Kh8h6s6c3h 
Qs6h6d4s3c Qc8c6s6c3d Jd6d4h4c2c JhJc5d3c2s 
Js9c6h2h2c AsJd8d6d3d 9h6h5h5c2s Kc7s5c3d3c 
QsJsJhJc8h Qs8h8d5h3c Tc8h8d7s3s 9c8d7c4c3s 
QsJd7d3h2h JdTc6s4s2s KhJc5s3s3d As7h6c5c2d 
QdJc9s4h2h Jd9h7s4s3c Jh8d5c4s2c Qc8d6h5h2h 
Qh5d3s2h2d Jd9h6c4h3s QsJs7s5d2h 9d7d5d3d3c 
QsJd8d8c3d 9h7h6h5h2c AcTd5s4s2h Ts8h8c5c2c 
AsTd9d5d2d Qs8d6c5h2h Qd6h5d4d2s Jh6s4h4c2c 
TdTc6h4c2c AdJc7s4h2c Qh9d8s7c3s KsTc6c4c2h 
Jh7h7d6h4h Kc8d4h3d2c Qh8s8c4s4d Kh7d6d4s3d 
Jh9s3d2h2d Qd9h8s7c3s AcQh9s3d2h 9h8s7s6s2s 
Ts9s5h5c2d Ac8c4h3d3c KcJc6s6d2h Jd9h6c5c2s 
JcTs7d3c2h 8h6h5d5c2h Jd8d7s7d3h KcJc3s3h2d 
9s8h6d4d2c Qs9h9c7d2s 5d4s4c3h3d Ts9d7h5h2h 
Kc7s7c5d2c 9d5s4d3h2h Kd9h8s7c3h JcTc8c2s2c 
QdTh5h5c2s KhJh7s4h2c Js8d5c3c2d 9d8h5d5c2s 
9h5s4s3h2h Js9h7d5c2d QdJc8s8h2c AcQd5s5h2s 
Ac8h7d6s2s KhTc5d4s2s 9h8s6s4c3s QdTh5d3c2d 
8s7s6h6d3s Jd8h6c5s2c Qh6d5d4s3d KhJd7h6s2h 
Jd9d3h3c2h Kd9s8d7d3d Qh8d4s2s2h Jc7c6d4s3c 
Qs7s7d6c3s Js6h5c4d4c Qh8s6s4s4d QsJs7s5h2c 
Jh6d5s5c4d Ts9s6d3h2c KhTs7d4c2s Th8c7s7d2c 
AsQs6d2s2h Kd8s4c3s2d 8c7c6d4c2h AdTc5h4s2c 
Jh7c6d4d2c AsQh6c5c2c 9c8h7d3c2d QcTc8c4d2c 
Qh9h8h5s5h QcJd7h7c3c KcJd8h4s2d Jc5s4s3c2c 
AdTd6c5d2d As9c7d3h3c Ks9d8c7h2d Js7s6h4s3c 
QhJs6c4d2c 7d6d4d3h3c QsJc8h4h2d KdTh4h4c3s 
Jd9s9d3h2c Qs9c7c6c3c Kc5h5d3h2d TsTd9d3d2d 
Qs9h8s6s2s Kc4h4c3c2h 9s6c4s3h2c Ac9c5h5c3c 
Kc8s4s3h2c AsJc9s3s2s Ac8s8d6s2h Jh8s7s6d3s 
AsQc9c7c2c Ah8c7s6d2d Qc9d5d4s4h AhQd6c5c2c 
Tc6h5h3s2s Td9d5s5h2c Kc8d5s4h4d Kc8s7h6d3d 
Ah7s5s3s3d JhTd7s4c2c KsTh8d5d2d Js8s7s7c2h 
Ks8s5s5d4s AcQcJhJdJc Qh7d5d2h2d 8h7h6d4h2s 
As8d6d6c3h KsKhKd3h2d 6s5d4c2h2d 9s8s6c4h3s 
8c7d6c4c2h AcQh9s6s2s Kh9d8s5c3c AcQc5c3c2h 
Td8h7s3d3c As8c7d5c2c Ah9s7h3d2h Jh5h4s2s2c 
7h5c3s2s2h Kh7c6c4s3d AhJd7s7d2c AcJc7h3s2c 
KcTd4h3s3d KhTc4s3d3c AsTs4s3s3d Js8c6d5h2d 
Ad7c3h3d2s QhTh8s3c2h 9c8d7c3d2c Kd9h8s6s3s 
Ks9d8c7h3d 9c5s4c3d2d Ts7s5h5c3s AcTs7h6d2d 
KhQh8s2s2h KcJc7d4c2h KcTs7d3h2c Ts6h6c5h3d 
Td7d6h2h2d Ah9c4s3h2d AsQd8d4h2d Kd8d7s4c2h 
JsTc4h3d2c Td7c5s5c3h Kc8c4s2s2d 9c8h6d4d2s 
AdJs6c4h3c JhTc5s3d2d Jh8d8c7c2s AsTc5h4h2d 
Qd7s5s5c4s Kd9c7s4s2c AhQd7h3h2c KdQd4d3h3d 
Tc7s7d4s3s Ah7h4h4c2d Qh9c7d7c4c Ks7s7h5d2s 
Jd5s4h3d2s QdJc9d3s2d Ks8c6s4s3d As9s9d5s2s 
