Tc7h6c5h2h 
Jh7d7c6h5h Qc9s9d3c2s Kd9s8s6h6c Jd9d7c6d2c 
QhTs5s4d2c QhJd6h5s2h Ac9d7d6s3h Tc9c5s3d2d 
AdQd6d5d4d Qs8c6h6d5c Ac9s6c5c3c QsTd7h7c3s 
QcJs8s5s2h KcTs3s3c2c Ts8d8c6h3s Kc7s6d5h2c 
Kd9c7c6h3s Ts9d8c5s2h QsTh7c6s2d 9s7h7c2h2c 
9d6d5s3s2s 9c7d5c4s4h Ts9d8c4s4h QhJs8h4d4c 
AsKh8c6d3d Jh9h5s4h2s Kc7c6d5s2h Ac7s7h5d3h 
KcJh9s6d2h AhKh6c4h2h 8s8d5c4c2h QhTd9d5s2d 
QsQh6h2h2c Qh9h5c2d2c Td7d5c4c2h JsJc8s4d3h 
9d6d6c4c2s KhJd7s5s3s Qd8s8d7s2d Ad8c7s5h3s 
QcTc6h3h2c AhTs5d4d4c KsTs6s5s4s 8d8c7c5s3c 
Jd7c5s4d2s AcJs9c7c2c JcTh6h3s2s Ts9d8d7d3h 
Kc7h6c4s3c QcTs9d7h2s 8d7h6h4s3c AsJh7s6c2s 
AhTh5c2s2d KhJd9d9c2d QhTs9c3d3c Qc9s7s5h2h 
Ac7c3d2h2d Ks9s6h2h2d KsTd9c7c2c Kd9c6d4s4h 
Jh5h5d4s4h Th7d6s5c3s Tc6h5h5d2c JdTc6c3d2c 
Ac9c6s2s2c 8c5s5c3h3d Kc9d8d6s6h Td9s8d5d2h 
AdTc9c5c3c 9h8s8d6c3s Jc8d8c7c4h QsJsJd8s3s 
Qd9s6d5h2c KdTd5h5d3c TsTh9d7d2c Td7s7d2s2c 
As8h8d2h2d Tc9c8d7c3s KhJd6c3s3h Jd9s9d3h3d 
Qh6c4d3h3d Td9d7c3h2h Qc8c7s6c4c Ts8d5s5d2s 
Qs8d7c6c2d QsJh7d3h3d AhJs5s4c3d Td9h7s7c3d 
Kh9c5h4s4d AcQc9s4c3c QsJc7s4h2h AdQh9c6s3s 
Jh9d9c8c4s Tc8s7h7c3d Js9s7s6d3h 8d6h4s4d2s 
Qc8s7h7d4c Ac8s8c4h3c KcQd9s6h2d Qs9s7h4s4h 
Kd8d7d5s5c Td9s5s2s2d 9s6d5h2s2h Ts9c8d5s2h 
QcJs6s5s3s Tc8d8c5h3s 8h6d5s5h4h 8d7h5d4c3s 
JsTh6h3s2h KcQd7h6h3s KhQc7h3s2s Ts9d8h8c4h 
JsJh9c7d2c 9h9c8s5s3d Qd8d6h6d2h QhQd9s7s2c 
Th9c7c4s3d KhQh5h3s3d Jc9d6h4c2d Th7c5d4h2d 
TsTd8h7d2d JcTc8c6s3c As8s5h4c2s AsJs9c3d2s 
QhTs5s4c2d As9s8h4c3s Th9h8h7h4s Kd7s6h2s2d 
KdJd7s3h2s QsJc7s6h3s Qc9c8d3d2h Js9s9h8s3c 
9d9c5c3h2h Qh5s5c4c3s Jh9h7h6d3c KcJh7s6h3h 
Kc9d7s5s3h QhTd7s6h2c KsJh8h5d5c Td8h5c2h2d 
AcJd5d4h3s Qc7s7d6s5s Ac7h6s5h3h JdTd9d7d2s 
QsJd7d3c2s QdTc8s7d2d 9c7s5h4s2c 9c7s6c4d3h 
Td9h8s5s2c Kc9d7h5h3s Jd9c8c7s4c 6s5s5h4s2h 
Ah9s6d5s5c Qd6c4h3d3c 9s9c8h3d3c Qs7s6c5s5h 
KdTh5s4s4c Ah7c4s4c3s 7d6s4s4d2h Ah7s6c5d3d 
9d6h6c5c4c KhQh8c7d2s Ks7s6s4d3h Qd9h9c6d3d 
KdJd9d7c2h Ts9h8h7h3d QhJc7s5s3s Td7c6h5s3h 
9s6c5h4s3d Qd7c5h4d2c AdQhTh4h2h QsJc8h3c2h 
QsJd7s7h4s JcTd6s5h2c QcJd6h4s3h Ts9s8c5s5d 
9d7h4h4d3c Jh7s7c5c2s KhQs8d3h3d QsQc4c3h2c 
KcQc9c8d2h Js8c5s2d2c QhJs3s3d2d 9c7s7c4s2h 
Kd8h6s6h3s Th9c7s7h3h 8c5s5h4h3c Th7c6c5c2h 
Jd6s6c4c3d 7s7c5h3h2c Jd5d5c4s4d 7h6d4h4d2s 
Qs8d8c6h4c AdQd7s4h2d Ts9c7s3h2h Qs9d7h5c3d 
Kd9s7d3c2c AdJh7s6d2d Ks9c7c6d3h 9d7c5s4c2d 
Ts8s6h3h2c As9s6h6d2c AcJc5s5h2c AcJd5s5c2c 
Kh7s6s5d2d AdTc7c4c3h Ts7s7c4c2d QhJc9c5c2s 
Ad8h6s6h2s Jd9s9c8s4h Qh8d7s6s2d Ad8d4s3h3c 
8h6c5h5d4h Ks9c5d3d3c QcJd6s4s4h Qc9s8d5h4s 
QdQc6c4h2c KcJs5s4s4d Ah8s8d6c4d Td7h6s4d4c 
JcTd6d3s2s KcTs8h7d2s QhTd6h5h2c 9d7s7c6h3h 
9s9d9c8s8c KhQs8c6d3s TsTc9c7d2c QsTh7h4d3c 
KdQd8d5s4d Qh9d9c3h2c Qd8c7d5s5h 8h6c5d4d3d 
Th9h5d4d2h QdJs7c5c3c JhTd6d3c2c Qd9c5h4s4d 
9h8d5c2d2c 9s9c3s3c2d 9h9d4h4c2d 7h6d5d5c4d 
QhJd8h3s2s As8d7s3s3h Tc7d6c4d2d KsQd8d4h2h 
Td9s8h8c4c Td9h5s5c4d QcTc8h8d3c Js8c7s6s4s 
Kd7d6d4h3c JhJd8h4c3s Kc7c6c4s3d Jc9s9d8d4h 
Qh7s7h6d2d AcTh8d5s2d Ah7c6d5s3d 9h8c7h4s2s 
Kh9s6h4c3d 9c7c6s4s2h QsJh7h4c2c Ts9d5c3s2c 
AsQd6c2d2c AhJh8h3d3c QsJd8h3d2h QcJd6d4d3s 
JhTd6s4c3c Kc5h5c3h2h KsTd9s3s3c QsJd9c7d3d 
QsQh6s4d2s Ts9d5d2s2d QsJh8c4s3d JdTc6d5h2s 
Jh9h7h6s3d Ts8s6h3h2d AcQh9s9d2d 9c6c5d2d2c 
JsTsTc4s2s KhTh6h5h4h Ts9s9c5s4s KhJd4s4c3h 
Kd9c5s5h4d KhTh8s8h2c 9d9c5d3s2s Tc9h9d8c2c 
6d5d5c4c2d Qc9d8s8c4h KcJc6d5s2c Kh8c7h3s3c 
Ac9c5c4h3d Kc7h5s3s3h AdKd9h2d2c Qs8h6h6c4d 
AcTs6h3d2c Qc9s6c5d2h Js9h9c8c4d AsKs8s6d2s 
KdTd8d8c2s Ts9s7d3c2c 8h5c4h4c3d Kh9c7c6d2d 
9s7h7d6c3c AdJs7d6c2d Qd7s7c6d2s Ks9h5d4s3c 
QhJs7h7c2c Tc8h6d5c3s Qs7d7c6c2s AsJdJc3c2c 
Jd8h7d6d4d Td7h6s4h2d KdTh5s5h4h Js8h7h7c4d 
Kc9c7c5s5d Qh8h6h6c2c Kh9h7h5s5d AhTs5c4d4c 
Ks8h5s5h2s AhKsKdKc3d Qc9h6d6c4c Qc5s5h4c2s 
KsJd6h6d4d QdJc6d5s2d 8s5s5h3d3c Ad9c4h3s3d 
Kc8c5h4h2c TdTc8s6s2h JdTd9d7d2c 5c4d4c2d2c 
QhTc9c7d2c TsTh9d6s2s 9s8c6s2s2c 9d8c6s3s2d 
Qs5d5c4s2d Ts8s8c5d3h Th9d7d4s3c Ac9d8h7h3s 
Ah7s5s5c4s Jh9h8d7s2c JhTh4s3h2s 9h9d8h5h4h 
Ts8s7h4h2s 9h8h5s2s2h Ks9c7c4d3d KdTc7d6s2d 
9c6s6c4s2h Qs5s4d4c2c Jh6d6c3d3c Qd9s5d4d2s 
JcTh6c5s2d QdJd8d8c4d Ts6c5h5c2s KdJc8c5s5h 
Tc9c8c7h4c AdKd6h3d2s AsQs6s3h3c QcJs8h5d3d 
AsTh9h5c2d QsJc7c6h3d 9s8h8c6d3s KhJh7c3d2c 
AdQs8h5c3h Tc7h5s4c3d Ah8c5s4h3h Ts9c7d4h3s 
Qc9h5c4d3s KhQc8s3s3h KhTh9h8h5h Kd8h6s5s4s 
AsJd8h5d2d KsQsTs4s2d Qd9c7d3s3c Jc6s6c5d2d 
9c8c6s6c5c Ks9h7c4c3h Jh9h9c3c2h Kh7c5h2s2c 
Th9s4h2s2d Qd9s7s5c2c Kh7h7c4s2s Kh8s7h5h5c 
8h6h5s4h3c Kh9c6d4s3h Tc9s7d4h3c Tc9d8d7d3s 
Td7c6s5h3s Kd8h8d4h2h 8s8h6c3c2h QcJh6d4s3d 
Qs9h7h5c2c Ah9s9d7d4d 8d5h4h4d3s AhTs9d3d3c 
Ks9h7s6s4s Th9s8d5h2c JcTc8c7s3c 8c6h5s4s3s 
8d7h5s4d3c Th8s7s5s5c Qs8s6h4h2s KcQc7h3h3c 
6c5h5c4c2h Tc9c6h6d4c QcJh8c3d2d Kd6s5h3s3h 
Kc9h7h6s4h Ts7c5c4h2s QdTs8s4c2h Kh7s7c4c3s 
Kc8d6s5s4s AdTc6d2s2h AdKsTs3s2s TsTd8d7d2c 
Kd8h6d5d3c QdJc8s3c2s Th9h8c7h3s AsJd5d4c3h 
KdQc8d3d3c Ad6s6c5h4s KcJh8c3h2c Ts9h8h7h3c 
Jd9d6s4h2s 9s9c8h7c4c Kd9c8d4d3c JdTs6h2h2d 
As7h6c3h3c Ac9c8c3h3d QdTh9h5s2h Tc9h8h7d2h 
KcTc9s4c2d KdQd7c3c2h KdQcTs7s2h Ac7s7d5h3d 
AdJs5s4h3c As9h6c5h5d AhKh6s4h2h Jc6s6c5h2h 
Qd8c6s6h5c Jc9c8c5s5h Ks8d7s3d3c KsTc9c8c2c 
AcTh7h4h3d Ts8h8c6d3s QhTs5d2s2d KcTsTh5d3d 
AsKh8h8d2h 8s8c5h2d2c QdJs8s6s3h Qh8c6d4d3c 
Jh7s7d5d2s 7h7d6c4s3c 8h7c6d5s2c AdJs5c4h3s 
9h9c7s4d3h JhJd9s4c2d Jd9c8s6d3h QcTc4s4h3d 
Js9s6h5s4s TsTc7d6h3d Ac9h7d5s3s Th9d8s8c3c 
Td9d8d7d4s JcTh5d4d2s KhJcTs3d2d Qd9h9c5h3s 
QsJh7s4h2s KcJs7d6s3s AdTs8c5s3s Jh7c5h5d4s 
Kh7h6c4h3d 9h6h4d4c3c Ac9h5c2h2c Kc9c6h3s2s 
Ah9c6c3h2h Kd7s6c2s2d Th7d5s4h2s Qc6h5s2h2c 
KcTc8h5s3c 8h6h5d4h3s 8s7d5s4s4h Jc9d8c6h3s 
9s9h8s7c4s AsKh7d4d3d Kc7c6c4h3d Qd9c4h4c3d 
KcJc9c7h2d Jd9s7d6c3d AsJs9h3d2s 7s7d4h4d3c 
9s8s5h3h2c TsTd9s5s2c 7c5d4c3d2s AsTh8c6d3c 
QdTs8s5s3c JhJc7s5d2c QcTc7c6s3c Ac9s9c5h2c 
QsTh9h5d2h Qc8c6h6d5c Ac8c5h4d2c Jd9c8c6c4s 
JhJd4s4h2c Tc8s5s5c2c JsJc9h4c2d KcJd8d5s5h 
KdQs7s4h3c 7s6s5s5d2d Qs8c7s5h5d Js8d8c4d2c 
9h6s5c2h2c QsJs9s5s4s QhTc8d5s2c JhTd6d5s2c 
AhTd7d4d3s 6d6c4c3d2s JhTh8h6d3h QhTd8s5c2d 
KcJh7s5s3s AhKd8s6c3c 7d5s5d4h2s Jc8h7d7c4c 
AsQd5h4h3h Kd8c7s2s2d Qd9d8s3s2h Td7s6h5h3c 
QsJd9c6d2h Js7c6s5s3d Qc9d5d4c2c 7d6d5s3h3d 
JcTh6s4c2d KcQc9h3c2h 8d6s4s4c2c Td9h9c8c3c 
Jh9h8s7c2d KhTd7c4s3d Jc9h6s4s2c JcTs6c5h2d 
9d8h7s5d3d Ts9d6s4h4c KhQs4h3d2c Jd9h5h3d2h 
Qs9h9c8d3s 8d6s4s4c3d Jd8c6s6c3s AhKs5s3c2s 
QcJh5d4c2c QdTs7d4h4d 9c8c7c5h4c Qh5s5c4h2c 
7s6h5d3d2h Ac8s8c3h3c Kh8s7h3s3c Jh9s8c6c4c 
Jh9s8c4s2c Td9h9c8h2h As8h8c6s2s 9s9h7s3c2h 
AcJdTs6d2d Ah5d4d4c3c AsJcTd6c2c 9c8s6c4c2s 
KsQh9s8s3c 9h7d7c5h4h Kh8s7c2h2c Ad9d4c3c2c 
Qs9s8h3h2c Jc9c6d4d2d AsKs9s5s2d Kh9h7h5h4s 
AcTdTc5c2c KdTc9d6d2d Jd9s6c5h3h QcJh6h4h3s 
KcJc9c8c3d Qc9d8h5s4d Jc8s8d5c3h 9h7d6d4h2s 
Tc9c7s3h2h Qs7h6s4h2c Qh8h6s6d5h Tc7h6s5d3s 
Qh7d7c6h2c KdQh9s8d3d QhJh9h7h4s Ks9h8h6d6c 
AsQd5c4c3c 8h7s5s5c4s KsJd8h5c3d KcJh6d4c2s 
JsJd4h3h3c AcJs7h6c2c ThTd9s7h2h As9d8c7c3h 
6d5d5c4d2c QcTd6c4s2h QcTh7c4s3c Jc9c6h5c3c 
Kd6s5c4s4h Qc8d5h4h3d 7d6h6d4c3s 8s6s5h4s2d 
Ad8d8c4s3d Qd9s5s4d2d TsTd8s5c2h Ac9s5h4s3h 
Td6c5h5c2d QhJs8h3c2c Kh8d6s6d5c KhTs6h4c2h 
QsJc9h7s2d Th9c8s5h2d JdTh6h5c2s 9d8d7d5s4d 
7s6c5s3c2h AdJc7d4d2h Kd9s7s6h2h Ts6s6h5s2h 
Qs5h5c4s2h AdTd6d5h3d QdTc8c5s3c AsKh5h3d2h 
Ah7s6d5s3s TsTd7d3c2s AhKh6d4h2h AdQc8h6h3s 
KcTd9h7h2h KhQd9c6c3c Kc9h7h6d4h KsJh9s6s2d 
9h8h6c4h2c QhQd4h3c2h QdTc8s6s2s 9d8c7d6d3s 
JhTd8s2h2c Td9s9d7h2d 9h7c6s2s2h Jh9d6h4s2d 
KsTc9s3s3h Ts9h7h4c3d KhJc5d4c3c As8d5c4d3c 
Jc9c8c5h5d Kd9d8c6d2s QsQd5s4s2s KdQhJh7s2c 
Td8h5s2h2d Jd9d8s5d4d Th9c8c7s2c Tc8d5s2d2c 
KsJs9d7c2s Ks6h5d3h3d AcQd8d6s3d AhTs6s4d4c 
AhTd9d5s2c Qd6d5s2s2c 7d7c5d3c2c QhTc9c5s2c 
Jc6h6c5d2d As8d6h6d2h AdJs5s5c3h Qd9s9h7d4c 
AhThTd5h2h AhTc8d5s2d KcTs9s4h3s AcKs3s2h2d 
Qc8s6s6d4h KsJh7d4d2h KhJc6s4h2d 7h6s6h4c3d 
KcQh7d6d3s QsTd9d3h3c Kh7s6d6c5d Kh9d9c8h4s 
AcJs8d5s2s Qh8c5h4h2c Qd6c4s3d3c Jc9s8d7d3h 
KhQh7h5s3h AsTs5s5d2h KdQh8d6d3s 9d7s5s5h2h 
QdTc8c5h3c Tc9h8h7h3s 8h6s5h5c4h Ks9c6c5d3h 
Tc8h4c3h3d Qd9s9c8h4d KhQdJc8s3s AdQh9h5s2h 
JsJh8s6s3d Th7d6c4s4h KcJd8s5h3d 6d5c4d2d2c 
AhJc5c4d3s 8c6d4h4d2h 7d5d5c4h2c Jd9s6h4d2s 
Th9h7c3s2s QhQd8c7d2d Qd6s4s4d3s Qs6d5c3s2c 
QdTs7h6d2c 8h6d4d4c3c KsTs6d5s2h KcTs7h4d3s 
AdJs5h5d2d QsQd8c7s2s Qh8h7h5h4c KsTs7h6s2c 
8d7h6h4c3s 9c6c5h2s2h KhJsTh3h2h 9d8c5s3d2s 
KcQd8h7h4s Ks6d5h3h3d Ac8c4s4h3d Th9c5h4s4d 
Qs7s7c6d2d AsQd9h9c2h 9d6d5s2s2c QdJc8c6c3s 
QcTs8c5d2c Qd9s7s4c3c 7s6c5h3h2c Kh9h7h6h4s 
Kh9h5s4d4c JdTd6d6c3h QsTh9s7d2s Qc7s5s5d3d 
Jd9s6h4h2d 9s9c8h5s2d AdKh8c5c2s AhTh3c2h2c 
KhTs5s4c3d KdTh7s5s3s JhJd5s5c2h Qd9s5d4h3c 
Td9c6h4h3s QdJs7h7d4d KcJd7h5h3h 9s9c4s4d2c 
Kh9s7s4c3c Qs8s7d5s2d QsJh9c7c3c Jh9s8d5d5c 
QsTh8h4d2c 9h7c6s4h3d Ts9d4h3d2s 9s9c7s3s3h 
Td9d8d7d4h QcJs7s7c2c QdJd9c8d3d KsQsTs4d2s 
Ad7s7h6c4c Jc9h9d7d4d Ks9h6d4s3c Kc8d7s2s2c 
AhTc5c4s4d Kd7d5c4d3h KhQd8h6h3s Ad8h8c6s4h 
JhJc8c5c3c 9s9h9c8s8h 9h7s5h5c4d Td9d6h6d3c 
Ts9c8c7h2c Kd9c7s6s3h Kd8h6d5d3s Qd5c4d3h2h 
AdKhTc3s2s AsJc5c4h3d KsQs9s6h2c JdJc5s5d2d 
QsJc7s7h4s 9h8c7h6h4h AdTs8c6h3c Tc9d8s8h4s 
6s6c5h4d3c JdTs8c6h2c KhJs9c4d2h 6s6d5h4c3s 
QcTc9c3s2d Ks9d6s4d2s AhKh6h5h3h QdTh8s8c3s 
9h6h4s4d3s Tc9c6d6c3h Ac9c6c5h4c Kh9d9c8d5d 
As7d5h4h3c Th6d6c4s4h Tc9s8h5c2d QcTs7s7d3h 
AhTd6h2s2c Jc7h5s4s2c Jd8s5d2s2h QhJh4s3d3c 
Tc9s5c4h4d Qc7h7d6h5h 8c6c5s4c3h AhJc8d7d3d 
AdKsKhKc6c TsTc5h3h2s KcTs9c3h3c Jc9c7c5c4h 
AsQd9d7d4d KdJh7c5c3c QcJc4h3s3d QsTs6c3c2s 
Qh5d5c4h2c QcTd4s2s2d Js8d6d6c2c Tc8c6c4s4h 
KcQc8d6c3h Kd9d6c2h2c QcJd9s7c2h AhTs6d3c2h 
Qh9s7h3s3c QsQc8h7s2s Jh8h7s7h4c As8d5c4s3s 
KcQd7h6s3h AsKhKdKc6d 9s9h8d5h2c QsTd8s8h3s 
9h9d8c7h4h KdJh7c3h3c Jd7s5c4d2c Ah9h6s5h2d 
Ks8d6h6d5c KsJh7c6s2d JsTd6d3s2d Qd8s7h5s4s 
Kd8h7s2s2d 8c6h4s4h3c KhJd7c4c2d Qh7c5d5c3d 
Kc9c7c5c4s Ah9h3s2s2c Kc9s7c6c4c AdQs6c5h3c 
AdQh8c4s3h QdTd9d3s2c QsTc8h8d3d 7h6h5s5h2s 
Ks9h7d6c4d Js9s7c6h3s AdKd9d5d2c Jc8s7s4d3d 
As8h8d6c4d Jd8d7d7c4s AcKs5s2s2d QdJc6c4s4c 
8c6h5h4d2s 9s7h7c6h3h Jd9d6d5s5c Th7s6c4h4d 
QhTd8d4c2s JhTc5s5h2d 9c6c5s2s2c Jc9s6s5s4s 
As7d4h4d3h Kh9s7d5d3c KdQd7c3c2s Ac8s6s5s5h 
JhJc8s5d3d Ks8d6c5c4c Kc9h5s4c3d Tc9h8s8d4d 
Tc9h6d4d3s QdTc7s6d2h Td6h6c4s4d KcTc5s5c3d 
Js7s7d6d2c As9s8h4d3s Qh9d5h3d2d Jd9h9d3h2d 
QhTd5h4h2c QhTd8s5s2c Js8s7s7c4d Kd9c7s6h4s 
QhJc5h4d2h KsQs7d3c2d QhJd9s7h2c AsKs6c3s2d 
KdTh9c7c2s Jh9s9c7s4s Kh8h6h6d4s Th9s8s7s3d 
8h5s5h3d3c KdQs8s4c2c QdTs7s7h3c Ad7s4s4h3h 
Kc6h5d3h3d Qd5s5c4c3s 8h8d5s4d3c QdTh7d4s4d 
KcJs5d4s3s AhTc7s4c3c Ad7h4s4h3s Qs7d7c6c5c 
9h7d5c4h3s QsJs5h4s2d Kh9h7s6c2d KhQdTd3d2s 
Js9s8s5h2d KhTh5h3c2c AhKsKdKc3s KcJd6c4c3s 
Ks8s7c5d2h Kd9d8s8c3h Td9s5d4h4c QdJs9h7c3c 
KhTh8d5c3h KsQs8c6s3h Kc9d9c7c3s Qc9d6h3d2c 
Kd9h6c3d2c TdTc7h4c3s Td7s6c5c3h Js9s9d8s3h 
Td9c8s8h3s Qd9d8h4h4d Js9s8s5c2d JhTh6h4h4d 
9h6s5h4h2s Th8h8c5s3d Qs9s8c3c2d KsJs7c3d2c 
Kh8s5h4d4c Qh9h6s4s2s Ac5d4c3s3c QdTs8d7d3c 
Ac9d8s7s2h Qh8s6c4c3s Jh6s5s3s3h KdQd7s3s2h 
AcQh9h5s2h Jd8c7h4h3c AcKs9d7h2h Qc6d4d3h3c 
Jh8s8c5h3d AcTh8s5d2s QdJc8d3h2h Th7h7c2d2c 
QsTd8h7c2c Qh7h5c4s2s QhJs9c5d2d 8d6h5h4s2c 
Kh8d8c7c5c Qs5h4s3d2d AdJh8h7c2h Jd6s6c3s3c 
AdKs9h7c2c KhJc7d6h2s TsTc7h3s2c 7d5c4d3c2s 
AcTh7s4h3h Kh9h8d5h4c 7d6s4s4d2c 9d7c4d4c3h 
Qc9d6d2h2c QsThTd7c2s Kh6s5h5d3h Td9h4h2d2c 
9s6s5c2h2c Jh7c5s4h2s Kc9h7s5s3d Qc8d6h4h3d 
As7d6h3h3d Ad5s5h2s2h KdTd8s8d2c Qs5h5c4h3c 
9s7h4s4h3c AhQc6d2d2c KcJs9h8d4d 9d7d6s6d4h 
9h7s6h4c2c KsQs7h4s3d Jd8d7s3s3h QsTd7c4h4d 
JdTc6d5s2h KsQh4s3d2c Js9d8s6h3c AhQc6h6d2h 
9d8c7d4s2s QdThTc7s2d Th7s6c5d3s JdTd7s6h2c 
KdJs9c4h2d KdQd9s8d2c Th9h8c7h3d AhQc9s9d2s 
QhJh8h6h4h TsTd5h5d3d 9s9c5d4h3c AhQc8c6s3c 
JhJc9d4h2s Qc9d5c3d2d 7s6s5d3s3c Kh7h6c5d2s 
AhJd7h6s2h QsQc6s4h2s Qs7s7d5s4c 9s9d5s3h2h 
Qd9h9c5c4s TsTc9d6s2s KdTs8h6h3c KcQh9s8c3c 
AhKh3h2s2c AdQh7s6c3s 7d6s5d3s2d 7s7h6d4c3d 
QsQhJd7d2c QsJd6d4h4d Ad8c6s6c2s Tc7h6d4s4c 
QhTs8c5d2s Kc5s5c3s2s Js8d7s7c4s Qc7d5h4c2d 
Jh8s6s6c3c AsKs9s9h2s Qh9c4s4c3h AcKd5d3s2d 
Ts9h8c5s2d Jc9d5s4s2d TsTd7h4d3c Qh9c5c3h2c 
AsQd9h6d2c JcTh8s6d2s Kd8h7h5c2c As7d7c5h3d 
Th9c6c3h2h As7d3s3d2d KdQdJd2s2d Js7d5s5c4h 
KhJd6h4h3c Th9c8s7h2h Ah8d6d6c2c AhTd9d5c2s 
9s7c6c4h2s Ad7h6c3h3c QsTh8s5c2s Jh6h5s5d2d 
Ah9d4s3h3c AdKd6h3d2c Td8s5c2s2d Td7s6s5s2d 
KsTd5d4h3c ThTc6c5c3c 9c8h6d3d2c 9c8h8d6s3h 
Jd9h8h7s4h AcTh6h4d2d Qc5h4s4c2s Tc9s8s7d2s 
Th8d7h7c3s JdJc9s4c2h JhTs7d3d2s 9s8c6h3h2s 
Qs9h4h3s3c Ks8c7d6s2h Jd9d5s4h3c KhQc9d6s2c 
Qh9s7s5c2c Kc9c8d4d3c QhJs8d4h3c AdKhJs6s2s 
KcJc8d4h2s AsKsKhKd3s 8c6d5h4s3c AcJs8d5h2h 
9c8d7c6c3h QsQc9h4s2s Js9d7s6h3s 8s8h5h3c2c 
As7d7c5h3c Ac8h5s4h3s JsTh9h7h2h Js9s9c8d3s 
Qh9c5s4h4d Ts9c8h8d4d AcJd9s4h4d AhJd5s4c3d 
8s8d7s5h3s KhJdTc3s2s 9d9c8s7h4h AhJc8s5s2s 
KhJc6d4s4c Kd8s7h5d3d ThTd3c2h2c QhTd8c5s2d 
Kd9h7h6c4h Qh9h5d2s2d Ts9d8s5s2c 6d5c4c3c2d 
AcTc6d3h2s Qc9h9d6s3d Qs9c6c5d5c Tc7c5d4d2s 
Td9c8s8d2d AsQc9c5d2c QsTc9d7h2c KdQs8s2s2d 
JsJc5d2s2h KhTc6h4d2h Ad9d6d6c3s Jd9s8h6h4h 
Th7s5c4d3h Kc9c7c6c4s KdTd6h5d2s 7c6s4s4c2d 
7c5d5c4h2d Jh9d6d5d4d Ks9s6h3d2d AcKc6d3c2s 
AhQc4h3h2s Kh5d3s3d2h Ac7s6h5s3s Kd9s6h4d3c 
AdQd8d5h2d 6s6h4h3s2d Qh8s8c7c2s JhTc8d2s2h 
AsQs6s4h2c JhTh6h4s4h Th9h7d7c4h Jd7s6d5d3c 
Qh9c6s6h4h KhKdKcQcJs TsTd9h6d2d 8h8c7h5s3h 
AdTh8s5h3h Ac7d6s5d3d KhJc9s4d2h Jh9d8d6d4s 
Ts9s6h6c4s KcJsTc6c2c Tc7s5d5c4h As8c6c5h5c 
9d8h6d4d2h KhJh8d6h3s QdTd7h4s4d TsTd5d5c3d 
Kc8d7s5s4s 9d8d6s3s2c Jh7h6s5s2s Ks9d8c5h2s 
9h9d4d4c2h Th7h7c4c2s TsTc7c3d3c KhQh5h3d3c 
Jc6c5d3d3c KsJc9d4h2s Qd7d6s5h5d Qd9s6h3s3h 
Qc9h6h2s2c 9d6h5c2h2d Tc9d8s7h2s 9s6s4d4c3c 
8d5c4d4c3s KcQs9c8c3h 7h5d4d2h2c AhQd7d4d4c 
Tc8c4d3s3d Kh9d6s4c3h QcTd9d5s2d 9h9c8c5c4c 
KhTc3h3c2h Qs9d7s6h3s 8d7d4s4h3h Td9c8h7s2h 
Qs5h5d4s2d TsTc9d7c2c Kh8h5c2s2c TsTh8s4d3c 
AsKd7h5h2c Th7c6h3h3c Jh9h9c3h3d Th9h5s3c2c 
AdKh9s7c2c AsTd8d4h2c KsQd9c6c3c Ks9h6h5d5c 
Qs7s7h6c2c KcJh5h4h4d AcTc3s2s2c Kd6c5s4h4c 
QcTs8s5s3h Jc9h9c3h2c 9d8d5h4d2h Qc5d4h4c2h 
Qh8c5d2h2d Kh9s9d6c2h QdJc7h3h3c Td8s6s5c3h 
Ks9c8c6h6d KdQh9s6c2h ThTd7h3h3c 8s7s6d5s3s 
Jd8s7d4s2h Js7h6h6c5d Ah8h4d3s3c Ts9h8d5d2c 
Qd8s6h4h3s KhJc6h4h3d Kd7s5d4d3h Kd9s9h8d4c 
QsTs7h4d3s AsQc5d4d3d 8h7h4d4c3c 7h6c5d3h2d 
Ac7c3h2h2d 7h7d5c3c2d 9d5h5c4s4d Td7h5c4s3d 
Qd8d8c7c2d JhTh7s6c2d Td7h7d2h2c Kc5d3d2s2c 
AsKs6d3c2s AsJc5s5h2s AdJh5s4c3h Qc7h7d6c2h 
Qs9h6h2s2c Jh7s5d4d2h KcTh9c3s3c 7d5s5d4c2s 
KsQs9h3s2h ThTd8h4s3c Jc9s7d6h3h QdJc7s6d3d 
8s6h5h4d4c Ad8h5c4h2c 8h8c5d4d2s Th6s5c4c2s 
JsTs9s5c2s KcJd5s4s3h Jh9c6s5s4s KdJh6c4d2s 
8d6h4s4h3d Kh9c6h4s4d Kh8d5h3d2s AdKh7s5s2c 
As7h5h5d4h KdQd9d8h2c QdJc8s5h3h Kh9d5s4h3c 
AdJd9c3h2d Tc8c6c4s4d Qc9h4h3s3c KdQs5s4s3s 
6h6c5d4s3h JhJc5d2s2h QcJd7d7c2c Ts9c7c4d3h 
Jc8c7s7c5c 9h6c5s4h3d KcQdJh7s3s KcQh9h7d4h 
QdJsJc7s2h 7d6s5s5c4s QsTs9s3h2d KsQc8h3s3h 
QcJc8s5c2d QdQc6c2h2c 7d6s5c3c2s JsJh8d5c3c 
Tc9s8h8d4h QcTh5c4c2d 9s9d8s5s4s 9d7s7h6h3h 
QsJd9h7c3c AcTc9c6c4c 9s7d6s4c2c AdJs9c7c2h 
