AsQc9d6d2c 
7h6h5s5d4d Jh9s6d5s5d As8d6h5d4h KdJd6s5d4h 
AcQd9s9h2c Td9d8s6h5d Tc9s8h6s5d AsQdTd6h6d 
QcTd9h9c4s Jh9c8s7d6d Ks8h7s6d5s JsJh8c7c2s 
AsQdJd7d7c QdJs8d7c2s Jh8h8c7c4c KhJd8s8c7s 
9h8h6s5c2s KhQhJh7s7d AhTd9s9c5c QhTh9c8s3d 
KhJd9d6c5s Jc9c8h7h2s KsJd9c6d5h AsKsTc8s2s 
KsJsTs6s4c KsTc9c6h5d QsQc6s3c2c Ks9s7c5h4d 
Ks9c6s6d5h 8d6h5s4h4d KsJh8s4c2h KdTs6h5c3d 
AdKc5s4d2d QcJh8d7h2c QsTs9s7d5h AdKdQs8h2d 
QcTs8h5h3s Js9s8d7d2h AcQs8h6d5d Qd9h9c8h3d 
JhTc7h5d4h KhQh9c8c4h Th9s6h4s3c KsQc7h5s2h 
AdKc9d8d2s KdJs5s4d2d KdTh7h5s3s Ks9c8h7d6h 
Kh9h8s5d3d QsQd4h4c3s KsThTd9c5h KdJsTd6h6d 
AdKd8h5d3c Kd9s8c5d5c AhJc9s7d7c Jh8d7s5h3s 
AhJsTd8d2d KhQc8h6s5h KcTsTd6h4d QsQdJh8c4h 
AhKdQh7s2h AsQs9s6d4h Ac8d7c6d2c Qd9h8c6h4c 
AcQh7d7c3s Ts7s6c5d5c QsTc8c5d3d QdTs9c7d4h 
QsQd9s8s5s JhTc8s4s2c QdTc6d5d4h AsJs9s9c3h 
AhKs7d5d5c QsQdJs6c2h AhKh9d5s5h Jh9d8c7s6c 
QhJsJh2h2d AhJs4h4d3c Ac9h9d7d4h 9h9c8s8h5h 
Kh9h6c4d4c KdQc8d6h5d Ks9h9c7c2s KsQhQd3d2c 
Td9s9c6c2d AsKh8c5h3d KhJc5c3h2s AdKdQs7d2c 
AhTc6h3d2c Ts9d9c6d2s AcThTc9c3c 6h6d5h5c2d 
KcQh9s9h3s Ah9s8c7d5s QcJh8c6s4d JhTd8c4c2d 
8h7h7c6c3d QhJdJc6d3s Ad8c7d4d3c KhKdQs9s2s 
8s8c6d5d2s Ts5s5d4d4c JhTd8h7s4h Jd9d9c8c4d 
QdQcJs3c2h QhJh7s5s5h KcTd9s9h2c JsTd9s8h3c 
JhTsTd7h4h KsQs5s5c3c Kc9s5d5c4s Ks5d5c4s3d 
Ts5h5c4s4h KcTc9h7s4c KdTh9s8d5d QsJd6h5s2h 
AsQdTh5c3h 8c7c6d5d2h 7s7c5h3s3c AhQh9s7h4c 
QdTh7h6s4c AhJs8c4d2h Ks9d9c6s6h AdJc6d4s4h 
KcQc9h4h3h Ts9h8s7d5c QsQhTh8h4h AsAhAdJc6c 
Qd9h8d5h3c Th9d9c7s5h KdQsTs7h4s QcTh6d4h2c 
AdQc9h4s3d Jd8h8d7h4d JdTd6h5s4d AdQs7h7d4d 
Js8c5h4s4c AsJd4d3s2d QcJhJd7c4s Qs9h9c6c4h 
As8h8d7c2s Ad9s7h5s3h KhJd7s4h2d AhTh7h6h5c 
9h8h8c5c3s AcQh7h4c2c Kd9s8d5c2s KdQsJs9c2h 
Kd9h9c7d5s KcJs7s5s2c AcTs3s3h2c JdTh7h7d2c 
AcJcTc4d4c KdJc5c3h2d QsQhJd3h2c KcQsTd7d4h 
AcJd8c7c3h AhKcTc6s2d AdQs7d4d2s AhTh9d2s2c 
QcJs8d7h5s KcJh9d8s6d Qc6h5h4c3s QcJhTs5c2d 
Ac3h3c2h2d AcJs8h4d2c Kh9h8d7d3d AsJsJd6s3c 
KdQdTd6s6c KsQc9s9d6s AcJs3s3c2s QdJd7h6c3h 
KdQcJd4h3d QhJc8s7h2c KsJhJc5c4c KcJsJh5s4s 
KcQs8d6c5c JdJc9d7s3h Kh9d5c4h4c AdKcTd8d2d 
QhTh5d4d2c Jd9d9c7d4c Ac3s3c2s2d QcTd9d6s5d 
AhTs7h6h2s 7s7d5c4c3d QhJdTs4h2c AcKdJc3h2c 
Qs9h9c8s3h JhTh8h7d3d Td5s5h4h4d QdTc5h4d2h 
Kd9d9c7c2s AhTs6d4h3c Qc8c6s5d3d KsJc7h4c2s 
QsJd8c7d2s KsJcTd6s3s AsKs7c4h2d Kd5s5c4d3c 
9d8h7s6h5h AdQh9d4c3s 8d8c7h7c4s QsTd9c8h5h 
TsTh8h5d3d QdTc9s7s5h JcTs9c8d2h KsQhTh6h6d 
KcQd7h5c2h KhQc9d6h3s KsQdQc5c2c Qs9d8h6h5c 
QcJs8c7h5c 9h9d8c6s5d AsQs9h6d2c KcJh8h8d4d 
Qc9s8s5d3c Ad8c4c3s3d AcTc8c6h5c Ts8c7h6c4d 
KhQsJd7c5c AhQs5h4h4c AhJs4d2h2d AsKhTd6s2s 
KsThTd6c4d Tc8c7d5h5d KsJh9d5c3s Ah8s8h5h2s 
Ks9h9d7d2s AdKd9h6s6d KhJhTh6h4c 7h6h5s5c4c 
QcJh8d6c2d QhJh8h5c4s AsQs9h4c3d KsQdTc5c4c 
KsKc4c3c2d QsQcTs3h2d 9s8c7h6c5c QhJhTh6h4c 
Tc9h8s8c6d KdQs9d7d6d QhJdTs5h2c AhQh7d5s3h 
Ts9d8c6d5h Jd7d6h5c3h AcTh4c3h2d Tc9s8s6c2s 
KdJs9s6h5c AcJh6c3h2s AsKd7c4d2c Qc7s6s6c4s 
Ks9h8c6s5s JsTd8s8d2s AsThTd5c2s Tc9s8d7s2d 
AcKh8d4h2d JdTh8c7d4d KcTd9c7c4h QsTh8c7s4d 
Jh9d8c7c2h AsQs9s7s5h JsTh8s7d4s Jd9s8s6d3c 
AcKhJc3d2c Kh8d7h6c5h KdJs9c7h7c AdQs6h5c4s 
QhJc8h7d2c KcJc8c7d6c QcJhJc2s2c JsJc5h5d4s 
KhQs5s5h2h KdJhJc9c5c Th9h7h6d5s AhJsJc6d5d 
Jh9h8s6c3s Th8c7s4s4h Kc9h8h8d4c Ad8s6d5c3h 
KhQh8c6d2c Qh8s5s5h4d KhJhThTc3h Kc8s7d6c5c 
KcQhTs6c2d ThTd5h3s3d KsTh9d6h5c AdQc9d4s3h 
AcQhQd6s2h AdQd9s6c4d KcJcTc9s2c QdJh8s6h5h 
6s6h5s5d2h JcTs7s5h4s QhJh9h9d3d QdJh9h4c3c 
KdJc9c8h3h QcJs8h6c2h KsQcTd9d2h KhJd5d3h2c 
KhJc9s5d3h KsJh9c5d3s Qc9s9d6h6c AcJd9s9d6h 
9s9h8d6c5s Jh9s8d7c6d JcThTd8s5s JsJd8h6c5h 
AsTs9c6h3s KhQsJh4c3h QdTd5s5c3c QhTc9s3s3c 
KsKhTd6d2d Th9d8d6h3d JcTd8h5h4h QdQc9s9h2s 
JhTs7c6d6c Kh8d5d4s4h AhTc8d6s5c AsQs7s5h2h 
8d6c5h4c2d JsJd9c7c5c QsTc6h4c2s QdTs9h6c4h 
8s8h6d5d4c AcTd7s6d4h AcJd6h6c5c JcTd7d6s4h 
JhTc8d5c4c 9s8s6h5c2c AsQsTs4d2c AsQc9d7d5h 
7d7c5s4s3d Tc9h8d8c6s AhTc8c3h2h 9s9d8d7s4s 
Th9c8d8c4h QsQh7c5s2c QdJs8c7d2s KcTh9d6h5s 
7c6s5s5h4h QsTs7d7c3c KsQd8h4s2d Td8d7c5s5c 
9c8h7s5h3c JhJcTh8h5h KsJh4h3s3h KhTc9d8h5h 
KdJc8d6d5h Ac9h8h7s6h Ah9d7h5s5h KsTc8h8d6h 
QsQc9h9d2d TdTc8c6c3d 9s9d8h7s6s Jc9d8s7c3d 
8s7h5h5c4c 8s7s6c5c2d AcTc6h5s4c As8s7c6d3h 
KsTsTd9s3h KdQs7d5s2d QhTc9c6d4s JhJd8c7h3c 
KhTd9h6s3h KcQcJc7s7h KsTsTd3h2h JsJh7c6c5d 
JdTc9c3s2s KcQd5s4h4c JhJc8s7d4c As8h6d5h4d 
7h7c5d3h3c Kh9h8c5d5c KsQs6s4h3h KcTd4s4d3c 
Js9s9d7d3s QdQcJh3d2s AcKsJh7d2s JsTc9h6d6c 
KsJh8s6s5c Kh7h6s5s5h QsQd5d4d3c KsJd5d4c3c 
KsTh7h5c3c Th7h6c5d5c JdTc8h7d4d QdQcJd9d5d 
Ac6d5c4h3s KdQd9c4c3c Td8s7h4h4d QhQc9s9d4s 
JdTs8d7h4d KdJcTd6s6d AdQcTc9c2c KsJc7d5s2d 
AsKsTs6s6h 9d7h7c5h3d AsTd9h9c5c As9s9c5s5h 
Th9d8s6c5d KsQh9h9c7h 9s9h8d7s6s QhJs8d7s2h 
AcQs9c5h5c ThTd9c6h5h 8s8h6d5d2h Jd8h6d5s5h 
KsTh9d9c2s QdJd7c5d5c KsTd7c5s5h JsTs7d5s4c 
JcTc8d6d2d JhTc9h8s3d 9h8s7c5s3h JcTh9h8h5d 
KcQsTd5h3s QdTs7d6h4d 7s7d6d4h3h KsQhTh8d5h 
KcJh8s7d6d KcJc6s6h3s KsQhJs9s6s AhKc8c6c4s 
QdTd9c7c2d Qc9h8h8c2s Qd9c7h5h3d KhTs6c5h4h 
AsKd8h8c6h QsQhTs3c2d AdTc4c2s2d AdKh9s9c2d 
Kd9h8d6s5d Ks9c6d6c5d AhTc8c6s5d QdTd9c7s4h 
Jd9h8s7d2h AdQd9s7d4c Ad9s4s4d3h Kd8c7h6s4d 
AcKsQc7h2c Kc9h8c6s5c JhTs6c5h2s AsKcJh7d2c 
KcJs7c4s3c As3s3c2d2c Ts9d8s6s2d Js7s6d5c3d 
Kd9h8c6d5d Qc9s9c7h4h JsTh9h3d2d Ad9d8c7h4d 
KcQh7c6c2h Jh8s5s4h4d QdJs5d3s2c KdQhJd4d3c 
KsQs8d8c4c Ah7h6c4d3s 7c6c5h5d4d JsJcTh5s2d 
AdTs4d3s2h Qs9c8h6s5s KcQh7d6c4c Th8s7d6h6c 
AcJd8c5h2c AdQs5d3h3c AsQh9d7s4s Ks9h8s8d2h 
AcKhTh4d2s KcTh9s8c4d AdQc8s6s5h KhJsJc8c5c 
KhTh6s6d4c Jc9c8h6d3h Ks8c6d5s2c Qs9h8c6h4c 
AsTc9h4c3h QsTc9h5d4s KdJc8d6h4s AdJdTd4d4c 
JsJdTh5s2c 9h9d8d6d5s Ts9c7h7c3s 7s7d6s4c3c 
AhQdTd8s2d AhTs8c6d5s Th9h6h5s3s QhJs5d4h2d 
QsTc8d6h6d 9h8s7c6c3h AsKhJc7d2h Kc9s8h5h2c 
KhJc5h3c2s Qh8h8d6s6h KhTd9c7c2d KdQd7s6d5d 
AdTh9s7h4c QcTc7d5s4h KhTs7c6c5d Js9d5s5h4h 
KdJd9d9c2c AhJh4d3c2c AhTsTd9s3c KsQc9d3s2c 
AcKsQs9d2s QsQc6s5s4s KsQdTc7c4h JhTh9s9d2c 
KsQhTh7d4h Ks9h8d5s5d QdJhJd9d4c KsQhQc6s2d 
AsQh8c6d5d ThTd6h6c4s Th8s7h6s3c Qs9s9h6s5d 
QcJd8s8c6c QhJc8h6d4s KsQhJh9c2d AcKh8s8d6d 
TsTd9h5s2h AdTd9s5d3h AdQhJh4h3s AsQd7c6h4d 
AsKh7c6c4d JsJdTh9h3h KsTd9d6h5c Qs8d8c5d4c 
KsJc9h6c5d 8h6d5h5d4s KsKhJd7c2d KdQsTs7c4s 
AdQc6h6d3s 9h8s8h5h4s Ac8s7s4c2c AcKcTs8c2c 
Kh9h9c7h4c AdJh3h3d2h QsJsTh4d3s Tc7h6d5h5c 
9s8s7s6h4h KhQcJc9s2d KcJd7s5c2s AsTs6h5d4s 
AdKsTh5s2c QhTh8d4d2d QhJh7d5d3h JdTs9s8h5s 
AhJdTc5s3s Th7s6d5s5h Ks9d8d5c2s KhQc7d5h2d 
QdJh8s7h2d QhQcJc6d2s Jh9c8c6s3h AhTd9c4c3d 
9c8s7s6d5s JdTd9s8c4h QsTh7d6h4c QcTc7s5s3c 
QhTd7d6s4c JcTdTc9c2h AcKs8h4s2h AdQs8h8c6h 
AdQc9s7d4d 9s9h5s3h3c 9h9c5d3h3d KhQcJh4h3d 
Jc9s8s7h4h AcQs9s6d5s KsJd8d7h6d KdTh5h3h3d 
AsQs9d4h3c KhQcTs8d2h KhJc9d3h2c Kd9d7h5c4s 
QhTh7d5d3h KsQs8h8c4c QsQcJc6h2d AhKh5s2d2c 
QdJh9c7s5h Th9d6d4h4c KsJh9d4s4d QcJcTh8c5c 
Qc8d8c6s6c As8c6s5h3d QsTc8h4c2s QsQc9h8s2d 
QcTd9h8s2c KcQh8c6d5c AcQc9d7c4s KdQcJd4s3d 
Qh9d9c8c3h QsTh9c5d4s AsKdJd3h2c KhTd9s8h5h 
KdJs8s8h4h AcQhTc6c2d AhQdTd6s6d AsTsTh5d3s 
8s7c5d5c4d Kd8h6c5d2c KdKc9s8h3h QcJs9s2h2c 
Ah8s5s4h3h Js9h9c2s2c KhQsTs6s6c AhJd7h4h2d 
TsTc9c6d2d QcJc9s7c6c 7h7d5s3h3d QsJc7d6s6h 
Jc9h8d5h2c As8s8d4s3d Kh6c5s4c2h KhTc6s5d3h 
QhTd9c5c2d Kh9h7s5d4c AsJh6s4d4c Th8c7d6s6h 
QdTh7d6c4d Kh8s6s4h4d 7s7c6c4h3h KhThTc9h3d 
As9h8s3c2c AcKd7s4d2s Th9s9d6s2h Ts9c8d7c2d 
Ah7s6s4h2s AhKs9h5d3h AcQd9c7c4h KdJd6s5h5c 
Ts8h7c6s6d AdQd9h4s3c AdJhJd6d3s 9c7s7h6d6c 
Td8c6d5c3h Js9d8d7h4h KhJhJc5h3d Kh9s7h6c5h 
QdTc9s6h4s KsQhQc7d3s KcQhJd9d5d QcTdTc7s2s 
KhTs9d8h4c QhJsJc9c3d QhTd8s4d2h KdJd9h8d5c 
9s8c7c6d2s QhQc9d8c2s KsQd9s9c6s 7s7h6c4c3h 
QsQc6c5c4c KsTh9d9c6h KdJsTc6d3d KhJs8s4d2h 
Ad8s6h5s4h AsKsQc7s2h QcJd8h6d5d Jc9h8h7s2c 
Js9s8d5s5d 9s9d8d6d5c AcKs9d6d5h Kd9h8s5s2d 
KsQd9c3s3d Qc8s8c6h6c AhKhJh2s2c Qh7d6s5h5d 
QsQdJc8h3d AhTs7d6s6c JsTd9c5s4s AdKdQd7s3d 
JsJc9h7h2s KdJdTsTd3d KdQcTs5h3s QhQc9c8c5c 
AdJs8d5c3d Kd9c8d8c3h KhJh9c8h5s QdJsTd9d3d 
AhKd9s7d4d Qd9h9c8d3c TsTd6h5d3h QcJh8h6h3c 
JsTd9h6d6c Js9h8c6h3s QhJdTc9c2c KsJd9h6s6c 
QdJsJc9s3h KdTd6s6c5h Js9c7h6c4h AsJdTh7h3h 
AdJs8h8c5s AcQs9c4h3d 8s8h6s5h2h AcQsTh6h6d 
AdJs7s3s2d AsKhQc9h2h KsQsQd8c3h KdQc7s6d4d 
KdJs9h4h4d AdJs9s9h6c Jd9s9h2s2d TdTc8c5s2d 
Ts8c7d6s6h Kc6d6c4s3d KcTsTc9c5d KdJc8s8h7h 
Td8s7h7d6c Js9c6h5h5c KhJd9d6h2h QsQd8s4h3h 
AcJs8h8d5s AsJh9d8c4h Qs9h8c6c5d Qc9c8s7h5d 
9d8h7c5h3d KcJsTh9d2d QcJs8h7s2c QhTh5c3s3c 
KhJc9s8s5d KhQsJc7h4h AhQd5h4s4h Ks9s9h7s4h 
JcTh7h7d3d QsJdTc5s2h Ac9s7c3d2s 8s6h5c4h2s 
Ac9h7h3d2c Jh9c7d6c4d JdJcTh5d2s QhJh8s7h5d 
KcTsTc9c3d QdJc8c6d2c QhJhTc8h5h QcTs8h6h6d 
KdTc8c7s5h JsJc7c5d4h JhJd8s7h3s KhJc5d5c2h 
JhTsTh6h2s Ah6s5s2s2h TsTh8h6s3h Ah7c6h4c2c 
Kh9h7d5d2c AhJc7h7c2h AdKd7c4h2s 9d8c7c6h2d 
Qs7s7c5d4c KdQd8d7c4c KcQdJc4c3h AsTd8d5h4c 
6h6c5s4h3c Tc7c6s5s5h QsJs9c7s6s As9d4s4d3c 
Kh8s7h6d6c KsTd5s4d2d 9h9d8d7c4c AsQsTs5s3d 
8d6h5s4s4d Kd9c5d5c4s AdQs9c7h6h Kd9c8s7h6s 
QhJs8h7c5h TdTc5d5c3c Ks9d7s6h5s AhTs8h8c3h 
KsTs9h7d4s QhJd9s9h5c AhJd9s7c6c KhJsTc5c3c 
KsKh9d8c3c QsJs7d5d3s QsJd8c6d5d AhJc9d7s6s 
AcQc9c8h2d Kh6s5s5h3s QsQh4s4c3s Kd9s9h6d6c 
AsJs8h7s4s JdJc5h5d4d QsJc8c7h6c KsJh9d6h5c 
KhJd8h4s2d AdTh8h6s5c KhKdQs8c3s AhQh7c3h3c 
QcTc9s7s2c Ks9c8s5d2c QdJc8s6h6d AcQsTh5h3d 
KsQs8s7c6s AsKsQs8h2c KhTsTh4d3c Qd8d8c7s6h 
QcTs9s7s7d KsQd5c4s4h AcKs5d4c2c Th9s7c4s3h 
JhTs9h5h4c AdQh8d2h2d AdJsTc5c3c Th9d6s4d3h 
JhJcTs4c3c Tc9s8s8d4c QhTd9d6s5d KsJc7d4s2c 
KcTs6d5c4c AhTs4s2h2d QdTs9s7s7c KcQh9s6c4d 
AcQs8d6h5h QdTh9s3s2d JsJd9c5d4d Jc9h6d5h5d 
TdTc9c6s2s QcJh8d6h5h AhQh9c7h4d KdJc7d4d3c 
JdTc8d7h4d AsQh6c3c2s KsQdTh5c3d JdTh9d5d4c 
AcKsJc3h2c KhQdJs9s5s AhKh6h5c2s QhJhTd4c3h 
TsTc8c6c3s KsJd6s5d2s AhQdTh6h2c TsTc9d5s2d 
TsTc8s7h5d QcJd8s7h5d QhTd5c4h2c TsTc8c5h3h 
AhTc3d3c2h KsQd7d6h6c QdTh9h7s7h JdTc5c4c2d 
QsQhJs5s2d QhQdJh9h5h Jh9h6c5c3c JhTs7s7d5c 
Jc9s9c8d6h AcTc9s6d3c QcThTd8s5d Js9s8h7h2d 
Ac8s6c5d3h Td9c8d7h5s Jh7d6d6c5c Td8c7d6c3s 
KdQhTs5s4s QcJh8h7d6h AcJs8c5d3c KsTs8h4c2h 
Kd7h7d6s6d Qs9h8d5s5d KsQsTs6h3c QsTc7h7d6c 
QsQdJd9d2h Kh9c8d5d2h JsJh8c7d4s AhKhQh6c3h 
KdJc9s6h6d AhTc4h4c2c AsJh7h5d4c Qc8h6d4h4c 
Jh7s6h5d3s Ad8s4s4h3d AhTh9c6s3h 9h8d7s6s3h 
Ah8h7c6s3d AsTs8h5c3s KhQh8s8c4c QhTh9d7d2h 
AcTs6s3c2h AsQd9s6s6h Kd9d8s6d4s Ad9d8s5d4h 
QcTs8c7s2c KhQd8c7s6s 8d6s5s5d4h KcQd7d7c3d 
QcTd9d7h7d QhJd7d6s5d Jc6h6c4h4d AdTd8d6h5d 
AdQh9s7c6c AdJc6h5d4d Ts5s5h4h4c QsTs9s6d4c 
KsJh5c3s2h KcQd8s5d3s AdKs7h4s2h KcQh8d6c5c 
AsJs9s9h3d AsJd8s5h2s QcJhJd9h3s Kd7h6d6c3c 
KdJs8h8c6d 8h7s7h6s3d AhKdJh3s2h QdJd8h5d3h 
AdTh8s6h2s JhJd8s6d4c Jh9d8d7h3s KhKcTd3d2s 
QhJd8d7c6d 6h6c5s4c3h Jh9s8h7c2s KcTd6s5c4c 
KcJdTh6s4s TsTh7h7d4h Ac6c5d3d2h AcJs8c7d3c 
Ah9s8s8d4d 7s6c5s5h4c QhJd9s8s6s KhQh7d4c3c 
KsTh4s4d3h Kh8c7h6s6d KdJs7d4d3s 9c7s7c4s4h 
Kh9s8h8c4s KcQdJd9s2h KhQh8s6d2s QdJs8c7h6c 
AhQh9d7h4c AsTs6d5h4s AhKs9d6d5c JhTs9d6s6c 
AsQs7s7h4d KdQh6s6h5c AdQh8s8c6s Js9c8c7c6d 
AhJh7s5h3c Ks9s9d8d2d QcJcTd4h3c KdQsJh6h4h 
AcKcQh8s2c Ks8c6c4s4d QhQd5d4d3s Kd9d7s5s2c 
KdJs8s8c2d AdKc8c6h6c QsJh8d7d6c QdJs7h6d6c 
AcJsJh9s2d As6s5d3d2c KcJs9d8d5h JhJc8d6s5d 
Kh9d8c7s6d Qs9d8h5s2d Ts9s8h7c2h KsJh7h5h2s 
Qs7d6s6d5s As9s9h5s5c QdJs8d8c6d JsTs6c5h4d 
AsKdTh5c3h Ad8h6d5c4d QcJs7s4s3c QsTh9c7c5d 
AsJc8d5c2d KdQcJs7s2c QsTc7s7c3c Td9d6c5c3d 
AsJhTh3d3c 6d6c5d3h3c AdTs9c8c5c 8h7h6s6c4s 
Ts9c8c6s2s AhQcTs7s3d AdQc5d3s3h KhQd7h7d3h 
Jd7s7c5s4c Kc9d8d5c2h KhQd8c6c2d Ts9d6c4d3s 
QdJsTh4d2c 9h9d5h3s3d AcKc6c5h2d JhTc9d6s6c 
Qd8c6d6c4c JhTs8h8d5c AcTs6c3h2s Ac9d8d4c2d 
JhThTd6h2d KsQsJs7h7c AsTd4s4d2d AcQc8h5c3d 
JdTh8s8h3s AcQh9d6d2h KcJs5c3d2s KhQh6h4s3s 
QhTd9c8s5s Ac9h4h4c3d AcTc8c6d5c AdThTc5s2d 
KcTc8d4h2d KcQd9s9d3s QdTd9c8h3s KdQd9s4s3s 
KcJs9s8h3h Qs8h6c4s4h QhQd9s9c4c Ts9d9c7c5h 
KhJh5d4h3d 9s9h8h6s2c KhQc9d9c3d 7h6c5s4s4c 
Ac8h4h3d3c AdJc7s5c4h Kh8s6c5h2s KhQdJd9s3c 
QcTdTc8c5h QsQh9h6h4c QsTc6s5s4d Td9d6s5d3s 
Tc5s5h4s4c QcTsTh7h5d ThTd9d6c2c JsTd8c4c2d 
QhJs5h3s2c AsQdJd4h2c Tc9d7s7c3d TsTc8s7d5h 
KsKdTc6h2h KdQc6s6c5h QdTs9h3s3h KdQs7c5d2c 
TdTc9s6h5s KhQhJc7h4s KsQd9s3h3d Js9h6c5h5c 
Qd9s8c5s3d KsQhTc5c4c JcTc6h5s4d 7h7d6d4c3c 
KhQdJs7c5c JdJc8s7s2d Js7s6c5h5c QhJs8h7d5h 
AdTsTc9h5h 8s8d6d5s2s AhTc7d6s6c KcQdJd7s4h 
Ts8h8d7c6s KhQs8s8d2h KsJdJc9h5h As9d7c4s4h 
AcKsQs2s2h AdQd8c5d3s Ks9h9c7s5d JsTh8s7c4s 
Ts8c6s5c3d KcQs9s9h3h 9h8s7s6c2h As9s5d4d2h 
KhQs8s8c2h AsJsTs4s4d AsQh8c3c2s AhQc7s5d4s 
AsTd6s4c3h Ah6h5s4c3d KsTc9h9d2s JhTc8s8h5d 
AsTc6h4d3s QcJdTh5c2s QcJs8c7h3s AhQh7h7d4s 
QhJcTc7d4c AdTc5d3c2c 8d6h5c4h4d Ts9s8d6c5s 
Kd8s8d6c3c Kc8c7h6h2s AsTh9s7s2c AhTd8d6s5c 
JhTd8s7h4h Jc9s9c7c4s Th9s9d6d2h AsQs9d7h2c 
Jh9c8s7s2h Ah9c8h3d2d Qs8s8c7h6d QdJhJd9d4s 
Ah8c6h5s4h KsQd6h6d5c Jc9s8s7d4d QdJdTc4s3d 
AsKhTc4h3h 8h7d6d5c4d AdKc7h5s5h QdTc9s3s2d 
Tc9d8s6d5h KcJhTd8d5d Qc9s9d8d3c AhKs8d4s2d 
QdJhJc6s3d JdTs7d5c4d KhJc9d8d5s QdJh5c4d2c 
AdKcTd6d2h Tc9h6d4h3c JsJc9d5s4s KsTh6c5d3s 
Jc9c6s5s3s QcTh8d5d3h 9s7h7d5h3s AcKcQc8s2h 
KsJs6c5s4d Kh8d6d4s4h Tc9s9h6s2c AsQdTh6h6c 
Js9h8h6s3c 8d8c6s5s2d KhQd7h6s6h KcJsJc5c3d 
TsTd8s5c2d KsTh8h4s2h KcTh8c5h2h Ac9c5d4s2s 
Qh9s9d8c6h 8d6s5c4s4d QsTh6h5s2h JhTs8c7h4h 
AhTd8c6s5d Ts6s6d4s4d AsKh7d6d4c AcKdJd3s2h 
KdQcJs6s4s KdJc5d3h2c TsTh7s7c4s AdQsQh6c2s 
TsTc7d7c2s AsKd9c3d3c KsQc7d4s4d KhJs7h4s3h 
AdQh9c7d4d KdQh7h7d3h Qd8h8c6s6d KhQd7h7d3d 
Th9c7d7c3h QhTd6c4d2h QsTc9c7d7c AcKc8s5c3h 
JdTsTh7d4d AsJsJd6s3h Qd6s6h5d4h 9d9c8d7s4s 
As7s5h5c3d AsTh9c4h3c QcJs7h6s5d Td8h7s4s4d 
JsJc9d8h5h AhTc7d6s4c KsJs9h6d4c AhTc9d8d5d 
KhJs5s3h2d JsJd6d4c3c AsTdTc9h5h KdTc9s8d5d 
8c7h6d4d4c 8s7h6s6h4s JsTs6c5d4h AcKhQh2h2d 
KsQc8d5h4s Th9d6h4h4d Kd9d8c5s3c QcTs7c6d4c 
As6s5c4d3h Ks9s7s5h3h AhKs8s6s4d Js9c8c7d4d 
ThTd9c5d2c AhTs7d6c4s AcTs9h9d5d QsTh9s9c3d 
AcJs8d6s5h Kd8c6s4s4d Tc9h9c7h2s AhJh9h9c3s 
KdQhTc9h3h 9h9d5d3s3h AcKs7d6h4h AhQh9c5s3h 
AhKh9d3h3d QsJc8d8c7c Td9d6h5h3d KhTh7h6h4c 
AhTd9c4h2s QcTs9h6c4c QhTdTc3c2d As8d8c4d4c 
JcTh7s6s6d AsJc6s6h5s KsTh7h3s3d KcJh9s3c2h 
AdKc8h5c3s 8h6c5d4h4c QhJc7s7h6d JcTs9s7d3h 
KcTc6s5h4c 7h6c5d5c4h QhTc9d8s2h KhQdJs7s2d 
AdTc9h8h5h AdKs7h6c4c 9h7s7c5c3h KdKcJc8c3c 
JhTc8c7c4s QhJh7d6s3d Qs6h6d5s4d AdJsJc6h5h 
KhQc9d6h4s JhJcTd9d3d 7d6h5h5c4c JsJd8d7h4c 
6h6c5s5c2h AcJc6d5h4c Qd8s8c6h6d KsTc5d4s2d 
Qc9c8d7h5s AdTc9s4c3s Kd9s6c4c3d KdQd8s6h2s 
QsJh9h5d2d QcTs9h9c3d Jd9c8c7s2d AdKs9d5c3d 
8s7d6h4s4h JcTs7c5h4c KhQs9d7d2h AdTd8d8c4d 
8h8d7c6s5s 7c6c5s5h4s KhTd8d7c5s KdQc9c7d2c 
Jd9c8s7s6s KhJhTh9h4d KcQdTc8h4c KsQhQc5c2c 
JhJdTs6s4s JsJh8d6c5d Ad9c8s8c4s KhJs7h5c3d 
Kc8d7h6s4c KhJd9s3h2d Js9h8h7d4d QhTsTd7d5c 
AsTc9d9c6c KsQcTd5h3c KhJs8s7s7c QsTh9c7s4d 
JhTs6h5d4c Th9h8s5d3d 9c8h7c5d3d AhQsTs8c2s 
JhJd5s5h4h Qc9s9h5s4h JcTd7s6d4h KsQhJs7s4c 
9h9d8h6d2c QcTc9s8d3h Qh9h8s5s2d 8c6s5h4h4c 
9s8h7s5c3c QsJh9d6s6c KsJh8h7s3s JdTh6s5d2h 
QdTs9s6c4h KdJhTs5s3s KcQsQh6c2d JdTc7s6h5h 
Kd9c8s8d4c 8c7c5d4h4d KhQd9s9h6h QsTd9h6s4s 
Ac9d7h5d3h JdJc9s6c2s Jc9d7h6s5c KdQdJc7d4h 
AcQsQh7s3s 8h7s5s5d4d KdTd7d6d4h Ac9c8d5c4s 
AdTc7s6h4c AhQh8d5h3s Ks9s9d7d2h QdJc7d6c3d 
KcJd8s8d4s Ts9s6c5s3c AsJsTs4s4h AcTh8h3c2c 
Tc9h8s8c3s KdJs8c7h6h Td9c8s6c5h AsQs7s7c4h 
AhQs9c7c5d QhJc9s7d5c KsJd5c3s2d QcTh8s7c4d 
