AhJh8d6s6h 
9d9c7s7d2c Qh9d7c5h5c 9s9d6s4c3d AcJsTs8d2s 
AhJc5s3h3d Jh9s9d8c7d AhJc8d7c6c AsJs8s5s4h 
QsTh7h6d3d AdJc7h5s4c QsQd4s3h3c Kc9s9d5c3d 
AsKs7h6c3s QcTs7s7h4h Ad9h8c7s6c AdKcQc4h2c 
JcTh9d6s6c Kc6c5d4h4d QhQc8h7d2d AdKh9c5d3d 
AhKs9s4d3d QhQd8d7c2c AdJs7s6c5h JhTs9h5d4c 
AdTd7h3c2c Ad8h8d5s2c Ts7h6s6c5c Ad7d6h6d5c 
QcTs8c7h4d JsTs9c6h6d Ts9c8h8d7c AdQc8d4h3s 
8s8c7h7c6c Qd8c6s6d4c KcThTd7c5c QcJs9d8s6s 
Th9c7h6d5s KsQh7h4s3s QhQcTc8s3c AhJd9h7s3h 
AhTh7s6s2h Qd9s9h7d6c KdQd8c6d5s AdTc9d5d3s 
9c7d6d6c4s KhTsTc8c2s KdTc7d6h2h JsTc8h6d5h 
KcJsTh9d5d JsJh9h5h5c KsQsJs4h3d QsJc9d8h5c 
AdJc9c7c6s KdJdTh6s6d AhKhQc8h2d AhQc6s4s4c 
Ac5s4d3c2d AdKh6d4s4d QhQcTs6d2h JsTd7c5d4h 
KcQhJc5c3s AhJhTh9h4h Ts6h6d4s4d QsJsTh5c2d 
AsJd9d7d6c AdJcTc7s3c KcJc8h7c5d AsTs7c3h2h 
AsTs8s5h5d 7h7c5c3s3h JsJh9s9d3s AcJh3c2h2d 
KdKcTd8d3d AdTh7d4s4d Qd9s8c5s5d Tc9c8s5s3h 
AcTd8s8h6d Th9h8c5c3s Ac6h5h3c2s KdKcTc6c2c 
Jh9s7s6c3h As9c6d5s3h Ts9h8c5s5c QcJd9h8s5d 
JsTc7d6h4s AdQcJd3d2s Kc7c6s6c4s QdQcTs7s4s 
JhJc9h7h6h Ad6s6c2s2d JdTd6d5h3h JsTsTd8s5c 
AsJc9s7h3s Jc9h9c6s3s Ad8h7s5d2c KhQdQc7c4c 
AsJd8h7c6h QhTs7h6d5h 9h9c8h5c4c Ac9d8s7h6h 
AsJc8h7d6h Th9s6h6c4s Td9s9c7h6h TdTc8s5c3d 
9h9d6h5d2c AsQsTc5d2s AcTd9c5c3s KsThTc8h2c 
Qd8s8h7h4d AcQhTc5d2c QcJd6c4h3h KdQdJd4c3h 
Ad9c8s6d3h AdTs8s8c5h Td8h8d6h3s KdQd8h5c2c 
QsTh8d8c6d JsTs6h4h3c AsQdTd8d2h QhTdTc9c5s 
Kd7s6c4s3d 7d7c5s4d3c QcTd8s6d2s KsQcTh9d4h 
AsQhJh8h4h Tc9s9c8h3s Ts9h9c8c3h KdQsJs8h2h 
KdJhTd4d3c TsTd7h6s3h QdJs9d4h2s JdTs9s4h2h 
Tc9s8d6d3s AsKdTc6c3h KcQc9s9d7c KhQcJd8s5d 
AhJcTc4s4d JhTc9c6c5s JhTs9s5d2d KdJd8s7s2s 
QsTc9s4h2h AsQh8d6h5h 6s6d5s5d3s Td9h6h5c3c 
TsTc9d6s5h KsTc6s4d2c QcTs7h6c5c QdJdTsTh5d 
KsTc9s6h6d QdTsTd7c2s KdJhTc4s4d AsQd9c7h2s 
Ah5s4h3s2d AsQh7s4h2s 9d8c7h6d5d AsKs8s7h3d 
6s6c5s5c3s KdTs8s5s2d KhQhTs8h4c QdTh9s7h5c 
JsTs7d6h5s Qc9s8h5s5c Tc9s8h8d7s KcQs8s4c3d 
QsJs5h4d2h KcJcTh5s5d KsQh9d7h7c 8s7h6c5c3h 
KsTd8h6s5s JhTc9h5d4s JdTc9d6s6h KhQcJc8s2s 
AhQcJc8c4c KcTh8c6c2h AcQh9c5s4c KdQh6s5h2s 
7d6h5s4h4d AdJs9c8c6h Tc9s6c5c3s AsTs9h5c3s 
Th9d9c7s6s Qs9d8s7s6h KsJh9d6s5s JsTc7d5h4c 
QdJd9c5h4s KcQsJd8h5d Qd8s6s5c4c Jh9d8c5d3h 
Jd9s7h6d3s Ad9c6d5s5h Ah9s8d6h3c Jc9d7h6c3d 
AsJdTd7h3d AhJsTd4c3s AhTd9h6h4c KcJd7h7d4h 
ThTd9h4s2d KhKd9c7h2h Kc9d9c8c7s AdKs6d4h4d 
KdJd7h6s6c Jd9s9c5s3c ThTc9d6s5h Kc7s7h6c3s 
AhQc9d7s2h KcQs8h7s7d JhTs8d6h4h Kh8c7h6c3d 
9d8s8c5c4d 8s7c6d6c4s KdJd5s3s3c JsJh8d6d3s 
Qs9s9c6c3s KhKd4s4c2c 8s8c7h6d6c AsTh9h7c2c 
KdTc9h8s4d Ah8h8c4s2s JdTh9c6d5d KsTs9h3d2h 
Js9h8d5h3s AcKc9h6c4s 9s9d8h5h4s Ts9d8s6d3s 
QsJh9c7h6h QcJdJcTc4c JhTs6h5d2s Tc9s8c7c4s 
AcJc6s3s3h AsJdTs7s3s AcKsQd8d4d Ad8h7s7d3c 
Td8s7h7d4h AdJsTs8h3s QhJs8s7h2c TsTh9d6c5h 
KsKh7h2d2c AdKhQc8c4c QsQhJc9c5c QdTsTc9s2h 
JcTs9s5d2d Ts9s8d5d4d Ac9d8d4d3c Ad7d6s6d5c 
KcQd6c5s3h QhTd8d7d7c Ac9s6h5c3d JhJd7s6s3d 
AhQcJc9c4s QdJc9s6s5h QsJs5h4c2c JhJc9s6d5d 
9h8h8c6h4c AsQs9s7d4h Qd9c8s7d6d 9h8s8c5c4h 
Ts9c8c6c2s AhJsJc9s6s KdJsTs6s4c TsTh9s6c5d 
QsQhJh6d3h KhTh9h8h6d Kh7s7d5s5d 9h9d6h5c2d 
Kc9c8s8h6d KsQs8d6s5c KdJd6s4h3h Kc8c7h5d3d 
AdTsTh8h4h As5c4s3d2d AcKd8s6h5h AdTh8s8h3s 
JsJh8h7s3h AdJd8c6s6d AdJc5s3h3d AdKcQc9c4s 
JsTdTc9d3h Js8s6h6d5h KsKdTh4c2c KdTs8d6h5d 
Ah7h6d4h3d KdKc9h7c2c Qd9s6s6d4h AdJsTs7h3s 
KhJdTd6d4s AcKs5h5d2c Js9s9h7d3d AhQdQc3d2s 
Qc9h7c6s5d AhTc9s8c5c Kd9d6d5h3h JsTc9s3c2s 
Ad5s4d4c2c 9h9c7h6d5h JcTh9s7c3d KcTd7s7c4h 
KcThTd8d6d JdTd9h4h2d QcJc8d6d3s QdJs8d4s3c 
AsTdTc7c5c Js9s8h5s4h KcJdJc7c5c AdTsTd5d3h 
QdJd6c5h2h KsTs7s4d3d 9h9c8c5h4h AhQsJc9s3s 
QcTd7s7d4s KdTs9s4s4d JcTsTc8c5h AcTd8h8d5s 
KhQhTs7d3c KsKc6h5d2h AhQc8h8d3s Js8h7h7d4s 
KsJsTs6h2h AsJs7d5c3s AhTh9s8h4h KsQsTd9h4s 
8s8d6d5c2s AcKc8s8c6c 9d9c8c6h5s JdThTd8d5c 
Tc9d7s5s5c KsTd8c4s3c Ac5h4s4c2s Kc6c5c4d3d 
AsKd9c6h6d AhTd6h5h4s Qc9d8d6c4c QcTc9d4h2h 
6d5s5d4s4c As5s4h3d2d QcTd9c4h2h AsKd7h6s3s 
9h8s8d5d4h As5s4d3h2h KsThTc8h6h KdQd8s7d7c 
Jh8h6s6d5s Kh9h8d7s5c AhJh6c3d3c QsQdJs6h3s 
QsJdJc7d5d QsJs9c7s4c AdQd8d6h2h 9d8c7d6s5d 
9c8h7c6s5c 9d9c7s7c2d JdTc8s5c2s KsJhTd4c3h 
9h9c6d5s5h AhQs9h5h3c AdTc9h8s5s QdJsJd5c3d 
ThTc6c5d3d QsJs8h6h3c JdJc9d5s5d Jh9c8h5d5c 
9s9d8d5s4d AsJd8c7h4d QdJs5h4h2d Th9c6h5c4c 
Qc9d7c6h3h KcTh6d4c2h QhTd9h4s2s As9d7c5d4c 
JhJd9s9c3h KhKd6c3d2s KcTd9h3h2c QcJh8s6s3c 
KhJs7s5c3c AdTd7h3h2c Kd9d8s8h6c AhQsJs9s4d 
AcTs9s7h2h AcQsJc3c2d KdQdJs8d3s KcJd6h5s5c 
Jd8d6h6c5h KcJd8c4h3d Ks9s8c7d5h Jd9h8c7c4h 
AcTs9h8s5s JhTh5c4s2s AsKdJs7c2s QcJs7d5s5d 
Tc9c8s5s4s Ks8s7d6d3h AcKc8c7c4s QhJd9s7d6d 
AdJcTc6s2s AdKd9c6h2s QdTd9d6s5d 9s8d8c5d4s 
JsJcTh5d3d QsJc9h9d7h AsQh6h3h2s AdQc9d5d3s 
Kd9h8s7d3s AhKcTc6d6c KhTc7c4h3h KdJc7s7c4s 
AdTd8c7h3d AsKdTd4h4d Ks9s9c8h2c KdJd7d5s3s 
AhKh5s3c2d AhJh8h5h4s JhJd5h4s2d KhJd8c7h5h 
KcQs9h7s7d Kd9h8h8d2s Kh8d8c7d5c AhQd8s6d5d 
AcTs9s9d6h 6d6c5d5c2h Tc7h6c5h3d Qc9d7s5c3d 
QcJs9d7s6s KcQh6c5d4c KsJs9d8s6h QdTh9c7d5d 
AdQsJh9s3s AsJc9c7c6d AsQc7s6s5s KcTd6s4c2d 
QcTh8c4s3s KdJh8d7d5s JsTc9s7h4d QcJh9d7h5s 
AhQc7h4s4d QcTc9c8h5s AcJh5s3d3c AhKsJh7d2h 
KsQdJs5s3c QsJd7s5d3s QhQdTs7s4s JhTsTc8s5s 
TsTc6s4h3c KdQhTs9c4s JsJd9s5s5h KhKc9h4s2d 
KsJsTs7h3d Tc9s8h7s7d QhTd8h7c4s 7c5s5h4h4c 
Ac6d5c3s2d Ts8s7h6h3c QsTs9s6c5s Ah6c5h3s2c 
KcQs6c5h5d Ah7h6h6c5d AsQdTc5h3h Ad9d6h5c3s 
Th7h7d6d4h Jd7s7h5h4d JdTsTh2s2c KcQs7s6s5h 
QhJh5s5h4s KsQc9c4s4d Ts9s9c8s7d Qh8s7d5s5h 
Qd7s7h5h4d KsJs7d5h2h 9s7s7c6c3h QsTdTc9c2h 
Tc9s6s5d3d AsQs9d5h2c Ac7h6c4c3h KhQd5h5c4s 
As9c6h5d3s KdJh9d5c3s AsJhTc4d3h Qh9s8h6d3s 
AsTh8h8c3c AhKcQc6d2s KsKhTd4c2c Ts9s8d8c6h 
9h9c6h5c2s QhQd4d3s3c Ks8c6d5d4c As7c6c5h4h 
QdJcTs6h3c AdKhQh4c2h Ts9h6d5s3d KsThTd8c4s 
9h8d7h5s5d KcQhTh4d3s QcTh8d7c2d JsTd9c7s3h 
AsQs9c5h4s AhTh9s6h6c KsJh9c7d5c Qh9s8s7c6d 
KsJs9d8s6c QsQc7d6c4c QsJsTs7s7h JsTd9s9h5c 
AsJsTs6c4s 8s7s6h5d4c KsJc6d5s5h Ac7s5s3c2h 
AsTh7d6h5c QhQdTd8s3d JcThTc8c5s AsTc6h6c4h 
Qd7h7c5c4d KhQsThTd4h AsTd9d7d6d AdQc7s3d2c 
Ts9s7d5d5c QhJc9h8h7h Qs9s9d8d4c TsTc7s5d3d 
AhJc6h5d4h Jh9c7h6c4h KdQhTc7d3s 8s8h7s6d6c 
QcJh9c4h2s Qh9h7c5d4d QsTsTh6d3c KhQs7s4s4h 
Th9h9d8h7c AdTc9h9c6s Ac7c6h6c5s 8s7d7c6h6c 
AhJdThTdTc 8s8c7h6d5c QhQc8h7d4s Ks9h9d5h3s 
AdKhQc4c2s Jc9h8s6c5d KdJsTh8c2d KsQdTh6c3d 
AcKh9c6d4c Jc9d7d6s3c Tc9s8c6d2d AcTh7s6h5d 
Qd9h8h5d3s AhTd9s7d5d AsQs8s6h6c KhJh8c7c2s 
QhTsTc9c5d AhQh6h6d3d QdJd6c4h3h QdJc9s4d2c 
9d7h6h6d4c As7s6d4s3d Ad8d6c5c2d 7s7h6s6h2c 
8d7s6s4d4c AcJc8c5s5h Ah9h7s5d4h QdTh9c7h5s 
Kh9h8d7s3s KhQh9d6d2d KdTc6c3s3d Ad9h9c5s4d 
AhJc7s7h4h KsTdTc7c5h QsJd9s4h2d KsQh8h6s3s 
AsTd9c7d5d 8s8c7d6h5c Jd8d6s5s4s QdQcTs9s4s 
KhQdTs7h3c Kd9s9d8d7h KcJsJh4d3c QdQcTh4s2c 
AhKd4s4h2c Js9d9c8h7d Ac8h7s7c4c AcQhTc5s2c 
Td9c6c5h3h AcJs7c6d6c JcTc7h6d5c KcJc9h9c8c 
AdKcJh7c2s Jc9c6s5s4s JsTd9s8s5c AsKs6h4s4c 
AdKhTh6c3h QhJh8d7h6s Jd9h9c7d4h Js7s7c6c5c 
QhJd7s6s3h AhQh8d4h3d Tc9s8h7c3h AsAdAcTh3h 
KsJh8h6s3h AhKhJh7h6h QhQc8c6c4s AsQs8d2h2d 
KcTsTd8s2d Kd8c7h5d3h Ks6h5h4c2s KsQsTd7c3h 
Ad6d5s4s3d AhJh8h5s5d As9h7h4s3s AcJs6c5d4c 
8d8c7s6h6c KsQsJh6d6c AhTh5s4c3d Qh8h7s6d5c 
AhJh8s6c4h Js9h8c5s3h 9s8d7s5d5c 9s9h8h6d3s 
Ks9s9h8c2h AhTh9d5s3h Jd9s9c8c4d KdJd7c5s2s 
KdQd8c7d4c KsTh9s6d6c AcQdJc3c2s Tc8c7s7h4h 
QhJs6h4c3c QcTc7d7c6h KsJs8c5d2c Jd9c8h5c3d 
Ts9s9d8c3d JhTsTc9d3s KhQh7c4d4c KdTs7d6h2h 
JcTc9d6h5c Jd9s8d7s4s TdTc8s7d5h Qs9s8c7c4c 
KhQh7c4s4c AsJc9h9c5d JdTd9h6s5d KsQsQcTs4s 
AdQs8d4c3h AdQh6c4s3d Jd8d6d5c4c As8s7h2h2c 
8s7d6h5h3d 9s9h7s7d5s QcJsJc4d4c KdQs8h7s7c 
KsTc9h9d6h JcTd8s6h5s AhTh9d6s6h QhJd7h4d3s 
KhJh7h5s3s ThTc7s5s3h KcQsJh7h5h QsQdTc6h2s 
7s5h5d4s4d JsTs8s8d6c As8c7s6s4d KsKd9h4d3d 
AdKhQh7c2s KcJs9h7d5h Ad9s8c7h6c Qh9h9c7c3s 
Th9h9c8h7s AhJd9s5h3h Qd9s7c5d5c AhKh9c4c3h 
QsQcJh4s2d Jh9d8c6d4h QhTd7s7d3h QdTd9h9d7d 
QcJs9d7s5h Js9d9c8c4s AcKh9s5c2d As9s8d6h3c 
KcTh6c5c2h AcQd8s6d5d AsKs7d3c2c KcQcTh8c4d 
Qh7h6s5d3d Jc9h7d5h3d QsThTc9c2d KsQh9s9c7s 
KdQh6d5c3s Qh9c8d5h5c AcKs9s4h3h KsJs7c5h2h 
Qc9h9c7s4h KhKd8h3s2s AcQh7c6c5c QcJd9d7s7h 
Ah9s8d4d2h AhQs6c4s4c AsJd7s6s6c Tc9h8s8d7s 
KsJs7h6d6c AhKhJd6h4h AdJc7c4d2d AcKh9d7c3c 
QhTc9d5h4s 9h9d8d7d7c Qs9h6s6h4d 9h8h7s6h5d 
KhQc6s6d5h Qs9s9c8h4c KsQdTd8d5h KdQdJc7s2s 
AcKsQs4h2s As7h6h5d4d AcQc9s5h2d AhJcTc8c2s 
KsKhTs8s3s JhTd9c6h5h AcJs7s6d5h KsJhTs4s3d 
Qc9d7h5h5c Td9c8s5s5d QsTs7c4h3h AsQh8h6d5h 
AdTs9d6d4c AhQc8d7d6d 9d7s7h5d4h Tc8h8d7h6s 
KdQdTh3d2h AhQs8h6d2c AsKcTd6d3h KcQd6h5d2h 
KcQdTs7d5d AhKhQc9h4h Jc9c7s5s3s JdTd8d5s4c 
KsJdTs7c3s Qh7h6s5c3c Tc9c8s8h6d AdJd6h3s3h 
AcTd5s4h3c Ad9h8h4h3d KdQhJc6h3s KdQh9s7s3h 
JhTs7d6h4c Qc9s8s7d6h AhJcThTdTc AhTh9c8h4h 
KcQh7s5h4d Ks8s7d5c4h Kh9d8h7c2d Ac9h8h4h3c 
JsTh8c6s4s AdJc6s4h4d Jh9d8h5s5d Kc7d6d6c3d 
KdTc7h6c5s AsKsTc5d2s KsKh4d4c2d KdQcJd5d3h 
ThTd7h4d3s 9h7s7d5s4d Qh8h8c5c4c AsKs7d6h3s 
KcJc5h4d2d 9d9c8d5h3c KdQdJc5h2s Js9c8h5c3s 
KsKc6s3d2h KsQdJc5c3h KcQc7h5h3c AsKsQd8c3s 
8s7c6d5d3c Qs9s9h8s7c Tc9s6s5c3c Tc9s6s5c4c 
KhJhJd7h5h Ks8h7s6h3d AhQd7h4s4c JsTs9h6c5s 
KdQd8s6c3c 9s9d8d6s4s KdQc6c5h2h Qc9h6s6c4s 
Ah9c7s5c4s AdTs7d5s2d AcQdJd7h4d KsTd9s8c2h 
QdTh7d5s4c 9c7s6s6c4h KhQcTc4s3d AhJh8h7h7d 
Tc8d7c6h3d Kd8s6d5c2c AdKs7h4c3s Ac9d7c4h2d 
JdTsTd6h2h QsJcTd8d5d 9c7d7c6d3h AdTs8c6s5h 
9h8c7h6d5h AcQh7s5d4h AdTs9s9c6h JdTsTd5d5c 
AsTh9c7d5c KhQs6h6c2s Jh9d8h5d4h QsQh9c6h4h 
AcKsQh8h4h AhTsTc8c4c KsJhJc8d5c JhTc9h9d5s 
Kh9h9c7s5d Jc9d8s5c3d KsQc6c5d2d AdTc8s8c3s 
AdQcTs6c3h 7h7d5c4h3c AsJcTsThTc Jh9d5d4h4c 
AhTsTh9h6h AhJd9s7d6d TsTc9s7d5h JsJh8d6d6c 
KsKcJs7s3s 9d8h7d6s5d Ah5h4s3s2d 9h8h8d7d5d 
KdTs8h6d5d KcQsTh8d4s KhQd8c4h3d QhQd8d7s2s 
KhQh9s5s3h AsQcJd9c3c 8h8d6h5c2d AhJh7d5s3h 
AdJd8d5d4c AhKdJs9c4c JcTc9d6s5c QsJsTh5d2c 
AsJs7d7c6s Qh9h6s5h4s JdTc9c6d2c AsKh9s5d2c 
AsTd8c6d5h KhQhQcTh4h JdTc7s5h4c AcJs8c3s2s 
AhKc4h4d2s QsJs8c6c3h QsTc8s7d4h Qs9s9d8h4d 
Qc8s8c7h4h QsTc9c8d5h Td9d7d5c4c AsJh8d7c6d 
KsTd7d6c5h JhTc9s7c4d JdTh9h6h2d AdJd4c3h2c 
Jh7c5h5c4s Ac9h7h4c3c As9d7s4c2d QdThTd8c5d 
QhJd8c6h5h JsJc9s5s5h AsKsJs9c3s AhQd9s7c2h 
KdJd8c7c2h QdJd7h7c4c AsJs9h5s3d KdQcTs7s5h 
JcTs9c6d5c KdQhTsTc4h QcJdTs8h4h KcJc7c5d3d 
9s9c7h7c2s Tc9d9c8c7h Tc9h6s5c3s AsKh9h4d3d 
AhTd5h3s2d QsQc7d6s4s KhQs7s7d4d JcTh7d6s4c 
9h7s7h6s3d AdJc9h7c6c JdTs7c5h4s KsKd6d3c2h 
AdQs6h4c3d KsTh7s7c4d 7h7c5h3d3c QhJdTs8c4c 
As8d7s4h4c AhJs8h3s3h TsTc8d8c5c JcTc8h7c3h 
7h6c5c4h3c AcJd8d7d6h Qh9s7h6d5c 7d5s5h4s4d 
KcJh8d7c5c QsTs9c7c2c QhJs8h8c6d ThTc5d5c3h 
AcJc8s6d4c QsJh9c8h6h AhThTc9h6h Jc9s9h8h3c 
JcTd9c6s6h AhKsTd6d3c AcKhQh5s2h KdTd8c7h5d 
QsQdTc9c4c KdQc7c4d4c AsQs8d3h2d AsQc9h7d2s 
Ah8h8d5h4c AhJh8s6h6d QsJs8c6h3c JcTc5d4h2d 
ThTd8s5h3d AhJc9c8c6d QdTd7d7c6h KsTsTc9s4d 
AhKh7h4s2s QcJh6c4d3d AcTd5c3h2d KsJcTs7h3s 
AcJh9h7h6s JcTs9h6s2h Ah9s7h4s4h Jc9h7s6c3h 
Qh7h7c6c5h QsQcTh9h4h AhJd8c7d6d TsTd8d6h3h 
KhJhTs6h6d ThTd9c6h2c AdKcQs8s4s Jh9s9c8c3h 
AhKh9d6h4s QdTs7s6c3c JhTc8h4h3c AsTh9h9d6c 
AcKs8s7d3h Jc8s6h5h5c KdJsTd4c3d Jh9c7s5s5c 
Qs9s9h6h3s TsTc8h7c5d QcTd8h6h5s Kd7s7c6d3s 
QdJhTs6c3h AdJd8c3h2c QcJh9h4s2c KdQdTc9s4d 
KcJs8s6c3s Ts9h9d8d3h 9d9c8d6h5s 9s9c6h5s5d 
JsThTc8c5c QhJc8s6h5h QcJs5s5c3c AdQc7s6h6c 
AdQcTh6c3s AhTc7s6c5d Kc9d8h7c3h Td9h7c5c3h 
AsJhTh8h2d AdQsTs9s5s KdKc9h4c3c Th8s8h6s3d 
AhJs7h5h3c Qs9d9c7s6h TsTc9c4d2s 9h9c7h7d5h 
Qs9d8h8d5h AcJc8h3d2h JdJc8d2s2c Qh7h7c6d4c 
Js9h8s5h4s KsQs8h7s7c AhKs5c4d2s KcQh6d6c2h 
Ah8c6c4h2c KhJcTd9s4d JhTd9s8h2c Kd9c6s6d3c 
7s7c5h4s3c Jd9s9d6s4d AcKdJs9h4h QcJc5d4h2h 
AdQs8c7h5c AdQd9h4h2h JdTc7h6s4c AhKh8h7h4d 
QdJsJh7h2d KhQh8d7s7h AcJd9h9d5s KdTc6c3h3d 
Qc7c6h5d3d AhKcJh7d2h ThTd9c6d5s AcQsTd4c2c 
KhJsJd6s6c QcJh8s6c5c QdJh7h7d4h QsTd7d6c3c 
QsJc7d6d3s Ks9h9c8c2s AdKh7s3d2s Js8h7c6h4c 
Ks8d6s5d3d AsKdJh5h3h QsTc9h7s5s KcQhTs5s4d 
As5c4s3c2h QhTc7h5s4d Qs9h8h5s3d Jd9s9h8s4d 
Qc8d8c7s4s 8h8c7s6d5h KcTs9c8d2h QsJc8d7s3c 
Ts9c7s7h4h Qc9d8d7s6h AsJh7h6d5c JsJd7c3s3c 
9h8c7h5d5c AcKh9c6s4c Ad8h7d6d4c AhQsJs9c4s 
Ah9d8s7c6c QdThTc9c2s QsJs8c6d3c Ts9h8d5s5d 
8h7h6d5c4s AsTs5c4d3h AhQh4s4h3s KsJhTs6d3s 
JhTh8h6s5c Ts9d8h8c7h 8s7s6d5s3d 8h8d5d3h3c 
QcJs9c8c7c QsJh9d4s2h 7d7c5c3s3d 9h9d8h5s3d 
As8s8d5c2h AdQh8c6c2h QdTd8s4s2c AcJs8s7s6d 
As5c4h3s2h KhQcTs7h3d QdQc6h4s4h Kc7s6c4h3h 
JhTdTc2s2d JcTsTh7s4s AdKs9c6s6h ThTc9d8d6d 
KcJsTc7d3c KdTh7s5s2d Jd9d7h5h3h KcTh6c4s2h 
KcTc5h4h4c KsKh9c7h2h QdTd7c4c3h KsQs7c4h4c 
JdTh9d8d5c AsJd6c4s4h 9d6s6d4s4h Ts9s9h8s7d 
KhJsJc8h5h KcQsQd7d4d 9c6d6c4s4d Jd8d7d6s4s 
Kh8s8c7c5s QdJh5c4c2d QcJdTh6s3d JsJc7d3d3c 
9s9c8c6d5h AcKcTc5d2h Qh9d6h6c4c 9h8h7d6h5c 
QdQcTc9c3c QsQdJh9s3s AcJh7d5s4h QsQcTd4h2c 
Ts9s7s7c5c KcJs9h6h2c JcTsTc5h5c AcQcTd5s2c 
AcTc7s3s2h QhJs7d6d3h Jh8h7c6c4h 9c8s8d5s4c 
AdKdJd4c2s AhJd8s7d2s Kh8h7d5s3d Ts8c7s7d4c 
KdKc6d3s2h KcQdTc9h2c Ad5s5c3h3d Qc9d7s6s3c 
AsQdJh7c4c JdTs9d7c4h 7s7d5s3h3d KcJdTs8d5d 
QdJhJc4s3d KhTdTc6d5s QhTh7s7h6c Qd9d7c5s3s 
QdTh9s6d3c JhJcTc9c2d AhQs8d6s5s TsTh8d6s4c 
KhTc8s4h3s JhTc8h5s4h QdJs6d4s2h Ts9h9c7d6d 
KcJh7h7d4d JhTh9c2h2c QcJh7h6c3h AsJs9s7s6c 
JsJh7h6h5d KdJh9h6h2d AcQsTh4c2c KsKc8d4h4d 
AcKd9c6s6c AsTh5s2h2d Kd8h7h5h5d QhJd8d7h2c 
AdQd8d6h6c QdTh8s8c6s AhTh7d3c2c QdJs7c5s5c 
QdJd6s4c3c KdJs8h6d5d Qc9s8d5s5c QcJd7d5h3h 
Kc9h9d5h3c KhQs6c5s2c KhTs7c4s2h Qd7h7d6c4h 
KhQc7c6c5d AhQsQd6s3s JsTs5h4d2d KhQhJs5c2d 
AcJh6c5d4c Ks9c8d7s3d AcQc4h4c3h AdQcJh7s7h 
JcTdTc5h3s JdTs9d2s2d KsTh9d9c6c KsQsTc7s4h 
Ac8h6s3s3c AdKd8d8c6d KdQsTd9c2d JsTh9d4d2h 
Td9h7s7d4s QhTd6c4c3d KhTsTd6d5c Qh9s6h6d4d 
JhTd4h4d3s KsQc9s9h7s Td9d8d8c5c AsKs9d4d3s 
QsTc8d6c2d AdKd9s6h2c AhJd9s9d5c KcTh7h6c2h 
Jd9s9c6d4s 8d7h6h4d4c QcJc9c8s8c QdJd9s5c2c 
AsKd6s4s4c JdTsTc9h3s Jh9s8c7c6d QsTd9s7h2h 
KsQsTd8s4c AdQhTs6c3h AhQc9h5d4h AhKd7s3h3c 
QdTd7d6c3c KsQdQc6c3c QsTd7h7d4h Ks8d7c5s3c 
AdQs6s2s2d AdTh8h8c3c AhTd5d2h2d JdTs9d9c5h 
Kc6c5h4h4d JdJc5c4d2h AsTc9h9c6d AhKd9d4s3s 
Ac8s7c4h4d Jd9c8s7d6d KcJd8h7c5c JsTh9c8h5h 
AsKs7s4h2h JcTd9c8c5s KdTh6h3d3c AhJc7c6s5d 
QsTd8h7s2h JsJc7d6d3s QdJc6d4d3c JcTh9c8c5d 
8s7s7d5d4s QcJh8d7c3h KsQcTs9d2s QhJs8s6h3s 
QsJd8d7s2h QcTd7h7d4h Jd9c7h5c3h 8d7s6s4h4d 
KsJs7s5h3h Jc9s9d8s4c Ks9c8s6c3c 8h8d5d3s3h 
Jc9h6c5h4h AcTd9c3c2d JhTs8h5c4h AdQdJc3h2d 
Ad8d8c5h4d AcKs9h5c4c KsQc9h7h3c AhTc8d7d4s 
AhQh9h5c4s Ts8s8c6c3h KcTd6h4c2d Qc8h7s5h5c 
QdJd9d8s8d 8s8d7s6h6c Tc9c7h7c5h As9d6s6h2d 
AcKc9d6s2h Kd7d7c5c3c Js9h7s6d5c AdTsTc7s5s 
KhQhJc6s6d QcTs9c7d2d Tc9s8s5c3d KcJs7h7c3h 
QsQc8s7d4h AhJcTs8c2c AsQcJc7d3h JdTs7s6h6c 
AdJh8h7h6s AdQh6c4h4c KhKd9c6s3c QsTs7s6c3c 
KsTh7d6h5c KdJhTd6s3d KdJc9d6d5s JcTs6d4d3c 
QdJhTd4c3d QsQdTs9s4s 8h8c7s5h3c KdTs6d4h2s 
JsTs8d7s3d AcJh5d3s3c KdQhJc8s5c QdQc9h5s3d 
Qs9c8s7s6h AdTd9c8d4d AdJh8d6d4s AhTh9c6s6h 
KcQcJh8s5c AsKc9d7s3s JsJc8s2d2c AhQdTd9d5d 
KdJh8s6d5d Ac6d5c3h2d AcKs5h4d2s KhQhJs5h3c 
KdQdJc8d3c Ah6d6c2h2c KcTh6h3d3c KdTd7c5d3c 
AsKs8s8h2h Js9h9c5h3c KsJs8d7s5h QcJd8s6c5c 
KdQcTs7d4d 8s8c5c3s3h KhTs8s7s7c Jc9s7h5s3h 
JdTh9c6s6d KcJh9d6c5c AcKhJd5d3d ThTc6h5s3s 
QdTh8h7h7c 9s9d8d7d7c QhTc8d6c2d AcTh9c3c2h 
JsJdTc6h3s Jd9c8d7d6s JhTsTh9d3h KsKhTc3d2c 
KhTc7d6c5s JcTd8h8d6d KdKc9s7c2c AhQsTh5d2h 
QhTsTd9d5c Td8d7s7c4c Js9s9c6c4s JdJc5c4s2d 
7s7d5h4s3d KcJc8h5d2h QcTc9d4s2s QdQc9h8h5h 
