QdJs6h5h2c 
Kc6s5c3h3d Th6s6c5s4d Ad9s4s3s2d AhTc8s4s3d 
KsJc6s5d2s AhTd8s6s2c JhJd6c5s2h 9d7s5s3c2d 
AcJd8c2h2c Kc9d7h3d2c KcQdJs8s2s 9h7d5c2h2c 
9d8d7h6s3d QsJs9c7d2h AdJs8c4h3s AhJd5d4s3d 
KsQh8s5s5c Ah8d7s4d4c Ks8d7d7c3c As9c6h6d5d 
Js8h4s4h3c Th9c6d3s3h Ts6s6c4c2h Ah9d8s7d2c 
KcJc6d5c2s KdQs9h7h3c AhTs6d4d4c QsQh8d5c2c 
Ts7d5d4s2h QcTd4s3s2d JcTc8c4h3c Ac8d6d3c2c 
KdTh8d4d3s QsQc9d3h2c Kd9s7c6s4s QcJd6c4h3c 
QhTs7s5c3s 8h6d5c4c3s Ah8h5c3h3d 9d7h5s5d2h 
Kd7d6c4d2c Kd8s6s6c4h KsTc9h4d4c TsTd9h4c3c 
Ks7c6h5d3h QsJsJc7s2h 9d7h7d4d4c Tc8h4h4c2d 
Jd7d5c4s2s KsQd5d3d3c Th9d6d3h2d 9s9d8d7c2h 
Ks9h8d6d4c KdQs5s3s3h KdQs9s5c2h 9s7s5s5h4d 
Tc9s6h3d3c As7s7d3d2s Ts7c6d4s2d AcTc9s5c2c 
Qs8d6c5h2s KhJc7h4s4h QcTs6d4s3s QsQc8h5d2d 
KsTh5s4s2d KcJd7d4h3s KsJd9h3s3c Jh7h6h5d2d 
Qh9h6c3d2c Th8c5d4s4h 9s8h8d3s2h Ad7d5s5d2h 
AhTh8s3d2h KcQd9d8s2d TsTc9s4s3s JsJd8s6h3s 
8c6h5d3h2d AsTh9h6c2d Tc9d5h2h2c Tc9d8h8c4c 
9d8h8d5c2d AdTh7s7h3h Qh9h8h7d4s KsJc5s4d2s 
Jc9d8h6s3c KsQd9d5h5c KsTc8d6h3d Kd6d5d5c3h 
Tc9h5d2d2c KcQsQd8h2h Th9h9d8h4h QcJc6c4s4d 
Kh8d5s3d2h AsJh5h5c3h KhTc5h4d2h 8c7c6c5h5c 
Ad7c4s4d3d AhJh9s6h3h Qc9c6h4c2h QcTh8d4d3s 
Qh9h8h6h4s 9h7c5s5d4h 8s6s5s4h2d Th7c4h4c3c 
Qs9c6c5c3h 9h7c4d4c3h 9c7h5d4d2h Jh9h6c4d2d 
Ac9c6h3h2c 9c8d7h7d4s Ts7s7d6s2d Th9s5h2s2d 
JhJd8c5c2s Tc6h4h4c3d As8h5h4c2c AhJs8s7s3s 
Th6c5c4h2h Ts8c6h5d3c Ts9s6h4s4d QhTc9s4s2d 
QsTc8s4s3h AsJh7s6s3s QdJd8h3h3d TsTc8d7h2h 
As8s8h3d2c JsTs9s3s3h KhTs7s5s3s Jh7c4h4c3d 
Ah8s6s5d5c Tc9d5s4h4c AhTh6h5h3d 9d7d6h5s2c 
Ts9c8h6h2h Th7s7c5h2c KhTc7s4s4d AdQs6s5c2s 
QsJs5d4s3s Qs9h7d5d4c Jc9s9d3h3c Jc5h5c4s3s 
Kc7s6s5h3d Qh9c6c5c3s Tc7h7d6s3c AcQs6s3h2h 
Qh8h7s5h4h Th8c7h6d2s Ts7d6h5d3c Qd8d7c5d4d 
TsTd7h5h3h KhJh9d6h2c AcQh8c3s3c KhTs8d6c3d 
Js9s6d4h2h 7d6s6c5c3c JsJd8d4c2h 8d7d6c4h3s 
As9c5h2s2d KhJc5s4d3s Qc5h4c3h2d Td9d7s5d3d 
JhTd8d6d2d Jc7c5d4s2s 7h6s5d3s3c KhQc5c4s2c 
9c8h8d7c4s Ts8h5s3s3h Tc8c7h6s2d Th8c7d5s3h 
9h9d8c3d2c Ts9c6s3h3d KhQc8d6s2c Ts7s5d4c2d 
JsJh6h4h3d AhTs7d4c3d 9h9d8s2h2c Ts9s7h4s2h 
Jc8c6d5h3s QdJd9h7s2c Kh8d7d6c2c QsTd9c5c2h 
9h8h6s3s2h Qd9s7d5s2d AhTd9s5d2c AdKc6c3h2s 
6c5s4s4h2c AcTd8h6h2s JdTh9c3s2s KhQc5c3d3c 
QsTd9d3c2h Kd8s7s6h2h Tc9c6s3h3d Ad8h6d4d2s 
ThTd9d8d2d QsQc7s7d7c Ts7h6c5h3d Th9h7c5h3h 
Kh5h4h3d2d Ad7h4s4d3d 8h8c6c4s2d Ac9c8h4c3d 
KsTs8h3s2h Kd5c3d3c2s Th9c4c3h2d Jd5s5c4s2d 
Kd8h6c4d3s Qh9c6c5c4c Ts9h4h3s2d Qd8d6c5h2s 
Ks7s7c6s3d QdJdJc6d2d QsQd9c3h2d KsTs7s3c2c 
Tc7d6s5d3h QhTsTd7c2s 8h8d5s4d2c 8s7h6s4d3c 
Ah8c6c5s5d Qc8s7h5h4h KhJsJhJd9d Ks7s7h4s4d 
Js9c8h8c4d Th9c7h4c2h KhQs9s4c3d AdQh6h5s2c 
9d8d5d4h2h QdJs8h6d3d 9s6h6d5c4s KcTh5c4d2c 
9c7c5s5c4h JhJd8s6d3d QsQh7d5h2h Kd7s5c3s2d 
AdKsKhKc8c AsJd6s3s3h AcTd8h5h3h QdTs3s3h2h 
Ks8d7s5s3h AhTdTc5c2s Ks9s9h7d3s QhThTc3h2s 
Ks7h6d5c3h 6h4h4d2h2d 9s6h5h3s2s Kd9h5h4d2d 
Jc7h6d5c3c Ah6h4d3h2d Jc5h4s3s3c Td9h7d4h2d 
Qc8d7d4c3c 9s9d6d3s2d Ah7d6d5s5d 6d6c4s3c2d 
KsQh9c7c3d KhJsJc8c3c 9c8h6h5h4h Td8s6c4h4c 
7d7c6d4d3s QsTh6c4h3h Ks6h6d5c4d KhJd6c5s2d 
Kc8h7h5h4h Jc7c5s4d2d 7s7d6d4d3h Ts8d7s5s5h 
Kc9c8c7h2d Jh9d8c5c3c Ad9c6s6h5s AcQs8h8d3s 
Jc8h7h3s3c JsTs9c4s2s 6c5d5c3d2h Kc5c4s3s2c 
AsQs9d4s2h Qs8h8d4s2h AdJc9h6h4h KhQs8c5s3d 
Kh8c7s7d5c Jc5h5d4d2c Qs7h6s5h2s 9h7d6c4s4h 
Kc9c7d3h2d Kd4h4d3h2c Js6h5s4c3d JdJc8s4h2c 
KdQh8s7c3d KcQdTh7d2d AdQs6c3s2c Ks8c6h6c5c 
KcJsJhJc9h AcJc6c3d2d Ah9s7d6c4c Qh7d4s4h3s 
Kh9c7s5s4s Ks5s4d3d2s KcTs6d4c2c As9c6h6d5h 
6h5h5c3c2d KsQdTs6s2s KsJd5s4c2s AhJs6h3h3c 
7s5h5c3s3d Kc9h5h4c2c JdTc4s4h3c Qs8c7h6d3s 
QdTd7h6s2c Qs8s5s5h2h Qc8c5h5c2h AdJc6c5c4c 
AsQd6d5c2h 9s8s8h5c2s Qh9h6c4d3s Kd9s7h6c2d 
JhJc8h6h2s Ah5d5c4h3h KhTd5h4s2h QdJc8s2s2c 
Qc9h9c5s2d Td7d5h4c3s QdJh9c4d2s Tc9h7d4h2d 
AdJs9c7h2c 8h8d7c6d3d 9h7s5s5h2h KdQs9c8d2d 
9h7s6c4h2s 8d7c6d4s3h Qc9d8c7c4h KcTs6s4s4h 
Kd8s5h3s2d Ad9c5c4s3s AhKs6s3d2c Js8d7c3s3c 
9d8d8c4s4h Qc9h6s3s2c JhTs6c4c3c Jc8s7c4h2h 
Ah8h6s4c3h 6h5c4s4c2h Ac8c6d6c2s JsJd9d7d2h 
KsQdTc2h2c Td9s5h2s2h Qd6h6d4s4d QdJc7c6s3c 
KsQc9s6h2s Ks8c5d3c2s Ah9s9d7c3s Qd8s6s6h2h 
AsQs9s4d2h Jd8c7d4h2h 8d5s5c4d2c 9s6s6h5s4d 
Kc8c5s3d2s Tc8d6c5h2s KdQh6s6c3h Ks9d7h5h2d 
ThTc7s5s3s JhTs7d5c2h Jc6h5s5h2c KhTd9c7s2s 
KsJd6h6c4h Ks7c5h3c2s KsJd9c8h4c 9h7c5s5c4d 
QhJc7h3s2c Ac8c6s4d3c JhJd6h4h3c Kh8d8c6s4c 
Qh9s8h3s3h 8s5s5h4s3h Th6c4h4c3d Jd7s7h5h4h 
JdJc9h4h3h Th9h5c4s3d KcQdTs4s2s QdJc5c4c3c 
Ac5s5h4c3c AcQs7d2s2d QhJc7h4s3d Qd9d8d6c3h 
JhJd8s4d2c QcJh9h7d3h KsQhTd2d2c Td8d6h5c2s 
Qs9d9c7h4d KhTs5s5c2c JsTh4d4c3h Qh5c4h3d2c 
9h8s8d4d4c KsJc5d2s2h KdJs9s9c3s 9c7s5d5c2s 
KsQs9s9c4d 9c7c5d5c4s AcQd9s9h3h Tc8s6h5d3d 
9s9d6s4s3c KhQc8c3h2h Kc9d8c6c3s Jd8s6s4d2d 
Td8d6s4h4d 9s9c8d6d3h AcQs8s6h2s KdQh5s5c3c 
9h9c6s2d2c 8h8c6d4h3s Th9s7d4s4c AhQs8d8c3s 
9c7c6d3s3h AdQh6c3h2c KhJh5d5c3h Qc6h6c4d2d 
AcQs5h5d3d QcJc9c8d2c Qh9h6s3d2s 7h7c6d4c3c 
AhJc5c4s3c KcQh9s6d3d QsQc7h7d2c 8d6d5d3h2h 
Ac7d6h5d2h KcTd5c4s2c 6h6c4s3c2h Ah8s6s4c2c 
QsQd4s3s2h KdTs9c5s5h QhJs8h5c2h Qs6d5c3s2d 
KhQh6c3s3d Kc9h9d3c2h KsQh5h4h2c KsQd5d4c2d 
Qh9h8s8c4d KcTh9d7s2s Js9s9d5s2c Jh9d8h7c3h 
Qs9c8s8d2h KsQs9s5s3h As9d4d3d2s KdQc8s5c3h 
JsJd8h6d3d Kh6s6d5s4c Kc9s6h5d4d AsQc8s3s3d 
Ad6h5d4d2c JsJh8c5c2d 9h8h7s6d3h Qh9c8c6d4c 
KdTd7h3s3c Qh6h6d4s4h JsTd6h6c3c Kc9c7d7c5c 
KdJd7c4s4d AsQd7c6c3c Th8h4h4d3d KhJsJc8s3s 
QsJh8c2h2c QdJh8d6d3s Qd9s6s5s4s Qs9c5d4d2c 
Kh8s5d4h3c JhJd7h4s3h QhJh8s7c2d AhKs9c4s3s 
Qc6s5s2h2c QcJd8d3h2h Qd7h6d6c2c AcKh6h3d2s 
Jh8c7h5d2s 9s7s5c3c2d Kh7h5h5c4d Qh7c4h4d3d 
AcQd8d4s4d KcTh6d4c2c KcTh7c3s3d 7h7d6h4h3c 
Ac9h5d2s2c Kc9h4h3h3c Ah8h6d4c3h AcJh5d3d2h 
9c4s4d3d3c 7s6h6d3s3c AhTd7c4s3c Jh8h5d3h3d 
QsJs9s8h2s 9d7h6s4d4c As8s6s4h3d 9c7d7c6h3c 
AdTs8h6s3s QdJd6s6h3d Ad9s9c8h3c 7h6d6c5d3d 
Ac8d8c3h2s Ad9h5d4d3s 9h6d4d4c3h QcJd9s3h3c 
Th8s7h6c2d 7d6c5c3c2d AcThTd7s2s AdJh7s7d2d 
QdJs6h4h3c Jh9d9c5s3s Kd7c5d5c2d Kd8c6h6c4s 
Ad7s7c6s3h TsTd9s4s3s Th9s7d2s2d Ad7s6s5s5c 
AsTd8c6c2h QsQd7h4h3c AsJd8h8d3d Ts9s8c6s3s 
Kc9d6d2d2c Ac8d6c4c3h 9h9d8h5h3c ThTc6d6c2s 
Th9s5c4h4d KsJc9d8c4c QhTc9c3s2d KdQsJd7c2d 
Kd9s9c5d4d 9h8h6s3d2s TsTh9h8h4h QsTd8s4c3s 
AdJd6h3s2c QsJc6d5s2s AhQc8h6h2h 9h6s6h5d4h 
Js7d5h3h3d Th4s4d3s3d Ad8s6d4d2c Qs7s6h5s4s 
Td7h6c5h3s Ah9d5h4h3s QdTc8h4h3s QsQc5d3c2c 
8h7s7d5d3d Js9c8d6h3s AcJh6c3s3c Th7h6s6c2s 
Ad8h5s5c4s Kd9s8d6d3c As9c8c6d4h QcTc8c6c3d 
JhJd8d6c3d 8d5s4s4d2h Jc9d7s4d2c AsQh7d5h2c 
Ts8c4c3s3h KhQd8h5s3h JhJc8s4d2c JdTd9d5d2h 
Js8c7c3s3d AsTc9d5c2h Ad9h7c6s4s JhJd6d4d3s 
9h8d6s6c4s Js9h8d5d3d As8d5h3c2s KcQdJs7h2d 
9h9d8c5s3s Qh5h4h4d3d QsTdTc6c2c 9h6s6d4d2h 
KcQhJd8d2d AdJs9s6s3h Td9h6c4s3h KhJc6h5s2h 
Th9c5h4d3s Jh6s5s4h2h Kd7d7c4s4d KdJd6h5d2s 
QsJd7h2s2d 8d7h6s4d3c Kh8d7h6h3c AcQs8h7d3h 
KsJc8h5s2s Ad8h5c4c2h Kh9c6d5s4s KhQh7h6h3c 
9h7h5c3c2s Ks6h6d5c4h Js9d8h8d4c QsQh7s6s2d 
KsJc9d9c3c As9h8d6c4h QsTh9s3s2c KdJs7h7c4h 
QdJc8h2h2c Jc7d6s6h5s Qc7s5c4h3d JsJh8c7s3s 
Td9s5d3c2c Kh8c7s5c4c AhJh9h8h3h Jh9s8d8c4h 
Ad8d5c3s3d JdTs6c4c3c Td7h4s3s3d KhQd9h6h2c 
KsJhTd6d2d Qs8h6s5c3s Js7c6s6h4d TsTh9s4s3s 
KsKh9s3s2s Kd7h7d6d3c QdTh8s7s3c KdQc7s7h4h 
Jc9s7h6h3d AdTsTc7h2h Qh9d8d6s4d QcJh9c3s2d 
Qd9c7d5h3d 9s7d5d4c2c Kh8d7s6d2s AcQd7c3h2s 
KcQsJh7d2s AsKd6h6c3h 6d5h4h4d3h Td8d5c2h2c 
9s6c4s4d3c KsQc9c8d2c QdTc8h4s4h Ad8h5s4d2d 
KsQsTc4s2s 8d8c6h4s3h Td9s8c5s2h 8d6s5c3s2c 
9s7c6d4s2c Ks8c7h6d2s Qc9s7h5d4d KhQd9s6c3c 
Qd8s8h4d2h Td8h6c5s3s 9s9d8d5d3h Ts9h8h5d5c 
Ac8h5h4s2s 9h6d5s5c4s 9s7s7h4s4d Jd8d6s4d3s 
Ad8d5s3h3d 9d6s6h4s2d 9d8s8c7h4s AcQh8s7d3s 
8h7s6c4d3c AhQc5h2s2h Jc7s7h5h4h AcQh7c3d2s 
JsJd8c4h2d Kc9d9c6h2s AsJh8h7h3h Kd7h6c5s3c 
Ac8c5s3d3c Qc7h6h4c2d KdQs8h7c3d Ts7h7c5d4d 
Ks7h5s5h2s 9h7c5h5d3s Ks8d4d3s3h Tc6c4h4d3d 
9d8s6d3s2h AsJc8c7c3c Kh9s7s5d3c AdKc6s3d2d 
Qd7s4d4c3c Js9h6d5d3d TdTc9d8d2d Kh8s4d3h3d 
Qc8c6h5s2d QsJc9h4c3c KsTd8s5h2s Js9h5h2s2h 
Qc9h7c5s3c Ad9s8h5h3h Th7c4s3s3h QdTd9s2d2c 
Td6s6h5h4c Ah7s6s5d3s 7h5h4c2d2c 8h7c6s5d2d 
QsTh8d7c2h AcTc5c4s2d KdTc7c4s3h KcQs9c4c3d 
9c8d7h6c2s 9d7h5s4d2h 9s7h5h3d2s 8c6h4h2h2c 
KcJd5h4d2s QdJd9c6d3d Th8s8c5h3d Ks8h7h7c3c 
KhTd9d5d3d Jc9s8s8h4d AhJd7s4h2h QcTc9c6h2c 
Jd9d8h2h2d Js9d7h6h3c Qd9h8d7d4s Td7d6s4h2s 
AdJc5s3s2c QhJh8c4s2d AhTs9s6d2c Ah8s8h3c2d 
KdJs8c5s5h QdTs7s5c3s Kh8c4s4h3s JdJc8s6d3d 
QsQc7d5c2c KsQc9s6s2h 9s7h5d2s2d 7s7h6c4h3h 
Qd8s8h3h3d AsJs6h3d2c JsJc8c6c2h 9h9d8s5c3c 
Kc9d8s7s4h 9c8s7d6c2h JsJc5d4d3d 7h7c6c4c3d 
Qh9c6c5d3c KdTsTc7s2h Ah9s8d5d4d 8h6s5d3s2d 
Qc8c7d5s5h KhTh9h7c2h AsJh8c4d3h JdTh9h4h2h 
Qc8h5h4s3s KdQsQd7d2d 8d6h5s4c2d 6c4s4c2s2c 
AhKd6h3h2c Td7c4h3h3d Qs7c5h4s2h AcQc6s6c2d 
Qc8h7s5s4s Jc7s5h3s3h KhTs6s6c3d Jh9c8c5c3d 
Qs9h7s5d3s QhJh9d7s2c As8d7h4s2s 9s9d8d6c2d 
8s8h5c3s2c AcJs7h4c2c Ad9c8h5h3h KdTs8s6h2c 
Js8s7h5s5c Kc9s6d5h4h 8s8d5h4d2c Jh9c8c5s5c 
KsJh9d5d5c Qs8c7s5s4s AhTh6h4h4c AdQs5s4s2h 
Td9s6h3d2h KdJdTd3s2d QhJc9c7s3c Ad7h7c6h3s 
KsJh9h6h4h Qs9d9c3d2s KsJc7d6h3h Th8s8d3h2s 
As9c5d3h2s Kh9c8s6c4d Tc7c6h5c3s Kh9c7h4s3d 
9d6s5c3s2c Tc7s6h4c2h Jh9s8s5c3s 9s7d5s5h3c 
KdJs5c2h2d AdJs7d4c2d Jh7d6s6c5c Ac9h7c6c2d 
Td6c5d4c2d Jd8h8d4s4c Td7d6c4s4h QsQdQc9d8c 
Qh9c7d5s4s Ts9c5s3d2d Ad9c4c3c2d 9c7h6s5d2c 
Th8h7s4d4c AsKd7d4c2d JhTc8d4s2s Ah6s6d5d4c 
Jd7c5d4h2h Ks8h5d3h2s Td8h7d6s2c KdTs5s5h2h 
QhJhJc6h2h Kc6c5h5c3s KsJs7h4s4d 9s6d4c3s3c 
Qh9d7h5s5c KhTd8h4h3c AdKdTd5d2d Qc5c4h3d2d 
AdJs8s5c2s As8s8h3c2d Td8h8c3d2c 8d7h4s3h3d 
QcTsTc7c2h Jc7s7h5d4d Qd9s8d7d4h Ks9s9d7c3s 
Ts8s5c2h2c KcQhJs8s2s KhQs5s4s2c Jh7d6s5h3h 
KcQdTh4h2h KdTd5c4d3d Kd7h7c6h2c Td9c7c5c3c 
JsJd6c5h2s AcTc4d3s3c Kc9c5h3h2h Jc9h5d4s3c 
QsTh9h4d2h 7s7c6c4c3d Kc8d6s4c3h KcQs8c7h2d 
QcJd6c4s3c AhKs9c4h2h 8s8c5h3c2h Td9h8s8h3h 
QdTs9s4h2s Td9d5h4c3s QdTc7s5h3h Th9h8c5h2s 
QdTc8d4d3h QdTd9h2s2d Jd8s7d4s3d Jh9h8h5h4c 
Td9h8s5h2c KsTh6d4s2s QcThTd6d2d Qh8d7s5s4s 
Kd9s7c6h3h Tc9s7s4c2s AdQs5d2d2c AhJs6c4s4d 
Td9h8s8c2d KhJh6d5h2c 8h6h4d2d2c 8d7s6d4c3h 
QhJs9h7h4h Kc8s4d3s3c Ks4s4d3d2c Kc7s5d3s2c 
QhTd6s4d3d KcTh6s4d3h 9s7c4h4c3h Ts7c5d4s2c 
Kd9c7d4s3h KhQd8h5h5c Ks7s6s6d3h Jh8h7h4d3d 
AhKd7d4c2d Ah8s6h4c2h Ks9c7h5h2c 8d8c6c4s2h 
Qc8d6c5h3c Jh9h8h6h5h Ks8s8c4h2h QdJh6c5d2d 
JsTs9s5s2d JsJd6c5s2s As8c6s4h2s Tc7c5h4d2h 
Qd5d4h3s2s 9c7h5h4s2s JsJc8s7s2d KsQd7c3s2c 
Ad7s5d4h2d AhTd8d6s3d AhJc5s5c3c Jc9s8s5s5d 
AsJc7s7d2s 9d7c5s5c4h Qc7d6s6h5s QhTd7d5s3d 
Js8s8h4d4c Qh5h4s3c2c AsJc9c7d2c Kc9h6s5d4d 
Ks9s7c5h2d AdTs6c5s3h Ks7s7d6s3h 8h8c7s6d3h 
AdQs8c7h3h Qs9h6c3c2s Jh9c6h6d3s Qh5d4h3c2d 
Ts9d6h2s2h AcJdTd6s2d QsTc9c3d2h QdTs9h4c2h 
Tc7s6s5s3d 9s7c5s5d3h 8c7c6s4h3d Td9c7h4c2h 
9s9c7c4h2h JhTh9h3h3d 8d6c5s4h2d Kd8s6s3h2d 
Ts9h5s5h2h AhTc8c6s3c 9d8d8c7s4d AhJd8h2h2c 
9d7s7d6h3d AcJdTh6s2s QsTdTc7h2d Qd6h5h2d2c 
9c6s6h5s3d AhQh6h6c2d Qs8s5d4h4c Kh9h7s5c2d 
KdQs7h4d3d 9c7d6d2h2c JsJh6d5s2s QhJs6c5h2h 
Ad9s7h3c2d As9d7h6d3c AsJd5d4d3c KsQs8s5d3c 
KsQd5c4c3c Tc9c7h5c3c Qs9s8d8c4h QhTsTd6s2s 
Js9h7s4h2d Ad8s5d4c2d AhJc9s4s3d QdJd5s5h3d 
QsJh9s4d4c 6h6c4s3h2c AsQd8d6c2d 8h7s7h5d3h 
Jc8s7c5c3d AcJs7c6c3c Kc8s4s3h3c 9d6s5h3s2h 
6d5s4s4h2d Qs9c7h6c4c 9d9c6h2s2c KsQd8c7s3h 
Jd9h5s4c3d Ad8d5h3s3d 9s9h8h3s2s 9d6d5d4s2s 
Qc9s6d3d2c AsKh6d6c3c QhTh8s8h3c Jc9d6h5d3d 
Qh9h8c6d3h Ad8s7c5c3h 6s5s4s3h2h KcJs7h7d4h 
KhQh6d3s3c QdJh8d8c3s AcQs7h2s2h QdTd6s5h2d 
Ah8d5c3s2h Tc7h4s4c3h Jh9h9d4c3s Qc8c7h7c3h 
QsTd4h3h2d Tc9c7s6d2h Th8d6h5s3c QsTc9c4h2c 
AhKc6s4c2c Qd6d4h3s3h Kh9s7h4s2s 9d7s5h5c4h 
9d7d7c6d4h JhTh9h8h2h AcQc9c4h2d Ac9s7h6s3d 
Jh7h6h5c2c AcTs8s6h3s 8c6c5c4s2d Qc9h5s4s2h 
Th9s9d4c3c KhQhTh4h3h Kd9h9d5d3c 7d7c6d4d3h 
Qd9c7s5s4h KdTc5d4s2d KhJdJc7s2d Ad8h5h4s2s 
7d6c5s3h3c AdQh8h5h2c KhQh8h5c3s 9d7d5h5d4c 
AdQc7s2s2c AdTs5s5h2h Jd8s6h5h5c QhTh6h4h3d 
AsJh6s3s3c Qd9s9c3c2d Ac9h6s6d5d AcKs7s4h2s 
QhJs9h4d4c Jd6s5d4c3h KdQsTh2h2c 9s7d6d4h3c 
AdKc9c2s2h Qs8s7d5h5c 8c6c5c3h2h AsTd8h6d3d 
9d8c5d3s2c Qc9d7s6d4d Kd9d9c5d3h Qc6h6c5c4s 
6s6d4s3h2d KcQd9h5h3h QsTsTh7s2c QhTh7h5h5d 
KhQsTc2d2c Qd8s8c5h4s 9s7d5d3h2s As6d6c5c4h 
8h8d6d4s2c QsJh9d4s2c KsQs7d5s3s AhQd5s5c3c 
Qh9s9d3s2h QhJd6c4c3s TsTh5s3h2h KsQc9c5d2h 
KdQs6c3s3h Jh6c5h4s3d Qh9c6c5s3c Kh7s6d5c3s 
AhJs7h5h2h JsJc8h6c3c Tc9c6c5s5c 9s9h6h6c2h 
Kh9h9d6c2s Jd8h6s5d3c Tc9s8h6h2h Kh9c8c6s6c 
9d7d5s2s2d KsJh8h6h4h Qc9s7d6s4s 9s8d7h7c4s 
Jd8c6h5s5h KcQsJh8h2h Jh9d5h4s4c Js9h7s4h2c 
9h7s6d4d2h 9s8s5s4c2c KcJc9c6s2h KcJd8c7s3c 
9c8s8h7c4d As9d6h6c5c AsJd5d5c3d Kc9h9c6s2d 
Qc8c7s5h5d Ks8h4h3s3d Ah9s7c3d2h Ks8c4c3s3d 
Jd9h6s6d3c JsJd6s4s3h 7h7c4d2d2c KcQh9c6s2c 
Kh9s8d7d4c KdJc9h9c3c 9d9c7s4d2s KhQd8s7h3c 
QsTs8s6s3c Jh5s5h4d3d JsTs9s3s3c AdJc9h4h3s 
Ks7s7h6s3d Ks8d7d6d4d Qd7s6s4d2h 7s7c5d4d3d 
Qd8h6d5d4d QsTc8h4c3d 9c7h5h4d2d Th5s5c2s2h 
Jh9d6d5d3s Kc8s6s6d4h AdJd7d6s3d QdTd8d6d3s 
Td7d6c5s3d Ks8c5h3c2s KcTs9s7s2h 9s8d5s3c2d 
TsTd5d3s2s Ac8d7d4s4h Jh8h6s5d3c KcJh9h6h4h 
KhJc9s9d2d Ad8h5s5c4c Th7d6c4h3s QsJsJh6s2s 
Qs9d7c5h4h QhTsTc6s2s Tc9s6c4d4c KdJh6h5s2c 
QcJd7s5s3h Qd8h7c6c4c Td9d4h4c2h AcTd5h5d2h 
Ks8d7s6s3h Tc7c5h4s2h KhTh9d6h2h Kd8d5c3s2c 
9s9h8c2s2d 8s5s5h4d2d QsQc7s7h7c AsJh9c7h2h 
8d7h5d4d3c 9d7h6h4s3c AhTd6c5d3s Qd7s5h4d2h 
Qc6s6c4d4c 8c4d4c3d3c 8h6h6d3s3c 9h7d5c4c2d 
QhJh5s5d3h Ks8s8d4h2h KcJc8c5s5d TsTh8d5h2c 
Js8s5d4s4h Jd5s4h3h3d Qd5d4s3h2h KsTh5h4h4d 
Th9s8h8c4h As6d6c5d4h Ac9d5d4h3h Qd9d6s2s2h 
9h8s5s4h2s Tc7s6d4c2d Ah7h5s4d2h KhQs9c5c3c 
AsJc6d4h4c KhJd9s5s5c Kd8d7s4s2d AdJsJc6h2s 
KhQdJc8c2c Ac8s8c3d2h Ts8h4h3s3d Js9d5d2s2d 
9d7d5d5c4h KhTc6s4h2h KhQd9h5h3h Th7h5s4d2s 
Ks9c8c6d6c KhJhTh3c2h Ac8h6c4s2c QsTd8c7c3h 
KdQh9h8c2h KdTc9s7h2h 9c7c6s3h3d Qc8h8d4c2d 
KdTs9s6s2h KsQs7s6s3h 7d5s5h4h2d Qd9d6s6d4h 
Ad8d5h5c3d Ks9c5s4s2c 7d6s5s3s2d Ks8h7h5h4h 
Ac8s6c4h2c KdJd9d6c2s AcTsTd5s2h QdQc3s3h2h 
9h9d6s2h2c Jc8s5s5c2c AcTh9d5h2s KcJcTc3c2s 
AhTsTd7c2c JhTh8s5h2h Tc7c6d6c4s Kc8c5h3d2h 
AsQd8h5c2h Kc5d3s3c2s QsTd8h7h3c Jc9h6h5h3d 
TdTc6h5s3s Td9s6s3d2s KcJc9c8h4c AhJd8d5s2d 
9c6h5h3h2c Qs6h5c3s2h Ts7h4d3s3d KsTs9c3h2s 
QhTc9s7s2d Ah7d6s5d2s Tc8c5s2s2d 9d8s8d7h4d 
JhJc7c6c3c AsQd9d7d2c Jc8h7c5s5c Kd7s5s5d2d 
Td8d5c2s2c Qd9c8d7d4h Tc7d6s4c3h JcTc9d3c2h 
KcQhTs4s2s 9h9c8s5d3d 9c6h5d4h3s KhQd9s5s3s 
KsTs8d4s4h KcQh9s5d3d Ts9s6d3h3c Td9h8c6c2c 
KsQh9d6c3c JhJd8c6h3h Jd8s8h7c4c 9s8d6s3d2c 
Th7d6c5d3s Qd8d7h5d4d 9s8h8d5c3h 9h5h5c4s4h 
KcQs8d7h3c Tc8c7s6h2d Qs6s6c4h2h Kc9d9c5c3h 
Kc9c5s3s2s Td8d6c5s2h As9s9c8s2s 8d6d5d4c2s 
JhTd6s6c3c 8s7s7c5h3s QhQd8c5c2c AhTd8s5s3s 
QsJc6d3c2d KdQd8d4c2c QdTh8d4c3d JcTc7c4s3c 
Ts9d8s8h4s AdJh8s8h3h Td7d6c5h5d Th7h6s6h4d 
Tc7c6s6h4c AcKh9h6d2h 9s9d8d5h3d TsTd5s3d2d 
Qd8s8c5s4s KdJh8h6h4h QcTd6s5c2c Jh9s6s5s3c 
Kh8d6d3h2s KdQdTd3c2d Kc9c5s5d3h Js8d6h5s3c 
QsTd8s4h3s Qh9h8h6d3s Jh6h5h4s2s 9h8s8c7d4s 
Kd8h7s5h4h 9h8d6d3c2h AdKs9s6h2s Kd7h6s5c3s 
AcJc6c3s2s Ks8d8c6h4d AdKh6h3s2c Qs9c7d5h4h 
Tc6h6c4h2d Kh8c6s6c5c Qd9s8s6h4s Kh6h5s5c3h 
Js8s7d5s5h QcJc8h4d2s Ks5h5d2h2d AsKd9d2h2c 
Kh9d7c5c2d KdQd8d5c3h Th9c6s2s2h 8h7h5s4h3d 
