JsTh8c4s3c 
As9h5h4s3h AdQd7s4c2c KdJs8s8c7h Ah9c8s4c2h 
AhKh6s6c3d AcJc8h3h2d Ad9c7s5s5c KdQcJc3s2s 
7s6d5h4s3h KhTh9s7h5d JcTd9s4s2c QhJcTh7h7d 
JsJdTs8c2h QcTh8d5c3d AdKsJs8h2c KcJd9h4d4c 
KcQcJd9c7c AhQh7d4d3h Ah7d5h4s3c JdTc5h3d3c 
AsQhQd6c3d 7h7c5h5d3d KdJsJcTc2c AdKh5s4d3d 
9h8s8d5d4s QcTs8c5h2s Qc8d8c6h4h Kd9d8s7h4s 
Qh8s6s5h5c Js9h6d5s4d KhKd8h6c3h JdTc9s6c5h 
AhKh6d2d2c KdTh9d7d5s Ad7s6h6c4d KdKcJs4s2h 
Th9h9d7s6h JhTd9d8c5s KhQh9c6s2c KcJc9h7s7c 
AhTs8d7d3s AhKdJh6h3s AcKcJs3h3c Jd9s8h5h4d 
JhTs9d9c6d AdQdJh6c3d AsTh6h5c4c QcTh9c3h3d 
Qd8d7s7h5h QsQh7h7c4d AhKhQs6h4h Jc9d7d6d6c 
QsJdThTd6d Ah7h5s5d2s As8c6h4h2s KhKc6c2d2c 
AhJh7s7d2s QdJdTsTd4h QhJc5s4s3c JhTc8s8c2h 
JdTsTh8c5d QsJhTc7c5c QdTd9h5h2s Ah9s8s5h2h 
KcTh9s8s6s KdJd8h5c3c KsTd6h5s2d ThTd7d5h3s 
KhQhJs9h7h QdJd5c4c3d 8h7s7h6s4s AdQh9d8d4c 
Ac8h5d5c4s KhQh6c4c3c QhJs8d5s5d JsTh9s3c2h 
QsJcTd9s5s KhQdJc7c2h AcJsJh3s3d QsTd8s8c3d 
Ks9h7c6s5s AcKh7s4h4d AdJsTh5s3c 9s8c7d5c4d 
JhTsTc5s5d AsKdQs9h2s KdJs9h8d6d QdJh8d6s3h 
KhTsTh7h6h KsTc7d6c2s KcQhJs6d5d JcTs9h5h2s 
QdQcTc6c3s AcQsTd8h2s Ah7s6h6d2s As8c7s5h3d 
KhQs7c6s3c Qd9c7c6h3d Jc8h8d5h5d Js9s9c8c2h 
KdJh7h5c2d AsTh6h4s3s QcTs9c6c5d KsQcJhJc4c 
KsJc4h4c3s AsTs9h6h2s JdTc8s5d2s TsTc9h8h4s 
Qh9h9c6s4s AsKs9h3d2d Jh9s9h8s2d QsQc5h4h4d 
AhTs4h4c2s QcJc9s7h3s Kh8h6s6d4s KsKh8c4s3d 
AcQhTs4d3h AdThTd6d4s AdQs7s2h2d QhQd7s7c5c 
ThTd8d6s5c Ah6h6d4d2s AcKdQd9d6d QhJc8c7s4s 
JdTd9c7d6d KdJd6h4s4h KdTsTc9d4h QhQcTs8c2d 
KcTs5s5c4c KsJhTdTc6c KcQs7c6c5h Td9h6h5d4h 
QsTh9s3h3d KdQsJsJh4s QdJh5c4c3h Jh9s9c8s7d 
AdKdJd8s4d QdJh9s5s2h 9h9d5h4d4c As6s6d4c2d 
AcKsJc5c2d AhAdAc7s2c AsTc8d7d3c As9s6h5h2h 
KhQsJsJc3s KhJc9c5d3d JsJhTh4h4d JhTs6s5h3h 
7s7c6h4s4c QsQdJh7c5c AsAdAcTc2c Th9d8h8d5d 
QhJdTd9d6d Jc8c7h7d5d QcJc9d7h3d QsQdTd5h2c 
AdJc9h4d3s AhKdJc5s2d Ad9s7d6s2s QcJdTc9h3c 
KhJhJc9h5s KsQsQc7s4h KhTc9s8c4s Js9h7s6c4c 
Ad7s6s4d2h Ac9c7d5s5h QcJh9d8c5s KsKhQc8d3h 
QhJc9s5s2c AdJhTc6s5s As9s7c4s4c QsQd7s6h4s 
KhTs8d7h5h QdJd8d7c6s Js9d8s7h4d KhQs9c5c3s 
Kc9c8d7h4d AhThTc7h3s AsKs8h4c3d AhKdJh5h2s 
KhJh8c5s3s KhQc9c7d2h AhKsJs4s3d Ac7s7c4h2s 
QsQdTd6d3c QsJh9c8d6c Js8s8c5s5c KdQc9c5s3s 
QhJc9d6c5s QsJh9c7c3h QcTc7s7d4s Ad8s6d4h2s 
KdJs9s8h6c Td9c7h5d3c 9s8s7c6c3d KhQc8d7d4c 
QsJcTh6s6d AhJdTd9d6d AhTc9c8c6d KhJc8d5d2h 
AsJd6s6c4h JsTd9c3d3c AdJh6c5h5c 9s8s6h5h3d 
QcJsJd8h6h JdTh9s5s2h AdQd9d7s7c KhQh8d7h6c 
Qc9s7s5c4h JhTc9c7d2d KsJhTd9c3h QsJs6d4c3d 
AhKc9s8s5d AsJcTc4h3d JdTc8s8c2d QdTc7c5d3c 
Ac9s6h4s3c JhTs8c6h3c JcTc6h5h3h KdJd9h7d7c 
JdTh7h4d3h 7c6s6d4s4c Jc8d8c6c5d Ah8d5s5h4c 
AcJh9d8d5d Kc8d7c5c4d AcJh9d8s5s Ac8s8h2s2c 
Qd8h8d6s4s AhTd5d4h3h JsTh9h7d2d QsJhTh9h3d 
KsQh8d7h2s KcTsTc6h2h Ad9s8s5d2d QhJdTd9d3c 
JdTh8c4h4c KcQd8c7c6s Ah8s8d2s2h AhQc8h4h2c 
AsKdQc2h2d KsQh7c6h3c JhTh5s5c3c AdJs6s3s3d 
JhJdTh6c4h KhTs7h4h3s KdJs9c4d2s KsJsJc8s5d 
JhTs9d6h4c KcQd7c6c5h QhJs8c4s4h JsJcTd8h5h 
KhJs8h6c2s JhJcTs9s5d AhTc7s7d3h Ah9s6d3h3d 
Ac9d8d7s4s AdKc8d4s3h 8h8d7s4s4d JcTh9c4h4c 
Qd8c6d6c4s KcTd7c4c3d Ks9h8s5c4c AsKh9c6c2h 
Jc8d6d5h4h KsJs6c4h4c KcJhTd9s5d AdTd6s6h4c 
As9d8d7h4h Ts9d9c8d7h JcTh9s9d6h QdTh8c5h2d 
Ad6c5d5c4d KcTc6s6d3s AsJc6d4d2s KcQs9h8c3h 
AsQdJs2s2c KsJd8s5h3h KcThTc6s2s QdJsTh7h5h 
KsKc8d4h3s 7s7c6h5s3c AdJc9s7d4d QdTd9c5c2h 
KhTc6s4c2h AcQd8h4h4d KsKdJs8s3c JsTc8h8c2s 
QsJs9c7s6h QcJs8h6c2s AhJsTd6s5s Js7d6s5c4d 
QhTs8h8d3d AsThTc6d3s KdQh8c7c4h Qd9d9c7s6h 
AdTs6s6d3d KdQc6s6d5h AcTc9h6c4s Qh9s9h7h7d 
AhQd8s5c2h KhJsTd9c5d KsQc9c6c2s 9s8s6h5h3c 
KsTc7h6c2s 9d8d6s5s5c 8h8c7s4s4c AsQd9c8d5d 
QcTc9h5h2s Ah9h7h7d5s Th8c6h6d5d QdTd9s4s4c 
9s8c7d6c4d AsQs9h9c5s AsJh9d8c5c Qs8c7c5s4c 
9c8s8c5s4h AdQsTs9s2c KcJsJd8d2s Kd9h7h6h3d 
Jh7h7d6d5c QsQcTd7h4d Td8c7s7d5s 9d8h8d6s4h 
7s7c6s5d3c Ks9d8d6h2s Kd7h6h6d5h Ad7d7c4c2s 
AcKs8c4d3h KsJs6c4d4c AcQd9d7d6h AdTh6h5s4s 
QhJcTd5h3h AhTh8d7h2c QcJsTc7d2d QsTs8c5s5c 
KdQs8s7c2d AsQhJsJhJd AdQh8c5s2d KhTd8d4c2h 
JdTh9d6h2h AsKhQh7h7d JcTh6h5c3c KhQh5d4c2d 
Jh7s7h6s5d QhJsTs9s3d Ah5s4s3s3h AcKh8s6d2c 
Qd9s7s5d4h TdTc9h8s6h QsJd9c8s5h AhKc7d3d3c 
AhKd6h5h4h JhTs9h3c2s KsQc6d4d4c KsJd9d8h6c 
KsQc8c7h2s KhQhJdJc2h AhKh6d6c3s AdTd7c3d3c 
QdTc9d6d5h KsKd8d6h3d AsJs9s9d6c KsTd9s7c3h 
QhJd9c8h5s QhJs7s7h4h KhJd8d8c7s KsQc7s5h4d 
AdTd8h8d6d KsQc8c6d5h Tc9c7s5h3h TsTc8c5h3s 
AhJhTd7h2c Ac9h6s6d5c AhJh7s6d2s KdKcQs8h3d 
Jh8d6d5c4c AhJc8s8c5d KcQc9s6d5c AcTd8s7d4h 
JsTc8d4d4c AsJc6d5c4d KcQsJs3d2d Ah9d9c7h3s 
KcQhTs8h5d QsQcJd4d3h AsQd9h8d5d JsTd9c4s2c 
Kh9c6c5h4h Td7s7c5d5c As8s6c5h5d KhJhJd9s4c 
KdQs5h4d2h QsJdJc8h6h Ac7d6h6c2d Js9c8c5d2s 
QdJsJc7c6c AdThTd7d3s AsTd9h8s2s QdJs9c7s6h 
AhTsTd6h5h JcTsTc9d3h QsQc7c6d4c AcTh9h5s3s 
Ad9s8c4s2d 8s7h6h6c5s Th7h7d5d4s QsTh9s7c2h 
KdJdTd5c3s KcQd6d4h3h AhQdJsJhJd 8h8d6d6c5s 
AdQhJh6h4c As6c4s4h3h AcTs6s5h4h AdQd6s5s2d 
JdTc8h6d4s QsJd9s5d2s AdKhJs5c2h Qh9d8s7s4h 
QsJcTd7c2d 8c6d6c5s4d AdKdTd6s4d KcJh9h8s6d 
AdJd9h8s4d QcTc7d7c5d Kd7s7d4s4c JcTh8h6d5s 
Jd9s7s5c4c Ah8c7c6s4s JsThTd6s2h JcTs7h6d5c 
KsJd8s8d3h Ah7d4h4d3d 7s7c5d5c3d AcQsQh4d2s 
QdJd6s4h3s As9d7c5d5c AdQcJhJdJc KdTh6s6h4s 
Td9c8h8c5d KhQc9s8c7c QdThTd6c2c AsTh6d5s3c 
7d6s5h4d3h QsTh8h6s3h AcJd6h5h5d JcThTd4s4c 
KhJc8h8c3d KsQsJdJc2s KsQd6d4h3h KsJs9s5d3d 
AsJh9d8h5h AsQs8s7h2h JsTd8s5h4c KdQd9c6h2c 
QdJhTh7h6h KcQh9s7s4h AcJdTh6d5d KcQs9d8h7d 
AcKs9d4s4d JdTh8s5d4c Ac8s7s2h2c Kd6d6c5s3s 
QcJdJc8c5h JdTc8c7h3h JdTh8c6s4d AdQs9h8s5s 
Ts9d7s6d3d AdQc7d6h6d AsKsTs7s3c KsJc9s7d2d 
ThTc9s8d6d 9c8h8c7h5c JcTd9c3h2d AcTs9s6h3h 
QsJc9d6c3d Js8s7s7c6c QcJc5d4c3d QsQc7h7d5d 
AsKd9c7h5c AcQs8d5s2d QhTh9c4s4c Ks8c7d6d3s 
Th7d6h6d4s AdQs5h4h3s Td9h6h5s3d Kc9s9c8s4d 
9c8d6h5d4h AdQcJsJdJc KsQh9c8h7h 7h6d5d4h3c 
TsTd9h9c4d AsQdJc7h6h AcKh9h7d4s KcTs7s5c2h 
JsTc8h7c3h QsTd9c4d3c Qd8c7d6c4d KsJh8h5s3h 
Kc7h6d5d4h QhQdJd8d5d QsTs8h8c7s JsTh5h4s2c 
QcTc9c6s5h KsTsTh8d4c KsJs8d7c3c KcQdJd3s2s 
TdTc9s8s4d AcQcJd6s3c JsTd8s7c4h QdJhTd9c3d 
QcJcTsTc4d Tc9h9c7d6c KhTs9s6h2h Jc9s7c5d3d 
QhJd9c7d6s Ad5h4h3h3d Qd7s6s5c4c JhTd5s4s3d 
AdTsTh9c6h AhQsJh6h6d JcTh5h4c2s AdJhTc6d3d 
9h7c6d5c3d AdQh8s5h2s QcJd9h8c5s Tc8h6d6c5d 
Th9d7d5s3h AcJsJd3h3d JdTc8d5c3c JhTs6s5d3d 
AcQc9s9h5c AcJs6s5h4h 9h8d8c5c4d JsJd4h3s3h 
JdTc9c7s2s AhKd8s4s3d KdQcJd8d5s JhJc8d7d6d 
KdJc9c7c2d QdTh8c5d3c JhJd6h4d3s Jd9h6s5d4s 
AdTs7h7c3d KcTc9h7c5s TsTh9c8d6c AdJd8h3h2s 
AdJs9c8h5h Th9s9d5d3h QhTsTh9c4d Jc9s8h6h4c 
Qc9s9h8d7c QsJdTh9s2s KsQcJd6h3s Ac7h4h4c3h 
AhQdJd6s4d QhJdTc9s4s KsTs7d6h5s KsTc9h8h6h 
AcQcJc9c3h AcJh7h5s3s Kh9c6d6c3h KdJd9s5s2h 
JdTd5s5h3h As6s4h4d3h Jc8c7h7c6h Qh9c8d5h4d 
KdTs6s4d2c AcQd7c6s6c AdQd4h3c2c Ad6s5d5c4h 
AhTc7d6c3d AhQcJc7s7d AhJs9d8s5s 7d7c5h5c3h 
QsQc9h9d4s KcTc8c7c6d JdTc9s6d2s KsQc9s8h3h 
JdJcTd4s3h Ah6s6h4s2c AhKs5c2s2c Kh9s7s7h3c 
QhJh5c4h3c AhTc8h4h4d AdKs9c8c5h 7c6h5d4d3c 
QcJh5d4h3d KcQdJh8d5s AsJsTc7s2h AhKs8c6d2h 
QdTc8h4d4c QdJsTc6h4h AhJs5s4h2h QhTs5s4d2h 
QcJdTsTh5s Qh8c6c5h5d AsQd8c5d2c AhJd9c8s5s 
AsJs7d4d3s KdTc8d7c2d JdTs7s4d3s AhKdQh9c2h 
Ks9s8c7h4c Ac9d8d5c2c QdJcTh9d4d QhJc9d7d3c 
Tc8s6h6c5h 9h9c7h5c3c KdJh8h5d3h AsJh3c2s2h 
AhKs9h8c4h KcQdJcTc4c AdQs7d6d2s QcTh7h4s3c 
QcJs8h4s4c AcQs7s3c2h QdJsTd8c3h JdJc4h4c2d 
AdJs8d4d2s AdKcJs5d2d KcQh9h8s8d KcQc7c6s5d 
9h8s7c5s4c AcKdQs2h2d AcQcJh8s2c Ad9c6s5h4d 
AdTc6d4h2h KsTd6c5s2d Jd9d6c5s4c Ah9d6h4d3d 
KdQcJhJc4c 7h6c5s4c3s JcTs7h5c4d AcKd7c6c3h 
QdJh7d5c3c KcJc9s7d7c JdTc9c7h2h AhJd6d4h3h 
8c7d6c5s3s KhQdJs7c6c AsTs8s8h6s KsQs7d6s5c 
Qh9c7c6s3h JsTs9s4d3d JdTs9s3c2d QsJd8d7h4h 
QdTc9c8c7c KsKc9s8d2s JhTc8d6c3d Ah9s9h6h4s 
KcTsTh5h2c QhJc9h8h2c KhJh8d5c3c KhQhJhTh3s 
AhQc7c3h2s QhQdJh2h2c KcQh9s8c3s Ac9d8s4d2c 
QsJdTd7d5h Qh9d7d6h3c QhQc9h9d4h AcQc6h5c4d 
Th7c6s6h5c QcJsTs9s6s JhTh7s7c6d Tc9s9h8s7d 
Ac9s6h3h3c KdJs9d7d5h QsTs6c5d4h QcJhJc8c5d 
JdTc9d3h2c KdQs5s3d2c AdQc7d3d3c AhQc7h3h3c 
As9d7h5h5d AdQs7d6d6c QsJh9d7d3h Ts7d6s6d4c 
Td9d7c5h3h AdKcJc4c3h Ac9s9c8d2h AhKdJs9s6s 
JhTd8s4h3s QcTs8d8c3d 7s7h6d4s4h 9c8c6s5s5d 
KdJhJd6d4s AsJs9c6d3h Ad7s4s4d3s 9h9c6c4h4c 
QsJs9c8c2c AhTc9c5s3s AcQs6c5c4d QdJd9c8d6s 
9h9c6h4h4c QsTs9d7h2h Kh9d6d5h4h Ad9c8d6s6h 
KdQcJcTc5c Ah7s6s4h2d Jh9h7d5c3d AcQc8d6s4c 
9d9c7d6s6d Ts9h8d5d4s AsJh8d7d6c AhTsTd8c6c 
AcKc9s8c4h JhTd9s9h6c QsJc9h6c5d Ac9s8d4s2c 
Kh7h7d6s3d AcTc8s7c2h KhQsTd3d2s JdJcTc8s2h 
QsQc7s6h4s Ad7d6h5c4d KcQc9h6d5c KcQd9c5d5c 
KcTd9s5d3s KdQh9h9c7s QcJc9s5d2s KdQdJsJc2d 
JdTs5s4d2c Jd7d7c6c5s 9h9d5s5d4s JsTc8h6s4d 
Qd9h7h5d4c AdKh9h5c2c ThTd9h7d2s Jh9s7h6c4c 
Ks9c7d6s5s QhJh5d4d3h AdQc6d5d4h QcJhTh6h4s 
AsJdTc5d3h KcQd9s7s4d ThTc7h4h4c Ad8h6s4d2h 
AcJc6c5d3d KsQd9h8s3h AsJd8h6c3s Jh8s6s5h4s 
QdJs9h8d5c Js8h7d6h6d Jc9h9c6h3d AcQcJs2d2c 
AdQcJc6c4s 9s9c7d7c5h Ah9h6c5c2c QhJhTh9c5s 
JcTs7c5h4d AdTh5d5c2c KcTc7h6c4d Kh9s8s7h2d 
QdQcJs9h2c JcTd8c7h4s ThTd8h6d2s JsJh8d8c5c 
Jh9d7d6h4c As9s9c6s4c QsJs9d8d2d QhJh9d8d2d 
KdQhJh3c2c QsJhThTd5h KcQdJs8c5c JdTs8s8c2d 
AsKh8s6s5s AsTc6c5h4h AhQh8s6c4h AhQhTh9h2s 
QcTs9d7c5h 9s9d7d6d5h KcJc9h6h4c KsQhJs9s5d 
QdJhJc3s3d AhTh7c3h3c JhTh8h7c5s AsKdQd9d6d 
QsQd9d9c4d AcTd8d3c2d 8s7c6d6c5s Ac7h7c4d2h 
AsQd7d2s2c Jh9s9d8d7c KsQdJdTd5d AhKs9s7c4d 
AdJd5d4s3s QcTs8d8c3s Th8d6h5d4h AcKsJc6h3c 
8s8h6h5d3s AdQs8d4d2s QdTd9s5s2c QcJsJd3h3c 
KsQh9h9d7c QhQc9h7s5h Qs9h6c5s5c QdJsJhTd3d 
TsTc7s7d4h JdTd9d9c7d JcTh9d6c5s Jh9h7s5c3s 
KdKc7h2s2d Qs9d8s5h4h AdQhTc4s3h 9h9c7s7c5d 
JcTh8s7d4c KsJh9h8d8c AdJhTc6h5h AdTs8h7s7c 
AcKd8s6h2c Ah6s5s5h4h AsQsJs9s3c TsTc6c5s3d 
QhJsTh9h4d 7s7c6d4s4c QhTs8d6c5s QdTh9d7s2h 
QsJcTc6c4h Tc7s7c5s4h QhJsTh9h5c 9c8c7s6s3h 
KhQsQh7d4h Jc7d6c5h4d KcJdTs9h5s AcKcJh6d6c 
AcJc9h6s3d JcThTc6d5c QhTh7c6c3c AdQc8s7s6h 
KcTs9s4s2c KhJs9s4h2d KcQc7h7d6s KsQc4h3c2s 
KdQc6s5d2s Qc8c7s7d5d QcTd9h2h2c AsKsJc6s6d 
KhJhJd8c4s Kc7s7c6d3s KdQhJc7c2d Kd9s9d7h3h 
KdJh6h4s2d QsQcTh8c2d Ks7c6c4d3s JdJc5h5d2c 
KsKh9h8d2h JsTsTc6s6d Th9c7d5h3c QsJhTd6s6c 
AsKs6d2d2c AhKcTd7d3s QhQd9h7s5h Kd9h8h6s2d 
QdJh9d5h5d 9s8h6c5h4c AsJs9s8h4c 9c8h8c5h4d 
KcJs8d7h6s KcQh9d5d3h AhQdJd9c6d QsQcTs8s5s 
AcQh8h4c2c Js7s7h6h5c KdTsTd6h2h KhQd9s8c7s 
QsJs8d5d2c KsTsTh6c4s TdTc7d5c3s JsTd8h6s4c 
KhTs8h7h3s 9d7h6h5d3h Qs9s9h6d4d Th9h9d8d4s 
Tc9d7d5h3c 9h8h6d5d5c TsTd6s6d3s Qc9s8c5h4s 
AsJs9s8c3d AdQc5h4h3c QsTc9s5h2h AhKcJc4c3d 
AdJs8d4c3h Qh9c8s5h4s JcThTc6d6c Qh8s7s5s4h 
QsQc7s7d4h QcTd9c7s7c Th8s7s7h4d TsTd6c5c3s 
AsAhAc7s2d Jc9s9d5c3d JhThTc6d5h JhTc9h7s5h 
Jc9c8s6s6c Kh6s6c5h3c QcJsTd7s4h KhJc4h3s3c 
AsTs8s7s7h Jh9s8s5d2h AcQd9d8h5d KsTsTh6c2c 
QsTc9h9d6h KsQhJh3d2d AsQs6h5s4c JhTh9s4s2c 
AdQs8h5s2h 9c8h7h7c6h AsAhAdJc4c Ac8c6s5c3s 
QsJdTd6c4d 9d7d6h5h4d AhKc8h4s3d Td8d6h5d4h 
KhQcTs7s2c KsQh6s6d5c JdTc9d7s5d AdQc9h8c5c 
Kh7c6c4s3h KcQs6h4s4h QcTc9s4s4d AdKcQc3s2h 
KhKd8h6s3h Tc9h7c5s3h AsTd6d5c4c Jd8h7s6s6h 
Kd8h7h5s5d AdTsTc8s6s Ah8s6h4c2s JhJd8c7h5h 
Kd7d7c4s4c QhJsJdTh3h KsQdJc7s4h JhTs8h7c5h 
AcQh4d4c3s AdQd6h6c2h Ah6s5h5d4c 8d8c7s7d5h 
Ah8h7h6s4d Td9h7h5s3d AsQc9h6h3c 8h8d7h4d4c 
KhTc7d7c4d QsQd8h7h2d Ac8c5s5h2s AdTsTc8c6c 
JcTd8h4h4d Ks8d7c6c3s AcTc6h4s2h AhJc6h5s3d 
KsQs8s8h5h Js9d8d5h2s JdTs9d6s2s KsQhJh7d5h 
AdJh8d6d2h KdJd8s7c3c AsTd9s9c2s Qh9h9d8s7c 
AhJc9s4h3d QdTh9d5s2s Jh9s9d7s4h QdJd9c8d6h 
Tc9d9c8d4s Jh9s8s8h5h KcTd5c4d2s JhJd7h5d2c 
AhTh9h8h5s 9s8s8d5d4c JsJc4h3s3h QcJcTc9d5s 
QdJd9c5h2c AsQs9c7s2c Ts9h7s5d3h AsTdTc8c6c 
Ks6d6c5s3d KcTd9d8h3h As8d5d2s2c Qd9s9d7h6c 
Jc9s6h5h4c 8s7h6c5s5h JhJc9d6h5h JsTd5h3s3d 
Kh7c6s5s4c AcJs6s5d4d JsTd9s6d2d AsQs6c4s3c 
QcJsTc9c4h AcQh9s6s3h JdTd7s7h6c AsKc7s6s3h 
KdJdJc6d4h Th8s8c5s5c 9s8h7d6c5s KhKd7s2h2c 
QdJs9c8d5h KhJcTc3s2s Th8d6h6c5c QcJh9s5s2h 
AsJd9h8c5c AdKhQh3s2c KsQsQd7h4s AhJd9d8d7d 
Jd7s6s5s4d JdTsTc8c4h KdTc7c5d2h JsTc9d5d2c 
QsQd9h9d4d Jc8c7d6h4h KcQdJc8c5s KdJh8s6s6h 
AcQcTc6h6d 9h8d7c6s5h JsJh9d5s5c Qs8s7h7d5h 
KhQc9s6h2s AdJsTc5c3h QsJc5d4c3d 8s7h6d5s5h 
KcQsJcTc4c KsJs6c5d4h QcJdTh6s6d KcJc9h7c5d 
JdTc8c5c3d AhQs8h4h2s Kh6s6d5h3s JcTsTh5h4h 
JhJd7d4c3h JdTs8d5h4c KhQh6d5d2d JhJc7h4s3c 
AsQdQc4h2d KhTc8c4s4h AsKdJc9h3c AhTh8c4h2c 
Qc9h9c8d7s JhJd4s3s3h Ac8h6s4s2c AdJd9s4h3c 
9c7h6h5c3h QhQcJh2h2d KsJh7c5s2h As8c6s4d2c 
AdKcTd7d3d QcTs9c7d2s QhJsTh8d3c JsJc5h5c2s 
KcTc7h6d5c KdTs9h9d6d KhQc6c4s3s QhQdTh8h5h 
KdJhTc9s3h AdTc6h5s3d 7s6s5d4c3c QdJsThTc5c 
AcTh6s5c3d KcQs9c8c6h QsQhJd4d3c Ac6d5d5c3c 
KhQdJd3s2s JhTc8h6d3d AsJhTs7s2c QhJs8c5s5c 
AhJh9s8d4h AhJcTd7d3s AsTh6s4c2c JsJh8c7h5h 
Tc9h7c5h3d Tc9s9h3s3c QdTs9c6d4h QcJd5s4d3s 
Qd9s8d5h4h 8d8c7s4s4d AdJhTs6h5h AsQhJs6d2c 
AcJc6c5h3h QcTdTc6s2s KcQc9d6s5c AcKdJc8c4c 
JsTd8c6s3c Jd9s7s6d4c JsTh9d9c6d Tc9d9c7d3c 
QsQhTd8d5d KcQd9s8h7s AhJhTh6s6d AdQc9s6s3c 
AsTs8s7d3c JsTc8s4c3s KsJd9s8s6c KhJc9s9d6h 
8c7h6s6h5c QdTc9s9h6h JcThTd9d6d JhJdTh8s2c 
Qh9h9c7s7h AdQd9s4d3s KdQs7c5s3c AsAhAdTs2s 
Ac7s7c4s2h JdTc8s5h4d AdJd9s8h4d AsQhTd5c4c 
AsAhAd7c2h JcTd9c4d4c AhKd6s6h4h AcTd6h5c3s 
9h8d7s6s4d QsJsTsTh6c QcTh8h5h5c JhJc8c6c3h 
AhKd5c2d2c KhQh8h7c6s AdJd9d8s4h Kd7d7c6h3c 
AcKh9h5s2s KdQd9s8c2c KdJc4s4c3d Qd8h7h5d4h 
Ac8c6d4d2d Kd6s5h5d4s AcJc8d5h2s Tc9h9c8d2h 
AsQhTd4c3h Ah7d6d4h2c KhTd9s4s2h AsAhAcTh2h 
AsQc9c3c2s Ah9s8s3c2h AhJh9h9d6c JsJh9c5h5d 
QdTd8s7c2s QhJs7h5c3c AdKc9s8s5h 9c8c6d5s5d 
QhQdTc5c4c TsTd9d4s3s AhQh6d5d2h KsJhTd9c2d 
AhTd8s8d6c AcKd7h3h3d AcKd9d7s4h QhJsTh7h7d 
KcJsJc9c5d QcTh9s4h3s Kd9s9c7c5s QcTd9d8d7d 
QhJd5s4s3d AhQd9d8c5d QsTs8d5d2c Ac8s8c2s2d 
KcJc7d4s3d QhTsTd3d2h Tc9c7s5d3d JcTs9c7d5c 
QhJc9h9d2d Jd9h9d6h3c QsTs9s8s8c KdJh8d7c2h 
Ks9s9d7h3h Kd9s6s5d4d As6h5s5d4c JdTc8h6c3h 
KhTc5h5c4h KhQd9s7s4d AdJd9d8h4s AcTh8h7s4d 
QsJsJh8s5c KhJdTd7d6d AcTc8c7s3h AsKcJc4c3d 
Kc8h7h5s5c QdJhTsTc2s QcTd7d4h3c JcTd5d4c2h 
Kd8h8d6h5d AcKs8d6h2c JsTd8c7d3c Ah7c6h5h4d 
Ac7c6d5c4h Ah9h8c4s2c KcQsJd7h6h QsJc9h8d6h 
QsThTc3h2s Ac8h7h2s2c KcTc6s4s3c KsQcTs9s5h 
QsThTc3c2s QdTs9d6d5h AdQc8h4h4c Td8s8c4d4c 
KdQcTh7d5d QdTdTc7d6d JdTc8d6s3s JdTs8c6d4h 
QcJsJhTc3c 7h6d6c4h4d 9h9d7h5c3c AsQs9s7h7d 
Jd9c7c6d6c Ac9s9d7c3h KdQd9c8s2s KdJs9d8d6c 
KdJh9c8h4c KsQcTh7h2c Ac7h6c5c4s AcJh9c5d2s 
Qc9c7h6d4h QdTc8d6c3d AcJs6h5c3d 9h7h7c5d4c 
KsTd5s4d2c KcJhTd9s3d QdJsTd9d4h AdKh8d4s3c 
AdTs6c5h3d KsTd9s2d2c AsAdAc7d2h QhTh8c7d2c 
Td8h6d6c4h AhQc9d8c5c AcTh6h4c3c Ah8h7h6c3c 
JcTs6s5d3d AdTh8s7h5h Td9d7s5c3c QdJcTd9h3d 
Qs9d8s5h4d JsTh6h5s3s Qh8s6s6h4c KsQc7d5c3d 
AhKdJs5c2d JdTd9d4s3s AcQs8c4c2s TsTd8d6c5h 
QsJh9d6h2s KdJh5h4h2d Ad8s7s6d3d Ah9d8d3c2h 
JcTd7c6d3c 9h9c7d6s6c AhKh9d3c2c AcJc9c8d4s 
Ac9h6d5s4c KcQsJd7c4h JsJd7d5s2h KcQhQd8c4s 
AhQs7s6d5c JdTh7c6s5d KhKd6d2d2c Td9s9h8h7c 
KsJc8c5s3c AsQcJc7h7d QdJd9h8h4d AhJc8h4d3s 
KdQd9h8c2c KhQcJd7d2h QhTc8s8h3s QcTc9h7d2d 
Jh9s7c5h3c JsTs9s8s8c JdTc8d4h2c KdQd5h4d3h 
JsJhTh4d3c KsTd9s7h3c KcJhJc8s4d Qc8s7s5c4s 
KsTc9c8d3d KcQdTd8s4h Th9h9c4d4c Jc9s9d7s4c 
AcJc9h9c6d AcQs9c8c4d Th9c7h6c3c QdJh8c7s6h 
JcTs5s3d3c JsTd8c6d3c KdQd7d6h5c QhTsTh9c5d 
AcQc9s3s2h Ad9c8h5d3s 8d7h6h6d5c QhTs9s8s7s 
Th7s6h6c5s Ah7d6h5h4c KdTdTc7d6d QsJdTd7d5c 
QhTs9s8s6s AsKcJs8s2d QsJhJc5d3s Th9h9d5c3d 
AdQd8d7d5c Ah8s7s6h3h AcKcJh5c2s AdJh3s2h2d 
Jh9h7d5s3s KsTs6h6c3c KdQh7c6s4d KsQhQd8s4c 
AsJh8h8c5d KsKcJh4h2d QsTh7h4c3s QcJdTs6h6c 
AsTh9c7h6h KdQh9c5d2c Jc9s8c6s6c AsTd8c7d5d 
