AcJd8h4h2h 
Qs9c8d7c3c 8s8h5c3d2h Ad8d6d4c3d Kc9h8s6d2s 
As9h9c6d3d TsTh7c4h2d Kc9h8s7d2s Jh9s4h4d3c 
AsQs7d3h2s Jc6h6d5c3c Kc8c6d6c2h Jc8s5d4h3d 
QsJd7c5c2h Jd6c4h2d2c Qh8d6c4s3c Tc7s5s3s2c 
Jh9d8s4s4c Jd9c7c5h2c 9s8h5c4d2d Tc7c6c4d4c 
Td8d7h3s3c AhJd8d2s2c Ac9c8c4c3d Jd8h8d7c2d 
As8h6h5d2h JcTc7d3h2s KsQc8c7h3c Kc7h6h4h3s 
Qs9c8c7h2c Tc7s7d3d2c Td7d5c2d2c 9s6c5d3s2h 
Jd7d6s4s2d Jd9s8c4h3s Qd7s6c4h3c KhJd9d3s2c 
Qs9d6s3s3c 9h7d6d6c2s Jd9d8c4s3d Qc8h8d6s2h 
KsKdKc6d2c Ad5d4s4d3d Jh8d8c2s2h Qd7c6s3h3d 
Kc9c8c5h3c Td7d4s4d2s KcTs8h4d2h Ks9d8d8c2h 
Qs6d5h5d3c KcJh5d3s2h KhQhJd7h2h Jh9h5c4d2h 
Td9s4h4c3s 8s5h5d4d2c 8d7d6d4c2h KsTs6c4s2s 
Kc9h8s7h3h 9c6h4s2h2c AhTc4s4d3c Qc8h6h4s3d 
Tc9h6c4d2c Jd8h7s5c2h Ks6c4s3s3d 9d8d5c4d3h 
AdJs4s3s3h Th9d4d4c3d Ts9h8d3s2s AsKh9c2d2c 
KhJd9h3h2c AcJd5s5h2d 5h4s4d3d2h Ks6h6c4d3c 
Kc8s5h2d2c Ad9s7h3h3c Kd8h5s5h4h 9d8d6s2h2c 
9c8h5c4s2c KhQd7s5c2c 8d5s5d3d2s 6h4d4c3c2d 
KhTs5h5d2h Qd8h7h2h2d Ah8s7d6s2c Tc6d5s3s2d 
Qd9s5d3h3d Kc8c5c4h2d Qc8h8c3s2h Kc9s8d5h3s 
KhQs8c6d2c Kc6d5h3c2c Ac9d8s3s3h Jh9h8c3s3d 
JhTc4d3c2c Td8c7d3d2c AsTh5h3h3c Ad9c7c3s3h 
AcJs6s3h3d Tc6s5s4s4d AhJc9s3d2c Th7c5c3d2d 
8s6d5h3h2c Jc8d4d3d2c 9h9d5h4s2h KdQs6h4c2c 
AcJs6d4d3h 7s7d5c4c2c Td9d7h2s2c Td8c5h4s2h 
Tc6s4h3c2s KhQc8c7s3c Th8c7d4c3c QsJh7h7c3h 
Jh7h6h4c3d Ks8d5c2s2h Kc9s9c5d2c AhKs9s3s2d 
QdJh6s3s3c Td8s5h4c2s KcTs9d3d2d Js9c6c4c3h 
KsQd8h5c2c Ah9d7s4c3c Th9c7s4h2d Jh7s4h2s2d 
KsTs8s4d3s 9d8h8c4h3s Ks6d4h4c2s Jh7h6d4d2h 
Qc9s6s5d2s Kd8d7h7d3c Qs9c7h7c3d 9c6h5d3c2s 
Kc8h6s4s4d Ts7s5s4h3s Jh9c5c3s3c Ts8d5c4h2d 
Kc9s9d5c2c Qc8c5c4s3h Ks9d7h7d3d Jd7h7c6d3d 
AsJh7h4c2d Qs5d3d2s2c Kc8h5c4d2c KsJd8h4h3c 
Th9s8d3h2h Ah6c5h4h2h Td8d5d4s2c KhQh8h7h4h 
Ah5h3s3h2d AcQh9h4h2s AhQh6h2d2c 6s5s4c2h2d 
QdTs7c5s2h 9h8d3d3c2h ThTd5h2s2h 8d6h5h5c2h 
AhTc8d3c2s As8c5s3d2s Th8s7h3h2s 9d8h7c4h3s 
8c6d5h5d2d As9d7d3h3c Th8d7d3c2c KsQs4c2s2h 
Tc7c6s3d2d Jd9s8c4h4c Jc8s6c4c3h Jh7h6c4c2h 
QhTs8s2s2c QdJc7c5c2s 9d8s8d3h2c QsJs9s4s4d 
QdJs5s2h2c Qc7s5s3c2s Js8s7c4s3h Th7h6h5c2s 
Js8s7h4s3d Jd6s4s3c2d 6d4s3h2h2d 9s6c4d3c2s 
9c8s5s5d2h 9s8h7s7d2s Jc6s4d3d2c 9s8d5h4c3s 
Qd9h8h7h2c QdTd7d5d3d Ac7d6d5h2s KdTs9h3h2h 
Jc8d6c3d2h Kc9s8h4c2d Td8h5s5c3s AsKd8c3h3c 
Jd9s7c3h3c Jh9h8s3c2d Kh9d9c8s2s Tc9d6c3s2h 
KsTs6s4s2d 7d6h4h3s3h Kh9s9d7h2h KsJd8h2s2c 
QcTc7c6s2c AsJh9c4d2c 7h6s5c3h2d Jc6s4s3c2d 
Qd8h6s4h3c Ts8h7d7c2d Kh9h7h6h3h Ks9h6c3s2d 
Th8s6d6c3s 8s7h7c6c2c Kc8c5s4c3d Js6d4h3h3d 
Ts6s5s5h3d Ac8h7d6h2s Ah9c8h4h2h Jh7d7c6h3h 
AhJs7d6s2c KcJs6d4h2s Kd7c5h2s2d AcJd4s4h3h 
9d6d5c3h2s 9s6h5s4s2d KcTs5c3h2c Jc9s8s6s2s 
JhJc9h3h2h Kd7c4c3d2c Ks6d5s3c2s Ah8c5h3d2h 
Th8h6h5s2h Ah8h7h3s3h Js7s6d4s4h Jc8h6d3d2c 
Js6d5h4h3h Jh9d9c7c2c AcJd6h5h2s JsJh7d6h2h 
Kh9d8c6d2d 9d8c7h4d3s Jd9d5c4s2d Tc8h6h3s3d 
Th8d5s4c2d Kd8c6h5c3c Kd8s7d4c3d Qs8c6d4c3h 
7h5h5c2s2h Kd6c4s3s2c As9h7c3d3c 9s8d8c7s2s 
JdTd6d6c2s KhQh8h3c2c QsJh7d2h2d Qh9c6d4h2s 
Js6h4c3h2s Kc8s7s6d3s Kh9s6s3d2d AcTs8d3h2s 
AsJh6c3h3d JsTh5d3d2d Jh9h7s6h2c Kh9s8c7d2c 
Qh5c4c3d2d 9h6s6d4c3s KcJh5s3h2d Ac9d7s3s3h 
6c3h3d2h2d 8h8c4c3h2c Jc9c8c6c3c 5s5c4s3c2s 
Ks6c5d3s2s 5d4h3h2d2c Tc9d8c3c2h Ts6s6c4s3h 
KdTh6c4h2h KcJh9h3h3d QcJs7s5s2d Qh9s6d4c3s 
Js8h4s3h2c Ah9h4d2s2c Kc9c5s3d3c Jh6c4s3s3c 
Ks9d6d3h2h Ah9c7s5d2s Td7d6c3h2h KsTc6d4c2c 
9d7d6d5h2d Tc9h6s4c2c Td6c4h3h2d Kd5s5d4c2d 
QsJd4h3c2d Tc9s6h3c2d Ac7d5s3s2d AsQs6s2h2c 
Tc8d3d3c2s AcQc6c4c2d QsTh8d3c2h QcTs8s4s2s 
9c6h6d4h3s AsThTc3c2c 9d6h6c2s2c Td8h5c4s2c 
QcJc7d5h2c 9d8s5c4h2h 9h8c6h4h2d 7c5d4s4c3c 
QcTd6c4c2c Kc8c5s5c3d Ks7h6s3s3d Kh8c5h4s3h 
9d7h6d4d3d KsQd9d3c2h AsJc8h4h2h QdJs9d4d2d 
7c6h5s3d2c Ks8c6d4h4d Jd9s9c4h2d Ad9h5s5c4h 
AsKs7s6s2s Th8c7s4c3c Qc8c7c6d2h Th8s7s3d2d 
Qd7c5d3s3h Jd8h4h3d2s 9s8s5h4s3d AhKs9s3s2c 
6s4s4d3c2d QcJh7c5d2c Qs8h8c7s3d Ad8h7c6c2s 
JdTh4h2s2h KsTd7h5c2h Kc9s4c2s2c 8s7s5h4s2s 
KdQs7c6c2h AsTh9c3c2d AsJs9s3h2s Th6c4s4c2s 
AcTc4s3c2h ThTd7s4d2c 9d8c6c2s2h 9h7h6h3h3d 
Qd9c8c7c2s KhTs7s3d3c Tc9h9d3s2s Js7h6s5d2c 
AsQc9c4c2d AcQh8d3h2s Ts8h7d7c2c Ks9c8h6d2h 
KcQh6s4s2d AsJd9d6h2d Ah8s4c3s3c QsJc6s3h2d 
Qc7s5s3s2c AhJs6s3d2d 7c6d5h2s2c Kc8c7s7c3d 
Kh7h6h6c3h Jc9h8d3s3h AdTh8c3s2h Kh8h5h4d2s 
Qs6c5h5c3d Qs8s7s5h2c Ks9c8d7h3h Jh9s9c4d2h 
Th6h5d4c2s AhKh7h6h2h Th8s3d2s2h Kd9c5c3h2h 
Ts9d6h4c2h Kc6s4d2h2c Jd8s5c4s2h Js8h6s4s3d 
Kd9c8s7h2s AcQc6c4d2c Ks9h6d6c3h KdTs9d3d2d 
Qc8h5c4c2s Ks9c8d6c2c Kd8h7d7c3d 9h6d5s4c2s 
Kd7c5s5c3h AcJc9c3h2c Kc5c4s3d3c AcTd6h3s3d 
AcTh9h3h2s Jd9h4s4d3c QcJs7h5h2d Jc6s4h3h2c 
As8h4h4d2d KhJd9d3d3c Th9d7s4h2c Ks9h9d8c2d 
Td9s6d5d2d KcQd9h7d2d Ac6h5d4h2s AdJh6s4h2c 
7c5d4h4c3c AcJh7s6d2h Kd9c8h6s2h Kd7h5d4d2s 
KcTc7c5d2c JdJc7s4d2h Jh8s5d4c3d Jh9h8d4c3h 
9c8h6d2s2d Js9d7d4d3c Ad8s4s4c2c Jc8s8h7d2h 
Ts9h9d3s2s 7s7c6h4d2c QsTs4c2s2d 9c7c6c3d3c 
Jh8c5d4d2s Ts9c8d3h2h Js8h8d6d3d 9d6d4s3h2s 
9h8c5s5c2d Ac9h7s4d3d KsTh8s4s3s 8c6s4c3c2s 
KhTs5h3h2d Kd8h7d3h2h KhQc8d4h2h 8s5h5c3s2c 
9c8c5s5c2d Kh8c4c3h2s JhJc5s3c2c KdQd9d5c2d 
Jd6h5c2h2c 9c7s6s6d2h Td6s6d5c3d Th7s6h3s2d 
ThTd5s5h2h Jd9h7h4h3c Ks6d4h3h2d AdJh9h6c2h 
9d8s5d4c2d QsJh7s4c2d As8h7d7c2h AdJs5h4c2c 
6s4s4h3c2h Jh8s8h6h2d Qh8c7c2h2c Jc9d8h4s2c 
9s6h5c4d2h Js7s5h3d3c Td9c8h3s2s Ks6d4s4c3s 
KsQs9s5c2s QcJc7d5s2c Ts9d7s5s2s Kh8s5s5c4s 
8h5s5c3s2h QhJc7s4d2h Jh6c4s3s2h Js8s8c6s2h 
Kd9d6d6c2s Qs8h8c6d2h AhJc4c3d3c KcTh8d4s2d 
7s6d5s2s2h KsTc5s3h2s Ac6h5d3s3h Jh4s4c3h3d 
Ks9c8h7c3c Qh7c6s4d4c JcTc5c3c2h 9c6s6h5d2d 
Jc9s7s5d2s Qc8h8d6s2d Tc7c6s3h2h KcQd8h4c2c 
Ac9h7d4s3s QhTh5d3c2h Ks9c8h4s2d Th9s8d4d2d 
Jc8s4s4d2d KhJc9c3d2s Qd7c6h3d2h Kc9c3h3d2h 
9d8d5h5d2s 9h7c6h5h2h Ts9h7c4s2d KhJh5c2s2h 
9c6d4s3d2c KdQh9h7h2s KsQh7h7c3h Td8h7c5c2c 
Kc8s8h3s3h Ks9s9h4c3s KcQd9h7h2s Kc9d8d7d2s 
9s6h6c5d2d QdTd4s2d2c Kc9s8d7s3s Ts6c4h3h2s 
5s5d4d2h2c Kd8s5c2h2d Ks9s9d8s3s Qc8h5s5h4h 
Ts7s6s4s4h AsTs4d3s2h KcJs8h2d2c Kc4h4c3h2c 
7d6h5h2s2h 7c5s4d4c3h Th9d9c3d2d Ks8s6h3d3c 
9d8c6h4s2h Qs9h8s2d2c KhJs9c4c2d QsTs7s4d2h 
Jh8c7d5s2c Th8c7d2s2h 8h7c5s2h2d 7d6d5c2s2d 
Qs9s6s4h3s AdTd4c3d2h Ks6s4c3h2d Ad9d4s3d3c 
AsQh9h4h2d 9d7c6h6c2s Jh8s4s3h2c Js3s3h2h2d 
QsTd7c5d2h KdJc5h3s2c 5h4s3c2s2h QhJs4d3c2s 
Ks9d8c6h2h Jd8h4s4h2s Th9h4h3s3c Jh9c7d3s3d 
AdQc9h3c2s Kc9s7s7h3s KhJh7c4d2h QhTh8h3s3d 
Qd9c6h4s3c Qs5s4c2s2c Qd9h6s4d2c Ks6d5c4d2h 
Ad6s6h4c3s QcJs9s3h2s TdTc7s5c2c Qc9c6c4h3c 
KdTc9s3c2c Qs9c5s3s3h Td8d6s5d2d QsQhQcJcTd 
8c7s5h5d2h 9s6s6d5s2c Js6c4d3d2s AcQh9d3h2s 
Qc9h7h7d3h KhJc9s3h2h QdTd5s3c2d JdTc7h2s2c 
9d5s4s2h2d 8d7d6s3s2s Td7s6h3d2h Th6s6h4h3d 
Ts8d7h5h2h Kd8d6s3s2d JsTs3s3h2d 9h6s4h2s2c 
Jd8s5h3s2h KdJd5c2h2d JhTd4d2d2c KcQd6s4s2h 
KsTd7d7c2h AcJd7s4d2h 7d6c4c3d2c AdQs6s4c2s 
7c5c4d3h3c Jd7c4s2d2c Qc8s7s6s3h Ad8c7c3h2h 
JcTc7h3d2s Td7s5s3s2d Ts6s5h4d2c KcJc4s3c2d 
KdJh9s6c2c Js6h5h5d4h Kc9d5h4s4d Ad8d3d3c2c 
Qh7d6c3d2h Ah7h5c4h2h Ts6c5h4h3h KdTc6c3s3h 
Kd9s9h8h3h AhQc8c3d2s Kd6s6h4c3h 6s4s4h2s2d 
8c5s5c3s2s Ts7h6d2h2d Qc8d6h4c3c AdJc6c3h2h 
9h8d6h4h2s KhJd9s4s4c AhJc6s6d3s AdJh4s4c3s 
AdTc5s3s3h Js6h4d2s2h Ac7d6h5d2s AcTs4h4d3d 
Ks9h8h7h2c 8c7c5s5h2d KcTs7d4s2h 9c5h4h3d2d 
5c4s3h2s2c Js8c5h4c3c Kc9h6d3c2s JdTh4c3h2h 
Qs8h7s4d4c QdTd6h4d2d AsJd9c6h2c Ts9h4s4c3s 
Js8s6d4c3s Jc3s3c2s2d 9s9d7d4h2c Kd5h5c4c3s 
Ac9s5h4s4d QdJc5h3s2h Td5h4c3h2d Kh8s6d5s3s 
Kh8h7d3d2d AhTs7c5c2c AdTc4s4h3s Ks9s9c4d3s 
Ts6h6d4c3h Jc9s6d4c3c Th8s7c5c2c Kc9s5c3d2h 
9s6d6c4c3h Td7c5d3d2c Tc9d6s2h2d JcTs7d2s2h 
As9c7d3c2d Th8h7h4s2c Ts6h4c3s2h Ad8s7h4c3s 
Kh6c5d4c2s KdQd4s2d2c Qd7s5c4h3h AhTh4h3s2d 
As9h7s6s2s 9s8s5d4s3c Td9c8d3d2h Jd8s8d7d2c 
KhQs9d7s2s KcQs3s3h2d Kh8d5s2h2c Js8s5h5c2d 
KsTh9d3d2d KhQd9s7d2d 7s5s4s4d3c KsJc9c3d3c 
9h6s5h4h2c KhQc8d5s2s AdJc8s3s3h KdTs5d3d2c 
9s8h3s2h2d AdTd5d4s2d Jc8s4s4h2h Kd9s8s3c2c 
Jd8c5h4c3c Jc8h4s4h2s KdJc6s5s2s Ac6s4c2d2c 
Js9d7h5c2c 8d7s7h6h2h Qh9s8s7d2s Th6d4s4d2s 
Ks9h5s3s3c ThTd5s5c2c Qh9s9c4h3h KdTc7s7c2h 
Qs8c7s7d2h KcQc4d2s2c Ks9c6h6d3h Tc9d6s4h2s 
Js7d7c6d3d Kh8s7h7c2h KdJh9h3s3h Ac8h7d4h3s 
KdQdJd8d2d Qh6d5d5c3s Kc9d8h6s2d Jd8c6d4s2h 
KhQc9d7d2s 7s7c6s4h2s Ks8s5h4s3c 9s9d4d3s2d 
Qh7d6s3d2h Th9c6h4d2h AhJh9h3s2h 9c6s6d4h3d 
Jh6c5h3c2c 9c7h4d2h2c Kh9s9h4c3h AcKd9d3d2h 
Qc7d5c3s3h Jh9h8c4h3s KsJh6c5c2c 7d5c3h3d2h 
Th6s6h5d3h Js7s6d4s4c AcTd8c3c2c AcJd7c6c2c 
AcTc6d3h2c Qc7s6h3h2c Ts6h4h3c2s Ts7h7d3d2s 
AsQc6c5c2c Tc8d7h2s2c Th9s5s5d2c AsTd6s3c2s 
QsTs7s4c2h Qh7c6d3d2h Th9d5h4h3h JhTh7c3d2s 
8s6s5s3s3d Kh8c7h4d3h 8s7d6d4d3d 6h4h4d3c2d 
JcTs7c3c2d KcQc9c7c2d Ts6s6h5s3d KcQd9d3s2h 
Ac6h4c2d2c Qs8s8c3c2c Tc6c5h4s2d Kh9d8s4d2s 
Tc9h6d4c2c AcJh6h3s2s AsQd7h6d2d Jh9s3h3c2c 
AdQh7c6h2h Qh8s5h4h2c Jc9h8h6h2h Ah9s7c3d3c 
9h6d4c2h2c AhTc8c3s2d AhQd8c3d2s Jc9h3c2h2c 
QcJh7d4s3d Kd9s8h7s3s Tc6c5h2h2c Tc9s8d4d2d 
7d6c4d3s3h 9h7h6h5d2h Kc8d7h4s2c QdJs7s5s2c 
Js6h4c3h3c Kh9d8d5c2s Ts8d3h2s2d Js9s5h4c2s 
QhJd8c3h2s KcJd8d4h3d Ks7c6c4c3h KdQh8h8c3s 
Ts8d5h4h2c Th9s8h3d2h AhJs4d3d3c JhTd6s3c2h 
8h5d5c4c2s Th8c7c3d2d Ad7c5s3s2c AhTd6s3h2h 
AdTc5h5c2s Kc9d5d3s2s Js9s5d4h2s 9c8d6h4c3c 
Jc8s8c6d2c KcQc9d4h4c KhTd5s4c2s KsTd6h4d2d 
Kh6h4c3s2d Ah9c7d3c2d KhTc6s3s3d Tc8c7c4s2h 
AcJs7s5s2s Jh8h6d4s3h KsJd7h7c2s QsJc7s5h2s 
As9h8d3d3c KhKdKc6d2h Kd6s4h2d2c Js9d6c3h3d 
TsTh8s4s3s AdTs7h4c2s Jd7c6h4s3c Qd8c6c5c2s 
QsTc7d6h2h KhTs5d4s2s QhJd7c4c3c Td7h6d4d3d 
Tc8d7s2h2c Kc8d6s2s2d Jd8h8d3h2d Kd9d8d7d3s 
Tc9s7h5s2s Js7s6c4s4d Jh7d5h3d2d QsJd4d4c2d 
9d8c7h7d2d As3h3c2h2c QdJs4s4c2s KhJs8h3c2d 
AdTc4s4h3h Qs9s9c5s2s Qc9d8c4s2h QsJd7s4c2h 
KcQs9s4h2s KhJc8s4s3d Td9s8d3d2c KsKdKc8c4s 
8h7h6d3h3c 9d8s6c4d3d Td5s4h3h2d KsQh8s4d2s 
ThTc8d3h2h Jd8c5h3c2h 9h7h7d5s2h Kc6d5s3c2c 
AsQs6s2h2d Ac9s9d5h2d Ts7d7c3d2s Ah7c6c5s2d 
Ks6d5h5d3d Qh8c7d6s3c QhJd7s4s3s 6c4s3c2s2h 
Ks9d6s3c2h Tc7c6d3d2s AdQd4d3s2d 7h5h3d2d2c 
8h7h7d4s2c KsTc6d4h2h Ts8s5s4d2h Td7h6d3h2s 
Ts9c6c3d2h AcKs3h3d2h Td9s5s5h2c KdQd9c4s4d 
Ks8s7s7h3d Ah9d5s5d3c Kh8d7c5c3s AdJs9h6s2s 
KdQs8d4h2d 8h8c4s3s2c KcJd8h4h3s Th9c6h3s2d 
8h8d5c3s2d AcQh8s3h2d QdJc7d5s2d Tc9c4h3d3c 
Ad8s8c6h2c 7c6s5h3c2d 7s7h6s4c2s Js8s6c5s3s 
9d8h5s4c2c Jd7c4d2s2c Ad9s7s3h3c Kd9c5s5c4h 
Ts7d6s3d2c QdJh6d3s2c Js8s8h7s2c Jh8d5h4c2h 
KdJs8d7d2d Th8h7c3c2c KdJs9s3s3c 9d7s6s6c2h 
Ad8c4s3s3c KsTh7c5c2d Kd6c5c4s2h Ts9c4h4c3c 
KhTd9c3c2c Jd8s8h7c3c 6d5d4h3c2d Kc9d6s6h4d 
Ah8d8c3s3c Tc8s7s3d2d Th8s5d4d2c KdTs7s7h2c 
9d8c6h2s2d Qc7h6d4s3d 9h8s7d4h3c Ts7h7d3s2d 
Qc6h6c3s3c 7d6s5h3c2d 6h4s4c3h2c 9c5c4s3d2d 
AhQd9d4d2c Js7h7c6c3c Td6h6d5d3c KdJc6h6c2s 
Th6s5s5c3d 7h6d5c2s2h Ah9d8h8d8c QdTs7h5s2c 
Th6c5d3d2c Td7d6d5s2h Qh9c7s3h3d Qh9h9c2s2h 
AsJd4h4c3h Qc5h3h2d2c Kc8d5c4h3c Ah9c8c4s4c 
9s6d4s2d2c Ts8d6h6d2d Js9s7s6s4s KcQs7d6d2h 
9h8s7c4d3h Ts9d9c3h2h Ks7s4c3c2c QcTd7c6c2c 
Jd7d6s4d2s Kh7c4h4d3s AhJd4c3s3c Jd8d7s7h2c 
Qc8s8c3d2s Ks8s5s4h2c Qc7s6s3c2h 8c7h7d4c3c 
Td9h7c2s2d KsJsJhJc8c Jh9s9d4c2h KsTd5s5h2s 
Tc9h9d3c2c AsTh4h4c3h QcJdJc7c2c Qd8s7h6s3s 
AhQh4s3h2h 8h7h7d4c2s Js6c4h3h2s Ah8d8c6d3d 
Ad8h5h5c3s 8c7d6h2s2h Jc9s9h6d2d Th7h7c5h3h 
Qh7d6d6c3s KhQs7c6c2d JdTc5s3s2s Qs8s6h5s2s 
Ah9c5s5c3d Kd7d6d6c3d AhJd6s4s3c 6h4s4d3s2d 
AhJc6d3c2d QdJh7s5s2c Ks9h8c7d2d KdQc6s3s3h 
Ad7d6h3s2d KhJs9h3h2d Ks9h9c8h3h Qh8s8h3s2s 
8c7h6d6c2c 7s5c3s3h2h Kc9d8d3h2h 8d7s6c2h2c 
QdQc8s3c2c Qh9s8h4c2d Kh9d8d8c3s Qc9d6s3h3d 
Tc8d7c3c2d Kc8d7s5s3h 9c6s4d2s2c Kh8s6d4d4c 
KdThTc3c2c Th6h5s4c2d KhTs6h4h2h Kc9s9h7d2h 
Jh7d5s5c3c Th8s3s3h2c Qh8s7s2s2h Jc9h5h3h3d 
Jd9c8s4h2d Qc8d8c3h2d Qs8c6d4h3d KcQh5s5d2s 
QhJh8h6c2h Qh8h7h5d2c 7d6h5d2s2d 8c6s6c4h3c 
8h6s6d4d3d Qd6d5d4s4d Kh7d4h4d2h AdJh4s3s3c 
Jc8d8c3d2c KsKdKcTd7h Js8h5c4h3h Td8s8c5d2d 
KhQs8h4h4d Qs9s9h2s2d AsKh8c3d3c 8h5h4s3s2s 
Jd8d7s4d3h JdJc4h3d2s Td9c7s7d2d 9s8s5s5c2h 
9s9d8h4h3c 9d8s7h7d2d Jc8c7s4h2d KsJs7s5h2s 
KdJs5s3c2h Qc5h4h3s2s Qd8d6d5d2c QsQc6h3d2h 
6c4s4d3d2s KhTs7c5c2d KhTsTc3s2s AhQd8d3c2s 
Jh6s4h4c2s KsTc5s3s2h Kd9s9h8c2h 9s9h5h4c2h 
Jh8s8c7c3d KdTs5d2h2d Qd5s3d2s2h AcJh9d3s2h 
Qd9c8c7c3s Kc7h6c3s3c 6h6d5c3d2s Js8d4d3d2s 
Ks8h5s4c2s Kc8s7d7c2c Ks9h3s3d2d KhQhJs7h2h 
Ks7h5s4s2c JhTs7h4h2h Tc6c5d5c3h AhTd9d6d2d 
Kc6s6h4d3s Jc8h8d7s3s Jh6d5h2h2d KdQh7c5c2s 
Kd7h7c4d2s Th8h7c3s3d AcJs9d6s2s Ts7s5s4d3s 
9c8s3c2s2d Qh7d5h3d2d Th6d4c3d2h AdTs4c3s3h 
Th8s5d4c2s KsTc7d4c2h Kc8h5c4s3c Ks8d8c4d3c 
KsQd6c4h2h 9c8s6h4c3c 8c6d4c3c2d Ts6c4h3c2s 
Kh6h5d3h2s 6d5c4h2s2d 7c5h4s4d3d Ts9d8c3s2s 
Jd8d5h4d2c KhQs8h4h4c 7s7h6s4d2s 9d8s6s2h2c 
Jh9h6h3d2d 6h5d4d3d3c Qd8h6s4d3d Js7h5s3h2h 
Jd8d7h4d3c Jh6s4c3c2h JdJc7d2h2d KsTh6d4c2d 
As9c7c3h3d 9s9h8d3c2s AdJs9c6s2s Tc8c6s3h3d 
Ac9s7s3s3d KdQc4s3c2c 9h8h6s2d2c 9d9c5c4s2c 
Jc8c7h4c3d As6c5d4c3c KdQs7s7h3s KdQc8s8c3h 
Qs7c6h6c3d Qh9s6c4d2h Tc9h4s4h3h KdJc9h4s4h 
Jc9d7c6c2s Tc9c5d4c3c AdJc6s4c2h Kh8d5s4h2h 
9h8s5d5c2c Kh8d5c4h2h QdJd9d4s2d KhQh9h4c3h 
8c5h4c3c2h KhQc6d4d2s Tc8h5s5d3d 9h5c4c3d2d 
Jh7h6d4h4c 9h8h6h6d3h Tc5d4h3d2c 7d5c4h4d3d 
Kh8c6h5h2h Ks8c7d4h2s Qs9d7h3s3c 7s5h4d4c3h 
Td9s6c2s2h Ks9d6h6c3d Ac9h5s5h4h Qs8d6s4s3c 
7c5d3s3c2s 6d5s4h2h2c Ts8d7c2s2h Kh8c7s4d2h 
Jh8s8h6d2h QcJs9d4d2d Jc9h9d6s2s Ks9d9c8d3d 
KcJsJdJc8s Kh7h4c3c2c Qs8s7h7c3d Kh8h6s6h2c 
9c7d7c5h2c 9h7s6h4h3h Kd9c6s6h3h As7d6d5h2c 
QsTd6c3h2d AdJs8h3h3c QcJd7s5s2h 9h8s5h4c3h 
QdJs7h4h3h Qd8h8c7d2s 9h8h5s5h2c 7h5d3d3c2h 
KsJh8d4h4c As6h3s2d2c Jh8s6d3d2h 8c6s4h4c3d 
5d4s4h3s2d Ah9c7h6h2h KsQd7h5h2c Qh7d6d4s4c 
Kd9s5c4s4h QcTc6c3s2d AhQc7c3d3c As6h6d4c3d 
Ts9s5c4s3s Jc8h7h3s2c 9s7c6s4s3s 9c6d5h4s2h 
KcJh6s5s2s Ts9c6d3s2h Th6d6c5d3d JsTh4c3h2d 
6s4c3h2s2h KcQh5s3d2d 7s5d4h4c3c Th7h7d5h3h 
Jd7s6d4d3c Js8h5c3h2c Qd8d5d4h3s Th8h5s5h3d 
7c5d4s4h3h Qs5h4h3d2d KsQc7h7c3c Ts7d5d3c2c 
9c6h4d2h2c Td8s5s4c3s 7s6s5c2s2h KsQs9s9d4s 
Jc7c6c4h3d JdTd5d3c2d 9s8c5h5d2d Ks9h7h7d3h 
Jh9s6d4c3c Qd8h7s5c3s Ah9h4s3h3d AhTh4c3h2s 
QsTs6h4s2s Tc8h5s4s2d Kc5h4c3d3c AsJh9h6d2h 
Jh6d6c5h3h 9c8d5h4s2c AhJc9c6d2c Th8c5s4d2c 
Jc6d4h3d2c Kc9h8d7d3d Jh6c4d2h2c Ad9s5s5c3h 
AsTd6h3d3c Ks9h9d8h3h Jc9h8s4d2c Qh6d5c4s4d 
Kd7c4s4d3h Ts5h4c3c2s KsJc8s3h2d Kd8c7s7d2d 
AdTs4h4c3s Kc8d6s5h2s Jc7s4d2s2c Ah9d4s3c2h 
Qd9h6c4s3h AcTs6h3c2c 8c6h6c4d3c KcJc7h7c3c 
AhTdTc3c2c Kc7s5h2d2c Qs8c5h5c4c Ac7h6h5d2s 
Ks5c4s2h2d KdJs9s2s2h Js6d5c4c3c Kd6c5s4c2h 
Ts8h7h7d3h Kd9d5c3s3d JsTh7d2h2c Td8s5h5c3c 
QhJh3c2s2d KcQh6d3s3d Kc8c5s4c3h 8s7s5s3s3d 
Tc7s7h3s2c 9s8d5s4c2s KsJc6d4h2h 8s7s7d6s3s 
KsQd8c5h2h Qh9s6s5d2s KsQd8d7h3d JdJc8s3c2h 
8s6h5d3d2c Ad8s4c3s3c Kc9h8s5h3h Qd7h6s3h2d 
Qd9c8c7c2h As7h6h5d2c QhQc8c3c2d 8s6h4s4c3d 
9c6h5s3c2d Kd9h8s5h3h Td8d5s5c2h Qd8c5d4d2s 
Td7s7c3s2d 7c6d4c3s3h AhQh7d3h2c QhJs8c3h2d 
Jh9h5h4s2c 9c8c5h4c3d JhTc4c2d2c KcTd6h5h2h 
9d8s8h4c3d KdTs5h4c2h 9d9c4d3c2c Jh9h8d4h3c 
Kc8h5d2s2c KdJc9s6h2h Kd9h5d3c2s KhQc7d5d2s 
Td8s5c4h2s AhTc8d3s2c KhJc7s7d2h Ts7h6h2s2h 
Jd9d4h3h2d Kh6h5s5d2h 8c7c5c4s2c JsTd7h3c2s 
Tc9c4d3s3c KcQh9h7h2s Qs9h8h7h2c KdTc6s5s2s 
