Tc9c8s8h5d 
As8c7h5c2h QsTd7s5s2d KdJcTc4s4c Kd8c5c4d3d 
Td9d5c4c2h Qs8h7c6h5h Js7h5s5d3h Td6d6c5s5d 
QsJs9s8d4h AhJc7c5d3c Jh9c7h6d2c 7d7c6c5h3c 
KhJcTs8d3d Tc9c7h5s4c QdTs9s9c4s Tc8h5d4c3d 
Th9h6d4c3s QhTd9s4h4c JhTc6h3s2c AhQcTs5d2d 
8s7c5c4s2c Ts9h5h4d2s Kh9h5c4s2c Jh9d6h5h4c 
9s8d7d5h4d AdJh9s7h3h AhJh8d7h3h Jd8c7c4d3s 
Js9s6h5h2h Ad8s7s6s5s Td9d6s5h4d Td9c4h4c3d 
Ah9s4h3s2d AsJs4s3d2d Qd9d7h7d3h QhQc9c4d3c 
8c6d6c4s2d AcQh9c4d3c AsQdJc6c2h KdJcTh8s3s 
8h8c6h5s2d AhKc7h6s2h 9c7c6d5c2d Jd9c8c5h4c 
Kh9h6h5s4c AdKs7s3h3c Ah7c5h3h2c 8s6h5c2h2c 
KdJcTs8h3h Qc9d6s4s3d AdQd8d8c3h Jh9s4s4h3c 
8d8c4d4c2s Kc9s8h7s2h Qh9s6h6d2d Qc9c7s6h3d 
Kc6c5s5c2s Qh8h7c6s2s KcJdTd4h4d KdTc4h4d2h 
QhTh8h6s3d ThTc9h8s4h Qh8c6s4c2h Th8d5s4s3d 
KsJsJh4d2s AhQh6c2h2c AsJc8c7c3h JsTs8h5s3d 
Ah8s6c5d4d Qh9c6d4d3c Jh9h8c4d3c AcJd5h3c2s 
JhTd9s2d2c Td9d7s7c5d JdTd8c7h3d Th9h7h5s4c 
9h8d7d3s3h KdQs7h7c5c 7h5d5c4c3h AdJh9h8h4h 
Td6s5s4s4d KhQhJh6h3s KhJdTs6c2d KcJsJd5c2c 
Kd9c6d4d3c AhJc9d8d3d KsQs9s6h6d 7s6s6c4s4h 
Kh9h6s6h5c Kc8c7h4h2d KsJd5h5c3s JsJd6h4h4c 
JsJh9c7h2d KhTh9c6s2h 9s8h7h3s3c Td9s9c2h2d 
Js9s7d6h2d Tc9h9d3s3h JhJd6h5c3h QcTc5h3h2h 
KhQhQd8h2s 8h7s6c3h3c KhQdJc8c4c QhTdTc5h2s 
Ts9s6h4c3d AhKs8s8c2d QcTh5h3c2h AcJs9d5d3h 
KsTs6h6d4s 8s7s6h2h2d Kh8h7s4s2d AdKcJs6c2c 
AdKc9d8d2d 9d8h6d5s4d Ac7s7d4d3s QsJs6s4d2d 
AhTh7h5h3s KdJc8c6s2s 9h8h6s5h4d KhQc7d5h3h 
Qd8s7d5h2s Kc9h9c7c2h QsQd8s7h2c KsKhKdJhTc 
9h8c5h5c2d AdKs8c6s3s KdTs4d3s3d JdJc8s7h3d 
9s8d8c6d4h 9c8s8d6c4h Td9d6h4h2c JdTd7d4c3s 
Ts6s6d5s5h JsJc6c4c2s AhKhQh6d2h QhJd9c6d4d 
6s6h5h3d2s AhJdTd3d2c TsTc6s4s2c Qd8c7s5c2d 
KhTh9c6d2h KcJh9h5h3d AhKh7d4s2h Ah8h7c6s3h 
Kh8s5s4h3h QsJs5d4s3c AcKh9s7h2h 8h6s6h4d2s 
AsQs9s7h2c JhJdTs7d2d KhTs6s6c5s Js8s7d6h6c 
Th8c7c4s3s Td9s9h6c3s Ah9c6d4s3h QcJc9c8s3d 
Js8h8c6c3h 8h6s6d5h4c Ts9h9d5c4d Kh9c8d6h3s 
QdJh5c3h2c Ks6c5c3c2s Jc9c8d4h3h AcTd9c5c3c 
Kd8s7d4c2c KdQc5s5c3h Kc9c6d4d2s Jc9c7s4s4c 
5s4d4c3s3c Qc8d8c7h3d Tc9d7c5d2d AcKc8h7c2c 
JsTs9s6c4s AhJh6c4d2s QcJs8s5h3d Kc9h8s7h2s 
Th8s8d5d4d TdTc7d5d2c AcQc9s7c2d Kd9c6d3c2h 
9s9h7h5h3d Tc9c8c7d4s KhJd6s6d4c Jc7h6s6c3h 
KsQd8d3h2s KdQd6s6d5d 8d7h6h5c3s Js9h7s7h2c 
KdJc9h8d2d Kc9s7c6d3c Js9h7d4h4d AsJh8h7h3c 
JhTsTd5h2h QsJc7c6c4h JhTs9h4h4d AhQh9s7h2d 
KcQc6h6c5c AcQsJd7h2s Qd8c7c5d2c Jc8d6s5d4h 
Td7h7d6s4c AdJd4d3h2h Kc8s8c4s3h Ac8d4d4c3c 
9s9h8d5h4h 9d9c8s6c4h 9h8c6h5d4h Jc8d7h4h4d 
8d7h6c5s3c AcJh7c5s2c Jh9h8s6h6d AcKh7c3d2s 
8s8c4d3s3d KsTs7d4s3h Jc9c8h4d3h KhQcJh8h4h 
Kd5s5d4s3d AcKh7c2s2d AdQh9h5s3h Kc8s8c6s3c 
Ts9s8d4d3s TsTc9s8h3s AhQs9h7d2h QdJh7d6s3c 
KdQs5s5h3c Qh7h5h4c3c KhTh4s4d2s QsQh6c4d2s 
ThTc4h2h2c QdJc8c3d2h KhQh9c8s2d Th8s5d4d3s 
QdJh9s5h5c Td8h7s7h4c Qd8h8c5s4d AhKs4c3s2d 
QhTh4s3s3h Ts8h5d4s2h QcJsTd6d2h Qs8h6h4s3h 
Ac9d6s4h3c Jh9c8c6s6d KcJd9d7d4h AcTc9c3h2d 
Ks8h5h3s3d JdTd8d7s2h AhKh7c4d2h 8d7h5h4d2h 
8s8d7s4s4c Qh9c8s8c3s Qd9d7s4s3h KdTsTc8c4c 
KcTd9d5d4s 9h8s7h4d3d KcQs7h3s2c AsTs6c4s3d 
Qs8d6s6c2c Kh7h6s4c3d 9h9d8c6s4c Th8h5d4c2c 
KcTh4c3h3c JdTh8c5h2s Jh9s6s6c5d 9h8s5s4c3h 
KdTd9d9c3d JhTs6h3s2c Ts8h7h5d2d Qh6h6d4d3s 
KdTs3h3d2s Td9c8h5c4s JsTd9s4s4h KcTd6s6d5d 
KdJd7h4c3s TsTc5s4s2c KcQcJc7s4c Ah9h8c4h4d 
KsJhTd5d2d Jd9h8h5c4h Ad8d5h5c4d QhJc6d2h2c 
AhTs6h3s2h KsTd7h5d3c JsTs5s4d3c Jc9c8d2s2d 
Jd8d6d5h4c Th7h6s3s3d Kc9c5h5c4h Th9s9c5d4s 
Js8d5s5d3d JhTc9h4s4h Qd9s7d5c3h Tc9d7s6d3d 
Td8s6s6d2s Td7s7h4h3s Jd8h8d4s2h Qh6d5c3h3d 
AdTsTh8h2h AcTsTd8h2h QdJc7c6s4c AsJd8h7c3d 
AhTd7s7d3c Ts9c7h5s5d Td8s7s5h4s AdQd6s5d2c 
8s8h4c3h3c Ac6d3h3c2d Qc9h6c4h2d Jd9d8h5d4s 
Jd8s6h5h2s Ah8d6d5c2c QdQc7h3s3c AhJc5d3h2s 
Th9s9c3s3d 6h5s5h4s2c JcTh6c3h2s QcJc8s5h5c 
QhJhTh5h2c Kd7c5c4c2d Ts8s8h5s5c Kc7c6s5c2s 
Jh7s7h6s3s 9c7c6d6c5h Js9c7h7c5c Ah8d6s5c4c 
KhTs8c5h2d AhQh4c2s2d Kd7d6s5d3c AsTs6s5c4s 
KcQhTh8h2d Qh9d5c4d2h JsTd6h5s3s KcJd9s6d4h 
QcJd3s3c2s Ts9d8s3c2c Qc9s6h6c2h AhKs8s8d2c 
KcQs7h5c3c Qs7h6c5s2h Ks6s5s5d2d Tc9c6s6c5d 
QsTc7c6d2d Tc6h6c3h3c Th8h8d5d2h KdJc6c3d2c 
9h7h7d4s3d Kc8h6c5d3s TsTc7c5c2s Qh9d8d4h3s 
QsTd3s3d2c AcJd9h7s3s AhQc9h4d3h ThTc7c5s2s 
Th7h7d5s5h KhTd6d2h2d AdKc6s4s4h Qs8c7d5c2s 
Tc9s8d7h4s Qd8h7h6c5h QhTc6h3d2d KdJdTs8d3d 
KdJcTh5h2h Qh9d6s5s2d Kc8c7s6c5c Qc9c7h5h2s 
KsTc6d6c5c QsTc7s6h3s Jc7d6h6c3d QhTd7d4d2h 
AsQs8c4h3s QsJs9s8d3c Qd9c5c4d2s Jc9c8s2s2d 
Ah8s7s6s5s Jc8d6c5c4s AdJc9h5s5h AdJs9c7h3h 
KsJhJc4h2d JsJc9d3h3d As8d7h5d2h Qc9h7c6d2d 
JhTh7h4d3s TsTh9d6c3c Ad7s7c6s5h KhTc7c5d2d 
KdJc9c6h4c Ks7s6d5s2d Kh9d7h5h4s AcKc5c3h3c 
KcQcJc9c6c QsQd9d6c2d Jd8h5c4h3c 6h4d4c3h3c 
Ac8d7c6c3s Tc8d8c5c4s AhTd9c6s3c QhJs7c4s2h 
JsJd6s4s2d KhTdTc8d4d Jd8h8d4s3h JhTsTd7h2c 
KcQcJs7c3h Qs7s5s4c3c AcQc9c5d5c AcKh8d6h3h 
8d5s5d4d4c Ac6c5c4h3d KcJh9c6c3s 8s7h6h5c3d 
Kc9s7d6h6d KdJs9d6d3h Qd9c8s6s6h Ad7d6s6d3h 
JsJc9h5c2d Jh9d7h3s3d QdTs3s3d2c Kc8d8c4d3h 
QcJc8s8h4d AdJd6h4c2s Th8s7h4h3s QdTd7h5s5c 
AdKs6h5s2s Ad8c4s3s2d QdJd8d7h4c Qc8d7s5d2c 
Kd9c8d4s3s 9d8c7c3h3d JsJh7h6s2h KhQs9c4s4c 
Qs6s6c4c3h QcJs7s6d4s AhTd7h6h3h Qs9s7c5h4d 
8s8c4h3h3c Ad9h5d3s3c Qc9s8s8d3d Jh9c8h3d3c 
KcTd9h8s4d Th7s7c4c3s 7h7c6d2h2c JhTs7s7c3d 
ThTc7d6c3s Tc8c7s4s2h Kh9h5h5d4d TsTd8c7c4c 
Kc8s6d3s3c AcTd6s6d5h Kh9h6h5c4d AcTsTd5c2c 
Jh8s8d7h3s Js8d7s7d2d AdKh9d4c3d AcJs8d6s4s 
Ts9c7s7c2s AsQhJc7d2h AdKh9s6c2h 8d7s6c5h3c 
KsQc8h6d3s QhQc9d7s2c QdTd7s6d3h Js6s6h5s5d 
8d7s7d4h4c Tc9d8h7s4d AdJc7c5h3c AdQcTs4h2s 
KcQd8d3h2c KdJh9h7h4s 9s8c5h5c3h JdTc6h4d3s 
AsKsQh6s2s QsTs8d3d2d JsTc6s3c2h Jc8s8d5c4h 
JdTd8h5d3c Qs8d6s4d3d QhQd5s3c2h Qd9d7s6s2s 
Tc9s6h5s4d QsQc5s2s2h 7h6c5c4c2h Kh7c6c5s4d 
7s7c5d4s2d Ks9s7d6c4s 9d7s7d4c3s As8d7h7c4c 
AsTc6d6c5h QhJh9c5s5d QhTs7d5d2s AsKc8d6c3c 
KsQsJd3c2s Ks9s7h7c5s QdTsTh4s3c 8s7d7c5d2s 
AsQs4c2h2d Jc9s6c5c4h JsTs7s4h3d QcJd9d6s4d 
AhQs8d4s4c AdTsTh8s2s QsJd9h6d4d Js9c8s3d3c 
Ad6d5d4h3c TsTd9s8h3s QsJc7d4c2s Qd8h8d4h4d 
8d7s7h6c4d QsJs4c3d2c AsKd7s3c2h 9s7s6s5h2h 
Jh9c7d6h4s AsKc8s4s3d JsTs8h8c2d Qs8c7s5d2c 
Jh7c6h4s3c Qh8h7s5s2s Jh8d7c4d4c JsTc6d6c4c 
Ac8h7d5h2d Kd9c8h7c2h Jd8s8h5d4c 6c4h4d3h3c 
9s7s7h6h2d JsJc9s6h3s Td9d6h5c4d Qc9s7d5c4h 
KdQs7h7c5h Ks5s4c3h2h AdQdJd3d2s AcJd9h7h3h 
Js9s8h5s4c Ts8s8c5s4d Td9d6s6d5c Ks9d8h8c6c 
QcJhJc8d2c QdJs6c5c3h Th8h7h6d4h Kc9c5s5c4s 
Kc6c4s3s3h Qd8h6c4h4c JsJh6c5h3h Ad9c4s2d2c 
Ks8s8h4h3d QcJh9c7c4s JhTd6h3s2d Tc9d7h5d2h 
Jh8c7d4d4c QdTs9c8c2c Jd9s8c6h4d Ah9s7h4h4d 
Jd8h6d5h2h Kc8d6c3s3d KsQs9c8d2h AsQc9s7d2s 
Jc9d8d4c3d Qh8d7s6d5d Th9s9d3d3c QdJc7d6h3s 
Kc9d6c3d2h AhQh6h5c2d QdTd8s8h4d Qd9s9d4c2s 
JcTd6c4h3s 9c8c6s5c4h KhQd9c6h2s Tc8c6s4c3s 
8h6d5c2h2c QdTs6h5h5c Qs8d6c5d2c Jd9h9c4c2d 
JsTh6s3d2h QhTc7s7c5c 9s7c6s5c2c Ks9s6s6d5c 
QdJh9h6c3s KsJs9s5d4s 9s9c7h5c3c Ts9h9d2s2c 
Tc8d8c5s4c KsJs6d3d2c Ts9s6s6d5h Jh4s4h3s3c 
KsKdKc9s6d 8h6h6d5h2d 9h8d7d4s3h Jh9h8c6s6h 
Td9d7d5h4c QhTh5c3c2c 9d8h7h5c4h Ad8d7s6h3d 
AhKc9s7s3s JcTc7c6h3d Td8s7s4c3c KhQsJc8s2d 
KcQcJh7c3d Ts8h7h5c2c QhJs9s6d3c AdKs6s6h3s 
Tc8h6c4c3h KdTh5d5c3s Ks9s7h7d5s KcTh6s6h5h 
QsJd9s8s4h JdTs6s5s5c QsQc9c6d2c Jc9c8c6s5c 
Tc9h7c5c2h QdJc9d7d4s QcTd6s6h4h Th8h7c6h5h 
9h8d7d4h4c 8c6d5h2h2c Qh9s6h4s2d QhTd9h4s3h 
AhTh9h6c3h JcTh6c3d2h KcJd8c6s3h Ah6s6c4d2h 
JsJh4s3h2s AdJs9s5s4s Qc6s5d4d2c Td9d7d5c4s 
Qh9h8h7c3c Td9d7s5h4d KhQd7c5h3h AhKc9d6s6d 
Td8c7s7c4h Jh7c5d3h3d JcTh5h5d3s Qd7d6h5c2c 
Jc9s7c5c4h JdJc4h4d3s Ad9d8c6d2h KsTs8s5s4c 
Td8h8d5h2d Jd9h5d3h3d AcJs9d7d3d 5c4s4h3s3c 
Jd9d8s4s4d Td9s9h5c4s QdTs7s6c2c KhQdTd8d2c 
AcJh7d6s4d KsTd6h6d5d Ks8h5h3s3c Tc9s4h3h3c 
AhKc9d7d3d KcJdTs3d2h 9c8s7d7c5h AsQd7h5d3d 
Qh9h7c5c2s Kc7d7c4d2h Td9h6s6c5s 7h6h6c4h4d 
Jc9s8h5c3d Qs9d7h6s3c Qc9s8h4c3h Kd8c5c3s3d 
AdQd6d5h2c Kh5d5c3d3c JsTh6h6d4h Td9c8d3h2h 
7h5d5c4d3h Ac7s6c4c2s KdJs9s7s4h 9h9d4s3s3d 
Kc6s6c5h4c KdQh7d4c3s Ad5h4s3c2d Qh8h5c4d2d 
AsKdJc6d2d AcTs9h6d3h QsJs9s8c3d Ks9d5d3s2h 
Td9s8h7c4s 8c7h6h5d3s QdTc8h7s2d QhJs7c5s5d 
AhTs9h5h3h Qc9h8s8h3s Ah8s8c7c4d 7s7h6h5h4h 
AhQs9h6c2h 9c6c5d5c3d 9c8h7d7c5c KdTd9h9d3d 
Td8s8c5c4c Kh7h6s5h2s Js9c7h5s5d JhJc9s8d4d 
JhJc6h4h2c KcQcJd3h2c QhJc5c4s4d Qd7d6s5h2h 
7c6d5d4d2c Jd8d7c4s3c Ad9c8s4s4c QdTh9d4c3d 
JsJhTc7h2h Jc9h7d3d3c Jc9d8s8h5d JsJh6c5s3s 
Ah8s7s6c3c QsJd8d5c3h QhTh9h7s4h KcTs9s5s4d 
KhJh7d5c2s Th6s6h4d4c KcJcTc5c2s Ac8h7c6s3c 
QcJd5c2d2c JsTd7d3s2h AcQc6s5c2h Ad7c6h4s2d 
KsJh5s4d2c 9c8d6s4d3c 8c6s6d4d3c 9s9c7d2s2d 
Td9c7s5s2c 9d8d7s6h4d 9h7d5d3h3d ThTd8d4s4d 
QhJd7d6d4s Ah9s4h3d2s Th9d6s5d4c Td9s7s7d2d 
AsKd8s4s3c As9d9c6s2h Qh6c5c3h3c Kd7d6s6d5c 
7d7c5s4c2s Jh8s8d7h2s QsTh8d7c2s QcJd9h6d4d 
Ac5h4d3s2c 9d8s8h6c4s 9h6c5h5c3c AcQc6c5h2d 
KhQs8s6s6d Qs9s7d5d2c 8s7d7c6d4d Tc8h7h7d2c 
Th9s9c3h3d QsTc8s7h2d AsTh9d6d4c QsQh9h4d3h 
As8s6c2s2c QsJd7h6c4h As8c4c3h2s AcTd7s6h3d 
Th8h8d5s4h TsTd9h4c3s Js9c7d6s4h Kd6d5s5d2s 
AdJd8d6c2h Ad8h7d6d3c 9s8h8c6c4d Th9d4d4c3h 
9s7c6c5c2s 9h8s7h7d5h KhTh9h6s2d 7d6s5s2d2c 
KdJd6c3c2s KhJs9h6h3c Js9s8s6d5s Qs8h6d4h2s 
9d8c6d5h4d Ah9h5d3s3c Td8d8c5d4s Qs9d8s7d3s 
KhJc6s6c4d Qh8s6c5s2c KdQs7h3d2s QcTc7s5h5d 
Ac9c7s4d4c AhTd9d6d4c Qc8d6s4d2c 7h5s5d4s3h 
QsTd4h2s2d AsQc5d2d2c TsTd7c4d2s Ts7h7d4h3d 
Qc6d5d3d3c KdJdTc8d3d 9s9d7d5d3h 9s9h4h4d3d 
9h9c5s5d4d JhTh5h5c2c Js6s6d5h3h 9d8d6c5d4s 
9d8h7d4s3s QsJc7c6c2s Jd9s5s4h2d AcQd9c6s2c 
Qs8d6c4d2s QdTc5c3d2c Kd7d6c5d3h Jh7s5h5d3s 
KsJd9c6d4h QhJh9h8c4s KhTs4h3s3h QsJs8h5s5d 
Jd8s8h6s3h Jd9c7h4h4c Td8s7d4d3s Td9c8c6s3h 
Ts8s6h5s4s AdKh6c4s4c AsJd9d9c2h Ts8s8c5h4s 
KhJc6s5s4s Jc9d7s5h3c KdTd9s6h2d KsTc3s3h2c 
Jd9d8c5d4h KsJh7s6s4s AdJd6d5c4d AcTs7c3d3c 
AdTd9d3s2h 9s8d7h7d3h Jd9d6c5d2c AsTd4s4c2h 
QhJc9h6h3d QsTs9s7h4s JsTc3s2h2c QdQcJh8s3s 
AcQc7h7c4c QcTd7h7d5d JhTh8c7d3h Td8h8d5c4d 
TsTd9h8s3s AsTd9d6d4c QhTh8s3d2d AdKc7h6s3s 
JdTc9s2h2c Qd9s9h7d5d Jh8h6h5c4d AcQc4d2s2h 
Jd8d8c4s2c Kd7c6s4s4c AcJd9h9d2s AcQsTd4s2s 
8d6s6c4s3d Jc9d8h5s5c AcQdJs7h2d 9c6c5s4s2h 
Ac7c6s4d2h Qh9d8h4s3d JsJhTs8s2s Qs9s7h4h3c 
9d7d6s5c3d AcQh6c5c2s 7h7c6h4d2c Qh6s6d4h3d 
Qc9c7h6s3d Tc7c6s3s3h KhJd9d6d5d KsKd7c4h2h 
Jd6s5s4c3c Jc8h6s5s2h Qs9c6s4c2h KhKcQc8c2c 
QsJs8s7d4c AsQs6h4s3c 8s8h7h4h4d 8d6d5s5d3s 
Ah8h7s5d2h KcQh8c6d3s Ts9s6c4c2h Td8c6c4d2c 
Ks9s9c4s4c KsQs6d6c3h Jh7s7h5c4d Qs8h7d5h2s 
QdJh7c4h2d JsTs5s4h3d QcTh9d4s4c AhKd7d5c2d 
TdTc7s7c3c AcJs5d3c2h QhJhJd3h2c AhKc9c7c3c 
KcTc7s4c3d 9d8h7s6d4d AhQh8d4s3h QsJsJc3s2h 
AdJh7s7c2d 9h8d5h5c3d Qd9h8d4h3c Kc9c6d4d3c 
Ts8c7h7c3h Js9c7d7c5c JhJd6c5h3h Qs9s7h5h2d 
QdQc6s2h2c Qs9s7h5d4c Jc8s8h6h5h Qc8h7h7d3c 
9h8h7d6s4h AhKhQs6h2h QdTd5h4d4c JcTs9s4h2d 
Kh9h9d7h2d 9h8c5d4h3d QcJd9d6h4d QdTs6s4h2h 
As9s8d6h3s Qc7s6h5c2s Jh8s8c7h3c Jd6s5s5h4h 
KdQc9h4h4c Ts9h9c5h3d JsTd7d4c3h JsJh9c7s2d 
Ad9s9c6d4d JhTh5h5d2d Td8s5s4d3s KsJs6h3h2c 
KcQs6s5h2d Qc8h8c4h4c 8s6s5h5d2h Tc9h8c4c3h 
AdJc7s6s4s Kc9s8h5s5h 9s8h6h4s2d AhQd5d3c2c 
QcJc9d8c2s Jc7h7c5d4s AsQc9h3d2s 9d7c6d3d3c 
KcQc7h6c2h KcQs8s6s6d AsKs9h6s2d AsKh6d5h2h 
Jh6h6c5s3s KhQcJd9s4s Jc9s7s7d5s QsTh7c5c2h 
Ah9s4d2h2d Kc8h5h3s3c AsQs7d5s3s KhQs8d6c3h 
9s7s6s5d2d KdTs8s7s5s QdQc9h7s2c JsTh8d5c2h 
AsKh8d3s2c QsJs5c4s3d QsTd6s3c2c Qd9d7h4s3h 
Th9c7d5c3s JcTd8h6c3c Td8s7s5d2s KdQd7s3s3h 
Ad8s6h6c2d KcJd7h7c4c Jd9s7d6c4h 9c8d7d4h3c 
AcTh7c3s3c 9d7d6h6d5s KcQh7d5c3c Kd9d6s4s2c 
JdJc9h7h4h ThTc6h4c2h Ts7h7c6h5d Ac8c6h2h2c 
Js9d7s3h3d KsQs7d3h3d JhJc8h7h4h 7h5s5c4c3h 
Jc8h6c5c4s KsQd9h4h4d QsJs7h5h2s 8c6s6d4s3c 
QhJs7d6s4s QcJc9c8d4s Qs9d9c7s5s KsJhTc6d2h 
QcJc5h4c3s As7h7c6c5d AsJh8s6c2s KsTh9c7h3h 
Ks8s8h5s3h 8c7c6s4s2c Qs6s6c4d3d As7c4s4c2s 
Qd9c8s4d4c KhQs8h6c3d AsJdJc7h2d AhTs7h3h3c 
As7s6s6h3c ThTc8d7d4d QhJc7s4h2c KcTc6h6d4c 
Jh8d6h5h4c Ks8h7s4d2d JsTh6s3c2h Ad6h3h2h2d 
Ts7d6h5c4h Tc8c7h4h2d AhTc6d6c5s QcThTd5c2s 
Th9d9c5c3s KsQh7d3s2h AcJh9d7d3d QhJd9c5s5d 
9h8c6c4d2h Td9c6h5c4s KhJdTd7d3d KcQs5d4s3s 
AdJh9c5c3s Ah9c8c6c5c Ah9h8d6h2s AdJc9h7h3h 
KhQs7h4c3d AcJh9s5s3d KsQcJs3s3h KdQd9c8s2h 
KdTd6s4h4d 8s7s6h4h2s QdTs7h7c4s As9h9d6s2c 
Th8d8c5d4d AcKsQd3h2h ThTd9s5c4c AcQsTh5d2d 
Tc9c7s7c5h Tc9h6d6c5c Td9d7c5s4d QhJc7c6h2c 
Kd7c6h4h2d Qc9s7c4s3d Ts9s6c4d3h Th8c7d5c2d 
QsTc7c6d3c KdJdTd5d2s AsKd7c4h4c JcTd9h4s4h 
Ad9c8h7s4c As9d8d6d5d AsKh5d2h2c KsJc6d6c4h 
JsTh9d2h2c 8d8c7c4c3d KhTc5c3h2c Jc8h6h6c3d 
9s8s7s6c4h Jc7c5s4s3c Kd9s9c7h4d Qd9s8d4c3s 
QcJhTs6s2d Jh7d6c4h3d Jh9s7c3h3c Qs8s5d4c2c 
Qd9s8s4d3c AhKh8c2s2d 8d6s6c4s4h QdJd7s6c2c 
6d5c4c3s2s Ad8h6c4h4c Tc9h9d5d3s AsQd7s5s3s 
QdTsTc4c3h Kd8s5s3h3d TdTc9s8d3d Ad8d7c6h3d 
KcQdJc3s3c AcQs9c3h2d 8c6c5h5d2d 7s7c6s4d2c 
As9d8c7h4d Qs8s6d4d2c QsQh5c4c2d AhTh4h3s2s 
QhJc3s3h2s 8h6c5s2s2h Ts9h4c3s3c KdJh9h5h3c 
Th9h7h7d5s AdJs9h7c3c Qd8d6h6d5c Jc8s7d6s2c 
Qs9d7s5c3h 9c7c6d6c5s Th8c7c5d2d KcTs9h9d2s 
AdJc7d5h2d Qs8c5c4s3c Td8d6s4s3d AsThTc8d2d 
QcJc9d6c3s 7h7d5s4d2s Kc9s7c5c4h QcJc6d4h3s 
Jd9h7c5s5d Kc9h7d6s6d 7d6h6d4d4c 9h8c7s7d5d 
8h7h6c4c2c Qd8s7h5h2d AdJs9h7h3h KsQs7h6s2h 
AcTd9h6h4s AhKc9d9c4c Jc8d6d4s3c Kh8s7d5d3s 
Td9d7d7c5s Kd8h7c5c3h Th9h4s4c3c QdJd9d8h3c 
AcJs6s6h5d Jd8s8h7d2h 7s7d5h3s3c 9c8d7s7c5c 
KdQd9s8c2h AsKc8c6d3c Ac7d5s5h2c Jd8h7s6h2d 
QcTh8s6h2d QcJs5h3s2h KsQd7c3s2d KdTc7c5s2s 
Jh7s5d3h3d AhKd4c3d2s AsJc9d8d3d 8s7s6c4c2s 
Ad6d5d4h4c AcTc6d4c3s JsJd6h5s3s AcTd9d6d4h 
Kd7s6c4c2d Tc9s6h5s3d 9c8h6d5d4d Jc8s8h7c3h 
Js8h5h3s3c AdJsJh4c2h Ah9s8c7d4s KhQsQd6c2c 
9h8d7s7d3s AcJh4s4d2c Ac7s7d6s5h AsKh9c7c3c 
Qs9d5s5d2h AcQd5s5h3d KdJc8h5s4s Kh9d8h4d3c 
Jc9d7h7d5d Ad8d7h6s3d Kd5h4c3d2h Ad8s4s3c2d 
7s7d6s4c2d Kc9d6c3d2s Ts8c5d4s2c KdJd7h5c2s 
AcKh7d6s3s Jh9h6d5d2d Kd7h6s4s4h Th8h7h6s4h 
QsQc6d2h2c JsJc9d7c2h KhQcJc4s2c TsTd7d5h2h 
Th7h7c6d4s 9s9h7d2s2d QhJc5d3c2d Tc9h9d2s2c 
Jd9d7d5s3h Td9d8s8c5h AdJs7s5h3s Ts9d4c3s3c 
Ks8s7d4d2h QcJs8s3c2d KcJs8d5h2c Qh5s5d4d3h 
KcQsTh4h3h Kd9s8h4d3h AcQc7c5c4c Kd7s6h4c3d 
Th8h6c5h4h AsQd9h3c2s JdTc8s7s3h As7h6s4s3d 
Jh6h6c5d3d QcTh9s6h2d 9h9d8c5s4h 9d8s6d5c4d 
Jc9c7d4d4c 9d8h6s5s4s JcTs8d7d3h JhJc4h4d3s 
Td8s7s4h3h KsJd7s7d2d AcJs8c3d2h Jd9h8s6c4d 
Jc8h7d7c6c Tc8s8h5d4d KsTd9d8d5c Ts9d6h6c5d 
QdTc9h2s2d Th9d8h6h4h Th9s9c5d4c Jd8s6s5d2s 
Tc9c8h3h2s KcQd8s8c3s AcQs9c7h2c AsTs6h5s4s 
Kc6d6c5h4c QsTd7d6h2h Th9s6c5s3d Jh8h7s4c3s 
Kc8h6c5s3d 9d9c4s3s3c KsTs9c3d2h Ts8s7c4c2d 
TsTc9h8c3c Qs8d5d4s3d Ac9s8d7d4h QsJc9d9c3h 
JdTh8d4d4c Js8h7s6s3h 9d8h6h4d2s 7c6s6c4d4c 
TsTc6c4c2s AsQdJc7h2d JsJdTd7h2d Th9h7d5s4h 
KhTh9d6c2h KsJs9d6c3s Qs9d6d4s3s Th8d7d5c2c 
AsTs5s5h3c QsTd7d6c2c Th9s8d5s4c TsTh4s2s2h 
QsTc4c3d2s AdKh9h4c3s Jh9s4s4h3d KcJc8d8c3d 
KdTd4s4h2h AdQsJc6c2h Ac9s4h2s2c Ts8s6h4s3h 
5d4s4c3d3c KsQc8c6h6c Jd8h6d5d4s Qd9c8d4s3c 
QsJh9h5h4h Qh9h9c3h3c QsJd7c5h5d Jc8h7s7c6c 
QdJc8c5s3h QdTc7s7c5c AdTd4d3h2h Qh9h8h6s6d 
AhTc7d6s3c QhTc9h4s3h JcTd8h7c2c QdJs9h6c4h 
AcTc9c3s2h QhJd4d2h2d JcTd6d5s5d AhTh6s4h3c 
JcTc9c7s2d 8s6c5s5c3c Jc8s8h5c4c QsJs6h4c3d 
AcQc8d4h3c Tc9h6s6c5c QdTs8h6s2c Th9c6d5h4s 
KhQs6d4s4c Kd9d7h6h2d KhQc8s7s5s JhJd6h5h3c 
QcTs8s3c2s AcTc5h5c3s KhQc9d6h2s KsQd7h3s2d 
QcJdJc3c2s Ad6d5d4s3h Ac6s4c3s2s Qc9h6h6d2c 
Tc9s9h7c4c Ts9h7d5h4h KsJhJc5s2s AdJcTc3c2s 
