KcTdTc9s5c 
JsJh7s6d3d QsQd9d7h4c KdJs5s5d2h KhKd9s5h2h 
8d7h7d4h4d TdTc9c3h2d 9h9d7s4s4h KhQhTs6d3h 
AsQdJh4h3c QsQc9c6d4c AdKd8s7d3c JsThTc9d4h 
Ac9c8d3d2h KhQs8s8h2d Jc9s9d8c2d QcJh8s8d7d 
AhQc8c5s4d KhQd9c5d5c AsTd8h4c2s QdJc8s7c5h 
Td9c8h6d2h AdQdJd3s2h 8s8h6d5s3d KcTd8h5c4s 
QhJd9c5d2c Qh7d6c5d4c QcTh9s8c3d Td8s6s5s5d 
9h7h7c6c4s Js9h8s7d7c QsQc8h3s2c Ts9c8c7h3h 
As8s7d5s5c 9h9d6h3s3d AcKd9d5s4h JsJh5c4s2h 
JdTc4s3d3c QcJh9h7s2c Tc9d9c6h5s AhJs9d3h3c 
Qh6s5h4d3s AhQs5h5c4h Jc7s7c6s4h KsQs7h6s3h 
AsJd7d3s2c AhKh8c4h2c JsJh6s5s5d QcJc9d4d3c 
KcJhJc5s5c AsTsTh2s2c KcJsJc4d2h Th9d6h5d3d 
KsQsQh9s2c KhQd7s6d6c KhJd9d3s3h JdJc7h4h3d 
JdJc8s5c4h JhTh6c4h4c Js9s9d8c4c AdTc8h5h3c 
QsJc5c4s2s AdQdTc4d2h Tc9d8d6s5h KcQc9d9c7h 
KhQs9c8c6d KdQs9h8h6c As8c7d6h3s JdTd9h6c3s 
KdTd8s4c3c Tc9h7s7c4h AsQs8s8h2h KdQc9c7s3s 
AhKhTc4s2h KdJh9h8s2s AhKs9c8d5d KdQhJd7s2s 
KdQd9d7s4s 9d8d7c6h5d QhTh9d8s4c KhQhThTc3d 
Ts9s9c8h3h Ks7h6c4s4c KcJh9h9d3d AsKd4c2d2c 
KsQsJsJh5s AdJsTh4h4c JcTdTc9c3s JsTd8s5s4c 
Qs9d7d6d4s Kc8s7h6s4h AhTd7s7d6c AsJh8d7c4c 
KsJs8d7c5s KsQdJs4h2c AsKd9s8s3c 8s8d6h5d5c 
Kh6d5d4h2c JdJcTc9s3c AhKhTh9h4h Ts9h8h5c3s 
KhQh6c5s4h Jd9s8c7h6s KsJh9h9c3c Th9s9d7h6h 
Qs9h7s5c3c QhTc7d6c3d KcJh8s4h4c QdQc9c8s3h 
KsJd9d7h7d KhQdTs8h4h 8s8c6d5c3d JsTs8h8d2h 
KhQhTs6c3h AhQhTc4h2d KcJs8h7d6h Ac9h8d6h6d 
Qc7s6c5d3d AdJh9s7c6s JhJd6d5d5c KhTc7s5h2s 
QdTd9c6d4s Ah6s6h2s2d QsTsTc4d2d KhQs9d7s5c 
JsTh7c6h3c JhJd6h5d2h AhTh6s6d2d QdTs5s4d2c 
QdQc9d6s4d KsQh9h7c5d JhTs9s3s2h Kd8s7c5d4h 
AsQd9c5c2d QcJc8h5d4s QhTd8d7d3h KdQhJd8c5d 
AcKsQs4s2d AsTs9d6s3h AsQs9c3d2d KdTd6h4h2s 
AcJd5s4s4d KdJc6d4s2c QhTd5d3h3c JdTs8h5c4h 
Qd6c5d4c3s Kh9s8h6c3s KsKc7d4c2h KcTc7s4s4c 
KdTh7c5h2d KcQh7d6s6h AsQs9c8s5s AdTs7c5s3c 
Ac9h5h4s2c 8s8c6d5s5h 8s8d7s6h5c JhJd5s4h2d 
9d8s7c5c3d KsQs9d8d2d QsQh9s5c4s JhTc9h3c2c 
As9h8s7s4d AcJc7h7c4s AhJc8s5c4d AdQh9d8s3d 
QsJc9c6c5h QcJc8d7h7c Kd9h9d8s2s KsQsJsJd6s 
Qc8s8c5s5c QsQd8c3d2s AhQsJs9d3s 9c8d6d5c3c 
AdJs9s7h2h QhTh8d4c3c KdQs7s4d2c AcKsTc5d2c 
JsJh9c8d5c KhQhQc8h4d AcTd8h8d2h Jc9s8s8c4h 
KdQd6c4d3c KcTh8c5d2d Js9d9c8s3c QhQc9c7d4s 
AsJs9s7h3c KsQhJh7h6h 9d9c7s4s4c KcQhJd7s7d 
QhQd9c8d3s QdJs9s7h2d Qs6c5s4h3c AsTd4s3h2d 
AsKc8d7s3s TsTd5s4c3d JsTc4d3s3c KdTd8h4h2s 
Ks9d8c5d3s AhJh8s6c2d JhTc5s3s3h AsKh7d6c2s 
JdTdTc9d3s KhKdQh7h3h QhQd8d5d4s AsKc8s3d2d 
KsQc5d3d3c Ad9c7d5d2c AhTh5d3c2d JhTd8s4h2s 
QhTsTd6s4s Ad8c7d5h2s AsKsTs4h2d Tc9s8d7c3s 
KcQsQc4c2h KcQd7s7c6c KdQs7h4s2d JsJd8c7h5h 
AhQh9h8d3s Ks8h7d6h4d JsJd7c4c3s AhKc9d8c3s 
9h8h6d5h5d AsQs9d8s3h KsKd8d6d2c AsJs5h2h2d 
QsQdTh6s2c QsQcJh7d4h As9h8d3d2s KdJdJc6s3h 
AsAhAd5s2s QdTc9d8h3s AsJhJc9d4c QhQdJc8h4h 
Jd9h9c7s6h JsJh9d6d2s 9s8s8d6d4s QhJd8s8c7d 
Th9d8c6h2c Ah9c6c5h2h QdJsTh9c5c AhJc7c3h2s 
JdTd8s6h2h Qc9s9c6h6d JhTh8s6c2c KsJd9h6s2h 
QsQcTs8s3d AsKsQd8s4s AhJd8h6h6c KcJc8d7h4s 
Qs7h7c5s4h Th9s6s6d4h KhTh8s4c3c KsJs8h7d2d 
QhJcTd6s6d 7s6s6c5h3c JsJd8s6d3d KcTc6h4h2s 
Kd9d8h8c7d KhQs3h3d2s KhJd8c6c3h QcTd8h6s4d 
Jd8s8c7c4s QsJs8d5c4h KdTh8d4h2c QdTsTd9d6d 
JsJc9h6h2s QhJd7h5c2d AhAdAc5d2d QhTh9c5d4s 
KdQh7d7c6d Ad9c8s5s5c KcJhTd9h3h Ah9c8s5d2h 
KhJhJd4c2s QhTd8h7d2d Jh9c8h7c4h JhTc8h6s2s 
KcQdJh7d4s Jc9s8d7d3c 9d8c6d5c2s AhKcQd4s2d 
Ac7d5d2d2c Qs6h5s4h3c Kc9d7c5c3d AcTh4d4c2d 
JdTc9s6h5h As8s8c6c3s KcQdTd9h5d KcQhQc3d2c 
Kd9c8d7c2s 9h8h6s5s2s KsTs8d4d2h KsJdThTc2h 
AcJd8d5h2h Jd9s8d7d4s KsQs7d6d3s JhTh7c6s4h 
Ad9h9c8c4h KdTh8c4h2d Jd9s9c8d2s Ks8c7s6d3c 
TsTh5h4c3s AcKd9c8c3h KhJh9s5s2h KdTd8s7d5c 
KsQs9d7d2c Jc9d8c7d4c QhJsTd8s2c Kc6c5s4s2d 
KsQh9h8d4d JcTh9h4h2c Qc9c8d8c5d KdQh8h8d2c 
AsQh7c6h3c KcTc5s4d2d KcJhJc4d2s Tc9s8s5d3c 
Ts7h6s5h5d JdTs6d4s4d Ad9d8s6s2d KsJsTd7s3h 
KcJhJd9c3s KcQdJh7s7d QcTd6h4h4d JhTh9s9h6d 
JdTd6h4h4d As6d5s3h2h QhQd9h6s4h Jd9c8s8d7h 
AdJs9c8c6c AcTc9c8c7c Ks9s9c8h2h KhJs9s7d7c 
QdJc5s3s3d Ts9h7s7d4h QdTc7d4h3c KcQhTh9d5h 
JdTh8s5c4s KsKh8s7d2s QhTd8d4h3h KhQh9d5c4s 
Ts8c6s4h4c KdQd7h6h2s AdKh8c7c4s QhQcJs9s3d 
KcTh9s8c3d AdTs8h5h3s 8c7c6h6c5h QhQd7d6d4c 
Ad9s8d6h2c QcJs9s4h4c Ah7d5d2h2c Qc7s7d6s4c 
AcKc9c6s4d Jc7d7c6d4h JsJh7h5d2s KhTh8d4c3c 
QsQc7c6c4d QsQh9c4c2h AcQc8d6c5c JsTs9s9h6c 
KhJsJh5d2c KsJc6d3s3c KsTd8d5s2d QdTh9c6c2h 
AdJd6s5d4c Kc6h6d5s5c AdQd9c3c2c QsJdTc8d2h 
Kh8c6h5c2s JhTd9d6c5d KsQd9d7c5h AdKs9d8d3h 
KhTh9c4c2c JcTh6d6c3d Kh9h7s6d5h 7c5d5c4s4d 
AhTs4h4c2c KhQs8h6s2h QsQd5h5d3d QsJd4d4c3s 
KhQcJc6d4c AcKdJh4h3s QdTd8s6d3s Qc7h6h5d5c 
AsKd9h8d3c KhTh9s9c5d Js9d9c8s2c QcTd8h6s5h 
Ah9d9c8c4d KhJh8s6c3c KsKc8c6c2d JsThTd9c2s 
Ah7d5d2s2h KhQh9s7s2c KdTs7d4s2c JhTs6h6c3c 
Ah9c8s3s2h KdQhQd4c2d AsTsTd2s2h KsTd6c5s2c 
KhQs9d8h5c KdJs5h4d2h AdKhTd5s2d Ts8d7s7d4d 
TsTh9d7s2d JsJhTc9d5c TsTh8h7s3h KhTs7s6c4d 
Ac9s7h7d3c QhTs9s6d6c KcQhQd7h3s Ac5d5c3s3h 
QsQh7s2h2c AsJd9s8c2s AsJh7c6d5h KdTc9h9d4s 
KcQd9c8s5h JsJd6h6d5d JhJd8h7d3d QdJd9d7h5s 
AcKd9s9h3c Ts9d6s5d3d QhQcJc3d2s JsJd6d6c5d 
KcQd5h3h3d QcTsTc5h4c KsThTd8c5s Th9c6c5c4h 
JsJh9c6c2s JsTs9s4h2h AdKdTc4h2d AdKd6h6d5d 
JhJc9c8c5d Th9c6d4h3d KcQsTd9d5h AdTc4h4d2h 
AdKhQd6d2c KcJdTh9d3d Kd9s8d6h3s KsJs8c7d2d 
KdTh7h4s2d Ad8h6c4s4d AsKs9s6d4h Kh7c6h6c4h 
QcTs9c8h3d AhKh8c7h3s KdJh8h6h3d Kd9s9c8d2c 
Td9h8c7d3h AdJh9c7s6c KcQd9s7d5h AhKd7h4s2c 
QhJs9h8d5h Ts9c8d6s2d 8s5s5h4s4h JdTc9d8s4h 
KcTh7d5h2c AcKdTs5s3h QcJs9s7h3h JhTd4d3h3c 
Td7s7h5d4h AcThTc4d2s JsTs8d7s4h KdJd8h6c3c 
AcKh9h6s4d KcTs9d7h5s Qd7d7c5s4s Jc9c8h5h2s 
JsJc8c5h5d Kc7h7c5s3s KcTsTd3c2s 9c7d6h6c4h 
Js9c7c5s3c Tc9d6h4d4c JhTs4c3s3h Th8h8c7d6s 
QcTd9c8h3s As9c8d5d5c QcTs9c5c2s AcJcTc4c3s 
QsQh7c4c3s 9c8c6s5s2s QdThTc7d2h QcJc6d5c4h 
Ad9c7h2h2d Js9s8s5c4c JcTd9d3c2d QhTs8s4h3s 
AdQh8h7h7c JdTs9s3s2d Jh9d9c7c4d QcTs9d8h5s 
KcQs9h4c2s AcKdTs5s5h AcKc8s7c3d KsQs8s8c7h 
Kh8d7s6s6d QcJs6h4h3s 9s8s7d5d4d QhTsTc7h2s 
KhJs7d6s3d JsTs8h5s4c 7s7h6s4h3c QsTh8d7h5c 
Kc9s9h8h5s AdKsTc5h5c KdKc9d4h3d JcTd8d4s3s 
Ad5h5d3c2h AhTc5h3h3c AcKc8s7c3h JdJc8s8h4c 
Ah8s8h6s3h Ah9c5s5h2c JcTs9d5h4s Jh9d8h8d4c 
JcTd7h6d3h KhTh6s4d2s QhQdJh7h5h QdQcTs4h3s 
JcTc8d7c4s KsJd9h5h5d KdTs7s7d2h Ts9s7h5h3h 
KdJhTsTc2s AsTc7s4c2s JsTd9h5d4c JcTd9c8s4h 
KdQh9c4c3d Kh9h8c5c3s AdTs4d3h2s QsQh8d3h2s 
Kh9s9h8c2c ThTc9s5c2h QcTsTh6s4s KdQdJd7h5d 
Jh6h6c5h5c JcTs8c4s2c Ah9c5c4d2h 9h8c6c5h3h 
Ad9d8s7d6d QdTsTd4c2c KdTs6s5d2s AdKs7c6h2d 
9h8c7s5s3h Qs9h9d8c7h AsQs8s8h7s KsQcTd6d4d 
AsJh9c7d6c KhQs3h3c2s Jc8d7h5h5c KhQhQc4h2d 
Td9s9d8h3h QdTc8c4d3c Kh8d7s5d3h KsTs8c7s5d 
KdTs8c5d4h AcQdJc4c3c KcTs9d3s2c QhJs6s6h3s 
AhTc5d4h3s Qs7d7c5s4d AcQd8h7s7h Qd7h6h5s5d 
AdJc8s6h5c QhJd8h7h7c 8s7d6s5c4h QcJsJh6h4h 
QhTc5s4c3s Kc9s9h8s5h Tc9s9c8d4d KsKcTh4d2h 
Ac9h7s7d3c 9c8c6h5h5c KhJh8d6d2c Kc9d9c6d4c 
AdQd8d6d5h Ah7c5s5d3h KcJc8h7d2d 9c7h7c6h4d 
AsThTc9c6c JsJd9s5h3c QhQd7c6c2h Jd9c7c5c3d 
QsJd9s5h4c QsTs8d6d2s KsJh8d7h6h QhJs8c5c2s 
Qd7d7c6c5c AsKhQd9h3h AsKcTs8s3s QhTh8d4s4d 
Tc9s9c4c3s 8s8c6s4c3h KsKh9c8d3c KcJc8d6d2h 
QhTs9h5h2s AhTs6d3h2s AhTd6s3h2d QcJc6s5c4d 
KcTc5d4s2s AsJc8d6h5c QsQd7s5h4s QhJcTs8c2d 
Qh7c6h5d3d Ah8c6s5h4h JcTd9c6c5h QsQd9d5d4c 
Ah8c7h6d3s KdQcJs6c4c JhJd7s6s6c AhKhJd5h3h 
AsKs7s4c3h ThTc9c3s2h AsKdTs8s3s QdTd7c4h4c 
AdKcTc6c3s AcTd8s5s3d QhJh9h7s5d AcJd8d5s2s 
AsTd9s4c2h KcJhJc6d3s QsQh9d7h4c JsTh9d5c3s 
9s7s7d6d4c QhQc7s6s2c QsTh7s4d3h Ah9s5h5d4c 
JsTsTh9s3c KhJh7c5c2d Ah7h7d5h2d As9c8h5d2s 
QcTc8s4s4d QhTs9h8d2c AsJdJc5c3h QdQc7h4s4c 
Qc9c8d6d3h QdTd9h5s4c KdTc9s9d4h Th9s8h5d3s 
AdKcJc2s2h KhQs9c5s5c Td9h6h4c3d KsTc8c5s2s 
Ts9c6d4s3d AsKhTh6h3c QhTd8h5c2c JsTd8h3s3d 
QhJd7d4h3c Jc9h7c6d3d Ac5d5c3h2d AsKc8d7d4h 
KdQd7c6c2h KsTd8s4d2h Ac9c8s8d2h Js8s8d5h3d 
AhQh9d7h6h QsQdJs7s4c JhTc8h4s2s Ah7s7d6c3h 
JdTh9h6s5h QsJh7h4s4d 9s9c6d6c5c Kh7s5h4s4c 
QsTc8c4s3s KcTsTd7h4s AhKd4s2s2d QsJc9d7c2s 
AhKcQd7c3c KdJdTsTd6d Th7s7c6s4c KhQc6c4c2h 
AcTdTc2h2c AhJc7s3c2h 9c8s6s5h3h KdTc6s5c3s 
AhJc8s5s2c TsTh9d7h2d AcKsQc8c3d QhJd9s5d2s 
KsKhQs7s2d QdJs9c5s2c JsJd9h6h2d KsQh3s3c2h 
Jh8d7h7d4c AdKdQh8d4d JhTc9s6d5d AhKdQh8h3c 
8c7h6h5h4s AcKhQc9c4c Ac5c4s4d2s AsQd7s7d2s 
KsQd8d4s4h TsTd7d5s3s Ks7s6c4h3h JhTs8h6c2c 
AcTh8s7d4d AhQcJc5s2d Jh9c8s8h7d Qh9d6h5d3h 
As9h7c2s2c KhQh5d4d2h QcJd5s3s3c KcJsJh9c2d 
Qc9s8h8d7c AsJc7c3s2d KcJs8d7s5h QsQh9h5d4h 
Ah9c5c4h2d KsJhThTc3h AhJd9d8c4s QcTh9c6d6c 
JhTd7c6d3c KcJc8d6d2s 9s7d6s6c4c Th8s6h4s4d 
AdKsJh6c4c Kc6d5d4c2s QsQh9s5s4d QcTc7d6c5s 
8d8c7s6d5h Ah9d8s6s6d JcTs7h7d6h AcKdQs7d3d 
7s5s5d4d4c AdJc9d5h3d AhKc9c6s2s KsQd8c4s4d 
Th9s8d6h2d 9h8s6h5s2d 9c7s7c6s4d AsKs7s4d3h 
KdQd8d8c7h AcKdQc8c2s Kc9d6c5d2h Js9d7d5d3s 
Ks8s6d5c2c KsKc7d5c2c QsTc8d5d2s KcQs8d5d2c 
KhJs7s7h3h 8d7s6c5h4h KhTd7d6s4c AdKhQh4h2c 
KdJdTs7d3c JdTdTc9d3h QhJh9s8h5c QhQd8s8d4d 
AhQh9h8c3s Ks9d8h7d2s AsJc9d8d6d KhQs7h4s2d 
KsKc9d5d4d KsJd8h7s4c KcQhTd8c4c KcTh7s7d6h 
9h8s7d5h3d QcThTd8s4c QsQcJs7s5s QsQc5h3h2c 
KsQh9c8s5d KcTs7d6s6h KhQhTc6d3h AcKh4d2h2d 
JhTs8d6d4c Ac6h6c2s2h AhKd9d5s4c 9d8s6d5s2h 
QhQd7s6s2h Ac9h7h4s2c AhQh7h5s5d TsTh7d7c5h 
KsJc7s7c3c Jd9h8h8d4s Jd7c6s6c5d AcQh9d5d2h 
Ah9s8h6d2c AdKs9c4h3d QsTsTc9s6s Ts9h8d5s5h 
KhJh8s7d2d As9c7d2s2d Qh8h7c6c4h AdJd8h6c2s 
QhJh8c5c3c AdKc8s7s4h TsTc5s5d3d QsJs8h7s7c 
AsKc9h8d5d TsTc7d6h5c KsKc8d5s2s QcJc7d5s4h 
JsJdTd9c3d KsQcJh7d7c JsTsTc7d2d AcKcJd4c3c 
QdTh9c8d3s 8s8d6c5h5d Qs9c6h6c5h KsQhJs7h2s 
KsQd9d3s3c 9s8c6s5c3s KhTh8c4s4c Jc9c8h6h4c 
AhQdJd8s2c TsTc8s7c3s KcJd9d7s7d AcKs9s6d2d 
Ad9h5h4d2c QhTsTh5c4h AcJc8s6d2h Js8d8c7c4d 
Ah5h5d3s2d JhTc9d6s5s KdTd8h4s4h AsTc9h8c3d 
9d8s8d6s4d QhJd8h7s7h AdTd6d5h4s AcJsJh9d4s 
Ac8d7c6h3s AdKhTs5s5c KhKd8s4h2c Qs9c6h5h5c 
KdQh6d5d4s JsJc7c5h2s 9h8s8h6s3c JhTc5s4s2h 
QcJs9c5d4h Qc9h8d7c4d Qs9d6s5d3s KcQs9s7d3d 
QdJd9d7s5h Jc9s8d7h6s QhQc7s4d4c Ks9c8s8d4d 
KcJdThTd3d Js9c8s8c4h JsTh7d7c6d KdQdTsTd3h 
Ad6s5c3c2d AsTs9c3c2s KsQhTs5d3s Ah5h5c3s3d 
Jd8c7d7c4s KhJc8c6c3h Jh9s8s6h4s Jd9s6d5d3s 
Jd9c8d5d4c JsJd8c5h4s KdJhJd7s4d AcJh9h6d4d 
Ah6h6c2d2c Ad9d6c5s5h QsQc9s7h4d JcTc8s8d2d 
KcJcTd7h3c JhJd9c8s5c KhJd8c7s6c AhKcTc9c2c 
AdJh7s3h2d Js9h8s7h4s AcTd9c7h2c QsJcTs4s3h 
KsKc9d8h3d Ah9c7h4c2d JhTc4s3h3c AhQcTc6s3c 
Qc9d7d5c4c KcQc6h5d4c KsTh8s8h2h KhJd5h4c2c 
KdKc8d5d2h JcTd7s6c2d QdJc8s8h7h KhJs8h5c2c 
AdTc3d3c2h JdJc9d8d5s Kc9c7h6d5c JhJc7d4d3c 
QdQc9c8s4h KdJs5d5c2s QsQd8h7c5h QdJs8h5h3s 
QcTc6d5h2h QsQc7h4s2c KhJcTdTc3c AdKd8h3s2s 
KdQh8c5d2c AsKhTd5d3c AhKs8h3d2d 8s8h6s5c4d 
JsTh6s4h3s JhThTd3s3c QsTc5d4c3d Jd9c8c5c4d 
Qc9d8d5d5c 9c8h7d5d3c QdJhTs7s4s KhQd7h4d2s 
AcTc5c4h3h KhKd6c3s2d AhQs7c6s5s AsQd9h9c6d 
QsJh9s8d5s JsJd8s8h4s Kh9h6s5h3s KhQcTsTh5h 
Js8s6h6d4h QdJs8h5d2h KhQd8d4h4c QcTc7h4s4h 
QcJh9h6d5h AhQd6s5c2h Js9h8c5s2c JhTc8d6d4s 
8s7h6s6h5s KsJsJc7d4s QhJs6h4s3h JhTs4s3h3c 
KsJd7s6c2d QcJs8c6h6d KhQsJs6d4s Qs9h6s5h3h 
QsQc7d6d2c AcJs7d3s2c Kc9c8d7d2h KhQsJd8d6d 
KhQh7d6d2c KsQs9c8c4c KsKd7d5d2c QsQh7s7h2s 
9d6h6c4h4d AcKc9h9d5c AhJsJc5c3d AcKd8h8c3s 
KsQd9c8s5h Jc9d9c6c4d KcQsQc4h2c AcJd6c3d3c 
JhJc7d5s4h QsQhTc2d2c Jh9s9c7s3h Ad6s5d3s2h 
Js8d7s6d4s KsJdJc9s3h 8h8d7d6c5s Kh9s8s5s3h 
Ks9c7s6s5d JhTc7s7d6s AdJd8h6s2c KdJdTc7d3s 
Ts8c6s4d4c KcQdJc7d2c QdJh7h4s4d KsJcTc9d2c 
AsJh7h7c5d 9c8h7d5d5c As5s5c3h2c QcTh9c8d2s 
Ks9h9c8s2c Ah5d4d3d2h Ad6h6d2h2c Td9s7h7d4s 
QcTh9s4s2c QcTc8h4d3d QhQdJh3c2s KsTs9h2h2d 
JhJc5s4h2c JsJd8s7d3d Th9s8s5d3h JdThTc9h2s 
Jd9s8c7d5h Js8s7c5s5c AdTd5s3h2s KcQd9d7s3s 
Ks9c8s7d3d Qs8s8h6d6c QsJd8c7c6c JhTd5c4d2h 
QhJh8d5s4c KsQhQc9h3d QhQc7c6c4s KsKc9h4h4d 
JhTd7s6h2d Kc9s9c8d2d JcTc8d4d3d QsQdJc8d4d 
KdTd6s4c2s KdJc8s7d4h Kc9d8h7d2c KcJhJd7s5s 
QsTd5h4s2d KsKhQs7s3s AdTs7s7h6c JdTdTc7s4d 
KdTd9s4s2s AhQs9h2s2h Th9d6s4h4d Jd9s7c6c4s 
KsJsTh4s3d KcQd9h8h6s Th7c6d5c3h Ah7h7c6h4d 
JcTsTh8c5c KhJsTc6c4c AcKhTs5s5d QhJcTc7s2s 
JdTsTh9s2c KdJh6h4d2s Kc9h8d6c2d QsJh8d7c6c 
Th8c6h4s4c JdJc6s6d5d Ac9c8s8h2d JdTc5h4c2d 
KdKc9d7d3d AhKs4d2s2d Ad8s7d5c2h QdQc8s5s5h 
Kd9c8d7s3s Kh8c7s6c3h AcJs8c6d6c Jc9s9d7h6d 
QdJsTc9s3s JhTd9d6s5d QcJc5s3s3d AcJs7s2s2c 
Kh9h8s8d7h AcJd9s6s6d AcJc8h4h2c AhJd9c3s3h 
KhTd9c5h3s As8s6s5h4c AcKc9c6d4s Ah9d5c4h2d 
AsTh9c7c2h Qh9s9c6d5h AdKc9c8h4s Jc9h8s7c5d 
KhTh8s5s5h KhQc9c8c6d KdJd8s6h3h AhKs9c8h4h 
AhKd9d5c4s KdKcTs4h2s KhQc8s7c6c KdTs6c5s3c 
KhJdTd9d3c Tc9s8h8d7c AhJs7d6c5s JdJc9c5s3h 
JhTc9h5d4h KsQc9c7d3d Jc9h8d7h6s KsJc8h4s4c 
Qc8s8d5s5d As7h5h2s2h JdJcTd8h3s KhQh8h8c7d 
KcJh9d7d6d 9s8h6s6c4c 8d7c6s5h4h QsQd7h4h3s 
JdTd8c6h2h QdTd8h5s2h AdQd9s5d3c Kd6s5s4d2h 
KcTs7s6h4d QdTh7c6h3c As8h5s2h2c Kc7s6d4d4c 
JsJd8h4d3s Kc7s7c5d3d KdTd8c4s3s AhJh7s7d3c 
Ts7h7c5c4s 9c8d7s5d5c JdTh6s6d3s AdJh4h2h2d 
KhQdJh8s5h KhQdJh5s2c 8d8c7s6c5h QhQcJd9d3s 
Kc6d6c4d3s KsQc9h7c3h KhQs8s4h4d Ks9c8d7c2s 
AsJs7d7c3h JsJcTs8d3h JdTd8s7c4d QhJd8c7s6s 
AsKcQh7c3c JdTc7s7h6s JcTc7d6s4c 9h8d6h6c4c 
QhJc8c5h2h AcKd7h4h2d Ac9c8s5c2s AhJdJc9s3c 
AsQs8s4c3c KcTc9h4h2h AsTsTd4h2c QcTd5h4h3d 
QsJc8s8h3c QdJc7d5s2c Ad6c5d3c2h QhQc7h5s4h 
Jh9d8s7d2h Js9s8h5h2c KhTh8c4d3d Td9c8c6h5s 
Js7c6s6d5c Ah9c8h6s2d KdTc5c4d3d Jd9s9h7s4h 
KdKc8h5c2c KdJsTc9c5c KhQd6s5h4h JdTd9h9d6s 
AdKcQc4c2h Qc9c8h7s4s AsQd8h7h7c QdJs9s4h4d 
QdTd7c6d5s KhQdJs7d7c Kc8c6d5s4h AdKd9s9c5d 
9h9c7d4d4c KcJc9s6h2h Js9h9c7d6c KcQdTs6s4s 
JcTd5h4h2c KcTs5s3d3c Jd8h6h6d5h QcJd8h6s5h 
Ad6h5s3s2d JcTs9c5d3h Qs7d7c6c4s JcTs8s8d2d 
AdQdJd6s4d Jd9s8d7h7c KhTc9h3c2c JsJd7d6h3h 
Ad6c5h4s3d AcTh3h3c2d JhTh9h7s7h Th9s6s4c3h 
KhTd4c3h3d Td9s8d7h3h Ts8s8d7h6c AsKc9d8h3c 
JhTs7d6s3d AhTc8d5d3c 8d7h6c5s4s QdJc4s4c3d 
AdKd8c4d2c AcQh7h6h5d Qd8c7d5c4d QhTh8s4d3d 
Jh9d8h6c5s TsTh9h7h2s QsQd9c4h4d Kc6s6h5d5c 
Th9d8c7h3d JcTc9h7s3d KdTc8d7d5s QhTsTh5d4h 
Jh9d7d5d3h QhQd7d5c4d KcQdQc9c5c AsKd9h4c3s 
As8s6d3d3c AsJd9d6c4c KsQs6c5s4d 9h8s7c5s5h 
Kc9s9h7d5c 8d7c6s5h4d 8d8c7c6s5h KdQd7s5d3s 
AcQd6s5h2c QcTh9c5h2c As9h8s7s4c KhTh8c4s3s 
JhTh9h9c6s Jc8c6s6d4d Ad8c6s5d4d KdTh4c3h3d 
QcTsTd8h4c KsJh5s5h2c Kh8d6d5c2h AdQhTd8d2d 
Qh9s6s6c5c Qd8c6h5d3h KsQsTsTh3d QsJd8s5h4c 
Ac9c8s6s2c QsTh8c6h5h 8h7c5d5c4h KcQh9s4h2c 
Tc9h7d6h5s 8h7c6s5d4d KcJsTh7s3d Th8c5h5c4d 
AsKdQd4d2c 9h8h7d6s5h AcJc8h6d2s KcQc5h4h2c 
Jc8c7s5s5c Tc8d6c4s4d AcJdJc9c4c As9s8c6c2s 
AhKc8s8h3d 8s8c6c5h4d AhTh6s6c2c KcJd8s4d4c 
KsTh8h5s2h AhQd8d5s4c Tc9h8h5d3c Qd9s8s5s5d 
AsKs8d7s3c AcQs7d6s3d 9c7s6d6c4d KsTd8c5s4h 
AdTs7s7h3h KdTh7s6s6c KdJd8c6h3h AhTsTc9s4d 
QdTc9h8d4s AcKs9h4d3c 8d6h6d5h4h JsJhTh8d3c 
AcTs9s7h4d AsKc9d8s4s AcJc9h8c2s ThTd5s5h3s 
QhQd6c4d2c Qs9s7s7d5d AhKsTs6s3d Th9c7s6c5d 
KdJsJd4h2c QcJh9s7h2c Tc9h8h7c2c QhQcTc8c3s 
Ac6d6c2s2d Js7s6h5h4h KsTs6d4d2h KsTs9c2h2c 
AcTc5h3d2d AdTd5d4s3s KdTd9c3h2h KsKh5d4c2c 
9d8d7d7c5c QhQd7h6h4c KdJs9h7h6h Kd9d8h6h3h 
QsQd9s7c4h QhJd8s8c7s AhQh4d4c3s KhJc9d7s4h 
AsQs9s5d3h JdTd7c6h4d KhQhQc8h4s KsJcTh9c3c 
Td9c7c4h4d Qd7s7h6s4d QhJc8s6d5s AsJc8d5d2c 
KcQd4d3h2c QdJh7h4d3s As8s6d5h4s KsQs8c7c4s 
Kc9d8s5c2d QsJd8s8c3d KhQc8h8c2s QsTd9s5d2s 
KhJd9s5s5d Kc7h6h6c4c Kh8s7c5h4d QcTh8s6d5s 
JhTd9s5c4d Th9c8h7s3c QsTh5h4s2c KdJh9s9h3s 
AsKd8s8c3h JdTh9d5c4d Jd9h8h8d4c Tc9s8c7d3s 
QdTc9s9d5h QhTh8s5c2s Jh9h8h5c4c 9h9d6s6d5d 
ThTc8c5h2d TsTd5c3s3d KhJd9d9c3c Kc9h8c7s3h 
AcJc8d6s2h Ac9c8h3h2s QsQc9h7s4d JsTd8d6d2s 
Ah8h6s5d4h QhQc9d8h3s AcQc9c5s3h 6s6h5h5c2c 
