Ad9c6h5s5h 
Qc9c6s5d2h KhJs7h5d2h QdJd9d4d3c Qc9c8d5h5c 
Jh7s5d5c4d QhTc8d8c2c QdJc7c6c3h KdJh8s7d2d 
9c6s6h5c3d 8c5h4d4c2h Ad9s8c7c3c Ac8h5c3s3c 
Qh9d6h5h3h 9h7d6h4s3h Tc9s7h4c3c Ad8c6s6h4c 
Qd9s8s5c3h TsTc7d3h3d Ts9c4h3h2s Qd5h5d3h2s 
8c6c4s4c2s AsJc6s4s2h Qc8d7c4c3d Js8d7h2s2h 
Jd7s6c5s3h AcJd7d4s3d Jh9c7h4d2d 8h8c6c4c3d 
Js9c4d4c3d AhQs7c4s3s Qd9s7h4h3s 9h7h5s4s2s 
8s8h5d4h2h KcQd6c4c3c Qh8c7c4h2c Th6h5c4h2c 
7c6s6c4d3c JdTs4s4c3s Th8d6s4c3h Ac9c7h6d2c 
JhTs5d4c2d KsQh7s5d2s Ah9d8s5c3s 9c7c6s4s2c 
QhTh7s3d2s Ts7s6s5d5c AcQs9h6h3h Jh5d4s4h3s 
Jd8s6s6h4s 9d8h5d3h2s As7d5d4h2h Qh9h8h5c2s 
Qs5d4c3s2c AdJs6c4d2d AsQd6h4h4c AdJc7s7h3c 
KdQc9s9d2d Qs9s5s4c2c QdJh8c6d2d Ah7h7d3s2c 
AhJd6c5c3s JsJd6d5d2c Kh9d8h5s3h Js9h5c4h3d 
9d8h8c2s2h Ad9c7c5c4c 8d8c6h4d2s 8d6h4h4c2d 
QhJh7s7c4h ThTc8d6s3d Ks9s7c4d3h 7d6s6h5d3d 
Ks9h9d6s2c Jc8s5d3d2c Ks8c5c4h3h Qd8h5s5d4d 
Js6s5h3c2h 9c7c5d4d2d AhQs4h3d2h QcJc7h4s4d 
Kc7h4s4h2c QsJc9c4h2d As7h7d5c3c Ks9c7d5h5d 
QdTc8c7c3h 8h6s6h3h3c Js7c5h5d4d Kc8c6s5c2d 
KcJh9d7s2h AhJc6h4h2d KsTh5c4d3d Tc8d6h3d2c 
KcQs6c4h2c Td8d7c6h3d AdQh6s5h2h 7h6c5h4s2d 
KhJc9d3h2s Kc8h8c5d2s 7s6s6c5s4s 7s7d6s3h2d 
7d6s5d4c2h Qs9s7d5s5c Jh9c7h4s2s KsQh6c4d3d 
8h8d7c5h2s Ad9s8c5h3s Kc7h6s3s3h Tc9s7c3s2c 
As8d6h4h2d JdJc3s2h2d QdJh7s7c4c Js8s7h5c3s 
Qh5s5h3s2c Th9h6c3c2c Jc9d6s3c2d KsQd9s7s4s 
Qs7s6d6c2d Ks9c7s7d4s Ad9s9h8h3h AhTs6h4h2d 
Jd7d6c5c2d QdTh9s7s2s Tc8h4s3s3h Qs7h6d4c3s 
Td7h4h3d3c AdQd6d5d2h TsTh5d4c3s KdTc7h4s3h 
JsJh6s3d2d JsJc6c3h2h QcTd6s6h3h Qc5h5c3h2s 
JsTs7c3s2c AcJd6s4c2c Qd9s8s6c3h 9s6s6h2s2h 
Qh9c7s4s2h QhQc8s4d3d AcQh5c4c2c Th9s8d4s4c 
AsTh6s4s2d Tc9h9c7c2d Ts9d7d3d2s AdKd8d2s2c 
Td9d5d3s2s 9d9c8c3h3c As8c7h5d3c JcTc7c5d2s 
8c5d4h4d2c Qc9h8d7s4d QsJs5d3h2c Kd9c6h5c3c 
9h8h5d5c4s KdJh7d5s2d Js9c7h4s3d Qc9s6d5d4d 
AsTs7h2s2c Ks8h5c4h2c 9c8d8c7h2s KcQcJc7d2s 
KdQc6d4s2d QcJs7d4s2d As9d6h5h5c Th9s7c3h3d 
9d7c6h4c3s QdTs4h4c3d Kd9d7h4c3s AhQsJd7c2c 
QsTd7s5s3s Ts6d4s3h3d 9c5s5h3s3d KsJd9c7h2d 
KdJd6d4s4c ThTc9h4h2s QhJc8s6h2h AsQd5h5c2d 
Js8s6c5d2h 9s7s7c4h2c Qh9s7s6c4s Td8d7s2s2d 
JsJh8h3h3c KcQc6h3d3c Qs7d6s6d2d Td9c4h2h2c 
Ac8s4d2h2c 7d7c6c5h2s KhJh8d5h2c KdQh5s4s2c 
AsQd7s4h2s KdQs9h9d4d 9s7c5d4h4c QdTc9s2s2h 
Ac9h9d8d3d 9h8h8c7s2d Tc5h5c4d3d JsJc6s5s2h 
8s8d6d4d2h Kc9s6h5s5d 9h6d6c3s3h 9h9d7h3s2s 
KcJc9c6c3d 9h6h4s3s3c JhTs8c2s2d KdTs9s4h4c 
AsTc6c4h4c QdJc5h5d2s TsTd9h6c2c QhTc6d4d3d 
JhJc6c3d2d Jd8d6s3s3c Th8s6h3c2s 8d6h5h4h2s 
Qs8s6c5s3d 7s5c4s4c2h KcTh9h5s5h Qd9s8h7d2c 
Ac9h6c4c3d Kd9h6h5h3s Qd8d7c4h2c Kh9s8d8c5s 
Qs9s6d4d2s Ts9c7h3s2h AdQs9s5s2h 9h9c7h3d2d 
9s6h5s3s2h 9c8h8c7d2s KdQh9h7h3s AdJd5s2d2c 
Jd9h5c2h2c Qc7d6h4s3c 9d7c6s4d2s 9s9d7d3s2s 
Jc7h6h4s2c Th8d6s2s2d Js7d6s5s2d AdQc7s4h3s 
AhJc8d6s2c 9h9d3c2h2d 9h6s6h2s2h Td8h7s5d3c 
9h8h7d7c4h Qh9h8s5h5c Jh9c8d5c2s KhJd9d8c3d 
Qc9d9c7c4h KcQc8s6d2c Ks9c5d3s3h Tc8c6c5d3h 
AcJh7s7d3h KhJc9d7s2d Jh5s4d3s3h Qh9c8s7d4s 
Ac8h7s4s2h KdQd8s6c2d KcJd8d5h2s 8h8d6h4h2s 
9s9d8s4s4c 8s8d6d3d3c Qc9s6c3s2s QcTc8s8d2c 
Kc9s7h7c4c AhTs8d5c2c Ad6h4h4c3c Td8d7h2h2d 
KsJs5h5d2c Js8c6c5h5d Kc9c6c5c4h 9d7c5c4d2c 
Ac8s5s5d4h Kh9s6h6d4h Th7s6c5c3c JsJc3h2s2d 
Kc9h6s5h3h Ts9s8h8c4s KhQc9c6c2s KsTs6h4d2s 
KcTs5s3h2h Ks8c6h4d3s TsTh5s3s3c QhJc9h7h3h 
Kh8h5s3s2c Js9h8d6d3c Qd5s5d3s2c Kh9c6d5c3c 
Ad9c7h6h3s QcTd7h3h2c Js7s5s4c3d 7s7c5s5h2s 
QhTc8h5h3h Ad6s6c5c4c Ks8s5h4c2d Jc9d8c7c2s 
AhQc8d4c2s Kc9h8c7c2d KsTh7d7c2s Td9d6d6c4d 
KsQh9s9d4s 9h8s6d4h4c Jc8s7h2h2c ThTd7s7c2h 
QdJc6s5c2c 8c7c5c4d3s 8s8c5c4c2h 7s5h5c4h2c 
AhKd9d3d3c AdTs5s5h3c AdKh8h6h3h Tc8h5s5d4h 
AdJd7s7d2h AdQc7s4d2d 8s8c6c4c2h AcQc9h4s2c 
8h5d4c2h2c Td9h8s5h3h QhJhJd7h3h 7d6c5d3h3d 
Kc8d6d3c2d KhTh7d5h2s Jc9c5h5c4d 9h6d5h4s3h 
Qs8s7s7h2h JsTs5s4s3s Qc8d8c6h2s Th7h6h5s5d 
8s8c5s2h2d Ks8d5d4c3c AdJc5h4c3c Qd6s6c5c2s 
Js9s8s6s4h JsJd9c3d2h As9s5h3c2d As6c4d4c3d 
9d7s5c4s4h Ts9h8d4h4c Td9s7c3h3d AsQc7s5s2s 
JdTs5h4c2h Qh8h6c5h3d Ad9h6c3h3c Js9h5s4s4d 
QcJc7d5h2s Kd9d7s3s2c Ks9d8s5s3h KcTs9s7s2s 
Ah8h8c4d2h Th8h8d3s2s AhQh8d2h2c KhJs8s7d3c 
8s7h6d6c3c AcJh9h4s3h Qc9c7h5d5c JdTc7h5s2c 
Js9h8s6c3s 8d5h4c2d2c 8d6h4h4d3h Th5h5c4d3c 
8s5c4h4c2s Kd6c5d4d2h Qd9s9h5c3h QcJc8h8d2s 
Qc9s9c3c2s 9s7s7d3d2h AsKs9h4s2d TsTh5h4h3c 
Kh9d8d4h2h JhJd9h4h2c 7s6d5s3s3h QdTc7d3c2c 
AsJs5h2s2c Ad6d5d4d4c 6h6c3h3d2d Js6c5h3s2h 
JhJd8d4d3c Ks9s8d7s2c QhJc7c6c3s 6h6d4c3d2c 
KsJc7s5d2s 9s7s5d4s2d Qh9s5c4d3h 9c7h5d4h2d 
AcJh9h6s2d 9h8h8d3d2h 9h6s5h4h3d Jd7s4d4c3c 
KsQs8c6h2s KhTd4s4c3h Qs9d7d5d4h Ks9s6s5s5d 
KsQd9h8d4d 8h7c4s2h2c Jc8s6h5d2c QdJd7c4c2d 
9c5s5h4h3s 9s7h5d3s3c Kh9d7d6c3d Th9d5s4c3h 
8s7s5h3d2d Jh7h5s5d2s 9c8h5s3s2h KdJc9s3d2h 
AsQc9s5s2s AdJc7h4s3h Ts9h4d2h2d KcQh9h7h3d 
Qh9c7s6d3d AsKh5d5c2c 9c8h8d5s2d Jc8c7d4d2d 
KhTd6d3s2s Js8c5h3h2s KsTh8s4c3s QcJc6c4s3c 
Th8d7h5h3c JsTc4d4c3c Qd9h9c6h3h JsJh8d7c3d 
Js7h7d4d2s KcQd7c5s2c KdJd5d3s3h Tc8h7s5d3s 
QhJd8d5d3d KsJs9s9d3s KhJh5h3d3c Qc9c8c6s2d 
KhQd9c7s4c AsKs9d4s2c Ac9s9d5d3h Ts7d6s4s3h 
Ac9d7h6h4h Qd7s7d6c3h 7s7h5s5d2s Qd9s7s6c4s 
Ac9s6h5h2s 9h6d5s4c3s Qs9h5c4h2c Ts7c4s3s3c 
Ac9s9h8h3h Kd8h6d3s2h KdQd7s7c3h 9h7s6h5d2c 
Tc7h6h4d2d Td6h6c5d2c Qh8s7c6s2c Th7h5c4s4d 
JsTs8s4s2h Qh9d7c5d2c 8d6s5d4c3d AdJs5s3h3c 
AsJd6s4s2c JsTc8s6s2s KcTh9s5h2d 9s7c5h4d4c 
Jc7c6s5d3c QsTs7d3h2h AhKh9s4h3h AdJd5s2h2d 
JcTh5d4s2s Qh8c7s7c5c Ac6c4d3h3c AsQh9s5s2s 
Tc8c4h3h3c As7s7c3h2d Tc7c5d4d2c 9h5s5c4s3c 
Qh8s7s7c3c Tc9d8c6c2c Qh9c7c6d4c Ah9d5s4h3h 
Th9c7d3s3h AsJd5c4d3d Kc7c6h3h2h Qc6s6d4c2d 
Ac7s6d5d3d 9d7h6d4c3d Jd9c8d6h3d Jd8h5c2h2c 
TsTd4d3c2s QdTs9c3h2s JhJc9s6d2d 9h8d6h3s2d 
8s8c7s5h2d 8h8c5s4d2s AdKh7c4h2h Kc7d4h4d2c 
9s7c5c3s2c Ah9s5d4h3h 8c5s4s4h2h Qc8h6h4d2d 
Jh8s6s4c2c 9s9c7d3s2d Kc9c8h6c3s KsQs9s9d3c 
Kc5s3s3c2s Th9s8h6h3h Qd8d6s5d3h JsJh9c7d2d 
Tc8h7s4h4d 9h5d5c3s3c 9d7s6h6d3d Js9h7s3c2h 
QhTh7d2d2c Ad8h6s4s2h QdQc8h7s3s 7s6h6c5s3s 
Th6s6c4c2h Ac5s5d3h3d 9s9d5s4s3h Ac7d6c3d2c 
AsJd9c3s2s 7s5d4d3c2c Jc9h4h4c3c Qc8d8c3d3c 
Jh9h6h5s3h QcTs8s8d2s QdJc8c5c3c 9d7d5h4c3d 
8d8c6c4c3h Th7h6h6c4h KhJsJc8d2d KsTh8d5s2s 
AcQc4c3s2h Jc7s7c4h4d Jc8c4d3s3d KsJs8d7h2s 
8c6c5s5h3d 7d6s6d5d4d 9h8h5s5c4d Kd5s4h4d3c 
ThTc8d4h2s QdThTc3c2s KhTc6h4h3h QdJh4d4c3d 
Kc9d6s6c4c KsQs9c4d3s Jh8c7d2h2d Kd9c6c5c3h 
Qc6h6d5d2h Td8d7d7c5d QdTd6s6h2c Jc5c4s4h3s 
AhJs9c4d3c Jc8d7s2d2c QhJc9c4s2d QhJc4c3d3c 
AcQd5d4h2d Jd9c6d5h2s Ts9c8d5s2s JsJd8s3s3h 
KsTc5h3h2c QdJs7c4s2c 6d6c5h4s3s 9c8d5h3h2d 
Qs9h7c4c3h JsJd8s4s3h QdTc5c4c2s Js8s5h2h2d 
9c8s5h5d4h KsTc4h4d3s KdJc4d3s3h 7h6s5h4c2d 
KhQd5c4c2s Ts7h6s4d2d 9c8h7h6d3h As9s6s4h3d 
AsQs8s3d3c KcJd8s6c3c 9h7c5s4d4c 9s7h5h4s2h 
AdJd9d5h2d Ks9c6d5c3c Jd9h7d4s2s 6s6h4d4c3c 
Jc9c7c5h5c Qh9s7c5d4c AdKc8s8h3h 7h7d6s5h2c 
8h8d6d3s3d AhJh7h7c2s Td9h4c2h2c 7s5s5c4h2h 
9d8h6h6c3s Jc7c6h5h2c Tc6s6d5h4s 8h7d4h4d3d 
TsTc8h4c2d Ac5d3s3h2c Ts9d6c5s2h 9h6d5c4s3c 
AhJs8s4d3s 8d6d4h4d2h 9c8s8h3s2h Td7h6d6c3s 
Td8s5h5c4s QsQd8h2h2c KcTc6h4s2c Qd9h8d5s5d 
QhJs8s8c2d AhKh7h6c2h Jd7c6d5c2d Js9h9d8c3h 
Qs9d9c3s3h QdJh8c4s4h KhTc5c3s2s AcKc8c4c3s 
QdTh8s7s2s Tc9d4s2s2d Th9h7h4s4d QsJs9s7d3s 
Qs9h7d6c3c Tc8s6d3s2c JcTc9c6c2d Th8h4c3h3c 
QsTh9c2d2c QdJc5c3s3c 9s8h8c2d2c 6h6c4d4c2s 
As8h7s2s2d QhJh5c3d2s 8h6s4s4c2h Qh9d6h3d2d 
9h7d5d4s3c 9h8c7d5s2c Qh9s7d7c4h Ad8c7d3c2d 
Qh9d8s3s3d Ac9c5s3h2d KsTd9d5d5c Qs9s5c4s2c 
QdJc7h6s3h Kd8d6d6c5d 7c6h5s5d3h AhKh8h8c3h 
QsTc4h4d3s Tc9h4d3h2d QsJd8h6s2s Qd8c7c4c2d 
Th9d4d2h2d AdQs4d3h2d Td9s8h8c3s QdQc6s3c2h 
QsQd8h4c3c Qd9c8s8h4d 8c6s6c3d3c Ah6s6h3d2c 
KcQc5s5c3c Jh8h5s2s2d JhTs8h6h2h KhQc5h3d2h 
9d8d6s6c4h Ks9h9d6d3c Ac8h7h6s3d Ad8h6d3d2h 
Jc8s6d4d2s Jh8h7h5c3s Js8h7d2s2h AcJs8s7s2s 
9s6s6c3h3d 9s9d7d4d2s Td8c5s5c4c Jd9s5h4s3c 
ThTd7h6h3h AhJc6d5d3s 9c8c7c4d3d TsTd8s5s2h 
Th8d7s2s2d TdTc4c3s2d AhTs8d6c2c JhJd7s7c2d 
Ts6c5c3s2h 9d5s5h3s3c Qh7d6c4h2d Tc6h4s3s3c 
KhTd6d3c2c Kd7s4s3d2c 6s6d4c3s2c KcJc8s5c2d 
Jh9c8d3d2c AsJd8d7d2d AcKc6c3s3c AhQd5h4h2h 
As9c6s4d3s AcThTd6h2s Tc8c4s4h2h Qc9c8h5d5c 
Qh9s7c4s3c Ts4s4h3s3h Jh9d8s5c2d Jc8c6c4s2s 
Qd9s9h8s2c Qs7h6h4h2s QhJh8d6s3h Qh8s5h5d4h 
8c7d4s4c3d TsTh7h4h3c Tc6s5s3c2h Jc7s5c4h3d 
5s5h3s3d2d QcTc5h5d2s AdQh8c4h2s 9s9c7c3h2h 
Jh7s7h5h3c Ah8h7h6h3d AdKd8h8d3d 9s6c5s3s2c 
Td8c7s5d3h Qc5h5c3h2d 8d8c7s5d2h JcTs4s4h3s 
Jc7s7d4s2c 8d7s4h2s2d Kc9c5s4s2c 8h8c6h4h2s 
AdQc9c7c3c Kd9d7c4s3h Tc6d4c3h3d AdJs6s6h4s 
Qs9h8h5d3c Qh7c6h4c2c JhJd3s2d2c Jc9c7c5d5c 
Ad7d5h4d2c Qc7h7d4s4c Qh9s9h7d4h Js7s7d5s2d 
AcQd8h4s4h QhTh8s4c2h Ad9d4h4c3s KsQh6d4d3c 
Jd9s9d8c2d AdQc9s3h3c AdKs4s2s2h 9s7s7d4d2d 
Ts9h7c3s2c Jd9s7h4c3d KhQc6s4d3d Ad7s7d4c2d 
AcQh8s7s2d Qs8c5c3s2h Th6h6c5c2c Qs9s5h5c4d 
KhJs9d7s2c Qd8d7d5s4d Kc8h6h3c2h ThTc7h6h3h 
Qd9d5c4d2c Jh8d6d5s3c KdTh5h3c2c Js7s6d5h3s 
Qc9h8s3s3h Kc7s4s4c2d Tc6d6c2h2d Jh9c8s3s2c 
8h8c6c3h2h 9c8d8c3d2c 9c7c5s4s2s Qc9d8c5h5c 
QhJs8d7c3s Kh7d6h3d2c Js9c8c5c3c Qc9s9d7c4c 
KhQs7h3h2s Jd9s9d7c2h Qh9h8s7c4h QdTs6h6c3h 
Js8d8c5d3h QdJc6h2h2c Jd8c6s4h4d Qc8h5s3h2c 
TsTh7s6s3s AsQc7s4d2s KhQd9h7h4h AcJs7s4h3s 
KsJc8h7c3d KcTs5s4d3s Qd9d5s4h3c JhJc8s6d3s 
QdTd6d4c2h AcQc6c5c2h Qh7c6h6c2c 7c5s5d4s2d 
AcJs8h7h2h 9s9d5h4s3s Qh9h7c5s5h Ks9h6s6d4s 
9h8d7c5s2h Ts5s5c4d3d Ks8s6h5s2d 7h5s5d4s2d 
QhJs7d7c4c AhQs6d4d4c QsTh9h2d2c Td9d6d5c3d 
Qs9h7c5d4c KsQd6h4c3c Qc8s5h3s2c 8h5d4s4d2h 
7c6h5c4s2d QcJc8s6c3d JdTd7d5s2h Qs6d6c4s2d 
Kd9d7h4s3c Qs9s8c2s2c 9d7c5d3s2c Jc7s5h5d4d 
AdJc9c4h3c Js9d8s7s2h AsJc8c4d3c QcTd8d7d3h 
Qc9c8c5s2d QdTd8c4h2d KsQd7d4h3d Qd8d7d6d4h 
Qs9d9c5h3d KsJs9s8h3s Th9c5s4d3h Kd9c8s5d3d 
9s9d8c6h2c KhJs6s5s2d Th9s4h3d2s Kd5h5d4s2c 
Kd9h7d7c4d 9c8h8d2s2h 8h8c6s4h2d 9c8d7d6s2h 
9s7d6h4d3c As9d8c5h3h Ac9c5d5c2s Qc8d5h5c4c 
Qh8s5s3d2h Qs5s5d3c2d Tc8s8c3d2d Qh8h6c5h3s 
QsJs8h8d2c Jh6h5c4c2c Ad8h6d3s2c Qd9s9h7d4d 
9h6h6c3h3d As7s5h4s2d Qs7c6s4c2c 8c7h4h3s3c 
KhJd9d5d5c Jd8d7d5h3s Ks8d5s4s4h Ac8h7c2s2c 
Ah9c7d3h2s KcQs6c4d2c 9d6d4c3h3c Ah9c7d6d3s 
QsJcTd7d2d Kc9h7d6h3h Jd9c8h5h2s TdTc9d5h2d 
Ad9s8h5c3s Ks8s7d4s2d Js8c6c5d3h Qd9d6s5h2c 
Jc9s9c8c4d 9h8c5s5d4d KhTh6s4d2h AhKh9d4h2c 
Jh8h4d3d3c 9d6h5c4s3c Jc8c5h2s2h AdQd8h2d2c 
QdJh8h6s2c KcTh8h7s2h KdQsTh4c2c Qd9c7d4c2h 
JcTc6h6d3c KsQs9h6c2s AhKh9c4h2s 8c7c5d3h2h 
Kh9s7c5d5c 9s7d5c4h4d Td6d5d4s3h Td6s4c3d3c 
Jc8c7h5d3c Kd8s6d3h2s KdTs8s7h2s Jh7c4h4d3d 
9c6h6c5c3s KsQc9c6c3c 9c6s5d4h3h Js7h5d5c4c 
KdJd6d3s2s Td8h7c4s4h 9s8c6c3s2c Jd8h6s4d4c 
Th9d8s4d4c QhJd9s5s2s Kh7h7c5h4h Ks5s5h4d2c 
6s6c4s4d3s AsQd8d4c2h QcTc7d2s2d 7c6c4d2s2d 
AcKc8c4c3d KdTs8h7c3h 8h7h5c3s2s Ad6d6c3h2s 
Qd9h7s7c4d Td7d5c4c2d Qs9s6c3d2d Jh5h4d4c3c 
Qc8d8c6c4c Kh9c6c5c3s Tc9h4h2h2c Qc9h6s5s4s 
7h5h5c4d2d Td8d6d5h3c KdTc8h8d2d Jd9h7d3s2h 
Jh9d8c5s2d Qh8c7h4c2s AsJs5c2s2h QhJh8d6h2s 
KsJh9h5h5c 9d5s5h4h3s Qh7h7d6d2d Tc6s6d5c2s 
Kh9s7h7d4h AsQc6d4h4d Ac9s7h6h3d Ks9s8c7s2h 
Th8c7s2s2c QdTh8s4d2d Td8s5s5h4c KsQd6c4c3h 
Jd9h4h4d2s 7s7c6c3h2s As8d7s2s2h 8d5h5d4h2h 
Qd9d6s3c2c Td8c6h4s3d Qc7d5h5c2h 7s7c5s4s3s 
AsQh8h4d2c QhTd9d4d2c Qc6h4h4c2s Js9s7d5h2c 
Qs7s7c3s3c Kd6c4s4c3s KdTs9s5s5c KsQh9c7d4c 
Td7s4s3h3d Qd6s6h5s2h Tc8s4d3s3d AcQc9d4s2c 
As7c4d3d3c Qc8s6h5d3d Tc7c4s4c3s AhJs8s7s2s 
TsTh5d4c3h Ks5d4s4c3h Qs9c5h5d4s JsJd8c6h3h 
Ts5s5h4d3h JsTd8s6s3s Td9s4c2s2c Ts9c8d4h4c 
Jh6s6h5h2s AdQc7d4s2d Qc9c6s3d2d AhQc9d6d3d 
Td9s5c4s4h KhTs4s4c2c QcTs9s2s2h KdThTc5s2c 
KcQs9h9c4c Ah9s9c8c3c Td8c6h5h3h 8h7s6d6c3d 
Qc9h9d5s3h Kc8c7d5h3c AdTh5s5d2d JsJc6s5s2d 
Qc9s8h8d3c TsTh5s4c3s Th8s6h3d2s KdQs7s5h2c 
Qd8c6s5h3h 8c6h5s4c3c 9s6s6d2s2d Kc5d3h2h2c 
QhTd8d4d3s Ah6h4c3s3h Qh9h5h4c2c 9c6h5s4s3d 
Td6d5s4d2s QhTh7s3c2c QsTc7d3s2d Qd7c6d4c2c 
Qh8c6c5s5d JhTd8s4s2s KcJh9s6s3s AcJdTd6d2d 
7s7h6h3d2s 9d6d4s3s3c AsQcJh7d2d Th8h7h4s4d 
AhJc5c3s3d Jh9h9d8h4s Kd9d8h6d3s QsTd8h7h2h 
JsJc8h7d3h Td6h6d5h2h KsQhTs3s2s KsTc9c4h4d 
Tc8s6h4d3c Jc5s5d4d3c 6s6d4s4h2c JhJc8h4h3s 
7s7d5h5d2d 9h8s8d7h2c Js9h7c4d3s 9h7h6h6d3s 
AsJs7s7d2c Qc8c7h4d2h Qd9d8h5s5d Jc8c7h4h2h 
Kd7d6d5d3s Qs8d7s4d2c AhKc9s3h2h QdTc8h5s2h 
TdTc6c3s3c QhJd8h6h2c KsTd5h4c3c Jh9d9c8s3c 
Th8c7c4d4c 9s8c6h6c3d AhJdJc6d2s TdTc9d4s2d 
Kd8d5s3s2c QdTh6s6c3s Ac7s5s4s3d QsTh8h4h3c 
Ac7h4d3h3d Jc8c7c5h3d Ac8s7s4s4d Jd8d6s6d4h 
KdQd7s7h3c JsTc8s4s2s Qd9d5s5h4c Qh9d6s6c4c 
As4c3s3d2h KsTd6c4h3h Js6s6c5s4d Jd9h8s5s2c 
Js9d7h4h2s 9s6d5s4h3s Jd9s8s5s3s Jh9s7s2h2d 
QsTh6d6c3d Jh9c8d6s3c Ts7d6c4h3s Kc9h8s6c3c 
8d6d4d4c2c Kc7h6s3d3c Ks9d9c6c3h 9s9c8c4d4c 
Jh9d7d3h2s 9d8h8c5s2h Kd8d6s3h2s QdJc4c3s3c 
JsJc3h2d2c Th5s5h4d3s 8s6c5c4h3c AdKd9h4d2c 
Th9d7s4h3h 7d7c6h5c2s KhJh8c7s3h KhJh5h4h3d 
9d8h7c6h2s KhQd7d4s3d Ks7s7h6d3s Qs6d4s4d2c 
Qd7h7d3h3d AdQh7c4s3c KcJd9s3c2h 5s5d3s3c2c 
Ks4c3s3h2h Tc8s7d5s3h Jd8h6h4s2s QhJc9h3s3d 
JdTh4h4c3h QcTh6c3s3d 9s8d6c4s4h 9s7d4d3s3c 
Kc9c8h7c2d KcQh9h6h2d QdTh8c4d2d AdJdTd3d2d 
9d6s5d4c3d KsJh9s8s3s 9s6s4d3d3c Th9d8c5h2h 
8h7d4d3s3h 9h7s5d4s4c JhTh7s3h2s Th9c6d5h2s 
QdJd6d4c3d Jh9h8h6h4d 9h7h5c4s4h KsJh8h5c2d 
Td9c4d3h2c JsJd9s4s2h KcJs7c5h2c Th8d7s5h3c 
9h7h6h6c3d 8d8c6s4c2h Qh8h8d6c2s Jh7c6h6c2s 
Jh9c6h3s2s KsTs7c5s2d Jc8s7s7h4s Qh7d6h6d2d 
9h7s6d4c3c Ts7c6d4h3c QsTc7s3d2d Ah5s3d3c2h 
As8c4h4d2s Js9s7s6s4h Kd8h5c4h2c QsTc9d2h2d 
TdTc5h4s3d Kd9s6c3h3d Js9h6c5s2d Ah8h6c3h3d 
Kd7h4d4c2c KhQhTh3s3h QdJd8c6d3s KdQh6s4s3c 
Kd6s6h5h4h 6h6d4s4c3c KhTc8d6s2d QcTc6c4s2d 
Ts6h6c5d4h 9d8h8c5s2c 9s7s7h3d2h Kd8d7h7d5d 
Qs9h7c4c2s Ac9c5s5c2h KdJs6s5s2c Jh9c8h7h2s 
Jd9d7s5c2h KdQh5d3s2d 9s9h7c3h2c 9s6c5s4d3s 
QsTh7s3c2c Ah7s5s4s3c 9d9c8c6c2h Tc9s7s3s2c 
AhJh9s3h2d JdTh7s4c2d 7h7c6c3d2h Kc8c5s4h2d 
Kc9h7s5s5d Qs8d5s5h4s Qs9h6d5d4d 9c8s5s3c2s 
Kh8h8d4s4c Ad8d7d3s2s Ts8c6d3c2s Ad8c4s2h2d 
KdJc8s8h4c Qh9c8h5h5d As8d7s6s3s 8c6d5d3c2c 
ThTc8s5s3s As6d6c5d4d Ts7h6c4d3h KhThTc4h3h 
TdTc7h4h3s Kc9s9h7d2c Js8s5h3c2h 9d7c5h3s3d 
Th9d7c3s3h 7h7d5h4h3h Ad7c5c4c3h AsJd6c4s2s 
Tc7h7c5h2c Jc7d5s5h4h Kh9s6d5s3s 5h5d3d3c2c 
Qs5s5h3h2d Tc9d7s3h3c 8c7c5s4d3c TsTh8s5s2c 
Kc8d5h4d2h AcKh9s3c2c Ks7s5s4h4c Ts9s8s8h3d 
Qh9s8c5h3h AhJs9c5s2s Ts9s9d7s2c Kc9s9c6c3c 
AsQs4s3h2d TsTd5s3h2h Th9c8h6h3h AdJc7c6h3c 
9d7c6h4c2h KsJd9c3s2h Qs8d5h4d2h Tc9d6s4c3c 
AcJs7s7d3s Kd7h5s4d3d JsJd9c6h2h Kc5s4c2s2c 
KhQhJd7s2h AhJh9d3h2c Qs8h5h3d2s 6h6d4h4c3h 
9s7s5d4h3s 9h8d7c5s2d JhTs8s3d3c KhQh8c3d3c 
9d7c5s3h3d Qs6h5s2h2c Th9s8d8c3h Th9h7d4c3h 
Kh8s5s4c3c Js6s6h4s4d AdJd7s4c2d KhTh6s4h3h 
KhTh8h6h3d KdQd6h3d3c 9s9h7h3c2c AsKs4s4h2s 
9d7h4s3h3d Ah9s7d6d3c Qc9d7s5d2s 8s8d5d4d2h 
Kc6h5c3d2s Qs9s8d5s5c TsTc7s6s3s ThTd5d4d3c 
AsKs8s2h2c 9d8c7c4c2d TsTd6h4c3h Qc9s9h3d3c 
Jd9h7s4s2d Kd4h4d3c2c KcQh9d7s4d JsTs7d3s2d 
Qh8d7s7d5d KdTs6c4s3s Qs9c6h4d3s Td9s7s3s2d 
AhQd7c4h2h Tc8s8c3h2h As8c6h6d4c Ks9s7d5s4s 
Kh8s8h4d4c KdTc8h6s2h Qd7s6d5d5c Qd7s4d4c3s 
Kc9h9d6d3s AhKc4c2d2c QdTs8h5c2h 8s8h7c5s2d 
Tc9s8h8d2h 7c5h5c4d2d 9c6h5d4s3s 9s7h5d2h2d 
Ks4d3s3c2c AsQh9c3h3d Qs6d5s2h2d QdJh8c5s2s 
9d8h8c5c2s Ac8s7s5s3h Th9c7s7c3c AcJh6d5d3s 
