Kh9s7d7c2c 
Qh9c5s2s2d Jd9s4h4d2d 9d8s4h4d3d 9s7d6c3h2h 
Ks8d6h4h2h AsJd6d3h2c 8s5c4d3h2d KhQh8s4h2h 
7s5s4c3s2d Qc7h3h3c2d Ah5d4d3d2s Jc7d5h2s2c 
Ks5c4h3d2c Jc5d4s4h3d KhJc7h3h2d Jc6s5d3s2h 
9s7s5d4s2s Ad7h6c4c2s Js5c4d3h3c 9s5s4c3s3h 
AhQsQhQd5h Jc9s7s3h2d Qs8s6s2h2c Ts9d4d3d2h 
Js7h5d2s2c Js7h7c6c2d Ad3h3c2s2h Qs5s4d2s2h 
KdQc8h3s3c Tc7s5h3c2d Jh8h3h3d2d QhTs7d3s2c 
Tc6d4d3h3d Qc4c3d3c2d Td8d4s4c2d 6h5h3h3d2s 
7c5h4h3s2h 7s4h3d2s2d Ac8c5c3h2c As7c5c2d2c 
Jd9d6d6c2d Ts7d6c4d2d Jd7h3s3d2h QsJs6s3s2d 
Jd5h3c2h2c Tc5s3s2d2c Kd8c5c3s3h AdTh7h3h2h 
KsTh5h2h2c Qc4c3s3c2s Td7d5s2h2c Qd8s8c3h3c 
9c6d6c3s2c QcJc6c3h2c KhKdKcTh6h 7h6s6h3h2c 
Jh5s5d4s3s Kh7c6d6c2c AdTs6h2s2c Ks9s7s3h2c 
Ah8s6d2s2c 5h5d4h3c2s KcJc6d6c2c 9c8h7c3d2s 
Kh9s4c3s2c KdQs3h2h2c Qc8d7d4d3s Td6c5c4c2c 
QsQhQd9d5s 9c8c5c3h2c 9d8d7h3d2s Qh5s5c3h2d 
Ah7c3s3c2s Td7c6d5d2d AdTs7c3h2h 9c8c7s3c2h 
KsKhKcTh6h Jd7s7h6c2s Qs9s6d2s2h Kd8h5s5c3c 
Qd9h7s7h2h Jh4c3h2d2c Tc9c5c3c2s 7c6c4d3c2s 
Jc8c6h4c2c Kc8h7c4c3c QhQdQcJd9s Qc8c7s4h2c 
Jc6d4s4c2h Qc8d4c3s3h Jc8d8c4c2c KdTd4h3d2d 
Kc5d4d3h3d Jd9s7d2h2d 9s5h3s2s2h 8c7c5c3h2c 
AdJh6s6c2h 9s5d5c4d2h Jd8c4s4c3h 9h9d3s3d2d 
JhTh4h3h2h Tc6d5c4c2c Js8h4s3d3c Jh9h6h4h2c 
Ks8s5s3h2c Th5d4h3c2s QhJh8h2h2c Qc7c5s3d2h 
Jc8d7c2s2h Jh8c4s4c3d 7s7c6c3c2c Qs8d6d3h3c 
7c6d4h3h2s Js7c3h2s2c AhJc4d2s2d Qd8s7c4h3s 
Js5d4c3s2h AsJd4c3h2h Ac8s6s3s3d Ad8c4h4c2s 
Tc4s3h2h2c Kh8d4s4c2h Ts9h3d3c2c AdQh8s3c2c 
Ks9d8h4c3d KhJsJhJd6s 9h6h4h4d2s Jd9s4d3c2h 
Qc9s6h4d2h Jc7h7c3c2h JhJc5s5h5c Qc6h5s5h2h 
9c6s6d4c2c AcJc7c3h2c Qh9c4s4d3d Tc6h5h4h2h 
QdJd8d3s3d Ac7d3s3d2s 8s4s3h3d2h 9h8s4h3h3c 
KcQd7s4s2s Qd8h7d2s2c Js8d4c3h3c Kh9s4d3c2h 
As6c5c3d2h Ah8c4h3h2s Ks9d4s3h2c 6h5h3s3h2d 
AdQsQdQc5d KcQc8c4c2d 8d7s7d3c2h 9s8h4h4c2d 
Qh7h6h5c2h Kc7h6d4h2s Ah9s5d4d2c Qc5c4s3h2c 
Kc9c6c4c3c Js5h4s3s3c Qh7s3s3h2c Ac7h3d3c2c 
Js9c6s3h2s Ts6s4s4h2c Kh7h5h2d2c 6d5d3s3c2h 
9d4d4c3c2c Kd8c7s3h2d Td7h7d3s2c Qc9s8s4s3h 
AcTh6d3s2h Kd9d7d3s2c Jc8d7h4d2d Jh7s6d6c2h 
Jc9c4h3d2s Td4s3d3c2c KsJsJhJc5c Ah9d7c4d2s 
8h7c4d4c2c Kh6c3d2s2h Kh9c8d4s4c Kh8d7h3s2c 
9h8h4d4c3s Jc6d5s3d2h Qd9c7c3s3c 8h7c3h3c2c 
Ts8c5s3h2d 9s5h5d4c2h KsKhKcJc5d Kd9c8h4s3h 
QsTh6d3d2d KhTd4d2s2d Qh8d6c4c2c KhTs5c3c2c 
Ad9c8c3s2c Ah6h4h2h2d Kd9s8h4s3c Ks8h7d4d3d 
KsTh6s3s2s KhQs8d8c2c KhTd4d2d2c KsTc8s8h8c 
Ks8h8c4s2s Jh9h6d4h2h 7h7c3h2s2d 9s8c7d3s2h 
Jd7d4c3h3d 8s8h7d3c2h 4s4c3h3d2c Qc8h7s4c2c 
Kd9h8s4s4c Tc8s4s2s2d AdTh5h3h2s Jh5d4c3s3d 
Th5h5c4s2d 6c5c3s3d2h Kh9h7h3d2c Qd5d4c3h2d 
Jd6d4s4d3h Kh9d8s4c3c Qh7c4s4h3h Ks5s4s3s2d 
8h6s4c3s2d 8c7s5h3c2c Tc9s4h3h2d KsTh6c2d2c 
KcJh8s3h2d Jh6h5s3d2h Ks8s5c3d2s Th7c4h4d2s 
KdJh3h3c2h KsTs4s2s2d Qc9s7d2h2c Ah9s7d4s2c 
Tc5h5c4s2d Qc7s6s6d2h KhKdKcQd5s Qd5d5c3s2d 
AcJh3s3d2d Qd9d4s4d3c Kc5h4h3s3h 9c5s3s2s2c 
Td6c5s3s2h Kd9d8c4d3d KsTd4d2d2c Ts5d4s4c3s 
Jc9h7h3h2s 6s5c3c2d2c QcTc3d3c2c Kh6c4s4c3c 
Js7d3s3h2d 9h8c7h4h2h Qc8d6h4h2h 8s4s3d2d2c 
9s6s6h3c2s 7d5s5d3h2d Kd7c5s5c2h Th8d5c3h2h 
Ad5s4s4d4c KdQc7s3s3h Ks9h4d3h2d Qd7h5c4c2s 
Ts8d7h3s2c KsTd6d2h2d Kh6s3s3d2d QhTd8s8h8d 
Jc6c5c4c2d Js3d3c2s2h Kh8c6s3d3c 9d4s3s3d2c 
8s6h4c3d2c Qs6s5s2h2d Qs9d4s4h2c TsThTd8s6h 
KhKdKcQs8d Ks8c5s3d2s AhJc4s3d2d 9h9d4c3d2s 
Ts6s5h5d2s 7s5h4c3h2h 8s6s6c3h2s Kd4h4d3d2s 
Qh7s6h5h2h AsTc7h3c2c Ah9s8s4s2d 8s7s6h3c2s 
Th7c6c5c2c AdJc6s6h2c Ts9d4c3s2s QdJc6s3s2s 
9h4d4c3h2d 8s5c4c3d3c Jd5s3h2s2h Ah6d5d2s2c 
9c8h4s4d2c Jh7s5c3d2h Qh5s4s4d3s Jc8s6h2s2d 
Qs8s8h4s3s Th9c4c3s2c KsTd8c3c2c KdTd7d3c2d 
8c7s6h3d2c Ah5d4c3s2c 8h4c3d2d2c Td7h5s3c2d 
JhJd4s3c2c 8d6h6c3s2d Tc9h6c3c2c KcTsThTc6h 
Jd6d5d2h2c Qd9d6s2d2c KhQs8h3c2h Js9c7c3d2h 
KsJs7h2s2d Qh7d5s3c2h As9s4s2d2c 7c6h4d3s2h 
Ks5d4c3h2c Qh9c8h4h2h 8c7c5c3d2h Jd8s6c2s2h 
Tc9s4s2s2d Js7c5h3d2s KhQs8s2d2c Th9c4s3s2d 
Qs9c7h2s2d KhTc8c3s2c Qh5c3d2d2c KsQs7s3c2h 
Ks8d7s4s3s Jc6d4c3s3h Js9h5h3h2h Qs6s4d3c2h 
JsJhJcTs3c Kd8s6c4c2c Th5h3s3c2s KhJd6d2s2c 
Qd5d4s3c2d Ts9s5s2s2d Jc8s7h3s3d KhJh8h2s2d 
Ad8d3d3c2h 4c3s3h2h2d Jc8s7d3s3h TsTh6d3c2d 
AhJhJdJc9h Jd8h7c3s3h 7s7c3s2h2d Qd7s7c5h2c 
AsQc9c3c2c 8c4c3h2h2d Kc9h5s4d2s Kh5d4d3s3d 
9d8h4d3d3c Ac3s3h2h2d AdTs7s3h2s Th6h5d3s2h 
6s5h5c3s2s 8s6h4c3h2h Jc9h6c3s2c Td7h7c4c2c 
Ks9c5d4h2h Th7d3c2d2c Td8c7d3h2s 9s5c4s4d3s 
8h7h4h4d3h Qd9d4s3c2h Ac9c4h3c2d Jh9d7c2s2d 
8h4d3h3d2c Qs5d3c2d2c Jh8h5s3h2d 8s7s5c3s2h 
Kh9h8s3h2d 9h5c4s3d3c Kd4d3c2s2h Qc9h4h3h3d 
Ah7d6d4d2c Ts5c4h4d2s Ac9d3s3d2s Jd5d4s4h2d 
Kh9d4c3s2h 9d7h6c3c2s 9s6h4s4c2d 8s8c4h3s2d 
Kh8s4h4c3h KsQsJs7s2s Tc5c3d2h2d 9h8d4s4d2c 
KcQh7d3s3d Ah8s6s2d2c 7s5s5h3c2s Kd9s8s4h3c 
Ad9c8c4c2s 7s5h4d3h2h Qd8d6s3h2c 6c5s3c2h2c 
Jd6h6c4h3h Jd6d6c3d2c Jc8d6c2s2h Ah7c3s3h2h 
9d5d4h3s3d AcJh4s3h2h Jh6h3s2s2c Ad5h4h3s2h 
8s7h4h4c2h Qh7d4d4c2c Kd6d4d3d3c Td9s3h3c2c 
Ah5d4c2s2d Qd8d5d3h3d Ks7c6s2s2h As8h6h3h3c 
Qc8h3h2h2c Js6s3h2h2c 7d4c3d2h2c 7s7h6c3c2c 
7s5d4d3c2d 8c7d6s3h2c Qd9h8h4s3h KsTd4d3h2d 
Ad9c8h3s2h Jd6c5s3h2d 8s7d4d4c2d KhQh8h4h2c 
Js9s6h3d2s Kd9d8h4d3d Qh7d7c5s2c Jc7d4c3c2d 
Kd9d6d4d2c Kc4h4c3c2s Qs7h4s4d3s 9h5s5d4s2c 
Tc8s6h3h2d Jd7h3h2d2c Kd8s6s4s3s 9d7h6d3c2d 
JhJd5h5d5c Jh4s4h2h2c As9s5s2s2d Kd7c4c3s2s 
8s6c4h3d2c TsThTd6h6d 9s9d5d3d2d Jc7h7d6s2d 
Jh6d5h3c2h Jc7s7d4h2c 7s4c3s2s2c Qc7h5d3s2c 
AsTh7h3d2h JsJhJcTh8d Qc9d6d4s2d 6h5c3s3d2h 
Td9c3d2s2h Qc8s7d4d3d Jc5d4h2s2c 7s4d3s3d2s 
4d4c3h2s2d 9c8c7d3c2s 9d8c5h3h2h KcJs7c3c2h 
KhKdKc9d6s Jd6h6c5c2c KcJsJhJc5s Kd8h6s6c2h 
9s6s4s4h2c Jd9c4s4d2d 8d6s5d3d2d Td6d4d4c2s 
4s3h3c2h2d Ah8c4h3h2d KhKdKc8d7d 9s9c5c3c2c 
Ks8c6c4d2c KcTs4s2h2d AdTc6s3h2c Js7c3d2s2d 
AsJd3h3c2c Td8d5s3h2d Jh6d6c5c2c 8s5d4d3d3c 
Qd8s8h4s2c Ts6c3h3c2h KhJh3s3h2h Tc9c7c2h2c 
Kc9s7c2d2c 8c6s6d3h2c Kd6h5s2h2c Js9c7c4h2c 
Kc6c4s2h2c 8h4c3s2h2c Ts8s4d2s2c Kh7s5d4s2s 
QsTd7s3s2c KdQh7s3h2c AsQh6h3c2h KdTc8s8d8c 
9h8c4h3s3h KsKhKdQc7d Kh6s5c2s2d Ts8c5s3s2h 
Qc7s5c3h2d 8c7d6h3c2s Kh9s4d3s2d 8c7s6c3d2h 
Js9c4s4d2s AhTd5d2s2d QcTh8s8h8c AhTs5c3d2c 
9h9d7d3d2d Js7s5h3d2c AhQd9d3d2d Qh7h4h3s2s 
6s6h6d4s4d Kh7h6h4c2h KdQs7h4h2h KdTs7c3h2c 
Qh7s7d4c3c KhQs7c3d3c Js7d4d3s2s Ts6s6d5s2s 
5s3s3c2h2d Jc5s4c3d3c Ac9s4h3c2c 9h8d6c3d2d 
Jd9h4d3s2c 9d9c4d3h2s AsTd6c3h2d Jd7h7c6c2s 
AdTc7c3c2c 9c8s7c4c2c Qs6s4h3c2d Tc7c5s5c2d 
Qh9h8h4d3h JsJhJcTh3c Jc7s5d3h2c Th7c5s4c2c 
AcTs5d3s2s Qs8h7h5h2h 9s5d4h3h3c KsJc3c2h2c 
Jd8h4d2s2c Td8s4h2s2c Jh5c4s4d3d Ac5d4d3d2s 
Js5h4h4c2d Kh8h6h5h2h Jd9c7c3s2h Tc8c4s4h2c 
Kc9d4s3h2c KhQd9c3c2c QcJc7h7d2c Kd7c6d2s2d 
KdQd6d3s2d Kd8s5d3c2d Qs7h5s3d2c KsJh6h3d2h 
KsKhKc8h7h Qc8h7c4c2d KsJc3h3c2c Jh8s7d4c2d 
Th8h5c3s2h QdJc7h4s2s 8d5c4s3d2h Jd9s7s4c2s 
9h7s7c3d2s AdTs5s3c2s 7s7h5s5h5d 8c7d4d2s2d 
Ts8s4c2s2h Td8c7s3d2h Ah8c4s4c3d Ks6s3d3c2h 
Ad7c3h3c2h Jc8h4s4c3c Js7s5h4s2s Kd5s4s3c2h 
4c3s3d2h2d 9c5d4h4c3c Qc6s5h5d2d Jh9s6h3h2d 
9d8s7c3h2s KdTd4d2d2c 7d6h6d3d2s 4d3h3c2s2h 
7d6h4c3c2s Th7c5s3h2d 8h6d4c3d2d Ac7s5s4s2s 
Kh9c4d2d2c Qc9c8c3h3c Qh9d5c3d2d 7d6d4c3s2d 
6s5d3s3c2s KsQd6d3d2d Qc9h9c3c2s 9h4s4h3s2d 
9s8h4d4c3d QdTh6c3c2c AsTd7c3c2c AdJs8s3s2s 
Jd7d4h3d3c Th6s3s3h2h 9h8d4h3h3c KcTh6d3s2s 
Qc7h5d2s2c Th6c5h3s2d 8h5c4d3s2d 9s8c6h3c2c 
Jd7h3s2h2d Td8d4c3h2s As9c3d3c2d Kh6s5d2s2c 
8h7c4s4d2c KsTc8c3h2c 9h5s3s2s2h 9h8s7d3c2s 
Jh6s5d5c2s Ks9h5c4d2c 8s7c6d3h2s AhKc8s3s2s 
Qs7s5s5d2c Ad9c7h4h2s 9s7h6c3d2h Ks8s7s3d3c 
JsJdJcTd4s Qc9s4d4c2h Ks7h4h3c2c Qh8d7c4c3c 
Js5h5d4d2c AsJc8h3h2h Qd9c8c3s2h 7h5s5c3d2d 
Ks9s7s3d2h Jh9s6c3d2s Ad7s6h4s2s KhTs5d2d2c 
QhJh8h3h2c Jd9c6c4c2h Jh5d5c4c2s 7d6s4c3h2d 
Jd7d6s6d2c AcTd5s5d5c AhTc5c3d2c 9s9h7c3d2d 
KcQs7d3h2s Th4h3c2s2c Jd7d6s6c2h Kc8h8c4c3c 
6s5d3h3c2c Ad5s4c3h2h 9d9c7s3h2s KhTs3c2s2d 
AcQd8s3h2h Kh7d5h4h2h Jd9h7h3c2s Jd9h7d3c2d 
8h7d5s3h2h Jh5h4h4d2s Ks9c8c4h3d 9c7s7c3c2d 
Ks9c6d4h2d KcQs8h8d2d 8d6c4h3d2d 9d4s4c3d2c 
Ks9s6d2s2c Qc7s5h3d2c Ah9s3s3c2c 9s9h7d3c2c 
Ts8s4d3h2c 8h4s3s3d2d Kh9d5s4c2c 9h8s4d4c3h 
Th7d6h5h2h 8d6h6d3s2d KhQd8d3s3c Tc7d5h3s2c 
Js6d5s4s2s Th8h6h3s2c Qh8h7d3h2d 8d5s4s3s3c 
8s8c3s2h2d Jc7c4h3c2h Kc7s6s6h2s Kc8h7d4s3h 
Qs6c5d3h2d 7d6s4h3c2s Th7h6h4h2c Kh8d6d4d2c 
KsTsTdTc6d Ah8s5d2d2c KsTh4c2d2c Jd5s5d3h2c 
Qh4s3c2s2c Jh5d5c4d2s 9s7c6d3h2d KcTs4d3d2h 
Kc8c7c4d3c 8c4h3c2s2h 6c5s5d3c2c 9h9c7d3s2s 
9s9c3s3h2s Jc7s7h6h2d Kc9h4s4d2c As9s5s2s2h 
Qd6c4s4h3c Qc9d7d3s3h Th8h4s2h2d Js6d4s3h3c 
Jh5d4s4c3s As5d4h3c2c Ah6c4s4d3c Th6c4c3d3c 
Qd6s6c5h2h QsJc3h2h2d 8s4s4d3d2s Qs6h5c3d2c 
Qd9s8h3c2s Th6h5d5c2h 5s5h4s3d2c Jh8s7d4s2s 
8d5s5d3h2c 7c5c4c2s2d Th9h3h2d2c 8h7c5d3h2h 
9c8s4h4d2c Qs8h6s4s2s 8h7c4s2h2d Qh9s6d4c2d 
TsTd5c3h2h Qh7d6h5h2h Kh9s8c3s3d 9s5h4c3h3d 
8d4h3c2h2c 7h5h4h4c2h Qh9s5h4h2h Qs8h7h6h2h 
KhTd8h8d8c Js6h4s4c3s Qd8s6s4s2s 9h9c4s3c2d 
Th4d3s2h2d Jd6h3d2h2c Jd8s7s3s3h Qd8d7c4h2d 
Qh7s7c2s2c Jd9s9d9c8c As7c5c2h2d Kc8h7d3d2h 
Qh8d5c3h2h Jh9h8h4h3h 8c7h4s4d2d KsTh6h2d2c 
Kd9c7d3d2h 9s8d5d3d2d Qs9s6h4s2s Jh6s4h4d3h 
Qh8d7s4s3s Qc9s5h3s2d 8c4s3h3c2s 7s4h3s3c2h 
9d7h6d3s2d Kc8c7c4c3h Qh7h5s5d2c KsQd8c3h2d 
Ac6h5s3d2h Qd8s6d3h2c Td8c6h3c2s Kd9c8h4h3s 
8h4h3s2s2c KcJs6s3h2s Td5c4s4c3h 7d6s4h3s2s 
Kd8s7d2h2d Qd5c3h2h2c 8s8h4h3c2d KcTc8c3c2s 
Qh7d6d3s2s Ad8d6d4d3d Js8d7d3h3c Jh5s3s3c2c 
Qh9s6s4d2s Tc7d5h2s2c 9c7s6h3c2c Js9h6h4h2c 
Ts8s8c3s2s Qd5h5c3d2s Js6s5d3c2s Ks4c3d2d2c 
Ks9s6c3s2d As9s4c2s2h 9s5d4c3h3d ThTc5s3d2s 
Jd8s8d4d2d Kd9s8s4h4c Td8s5d3d2h Qh7s7d5s2s 
Ks7d4c3h2s AcTh4h3d2s Th6d5s3s2c KdTh8s3c2c 
8c6s4d3s2h KcQs7h3h3d Jc4d3c2h2d KcJcThTdTc 
Ac9s5d4h2d Tc7h7d4h2h Th4h4d2s2c Ks9s4h4d2c 
7s5d5c3h2d Td6h4s3d2c KcQc7c3d2h Qs8d7h4c3d 
Tc6s6h4h2h Ah7c6d4c2c 9h7h6c3d2h Kc9s8h4h4d 
Td6s6d5d2d KdQd8s4d2d 8s7s5s3h2d Ac9d8h3s2d 
Qd9c7s7h2h Js8s5h3s2c Th6h5c3d2h Ks8c7c4h3c 
Ts5h4h4d3c Kd9c6c4c2h QdTs7d3d2c Ah9d5s4s2c 
KdTd6d3c2d Ad9s8s3h2s QsTd6d2h2d Qc5h5c3s2c 
AsTc7h3d2d Td8s4d2d2c 7c6h4s3h2h Th8d4c2s2d 
TsTc6h3h2h Ah8s5c2s2d Ks9d9c4h3h Kc7s7d4d2h 
Jd7c4d3d2c Kd6d4c2h2d 7s4h3s2h2c KsTh4h3h2c 
Qc9h7s2d2c Qh8s6d3d3c QcTd3h3d2d TsTc5h3s2s 
Qd7s6d4h2d 9h6c4s4h2d Jd7d6h6d2s KcJs7c2h2c 
Td4c3s3d2c Ah6s6h3h2h Ad9s8h3c2s 9d8d4d3s3c 
Ah5d4s4h4d Jd8s6d2h2c 9s5c4d3h3c Ah7d5d2s2d 
6h5d3s3h2h QsJd7h7c2d Th5h3s3d2s 8h5h4c3h2d 
Jh5c4d3s3c Kc7h6c2s2c Jh7c6c3d2d Js8c6d2h2c 
Jh6h3s3d2d QsJh7c4d2c Jd8h7h4c2h Td8d5h3c2d 
Ad6s4h4c3s QsJc8h3d2d TsTc4d3h2c Ks8d5d3h3c 
Th8h4d2h2c Jh7c5s4s2s Ad8s5s5h5d Ks9s6s4s3s 
KdQh7c2s2h Tc6s4h3c2d 6c5h3c2s2c AdQc9h3h2h 
Jc6c5s5h2c Kh8d7d4d3s QsQhQdJc9d 8s4s3h3c2h 
8d4c3h3c2h Qd7s4s4h2h 7s5d4s2s2h Th5h4s4d3h 
7d4s3h2h2d 9d8h7c3s2h Jc9c8c4c3c AcTd6s3h2d 
KsTs6s3h2s Qd8c7c4h2s KdJs7d2d2c QsQhQc9d8s 
9s6s4s4c2d Qc9h5d3s2h 8c7d5c3c2h ThTc5d3c2c 
Kd8s5h3h3c AdJs6h3s2c KhKdKcTs4h 9s5s4h4c3s 
Qd9h8h4h3c Kd6d3s3h2c Ad9h8h4h2s Th5s3s2h2c 
7s7h3h2d2c JdJc5h5d5c 8h7h5c3h2d Qh9s9h3h2d 
Ah7d6s6d2d KdTc7s3s2h Js9h7c4h2d QcJh7d4s2s 
Qc7c6d5c2c Qs9s6c2s2d Kd9h8c4s3s Kh9d5d5c2s 
8s7h6h3c2d KcTd8h3d2d 6c5c3d3c2h KdTd6d3h2d 
Qs7h7d5d2d Ad9d4d3h2c As7h6d4d2d Qh5h4s4d2h 
9h9d3d2s2d Kd9s4c3c2s Ad8d5d3d2h Jd6c4d3s3h 
8d4c3d3c2s Qc9h9d3s2h 8s5c4h3d2s As8c6h2d2c 
QhTh7s3h2c Qh9s8c4d2d 7d4s3c2d2c KdTc8d3d2d 
Qs9d8c2h2c Ac9h4c3c2d Jc7h4c3s3c Qd9h8s3c2h 
Ts4h3s3c2h Th8c6h3h2s 8c5c4d3c2s 8s4h3s3h2d 
Qd8c7s4h3c Qs7d6d3h2h As9s5s3h2s Td6d4d3s3c 
KdTc4s3h2h KcJc7s2d2c JsJh8c3c2c Kc7d7c3s2h 
KsTd4d3c2d 6d5c3c2h2c Ks8h6c4h2h 9c7s6s4s2s 
As8h7h4h2h Qc8s8h4d3s Ts8h8d3c2c Js9h7d2h2c 
Kc7s5s5d2h Td7c3s2s2c Ac8d6h4d2d Kc9c5c2h2d 
Ad9s8c3s2s Qc8d5c3h2c Jc9s4h4c2c KhQc7h3h2d 
Ad9c5h4s2c 8d6s4c3h2d Td5d3d3c2c Th8c4h2s2h 
Td5c4d3s2h AsTc5c3c2h Js4s4h2s2c KsQs7c3s2h 
Kh8c6s6d2c Qh9h4s4h3c AsJs7s3h2s 8h6d4s3c2h 
Td8c4d2s2d Td7c5h3d2s Qc8s8h4c2c Kd9d8s3c2d 
KcQh7s2h2d 5d5c4c3s2h 9s5h5c4d2c Qh5h4s4c2h 
KcQd7h4s2s Qd5d4s4c2d Ks8h8c4d3c Qs9d7d3h3d 
7s6d6c3h2s Tc7h3h3d2d TsTh6s3c2s Qh7c5c3s3c 
9d5s5h4c2s Th7c3d2d2c Tc9c3d2s2c Ks9c8s3s2d 
8d4s4d3c2c AsTh6d2h2c Kc9c6s3c2h Jd8d5c3d2h 
Tc6d3s3d2s Ts9d4d2d2c Qh6h5h2s2d Th7s3s3d2d 
Td7c4h4d2s Qd7h6h6c2s As9c4d3c2d 8h6s4s3s2c 
Qc7d6d3s3d QcJc8c2h2c KhJsJhJd5d As8d6d4d3d 
Jd7s5c4s2s 8s4h3s3c2c 9d8c4s4h3h TsTh4c3d2h 
Js7d5s3h2c Qd8s7c4h3c 4h4c3d2s2c AcQs9h3h2h 
Qs8h6s3d2c Jc5h3h3d2d Ks8h5d3h3c Jd5c3d3c2d 
Qs8d6c3h2s Ts8s4d3c2h 9c7c6s4c2c 7h7c3d2s2h 
As6s3s2h2c 6c5s3c2h2d Ts5c3d3c2d Jc7s6h6d2c 
AsQc8h3h2d 8h7h4s4h3h Kd4d3s2h2c Th7d3s3d2s 
KsKhKdJd6c 7h6c4d3s2h 6s5d3s2s2h Ks9h6s2s2c 
Ah7c6s6c2c Qd5d4h2d2c KhTc7s3d2s Kh8s7h2h2c 
Ts6h5s2d2c AcTd4h3s2d Ad9h5s4c2h As9s9h9c5h 
Qh9c5s3c2d Kd9d7s3d2h Jc7h5d4d2d JsTd8s8h8d 
KsQs7d3s2h Tc8c5h3d2c Tc9c3h2s2c Kd9c6c4h2c 
9c6c4h4d3c As7h3h3d2d Ah5s4d3c2d KcJs7c3h2c 
Jd9s6d2h2d Ad8c4s4c3h Js5s5c3h2d Kh9d8s4s3c 
Ah9s4d3s3c Ac6d5h3h2s QdTh7d3s2d Kh9h6h4h2c 
Ah9d9c4s2c 8s7d6c3h2s Jc6h3h2d2c Qd5s4d4c2d 
Tc9c3h3c2d KsKdKcJd5h 5h3s3h2d2c Qc6h6c3d2s 
Js8s6h4s2s Ks8c4h4d2s Jc8c5h3c2s Tc6s4s4h3s 
9d7c6h3s2s Tc5d4c3h2s Qc8s8d4d2h Kh9h8c3h2s 
Td9d7d3d2c 9s8h6d3h2h Kd6h5s2s2c Kd8c7c4c3h 
7c4d4c3d2c AhJd6c4c2c Kd5h3s3d2d Ts7s5s5c2h 
KsKdKc8h6s Kh8s5s3s3d KsQh7d4d2d Qs7c5h3d2s 
AcQd6s3h2s Jh5s4d2h2c Tc8d4s4d2d Jh6d3d2h2c 
8s4c3s2d2c 8s4c3h2s2c Qh8c5h3s2h AhJc4d3s2s 
Qd6s5s5h2s AdQsQhQc8s Ts7s7c5s2s 6d5s3d2h2d 
AdKh9s3s2s QsJc6h3d2d KsKhKdQc6d Kh7h4c2s2d 
Kd7d6d3h3d QdJs7d4d2d Qs8h6d4d2d Qh9h6h2s2d 
9d9c3s3h2d Jd6d4d4c3s AsJs6s6d2s Js6h6d4d2c 
Td8s4s4h2s Jc8s5h3d2d Ts8s6s3d2c Qc8d7s3s2d 
TsTd7c3d2d Js5d4c3h3d 8d7d6s3h2d Td4h3s2s2d 
Th7d5c4c2c QhJh7s3d2c Kd9h4c3s2d Ad9h3s3d2d 
Jd6d5d2s2h Jc7s5c3h2d Jh7s7h3h2s Kd8s5s3h3c 
9h5d3h2h2d QdJsJdJc3c 9c8s7c3h2c 8d7h4s2d2c 
KhKdKc8s6d KcQd7s4h2h QhJc6d3s2d KsTc6c2h2c 
KcQd8c3h2c 8d6d6c3d2h Th8c5s3c2d QdJh8c3h2h 
Kc6d5h2s2h As9d5d4d3d Qs8h3h2s2h Js6d5c3d2h 
9c8c4d4c3h Td6h6c4c2c Ac8c5c3c2h KcTs3h2s2d 
Qd9h5c2s2c As9s5s3s2d Jh9d6h3c2h 9h7h5h4d2h 
9s9c8c3c2c Qd7s6s3s3c Jc7h6h3h3d Ts9d5s3s2s 
8c5c4c2h2d Ts8s7d3h2c Ts6h5d3c2c Ks9s7h3d2s 
Ac5h4s4h4c Js4d3d3c2c Ah9h4h3s3h Qs9s8s7s3s 
QhJd8c3s2s Ks6d5c2h2c 6c3s3d2s2h Jc7h6h3s3h 
Ts9h4h3h2c Jh8h5c3h2d 8h8d4s3c2h Js8h7d2h2c 
Kc9c8d4c3c QhTc7s3c2d 8s7s6d3h2s Js4h4c2h2d 
7s4s4d3d2s AsTd5h3h2c Jd5h5c4c2s Kc7c6c3h3c 
Jc8c5c4c3c Ts6c5h3h2d 8d4s3s3c2c Ah8d4h3h2c 
QdJd7d4s2d AhQc9s3s2s Th9h5h3h2c Qd9h8h4c3h 
Qc6d5c2h2c Tc9c7c3s2c KcQc8d3s3c Ts9d6s3s2s 
Kh8c5s4s2s Jh7c5h3d2s 9c8d7c4c2c 8s7s5s3h2s 
Td5s4s4c3h Kh8d6c4d2d 9d8d7s3d2h Js9h6d4h2h 
Kd9d3c2d2c Js8s3s3d2d Ac8s5d2h2d JsJd4c3h2h 
Ah9d8c3c2s QhJd6s2s2c Jd5h4d3s3d KcQcJc7c2c 
Kc9c3s2s2c KhTd4s2s2c As9d5h5c2h Qc7s6s4h2d 
Td8d8c3d2d 8d6s4h3d2c KhQd8c2s2d Qd8h7h6h2h 
Js8s7s4d2s 5d3h3c2s2h 9c6s6c4c2c Kc6h3h3d2d 
Ac9s4d3d2s Jh4d4c2s2d Qd6d5d2s2c Jh9d6c4d2d 
Jh6d4s4d3d 9s5s4c3h2d Tc6h5d3h2s Kd9c8c4s4h 
Qd7c6c3s2s Th9c3h2s2d Kd7s5c4s2s 9c7c6c3h2s 
Jd6s6c4s2h QsTc7s3d2s KcQc7s3c2d Kc9c8c4d3c 
