KhQc9h7h4d 
QcJdJc6c2h Ks4s4h3d3c QsTh6c4s3s Ts9d7d5d3h 
Jh6d5c4d4c Th8d6s5s4s QcTc8c6c4c KdJd9s8d3h 
9d9c8s6h3d AhTs8d8c3c Td6s6d4c3c AdQsJh3h2h 
TsTd9h4s3s AhQc6c4s4d Ac8d6h6d5s Qc8h6h6c2h 
AhQd8d5d3s 9h8s8d5c4s KsQh7d5h3h Ad8h7h6c4h 
KhJd8d6d6c 8d7s5d4h4c 8d7d6s6h4c KsJhJc3d2c 
AsAhAd9c4c KhJd7s6d2s QcJc9c5s2d Qc9d8s7s5s 
JhTc8s4s3d AhTc8s8c3c Ad8d7c4d3s Td9s9c5h3s 
AcKsKhKd5s Kc5s4s2d2c Jh9s7d6h2d AcQc8c5c3d 
9c7d6c5c2d KhTsTc4h2d Ad5c4s4h2d 9d8h8c5c4c 
7c6d4h3h3c Qc8h7h5c2c QhJs7s7c2h KdTs8h8c4h 
KcTd8s8h4h AcTc8h5c3c KhTsTd5d3d KhTc8d6h3h 
QsTd7h4s4c Ts8s6d4s2d Kc9s9d7s2d JcTc9d4c2h 
9s6d5s4h2h AdJd7h3d2h AhTd7c4d3s QsJc9h7d3c 
QhJc5c4c3s KhQs9c7d3s JsJc8c5h3c Js9h6h4s3s 
AdKsKhKc5s Qh9s8s4h3s JhJc8d5s2h KcQd7s5s3h 
Ad8c5d4d3s Ah9h7h5h5d QcJd7h5d3s Kh9c6h4s2c 
Ts9s7h5s3c 7d6c5h4s4c AhKhTh6h2c KhJh9h4d3c 
JsTh8d4h3h KhJh8c5h4h 9s8c5d5c2d QhJs9c8h3h 
Ks9h8c6s4s Js7s7d4d3d Qh9d8h4d2s QdQc9h7h3h 
8d8c6d5s3d 8c7s5s5d4h JhTh6d4s3h JsJc9h8d2d 
KcTs9d8h4h 7h7d6s4d2s Qd8d5h5c2c Qd8c6d4c3d 
Td8c5d4d2c As7d7c4h2s QdJdTd2s2d JhTd7c4d3d 
Ah7c3h3c2d Kc8s8c5d5c 9c8s7d4s3c 9s8h6s4h3h 
KsTh7s3c2c KcTh9s6h2d Th8d7h5s5c QhJc7s7d4h 
9s8d6d6c5d AdKh4d3d2c QhTc5d5c2d AsQcJd3d2d 
Qs9c6c5h3d 8s8d5h5c3c AdQd9d7d3h 7d4s4c3s3c 
Jd6s6d3s3c 9h8d6h4d3d AsQd9h7d3d Jd9c5s4s2d 
Js7c6d4d4c QhQcJd6s2s KhQcTs8d2s AcJs6c5d2c 
AsQsTs6h2s QhTd6c4s3d 8h7h5h4c2c 9s7s7c6h2h 
KhJc8c6s6c KhJsJd5s2s Qd8s5d4s2s Td9h8d5s4d 
Ah7s7h5c2h 8s7c6s4c2s AcJc7s3d3c Ad9s7d3h3d 
QdTs9h6s2s KhQc9h5d2s Ks8s8d5s5h JhTs9d3c2h 
Qd9s8c7s3c AsJs9d2s2c Tc8h8d7s4d Qh8d5s5d2h 
Tc9c6s6d4h QsTd8s6h2s KsJsTs4s2c JsTd9d4d2h 
Jh8h7s6c4h Kd9c8d4h4c Ad9d5s4s2d KcQd9c8c5c 
Th7s5c3s3h 6c5s5c4s3c Qc9s6s5h3d 9s8d5d4s2c 
QsTc5h5d4h AcJs9h5d3d KdQd8d7c4h Ac9s9c3d3c 
QhJs7c6c2s KcTs6s5h3s AdQd9d6h3d Qh8s7h6c2c 
QsJc8d7h4d QhQdTc3s2s AcQs8h5d2s KsQc9s9h2d 
AsQc8c5h3c As6s4d4c3h QhTs9d4c3c JsJc8d7c3h 
KsTd6d5c3d Kc7s7h6d5s Js8c7h6d4c 9s6s6d4c3c 
JhJcTs6c2c QcTc7s4s2s Ac9d8s3s3d JcTs5d4d3d 
AcJd6d5s5h KsJh8h5h4h Js7d7c5h5d 9c7s7d5d4d 
Ts9s8h7d2c KcTd9s8h3s QsJsJh6s2d 9d8s5s5h2d 
Th8h6h5c4h AsTc7c5d3c KhTd7d6d3c Kc9d8c4h4d 
JcTs9c5h2c KdJsJh8c3s As9c6s6h2d Qs9s8h4h4c 
Kc9s8s8h3h KdQh6s5c2h QdTc9s5h5c Qd9s5s5h3h 
KhQsJd7c3d Js8s5h4s2h Js6c5h4h4c KcJh4c2h2c 
KhTc7d3d3c Jd9c6h4h3c QcJh9h8d4h AhTs7s5c3s 
KsTh9h8c4h QhTh9h5s3h QsJh9h8c4h Th8h6h5d4h 
Kh8h5s4s3h Ad9c8d6h2d Jd9d8h7s3c Kh9s8h4s4c 
QhQc6s4c2d As7d3s3d2c Kc9d7s4s2c KdJc7c2s2d 
Th9h6h6d2d JsTd7h6c3c AcQs8s5d3s QhQcJc8c3c 
Kd9c7s4c2d Ts9h7h2s2d AhTs7h4d2h Qh9d6d5c2c 
Qc7h5h4s3s KdJsJd8h2d Qh7d6c3h3d AsTd9h3s2s 
Js9h9c4c2h 8h7s6h6c4h Ac9h4s3c2s 9d8c5d4h3c 
Ks9s9d4d2c Js9h7s4s3h Jh7c6h5s2c JcTc9c6h2d 
QhTd8s8h3c KdJs9c8d3d AsQs6c3h2d AcJs8d5s2h 
QdTh6c4s3h QdJd8h8d5d Td8d8c4d2c Ks9s8c7h3d 
Qc9c7s5s2s QsQhTs3s2s Jd8s7s6s5s KsTh9h5d3h 
KsJdJc8h3c Qc7d6d5h4s Jd8d7h7c5d AdTs5h4s2h 
QsTs8d6c2s KcQh8c7d4c Ks7d4c3s3c 8d8c6h5s3h 
QhJc6s5h2d Qs8c7h6h4d Js9d7d5d4h QcTs6h2h2c 
AdJc7h7c2h KcTs9d3c2h KhJd9s5s3c KdQcJs3h2s 
Th7c6c5c4s Ks9s9h4h2c 9s8h6h6c5h QhJs9d7d4c 
AhKsKdKc5s Qc9s8d8c5c Ks9h9c7c2h QhJc9h7d4h 
Jh9c8h5s3d Tc8d8c4c2d KcQhTs7d2h Qc9h6h4c2s 
JdTc8d4d3s Qh9h6s6c2s 9d8s6d5d3h Qs9s7c6s4h 
JdJc5s3s2d QdTsTd6d2h Td7s5c3s3d 7s6h5c4h4d 
Qc8d6s5s2d KdQd4s4d2s Qd9d9c8s2h 9s7h7d5d4d 
Ad7c3d3c2s Ks8d6s4s3d Qs8s7d5s4h KdQh9s6c3s 
Ks9c5s4h2h KcQh9c6c4c KcQd8s4s4d KhQdJs6s2c 
KcQs8c7d4c 9d7s7h6h4c Qh8s6d5c4s KsJsJc8h2s 
9c8d7s4c3d QcJs9h7c3c AsJh6c5c4d 6s6c4c2s2h 
Kd7h5s5c4d Jc8s7d4d3c Kd9h8c5s3d JdTs9d5h2d 
KcQcJh9c2c QhTd6c2h2c AhQhTh7h3h Ts8d7d3s3h 
AsKs6s5d2s Ad8d4c3s2s AhQs7c5d3d Ts8h5h5d3s 
QdJs8d5d5c Jd7h6d5c2h Ts8h7c4s2c Th8s7h4c2c 
QcTc4d3d2h AhTs9s5s3c AdJd7c3s3d Jc8s6d4s4d 
Qh5c4s4c3h Qc8c7h6s2h Kc9h6c5c3s Qs8h6c4s2c 
Th9d9c8d2s KsJc7h5d2s Ks5d4s4d2d QhJh9h5s2c 
KcQh9h5h3d Qs6s6d5d2d AsQc8h5c3c QhTh9h4d2c 
Th6h6c4d3d JhTd7d6d3c Jd9d8d6s6h AcKh7h4d2s 
8s8d5s5c2h Ks9c8d5s3h Kd8s7s6c3c Ad9s4c3d2c 
QcTc8d7c4c QdTs8s7c2h 9c8s6d4d2c KcQcTc7s3c 
KdQc6d4h3d Ah8s3d2h2d 7d5d5c4s4d QcJh8d5s5d 
Ks9s6c5s5d KdTs9c6s2h JsJc9d7d3d AcQc6s6h3c 
ThTc7c6c3d Td9s8c3d2c Ks9c8c3h2s Th9d7s5h3h 
8s7h5h4h2s KdJd9d4h3s KcQh7c6d3c QsTs7s5h4s 
Qc9d6h4d2c QsJs7h6h2h Jd8s5d3s3c Qd9s5h5d2s 
AsTd3s3d2s QhJhJc6h2s AdQc9h5s3h JhTs7c6d3d 
Jh9d8d6c4s AdQs8h6s3c JsTd9c2h2c Tc7d6d5d4s 
KsQc9h6c3c TsTd4h2h2d Ac8d6d5h4d 9d6d5s3c2s 
9c8h7d4c3h 7h7c6d4h2d KsJd4s2s2d Jd9s7d6h3c 
Js9c8h5h4d KsTd7h3h3d 6s6c5h3h2c Ks9d8s6c4s 
QsQh8c5c3d KdTc7c4h2h As6h6d2s2c Js9c8h5d4h 
QcTd7s5c3c 9h8h7h6h5h KdQcJh6h2s Kh8s7d6h3c 
QcJd6h5c2s Qs9h7h5h2s Jc8s8c7h4d KsJd9c5c4c 
8d8c6d5h3d QsQdQcTs8d Ah8s5h4h3c AdKh5h2s2c 
Jd9s8s8c5s Tc6s5d5c3s JsJhTc6h2h Kc9d8h6c4c 
KhTs8c5c4c As9h7h3s2s 8d6s5s3c2d KdJc7s5h3h 
Jh9d6d4h3h KhTd6d5s3d Ts9h9c8c4d QhJh9h5d2c 
Ks5h4s2h2c QhQd7s6c3s Js8s8d4c3c Kc9c8h3s2h 
Qh9h7s7h6h Ts8c7s5h5d AdKh7h4c2s QsQh6c4h2d 
Kc9h8d5c3s JdTh9d6d2c QcTs8d5h5d AsJc8h5c2d 
8c7h6d4c2h QhJc9s6s3d JdTd9c4d2h 7c5d4c3s3d 
8h7h7c4d2d KcQs5d4h3d QhTh5c4h3s QcJs9d6d3h 
KdJc7h5s2d Jd4h4c3h3d 9d8s5s4d2h QdTh7h5c3s 
Jc9d5s4s2c QdJs5s5c3h KcJd9c8s2c 8h7c6d4h2c 
JsTc8h5h3h QdTsTh4h3h Kh7d7c5h4h Kd8h7s6s4c 
KcQsJd3h2d JsTd9d7d2c Ks8s5d5c2d Jd8s6c4d3c 
AcKhJd7d2d KcTc8c6s3h AdJs6h5h4c Jh9s7h6d3c 
Js9d8c5h5d QcJs9h6d3d KhQc8s6h2d QhTsTc8d3d 
Ts6d5d4s2h Tc7h7d6c5s Td7s6s5s4h Ah9c8h6h2d 
QsJs7c4d2c KdQhJs7c3s AcJd7c3s3c AhKs9d8d3d 
KdJc4d2d2c Td7d6c5s2c KhQdJc6c2s Jc8c7s6d4c 
Th8s7h4c2s Ts8h5c4h3c AdTs9s6s3h Ks7s5d5c2d 
KsTc9c6c3c AdKc8h4c2s Jc8h6s6h2c Kh8s8d4s3h 
JdTs9s7s2c 6h6c5d3d2h AsJc7h5d3h KsTd8c5c4c 
Td9h5c4d2h JhTs8c6s3s KcQh9s9c2d KcQc6d6c2d 
QdQc7s5h2d Qs8d5c3s3c 9h8s7d5s5c As8c6s3h3d 
9h9d6d4d4c KsTs9h5s5c QcTc9c7c3h Jc9s6h5d4d 
Kd9s8c3d3c 8s7d6s4d2d Td7h6h5h4s KdTc7s2s2d 
9s8h8c5d4c 8h7c6c2h2d 9d8s7c5s3h QcJd9s8h3s 
As9d8c3d3c Kd9c8d4s4c 9c6h5c4s2s JdTsTh4d2d 
Tc8d7s7c4h Ad9h8d6d2s Kh7s7c6d5c Kd9c5c4h3h 
Td9h8c3d2c Jc6s5s3d3c JsThTc3d2c QsJd8h6s3c 
Jh9c7h6d3s Qh7s5s3h3d 5d5c4d4c2c AsKc7s7d2s 
Th9s8d7d3c AcKcQs7c2c Qh8s5h5d2s QhQc9d7d3d 
KcJc9c5c3h Qd7s6c5c4h Ac9c7c5c3d Qd9d7h7d6d 
QsTc6h4d3c JcTc7s4c3d Kc7s7c6c4h Th8c6s5s4s 
Kh8h6h5c4h Ts9s7c5s3h AcKc9d9c4c Tc9s8h7c4c 
Td8h7d4s2h Qh9c8d4d3h AdJd9d5d4d Tc8c5s4c3s 
Ah8h8d6s3h AhTh5d2h2d Qs9s8c6d4s JcTs8d6s3s 
QdJh6s5d2c Jh9s6h5c3d AsJc6h6d5c KcTs8d6c3c 
ThTc7s5c3d AhTh4c2h2c KdThTc4d2s 9s7s7d5s3h 
Tc9h8c5s4c QhJd7s7d2h Tc8h7s7d5s 7d6s6d4s2c 
AdTdTc3h2d KdTh9s6h2c As7d5c3s2h Jh7h7c6h3c 
Jh9d6c4c3d AsTsThTd8d 8h6d5s3s2d Jd8s6s6h2d 
Td9c8s7d4d Qh8d5h5c2d KhQdTd4s4d KcTh8d6c3c 
Js9d7d6s2d KhJh6c4h2c Td8h7s3s3d Td9d7c5d2c 
9h8s8d5d4d QsJs9s5c2d Kh8c5h4c2h Kh9h8d7s3c 
QdJhTs6c2c Kc9h5c3h2s AcJs9s6h6d AdTs8s8h3s 
QcJc8s8c5c Kc8h7s7d6h Ah9s4s3h2d Th8h7d5h2d 
Kh9c8h5s3d KhJh9d8s2h AsKsJc6s2s Td9h9c5s4s 
KcJc9d8c3s 9s8h7s7h2h QdQc7h6s2c Kc7d6h6c3s 
Kh9d8h6s4h Kc9d8s5h3c QdQc7h5s2c 6s5c4s4c3h 
Qh9d5d4c3c Js7d6c5s2c As9d4d3s2h Qs7s6d5c3h 
Ks9h7s4h3s Jc9d8c6s4c Th8h7s7c4d KsKhKdTd4h 
Qd9d6s6c2s QcTd9h4d3d KcQc8c7d4s KhJs9h8d3h 
7s6h6c5c3d KcTh9h7s2d Td9h7c2h2d AcKd8s4d2h 
Qs8c7s4c3h Qc7h6d3h3c Kd8c7s7h6c Kc9h9c4h2d 
Ad5s5h4c2d AsKdJs3s2s Qc9h8h4c3h QcTc8s5d3c 
JsTc9c4c2h QhQd8h2s2c Jd9h7d6c3s 9d8s6s3s3d 
9c8d7h4d3c Kc7c6s5h5c Jc9s9h4s2h Ac9h9c3d3c 
Jh9s7c5d3s AdTc7s4c2s Kd9c7h4c2d Jh8c7c6s6d 
Tc8s5c4c2s Kc8d6h5s2c 5h5c4h4c2h Jc9s8d7d4h 
JcTc6d4h3c QsJd5d5c3h Qd9d6s6h2s Ad9s9d3d2s 
Th8c5h5d2d QdJs6c5d2h QcJh7h4h2c KhJsTh4h2h 
JhTh7d4h3c QcTd7s7d4d QcTh9s6h2h Ad9s9h6c2d 
Jh9h8s8c5h Qh9h7d4d4c Qc8d8c7d2d Js8s8d4h3h 
Qs8h6d5c4h Ah7s7h5d2h KhJd5s3h3c Qh9d7s7d5c 
JhTh7c4h3s JhJc8s6c3d QcJsTh6s2s Tc9d6d5s3h 
8s7h6s5d3s Jc9d5c4c2d Ac9h8d3h3d Qs9d7h7d6d 
Kh5c4c2h2d QhTh8c2h2c KcTc6s2s2d AdThTc6c3s 
JsJh8c6s3d Qh9d7d7c3c JhTc9c7c2d AcQh6h6d2d 
Tc6c5h5d3d AdQs9h7s3s Jd8d8c7d3c AcTs6h5d4d 
Td9d6s6d2s KsQsTs3d2h Jh8h8d4d3h Kc9s8c2s2d 
Qh8h7h6d5h Ac7s6s6h5d Ts9c6d5h5c Kc7h7d5s3c 
Qc9d9c4d3c Kc8d5s5c4h JcTh8s6h3h TsTd7c5d2c 
Qd7s6h6c5d Qh5s5d2s2h QsThTd4c2s Ad6s6h5h2s 
KcQh6c5c3c Qd4s4d3s3d Kc6c4d3d2h 9s9c6c4d4c 
KdJc5d4d3h JsTs7h4s3d Kh9d6h4s2s QsQh9d7d3d 
QsQd8d7d3c Qd6c5h5c2d 7s6d4s4c3d Ks9d5s3d2h 
Qc9s9h5c3d Th8h7c5h2c Ah6h3c2d2c Ah9d4c3h2c 
JcTs8h4c3c Jc7d6s6d3s QsJs6s5s3c As7d7c6d5d 
JsTc7c6c3h KhQc7d5d3s QsJd9c4d3h QhJd9d8c4d 
Kd8c7s7c6c QsJh8d5d5c AsQc5d3h3c As9s9c2s2h 
AhKsJc7d2d JdTs9h6d2d Tc8d6d4h2h KsQd5h4c3h 
Td8c7s7h5c QdTd4s3s2c AsQhJd3d2d KhTc9c6c3c 
KsJsTs4h2s KhQsJd8d2c AhQc8h8d2h Th8h7h7c5d 
Jh7d7c5s5c As5s5h4c3s Ks7h7d6c5d AdKc8h5s3h 
QsJd7h7d2s Jc8h5d3h3c AdJhTh4h2h JsTs7h4s3c 
Ah7s6s5c3d Ks8d5s4s3d Ac6h3h2s2c KcQcJs7d2h 
KsJs9c8h2s QhQdTd3d2d 9c8d5c4s3d Kc8c5s5h2h 
As7d6d5c3h KhTc7c2h2c KdQdTd9d3d QhTh8c5h5d 
Kd5h5d3h2c Ts9h8d6c2s KcQhTs4s4d 6h5s4s3d2h 
QdJd8s6d4d KcTc8d4s3h Ac9h7s4s3h JhTd6d5c3d 
Kh9s5h3s2c KdTd3s3c2c Ah7h5s2d2c KcTd7h3h3d 
QsTs9s8d2s KhQcTs6d2s JhTs8c4h3h AsQc7c4d2d 
AhTs7s5d3s QdTs8d4d4c Js9c8h5d5c QhQd7s6c2d 
Th9h8d7s2c Ad9s8d6c2d Jc8h8c7c5c Ks6s4h3h2d 
Qc9d7h5s3c Qc8h5d3d3c KcTd7d3d2c AsTh8d8c3d 
Th8c7d4h2d KsQc6h4s3s KdJh5c3s3d Js9d6c4c3d 
Td9h5c4d2c JhJd6h3s2d 8c7h6c5d3c Js9c8d7c4h 
Kc5d5c2d2c Jh8s6d4h3d QsJh9d9c3h Ac6h6d5d2h 
KdTh7h6s3h Js8d6h5d4d QhTh4d3d2c Kc9h8c5d3s 
QcTc5h4c3d KcTh9h8d4h Qd8c7s7h6s AdTs7h4d2d 
JhJc6h4d2d Js8d5d5c3c Js9h7d5h4h Qs8c6h4s2h 
Qh5s5h2s2c 9s6s6c4d3d Qd9s7s7c3c Th8c7s7d5s 
KcTc5s5h3d KcJdJc3c2s QhQc6d4h2s KhTh8h6s3d 
8h7c6h4h4d Tc9s5h4c2h QdTs9d7d3d JsTc7h4h3d 
QcTc8d6s2c JsJc7d4h4d KsTc5h3h3c Kd7h7d6d4c 
Th9h6s6d4c Qh6h5c4c2c Ks9c6s4d2c KsJs6c4h4d 
KcQdJs3h2s Kh8d7d6c3c JdJc6d4s2s JsJc8d5h2c 
Tc9s9d8s4h Qd8d7h5d4s Ah9d7h3h3c KdQs9d7d4c 
9s8d7c4s3d Ah7d3h3d2s Qh6d5s5d2h KdQh8d7s4d 
KhTh5s5c3d Kc9h8h4h2c Js9d8s6c4s Qh8c6c4c2h 
TdTc9d6h2s Tc9s8d7c4c QsTsTd6s2c KsTd9d5h3d 
Ks8c7c6d3d Ad9s7c4c3s 9h8s6c5d5c Kc5s5c3s2h 
Jc9d8c3d3c QsJh5d5c3s Qh5s5d4h3d Jd8c6d4s3s 
Td8c7h3h3d KhQsJc3d2c JsJd9c8h2h Kc8d5c4c3d 
QhQc8h5h2h AsJcTd6h2c Td8d6h4d2h KsQs8h6c2d 
QdJh8h5s5c AdJh9h9c3h KcQs9h9c2d JdTh5h4c2s 
Th7s7h5s2d Ac5d5c4s3c JsJh7c5d3c AhTc7s4c2s 
KhTs9s8c4s Ts8s8d3s3d Qh9h6c5h3d AcJh9c2s2c 
Kh9s6h4d2d AhQcJs3s2s QdJs6d2s2h AsTh9c5d3d 
AcKcJs6c2c JsTd9h4s2s KsQsJs9s2c QdTh6h4s3c 
Kd5s4d2s2c Jc7d6d4c3c TsTd8s6h3c 9s8d5s5h2h 
AhKc6h5h2h QdTh8c3h3c Qd5s4s4c3d Jh8h7d6s4h 
QcTd9c7c4c KcQdJh8s2h Jc8d5c3h3d QsJc9d8s3s 
Js9d6s4d3d 9h8s6s5d3c Qh9h7c6h4d 9h6c5h4s2c 
AhKc7d4d3s Ts8s7s7c5d KsQcJh8d2h KcQhJd4s2s 
QsTs9s7s3c Jc7d6s6c5h Th9c6s4s2h Jh9h6d3d3c 
JdJc7s6h3c Qd9c7h7c6c Jc7d6h4h4d Qd8h5s5d2h 
JhTsTh8h3h Th9h7c4c2s Qs7s7d6s3d KdTh7s2s2d 
Ac7h7d6d5d KcTs9s8s2d Td9d6d6c2c QhJs9d7c3s 
9h6h6d5c4s Th9c8s6s3d AsJd8d5c3d Qh7s5c3s3h 
Kd7s7c6h5s AsJc9d8d2d QsJs8h6s4s KhJs9d6d4c 
Jc8d6s5d4d Th8c7c6c5c Ac6d5c3c2d 6s5d4d3h2s 
KdTs7h3s3h Kd6d5s2s2c Qc8c7c6s5c QdTc7s7c4c 
8h8c6h6d2h KsTh6d3s2d AdQc6c4s4h 9s9h5h5c3d 
JsTc8d5d3d QhQd9s7s3s QcJd7h6c2h QhTd8c3d3c 
QsTs8h3s2h JdTsTc3h2s KdThTd5c2d KdTc6h4d3d 
AdQs9h5h4h Th6h6c4s3s KsJcTd5h2h Th7d6d5d4s 
QsTh9s7s4s AdTs7d6d2c AsTsTc3d2s Qc9s7s3h3c 
Js8h6h4h3s AhQc7d5s3s Qh9h7c5d3s QdQc8d2s2h 
JdTh8c4s3s 7c6d4s3s3c Ks6s5h2h2c Td9c6c4d2c 
AhThTc3s2h QdJc7d7c2h 8d7s6d6c4d KhQc9d6c3c 
8d7s6s2d2c QsTh7c4s4d QsTd3d3c2s Jd9h7s6d2s 
7d7c5s4d3d JhTs7d4s3s KsQdJc7h3c AhQdTc4s2s 
QsJh5h5c3d Qc9h8d4d3c KcJd4c2d2c 7c6s6d5d3h 
Td9s7c5d3d Qs8c7c5c2s KcJsJh6s3s AcKcTc6c2h 
9d9c7c4s4h Qd9d8d6h4c AhKsKdKc5d KsJs8c7d2h 
QcJcTc7s2h Qd6d5c4c2c Kh8c7s7c6c AcKsKhKd5d 
Ac5s5h4d2c AhTs9c4d4c AcJd6h6d5d Js9d8d4d3s 
QsJs6c4s2c KcQs8d4d3s TdTc8c6s3h Kc9s8d5c2h 
Qs6d5d5c2s KsQc9d4h3s Ad8d4d4c3c Td9d7c4h2h 
Js9d8h5d5c 9d8d8c3c2h 9s8h6c4h3c KcQc8s6h2d 
QsQh7d5c2s KcJh5h5d2d AsQd9d5h2c Ts9h9c8h2d 
Qc8h6c4h3c Jc9h7s4h3s QcJh5s5h3d 9h8s5h4d2s 
Kd8s7h6h6c Qc8h7c6d2d 8d8c6h5h2s JcTh5c3s3d 
Kh8c6h4h3c Qd9c8s8d5d KhQh9h8c5h Qc8s6d5d2s 
Jh8c7s4s3h AcTd9d5d4d KsQhJc8c2d Kh9d8s5c3h 
9h8s6s3s3h KcQs7c6d3c QsJh6h3s2h Kc9h9c4h2s 
KcQs9s5s3h Ad7s7d5h2d Jc9s8h5s5d KcTh7h4s2s 
Ah6h4s4d3c Qs9s6h6c2h KdTc8s8h4h QsTc7d7c4c 
QhQd9s8s3s 9c8d8c3d2s Jd9c8d5s3h TsTh9c8h2h 
QsTc5d5c2d AdQd6d6c3h KdQhJc8c2s JsTd8h4s3s 
JhTsTc4c2c AcQd8s8c2c Ah7d6d5s3c Kc9d8c5h3s 
Jc9c6h3s3h Ts9s9h2s2d KhTd9s8c2s Jd9s9c4c2s 
JhJd9s8c2s Kd7h7c5d3s Td8s7h3h3d KsQcJh7d3h 
Kc9s6c5c3d QcTh8h7d2s KsQc8c4d3d KsTh7h5c3d 
QsJc9c6c3h KcQs8c7h4c Qc9c8h5d3s Kc7c4s4h3h 
QdJd7h5d3c Jd9s8h5s5c Ad7d7c5s2d Js9h9d4d2h 
KdQd8s6c2h QdJh7c6c2h JhJd9s2s2c JcTh7d2d2c 
8d6h5h3s2d Qc9d6s6h5s AhKh6h5s2h Kd5h4d3s2s 
QcJs9h6h3d JhJc5s3c2s KdQhTh2s2c KdJc9s5s4s 
JcTc6s5d2h Jc9s8c5c4d Ts7h5d3s3d KsTd6c4d2c 
AcTh7d4c2c 9h8s5s5c2c KsQd9s9c2h QhQd8c6s3s 
Ts6s6h4d3d Qd8d8c6d4h 7s6c4h3s3h Th9d8h5c4h 
AsJh7c4c2h Th8c6h4h2c ThTc8d6s3c Qh9c6s4c2h 
QsTd7d5h3c AcKc8d3h3c Qs8c6d6c3d Qh9h7s6h4c 
JdTd7h3h2s Qd8h6d4h2h 9h8s6h5h3c Ks9s5d3d2c 
Th9d9c8d4s Ks9h7s4d2d Jc9h8c4s2s AsJh6d6c5d 
Qh7d5c3h3d AcTd6d5s4d KhTd5c3d3c AsTd8d4d4c 
QdTh8s5c2d QsTs8h7d2s QhJsTc6s2s Th9s8c6c3d 
QhJc6d5h2s Qs9c7d7c6c Ts9d7c2s2d Jd8d6c4h3c 
QcJs7s7c2d QcJcTc7h2d Qc8s7d6h4s 9d6d5h3s2h 
Qd8s6s6c3c JdTs7h6c3h Jc8c7s7d2s Qd9h5h4c3c 
KcQsTs4s4d Qh9c7c3h3d Kc5h4c3d2d AsJdTd5d2d 
Jh9c7d6s4s AcQs7d4d2s QhQc8d6s3s 9c8d6c5c3s 
Tc9c7c5d3h KdQd8d6h6d QhQc8c5c2c Kd9h7d4h3d 
JhJd5s3s2h Jc8h8c4d3d JsTh8d5c2d Tc9c7d5c3s 
Tc9s6d4d2c Tc8h6h4d2d Kd9c7c6c5c KsQc9c5c3d 
JhTs9h6h2c KdJd9c8s2d Qc7d6h5d4s Ah9s7s3h2h 
AcTs7c4h2c JsTs9d6s2c KhQd9c4s3h AdTd4s2s2d 
AdTd6s6h2c Kh9d8d2s2h JsTd9h2h2c Kc9c8s7h3d 
Kh8s5h4h3s Ts9c8h7s4s QdTs7s7c4s Ts9d9c8c2h 
Td9c8h5s4c AcQc9c6h3c Kd8h7s7c6h Jd9s8d6c4d 
QsTd9h6h2c Jc9c8s7c4d Th9s8c5d4s 9h6s5h4d2d 
Kc7h7c6c4s Kh9h5c3c2s Ts9c8h7h3d Ad9d9c2s2d 
As5s5d4s3h QdTc8s5s5h QhTc7d5h3h 8d7c6d6c2c 
Kc8d8c5s5c KcTc9h5c3c As9h7s3s3c JsThTd4s2s 
9s9h8s7d4c Qd8h7h5d2d JdTh9h4h2s JsTd9c3h2s 
Ts9h6d5h5c ThTd6h5h3c 7d7c6s4c2s Jd9h8h4h3d 
QsTc7s7c2s 9s8h5h5c2s KdQc7s6c3c 9d7h7c5h4h 
AhTs4d4c2h Jh8d7s6c4d KhQsTsThTd AcJc7h3s3c 
8h7s5s4s2h JhTd8s5s3s 9s9d8c6h3s KcQd5h4s3h 
Ts9s6c5s4h Kd9d9c4h2c KdQsJc4h2h Ac8h6s5s4d 
Td9d6s5d4h ThTc4s4c2s AdQd6h6d3s KdTh6c4d3d 
Kd8d5h5c2h Th8s7h7d4c JsTd8c7h3c Ts9c8c5h3d 
7c6s5d4s4h JsTs9s9h3s Ks9h5c3s2h Qh9c5s5c3s 
AcKd6h6c2c KcQhJd8d2s Jh9d6s5c4c KdJh9s6s4c 
KsQhTc8d2c KsQh7d6h3h QsJc8h5h5d AhJh7c3h2c 
Ah9h8h6h4s KdJhJc3s2h KsTd7d6d3h JdTs7s6s3h 
AsJh9c5d3d Kd8h5d4h2d JcTd7s2s2c KhJh9h9d4s 
KsQs9s8h5s Ah8h8c6s3h Jd7h7c5s5c KhJh9h4d3s 
Kd4d4c3s3h JhJc8h7d2s Js9c6s5d3h Jc9c8c6s6d 
Js9h9c7s4d 9h8c6d6c5c Ts7c6s6h4d QhJdTc6d2d 
9s8d7c6d4d QcTd8s5h2c JsTs8s3c2c Qc8d6h5s4h 
9h9d5c4c2d KsQs8d5c3h Kc9s5h3c2s JhTc8d4s3s 
Qs8s6s5d4s AdKc4h3d2d Jd9s7c6d2c Qh9c6c5s3d 
Jd9h8h4d3d Jh9c5d4d2h Kh9s7h4s2c JsTh7h6h3c 
AdJc5s4d2d JhTs9h6h2d AcJc3d2d2c AcJh9d8d2d 
KcJsJh8d3h QcThTc6c2s JdJc8h7d3s KsQc8d4d4c 
KsJh9c8s3s Ad9h9d3d2h Kd9c8h5d3s Jd9s9h7d4c 
Kd8d5c4d3c QsTs8h7c2s AcJc4s4h2d QsTc7h4s4d 
Th9d6d4s2s Jh9d7h5c3h QsTd7c5s3s Qd8s5s5c2d 
Ks9c8d5h3s AsThTc5c3c KhQd6c5s2d QhTc9s5d5c 
