AhKh8h5c3h 
KdQd7s5d3c 9c7s7h6s2c 8h6s5h3s3h 7h7c6c5h2h 
9s8d7d6c4d 8d8c6h5s3c Kd6h6c5s5h KsJd7s4s2d 
KhTd9c5s3d KdQd9c3h2h Jc9s8h8d5c AsKc9s2h2d 
Jc9c8c6s2s Ad9d7s5d4d Td9c7d5s4d JsTc5h2h2c 
Qs9c8h5s4d QhQd9d4d3s KhJc7d5h3h Th9d4c3h3d 
8h7h6h5c3s QsJs8s7d5s Jc8d6c5c2d 9s8d6c3s3d 
AhJh9h5h3c KdJc8d3h3c Ks7d6c4s2d AhTh8h3s3c 
KhTc9c7c3d 8s8c7d4s3d AcTs6d4c3c JhTc9h7h2d 
Ah6c5s2h2d QhQd9h8h2h QsTc8h2h2c Jc8h8c4h3d 
Tc9h9d7s3d Td8s6s3d3c 9c8s5c3s3d As8s8h5d2s 
QcTd5c3d2c Qd9h9c8h5s QsQcTd7d2h AhJh7h5s2c 
QcJcTc8c3h Th9s5s5h2c KsQh6h2s2h Ks9c5h4h2s 
Qc9d7s5s2c AsQs6d5c2s 6s5h4h4d3d Ac9h4h2s2c 
9c7s6d6c5h 8s7d7c3s3d AsKd9s8s3s 9c8s7h6d4h 
Jd9d8s5h3c AsKh8c7c3d QsJs9d5c2h 9d7s6c5s4s 
As9h8c4s2d AdTh7s6h2s TsTd5s5h2h KhTh7d7c3s 
AsQd9s7s2h Kd8c7c6c5h QhJcTd6c2s KhTh7h5s5c 
6d5h4h4c3c Jh8d7d7c6s 8d6h6c4h2c Jd7c6s4c3d 
8d7c6d6c3d KsJh9h5h4d KcQc9d9c5h JhTc7s4s4d 
QdJd9d8c2h 9c7s7h5d4s Jd9h7s6d2h AhTsTc4d3s 
Ah9s8c7d4d Jh8c6h5c2h KcTd6c4h4c Js8s7h5s4d 
KhTh7s5d2c Th8s6c4s3c AdKhTs4c2s Qd8d8c5c3d 
Jc8h8d5h2d AcTh8d5s3h QcTs9d7s4s AsKcJd8h2h 
Ts8s7s6s6d Kd6h6d4d3h JhTs9d3s3c JdTc5s2s2c 
Ac8h8d3s3c Kd8s8c6d5d AhTs8d5c3s Ad9s8c4d2h 
QhJc9s4h3d 7s6d6c5s4h Td9c8d7d4h KsQs9h3c2c 
Js9h8d8c5s AcQs7d4c3c Jd8s5s4c3c KhTd9c5d3s 
QsQc9c5c2d Td8s8h5c4h QdJc9s7c4h Jd6h5h5d3s 
AsQd7c4h2s Jd9h8h5s4c Ts9d8d7h4c JhTsTh5d2h 
Ac8s8h5s4d Th9s9c8h5h Tc9d9c5c4h KdTs9d4h2c 
KhTd9s6s3s QhTh8c3h3c KcJc7c6s4c AcKs7c4c2d 
Jd9d7h6s2s Qd9d9c7c2d AhQs9d9c4s 8d8c7d6c2d 
KcJhTd7h2s KhTc6c5c4c KdQs6h6d3c AsQd9c8h4h 
Th6s6d3h3d Td8c7h4c3h QcTd6c2h2d KhQh9h9d5s 
QhJh9s5d2c Qh9c7s7c4s KdQs8s5s4c KcQs8c2s2d 
KsJs9c3s2c KcJd8s5c2h 8h5s5d2s2h 9h7s6s6d5c 
Kd8h7s7h6c 9c7h7c5s4c KhQs9h8d3c As9c8d7h4h 
AdJs5c4c2s KsQc6h6c2h Jd8c6c5s4h 9c8h5c3s3h 
QdTc8c5c4c 9d8h6c4c3h QdJd5c2s2c AdKh5c4c3c 
Qs9h8d5c4s Kd7c5d4h2c Ts9c8s7d3h Kd7s7h4d4c 
Jh9c7c6s6d 8c7s7d5c2s Jc8d6d5h4s As6d4c3s3h 
Ad9s8d3h2c 7h7c5s5d3d KsJs8s8h6s KcTc8h5s5d 
Th9d8d3s2h QhJh8h7d5h Jd8s6d5d2s Qc8d8c7c3d 
8c7s7d4c3d Ad8d6d5h2c Ad8h6d2h2d QsJh7s4h2c 
9d8s7h6c4h Jd9d8d6h2h Jd7c5d5c3c QdTc5s5c4h 
AhKd7c6s3c Jh8s8h7c3c Ks7d6s6h2d QsJd9d6d4c 
Td9h8d7s3c AdKsTc5h2h Qc9c8s7s3c Jh7c5s4c3s 
Td9d8c5h4s KcQhQc9c3c QsJs8d7s4h ThTc7d5d4d 
Ac8s4h3c2h AdJc8d4d2s Kc7h6c5d3c Qs7h5s5c3c 
8h8c7d4d3c AcTh9d6s4s Qd8h6s4d2h Kc7d6c5h3c 
KhTs9s7s3d Jh9s8c7d4h Js7d6s6h3h AdKs9h8c4c 
AcJhJdJc9h Ac8h8c4s2d Qc9h7s7h4s Ah8s7d6s4c 
KhQc9d6d4s Ts9d4c3s3d AhKh8h5d3h Ks7h5h5c2s 
AhKcQs8s2s AhTs9d4h2h Ks8h8c6s5s KcTs9h9d4s 
As8c4d3c2s QcTs6d5s3s KhTs8h8c2d KsQhTh6h3h 
Ad8h8c5c4s 7c5d5c2s2d KhQh7h6d3c Qs7h6s6h3h 
KhJh8h8c6h Kd5d4h3h2c TdTc5h5c2h AsTc8d5h3c 
KsTc9d8d2h QhTh9h8d4h KdTd7h5c2s KcQh8h6d4h 
Qc7d6h5c4c 9c8c5s2s2h Kd9c8d6h3s KcTc8d8c4s 
QdJdTd9d4d AdQc7h4s2d AsTs8s3h3d QcTh8s6s3d 
Tc9c8h3h3c Jh9d7s7c5c 9s8d7c6h4c AsQs4d3s3h 
KcTs4s2h2c QdJd5c4s3d 9d7c6c5s5h AdQhTs4s2c 
JdTc9d7d2h AsKs8s7h3s Tc9d6s5h4d Qh7c6h5s2s 
9d9c6h4c2d Ts9h9c8d5s Qh9s8s4c3h Kd9d6s5h4d 
Tc9c8d3d3c KdTc4d3h2h Kh7c4s4h3s AhKh8c3s2d 
Jd8h7h5s4h QhQc9d7d4d AdQdTd7h2d 9s8d7h7d6d 
8c7h6d5c3s Kc9h8d3h3c Tc9d7h6s3s 8h8d4s4h3d 
QhTh8d3h3d Jc9s8s5h4d As8s8c2h2d Kh8d5d4h2d 
As7d4s3h2h KhQcTs5s5d JdTsTc8d2d KhTd9h4h3c 
9d7s7h5c4s 8h6s5h5c2s QcJd6d5h3d AcKc8c5c3s 
Js8s6c4s4c AcKs9h4c3c Qs8d7d6s2d Qh8c5h4s2c 
AhKsQh7h2h Jc9d7s5s2d AsTd8c7d2h AdKc9d4d3s 
AhTd9s3s2d Jc6s5s5c3h KdTs3d2s2h 9s9d6h4d2s 
QsTd9d8d3h QsQc7d4h4d Th9c7h5d4h Ks9d8h7c5c 
KcQsJd9h2h QcJc5s2s2d Js9s8h5c3d AdQs8h6h4h 
AhQd6c5c4c Jc8s8d7d3s AsKd9s5h2s Jh8h6s4s4h 
AdTc6h4c3h 6h5h5c4s4d JcTd6d4h3s AcTd9s6s3h 
AcKh5s5d3s Kd9h8d6s3c AsJs7d5c2s Js8h8c7h3c 
KdTd4h3h2c QhTs8s6c3d Kh8h7d6h2d JhTh4c3d2c 
Jc9h9d4c2d JsJc9h8c2c 8d7c6d3s3c Kc8s5c4s2s 
Ks8d7d6c4h AhQh6s4d3h As9s6h3h2h AcKs9s9d3s 
AdJh8d6s3d AsJh7c6c4d QdJd9c5h2s KsTh9h5d3c 
AsTs7d3d2s Qc8h8c7s2h KcJc9h3c2h Qc9s9c4s4c 
QcJd8s5c2h AdKd7d4d3h KhTd9h6h2c Qh6s5s5h2d 
Ac6s6c2s2c Kd5c4s3c2d 9s9c5s2s2c Jd7d7c5s5d 
KhQs6c3c2h KdTc9s6s3s Ad8h7d5s2d KcQsTc4d2c 
Ad8h7c6h4s QsTc8d6d3h JhJd5d3h2h 9d7s7d6h3c 
KcQc9h5s3c Th8c7d4c3d QsTd8c2d2c Jc8h7s7d5c 
AcKsJh3d2h Th6d5h5d4d QsQd9d4d3h AdKd8s4d2h 
Qd9c7d6s6d Ts7c6s5d4s QdTs9d6d2h Jd8h6h5c4s 
8c7d5c4s2s Tc9s9d4h4d Tc8c7c6h2h Kc9d8h6h3d 
Ah9s8h3c2d Ks8s8c7s3c JdTc9h7h2s QdTc8d4s3h 
8c7s7d5h4c Jc9c7s6c5c Jh8h6c5h3c QdJc6h3c2d 
QcTc9s6c2h 9h8d7s7h2d AcQs3d2h2c KcQcTh4d4c 
Qs9h7h6d6c KsJsJh4s2c KsTs8s8d4c Kc7c5h4d3s 
Qh7h6d6c5s Tc8h7s7c2s JsJc9c7c3d KdJd7s7h2h 
Qs9c7h7c4h QdTh6d2h2c Js9c7h6c2s Qc9d7c5d2h 
AcKh5h5d2h 8d7s7h6h2s QhJd6d3s2h KcQdJs8h4h 
7d5d5c2h2c 7d7c5s5h3h Tc9h7s7c5c KhTh7c6s2d 
Js9h8h7h5h AsTh9c4s2s AcQs9d7c2c Js8d5s4h2h 
KcTd7c6c3c AsTc7d7c2d Ks8c7c6d4h Kc9s5s5h2c 
9d8h7s7d2h JsTs6s5h3d Th8d7s7d2s Jd6c5s5d3s 
7s5s5c4h3c 9d8d6h6c2h Jh8s7s6h2c Td9s9c8h5d 
AsKs7d6h2s AhJc8h6s3h Jc8s5c4d3d 9s9h7d5h3c 
Qs8h6s4d2d AhJhJc6h2d QhTc8s6s3d KdQs8d4h2h 
JcTc9s7c3c Qs7s6d6c5h Qs7s6h6c5d 7h5h5d2d2c 
Qh8c7s6s5s 8d7h6d6c4s JcTs3s3h2c As7h6d6c5d 
8h7h7c5h4d QhJh6s6d2s 9d8d6s5h4d Tc9h6h5s4d 
AsQhJc3h2h JsTh6s6c2c AsKs7h3s3d KsTd7c6h3h 
Qh8h6s6c5d AhKd5c4c3c JdTh7s4c3h JdJcTh3d2d 
KhQsQh8h3c Jh7h5h4c3c QhQc9c4c3s QdJh9c5c3c 
8s8d7h4d3h AdQd8h8d4d 9c8s6c4d3s KdQdTs5h5d 
Qc9h7h4c3d 9d7h6c5h4h Jh9s7c6c2h Jh9c8h7s4d 
8d5h5c2d2c QsJc7s5h5d JsJd9s7s3h Kh7s5s5h2c 
QdJh6h5h3c Ah7h6d4h3c AhKh7d3h3c AdKc9d5s2d 
Jh8c7h4d3d KdJcTs5c2c As9c6s4h3d Ac8c6c5s2h 
QhJc6s4c2s 9c8s7h5d4s KhJc8h2s2c Td8h8c5s4h 
AdTh9d6d3d Ah8c4h3s2c KsJd8d2s2c QhQd8s7d2c 
JcTsTd8c2c Qh8h6d5d2h KhJs6h5h4h As7s6h4s3d 
QsJs5c4h3s Ac8s7s6s4h JhTh9h7h3s KcJs8s4h3h 
Kh5h4d3d2c Td8c7s4c3s AcTd9s6h4h QdTc9h8c3c 
8d7h7c4d3h KhJh9c3h2c KhQc5c4s3c KsJsTc6s3s 
Jc8d8c7s3s 9h7s6c5s4s Jd9h8h5c4s KsJcTh5c2c 
Qh8s7c5h2s 7h7d5h4c3s JcTsTh5h2h Th9d5h5d2c 
Ts6s6h5h3d AdQd6h4c3d JhTc7s5d3d Ah9s8h3s2h 
QcTs9s8d2s 8d7h7d4c3c Kd7c6s5h4h Qh9c7d6s6d 
KsQhJd7h3c Js9d7h5s3c AcKc5c4c2h Ks7h5s5h2d 
AhKd7c3h2s QdJd5s4h3d JsJh9h7h3c TsTc7c4s2d 
KdJs4h3s3h 9h9d4h4d3d AdJs7h6c4c Jd8c5d4s2s 
JcTc7d6h3c KsQs7s6h3c Ah9h7h7d6h KcTc7d7c2d 
AhThTc6d2h Qh7c6d5h4h Js9c5s5h2c AhTh6d4c3h 
AcKh9c8c3c QsTsTh7s4s Jd8c6s5c2s KdQs7d4c2c 
Ah7h6h4s3c KsQs6d3s3d Js8d6d5c4h Qh8c5d4c2h 
JdJc5h4d3s Qs7h5h5c3s AdJh8c3h3c 9d6s5h3s3h 
Ad7h6s6c5c JsTh3s3c2h KdQs4s4c2c QdJd4s4c2c 
Kh5s4c3s2h Jh8c7c5s4c AdJs8d4c3d QhJh6s6d2d 
As8h7s2s2h KsThTc5d3c AdQhTs7s2c TsTc7c6h2h 
As8h8c5c4d JsThTc4h2d KhJsJd7d3d Js9s9c4h2h 
QcTh8c4d3s AsTc9h3h2c Qc9h6c4c3h JdTs4c2d2c 
KhJs4s4h2h KsJdJc7d3d Qs7s5h5c3h Qh9d8d4c3h 
Td9c4s4d3c Ks9c5s4d2c KcQc8c6d2d As9d8s3s2d 
AsTc7h6c2h QdJs9h9c2d KhTs9d5c3s AhTd6h4h3c 
Kc6d5s5d3s QsTd7h6h2d Th9h6c5s3d AdJsJd6h2d 
Jc9d8s7h4c QhJh7d4h3d AhJd4c2s2h Kd5d4s3s2c 
Qd9c7s7c4s Ks9d8c6h5h AdJd7d5s2c Qs9d6s5s4c 
8s8d7d6s2d AdQc8d4d3s KhJs6c5h2d Jc9c8h3h3d 
Js9c8d7h4s Qh8h6d6c2c Tc8s8d5h5d Tc8d7d6d2c 
KdJd7d6s4d Kh8s8d6h5h QcJs6d6c4c Js8s5h4d2h 
Qs9d7s5d2h Kd9s8s6h3h 6c5s4s4h3h QhTd6s5d3d 
Ks8h7s4h2c Jh6d5h5c3c Ac9c8c7d4c AcQc6s4h3c 
KsJhJd6c2s TdTc7c6h2h KhTs9h4h3d AcTs9h5d3s 
Ad8s7h6h3s 8c6h6c2h2d Qd9d7d6h5d QdJs7s3d3c 
QsTs6h3c2h QdJh9s5s3s 9h7h7c5d4h QsTdTc7d3h 
QdJc6c5h3c Ad8c4h3d2h Ac9c8c5d2s AhTc9d5s5c 
9h9d7s5h3c KdTc8h3h2d AdKdTd4d2s Ah8s4h3d2s 
9c6d5d4d4c 8s7d5h2s2h Kc6s6d4c2s Td7c6d5h4d 
8h7h7d6c4s Ac9h8c6d3c QsJh7d6d2s Js8s8d4d3c 
KcJd7s5h3d AsJsTc3s2s KhQh9h7d2d 8h8d7d4h2c 
Jd6d5h4h3d Td9s8h7c4h QcJc8s7h4c KhJc8h5d2s 
Qc8h5d4c2h AdQd6s4h3d Kh6d5d2h2c Th9s4d3s3h 
Td6s6c3d3c JhJd5h3d2d AhQh9h8c3h AsKs8d4s2c 
KcTc6d3h2d Kh8h8d7h3d QsJs4c3d2d KdQc6s3s2d 
Ad8h8d7c2d AsKd9h6d3d KdJsTc8c3c QdJs4d3d2s 
KhQs9c6h3h Td9h8h7s4c QsTd9c4c3h QsTs9d4c2h 
Th9h4d3s3d Kh6s6d4h2d QhQd5c4c3c 7s6h6c5s4d 
Th9d4s4h3d 8c6s5d3s3d Ac9d8h7s4s KsTd9d7d3c 
Jh8h6s5h3s AcTh9s5s4s JsTs9h8s4s AcTd6h4c3c 
8s8h7c6h2c KsJh9d7s2c Ts8d6h5d4d Tc9c7h7d5s 
AdJc5h5c4s AcQc4d3s3c JcTs7h4h4d Jc9d5d4c2s 
Qd9c7h5d2c Tc6s6d5h5d QcTc6d3s2d Ac9h6c4s3d 
KcJsTh5s2s Jc9d7h5c3s Ad8h7s6h4c 9h9c6d4h2c 
Td9c7h7d5d AsTs5c4h3s Jh8d8c5d4s Tc7s6h3s3c 
Kd8s8d6c4d Ah9d8c6h3h Ts8d7d5d4c 8s5h5c2s2c 
QsTh8c6c3d QsTd9c7d4d Qh9c6h5h4s KcTh7d6s3s 
QhQd9h4h3c QdTd9c4h2s AsKs7h6d2s KcQh8c4d2d 
Ah7s6d6c5c AcKs9s8s4s Js9d8d4h2s Jd8c7c5s4c 
QdTd6s3h2s AcJsJh8s2s As9h4h2s2d QdTs9c5h3c 
KdQdTh6d2s JhTs5c2s2c QhQc9s4h2d KdTs9c5s3h 
9s9h8d5h4c KhTsTc5d3c Qc9c7c6d5c KsQhTc4d2h 
8d7s7c4s3c Js9d7c5s3h Kh7c6h5h3d Ac9d3d3c2h 
AcKsQd8h3h Ac8d4s3d2c Ks8c7s7h5s Tc9d6d5c2c 
Jh8c5h4d3d Qd9h8h4s3d Kd6h5d3h2h 9h7d6c5d4d 
Kc8s8h6c5c KsJh9h5c4h Tc9s9d8c5c Kd9c6c3h2d 
KsJhJd7d3d Tc9d5h4h2c Jd7c6s6d3s KhQd9s6h3h 
KdQcTs2h2c Jc9s9h4c2s KcTd9s9h3h Qc9s9h5c4d 
QhTd7h3h3d QdJh9s9c2d Jd8h7d4h4d KcQc7s5c3h 
Jh9d7d4s3s AcTd7d5s3h 6s6d5s4h4c KsQs9c4c2c 
Qd7c5h5d3h KsJsJc9s3s Ts9d8s7s4c AdTh8s7h2c 
AdQc7s7d3d AhQh6c5d2h AsTc9h5d5c Jh7d6c5d4s 
9d9c6d4s4h 9c7s6s6d5h 9s9c6c5c4c Qh9h9d4h4d 
Kc9s9c8c5h KhQh8s8h6h KsQhTs4d2s TsTh9d8d2c 
KdJd8s8d2s Ks8s8c7s2c Ah9s8d6h3h KhJc7d5s3c 
KdTs9c3c2s Ts9d7s5c2c KhTc4c2s2h QcTsTh5d3d 
Th9s9d6d4d QsQc7h5d3h AcTh9d4c2c As8d7s3d2d 
Jh9s8s7s5s 9d7c6s6d5d Th7s6h5c4h Kh6s6d5s5c 
Kd6s6d5h3c 7h6s5d4s3s 9h8s6h6c2s Ac9h8d7s4s 
QhJcTs6d2c KsQsTc5s5h Qh9s9c8s5d Jd9d8h3h3c 
KsQs9d5c2h KcQcTd6c2s QsJh5c4h3d JdTd6c5d3h 
9d8s7s7c6s Ah7d6s6c5c Jh8c5h4s2s JsTd3d3c2s 
As9c8s3h2d AdTs9h5h4h KcQc8d4d3d QcTh9s9d4s 
KdTs4d3c2c QdTd9h5d4d 9c8s5h3s3c KdTh8d7d3s 
QhJhTh6d2c 9h8c7c4h4c AcQc4s3h3c Ts9h8d7c4d 
AcJh7c3c2h Kh9d5c4c2h Kc9h8c6c5c Ac7s6s5d4s 
QsQc8d7s2h KdTd8h8d4c QdTh6c5h3h Qs7h6s6c5d 
8c7s7h6s2c AdQhQd7d2d QcTd8s2s2d Kh8s7h5h2s 
Ks7c5h5c2s Kc6s6h5s5d QhJc9d5d3d Qs9d8c5h4s 
9s9h8d7d5d AcKs8h3h2s QcJc4d3s2s KdJs9s4c2c 
QsTs9h6s2c Qh8s8c6d5s Qs7c5s4s3c KsTd5d2s2d 
AcTh9d5c2c Jd9h9c4d2h JsJc9h7d4h AhJs5s5c4d 
Jd9d5h4s2h AdKh9d8d3d KdJhJc5c2s Ts6h6d5d5c 
QsJd5s4s4h KcJc9d9c6c QsQdTh7d2d Kc8s8c6d4c 
AcKhJh6h2s QsQh8c2h2d Ad8c7d2d2c QsTh9s4s3c 
Js9c8c5h4d JhJcTd3h2h AsQs9c3d2h 8h7s5h4c2c 
9h8s6c4c3s AdJs4h2d2c Ad9s6d4c3h KsJd4s4d2s 
QhJd9c4h3s KhQh7c4s2s QsTc9s6s2h AdKh7d4s2d 
Ks9d8s6h3c 9d9c8s5d4h Ks7s5c4h3d Ts9h4d3s3h 
AsQc6h5h4h AcKs9h8d4d Jc9c8d5h3s AhQhQc7h2h 
JcTs6d6c2d 9d9c5h2h2c Tc8s5h4h3c QdQc7s5h3s 
Jd8c5d5c3d 9s8h6s6c5s QhTd7c6c2d Ks5h4c3h2s 
7s7d6h5h2d Td6h6c5h3d Kc8d5d4c2d Jd9s8h7c4d 
ThTc7c6s2s Ks7d5s4h2d As9d8s3h2c KhJd8d4s3s 
KhQdJs6c3c Ah8s8d7h3h KhTs7d6c3c KcQs9s7h4d 
QdJh7h3s3d Td9s7h6c3c AhTc5c3h2h Qs8c7s7h6s 
KsQsTd4s4c JsTc7h4h4d Ah6s3d2h2d 9s8s6d5c4s 
AsQsTs2s2h AdTsTh4c3h KsQdJc8h4h JhTsTd4h2c 
8s8h6d5c3s 8d8c7h6h2d AdQc9s8h4h Jh9h8c5s3d 
Th9s9c7d3c AhTsTd4c3s Qh9s8c7d5d Jd8d6h5d3h 
Qh7h5d5c3d Ad6h6c4d2s 9c7d6d5d3s Qd8h7s5s5h 
KdQh9d8s3c Th7h7d4h3d AcQd5s3s2d KhJc9c7s3d 
Ad8s7c6s4h Js9c6s5h5d QcJs5d4s3h AcKd8h4d3s 
KdQc9s6c4c KhTd9s8d3c QhJh7s6c2s 8s7h7c6c2s 
QhJh9c5s2d AhQc7s6c3d Ks9c7d6s4s Ad6h6d3s3d 
8s7c5s4d2d KhTs9d9c4c Jd9h6h4h3d Qc9d8h5s4c 
9h8d7d6c4d AdJc8d2s2h KsQs9s9h5d AcKc8c5c3h 
9h8c7c5c2h QcJc5h4s3c QhTh8d6h2s Qd8h8d5h2h 
Qs9h9d8d5c Td9d7h7c5s Kd9d9c6d4s Kd9c6d5d4h 
Td9d7c5c2c KhQd6s6d2s Th9h7d5d2d KhQc9d6c4c 
JcTs5s4s3h QcTd9d5d4d AsTd5d3s2s 9s8s7s7c6d 
8h6d6c2h2d JsTc6d5h3c 9s7c5d3d3c AhQh8s6c2h 
TsTd7s4d2h KcQc7d5c3s QsTd6s2h2d Ts9h5s5h2c 
Qd9c8c5h2h AsKh8c3h2c Qh9s6h5h4d Jc8s6h5s2h 
Ac8s4h3s2c AsKh9s8s3s QhJh7d4h4d Kh8d7h4d2c 
AsQsTs2s2c 8h7d6h4s2d QsQh8d7h2c QdJs6h5c3h 
AcQc9c8h3c Qd8d5s5c3s QhJs8c3h2s QcJd8c7c4s 
AhTs9d5c4c 8h5s5d2h2d Td9h8s4s2h AsKs8c4s2d 
Kc9c7c6s4h QhJh4c3d2d JdTd5c3d2c QhTc9s9d4s 
Qs9h7s5h2c Td9s9h7c4h 9h7d6h6c5s AcJd8h3h3d 
9s8c5s3d3c KdQcJs6h3h Kc9h9c6c4d Qs9c7c4s3d 
AcJd8c4s3c 9c8c5h2s2h As8h8d5h4c Qc9s8d7h5h 
JdTsTc4c2h 9s9d6h4s2d JsTh5d3h2d JdTh9s5h2h 
Jh9s5h4c2s QcJd7c4d2h AdQs8h7c3s QhJh8h4d3d 
Td8s8c5h4s QsTh9s4s3d AsJsJdJc9d 9h8d6c3h3d 
9c8d7h7c2d KsTs7h5s2h QsTd7d6h3c Qc6d5d5c2s 
KcTs9h8h2d KhQs8c7d4s QsJhJc3d2c Jd8h6s5s4c 
QhThTd7h3s Qd7s6d6c5h QsJs7c4s3c AdQsTs7c2s 
AsTh6s4s3d Qc6s5h4c2h QsJdJc3h2d KsJc9c4h2h 
AdTc9h5s5c KcTd6c4s4c KcTc9s4h3c AhKdQs8s2s 
Ac7h6h5d4h Kc9c6c4d3d AsQd9c7s2s JdTs7c4h3s 
AsJd5c2s2h As9d8s3d2s JdTc9h5s2c 8h7s7c5h2c 
JcTh8s4d3c QsJd6h4d2h JsTc8h4d3s AdKs9h6s3s 
Ts6d6c5d3s KcQc7h5s5c JdTc5s3c2s QsTs9s8c3s 
Kh6s6h4h3s QsQc7d5h3d QcTh7s6s2h Qs8s6d6c5h 
Td9d9c8h3s Th9s8c4c2s AcTs5s3c2c 8d7h5c4c2d 
Th9c8s7d4s KcTs6s6d4h QhTh4s4h3s Td7d6d5s4h 
KcQc9c7d2d Kd7h6h5d2d AcJc9c5d5c QdTc6d2h2c 
KcQc9c6s3d 8d6h6c2d2c JcTs7h6d3s Td7s5d5c3s 
Qd5h4h4d3s QcTs9h4h3d JdTsTd5h2d Kc8h7h6h5s 
Td9s9c4h4c Tc9d9c4s4h QhJdTd5d2d Kd9s8d6h3c 
Kc8c7h7d4s QsTc9s6s2d KsThTd5s2c TdTc7d4c2h 
KcJh9h4s2s JcThTd5d2d KhJdTs7c2s JsTd8c7d3h 
QdTh7c5c4c AdJc7s3s3c Jd8s8d4s3c Kd8s6s4d3d 
Jc8d8c6h4s Ac7d6c3d2d AdTs6d4d3c Jc9d9c4s2s 
Qc9h8h4d3c KsTs6h3h2d Qs7d5d4s3s KhJhJc4h2d 
AdJc5h2s2d Jc9h7s6h2c JcTdTc6s2h Ks5s5h4s3h 
Ts8c6c3s3h AsQs6h5c2s Qh6h5c3s3c KdQs6s2s2d 
Ad8s7c5d2d Qh9s8s5d2d Jc9s8d2s2c JdJc5c3d2d 
Qc8h8c7c3h Ac8s8h3d3c AdJd7d5s2h AhJdJc8c2c 
KdQd7d5s2s Qs6s5c4d2d Td8h7s7d2h Qs9d6s6d2d 
QdTc9s5h3s QdQc7d4s3h AcTs9d6h4h ThTd9s8s5s 
JcTh7d6h2d JhJd9h7h3s 8s7s7h5s4d AdQs3c2h2d 
AdKc9d8d3d 8s8h7d4h3d Tc7d5d4d3c KhJsTd7c2d 
KhTc9s9d4d KcQsTh5h5d QcTs5c4h4d Jd8c6s5s4h 
QcJc5s4h3c KsJd9d7c3h Ks6h5h2s2h KhQh9s4s2s 
KdTh9s5h3c 9s9c6d4s2c KcJs8c2s2d Ts9h8c3c2s 
KsQs5s3d2d QsQc8h7s2d JcTsTc6d2h AhJsJc8s2s 
QcJs6d4s2d QdJd9h4c3s AhJh7h5s2d AsQd9h2h2d 
Th8c7h6c2h Kc8c7s4h3h Ac8d7d6d4h Ts9h9d7d4d 
8h8c4h4d3c KsJc9c7d3h Ac8s7c3s2s KcQsTc4d4c 
KhJcTd5c2c JcTc6c5d3h AcTc7d3d2c KcQs7h6c3c 
AdKcQd7d2d KcQs8h3c2s Tc8s6s3d3c 7s7c5c4d2d 
JcTd8h4s3d AcKs9c4c3h KhQdTs2d2c Ac8h4c3s2h 
KsTs8s8h4c AdJh9c4h2c AdQdTd7s2d Qh9c7d5h2c 
Th8h8d5h3d Kh9s8d6c5c QhJd9d5s2c Jc7s6s5d4h 
9s8h5s3h3d Kh7d5h4c2d Ts8s7s6s6h Ts9d6d3s2c 
8h8c7d6h2d KsQs7h4c3d KdQd7c5d3h Jh8s5s4c3c 
Ks9c6s5s4d QcJc7s6d2s AdJs7h3s3h QcJs8c2s2h 
AcKh6c2s2d Tc9s9h4d4c Jd7c5h4c3h JsJc5h4d3s 
Td6h5h5d4d 8d8c4h4c3d 8h8c6d5h3s Ts7h5h4h3s 
AsKs7d6c2s As9d4h3s2d AcJd7s3s3d 9h8h7h7d6c 
Td9h9c8d5d Qd9h7h6s6c QcJh7s6s4d 9c8s6d3s3c 
AdKcQh8h2h 9h9c7s5c3d AsQd9c3s2h Qd9c8h4d3c 
AcJsJd7s2h AsJc4d3d3c QhJcTd6s2c 8c6d6c2s2d 
QsJd8h5s2c Js6d5s5d3h QhJh6c5h3d Td9s8d7d4c 
Ks9s9h8s5d KcTh7s6d3d 7d5h5c4s4c Ks9c8s6d3h 
Qs7c6h5s4s KcJs7d5c3c Th7h5h4d3d Ah7d4h3c2c 
Ks9h6s5s4c JhTsTh6d2c QdJh9s7h4c Jc9h7s5c4c 
8h7c6s5h5d Jc8h6h5s2s JhTd9h7h2c Jc8h8c7c6c 
AdJs8d2h2c Qs9s9d7d2s Jc8d8c6s2s 7d4s4h3h3d 
QsTc7d5d4d Kc9c8c7c5d QsJc6d5h3d KdQcTs4h2c 
Ad8c4c2d2c KsTsTh4s3c Qc9h6d6c2h 8s7d6h5s5c 
AcKs9c8c3c AdJh8d6c3d Ac9s8d4c2h AdJsJc7s2h 
8d8c7c4d3c Ts9c8h7d4h Qd7d6d5s4h As9h8s6s3d 
Qd8s6s5h4c TsTh9h7h3d QcJs6d3s2c JdTh5s2s2h 
Kh9d8c5c3d Th6d5h5d4h JhTs6s4d3c KhQsJc9c4c 
ThTd9s6s3s Qh8c7s7h6h QdJs6d4h3c KhJsJd5d2c 
AdQs8d4d3c As9c8s6h3s AdTs9c6c3h 9d9c8h7h5h 
KdQcJh9h4h 9h9d6d4h2c QdTs9s5s4s KsQsTd4s2c 
QsTh5h5c4d Kc9d8s6s3d AcTd9s5h5d 8s7d6s3d3c 
AhTc9d3d2c QdJd6s6c2c Ks8h7h6d4c 8c5s5d2s2d 
Qh9h7h6d5h 8h7s7c6c2h Tc9s8h7d4h KsKhKc7c6h 
Ac8c6c5h2d Ac6s6d4c2h QcJc7d4c3d JsJhTd3s2s 
