Kh7d5c3h2d 
Ac8d6h5s5h Kh7d5c3h2c Kc8s5s3d2c Ad9d6s6h4d 
7s6h5d3s3c 9h8h7d4d3h Td9h7d3h2c QsQd5h4c2c 
AdJs6d6c2h QdTc7h4h2c Ah9c8s4s3c 9d9c5h3c2d 
Qc9c8h4h2d KhJh8h5h4d KcQd5d3s3h AsTs3s3c2c 
Kd8h8d5d4s 5h4s4h3s3h Ac8h5h3c2c 8h8c6d5c2s 
AhTc4d3d3c AcKdJsJhJc Jd8d7s5d4d Jh9d4s3s3h 
QhTh9d4h2s Kc8h6d5h4h Qd8d7d6c2c Kd6s6c4s3c 
9d8s5d2s2h Qd8c7h7c6c KdJs8c5d3d KhTd9h5h3h 
Qs9c8h6s2d Js8s7h4c2h 8s8d6h3s3c Th9h8s8c2d 
KcTs8h2s2h Js9h7s7h2s Tc9s8c6c2h AhQd9s5s3s 
5h5c3h3c2d KhQh9d8s3h Kd9s9h6h2s JdTh8s4c2h 
JcTh8s3d3c QsQd4s3h2c Qs9h8c6s2d KhQd5c4c3s 
Ts9c8h6h2d KsTh4c3h3c Tc7s7d5h4d Ts8s8h6s4s 
Jc9d7d5h3d Tc8h7h5h4h KcJc4s4c2s 9c8h7d6h3s 
JdTd6h3c2h 7c6s6h5d3c KcQh6s6d4d Qs9s6s5h5d 
Tc9d6s5h3h Jh9s8d5c3s Jc9h8s6d4s As9d8c4c3d 
8d8c6s3h3c Th9h7s3d2s Ac9h9d7c2c Js6s5c4d2c 
AhKc7d6c2c Qs5s4h3h3d Qc5s4s4c2h Qs7h7d5s4c 
Jd8s6h5h4h JsTs8s6c2d Jh8h6d6c2d KdJc9c7c3s 
Tc9c7d3s2d Ts8h7s5d3c AcKd3c2h2c Ts9s6h5s3d 
9s8d6c4h4d 7h6d5s2s2h Qc9d8c7h4s Td9h7s3d2h 
Ts9s8c7h2s Qd9c6h6c5c Kd9d8c2s2c Js9s6s5d3c 
Tc9c7d4d2c AsQh6d6c4d 9s9c8d5c3h JdTc8h3s3d 
Jd6s6h5h2d QhJd7h5s5h KhQcTs4s2d KdJd7h6c3d 
TsTh5s3h2c Qs9d8d4s3s Td8h6s2h2d QhTs5s5d4s 
AcKc8d5c2c Ah8c5h4d3h JcTh6d4s3d JdTh8s3d3c 
QcTc6h4s2d Qc9h7s3s3c KhQd9c5s3c JsTs9d3c2s 
Ts9s6h4d4c 9h7h6d2s2d Tc9d6d5d3s 7s7c6d3s3h 
JhTh8h6s2c QdJd9h5c2d Jd7d6h5d2h 9d8c6s5h2d 
As7s6d3s2d KdJd6s4c2h QhJh6s4c3h Ac9h7c3s2d 
Ah3d3c2s2h Kh9s8h7d2c Qs6s5d5c2c JsTh8s6c2s 
Ad9h5d4c2s Kh9c7s6d4c KcQhTs8s2s 6h5s4s4h2c 
Kc9d6s2d2c 8d7c6c4c2d KhQcTc2s2c KcJs7s3c2s 
KcJc6h4c3d Tc8c5s5c3s Kc9s7h3c2h KhJs6c4d2h 
Kd9h5h5c3c Kd8c6s5c4c Jc9h9d8h3s 8s8h6c3s3d 
JsJc7d5c2h Js8s5h5d4c AcJs8d7s3s AcQs5h4h3d 
Jc9s7s5h3s 9d7s7d4d3s KcQc8c6s4c Ks8c6s6h4s 
Jd9s9d8h2c KsTd9c4h3c QcTc7h5d5c Tc9s8h7h2d 
KsJdJc8s3s Ts7s6d4d2c KhTh7h6h3s QsTc6h3s3d 
JcTc7c5c3h KcQd6d4s4d KcTs6d5h3h Qs9s9h7d4c 
QcTd8c7s2c Tc6h4d4c3h Th8h5s5h3s KdTs4h3s3h 
Jh8h5h4c2c JcTd6s3c2s Jd6c5s4d2s JsJd8s5c2s 
Th9h7h7c4s QsQc8d6d2h Qd9s8d3h2s AdTh8c6h3s 
KcQd7c4s4h 8h6h6d4h2d Js9h4c3s3c Ks6c5s3s2c 
AhTd9d4s4c 9h8c6c5s3c Ts7h7d5d2h Th7c6h5s2s 
QdTh9c5d2d JsTh9c7d2d ThTc6h5s3h Kh8s7s6s4d 
7h5h5d4d2c ThTc6c4d3s 9s9d8d4h2h AsKc9d8d2d 
Kd9h7s3d2h ThTc8d7s3h JsJh8s3c2c Kc9h8d3c2h 
Jd8h8c5c4c 7s6s5s5c4d QdTd9s4d2h Jd8h7d6c2c 
QhJd4s4c3h AcTd5s4h4d Qc8h8d6c4c Jh8h7d6d2d 
Td9d5s4s2s Qs8c7d6h4h Jc6d5h5d3h KdTh8h6c3s 
Td9s9c8h3c QdTs6h6d3d JdTh5c3s3h Ts9s5c4c2c 
Ah8s8c6s4d Js9c5h3s2c KsKdKcJc2s QhJh7h5s5d 
KdJd6c4h4d QsJc6s4s4h JsTs5h3s3d QdJd8h8d4c 
Tc9c8c6h2s 9d8c7h4h3c Qh9s7s6d2d Ah9s9c4s3c 
Kh9d9c8s5d As7h7c5s2s Qc8h8c4s3s QdTs8d4c2h 
KdQcTc2h2c Ah8c3s3h2s Ks9h9d6d2h Jh9h6s5h5c 
KdJd9s6c2d Kh8h8d6s3c Td8s8h5d4d Th9c6c5c3s 
JdTc3s2s2c 8d8c6d3c2s AdTc8s6h2c 9s7h7d5c3h 
AcQc6s4c2d Ad8s5d3s2d Ah6h5c3s3h JsTc6s4d3s 
QdJc7d5h5d Kh9d8h7s2c 7h7d6c4s3s QcJcTs3c2c 
6s5s4d3s3d Th9s8d5s3c 6h5d5c4h2c 9d6s5d3h2s 
KcJd5s4h3h QdJd8s8d4c Td8s7d5c3h Qh9c7c6d2d 
QsJs8d3d2c As9c8d4d3c KsQs9d5s4s Kc7d5h3c2h 
Th8d7c4c2d Kc8s7s7d5h QcJh5d4h2s Jd9d9c5d4d 
AhJs9d9c2d Kh9s5s2h2c KhJh8c5h3s KcQdTc3c2s 
Jd6d5h4h2s KdQc9h5s3h Ad9s7h5h4h 8c6d5s5c4h 
KdJs9h9d3d JsJcTh7d2d Jd9c8c5h3s QhJc9s8s3s 
Kh8d6s6h4h KdQc8s5s4h Ad8d6d5h5d AdQc7h4s3c 
Qs8d6s4s3d Js8d6h5h4h Qd7s7d5h2s Tc9d6s6h4c 
JhJd7s5d2c Ad9c7h4d2s JsJdTd7d2d 7s7h6h4c2c 
AcKc9h9c3c KdJd9d5h2s Ah5h5c2h2d Jd9h6d4s2s 
Tc7s7h5d4s Qc8s8c5h5c Kd9h8h5c2c Th9d6s5c3c 
9s9c7h3h3d 8d6d5c4s3h AsTc4h3d2s QcJsJc6h2c 
Jd9d7h6h2d Js9h6h5h4d KcJs5s4s3d Js9d8h6c4h 
Td6s4d4c3s KsQc8s6s4s Jc8s8c7h4c Ts8d6s4h4c 
JsTc9d6d2d Ac8s7h4c3c KsQd9h9c2s Ks9h4s4d3h 
AdKd9d7h2d Jc8s8h5h4h Kc8h5d4s4c AsQd9h6h4h 
Ah7d6c5c3s AdTd8d2s2h Kh6c4d2h2c AcTc8c3s3c 
JhTc8s3h3d Ah9d7d5s3d QdTh6s6d3d JsTc8c5c2d 
6d5d4c3d3c As9h7s4d2c Qd8s8d5c4d KcJh6c4s4c 
KsTd4s4d2s Kh8d8c5c3d 7d6c5s3h3d Ac8s8h6s4d 
Qc9d6h5s4s KcTc4s3s2s JdTh8c6c3c Qh9d8c5d4d 
Kc9s9h6c4c Ac8s6h6d5s Qh9s6s6c5s QsJh8s4d3c 
Ts9d8c6h2h Ks9d7h7c5d KdTs8d6c2d KdJs4d4c3h 
7h6c5h3s2c JdTc7s3s2d 9s8c7c6c4c QhJs6c3h2c 
9s9h5d3h2s AdQdJd4d2d KhQh5s5d3h Ac6s5s5d2d 
Ac9s9d4d3s Td9h8d6d2s KcQc6c4s4d Td7h6d5s2s 
QsJc9h8h3h Qd5s4s4d2c 7h6c4h4c3c AhQh4h4c2s 
Jd9d7s7d5d As8s4s4h2h 7d6h5c2d2c KsJs9c6h2s 
Ac9s7d6d4h KcQcJc5s5c As6s6h4d3s JsTs8h7s3s 
KsQs9d7h2c KhQcJs6c2c Ts8h6s5d5c Jh8s8d4s2h 
6h5d5c4d2h AdTc8d3d2s Js9d6d5c3h Ac7d6d5s5h 
KcTh7d4h2d 7d6s6d4h2h AhQd5d4c2s 9h7s7c6c4c 
AsTd4h3h3d As7c5d4s2s KdTd9d8d2s 9s9d8h6s3c 
TdTc7h7d2s JsJc4d2h2c Kh8h7h6s6h Th6s6h4h3s 
As9s8s7s3d KcQc9s5c4c AcQd5s4d2h 8d7h6s6h2d 
KcQh5c3s3c Kh9d9c6c2d AhKc9c5c2d Td8d6s6c5d 
Qs6s6c5d4h Td9d7h7d4c KdQc9c6h3c Qc9d6s6d5d 
JhJd6c4s3d 8h7s5s5d2h 8s6h5s5d4c KhQdTc7h2h 
7s6d5s3c2d Qh7s7c5h4d 6s5d5c4s2d 9h9d8d5c3s 
8d7d6c4d2c JcTc6h3s2s QhJc9s9h2h Ts8h5h4d2d 
Ad9c8d3s3d QhTs8s5d5c 6s5h4c3c2h 8d8c6s3h3d 
QsJd5h4d2c As9c7c6d6c JhTc9s7d2d JcTc3h2h2d 
As6s6d3d2s Qs8s7s6c4s JdTs8s6c3s Ac9d5c4s2h 
Ah8h6h6c3s Qd5h4s3h3d KcTdTc6s2c AsJh8c7c2d 
KdQcJd8h3d Ac6d4c2d2c KdQs9s6h3s 9c6s5d5c2s 
QhThTc4d2h Ks8s8h6c3d Kc8s7s5h4s Qs7h6c4h3c 
9d8h6s6h4c Ad6c4d2d2c 9s8c6d5c3h 9h8d7c6s3c 
Qd7d7c5s2s As7c5d3h2s Td9d7d6s3d KcQd7c5h2s 
As6c5d5c2d AhQs9c6d4d KhTs8h6c2h Td7d7c5s4d 
Th9s9c4h3h AcTh8d6s2h ThTc5d3s3h Qc9c6s5c4c 
Tc9c7s7c2s Ks8c6c5c4h Qd8s6d4d3s 7d5h5d4h2s 
Jd9d6s5d3h AhQd4d4c3s Kh6s5h5d2c JdJc9s5d2d 
Jd8d6h6c2c Ts7c6s5h2c Ts7d5c3d3c Jh9s8s5c3d 
Jc9d8c5c3h KdJhTd7d2d Tc7h6c5s2h QsQc7h3h2s 
AhTs8d7d2d 9s9h7c3d3c Ts9h5h3c2s 7c6d6c4h2h 
9s9d8c4c2d Js9s9h6s4c QdJs8d3s3d Ah9s7s5c3d 
Tc7d7c5s4c 8h7d5h5c2d Ks7s6s6c4d 8s6s6h4s2h 
Kh6s4h3s2d Ac8c7s7d2c As6s5c3s3h KhKd8d3d2s 
QdTd8h3h2d Jc8s8h4h3s QcTd7s4s2d QdTd8h7d3s 
KdQh9s8h3c KsJd6h4c2s QdJs6h5s2c Tc9s8c6c2d 
Td8s5s4h2h 9s6h6d5d4c AdQh9c7s3s Jd9d6h5s5d 
9s9h8d6h3c 7s7c6h4h2s Qs9h8h3s2c 9d8h7c5s3s 
Js9c5d5c2d KhQh6h3c2c AcQs6d2h2c Ah6s4h2s2h 
AdJs7s4h3c 8d7h5h5d2d Qc6c5s5d2s Ac9c4h2s2h 
AdTc4d3h2s KsKh8h4h2h AcQd4h4d3s Js9d7c6h4c 
KhQcTh3h2s QcJh8c4d3s KdJc8d3h2h KhTd7c6c3c 
KsQsQhQc9c AcQs5c3h2c AsTh8d6c3h Qs9h8c5h4h 
Th9c7c3h2s AdJs8c7c2h JsTd9h7h2h 7s6h6d4d2h 
QsJc7h4d3s KdQc9d7d3h 9s9c7h3s3d Jd9s9d3c2c 
QcJs8c2s2c AhTc8s6d3c QdJd9h5s2d Tc8s8d6h2s 
AcQs9s6s3h Kd6c5d4h4d 9c8s8d4d2c 7s7h6h4s2s 
Td7h7d6c4d JhJdTh7h2h JcTh9d4h2h QdQc8c7h3c 
Kh9c4h3s3c QsTc8c6d3c JhTh4s3d3c QdJc4c3h2h 
Ts7s6c5h2h Jc8s7h7d5s Kc9h8c6c4d 8c4h4d3h3c 
KsQdJc8d3d KsTc9d5s2s AhQd6c4d3s QhJs9c6d2s 
Jh8d7s7c5d Qd8h8c7c5s Kh8h7h4c3c AsTh5d5c4h 
JsTd9h6c2h 8s6s6d4s2d QsQh4h3d2c QhJh5d4c2h 
Kc6d5c3c2d 8s7h7c4c2s QsJh7h5d3h Ts9s9h5d2c 
JsTh8h5h2c As9h9d4d3h Tc9d8h6s2s Qs9s8h6c2d 
Js9h6s5s3d JhJd9s5s2c Ad9s9c4s3c Tc9c5h5d2h 
QsJc7s5s4s Ks8d7d5c4d Tc9c7c5s4c AhTc6d5c4c 
8h8d4d2s2h Ad6c5s5c2s 9s9h8s4d2d JdJc6s4h3d 
Ts9s8s6d2h AdTs9h6c2s AhTd9d4d3c QcTs8s5h2d 
JsJd4c2s2h Kh9s6c5s2c Tc9c7s5h5c Qs9c8s7d4h 
KcQs5d4h3h Js8s8d4d2d 8d8c6d5s2d KcQd7d3c2c 
JsJh9d5h2h AsTc8d6h3c Ts9h6d6c4s AhKhQsQhQc 
Kd8s7s6s4h QcJsJd7d3d Tc6h5h5c3h Ts7d6s5s4s 
As9h7h6h6d Ac6c5s3d3c Qh7d7c6d5s AcJc6s5d2c 
6s5c4s4c2d KdQdTd6c2d Jc6s5s5h3h KdJd7c6h3d 
Js9c5s5c2s 9h8h8d5h3s AcTd8h7h2h QsJdTh7h2c 
8c7h5h5d2c Kd6s4h2s2d QcJc8d5h2c KdJc9s8c2h 
7s6c5s3d2c Th9h7c3s2c Ac8h5c4d3c AhJd7d4c3s 
Kh9d7c3h2c QdJd8h3h2s JcTs9d4s2s Th9s8c7d3h 
Kh8h6s5h4h Kh9c8d5c2d KhQs7s4d2d Th9s8c7c2d 
Qs7h7d6h5c Tc9s7s2s2c JcTh8c5c3c Qh8s8h5d4h 
8s8d6s3d2c JhTd7s3d2s 8s7c5s5h2c Qc6c5h4d3s 
QdTd8d5c3s As9d9c7h4c Jh5h5c4c3s Jd9d7d5s5c 
Qc9s6h6c3d JhTh8h5h3d KhJs9h5c2h Ks9s8c2d2c 
AhQc9s7d3d QsJc5h4h3h KsJd9c8d2h Jh9s8d3h2s 
JdTs9c4s2s Kh6d5h4s4h QdJs8h8d4d 9d8d6d5s3c 
Kd8d8c5d4h AdJd8h5d2d Js6h5h5c3c Kc8d7s6h4s 
KsKdKc6c4d 7s6s6h4d2d AcQs8c5c3c Jd9h9c8s3d 
9d8s7h4h3s AsKd8h8d3d Tc9d7c3d2h AcJd8h7d3d 
KdJh8d3c2c Tc9s9c4d3c Tc8s8h6d2h Kd9s7h3d2s 
KcTd6s6d2s Jh8d7s5s5c KdQd9s7c2h Td8d7d4s3s 
KcQhJc4c2c TsTh5s5d3c 8d8c4d2s2c Qh7d6c5s3h 
KsJh9c6c4c KcTs9d5c2c 8d6h5d3h2s Ad9d8d7s3d 
AhTd8s4d3c 8h6h5c4d3s Tc9s9c8c4h Kh6s6c4c3s 
Qs8d7h7d6d Ts8s7s4d3d Jd8s8h4h3s 9d6c5s5d2c 
Ks9d7h6h4c AsTdTc6d3d Ad9h4s4d3c Qh9s6s3c2h 
KhTc7d4c2d As9c7h4s2d KdQdTd2s2h QhQc8c7s3c 
KsTd4h3h3d KcQh5h3s3d As9h5c3h3c Jd8d5d5c2c 
Ks5s5c4s2c Qc8c7c6s4c Jh7c6c4s3s KsQh9d7h3c 
7d6h6d4s2s 8h8d6h3d2c 7h6d5d3h2s Tc8h6h5h5d 
AhQc6s6d4d KsTh9c4d3c Td9s9h8c4h JsTh6c5s2d 
9d5s5c2s2d QcTh8c7d2c AcQd9s5s3s Ah7s6h5h2d 
AhJd8c5c3c Qs8s8d5s4c Th9s6s5s5d Ac7h6d5d3s 
Jd8d7h5d4d QdQc6s5s2s KcJc6s4c3d Qh8s7s6d4s 
Qd9h5d4h2h AhTc9h9d9c KhJh4s4h2s KsKc7s3d2s 
Ts9h9c8s4s Ts9c6h3s2c 7h7d6s4s2d KhQh9h8s3c 
JcTh8s4d2h Tc9c7s7d4h KsJs6h5s3s Kc8s7s6s4d 
AdKc7c6c2h KcJc8d2h2d Kd8s8h5s3h JcTh9s6s2s 
Ks6h4s3s3h 8d6s5c4d2h AsQh5c4d3d KcQhJh9h2h 
5h4s4c2s2c Ks8c7c5d4c 9c8d6d2d2c KsQc7c3s2c 
AsQh8h8c3d 8d6d4s4h3s Kh5h5d3s3h AhQh4h4d2c 
Jh7s6h5d2d TdTc6d5s3d KhTc9s5h2h Ah9d8h3s3h 
9s7d7c4h4d ThTd5h5c3s Tc9c6d5c3s QsTs7c5s5d 
Qh6d4h4c3d TdTc7s7c2h Qh8s6h4h2s 7s6h6d4h2d 
Ah9h8h8c2h Js9c8c7d4h Js9s8h6s4c Td9c5c3s2d 
AhKcTd4d2d AdKd8d5s2d Th9h9d8s4h KcTc8h6d2c 
9c6h5c3d2d Js9d7d5d4d Tc9c8h8d3s 9s9c8s4h2h 
7c6h6c4s2s Qc9h7c6s4c AhTd5s4d4c Th9h8c7d2h 
Kh9s8h4s3h TsTc9c6h2c Tc9s9h8d3d JdJc8d5s2d 
Jd8h8c4h3c KcJcTh7c2c KsJs7h7c3d AsQh7s6s2c 
JhTs6d6c3s Th9c8h5s5d 9d8s8h4h2d AsJs7c6s3s 
Ah9c8d5d4s Jh6d5c4h2c Jd6d6c5c2h AhJs9c4h2h 
9s8h6c4h2c 9s9h7d3s3c JsTd9c6h2c AcTs8d4s3h 
KcJh9c7c3c Ks9h9c6s4s KsKdKcJs2c Td9d7c4c2d 
AdJc8s7s2h Jc9c7d3d3c Kc9d8d5s2s 9s8h7d4d3h 
Td8h6s6c4h Jd9d9c6d4s Th9s9h8h4d AhJh4d3s3h 
QdJs6d4h4d KcQsTs3h2s Qc5h5c4c3h Ts6c5c3s3h 
Js9c7c3s3c Ks6h5s5c2d KsJhTd7d2d QsJcTh7h2d 
9h9c6s3s2c 8h7s7h6h5h AdJs6h5h4h JhJd6s4c3h 
QdJd6c4h3d AsTh9s9h9c Ts8d7d4s2s Qc8h7d5s5c 
8h7c6c4s4d AhTc9d6s2c Ts9h9d8c3h QdTd8s3s2d 
AcQs9s6s3d Ts9c7d4c2s QdJd8h6c2s Qc9h8h4c3c 
As9s8s7h3s JsJd7h4c3s KhJs5d3s2d QsJh6s3s2h 
Qd7h7c6c5s AhKd8d7d2d Ac9s5d3s3d AsQd6h6c4h 
Qc9s6d6c3h QsTd8h4c2s AsKh3d3c2h Ad9d7h7d2c 
Ah7h5h3d3c Qs6s6c5h4d 9c8d6s6d4h AdJs7s5c2h 
Qs7s6s5c3d Kh8c6c5s4c 9s8c7d6h3d JdTh3s2s2h 
QhTc9d6s2s AhJd9h6h2c Kd9h9c5h2c Qs9s9c3c2d 
QdJh8c6s2d AdTs6h5s4s Ah7c5d5c4s Qd8h7c6s4s 
TsTd8h5c3d Ks8d6s5s5h 7s6d6c5h3s Ad8s5h5d3d 
Jh8s6s6h3h Ks6s6h3d3c Ac7s5s5d4h QhJd8s6c2h 
Kd9h8s8h5c 7h7c6s5s3s Qh7s6d4d3s 6c5s4d3d2s 
KhJc5d3c2d Ad7s5c4d2d Ts7h7c5c2h Kh9c4d3h3c 
Kd5s5c4h4c Td9c8h5c3s Ts8d7c6c3h KdJd8h5c3d 
Ts8h7s4h2s Ks8s7s4c3c JdTd8d6h2s Tc9s7d4h4c 
AcJd8h5h3h AsJc4h4c2h KsJs7d6h3s QhJs4s3c2c 
KhTc7s5c3c Kd6d5s4h2c JdTd7d5d3c Td9s8h8d4c 
Th7s7d5d2s QhJs7h5h5d Ks6s5c4s4h KhJdTs7s2s 
TdTc8h3s3c 9s7d6h6d2s 9s9c7d3h3d AsKh9h9d2h 
9s7d7c6c4c 9h8s8h6d3c KcJc7h7d3s Ts9h9d4c3d 
AdQcJs7s2h JcTc8h4s3c Th9h7s7h4d Tc6s5c4d2s 
AsTs6s3h2h AcQc7c6c3h QsJhTsThTc AcQs5h4d3d 
KdTh9s4h3c 8h8c7s5d3h QdTd8d8c4d Ad9d4h3c2h 
8d8c7s5h3c Ts9d8h5c3d Ad8d6s6d3c 8s8d7h5c3s 
AcJd9c4c3c As9c4c3s2c QhJh8d3s2s Ad8c7d6d2s 
7h7c5s5c2d AdQh5c4s3s Jh9c7c5s3c Qc8h7d6s4s 
Js9c8c7h4d 9h6d5d5c2c AdKhQh6h2h AhTc5s5d4s 
Jd9s8h3d2h Js6s6c5c2d Qh7d6s4s3d AsTc8d3s2s 
QsTh6s6c3s Ah9c8c5s5d Qc9s9h8c2d QcTs9h6d2d 
KhTh8c6s2h 8c7h7d4d2c 9s7s7d4s3d KhQs9s5c3s 
JhTh7c4h3h KsJc6s4s4h Td9s9c7d3d KcJh9d4s4c 
KhTs8c2s2c JdJc8c5s2c JdTc7c3d2d KdQhQc7h2h 
Th9s9d8d4d KsQh9c8h3d Th9d8s6c2c Ts7d6s5h2d 
Jh8s8c5s4s Qh9c8h7s4d Qd9d5s3s2h Ks9s7s6s6d 
AcTs9s4s3d Td9c8d5s5h KhQs5d4c3c Jc9d8h3c2d 
QhQc6s5d2s QcJh7c5d5c QdJd9c6h2s JcTs8s5s2h 
KcQc9s7d2h Js9d7c5c4c 8h8d7c5h3h KsJh7s4d3s 
QsJs6c5s2h Kh9h8s3s2c 8s7s7h6s5s Jd9d7d5h4d 
AsTc8h6d3c KsJc6d4h2s Qs8c7h5h4d JhJc7s6h3h 
QhJs7s4h2h 9h8s7d6s3s Jh6h5c4c2d Ad9c8s5c4c 
KhQc7s4c2s QcJc5h4d2c Qs9d8c7h4s Td7h7c5s4h 
Qs8s7s6d4s Ac9c5h2h2c KcTc4d3d2d QcTd5s5d4d 
Ad5s5d2d2c QsJs7s5h5d Kd9s4c3s3d KcQc9c8c5h 
AhQd5c4s3s Kd7h5s3d2h AsQc5s3d2s AhTs9s4d4c 
AcQs7c6c2h 9s8d7s4d3d Ts9h6h5h5c QhJs7s7h2s 
Qd9h7s5d4d JdJc8c3h2h Ks9s9d6s3h As9s8s8h2s 
QdJd9s3d2s Jc9d8d3c2c QcJc6c4h3d KcTh6c3h2c 
9h8s8h5h3c 9c6h5s5c2h Js9s9c8h2d 9d8h7h6s3c 
Qh6s5s5h2s QhTd9s5h2h TsTh8d5c3s 6s6h5s5d2s 
Th8h5h5c3c Ks7h7d6s3c JcTs4d3h3c JdTc8s6s3s 
AdJh9d6d2s Js8s5c4c2s AhKc6s4d3s As8d6h5d5c 
Kc9s7d6h4h Tc9d8s7h3h Kh9d8c3d2h Qs9s6s5s4h 
Qc7d6h5s3c Td9s7s3d2h 7h4h4c3h3c 7s7d6c4c2s 
6h5d4d2h2c Jd9d6c5s3d AcJc7c3s3d KcTh8c6d3c 
QdTs8s5c2h 9d8d6d5h2c 8h8c6d4s3h KsTs8c4d2h 
KhQd7c6h2s KsTd6h5c3c AsJsTc6s2s Kc8h6s4d4c 
QdJh9s6d2c QhTd8c4s2h Kd8d7d6d6c Kc7s5d5c4c 
Jd9d6d5h3c JdTs9c7c2c 9d7s7c4s4h Kh7c5c3d2h 
AsQh6d2s2c Kc9d7s3c2s Jd7s6c5h3d AdKcQs7h2h 
QdJc6s3d2s Ks7h5d3s2d AsTh7d6c3d Ac9d8c3h3c 
As9c8s4h3s Th7s7h4h4c Qh9c5h5d4s Ks5h5d4h4c 
AdKc4h4c2c 9c8h7h6s3d KsJh9s9c3s AcJc3s3d2h 
Kh9c7d6c4s Th9s9d8c3c QsJd4h3s3c Kc9s8h5s2h 
6h5h4c3h3c 8d8c5d3c2s JcTc8d7c3c AsTh6d6c4d 
Ts7h6s5d2h Qc7s7c5d2s AcJd4s4d2s AcTh5s4h4d 
QsJs8h6d2c Kd8c7c6c4h Th9s7c4h2c 9d8s6c4s2c 
Jh8h7s5h4h KhJh8s5d3h KsQc9d8c2h Jc6s5d4c2d 
Qc8d5h5c4s Ad6d5c3s3d JhTh3d2d2c 7c6c5h3d2h 
QdTd8d5s3h Ks7s6s6d4c AcQc8h4d2c Qc8s8h4c3h 
Qh9h9d6c3h JsTd5s4h2s Th9d6d5s5d AsJc7c5h2d 
KhQc7h5s2d KsJs6d4c2h Th9c8d5c3s QdJs8c3d2c 
KcQs5h4h3d Ad8c7c5s3h Kh9d6s2h2d 8h8c5c3h2d 
AcTs6h6d4d TsTd9d6h2d Ts9s6s5s4c Kc9s8d3s2c 
AdJh7c4h2c Kd9h6c2h2d JcTd5s4d2h JhTh8s4c3h 
7h7d6c4c2h QcTh9s5c2c JhJd7c6h3h 6c5s5h4c2s 
JsTs9h6c2s TsTc8h3d3c AsKc7c3h3c Tc7s7h4h4d 
Ts9c8s6d2s Ac9s7s6s6h Kd6s6d4h3c JsTs5h5c3s 
Qs9c8d8c5c Ks9h7s3s3h Kc9c8d3d2s Th9d9c4h3h 
Ts9d7s3d2c KsJd8h3h2s 7h5s5h4s2d Th6s6h4s3h 
9c8d5c2h2d Qh6h5s5c2c JcTc8s7c3c AcQc6h4c2d 
Js9c8h5d3c Kh9s8h3s2d KsQs8s6c4s Jd6d6c5c2s 
ThTd6h5s3h 9h8c5h2d2c Qh9h9c3c2s AsQh9d7c3c 
Qc9d9c7h4s KcQd9c7c3s Th9d6d6c4d Js9s9c8d2h 
QhQcJc7c2s Jh7h6d4h3d QsQhTc3c2c AcQs9h8h2h 
Tc9s9h4d3s 9s6s6d4s4c KdJc7s5s5h Ah9s9d8s4c 
AsKs4s2d2c Kd8c7d5h2s 9h6s6h4h4c QdTh9s5d2d 
JcTs6h3c2h Ts9s7s5c4s KdKc8c3c2s Ad9c4s4d3h 
QsTd8s7c2s KcQd8s4s2d 9d9c8h6d3s 9s6h5s3d2d 
KhQcTc4s2c QdTh7d3h2s KcJs9s7s3h QsJsTd3s2s 
8d7d5s2s2d 9d6c5c4d2d Kc6d5h5c2s Qs8c7h5d4d 
Ac7s5h3d2c 9s8s6s6h2h Qd9c8h4h2d Kh9d6s4h4c 
QsJs9d5c2s JsJc8s3c2s Qd9c6h4c3h KdJcTh7h2h 
Qh9c8h5h4d KsJs8h3h2c KhJc6d4s2h AhQc6d5d3s 
6s6d5h5d2d Th9h8c7h2d AhTd9s9h9d Qd7c6d3s3c 
AhQdJd7c2d Ah9s8s5c4d 7s7d6h4c3s Tc9c7c5d4c 
JhTs5d4h2h Qs7h6d4h3d Kh9h9c7s4h 9h9d8c6h3s 
Qs9c6h4c3h 5s4d4c2d2c Qh9h6h5s5c QdJc8h7s4s 
Qh8s6d3s3h Kh8d7d6d4s 8d6h5s4d2c Jd8s6d4s3s 
Qh9d8h3s2d Kc9h6d2h2c Ks8h5c4s4d KsQs5c3s3h 
AdQsJh7h2c JsTh8d6d3d KcQsJd6s2s KsQd7s4h4c 
KhJh6s4d2c AhJs8d5d3d AsQc9h5d2c Th8h7h4s3s 
AdQd7d6d3s KsTd9c4d3h Jd9h9d6d4c AcJs6d6c2h 
KdQhTh4c2h Th9c8h6s2h KsQc9h5d5c Ks8h7h7d5c 
9d8h6h2h2d AcTd5s5h4h KcQd9s7d3h Kc9s4d4c3s 
Jd5d5c4s4h 6s5d4s4d2h JsTh9c7c2c AhJhTd6h2h 
KsJc7d5h5d KsJc8h3h2s QdJc7c5s3c 9c6d6c4d3c 
Kd9s8s3s3d QdTh6d6c3d Kc9s7d3c2d JcTc6h3s2h 
AdJd4s3h3d As9c8c5h5d Kh9h9d7c4h QhJh9h9c4s 
Ks9h8s3c2h Ad9d8d7d3s Td9d8h7d2c AdJh7h4c3s 
Qh7s6s3h3c JcTh8d6d3d Kh9d6c5d2c AcJc7s6c3c 
JsTc5c4d2c KdQcJh8c3c Ks8c7s5d2h Qh7s6d4s3d 
Kd8c5c3h2d Qh5s4s4h2d Ac7d6c5c2s Jc9c6d5s5c 
Kc9h4s4c3h Kd6s6d3h3c Qh9s7d3h3d Ks8c7d7c5h 
