QdJd7d5c4d 
AsKh9c6d4d AdKh8s7c3c Kh9s8c7s5s Kd9d8c4c3c 
KsQc5s4s2h AhJc7d6d2c Qc9d6c5c3h Kd8s8d6d4h 
AcTc8c6c3s QsJs9s7h4c As6c3d3c2s Td8c7s5s2c 
9s6d5s5d2c QdJd9s9d6d KsTh6h4c2c Js9d8d4c3c 
7h5s5c4c3s Js8h7d6d6c Kc7s4s4c3s QdTd8s4h4c 
Qh5d5c4s4h Jd9s8s6s5s Jc8s7h6s4d Ad9s6d3h3c 
7c6h5h4s4d Js9h6c5s4s 9s9c7c6c3d 9c6s6c4d3s 
JdTs9d3c2h QhThTd7c2s 9s8d7d5d4c As6d5c4d3c 
Js9d9c5h3d QdTh5d2h2d Td9s8s4c2c 9d9c6s4s4h 
QhJd9c7d3s 8h7s5h4s2s 8s7h6h5h3d 8d7c6h5c3s 
Ks9d9c6c5c Kc9c8h4h2s AhTc7s3h2d KsQh5c4h2d 
Tc9h7h5h4d As6s3d3c2c Ad7h3s2s2d AhQh7s5h2d 
As6h3h3d2s Tc9h8h6s3h Tc9d7s4c2d QsJs9d8s3c 
QdJc8c7s4c QsTs6h3h2h Kd8s7s2d2c KcTh8d4s4c 
AsJd8d7h3d Tc8s6h4d4c 9s9c7s7d2h As9d8h6s2s 
Ad9s7s5c4h QcJc8s4c2s KhJd8s6h3c AsJs6h4s3d 
KcJc9s8c2d Jc9h6s6c5c Js8h7d6c4d 9d7h7d5c3s 
Ts7c6h3s3h TdTc8c3h2h KsJh3s3h2s 8d8c7s4s4h 
Qc9s8s7d3d Qs5d5c3d3c Tc8h6s6h4d 9h7s7c6d4c 
AdTh6s5c4s Qd7h6s6d4c 9d8h7h2h2d Qc8d7h5s4h 
AhQd8h2s2c Qc8s7s7c2d KsJs9s8h2c Qc7h7c6c5s 
Th9d6h5h3c Tc9s7s7h2h QhTd8s5h3h Qd5s5c4h4d 
JhTd4h2h2d AdKcQs6s2s Qh9d5s4s3d Qd9h9d4h2s 
KhTs9c8d2s JsTh6d6c3s Ah9c4h2d2c Th8d6c4s4h 
AdKs9c8c2h AdJd8h6d2s 8c7h6s5h3d Kh7c6c5s4c 
Kc8h7h2d2c Kc8d7h6s6d Ts7h6s5d3c KhJd7c2h2d 
KdQhTd3d3c QcJc8s2s2h KdQs7s6s4s KdJc9s6c3h 
Js9s6d4s4d Ts8s7s7c3c AhQsQhQd7d AhJh6h4s3d 
AsThTc7h2d AdKc7h7c2s KdJsTh3c2s QcTs8c6c2d 
JcTc8h6c3s Kd5d5c3h2c Kd9c4s4d3s QsJh8c6d3s 
AhJc4h3s2d KhJh9c8d4h KdQh5s3h3c Td9h8d8c5d 
AdTd7d7c3d Qh7s6h5c3d QdTh7s7d4d Qd8s7c5c3s 
QsJc9d8c4c Ad8s7s7c6s KdQh9c5s4c Jh8c7c4s3h 
QhJs5c4d2h Tc8h5h4c3c 8d8c4s4d2s JsJd8c5s3s 
Jh9h9d5h3c Ah9c8s5s5d AhJs9s4c2c KhQc7h7d4h 
Kh7h7d4d3h AsJh6h6c4d Js9s7d4d3s Ts9c7c5h3d 
Jc8c6h4s3s 9s7s6c5s5d Qc9h5h3d2c Qd8s8h7d3s 
9s6s6h4c3h Jd7s6c5d4d Js6s5d4s3d KhQd9d8s3c 
Tc9h4s4h3s JsTh4s3s2h QsTd5h5c4d Kh8c7c2h2d 
QsJc8s5h2d AcTh4s2d2c Tc7s7c6c5d Tc9d8s3s2d 
KsJh8c6s3d Ks8d5s3h3d QhJs9s7s4d Jh7d5d5c3c 
As7d6c5d4d AsJh8c5d2h 9d8d5c4c3d 9s7h7c5d4d 
9s9h5d5c4h Kh8c7c2s2h AhJsJc8d2d 9s6h5s5c2c 
Jh8h8c6h2c QcJh7c3s3h TsTh7s5c3d Ah7h7c6h4h 
KcQdTd5h2d JdTs8d6d3h Jd8h7d6d4s KhTs8d4h4c 
Jd9s7s5h3c Jh9c8s5h4h Ac9c4d3d2s QsJs8c4c2s 
AdTs8s6c3h QcJc9c7d4h KhTh8h7d3c Qh8h7h6d6c 
8c7s6h5s3d Qh6s6c5c3s JsJc7h4h2c KhQhJh8d4h 
QcTd8c5c2h KsJh8h8d2d Tc9s8s4h2h 9h8h6c4c3c 
KdQd9h4h2d KdTc7h5s5c QdTs5h5d3c 9s8s6h6d5c 
KcTs6d4h2c QcJc4d2h2d KhTh4s3c2s KsJh9c6h3d 
JsJc7s4s2c KsTs8s5c3h Ah8h8d7h2s KcJh7d7c3s 
QdTs3c2s2d AdTd6d6c5d KsQcJh7c3c KhJc8d7h2s 
Th9d6c4d2c Jd9c7c5s2s Qc7d6h5c3s Ac6c3s3d2s 
Kc6d4s3d2c Qd9s7h7c5d Kc9s4h4c3h Qh9h7s5d2s 
Ts9d8c7c4c KsTd9s5s4s Ah8h4d3c2d AsTd8d8c2h 
Tc9h7d4c2h Kd9d8d7s5d KsQc9s9d3h 8d6d6c4d3c 
As6h5c4c3h 6s6h5h4c3d AdTd6h5s2d JhTd7s6d3d 
AdQc9h7s3h 9c8c7s7d2d Qs8d8c5c3d JhTd6s6h3c 
9h9d6d3h2s Ad9c7h2s2d JhTc7d6c3c 7h6h5s4h3d 
Qh7d6h6c4s KcQh9h8s3d JcTs7c2s2d QcJh6s6h2s 
8d6s6d2s2d KdTc9s3h3d AcQh8c2s2d AdQd9c3h3d 
AdQcTs6h2s AdKs4d3h2d KcTc6s4d3c JdTs6h6d3c 
Ks9c4s4d3d Kc8d7h6s4d 9d8s5s4d3c JsTh9s7c2s 
Kh7h6c5h4h KhJcTs3s2d Th5d5c4s4c KhTc5s4h2d 
AdKd4s4d3d AdQs8h5s2c Kc9d7c4c3d Kc6s6c4d4c 
Kd5s5d3h2s 9s8c6s5h5d Qh8s5h5d3d 7h6h6d5s4h 
KsQd5s4s2c KsJsJc7s3s Qh7s7h4s3c Js9d8c5s4s 
KhJs6s5s4s Ts9s6s5c4d Th9c7c5c4d Tc8c6h6c4d 
As9s4h3h2c KcQsTc4c2h As8c6s5s2h Kh5c4d2h2c 
8d6s6d4h2h Ac6s5c3h2d KdQd8c7d4s QsQh9h4d2c 
AdKs4d2d2c Js8c6h6d5d QdJsJd9d2d KcTc5c4d3s 
KhQcJs4c2c Th9c6s6h4d JdJc7d5h3d QsQh8h5h2d 
KdTs7d4c3d QcTh6d5c2s AdTd6s5c2d Ah6h5h5d3c 
Ts9h4d3h3d Js9c7c5d3h AhTc8h2s2h AcJd3s3c2h 
7h6d5c4h3h KhQhJh9h5h Ah9h7h4c2c Qc8h8d7c5s 
Kc9d5s5c2s Kc9s9h7c3d KsQdTh3d2c AdTs9c5s3h 
As6s3h3d2h KdJc9h9d2d Th5s5h3s3h KcQd9h5s4h 
AdJc8h6d2d Ah9h5c4h4d 8s7h6s6d5s Qh8h5d4d3d 
Td8h6d4h2d 9d9c5d4s4h Kc7h5c3h3c Kd9h6h3d2c 
KdQs5c4s2h JcThTc4c2s Qd9c6d5d3s KdJc7d7c2d 
8s6s6c4h2h JsJh7s5c3s 6s5s4c2d2c Th7s6d3h3d 
KhJd6s3s3d Qc6h6d5h2c 9s9c5s4h4d Jh9d6d3h3c 
AsTd7s7c2s Ad8s7d5d2h KdTs6d4c2h Ac5h5c3s2d 
KsJh8c5c4d QsQh8c4s2d 9c8d6c4h2d JdTs8c5c2h 
Ts9s6c4d2d QcJc8d6s3h Ac7c5h3s3c Th8h8d4s2s 
QcTh9c5c2s AdQh9c7s3c Qd9c8d4h4c AhQh6h5h3s 
KcJs5h4d3s Ad4d3s2s2h QdJhTs7h2c 7h6s5s5c2h 
8c7h5c3h3c Ad8s3h2s2d Qs9s6s5h3c Qd9c8h7h2c 
KhJcTd3s2c 9d7s6d6c2s Th8s7s4s2h QcJhJd3d2d 
AhTd5h3c2s Ah8c7h5h2s JhTs7h2s2d 8s7s6s6d5h 
Jc7s7h4h3c 7s5d4c3s3d Jh8c5s5c2h Js7h5s3h3d 
Qd9d8h8d6d JcTc7h4s3c AcKc5c2s2d Th9c7d7c2d 
Ah8s8c5h3h Qd9c8c4d2h KhTh8h5c4h AcTh5d2s2c 
9c8c6s4s3s AhTs7d4d2s 8s6c5s5c2s Ts9c8c7c4d 
KsKhKcTh3c TsTh9c5c4c 9s8d6d2s2c Qh8s8d7h3s 
Kc8c6h4c3h 8d7s6s6c2c Ts9s8d6s2h Qs7s5h4s3h 
AhJc8h5h3h AcKd4c3h2c JcTc8c4h2d TdTc9d7s2h 
9c8c7s6h3d Ac8c6h5d3c Qd9s5c4c3s KcJhJc8c3d 
Kh9h7h6h5h Js9h8h4c3c KsQcJd6h2c KdJc8h8c2h 
KcQd9s5s4s Qc7h7c6s4d KcTs7d3d2c KdQc9s5s4s 
9c8c7d5s3h QdTd6h3h2h AcKs7d4c2c AsKcTh6h2d 
AdKhTs6s2c AhQs5s3d3c KcTh9d8s2h 8c6h5h5c2c 
AcTd7s5s3h Kh9d8s6c3h AhKd5h4h2h Kd7h7c5h3c 
Ah9c7c5d5c Jh8d7h6h4c KhQhTc7s2h Qh9s8h4s4c 
KhJs9c7d4c JsJd5h5c3c 9s7s7d5h3c As7h6d5h4h 
Ts8c6d6c4h 8h7s5h4s2h 7d6d5c4d3s QsJhTh6d2h 
QdJs7s5c3h KsTs4c3d2c JsTh8h6d2c Th9h9d6h4h 
AsKc8c6c2h Tc9s7s5s4h JdTsTc6h2d KdQh9s5s4s 
KsJs5s4d3h KsTs6c4s3h KdJc8h4h2c Qs9c5h4s2c 
QhQc7c3h2h Kd7c6d6c2c Js6h5h4s3h AcQh9s6c2c 
JsJd9s7h2c AsTh5s3d2c AhKc5c3c2s QcJd9d8d4h 
Qh8d8c4d4c AcQc6c5s3c KhQh4s3h2s KsQd9s9c3h 
Qh9h7c5d2c AdQh9h6h4s QdTs8h5c3s AcTd6d3c2c 
QcJc7d5s5c 9c8h8c6s4c AdJd6h4s3d KhJd8c6h3s 
Ah8s4h3c2c Kd9d8c4c2h QsTs7c5c2s Js9s8d4c2c 
Qs9d5h4h3d Kd9d8c7d5d 7h7c6c5c2h AsTd8h7h3h 
KdQsTd3h3d 9s6d5s5d2h Tc9h9d8c2s As8s7h4c3s 
Tc8d7d6d4d Qh8h7h6s6d Ts8c5s4c3c AcTs9d5s3h 
7h5d5c2h2d QhQc9d5s2d Qs7c6d5s3h AhKc4s2d2c 
KhQsJc5c2c QhJh9d8s3h Kh9h5d5c2d JsTc7c2s2h 
QsQc7h4d3c KcJc9h5c3c AcTh7d3s2c Jc8h8d5s4h 
Jd8d6h4c3c 8d6d6c5h4d AcTs7d5s3h KsTc4h3h2s 
9s8s8h6c4s Jh8c7h6h4d KcTc9c7s3c 7h5h4d3s3d 
9s8d6c5h3s Kc8h7c4h3h Kc6h5d2h2c AhJd7d4s4c 
KcQd9s6h2c KdJs8c3s2d Ah8h6c5s2h AhTd5s2h2c 
Qd7d6h5c2h KhTh4c3s2c Tc7h6s3s3c KhTd9c3s3h 
KsQd7d3d2s KhTc6c4s2s QhTd6c5c3s Th6d6c4h3c 
QcTd8h5s5d AsKh4d2h2c JdThTd6s2d 9s8h7c2s2c 
JdTd9s3h3d AhKc4h2s2h KcJc9h2h2c KdQsJc4s2s 
QcJh9h8h2s KsThTc6d3d AdTc8d6d3d QsQc8c5c2d 
8c7s6d5s3h KsKc8d4h3h AsKc8d5d3h AdQs5d5c2d 
Ah6h3s3d2s 9h8d7h4d3c As4s3d2h2d JdTc8s5c3c 
KdQsJd6d2h Kc7d6d4s3s Jh9h7d4d3h KcQhJd7h3h 
Ad6c5s4s3c AcQd9d6s4d AcTd7h3c2s Kh9s5h3d2s 
Kd7c5d3h2c Jh9h8d4s2s Qd8h8c4h4c Td7s7d6s2c 
Qd8h8d5d2h JcTd5c4c3c KsTh3h2s2c 9h6d5h5c2c 
QcTs8d6d2h 9h8c6c2s2h JcTs9s5s2d JdTd7h4s3d 
KcQc6s4d4c 8h8c6s5d2h 8c7d6h6d5d JsTd9s7c2s 
KdQdJd9d4h QhJh8h6d4h Js9d8s4h2d Ah8d7h5h2s 
AsQh6d5h3h AhQs9d6h2h AhQc7d7c2d QhJhTh5h5c 
Js6d5d4s4d KcJc9s8h4c JdTs8s7s3h Ks9h8h7d5h 
KcJd5h4s3d Kh9c6c5d2d Jd9s9h5h3c QsTh8c4d3s 
AcKs5c4c2c AhTc8d7s3s Ts7s7d6d2h KhTdTc6s3s 
Qc8d7h5h3d AsQh5h3d3c Jd8s7c6c2d KdKc9s4h2s 
6h5h4c2d2c KsQdTc3h2d Kc8c7h6d3s 7s6d5h5d2s 
Ad8h7d5d2c Ah8c6c5d4s Jh8s6h6c3c Kh9s9d6s5s 
KsJc5h4d3c KhQsJd8c2s Qc8s7h6h3s KsQs8c7s4h 
8d5d5c2d2c KsTh9d8c2h Qd9c7c4c3d AdKc7s6s3s 
KdQdJh8d3s AdQd9c6h2d AhJd3s3h2c QhJs5s4s4c 
Qh8h7h6c4d Jc9d7d5h4d KcQd7s7c4c AhKd7h4h3h 
7c5h5d4h3d QsQh8s5s2c JhTh9s7d2h Qs9c6h6c5d 
Js8s7c6h2h Qd7s6h5c4c JsJh4h3s2s Jh9h9c6h5h 
8s7h7c2s2c Jc9s8h4s2c Ad8s6d5c3d KdQh6c5s3c 
KsJc6d3d3c QdTs4c2d2c Ah8s6d5s2d Ah9c7h6h3h 
Ts9s8d5s4h Jd9h7h5s2s KcTd8h8d5d QsTc8h6d2c 
QsQcTd7h2d Jc9s5d4c2d Ks9d8h8c6d Jc9s6d5c4c 
Ac8h7d5s5h Jh9d5h3d2c Ad5d5c3h2s JhJcTh6d2h 
KsQsJs8d3h 9h6s5h4s2d AcTd7d5d3h 9c8h5h4c3c 
JsJc8h6d3s AcQd9h7s3h QdJs7c6h3d 9d8h5h4d3c 
AdKsQh6h2h Qh9d8c7c2d AcKh4c3d2c Qh8c7s5d4s 
Jh8h7c6s2s AsQs9h3s3c Kh9s6d4s4d Qc9s9c4s2d 
JcTsTd6d2h KhQsJc6d2s QsQh7c4d3s JdTc8s7c2c 
QsQhTc7d2c AdJs7h4s4c As8s6h5d3s KdTc4h3h2d 
AcQs4d3s2d Ks7d5d2s2h AcTc8s2d2c QsQh7s3h2s 
AcQs5s4h3s JsTs8s6h3c Td9h8h7h4s KdQc9s9h5s 
QcJc9d9c6c TsTd9s4h3s AcQs9d6c2c AsQhTd3c2d 
Ac4c3d2h2d 9c8d7d5d4s Jh9c8c6c5c QcTc8d5h2s 
JcTh8d7d3d Jd9s9h5d4d KhQcJs7c3c Ks9d8c6h3s 
8c6d6c5s4c Qd4h4c2d2c KhQdTs7d2c Tc9s6h4s2h 
Jc8s7c6d6c 9h8d6c4h2d Qh8h7h6s4d Kd8d7d5s2s 
Qc8c7d4s4d AcTh4d2s2c KhJhTc4h2h KdJs9h6d2c 
KhQd5s5h3h KcJs9s7d3s Th9d8h3c2d 9d8h5h5d3h 
AcQd9h7h3s Td8s7s4h2d QsJs4c2d2c KhQsJh9h2h 
Tc9c7c6c4s Ts8d6s6c5s AcQd9h6c2c QhQc7s4d3h 
Jc9d8s5h4h Qs9h8s3h3c 9h9d7s7d2c Th9s5d4s2h 
KsQs8s8c5d AhJs5s5d2d Jc8h7d5d2h KdJh9d6s2c 
7d6d4s4c3c Qc9s6s4h2c Qh9d8c6d4s JsJh7c4h2c 
AsQs7d5s2h QcTc7c6c5c QdTd6h4d3s Qh7c6c4h3h 
AhKc4h3s2h KhJd9h6s2c Ah5h5c3s2d Tc7h6s5h4h 
JsJd8c6h3s QhJh6s3c2s 8s6s6d4c2c KcQs7c2s2d 
Ac9c8c5c4s Kc9s6s3c2d Kc7d5c3d3c KhTh8s7d2h 
9s8h5h4s3c KsTd4c3c2s Ks8s6s4h3h TsTd8d6c2h 
9h6c5d4h2d 8d8c4h4d2h Kh7s6s6h2s KhTh7c3d2d 
Jc9c6d5c4s KsJd8h6s3c KcTc7c4d3h Qs9h8c7c3h 
Jc8h8c6h2h Ks7h6s6h2h AsTd7c5c3h ThTc9h5d3h 
Ks8d5s3d3c AcKd7h4c2c 9c8h8d4h3d KsQc9h8d4c 
Qc9c7h4s3s AhJc5d5c2d Js8d7c5d2c 9h6d5d4s2h 
KdQc5d4d2h As5c4s3c2s AhQc7c6c4c JsJh9s2s2c 
Ks6s6h5d2c Th9s9d8s3c AcJd8c7c3c AsQs7h5s2d 
Jd9c7c5h3s QcThTc5c2s Qs5s4h4d3d Qh9h5d4h3d 
Td6h5h4h3d Ks7s7d5d2s Ac8c6h5d2c Kh8h6s5d2c 
Th9c8c6c4c Td7h7d6h2c QcTh9c5d5c Td9d8s3h2h 
JdJc7c5h3c QsTs4d3h2h 9h8s7s5d3c Kc9h5c3d2h 
QcJhTh6d2h Ks6s6h4s4c Ks9h9c7s3d Qs8h7d6s2d 
AhKd9s6c4c KdJs9d9c2d Ad9s9c4h3d AhTc7s5d3c 
QdQcTh7s2h Qc7h7c4h3s AcJc8c7c3s KsTs4h3d2d 
8h7c6d4c2d Js9s7h4h3s KsJs9h8s2d AsJc7d4h4c 
Kh9c8s2s2h Kc9h8h4c3h KdTd9s5d4d KcJs8h6h4d 
KcQdJh7s2c KhJs6s6d5s Ts9s8c3h2h KhQcJs6d2c 
KcQd5h5c3c Ac8s7s7h6s Kh9h7c5s4h Jc9h7h5s3d 
QsJd9d8d2h JcTh7s7d3c QhQdJc3c2c Jc8d7c6c4s 
KcJd7d6s2s KdTh7h3d2h Kc7h6h5s4h KcQd6s5h3s 
8d7h6s4s2h Qs9d8d4s4d KsJd8c6s3h 9h6h6c4s3c 
QsTc8h5d3c QcJdTc7c2s Js9d8c4c2s JdJc8h8d3d 
AdJh4d3c2s Td9s6h4s2h 9d6c5h4d2h Th9h8h6h6c 
KsTs8c5s4s KcTh8s4s2h Ad9h7d6d3d Ts6d5d4d3s 
KdQdTs7h2d KsJdTd4d2h AhTd7d5d3s AcTc7d6h2c 
Kc8c7s4d2s JsTc9s3s3d Qd7c6c5d2s 8c6s6h5d4s 
Ah8h6h4d4c QhTh5d4c3h AsKh8h6h2d Jd8d8c6c2d 
Qh7c6d5s4s QhTc6d5s2h AdQsJs8s2s KcQhTd6h2h 
Ts7s7h6s5c KsQh5c3h3d Jd8h7d6s4d Js8d7c6c2s 
Js8d7d5h2h 7s7c6d5h3h Tc8h6s5d5c Th8h7h7c2c 
AdKc7s4d2d QsTh8s5s2d Jh9s7h6s2s Js8c6c5d4c 
Qs7s7c6s5d QdJc9h8s4h QdJd9d5c3d Qc8h8d4h4d 
Td7h6c3d3c AsQh9h8h4h Jc9h7s6h4d ThTd9s4c3s 
AsJd8h3c2s Qs5s5c4d3d 9s8d7h7c5s JhTs4h3c2c 
Qh9d7d7c2h QsJs9s7d4c KhQd9c5c4c QcJc9d8c4h 
Qd7c6d5s3h Ks9d7s5s3h QhJd9h5s5h QsJhTh6c2h 
Jd8s7c5s2c KdQc4c3h2h Kc8s6d3d3c Qs8h8d7s3h 
Ah9h4d3d2s AdJsJc8h2h 9c8d5h4d3h Ah9c7d4s2h 
Jd9c8h5d4d Ts9d6d5d4h Jc9s8c4s2d AcJhJd3s2d 
KsJsJc3h2s 8h7d6c4c2d Ac6s5s5d3d AdTc7d5h2d 
KdQcTs7c2h KsTs9d7c2s KsQh3c2s2c KhQhQc7s2h 
QsQh7c6d3d 9d7d6c5s5d Kh7s5h3s3h JhTs8c5s3s 
QhTc7c5s2s Ah6h3d3c2d KcTd8d7d4d Ad8d6c5h3d 
JsTd8s6s3h Ks8c7h6c3h QsTs8c7h3s Jh9c5h3c2d 
KcJh8h8d5h Jc9s7s5h4s 7s6s5h2h2c AsJh9s4s2d 
KhJc6c5c4c AdTh7s3c2d Kh8s6h5d2c KcTd6d5s3h 
QsJc9c5c3c 9h8d7d5c3s KhTd7h3d2d TdTc8d5d4d 
Kh8h6h4s3s Js8d6s6h3h JcTh7c2h2d JdTs4s3c2c 
Kh7s7d5s3d 8c7s7h5c4c KcTh5c3s3d AhTs9s4d3c 
9c8d6h5s3c Qs9h5c4h4c QdJhTc3s2s 8h6s6c5d4s 
QsTd9s5s5h QhJc9d8c4c JdTd7s4c3d Kd7s6s5c4s 
QcJh8h7h4s Kh8d5d5c4c JsTh9c6d2s 8d8c4s4c2s 
Qs8c7h6s2h Ah8d8c5h3h Qd8s7d6c4d JhTh8h6s3d 
Td9h7h5h4s JdJc7s5h3h Qc5s5d3s3d JsJc8h6d3c 
8s8d6h6c3d AsQc5c4d3c AhTs7d5d3d QcJh8h7s4h 
QdJh7s6c3d Ts7h6c3s3c As6s3h3d2d 9h6s5c4c2h 
QdTc6c5h3c AsQd4c3d2c KdKc8s4h3h 9d8s8d4s2c 
QhJs4s4c2c Ad9s7s5s5h AsQd9s4s4h QdJs9s5s3s 
Jh9h7d5s3h Ah8s8h7h2d Jh8s5s5d2h KcQd6s5h3h 
QhTd4c2h2c 7h6c4h3s3c As9s7s4h2h Jc9s4h3s3c 
AcTh8d7d3d AhTd8s7s3s JsTs8d5s2c KdQsJh8c2s 
Kh9s8c7h3d 6d6c5c4s3h QdQc7h4s3c 6s6h5d5c3s 
Th9h8d3c2c QdJcTc6h2c Jc8c6c5d2d Qs8h8d6h5h 
Td8s6c5h5d KhQsTd8s2s TsTh9d4c3d Js7c6d4d3c 
Jd7s5s5h3h AcKc9c8d2c QsTs8d4h4c Kh6d4c3d2h 
Ks8s7h6d3c 9d6s5h4s2d Qh9d8c4d2h Qd8d7d6c4h 
AsTs8s6d3s QcJsTd7s2h Kd6c4d3s3c QsQh8d4s2c 
JsTc8c6h2d KsQsJs8h3c QsQd7h6c3c Ac8d6c5s3c 
KhJd9h8c4h 9h8d7d2h2c KcTc8c5h3d KsQd6c5h3c 
Ts8d7d4h2s 8h6h6c2h2c 9h8h7d7c2c Ts6s6c5c3s 
8s8h6c5d3d AdTd7d6c3d AcTs6d5h4d Ac7c6s6d2h 
Th7s6h5c3d KcQcTh7s2c AhQc9c6c4s KdQh9d9c3s 
Tc9c5d4h2h 9s8h6h2s2c Kc8s7h6d4s AsQh8s3c2d 
ThTd8h6c2s KhThTc8h2d Js9d5s4d2d QhJd8h5c2s 
8c7h5s5c4d QsTsTc6d2s Kh8d7h4s2d Jd9s5h4d2h 
QdJd7d7c3c QdQc7h4s3d As9s8s5s4h AsJs9s9h2s 
Js9c8h5d4d Kc5s4h2h2c KcTh9s6h3h Qs7s7c6h5s 
JcThTc3s2c KhQcJd4c2c Qs8d7c4s3d KsTs6s4c3h 
7h5h4d3d3c KcQhQd3s2s QhTh9s2d2c JdJc5c3h2h 
Td8c5d4c3c Ks9h9c6c5c JsTd8d7d3h Jd7s7h4h3d 
JsJh9c6d3c Tc9h7s7h4d AhTsTc7s2d Ad9s7s5c4s 
JsJh7h5c3h AsQh5h4c3h 9c6h5d5c2d 7h6h5s2s2c 
9c8s5s4c3c 9d9c5d4h2h QdJc9d5s5d JsJd9c6c3h 
AdKdTd2h2d Ts9s8h6s3c Ac6d3s3d2c 7d6d5c2h2c 
KhQsTs7d2c Jc9h5d4c2d Th9s5c4s2h Qh9d6h5h3c 
As9s8s6c2h 7h7d5h2h2d Kh7c4h3s3c Qd6h5c4h4c 
Ks9h8d2s2h 6s5h4s4c2h Ah7s6c5s4s QhJc9h8d3h 
KsJs9c8h3s Ac9c7c4d3s Td9d8h6d3c Jh9h8h5s4d 
QhJh8d6c3s Kc8d5c3h3d 9d8h5s4h3d Qs8s8d7c2c 
KsTh5s4c2d AcTh8d4s4d Qd8c5d5c2c Qs9d7h7d2s 
AdTd8d6h3d As9h7c5c4d KdQhTd4d2c AcKd9s5s4s 
QdJh6d4s4c Ts5s5c3s3c Qd7d5h4d3h AdJs8c3h2d 
6s5s4c2h2c QsJdTc3h2h 8s8d4s4d2d Ks9c5h3h2s 
QsTh6d5c3c KdTc6s4h2d KcQd5h3s3d Qs9h8s4h4c 
Jc8s6s5h4s Jc9h9d5h3s Tc9s7h5h5d Ks9c8c7h5c 
Tc9h8h6d3h Kh9s6h5c4h Tc9d6h4d2h Ah7d3h3c2c 
Kd5s4s3d2s QsTh6c5c3d Jd9h7d6h2h Th8h6c3d3c 
Qs7s7c5s3c Jc8s7s7h2c Ts9c6s5s3h Kd9s8h7s5s 
Js9s8d5c4s AdQd9c3s3d Tc8d8c7c4s Kd6s6c5h3d 
AsJc8d3h2s AsKd5d3d2h KhQh9s4h2s Td7s5s5c3c 
ThTc6d2d2c AcJs9c4c2h KdQd8s8d5h AdQd9c6d2s 
8h7h7c6s4h AsKc5s4s2s Qh7c6s5h3d Kc9s8h7c3d 
AsJd5d5c2c Kd7s7h5s3h Td9s8s7s4h KhTh8d6c3h 
AdJs4h3d2c Tc6s5s4s3c AcTh8s4s4d JdTc8s4h2d 
As9s8c3s2c TdTc6h2h2c QhJc9h5h5d Qh8c7h7c2s 
Jh9s8h4c2s Td9h8d4h2d KdJd9d8c2h Kh9h5s5c2c 
Kc8d7s4c2d KsTh9c8d2h QhJh8h7h6h AcQc9d4h4c 
AcKh9d5d4d Td9h8s7d3c Qh8d8c6d5d 9c8c6h4s2h 
Tc8s5s4c3c KsQs6s4c3d Qd9d6d5c3s QsQc5h3c2d 
Qh7s6c5h3d Kh8h6s5c2d JcTc8d5c2h KdJc6c5c4c 
AhTs9s4c3d As7d3s3h2h Jh9d7d5s4d Ad8d6c5s2d 
JsJh9s7d2c JcTs8d7s2s AcTh8c6c3c 9h8s7c3s3h 
Th9c7d5s5d KcJd6s6c4c Tc9d8h3d2c 9c7h6d6c2h 
QsJsTh7s2d QcTs3d3c2s QcTs9c4h4d QhJh9s8h4d 
Kd8h6s5d3c JcTsTc4c2h AsJc5s4s2d QhJc4h3c2h 
KcQsTs7d2h KsQd8c6c4h JdTd8s5c2d 8h7h6s6h5d 
Kd8d6s5c3h KdQd6c2h2c JcTd9c3h3c AdQh5d5c2d 
KcJc8d6h3s Qh9c6h5h3d Kh7h7c4h3c AsKc7d7c2h 
KsTs5s4d4c 6s6c5c4d3h QhTd8s5d5c KcTs6s5d3h 
9c8c6s4h2s Qs9s9d4d2c KdTh5s4s2h As9d9c5s3s 
Ts9h8d6s2c 7d6s5s5h2d JdTs4h3s2h AsQd9c7c3h 
QsJc9c8c2h KdTh5c4d2s Ks8h7h4s3s AsQdTd3h2d 
JdTdTc3h2d AdTh5d3s2c AcKh8s5s3d Qs8s7d4h4d 
KsQh9c8d4h Jd9h8d4s2h QhTc8s6d2c KcTh5s4s2h 
KcQh5c4c2s Jh9d5h3d2s Kh6d4h3s3d QcJc8h2h2d 
KsQcJh5h2h Js6c5d4d2s QhTh5c4s3h Ah9h9d4h4c 
Kh9s6s3h2d Qs7d6s5c3h 9d9c5d4s2s Jd9s6s3d3c 
9h8h7c5s3d AcTc8s2h2c Jd8c7h6s4h 7h7c5d4s3c 
KdJs6s6h5s QsTc8h4d3s AdJs6s6c4h Kc7h6c4h2h 
QsJs4h2h2c Jh9d8c4d2h KcJd8h7c2s QsQd7h6d2c 
9s8h5s4h2c Qd8h6h3s3d Jh8d8c5s4d 8c7h6s4s2h 
Qd8s7d6h4d Tc9h8d3d2h Js7h5h5d3d 9d7d7c5h3s 
KcTd7h3h2c Td8h6s4d4c KdJhJd8d2s KdQd7s6h3d 
QcTc5s5c4c KdTh3h2s2d TsTd6h2s2h Ts7h5h5d3d 
JsTc4s2s2c Qc8s7h6c2h Js8s7d6c2c ThTd7h5s3c 
KcQsJd7h2c QsJs7s5d4s Td9s8h3s2d QsJhJc3c2c 
KdJs8c7d2h KsQhTc8h2h Kc7c5d3d3c Ad6c5d3h2s 
AhJc6d6c4s AcKh7h7d2s Jd8d8c6d3c AsQh9h6h4c 
