QcJc9h5d3c 
QhTs6d5c3s 9s8d7s7h3d AhKh8d3s3c KcJsTh6d3d 
QcTh9d5c3c KcTc9c4s3d AsJs8s6s4d Qh9s9h6h2s 
KcTh6s5c3c AcTc4h3h2h Jc8d6h5d3h Kc8c7c6s5c 
Js8s7c5d2c 9c8d8c5s5h Kd7s7c3d3c KsJh7d3s3d 
Ad9h9d5c3d Kh9d7s7d2h Ad8d6d5s5h KdTc4c3h2d 
AdTd9d6d6c KsJdJc4d3d 9c8h8c7d3d Jd9s6d3s3c 
Ad8h6s5s3h KdTh9h6h4c Jh6s5h5d4s QcJdTd4d2h 
Jd9d8h8d6s Td8h7h4s3d 8c7c6c5s2s QcJs7c5s2s 
Kh9s8s4c3h Qd7h6s6d3h AsQh5d4s2s KcJc6c5h4c 
JsJhTd8c2c AcTd6d5s4h AhQs5c4h2h AcTc9s6h2c 
Qd6s5d5c3s Ts9s5d3d3c KdTc9h7h3h AhJh7s7h3d 
JcTs6c4c2s QdJd9c7c2d KcQsTc8h2c KsJh8s4h2s 
KhQd9c5s3d ThTc7c6c4c QsQd6h3h2d QdJd7c5d4s 
JhTd7h6c2c KhJdTh2s2h Kh9h8d5h2d KsJs8h8c6s 
AcQd8s2h2c Ks9d7s7c2c Ac8s7s5s4h KhQs7c4d3h 
QcTd5s4c3h KcJs9s7d4h AsJc8c6c5c Td9d8d7d7c 
QdJh9s6s6c QcTd8h5c3s AcKd9d3s2s AhQh9h7h4s 
AcTc8c7d3c AcQsTh3d2s AcJh7h6h5h JsTc7s7c2c 
Qs9d8s5s2d Tc8d6h6c5s KhJc9d9c6c Qs9h6c3s3h 
JdTd9s6h2c KcQd8c5h4c Jc9d6d5c2d 9d9c7s6d3h 
KsTh4h4c2s AcTh5d4d3h ThTd7c5h2d Td8h6s4d2h 
KhJdTd5d2c KcTd8h7s4s 7d6c5d5c2s JhTs6c5h3d 
Td6c5c4d3h Ts9s9c7d3h QcTsTd2s2h Jh8c7h5s4h 
AsQh9h9d3c As7h6c3s2c AdQhTh4h2c JhTh9c3s3d 
KhJsJd6c3d Tc9d7c5h3s AhJh9c7d2h AcQsTs4s2d 
KhJh8d6d2h QhQc6s3h2s JcTc8h6d2s Ac9d9c6s4c 
QsTc6s4h3d AcQh5c4c2s QhTc6s5d3c AsQhJd6c2h 
8c7h7d5s4s TsTd3s3d2h Js9c7d4s3c AdJsJc6h4h 
QdJs8s6c4s AhTc5c4d3d Qh9c8c6d2d Ah8s8h7h3d 
AhQh9h7h4c Ah9h8h5s3d KcJs8s8d6s QdTsTd4c3d 
AsJd7c4h2s QdJc8s8c3s TsTh8s4d4c KcQs7c5c3d 
9s8s8d6s5s Jh8d6s5h4h Th7c6d5s4s Ks5h4s4h2d 
Kh9d9c8c4d Kh9d8c7c5s AdTh7c6c2h Tc9c8s6c5c 
Jh8s7h5d4h Ah9d9c5h4h QcTc6h5d2s KhQsJd2s2c 
QhJs9d6d6c Ts7d7c3s3d AcQh7c4s2d Ts8c7c5s2h 
7s6c4h4c3h KcQh6h5s3h QhJh7d6h4s Qh8c5c4d3h 
KhQs8h8d2d KsQs5s4h4c Td9d6c4d3c KcJd9h7s4d 
QhTs5d4s2d JdTd9h6c2s Kc5d4d3h2c QsQh8c7d4c 
8d7s7c6d5h KdTh9c7c3c JcTs5h4s3d KhTc9d7d3d 
QsJh7d6c4h Th9h7c5s2s KsTs9c5h2d QsTs8s8d4h 
Td8s8h6d4c KhQh4c2d2c Js8s7d5s3d QhTc9d8d3d 
8d8c7s5s4s QdTc9h5d3d As9s9d6c4s Ts9d7c5d2s 
AdTs8s8c3h Kc9c8c6h2h Jc6s5c4h3s KhQc8s7s5d 
KhQcJd9s2d Tc8c5s4s4c KsQd7h3s3h As8h8d6c5h 
QdJh8h2s2d JhTs6d4s2d Qc9d5c3h3d Th7d7c3h3c 
JhTc8s7h3d KsQh6d3s2d KhTc9c6d4c AsJs7s7d3c 
Ac4c3s3h2h KcJs6h5d4h AhKs5h3d2h KdJd8h5c2s 
AhKcJd5d2d QhJc9d8c2s KhJc3c2h2d QsJc8h8d5h 
JsJd6h2s2h QdJh7c4h4c JdTh6h6c4s KhTc8h8d4h 
KhKc8s3d2h QcTd7s3s3c Ts6s5c4d4c Td8s8c7d5h 
Jh6c5s5c4h JsTh5d4c3h KhQc6s5s3d Th6h5d4d3s 
Ac9h8d7c2c KcQd9h8c3s 9c8s5h4s4h QhTs6h4d3c 
QhJc9s2s2c QsQdJd7d3c QdJh7h7d3h KhJh8s5d2c 
QsJc9s6s4d QsTc9d7h3c QhJh5c3s2s JsTh7s7h2h 
Th9s8h5d4c Tc9c7h5d2d Ts6h5c4c3s 9h8d6s5d4c 
KdQd8h4c2h Ts7d5h4d3h KsJh9c7d4h As7s7c4s2c 
AhJc9c5d4c Th9d6s5h2s KdTc8s7h4h Ks9s9c6h3d 
QcJh9c7c5c JcTs9h6h3h KhJhTd3s2h Jc8c7c5d4s 
TdTc9h8c2s AdQc8s5s5h Js9d9c5h4d Ts9h8s5d4c 
KsQcTd3h2s QdJh8d5d4d Ts8h7d5h4c Kd8s5h4d2h 
Ac7s6d5d4h Qh8s7d6h6c Ad7d7c4d2c Td8d5s4s4d 
Th6c5s4h3c QcJc8c5s4c Qh9c8h7h6h Js9h7s7d5s 
JsTs9h9c4s Tc7s5s4h3h ThTc6d4h2c Ts8d5s4h3d 
AhJd8d6d4s KhTd8s7s5s JhTh9h5d2c QhJc7d4d4c 
Ah8d6h4s2c Kh9h8h6d2d QcJh8h7s4d Ks6s4h4d3d 
Ah9h6h5s4c 8c7d5h4c2d Kh7h7d6s2d QcJdTd7h3d 
Jc8h7c5d4c QhTd9h7s4h Ks9d8s5s2d AsKsTs3s3d 
KhQd8c7s5c Ad9s8h5h2s QdTdTc2s2d Ks6c5s3c2d 
Jd8d7s5c2s 7h7d5s5d3c QcTh7s5d5c AsTc9h6c4d 
JhTd9d6d4d KdTd9s5d3h 9d7c5s3s3d Th9h7h6d3c 
KhTh7h5s2s AhJc9h8h2h AcQs9s5h5d QcTh9d8s3s 
9s8s8d7c3c Ah7d6c3c2h Qd8s7h6h2d Jc8s7h6s3c 
KcQd7h6d2h 9s9d8d2s2d Jc9h9d5s4c Qd9h6c3d3c 
Qc9d6h3h3c QsJs9s7c2c Js6d5d5c4s 9s7h6h5s2s 
KdTs4s4c2d Jc8h6d5h3d KsQcTd4c3c Jc9s9c6h4d 
KcQsQh8d2s AhTd5d4s3s KhJd8s3h3d AsTd7h6h2d 
8c7h6h6d5s KdTh5s2h2d AsQh4d2s2c KdJd9s5h5c 
JsTh8h8c4h JsJc7d5d4d KsQdJc4h2c Ad7h6s5s4c 
AhQh6h5h5c KcJc9s8c4h 9h8d6d5s4c QdJd6c5s3d 
Qd8h7s6d6c KhTc8d7s4s AhTd7s4d4c Ks7d6s6d2h 
Ah7h4d3d2s Kh9h8c5d4s QhTs9d8c3c QcJh8d5c3s 
9h8d7d6c2c Td9h9c5h4h 8s7s5d5c3c QdJd9d7d5c 
KcQsJd3h2s TsTc5s5h4d Qs5s5h4h3d 9h8c7d5h2c 
Jd9h7s7d5d Kh5c4h4c2d Tc9c7d4d3c KsQh6h5h5d 
KcTd6s6c4c Kc9c8s6c2s KcJc8d6c4h KhJhTc3d2h 
AsQc6d3d3c AsKd9d5c2h QcTc9s4c3h QhTs9d5d3c 
JhTh9h5s2d KsJc9h9d3s Ts8c6d6c3s 6s6d4h4d2h 
Js8d7s6d2h KcQs7c3d2s KcTd9s8d2h Qd4s4h3h3d 
Jd9s9h5s5c AhJd9s5d3c Jc8h8c7s2s JhTc8s5h3h 
KhQc7h3h3c QsJs7d5s4c Ad9h8s5s2h KdTc7h3c2d 
KhTc8h7h5h Qh8s6s5c3c KsJd7h5d2h TsTd6h2s2d 
KdJhTs4c2h Ts8h7d5s2d KsQs6c4s2c Jd9c7d6c2s 
JsTs9s5h2c KhTc9s5h5d KhJc9h8h4d Qd7s7c6c4s 
AhTs5h5d2c AsKsTs5s2h JsTd8c5s3h KcThTd9s2s 
Td9h6c5c2d QhQdJc6c2s KcQcTc8s3h QdJc7d6h4d 
9s6c5d4s4c KcQh9h2h2c 9h8h7s4s4c KhJh6s6c2s 
Ah9d6h4s4c Ah9s8d6d2s Kd8d7c5c2c JhTh8d6c2s 
9s7d5h3s3h AhJd9s7c4c Ks9s8h6s2h Ks7d6s6d2c 
QcTd9s8d2d 8c7h5s4c2h QsJsTs3h2d QsTd7s5d2d 
9s6h5s4h3s AhKc7h3s3h 8s7h5d4s2h Qs6d5s4s3d 
Ts9h8s6d4s Kd7c5s5c4s KdJh9s4c3d QdQc7c3d2h 
JsTs9h4c2d KsTh8h5d4c Ts9s7h5h2c Kd8d7d6s6c 
KcQsJd4h2d AdKh5d3s2d 9s8s5h4h4c Tc7s7h4c3h 
KhKd8s3c2h Qd8h7d6c2h JdTh7s5s5c 9s9c6s2s2c 
AsQd4h4c2s KsJd8d7c3c QsTs7s6c4s Jd8h7s6d4c 
QsJd9c5h3c Jh9d9c5s4h 7s7c4h3s3h KsTs9s6h4s 
Tc8h6h5s2s Jd9s7d6d6c Qh7s7c6s4c KhJh9d5c2s 
QsTh7c3s3c QhJs8d8c5s QhTh7c5s2s TsTd9s2h2c 
Jc9d6d4h4c Ts9s8h6s4c Th8h6h5d4s 9s8d7d6h2h 
KhQh5s4d3h KdQc8d4c3d AcTc6h4d2s AsKs9s9c2h 
QdJd6h5s3d AcKd9d5s2h KdTc6s6d3h QhTc9h6h4h 
KhJh8c5d2s KdQs7s7d2s 9h8s7s5c4d QhJh7c5h4s 
ThTc7h2s2c 9d7s6h5h4h AsQdJh6c2d JdTs9d6c2h 
KhQd8c7d5d AhKc9h7h3h ThTd5h2d2c JsJd4h3d3c 
Tc8s7d6s2d Jc9c8s8c5d 8h6h6d4h4c Th9c8d4c3d 
KhTd6h6c3s Js7s7h5d5c Kc8h8c7s4d QcJs8s7d4h 
Jh9c7c4h3h AhQh9h7h4d 9h8d6h6c3c JsTs6h4s4d 
KcTh4h3d2c Js8d6d5d3s QhTc5s4c2s Td8h5c4h2d 
AcKhJs8s2s 9h9c7d5s3c 9c8s7c4s4h KdQs9s6h6c 
Jh7d7c6h3c Tc9s7s5d2c Js9h7s7h3s AdTh8d4c2d 
9h8d6c5s4h 7h7d4s3s3d KsJhJc9h3h KdQcJh4s2h 
8d7h6h5h2d Qh8c6c5s3s AcKc7c4d4c AdTh4d2h2d 
KcJh6h3c2s 8h8c7c4h3d ThTc7h4s4d QhTc9s5d2h 
KhQsJd4c2d JcTc9d2s2h AcKd5c3s2c QdJd7c6c2h 
KsJh6c3s2h AcQh6s6d4h QhTsTd8h3h Qh9d8s8c6d 
9s9d7d6c2c KhJc9c7d4s AcKc9c8h3c JdTc7h4d3s 
AdQd9h4s2c AcQc8s6c2d JhTd6s6c5c KcQcTh6d2c 
AsTs7s5h3s Ts8h7c5h4d Qd9s8s6h2h Td9c6c4d2h 
Tc6c5s4s4d KcQd9c8s4h Jc9h7d4c3h Jh9s7h7d5h 
AhJcTc4c2s AcJc7h7c3d Js8d7s6d2c Jc9d6c3h3d 
Ah8h7h4s4c JdJc8s7s4s Td8h7h4c3d Kc7s7d3d3c 
AsKs9s8h3s QdJd7d6c4s JsTd8h6s3c JdTs5d3c2c 
KsTc5h3h2s Ks7h6s5h2s Ah5s5d2h2c Th8h6h5c4d 
KsJd5s5d2s Qd9d7s6s2h Jc8c7d5h4c JhTs8c7h3d 
AhQc9s5c4c Ks8d6h6c5s KhTd4d3c2h KhQd8h5s4h 
Ac9c6d3s2s QcTs8h6c2d AdJd7h7d3c 9s8h6s6h2c 
AsQh9s5s2d 8h7c5h4c3h JcTs7s6d3h AcJc9d3h3c 
Ks9d8s7s2d Th9s9d3h2d Qs9d9c5s5h KcQcJc7c4s 
8d8c6s6c3h KsJh7s5s3c Ad8s6c5c3s 9s9d8h8c2s 
Jc8c7s5h4c Kd8h8c5d4s Qs6d5s5c3d TsTh7s6s4s 
Jc8s7c6s2d Ah8s6c4d3h KsQh8h4h2s TsTc8d6d4d 
KsJc9c7h4d KdTc8c6c4h QsJs9d6c3s KdJd8c7s4d 
AcTh8s8h3d Tc9d6h6c2d AdQh7s6s4c KhJdJc9d3d 
Jd9d7c4s4c AhQs6d3s3d 9d8d8c6d5d Kh9c6c4s2h 
AcQc6h4s2d AhJh8h6d4h Td8s7s6c2c Ac9c6s3h2h 
KsJh9d5h3c Qs8h5s4s4h QcJd7d6h4s KdJdTs3h3d 
KsJd9s8s4c QsTh8c5s5d TsTd9s3s2d Jc6d5s5c4d 
QdTs6h6d4d As7h7d5d4c 7d6s5h4d2h AsJs5h3s2h 
QdTc9s7h4s AsJdTd7h2d JsTs9c6d2h Th9d8h5s4c 
Th9d8c4d2h Qc7d7c6d3d Kh8d5c4d2h QcJsTs4s2d 
AsTs5s4h4c AcJs4c3s2c QdTs6s6c4s Ac5d5c4h2s 
QcJs9d8s2h 8h8c6s4h2s KcQdJh9d3d Tc9c6h3h3c 
KsQh9d5c3h 9s8s7c5c2s QsTh9h8c4h AcTc8d3h3c 
QsQcJd7c2h Kc8d7c6c3d Tc9h9c5c2h AsThTc6h4h 
AdJh7s7d3d AcQh9d8h4h Kc7c6h3s3h Qd8c7d4h4c 
As8s7d4h2c Jc8c7h6s4d ThTc9c5s5c Tc9h7c5s3d 
QdJs8d5d4d AdTs9h8s2s AcQc8d6c2h AsTs8d3s3h 
Jd8s7d5h2s AsQd9c6d4d KcTh9s5d4h Ad7d7c6d5d 
9s8s8c6s5s 9s9d7s5d2d TsTd7d4h4c QsQd4s4h2s 
Qd8h5c4h3d QsJh3d2s2h QsJc3d2s2c Jd8d7h5s4d 
9h8h5c3d3c Th9h9d5s5h AdQd5h2s2c Jc9c7h4s4h 
Js9d9c7c2d AhTh5h4s4d AsTd7h4d4c QcTc6d3d2s 
JsJh8c6c4d KcTc6h4h2c QdTsTd4d3h AcQd9h6d4d 
Jh9s7s4h3h AsJs9s9c4s Kc9h8h8d6s AhQcTs5d2s 
QhTdTc8h3h KsQcTs8d2s 9s7c5c4s3c AcKs9c7c3c 
9d8h7h7c3d Js7c6h5s4d Qd9d6d6c5s AhTs5s4c3c 
QdJd5h3s2s QcTh6s5d3h AdJsJh9c2c KdJd8c5h2s 
Jd8h8c7s5d KsTs9d9c4s Ts8c7c4s3h 7h7d5h4s2d 
KhJd9s5c2h KcJc7c5d4c QdQc6h3c2h KcJh9s5d2c 
QdJc6s4h4d JhJd9s2d2c JdTd6s4h4d Ad8d5h3h2h 
Js9s8s8c7s 9s7c6h5h4h AcJc5s3c2s KcQc4d2s2d 
Qh4d4c3h3c JcTd7c5h3c Qc8s5c4s4c Qd9c6h3d3c 
9h8h8d7s3s KdTc9s8c2h AdJh7h6h4s QcJh6s4d4c 
KcTsTh5h5d QdTc9s7d3d AhQdTd5d2c Qc9s7d5s3d 
AdTh7h3d2d Tc9h8d4h3d 9h6d5h4d3h 9c7s6s3s3c 
KdTc8h4h3c KhTsTh5h4h Qc8h6h6c2d 9s7s7d6c5s 
QhTs7c5h5d KhJd8c6s5c Qd8h5h4d3s QdQcJh7d3d 
QcTc5c4d2d KcQd9h6s3d KhJhTc3s2h QdJh4d2s2h 
Js7h6h6c4c Kc6c4s4h3s AcJc9c5h3c QdTd6c5h2s 
KhJs7s7d3d QdJd8d6c2c As9d5h4c3s AhJd9c5d3s 
KsJc9h4d3s QhTh9s4h3c KdQd6d6c4s QhJs4h2s2d 
AhQh8c6h2d Ac7h7d5h4s QsJd8s5c3h QdQc4s4c2c 
7d6c4h4c3h KsKdKcTd6s 6s6h5s4c2h AcTh8h8d3s 
Kc9c8s5h4d AhQc9s8c4c AsJd9d8c3d KsQhJc3d2h 
KcJh3h2s2c Tc9c7s7c3s JhTs8h3d2d JsTd8h5s3c 
Ts7s5d5c3d KdJh9s5h3c QdQc9h8s3s QhJs3h3d2s 
QcJdTc3c2s AdKc6s3d2h KcJd9s5d3h QsTh9d7c4d 
AhKdTc7c2c AsTc9h6h5h Qd9c7h5c3h TdTc7s5d2c 
KsJsTc3d2s QsQc6h5d3d Qh9h6s5c3d JdTc7d5h3d 
KcTd6h6c3s Ah9h8h8c6h JhTs8c3c2h KdQsQc8h2c 
AdTd8d7c3d QdJd7c6d4h As7d4c3s2c As7d6h3s2h 
Tc9s9d6h4h JdTh9h4h3c Js8s8h7c2c 8h8d7h7c3s 
9h9d4h4d3c Jd7s7c5s3c Qs8d6s6d2h Jc9h8h4h4c 
KsQc7s3h2c Th9d8h5c4s QsTc9s8s5s KhQd5h4h4c 
Js9c8s5h4d QcTd8h7s4s JhTs7h7d3c KdTh9h6c4h 
Js7d6d4s4d Jh8d5c4h3c KdQdTs8c3d 9s9c6s4h2c 
Jh9s7c4h3s QsJs7s6h4c KsQs8c6h3d AdJh8c6s4h 
JcTs5h4d3s Qs9s5d4s4d KsQs6s6c4h Jc9d7c6d2h 
AcTc8h3d3c Ts8h7s7h2d 8h7h5s5c3s KsQhQd8c3h 
QcTh8d8c4c QcJd8s5c3h Td9c6s5s2d KdQh9s6c3h 
AsKs4s4h2c KhQh8s6h6c TdTc8h5h4s Jh9c7h6c2s 
AcKs9s5h2d KhQh8c4c2s AcQd9s6d4d KsQhTc8c3d 
Ks5h4s4h2c QhJd7d6s4c KsQdTh3c2s Tc8s5c4d3s 
AsJd8h4s3s 8d8c7d6d4h KcQc9c7s7c KhQc8s8h2s 
Th9c7c5s4d QsQh6c3h2c AdKs9s5c2h TsTc7s2h2c 
Js9s7d6h4c Td8s7c5s4s QdThTc2s2h KcJc8s8d4h 
JdTh5c2d2c QcTh9c6c4c JhTc5s4d3c JsJc8d6d4d 
KhJd9s9c3h Ts8d8c4d3s KhQh9h7h7d KsKd8h3s2c 
QsQc7h7d3s QcTd6c5h3c Ts9h6h5s2h QsQc4s4h2s 
KdTc9c7h3c KdQcTh3s2d TdTc9d8s4h AcTh6h5s4d 
KdJd9h6d4s JsJc9c6c4d QsJs9c6h3s AdQcJs5h2h 
Th9s7s7h2c QdTh9s8h4h Qh5h5c3h3c JsJd9d6d4c 
QdJdTh3d2s KcQcTc8s2h AdJd9h3d3c QsTh6s5s3d 
KhTc9d9c2s 5d5c4s4d3s 9s9d6d2s2d 9h7d6s5s4s 
Ts8h7d5h4h Qh9s6d5h5c Ks8s7d5d2d Tc9h8c6d4c 
Ks9d8h7h3d AhJc6d5s4c KcTc9d5c3h AhJsTc3d2s 
Ad9d8s5d2c Jh9h7h6s5h Th8c6c4d2h AhKd9d5c2s 
QsTd7c5s5h Jh9c7s7d5h AdKs9d6d4d AsJh8d4s3s 
KhQh4d2d2c JsTd9d4d3h Qs9h5s3h3d AhTh9c6d2h 
7c6s5s5c2d QsJdTs3s2c KcJh9s6h2s KhQd7s3s3h 
AhJh8h6s4h QsQd8h7s3c QsQh8c3h3d AsJh8h6h4d 
Qc9h8h6s2s Qd6d5s5c3s Js7s7c5h5d Ad7c4h3s3d 
Jc9s6c3s3d QsJs8d6s4c JdTd9c4s2h Ah7s6d3d2h 
KhTs8d6h2c Jh8d6s5c4h Tc8s8d4s3c KsJhJd6c3h 
KhJc9d7s4c JsJh8c7d4d Ah8d7d5d4s AhTd8s7s3c 
KdQhQd9d4d QdTc6s6c4c Qh8h7d6h4s 9s9d7h7c3c 
Kc9d8h7h3d QcTc9c7c5d Qc8d5d4c3s Kh7d6h5d2h 
Kc8c6s6d2d Th7d5s4d3s JsTh8c5s3d 8s7c5h5c3s 
As8h7d5d5c KsJh8d8c6d Th7d5c4d4c QdTc9h5s2d 
Js9s7c4d3d Td8d8c4c3d AdJh3d2h2d KhQh6h6d4s 
KdQh8c5h4h 9s8s8h7h2s As7h7c3s2c Qs9d7d6c2s 
AcTc5s3c2s AdJd5h3d2h KdQd6d6c4h AhTd5s5h2c 
AsTd9c6h4d KhTs9s6d3s 9c7d6s5h3s Ts9c5d4d3c 
Ah7d4h2d2c Jd9h9c5s5c AhTh8s3h3c Ks6s5c3h2h 
7d7c5s5d3h KhTc8s7d4d AdQd9c4h2s QsJc9d8c2h 
Ks7d6c4d2s Td9c5h4h3c JdTc6s6h5h AcQh7s5s5d 
TdTc6d4s2c Jc9s7s4c3c QdTh8c5s5d Kd8d6s6h2s 
9h7h5c3s3c Ah9d6s5c2h AdKd7d6c3d KcQc9c4h3h 
9c8s6h5d4c Qd7s7d6h3h KsJs8h8d6s Qs8h6s6h2c 
Jc7d6h6d4h AsQc6d5c3h Tc6c5s4s3h KsJhTd4c2h 
Qc9d8h5h2d KdQd6d4c2c KdJh9s9h5h Js8s8c7s5h 
Ah7d4s3h2s JcTh7h7c2h KcTs7d6d2s QsJh9d8h4c 
Ts9h8s4d2d Th8d7d4h3s As6s6c4s2c Kh7h6s3s3d 
JsTc9c4c3d Th9s7s5c2h KhJc7d7c3d QdTd8d7d4s 
Ad7h4d3c2h As8d8c6h5c 8h7d7c6s5s 9h8h8c7s2s 
QsJsTd3s2c ThTd8s6s4s 9s8c7h5s2c 9h9c7d6h3s 
QsTc9h8c2c AdQh7c5s5c QsJh8h8d3d AsKsQc3s2s 
9s8h5d4h4d Ah8s7c5d5c 9h8h8c5s5d QsTdTc6d3d 
QsJc9h6h6d QsTh9c8c3c QsJcTc7d3c 7s7d5d4d4c 
QdJh9d6d4c KdTc9h7s4s KcQc8h5d4c Ac7h4c2h2d 
AcJc8c6h4c Kh7d4h4d3s KhQh9c5d4h Ts9d7s5h3c 
9d8d5s4s4h 8d7c5c4d2h KdQd5s4h3d AcKsTd7d2d 
JdThTc6c3c Td9s7s7d2c Th8c7h5h4d As6s6d4s2d 
KsJc9s8s4d QdThTc6c3c KhJd7s7d3s QcTs4h4c2s 
QdJdTs3d2c AsQcTd5h2d Kh7c6h6c2s Qc9h7c4d3h 
QcTd9s7s4h AhKc5h3s2h Kd8d6c4c2h AsTd5s2s2d 
KsQhJd4c2d QcTd5d5c2d Jc7s6h5d4c QdJd9d6s6c 
AcQc9c3d2d 9c6h6d5h2c AsKd9d8c2d Ks9s8d7h4c 
QdJs8h8c5s Jc8h6h4d4c AhQs8c2h2d KcQc9s5h4c 
7c6d6c5s4h QhQc8d7s2h QhJc9d2d2c Kh7s6d4s2h 
AcQc9s9h2c AsTc8s4d2s KsQc7c5h3d KdTsTc3s2c 
Kd7s4s4d3h KsTc4c3d2s Th9h7s5d3c 9h9c8h2h2c 
8s8c6s2s2c KsKh8d3h2c KdQc9h5s3c Ac7s4c3d2s 
QhQd8c5h3h QhJh9h6d2d As9s8c2h2d Th8s5d4s2h 
Ks9s8d7c4h 8s6d5c3s3d Th8c7c4s3h KhQc9s6s6d 
AsQd6s4s3h KdQd8s4h2s Ac9c5h5d3s KsJc6c3s2d 
ThTc9c5d4c KhTs4s3c2h QhTs5d2s2h 9s7h6c5c4d 
QcTdTc2s2c 8c5s5c2s2h QsJdTd4d2c KhKc7s5d2d 
Kc9c8s5d4h AcQc6c5d4c KcJhTd6s3s Jd7s7h5h3s 
Qd8c7s6s2d QsJs9d2s2d Ad8h6d4s2c Jc9s9d5s5h 
Jh9d8h5c4s AdTh6h5s4c Kd9c8s7s3c KcQc5s4d3c 
QdJd9c6h3d Jc8s8h5d4c Tc8s8d4d3c Js8d7s5c4s 
Td7c5s4s3c AhJc4h3c2h KhQcTd3s2h QhQdJs7h2c 
KhTd9d7c3d KdTs8s6s4c As8h7c5h4h Ad9s8c6s3c 
8s8d7d2s2d QhTd5c4d2c Ks8s6s5c2c KdQsJh4h2c 
Ts8h7h6h6c Jh9h7c4s4c 9s8s8h7d3d QsTd5c2s2d 
9h6h5c3h3c JcTs8h6c3d KsKh8s5s2s Td6d5c4s4c 
Kh8d6s6d4s AcJd7s4h2c Th8s8d6s5s Js9s7h4c3c 
QsJd8h8c5c KdTsTc5s5h Ks9s8d5s2d JsTh8c5s3s 
QhTd7h5d2d Ts9h9d7s4c KdQd5d4s4c QdJd7d6h4s 
QsQh6c3s2c JcTd9d8s2d Ad7h5d4s2c Jd8s8h5c4d 
KsKh7c5d2d KsQhQd8c2d Jd8s6h5c4d Jd8d7c5s4d 
KsTh8h6h4d Ts7s7d5s3d Jd9s8d8c6d JcTs7d5c3c 
9c6h5c4s4h Ts7d7c5h5d Qh9d7d6c2h Qs6c5s5h3c 
QsTd9s7h4s Ac8d6c3h2h KsKhKcTc6s KhKc9s4d3d 
Kc9d7s6s5s KsQd8d4s2s QdTd6h3h2c Ah7d6c5c4s 
Qc8s7h6h2c QdQc6s4c3c JcTh7c6d2d KcTs9s9h2d 
QcTh5d4h2d QcTdTc4c3h QsJh6s5s3c JdTd9c6h2s 
9c6s6d5h5c As4s3d3c2c JhTd6s4d2s KhTc8d7d5d 
JcTs5d2d2c Js8c6d5c3d KdQsJsJdJc AsQc7d5h5d 
Qs8h5h4s3c Td9h9d5h2d Qc9s9c4h3h Td8h8d7d6d 
KcJs8h8d6d 9s6c5s4d4c Qh8h6s4s3c Kc8h8c7d4s 
QcTsTh6h3h Qh9s9d5c4h KsQhTh7h4h JhThTd5h2s 
Jc9h8c5s4d AcKc9c6c4h AsKh7s3s3d Js6c5s4h3c 
JhTc6s6d5d AhJd9c5d4d AdQd9h2s2c AhJs9s8d3s 
QsQh7h3s2d JcTd9d8h2d 9s9d6h5c3c As9d7h7c2s 
QcJh8s5c3d Qs9c6h5s5d Th8s8d7d3s QhJs9h6h4d 
AdJh8c4d3d KcQh7h5d3s Jh8h7c6d4s AdTsTh6s4s 
Jc9d8c5h4s Th9d5s4s3d QdJc3s2d2c 9h7c6s5s4d 
JsTd8c3c2s KhQsJc3d2s As9d8d6d5h KhTs9s9c3d 
As9h5c4d3s KhTc9s7d4d KsQs5d4h3s QhQd6s3d2s 
9c7h7c6d5c TsTh5c2s2h JsTd7c5h5c Jh9h7d4s4d 
QsJh7s5h2h KdQd9s7d2s AsKh9h3d2d AcJd6h5c3c 
Jh8d7h6c4s Js9s9d4s3d KsQd9d7h2h Qh9c6s3s3h 
QcJs9c3c2s 8s7c6h5d5c Qc9s8s8c2c Kh9s7c6c5c 
KsTsTd7h2c KsTd9h9d3c KhTh9s5h3c Qs8s6d4d3h 
KcTsTd3s2d QsTc9h8c4c QhTs6s6d4s 8s7d6d5d2s 
Ks8h6s6h2h KdJcTh6s3s KsQs9s4d3d Ac7c6c5s4c 
Tc8c6c5d4h AdKs6h3d2c QhTd5c2h2d Kh5c4h3d3c 
TdTc9s8s3h QcTs6c5h3c KsTh4s4h2h 9s7d6d5s2s 
KcTd8d5h4s TsTd7c4h4d KcJd7h7d3h Ks7s6d3h3d 
8s8d7c6h4h Jh7s6s6d4d Td8h8d4h3d 9s9d6s4h2d 
Qs8s7s6s5d 8s8h7s5s2h 9d9c8c4d3h ThTc5s5d4c 
KdQd8h5s4d QsTs9s7s5d 8s8h7s6s4d Qc8h7c4h4d 
QdJd5d4s4c As7s7c6s5s Jc8h8d7s5c Qd8d6c4c3s 
TsTh5c4h2s AsKs9s6s4d Kc8c7c6c5s KdTs9s6s4h 
TsTd9h8s2c JdTs6h6c5c QhTs9c8s2s Qc9d5h3h3c 
QhJh7c6h4d Qc9c6h6c5d Tc7c5h5d3h 7h7d5d5c3s 
6s6h4h4d2d QhTh6d3d2s KhTh6s5h5d Ac7d4c2s2d 
Kc9s8s8d6h AhJd9s5d4d KcQhJs9d2s Ts8h7s6h2h 
Td6c5h4d3c JdTc8h3h2d Qc6c5d4d2h Ah9h9d6s4h 
QdTc9h5h3s AdQs4h3c2d Tc6h5d4d3c AhJs8s6s4d 
AdQd8s6d2c 9s8s7d4h4d Qs8s7d5c4h KsTd7h3d2s 
