Kd8d6c5h4h 
AdKsTc6s2c Qs9s9h7h6h AcQd9h7c2h KsQh6d5d4h 
AsQhTd9c7c AhKsQhTh6h KdQc8c7h4d KhJcTs6h4d 
AsJdTh5s3s AsQd7s4c3c KdQdJh3c2h AcQc8h6d2d 
QdTsTc5c3d AhTdTc4d2h AdKs9s7c5h QcTh6h5s3c 
KsKdJd9d4h KsQdTs9h6s KsQdJd9h9c QhQcJc9c7d 
QhThTd8d3c KsQhJc8d6s KsKhJc8d5d As9d7s5s5d 
AhJhTh8h6c 9d9c8s6d5s QhJdTh2d2c JsTc9h8h2s 
Th9h8d6c5d JsTh7d6d4s AcJs9c8d2h KcTd9h8c4h 
QhJc8c7h4s KdTd8h6h4d AsJcTd7h6d Kh8d7h6d4s 
AhQs7h6s3h Ac9h9d8s5c AsTh5c3s3h AsQhQc2d2c 
KhQsTd4h2d 9h9c8s6s5h 8d8c7h6c5h KsJd7h7d6h 
AhQcTh6s4h QdTc9h7c4d AsKh8h7h6d Kd8h7d5s4h 
KhQsJs9s8d AhJhTh5c3s KhTs9s5h4s KcTc9d5h3d 
KsQdTd3s2c AcQhJsJd2h QsQd8c7c4s AcTc5h4d3d 
AdKcQs7h5h KdTc6s4d4c AhKcJsJd2s QhTc8d5d4h 
AhKs9d7c3h QcJd8d7c4s AdTd8h4s2s AdKcTs4c2s 
KsJc9s8d2c JsJh8s5s4h AhQsJc3s2c QhTd8h7d5h 
8s8c6s5d5c Jc9h8h6h5c AcJc9h7h2h KsJc9d6d4s 
Tc9s7s7h6h Ah9s7h7d6c AcQhJd8h7h KhJhTc2s2c 
ThTd7s6h5s JdTs9h8s8c KcJs9s9d6d KdQsJcTd4d 
AhKdJsJc2s KsJcTs9h4d Kh8s7c6h6c AdQdJd8c5d 
AhThTc3c2s JcTs9h6h6c AcKs5h3c2h AdKdQdJd7s 
JcTd7d6d6c AhQs9h8d4c Kc8h7c5s4h JdTc9d9c3c 
AsTh6s4h3d AcJh7s7h5s JsJh8h8c6d QdTh9d5h3c 
QdTc9s8s7h QdQcJh9d7d Kd8s7d6h4h AcKdTh6d2h 
AhTc9d8c4d AcKc9s6d2s KhJhJc9h8h AdQd6s4h3h 
QdThTc9d8d AcTsTd5s4d QcTh9s7s4c AdTc8c6h5h 
AsQhQc9c6c Ah8d8c7s5h KdTh7d5s5h AdKd9s9h7d 
AdJs9c7h4d JhTsTd8s3d KcTh9c8h2h QcJsTc8c6h 
QcTs9c5h3s QsQh9s6c3c KhKcJs4c3c Ac9c8s8h2s 
KcTdTc5s3s Tc9s9d8h8d JhTs9c6h6c AcTs9c4s2s 
AdKc8c7c6s KcQdQc6c4s AhKc6h4d2d QdTsTd9h7d 
KhJc9s5s3h AdJh7s6s5h AsKdJh6s3c AdTs6s4h3d 
AcKs9d4d4c AcJs8d4c3d Kc9d8h8d7h AsAdAcKs4s 
QdQcJsTh6s AsQcJhJd7d AsJsJc7h4s JhTc9d8d2h 
Td9s7d7c6s QcTh7d5h4c AsTc9s5c3s KdQdTs4s3s 
QdJd8h5h4s AhKs9s9d7c AsKd9d9c7h Td9c8c6d5c 
9s9h8s6c5c KcTc8s5s4s AcKsJc5h3c AdKsTh7c5h 
QcTd9c5d4c AsTc5s4h3h KcQhQd8d3h QsQh7c4h4c 
KhTh8c5c4c Td9h7c6h6c QsQd5c4c3s Kc8d6h5d4c 
AsQdTd7d6c AhKhJs9c6h KsJd9c6c4s AdQsJd5d3c 
QhJs7h6c4s KsKhQc4s2d QdJhTd6h3d KhQhTd7d3d 
KdJhTd5h2d KhTdTc9c7s KhKcTs4h2d KcJc7d5d4c 
AsQdTd9h7d AsJh8d6s4c KcQh6h6c3d 8d7c6s5c4d 
AsKcJhTh2h AhQcJsJd2c KdQsTh8h2d Qd9c8d7h7c 
AdKhQs7c5c QsJdTs5d2d QsQh8h6s3h QsQc9h4s4h 
QsQhTd4s2d KsJd9d6s3h KsTd9c8c7h KsJcTc4d3d 
AdKcTh7d2s KsJdTc8s5h AhKc9h8s4d AsQh9s7d7c 
KhKd7s4c3d AhTc6h4c3c KdJs8d7h6c QhThTc6d3d 
AsKd9d7h5c AdKsJs5s4c Ts9d7d6s5s AsKh9d4s4d 
KcJs9s9c3h AdKhJc4s2d KsTc9d8h7c KcJcTh2h2d 
AdKsTc7c6c KhJsTs4c3c AdJdTc8d2h AhTh9c3s2c 
KsQd8s5d4s KdQcJs8c2d Kh7d7c6h5c QhQc4h2d2c 
QcTdTc2s2d AdTd5h4s3s QcTdTc6s3s KsJsJh8c6d 
JcTh7c5c4h KsTsTc7s6d KdJcTd3c2c KhQd5h5d4d 
KhJsTh9c4d AcKc5d3h2h Ah8h6d5s3s AhTsTh8h5d 
QhQcTh7d5s Ac9s8c5s2h AcTc6s5c4s AhJhTd8c3h 
AsQh7d7c5s KcQc9h5s4h AcKhQh8s6h JcTc9h4d3h 
QhQcJs6h2s KdQc6d6c3s AsKs9h6c2c AdQsQc9c6c 
KcTh9s4c3h KhJc7h6c4h AcKc9c7h3h JcTs8s7h6d 
KhQsJhTh6c KsTs9s7h6c KcQhJhTd4s AsQhJs9s4c 
QsQd5h4h3s AdJcTd6d5h QdQcJd6s6h AhQs6h5c2c 
QcTh9d5c4d KsQcJhJc5d QhThTc2s2c Tc8h8d7d6h 
AdQd8c7d5h TsTc9d7d5s AhThTd8h5c QcJsTs5d4h 
QhJdTd7c6s AhJsJd6c4h AhQh8d6d2d QsJsJdTh6c 
KdJcTh9d2s AhKcQc4s3d QhTd8s7h4s QhTd7s6s6d 
JcTh9s8s2c Qh8c7h6c5s KcQdQc5s5c QcJh7h5c4c 
AdJh8h5d3d AdQcTs9h7h Ts9c8s6h5c AsQd7d3s3h 
QsTh7c6h6c Jh9s8h7s5h AsJh9c3s2h Ad9s9d7s2h 
AhQh8s6c2c QcJhJcTd6s QsTh9d9c8s JdTh7h6h6d 
AhKsJd9s5s KhQhJc7s5d KcQhJs8d7h TsTd9h9c7c 
JhJcTc7h3c KcTh7s6s6h JcTc9d8s8h AsKsTc2s2c 
AcKdTc7s3c Ad7c5h5d3h AdTdTc7s5d Jd9d8h6h5c 
KhQc6s5s4c KsQs7c6c4c AdKh5s3d2s KhQdJc8s7d 
KcJd9c6h3d JdTd9c4h3c JcTd9c8h6s AdKh9c4d3c 
KcQhTs8s2c JsTd9d9c8h 9c8s8h6s6h QdQc5s4d3s 
KcQhJh4h2c KdTh8d7d4h KcQdJs8h6c 8s8c6h5h4c 
QhJs8s7h4c JhThTc7s6d JsJhTs7s7d KhQcJd6d2h 
KcQs8s7h4c KhQhTs9h6d AcKdTd9d4s Jh8c7c6s5h 
AsKdTc9c6c Js9d8s7d5s KhQcTs5d4h AsJdTc6d6c 
KhQhTs5s5d AhQc9d4h2c AdJc9h7s3d AhJh9d8c6h 
AcQc8d6h2d KdQhTd9d6s AcTh9s9d3c QcTs7h6s6h 
QdTh9d7h5d QsTdTc2s2d KdQsJcTd5d JhTsTc3s3c 
JhJd9s5d4s ThTd9s7s5h KsTd9c7c5d AhQh6c5d2c 
KdJdTh3h2c AcQh5h2d2c AsQhJdJc7d AcJc9d5s4h 
Jc9h8c7h5c KdQsJcTd6d KhQdJh8s6c KhThTd9h3d 
AdQhJc9c7s AsKdQd8h6d AcJc9d8s6c KsQsTd8d4s 
8s8h7d6s5d AhKdJs6c3h QsQd7s6d3s 8s8h6h5d4d 
AsQc4s4h3h AcJs9c4s2h AhKh8d4s3d KhQd7h7d4s 
AcKsTh4s2h JsTh9s6h3c KhQhJd6d2c AdJsTd5c3d 
Th9d9c8s8d KhTs7c6s6c AsKdTd9h5d KsTc9c6c3s 
Kd9d8s6s5s KcQc5h4s4h KsTd9d5s3h AhKh9s9d6c 
QdJs6h5d3s KdQc8h5h4d KdQcJc9c8h QdTc9d6s3s 
TdTc7h6c5h Kc9h8h8d7d AhKdJh7s7h KdKcQd7h4d 
AdTh8d7s4d KhJsJh8c6d AsQs9h4c3h AdQcTc7c6h 
Kh8s8h7s5c QsJd9c7d5c Js9d8d7d5s AdQsJh5d3d 
KhQsQd7d5c KcJhTc5h2c AsQh9s8c5s AsJh6c5h2s 
KhThTd6c3c QdJs9h8d8c KhJsJc4c2h QdJsTc7s6h 
Th9s7s7d6d KcQhTc7d3d AsTd9h9d5h AhKsJc9d5c 
AhTh5d4c3c KdJd8c7c4h AdQc7s7c6s AhQcTs6h4h 
AhQhJh5s3d AdQc7h5s5d KhJsJd4h2s QdQcJc8c3d 
AdTc8d7s2h AcQcJh6h2c AdQc7s7h5d KhJsJcTd4h 
KhQsJd9d3s QsTd9h7d4s Jh8d7d6c5h KsQsJc6s3c 
Ah9h6d5s3s Jh9h8s6d5s KhTd9c8c7s KhQcTs4s4h 
KcQcJsTc6h AsKhTc7s2d AsJsTh3s2h QsTsTh9h4s 
QcJsTc6h2s QdTdTc9c5d AhTs9d9c3h KdJc9c5d4d 
JsJdTh8s2h KcJs9c8d2s Kd9h8c7c6h AcQc9h9d5s 
AhKs7h4h2s As8s7d5s5d AdQdJd8d7h AsQhJc8h6d 
KsTh8h6d5d AhQdJsJc7s QhTsTh7h5s QhTdTc2h2d 
KcTh8d5c4d JhTd7d5h4h AhQdJsJc2d AsTc8d2s2d 
QhJh8d6d6c Ad9c8d7d4c AcKsTd9d6d AcTh8d2d2c 
KdJs9h6h4d Qh9s7h6d5d AcQdJs3d2s QdJcTs7c6h 
AhKc9c5s4s Th8s7h6s6d AsQd8s5s2d KdJh9c7d4c 
QhTh9s8h5s AsKh5d4s3c AsTsTh8s5c Ks8c7s5h4h 
AcJs5h3h3c 9h9d8h6s5s KdKcTs6h3s QhJhJd9d3d 
Ac8h7s6c4d AsQc9s8d5s KdJc9c8d3h AcJcTc8c6s 
AhKsJs5s4d QsTd6d5h3s KcJs5c4d3s AcQhJd4c2s 
KsQcJsTh3s AdTh4c3h3d KdJc9s6s4d KdJdTh5s2s 
Tc9d9c7h5d AhTs9s9c5c Tc8s8d7c6d KsJhJcTh5d 
Ks8h7s6c4c KdQhTd7s3s KdQdTc8s2c AdKd8d6c5h 
TsTd9d6s4h AcKcTd4s4h QdJh7h6d4c AcTsTh5h4s 
KsJcTh6c2s Jh9s8c6c5h AsQcTh9c4d KsQsTs5c3c 
QdJc7h7d6h KsQsJhJd2c AdKdJd9d9c AcKcTs4s2c 
QdQcJh6d2h AdKd8s4s3c KdJcTc2d2c QsTdTc8d7h 
QsQhTs7d4c Ac9s7s5c2h QhJcTd9c6s AsTd8s7h2c 
AsQh7h7c6c QdTs8c7d4c QhJhTd6d3d KhQdTs4h2s 
AdTd6c5c3c AdQs8d4s4d AsQs9s5h4h 9c8s8c6s6d 
QhTh9s5d4d KcTh9d8d7s AcJd8d8c3c AsQcJs5s3d 
AdTd9s6s6d KcJsTc5s2c AdQhJsJh3h Tc9d7c6s6d 
KcTdTc5d4c AcKc7d4s2s Kc9d7d6h4c QdTd9h5s4s 
QdQcTd6h5d QsQh7c4s4c AhKhQh4d3s Ah9s9h6h5s 
AcQcTd5c2d AdTh9s8s3h QhThTc9c5h JdJcTc4s3s 
KdJd9c6s4s KsQsQcJs7d KcJh9h5c4c JsTs9c5h3c 
Td8h8c7h6c QcJh7s7h6c AcQhTd9s7s AdQs9d8d8c 
8s7s6d5h4h QcTc9h8c5h KsQs8s8d7d KhTd9s6d5s 
AhKhJh8d2d QsQcJh5d5c JsTd7h6h4s AsKcTd7h5d 
AhJsTh5c3h QsQhTh7d4c KcTs8s6d5d JhTs7h5s3c 
AhTh8s8c7h Kc8d7c5h4d TsTc8s5d4c KcJcTs3s2h 
AhJhTh8s2d Ad8s8h7c5d QhJcTs7c6d KhQdQc7h2c 
KcQcTd4d3d KsKdTd8d5d AsQcJh8c7c AcQdJc9h4c 
QdTsTd3s3h KsTs9c5h3c AdKsJs5c3h 7s7c6h6c5s 
As8h7c5s5d KsQcJsTs6d JsJcTs9s8s KdQdTh8d6c 
KsJh5h4d3s QcTsTh9d8d JdTd7c6c5c TsTh7d6h5d 
Ac8s5c4s4h KsJc5c4d3s KcQsTc9c6h AhKdQd9d9c 
QhTdTc5c3h Kd8s8d7s5h AsQc4d2s2c JsTd7s7c4d 
AhJc8h8d7h KsQsTd7d3d AsKd9c4s4c KcTsTc6d3d 
Qc9s8c7s7d QdJh6c5c4h Th9c8s6s5h KcJh9c5s3s 
AcQhQd7s4d QcTsTd5d3c Ah9d7c4h4d AcTc8h4s2s 
KsKd8s7s4c QdQcTd7h5s QhTc9d8d7s Ac8s8h7d5c 
JsTs9c8h8d QsJcTh9c6d JhJd9c8s7c JsJcTh8c2h 
AhKh7s6h3s KhQdTc8h2c KsQdJs8h6c KhQd8h5d4h 
KdQdJh6h2c Kd8c7s7d6c QsQhJc5s5d KsQc9s9c5s 
AhTsTh7d3c QhQdTc7h5s AhJs7s7d5d KcQsJsTh4d 
AcKsJc5d3c JdTs9s9d3s QsQdTd8d6d KsKdTc4d2h 
Th9s8h6d5s KcQh8h6h4c AcJdTs3s3d Td8h7h6c5d 
AdJdJc7s4d KdJs9c6c5s JsJdTh9c6d QhJd7c6c5d 
KdQd8h6h5d Ah9h9c7c2s JdTc9h8h3d KdTd8s6d5s 
As7s7h5h2d AhQsTd9c7c AhKcTc9c4s AcQdTh3h3d 
KdQh7h7d4c Jc9h8c6d5h QsTsTh9h5s JcThTc7c4h 
AdTc9s8s3c AsKcTd8s3s AcQsQh8c2d AdKcQdTd6d 
KsJh9c6h3s QhTh9d7c4c QsJsJc8h3c 8d7h6h5d4s 
8c7d6d5c4s QsQc8d6h5c AdKhJh7s7c AdQcJd9d4h 
AsTc9h9c5h Kh8s7h6d4d KdQs9d7s3h AdJd8c6d4c 
QhJsJh6d3d 7h7c6s6c5s AhTs5c3s3h AsQs8d6h2d 
AsTdTc5d4c JhTs9s9c8d Kd8c7d6h4h AhKs9d4h3d 
AcKsTd8c3c KsQdTc7s7h QhTc6c5s3h KcTs9s4h3c 
AcJhJc6c5s AdJcTh3h3c AcJh9c7d5c AcJsTc5h2d 
QcJsTs6c2d AsTs8c7s7d Qs9d8c7c6d AcKc8d7c3d 
KhQsTd2s2h Ts9h7h6s5s AhThTc8s2d AcKsJh9d5h 
KsQsTsTd7h KcQsJd8d4s QsTd9h9d4s JhJcTh4c3h 
KhKd9c8h3s JcTd8h7c6s KcJh6h5h5c 9d8h8c6h6c 
AhJs6h4c3s Kc9d7d6c4s AsKcQc4d3h AsQc8s8h3h 
AsJd6d5h2s AhThTd7h5s AdJhTd5s3d KsKcQd6d4d 
QdJs9s8d4c AdQc9d8h5d Ac7h7c4d3h AdKcTsTd2d 
AhKdTc9c6c AhTs8h8c6h AsKsTh4d4c JsJd9c8h7c 
QcJcTs8c6d Jh9d7s6d5h AcKhJsJd2d AcKhJs9c6c 
8h8d6c5c4h KcQcTsTc7d AcQhTh9s4d QcJd7c6d4s 
Ac8h6d5h3c AhKdTs7c5s AsKcJc4d2d AcKdTc9c2s 
AdKsQs4c3h QhTd9h8d5h QhJd7d6h4c AdQd6c4h3h 
AhKcQs9s7s AhJdTs6s6d Ad8h6h4d4c AcJhTs7c2d 
AdKc8s8c4s 8h7c6s5s4h KcTd9d5c3h Js9h8s6d5h 
KdJs9s9h6h KhQsJs9d9c As9d7s7h6c Ac6s5s4h3c 
QcJsTc6d5h QsQhJhTh6c AcQdTd5s4h Ah8s8c7s3h 
QdTc9d5c3s QdQc8c5d2s QsTs9c7d4c Kd9c7c6d4h 
KsQcTh8s6s KdQdTsTd3s AhQcTd7s6d AhKdQh6h5h 
KcJs6s6c4d KsJhJdTc3s AdQsTs5h4c Tc9h7d6h5d 
QsJc7s6c5s KsQhTc8s2c Kc8h7h5c4d AcQc8s6d2s 
KdJh9c7d5s KhQhTc9h6d QhTs8s5h4h QsJhTs8s6c 
KhJdTd8h2d KsKd6d3h2h KcQcTsTh6d JhJd8d5d4h 
Qs9s8h7d5h AhTd4c3h3d KcQhTc7s3s AhTc8d7h4h 
Jh8s8h6s6d JsTs7h6h5h Kc8s7c5d4d QhThTc8h7s 
AhTh7h5s3s As9s6c5h3h KsJh9s6c3h AsJc8d6s4h 
Ah9c8h5c2d KcJd9d8c3h Qc9d7c6s5s Qs9c7s6d5d 
AhQh6d4s3s QhTd7s6d5s KhQcJc9c8d Ad8s6s5h3d 
KdQdJh6h3d KdJhTs6h2d AhKh8s4d2d AsKcJh9h5d 
JdTh9s9h8c KsJc9c8s3d KdQd8d8c7c KdJcTh8d5s 
AsTd6s5d4s AhQc9d7d2h AhJdJc9d5s QsQcJs4h2h 
AcQdTd9h4s QcTsTc3s3h JdTc9d6c3s Js9s9c8c5d 
9d9c8d6s5s JdTsTc9c7h KdJhTd8s8d AcKhJsTs2s 
AsQd9s8h4c 8s8h6s6h5h JhJd7c5h4c AcQc8d8c4d 
QhJhTc7d3d AcQd8c7c3d KsJdJc4c2s JsJcTc4d3d 
AdQs5s2h2d KhJs7s7d6d JhTh9c4c3s TsTh7s7d4d 
AhQs8h4s2s Ah9h9d6s3d JcThTc7s6d As9d7s7c6h 
AdKs8s3s3d KcJd9s6s5d AhQd7d3s3h KdJd9s8s5d 
AhTc7c6h2s AcTh9s8s3h AsQd7c4s3c QhThTd2d2c 
KdQd5s4s4c AhKsQh4h4d KhQc9d8s7h JsThTc4c3s 
AcJc9d5d3c Ts8h8d7h6s QhQc9d4h4d AdKhQh8h5c 
QcTdTc2h2d AdKhTc6h2c AsJd9c8h3s Td9h8c6h5d 
KsTh9c4s3h QcJh7c6h4s Ad9c7d5c4d AhQs6c4c3h 
AcQs9c8h8c KdThTc9h7s AhKc7d4d4c AcJs5s5c2d 
KhJs6s6h4d AhKs9s9c7d KhKd9c7s5s QsQdJh6d2h 
AhKhJs7h7d Ah9s7h5s5h KhQdQcTs3d AhTsTh7c5h 
KdTs8d7s4d AdKcQs9s5h AdJdTd7s3c QdJdTd8s8c 
AdTd9c6h2h KcJhTd9c2s Kh8h8d6d5s KdQhJcTc6s 
TdTc7h7c4h KsQsTd5d3s AdKhQd6d5d KhTd8h7d4h 
8d8c6h5c4d Ad8d6h5s3s AdQc6d5h2h AsJd9s6s4d 
AsJsTh8d3s AdJsJd8d7d KcJsTd2d2c AhKc8d6c5s 
QsQd5c4c3d AcKh7h5s4d KdQsTh4h4d KdQdQc5s5d 
JcTsTc7h6d AdKd9d7s5h Jh8h8d6s6d QdJc9c8d3h 
AdTc4s3d3c JdTd9c8s3c AsJh9d7d4h KsKhQhJh2h 
AsQdTc7c6h KsJhJc4c2s KcJhTs6h2c QsQd9h4h4d 
KsQcJd9d3c AsKsJd7s7c AsKsQs4d3c JcTh9d8d3c 
KhQs8c5c4h QhQd9c4h4c QdTh8c5c4d Ad9s7s5d2h 
AcQh9c6h3c Jc9d9c7d5c AcQcTs6h4c JcTd9s6s6c 
AhJs8d4h3d KhThTd6s3s AsQhTh7h6c AcJcTd8c2s 
QsJh7h6s4d AhJh9d9c8h AdQhQd5d2c JdTc9d4c3s 
AdKd8d6c5s Th8s8c7s6h Jd9h9d8h5c AdKd9s9c7d 
KdJc7d6c4d QhQdJc9d7d KhQs9d5d4h 7d7c6s6d5c 
KcJc9h7s4h AsKdJh9s6s AsKh5d3d2s AdKdJh9s6d 
Ad6d6c5c4c Jd9c7s6c5d AcKcQsTc6c AsQhJd9c5h 
KcQd6h5c3h KsJcTs8s8d QsQdJc6c5h AhQsTs7c4d 
QsQcTs7d5h KdQcTc8d2c AdKcQd4h4d KhTsTh6d3d 
AdTd6h5h3h QhTs9h7s5h AcKh9s7d3c QsQdTd7c5h 
Jh9h9d8d5s AdJs9h7c4d Ac7s6c4d3s KdQsTs8d3s 
AdJd8c4c2h JhTc8c6s4s Ts8h7s6h6c QsQhTs4d2d 
JsTs6h5d4d KdTh9h5d4h AhKsQc9c5d AdKcJs3h3d 
AcKsQs8h6s QhTsTh9s2h Jh9d7s6s5h AdKhTc8d3d 
QdQc9c6s3s QdTh9s8d2s AdQh9h2s2d AcKhQs4c3c 
Ah9c8c6h2d AsQdTd7h4c AsKcJh7d5d AcQdJs9c6c 
Tc9d9c8s8h AhKh9s9c6d AdQhJs8h6c KcTs8c7c4s 
AhJh9h9d4d Kd8s7s5d4h AsTd6s4d3h Js9d7c6c5s 
AdTdTc5c2c AcKcJd7h7c Ah9d7h5d4h Qd8d7s6c5s 
9s9d8s7d5h JhTd7d6h6d KcJd9h6h4c KhQsTs8d7s 
AhTd9d5d2h Ts9h7s7d6h QcJdTs6d2c KsKc8h6h5h 
KhQcJs6s2h QhJdTd5s4c AhKs5d5c4h KcQsJhTc5c 
Kd9c7d7c6c AcQs8c6h2h KsKcTc4d3c AsKhTs9s2d 
AcQh9h6c2h QhJhJc6d3d JsJdTs7d3s KcQcJd6d6c 
AhKhTd4d2h AdTd5s4c3c AhQhJs6s2h AdJc8h4d3h 
KsKcQdJd4d QcTd8h7h5d KsQcTh8s2h KhQhTc5c2s 
AhKhQsTh6h AhQd6h5s2s QhQd4h2d2c Th8s8h6s6h 
QhTh9d5c3d AhTd7h6d2c KhKcJh9h5h 8c7c6d5h4h 
AhJsJh7h4d QhThTd9d2h QsQd3h3d2s QhJhJc8h4c 
JhTc9h9c3c AdQs8s7h4h Ac9c6d5h3h QsJh9d8s7c 
9h9c8h7c5s KhJc9d5d3h AhJhJc8h7h AhQh9c5h4c 
TsTc6s6h5h JsTh6s6h5c KcQsJsJh5d QsJh9c8s7d 
JdTd9s8h3s 9h9d8d7h5s QdJd9c5c3s KhJs9c7h5d 
AsQsJs5d3h AhJsTh5d3h AdTh5s3h3d JsTh9d6s6d 
KhJs9d7h3s AhKhTh8d6h KhQcTd7h2c AdQs7s6d3d 
QcTh9c5h3s KdQcJhJc5s AdJhTh9c4s AcTd8h8c6c 
JhTs7c5h3s KsQd9c5s4c Qd8c7d6c5s KsQh5s4c2h 
JcTc8c7d4d AcKs9s7h5d AhJd6d5h2c AcQs7s3d3c 
AsKsTd5s2d QhQdJc5s5d KdKc6c4c3s TdTc7s7d4s 
AsQc9d7d2s QdTc9c6d4d Ac6d5d5c4d KsTs9d5c3d 
Tc8s7c6s6h AsTc6s5s5c KcJd9s7c3d AcKcQc7c6d 
Ac8h6c5s3s KsQhTd3h2s KsJcTc2s2c AsQs9h5h2h 
AdJs9c7c4s JdTh9s8s2d Js9d8s8d7d KdJd9s6d5s 
AcKc9d8c6s Tc8s7s6h5c KsQd9s9d5s JcTc9h4h3s 
KdQsQhTc6c JdTsTd7d4s As9c8s5c2d KdJsJc4d2c 
AcJh8d8c7c KsTsTd9s3d JsTc9d8d3s AdJsJh9s5c 
KsQhTs9s8s AdJc8s8d7d Td8s8d7c6c KsTs9h6h4h 
AdKhQd7d5d AsQs8h7c5s QcJd9s7d5s QsQcJc5h5d 
JdTd9h5c3h AdJsTd5h2c TsTd9s7c5c Kd9s7s6h4d 
KcTh6c5h4c QsQdJc9s7s Tc9h7s6c5h AsAhAdKs4s 
KdJc9s7d3c AhKcJs9h6h JsJdTc8s2c KhKdJs4h3h 
JcTc9h5d3h AdQs8d4s2s AhJhTc8h2d AdJdTc3d2c 
QdTh6h5c4c AhQcTc5d4s KdQdTd8c6h AsJh9c7d3s 
Jc9s7h6s5c AsQc4s4d3d AcQd8c3h3d QcJcTs6s3s 
AcKc9s6s2d QcTd9s9d4c AdKcQs8d3h KsTsTd8d2h 
QhJhTd8d3d QhJs9h5s4h 8s8h6s5c4c AhKc5s5d4h 
Ts9d8h8d6s QhTh9d7s4s Td8s8d6s6d AhJcTh6d3s 
QcJh7d6d5h AsJsJdTs5s AsQc9s8d6s KhQsTh2s2d 
AsJs7d7c6h QdJh7h7d5c AhTc8h7d2s QsQd9d6c3c 
ThTd7c6h5c 7s7c6d6c5s AhQsQc9c6c AhKsJc6s5s 
KhQsTs8h2s AsKdTd9c5d AdKcJh6c5c AdKhQs9s5c 
QsJhTd7h6c 8c7s6d5d4c AcKs9c8h4d Js9d8d7s7d 
AcKd9s4s4c QsQc7d6h5s AhKsTd7d6d KhKcJdTd2d 
AsKh9s6h2s AhQs9h8d5h KdQdJh4s4h KhQdJsJd5c 
QhJc8s5c4s KhQdTd7c2h QcJhTd6h2c JdTsTc8c3s 
Ad8s8h7s3d Jc9d8h8d7h AdJs6d4h3s KhJd9s7h4s 
Ad9s8s4h4d QcJhTd9d7d TsTc9h7h5s KhKd6h3s2s 
Kd8h8d7h5c QsJc9s9d5d Ad8d7c6s3s Kd8s7d6s4h 
KhQcJsTs7s JhTd9h7s6c KhQhJd7c5s KsTc8h5s4h 
QsJdTd5h4c As8c7h7c2s AcTh7c6h2d QhJs7s7c6h 
AdJh9d8c2s AsJdTd8c5d KsJc9c8s3h AsQh9s6h2h 
KcQdQc9h5s KdJc9h6h4d 9d9c7d7c3h AdQc7c3h3d 
QhQd8d5h3d KcQdJs9s3d KhQc9c7h3s AcThTc3h2s 
AcJd8h6c4s KcQdJd4h3h AsJd8h6s4c KhQhQd6h4s 
QdJh9c8s8d Ac7s6h4c3h KdThTd7d6c Js9h8s7h5s 
QdTd9c5h3c KsJdJcTd5h AcQd8h3d3c KdQsJdTh3d 
AsTh8s7d4s AcTs5c4h3h AcKc9s6s2h AcKcQs7c6c 
KsTd9h6d5h KsKcTd4s2h JdTh9d5c3c QdQc9d8c2c 
KsJs9h6d4d KsQcTs2d2c Kc9s7s6c4h KsJsTh3h2c 
QhJc7d6d5c QdJdJc8s3c QdTc9s5d4s AhJhTh7d3c 
Ah9s9h5c3c QsQhJdTc6d KcTd8d6s5s Ad8h8d7c4s 
Ks7s7d6c5c Th9c8c7h5d AdQh4s4d3s AsKs9h9c7s 
As7c6s4d3c QhTd6h5h4d Ac9c8h6d3d KcJh8c7d6s 
QsTsTc2h2c KcTc8d5h4d 8c7h6h5c4d KhJs9s7h4s 
JhTd9d6h4d JcThTd9s7s Tc8c7d6d4h KsKh6h4h3d 
QsTh9c5c4s Ah9s9h6c3s AcQc9s9d5h KsKhTc9c2d 
KdJs9h7d4h Ah9s9h7s2c AhQdJsJc7c KcTh8c7h4c 
AcKc7s6c3s AsTh9h9c5c Jc9d8d8c7d Qc9h7c6s5s 
AdQh9d8c6d QcJhTh6c2s QsQh9s6d3d KcJh9h7c4h 
QsQcTc5h2h AcQd9h8s7d KdJh9c8c5h Ad8c6c4h4d 
KhJdTh9c4s AhTs6h4s3c QsJcTd7c6h Jc9c8d6d5s 
QsTsTc9h7s QhQcTc7s5d AdKsQcTc3c KsKcQh4s2d 
JsTd7h5s3d KdKc8c3c2d AdJd9s5h4c JhTs9s7d4d 
AcTd9h8h3d KsKhJd4c2h AsQhJs9d4s QsQdJc6d5d 
As9c8s8h6d KhQdJh8c7h KsJc9h9c6h QsQdQcTsTd 
AhKsJh7h7d TsTc9h9d7h AcKsJd9c6c KhJh7s5s4h 
Th9h8h8c7c KsQsJdTs6h AdKs9h6s4h AcJd9c6c4d 
Kc7s7d6c5d KsJhTh4h2s QdTc9h8h7s Ac8d6d4h4c 
KcQdJh8s6c AdTs9c8s7s QcJdJc5d2d QcTd9h8h2c 
AdKh4h3d2d AcKsJd6s5s Ks8s7d6c4d KcQsTc9c8c 
KcQhTh7s2c KdJd9s6c4c Td9s8d6h5s KdJsTd8h8d 
KhQh6s5s3s AhTd6d4c3h AcKc9h6d2d KsTs9c6c4c 
KsKcQd7d4h QhJdTs3h2d Ah8h7s5d2d AhQhTc6s4h 
KsJc6s6h4c Ad8s8c7h5d Td9h8s6s5d AdKsThTc4s 
AhQh8s6h5c AhTd9c8d4c AdQhTh9s7h AcQsTc6h4c 
QdTd9c8d5c KsJc9s7c4c KcJd9s9c7h QsTs9h5d4d 
JsTd9d7c4c AcKc9h4s3h AhKs9s5c4c KhKcJh2s2h 
