QsJd7d6s3s 
Ah6h6d5h2d AcJd6h6d4h QsQd7d2s2d QhJc7s7c6d 
KdJh8c7c5s JsTs9d7h3s Kd8h6h6c5c ThTd8s7c5s 
KdJc4h3d2c Th9h8d5d2c Jh9d7h6d3h Ah4h4c3s3d 
AhQd6c5d4d Js9d8c7h5d QsTc7c6h6d KcQdJd6s3d 
AdJsJd7d2c Ad8s8h7h5c AsJhTh7d2c JhTc9d5d3s 
9d7s6d6c3s Ts8c7h6s5s QsQh7s4d4c QcJdJc4s3c 
Ac9s7h3s2c AdTsTc6h2d QcJs8c5h4c 9s7d5c4d3s 
Ah9d7d6s4s AcJsTs5d2h KsJd4s3d2h KhTc7c6c4s 
Kd8h8d6h2c 8h7c5s4h3s AhJd7c6d3c KdQc9d5h3s 
Ah8s7h3s3h JhJc9s6d4h 7s7d5h5d2s QhJd7c5d2h 
JdTs9s9h3c QdJh9s5s4c AsKs6d5s2h TdTc9h3c2d 
9s8c7s6c2d 9s7s6d4d3h Jd9h7s7c6c QsQh6s6d2c 
Jd8s7c5d3s KsKcQs7d2s AdQd9s7h3d Ac8s5d5c3h 
QdJdTc5s5d Kh9s6h4d3s QsQc7h6d3s QhTd9d6c4d 
KhQcTd9s2d KhTd5h5d2s Ac5h5c4c3h JsJh8s6c2c 
AhQc3h2h2c Td9h9d5s2h Qh6h6d5d3c AhTd4d3h2d 
AsQsTc6s3s AhJc9s5s2c KsKd7c4h3c 8s8c6h4s3h 
KdJh5c4h2c AhQs9d5s4c KhTc8d7d2c Ts9d8s8d3s 
KhQh6s4s2s AsJc7d4d3c Ac8d5s4h3c Jc8c6s5s2h 
QdJd8h5c4d Js9d7d6s3s KcTh9c6s6c Ac9c7c5d3h 
AhTh9c4s4h AdJcTh4h3h Qs9d5d4h3s AhKhTc3h2d 
KsQcTh9d2h AhJs9c6s5d QdJs4c2s2d QdJsTs3h3c 
8h6s6d5d3h KcTh8d6h4s QdJd8d7h5s KsJh9h9c6d 
QhJd8d7d7c 7s6s6h3s3h KsJcTd6h6d KhJs9c4c3s 
JsJc8s6d2d As8h5s5c3d 9c6h6d5c4d AdKd4s3h2c 
AhKd9s3h3c JhTs6h3s3c 9s9c8d5s2d JhTc6c4h2s 
AsQcTd7c3c QhQdJc5c2s KhQs8s7h2h Js9c7c6s3s 
Jd8c7d5d5c Kc8c7h5h3h Ks7s7h5h3s 9d7h5d5c4c 
KhTh6h6c5d Kd9d8d6c5s AcKh9d3s3c Qs9s9d4d4c 
KhQh9s6d3c AsJh7d3d2s KhQs7d5h4h AhJh9h6c4s 
8d7s7h5s3h KsJd5c4d2c JhTd6h6c5s QcTd8s5c4c 
QcTs7c6c4d KsTd8c7d5h Ks9s8s7d6s QcTsTh9s5s 
Ad9c8d6s4d QdJh8s6s5s Kc9c8h6c5s KhQcTd6s2h 
AcQh9h8h5h KdTh9h7s5h Jc9c8d7h5c KsJd8h7h5c 
Jc8s6h5h3c KcJs9h4s3h AdJd6d5h2h KcQh8s8c5d 
7h6c5s5h3c KdJsTh5d2d QdJcTc8h2c KsJh9d5d2h 
QsJh9d4d2h KsQd8s8c5h AhJs7d4d3s Ah9s7c5h2d 
QhTs9c7c5c AdTc7s6d3d AhKdQc9s4s AdQcJs4h3h 
Ad9h8c7s7h KhKc7d4d3s Td8s7d6h6c Th8h7h7c4c 
QcJd7s5d2c AcTh5d3s3c Jc7d5h5d4h Ks9c7h6s2h 
Ad7s5s5c4c Js9d9c3s3d QhJh8h7s5d AsTh8d6d5d 
KdJc8d6c3d Tc8s7h6d5d QcJhTc6d2s Jc9h7s7c3h 
As9s8s4h3h JcTd9h6c4c Ad8c4d4c2h QhJc9c7d7c 
QdTsTh8s4s JsTd6s4c2d Jd9h8d7d7c Kc9s7s7c2d 
9s9d8d6h5d KsQsQd9s3h AcTc7h6c3s Qc9s5s4h3c 
8s6d5d4s3c KsJc9s4c2c Jh9h8d7s3d KdJhTs4s3c 
KcQcJd6s6c Kc9c7h6s6d AsJh9s6d4s As7h6h2s2d 
QsJsJh7s4d TsTd9s7h4c AsTh8c5d4h 8d7s7h5h3s 
AsTs9s8h3s Td9d7s5s5d QdJc8s8d3s Ah9c7d3s3h 
Qc6c5d4h3h AcKc8d5c2s QhQd7d2h2d 9s9h5s4c3h 
6s6h5d3h3d Td9d9c8d6s 9s7h6s6h4s AcJd6d5h3h 
QdJs7s4d3s KsJcTd5s2s Ad8d7s7h4d 8s7c5s5c4c 
KdQh6d5d3s KsTdTc8h5c Js9c8h6h5d KhTd9h6s6h 
Kd8d7h5h3h QcTd8c4d2d AhJsJh3h2d QdJc4h4d3h 
8h6c5h4s2c QhQd5c4h3h Kd8h8c5h3d AdQd8h4s2c 
7d7c4d4c3s Kd8d8c6c2s Ad6s6d5d2s KhTs9c6d2h 
QsQh5h4d3h 9s8h8c5s3c Qd8s5s4d4c QhJs9s7s6s 
Tc5d5c4d4c Jd7s5d4h3s 7c6h6c3h3c KhKc8d5s3d 
9h7c5h4c3s Ah9h7h6d5h AcKs3h3c2d KcTs9s7h5s 
8h8c5c4d2h JsTdTc7h3s KcTs5s4d3d Qh8s8d6h5c 
AsTd5h3s3c 7d7c5d4c3d AsKd6d5c3d Kc9d7s4s4c 
AsTd9c8h3d QsJd6s5h5c AdJc7s7c3s AcKd6s6h5s 
AhTh8c6d3h AdQd8c4s2h QsJh9d8c4s QdTs9c7h5h 
8d8c7c6c5h Kh7s6s5d2h Jc9d8s8h7d Qs8d7s7d4d 
AsTc7h4c3h 6s6c5d3s3d Ad8d6d4s3s QsJc9c7d7c 
Kc8h7c5d2h 8s6s5s5d4d AdKs8d7h2d AhQs8d5h2h 
Ks9s9d7d3s Th9d6h4d3d Qc9h5h5c4h Tc9h7h6c2s 
9c8d6h5c2d 9h9d7d5c4s 9c7c5d4h3d JcTh8d6s4s 
AhQsTd4d4c Jd9h5s4s3d KcQs5c4h4d KdTsTh8c5s 
Th9d7d6d5c AdKs3c2s2c Jc9s9c6d5h AdJc7s6c3s 
Kd8h7c4d4c QhJh8c4c3c KdTc7c6c4s KdTs9h7s4c 
KhQdJc4d3d AsTs9s8d3s Jh9h8s8c3c KhJc9s8d4h 
KcJd5s5c4h 9c7d7c5d3d JsJh7s7h2s Ks9s9h7h3s 
KdTs8c3s3d TsTc6h4c3h Th9s5h5c4s QhJs8c7h4d 
AcJc4s4d3h Ac7h7c3d2h 6h6d5s3s3h Qc9h7s5h4s 
KsJhTc5s2s JsJc8s6h2h KcQs9d6s6h AsTc6h5h3c 
KsTd9s6s3h Ah7c6s2h2c Ah9h7s5c2d Jd7h6d6c4h 
AsQd6c5h5d 9s9h8c5s2c As5s5d4d3s 9s9c8s5c3s 
6s6c5d3d3c Js8s6h5h3d Jd9h7d7c4c Kc9c8d7s5c 
Kc9h7h7c2s Ac9c8d8c4s KhQdJs3h2c Ah8s8c5h3d 
KsQd9h9c5s Td9h8h8c3c QhTd9s5c4s Th9d8s8d3s 
QcTs6h6c2s 9s8s7d5d2h KcTc7s7c6c AdJh6c5h3c 
Ad8h8c7c5s ThTd8s7c4h QsQc8d8c2h Qh9s6s4h4d 
9s8s8h7d6c QhQd7c5s4c AhJc8c5s4c 9s8c7s7h6d 
QdTs8h5d4d AdQs8h5d2d AsKs8h5s2d Th7s6d5s3d 
Jc7h6s6c4h AsKs5s4s4h JcTs9h4s3d Th9s8c6s6d 
AdTsTd9d2d JhTs9h8h2c AhJc8c7d4c 9d6s6h5h3d 
KsTc9h6d5h KhQs8h7c2c AhJd6c5d3c Ts9d8h8c6s 
Jc9d8c7h7c AdTh8h6c5h Js8s6c5c3d AsKdQh9c4c 
QsJh9c7d5c KhJsJc8d4s AcQs7c6h3c KcJh7s7d6h 
JhTh6s5c2c AcKsQc4c2c QhJcTh9h2h AcJcTc6h2d 
JsTsTh6s4s ThTd9s8s5c AdJh5d3d2h TsTc9c4h2h 
Tc9h9d5d2h JsTs7h5s4s JsJc6d2s2c 9d8c7d7c4h 
Tc8c7h5s3s KsKd6c4c2h JsTh9h9d3c Ad9h7s3d3c 
Jd9c8h6h3d Jc7s5s5h4h Td8h7h6h4c JdJc7h2d2c 
KdTd8h8c4s KsQdJc9c2h AsTs7h4c2d QsJd6c5c2d 
JcTh6d5c4c 9s7h5s5h3d QsTc8c7c5h Js9c8d6d3s 
Qd9c8d6d5h QcJh8c7s3s Ts7s7c6c3h AhKcQs9d4d 
QhQdTc4c3c Ah8h7h5c3d KhJs9h4d2d Qh9h6c5c2d 
AsQs9s9c4d KdTsTh8c5h Th9d7s7c6d KsKdQd7c2d 
Js8s8h5c3c AdQcTs4c3c Js9c8d8c4s 9s8d7s6d3d 
Jh9s5d4d3h QdTd9s9d6d Ac7s6s2s2c AhTc7s7c5d 
8s8d5h5d4c QcTs8c4s2s AhTsTd5s5c AcKsTs3s3h 
Kc9c8d6d2d AhTsTh9h2h Qc9d8s5d2c Jd9s8d7d7c 
KdJh7s7c6s KhKd8h3h3c AsKcJc6c3h AhKsJd8c3d 
AsKs6s6h3c QsQh6d4c3s KhKd6c4c2s QhTs6d4d2h 
KhJc6d5s3h AcJdTh6d3s AdKsTh8h3h Qh8d5s4s4h 
Ks9s7c5h2h QhJs4c2s2h 9c6d6c5d3h AcKd6d5d4d 
As9c6h6c5h Ts9s8d7s3d AsJs9c6d4s KhTh7h6d4h 
9c8s8c7s2h QsQhTc5c3c QdJc7h5c2d Jd9c8s6c5h 
Jc9c8s7h5c Kd8h8d6h2h KsQhJd7d4c 9s9d8s6d3d 
9h8s8c6d5c Kh9h8s7h6h AhKcJd7s3s QhQc9s5c2d 
9s9h6h5c2c AdJd8d7h2c Th9d8d7s5c 8d7h6s5h4h 
QdQc5d4h3d AdKcTc3h2s AhKs3h3c2d AcJh6h6d4d 
AcQc5h5c3d AdQd7c6c2d Qc9c8h7h3d AdKsTs7c2s 
Kc9s7s7c2h QhJd8h8d2d Jc9h5h4d3c AhJh7d3c2d 
QcJhJc4d2s AhKh6s6h3c Ad9d7h6s4d KhQd6h6c5h 
Qd9s8h5d2h KsQc9h8c5d 8c7h6h6c3d AhJd7d7c3c 
AdTs8s6c2c KdJc7h6c5c 8h8d7c5s4c Tc9d8c6c5s 
AdKdTd2h2c Kh9c7d4c3h KhTs8c3s3h Ah9h7d6s4h 
Qc8s5c4s4h Kc7s6s5d2c Ks9c8h7s5s KsKcQc6c2c 
Ac9h7h6s4s AcKs5s4d3s KhTsTc9s4d TsTd9h3d2s 
QsTh6c4s2c KsTd9d7h5d QdJs9s7s7h Jc7s6d6c4s 
QdQc7c2d2c JsJh7h4d3d Tc9h6h5c2d AsJh8h7d4h 
QhJs9s5s4d ThTc7h7d2d JhTc6h4s2c Kh9h8s8d4d 
KsQh8s8d6s AhTh7h7d3c QhJhTc8h2s Th9c7h6c2d 
JsTc9d6h4d Jh9c8s8c2h 8s8h7c5c3s KhTd5d4s3s 
QsJc8s6h2h Qc9d6h5c4s KcJhTd6s6d AhTh8h4s3d 
9h7d6s6d4h QdQcTs6c2c KdQc7c6d2d 6d6c4h4c3h 
AcTd7h6d5d KhJhTh8c2s QcJsJc4h3c QsQd7h5c3s 
As4s4h3d3c KhTd7c6d4d JcTsTh9h5h KcJh6d6c5c 
KdTs9c6h2d 9d8c7s7d6h AsKdJc8h3c KdJs9c5c2s 
Qs9h7s7h3d Ac9c7d2s2d 8c7s7d5d3s Kh9h8d7c5h 
AhKsJs8s2d AsJc8h6c3h Th8d7s6h5h JsJdTc4h2d 
QdJh9h5h4s JsJc7s4d3d AsTs8s4c3h Jh7d7c6s6d 
Ks9d7s5d2h Jc9d5h4d3c As8s7h7c4s Th9d7h6d2s 
KdJh9s5h2s Jh9c7d6s5s AhKd5d5c2s AhTc6h3s2s 
AdJh9h9c5h Ac9c7h5d2s KsQcJd7d4h KdTh9d3h3d 
KdJh8d8c2c QdTdTc9d2s Jh9c8c7c3h AcKd8s6h4s 
AdKc6s6h5s AdJh9c3h3c KdJhTc5d2d QhJs9d8c4h 
KdQcTs5s3h AcQhJs4d3d KsTc8c7d3d 9d6h5h4d3c 
9h9d7d5s4c Qc6s5d4d4c JsTh5c4d3s AhQs7h6c3h 
Kc9h6c4s3h Jd9h5c4c3d AcQdTs5s3s AsQdJc4h3h 
Ac9c7h2h2d KcJs9d4d3s Ks7s6c5h3d AcTd9h8s3d 
AdTd7s7d3h KcJh9d5d2h Kc9c8c6s5h 9s6h6c5h4s 
AdKhQc4c2c AcTsTd5h5d AcJc5h3s3d Kc8s8h5h3c 
JsThTc4c3d KsJc9d5c2d AsQh5h5c2c KhJhTd6c2s 
KcTd9d6d5s QhQcJd9d3d Ac9c7c5s5h KcQsJh5h3h 
9s6c5d5c4d QhJh9c7s2s AhKs5s5c3s QdTc7d4d3c 
QsQd6d6c2h KdTd7h7c4s AhKcJs8c2c 8h8d7d6d5s 
Td9s8c6h6d Kd9d7c6s6h QsJs7d6h6c KdTc9s6h2d 
Kh9h8c6c2c JdTc9c5s4c Ts9d6h3s3d AcJh9c6c4s 
QdTh5d4s2s QdQc9h5s2d JcTdTc8c5c QsTs8s5h4d 
AhJc8s5d5c KcQsJs6h3s Ah7s6d2s2h AhTs6s2s2h 
Kc9h8s7c5c KhTsTh4d4c Ts8s8h7c3h JdTc6s5d4d 
8d8c5c2s2d QhQdTs4s3s JhJd8h6d2d QdJs7c6s5s 
AcQdTd5h2s TsTd9d4h2h KdJdJc9h3d AhQh8s4c2d 
Kc9s8s7h6s KhQsTd6c2h JsTc6s4h2c KhQh5d3c2c 
KdTsTc8h5s Qs9d6d5s2h AhJs9d5d2s AcQs9d3h3c 
9d7h7d6c3c 8h8d6s4h3s Qc8s6h5s2c KdQdJs6d6c 
Kh9s7h5s2d QsJcTd8h3c KsJc9h4h3c QsTh8d7c5c 
AcKh6h5d3h AhTs8s6c5s As9d8h6c2s Kc9d5h5d3c 
Qs8c5c4s4h Kc9c8h7s5c Kh9c7s6s5d Qd7c6d4h3c 
KdJh9c5c2h Th9s6d3s3h AhKcTs6d3s Kc9c7s5d2d 
KhQc9d7h2d KhTc8s7c5d QsTd8d4d2s KdJh8h6s5h 
Jd9h9d6c5s Qd9h6d6c3h Qd9d7s6h5d QdJd9c7h2h 
JhTh7c5h4h KhTs9d6d5c Jh9h9c4s3c AcQs9d9c4c 
Ac7s6h2s2c AcKc6h6c3d Ts7c6h5s3h As8s8h6s4c 
AdQsTh7s3s 8s8d7c5c3s JdTh9d5d3s QcJs6h5d4h 
AhQhTh3d2s KdJsTc6h3s Kh6c5s5h2s 9h7h5c4s3c 
9s7d6h4d3s Qh6s5c4h4c JsJcTc8c4c As5c4s3c2c 
AhQcTs5d2c Td9h8c5c2d AsQh8c5s2s Qc8d5s4s4c 
Kd7h7d4s3h AsJd5s4s4h Qh8c5h4s4c Td8s8d5s3c 
AsQhJc4d3d Tc9h8s6h6d QdTs6h5h4c Qd8s7c6d5d 
AsTs7s7h3d QsThTd8h4h KsJc9h9c6d JsTh6s3h3d 
Kh9s5s5c3h Qd7c6d5s4h Ts7s6d4d3c QhTh8c7h3c 
AhQdTc7d3d AhKcQd9s4s Tc8h7s6c5c AdTsTh5s4c 
KhJdJc6d4d AdKd9h4h2d Js9s7s6c3c AdJc8c5s4c 
Qh9s6h6d3s 9d9c6h5h2c KhTc7c4s3s 9h6s6d5d4h 
KsTc4s4h3h JdJc7d4h3h 9s6s6h3h3d AdJd7h3c2h 
Jc9h8c7d7c AhKh7h5s2c KhTh8c5h3c AcTsTd4h2c 
QhTd6s6h2d JsTc6s5h2h KhTd9s6d5d QcJh6s5s2h 
KsJdTc4c3h KhKc8s6s2d AdQh9s9d4d Qs9d8s7c3d 
Ts8s8h7s6c Ts9h5c4s4c Tc9s8s8c3c KcJh7d6h5h 
AdQs9h3d3c AhKs7h7c3h AsTc8c6d2d JcTh7s3s3c 
JdJc8d6c2d Kh9c7h6d4s Ah7h5c4c2h KcQd9h8d5s 
KdJc9h8s4d KcTc5s4s2s Jh9d8h6h5c JsTh6c5c2h 
AsQs8d8c4s AhKd8h6h3c QdJc4h4c2d JsTc9c7c4h 
KdTc8s8c6c Tc8h8c5h3s AcKc7c5d2s Qd9s8c5d2c 
AhKsQd8c3d KsTh9c4s3d Qh7d6d6c5c JcTs9h6c4c 
QsQc7c6d3h QsJd8c4s3c KdQs8s7h5c Kh9d5c4c3h 
KhJd7s7c6c QcTd8d4c2d JsThTd5c3c Ks7s6d5d2c 
KdTh4s4d3s QhTs8s8c3c KcTh9s7h4d Qs9h9d8s7s 
QhTs6s5h2h QdTs9h7c5c QsJh7d7c6s AcJh9d6h5s 
KcTh4d4c3d QsJhTs9s2s AcKs8c4d2h AsKc3d2d2c 
Ks7d6s4s3d AhTdTc6h2s AsKsJs6s6d AdKc7h6c3c 
Jc9h9c4d3h QcJh9d5d4s QdJc9c7s7c QhJs7c6s5s 
9s8c7h7c4h KcJh9d4d3h KhTs8d7d5c Jd8h7s5d3h 
JsTs9s8h2d KsQc6c5d3h KsQc7h6c4c AcQh5h5d2d 
QhTd5h4s2s KcQh7c6h2c KsJc5s2d2c AcTs8d4s3d 
9d8d7h5h2c Qh9d6s5h4c AsTc6c4s2s AhQd9c6c5s 
AdJh8c4h3c Qc9d5s5c4s KhJdTc6s3d AcJd5s5c4c 
Ah8s5h5c3d QdQc7s5h3c Kd8d8c7h5s KhTh9c6h5h 
AhTdTc5s5c Kc6h5c3s3h Jc9c8c7d4d 9s9c6s5s5h 
AsTs7d6s3h Qs9c8s7d3c QsTh8h7h5d As5s5c4c3s 
KdQdJs3h2c KdQsQd9d3c KcJh9c6s6d AcJc6c5s5h 
JsJh5s4h2s KcQcJh2s2d Tc9c7h4h3d QsTh9d7c5c 
AcQd6h5s5d AsKsJs6s6c AhJc5h3h2c AdKdTd6s3d 
KcQhTs6d2c KsTc9d6c5c KhTd8h8c4s KdJh9c6c5s 
Ad9d7h5s2c Qs7d5s4d3c KhTc8h8c3h Qd7h6d4c3h 
Kd8h7h5d2s JsTd6h5h2d JhTs9s9c3d JhTs5s4d2d 
KsQd9h8d5c AsTd4d3d2s AdThTc6s5c QcJhJc7c4d 
JhTc7d6c4c AsJs9s6c4d Td9c8d6d5h AhJh3d3c2c 
KdTd7s7d6d Jh9d7s7h4s QdTs9s5h4c QsJd8d5c4d 
QsJs8d6s5s AcKh8c7d2c AdKhQc9s4s JhTd9s6c4s 
As7c5s5h4s KdQhQd9d3c AsTd7d6c5d KcTc6s6c5d 
Th8c7d6h5h 9c7d6h6c3h Jd9h8h5d2d AcKdJs7h3h 
AdQd7h3s2h KcTc6h6c3h KdQs8s6c3c Ks7h6d5s2h 
JdTc7c5d2c Ah9s8s7s6d Ad8c5d3d3c 7c6h5d5c3d 
Ac9h7s3d3c AsQh9c3s3d AcJc8s7c2h QsJd8c6c5c 
JsTs9c7d3s TsTd9h8h5c KdTs8s4d3d TsTh9c8c5d 
9s7s5d4c3d JsJd9h6c4s Th7h6c4c3s QdTc8h7c2h 
AsQcTd5d3d Qd9c5c4s3d Jc9s9d6c5h KcJh9h9d6s 
Qs9s6h6d3h QdJc5s2d2c 6s6h4s4c3c AsQh8h7h4c 
Jc8c6d5d3h JdTd9c7h3d KdJh9d4s2s QdJcTs8d3d 
Qc8d5c4s4d 9s9d8h2s2d Qc9c6s6d3s Qh8c7h5s5c 
QcJs8s5d4s QdJh9s7c5s KdQcJh7h4s Kd9d8c6c2c 
8s8h6c5d5c Jh9h7d6h5c KsJh9d6d5c KcJs7h3s3c 
JsJc9c4s2c Qd8s5h5d4h KcTh9h7s5h AdQs8d5d4d 
Js8d7h5s3d AsJd8d5c4d Js9s9h7s6s QhJhTh8h6h 
JdTs6d5d4h Qd9s8h5s2d KcQs9c7h2h Qs6s6d5d3c 
Qc7s7d5s3c JdTs5h4d4c Ah8c7d6s5s KcTh8h7s3s 
Ad9c7c6h4h KhTsTd9s3c KcTd9h6h5s AsKd9c6s3s 
AsTd6h6c3s Ad4d4c3s3h ThTc6h5s4d AhTc9s6d5s 
AdKh3c2h2c QcJc9c7s7h KsJsTs5h2d Qc7d6s6d5s 
QsTc7d6h4h Js8d7c6c5h QdJc4s4c2d AsTc9d4s3s 
AdTs7s7h5c Ts8h7h6s2c AhJsJd9c4c JsJd7h2s2d 
QcJs9s6c2c Qh6s6h5s3d Th8c7s4s4c Ks9c7d4s4d 
QhJd5c4s4h TsTh9d3h2s AcKs6s5d3s QhQd5c4d3d 
AcTs8h4h3s JhJcTh7s3h 7c6d6c3d3c AsQc9h5c4d 
Td7s5s5d4h QcTd9h7s5s Qs7h5s4h3d Ts9c5s4c3s 
Ts9h7h6h5d AhTh9s4h4d 9d8c7d6c2s QcJcTc8d4c 
JdTc5c4h2h Jc9c8h8d3d JcTc9c8s2h AsQh8h7h4d 
AcTs8d5h4s AhKcJs5c2c JhJc7d5h4h KcTs5s5c2h 
KhQs5c3h2c Qd9h7s6s4h Ah8s5d3s2h JdJcTh7h3h 
AcJd6s5d3s KdJd8d7d5s QdJh4s4h2d AcKh7d7c3c 
Kc9d7d6s3s QdThTc8h4h KcTs9h6d4s KcTs9c3s3c 
9h6h6d5d3c Ac9d6h6d5h QhQd5s4d3d AcTsTd5s4h 
QdJd7c4h4c AcTsTc7c2h Qs6s5h4c3c AsTs5d3d2d 
KdJdTs6c2h KsJh9d2s2d Js9s8d7s7h JcThTc6c4c 
QsJc9s7c2s Jd9d7c6d5s QsJhTd6c3d Td9s7h6c4s 
8h8c5d4h3c 9d7s6d6c3c AdTd8s3s2d KcTh4h4c3h 
Ad5h4s4c3d Qc6s5h4h4c JdTd9h7s3d Kd7s6h5d2s 
JdJc8d6c2c AsJs6s4h3h JsTc9s8s2h JdJc8c6s2s 
As9s7s6c5s Kd6c5s5d2s KhQd8d7c5s QhJc5s2h2c 
AhTh8d3d2h AdKd6h5d2s Kh8s8h7h6c Jh9s5s4h3c 
JcTd8s6h4h 9d9c5d4s3c KhQcJd7d4s AhQd9s6c5s 
As8h5c3s2c QsJd6h5h2d AsJd7h6d3h AhQsTs5c2d 
AcQsQh7h2d KcQcJcTc6c JcTh7d7c4s 8d8c5d3d3c 
Qh8c7c6d3h AsKd8s4c2h Kc9s7d4s3c Kd8h7h5d2c 
QsTd8d7d5c JcTh8s6s4s Kd9h9d6h2h Qc9c8h5s2h 
AdTd7c4h2s AcTd6h5h3d KsKhJs3s2s Qs9h7d5h4d 
AsAhAc4s2s Th9h8c5c2s AsQcTd5h2c KsJd9h9d6c 
8c7s5s5c4s KdQs7h4h3s AsJd6h5d3h 7s7d4s4d3c 
KdTs9d6d3h 8h7s6d5s4s 9c8s8c7s2d 9s9c6c5h2h 
8h8c7h6h5s Td9s8h8c6d QsTh8h4h2s As9c6h4h2s 
AhTs6d5d3s AsJd8d8c6d JsJcTh7h3h Th8c6c4h3s 
AcJc9c6s4h Ad9s4h4d3h AcJhJd6c2s AdJd7h4d4c 
Ah9h7s2s2d AcTd9h7d3s Jh7s5h4c3s Ac8s5d3s2c 
KdJsTh6c3s Kd8c7h4h4d Qc6c5s4d3d Ts9d8s6s5c 
KdJc8c6h5c QdTc5s5d2c AdKh6h5h4h Kh7c6c5s2h 
Kc9h5s4s3c QhJs6s6c5d AsKd8h5c4c AsJcTd5c2h 
9c8c6s5c3s Jc8d6c5h3h Tc8h8c7d3h AhJcTd5s2c 
QcTs8s8h3h KcTs5s4h3h Kd7c6s5d2c Th9s8d6s6c 
QdJd7s4s4h QsQdTh5h3h KdQs9d7c2c Kh9c5d4d3h 
Tc9h8s8d6s Ah9s7s6c4c KsJd6h4h2s JhJc8h5h4s 
Th8s8h5s3c Ks9h5s4h4c AdQhTs7h3h QdTh6s5s4c 
AcTs9d7s3h Jh9h7c6h5s AhTsTd9d3d 8h8c6h6d4h 
AsThTd5d5c Qh9c8c6c2h Ts9h7d7c6h QdJs8s7s7c 
AhJs9s7s7d JsTd9c5s3s AhThTc5h4h Th9c5h4c3h 
KcTd9c6c3h 6s6h5h4c3s As9c8c7h5c KdQdQc9d3h 
Kc9s9c6s2s KdQd6h6d5c KsJs6h5h2s AdJh9c6h5s 
KhThTd8c3s Td7d7c5c4d QsJs9s4d3d JdJc8d5d4s 
AcJc4s4h3d Qh7c6s6c5s AdJcTc7h2s KcTd8s6h5d 
Tc9s5d4d4c Jh9c5h4d3c Kc7d6d5s2c AsKdTs3h2s 
KsQd5s3d2s Ks6c5c3s3d Ac9s7c6h4c 8s6h6d5h3s 
KdJdTd8h2c QsQh7h6d3c QcTc8s7h4c Kd9s5h4h3d 
QdTh6s6d2h AcJd9c6c4s KsTh8s8c4d AdQsTc7s3s 
Tc7h6h4d4c Js9s9c6s3c Tc9c8d5d2s Kc6d5c3h3d 
QcJd9c6h4s QcTh6h5c2c AcQd7c6s3c KsQs6s5d2d 
QcTs7d6s2c Qs8c5c4s4d KsJsJd9h3s Js9s7s6d3d 
AdKh4c3s3h QdJh8d6c2c AhTs9h8h3h AsKs6s6d3c 
QhQc6d6c2s KhTh6h6c5s AcQh6d5s5h AdQc8s5d2d 
9d7d5c4h3c KsKd7h4h3c KsQcJd3s2h 7d6d6c3d3c 
Kd9s5s3d3c QcTd9s7h5h AsKc5c4d3c JcTsTc6d3h 
Kd8d6s6d4s Ad9d7h3h2s Jd9h7s7c6s Th7c5h5c4d 
QsTsTd9s2h 9s7d5s5d3c Qd9s7h6h4s Ts9h5s5c4h 
KhJd4c3h2d Js9d8c7d3c Jc9h9d3d3c QsJh4c2s2h 
Qs8h5s5c4c Tc9s9c8c3s 9s8h7c6c5c 8d7h6c5c4c 
JcTc6h5d2d AhTd9h8h3h Qs9c7s7c3h AdQc6h5d3d 
KhQs8h8c5d 8h8d6s6h4h Qc9c8d5h2d Ad9d7d4h3h 
Jd9h6d6c4h JhTd8s6c4c QsTc6h4s2h QsQd7c6h3s 
Jc9h9d5c2d Qh9d5d4c3h KsJh8s8d2d KsTsTc8h3d 
Kd9d8s5h2h Ts9c7s4h4c KdJc9s4c3s JsTs8s5s4c 
Qh9d6d4h3s Kd6c5d3h3c AcJc5d4c2d AsTh7d6h5h 
Kc7h6c5c4s Kh9s6h4c3s Kd9h7s6d2h KsTc9c6c5d 
Js8c7h5s3c Ah7s5h5c4h KhJd6s4s2h KsQs5h3s3h 
Ah9s6d4d2h KhTc9s6s5d JhJc8s5s5d AhJhJd3h2s 
QdJh8c4d3c AsTc9h7d3c 9h9d5d4s3h KhQhTsTc2h 
Jh9h8d7c5h QdJcTd6h2s AhKc3s3h2d Td9s8s8h3h 
QsQcTd6c2c Tc8d7d6h3h Qs8h6s6h4s 9d9c8c5d2d 
Kc9d7s6c2d AsQh9d5c4h KdQd9h6s3c AhKc5c4s3c 
AhTd6c5h2s AcQd6d5s3h JhTd9h5h3c KcQd9s6h6d 
Td9h7s4d3s QdJs7h7c6d AsThTd4s2c Jh9h9d7h6h 
KhTh8s5h2s Ks7s7c4d3c QsJd8s8c3c 9s9c8s7c3h 
AdJsTs5c2h KhKc9d8d2d KdQd8h8c7d Js9s9d6s3d 
AhTh8h6h4d AdQd7s3h2s AdKhTd3s2d KhTs7s4c3c 
AsKcQc8c4c KhJs8c5c3s Td9c5h5d4c Qd9s7s7d3h 
Js9s8c7h3c JcTh4h3h3c Qd9s9h8d7d QcJd9s7h5s 
KcQh6s6c5c QdQcTc6h2c Kh6c5h5d2d Jc9c8h7d5c 
AcJc9c6d4h KdThTc9h3s Jc8h7c5h5c 8d7h5c4d3c 
KsQc9c7h7c AdQcTh6s3h 8d6s5s4d3c QhQd7h6c3s 
QhJdTd9d2d As9s7s4d3d KdJh6c4c2d Jh7c5d5c4d 
8d7s5s5d4s QcJdTh6s3h 9c8c7h5h2d JcTd9h9d3s 
