8d8c4h3h2s 
AcQh7s3h2h Jd5c4s4d2d AdQh6c3s2s Qd6h4d3d2c 
Qd9h8h3s2h Qs7h7c6d2c Ts6s6h3c2d 4h4c3d3c2c 
Kc7c6c3h2s 8d5d4d2h2d Js9h6h4h2h Qh7s6s5s2s 
Qc6d5d3h2d Kd7d4d3h3d Kd9c8s2s2h Jc9d3s2h2c 
8d8c7h3s2h Kh6s5s2s2c Kd9h6c2s2h KhJd8d2s2d 
QhJd8s3s2s 8s8c3c2d2c Js8d7d2d2c 9h5c4c3s2d 
KcJh6s3d2d QdTs7h3c2h Kh7d4c3s3d Jc5d5c4h2c 
QdJc7h2s2c AhQd6s2s2c Tc8h5s3d2d Js9d7c2h2c 
QhQc5s5d5c Td8d7s3h2d KhKdKcJs6d 9h4c3h2s2c 
AcTs4s3h2s Qh9d6d2s2c 8h5h5c3d2h Js9c4s3h2s 
Ad9s9c4c2h KsQs7c2s2d Kd5h4h2s2c Qd8h8c4s2h 
Th5s5d4h2c Kc8h6d3s3d Qc7c3s3d2d Ks6c4c3d3c 
Jd5s5c4c2c QsQhQd9d8c Jd6d4c3s3d Ks9c5c4c2d 
Jd9h6c2s2h KsKdKcQh4c 9s7s4s4h2c Kd4h4d3c2d 
Ac6d4h2s2h Tc8c6h3c2s Ts6h4h4d2c TsThTd9s6h 
Kd8h7d4d2d 9c5d4h4c2c KsKhKdTh2c Qd8d6s3d2h 
Jh8s5d3d2c Ts9c8s8d8c 7d5c3h3c2s Qd9s7h3c2d 
Ad9d6d2s2d Ad9c5h4c2c Qc9s5s2s2d Jh9h6h2s2c 
Ac9s9h9c6s Jh6s5c3h2h Kd8h7c4c2s 8s7h6c3d2c 
Jc9d4c3h2c Qd9d7c2h2d As9d5s3s2s Jd7s6s6h2c 
Qc8h7c3d3c Kh9h5h3h2c 9s6d4c2s2h 8s5d4s3c2s 
Td6d4d4c3d 9h6c4s3h2d Ad8c4c3h3c 5s4h4c3h2h 
Js5d4d3h3d Qh7s5c4c2c Kd8c7c4s2c 6s4h4c3c2d 
Jh5s5d4d2d Qs6h4s3s2c Jc9c6c3c2s Qs6d4d3d3c 
Ad6c4s4h2s 8s8c4h3d2h Jh7c5c4c2c AdJd6h3d2d 
Th7c3c2h2c Ad9h7c4c2c AdKd6d3d2d Qd8d4h4c3d 
Qs9h6d3h2h TsTh7d3d2c Kd9d9c4d2d Jh5c4h3h2d 
9c5d4h3s2d Qh8s4h4c3h Js9c7c4c2d Kd8h6h4h2h 
Kc5s5d3s2h Ks9c5h3h2d Kh7s6c4c2c Td8d6d3s2d 
Jc7s6h4d2h Jc9s4h4d2d Kh8s6s3d3c 9d8s6d3d2d 
KdJd7h7d2d 8c5s4h3s2s Td8c7h3s2c Tc9d3d2h2d 
Qh7d5d5c2s Kh7s6s4d2s Th7h6c3d2s As5s3s3d2s 
Kh8h4s2d2c Qh9h8h3h2s Ah7d4d4c2s Jd9h6s3s2c 
KsJh6c3d2c Qh9s5s2d2c Jc6d4d3s3h AdTs5c3c2c 
Qd8c4s3s2c Ts5s4d3s3c Jd7d6s6c2d Qs8c5d2h2d 
Ac9h7h2s2h 9c8c7h3s2c Qd5c3h3d2s Qs9h4h4c3h 
Jh7d5c3s2c Jc9s4c3d2c Js7s7d3c2h 8c7s4h4c2c 
8d4s4c3c2s 9s4c3s3h2c Qh9c3s3h2d Qc8c7s2h2d 
Kh8d8c4c3c Ks8d4d3h2h Qs7c5c4c2d KhQc9c3c2c 
Ac8s4h3s3d Js8d5h3c2d 8h8c7c3c2s 8h8c7h3s2h 
AhJc7d3d2s Ks8h7d4h2c Ts8s4s3c2d Qd9h5s3c2s 
7s7d4d3c2d 8c4d3d2s2c KdJs7s2h2c Ts6s5s3d2h 
Kc9s3s3h2h Ks8s6s3s3h Jd9c7h3s2s Jd7s7d4h2d 
Qd9c6c3s2c Jh7h5h2d2c Ad9h4d3s2d KcQh8s3c2c 
8d6c3s3d2h Td6h5h3c2s Qc7s4s3d2d Qs9s5d3s2s 
Qh7h3c2d2c Kc7h6s4h2h Qh9c8c3d2c 9h9d7c3c2c 
9c6c4s3d2c Jd7s6d4d2c Ah6c5s3c2d KcQc8s8c2c 
Ts9d8s8h8d Js9h4d4c2h Jd9s7h3c2h Qh9d8s3c2c 
Qs9s9d9c8d 7s4h3h2s2h Th4d4c3d2c QdJc7s7c2c 
Kd7c6s3d2d Qd9s4s4c3s Kd6c5s3c2c Ad8h4h3s3h 
Ac9h6s6h2h Qd8c6h2s2h Ts4h4d3h2d As9s8s4s2s 
Kc8d6s3s3h Qh6s4h3h2d 7h5s3d2d2c Js7h4h3d3c 
AhTc6d3c2s 7d6s6c3s2s Th5h4d4c2s Th7c5c4c2c 
KdJc8c3s2c Qc7h6s4h2h Js7c6d4d2h Ts4h4d2d2c 
9d5h4d2s2c Qs7h4d2h2d KdQd7s2h2d Qs7s6c3d2h 
9h6d4s4c2s Jc7h5s5h2h Td8h6s3c2c Kh9h3s3c2d 
4c3h3d2s2c 9s5c4h3d2h 7c5c4c3s2c Ac9d7d4h2s 
Jc8c4d2s2c Js4d3s2s2d KdQs7d3h2d 9h8s4d3h2c 
Js7h4c3h3d Js6h4s4d2s Qc7d3s2s2c 8h5d4d3d2c 
KhTc5c3c2c Ks9h7s3c2s Qs9d6h3h2c Qd7d5h2s2c 
QsJs8h3s2s Jc7d6h4d2s Js8s4h4c3s Qs8d7s4s3s 
AcJh6s6d2s 7c6s6d3h2h 9c5s4h4c2c JdThTdTc3h 
9s6s4h3c2s 5d3h3d2d2c AhTc6c3d2c AcTsTdTc8c 
JsTsThTc6h KdJh8h3s2h Jc8d5s3h2s Th7h6d3c2s 
Jh9c6s4s2s 9d8d4d4c2s Ts8h7c3s2s Th4d4c2s2d 
AcTh6d2s2d 9s7s5c3s2s Qh4h4c3s2d Jd7d6h5d2d 
Tc6d5d3s2h Kd9h9d3c2d Ts5d4c3h3c 8c7s7h3s2d 
Tc4s3s3c2s Js6c4s3s3h 8s8d4s3c2s 9s4h4d2s2c 
9s4h4c3h2c Js7s7c4h2s Qh7h4c3h3d Qc6d4d3h3d 
As5d4h3h2h 8h8d3d2d2c KsKhKdJc2d Qh8h7s4h3h 
Ks8h5d3s2s 9s9h9c7h6s 9h9c7s3s2s Qh8h4d3s3h 
Jh7h3c2d2c 9s6h4s4c2s Ks8s4s4c3d Qd9d7s2h2d 
Qs7h6d2s2c QsQh7d3d2c Ks9h4h4d3c Jd7s4s3h2h 
AsTc4h2h2d KhQh8h3s3d Qd8s6d3c2d Th8d7c3s2s 
Kc9d5s5d2d 9h4h3s3c2s Jh6c4d3s3d Jd8h5s3h2h 
Ks9s6h4s2s 7s6s6d3s2s KsQhQdQc9h Kh8s6h3h2c 
Td8h7d3c2d 5h5d4c3s2c Qh9s6d2s2c Jd9d4s4c2d 
Qc6s3s3d2d As7h3s2s2c Ks8h7h4c2d KsJc8h3h3d 
7s7h4c3h2h 9s8d4h4c2h Qh6d5s3d2c AdJh4h3h2h 
Qc7h4d2h2d Ad6s5h3h2h Jh7c6s2h2d Th8c5s3d2s 
AdJd6c3d2d Kd8h6c3s3c Qc6d4c2s2h Qc9h8s3s2s 
AsTs3s3c2s Ks5s3h3c2s Jd7s5c2h2c Qc8c5s3c2d 
8s6c4d3h2h Jh3h3c2s2d QsJsJdJc2c Ad8d6s3d2d 
7h7d4c3d2d Js5c4c3h2d Jd9d7s3d2h Js8s6d3c2h 
Jd7d5d4d2c 9s6d6c3c2c Qs7c5s2h2d Tc5s5h4c2d 
KsKdKc7h5d Kc8h8d3s3h Qh7d5s5d2c Kd7d3c2d2c 
Qc6s5d2s2h 9s8c3d3c2h Jh8d5h3s2h Th8d7h3s2h 
Ac7d5d3s2d As6c5h3h2h Jc7s4h4d3h 9c6h4s4c2c 
Js5h5c4d2h Qc4d4c3s2h Qd9d4s2h2c KhJc4s3s2s 
Ah9d6s6c2d AhJs7s3d2s TdTc4d3d2s Qs6s5s3h2s 
5s4c3d2s2h Kh8s4h3h3c Qs6h3c2h2c Jd7c5s5h2s 
AcQh7h3d2h Kc8s5h5d2s Jd8h6d3s2c Qs6d5d3d2h 
Jc6c5d5c2c QsTd3h2h2c Js6d5c3h2c Qc8d6d3h3d 
Qd8h7d3d3c Jd8s4s4h2s Kh6s5s3s2s AsJhJdJc7s 
Kd7c6s4c2c Jd9c6d3d2d Kc8h6h3s3h Jh6c5d3s2s 
QhJs7d2s2c Js7h4h3c2c Ad8h3s3d2d As7s7h3s2s 
KhJhJdJc4d 9h5c4s3d2c Kc8s4d3c2h 8c6c4c3d2h 
KsKhKcJd3h Kh8s7d4s2s Ad9s6d4d2d Jd5s5c4s2s 
Tc8s6d3d2d 8s6s4s3h2d KcJc6c3c2s Kd9c8s4h2s 
Kd9d8c4d2d Th7c6s2s2d Qs8s7s4c3s 7h5c3d2s2c 
Ah9d5c3d2s 8s8d4s3s2c Th9h3s3d2h AsTd6h2h2c 
Ah9s3h2h2c Qc6d5s3s2h Kh8h6h3s3h Jd7s4d4c2h 
Qc7h5h4d2h KdQs7s3s2h 9s6s6c3s2s Ac9c7c3d2c 
Qc7h4h3d2d Qc8d7c3s3c AhJhJdJc8h Ac5h4s3s2s 
KdJd6d3d2c Jh9d4h2h2c Kh9s9d4c2d Kc5s4s3h2s 
KhKdKcQs4h 8c4c3d2d2c Qd7c4d3h3d Jd5c4h3h2s 
Qh9c5c3s2c AcTc3s3c2c Qd6d5d2d2c Qs9h8h3c2h 
AcJd6d2s2h Jc9c6c3c2d JsJhJd9c8h Qc7s5s4s2h 
5h3h3d2s2h Js9s4d4c2s 7d4s3s2s2d Qh7c5d3h2s 
7c5d3s3d2h Ts8d7s3s2h Jh9h4d3c2h 9c7h7d3h2h 
AsJc3h2h2d 9d4c3d2s2c JsTsThTc6c Qd9h8c4c2c 
Qd6s5h3h2h Jh9d7d2d2c Jc5d5c4s2c Jc6s5h3h2d 
Td5d4s4d2c Ad8c3h3d2d Ad5s5h5d3h KhJc8c3c2s 
Td6h3d2h2d 9c7d5d3d2d 9s7s7h4s2s Qd9s7c3h2d 
Qd8h7c4c2s Qs9h5c3d2d Kh6h3c2s2d 9h4s4h3h2s 
Qc5h4d3h2s As5h5d3h2h Kh8h4d3s2c 9s9d9c7c6s 
AsTc6c3d2c QsTc7h3d2h KhJc8d3s3d Ah5s4s2d2c 
Qh7s5s5c2d KsKdKc6c4h 8s5s4s3c2d Kc9s8s4h3s 
Qs9c8c3c2h Ts7s5s5h2s Qc6s5s3d2s AhQs7s3s2c 
8h5s5c3c2d Ad7h5c3s2c Ks7c6d4h2d Ts5h4d3h3c 
Ac7s5d3h2d 9d5s4s4c2h 9s6c4d3h2d QdJd6d2h2d 
Qs6h5h3h2c Ts6c4s3h2d Jd5s4s3c2h Qd8s6d3h2d 
8d5d4d3s3d Qc6s4c3d2c Qh5c4s4c2d Jh9c7c2s2c 
Jd6s4h3h3c QsJd7h7c2h 9s7c6h3h2h Th8s7d3h2h 
9c5h4s3d2h Jc9d6h3h2s KdJc7h3c2s Jh5c4s4d2d 
9h4s3s2h2d Jh7s5d3c2d QhTd3c2s2c 7d6h6d3d2d 
Kc9d8s2s2h Qs8h7s4s3s Kc8h7s4h2h Th7s7h4h2h 
Kh7h4h4d2s 5s4d4c3s2h Ks5c3s2s2d Jc8h4h4d2h 
QhQd7c3c2c Qc9d7h3s2c KsKhKd6s4c QsJh7d7c2d 
Qd9d8h4d2d 8s6h3s3d2c 9s4d3s2d2c Kh7d4d4c3d 
Kh9c7h3s2h AsJsJhJd8s Jh9h4c3h2d Td7h5s5h2h 
8s5s5c3s2d AcJh6s3d2h 8h5d4s3s2s Qh9d6s2s2c 
9s4s3c2h2c Ad7d3h2s2d Js9d7h3c2c Ah8h7h3s2h 
KsJh6d3d2c 7s7h4c3c2d 9d8d7d3s2c Qc5h4s3d2h 
Jd7c4h3h2c Qs8s4h3s3d Ts9h3h2d2c Qh7s4d2s2d 
Ts8c7d3h2c Ad8d7s3d2d Qs9h5d3d2c AhQsQhQc4h 
Qd8d7c2s2h 7h7c4h3d2h Jd8d6h2s2d Js7c6s6h2s 
Th8d6d3d2c Js9h4h4d2c Jh7c5s3d2s Ks9c8d4c3c 
Th6s4c3d2h Th6s5h2h2d Qc8c5c3h2d Th5h4s4h2d 
KdQs8h3s2c Kh9s8h4h2h Qc8c6d3c2s Kh9h8h3h3d 
KcJd8d3d2h Ad8c6c2h2c 9h5s4h4c2d Qd9h6s3h2h 
Qd8c6d3s2d 8h5c4c3c2d 8s5h4c3d2d Kh9d9c3h2h 
Js6h3h2s2h Ad6s5c3h2c QcTs7s3h2s 8s7d7c3h2c 
Td7d5h5d2d Jh5d5c4c2c Td6h5h2h2c Ks5d4h2d2c 
8d7c4h4d2d Qs4c3s3h2d Ts8s7s4s2s Ah7d5d3d2s 
Js6d4s4h2s Kc8s8d4s2h Qd8d3d3c2c Th7c6d2s2c 
Kc7h6d4h2h KdQh7h3h2s Ts6h5s3s2c 9c8c4s2h2c 
KsQc6h2h2d Jh6d5s3c2c Kc8h6c3s2c 8d7h7c3s2h 
9s4s3h3c2h Ks9d8d4d3h As8c5h3h2d 8h8d8c5h5c 
Kd5s4d3d2d Qc7s7d4h2c KcJd3s2s2h 9d6d4h4c2d 
As6s4s3s2d Kd8d4h3s3d Th6c5c3d2c Td8h7s3c2h 
Qs7s6h4c2s Qc8d4s4h2c AsJh6d6c2d Td8s6h3c2h 
Qc9d5d2s2h KsKdKc7s5h TsTd7h3h2h 5d5c4c3s2c 
Qc7d5s5d2h Jh8d7h4h2h 9h6s6c3c2c Js9h7d3d2c 
Js7h5d3c2d Qs8s4s4c3h Qc8d4d3h2h Th6h5h3s2c 
JsJhJd9s6h QsQh7s7d7c 9h5d4h2s2c Kc9c6h4c2c 
Qs8h8d4c2d As9h7c3d2h Jc8h4h4d2s Tc5h4d3s3h 
9c5h5c4c3c AsJh6c3d2h 8d5d4d3c2h Jc5c4s2h2d 
Qh6s5c3s2s Qd6h4h3s3h Ks9d8c3h3c 7c6h6d3c2c 
Kh8h7h2d2c Jh9h4d4c2h 8h8d7h3h2c KsKdKcJs7s 
Qc7s7h3s2h Qc6d5s3h2h Jc7h4s3s2h 9d5s5c3h2c 
Jd8c5d3s2d Jh8s4h4d2h Td8h4c3d2s Jh7h5s3h2c 
9h6c4s4d2h AcTs5h3d2d Ac8d5h3h2s KsKdKcQs2h 
7d5s5c3s2s KsQd7h7c2h Qd5h5c4h2h Jc9h7d4d2d 
KsKhKc6d4c Qh8h6c3h2d Kc8c4s4c3d Jd8h4h4c2s 
KsKdKcQd4h Qd7c3s3d2s Kh8d6h3h2s Qs8h7c4c2d 
Ts8h4s3s2c Qh5d4s4c2s Qd8c6c2s2h 5s4h4c3h2d 
Jc4d3c2d2c Qc7d5h4s2d Kd7h6c4h2h Js8s7s3s3h 
Kc5d3c2s2c Tc5d3c2d2c 9c5s5h3d2s Kh9d8c4c2s 
9d7d4d4c2h Td6d5c2s2d Ks8d7d4h2c Qc9d7c2s2h 
Qc8c4d4c3h Jc8s5s3h2s 8h5c4d3s2s Qd7s6h4s2c 
Kd9s6s3c2h Qd6s5h3h2c Kc8s8d4d2h AsJh3c2d2c 
5d4s3c2h2d Tc4s3s3h2h 6h5h3s3c2h Kd5c4d3d2d 
Qd9h9c3s2s AdTc6s3s2h 8c7d5h3h2h KhTd4s3c2s 
Qc6h6d4s2s KsKhKcJd3s Tc5d5c4c3c 9h7s7c3d2h 
Js9c6h3h2d Qc9s4h4d2c Th7h5s5h2h Qc3h3d2s2h 
7s6h6d3s2s 9s6d4s3c2h Jh5s5h4h2h Kd8d6h3d2c 
Th6s4d3c2h 8d4s4c3s2c Jh9c7d4s2s Tc5d4s4d3d 
ThTd4s3h2h Th5d4s4d3d Ts6s5s3h2d TsTd7s3s2s 
KsKhKd7c5s 9d6d4s3c2d Kd7c6c4s2c Th7c6s3h2d 
Jc8d5h3h2s Ts4s4c3c2s Qs6h5d3h2h Th5h5d4h3h 
8d7c6h3c2s Js7s5s2h2c QsQdQc7d5c Tc7s6h2s2d 
TdTc7s3s2h Qd9s7h4d2d Jc9d7s3h2h Qh5d4s3c2d 
Jd5h5d4c2d Tc7s5s5h2s AcQs6d3d2d Kc7s6d4s2s 
Kc9s8d4h2d Kh8h8c3d2s Ts5d3s3d2d QdTc7s3h2s 
QsQd7c3c2h AcQd6s3h2h QsTc7h2h2d QhQdQc7d5c 
Ac8h6h6d6c Qc6c4s4c2h AdJs7c2h2c Qd7h5c4s2c 
AsQc6s6d6c AcTh6h3d2h Tc8d4c3c2h Kc6s4s3s3h 
Qs7d4d3c2c Js7s5c3s2d Ks7h6c4d2d Ks8d8c3h3d 
Ac9s6h6d2s QsQd7h3c2c Jc7d6h2s2c Js9s4d3s2c 
Qd7c5s5c2h QhJhJdJc4c 8h7h6h3d2c Tc6d4s4h2c 
Kd9s4s4c3h Qs5h4h3h3d Js6h5c3d2d 9s5h4s2d2c 
As6c5d3h2d 4h4d3s2s2c Tc9h3d2s2d 9h7h4h4d2s 
Td8c4d3s2h QdTs3h2h2c Ah9s7s4d2s Ac7d5s3h2d 
Jc7s6s4d2h Qh9d4s3s3c Kc8h6s2h2d Ks9h8d4h2c 
TsThTc9h6c Jh7h7d4h2s Js5d4s3s2c Js5c4h3h3d 
KdQc7c2s2h Jh9c6c3c2d Jc9d4c3c2h Ts6s5s2h2c 
Js7d6c4h2c AdQh7s3h2h Th6h5c3h2s Tc8h4d3c2s 
AdJh7c2s2c 8h6d3s3h2c 8s5s5d3s2h Qc9d6d3d2s 
Qh8s8d4d2d 8d5d4d3s2c Kh9s9d3h2h Kh9s8s2d2c 
Qd6s5c3h2h Kd7s4c3s2c Th8c5d3d2d 9c4c3s2s2d 
KdJh4s3s2s 9c5s4d3h2d KsJh6c3h2h Qc9c7d7c2c 
Kd9d7h2d2c Ah9d5c3c2s Js9c7d4h2h Ah8c5d3c2s 
KcJh4h3h2h 9s5h4d3c2h Js7s6d4s2c 9h8s3s3d2c 
Jh7d7c4s2c 9s9c4d3h2s Qd6s3s3h2h KhQh7d3c2h 
Qc9d8d3s2d Td4h4d2d2c 9c5h5c3c2d Jh8h6d3c2s 
Ts5d3h2h2d Kc8s5c3c2d Kh7d6s4c2s Jc7d4h4c2s 
QhJc8s3s2s Jc5s4h3h2d Kc9c5c4c2h KhJc6s3s2d 
Ts6d5h3d2d 9h5h4h4d3h AcTs6h3s2d Jc9d6s3c2c 
Ad7c5c3s2c 7c6c4c3h2d KcJh8h3s3h Qs8s6d3s2h 
9h7s6c3c2c Th6s5h3h2d Jc4h3h3c2h Qh5s4d3s2c 
Ad8d6d3d2s KdQd8d3s3c Qd8d4d3s3c KcQc8d2s2c 
Jd7h6c4s2h Js7s5c3s2h Kd7s4h3h3c 8s7c6d3d2h 
Js9s6s3s2d Ah9s6c4s2s 7d6c4c3h2c Kc9h6s4s2s 
Kh8c7d3h2s AhQc6s3s2s Js7d6h6c2h As7c5d3h2d 
8c6h4h3s2h KsJhJdJc9s As9h5c3c2d Jc9c7h3c2s 
KsJsJhJc4h Qh6h4s3c2h Qs9c8h4c2c Qs9c6s4s2s 
QdJsJhJd9c Qh9s4s4c3s Qd9c6h3c2s Qh7h3s3c2s 
Js9c7h4d2d Td8c7s3h2c Qd8s4d4c3d Qs8c7h4d2h 
Kc9s8s4s4h 8s7h7d3c2d Jh6h6c4s2h QcTc8c3c2c 
Jd7d3c2h2c AdJs4h3h2h 9s9h4c3d2s AdJs7h2h2c 
QdJd7c2s2h 7d6s6h3s2s Ac4h4c3c2c Qs7c6h2s2d 
As9d7h2h2c Th6h5d3h2s KdJsJdJc4s Kd5h4h3h2s 
KhKdKcJs3h Kc4h4c3s2c Ad6h5s3c2s KsTh7d3c2c 
Qc9d5s3s2h KhTs3s3d2s 9s8d6s3s2s Ks8h8d3h3c 
Ad7h5s3c2s Kd9h7c4s2h Tc9d4c3c2c KdTh6h3h2h 
Jd7h7d2s2c Ad9s5s4s2h Jd7h6s6c2h 8s5s5d3h2s 
7c5c3s3h2d Js7d7c4h2c 7h5s3d3c2d Jc7d6h4s2h 
Jd7h6s4d2d Jc9d7h3h2s As9c4h3h3d Qs8h4d3h2d 
As7c6c4d2c Ac9h7s4s2s Td9d4d2d2c QhJh6c3h2h 
7d5s5c3h2d AhTc4d2s2d AdQd7d3h2d 9c6s4d3h2h 
JcTsTdTc8h AdTc6s3c2c 8d8c3s3h2c Ts7c5s4s2s 
Jh4s4d3d2s Js9h6h3d2h 9d8s7c3c2h Th5d3s2s2d 
Qc9s3d3c2h Jd7c6c4h2s 7h5s3s3d2c As9h9d4d2d 
Jd7h4s3s2h KsJh6d3h2h Qs7d5c4c2c Ac8d4d3s3d 
KcJd4d3d2d Kc8h6h4h2h Ts5h5d4s2c Jh6h6d4h2s 
AcQd7s3d2d Tc4h3c2h2d Qh7d5s4c2s Ad9h7h3c2s 
4s4c3h2h2d 9s5h4s2s2c 9h5s4s4d2c Th8d4d3s2c 
Qd7s7h6h2h Jd8c5s3c2h Js5h4h3d3c 9c6h4d3s2d 
Qh9d6c2s2c 8d5s5c3c2h KsTs7s2s2d 6h5h3h2h2c 
Ks7d5h5c2c Jd5d4c3d2s Ks7c5h5d2h Jh9s6c3h2h 
5d4h3c2s2d Qd9d8c4d2d Qs7s5d2h2c Kd6c4s4c2c 
Qc9s8d3d2d Ad8s3d2h2d Th6h5c3h2d Ks7c4h4d3h 
KsJd8d3h3d QdJs7h7c2c Qs7h4h4c3h Js8c6c3d3c 
Ts6d4s3h2c QsTs6s2s2d 8s8h5s5h5d Jd8d3s2s2d 
Th8d6s3h2h Qd7h4s4h3c 9h8h4s3h3c JsJhJc5s5h 
Kh7s4d3d3c Kd9s8s3s3c AhJs3c2d2c Ac7h5s3s2d 
Qs5c4h4d2d 8h8c4h3d2h AdQd7d3c2d AsQhQdQc7s 
Kc8s7h4s2d Ad9c4s4c3c Tc9h3h2h2d Jh6h5d2s2h 
5d3h3d2s2d Jh9h4d2s2h KdJc3h2s2h AhJh8h3h2h 
Kh9s8s4s4c 6s5s3s2s2h 5s4c3s3h2d Jc8d3h2h2d 
Ks7h6d4c2d Jc8h5c3s2c Js8h5c3c2d 5s4d3d3c2h 
Qc6c5c3d2c Ac8c6c3c2d Js7h5c3d2c Kc5c3d2s2c 
TsTh4h3d2h Jh7d4c3s3d Jd6s5c3c2h As8d3s2s2h 
AhJs7d2d2c Qh7c3s2s2h Jc8d6c2h2c Jd7h4h3c2c 
9h5s4d4c2h Ad5d3d2s2d Kc8d5c3c2h Th6d4s4d2c 
Jh5c4s4d2h KhKdKcQh3s JhTsThTc2s 8h5d4c3c2c 
Td7d5s5h2d 9h6c4s4d2c Qd3h3d2s2d Qd5c4s4c2h 
QdJsJhJd4s Qh9d4d4c3d 5h5c4c3c2s 8d7s6d3h2d 
Tc4d4c2s2c Ks5s4s2s2c Ad6s4d3d2d 8c5c4c3d2h 
Kc7h5s5d2h AdQsQhQd4d Ts9s4c3s2s As5s3s2s2d 
Qh4h4c3d2s KcTd7h3s2s Jc9s7s2s2h Qh9d5s3c2s 
Jd9d5d4d2d AdJc4h3h2s Jh7s6c4h2h Qs7s3d3c2d 
Qs5h3s3d2c Tc8s6c3d2c Qh9c6s3c2c 8d7c6s3c2h 
Qc8d7d3h2h Js9s4d2s2h TsTc7d3d2d As8c3s3d2s 
QsJd8c3c2c Qd7d6h2s2c Js9c4h3c2d As9h5d3c2h 
Qc9c6c4h2c Kc8h6c3d2c Th7d6h2s2h Qs7h4s3s3d 
Kd9s5h3s2c 9s5d4h4c2s Ts7s5d2s2c AcQs8d3d2d 
Tc6d4s4c2c Td8d6c3d2h Qc7c4s3h3c Qd7d6h3c2s 
Ks8h8d4h3h Qd7c6s4s2h Qh8h7h4h3d 8d7d4h4c2d 
6d5s3s3h2s Qs7s6d3c2h Qh7s7c6d2s Qd9c6s3c2h 
Ks9d8h2h2c Ah9c3h2s2h Qh8h5h3s2d Ac9s7d3h2s 
Jc7s5d3h2d Tc4d3d3c2d 8s7h7c3c2d QcTd7h3s2h 
Ts6d5c3h2c Tc9s3s2s2d Ah9c6c4d2s As7h6h4d2h 
Jc6s6c4d2c Ac5d4d2s2h 8d7s5s3s2h 9c4s3s3d2c 
Qd9h6s2h2c Js9s7c4s2s Ad9s7s4h2s Qh7h3s3c2c 
Kc7s6h6d2s QsThTdTc9s Qs9h9d3c2c Kd7c4s4h3s 
Ks9h6d4d2d Kd9c5c3s2h 9d5c4d2s2h Jd9c4s4h2c 
Qs8h7d4c2h Kc9s5d2s2h Jd9c4d3h2d Jd8d3h2h2d 
Jd7s6h6c2c Qh6c4s4c2d Td6d5h2d2c Jd5c4s4h2h 
9h7h5h3s2h Tc7d6h2s2d 8s8c3h2h2d Ks8s4s4h3c 
Jh7s7h4h2c Jc9h7d3s2h QhTs7s2s2c Kh7c6d4d2d 
QsJsJhJc6h 8d4d3s2s2d Qh7s5c4d2s Tc9c4c3c2d 
Ah9d9c4c2c Qs7d3d2s2d 8d7c6c3c2s KsQd6c2h2c 
9h8d4s3h2c Jh8h6c2h2d KcJs8d3h3d Qd7s4s4h3s 
Kh7d4c3s3c Kh5s5d3s2c Js9c6d3c2h Kd9h3d3c2s 
Tc7h5h3s2d Qh6h4d4c2h Kc7h7c2s2c As7h5d3d2c 
9s7s7c4s2s 9d8h4h2s2c Ks6s4s4h2s ThTd6h3h2h 
KhJc8s3s3d Qh9h7s3c2d Jh8d5h3c2h 9h8d7d3d2c 
QhJc7s2h2d 7h6h4h3s2d QsJh7h7c2h Kc9d6d3h2s 
Tc6c5c3s2h KdJc6h3s2h AhJsJdJc7h Kd8s6c3h3c 
Ah9s6d4s2s Td6d5s3d2h KhTs7s2s2c KsKdKcJh8h 
6s4d4c3c2h Ac9h8h4h2h KcQd7c3s2c KdJc8c3h2c 
Kd9h8c2s2c Ts5s5c4h2s Ac6d4s4h2h Th5d5c4d2s 
AhQd6s6h6d Ks8h7c3s2d Ah4h4c3h2h 7s7d4h3h2h 
Js7d5c3h2c Ah9s3c2s2c 7s7d3h3c2h Qc8s5h2s2d 
Qc3s3c2d2c 9h6c4s3d2s 9h5d5c3s2c AsQsQhQd3s 
Jd4c3d2d2c Kc9d5s3d2h Ks9d5c3d2h AcQc9c3c2c 
Qd8d7d4c3d Js6h3s2s2h Jd9c6d4d2d 5c4c3s2h2d 
9d8c4h3d2s Jc8c6s3h2d TsTd6s3s2s As7d5d3h2d 
Jc9s7h3d2s 9c7c5c3h2c Jd7s5s2h2c Ks7h7c3d2s 
QsJd7c4c2c 8c5s5c3d2c Kc8h8d4h3s QhTd7d3c2d 
Qc8d4s4c3c Qc8d6c3s2c Jc6c5s2d2c Ks8h7c4d2h 
Kh9c8c4d3c AcTs4h2h2d Jd6s6c2h2d Qc8c4c3h3d 
As8s3c2s2h 9h4s3s3d2h KhJhJdJc2c 7h5c3h3d2s 
5s5d4d3h2d Jc9d4c3s2c AhJs9h9d9c Kd9c8h4s2h 
Qh8c4d3d2c 8c7c5d3c2c Ah9d7s3c2d As6c4d4c2c 
Js6d3h3d2h Td8d4d3s2c Js5h4h3h3d Kc9d8s4h2s 
7h7c3h2h2d Qd8d3h2h2d 9s8c7c3c2d Jd8s4d2d2c 
AsQd7d3d2h KdQc7s7h2s Qd5s4h3s2c Qs9c8d3h2h 
Ac8s5d3d2h 9d5s4c3h2c Ts8h7h3c2d Jd9d7h3s2d 
9c7s4d4c2h Jc7c5h5d2c Kc9d8d4h4d Jc8c4c3s3h 
Kh9h6s4h2h 9c4s3d3c2d Qd6c4c3h3c Ac7d6d4h2d 
