9d6d3h3c2d 
Ad8s6s3s2h Qc5c3h3c2c Jh6c4d3c2s Jc6d4d3d2s 
Qc8s4s4d3s 7d4s3s3c2h Ts9h7s7h7c Qs8h8c3c2d 
QhJd7d3c2d Td3s3c2h2c As7d7c3h2h Qd8d4d3s2h 
Kd8h6d3d2d Jh8s8h3h2h Qh8c7s3h2h 9s8c4c3c2h 
8h7d3s2s2c Kc9s4c2d2c Ac8d5s3s2s Qc8h3s3c2d 
Ts7d4h3s2s 8s5d3h3c2d TsTdTc9d2c Ks8h4h3h3c 
Th5c4s3s2s Ts8h3d3c2h Tc6d4s3s2s Js9c3d3c2c 
Qh7h5h3h2c Jd8h7d3d2c 9d7d3s2h2d 9h6c3c2d2c 
Qd8c7h3s3h Qh7d6h3s2h Qc4c3s3c2d Kc7d4s4h2s 
7h6c3s3c2c KsKhKcJh5h Ah9h4h3h2s Td5s3s3c2h 
Jh7d7c3h2s Kh7h3s3d2c Qh7h7d2h2c Qd8c7c2h2c 
Ac9s5h3h2h Ts8d3d3c2d Kc6c3s2d2c Js7d3h2h2d 
Th7d3s2h2c 9h7d4h3c2s 6s6d6c3s3c Qh9d4d2d2c 
Qh6h4d3h2h Qd7c3d3c2d Jd4h4d3d2c 9d5h3s3h2h 
Ks8h3d3c2s Ah7c4s3c2c Qc7c4s3h2d Qc7c6h3s2c 
Ad7c6h3s2s Jh9d3d2d2c Js9s3s3d2s Jc6s6h3c2c 
Qd6c4c2h2c Td7d4c3d2s KsQc7c2d2c Ks7h6s6h6d 
Qc4s3d2s2h 8c5h5c3c2c KsQsQhQd6c Qs7c5d3c2c 
Tc7d4d3d2h 9d8h4c3d2d 6h4c3c2s2c Jc7s4s4d2s 
Ah8s6d3d2d Jd7d6s3d2h 9s7h4h3d2c 7h4s4c3d2d 
Ac7h5s5d5c Ad5c3s2s2h Ks8c6d3d2h Js7c4h4d2c 
Ks9d7c3h2h Kd7c3h3c2h KsQc8s8d8c Ts5c3d2s2h 
Jc9s4s3s2s 8d7h3d3c2s 9s5s3d2h2c Kh8s8c3d2c 
Jh6c4d2s2d QhQdQc4h2c Ks7h5h2h2c AhKs7h7d7c 
5d5c3s3d3c Ks9s7h3s2s 8c7c4s3d2c 9c6c3h3c2c 
Jd5h5c3s2h KsKhKc6s3d Ah9s6s6h6c 9h7d4h3h2c 
4s4h4d3s3h Kh8c4d3h2h Jh8d4d3d2s Th6s6d3d2d 
Qs9h7c2d2c 5d4h3s3h2h Qd5s5c3h2h Qs9c7d3d2d 
Ks8h6h3d2h Kd8s3c2h2d 9d8h4s3s2c Kc6d4d3d2d 
Jc9s3h3d2s As8s4s3h2s Qd6h4h3h2c Qd8s8d3h2d 
Ks8h6c3d2d Qc9s4s3s2d Kh8c6s3s2s Th6d3s2d2c 
Qh8c7d3s3c TsThTc9c2h Qd6s4h4c2s Ks7h6h3h2d 
QsQdQc4s2c 9c5d3d2s2d JsJhJcTc7c 9d5c4c2s2c 
Qh9d7c2s2d Ks7s7c3s2d Jh8h4s3c2h Kd9s4s4c2h 
Jc8c6c3h2c Qc6c3s3c2d Ah7s5h5d5c Qs8c4c3d3c 
Qh7d5c3c2c 9d8d4s3d2h 8d7d5d3d2d 9s7d3h3c2s 
Qh9h7h2s2h Jc9d4h3h2h Tc7c5h3c2c Jc9d4s3s2s 
7s4c3h3d2s 9s5c3c2d2c Kd9h6h3h2h 8d7h4h3h2s 
Ks7c6c2d2c Kd7h4h4c2h AhKh9s9d9c 8s6s3s3c2s 
Qc9c7s4c2c KcTsThTd8c Ah5c3c2d2c 8h5h3h2s2d 
QdQc2s2h2c KsKhKcQh5h Ks8s4s3c2d Ts7d5d3d2d 
AcTh4h3h2h Ts7h4h2h2d Qd9d4h4c2d 8h7d4c3s2s 
Qh4s4d3c2s Tc9h7h7d7c 8s6s3h3c2s 9s8s4d3s2c 
Jh5h3d3c2h Js7d4s2s2h Qc7s7c3h2c Js5c3s3h2s 
Jc8d6h3h2s ThTdTc9c3d Kc9d4h3s2d Ts6h4h3h2c 
7s4h4c3c2d 9s7c4c3c2h 9c8d4h3d2d Qc7h5d3d2d 
Kc9s6d2h2d Qd5s4s2s2c Ks8c4s3d2s Ah5c3c2s2d 
Jh8h8d8c7d QdTs9s9h9c Ts5h4d3h2h Qd8s7s4s2s 
Jd5s5c3s2h KsKdKc5c3c Ah4s4c3d2c Jd8d4d3d2h 
8s8h8c4h4c Ks7d6h3d2c Js8h3s2d2c Kc7s4d2h2d 
QsQhQc9h7d Ad8s6s3c2s Kd8h6s3s2s Qd8c6s3c2h 
Kc8c4d3s2c Ad7s4s3c2s Kc8s4h3c2c Ts4d4c3h2s 
Td7s4s3c2h As9d5s5h5d Ac7s4s3s2d JsJhJc9d7h 
7h6d3s3d2d Qd8d7d3s3d Kh7c4h3h2s Jd5d3d3c2h 
Kh7c6s3d2s 9d6h3d2s2c Qc8d4h2s2d 9s7d4c3h2d 
7s4d3h2h2c Jd7c4h4c2s 8d6d4d3d2d JsJhJdTd7d 
Tc6s3h3d2c Kh9s4h2h2c Ts5h5c3d2s 8s7s3c2s2h 
Kc8c3h3d2s Kh5s3s2d2c Ah4s3s3h3c Js8h4h3c2h 
KsKdKcTs2s Js5s5h3s2s Qs8c4c2h2d Jc7s6h3c2d 
QhJs7s3s2c Jc7h7c3c2d 9d5d4d2d2c Qs9d7c3c2c 
Tc8c3h3d2c Jc6s4c2h2c 9s7s3h3d2s QsQhQd6d3s 
Ks8d5h3d2d Jh5d5c3s2c 9s6d3h2h2c QhQdQc6h3c 
Kh9d4d4c2s QdJc7h3s2s Qh7d7c2s2d Th8d3s3c2s 
Kh8d4s4d2c 9s8d4h3c2s Jc7s4c3c2h Qs6d4d3d2c 
Qs7c5c3d2h 9d7c4s4c2c Ks9h8h3h2c AsJsJhJd7s 
Qc9h7h3d2s Th7c5s3s2s Kh8c4s4d3s QhThTdTc5c 
Jd8s4c3c2h 6s4c3h3c2c Tc6d5d3d2d Th7c4c3d2c 
Jd7h4s4c2h Kd8s6c3c2h 9s9h9c6h5c QhJs7c3d2d 
Ah5c3s3c2c As8h7s7d7c Ah8s8c3d2d Qd9s4c3s2h 
Ks7d6s6h6d Jd5c4d3d2d 8s7s4c3d2s Qs9h7c2h2d 
Jd7c6d3h2d Ts6h6d3c2d Kc7d4d2s2h Jd7s4d3c2d 
Qd7c6c4c2c QhQdQc6h3d Ts5c4c3c2h Ad7c6h3h2h 
AsKs4h4d4c As8d4h3d2c 8h7h4h3d2c Td6h3d3c2s 
Js8d4d3h2d Ac9d6d3d2s 8s5c3s2s2d QhJs7c3d2c 
Qc9s4d3s2h Qd8c3h3d2s Kh4d4c3d2s Ks7h4c3d2h 
Ad7s7h7d6c Ks7c6h3d2d Qh8d3h3c2s 9c8d4c3h2c 
Kh8d4h3s2h Jh8s3d3c2h KhQd7s3c2c Tc5d4h3s2s 
Qh9s7d4d2c Jd4h4d3c2s Jd4d3d3c2h 6d4d3d3c2h 
Qd9s4c3s2s Qs4h4d3d2c KcJs7h2h2d AhKd8s8h8c 
Kd8h6c3c2c Qc7h5h2h2d Th7s4d3c2d Qd7h5c3c2s 
Jd7h6h4h2h 9h7c3s3d2s 9d6s3s3h2s Ks7h7c2d2c 
Qd7s5c2h2c 7d4h4c3c2s Qc9s7h3d2d KhJd7s2s2c 
AhQsQdQc2s Qs7h4s3c2d Jc7s6c3c2h Jh8d7s3s2c 
Td8c7s7d7c AdJd7d3d2d Ks9d4c2h2d 7d6s3d2d2c 
QsQdQc7s4d Ac9s6h3h2h Qd9h7c3h2s 9c5s3c2h2c 
9s3h3d2d2c KsJhJdJc8s Ts7h3c2s2d 6s4s3s2s2h 
Td6s3h2d2c 9h7s3s3d2c QdJc7h3s2h Kd8d4h3s2d 
Qc9c7c4d2c 9d7s3s2s2c 8d7h3d2s2c Qd6h4h3h2s 
Ah5s3c2d2c Js4s4d3s2h Ac8d7s3d2d Td7h5d3d2d 
8s7h4h3h2d Qh9d4s3d2d TsThTd9s4h Jc7h4s3c2d 
Qd9h3d3c2d 9h8d4s3c2c Kc9h9d3s2s Jh5c4h3h2h 
Th7d4h3h2s Qs7d5h2h2c 8s6h3h2d2c AsJh6s6h6c 
Kd9d4c3d2h As4h3c2h2d Th7h5s3h2h Kh7s3c2h2d 
Th7s4s3s2d KdQs7s7h7d Ad7c6s3h2h Qh7h4s4d2h 
Ac8d4s3d2h Kh9c7d3c2c Qc8s6s3h2d Tc7h7c3c2c 
Js5c3h3d2c KsKdKcTs5s Ad4s4c3s2s 9h9d9c5h5d 
Qs8h6d3c2h As8h7h3h2c Td8c3h2s2h Kd8h8c3d2d 
Ac9d5s3s2s As6c3d3c2c 8c5s3c2h2c Jd8s4h3c2s 
Ks9d7h3h2c Jh5h4h3h2s Ac8s6s3s2h Kd6h4c3c2c 
Js4c3s3h2d Th5c4d3c2s 8s5h3s2s2d Kd5c3h2s2c 
Jd4d3h2s2c 8d7h4s3c2h 9s6c4c3c2c KsKdKc8d6d 
Ad6h4s3s2s KdTsThTd4s Th8h3h2s2c Qh9d4s4d2d 
Qc8c7c3d2h Jh5d3s2h2c Tc5h5d3d2s Qs9d7h3d2c 
Tc7s3d2h2c Qs8c4h2d2c Tc5c4s2h2d Jh5d5c3s2s 
Kh8s4h3h2c Kc8h3d3c2s Th6h4h3h2d Jh8h6h3s2h 
Qd6h4s2s2c Ac8s8h8c4s 8d7s3h2d2c 9h7c4h3h2d 
Jh8h4c3h2s Qs7h6c2h2d Js4s4c3s2h Ac6d4h4d4c 
Qh8d8c3s2c 9d7s4s4h2s Qs8d3c2s2h AsTd4s4d4c 
Ks9c7s7d7c 9c8h4s3s2s Jd8h7s3h2c Ts7h6h3h2h 
Qh7s5c3s2s Ks8d4d3h3c 8s5d3d2h2d Qh8h6c3h2h 
Td6h6c3c2c Qc9s7s3h2s Qs9c7d3d2h KsKhKd5c2h 
8s7d3c2s2h Ks9s8s4s2s 5s5h5c4d4c Tc8d3s3h2c 
9s6s3s2h2c Jh7c5h3h2h Kh9h4c3h2h Jd4d3s3c2h 
8s7c3h3c2d Qc7s7c2h2c As8d4d3h2c 5c4c3c2h2c 
9h5s3d3c2s Qh9c7d2s2c Td5d4d3h2d 9d5s3d2h2d 
Jc6h4c2s2c Jc4h4c3s2d Kd9s7c3c2h Qd7s5c3h2s 
Js9d3h3d2d QsQhQcJs8s Qd9h7s2s2c Qc9s7h3h2d 
9h7d3d3c2d Jh8h7c3h2d Js8h6c3c2c Ks4h3h3d2c 
Js6c4h3d2d Ah7s6d3c2c Kd6d3d2s2h QhTc9s9d9c 
7d4h3s3h2c Qd7d4s4d3d As8h4d2d2c JhJdJc9d7s 
9h7c3h2s2h 7h7d7c5c4h Qc8h7c3s2d Ad6h3h3c2h 
As8d5c3c2c Kd7s4c3c2h Ac8s4d3h2s 9d5c3s3c2c 
8d7c4s3d2h AdKc7s7h7d 7d5d3h3d2d Qh9d7s4s2c 
Qh7c5d3c2c Jc7c4c2h2c Jc8h6c3d2c 7s3s3d2s2h 
Jd9s3s2s2h Qh6s4s4c2s As4c3s3d3c 7c4s4d3h2d 
Jc6d4c2s2c Qs5c3s2s2h Jd9s3s3c2s JsJhJc8h7d 
Qc6d4s3h2d 9s8s3s2h2c 9c7d4s2s2h Qd9s7h3c2h 
Qh6h4c3h2h Js7d4h3h2c Qh9s7c3s2s KdQs6s6h6d 
9c6d3c2s2h Ah9h4h2s2h Ac5h5d5c2d Jc6s6d3s2h 
9h7h3s3h2d Ad8h7h3c2h 7h4h3h3d2c Td5c4s4c2c 
9d8d4s3h2d Ac6c4c3c2c Ad9s9h9c8d QsQdQcTs6h 
Qd8s5s3s2s 7d4d4c3d2h AhJd6s3s2s Jc8c4d3c2s 
Qs8h6h3d2h Jd4d4c3h2s Qh4h4c3d2h 8d7h4c3c2s 
As4h3d3c2c Jd6h4s3h2c Ks7h6h2h2d Js7c4s4h2s 
Ad8d7d3d2d Ah8h8d8c4d Qc9c3c2s2h Qc9c3d2s2c 
9h6s3d3c2c Kd9c4d3s2d KcQsQdQc5h Jh7s6h3d2h 
Qc6c4c2h2c Js8s7d3s2h 9s3s3h2s2c AsQh7c3c2c 
Kc8c4c3h2s Tc5s5d3h2c Jd6c4s3s2s 9h8h4h2s2h 
QcJd7d2s2d 9h7h4s3d2h KdQh8c3s2s KhTsThTc2c 
Ts5h4h2h2d Qh9h7h3s2h Kd8s3h3d2c Ac5d3d2s2h 
Jd9d4d3h2d 7d4d3s2d2c Ad6s3h3c2h Jh8s7c3s2s 
As4d3h2h2c Jc7s4h3c2d Qs9h7c3c2c Kc8d6d3d2s 
JhTsThTc7d 8h7c4c3s2d KhQsQhQc6d Kd7d5d3d2d 
TsThTc9s4c Ks6h3d3c2d Ah7s6d3s2s Kd8c4d3d2h 
8d7d4s3d2d Qs5d5c3d2d Qs8d4d2d2c Js7d6s2s2c 
Js7s4c3d2h Qd5c4c2h2c 9d5c3h3c2s 7s4h3c2s2d 
Ad4c3s3h2h Ah8d4h4d4c KsQd7c3c2c Js7s6d3c2h 
Tc7h4d3h2s Qh5h3s3c2h KhQs7s3s2s As9c6d3d2d 
Kh8c6s3s2d Qd9h7h4h2h Qd8d4h3s2d KsQh7c2d2c 
Ac8h4h4d4c Kd8c3s3d2h Jc7c6c2s2d Jd7c6d3h2s 
Qh8d6s3c2d Qc6d4s2h2d Td6s4s3s2s 9s8s3h3d2s 
KsKdKcQc5c Qd6s6h3c2s Kc8h6d3h2s KsKhKcQs3s 
8h6c3c2s2d Kh9c6d3d2d Js6h6d3d2c Jd4s3c2h2d 
9c7s4h3s2d Js6h4h3h2d Kh8h3d3c2s Tc7d4c3h2c 
8c7c6c3h2c Jc5c3d3c2s Ac4h3s3d2s 9h8s4d3s2s 
Ah9s4s3c2d Th8c3c2s2c Qs8c7s3s2d Kc5h3s2h2d 
9h5h4h4c2h Qc8s6h3s2d Qh6c3h2s2d AcKs3h3d3c 
Js7d4d4c2d Ts5s4s3h2s Th4s4h3d2c 7s6c3h3d2d 
Qh8c7h3h2d Qc8h5h3h2h Jd4h4c3d2s Kd8c3s2s2c 
Kd6s6d6c5c Kh7s4c3h2h Jd9h4s3s2s Kh9s7c3s2s 
Kh7s6s3d2s Ac7s7d3d2d Kc8h6h3d2s Jd7h5h3c2h 
8h6s3s3d2s 9d8c3s3h2s Ad8d5d3d2d Qh7s3c2s2c 
9h6c3s3d2h Kh5c3c2d2c Qd8d7s3h2c Qd8s4s4c2h 
9d7h4h4c2h Kh8d7d3c2s Qs7h6d3d2c Ac6s6h3d2h 
Qs7c6s3s2d Qh8h4s3h2d Js7h4s3c2d Qs6s3s3c2h 
Qc9s7d3s2h Ac5h5d5c4s Kh9d9c3c2c 7s4c3c2h2c 
Jd6s4c3d2d Ts8d4h3d2d Qd9s7s2s2c 9h7c4s3d2d 
Ac4h3d2s2h Jh7d6h3s2h ThTdTc9d4c Jd6s5s3s2s 
Jd6d4d3s2c Jc7h6c3d2s 7s6c3s2s2h Qh9s3d3c2h 
Qh8d4s4c2s Qd5h3c2s2h Qh8h4c3d2h Qd9c4h3s2s 
Qc9h4d3h2s 9h7h3s3d2h 9c8s4h3h2d 9d7c4d3h2s 
Jd6c4c3c2h Ah6s4s3s2d Ac6d4h3s2s Jd5c3s2h2d 
9d7s4d3c2h QhJh7d3h2h Ah8s6c3d2c Qs4s3s3c2d 
8d5d3d2s2h 9c8d7s7d7c 8d5h3h2s2c Kc8h7h7d7c 
Kh9d7c3s2c Qd7s5h3h2h Ad9d4d3s2d Ts7d4h3c2d 
9c5c3s2d2c 9h9d5s5h5d JdTsThTd8d 8d5s3s3h2s 
Qd9h7s4s2c JsJdJc9s4c As6d4c3h2d Jc8d6h3d2d 
Jd8h4h3h2s Js8s4s4d2s Qs6d4h3c2c Ad7h6s3s2s 
JsTsTdTc7h Ah7d4c3c2s Kc6c3c2h2d Jc7s7d3c2h 
Kc9d7d2s2h Ts8s5s3s2s Qd7s7c4c2h KdQd7d2s2d 
Js9c4c3c2c Ac8h8d8c4h Jc6h4d2s2h Js9h4c3c2c 
TsTdTc8d5c Jc7s6h2h2d Qc7c4s2h2d Kc9h9d9c6d 
Js8h6c3c2d Jc8s7d3h2h 7h4h3s3d2c Js5s3d3c2s 
Jc7s4c3h2d Qc8s4s2h2d Jd5s3h2s2c Kd8c4s4h2s 
8h5d3s3c2d Kd9c7c3c2h Tc8c7c3s2c Kd9s8s3s2h 
Th6h4h3s2h Th7h3s3d2c Td7h4c3c2c Kh7s7d2s2c 
Qs7s6h3d2s Jh8c4c3s2c Qs7d6c3c2h KsKhKcQd4d 
Td6d4c3d2d Ad8s8h8d7c Qc6d4s3s2h AsQhQdQc2d 
Ts4d4c3s2h Jd8c7h3s2c As8c6c3c2h As4h3h3c2h 
Kh6s6h6c5c Qc7d6h2s2h 9h7s3d3c2h 6s4h3h2h2c 
8s8d8c6h6d Jh6s4h3d2h Js5s3s3h2d Qh8s6c3c2c 
Kd6d4d2h2d Kh8d7d2s2d Td8h3s3h2h Qh9c7c3c2s 
Qc8s7d3h3d Kc9s7s7d7c QsQhQc4h2s Qc6d4d3s2d 
Qs9d7d3h2d 8h8d6s6d6c 8d7c4h3s2s Th8s7h3h2h 
Kc9d5d2s2d 5s4s4d3s2s As8s7s3s2s Qs7s4s4d2h 
Kd8s5d3d2d 9s6d3c2h2c 9s5s4s2s2h Ks7c6s3s2s 
Ad8s4s2h2c Qs7s7d4s2s Qd5s3h3c2c Ks7c6s6d6c 
Td6d6c3s2d Qh9d7d3d2s Jc8h6d3s2h Ac7d6h3d2d 
7s7h7c6s5c 9h5d3s3c2s 9s7h4c3h2h Th5s4s4d2s 
Qs4d4c3h2c Kh8c6s3d2c KsKhKc7h4d 6h4h4c3h2h 
9h6s3d3c2s Js8s6s3s2h Kh7h4h2h2d JsJhJd5s4d 
8h6h3h3d2h Jc8c3d2s2c Qh9d4s3s2c Qc9c3h3c2d 
Tc5s5d3c2c Ad9s6c3s2s Qd7d6c3d2h KhQc7h3h2h 
9c7s4s3h2d 9d6h3c2s2c 8c7c4c3h2c Kc8c6h3c2c 
Qd7h7c2s2h Jh6s4d4c2s Kh9d4s3d2c AdKc3s3h3d 
Qd7s7c4h2s Th8s3h2d2c Jh7d4h2s2c Ts6s5s3c2s 
Qh7s7c4s2d Kd6s6h3h2h Kh8d5d3s2d Ah6d6c3c2c 
Qs9s7s3s2c 8h7h5h3h2h KsKhKcQs4s Tc5s5h3h2d 
Kh8s4d4c2c Td6s4s3s2h Qs9h7d4d2d KsKhKc7d4c 
Jc8d6s3d2d Ah7c4s3s2d Jc7c6d3s2h Th7h4s4h2h 
Td5s5h3h2h Qd9c4h3c2s Ks7h7d2h2c QhThTdTc4c 
Qd8h7d3s2c Js9h3h2d2c Th6d4d3d2c Js7s7d3h2s 
Ks9h5h3h2h 9h5d3c2s2h Tc5c3s3d2h 8s6c3d2h2c 
QsQhQd7s4h Kh7s7d4c2c KsKhKdTd5d 8s4h4c3d2h 
Jh8s6c3s2s KhTsThTd3s 8c7d4c3h2c Qc6s4h2s2d 
Qd4d3s2d2c Js8s7d3s2c Ad7h4h3s2h Td7d4d3h2c 
Qc7s5h3d2s AhJd7d3d2d Jd8h4h3h2c Jd8d4c3d2s 
Ks9c7h3d2d Ah7c4d3d2s AsJsJdJc7s Ks7c5c2h2c 
6s6d6c5d4c 9s8h4c3s2s Qd6h6c3s2c Qd9s7d4d2d 
8h7c4s3s2d 9s5d3h3c2d 9c7c4c3d2c As9s9h9d7c 
Kd5d3d2h2d Qh6h4h3d2h 8h8d8c7c5h Qd9c7s3c2h 
Qc7c6c3d2h As6s6h6c3h Qc4s4d3h2d Ah8c6c3d2c 
QdThTdTc5h Js8c6h3c2c 4s4h4c3s3h Kh5c3d2s2c 
Ad8s8h8d6c QdJd7d2s2c Qs8s6c3s2s Qh8c3d2s2h 
Th7h4h3s2c Kc9s7h3d2h As8c6h3h2h Jd8c4s3h2h 
Kh7d7c2s2c Qc9d7c3c2c Qd8d4h3c2d Jc9h4c3c2c 
Td6h6d3c2d Qd4s4c3s2h 5s4s3h3d2s Jd4d3s3d2c 
Kh8s6d3d2c Jh7c6c4c2c KcQh7h2h2d Ks8s4s4d3s 
Td7c6h3h2h Kd8s6d3d2d Ks9s3s3d2c KdQc8h3h2h 
Jd6d4d2h2c KdQd6d3d2d Kh6s6d3d2d Jc8h7d3d2s 
8h7h3h3d2c Js8s8d3s2s Qs8h3d2s2c Kc7s4s4h2d 
Qs8d4d3d3c Qd6c4h3h2h JhJdJc9c4d Th6d3h3c2s 
8d6h3h3c2h Ks7c3h2s2d Qh8c7c2s2c 9d8s4d3d2h 
TsThTd9d4h 9c7s3d2h2d KsJsJhJc8d Ac6s4h3s2d 
Ks8s5s3c2s Kh7h6h3h2c 8h6s3d2s2c KdTsTdTc4c 
Qd5d3s2d2c Qd8s6h3c2c KdJsJhJc9s 8s7h3d2h2c 
QcJd7d3d2d Td5c4h3c2c As9d4h4d2c Ac7d6s6h6c 
Ks8d5h3c2c 9c8c3s3d2c Ts5h5d3c2c Ks8s6s3s2c 
Ad9d3s3d2d 8s6s3s3h2c Kc5d3d2s2h Ad9h7h3h2h 
Jh8s6s3s2c Jd7d4d3h2c 6h4d3d2s2d Ah7s4d3c2d 
8c6s3s2s2d KhQd8c2s2c 9s3h3d2h2c Jh7s4h3h2c 
Jh7c6d2s2d 9s9h9d6s6c Qd5s5c3c2c 9h9d4h3h2h 
Ts5h5d3c2s Tc7h4d3d2s Ac4d3s3h2h Kd9d3c2h2d 
KsKhKd5h3h Jd7h5d3d2d Jc5c4c2s2c 9c5c4c2h2d 
AsJs9s9d9c Jc6c4c2s2h Ad8h5s3c2c Kh7d3d3c2c 
JdJc7s7h7c 7d3s3d2h2c Ks8c5d3c2c Qc7s4c3h2d 
Td7c3s3d2h Qh8s4d4c2c Kd7s5s2s2c Qh9d3s3c2h 
Jd7d6h3d2s KsKhKd4c2h 7c4s4d3h2s 7c6c3s3c2c 
Th5d3h3c2h 9d5c4c3c2c 9h7h4s3h2c Td6s3s3h2c 
Qc7c5c2s2c 7c6c3c2h2d Kc7d4s2s2h Tc5d3s3h2c 
Js8c7h3c2d TsThTc9s3h Td7c6s3s2h KdQs7s3s2s 
As6d6c3h2d QsQdQcTs7h Qd9d7c4d2d Th5c3h2s2d 
Qh7c6h3h2d As9d5c3c2c As6c4d3c2c As9c4h4d2h 
Qd9s9h9d6s Qh6d4c2s2d Ac6d4s3h2d Jd8h6c3h2h 
TsTdTc8d5s Qc6s4d3h2d Tc6s3h2d2c Kh5s3s2s2c 
Ks7s3h3d2c Kd9h4c3h2s Qh6c4c3d2c Qs9d7d3h2c 
JsJdJc9c4s Qs6d4h4d2d Th7s6d3s2s Jc8h4s3h2d 
As9d7d3d2d Jh7c5d3d2d 8s7d3s2h2c Qc6c3d3c2s 
Qc8h6h3s2d Js6d4d2h2d 9s7s4h3s2c Ah9s6s3d2s 
Qs5s3s2h2d 9s7s3d3c2s Jc6s6d3h2c KsKhKd5c4c 
AsQhQdQc3d Js6s4d3h2s 8h7c4h3h2d Td7s4d3d2c 
Qh6c4s3d2s Kh9s7d3s2s Js7s6s3d2h Qc9h7h2h2d 
Th5c4s3c2c KsTsThTc3h Kd8h6c3s2s Qs7c5h3d2d 
Ad8c6h3h2s Ad9s5c3c2c 9c7c3d2h2c Qs6d4h3h2h 
As8h4h2d2c Kh8c5d3c2c 7h4d3h3c2h Ad9s5h3s2s 
Qc4d3h3c2c 7d5d3d2h2d Ks4h4d3c2h Kh9d4h3s2h 
AdQd9s9h9c Ks7d5h3h2h As9d4s3s2s Th7c4d3d2s 
As7s7h7c6d Ts5c3h3d2s As6c4d3d2d Qh8h7s4h2h 
QsJh7h2h2d Qs7c5h3d2c 9d7c3s3h2d Qs8d3h3c2s 
Jc7d6c3s2h 9s7h4c3d2s Kh6s6c3d2d Js5d3h2d2c 
Ts7s4h3d2s Jh6d6c3h2s Ah9c6s6h6c Qc6h3s2d2c 
Jc5s5h3h2h Qd9h3c2s2h Tc5h4h3d2h KsQd7c2h2c 
Qh9d3s3h2h Js8s7s3s2c Td7c4c2h2c Jd5h5c3c2s 
9h5d3d2s2c KsKdKc9h6h QsQdQcTc7h 8h5d3h2h2c 
Qs7s6s4s2c Jd8h6s3c2h 9h7s4s4d2s Kc7h7c3c2s 
9c8s4h3d2d Th5s5d3h2h 9s6s4s3s2d AsTsThTd5c 
Td5s4c3h2c 9c5s3d2h2d Td7s4s3s2h Ad7s6c3h2s 
Kc9s4h3s2d Ah9c6d3s2c Qs7s5s2s2d Js8c3s3h2d 
Ad8c6c3h2c Qh8c4d4c2s Th7d4d3c2s Ts5h3d3c2s 
Tc5h5c3c2s 9d7d4s3d2c 9s8c4d3d2d Js6d4h3c2c 
Tc6s6h3d2s 9h9d9c8c6h Qs8d6c3h2h AhJd6c3c2c 
Jd8d7s3d2c KsKhKcJd4d Qh7d5d3s2d 8h7s4c3s2s 
Js6h4h4c2h Qs9c3d3c2h QhQd4s4d4c 9s8c3s3h2s 
9c7d3h2s2c KsKdKc9h4c Kh9d8c3d2d Qs9d7h2d2c 
Ks8h5c3d2d 8c7h3d2s2d As9c6c3h2c Kc9c7c3d2c 
Tc7h3s2d2c KcQs7h3h2d Ah4s4d3c2c Jc4c3h3d2s 
Js6h4s3d2s 9s6h3c2h2d Qs7s7d3h2s AcJs6s6d6c 
9h5s3h2d2c Jd9s4d3d2d Qs6d3h3c2s Jd8c6d3h2d 
QdQc4s4h4d 8d7h3c2s2d KdJd7d3d2s Ts7c6s3s2s 
Jd7c6d4d2d AcJsJdJc7c 7s3s3c2s2d Kh7h7c3d2h 
KdQh7c3s2c Ah8c6c3c2s Qc8c7c2d2c Ks8s6s3s2d 
KcQs7s7h7c KsKhKcQh2h Jh6h4d2s2h Js7h6d3c2s 
Qh6s4d2s2c Ts3h3c2h2d Kc7c3s3h2d Kh8d5d3c2s 
Ks7h5s3s2s KcQc8c3d3c Td8c7c3c2c Ad7d3h3d2d 
Jc5s5c3c2c Ah6d4c3s2d Td7d5c3d2d Jh7h4d3h2s 
9d7s3s3c2h 9s8s4d3h2s Qs9c4c3d2c Jh7h6h3c2d 
Qh7s6s2s2d Qs9d3s2s2c Th5h4h2s2c Qd4s3d2h2c 
9h8d3d2s2d AdJs2s2d2c Ks7d6h3c2h Qs9h4h4c2h 
QdJh7h2s2h Jh4h4d3h2s Ks9c6c3c2c As5c3h3c2c 
TdTc4h4d4c 9d7h3s3c2c 8h7d4c3h2h Kh7c4s2s2d 
8s7s4d3h2s 9s7c4s3h2d Jc7s4h3h2d Kc4d4c3c2c 
7s6c3c2h2c Kh7c4d4c2c JdTc7h7d7c Kh7d4d4c2s 
8s5s3c2h2d As9s4h3s2s Jd8c7d3d2h 9h7s3d3c2d 
Jh8c6s3d2c 8h7s3d3c2c 9c8h8d8c6h Ah6s6h6c3c 
Kd7c4h3s2c KdQh7h2s2h Qs8h4h4c2d Ah6c3s3d2d 
QhQdQc6s6d Jc4s3h2d2c 6s6h6c5d5c Jd5s5h3s2s 
Qd7c6s3d2d 9d5s4h3h2h As8c4c2h2d KhJs7s3s2s 
Kd6s6d6c5s 6c4c3d3c2s 9d7c4h3c2c Ks8d6d3c2h 
Ks5h3c2d2c 8h4s4h3d2c 9h7h4h4c2h Th7h4d3h2h 
Js7s4h4d2s Ts5s4c2h2d 5s4s3s2s2c 9d7d4d2d2c 
Ad8s4s3h2c Ks9h7h3h2c Ks7d6c2h2d 8d5c3h2s2d 
Qd7s3d2s2d Qh7d5d2s2d Jh8s7s7h7d Qs6h4c3d2h 
