KdQd7s6d4h 
Jc9h7h5c2d Tc9c7d6d2s AhKh9h9c6h Ks9c6s3h3c 
QcTh8h3d2c JhTc9d8h3h KcQc7d6c4s KcJs8s4c3s 
KcQhJh5s2d QsTh8c7h3c AcKd6s5h2d Qd8c6s5s2d 
Th9d8d4h3s KhJcTh8h5h JdTs7h4d2s Qs9s8c7s4c 
As7s5d3h3c Ks9c6h5s3d JcTsTd8d3h QcTh8d5d2h 
Ks9h7h6d5c Ad9c6h2d2c QsTs6c4d2c 9d7s5s5c4d 
JsTd9c8s4s KhQs8h7s2h QsJd6h4h2s Kd9c8c5c2d 
9h9d8c5d2h QdQc4c3h2h Ks9s9h4h4d Kh9s8c6h6d 
Ad7d6d6c4s 8d6s6d5s2h Qh9s8h7h7c Kd7d6h5s2h 
Jh9h9c4h4c KsQdTc9h3h JdTc9d8d4h Tc8h6d4h4d 
Ac9c8h3s3d KdJsJd6d4d QsTdTc9d3d KhQcTd8d4s 
Ad9h8h6c5s 9s9c6s5c2s KcQhTs9d4d Kh8d7s6h2d 
Jh9c6d6c4h JsJh9s8c3d Ac9s8s8d3d QdJsTd7c3d 
QcJs6h5d3c Td9h9d7c2c QsJd6s5s5c Qc9s8s8h2c 
Qh9s6h4s3d KsQc9c6h4d AdKd7h5d3d KhQd9d8c5s 
Qd8h6h5s2d TsTc8s7s5h AdKc9c8c4h Td9d8d6c5s 
AdQcTc4h2s AcTc8c5s3h Tc9h8s7d5s JdTh9s8d3d 
Qs8c6h5s4d KdTs5s5d2s Kc7s7h5d5c AdTs9c7c3h 
Td9s9c5d2s 9d6c5d5c4h Ad4h4d3h2c JhTs9c6c4c 
KhQd9d6c4s KcQcJd6s2h 9h9c8d7c3h Ad7s6c5s3c 
Kd9d7s6s2h Ah9s5c3h2s QcTsTd5c3h QhQc5s5d2c 
QsTc8h7c3h AdKd8c5s2d QdJd6c4c2s AsJdJc7c3h 
Ts7h6s4h3c AdQc7s6d3d QdJd9s5c4d Ts9s8d5h2d 
Td9c8h4h4d AcTc6h5c2h QdTs9d8d4h JdTd9d9c5s 
QdJd8c7h2h Jc9h9c5c2h Qd9h8d8c4h Ks8c6s6d5h 
QhTd7d5s2h AhJsJc6d2h AcKd7s5h2d Ad8s8h7c6h 
9h9d7d3h3d AsKd9s7c2s AcJh7s4h3s Jc6d6c5d4s 
Qh8d6c5c2h KcQc9c7h7d Td9h7s4s3d AcQsJd3h2s 
Ad9c8c7h2h Qd9s8h7s3d JsTd7s4c2d Tc7c5h5d4h 
AhTc8s6c4d 9c8s8c6d3d Jc7s7c5d3d QdTc9h8c4s 
Jc8s8c5s2h Kd8h7s5d2s QhJs8s7s3h QdJdTd9d2c 
AcTd6c5s5c Jh9h5d4d3c 9h7h6c5s4d Ad7d5h3s3c 
9h8c7c5h3h KhTd7d6h2h KhTd9c7d5d KdJhTh4h3s 
KdJc6s4d2s Ah7h6d5s3h KsTs9d6c2h AsJh7d4h3d 
Qd9s6h5s2d AdTs9s7c3h QdJdTd8s3h 9s8h7h5s2c 
AhKh5h3s3d Ah9c5s4h4d Kc9d6h4c3h Qc8d7d5h3c 
Kc8h6s6c5d Ad9s8c6s4c KhTd5h3s2d KsJs6h4s4h 
Th8c7d5h3d Th8c7d5c3h 9d8s8c7s6h QdTs9s7c4h 
Qh8c6c5d2h Th9d7h6c2d QcTc9d5s4c KdQsJc5h3h 
Jh7c6h5c3c KhQhJc6d2s AsJs9c4d2h Kh8s8c6h3s 
Js9h6h6d4s Kd9h8h7d2h KdJd7s7h6d QhJhTd9h3h 
Ks9s9c5h2c KcJsTd4c2c Ac7c6h6c4d 8h7d6h5s2s 
KdQhQc9d4d AhTc8d6c5c Ad9d8c3c2c KhQsTd4h2c 
AdTs7d2s2d KcTh9c7d2s KdTd4c3h3c 8h8d6c4c3d 
Js9s8s7d5c 8s8h7s7c4s KcJhJc6c3s AdQhTd3d2s 
KhJc6s4h2s Kc9s6c4h3h JsTh9s9d4s AsKcJc8h2c 
7s7h5s5c2c AcTs8c3s2c QcJcTc8s3h 8d6c5d4h2h 
KsQd8s7d2s Ac9s8h8c4c 9d9c7s7c4h AsTsTd4s3h 
JhTc8s8d5s JhTs5h5d4c KcQc9c7h5d Kd9d7h7d6s 
Qd9d8s7s2h As8s5h4s3h KhTh9c6s3h Kd8c6s6d5h 
Qd7s6s6d3h QcJcTh4c3c As9d7h4c3s JdTc6h4d2c 
9s9d7h4d3s AhQh8c6d3h 9d9c8s8h4d KcTsTd9h3d 
KhJdJc4s2h 9s8d8c7d6h KcTh7s4s4h Tc8d7h6h4s 
Jc8c6h5d4s KhJd9h8s4c QdQc8s6c2h Kh8s8d6h3s 
JsTh9h6d4h ThTd7h6c4h KcQdJh5s3s QcJd7d5h4s 
KsTd9c7d5d KdTc9d7s2h As8d7d6d5h KcQdJc9h3c 
8h8d7d7c4d QdTc9s9c3h AdJs8h7d2d KhTd7s4s3d 
QsQd9d6d3c AcJh8d5s4s QhQd9s6d3d KsQc7h7d6d 
Ad3h3c2h2d Kh9s8s6h3h KcJd9d4c2c QhTs9s9c3d 
QsTh8c7d4h Ks7s6d5s4c KsTd8h5h5d QcTs8d5d2s 
JhTs9d5s4s Qd8s7c6c3d Tc8d7s5c3s Ks7c6s5h2c 
KdJhTh8s3c Ah4s4h3d2s As9d8s4h4c KhQdTs9c4c 
KcQc4s3d2d 9d6h6c5d3c KsQh8s7s6s QsTsTc2h2d 
8d7h5d4s3s 9h9d8d6h2h Ad8s8h7d2c Ks9h7s6c2c 
Th9h7c6c2s Qc9h8s7h3c JdTc7s7h5s QsQcJh6d2s 
KdTsTc9h3c Qh9h8c7c2s AhKd5h2s2c Ts7h6c5c3h 
Qd9d6c5s2c Kc9h6s5c3d KcQhQd9c4c Ad9c8c7s3s 
AhKd8s8c2h TdTc7h4c3h KdThTc9d4d JsTs7c4d2c 
JsJhTc8h3h QhQcJs6d2h Jc9h8h8c4c QcTc9h5d4c 
AsJsJh6c3s AhJs8h8c3h QhQdTs5s2s KsThTc5d4c 
KdJh9s9d2c AhJc8d7h2h QsJdTs8h2s Kh8s7c5h2c 
AcKs9s8d3s QcTsTd7c5c AhKd7s5c2d JdTh9s9c3d 
Ks8s7h5h2c Ad9s8h7s3h Th9h5d4s4d AhTs3c2h2c 
Js9c5h3s3c 9s6c5s5c4h Ah9c7c4h2c KsJh8s4d3d 
JsTd7h4s2d QdTc8d5d4s QdJdTd8c2s KcQh6s4d3c 
JhTs9s6s5s AsJs9s4c2c 9h8s8h5c2s Tc9s8s8d2d 
Ad9s8d8c4d QhJs6d5c3h KdTh5h3d2s QdJh7h6h5s 
AhQhJh9h2s QsTc9d7h3s Qs9d6c4s4c KcTh7s7h3s 
AsKs9h4d4c KcQc9c8h5d QsJs4c3d3c AsKh7d5c2h 
Ks7s7c6c2h AcKc4h4d3c As8s7s4c3c AcTs3d3c2d 
Qh9h8s8d4d Qs9d6s4d3c QhJhJc3s2d Qd9h8h8c2d 
8h6d5s4d3s KsKd9c6h2h Kc8d6s6c5h KdQs9s7s5c 
QhJh8s8d2s KcQdTh6h3s QhJh5s4s2s AdTd7h4h2d 
QsTd9h7d4c JcTc5h4s4d As9h8s8c4s Kh6d6c5c3d 
KhTd8s7c5s Tc8h5h5d4d QdJh4d4c2h Ah5d3s3h2s 
KhTs7d4s4d As9d8s8h4s KhQcJd9s2c Ad9s8h8d4d 
KcTh5h3c2s TsTc7s6d4s AsKc9h2h2c KhQh9c8h2c 
KdJcTd8d2h AcKh9h7h3s Ah9d8h5s4h Ac9c6d6c5s 
AsKsTd6s3s QsJcTd8s2s JhTs4s4h3h Qs9s9c7c2d 
QsJsTs8h2c KcJc9d8s4h QhJd9s5h4h JdJc5h4h2c 
QdTc5c3d2s 9h8s8h6h5c AsJdJc7h3c Jh9s9h8h3s 
KdTs9c8s5h As7s6h5d2c Ah8c7d6s2h JsTd9h5c3h 
QsJs9h5c4s Ac7s6h5s3h Th9h8s6d6c QcJs8s7s3c 
AsTs7c4c2s As9s7d6s4c Ts9c6c4s3c AsThTc6c2h 
9d6s5c4s3d AsJsJc6d3s 9d8h7h6d3d QhJh6d4d2s 
Td7h6d4h3s Jc8s8c5s2d QsTh9c6s3s ThTc9h5s4d 
As9c8c6h5d Ah9h6s6h5d QsTd9c8d4h QcTs8c7c4d 
JsJc7d6h4h KdTh7s7h3s JdTh9s6s4s KcJc8h8c6s 
AsQh8h5d5c KhTs9h7d2c AsAhAd9c5c KdQdTc7d3h 
9s8h8c7d6h AsQc7h5c4c QcJc6h5h2c 8h8c7s7c4c 
QdTc7c5s4h ThTd8h7h5s Tc8s7h6h4d Qh8s6h5s5h 
JsTdTc8d3h Ah9h8h6c4s AcTs8h3s3h AsQcTc4d2h 
9h8s8h3s3c KcTh7d4c2d QhJs6h5h5c ThTd8h5s4h 
KdQc9s7s7h Ac9d7h3c2d KsQsTs7h3d QhTd9d7c4s 
9c7c6s6c4s KhJd8d5c3c KsKcJd6d2d QsTd8h4h3d 
AdJh9s7h4c 9c8h7s6s6d QcJd4h4c2d Kc9d6s5c3h 
Kd7d6s5h2s QdTs7c6c4h Kd9h7h6c5s AcKc7s5c3c 
KsQsJc7h3d KsTd7c6c4c As9c7s4h4d Qh8d6d5s2h 
Qh9h9d7d2c Qc8s6c5h2s QcTc9h4s3d As9d7s3d2c 
Qs9h8h8c2s QsJs8h8d2h AhTd9d8s4d ThTd8s5d4c 
JdTc7d4s2c Td8h5s5h4s KsJd8s4c3c JhTs9c7h2d 
Tc8h7d6d4s 9h7c6h5s3d KhTh9c4h2c AdJh9d9c2d 
9d7s6d5c3h QcTh5h3c2s Ac5h4h4c3c KsJs8s8d6h 
Td8h7h6c4s Td7s7d5c3s JcTd7s5h5c Kd8c7c4s4d 
Qd9d9c8h5s Th8d7s5d3h Ac4h4c3h2s Ts9s5d4h4d 
Qc9c8s6s2s Ks7s7c6c2d KdQdJc6h2s JcTs8h8d5h 
QhTc7d6d4s KsTd8c6h5c JsTdTc8h3d Qs9s8h7h2d 
Qh9s8h8d4s Qs8h6c5s4d Js9c8s8h2h KhJc4c3s2h 
AsQc7d5c4c QcJhTs4h2d KsQhJs9c3s QsJhTc8s2s 
KcJc5s3s2d As9s8d3d2d QcTc4h4d3d Qs9s7h7d6c 
QhQc9h6h3d AcTc7d4d2c QcJh6c5s5c QcJcTc8h3s 
Td8h7h6c2d Ah6d5h3d2d Jc8c6d5s4h AsJd9h7d4c 
QsTsTd6s4s AcKc9d2d2c Th9s9c5h2c Ah9c8d7c3d 
AhQh7s3d2d Th8d7h6c5h Kc9c7s7c6d KcQs8c7h3h 
AdJd9c3d2c QhTs5s3h2c KhTc7h7d5h Th8h7h6d5s 
Kh9c7h5s4d Td7d6s5s5d Jc9s9h7d5h AsAhAc9c2c 
Qh8c6h5s2c AdQsJh8h2c Ks9d7c5s3h KcTc7s7c5h 
AdJd9d8d3h Ks8s8c7d2c Jd9s5s4s4d QdQc8d3c2d 
ThTd9s6c4h KcQc9c8s5h JsTd9s9c4s Qd9s8c5c4s 
QsJs8s6s5c 9d8h8c7d6s KdKc9h7s2h AdJd9s4h2c 
JdJc7s7d2s Tc8s5s5h4h AcJsJc6c4c Kh9h5s5d4s 
Kd9h9c5h2d JhJd9c7d4s Tc9h8s5h2s AhKc9c7c3s 
KdKc9h7h2s As8s7d6h2c Ah9d5h4h3d KdJh8d4c3c 
Td9d8h6s4c QcJd6h5s3c KdJdTs8d2c AsKsJs6h2c 
AsTd9h8h4h KhQh5s5c2c AcQs7h5s4s AhTd7d5s4d 
9s8d5s5h4h QhQcTc6c2s Kh5s5c4h4d AdKc7s5h3h 
Qh9d8h8c4d JcTc8d7c5c QcTsTc6c4c AdJd3s2s2h 
KdQdJs9c4d As5c3s3c2d Ks6d4s4h3d QsTh6s6d4c 
AdJd7s3c2c KhJc8h5h4s AdTd6d5h5c Qd9s8h5h4s 
AdJc8s7d2d AdQh9s6h2s QsTh9h4c2c Js9c6d6c4s 
Ad8s5d3c2s QdJcTc6c3s QcJd6h4h2c Qd9s9c8c6h 
AdTd4c2s2c AhQh9s4d4c 9s6h6c5c3h Kd6h6c5h3c 
KcQdJc6h2s Qc9d7c6c5s Td9h7c6h2d AhTh9h6d5h 
As7s6c5d3s Ad8d7d6c5d QsJdTs8c2s 8s7d6s5h2h 
AcTsTd9h4h KhQd8d6d5s Ks9s7d6d2d QsQhTs6s2c 
KsKc7d4h3h 9c6d5d5c4s QhTs9s6s5s Qc9d8s8c4d 
9s8s8c3d3c Qh9h9d8s5c KsJc5s5c2c JhTd7c4h2d 
QcJs9h9c6c 9c6d5h5c4h Ac5s3h2s2c QdJh9d7d6d 
Js9c7d6c3d Ts9s6c3h3c KsTd9h6d4c AdJd9d8d3c 
KdJs8d5d4h KhQdTd8s3c Js9d6d6c3s 7s7c6h5s5d 
JdTd9d6h3c TsTh7s4c3c QcJsTh8c2c Kh8s8c4s4h 
Ts8h6d5d3s Kh8s7s7d3h KdTc8s6h5s Qh7c6h4s4c 
Qd9c8s8d3c Ad9c8s8d4d TdTc7d6h4d AhTc8c5s4c 
AdJcTh6d2d KhKc9s7s2d AdJd9d7h2c AcJh9c6d2s 
KdTd9c6h3d Kh8d7d6s2h KsJcTc5h2d Th9h7h6h5s 
Ts9c8d4s4d KdQdJh6c2s KdTs7s6d2d Ts8d6c5c3s 
8h8c6c5h2c Jc9s5s4s4c Kh9h8h7h6c KsQh9c6d3s 
9c6d5s5c4s KhTh9h7s3d KsTc9d8c5h QdTs6s4s2d 
9d7s5s4c3c QhTs7s5d2h Ac7c5h3s3d AsTs6s5d2d 
As7d5d3d2s QsTd4h4d3s Ts9h8h4s3c KcTh6s5s4d 
KdJc6h4h4c QcTs9d6c3c Qh8s6c5h4d QcTs9h8h5h 
Qs8c6c4s4h Jc9h9d4h4d AsJdJc8d3h 8h8d5s3s3h 
JhTs9h9c4h AsQdJc4h2d JhJd9s7d4c KsJd8s6h6c 
JdTh9s9h2h KhTs9c4d3h Ts9s7s6s5c JdJc7s6h4h 
AsJh9s9d2s Ad9s8d5h4d 9h7d6s6d3h AhTs9d9c5s 
QcJhTc7d3c QcJs9d8s5s AsJs9s6h6d AsKc9c8h4c 
QcTh9h9d3s AcJc9h3c2h AcJc7s3h2h Tc9c5s4s4c 
KsQdTc8c4h QdJh8h7d2h Th9h8d6s4c Qc9h8h5h2c 
KcJc7h6s6c QdQcJh9s3s QdTc5d4d2c Tc8h5d4h4c 
QsTc9h9d3s AsKc8c5h2d Th8h8c4s3c KdQd8d7s5c 
Ac7c6d5s3c KdTc7d6d2c AdKsTs5s2c QsTh9c8h4d 
JdTh6h5s4h Ac8d7s6h5d Js8h7d5c4s KdJsTh5s5c 
KcQcJc9h4s JhTs9d9c3h AsJd6h4c3s JhJc9s8d4h 
KdJdTd8h4d AhQdQc3d2d KdJsTd8d3c Qs9h8d7h6h 
JsTs9d6s5s QhTs8h6c3d KsKh8h7h3h JsJd6h5d4d 
Qc7s6s6c3h Tc9h9c7s2s QhJh8h7h6s KhTd8s6s2d 
AdQs7c3d2c QhTd6s6h4c Ks8d5c4s3c Ad9d8c5h4d 
JsTc6s6h4d KhJd8s7c5c QhTh9h4s2s Jc8c5s4s4h 
AhJd9h9c2h AsTs9d3s3h KhQh9h8c4c AsJhJd8d3c 
Ac4s4c3d2s Qh9s5s4h4c AhQc5c4s2s TsTh8d5h5c 
KdJd6s4s4d 8h6s5h4d3s KcQhQd8c4c Kc8d7s6c2d 
KsQh8s7c5s KsJd5h4s4c KhQsTc8c4d QcTh9s8h4d 
AdQdJd8h3d 9d6s6h5h3s AcJd7h6s5h Ks9h7c5s3d 
KhJd9d4h2h QcTd8h7s5h Ac8s4s2d2c AhJh9h4d2d 
Jh9d8d6s5c JsJh7d4s3d AdJs6c4h3d QcTc6h6d2d 
KdTsTc5h3d 9h7d7c6h3c Qs9h6c4s4h JsThTd8c3s 
AsQhTd3s2s AsTs4d2d2c KhJcTc8s3d As8s5d4s3d 
AhJs7d6c5d QsJcTh4c2d 9s9c8s4s4c Ah9s6d2s2h 
Jd7h7d5h3c KsQh7d7c6c AhAdAc6s4s AcTd9s7s4s 
QsTh9h7d4c AdKc7h5s3s Qd9c7h6s6d Qs9s9h7h2d 
QcJdTh8s3h KdQs9c8h5s 8c7d5c4h3h QcJc9h5s4c 
Ah7h6s5d2c KdThTc8d5d JcTdTc4c3s AsQs7d3c2c 
Jh9h8d7d3h AhJh7h5h5d QhJsTh7d3h Qh9s7d6h6c 
Ah8c7d6d5s Ks8h5d4s3d QhTd9c5h4h QsQdTc5d2d 
Kh8c7d5c2h Td8s5s5h4h 9h9d8c4h4c AhKc8c5s2d 
Jd9c5h5d3h QsQhTc5h2h Ah9h7s4d4c TsTh8s4s3h 
9h7d5d5c4c Js7s7c5c3d AhKcTd6s3s AsJc7c6d5c 
QhTh6d4c2d KdQs9h8h6h Ks9c6s4d3d AcKd6h5c2c 
KcQcJs9h4c QdJc6h5s3d QsQdTh5d2d Jc7s5c4s3h 
AsQs7c6d3s Qc9c7d5d5c Th8s6d5c4h AhKc8s5c2d 
KsTs7d4c2c AhTs5c4h2d Qh8d7d5s3h 8c7s5c4h3h 
QsJc8s7c2c QsTd7d5h4c QhJsTd8h2h AsTs8s5c2d 
Qs9h7s6s5d AhTc9s7s3d TsTh8c5s4d 9h6s6d5d5c 
QsJs7c5d4s Kc7h7c4h3s Ad8c7s6h2d AsJcTh6s2s 
Qd8s6h5d4c KcQh9h8d5s Kd8d5h4c3c KdQsJc9h2s 
Js9h7c6d5h Jc8h6h5d3c KsQsJd7h3c KcQc8c7s7d 
Ks8h8d4s4h KcQsTs5s3h KsJs9s5c4h QhTs9s4d2d 
9d8s5h5d4h Tc8h6d5d3c Ah9s7d4h3c AdTd8d7d4d 
QsTd8c4d3c QhTd6s3s3h 8c7s6s4s4c AdTs9h7c4h 
KcQhJs9s3d 8c7d6d4d4c KcJc5s3s2h AhKs9s7s3c 
JhTh6d5s2d 9h7s5d4s3d QsTd5s4s2d Qc8h6h5d2c 
Js9s8h7h3s KsQhJc8s3d JsTd9s7s3h JsTh7c5s5d 
Ks8s8c7d2d QdTs6h6d4c KdJd9d5h4c TsTc7c6d4c 
KcJc5h3h2d KsJs7h6c4s KcTc9h8c4s KdQdJh9d3s 
KdTd9s6c3d Ac8d7h5d3h Js9d5h3s3d AcQsJs6s4s 
Kh9h7c4c3d KdQsTc6c3h TsTc7s6d2c Ts9h7s6c2h 
Kh6d4h4c3d QhJdTs4d2c JcTd5d3s2c Ad9c5s4h4d 
Js9d7h6c5d KcJc7d6s6c Qs9c6s4c3d Jd8h8d5h2s 
Qh8h7d6c5h AdTs9s8h4s KhJs8s5d3d QhTd6h6c5h 
AsJc5s3h3d QsJs8d6d3s KsTdTc4s4h KcQsJd9d3h 
9s9c7s6h4d QsJc9h7d5d QsTh9d2h2d Kd9h7c5c2d 
Th9d7h3d3c Kh8c7d5h2d Kh7c6d5s3h KhJcTc9c5c 
Ts9c8c5s3c Qs9d8s7h2h Th7d5c4h3d KhQhJc7s3d 
AdQc7h5c4c As8c5s3d2c AcQhJs8s2d Ks6h5s5h2c 
Ts8h7s6s5c AdTd9d6h5d Kd5s5d4h4c KhQcTc8d3s 
KdQcJh2s2d Ts9c5s5c3d AsQc5c4h2h Js9s6h5c2c 
Qh7d6h4d4c KhJhTs8c2h TsTd9s5h4c 7c6h6c4h3d 
QdJh9h8h6h Jh8d8c5d3h QhQcTc4d2c 9c7c6h5s4d 
QdJd8d6d5s AcKd9s6s5s KhQc9d8d6d KdTs9h6d3d 
KdJsJc2h2c TsTc7s6h4s KhQhJc6d3h Kd9c6s3d3c 
KsThTd9s4s Ts9d8h5d2h KhQh9h8s4s JhTc5c3s2h 
QdJsTh8c2h Ac6s5s4c2c Th8s6c4s4c 8s6c5s5c4c 
AdQs6s5h5c AsKdTs6s3s KdQh8d7c3c 9s7h5h5c4s 
As5d3h2s2d AsKh5s2d2c Tc8d6s5h4c Qh9d8s8d2h 
Ah5c4s3h3d KhJhTc8h2d QsTd9s5s4h AcTh9s9d4d 
KcTh9s7h5h Ad9d6c5d2c AcTd7d5s4d ThTc8s5d4c 
QdTh8h2s2d KsJh7s3h3c QcTs9h9d3c QsTc8d7s4s 
QsQd4d3c2c QhTh9s9h5d AdJs5s3d2d Ts9h8c4s4c 
Kh7h7d6d2c JcTs5s3d2c AhKhJh6s2c QcJd9h5c4c 
Tc9c5d4h4d Th8d7c6c4s JdTc7s7h5h 9c7d6s4d4c 
AcTc8c6h2d AsTc4s3h2h JsTc9s9d4s Kd7h6d5h2h 
KsQc5h4s3s As9h7s3h2d AhTs7s5c4s QdQcTs5d2d 
AsJdTd6d4d QdJdJc3h2s QdJs8s4d2d As5s5d3d2d 
QdJs9h7c5c KhQh9h8c5s Qc8d8c6h3h KhQc9s5h3d 
9h6s5c4s3h 8c7c6h4d3d JhTs9d8h3h QcTc6d4h2d 
AsTc9d7h4d Js9s9h8c6s Ah8s7s6s5c Qh9d9c6s6d 
AcKhTd6s3s Qs9h8h7h6c QhTc9c7d4s JhTs9c7c4c 
AdTd9s3d3c QdTd7c6h2c Qd7h7c6s6c 8s8d5h3s3h 
KdTh9c6h4s KdJd9d5s4h As9d4s3h3d Jh9h9d8c6h 
QdTsTc9s3s KcTsTd5h4s KsJd6h6d5c KhJd6d6c5s 
Kh9h5s5c4s Qd9h7s6d6c Ad6c5d3c2c Kc9c8s8h2s 
Qh9s9c8s6d Jd9c6s6c4d AsTd8h3h3d Ts9h5s5h3d 
QsJs7h5d4s Kd9d7s7d6h AdTs8c3s3c AcTs4c3h2h 
QsJsTh7s4s Ks9c8c7s2c AcQc7d3s2s Ks9d7h5h2s 
Jc7d5d4c3h Kd8h6s6d3s JsJcTc9c4c KcQdJd4s2h 
Qc8d6s5c2s Jh7h7c5c3d Ac9c6h6c5d KcJcTh4s4c 
QsTh5c4s4d KcQd6s4h3c Qh8s8h6c3c KsQc8s7c2s 
KhTd9h6h5h Ac9c5d3s2d KcQd5s4c3c 9h6s6c5c3s 
AhQc9c7c6c TsTh9d7c5c Ah9h9d6d2h AhKdTs5s3s 
Kh9h7s6s2c AdJd9d6s6h JhTs7h4c2s Th9h7s6s2c 
KhTh9d4h2d KhQhJd7s3c Jc7d7c5d3h KcQd9d6h4s 
Tc9d8d8c4c JdTc9d6s4d 9s9d7d5h5c AdTs8c6s5s 
As9c8s4h4d As7s6d5c2h KcJc7s7h6c KdKc9h5h2h 
Jc9s8d6s2c QdTc7c5s2d QcTs8h5h2s Ah8c5h3d2c 
KcJsJc6c3d JhTd9c5d4d AdTc8c5h4c QdQc9d4h3s 
QhJh8h5s2s KhTs9d6h3h QdTh9h7s4c AsJs7d3c2c 
AcTd7s7h5d AdJd3c2s2c QcJdTs5s5h 9h8s8d5d3h 
AcKcQc7c4c JhTd8s8c5s KcTd5c3s2d AsKd7h5c2d 
TsTd8h5s4c QsQcTs5s3s Jd9h8s8h4s Ts8h5s5d4d 
TsTd7d4c3c QdJsTs8s3h KsTc8h6h3c QcThTc6c4c 
KdQs9s8c5h KhJhJc8h6h Kc9h6s5c2s Ks8s5h4c3c 
KcQsTd6s3s QdJdTsTd2d KdQsJd8d5d Th9h7s4s3s 
QhJh4d3s3d Qd8h8d6c3c KhTc8s7d5s KcJc8h4s3s 
AsJd9s8s4s AhQcTc4d2s AhTh8h6c2s QdQc9h8c2c 
Kd9h7d5c4s QdTc9c3d2c Ah6s6h5d4h JcTc6h5d2h 
QdJc8c6s3s Qh9d6h5c2c JhTc5h2d2c QdJd9s8d6d 
KhQc9c7c5d AcTc9c7c3h 8c7d6c5s2s 9d6h5h5d4s 
Jd8h7s5c4d AhQsJc4d2s QhQdTh6h2s KsThTd9c3h 
Jd9d7h5s4c QsJd9h7h5h KcJh9s9d6d As8c6s6d4s 
Jh9c5d4h3c QhTd9s9d3c QdJc9s8c5c QhJh4d3d3c 
AsTc3s3d2d As7c6s5s5d Ts8d7s6c5s KhTs9s7c4d 
Qs8s5h5c4h KsJh4s2h2c AsTc6c3s2c Qs8s6d5h4c 
JdJc7s4h4c Ts9c8c5s5c Qd9d5h4h4c AdTs7h4c2d 
Jh7s7c6s4h Ac9h8d7h3d KcTsTh9d5d Qd9h5h4s4d 
Td9c5d5c3h 9d7s6s4c3d Td9d8c5s2c KhJhJd8h6h 
Qs9c7d7c4s Th9h7h6s4d KcTh9d8h5s AdJs9h8c2s 
AsJdJc8c3h Qd9c8h6s6d AhJd6s4c3h KsQh9h8c5d 
9h7d6c4h4d KsTs9h8s4c Kc9s6c3s3d QdJs9c8s5s 
KsJh6d4h4d Ad7s6c5h2d KsKh8h6h2h AhTs4h3c2c 
KhJs9s4h2h KhQd9d7d5c KcQh9d6s3c AhQdJh6c2h 
AsJc7d5d4h QsTc9s5s4d QcJsTd8h2d AhJc8h8d3h 
AcKs9h2s2h Js7d6d5d3s Kc7s7c6s2h ThTc6h5c2s 
Ac9s7c3s2h AsTd7s6s4s Ah9h7h6s4d Jc9h8c6s2h 
Ts9s7c4c3c Kd6s6c5c3s Td7d6h5h5d QcTs6d6c4h 
JhJd5s4s2d QsJsTc7s4s QcTs8d4s3d KhQd8h7d2h 
KdQd4c3s2s Ks8s8c7h3c 9h7s7c6h3c Ah5s5h4c3d 
Ah8h6s6h4d KhQd9d5s2s KhQs9s6d4c KdJhJd9d5d 
AsTc3s3h2h 9d7d6h4h4d QcTs8d7h5d Qc9h9c7h2d 
KcJcTd4h4c AsThTc6h2c QcTh6h5d4h As9c6c2s2c 
Qh9d5d4h4c 9c7h5h4s3s Jd7s6s6c4d KsJs9c8h4d 
AcTh9s8s4s 8d6s5s4c3d Ks7c6s5h4s Js7c6c5c3s 
QcTs8s4c2c 8d8c7s6d4h JcTc9d6c3s AhTd8c6d4s 
KsQsJh9c4s Tc7c6s5s5c Ts7c5d4s3c KcQs8c7h5c 
JhJcTs4c2d KsQsJh9s3c QdTh6d6c4s JcTs9c8h2c 
Ac7h5h3h2c KcQc9h6c2h Ad9h8d5c4d QdQc7c4c2d 
KdQcTc9c4c As7s5h3d3c KdJs6c4d2c Ad8h5d4d2h 
AsQsTs6s5s 9d8s8h7c6h JcTc9d6c3h QcTdTc5s3c 
9d8s7s6d3d AhTs7c4d2h QhTh9s4c3d 9h9d8s8c4d 
Th9c7s6c2h Qs8c7d6d3s QsTc9d5s4s KhQdJh9c3h 
KdQc8c6c5s JsTh8d8c5d 8c7s6c5d2d JcTc8s4c2s 
KdQdJd9s4c As8c6s6c2s QsQc8d5c3h Tc9c7c6h4s 
Qs9h9d7c6h KdTd7h4c2c Js9s8s7h5d KdQc8h5h3c 
Kc6s6h5s3h Qs8d6s5s5d 9h9d7h7c4s Qd9c6s4d4c 
As9d8d7h2h QdJc8c7d2c 6d6c4d3h3c QhTh8s8c4d 
KsJc9s9d2h Kd7c6d5h4d 9h8h8d6h5c KhKd7h4s2h 
AcQc9h6c3s Qs8c7c5h3s Kh5h5c4s4d KcQs9c7d4h 
JsJh8c7s4s AsTc6s5s5d Ks7h5s5h4s AdKc6h5d2d 
JhTd9h6c4h KdJsTd5d2h KdQhJd6d3s QsJs8c6c2c 
JsTh9s8c2s AcJh8h3c2c Jh9s7s5h2d 9h7s5s5c4c 
8c7s6c5h2h KsKh7h4d2h KhJsJh2h2c Qs9h6c5c2s 
JsTs9h6s3c KsTd7s7h5s JcTs9c8c4h KcQhJc8c4d 
8s8c7d7c4c Kd7s7c6d5h JsJh7h7c2c KcQhTd9d5d 
Qd7s6h6d3h KhTc9h7s2d Ac9c8s5d4c KhQdTd8c3s 
Kd8s7c6c2d As9d9c7c6h JhTc5s5h4d Ks6s6c5s3c 
