KhTh9s3h2s 
9h6h5d3s3d JsTc6s6c2d As8c5s4s4d KcQcTc6c4c 
AsTh6c5s3s QdTs5c3d2c As9d9c7h5h JhJcTs5h2h 
AdTs8c3h2d Kc8c5h4h2d Ts9d8c6c4h QdTs7d6s2d 
Jc8d7d6d5h Qh9c8d8c6s AhQs7d6d2s JcTs8d3c2d 
TsTd8d7h4d TsTc9s5s4d AsKh5c4c3d KcQc7c6h6c 
QcTh9d8d4s Kc8h5d4d2c Qc9c8d5c3d Th8s6h5h4c 
Ah9c6d5c4d KcQs3s3c2s AcQd8c6s3c QdQc6d3s2s 
7d6s5d4h3c Qc9c8d6c2d Td8s6s5c4s KhQs9c3h3c 
8c7s7d5d4h 9c8d8c4d4c AsTs8d4s2h QsQhQdJhJc 
JsTc6c4h2h Th9c7d3d3c Jh9h6c4s4c AcJsJh5d3d 
QhQc7d5d4d AdKh9s9h2c JsTs5h3h2d AcQh9d8h2s 
QhTs7s4c3c Js7s5h4d3d Ts8d6s4c2c Th9s7c6d4d 
AcTd4s3h3c Kh9h7s5c3d KsQc6d4c2d Tc9c7s6c5c 
QsQhQdJdTh KhQh8d6h2d Ac8h4d2d2c QhTs8d7d5d 
ThTd7d5s5d JdJc6h5s3d AsQc9c8h4c JcTc9c5c4h 
JhTs6s6h2d KcTs7h7c3d Td9s8d4s2h Ts8d6h4h3s 
Jd8h8c5s5h As8s8c7s6s AcQsQh8d2d As6d6c5h2s 
JhTs5h4h4c AhQdJc7h2h Ah8h8d5h3c KdTs9h8h5h 
QhTsTd8d2c Ad8s8c5s3c JhTs8s6s4s 9d9c5d2s2c 
Jd9d7s7h3s Qd8s6d4s3h Ah7s6h3d2s QcJh9c4h2c 
Ad7s6d3h2s Ts9s8s6d5s AdQd8h6d3c KsJc8h7h5h 
KcJc8d6s4c Td7c5h4d3h KdQsTd5d2h 9c8s6s6d3d 
QsJs7s5h4d KhJc9d8s5d Td9c8s7d4h Td9h5s3s3h 
9h9d6s6h3h KdTd9h3h2d Kc6d5s3c2d AsTs8c4s2d 
JdTh9s8s4s 9s9h6c5d3s AdKd9s9h3d TsTh7s5s4c 
Th9s8c3h3c QhJh7h6d5h Kc7d7c6s5c KcQh9d3d3c 
KdJc7h7c6c 9h7s6s3h3c Td8c7d5c2s KsTdTc6h2s 
Qh9s7d5s5d Jh9s9c8d5c 9h9c8s7h5h KsQsJs5s3d 
Qd6s5s5h3d Td9h5c4d3h Kc6c5s3s3c JdTs6s6d2c 
JdThTd8s2d Jh8c6c5h3c KcTh7d5s4s KsQs4h4d2d 
QhTc7s6d3h 9s9c6c5d3h Kh7h7c5c2s AsJh6s6d4s 
Qs7s5h4h3d Jd9c8c4h3d Qh6s6c5c4s Ks8c7h7c2s 
Qd9d5h4h3s QhQdJh7s3h 9d8c7s5c2s Qc9s8h7s7d 
AdJh9s7h4h Jc9d8h6h5h QdJs7h6s2d QcJsJd6c3c 
8d8c5h4h2d Jc8h7h6c3s Th9d7s7h5c KcQs5d4s4h 
QdTh7c5d2h AhJd7s7c6c JcTd5c4h4c QsTd7d4s2c 
Ks6s6h4h2d AdKc9s9h4c AcKs9c4d2h KhThTd7c3h 
AsQh8c7d4d Jd8h8d6s5d KcTdTc4h4c Tc8c6s4d3d 
KcQh7d6d4s Ac6c4h3s2s AsThTd5c4c Jd9d7h7d6s 
Kh7s7h6c5h KcQd7h6s4s Qd8d6c5d3c KdJh9d2h2d 
Qs7s5d4d3h Kh7s5d4s2h Ad5d3s3c2c AcQh9s6d4h 
AcJd9h7d4d Jc9c6h4h4d AsKh6d5c3d AhTc8d3s2h 
QdTs6d6c2c Td8c7s5h4h JsTc5d5c2d KsQd6h4d2h 
AhTd9d8s2d Kd9d6h5s5c Ks8c6h5s5d JhTc9s6d3d 
KcTd9s5c2h QdJhJc9h2h QsJsTd7h2c AhTsTd5c4c 
AsJh9c6h5h Ac8c6d4s3h KcJh9d8s5d QdJc5s4h4c 
KhJdTc8s2s 9d7c6s5d2s TsTc9h3c2h Tc7h7c4d3h 
Ad7d5c4s4d KsKh7h3d2c Ac6s6d5c2h 8s6d5s5d3h 
QcJh7d6h2c Ac4d3h3d2c AdKsQh8s2s Kd8h7c5h5c 
KdJh8s8h5c Qd9d8c5d3c KdQcTd5d3d AhQh6s6h2s 
KsTc7s7h3d KcQs8h4c3h QhTs9c8h3h KdTc9s5d3d 
QcTs7s4c2h JsTs9c5h5d Ts9h5d4s3h KdJhTh8s3h 
KcQh5h3s2s AcQs7d6d2s Th8h8c3d3c KdQc8h7h2c 
Qs6s6c5c3s Ad7s7c6s3c 9s8s8c6c3c JsTd7h5d2h 
Qc8s6c5s3c Kc9c8d6s6h Tc9c7d4d4c Jd9d9c6c2c 
AdJh8h4s2s Js9d7s5c4s AsThTc6d5d AdJc6c5h4s 
KdKc8h7s3h Ah9s8s5c3c 9s8s5s5h4h 8h8c5d4c2h 
KcJs9c7c3h Kc8c5s4s2h Ks8s7d7c2d Ac9c5h3h2h 
QcJd9h5s5c Ac9s8s8d6h JsJc7h5s3d QsJh9h9d5h 
9h9d8h7d3d KhQc7c6c4s Th8d7d5s4c Kh6h5s4h2s 
QdJh9d4h2d JsTsTd9s3s Kh8h7s7c6h Ks8h7c6h5d 
TdTc7c5c4s QhTs9d8d4c 9d8s7d6c4h AcQs6d5h4h 
KhQh7s4s2c AhKh6s3d2c Ks9s9h4c3c AhQh9h7h7c 
Ad8d5c4s2h JcTd9s9d5d AsKc9h8c2c Tc8d7s6d2c 
TsTd9s5s4h Qs7d6c4s3d 9s7h6s5d2d AdKhJc4s2c 
Jc7d7c6s3s Ac8h7d5s4h Ac8d4h2h2c JcTh7s5d3h 
KsJdTh8h2c Ac6s6h5c2d 9h9c7h5d3s KhQcTh3d2s 
9s7h6s5c2c AsTs6h5c3s QsTh6h3s2d KdJd7s6s2s 
KcTd6d3h2c As9c8s5h3s QdQcJs7s3h KhJd7s5c4s 
Ts8d6h4s3h KcJsTh5d2s Ks9c7c6h5c Ks8h8c7s3h 
Js9c8c4d3s KhJhTd2h2c AcQs5c4d2c 8d7s7d6s2h 
TsTh5h4s3s Kh8d7d4c3h As9s8c4d3h Th6s6h5s4h 
QhQd9h8s3h QhQcTs5d2s 9h6h5c4d4c JcTs6h4h2c 
QsQd9s7c4s Kh9c8d6c3d 8d8c7h3h3c QsJs9s9h5d 
KsQhTs5s2d AsKdJs7s2s Ts9s9d7s5h Kc9s8c6h4d 
JsTc9h6d3h TsTc8s7d4s KsTh7c5d4c Js8s8h5s3h 
Tc9s8s2h2c 8h7s6s5h2s KsQd4h2s2h As7s7c3d2d 
Jc9s8s4h3c QdJh7d6d5d KdQc5c3h2h Ah8s5c3h3d 
QsQd6s3h2h KdTc8s6s4h AsKd7c5c3c QcJh9d8c3s 
QhTc7c4d3d Kc7d6d4c2s AhQs8d7c4c Td8h7s5c4c 
QdQc9c7c3h Jd8s5c4s3d Ac9s8s5h3h 9s9h7h5c3d 
KdJh8c6c3h Js9h8d6d5d QcJhJd4s2d QcJh5c4d3s 
Td8s8c6c2s 7s6s6d4c3d KdJhTd6d3d Jc8c6s4s4d 
AhJc7s7d6s 9h6h5d4d4c AsTc6h5s3s AdJcTd5d2d 
Kc9s7h4h3c Jh8s8c6d5h QcJc7d6s6c Td6c5h5d4c 
As7d5s4h3s KdTc9s6s4h Kd8h7h4c3d QcJcTs2h2c 
Jc8d6d5c3d AdJh7d6c2s KdQd7d6s6d Ad7d4c2s2c 
8s7h7c6d5s 9d8h7d5c2c Ts9s8d6c4s AdQd8c6d3h 
KcQcJcTc2c Js8c7s6d3d JcTs7s7h2c KsJs6h5s5d 
Qc8c7d6d3d QhQc7c5s3c Ac8s8h5h3s Qh9d9c7c3d 
Tc9c5c4d3d Ad8c5s3h3d 8h8d7s3s3d KdJc7s7h4d 
QsJc8h4h3c KdJsTd7h2d JhTc5s5d4d JsTd9s4h4c 
KhKdQs8s3s AsQdJs5s2s AcTdTc8c2c KdQhTd8d2s 
AdQhTc3s3c QhQdJs6c2s Kh8s7h6h6c KhQh8d4d4c 
Td8c6d4s2s Ks8s5d4h2d JdTs7h3s3h Jh8s8c7c3h 
Kh9h7h6s5h Jh9d6d5d2h Kh8s7d7c5h QsQd7h7c4h 
KhQhTh6d3h Qs9c7h6c5c Kc9h8s7d4c AhKs9s6s4c 
KhQsQd7s3s JhJdTc7s2h Js8h7h5c2s Qs7s7c5h3h 
Tc8h5c4h3d Jc8h7h4d4c AsJs6s6h4d QsJc5h4d4c 
Ac8h7h6d5h Ac6s5h5c4c 9h7d6c5h2c Ac7s5c4h3c 
Ad8d5c4h2s Kd6c4s4d3s 9s9h7s5c2c KsTc3d2s2c 
KhQh8s8d5c QhJh8d6h3d Tc8h8c5s2h Th9s8s2h2c 
Kh8d6h6c2d Th9c8s3s3h Jh7h7c6s3s Ah9s9h8h3c 
KdJdTd6d6c ThTd9s3d2s Js8d7d4s4h Qd6s6h3s3d 
9s8h6h4s4h Th9c8h6s6h AhQs9d8s2c JsTh7d7c5h 
KsQdJc4h4d KsQhTh4d2c Js9h6h4c3s Th9h7s5d2s 
KsTh8c3s3c KdJd6s5d5c TsTc6d5h5d KcQh6d5s2c 
Tc9h7h6d4h Ks8h7s4d3h QsTh5s3d2h KcTc8s6h2d 
JdTs9s9c5s 8s8h5d4d2s 9c8s8h7h5d KcTh9s9d5s 
Kh8d7c6c5s AdTd6d5s3c 9d8h7s5h2s Ah7h5d4h3c 
Qd9c7h6s5c AdJh6d6c4d Ks8h8d7h4d KhTd8s7h2c 
As9d6s3d2h Qh9s7d6c5s Qs7s5c4d4c Ts7h7d5s3h 
KcJc9c6c5h JdJc6s5h4s Js8c7c6s3d KhJd7h6d2h 
QhTc9d3c2d 8d7h6d5d2h Qd6s5s5d3d 9c8h6s6h3s 
KdQcTc5s2h QcJcTc6c3s Ks9c8c7d4d Kh8h8d6c4s 
KcTh7d7c3s Qc9c6d5d2d KcJc8h5d4c AdJhTs6s3s 
Kh7h7c5d2c Ks6d5d3c2s AcQd6h6c3c AdQd6s6d2s 
9h9d6d5d4s Kh7s6d5d4c JdTh5s5h2s Qh8c7h7c3d 
9s9d7s5s2d Kh7d6d4h2c Th8s8d6s2d QdJd9s9d5c 
KsJc9c8c5h AhJh9c4h4d AdJh7d5d3d AsJs9s6d3h 
JcTs7d4h4c KsJc8d7d5d AsKs9d5s2c Ts9h8c6d3s 
Kc9d6h6c2d AcJs9h6c3c Qc8h8c6d5c AhQs7h3s2h 
Ks9c8h6c3h 9h9c7c5d5c Td8c7d5c3d 9s8h6h6c3c 
Jh9c8d6c3d QsJc7h7c6c 9c7c6s5h2s KdJs5d3s2d 
QsTc7s7h5s KcQh6c3c2h KcQs7s6h3d Ks9h7s6s2h 
Td9s7c5s4h 9h6s5s5c3h KdJhTh6h3c QdJd7d6h3h 
JdTs7d5h3c 8s7h7c5h4d JhTd7c3d3c As8c6h4s3d 
Ac9h9c8c3d Td9d5d4c3c Tc8s8c6s2s KsJc8d7s4s 
Th8c6s4s3h QsThTd7c3s Ts8d8c7c2d Ac9c5d3d2d 
6h6c5d4h2d KsJdTs6s3s Kh6s5s4d3d KcJsJh6s3d 
KhTs5h4c3d Tc7d6d4c3c KsQdTh6d2c Td9d9c6d4h 
6h6d5c4h2c KhJs3s3d2h Kc8s5d4d2c Ts8s8c5d2c 
Ad9s9c8h6s Qs9s9h7s6s ThTd8h6h5h AcJd9h3s2c 
QdTd9d8h4c QhJc8s6s6d AhKdTs6d2d AhJd7s6d4c 
Ac6h6d5c2s Td8h7d6d5d ThTc9d8h4s KsJdTd8c3d 
AsQdJd9d2d Kd6c5c3h2d Ks9d8c6d3c AdJcTh5s2s 
QhJs8d4d2h QdJcTc4h2c KcQcJd5s5c 9d8c5d4s4c 
Ts9d7d5s2c QcJs9h8d2c Jd9h7s5s2d Tc9s7c5s2d 
Ad9s9d6h2c Ad9h6c3d2h Kc8d6d4c3d Ac9c6d3d2h 
KdQhTd5d2c JcTd7c5h3s KsJc9c6h2h QcJs6h5h4h 
KdJh8d4c2c JsJdTh7c2d KhKc7c6c2c ThTc7c5h2s 
KcJhTd5s2h Kh6c5c3d2h Kc8s6d5h5c Qc9s7h6s5s 
JsTsTd3c2h QcJh9h3c2c QhJs8d7c4h KsTs5d5c2d 
Qc6s6h3h3c QdJdTd4h4c AsQs3s3h2h QcJc9s8c5c 
Ad9d6h3h2c Ks8d5s5d2c KcJc6d6c3d AdQs9s8c4s 
Js8s8h5c4d JhJcTs6d3d QcJh8d7h3d Ad8h8d3s2s 
QsQd9s7s3h Js9s6c5d4h Th7d5c4d3h Jd9d6h4s4h 
Tc9s8h6h4d QsTh8d7d5d KcJdTh5h2s Ah9h6d3d2c 
Td9c8s3s3d QsQh9h7d4h KsQd8s8d2d Kh8h8d6s4c 
Td7h6s5c4d QdTh9s9c2s Ks8s7d7c2c KcTh8s7c2d 
Ad8s6d3c2s KdJd6c5h5d 9d7d6c5s3h KhJd3h3c2d 
8s8h5c2s2h KdTc6c5h4c AcQd6c4h2s JhTs5h5d4h 
QcJd9s5c3c AsKhJc4d2c Kd9c8d8c3d AhTdTc6s5s 
Jd6h5d4s3s Qh9c7s5s5c QcTh5s3h2c Jc7s5c4d3d 
8h7c6h5h4h Ks9h9d6c5d QcTc9d6c4c TsTc9c5c4d 
KhQhJh5h3c Ah9s9c8s5s JhTs8d3h2d Qh9h8h7d5c 
Qd7h7d5c3c KsJcTh8d2d Ad7h5d4c3d AsJsTs6s3c 
Th8s8d7s2d Kh6s4h4c3c Jd8d8c6h5d KdQc4h2h2d 
9h6d5s5d3h TdTc8h4h2d 8s7s7h6h2c QsJcTd4h2d 
Td8s8d5h2s Qd8d5d5c4c AhKdJc7d2d AhQs9d6c4s 
JsTc6h4h2s KhJd8h4s2s Ad9h9c7s5s Qd9s7s7d3s 
Kc8d8c7s3s AhJd6h6c4h Jd7d6c4s4c Ts8d7h6d2s 
Td8c6s5s2c Qh8d7d6h2c ThTd9s7d3c JdTs9h6d3d 
Jh8s8h6d5h 9h7h6d5c2d As7c4c3d2s QhQdTc5s2c 
KsQcJc8c4d KdTd9s8c2d Tc9d7c6d2c Tc8c7s6d2s 
As8s7s7d6s AhKs6c5d3c KdTs8h5s3h KhTh5s5d2s 
KsQh6h5h3d Kd8c7c4s3d AhKcQs8c2c KhQhJs5h5d 
Jh8d7d5h3h QdJh9s8d3c AdJd9d7s3d Ts9h7c5s4s 
KhJsJc7c3d QhTsTh5d2c QhJs8h8c5h Jh9h7d7c3d 
QsJc6c4d2d Ad9c6c5s4s Js8d5s4d3c QhTh8s2s2d 
JhTc5d5c2d Ac7s7h6s3h Js6h5h4s3s Kd8s7h6s5c 
QcJsJd9c2c Th7s6s4h3h JsJh5c3s2h TsTd5d4s3s 
TsTh8h6h5h AcKc5c4c3d JsTd7d7c2s 9c6d6c5d3d 
QhQc6h4s3h 8h8c6h4h3c Tc9d6c4d3c AsQd7d7c4h 
AcTsTh6d5d Qh9d8s7d7c Qh9c7h7c3c KcJc8s6d4c 
JsTh7h7c2s AcJsTs6h3s QcTh6s4s2h AsJc9s4s4d 
Qc9d7d5c2s AhTd9h5h2c JhJd9c8s3h KsQh7h6d3c 
Tc6h6c5s4s KcJs3s3d2c KhKc7d3s2c 7h7d4h3h3d 
KcQsTs5d2h AdJd6h6d4c Qh9h8h7s7c QhQc8c5d3c 
Th9c8d4d3c Ac8d6h4c3s Jd9d8h6s6c Qs6c5s5c3s 
Js9s6d5c4h JsJc8s3c2d KcQd8d8c3c Jc7s5c4h3h 
KdTs9h6c3s Ah9s8s5d3d Td7s5c4s3d Jc9s9c5d3h 
QsQd5h3h3c QhTd9s5d3c AhQc9d6s4c 8s8h7c3h3c 
KcJs9c5d3c QsQc7h7d4h Tc7h7c4s3h 9d8h8c7c3h 
KcQs9h5s4d KdJh7h4d2h 8c7s7d6d5h JhThTc8d2h 
KcTh8c3s3h KsTh8h6h5h 9s9d7c5h4h AcKs9d7h4h 
Qh8s7s7h3d Th8s6d5c4c Kd7s6c5c4h 9h8s8d7s5c 
Jc9s7s7h3h KdTs9c7s4s KcQh9d6h4s KsQc7c6c4h 
QcJd7d6h2c Ac9d8d5s3s KdTsTc6h2d Tc7s5c4s4d 
AdJsJc8c3c KdQhTc5d2d Tc7s6d4c3s KhJs8c2s2h 
KcQc8s4s4d QdTc9h8d2d Kd8c7d6s6d Jh6d5d4h3c 
Kh9c8c7s4s KsQs9c5s4d As6d4d3s2d KhTc8d2h2c 
Td8d5h4s3s AdJs7h7c6c KsTc9s8s3h JhJdTs6c3c 
KsQc7c6d3h KdQd7s4d3s QcJhTd8d2d QhTd7s7h5h 
Js7s5c4d3d QsTs9d5s3h Jd9h5d4d3h Kc9c8s8c4s 
Jc9d6h6d3h KdKc9s3d2d KdTh5d4c3s Tc8d8c5s2d 
Th8h6c4s3s QdJd7s6c4d KhJdTs5s2c AdJd8s4h3d 
Ah7h5h4d3c Ks8s8c7c3c Qd9h8s8c6s KcJh3s3h2c 
As7d5s5h2c AsQc9c7h3d KsJc8h5s5d AsKdJc7d2d 
KhKd8c7s3c Qc8h8d6d2c KcQh4d2d2c Kh6c5c3s2h 
TdTc8d6d5d KcTc9c8d3h Kh9h8d7h3d QdJhTh4c2h 
Ts9s8c6d4s Ks6c5c3d2s 8d6h5h5d3c KdTs9c5d2h 
Kh9s9h4s3s JdJc5s3c2d KdTd8d7c5d KhTsTc6d4d 
JhJd9c5s4s Kh8s8c7h2c Ts9d5c4s3d KcTsTh8s5s 
Ac8d8c3h2h Ts9h7d6c3s KsQs8h4h4d Ad9c5c3c2d 
Ks9d6h3s3h Tc9c8d8c2d 9d9c6c5c4h QhJh8s4h3s 
AcQc8h6c3d KhQh7d4h3d 9h7d6c5c3s JsTs7h5s5c 
JcTd7s5d2s AdQhJh7h3s KsJd8h2s2d QsJsJd4s2h 
AsKhJd8c3c KcJsJd6d3h KdJsTs6s3c JdTc9s9c5c 
Qs9s8s7h5c 9h7h6c5d2c QsTs8c3d3c Th8c7h7d3d 
KcQsQd3d2d Jd9h6h4s3d Ah8s8d5d5c Kh8c7s6c5d 
Ah9h7c6h2c TsTd7d5s2h JhTs9d3h3c Tc8h7d6h5h 
KsQs8h6s4d 8h7h7c6c2d AcKd9h9c2c AhQd9d8c4d 
KcQhTc8c2s AcJd9c6h3c KdJhTc7s3s AsQsJs5s3s 
KsQdTc6d2h Kd7s7h6d4c QdQc7h4h2d Ts8s6h5c2h 
9c8d8c7h5s Ac9d9c6h2s Kh9s8d7s5c Kc8d7c6h6c 
KhTh9h8c3d JsJc5h3s2c Ts7s7d4c3d ThTc8d4d2c 
JsTh5c3c2s AhKs9d7c4c AhKdJh4h2h Tc8d6c5c4h 
AhTh6h6d2d Jd8c6h5d2c Jh8d6d5h3d AdQd7d4h2h 
QsJhTh4h4c Js9d7c5s2c Qs9h7s7h3h AhQhJh2h2d 
Td9h7d7c5s As9h9d7c5c Kd8h8c6s6c KcQd8d4c3c 
KhJhTc2h2d AhQsTd3d3c JdTd5c4s4d AdJc6d6c2d 
Th8d7s6d5d 6d6c5s4c2s Th9s7s6h2h KhJh6h6d3d 
QdQcJd6d2s Kc9c8c5d3d KsTc7d5c4c As8s8h7s6s 
QsTh7h5s2h JdTc8c7s2h KsJh6c5h2c JsTc7s5h3d 
KdJh8c2h2d Qs6s6h5h3h QhJc8s5h5d KhQc8h8c3h 
KcJs7c5c4c 9h6c5h5d3c ThTc9d7c3s 9c6c5d4s4d 
KdQc8h4d3h Jc8c6s4s4h KhJsTd7c3c JdTs7c4d2c 
KhKc7h3d2s KsJs9d3h2h As8h8d5h5c KhTc6c3s2h 
Td6s5s4c3d 8h8c5d4d2c AhJh9s4d3h KsQhQd7h3h 
Kh6s6h4s2c AdQsJc7d2d Ah9h5c4h3c KcJd8s2d2c 
AcJh6d3d2c QdJh9s4h2s QhJs6s4c2c JdTd7s5d5c 
KsJd7d6d4h AhKc9s9d4c Ac9h8s8d5s Qh8s5s4d2h 
AhJs7h6c2d KdJsJh7c4c KcTs9d6d4h Th9s9c6h4d 
Td8c7h7d3h QsTd8s6h2c Kh7h5d3s3d Qc9s7d6s3d 
JdTc6d4h2h QsJc7h6c2s Kc8s8d7c3s Ac9c8s4s3c 
Jc9h9d5s5c QsJdTs8s3s KsTd8d5c2c AsJhTs5s2s 
KhQh5h5c4s QhJh8d4h3d Ac8d8c7c6c KcQdJc4c2s 
QcTh5d3h2c QsQh9d6c4c Td8h8c6d2c Ah9c5s4h3d 
KcTd8h2d2c JsTs7s6s4d Th8d7s6s4s Kd9s7d4s3s 
Ac9c8h4s3d KcJh8s6s3h KsJh6d6c5d Th9s8h7h5d 
Js9h6h6c3c 9s6h5h5c3s KcTs9h8c3c QdTh7h6d2h 
Ts8s6c5d2c Kd8s7s7d2s 9h6s5h5d3d JdTh6d6c2h 
Jd9s9d5h3c 9d6d5h3h3c AdKh9c7s4s 9c7h6h3s3c 
9s9h6s5s4c Th7s7c5h3s KsTh7s7c3d 8c7h7c6h2s 
QdJsJh4c2s AdQd9h9c4d AdJs7h7c6h Jc9h8d6s6c 
AcKc9s5c2h 6h6d5s4h2s QsJc9s6h3d Kh8s8c6d4h 
Kc9d8d5h4h Ah6s4d3d2h AdKd7h6d3d QsQc9s5s3s 
Ts9c7d6h3s KdJh8c7d4d Th9h9c7h4d KhJd8s8h4c 
QdTd7c6d2c Ac9d9c8c3h 8s8h5c4c2h KsQsTc9s3s 
Qd6s6c5s4c JhTd5d5c2c 8s8d5c4s2d KsJcTs7s2h 
Ac9h7s7h6d AsQsJs4s2h 9c8h7c5s2s Js8d7d5c2s 
QsJsJh4s3s Tc9s9c7c5h 7c6h5d4c3s KcTd9c8c3s 
8s8d5c2s2d 7d6c5s4d3h KdTc7d4c2d KsTs9d8s5s 
Ah8h8c3s2s Kd8c7s6s5h AdKd8s2s2d QsQh9d5d4d 
JcTc7h5s5c AcQd5c3s3c As9h9c8h5h QdTd6h6c4d 
QhTc8s8c4d KsJc3d3c2s Ac9s6h3c2s Ad9c6c5h4h 
Qd9h7h7d3h KcTh5c4d3s AcKh9c4s2d QsTs5h3s3h 
JhTc9d5h2s TsTd7d5d4h KsQh7h6h4d JcTs5s5d4s 
JcTs9d6h3h Jc9d8s6s5s Td9h7s6s2h AhTh8s8d2h 
KdTs9c6s3h QhQd9c5c4c AhKsQd8s2s 7h7c6s4d4c 
AhQdJd9d2d AsJc7c5h5c 9s7h7d6d5d Js9s8d5h4c 
Ks8h5s4h3h ThTc6c5s4c KhQcJc6d6c AhQh4s3h2s 
KdQc5d4s2h QhJd6s6c5s Jh9d8s6s5s Jh8h7s7c6d 
Th7d5s4d3h 8s8d6d4d3s JsJdJcThTc Ad8h7s4s4h 
KsJd7h6d4d QsTs6h4d3c JdTs7d5c3h KsQs6d5s4s 
KhJh8c6s4h Kc9s8h7d4c 9d6h5h5c3d Ac8s6d3c2s 
Th7h6s6d3s KcJd8h8c4s KhQd9h3h3d Tc9h8c7d4s 
KhTh8d6c2s Kd9d6s5h5c Jh9s9c8c6c 9h9c6h5h4s 
Ts9h7s5h2d QcJs9c6d6c QsQd9d7c4d KdKc7h3s2d 
AhKcJs8d3d 9s8c7d6d2c AhJc7s7d6d JsTc9h3s3d 
KcQcJs4d2c 9d7h6s5c3c KcTc5c4s2s Kd8d5h4h4d 
AsKs6h3c2d KdTs8d3s3c KdTc6c5c4h Ac6d4c3d3c 
TdTc9c5c4h Jh9c7s5s2h JdTh9c6s3s Jc7c6d4h4d 
7s6c5d4s3h AsJd8d4c2c JsTh5h5d4h QsTdTc7h4h 
KhTd7h7c3s KhQh7c4c2s Jd8h5s4h3d JcTh5d3d2c 
AhKc9h9d2h Kc7s6s4c2h QsQd9s8h2s AhJs9c6h3h 
KsJd9s2s2d AhQs9s7c3d KdQhTd3s2c AdTc8c7h3s 
AsJs9h4s4c Qs6c5d5c3s AhKd9s9h2h AcTs8c3d2h 
KsTc7h5d4d 9d5d5c3d3c 8c7h7d6d5s AdJs8s4h2h 
KcQd5s5h4d QdJc9s9h5s 9c8c6s3s3h KdKc7s3h2c 
Ts7s6d4d3s Kc9d9c4h3h Qc8d6h4c3d Ah8c6s3h2c 
AcKsJc7c2c Kh8c5h4c3c QhTd9c8h2h Tc9d7h6s3c 
QsJhJd9h3h Kd9h9d4h3h QcTs6h4d4c 9h9d6d5d4c 
KcTc5h4h2c 9d9c8d7c3c 9s6h5s5d3h KcTd9h7h4h 
KdQdTc2s2h Kc8s8h7s4h QdJh8d4h2d AsQs5h5d3s 
9s8c7d5s2d Tc9c7s6s2s Ks9h8h7c4c TsTd7s5d2h 
KhQsQd8d2c KcTs5c4d3h 9s9h8c7c5d TsTc7c5c4d 
KcQhJh8h4d AdTd6h5c3d KcJhTc7c2s Jh9s5s5h3h 
AcTc6d6c2d AsKh9c7c4c Qd9d8d7h7c QhTs8s8c4d 
AcQhTs3s3d KhQs9d3h3d Kh8s7h6h6d AdKdJc4d2d 
Qs8s7h6h3h KcTh8s3c2h AcJcTc6c3s Jh6s5h4c3c 
KsQhJs5s5d QsTh7d5s2d Jh9d7s5d2h QsJc9d4c2d 
Jh8s8d6c5h KcQsTh4d3h AsTsTc8s2s AcTc5c4h3d 
Ac8s8h5h5d AhQh9d9c4h KcTs9h6h4d KcJs9s6h2h 
Kd8s5c4c2d AhJs7c6s4d AdJd9c4s4d KcJsTc6c3c 
QsJhTd3h2c QhTc7h7d5h Kd9d8c6c2d Ad7h4h3c2d 
Ts8d8c7d2c KdJd9c8s2h Kh8s5s5h2d Ac9c6s6d4h 
9s9d7c6c2d 8h7h6s4s3d QcJh9s8c3d QhTd8s8d4c 
AhTd7s5s4s JhTs6d6c4h Kc7d7c3s3d Kc9c8s7c3s 
QcTs7d5c2s Kc6d4h4c3h JsJd7c6c4h As8d6h3s2d 
KhQc6h3h2c Jh9s9c8d5s JhTh7s5h5d QsQh6s3d2d 
KsTh8d2s2h AcKsQs8h2s Ah7d5h4s3h QhJs7h7d5h 
Ah5s5d4h3c Ts8c6c5d4c JhTc6h5h4h Kc9s6c5d3h 
Js8h8c7c3s 9s8s8h7d5c KcJh5s4s2h AdKc6h5s3h 
Tc8c6s5d2s QdJs9c6h4s QhTc9s8h2h AcKsQs6s2d 
QhJd8d7c3c QhJs9d5h5c QsJh7s7c5s Kc8d7h7d2c 
9d6c5h5d3h QsJd9c8h2s KdQs6s6h4c QhJh7c5c2d 
KdJd7h3h3c Ts9h9d6c4s Jc9d5c4c3d Tc9s7d3s3d 
Js8s6h5h3h Jd8h8c7h3d Kh9c6h6d2c QsQd9d8c3d 
Kd9d8h8d4h Ac7c5s5c2s TsTh4c3s3c JdTs7h7c5s 
Tc9h8c6d6c Jh6c5c4h3s KsQd9d6h3c 9c8h7d5c2d 
AdKsTh6s2s KhTs9c8c5c 9c8s8c6s3s QhQc7h5d3h 
8d7s7c6s5h Js8d8c6h5s KdQdTs9d3d Js8h5s4h3c 
Td9s6s3s3d QhThTc7s3d AcQd9h4s2c QdQc8d3d2c 
Ad9h9c5s2d JhJd6h2h2d QsTs5h5c2h KdJd9h9c4s 
KdJd9d6d5c As7h7c6c3h Qc8c7h5h3h Jd6h5h4d3d 
QsJc9d8s3h JsTd5h5d2h 9c7c6h5s3d KsJc8h6d6c 
KcTd8d2h2c Qd9s8c7h7c QsTd8c7c5c Qd8c5c4s2d 
Ts9d7h5s4c Kd6h6d4h2c 9c8d7d6s6h QcJs5h4s4d 
QdJc8h7c3h Ah8d5c3s3h Jd8d8c5s4h QsTc9s8s3d 
JhTs5s4c3d Js7h5s4c3c Kd9c8h7c5s Js7c6c4s4d 
