Jd7s7d5s3s 
Ac9d7h6c3c KhJc7c6d4c Td9d8s7c4h 8h7d5s5d3s 
Ks9h8d4s4h Qs8s7d5d3c As8h7h7d5h QhTd6c5s5d 
Qs9s9c7h2c JsTs9s4h3d 9h8s8d7d2s Jh9c6d4h4d 
AhQc8s6s4d Ac6s6c4h2d 8h7s7h6s3h Ah9d8s6c5s 
ThTc8h5h5d AdQd5h3s3d KcQd9d3c2d Ac9s5s3c2s 
JsJdTh4s2s 9h7h6c5h3d Ad8s7s5c4s Tc8h7h7d3c 
Jh8s8d7c6d TsTc9c5d3h As7d5d4h3h AsKs9s4h3d 
KsJhTc3h3d 8h7s5s4h3h QhQd6d4d3c 9h6h5h4d3d 
JhJc9h3d2d Qh8s7h5d4c 7c6c5d4s2d TsTc8h7d4h 
JsJc9h3h2c Th8c7s5d4c KdQc9s2s2d Tc6h5c4h3s 
Qd9h6c5s4d Qs6h6d5s2h KcTs8h7d4h AcQs6s5h4s 
9s8s7d5c4h 9h7c5c4c3h JsJdTs4s2h AsTh6s3d3c 
JcTs6d6c5c KdQcTs4h4c Js8d6h5c4h 9s7s7d6c5h 
AsQc5c4h4d QsTs6d5s3h 8c7c6d5s3h KsQs9c4h2h 
KdJd9h5d3c AhQd9d5c4d KdQdTd6s2h JdTs7s5h5c 
KdTc7h4s3d Qd9h8c5c3h Qs8c5d4s3c 9h8s8c7s2c 
As4h3s3h2d TsTd8c4s4h AsQd5d4c3h QsJh8s6d4s 
KsQs8s6c4h AhQh7d4d2h 8c7c5d3s3d Ks8h8d7h6c 
8d7d6h4h2c QhJd9h7c3s KcTd6c5c3h KsTd8c6d4d 
Td9d8c2h2c Kh8c6s4h2s TsTd6c5c2d QsJhTd3d2c 
Qs9d7s6h2d KhJh9h5c3d Kc6c5d3d2h Qc9d7d5s2c 
KcJc7d4h2d KsTc4s3c2h 9h7s7d6h5c Th8c6d5s4d 
Ts9s8s6d6c Jc9d7h6s6d AhQc9h8h4h KhQsTc8h2h 
8s7s6c4s3c KdJsTc4s4h KdTs9d5h2c Ac9s6h5c3c 
Td9h6d3h3d KhQd6s6c5s KdTd5h4d2h Th8s8d2s2h 
KdQh7h4d2h QhJh9c6s6h As9d5h3s3c JsJc9s7h3s 
JsTc7h7d4c Td8h8d4s2h Js8h6d5c4d JsJhTc4h2h 
KhQcJs5s5d Qs8s7c6h4d JsTs7d6s4s Jh8c7c6c3h 
AcQc8c6h2d Th9s8h3s3h KcQc8s7s3c 9s7s6h5s4c 
JhTdTc5s2c Kd8c5d5c3c TdTc9h7c4c Jh9s9h6c2c 
AcJc8c6h3d 9h9c6s5d4s AsQdJh5h2h AhKc9c5s3c 
JcTd6h5s5h KcTh7d3c2h JdTs4d3h2s Ac8d7h7d6s 
QsQh6s4s3c Ks9s8c5c3s QsQdJs8s2h 9d7s6s5h3c 
QdTh8h6h4h AhKc5h3h2d KsQc8s8c3c AhKsJc5d2d 
AhQs8d7d4d QcTh9h7d3s AcQhJs3s2d JsTc8s5s5h 
Js6s5h5c4c AdTs9d5h2d Ts9h6s3s3h KhQhTc8h2d 
8d7d5c4s2c Ac9c5s3s3c QhTd9s9c5c Jc5h5d3h3c 
9h9c8h7h2c Tc9c8d7s4h KsQh8s4s3h KhTh8h4s2s 
Qh9s9c6c5c Kh8h7d5h4c Qd7d6c4s4c KcQc8d5c3d 
KhTs4s3h2d As7h4s3h2c ThTc6h2d2c JhJc4c3h2s 
KhQdTd9d2d Qs8c6s4d3d 8s8d6s4c2c QdTd5h3h2s 
Jc7s6c4h3h Th8c7s5h4h AhJcTc3d2s Jc8h6h5c3c 
KsJh7h6h6d QhTh8h4d2d KdQsTh3s3c JsJd4d3s2c 
KsJd7d6d5d KdQd8d6s4c AcKh9d4c2s QdQc4s4h3s 
8d7h6h6c3d Qs9s7h6c4d AcKc7c3h2h Js8s8h7c3h 
AsKhTh4h2d AcJs9c5d2c Tc9s8d6c4c KdQdTd6h2s 
Ts8s8d5h5c KhTh9d8h3s 9s7d6d5h3c As8s6c4h2d 
8h6s6h5c2c Kd8d7s7h3s 9c8d6h5s5c QcJc6c5s3h 
QcTd6h6d5d Jh9d6d4h3s KdJhTc6h3h TsTd9s5h3c 
Jh9c6c4h3d Th8h8c4s2c AsQd8d5c3h AcKc9h5s2c 
QhJd5h3h2d KcQd9c5c4s Th9d5h5d3h Tc6d5d5c4s 
Jd8d5s4c3s Jd6d5s5c4c AhTh4s3d3c Ts9c8c4c3s 
AcQd9c4c3s JdTh6c5s3d Ah9s4h4d2d Jh7h5c4d4c 
Qc8d7h6s5s QcJd8h8d5d Th6d5h4d3c AdJs7h6c2d 
KcQs8h8d6d AcTsTd3d2s QcJdTc3h3c QcTd6h5s5d 
8h7h6d5c3s AdJd6h2h2c 9c8s6d5h5c AcKhTh4h2d 
Ac9c8d6c3h 9s9h8d7d3h Ks7h7c5c2s QsQdTs7s3s 
Qs9s8c7s5d KhQh7s4d2s Ad9h9d8c2d QdQc6d5d3d 
JsTc8d4s4h Kd8c7s5d4d JcTc7s6c4c AdJd8s8d2c 
KhJh5d5c2d KcTh6d5s4s Qc9d8d5s3s KcQdTs8c2c 
Ah7c6h4h4d QdTd7s5c2s Th9d8h2s2d KsQsJs4c3s 
KcTs5c3s2s KdJs8s3h3d Jc9h8d8c5s JhJc8s7d4s 
Ks9s6c3h3c Jc8s7d6s5s ThTc6h4c2s KcTs6c5c3d 
AhTh8c4d2h KcTc9s4h2d KdJd9s6c4d KcJc9d5c3s 
Td8c7s5d4d QhTh9h7d3c JdTh9d4s3d Qd6c5c4d2h 
Qs9s9h8s5c QsQd9c7d3d JcTh6s5d3c JhJdTs6h2c 
ThTc6s5d4s Tc8c6s4s2d KsKhKc3s3c AsKc7c4d3c 
7s7c6d6c3c AdJd8d6h3c Kd9d6h3h3c AcTh9h6d3s 
Qh8c6s6h3s KcQh9s2s2c KcTd7h3c2d QdJdJc4h2d 
AcKhJd3h2h KhTd9c3d2c Th8d8c5d2h 9c7s6h5h2c 
9s9h7c5d4h KhTs9h8c4h TsTh7h5c2s Ks7d5s4d2c 
Qd7s5d4h3h QsJdTh3h2c KsQs9d2d2c KhThTc5d3h 
8d7d7c4s3c Td8d6s5d4c 8c7s7h3s3h Js9d6s5c4h 
Td8s7h6h2d 7s7d5s5c3s Ks9s9c7d4h KcQs9d7h3c 
8s8d7h6s2d 9s7d6s3d3c AdKsQc4h2h Kd8h6s4d3s 
7s7d6c5c4c QdTh7s7d4c AsQsJd4s2s Kc7d5d5c3c 
Qc9s8d5d3s KcJd8h7h2d AcJsTh7s2s KcJs7d5d4h 
AcQs7s6h3d 9h9c7d5s4c AcKc9s7c3c KdQc6s6h5h 
Kd9d6s6h2h AhTd9c5s4d Ac9d6c3d3c Js9h6s5d4c 
AhKh9c5s2h 9h8h7s5d4c KsTh9d8h5h JhJdTd6s2c 
KhKdKc5c4d Qh8s6h6d3d Ah7d5c4c3d 9c8s8c6s2s 
AsQc6h5d3c QdJd9s3c2c Ks8c5s5c3d 9d7s6s5c3h 
JhJd9h8h4s AhKsJc3c2d Ac4h4d3c2h AdJh8c4c2h 
QhTh7c6h4h JhJcTc4c2d KsQc6c4d2d QdTc9d7s3d 
QhTc7s7c2h Qs9c8c5h3h QdTh9c5s3h Qs9h6c5d4s 
Jc9d8s8c5h AhJh9d6c3h QcTd9d4s3h Td9h8d3h3d 
Kd8d6h5c4d QcJh8s5d4s KcTd9c5h2s KcQsTs7d3s 
AhQc6d6c4s AcJh9c5c3c JhTc7s4c2s Qs8h6h4s3c 
Qd9h6h4d3h Ad9d6c5d4h KsJcTh6c3c AdJc9h5s4s 
Qd9s6c4c3d AdQh8d7d2s AhJc7c6s6c Kh8s5s5h3c 
ThTd9d6s3d 8s8c7s6h4s KdTh8s7c4s Ts8d7c6c2s 
KsTh8h3c2s KhJs8s3h3c KsJc9h8h5h QsJhJd8c3s 
AcJh7c4d3c Kd5d5c4s4d Ad7h7d2h2d Kc9s9c7d4h 
AhQd8s7h2h KdTs7s5h4s AcKc5s5c3c Ks9c5s5c4s 
9h6c5d3h3c 9s6h5h3s3d TsTc9s6h4s KsQs9s5d2d 
9c8s6h5d5c KhKc4s3s2d Kh6h6c4s2c QcJcTc8s3c 
KhQh8d5h3d KsKcQs8s3s Jd9d8d7c3c KdQc5s5h3d 
QsTh9d6h3h 9d7h7d4h3c QdTs9h9c5h AsQs6s4c3h 
AdQd9s3s2d AhQhTh5h2d JhJc4h3c2s KcJh6c4d3s 
7h7c5s5c4c Jc9h6h4c3s KcJs9h8h5h AcQc9d9c2s 
AcKsKdKc8h AsTc6s3h3d AsQs8c7s2h Ks6d5s5d2d 
AcKh5c3c2s Jc8d7c5c3d Ac9h9d6d3h Ah9d8d7d5d 
Ac4s3s2d2c Qc8d8c5h2h Qd7h6c4c3d 8h6s5h5c3s 
KhQdTs6c2d KdTd7h6s3d KdJcTs6c3c Tc9d7s5h4c 
JhTsTd5h2c Td9d8d6h4s Th8d7d5s2h Tc9d6d5h2h 
Kd8s5s5d3h TsTc5s4c2d AhKcQs3s2s AcTc5s5h4c 
QhJh6h5c3s QdTc9h6c3c AdKh7d6d2c Tc8h6d4h2c 
AcQs9c4c3h Ts7h7d4h3s AhKhJh4h2s 9d8d7h5c4s 
AdQc9d8d4d 9c6h5h3d3c AdJs4s4c3c 9s9d8c7c3s 
As8d8c7c6c Qs9h8d5h3d Ad8s7s7c5s JsTs7s5h3d 
Qs7s7h6d5c KhJd8h4d2d Ah6d6c3h2c As7d5c4c3d 
QcJh5d5c2d AdJd8d6h3s Jd8d8c5s5h 7s6c5h4h2c 
QdJs9h6h4c Jd6h6d5h4d QcJhTc2d2c 8s8d7c5c4h 
KcTsTc2h2c KcQd9h5c4c TsTc6h5h2s KdQh6s6d4d 
As9h9c2s2d QsJc9c5c3h AcKh6s3h3d Ad7c4c2d2c 
AhJh9h8d3h AsJh9s5d2s QsTs9s4h3d QcJd7d5c2c 
Ks8c6h4s2h Tc8h8c7s5d Tc8s8d2d2c KsTs8h4h2s 
KhJs7s6d4s QhTc9c4d3s JhJd9h7c3h Td8s8d2s2d 
QcJd9d5s4d AdTc9d5h2d KdQs8s8d3s Tc8s8h4c2s 
AcKs8s6s4s QhTh9h4d3s Js9d8s8h5c KsJs7h4d2h 
Qh9d8d5s3s KsTc6s6c2s Qs7d6h6d4h Ac9c8d7c4c 
AdKhQh8h2c Ah8s6h4s2h QsTc9h8d4h KdJh6h5h4c 
Tc7s7d4d3c Jh8d6d4h4d AsKh7s6s2c Tc9s9c6d4c 
AdKd9h5s2d KhTh9c6h4h QsJc6c5h3d KhJs6s3d2h 
KhQh8d7d3h 7s7c4s4c3s AcJs4s4d3d KsQhQc7c2d 
AcTd9d6s4h JsJd6h5s3c Jh9s8h8d5c AcKs7s5s3s 
Ts9c6s5h2h Kh8c6s4h3s Jc9c7s5h3d Kd8h7c5d4d 
AcKd9h5s2d KsTd9h8d5d QdTc8h7h4h KsJd5s4s4h 
Ks6d5c3c2s Ts8c6d4d2s Qs8c6d6c2s KsJc7c6h6c 
AcJd9h5s4s 9s9c8s4h3c Jc8h8c6h2d Jc9s6h6c5d 
Qc9s7c6d2s Qh9s6s3h3c Qs9h6s6h2c Qs9c7s6h2c 
As8s5s5h4d TsTh9h6d3h Th9c8h2d2c 9s9d8s4h3d 
KhJh7s4c2s Tc6s6c5c4s 8c7d7c5h4c KdJs5s2s2d 
QsJhJc8d3s Ts9s8c4h2c Th8c6s4c3h QdTs8h8c5c 
AdTc8s4c2s Kd7d6h5c3d JsTh4s3c2h Th8d6c4d2h 
Qc6c5s4s4c As8c7d6d5d QsTd9c8h4c Js9c6s6c3c 
AhQc7c6d3s As9d7h7c5h 8h8c5c4c2h AcQh6s6d5d 
Qs6s6d3d3c Tc8h7h5s3s QcJhTd4d2s Ks8d6h6d2s 
JsThTc5d2h QdJs8s7c2c AhKsJh8h2h AdKc9c5h3c 
AhQc8c6s4c AdJc8s4c2s Ac9h8h7h6h 6c5s5h2h2c 
QhJd8s5s4s KdQdTs5d2h KcTh9h5d4s JdTd8d6d6c 
KsJs9c4h3d Ks9d8d6h5c Jd8s8d6s2c ThTd6h4d2c 
QdTsTc7d3h QcJc9c6s4h AhJh5d4h3c Tc8s7d5c4c 
Ks7s5h4h2c QcJd9c2d2c AcKdJs5h2h 7c6s5s4h2h 
Tc8c7d4d3h JsTs9d9c2s Ad8d5s5d4c QdJc8s5s4s 
Jh9d8d6c2c Js8h7d5h2s QdQcJc8c2h KhKdKc3h3c 
AsTs9s6d2h QcTc7d4d3c JhJc8h5s3d QhJd9d5c4d 
QhJhTh8c3h Ts9d7h5c4s 8s8d7s5c4s Th7d6c5h4s 
KsJs9s5c3h QcJh9c5s2d KhQd8h4s3s 8s8c7s6h2c 
JdTs6d6c5d KsQs9c4h4c KhJc8d6s5s 9d8c7d6h2h 
9c7h6d5c4c Ad8h8c3d2c KdQh8h4d2h Kd8c7s7d2c 
Jh9h7c6s6d 7s7c4c3s3h QhTh6c5h5d Kd8c7s4s3d 
Jc8h7d6h5h KsQs5s5c2c JsTh6d4s4c QcJd8c6c4s 
Tc9h6s6c5d 8c7h7c5s4c Kd9s9c6s6h Td7c6h5d4s 
AcQc4h3d2s AcQc6c4d3h Jd8s7c6s5s 8d6h5h5c3c 
AdJc7h6s4c Qs8c6h6c2s 9c7h7c6d5s JhTh7s6c3d 
Ac9h8s8c2c TdTc9h6s4s 9h8s8c7h2s 8s7s6d5c3h 
KcQh8d6c4c AcJd5c4c3h AcKd5s3h2d KhJs8d6c5c 
Ac8h4c2h2d Kh5s5h4h4c 7h6s6d4h3s 7h6c5s4s2c 
Qc9d5d4d3c ThTc5h4c2d Ts6s6d5h5c JdTd5s4d3h 
QhJh9s6h4c KsTd9d5h4d AsTc7h5h5d KhJhJd7c3h 
Th9s6s5d2d Ts8h5s5h3d KhTs9h5c2d AsKs9s4d3h 
7d6h5h4s2s QsJh9h8c2d AhKcTs4d3d QdJd7d6d5h 
KhQd6h5s2c Jc6d5h4h3c QcJd8s6h4h Qs8s7c5c3d 
Ah8h6s6d3c KdJdJc6h2s Ts6s6h5d3h Kh9s8s6d5c 
QcJh5c3c2h KdTc8s7h3d Ts9s5s5c3c Qh9c6c4h3c 
Jh8c6c4h4c KdQcJs5s5h Jh6h5c4s3s JhJc9c3s3c 
KdQs3h3d2h AsTs8d4h2s AsKcQh9d2d Kc9s8h6c4d 
KhJsTs4c2d Kh8s7h7d2d KsQs9d4c2c Ks9h9c6d6c 
JsJhTc6h2d Kh6h5c3c2d AhKdQs9c2c AhKcJc8c3c 
9c8s6c3s3d JcTd8c7c4c KsTh8d6h4h KdTd6h5s3d 
AhTs9h4h2c Qs7h7c6s3c Ad9s6c5c4s Ks7c4s4h3c 
JdTh6c5c4c KsQhQc6h2h QsJd7s5h2h KhKd8h3c2s 
QcJs9s5s3d Jc9h8h4c2d KhTc9h8d2h Ah7h7c5h4h 
9d9c8c7d3c Ac8d8c4c2d JdTc6c4d2d KhQs8d5h4h 
Qs6c5h4s2c Ts8s8d4h2d Qd8h6d4s3s 9c8s8h7c2h 
6h6c4h4c3c JhTd9h4h3c 9d7h6s5s2d Jc9d8d6s2s 
9s6c5c3s3d Kh8s8h7s2s Kh7h6d5c3h KcQhTs6d3d 
AsQd8h7h4h Qc9s5s5c3s KsQhJs2d2c KcThTd5s4s 
Jc9c7h7d5s Ad6d6c4c2d QsTc9h9d5d As7s6d5s4s 
JsJh9h7c4h KdQs9c2d2c KhJd9c5h3h ThTd9d7s4d 
JdTc7s4s2c JsTs7d7c4s Ac7c5h5d4c Qc9h6h6c2d 
AcJs7s6s6d Ad9c4s4d2s KhQc9d8h4s 9c7d7c4d3s 
Qd9d5s5h3h QsJh7c6s2h Kh7h5s4s2c QsQc8h7d3s 
9d9c8d4s3c 9c8h8d7d2h KhQh8s4d3d AsKsJs4s2h 
KcJh5c2h2c Ac8s6d6c2h AsKs9d5c2s KcQc5d5c2d 
9s9c7s6c2s JcTsTd5h2d Qs8d6s6h3h Qs9h8s8c5d 
AsQc8s7s2d Ac9s9d6d3s AdJh7d4s3d QdJsJh9c4c 
JdTd6h6d4c Ah8s6h6c2d KcQc5d4s2h AhJhJd4h3h 
JcTc7s5c3d Js8h7h6d5h As8h6s6d2c KsQsTc5s3s 
AsAhAd7d2d QsJc5s5h2h AhKd9c8c4s TsTc8d5h5d 
Kh8h8c7c2c AcTc9c6h2s 7d7c4c3h3d KdQd8h5d3h 
AhQh5d3s3h KhJc6s4h3d AsTd9d7d3h AsJh7d6d6c 
8s8c7c5h4c 9c7h6c5d3c 9d8c6d4c3h Kd7c5h4d2h 
KdQdTd8s4d Ts6s5d5c4d Qc9s6c3s3h KcJc9s4h3d 
AcQd6s6c2h JdTc6s6h4h AcQh6d4d2h Jc7c5s4s4h 
TsTh6s4h2d QhTd6c4h3s QcTh9s7d4d AdJsTd4d2d 
KsTh9d6d3c QdJc7s4s3c KsTs7h6c3s KhQdTc8h3h 
KcTs9s5h4s QdTs9h6h3h 9d7s6h5h2d QsTs9s7h5s 
KcJh6c4s3d Tc8c7s4d3s QcTc7h5c4s Kc9s6s6c2d 
9c8h6s5c4d Td9d8d8c7d AdJd9d5s2h Qh9s8c5s3c 
KcQc9c5s2s Ac8d7s7d6h As8s8d3d2d AhJsJd5d2c 
JdThTc5c2s As7h6s4s4c As8d7d6c4h QcTc6d5c3s 
ThTd9h6c4h KcTd9c5s2h 8s8d7s6c2d Ts7h6h5c4d 
TsTh6d5d2h Qc7s5s5c3d Tc9c7h3h3d 9s8s7h6h2h 
As9s5c3s3c QdTh6s5h5c AsKcQc8c2d AsKc7c5c3c 
KhQc8s8d6d Ts8h7h5d2s 9c8d7d7c3h KcQd9h6d3s 
JhTdTc5d2s QdTc8s8h5h QsTh9h8h4d AcQh8c7c2d 
QsJh8c6d4d KcQc6s4s2c Kh6d5s3s2h KhTh9d5s3h 
KsQdJh9d2d KcQsTh7h3d AsJh9c5d4d KsTs6h3c2c 
AhQs8c6h2h Qd7d6s6c3s QcJd7s6c4c 9s9h8c7c3h 
KhJhJc7s3h KcJd3c2s2d KdQsJs4h4c Kd8s7c4c3d 
QdQc5s4s3h Qc7s7h6c3h AdJc7c5s3h Ac8s8c6c5c 
AhJs9d3h2c AhQd6d5s4d Ah9h6d6c3s TsTc6s4c2h 
KhJc9d5h3h 9s9h8c7c3s AhKh7h3c2c QhJh9d3s2s 
9s9d8s6c4h Th9h8s2s2c KdTh9d8s2d KdJhTc8s3c 
Kd6c5h4h4c Qs8s8h6h3s As4h4c3s2c KcJc8d6c5c 
QhJc9s6s4d Td8h8d5s5c Qh6s5s5h4h AdQd8h7d2s 
Kh6s5d4s3d TsTh9s7c4s KsJd8d6h3h AcJd9c6c3s 
Tc7s5c4h3s QsQd6s4s3c Ts8h8c5h2s KhQhTs8h4h 
Kd9h9c8s6h QdQc8h7s3d Tc8h8d5d2c Qc8d8c6d3c 
AhJh5c4d3h Kd5s4s3d3c KcTd7d5h4d Th8s7d5h4h 
Kh8s6h5s2h Tc6d5h5d4h AhQc8s6d4d Qh8s6s6h3c 
Kc8c6h5d4c JhTd8h4c3s KsQdTd7c3d KdQh8d4c3c 
QsJs9h6s4d AdTs9s6h4c Qs7c5s4d3d Th9c7d6c4c 
QsJs7s6s5h 9d7h6c5d4d KcTsTc5d3c KcQcJc4s3c 
9h9d8s7s3h KcQc8d5c4s QdJsTd3h3d JhJdTd4d2s 
KhTd8c7s2h AdTh5s4h3s QhJsJh5d2h QsQh9h2h2c 
Td8c5d5c3h 9d8c7s7h6d QhJs7s5h2h Ah8d7s7d5d 
AcQd8h6h4s JcTc9s9d2c JsJc8d5d4d 6s6c5d4d2s 
Ad6d6c3c2c Tc9h5h4s3s Jd9d9c6s2s KcJh8h3c2d 
9h7s7h4s3c Ac6d6c4h2s 8s7s6c4c2d Ac7h4c3h2s 
9d8s6d4s3c KsJh8d6d2h Ts9s6c5d2d QhTd7h5s2s 
KhQcJd6c3c AhJs7c4h2d QhTd9c6c3c KcTd7h4s3c 
JdTs5d4c3d KcTc9h7c3c TdTc6h5s4h AhQc8d6d4s 
JsTh5s3h2h Qd8d7h5h3s 9d8s7h7c6d KcJs7s6s6d 
TsTh7s5c2h Jd9c6h5h2d Td9d8d6h4c KhQs8s8h3s 
KcQhJd9h2h JcTh7d4h2d AsKcQc8c2h Kh7s5h4s2d 
Td8s7h5d4d Qs7s7c6d5h KdJh6d4c3s Ac8s8d3c2d 
JhTd8s8c4s QcJc7s5d3h KhJs7d6d4c 9s6h5d3s3h 
QhQc8c4d3s Kh9d7s5h5c QdJh9h8c2s QdJd4c3c2h 
Ts9h6h5d2d AsKd7d5d3d As9h8d6c5d 9c6d5h4h4d 
KcTd9c5c3s AdTc6d4s4d Tc8s7h5d4s Jd8c7c6h5c 
Qd9d8s6c4h QcJhTc3s3c AcJd9d8s4d AsJc7c5h3d 
KcJsTh6s3s AhKs9d4h2c Kc8s8d7d6h KdJc8h7h2c 
As9d7h7c5c AsJh8d4d2h JsJd8s7h3c AhQh6h4c3d 
JhJcTc4c2s JdJc8h5h4h KcTh9d4d2h KdJs9s5h3c 
AdQd9s4d3h KsQh7d5d4d QdTd7h6d4d Qc7s6d5d3s 
As9s6d5c2h QhJh7s5c3d AhJs9d2s2d Jh9h7h7c4c 
JsJh9h6c4h Kd9s5s5d4d AcQs6d4d2s TsTc6d5d2c 
KhJs9h3c2c KsTd7h3s2d Jh6h5s4d3d Jc9c7h6s6d 
Ks5d5c4c2s AhTd9d6s4c Ac9c7s7h2d QhJd7h5c4h 
Jc8h7s5h2c KhTd9d7c3s KhQd9s2s2h 9h6d5d3s3h 
Ad7d7c2d2c Kc8h5c4h4c TsTh9c5h3d Qs9h8d7h5c 
AsQc6h4h2c Ad9d6c5h2s Ts7d6c5s4h AsJs9s3d2d 
KhTs8h6d2c KsTd8h3s2h Qd9h8c7h5s JdJc9c7s4c 
JcTc8c6s6c KsQsTd7c2h AsQd6d5c4d Ks9d7d4d3s 
TsTd8h8c3d AsTs5s3c2c KhJh8h6c2c KsJs5d5c2d 
Qc7c6d4s3s 8s6s6c5h2h 8d7d6s4d3s KcQdTh8c2c 
AdJh8h7h4h QhTh6h4c2c KdJhTh5h3h Ts9s8h3h3d 
KsQh9d8s4c Ad8c5s5h3d Kc7d7c6c5h 9c7s6d5c4c 
TsTh8d4h4c KcQc9s4s4d AhJs7d5s2d Td8d7d5c3c 
As9c8h2s2d Th9h8s4d2s QdTs7h4d2s QhQd8c7c4s 
KdQcTs3h3c QhJh9h8d5h QcJh7c5s4c Js9s7d5h3c 
9s9h8d7d3s AsJd9c5h4c Kh8s7h7c2c KhQd9s7c3h 
KsQs8d5s4c Ad8s8c7c5c JdJc9s8h2d KdQd9s2s2c 
Ts9c6c5d2d Ac9d6h5h4d AdTs9s6c3h TsTc7c6d3h 
QsQd9s2s2h Kd9c7h5h3c AcKd6h3s3d KhTs8h2s2d 
Th8s8d6s4c Jd9c6d6c3c AhJc7d6s4c QdJd6s3s3h 
QhQdTh7h3h JhTh8h6h6d AdKc9h4d2s AhThTc5s2h 
JdTc7d5s5h 9h8h8c7c2c KdTh9h7c3s AsTd9s5h2s 
JdTd9d7d4h JdTd7h5d2h AhQs8s6s4c JsTc4s3h2c 
KdQc6d3c2c Qc9h8s5h3s AdQh5s4h3c KhQh9d4c2c 
AcQdJs5s2s QcJs5d5c2d KcQd5h3h2d JcTd7s7h4h 
AhQd8d5c3s Kh8d6h6d3d JcTh8s5s5d QdTc9h9c5c 
QsQc5s4s2h Kd8d7d5c4h JhJd5s4s4c KcJh6h5h4s 
Jc9d6c5s4h 7h6s5s4c2c TdTc9s7d4d Kd7c4s4d3c 
QcJh7s5c2s 8h8c7d5d4s QcJs9s4h2h AsJd7h6h6c 
KsQs9c2h2c Jc9h8c6h2h As9h8c6c3h 8d7d6h5s3c 
QhTd9s8c4c QdTs9d7d3h JsTd6h4s4c AcJh9c5s2c 
JcTc8c6d6c KcQh9s6h3d AhTs8s5s5d QhTh7c4d2c 
AhQh8s7h2d Js9d8d7d6d Ts8c7c5h3h KcQhTd5h2s 
KcQcTh5c2d AdQc6s6h5s AhQd8c6s4s QdQc6d4d3s 
KsQsTd8s4s KhQdTs5d2c Kh8s7d5h4h AdJh9c2h2c 
Jh9h7d4d3s AsTd8d5d5c JcTd8s5s5h Jd9h8h8c2c 
9d7s6h5s2d QdTs6s5h5c Qc7s6s6h4h QcJs9d5h4h 
JsJcTh7d3d As9d8s4d2s Qc6s6d5c2s Qc8c7d6s4h 
KcTd8h7s2c 9c7d7c6h5s Tc8s8c7d5h AhTh8d4s2h 
QhQcJh9h3h KsKh8s3d2c Ah5h4s4c3d AdQd8d6h2s 
QdJs8c4s2c AsKsKhKd8c AcQsQdQc5s KcTd4c3d2h 
KsJd9h5s3s Kh8s6s6d2h Qd7c6h5h3c KdJd9h4d2h 
Qd9h6d3s3h Ah6s6c3h2c AsKdQh3h2h 8d6d6c5s2s 
AsQd9c5s2s QsTd7s5c2c Ad9s4h4d2h QsTh6s4d4c 
Kh8c6s4s2h 9h7s6d5d2h 8c7c5h4d2h KhQdTc4s4d 
QsQdJc8h2c KcJh9c3s2s Kd5h5d4d4c Qs7d5s5d3h 
As9c8d4h3s KcTh6c3h2d Qh7c6s6c4s QdTd7d6c5d 
AsJs5h4c3s QcJh8s7s3h AhKh8d6h2c Kc6d6c4s2s 
KsQc9d7h3s Jc8d7d6h5d Th8c7d5h4h AsQdJh8c2c 
KhQd6h5c2s KsTh6c2s2h AhKsQc4d2d AdJs9c5h4h 
9h7s7h6c5d KhJh7c4d2c QdTd9d7s3h AdTc9h8s2h 
JdTd9d7d4s KhJc7d6d4s 7s6c5c4d2d Js9h7h7c6h 
JdTh6s6d5d KcQd5c4c3h TsTh9h8h3c KhQsTc4s4d 
9h8s6h3s3d 8h6d5h3s3d Th8d7d5c3c Qs9d6s3h3d 
Ts9h5s3h3d Td8d6c4c2h AhJh9h8s3h Ts7c5d4s4c 
Kd9s7h3h3d 8c7d7c5h5c KdQh7d6d4d QsJd8c4d2c 
AsQc7c6d3h Js9d8s6d2s QdJd9d6c4h Jc9c7d4d3s 
TsTd9d8h2c AcTd9s8h2s KdQdTh8d4d QdJs7h5d5c 
AhKs9c8c4d JdTd7s5d3h Ks6h5s3d2d AcKsQs8s2d 
9h8c6d5h4s AdTsTh3s2h Kc9d8h6h5s Qd8d7c6s4h 
KhTh7c6s3h KdQs3d3c2c QcTh7c5s2s Kc6s5h4s4h 
JcTs7h4h2s Qs6s5c4s4c KhQh8h6c4s Kd7s7d6d5h 
QdJs8c6c4h QdJd6h3h3c AcJsJh5s2d As9d6h5s3s 
QhTsTc8d3c KdJh6h5h4s ThTc9c6s4c KdTh7s4c3d 
AdKcQc7c3c QcJsJh8d3c QsTs6h5s3c Td9s6s5c2c 
Jh8h8c7s3c Ac8d7d6s4h 8d7d6s6h3s 9h6s5s5h4h 
AdTh5d3h2d AdQd9d5c4d AsKhTd4c3c QdJd6c3h3c 
Th7c5h4d3c Ks7s7d6s5c Jc9d8d4c2s Kd5h5d4s4d 
Th8d7h4d3s As7c5h4h3c AcKdQh3h2h 9s7h7d6h5c 
9s9d6h5h4h KdTsTh5d3d JsJh9s3s3d KdQc7s5s4h 
Js7h6s4d3d QsTh8h6h4h Ks7s7h6s5c Qc9s8s8c4c 
Ks9s9d8s2d Ac5c4h4c2h QsJd7h5s5c 9c7s5s4s3c 
Ad4s4h3d2s JcThTd5s2h QcTs8h6d2c QdTh8s8c5s 
KhTd4d3h2s AhJd7s5d2s AsQs8d7s2h Kd8s6d4h2s 
