9d5d4h2s2h 
9h9d8c4c3c Tc8d6d3s3d Qd7s7h5h3h QsJc7h7d3h 
Th8d7c4s2d 9d8s8c4h2s 9d8c7s4s3h KsQh9s4s4d 
8c6s6d4s2s 9d7c4s4d2c AhQd7h4h2h Ks8d6c4h4d 
Kd7h5s4s3s 9h8c5s4d2c Ah8d7c4s3s KsJc8h8d3c 
Th8s6d6c2s Qc9s9c7h2c Ad6d4c2h2d Kd9h5c3s2d 
Jc6h5c4s2d Ts7s4h2s2h Ah9d6h2s2h 9d8s5s4h3s 
Ks8s7c4s3d Jd8h5d5c2d 9c8c4s2s2c AdTd8d3c2d 
AdJs9h4c2c Qc5d4s3h3c Jd9s8h4c3h As9c7h4c3c 
Kh9s6d3s2d JdTh8d3d2d QdJh7c5s2c Jc9s5h4s2d 
Td9s7d6d2d Ts8h6d6c2c 9h6c3h3c2s 9c5s4d3s2d 
KsTc4h4d3d Jc8d7d6h2s Kc9s8d7d2d QdJd4h3d2s 
6d4d4c3c2c 9d8h3h3d2c 9c8d6d4d2h 8c7s6s3c2s 
9h6h5c2s2d AdQsQdQc8h KdJs7c3d2h Kc7d6h2h2d 
Kd7c5h4h3h Jc8h5s5c2c Ad8s8h6s2s KhTh6c3d2h 
Th8d4d3c2c 7s6s5s5c2d 9d8s6s4s2c 7s7h5d3c2h 
Kc6c5c4c2d JsTd6d3c2h Jc9s8c4d3c Qd9h7d5d2c 
Qc8d5s3s2d Jc7d6h6d3s Ac9c7c6h2c QcJd8h7h2h 
Jd7d7c4d3s QcJs6d6c2c Ks7s5c4h2s Jc9d5h4s2d 
Ts7s4c3c2d Js9c5d4c2h QhTc5h2s2h AcTs7s4d2s 
Qd8c5c3s2s QdJc8h4s2s KhJd7s4d2c QhTd5h2h2c 
9s5d4c3d2c AcJh6h4d2s Kd9h6c5s2h Jh9c5h4s2h 
Js9h8s4d3s KdJc8h6c2c 9h8c6d4s2s Js9h7h3d3c 
Ts8h7s3h2s Kd7s7d3d3c Th6s5h4c2d Jd7d5c3d2c 
KsQs4s2h2d KdTd3c2s2h KdQs6d3d2h KsTh4h3h3d 
KsKdKcQs9h QsTd5s2s2h Ks9c7d4c2d 9c6h6d4c3s 
Js5d4h3d2h KsTh7d4c2c Jh8s8d7s2s 9d8c6h4c3c 
QcJh7d5h2h Jh9d7d3s3c Jd8d7h7c3d Jc9d8c4c3h 
Ad8s5h5c3c As8d5d3c2c Ts5c4c2s2h JdTd3s2d2c 
9d8d5s4c3d Qh8s8d5d3d AhJs6c5s2s Th7h6h3d2d 
KsJd9d4h2d 7d6s6c4h2s Jh9d6c5d2d Ac6h5h4h3s 
KsTc6c5c2c Qc9c7c5h2s Kc8d6h5s2d KhQh6h4c2h 
Qs8d7c6h3h Kd8h6c2s2d Kd3s3h2s2h Jd8c6h4c3s 
Qh5d5c4s3h Ts9c5h4c2d QcJh6d2s2c KdJh6s2d2c 
Qs7d6d4c3h 9d8d5s4d2c QdJs5s3s2c TsTc7s4s2h 
QsTs4s4h3s Ah9h7s3c2h KsTs3c2h2d Js9h5c4c2d 
Kh7h5d4c2h 9d9c5h3c2c Qd9h5h4h3c Ts7s5h3s3c 
KdJs8s4s4c 8s8h7h4h3h Qs8d5c4h3h Ah9h6c4s2h 
Qd9c6h3s2d Ac9h6s4s2h KdQhQdQc2c AhJs6c5c2c 
7d6h5c3h2s 8s8h7s4s3s 9h7s4h4d2s Kh9s6c3d2h 
9c8h6s6d2h Qs9d8c4h2s KdTs4h4c3c Kd4s3s3d2d 
Jh9c8h4h3d Jd9s8d4c3d AcQc7c3d2s As9s7h3c2s 
Qd6s6c3s3h Ts7s7d4s3s Qd8c7h4s3d Ad9s6h2s2h 
KdJd8c3s2h KhJs8c4s3s QdJd9c4d2d 9s8s4d3d2c 
Js9s5s5d2c Kc9c6c5h2c Ks5s5d4s2c Kd9c6c4h3s 
KhJd9c4s2c QhJh3d2h2c Kh9s5c3d2h Jh8h6h4s3d 
Js9c7c4h4c 5d5c4d2s2d TsTh5h4c2h As6c5c4c3h 
AdQd7d3c2s KsJc9c4d2c Qd6h5h4h3h KcQs9s8s2s 
KsJc8d6h2h Ts6s4c3h2h TsTh6h2h2d KsJs8d6s2s 
Th8s7d4c2c 9s8d6c4d3d Jc9d8d6d3d Td7c6d2d2c 
Jc8d6h6c3c AcKs8s3s2h Ac9h5c3c2d As9h6c4s2s 
6s4c3s3d2c Kd9c4c3d2d AhTd8c3s2c Js7c6d4d3h 
Ac9d6d4s4h KsTs7h5s2s Js6d6c5c3c KsJs4s4d2h 
Qc9c7c5d2h Qc9d7c6c2h Kd9h8s3d3c Ks8h6h4d4c 
Ac8h6c4c3c Qs9h6d3c2s Qc8c5s5h2d KdJh5h3s2h 
AhTdTc3s2s Kc8h6d2s2c 8d6s3c2d2c KcQcJc8c3c 
Qd9d7c6s2d Kc8s6s4h4d QdJd8c3s3h Qh9c7h5s2h 
KsQs5s4s2s AsJsJdJc6d Jh9d5h3c2s Qd9h8s4c2d 
Jh7s7h4c3h Jd6h6c5s3s Td8s4d3s2s Jc9d5c3h2s 
KdJs8c6c3c KdQd8h4s4d Qh8d7c6s3c AcQh5d3d2s 
Qh8d7s4s2d QdJc4d3s2d AsQc9c6c2c 6h5d4h2s2c 
Qs8c7h2h2c Ts8h6d3h3c Td9c5h3s2d Jc8s5s4s3h 
QhQc8c3d2c Qc6c5d5c4c 9h9c8h4d3h Qs8c7h6d3h 
Kh9c8c5c3s KhQd8h7h3h Kh9d8h4s4c Jh7d7c4d2c 
Js7h6h6d3c 9s8c5s4s2d Qs9d7h7c3d Ad8s6c3c2s 
Jh9h8h4c3d Qd8s7h2s2h 9d7d5c4h2s 7d6c4s4d3d 
Ks9c8c5h3c Td8h7c3s3h Qh9h6d3s3h TdTc5s4c2c 
Th7h4s2s2c Ks5s4d2h2c KsJh9h4d2h 8c7c4s3h2h 
QdTh5s5c2h Kd8s6c4s4h Qc7h6h3s2c Th8h7h4s3h 
Ad9c8c5c2c QdQc8c3h2c Td8d6s6c2d Kh7d6d4s4d 
9s7d4d2s2h Ks9c6d6c3c Kc8c3s3h2h QsTd5c3c2h 
Ks6s4s4d3h Jc8c7d5c2c Kd6c5c4c3c Kd7d5c4d2s 
Ah8h5h3d2s Kc9c7s7c2h Tc7s4s4c2c KsQd4d3c2d 
Kc9c6h3d3c Ac9c5c3d3c 9h8c6c2d2c Ks8s6s5s2d 
9c7s4s3h2c Ac6h6d3h2d 4h4c3c2h2c 7h5s3d2s2h 
AdQh7h5h2h 9s8s8d4s3h Js8d6s4c3s 9d7h7c6s2c 
KsJc8h4h4d Qd7d7c2s2c QdTs5h5c2h 9c8d5h5d2d 
Tc6s5h5d3h 9s8s5s4d2c Jd9h5d4s2d Qd7c6s4h3c 
Ad8s6h6c2h QcTs8s3s3d Kd7c6c5s2h 9d8c3d3c2h 
AdJc5h3s2c Jd8c7h7d3d Jh8d6c4h2s Ad9s6h4d2d 
Jc9h6d4s3d Qc8c6d6c2h KsQh3d2h2c As8d7h6c2d 
Ah8d3c2s2h Kd8s6c4d2d Qd6s4s4c2c KcQh9c4d4c 
AdTd3c2h2d JhJd5h3c2h Qc5h4s3s2h 8h7c5c2d2c 
8c5d4d3d2c Ts8c7d3h3c Jh7h6c5s2d Th9h8h4s3h 
Ts7d5d3s2d Jd9h6c5h2h Js8h6c4h3d 7h7d3h2h2d 
AcTc3d2s2c JdTh3d2s2c KcQh7d4c2c Qh6c5c4s4c 
Kh9s3s2s2h Ah8h5c3d2h JdTd7s2h2c Th9h7h4s2d 
Ts8d7c4h2d Ts8d7h4c2d Kh9s8d5c3d 9c7d5s5d2h 
8c7d6c2h2c QsQd6h3h2c KdQd7d4d3c Ad5d3c2s2d 
Kc9s5h4s3d QdJd9d3s3d Qh9d5h3c2s Js6d5s5h2c 
KcTh8h4d2h Td8d7d4s3d Ah8c5s3c2s KdQh8s4h2c 
KdTs4h4c3s QhJh4s3h2c AdQs7c6c2h Qd9h9d7s2d 
Kd4s4c3s3h Ts5h4h2s2d KsQc3h2d2c KsQs3h3c2s 
KdQd9c3s3d Qd9h5h4h3s Jc8d5s4s2s Jh9s8h4c3h 
Qs4d3d2s2c Td8d7s2h2c Jc9c8c4s2h Jh7c4h4c2c 
Jd7d6h5c2s Td8c6h2s2d Ts7s6s3c2c Qc8s7h6d3h 
KsQh7c6d2c 5d4d4c2s2h Tc8h4s3s2h Qs8c7s5s3s 
AhQh7c4h2h Jd9d5d5c2s 9h7c4s2s2h Jc6s6c2s2c 
Qc7h5c4d2s Ad6h5h4s2c Ks9c5h3d2s Tc8h5h4h2s 
9c8c5s4h3c Td6h4d2s2h Kd9h8c2s2d KhJd7d4c2s 
Ah5s5c3h2h Ad9s7h4s3c 6s6d5d3h2d As6h5h3d3c 
KsTh7d3d3c Kc8c4s3h2s 7s6c3s3d2c JdTs7c2h2d 
9c8d7h3s3c QcTd7h6h2h Jc9c8c7c4c AsQc5h3h2d 
KdJh9h4h4c 5s4h3s3h2c JhTd6s6h2h QcJc7c4d3c 
KdQh7c6s2c QsJs3s3d2h AcJh6d4s2h Ad9s3h2d2c 
JhTd6h2s2c Jd8h5d3d3c Jd9s9h6d2d 5c4c3s3d2d 
Ac9c7c6c2s Td7c5h5c3c KdTs8h4h3h QdJd9s7d2d 
9d8s6h6c2s Jc9c5s3h2d Ad9c3s2h2d AdJh6c5c2c 
Ks9d8d5d4d Qh7s7h2s2c KsJd4d4c2h Kd9s9c3c2s 
ThTd6h2s2h KsQh4h3d2h Jh8h7d3d2d KhJs6h3c2d 
KsJc8s4h2s QcJd6s6d2d QhTc7h4h2s Kd9d7d4s4h 
Qd7c6s4c3h As9d7h5d2c 9h9c8d4c3c Kh9h8d5h2h 
8d6c3s3c2d Qc7s4s4h2c Td8d3s3c2c Kh9c8s5d2c 
Kd8d3h3c2c Jh8d7d6s2c Ts9s5h4d2s Ks9h8s6s2s 
Ah9c7s4d3s Kh6s5c4d2s Kc4d3c2d2c Ad9d7h3d2c 
Kd9c8c5c3s Qd8h7d4s3c As8c6h5h2h Kh4h3s3h2s 
Kc8h6d5d2d TsTd7h6h2h Ac5c4c2s2d 7s6d4h4d3d 
9h6c3h3c2d Jh8s6h6c3h Jd8c6h6d3d Td7c6h5s2d 
Ah6h4c3d2h Ad8d6s6d3d Kd8s6s4h4c TsTh5h4d2h 
QdTh7d4d2s Qh7s7c2s2h Js8c7h7c2d Ac9c7d3c2s 
9s5s5c2h2d KhQh6d3c2h Kc8h7d5d3d QcJc4h2s2c 
Tc9d8s3s2h Ks6c5h4d2c 9c7s7d6h2s JdTh6d4d2d 
KdJs4d3h2d KdQsQhQd2h 8s8c7s6s2s KcJh7d4h2s 
Ad9c6h4d2d Jd6c4c2s2d Th9c7c4s2d Ts8s5s4s2d 
Jc8d5d4s2h Kd9c7d4h2s Jh8h8d6c3h Ts7h5c2h2c 
Qh8h7h5h3d Qc9d8d4s3h Ks7s7h3s3d Jh5s4s2s2h 
9c8s5c4c2d QsQc4h3h2h KsJc7d4c2h QsJc7h5c2c 
Tc9s7c6c2c KcQd8h5h2h Qc9c3s3h2s Qh7c5h4s2d 
KcTd6h4h2h Qc9c8s8c3c Jh6h5d4c2h Jd9d5c3s2h 
Qc8s5h4s3d Qs8h7d4d2h As8d8c6h3h Js7c5c3h2h 
Tc7h5s3s3d KsTd8h3d3c Qc8c6s4c2h Ks8s7c4h3s 
Tc8h7h3h2c 9s6d4d3s2d As6c5h3h3d Qc4s4h3h3d 
Qc9d9c7s2c AcTd7h4d2d QsJd7h6d2c AdJsJhJd9c 
8c7d6d3c2d Jh6h6d3d2c KsJc7h3s2d Jc8h7h7d2s 
8d7d6d2s2c QsJd6s6h2s Th7d6c5c2s Td9h6c3c2s 
AcTd6s5h2h Js7d7c4d2c Kc4c3d3c2d Ks4s4c2s2d 
KsJs8d2h2c Jc6h5c4d2s Jh8s5d5c2h 9c5h4h4c2c 
Th8c5s4h2h 9h6c4c3h2h As9s7s6h2s 9s9c7d4c2h 
Jd8d7h5d2d Kh9d3c2h2c JsTs4s2d2c Th8d5s4h2h 
Jc5h4s3h2s Jh8s4d3h2s AsTdTc3h2h 6h6d5d3s2d 
Qd7s6h4h3c QdTc7h7c2s Jc6s5c4h2d Jh8s8d4s3s 
8d7h6d2s2d Qh8h5h4c2s Js8h8c4s3d QhJh6s3c2d 
KhQc6d3s2c QdTs7s7c2h Jc6c4d3s2s Tc6c5c4c3s 
Jc9c4c3s2s 6d6c5d3s2d Js8s8d6c3s Ac6d5d3s3h 
Tc7h6s3c2h Qd9s7s5h2c Td7d4c2h2c Ac6c4d2h2c 
Ac9c7h3c2s Jh7s4s4h2s KcJs9c4c2c AcQs9c4c2c 
KdQd7s4h2d Ah8c7d6s2c JcTc5s3c2c Qc9s5s4s3h 
Ac8c6c4c2h Ts8h6c2s2d Kh8s8d4h3c Th9c5h4h2d 
Jh9d8h4h2c AcQd5h3h2s Td7s6c3d2s KsQs9s2d2c 
Ks9d3c2s2c Qd9s7d5d2c Qs8h7c3h3c Td8c3c2h2d 
Td6d4s2s2h KdJh4s4d2d Ac9d6d4s2s Qd6d6c5d2h 
Ah7h3d2s2c 9s8h8c4d3d Qc6s4c3c2s JhTc4c3c2s 
Kh9h4d3d2d KsQh8d7d3c Qs7d6d3c2s AhQd4d3c2d 
KdQc8c4s4h 7d5s3d3c2s 6d5s5h4d2c KdQh7c4d2d 
Js9s5d5c2s Ts7h6d5c2s 8h7d5s5h2h 8d8c7h4c2c 
9s8h7c3s3d Kc9d8d7s3d KhTc7c3s3c AhQd9d3d2s 
Ks7d6c2d2c Jc9d5h4s2s Jc6s5h5d3d 9h6h6d5s2h 
KcJh9d4s2d Qh9s9d5s2s Js8d5h5c2s Ts9c8h3h2d 
Jh8h5h5c2s Qd8s8c5c3c AsQh7d6d2c Js7d6h2s2d 
AhQs9s3s2c QhJh9s4h2h Jh7h7c4h3s Tc8s4d3s2d 
Jh8c5c4c3d 9s8s5h4s2d Ad9d6d4h2c Kc8c6c5c2d 
Qs6s5s4h2d KhJd6d4d3d 9c8d6s6h2d Th6d4h2s2d 
Qc9d8c4s4h Jh7h6c5d2s 9d8c5s4h2c Ad9d5d3h3d 
Ah9h6h4c2s QdJh3d2s2c Tc7c4s2s2h AcKh8h3h2s 
Ad6d4d4c3d QcTd7d5d2s KhJh9c4h2h KhQd8d4c2s 
Jd9c5d4s2d KsQhQdQcTd Jd8s5d4d3d Th9c7s4h2h 
Qd5d3c2s2c Th9d6s4d2d Ah9h5c3s2h 6c5h4h4d3h 
Jh7d5d3h2h Kh8s6d2h2c QsJc6h6c2c KhQd7s4h2h 
Th8c5s4c2c KcQc8c4d3h Jd9s5d3c2h Qc9s9d5s2s 
Ad9s8d4d3d 8c7c5s2h2c AdKc8c3s2c Jd7d5d4d4c 
JhJd5h3s2h 6h5d4d4c2s Qc9d9c7h2c KdQc8s7c2c 
9c7d7c4c3c Jh9c5s5h2h Td9d8h3c2d QdJc6s2h2d 
7d6c4d3d2c Ac8d3h2s2c Ah9c8c3s3d 6h5c4s4d2s 
KsJd9d4h4d AdJc6s4h2c Qc8c5c4s4c Ad9d5d3d3c 
7h6c3h3d2c Ks9h8d3s3c Th9c8s4c2c Jh7s7c4s2c 
Td8s7d2h2c Ts7d6d3h3c Td6d5c3s3h Td5h4h3d2d 
JhTd3h2s2c 9h8d6d2d2c Qs9d7d3s2s KdQd7c4d2h 
Jd9h5d5c2d QhTh7d4s2h KdJs4d3d2h Tc8s8h4s2s 
Tc8c3d2h2d Qs7h5s4d2c QhTd8d3s3d 8c7s6c2h2d 
TsTh6h5h2h Ac8c6d6c3c Ad8h6h5h2c Qc8d7c4h3s 
AsQh3d3c2h ThTd6h4s2h As9s7d3s2h Ts7h6h3d3c 
KhJs9d6d2d Ts8s6h6d2s JsTh4c3s2s 6s5d4s3s2c 
JhTh4h2s2d Js8c5h5d3d Qd8s7s5h2c KsJc6c4c2d 
Td8c4h3c2h Tc6c4h2h2d Qc7s7d2s2c 9c8h5h4d3h 
Kc9d8s5s3s Qh5s5c3s2c Qc9s6s5s2d Qd8s7c6h3h 
Tc8h7h4s2d 8s7h6s2s2d Js8h5h4d2c Jh8h4s3c2c 
Kh9c6s2s2c 9c7c5d4h2s Th6s5d5c3c Js9h8s4s2c 
Kd9s5h4c3s Kh8s5c4d4c Jd6s5d4h2c Kd7c6s5s2h 
Kc9d8c4s4h AdTs6c5s2s KhQhQdQc2c As9c6h6c3c 
Jc9s8c4c3h Kd9c7c4h3s 9s8h5c4s2s Qd8d6s4d2c 
9s8s4h3c2c Td8d8c4d2d 9s9d8c4c3c Tc6s5c3c2s 
Qh5d5c2s2h AhQc7d6s2s Qs7d6c4h3d Qs8h4d3h2s 
Ks8d7d3s2s AsQs8s2s2h Jc8s6h6c3c Jc6s5s4h4d 
Kh8h3d3c2d Js9h7d5d2d Ac9s7h7d2d KsQc8c4d2h 
AhQh7h3c2d KhQd8s7s2c Js8c7c5c3c Kd9h9c7h2s 
Td8d4s3s2s Kc7s7d6s3s 9h7c4s4h2c Ah9c6h4d2h 
8d6d5h3c2s Ks5s5h4s2d QsTh6h6c2h 7d5c3d2s2c 
9c7c6s5c2c Kc9d8h7h2h KcQh6h3s2d KdTc8h3s3c 
Jc6h4c3d2h Qs7c5s4d2h Qc7h6c5c2d 7d5h4h3s3h 
Jc8s8d6d2h Jc7h6d2h2c KhQs8d7d2c 7h5c3h2s2c 
Jh8s7c3h2s AcQh5h2h2d 7s7d5d3d2h Jh8c7h7d3h 
KdJh7s3d2c Kh7c6s6d3c Qh9d7h5s2h Td7s5d5c3d 
QhTh7c4d2h 9s8h5d2h2c AhTc7c4s2c QhJh6h6d2s 
KdJc5c3s2c Jh8h7s5h2h KsJs8s6s2c KcJc8s8h3c 
JcTs7d2h2c Kh9c7d4h2s Js5d4s2s2d Jc7h6s6h3d 
7s7h5s3s2c As8s6s6d3s Kh9s6d5d2c 7c6d6c5c2c 
Js8s6s4s4d Jh7c4h4d2c Ts8s7c4s3s Qc6d6c5c2s 
KhJc4d3h2h 7s7c3c2s2c Ac6c5c4d2c QhJh4h3s2c 
TdTc6s5s2s KcThTc3c2c QcJc7c4h3c Kh8s7s5s3d 
Jd9c8s4c3c AsTd7d4h2d AdTsTdTc6c Ts9d7h3s2c 
KdJh4d3d2s Kd9c6s5h2h AsJc5d4h2d Ah9c6s6c3c 
QcTd7s3h3d Qh9d6s3c2h Ac8h7h4d3h AdQh9h3h2s 
Jd5h4h2h2d As9c6h4s2s Qc9c3h3d2h Jc8s7s7h2d 
QdTc7h5h2s Kd5d4d3s2h AdQc5h3h2s Qs5c3s3c2c 
Kh9d6s4s4c QhJs9s3s2d 9s5h3s3h2d Jh8s6d4c3c 
9s7h4s2h2c Ks8h8c6d3d JsJd9h3h2h Jd7h6s2h2d 
TdTc7h5s2h AsAhAdAc6s Jh7c6d4d3s JsJh3d3c2d 
Ks6h6d5d2c AcQc7c3h2s Ad8s3h2d2c JcTd6d3s2h 
Jd9d5h5d2s Th7c5d2d2c Ts8s3c2h2c 6s5d4s2h2c 
Qs9h8d2s2c Js7s6s6c3d QdJh7d6d2s KsTh7d7c2h 
Qs9s6c5s2s KhJs8d8c3s AcJsJhJc6s Jd8c5c4c3s 
AhTd7s4c2c Kh6h5h3c2d 9c8h6s4h3h KcJh7h6s2h 
Ks6s5s4d2s Jc9s5c4d2c Jc8h8c6d3c KhTh8d2h2c 
QcJs8h4d2d JdTh4s3d2d Ks6h6d5h2c Kd8d7d7c2h 
Qc7c6h5c2s Qs7c5s5d3s QcTc7c6c2h KhQh6c3h2d 
KdQc7h6s2h KcJd4c3c2h Jd7c5s4h2d Qs9s6h5s2s 
Kh8c6d5c2c Tc7s7c4d2h TdTc3s3d2h Qd9s7s4h2h 
Qs4d4c3h3d Jd9s5h3d2c Kc8h8c4d2s AhQs4c3s2s 
8s8h6s3d2c Qc7d5h5c3c Ks9d6h5c2d 6c5s4s4h3s 
KcJd9s4h2s Js6s4d3c2c Jh7c6h6d3h Qs7d7c5c3c 
Kc9s9c8c4c Ad9d6d4c2s 8s7s5c2s2d KhJs6s4s2c 
AcJc7c4h2c QsJs6d3h2c Kh6h4d4c3h Qs5h4c3c2h 
KcJc8c4c3d JhTc8h3h2h QsQc6d3d2h Qd9d8s3h3c 
Ac8h6s6d3s Jd9d5c3h2s 8c7s5s2s2d Qs8h7s4d3c 
KsTh4h4c3h Kc7h6h4h3h Qs6d6c3h3c Js6s5d4c2s 
As8d5h5c3c Jd9h8d4d2s Tc7s6c5c2h 9h8s4d3h2s 
QcJh7s5h2h AcQh6s3s3d 9d5d4h2h2c Ks6h6d3c2s 
Ts7d5h3d2h 9h8s6d2s2c KdQs8c7c3h Qc8s4s2s2c 
9c8h7c4d3c 8s8h8c6h6c KsJh5h4h2h JdJc6h4d2d 
Ts5d4h3s2d 7d6s5d3c2h Tc6d5c3d2c 7h6s6d4c2h 
8d7s5d4d2d Ts9s8d3h2s Jc8d5d4d3s Qs7s5c3h3d 
9h8h3d3c2d Jd5c4c3d2c Th6c4s3c2s KdQd7c4s2d 
AhKc7c3s2c Qc9d7c6s2c Qc8h4s3h2c Jd9d6d5s2d 
Qd7s7c2s2d QhTd3c2s2h KcQc8c4s3h AdTs6s5s2h 
Jd8s5h5d3d 9h9d5s3h2h Qs9s3d3c2c Qh5s5h4d2c 
Kc7s7c3h3c KdQh8c4h2s AdQc4c3h2c Js8d4c3s2d 
Ts7c5d5c3c Qh5c4d3s2h Kc6c5c4s2c Ac9h7s5h2d 
Th7h4c2s2c 9s8s7d4c2h KhJc7s4c2d AhQs7d6d2c 
Js9d9c4c2h Kc6c4d4c3h AhTc7s4d2d As9h8s4s3s 
Qh9d7d5s2c Jd6s6d5d4d KhTd4s4c3c AsQd9h4d2d 
KhTs4s3s3d Jd8s6d6c3d QsJs7c4h2d Kh9s5d4c3s 
AsJsJhJc6c Ah9d6c4d2c 9s8h6s4d2s Kc8d6s5s2s 
Kh7d6c5c2s KdQd6h3d2s Ac9d6s2s2d QdJs8h2s2c 
Qh9c8d8c2c Kc9d8h5d2d Kd9s7h4s2h Tc7s7h4d3d 
Js9s6s5h2s JdTs8c3c2c 6h5s5d4h2c JcTs6d3c2h 
Js9h7h4h4c Js8s7h7d2s QhJc6s6c2c Jh8h6h6d3s 
9h8h6d4s2h Jh9s8s7s2s 7h6s4h4c3h KdQc6d2s2h 
KcQs7h6d2h Jh9s5h3c2d Js8h4d3h2s JsJhJd9d7s 
Qc7d6s4s3h Jd9h7s6c2c Kc9s8h3d3c 6d4h3s3d2h 
Ad9h4d2s2c 7h6c5d2s2d KsQc9c8c2c Qc9d6s3h2c 
Kc4h4d3s3d 9d8h6c4h3h Jc9c6c4s3c Qd9h6s3c2d 
AsJd6h4c2d KsTc4h4d3c Jc8s5h5c3c 9c8d6c4s2c 
KsQh6d4d2d Ah6h4h4c3h KcTc3h2s2d 6h4c3h3d2c 
JhTs6c3h2d KdQd4d2s2c Qs8h5c4d3d JhTh6c4h2h 
Kc5c4c3h2d Qh8s4c3s2h 7s7c4h4d2d KsQd8c4s3s 
JdTc6c3s2h Kd8c6d4h2d Tc8h6s6d2d Qh9h8s2d2c 
Qh8c7s3s3c 8c7d5d2h2d Jd9s6c5s2s Js8h8d4s3c 
Jc8s8h4s3s Jh7h6s6c3h Ts7d5h3h3c Qc7h7d2h2c 
Js7d6d4h4c Tc9h7d3c2s Ac7s6h5d2d Kh8c5d2d2c 
Kc8d6c4s2c KhTd9d3d2c Qd7c6c4h3s KsQd7s5s2s 
AcJd7d6d2h QhJc7s5d2s Js8s7h3h2h 5d4c3d3c2h 
Kh8h5s4h2d Ts5s4s3h2h Jd7s7c6h3h Qc7s6h4h3d 
9c8s6d2s2h 8h5d3h3d2c KhJd8s6c2s AcJh5s4d2s 
5s4s3c2h2c QdJh4d3c2d Ac9s6d4d2s Kd7s5s5h3s 
JhTd6d3c2s Ad8h6s5s2s Jh7s4s4d2h JsTs7c4s2s 
Jd5h4h3d2h Jd9h7h4h4c 9c7c6s4d2h KdQd8d4c3s 
Js7d5s3s3c Jc7s6s6h3d QsJs9c7s2s 9s6s6d4c3s 
KcQd6h3s2d Jh8c7c5c3c Jh8d6h6c3h 9s5c4d3c2d 
4c3d3c2h2d Ks8c7h3s3d Js8h8c6h2h 9h7d4d3s2h 
QhJd6c2s2h QcJs4c3d2c AsJh5c3d2h Ac8s7h6s2s 
Ks9s7s4h4d Jh9d8d7d2d Jc8s5h5d3h Tc6d5s5h3c 
Jc9s6d5s2s Kc7s5d5c2c QdJs8s4s3s 7c6d5d3s2h 
9h6s6c5s2s Jc9s7s4s4h 6s5h5c4d2d 8h8c4c2s2d 
KcJs9s4h2s Ks6h5s2s2d Jc9h5s5d2c 7h5s3c2s2h 
AdJc9s6h2h Ac8c6c5c3c As9d7h7c2c Ks7c5d4d3d 
KhQd8c7c2s Th8d6c2s2d 8c7c5h2d2c Kc9s7c4h2d 
Qh7c6h3c2c Kh8d6c4h2h 6s6c5c3d2c KcQs7h4c2c 
Jc9h3h2h2c Js7h5h3h2s KhQc6h2s2d QdJs7c5s2s 
9h8s5h4h2d KsTh6h5h2h Jd8h8c4h3h Ts6h5h5d3h 
Kd8s8d4h2c Qs7d6s5s2h Qh6h5h4s2c QdTh7c5c2s 
9c5c4s2s2d 9h7d7c2s2c Ah6d5d3s3c Ks6s4s4d3c 
Qh8h7h5h3c QcJs7d5s2s Th7h7d6c2h Ts8c7c3s2s 
Jh8d8c4h3s Jc9d7c3h3c Jh7s4h4d2s Jh9h9c4h2s 
Qs9h8d8c3h QcTh8s2s2d Jh7s4s2h2d Qd9d7h3s3c 
QsTs7h3s3d KsTh6c4c2c AdJs6h5h2h AhKh6h3d2h 
KdTd8s3h3d 9c6h6c5s2c Kc6c4h4c3d KsTh9h3h2c 
6s5s5h4s2c 8d5h4h3h2d 5c4d3h2h2c JsJc6h4c2c 
9h9c5d3c2c AdQh9c4h2h 8s8d7h4h2c Jh6s5h4h2c 
Jc7s7d4h3c AcQc7c3h2d Kc6c5s3d2c Qc7s7c4s2c 
9h8c5s2s2d Ah6c5c4s2d JhJd3s3c2s Ad6s5s4s3c 
Ah8h8d3c2h Qh8c7s5d3c 7d5h4s4d2c KcQd7s4c2c 
KdTs7h4c2c Qh8h5h5d2c AhKc8c3c2s KcQc5c3d2c 
Ks9h5d3h2d KhJh4c3s2h KcQc6c5c2c 9s8d7h4h3c 
Qd6h6c5s3s 8h8d4h2s2c Qs5s3c2d2c Jc9c5s5c2d 
Jd7s7h4h2s 7c5s3c2s2h KdJh8c6s2s 6s6d5c3d2d 
Kd7c6c4h4c AsQd9d3d2c AsQc7d3s2s Ks5c4s4d2s 
Js8d5s4s3s 6d5s4d3c2d 7h6d5d3c2s Ks7s5s4d2c 
Js9c3c2s2c KsJc7s3s3d AdQd7d2s2h Jc9h5c4d2c 
Qs9c8d4s2h Ks8c6s4s2d AsJsJhJd6h Kh9s8c7c2c 
9s8h7h2h2c AhTh8h3d2h Kh6d6c3s3d AdTc7h6h2h 
Js5h4h3s2h Kh7s7c4h3h Jh9h8s3h3d QdJd3d3c2h 
JcTh3s3d2h Ks9h6c5d2d Qs9s8s8d4s JhTs6h2d2c 
KcQc7c4c3h TsTh6s2s2d Td9d7c4h2s Qs8d7s4h3c 
8h7h7c4d2h Jc9c6c4d3c 7s5h3d2s2h Ah8d7s4s3c 
KsJh4c3d3c Tc9h5s4h2d Kh6h5d3c2h Ks9d5h5c2s 
9d8s3s3d2h Qc7s7d4h3c Ks8c6d4h4c AsTs3d2s2h 
Jd8s7h7d3d Qs8s5s5c2h Jc6c5d4s2c Ts9h4h3d3c 
