AsKdQc9c3h 
AdJhTh9s2h Qc9s7h5s4c KsJsJh8s2h Jh9s8s6h4c 
AsQhQc9c2d QsQd9d5h5d Ac7d6h5d4h AhKsTs5s5c 
KcTh7c6c4s QsJcTs7d5s KsTh8c7s4d Ks7s5d4c3c 
TdTc9c7s3s QhTh9s7d5c QsQd5s3h3c KdQs9h6s3h 
KhQd9s7h5c QhQdTc8s2d KdJhTs6s2h AsQdQc7h3c 
KsKcQc5c2c AdJc8h7c4s JcThTd7d2c KcQs6h5s4d 
AcJhTd8d3s AsTs4d3d3c 9c7c6h5h3h JcTh8h7s7h 
QdTdTc9s2h AcTs8d7h5h Qs8d7s5c4c AcTsTh9s6d 
AsQd5h4d3h QdQcJd7c2d AhKs6c5s3d AhJd9d5c3c 
8d8c7c5d3s KhQs9d6d3s AhJsJd6s5s KcQd4d3d3c 
7s6s6d5c4d AsJc9c5d3d Th9h8s5s4d Ah7d6s5s4d 
QhTd8d7h2s KdQh9d7c5s KdTc9h7d5d QhJd9c7h6h 
AcKd6h5c3c Kh9h7c6c4h KdTd7c6d5s AsTsTd3s3c 
JcTh9h8d6h Ks8h7s7h5s QhQc9d6d5d KdQh9c6c3h 
AcKd8d5s5h JsJd6h5h3d Th9s9c8d7d KsQcTd6h5h 
8s8d6d6c3s QsTs8c7d5h KcJd6c5s4h Js9h7h5h4s 
AhQsTs7s7d Ad9h8s7d3c JsJd7s6d3d KsTc9d7h7d 
Ks9s8c7d6s AhQc8s7s2c QhTs8h8d6h Js9s8d5h3h 
8s8c7s5s5c KdQdTs7h2h AhJh7c4d2c KhJsTc6d3h 
9s8s7d5h4h AdKh7s6c5c QdQcTh8c3s JdTs8d7s2s 
9h9c8d8c7c JhJc9h6c2d JcTh8c7c5d Qd9h6d5c3c 
Ah9h8c4d3d AdJc6s5h3d AsQd9h3s2h AsJc8c7h4d 
KsQcJh6s4s QhQdJc5h2s AhKd7h7c4h KdQsJd9c5d 
Th9h8s6s3c KhTh7s6h5d KcTd9s7h4c Td9c8h8d5c 
QsJsJh9d6s KhJdTs2s2d KdTd8h7c3h AcKc9s2s2d 
Jd9d8c5c3h Kh9h9d5s4s QdTsTd7s2c KcQdQc6s2h 
Th9h9d7s7h Td9s8h8d5s Jd8c6s6d5s Kc9d8h7d5h 
JsJcTh7h4d 8c7c6d5d3s AcKc9d2s2d QcJsTd9h2s 
Jc8h7h5s4s As9h8h6s3s QdTs8s6h5c KcTd7c4d4c 
QhTd6h5c4s AcKsQh7h7d AcKs6d2d2c AdJc8d7d6d 
KdQd8c6c3h Qh9d6h5c3c KcQsTh6h4d Qs9s9d6c5h 
KdJd9s5s5h Ad9s8s3d2c AhTs9s7s6d QsJs9s6c4c 
QhQcJc7h2c QsTh9c5h2s AdTh8c7c5s KhQs9s8s2h 
KcQh9c7d5s Kh8d7s7d4h Js7d6h5h4s KhJd9s5c4h 
JsTc7h4s4h KhQcTs6d4s AcJh9c7d4c KdQcTs6h5h 
QdJsJhTc3c KdTsTc8h6c AcQh6d5d3h JhJcTh6h2c 
AhQh6c4s3d AcQs9c8c6c Qd9s7h5s4d Ts9h8d5h4s 
8h7s7c5c4h AcKc8s5h5c AsJs8h4s3h Jh7h7d6s5d 
QsQhJd7s2d KcJs8s8d5d Ah8d7s5d4s JhJdTh6h5s 
Ad9d7d7c6s AsAdAc4s3s JhJd6s5s3d AdQsTh7c3s 
AhJs7d6c3h JsTc8c5d4h KhQhJh4c2c QcTsTh9h6h 
AdQdTd7c4d AcQc8h5s2d 9h8s7c6d5c KdTs9s5h4h 
Tc8h7s7c5h AcQhJs8d4d AdJh4d4c2c AsJs9h5d3s 
JdTs7h4h4d KdJsTd8c4d QsJh9d5h5d QsJc6c4s3c 
Ts9d8s8d2c KdJsJh9s6c Kd9c8c5s4d Ad9c8s7d3h 
KhJsTc9d2s Ac9d8s8c6c As9d6d4h3s AdKcJh9c2c 
KcJd9h5s4c KhQcJs9c5d Kd8d7c6d4c 9s9c7c6s3s 
Ad8d7c6d3c KsKc7h6h3d Jc9s7s5h3c KsTs7d6s5c 
AdJd7c4h2h Ts9s9h7s7d KhTc7h5d4s QhTc8d6d3c 
KsTs8h5d3h AsKd8d3s2s KhTh9d4c2c Qh8d7c6h5s 
Qh9h9c5c4c AcQsTh6s4s As9s8s8c5d As8h6s6c4d 
KcJcTh8c4d JcTc8h5d4s Ah9h8s2s2d KsTc8h7s4d 
Qd8s7s7d5h AcQs5s4h3h AcJc9s7h2d AhJh7d5h5c 
AhQs8s7s5d Ad7s7d6d5h AsJhTs4s2d JsJdTd6d5c 
Qd9h9c8h5c QhQdJh9c4s KhQsTd6c4d JhTh8s4c3c 
AsJc9c8d6h QdQcTs6c3c AhQc8d2h2d Ts9c7d5s4c 
JsTd7s4h3h 9d8c6d5c4d KsTs9h5s3h Qc8h7h6h4c 
Ts9d8s6d3h AsKd9s9c3h KsJc7d6h4s KsJh9d7c6c 
Ac9d8c7s2h KcJsJc8c2s 9h8h8c6c4c QsQc8d7d6d 
KdQsTs5c2c AsJh9h8d2d KsQsJs6d4c AsQdTc9d2d 
AhKsQc6d3c JcTd7s6h6c Tc9s8c5d4d QhQc6c5d3s 
KdJd7s6s3s QcJc9c5h3h KhJd7s6c4h KcJsJd8c4h 
AcQhTd7s4d 9s9h7s6h3h KhKcJs7s3s KsKc3s3d2s 
AsTdTc9s3s KhTsTh7s2s AdKd9c4s2s Jh9h6s5s4d 
AhQd7c4s4h JhJd9s2s2h KsJd6s5c4h QsThTd9d6d 
AhJs9s8d5s AsTh9s5s4c AdQc8s7s5h Ts8h7d5h4d 
QcJsTc7h5c QdTd5h4c3c KhTs9c6h6d JsJc4c3s3d 
AcQh7c5d5c AhQd6s6c4h AsKsKdKcTh AcKdJh8s4s 
KhTdTc3c2h AsQd9d8c2c AdTs9c5s5c AdQdJd8d7d 
KdQcJs9c5h 8d7s6h5d3s AhQsJs4d4c AdQh9h8h5c 
KsKd9d3d3c KcQhQd9s2c AdQs8c7c5h AsQcJh7d2s 
AcTdTc9s2c KcJd5d4c3c AcQsJc5h2c QsQc6s6d4s 
KdJd9s4h3h 8s8h7s7c2h KcTs8d7c4h AcQc4s3h2s 
KhJc9s5d4h JsJhTs5s5d QdTs8h6h3s Ah9c7d6h5h 
AsQh7d4s4c Ac9s8h7c3d QsTd9d3s2h AsTd6d6c5c 
TsTc9s8h3h AdKd7d5s4d QsQh6h6d4h 8d7d6h5h3c 
KsKhJs3s2c KsKc9c6c4c Qc9c8h5d4h QsQdJc4d3d 
JhTc9c8s6c KsQsTs7h5d AsAhAcJs2s AdJs4c3d2s 
KdTd7h6d3h KhJcTs8c5d Jh9d8h7d2s 9s9c7h6h3c 
Jh9h8s5c3c QhTh9d7d2s KhQc9c6d3d AcTd9h7s5d 
KdTdTc7c2d Jc9h6c5s4s AdQsJd7d3c KhQsJh7c5h 
QcTsTc9h2d QhTh7s5c3c AsQsTsTh3s AdKsQd3h2d 
JcTs9c7d3h AhQhTh7h4c QcJhTd7d2c Th8s7h7d5s 
KhKdJh3h2s QcTs9d5s2c Ac9c8s8c5d Qs9s9h7h4c 
AhQdJc7h2s Td8s6s6c4d KsTs7c5s5c 8h7s7c5s4h 
KcJd9h7h3d Ac9d7s6h3c JdTs7d4c3c JdTh7s5c4d 
AhQc8c7c5d As7h7c5h4c AcQsQd7h3s Ad9h5h5d2c 
JhJc8h7h5d QdTd9c8d6d KcJc9c7d5h KcQcTs7h2h 
AcTd9c4c2d KcJsTh6h2s QhTc7d6s6h ThTc9d8d2c 
Qd8h7d5c4c JhTc8s4s4h 8s8h7h7d2s JsJd8d6h5d 
AhKh9d2d2c JhTs8d6s5c AdTs9s7s6c Qd9d8c5h4c 
JcTh8c7s3s JhJc7d7c3d KcQh9s7h2c KdTh8s7d4c 
QhQd6s6d4d KsJc5c3s3c Ac5s4h3h3c QdJh9d8h4d 
QdJdTd5d4s JhTc7s5d4h AhJd9s8h4h 8c7c6h5h3d 
AdQsTh6c5c AsKd8h7h6h AhJdTh6h3s AhQsTd9s2s 
Ad8s6s4d2h KsJsJh9d3c JhTc7h5c3h Jd9s8s6c4d 
AcJc7d4h2h Jc8d6d5d4c AdJhTh6s5h Ah8h7c5d3s 
JhTs7h7d3s KcQd9h8h3c AhTc9h5h4s AcKhQs6s3d 
Kd8h7h7c4d KhTc8c4h3s 8h8d7d7c6s QhTh7d6h3d 
JcTs8d6d5h AsKh6c5s3s QhTh8d7s5c AdJs9s8c2c 
QdJdTh8c5d JcTd8d7c3d JdTc9s7d2s AsTc7c2s2c 
Ad5s4d4c3s KsQhQc9d4s Kc8d7d7c4d AhKsTd7c2s 
KsQsTh7d2d AdTd8c3d3c QhJc9c6d2h Qd9h7s6d4s 
AsJs9h5c3s AdTsTh7s6s AcJs8s7d4h QsTd9d7s2c 
AdJc7s6h3d AsKs7h7c3d 8h8c7d7c3h AcQs9d8d5h 
AsQc9c8d8c KsTc9d8c3d QhJdJc7c5s KsJc8c7s2d 
Js8d6h6d5s Kc8c7d6c4d Qh9d7s7d5h KsJcTd7h4d 
KsQdTd5d4c AdQc9s3d2s QcTd7h6s6c AcKhTd9s2d 
AsJh9s4s2h KsTh8d6s6c AsJd7h6c3s JhTs9d7h4c 
KcQsJd9s5h JsJd8s6h5s KcQd9c7d2h JsThTd3h2s 
AsKcQd8c4c KdQsQh9d5d Jd8h6h5h4d JdTs8h5h2d 
AdQhJh5h3c Qs8d6c5s5c QsQcJh6d3s QsQd7s5d2d 
JhJd9h7c2d JhTh7c6d4s AsJh7s7c3d QsQhJc4d3c 
Kh9d8c7c3h Qc9d8c6s4d QhJd9d6c5s JhTc8s4c3h 
Kd9h8s7s3d KdQd6d5h4c KhTsTc9c6c QsJdTc4s3h 
AhQdTc6d4d Ts9s8h6h3d KcThTd8c6c AdJh9c5s2d 
AcQhQd9h2s QdTsTh6h5c Ks9h8c5c4s AsQsJc7d3s 
9h8c7s7h5s QcJcTs9c4d AsJc9d8h6c JcTs8s8h3c 
QhTc6h6d3d AsKh9s9c3d QdJs9h7d3h AsQhJd4c3h 
KcJh9s7h3s Tc9c8s8h5h AdJd5s4c3h QsTs8h7c5d 
9h7s6c5h5c AdTc6s6h4d KhTd7h4h4d AdQh6d6c2c 
KhTs9d6h6c KhJhJd8h2d KcJs9s7d4d AdTd4c3s3c 
Kc9s8h7h3c 8h7h6d5d3c 9c8d7d5c4h Qd7s7d5s5h 
JsJh9s6s5c QdJhTd4s3c JhJd7s7h6h AdKsJc6c4h 
Qd9h7s7h5d KsJsJd6h2h QdQc9c5s5h QdTs7d5c3c 
AhKc7d6s5s ThTd8h6d3s QcJh9h9c2c Tc8s7d5s4d 
KsQhQc9d2s Kc7s6s4c3h KdTc5h3d3c Js9h8s7c5d 
AcQc9d6d2c AcQd6c4s4h QcJs8s6c2h KsKd7c5c3h 
AsQhJh5d5c JsJc6h5h3s TsTh8s6h3d AcJh5c4s4d 
9c8h7h5c4d KhQc9d8d2h JhTc8d4c3h JdTs9d7c3h 
AhQh9s6s2h Ts9s9h5h3c JsJh8h7h5c Ad7d5d5c3c 
QhQdJs9c3h Kc8h7d6c3d Ah5s4h4c3s QhJcTs8d5s 
JdJc9h6d5s KdKc3s3c2c Ah8c7s2s2h KcJcTh8c4s 
AcQd6s5d3s AsAhAc3d2s Td8s8h7d4s KsJdJc8h6d 
AdQc8h2h2d KdJs6d5c4h 9h9c7c6h4h QhThTc7c2s 
AhJcTd3d2c KdTc6h5d4s JhJdTc9d3d AsQd9d6h4h 
KdQc9c6s3s Kd8c6s5c3d Ks9s8h8c7d Kd7d6s5c4h 
Ah9h9d4c3c KhQs5h4h2s KsQcJd9h5c JhTh9h6d3d 
JcTd8c7s2s KhKcJh3h2d QdJh9h9d2d Td9s7d6s3d 
AsJh8d7c2s Ks9s9c8c5s AdQh8h7h5c JsTh7s7c3h 
AhJc9c5s3s QdJdTsTd3c JdTsTd7d5h KhKdJc7c3c 
Qh8s8c5c4h As6s6d5s5h QcTs8s6h5d AcJc5h4s3d 
Ac7d6s4d2c JsTd5s5h3d Ts7h7d6s5d KdJs6d4h3h 
KsJh7s7d5c AcQsJh8d4d Th7c6c5h4c Th9h6s5d3s 
QcJh6h4c3h KcJh8h7h3c KsQhJs9c5s KsQc9d8d2s 
QcTc8d7s5h 9c8s8c6s4s AsKc6h3h2s Ts8d6d5d4s 
KsQhTh5d2d QsQdJc7d2c Ts9c6d5d4s JsJh6c5c3s 
KsTh8c6s6d Ts9h9d7s4h QdJs7h5d3h JdJcTs5s5h 
Qh9h9d7d4s KdJsThTd2d KdQc7s5s5c QsJdTs7d2d 
Qd9h9c7c5h Th9s9d7s3h AhQc8c7c5s Qs9s9c7c4h 
KsJc8d8c5d KsTd9c6s6h KcQd7c4d4c QsTc9h5h2s 
KdQh8s7d5c KdJsJd8d3s Ah8d7d5h2h AhTs8d5h2c 
Th9d8d8c5c KdJh9d5h2h KcJhTdTc2c KsJh9c7s5s 
KhQd9s9c6h Kh7s7h6s3c Tc9s9h8d7d Ah6h6c5c2c 
AdJd7h4s2h QsJc8c6d5h 9s7h6d5s5d Th8s7c5s4c 
KdTs8c5s2d AdKdJd9d6s AcKc6s5c3h AsQc4s3h2h 
KhJcTs2s2c As5h4c3s3c KhTc8h6c2c AcKdQs6s3h 
AhKh6d5h3s KdQhQd6c2s KsQc9h6c5d KdQhJc9s5h 
KsJd7c6s6h 9s9h5s5d4h QsQd8h6h5h Ks7s6h5d4c 
KsQdTd7c4h KdQsJs5c3h AdKhJc9h2h AsKcTd9h3h 
KdTc8s7d4h AhQc9s8s6d JdJc7s7c6c Th8s8d7h4d 
QcJsTh5h3d KcTh9d7s4c AsJh4s4c2c QhTh5c4d3d 
As9s9c4d3d AsJhJc3h2c Ts9h8h7d4d AdJd8s8c6d 
KhKcJh8h2d AdTd8h3h3d Td9h7d6h3d KhTs9s5c4c 
AhTd9h4h2d AsQh8c7d3s AcTs8c6d2h QdJc8h7s7d 
Ac9c8d5d3c KsJd5s3d3c KhJh9h7s5c Jc9c8s7s4h 
AsKh8d7d7c QsJsJh7c3c QhQcJd7c2d Ah9h8c6h3c 
AsJdTh8h2c JsJcTd5h5d Td9h8s7h4s AdQc9c8h8c 
QcJc5s4s4c QhJh5s4s4h JsJh4h3s3c KhQsQd9s5s 
Qs9h6s5d3d KdThTc3h3c KdQs9c6s3c Jh9c7c5d3h 
KdQs8s5s5d Qd9s7h6d4s AdJh9h8c2c QdTd6c4c3s 
KdQcTc5s2s As9d7h6c3s KdQh9c7d5s KdTc7c6s2d 
QsJs9h6s5c AcQdTs7s4s AcJc6h5d3s Jd9h8h6c4d 
AcJsJc8c4c KhQd8d7s6c JsTs9s9h8s 9c7c6d5d3d 
AcQs9s9h2h Tc9s8h7h7d AhJh9h7c2c QhQc9h4c2c 
QsQcJd4h3d KdTh7h5c2d AcQdTh9d2d QdTd7c5s3s 
KdKcQd5d2d JhTh8d7h6h AcKc9c4s3s JsJh8d3s3h 
KhJc8c7h2d KcTs8d6h6c ThTd8d6s2h JcTd9d6h5s 
KdTdTc4h2c QhJc8c6s5d KsQdTs4c3h KhKc7d6s3d 
AsJd4s4h2h AhKcJd8h3h JhJdTd6d5c AdKdJd9h6d 
KhQcJh6s4h AdKc9s9d3h KdQh9h6c3c AsTc9d7h5c 
QsQc7s5c2c QsQhTh7h4c Ac8h7d2d2c Tc9d6s5s4c 
7h7d6s5h3s AcKc7h7c4d AcQcJc5h3c KsQdTd9d6d 
9c7s6d5d5c KhQsJs5c4s JcTh8d4d4c AsQd7s6c4s 
AhJd8d7c4s Ah8h7s6h3s Ts8d6h6d4s 8s8d7d7c3c 
KcQc9h5h2s Qh8s8d5s4h QdJh8s6h3d AcQc8c7c6d 
Js9h8h7c4s KcJc9c7h5d AhQc9c6s3s AsKd7s7c4s 
QsJh9c7s3c AdKc9h8c4s KhTs9c8s3c KcJd9s7s3d 
KdQd8c7h6d KhJd8d5d3h AhKsQd9d3c QhJdTsTc3s 
AdTs9d5h2c QdTd5s4c3c QcTc9s5h2s Js9d8h7h4s 
KcJs7h6d6c AsQdTc8d2h Td7d7c6h5c AdKd8s6c2h 
AsTc9c8h5d Qc9d7s7d5c Jc8h6h6d5c KcJhJd8s6h 
Td8h8c7d4c KcJc8s7s4c 9s8h7s7d5d 8s7h7c5h4s 
8d8c7c5d5c Td9c8d8c2s AhTh9s9d3h AhQsTd6s4s 
AdQc4d3h2h AhTh4c3d3c QhJs8d6h3s AhKcTd5d4d 
AdKd8h5s5d JhTh9h9c8h JhJd8d6s5d KsTh8s8d2h 
QcJhJc9s6c Qs8s8d7s5d Js9c6c5s5h AsKcJh5c2d 
AdKdQh2d2c QsJd5d4s2c QhJsJd6c4s KhQs4d3h2s 
QdJcTs9h2c AsTs9s9h3d Jc9d8d5h3c JsJd7s7c3c 
QdQc9h8c5c KsQsJs4c2c KsQcTd6h4d QcTs6d4c3d 
AhKs9d7d6c KcQs8d7h7c KhJd9h4s3s AcJs6d5h3c 
AcQsTd8s2h AcQhJd7c2s AhQh5s3s2s KdTsTc3s2d 
KsQhTc6d4c Qc9s7h7c5s Kd7h6h4d3c KhQd8s7h5c 
Kc9s8s5d4c AcJsJd3d2s Kh8d8c5h4d AhKh9d2s2d 
AsQs8s7c6s QhTs9c7h2s AcTc8s3s3c AcKd7h6s5s 
QhJd7c5h3c AsTs6d5s3d KcQhQd9c5c Td9c8h7s7h 
JhJdTd7d4s AcQh6s5s3h AhQd9d8c6d Tc7s7h6c5s 
KdJs5d3s3h JhTs8h7h5d JsTh8h4s2c JsTh9c7s2c 
AsQdTd7h7d QdTh6d5s4c Ts9d7h5h4s KdJs7h6c4d 
KcQsQd9s5s KcQsTs9h3d KhJhJd6c2c Kc8s7s7d4c 
AhQd7c6d5s Js9s6d5d4c AdKdJd6s2s Ac5s4s4d3c 
AdKcTc5h5c KsQdTc6h4c AhJc5s5d4h AsTs9d9c3s 
QsQc9h5d4s QcTc9c7s6c ThTc9s8s2h Kh8s7c6h3c 
Jh7h7d5h5d KsTh8d5d2s Jh9d8h7s5c AdQhJd8d2c 
KcJs6d4d3c QhJc7s5h3s As5s4c3d3c JsJhTd9h3h 
AcJd7s7c2s KsKhJs8s2c JdTh9s7d4c AdKh5h4s3c 
KsQc9c8s4s KhQc9d8s6c QhJc9h9d3d AhJs9d8d8c 
KsKdKcQdTs QhJsTd6d2s KhQh8c5c3s AcQcJh8c2s 
Td7d6s5d4s 6d6c5d5c3s AsKdJd9d6d AsTs6h5s3h 
AcQhTsTd2s QcTd5c4d4c KdQcJh9s5h KsKd9c7h3c 
QsTd8h8d6c KhQd7h6c5h AcQsJh9d6d JsJd9s5h2h 
JcTdTc9s5h QhQcJs5h2d AdJc4c3d2s KdJs9h7d5d 
KdQhTs6c5c KhTc8s5s4c Th9s8s8h2c KhKd7c5c3s 
AdJs7d7c2c AsKsTs6s4h Jc9h9c7d4h AcTh6s6d4c 
QdTsTc9c6c AcTc9h9c3s QdTd9h5s2h KsJc9c7d4d 
AsQd9d8h6d JsJd9h7d5d Ks8d7d7c4s KdJc6h5h5c 
Jd9s9d6c4s QdJhTs7s4c AcTh8h7s3s Kc7c6h5s4d 
JhJc8h6s5h AdQc7d5h5d KsJh6c5h5c QcThTd6d5s 
QcJc9h9d4d AcKdJd9d6d AcTh8c4h2c KhQsJs7s6d 
AhKsJc8d4d KsKcJc3c2d AsAhAc8c2d Ts9s8h5d4d 
Jd9s8s5h3d Jd8d6c5d4c AdQs8s7s5h 7h7d6s4s4d 
JdJc4h2d2c AcQcJc9d6c QsTd8d6c5h QdTd5c4h3c 
KdTh7d6d4c KcJcTs8c4h AdJc4c3d2h KdTd9h7s3c 
QsJhJc7c5d KdJs6d4c3c KhQh6h5s4c JhTdTc7c2h 
QsTd9s6h4c QdTd9s9d6c KsQsTc7h2h AcQh6h6d4d 
QsJhJcTh4h KsTsTh7h2s Kh9c7c6h4h JsTh7c5d4s 
AhQd9c6s5d JsTh9s3h2d AhJdJc6h4h Js9d8d6h4s 
QcJd9d9c2c JhTh8s5d4c AdJh8c7c5c QcJhJc7d3d 
KdQs9d9c2c Qh9h8c7h5c AsKdQh6h3c JcTc9h5h2h 
Ah5s4c3h3c KsKhQs5s2s KdTd9s4h2h JhThTc6c2c 
KdQs5c3s2d JdTc8d7s2s KcQc6c5s4d KdJh9c5h3c 
QsQc4c3s2h JhTsTc8h5d AsQc7s5s5h Ts9d7d6h3h 
KdJd9d7s5c Th9h9d5d3s JhTs9s8d6s Ah8s6s4h2d 
AhKs7d6d5c JhJdTh6h2d Jc8d7d5h4h AcQhJs6c2d 
Jc9d9c6h4d Kh9h7s5s3s Jc9s8c7s2h Ad5c4s4d2c 
QcJd9h9c3h Ts9s6c5d3c KsTs9s9c8s QsTc8c7s2d 
KdJdTd8s4c Qd9s9d6h5c 8s7d7c5c4s Kc6d5c4d3d 
Ks9c8h7s7d Js9c8s8c5c JcTd8d8c3d KcQdTsTh2c 
QdJsThTc3h JhJd8d5h3h KsQc9h8d6c QcTs9s6d5h 
JhTd8h7d2d AsTs8s7h4s Ks8d6c5d3s KhTh7h6s3s 
JhJc9c5h2h QsQc9d8c5c AhQcTd7s3c AdJc8s7c4h 
QdTd9d9c6s QhJdTs8c5c KhQh8s5s3d AdJsTs6c5s 
AdQsTc7h3s KdTd9c4h2h AdKdJd4h4c KdQsQd9h2c 
KcJd6d5d2c QcJd8d6h5s Ac6d6c5s5c KdTc9c5d5c 
KsKh9h6h4h Kc6d5c4h4d Th9s9d5h4s Ac8d6d4s2c 
JhJc8h7h5s AcQc8d5h2s AdTd9s9h5d JsTc8d6c5h 
JsJhTc9h3h JhTsTd3s2h KhJh9h7s5d Jh9h9c7d4c 
KdQhJd6c4d AcJhJd6c4c Ah7h5h5c3c Ac9s5h4h3c 
Ac7h7c6c5s QdJd9h9c3h Jc8h6d6c5d QhJsTh9c5h 
Ah8c6c4s2h 8h8c5h5d3c AdKcJs6d3d Th9h6d5s4s 
KsKh7d6d3c Td9h7s5d4h Qh8s8h7h5s QhJs9s7s4h 
KcJd9s7d3s Js9d8s7c5h KhQh9s5s2d Ac9h9c4d3d 
KcThTc6d6c Tc9d9c8d3s AcQhJd7s2c KdQh8c5c3d 
KdKc8s6d3d QcJcTc5d3s KsJd8d5d3s AcKs8h6h5d 
AsTs9s8c2h QdJd9h7s3s AsTs9s8h2d KhTsTh8s3h 
KhQhJh9d5c As9d9c6c5d Kd9h8d6h3c AcTc9s9d3c 
KsJdTc9c5h Qs7s7h5h5d Ac7h6d4h2c AcJs9h8c4c 
AsJd8h8c7c KhJh8d8c4d AdQc9c8h2h AsJs8c4s3c 
AcQdTs9d2d AsQc9h3s2h Jc8s8d5d4c AsKhQc6d3c 
Ad7h6c5h4c KsTc9d7s5s KdTc8c4d3h KdQdTd8c6d 
Qc8h8c7c5h JhTs8s7h3s KcJh9s7c5c KsQhTh5c2c 
Kd8d6s5h3s QdTc7c6c3d Qc9h9d6c4d QhJsJdTd3d 
Jh8d7h7d6h KdQsQc9c5c KhJd9d7s4s QhJcTh7d5h 
KdJh8h7d2s KsKcJs8d2s AhTs6d4d2h JsJc9c6c5h 
QdQc8h6h5s AhTd8h6s2c Qh8s6d5h5d AsKhJc5c3d 
KcQd9d7d6s AhQd9s9d2s JsTc8h4c3s AsJc8c7d4h 
8h7h6c5c3s KsJs7c6s5h AhQd9h8h6h KsKcQh8d4h 
Jc9c6h5s4s AhJc9c8d5c Jc7s6h5h4c Ad8d7h6d3h 
AdKsQc7h7c AdQd4h3s2h Qh9s8h6c4s Th9s7d5h4s 
QdTd5s4s3h KsJd9c7c3d AsQd6s6h5s KhQsQh6c2d 
KsJs7s6d5h KcQdTs4c3h 8h8d7h7c3c JdTs8d5h3h 
AdKc9d7d4h JhJcTh8h6h 9h9d6d5h3d KsTc9c5s5c 
AcTs8h7h6h KdTs8c5c2d Th9s7s5h4s AcJs9s8d5s 
Kc8s8d7c4d KhQcJc7c6d 9s9c8s8h7s Jc9c8d7d4h 
Ac9c8h4h2s Kc9h8s6h3c JsTd7d6s3d Ts9s8h5h4c 
8s8h7s7c6d AcTc5h5d4s KdJs9c7d2c KhJh9h7c5d 
AdQc6s5s3c Ks8c7d6s3d JcTs8d5d2c AhKcQs9h2h 
Ks6c5s4c3c AsJs9s7c2c QcTd9s5d2c KhJdThTc2h 
TsTd9d5c3c KcQsTh9s4d AsTc9c7d5h KdQdTc5d2c 
AsQdThTc2h QsJc9d8c5h Ts9h9d7d3s KsJc5c4s3s 
KcQdQc9s2h AsQd8c7c2d 9h8d7c6s5c AdJd9d8d5c 
AhKdQc6c3s KdQcTc9s3h 9c8s8h7c5s KhQd9c6d3c 
QcJh7c6s3h KsQcTc7d4h KcQsJs7s6d JhJd9h6h5s 
9s9d6h5h3s Ad7s6c5s4c Tc8c7s5s4c Qd9d7c6s4s 
QsJs9h9c3c JcTh7h5d4s Kc7s7c6s3h AcQs7d6s5h 
AhQdTs7d3c Js9s9c6h4c AhQc7h7c2c KhQsJd9s5c 
JcTh8h7c2c QsJs9d7h3h QhJh9d7s3s Ks9s9h5h3d 
Tc9d7d5c4d JsTh7h5d4c AsQsJh5s2d AsQcTd9c3c 
JsTh7d6s6c KhQs8d7h7c Kh9c8s6d5h QsTh9s6d4c 
KhQcJc7c6s KsJc8c7c3s AhJh9d5c3h JdTh9c5d2c 
KsKcTh8h3h AsQcTd7c3h QhQc6c5s3d KdJcThTd2d 
KhQc7h4h4c AdJcTd6d3h QhTh9d6c2c Ad7h6s4h2d 
JsTs7d6h4c AcKh7h5h5d QdJdTc8s5d AcQdJc5s2c 
KdQh5s3h2d AdKdTh7c2d QcJdTs9h2d QhJh9h6d4d 
AhJsTd8d2c JhJd4h3s3d AsKdJc5c3h KdJs8c5c3d 
JhTh7c4c3c QsTh8h6d5c JsTs8h7c5s KcQhQd9s4c 
JsJhTs5s5c TsTd6s5c3d QdJc8s7h7d 9c8d7h7c5h 
Qh9s9c6h4s Kd9d7d6h4h KhTh8s6d6c QsQh5s3d3c 
Ah8d6s6h4c 9h8h7c5s4s AhQc9s6d5c KdTsTh3s2d 
Kh8c7h7c5h AcQsQh9h2d Ad9s8h7d3c KcTh9h5s4s 
KdJd9h7c2h As9s9h4d3d Kd7d5h4s3s AdKc6h3d2h 
AdJdTd6s3h JdTs8d7c3c Ad5h4s4d3h KsKcTc8c2c 
Qd9h8h6d3s JhTs8h7c3c Qc8s7s7c5h AdJs7h7d2h 
AhKsJd8c4c AsQhJh4d4c AhJs5d4h3c Jh9h8d5d3s 
KcJcTs6c2s Ts7s6c5s4c AcJc9s7d2h AsJh9c8d6h 
QhJd9d7d4h AhQsJh9h6h AhKh8s5h5c AhJdTd9c2d 
AhTc8s7s6s Ah9h8h8c5d KsKc9c3d3c AhQhJd5h2c 
AhTs6h5d3c Ac8h8c7c2h KcQsTd8h5s Ah9d5c4c3h 
KsQdJs6s4h JhJc7h7d3d KcQsTh6d5d Jh9h6d5s5d 
AsJsTs4h2c QdJdTc9d5h KcQcJc7d5h QhJc9h7d3d 
AsQh8d7d2h Qh9d8h6c4c AcQhJh4s4d AhTc9d7s5c 
KsQcTc9c6c QsQd9d5d5c AcKcTs7h2c QhQdJh7d2h 
QhJd8d5h3d AcQc4d3h2d Kd6s5d4s4c Kd7d6h5c4s 
QhJd6h5s4c Td7h7c6d5h KsJdTh9c2d AcQcTc4h4d 
KdJs5d4s2s QsQc6s5h3d KdJs7d7c5h AcKc9h7d2s 
KcQc5s4h2h JsJd6s5h3h QcJhTc7h2h Ah8c6c4h2s 
Kc9h8d7d3c KdJd8s7s4d KsQs6s5d4h AdQc9d5s5h 
