KdQdTd5c3h 
Qs9s9h5s4h Qs8s6h5c3h 9s9c8h8d5h Ah7h6d4s4c 
AdQh5s3s3h Qd8c7h6h4c KdJc8h6s5c QsTs8h6s4c 
AsKh7c4s2d Ts8d7d7c4c Kh8c6s5d4h Th8c7s7c4s 
JdThTc5c3s KsQcJc9c5d KhQsQh9h4c KsJd9d3h2s 
AhJc8h5h3s KcQhJh6d2d QdQc9d3c2d JdJc9c7s2s 
AdKs7c6h4c AhJs3s2s2h Qs9h8s6d3d QsJh7c4s4h 
KcQhTd5s4s QcJcTs7h4c KcQs7h6h5d KcQs7s5c2s 
Td8c6h5h5c AdJd7d5h2h Jd9c8d5d5c Ks8h7s7h4s 
KhQhJh5h4d AsTc9c8c5h Qc9s9d8d2c KsQhTh9d3h 
AsTs6c5s4d AhTs9s8s5c AdKd9d5h3s Kh9h7h6c3c 
Qs7h6s6h4d QhJc8d7d3h QhTc9h6h4d AdTh7s3s2d 
JhJc8d7c2d QcJh5d3h2c Qd9d8d7h6s JhTsTh2d2c 
As8c7s7h2d QhTh8c6h2c KcQc8h5h3h AcQs6s3c2s 
KcQsTd9s5s KhJd9h8c5h 8h7s6h5s3h Jc8d7s7c4s 
ThTd9s4d2h JhTh8d4c2c Jh9d8h6d4d QcJcTs3h2d 
KsJh9s3h3c AdKd8h3h3d 9c7c5s5h4h AdKcQs9h2s 
Ah9s8d7c6s 7h6d5h4d4c KcTh8s6c4c KdQcTs7s5s 
AhJs9d6s4d 9s8s7h5s5h AhJs4d3h2d AhKh7h6c4h 
Kd7d5s4s4c AsKs8h3s3h KdJd9c7h4s Jd9c8c7s3d 
9c7c5h5d4h Ac9h8c5c4d KdQhJs4d2c KhQc9d7s5c 
KsJcTd7h3c KcTs5d4d2c AsAdAcQh2h QhTsTh5h4c 
Qh8c5d5c4h JdTc9s8s4h AsTc6c3h2s QsJs6h5d2h 
KhTc6s3s3h AhJd8s7s2d AsTc9s5d3s As9c8h6d3s 
KdKc7s6s3s QcThTd8s4d KhTh6s4c2c KcJs9s9h2h 
QcJh9c8c5s Tc9h9d8s6c Th9d9c4h3c AsKs9h8s2d 
Kc8s6c5s5c Td9s8h8d4s KhQsJs9s5d AhTh8c4h4d 
KhJh7h7c6d AcJs7h5s5d JcTh9h8s4d AhJc6c3s2h 
KdQcTh8c5c QsTc9s7h4d Jc7s7c5s4c QcJcTd7d2c 
AcKs9s9h6s AsQdQc9c2c QsQd6c2s2c QsQdJc6c3h 
Js9h9c8s4c AdQc7c2d2c Ts9c8d7d2s 7h7d6s6d2h 
Ah9s9d5c3h Ts9h9c8d6h AcQdTc4c2h Qc9c8s7d4s 
AsKh9c6h3d QhQd5h3c2c AdKh9d5c4d AhQh3s3c2c 
AdTc9s9h6s KhQh8s5d4c AsQd4d3s2s QcJh8h6s5h 
JdTh4d4c3h 9c7h7c5h4h Kd9c7d6s6h QdTh9d7s4c 
Qd9h8d5s5h JhTc9s6c4d Td9h9c6d2h 9s5h5d4s4h 
QdTh6c5d2c KcQsThTc2c KhTs9s8c5d Kc6s5s4c3c 
QsJsJh6d3c QhJsTd4c3d As8s8d7c4s Ac9c7h5c3d 
KhKdJs4s2s AdQd9c7d5d Jc9d6d5c3d AcKh7s6d4s 
Kc7d7c6s5h QdTd9s6d6c AdKdTd3h3c JcTc6h6d3h 
KcQdTs6c3c QdTsTd5d4h AhTc9c8c5d Td9c6d5d5c 
KhQdTs5c4c AdQs7d5d3c Kh8s7s6c4c Th9d8d7c2c 
JdTsTc9c2c QhQc9s7d4c KdQh6h3d2s AdKs4h3h2s 
QsTh9s7s2h AsQsJs4c3s AsQc9h5d2s Qs9c8c6h4h 
KcJcTc9c3h As7d5s2d2c QdJs7h6c5s QdJsTh6s3c 
AcKs8h4c2d AdQc6c5s4h QsTs9h6d4s TsTh9c4h2s 
JcTd9d6h4s Js9s7c6h3h Td9s8c7c3s KdJs6h5d4d 
Qd6s6d5h4s Kc9s9c8h4h KsQs9d7d4s Kd9s7s5d3d 
Ac9s5s5c2s Kc9d9c6c4d QsTsTc5s4d KhTh6s5h4d 
Kh7s7h6c5d AcQsJs4s4d KhJc7d6h2c Kh8h7s7d6c 
AhKcQd9d3d KdJcTs5h3s KhQcTh6d3h 9c7h7d6d3c 
AhKsJd6s3s QsJh7h7d4d KcTd5s5c4h KsKdQh8h4h 
AsKc9s8h3s JdTc6h4c3h Ts9h6s5s5h QsJh8s4h2d 
AcQd7d6s5d JsJd8c7c5c KhJcTc7c5c Tc9s9d4d3s 
QcTdTc5c4s As9s9h6c3d AsQc9h7s2d JhJd7h3h3d 
AhTh9c7d2h AsJs6s5c4h Ad9h7d5d3c QdJh9s4h2d 
8c7h5s4s4h Qc9d6h6d4c JhTh9d6c4s QsTh6h4d3d 
JsThTd9c2d JcTh8s6h2s Jd9h8h8d2s Jc9s9c5h2s 
QhQdJc3s2h JdTs8d7d4h KsQs9d5h2h Qh9s8h5s5d 
QcJhJd8s4h KcQsJh5d2c AhKd8c4s3h Ts9s6h5s4h 
7s7c6h4c3s AsJsTd3h2s 7s7d5d4s3s Qd7d6c5h5c 
Qh7h6s6d4s KsJsJd9s3c AsKhJd9d2d TsTc6s4c3d 
Ts9h9c8h7h 9d5h5c4h4d Td9h8c7c3h AhKd8c7s4c 
7h6d5d4s4h AhKc8s4d3h TdTc6d4c3h QsTs7s6h5d 
Qd7h6c5d3h AdTs6d6c5d KhQd8d4h2s JhTc8d7d5d 
KsTs8c5h2h AdJs3c2d2c Th9s8c5s3h AhTd7d6s3s 
KsQhTc9h5h KhJc7s5d3h QcTd6s5c2s Td8h8c4h4c 
Ts9h7d6s6c KdJhJc4s4h 9c7h7c6s4h TsTd9c7c2d 
QcJd7h4d4c 9s8c7s6c3d JdTs9d7c4d AhTc7c6s3s 
AsJh8h8c3c JcTsTd5h3c KhJc7h5h4d JhTs9s5c3d 
Js9c6h5s3c QdThTd7c5d Ks8h6s5c3h AdTc9d5s3d 
KdTdTc6d5d Qd9d7s5c3s KsTd6h4h2s Ks9d5s5c4c 
Qs9d6d5h4h Tc9s8d7d3s KsJd6d5s2s KhQd9h2s2d 
Qd9h8c7s6h QhJcTs5d2h KhQh6d4s2d KsJhTh7h5h 
JcTs6h4c3h AcQd9s9h7s Ah8c5d3h2c JsTc9c8c6c 
QsTc6d5s2d KhQh4d3d3c QdJs4s3s3d KcQsQh3d2s 
QsQh9d5d5c Ks9c7s6h6d Kh8h7c5c3d KsJs8d5d2d 
AhQd9s7d7c QhTh9d8h5s Td9c8s7s3c AdKcJs6c3c 
AcQdJs9h3h JdJc9d7c2d 9s9d6s5h5c AdJdTd3h2s 
KcJc6d5h3s Ah9c6c4h2s KcJh7d6c2h KcQcThTc2d 
Ts9h7h5s3s QdJhJc8s4c 7s6c5c4c3s KdQdTs8h4d 
QsTs7s6c5d 9c8h6s5s3c KcQc9h5d2d KsJh9s3h2d 
Ah7d5h2s2d KsTd7d4s2h Ah9h7d5h5c AhQs9d7c6d 
Jh9d8d5h2c QcTh7d5c4s AcQs8h3c2h KdQh7d4s3s 
Ks7s5d5c3d JcTc8s6d6c AhJc4h3c2c Kc9s7h6h4s 
KdQd8c6h2h 9h9c6s6c2s QcJsTh5d2c KdJsTc9c3c 
KhJh6s5c3d TsTh9c7c2s KcQcJc5c4d Qh8s5s5h4s 
QhJc9s7c3s KsQs4h3h3c AcKd9s6d4h Qc9s9c6s2d 
Kh9d8d7c2h Qd9d8d7c6s KsQcTd6s3s Td9h9c6d2c 
KhQcTs8c5c 9h8s7c6h3s Ac9s6s6c2s JhTd6c5d4s 
AdQd9d7h5d Js9s8d6d2c Jc9d9c5h2d QdJh4h3h3d 
KsJsTs6h4s AdTd7d5h5c AdKs8s6c4s KsKd8h4c2s 
Th9c8h5s3s Ac9s8s5d4d QdTsTh8s4c Kh8d6c4h4d 
AdKs8d7d4d AdKd8d7d6d QcTs9d6h4s KcQhJh9d5h 
QsJc5d4d2c TdTc9h7h2c 9c7h7c6d4d QdQcTh6h3h 
JcTdTc7c4s KdTd9s5d2s 8s8d7c6d3s KhJd8s4h3d 
JhJd7d7c4s QsJc7h4s3c QdJh8h6s5h Kd9c7c5h2d 
Th9h9d7s5c Js8c7s7c4c ThTc6s4c3h Kh6s6h5s4h 
9h9d7h3s3d QdThTd9d5c JsTh7s5s4c 9s8s7c5s5c 
Th9c7s7h3s KdQs5c3c2d TsTd7h6c5c AsTc7c6d3d 
QsQcJh6h3d QdJs5c4c2s AcJd9h8d6d AhTsTc7c2s 
QhQc5c3d2d Kh9s8d7d6c KsQdTs6h3s QhJhTh4s3c 
Kc9c8d7c4d AsQc8c7c6c KsTh7d4s2h TdTc9s7s2c 
JhTs6c5s4d Th9d8c5d3h Qc9h8s6c3s JhJc7d7c2h 
9h9d8c7h4d KsKh9d3s2c 8h7d5s4h4d 7s7c6s4h3c 
QsQc6d5h4d AsKd4c3s2h KsJhJc4d4c KdQd6h4s2h 
Tc9d6s6d3c KhJdTd8c5d Qs9d8c7s5h AdQh9c7s7h 
JsTsTh9s5c QsTh9d8c4s Th9d8h7h2d KdTd6c5d4h 
Th8d8c7h6s KdQsJc4d2h AsQsTs8h3s QhTsTd8s4c 
KdJdTs6d4d JcTs9h3h2s AsKh9s4c3d Td9s9c6h5s 
KhJh9s7s2s Qc9d8c6h3h AcKsQs7h3s AsJsTc3h2s 
Js9h6h5c4c Kd9h9d8s4s KcJd8h8c2d Ac9d8c6s6c 
AhQs9c4h3d As9c8s6s6d KhTs9d6h4h AsJs9s8s6c 
Ac9h8h7d5s As7s7d4s4h KdQs5c4s2c QsTsTh9c3s 
QsThTc8d4h QsTc6c3s3d 9h8d6c5h3c KcQhJs4c2d 
AhKhJh9h3s Qc8s8d7d5s Kd9h9c8h3d Js9c6c5d4d 
Qd8s8d7s4c KsQh9c8h6h AcJh9d8h6h AdTc9h4s2d 
Kh6h5c4h3c TsTh7c3s3h KsQd9c7h5d QhJdJc9h2s 
JhTs9c8d5d Jh9h8c6c2s QcTs5s3s3c AhKd6s5s4c 
Ks9s8c6d2c JdTsTc9h2s Jd7d7c5s4s JsTh9s7c4s 
Ac9s8h6d3c Js8d7s7c4c KhJs7h7d6h JcTs9d5d4h 
As5s5c3c2d QcJsJh8d4h QcTc8s6c2s JhTs6d5s2h 
AhJd8h5h3c QdTsTh8c4s JdTh7d4h3d QdTd9c8d5s 
AdQcJc6h2h Kh9d8d7c6s QdTsTc9c4h KdQc8h6s6d 
9c7s7h6s6d AdKdTd9d6d AdQd7d6d5s 7s6s5d4s3d 
AcKd9c8s3c AcJs7d6s5h 9h8h7h5c4c Js9h8h7s2c 
Qd9s8d6c3c KsKd8h4c2d AdKd9c8d2s Ts8c7d7c4d 
KsQhJh6d2d KhQcTd6h3h KhQsJs8c5s QcJh6s5h4d 
AhKd4s3h2c 8c7d6c4h4d KdJc9d7s4h KsQsJs9c6s 
KdQd8s5c4h Qc9c8d6h2h KsJd8s7h4c AcKh7c4c3d 
Kd9h8d5s3s QdQc9h7s4c Ks9s8h5c2h Th9s7s7h3c 
KhKdJd4d2d Qd9s7s6s3d Ad7c5h3s3d Td9s9d8h2h 
Qd8s8c7h7c KsJsJhTs3s AhQh7s7c2c AsJhJc6h4d 
JsTh8h6d6c AhQh8h8c4d KsKh8c4d2h Kd9d8s5h2s 
AdQsTs5h3s KdJc7d5h2h Kh8h7s7c6d JdJc5h5c4s 
KhQsJs9c5s QsJhTd5c2s QdQc9h5d4d KsKdJh7s2s 
Ac8d8c7s4c KsQsTc7s2c AsQs9s7c5s 8s6s5c4h4c 
AdQdJd4h3d Ah9h7h5d4s Ks8h6h5s3h KdQdTh8s4d 
AcQs8s7s6s KhTh8s8c3c AcKhQs9s3s AdTc8h6s6c 
KhJcTd7s3c JhTc5h5c3c KcQcTh8d4c JcTc8c6s3s 
AhQc9h3h2c Js9d5s4d3h KdTs8c4c3d Kc7c5h5d3d 
Kh9h7d5d3h JhJc8d7h2d Jh7c6c5s4s AcKcJc9c3h 
KdJhTs9s2s KsQdTh5c4c QsQcJh3d2c AhQc8d7c2d 
Ac5h5c3h2s QcTdTc7c5s AsKd6h5c4h QhTc9h6h4s 
QsQcTh6h3h AdQs9h4d3c AsKhQh6h6c AdTd7d6h6d 
AcKs7d5d4d KhJs9s8c6s 8h7d6h4s4d Qc8h7h5s5c 
JdTh9d7s4d KhJsJd9s6s Kd9c8h5h3d JsJd5h5d4c 
JsTc6d5c4h JcTs9d9c3h AsJc7h5d2s QhJs9c7d7c 
KsKd7d5c2d AcTs9h9d6s Th9h9c5h3c QdQc7s7d2s 
Ts7c6d5d3s Td9s7c6h6d KcThTd8c4s QsQdJc9h4c 
AsKhJc3d2h AdJc8d5d3h Jd9s8s5d2c JdJc8d7d3c 
JcTs5h5c2s AdQh9c5s2d Ac6d6c5d2c QhTs7c6d5s 
KcTs6s5c2c As8c6s5s2c JcTh9c4c2h KdJsJd9d3c 
QdTd8s7s3s KsJdTc9h3h KhJd6h4d2c Td9h9c6s5h 
Qc8s6s6h5h KdJhTh6s2s Th9h8s8d3d Th9d7h4s3d 
JcTh8s5h4d Ad9d7s5d5c AcTs5d2d2c KdTdTc9h3d 
KsQhJh6c2c AdKhJs9s3s AsJhTh7h3c KsKdJs4s2s 
9d6d6c5h4c Ad8h6d5d2h Qc9c8d6d4c QsJsJd5h2c 
QcTs7d6h5s QcJs6s5h4d AdJh6d5d4c Kh6c5d3h3d 
Kd8c6s5h4d As9c7s5d4s Kc7c5h4s4h Qh8d5s5d4h 
AhQcJd9s3s Qs9s8s7h6d KhJsTd9c3c JcTd7h5h4s 
Ts9s8h8d3d AdQc9d6d4h Ac7h5c3h2s Kd9d8s7d4s 
QsJs8s6d5c KdJhJc4s4c As9c8h3c2s QsTsTh9s5d 
KhJs8c6d5s Ks9c8h5h3s KhThTd4d2d KhKcTs7d2d 
KcTs9s8d5h AhJs6s6h2s AhKhJs9h2h TsTh9c7c2h 
QsQh9h3h2s Qs8h7h5s5c JsTc9h6c4d JhJd9s9c3s 
AhKhJc7s2h AcKcJd9c2c Ac9h7c5c3d AhKdJs9s3s 
AdQh6h3d2h 8c7s5d5c4d Ac9d8h7d5s Kh9d8c6d4c 
AsKd9h8d2c AsAhAc9c4c TsTd9s4s3d KsQsTs8d4h 
QsQh9c7d4s JsJd8d4c2s Ah9s8c6d3h KcTh8c4s3s 
Qh9h8h7d6s Kd9c5s5d4s JcTc9c8s5d As9h7s5d4s 
QcJhJc5d2s AcKs9c8h3c KdQcTc9c3s Td9h8d8c7d 
Ks9h6s4h3c JsTsTd8c4s AsJd5s4h2c AcKhQh7s3h 
KsKc8d4h2c QdJs9c6c2d AcJsTs6d4s AhQs8c7d4s 
Ad9h8d5d4s QsTd9h6h5h Th9c8d5c3h QdTs9d8h5d 
QdQcTd7d4d JhTh9d8h6h KhQhTh8s4d AhKd6s6h2c 
JdTh6s5d4c Th9d9c8s6d AsTc9c8c5d QsJhTd7c4c 
TsTd9d4d3s AdQcJh5c2s JsJd8h7d2h QhQd9h3h2d 
Ts9c8h5c3s AsKh9d4s4c AcTsTc7c4c 9d8s7c6c3s 
KhTd6d5d2h AdQdTd5h5d JcTd9s6d4h AsKd6h5h4c 
AsQd9c8c6c AsJdTc3s2s QdJsJc9d2h Ah9s8s7d5c 
KcTc6h4d2d QdTh8c4c3d Kh9s9d8h7h Ks9d9c8s7s 
JcTd9h6s4c Tc9d8h7h2c Jh9s8s8h2d Ts9c8h7h3c 
QsTc9s8h5s Ks9s8d6h2d KcTd9h6c4c QsTc8c7c2s 
AcQdTs5d3d QhJc7c5h2d QhJd9s6s2h KcTc5h4s2h 
AhKd9h8s3h Kd8h7d5h5d Td9c8s8d7d QhQcJd3s2c 
QdQc7h7d2h Qs9c8s6h2c Ad5c4h2d2c KdQs9h8s3h 
8s7d5s5c4c AhQh7s5s2h 9d9c7c3s3d 9h9d7h7c2c 
Td9c6c4d3s AsTc8d6h6c QcThTc5c4d KsQsTsTc2h 
AhQc7c6s5c AhKdTh2h2c 8h7s6h4s4d KsKdJc7d2d 
Ac9s8d7h6s KhQhTh5c3s KcTh9s7h2s Jh9h9c8h7d 
Th9c8h7c2h QhTd8s4s3h Kh9d8s5s3h QsJc9s8s5h 
AdJc4h3h2d Qs8c6c5s3d AcTh7s3s2c QsJc6c3s3h 
Th9d8d7s2s Js8h5s5c4h AdKc6s5s4h Td8c7d5c3s 
7s7d6h3s3d Kc8h7s6d6c KhQhQd9h4c AcKh9d6c4c 
JhTd5h5d3d QsTd9s7s5c JhTs9d8d4c AdKcQd8h2d 
KdJd9d6h5s AsTd6c2s2c Ah5d4h4d2d KhQdQc9s3d 
Ks9h8c5c3s Qh7s6h6c4s Jd9d8s7d6c AhKhQh8h6h 
QdJhJd6c3s AsQsTd4h2s Qd7s6h5d3s AdQh9c8c6c 
KdJc9d8d5s JsThTd9s4c Ts8d6h5h5d JhJdTc7s3h 
KcTs6d3d3c QhThTc5h4s KcQhTc6c4c AdKc8d7d4d 
AsQh7s5s3c Qd9s8c7h6c KdJsJc7c4h JdTs5d4s2s 
KcJc9h5c2h KsJd9s6d2d AhTs9d4c2h Ah5h5c3c2d 
9s8c7d6s3c QhTh8d7d2d Jh9c6s5s3c QcJc7h6s3s 
KcTc7c6c5h 9h7s7h5s4h JsTh4h4c3s Ks9s8c6h2c 
Qs9d9c6s5h AhJdTd7d3c JcTd9c3h2h 8s8h7d7c5d 
Qh9c8d7h5s Td9h9c8c7c Tc9s9d8h6s AhJd9d6s5c 
JhTd9s3h2s Js9s7s5c4c Ah9d9c8c7s 8d7d6c4s4c 
AdTh8h6h5s KdThTd9c2d Ac9c8c5d2d JcTh9h9d6h 
KcJs9c3s3d KcJd9c8s5c KdJs7h7d6d Qs7h6s6h4c 
9d6h6d5c4h JsTc8d5c4h JdThTd2s2c KcThTc9d2c 
AcTh3d3c2h QdJh9d8d5s Qs9d6d5c4c Qs6s6c5d4c 
AhQhJh4c3h Qd9d7c5h3c Qh9h8h6d4d AsTc6h2s2h 
JsTd7c6s5s QhQcJs3d2h Td9s6s6c3d Ah9d8c7s6d 
KdJhTc9h4h Kd8h6c4h4d AhQcJc6s2s AsKcTd5s2s 
Ah9d8s7s3d Td7s7c5s4c AhQd9c5h4h JsJc8c4h2s 
9d8c6s5s3d KcTs9h4s3h AsKhTh4h3c 8c6h5d5c4d 
AdTc6h2h2d 7s7h6c4h3s QdTh8c5s4d JhTc9d6s4h 
Kc8s6s5d4d KdJh9d8c5d AsQs9d7s5s QsTdTc9h3s 
9c8s6d5s3c 9c8d7h6c3h As7s7d2h2d QhTs9h7d4c 
KhQc3s3c2h JcTd9d6s4h TsTd8h3s3d Qc6d6c5h4h 
QhQd7s5s2d QcTd8c5d2d KdJh8d8c2h KdQdJd7s3s 
AcTs8s5h3h JhTsTd5c3h AsKcJh9h3h AhKd6c5c4s 
AsQhJd9d3d QcJcTd3h2s KsJs9s6c5h Ad9s7c4s2d 
JsJh8d6s3d AdQs7s2s2d KdJsTs8h4s JsTh8c4c3h 
JsTc9h9c6c Qs9c8d7h6c KcQc4d3h3d JhJcTd7s3c 
KhKd7d5c2d AdKdJh7c2d QcTc9h8c5d AhTs6d2h2d 
QsQd9s3s2d 8s8h7d6h3s Ac7c6d4s4h KcQdTh5d3s 
7d5h5c3h3c JhJc9d9c2c KcTh7h7c3c AhQdQc4c2c 
KcQdTd9d3s KhQcTd9s5d Ks6s6d3h3d KcJd8h4c3d 
7h6c5h5c4d JcTd9s9c3h KhJc8s8d7c KsQd3h3d2s 
Ts8c7d6h4s QsQc6h2s2h KsJsTh6s4s QhTc7c6d2h 
Ad9c8s3c2d KdQsJc7h4s JdTs6h4d3h QsTs5c4s3c 
KsQcTd5c3h KsTc8s6s4d Js9d5c4s4d Kd9h7d6h2c 
KdJdTd6h5d Kc9d8h5h3c KsJs8s5c3c AcJd6d6c2d 
KcQhTs5d4d Kd9c7c5s2d AdJh7s5c2d QdQc9h4c2h 
AhJsJc6c4d QhJh7s6c3c AcKd4s3c2h KdThTc8d4s 
JsJc4s2d2c Tc9h8d8c7c QhQc9s5c4c QdQcTc7h2s 
AdQh9d6d4s Kd9s9d7s4d KhTc5s5h4d 9h7d7c6h4d 
QcJdTs8s4s AhQh6d6c5h AsQd9h7c6h KcQdJd8d5h 
KsJsJh9s3d JsTh9h8d4c 9h8h8d5d4d 8s7h6s5h3s 
Ts9s8h7d3h JcTsTd9d2d Ks9s7s6d3d JsTh7h5h4c 
Jc8h8d7d4c AdJs6s6d2s AhQc9c7c5d KdQcJs5h2d 
AhTh6d4s4c JsTh8c6d4c KhQc8c4h2s Qh7c6d5h3c 
KhQcJs5d2h KsQs7s7c6h QsJh9s8s5c Qd9d8h6s5d 
AhKc7s4h2d As8h6s5s2h Ac9d8d7s5h AdQd9h8s2d 
JsTh9d3d2h JsTs8s6h3h KdTh6h5h2d Js9s8h7s6d 
QhJs8h8d7h As9s7c5s5d AsTh5c2s2c As9s7h7d5s 
AdKh8h6s4h Kh8s7d6d4s KcQc7s7c6h JcTh9d7s3c 
Ac9c8c7s5c AhKd9h8c3h QdTs9c8h4d Qh8s5s5d4h 
7s6d6c5s4d KsTd8c6s4s KdQh8s6d2s JcTc8s5s2s 
KsTc8h4h3s JhTs9d3h2d Ah9c8d6s3h KdQc8s6d2s 
AdJd6c4s4h KdJs8s7h7c KcTs8c6c4d AsQs8s8d4h 
Jc8h8d7h4c QsQdJh9d4d Qh9d8c7s6d Jd8s8d6s4s 
Qd9c6s5s4c KdQs8s7d3d Ah7h7c2d2c Ad7s5s3h2d 
QdJdTs7h4d KdJsJh8c4d Ts9c7s4d3c JdTc8s5c4h 
8h6s5h4s4d AhJc3s2s2h AsKh4d3s2c KdQc6c3d2h 
KhQcTc9s3c AdQc9s9h7s QdJh8h7s7c QsJs8s6d5h 
KsJsTs6d4s JhJc9c7h2c Ts9s7s7d6h 9d8c7s6d3c 
Kh8h6c5s2c Jh9h8h6d4d Tc9h6h4c3s KcQhTh7h4d 
QdQc8c3d2s Kh8h8c6s5d KhQh7s5c2s AhKd7h6c2s 
AhTc7d3h2d KhQc9d8c3d AhKcQc9d3c 9s8s7c5h5c 
Th8d7s5s5h KdJs9c3s2d 9d8s7d6s3c 7d6c5d4h4c 
Kc7c5h5d3h JsTd4h4d3s KdJs8h8c7s Qh8c6c5h3d 
9d8c6h5c3d Ac9c7d5s5c AdQd5c3s3h AdKc9h8h5h 
KdJc7h6d2c 7d7c6s6d2c QdJhTs7c4c JdJc8h6s4d 
AsTd6s6h5s AdKh8d7d4d As8c7c4s3s QdQcJd9s4d 
8c7d5s4s4d AsTc7h3s2h KcJsJd8h4c KcJc9h6h2h 
QsQd9c7h4d KsJdTc9d4d QdTd5s4d3s As8h6d5c3s 
As8s6h5d2c KdQs8c5s5c JcTd8h6d2h JdTs9c3c2s 
JsTh9c8d5d Qc9s6h5h4s Jc9h6h5s4s Qh8s8h6h4s 
JsTs9c8d2h Td7h6h5c3d AsTd7h4h3d Ks8s6d5h2d 
Ac7s6s4s2c QsJh8s8h2d Ts9d7c6s6h JdTc7h6d5d 
KhKc7h5s2h KsQs7c4c3c Ks9d7s6d2c 9s9h6h6d2d 
AsKs6h4s2h AdKh8h6c4h KdTh9h8s5c AdKc7d6s2h 
KhJhTd9h2h Qh9s8s6d4d Ts9d7s7d3h JhTh6s6c3c 
KsQhTs5s3d KsJh8d8c7h JdTd9h8d6d QdTc9s6h4c 
Kd8s7c6c4s KdJdTd9d3h QdQc5c3h2h Ts9c7s7h3h 
KdQhTs8h5h KdTc9h4h3c AdTs9d5c3d AsJh6s6c2c 
AhKd7h4h3s Kc9d8s5s3c AcJh7s5h5d AhTsTh7h4h 
KhJsJd7d4c JhTc9h5h2c QhJh6c5s2c QcJs8d6d2c 
Tc8d7h7d4h QcJhJd7c5c Qc9s9d5s5d 7s7d6s6h2d 
JhJd7s7d4c QhTs9h7c4d ThTd8c6h2c AdJc8h8c3h 
AhTc6s6h5h Tc9s8h8c7c KdQc8c4d2h QsTh5s3h3c 
Qd9d8d7h6c Ks7s5h5c3h Ac7d5d3s2c JsTc9h6d4s 
Td8s7h6c4d Tc7s6s5h3c 9s7s7c6d4c Qh9h8c7s4c 
QsTc5c3s3c AdKd4c2d2c Ks9s9c8d4d Qc7h6d5c3h 
KhQdJc6s4s KcJs9c8c5h JsJc7s3s3c AdJs6d6c2c 
KcJdJc9c3h JcTc7h6c4d KcQhJd7h2d Jh9d6c5c3d 
AsKh9d6c4h AcJs7d5h2c Qh9s7c5s5h TsTc7h3s3c 
Kc8d6s5s2c AcKh7s5s4s KcJdTh8s4h 9h9d5d3h3d 
AsTsTd7s4s Ac8s8h7c3d Jc7d7c5h4h 7c6h5h5c4d 
KsTd9h4d3h QcJh5c4c2h Kd7s7d6h5c 9h9c6s5c2h 
AdQdTc2s2d QdJd6s5h2s JdTc4s4d3c QdJc9s4c2d 
QsJh6s5s2h KdTh8d6h2d KhTd7d4h2c QdJhTs5c3c 
KhJh8d6c2c Js9h8s8h2d KcQc6h4h4c Qs9d9c8s2d 
KdTd8s6h6d 9c7s7c5s4s QhThTd9h5c AdQh9c5d4d 
KdJh9h8c6h AdTc7c6h3h Ac7h5c2h2d 7d6h6c5d4h 
AdKhJs6h3h KcTh5s4s2c KdJd4s4c3s Qh9c8d6d4c 
Ad9s8d6h6d JsTs7d5c4s QhJs9c6c2h QdJdTd4s3h 
KsTsTc4c2c Js9c7d6s5h Qc8s8d7s7h KhQc7c6c2h 
Jc7h7c5s4s KdJsJc9s6s KsQd9c8d3c QcTdTc4d2d 
Qd9d8h7s4h KdTd5c4h2c AdKhQh4h3h KhTd8s6h4h 
KsTd7h4s2d KsKd9c3d2h KcJc4h4d3d KhKcJh5h2h 
AdTd7d4c3h QhTc9h8s5h TsTc8c2s2d KhTd6h6c4s 
QhTd9h8s5h AhTh8c7d2h JhTc6d4h3d AdKd6h4d2h 
AsKc7d5d4d 9h8h8c5c4c Kc9h9d7c2d Qh7s6d5h3s 
9s7s5h5c4c AdJdTd8c2d KcJs6d6c3d KsQdTc5h4h 
KcQs7c4h3h AhTc6s2s2h Jh9c6d5d3c AsQc9d4s3h 
JcTd9d8d6d QdJc9s9h6d Ks9h9d6h2s AcTc8h4d4c 
Ah9h8h7c5h Th7c6d5h5d QhTh7s7h4s QsJd7d5s2h 
KhQsQh9h4d AdKc8h4s3d 9h8c7s6s3c KcQsTd5s3h 
KsQh7d6d5c QdQc9s5s5h AcKsJd9d3d 7s7h5s4h3h 
KcJd8s8h7d AdQsJs6c2c JcTh5d5c2h AsTd5h2s2h 
Th8d7c6s4h AcTd9c5s3c Kd9h8h7s6c QhQd6s3d3c 
Qd8h5h5c4d JhTc9d3d2c Ad9h8h5c4c QhJs8s8d3h 
KhQcJc8s5c QhQd9h3d2h AsTd6d3c2s Ac8d7d4c3c 
TsTc8s2h2c JhTd7d5d4s Jd9h8c5h5c QcJcTs7s2c 
KhQs8s4h2c Qc9c7h5s3h AsTh9h8h5c Qh9c8s7h5d 
JdTdTc8d4h JsTh8d4d3h QsQhTs7d2c Jc9c7s6h3h 
Jh8d7h7d4d QhJs6h5d2d Tc7s6h5h3c JsTc8d4d3c 
Th9c7h7d3d AhTh8d7s2h 8s8c6h6d5s KhTs7s6d5s 
AdJh5d4s2c Kc9s5h5c4h KcQcJc7d3d QsJs8h6c3c 
AsTh9c7d4h AsJhJd6h4c QsJc6s5d2d KdQdJd9s6d 
AdQsTs5s5c AcTc9d3c2d Ks9h8h7d2s Kh9h8d6c2d 
KsTs6h4d2d KcTsTd8c4h Jh9d8d5d3h JsTh7c6s5s 
