9c8c7d5c2d 
Ts8c6h3s3h QcJcTd6s2c Qh7c6h5c2d KdJs9h5s3s 
Jc6c5s4s4c KcQd8h6s4s 9h6s6c5h2c TsTd9h6c2d 
AdJc7h5h3s QcJs9h6s3s QsTh5s5c4s KcTc9s4h4d 
AdJd5d4c2s JhTd7s3h2d KsJc9d8s4s QdJc9d8d3s 
KcQdJd2s2h 8c7h7c5h2c JsThTd3d2c KsQd6c4s2h 
KdJh9h8c3s Jc9c6h5s3d QsQdJc7h2s KcJh9d7d3s 
KhTd8s4d2s Kd9s8s4s4d Js8d7h7d6d TdTc5h4h2d 
AcKc7c4h2d Kh9h8h8d6h Qh8s6s6h3h KcJd9h6s6h 
AhJd6s6d3s AdTs4d3d2s Ts8h8c7s4d KsJh9d7d3c 
Kh9d6s4s2h Kc9s8s3h3c TsTc9h6d2c 9d7h7d5c2c 
Kh8d6h4d2d 7s6h6d5h2s AdJhJd6d3d 9s6s6h4h3c 
KsJs5d4s3h QsJs9s5s3h Qc9h8d3d3c Th9h9c3s3h 
AdJh9h6c4s AdQs7s5h3s Jh9c6c5h2h AsQc8d4s3s 
KdQsJs8c3h Kh9h8c6d2s KcQsTd4h3h Jd9s5d5c2c 
JdJc9c6h2s QdJh9h8c2h AhJh5h4s2d Qd8c6c4d3d 
JhTs7d3s2h QdTd9h9d5d JsTs9d4s3s JhTsTd3s2c 
Kc8c7c6h2h Qd8d7d5h4s Tc8d5c4c3d KsQdJd8h3c 
Ac8c7d7c2s Ac8h4c3h2s AdJd5s2h2c Jd9h8d4h4d 
QdThTc8s2s Ks9s7d5s2d KdQh7s4d3c Ks8h8c7d4s 
Qs8s7s6h3h QdJhJc8c3c Qc9c5s4h2s QdJc5s5c4c 
AsQh9h6d3c JsJd7s5s3c AdQc8s4d3d AsJh9c6h4d 
As6h5s4c3s KhJc9d7c4c Td7s7h3s3h AhJd8s6s4c 
KdQh9s8c3d 7d5c4d4c3s KcJd7c3d2s KhQhJh6c2s 
Kd9d7h4h4d Qc5s4d4c3d KcQdTh4s3s Qc5h4s4c3s 
KcJd4d3c2c Tc9d8h6d3s KdJc8h7s2d QsQhJd6d2d 
Ac6s6h5c3c Qh9d8s7d2s Jh8h8d2s2d Qs9h7s4d3d 
Qd8d7d5s4h AsTd8h5d3c Ts9s6h4d2h Ts8s8c7h4s 
9h8d6s4h3s TsTh6s5c3d KcTc5s4d4c Qs8d6s6d3s 
KhQdJd9d3d Kd9h8h4s2d Ks7s7h5s4d AcTs8s7d2s 
AsKs7s4c2h Ks8d8c5s5h QsJd5s4h2c AhJsTd3s2s 
KhQcJh9h3h JsTd7c3s2d KhJh5c4s3h AhKd4d3c2s 
QsJhJc6d2s Kd8d7s4s4d Td6s5s5c3d KsJh7s2h2c 
Jd9s7d5d3c AdKh9c5s5c KcQc8s7c3s 9c7s7h5c2h 
QdJc6d5h2s Qc9h6c4h3c Ac8s7s7h4d Th9s4s4h3s 
KhKc8h4h3h Ac8s8h5h2s Js8s8d7d3s QdJc5s5h4s 
Ks8c7c5h3h AcKs8d4h2s 9s8c6s5s5d Kd9d9c8s5d 
Ah8s4c3h2s QcJh9s8c2c AhJh5c4s2h 9h9c8c6c4d 
9c6d5d4c2s AcQs9d5d3h JhTc5s4d3d QdJd8d6h6d 
KcQhTh3d2s Kh5s4s3h2d KsTd7d5d3h KcQc9s5h5d 
Td8d8c7d5h KdQsJs2h2c AdKs8c3h2d Kh9s8c7s3c 
KdJd5h4d3c Tc8d7d4d3c QhJs5c4s3s QhTh8c4s3d 
QhJc5s4c3c KsJc8h4c3h KcTc8h7c3s 6d5s4h3h3d 
Jd8h6s6c5d JdJc5c3s3c Ks7h4h4c3s AdQd7d5c2s 
JsTd7c4d3h Ad7h4d3h2h Ts8d6s6h2d KhQcTc5s5c 
Qd7d6h6d5c Js9h9c5d4d Kd6c5d4h3d QcJd4d3c2d 
KsTs5d4s4h JcTs7h3c2s Jc8d8c4d2s KsTs7c3c2h 
JsJd4h4c3d QcJs7d6h4h Qd9d6s5d2s Qh9h5c4s2s 
Jd8h7s7c5c QcTc6s6h3d AcQd9s5s3h Td9d8c7s4d 
Kh7s7c6c5d Th9d7c5c4c Td8s6h6d2s Ks9s7h5s2h 
AdQs9s5s3h 8c7h6d5s3s AdQh8h5c2s KhTh9c4s4d 
Jh8d6s5c4d KhJc8s7d2h Qc9s5d5c2d AdQd9d6s6d 
AcKcQc9c4c 9h8s8h7h5c KcJcTc5h5c Jc8d7s7d5h 
Qc7s7h6d4c 9d7d7c6s4h 8h8c4s3h3c QsQcJs7s3s 
KcQs7h4c2h JcTc7d4s4c Ks7d7c6d5h JhTc9c4s4c 
AcQsTd3d2h QcTc5d5c4h QcTh9h4s3h AhTdTc6s3c 
AdQd9d4h3c Qh9s9h7h2s Kd8c6c4d2c 9s7c6s5h5d 
AhJs7d7c4c 9s9h8s6d4s QhTd4h3d2h 9h8s8d5d4c 
Td9d8c7h4d JcTs7h4s4d QsJhJc8h3h AcTh8h5d3s 
Ac8h4c3h2d Jh8s7d6c4c 6c5c4s4d3d Ah8h7h5d2c 
Kc7d4h3d3c Ks9s8h4c3c JdTd9c5d2h Ts9h7d5c4d 
Ks9c8h7c3h AsJd8h5d3d As8s8c5s2h Kc9h8h7d2d 
KcQsTs6d2s Qh8s8c6h4d KdQd9h5s5c Kc8h7s4s2c 
JhTd8d4c2s Jh9s9h8c3d 9d9c7h4s4c AhQd7c5h2h 
Ts7s6h5d4s AdKs7h4c2s TsTd8c3s2d AcTd9d6s4d 
Kc7d7c6h2h QdJs8c5h3s JhJc5c3d3c Qs7s6c5h4s 
JcTs8c7h3c 9s6s6c4c3h Jc9h9c7c4d KhJcTh8h2h 
AsJc9d8h2d KdJc9s8d4d 8h7s6h6d2s AdKsTh4h2c 
KhJh5d4h4c QdTs7h6c3s Js7h7d6c5s Kd8d7h4h4d 
Ac8s8d5h4s Ts9d9c7h3s Td6c5s5d3s AsQc8c5h2d 
JdTc6c3d2s As4d4c2s2h KcQh8c5s3d AhJc7d5c3c 
AcTs9d6d4d 8h7h6s6h3s QdJsJc8s3s AdQd7d5c2h 
AsKh9c3s2d AcJs7h5s3s JsTd5c4h3c TdTc7h6h3s 
Kh8d7s4s2h Kh8c7d5h3s 7h7d6h4d2c KdJhJc8h3s 
Jd9h8s4d2h AhKc8s8d3c KdJc9h9c4s KhJcTd4c2c 
9c8s7h4h3c QcJs5h5d4d Kd9d8d6h4c KhJs6s5s5c 
Kd8s7d5h3c Th9c7c5d4c Kh9h9d7h4c KsTd9d9c5d 
Js9d7h4h3d KdTs8c5h4c Jc7d6c4d4c Ac7h5c3d3c 
QsQd8h6s2s KcTs8h4s2h Ts8h6s6h2s 8s7s6s6h3h 
QsTs9s8s3d Jh8d6h6c5s KsTdTc4s3s Ah7c6d4h2s 
Js8d6h6d3s KhTd6c5d3s KdJdTs8d2d JcTc8s7c2d 
Ah8h6s5h2c Ts9h9d5s3c KcQh9h5s4h QdTc5c4s3h 
KhQcTh4h3h Kd9h8h7h5c Tc8d7d7c3c As9s8h6c2s 
JsTd8s7c3s KsJs9s8d3c 9h7d7c5h2d Ts8d7d4s2h 
KhTs8s8c4d 6c5h4d3d3c QhTh6c4s3h QhTh8s7d2c 
KhTh8s7h3d Jc9c7s7h5c KdJh9d6c3d QsTs6h6d3c 
Ts9c7h5d4h Ks8h7s5d5c KdQc6c5c3c QsTc5d4h3c 
JhTd7h3d2c AsQc9d7h4h KdTh7s6s3c Js9h7d6c4s 
KdQcJc3h3c Tc7s7d3s3d Ah8d7s7d4c Jd8s8d7s2d 
AsTh9h5h4c Ah9d8d6c2c Js9s9d7c3h AdJc8h7s2c 
AcKc7c4d2h KdQhJd5d2d 9s8h7c5s4s Kd7d7c6c2c 
KsQdTh6h2c AcKd9s6s4h JcTs5h4d3h Jc9s9h8s5s 
Kc8h5c2h2d Ts9h6h6c4d AsJc8c5h2d QcJc9h8d4c 
KsJh7s3h2c Jc9s8h5d4s Qh8h7c5c3h QsQh8s5d2s 
Qd9d8s8d5h KhTh5c3c2c Qh9s9h6c4h Qh9c5c4h2c 
QdTc9h7h4h JhTc7s6s3d QhTd7s6d2s Qc7c6s6c3s 
Ad4h3h2h2d 9s9c8s7s5s 7d6h5d5c2c 9d8d7h4h3c 
KsJh9c7c3d Ad7c6h5h4h AdTh9h6c4h JhTs7h3s2c 
Th9d9c7h3s KhTd8s5c4s Th9s9c7d3h KhQd7d2h2c 
AdTh9s7c2h 9d7h7c5c4s 9d8d5s4s3h Ah8h7s7c3h 
Kh8h5h4d3d 9h9d7c4s4d Qh8d6d4d3h Ad8h7s6c4h 
Js9s9h8d3c Qd7h6d5h2s 9s8d7c5d4d AdQsTd7d2d 
JhTc7d4c3s 6c5s5c2s2c JsTc4d3d2s Jd6s5d4d3s 
Qc8c6c5h2h AcQdTh6d2d QsTc9d7h3h Td9s9c5d3h 
Qc9c6s5c2s JsTh8d8c2s 9c8d8c4s2d Ac9h8h7h4d 
7d5h5c4d3c 6s6d5s3h2h Ac7d6h5h4h AsTh9s3s2c 
Ad8d6s4d4c AdKd7d4h2s Kh7d6s4d3s Jh9h8c4s2c 
Qc6s6h4s3c KdJs5c4d3d Ts8c6d3s3d Ac8d8c6c3s 
AhKs9h6h3h JdJc8d3d2c QcJcTc8c2d AsKd9h5h5c 
Td9h8c6h3s 9h8d5h5c2d QhQd4h2s2h Kd7s7d5h4d 
AhJh5h5d4h Jd9h9c6s4d QdTc9h5h3h Ks6c5s4h3s 
AcKs7d5s2s KdTd9d7d5d KdTs5d4d3c AcTd7h5c2c 
Js9c7d5c3h JhTh9h6s3h KdJh7c3h2d Qs8d6d4d3s 
JsJh7s6d3c AhJd9d6c4s KhJhTh8h2c AhTs9s6s6d 
KhQhJh3d3c QcTs7c4h2h KcTh6s4s2h Ts9s9d3s2d 
6d5c4d3h3c JhJc7h5h3d Js9d7h6c4s KcTh6s6d4h 
JhTs8d7c3c JhTc7s5d3s Ks9d6h4h2s AsJs4d3s2d 
QhJhTs6d2h KcJhTh7h2d KhJh5c4s4h KdJd9d9c3h 
Kh9c5s4h2s Qc8c7d5s2d JhTh9c5s2h JcTs8c4d2h 
AdJcTh6c2s KsJd9c7d4d Kh9d9c6s3h AdJhTc3h2h 
As9c8s5s2h Qd9d6h5d4c QdJh8s8c4d Ts9h6c5c4d 
JsJc7s4c2c 9s8s5h5c2h TsTd8c3d2s AhKhJd7h2h 
Qh8h7h6c3c Ah8s6c5h2h QdTh9s7c3c Qs8s6s5c2c 
AcKsQs8s3s Td8c5h4h2d JdTs5h4d2c QhTc4h3d2c 
Ks9s8d6c2h JsTd8d4c2h Qd8s5s4s2d KhJs9d7s4s 
KdQc8d5s3h Jc8h6s5d4h Ks9s8h6d2c AhKd7c5d2d 
Kd9d7d5c3h QsJs9s5s3d Ks9h6d4d2s Ad9s7c5h4s 
KhJh9h4s2s JcTc9s4h4c 8d7c6d4d2c 9s7h7d5h4c 
QhJdJc7s3d 9h7h7d5s2s Qh9d8d7c5d KsKh8h4h3h 
Ts9c4s3h3c Qc8s8h6c4d 8h7h7d5h2d Qs8h6c4c2s 
KdQh9s5d2c Tc8d7c4d2s Ad9c4s3c2d Ks8s8d7s6s 
AsQs7s5d2c KcTc6h5s2d Qh9s9h4h3s KdJsTs7s2c 
KhJd9h5h4h AhKs9d6d4c Ks8s6s6c3c Jd9h8d6s6d 
9d6c5c4d2s AcKsJd6h2d Tc8s8d7c4h Td9d5h3h3d 
QsTd9h7h4h 8h7s7h5s2h Ks9d7s7c4h KhJdJc4s2c 
Ah6h5c3s2d QsTc9h7h4h QsJsJdJcTc QcJc9d8h2c 
AcKcQh8c2c AhTsTd6c3s JhTc5d4h2s Qd9s5s4d2s 
QcJhTd6s2d 8h7h7c5h2c QcJc8c6d6c Ac4s4d2h2c 
KhQd9s8c2h Kh9h8s4c3c Th9h6s5h4h KhJs9c8h4h 
Ts9d9c7s3h JsTc8c5h2c 8h7d5s4d2s Ad7s7h6c2d 
KsTs7c3h2c JhTsTc7d2h 9h9d7s4h4c KhQh6d4s3h 
QdTd4s4c2c 8c7h6c5d5c Tc9d7c5c4h Kd7c5s4s4c 
Jd8h7c6c4s KhTc7h6s2d KdQc7c5s5h Qd9s7s6s5s 
ThTc9s5c3c 9h8d8c5c4s Kd9h8h7s2s Ks9c6h4h2s 
AsKc8d3h2s 8h7c5c4h2h Tc9d8h7s4s AcKd4s3h2d 
Kd5d4c3c2c KsQd9h5d4d Tc9s8h8d5s AsKh8s8d2s 
Ad8s4d3s2c Tc9s4s4c3s QcTc5s2s2h AsTs5d3d2s 
Kh7s7h5h4d JsTd8h4s2c 8d7h7d5d2h QsJd9c6d3d 
AhKc7d5c2c JdTh4s3s2d AhKh7d4h3h KsJs5d4h3s 
7s7c6c4s2d JdTc5s4h3s Ks8d7h7c4s Kh7h6s6d2d 
Ah7d7c6s5d Qc9c6s4s4c Ks7h7d6d3h 7h6d5d4h2h 
QsTc9h7c3c AhKs8d7c3d QdQcJc7c3c Kc5d4d3c2s 
QdJd6s4s2d QsQd9h7h3c AsQs9s6s6c KsTh9c5d4d 
8c7d5h4d2h QsJh6h2s2c 8h8d4c3h3d QcJc3h2s2h 
Td6h5d5c3c JcTh8h5s2h 7s6c5s4h3s JdTs8s5c3s 
KsQh9d5s2c KsJs8c4c3s Jh8s7h7c3c QsJh5d4s2c 
JhTdTc3c2s AsKc9h5h5d Qc7d7c5h4s Ac9d8s6h6d 
Qh9s8s7c5s Th9h9d8c2s QsTs9s9d3s KcJsTs7s2h 
JdTc7h4s4c KcQc8c7c5h Td9c7c6c3h Jc8s7s7h6s 
Ks7s7h5c4s Qc7s6c5s2h QdTh5d4s3d KsQsJs8c2h 
KhTsTc8c3d AcKc5s2d2c AdQd9s7c2d 9s9c7h6d3d 
JdTsTc7h2d Js8s8c4c2h JdTs3s3d2s 8s7s7h4h2d 
Ad9h7s5h5c Ks8h5s5h2h AcKd9h5s5h QhJd3h3d2d 
KhJd8c4d3c AdQh9d5d3d TsTh8h3d2s KdJs9c8h4s 
KsJd9h6s3s AhQs8d8c4c QsJhJd8d3d Qc7d5d5c3d 
KsQcJs9s3s Ac9s8d7s4h Kd8d5h4h2h Td8c7c4c3d 
Ah7h7c5h3h QdTd8h8c2s JhTc6d4s4c Ts9s9c8h2d 
QhTc5d4s4c KsQc8d7s4s TsTh5s4d2d 9h7c6s6d5c 
Jc9s6h3h3c Th9d9c6d3d 8h5s5c4d4c 9s9c5d4h4c 
Ts8s5c4d2c AhQd7s7c4s KhJc7s6h3h KhTd7h4h3c 
AcJc8s3h3c KsJc9d7c3h ThTc7c5c4c Ts6d5s5h3h 
JsTh6d4h4c QsTh9h6h2c 9c8d5s5c2d Js9c6d5h3s 
KsJs9s9d5s KhJhTc8h2h KdQdTh2s2d AdQcTh6h2s 
QcTs7c5s2c Qs8s8d6d2s Ts9d4s3h3d 9h8c6h5d3s 
KcJh8d6s3c KdTc9s5h4h AdQs9c8c2h 9c8s8c4h2s 
Qc8d8c6s4c Th9h6s6d2s KsQc9d5c4c KhQc9s5h2d 
Kh8s8c5d4h AcKs8h4d2s JhJc6s6d3h 7d6d4h4d3h 
Kd7s7d5d4h 8h7h7c4c2d As5c3c2s2c TsTc9c8c4h 
AsQc9c5c3h Th8s5c4c2h AdJc8h7c2s QsTc7s4h2h 
Jh9h7s5h2s Qd8d7d5h4c KcQd7s4c3h AdKh8d8c2d 
9h9d7s6c3c 7d6c5h4h3h AdQs7h7c4h Jh9s5s2h2d 
KsQhJh2d2c Ts9h7c5d4c Ah6c4s4d3h 6s5s5h2s2h 
QdTd6h4s3d KsTc8c5h4c Th8s5d4d2h QsQd7h5c3c 
AdQsTc7s2s 6c5h5c4d2d Td9c6h5h4s KcQhTh6d2h 
Jh9c8h4h4c AhKh6h3d3c Qd7s7d4h3s KcTd9s8h3d 
Ks5h5d3s3c QcJc9d8s4c QsJh9d8c2h Qc9h5c3h3c 
KsJhTs8s2s Jc9h5h2d2c 9d8h8d7d5s KsQc9c5h4c 
JhTd5d3c2c AcQh7s5c2c KsJsTs8s2d 6c5c4d3d2s 
6s5h4s3h2d 8d8c4h4d2c Kd6s5d4h3d Ts7s7c3s3c 
Th9h8d3h2d AsKs5d2s2h JdTc7s6s3h KsTd6h5h4h 
Tc9c7c6s4c Jd9d6s5c3h JcTd7h3d2c JhJd6s4s2d 
8s6d5s4h4c Ah8d4h4d2h Td6d5h4h3d QcTc9s9c5c 
9h8d6s4h3d QsTsTh5s3s Th6s5s5c3h 9s9d7h5h4h 
KcJc9d9c3h KsJsJd8s4s Jc9d8s4c2s AhQc4c3s2s 
8c7s7d4h4d AhKhQc8h2h 7d5c4d4c3h Jh8h7c6h6d 
7s6c4d3s3c 9s7d5s3s3d Jh9c8s5d4c 9h9c7s6s4s 
Tc9c8s7h4c Qh7s6h5s2c JsTd7h5c3h As8h8d5c4c 
QhJh5s5h2s Qh9s7s6s5s 7c6s6d5d2c AcTc9c2s2h 
Qc6d6c5s2s Ac7c4h3h2h QsJc9c8d2c 9c6s5s4c2h 
AsQd6d5d3h AsKd7h4c2d JsTh9d6c2h Kd7c4s4c3d 
QcJhTd6c2c Kh7s4s4c3h AhQh9h6s6h AdKs8h7h2c 
QcJs5c4h2d 6d5s4d3s3h AsQs9d7c2s KsQs9s8s6s 
QdTd8h4s3c 7s7d5c4c3h Qh6d5h3d3c JsTd5d3h2h 
9d8s7s4d3c AcKh8h5s2h KsQcJs6d2s KcJd6c3d2d 
QhTc7h4s2s KhQd9s5d4d TsTh9d8c3c Qc8c7c5s3s 
Tc9d8d3c2c As9s9h4s2h Ts8c7s4c2h Th9c6s5d4s 
Qs9s5c4h2h AcQd6d4h2h Th9c8s7d4d ThTc9d7s3s 
QhJh5h5d2d 9s7s7c5d2d 7s7d6s2d2c Th8h8c4c2h 
Jd9c8h4d2c AsTh8c7d2c KcJc7d6d2c QcJdJc6c3c 
KcTsTh8h3d KcQc9h8c5c AcQs9s6d3h AsKs7s4c3s 
9d8h6d5c3s Th6s6d5s3d AsTc8c5c3h QhTd7s4c3h 
Qc8c7h5s2h QcTh9d7h3h AsQs8c3c2s Kc6d6c5c4h 
AcKcJc7c3c QcJc9h8s2c Qc7d6h5c2h Kh8s7s5d4c 
KcJc9s6c3d Kd9h8c4d2h KsQc5c4c3h Ad9s8c7s4h 
JsJd7h6h4h Tc9c6h4s2h AsKh8d4c2h QcJh8d3d3c 
AdKc9c7s2c Td9s6h5c4h Kc7s7c5d4c KdJs7c3s2d 
KdTs8h5c4c JhTd8s6s3c Js9h7c4c3h 8d8c4h4c2d 
Ad8d6d5s4d KsQdJs6c2s Ts5h5d3s3d As8s6d3h3c 
Ac6s5c4d3c QsTh7s5h2s Qh9h5d4s2s As5s4h4d2c 
ThTd7s4s4c Ks9s8c6s6h Th9d5d4h2c Kc9s5s3d2c 
Qs8h8d6c4s Jh8d6s5c4c KhTs6d5c3s AhQc7s5h2h 
QdJhJdJcTh Ac8h8d5d2h Qc8s6s4c2d AsJsJdJc8c 
AdJcTc6c3c Js9c7d4d3c AdQs9h8h2c QsJh8s6s4s 
KhJs9d5s3s AdKd7d4s2h KsQh9d8c5c AdJh8c7s2h 
Tc9s7h5c3d KcQs5d4h2s JsTd5h4d3d Td9s4s3s3d 
Qd8c6s6d2c Tc8h5d4d2c Qh8d6h4c2d Th8d6s3s3h 
Js8s8d6d3s Kd8h8c7s4d JdTd9h5d2c Tc8c6d6c5s 
Qh9s8h4d3d KhTd6s6c4c Jd8d5s4h2h 7s5d5c4s4h 
Kh7d5c4d3c JhJc6d4c2d JcTs7c3h2s KdTc9h8s3c 
Kh9h8c6h4d 7d7c5h4h3s Qc6h6d4h3c Jh8c7s7c5d 
Th8s7h5s2s KdTh8s8h4c 9c7s7c5d2d QsJc9s8h2s 
Qh6d5d4s3s Qc9c6s5c4h Jh9d9c6s4h QcTsTc3h2d 
JdTh7c3d2h AcTs9s6d4s AhQh9h4s3d Jc9d7h5d3s 
KsJc9h5c3c QsTs9s8s3c ThTc5s4s2h QhJh8h6h4c 
KhJh5d4c3h Qc7h6s5h2c Ks8s7s6c4s KsTd6h6c4h 
KsQdTd3h3c Qd6s5d4s2d Td7s6s6h5c Ah6h5c3h2c 
Ac5c4c3s2s KdJhTh7h2s KsJh9s6c3s Qd9d8h8d5s 
KcQs9c5c4c JhTh7c4h4d Th8c5h4d2c KdJhTc6d2d 
AcQsQhQc2s Ac7c4s3h3d Th9d8s6d3c Qs9s5h4d2d 
JdJc4s4h3c QhTs9c5c3c QcJd5s4c2h KcTc7h3d2h 
KcQs8d7s4h Td8c6s6d2c Th6c5c4h3c Th9c7s5d4s 
9h7c6h5s5d AcKh9d8s3s TsTc6c5d3h AdTh8c2h2c 
Th9h5s4h3s AdKc6h6c2s AsTh8h7h2d AcKh8h4s2d 
Td9h7d6d4d QsQc6h3h3d KdTs7h6h3c 9s9c6d6c2h 
QcJs9d8h2s Jh9s7h5h3c Ts9s6h4h2h KcQd9s8h3c 
JdTh9c4h2s Jc8h6s6c4d 7c6h4s4h3c KhJd6d5d5c 
QcTh5s4d3h Js9d7c5d3h AhTd8s7s2c Ts9h7h5h2s 
Qd8s6h6d2s KhQc5s5d4d AhJh8h6h5h JhTh8s3s2h 
JsTh5d4h3h QdTd6s4d4c Qc8h5s5c3h Ad9c5d4c2d 
KdQh8c3h2d Qc7c6h5s4c Js9c8d2s2d Qc9s7h4c3h 
Qh7h6h6d5c QdJh9s8s2c 8c7d5d2s2c Th8h7s4s3h 
Ac7s7h6d5h Ah5d4h3s3c KcQsTs5s5d 7d6c5s5d2s 
JdTh9s4h2c KcJhTs6c2c AsKhQh3h2h Qs9h8c7h2c 
Jc9s9c4s2s Ac9c7h2h2c AdQs9s9c4s Ts9d8c6d3h 
Ah8h6c3s3d QdTd6s4c3d Jh9d6c3h3c JhTh9h6h3c 
9c7h6s6d5c Ac6c5h3s2d 9c8c6d6c5s AcTs4c3s2c 
Qd7d6d6c5s Jc9h9c3h2s Th8d6h6d2h AdQs6d5d3d 
KhQhTd4s2h KhTd8s5c4c QsJs6d5c2h Js9d6d5s2s 
Ah9d4s3d2h Ts8d7s5d2d QdTd8d7c4d KcQcJc8s2d 
KsTd6c2s2c Ac9h5d5c4c AsJh9c8d2c Kc5d4d3c2h 
Ac7s7d6h2c KhQsJs8d3c 9h8h6s5d3c AcJc4h4c3d 
KhQsJs3s3d 7s6h5s5c2c AsJs4s4h3c Qc9s8s7h2h 
8h7s6d5c3s KhTc6s5c3d AsKh9d6c4d Qh9h6c5h4s 
Ts9c8s7h4s Ks9s9d8c5s Qs9s9d6c4s Kc9c7c5h3s 
TsTh5c4c2h Qd8d7d5c4s AdJc9c6h4s TsTc7d5d2c 
As8s8d7s4s 9s8s5h5d2d Ks9d9c6s3h Kh7s7d6s5c 
AdKh4d4c2d Kd9h5s4d2s Kc8d5c2h2d QhJc9h8s2h 
JsTd6h3s2d QsQdJc6c2c JhJd7d4h2h 9s9c8s6d4s 
Tc8s6h6c2s Th6h5s4s3h JdTc8c6s3h KhQdTd3s3c 
JcTs8d5h3h TsTh7c5c2s 8d7s6d5h3c KdQc6h4d2s 
Jc8d7s7h5h JcTs8s6d3h Qc8s5d5c3s 6h5h4c3c2s 
9h9c6c4c2h Js8s8h6h3s QcJh5c4s2d JcTh8h7h2s 
KcTs6h5s5d QcTsTd7s3s 9s8c6d4s3c Ts9d6d5c4d 
Kh7c5d4h3s Th8d6s6h2d AdKd4d3h2c As8d7h7d2h 
As8s4h3h2c 9d6c5c3d3c AsThTc6d3c KdTd7h3h2c 
9d8d7c4d4c JdTdTc6d3d AsTd6s6h3s TsTh5c4s2c 
As7s4c3c2c KcTc8d5s2h 9c7c6s5h5d Tc9d7d5c2d 
Jd7h6d5s4d KsQs8s7s5c 7d6h4h4c3d KhJc8d7s2h 
JhTs7c5d3c As7c6d5h4c JcTc9c6d3c AcKc8d5c3c 
Tc6s5h5c3h Jc8s7s7h5d Kd7s4s4h3d Ad7c6s4c3s 
QdJc6h5s2d AdQsJs6s3s As6s5d3c2h QhTsTd8c2c 
AsKd8c4h2d AsJh9h6c2c 7s6h5s4h2s AsKh8h4d2c 
9d9c8c6s4c Qc5d4h4c3h Qd8h5s4s4h JsTh9c7d2c 
JhJd9c7s3c QcTh7s6h2s KcQd9c5c3h Kh9c8c7d2d 
AhKd4d3s3d 7s5h5d4s3h JhTdTc3h2s 8s7d6h5c3d 
QsTc7d6c2d Td9c7c6c3s KsJh9c5h3h 6h5h4d3d2s 
KhJh9h9d5h JhTd4c2d2c 7s7d6d2s2c KcQh7h7c2c 
QdJh9s8d2d 9d8c7h5d4d QcJh6s4h3d 6h5d4h3d2s 
Ac9d7c5c3c Js9s5h5d2d Tc9h9c4s4c AcJs8d7s2h 
KdTsTd3h2c QsJc9s8s3d 8s7h7d6d5d JcTd6h5s3s 
TsTh7h5h4h JdTc6c3d2h Js9h7d5d4c Ac6c5d3s2h 
Js9h6d5s5c Jc9s5h5c2h AsJs4h2s2h QsTh7s6s3c 
QhJh7h7c6h AcTd4c3c2d QhTh6s6c3d Td8h6s6c5h 
8s7h5c4h2c KdQdJd6s2h Ad7s6h4s3h JsTh5c4d3d 
Jd6d5s5h3s Ad8h8d7d4d KsQdTd3h2c Ad6h6c5d3d 
JsTd9s4s2c 9c7h6c5h2c AdQh9c7s4s Kh9s8s3h3c 
Ah8h4d3h3d Qs9h8h4c2s TsTd7c5c2s QcTc9c5s2h 
Th9s6s6c4d Ah9s5h5c4h Ts9s7s6c4s AcQh9s7s4d 
Qd8s6s5h2h Ts8s8h7c4s JcTsTd3d2h KdTs7c6s3s 
TsTh9c5s3s ThTd5h4d2d Qs6c5s3h3c Td9h5h4d2c 
9d7s7c4c3d AsKh7h6h3h AcQh4h3s2s AdKs8s4c2h 
9h6h6c4c3d Jc9d7s5d3h Kh6d5h2s2d AcKs9c6c3c 
Td9s6c5c4h Jd9d7d5c2c KsJs9s6d3h QhJs7h6s2h 
JhJc6s6h3d KcQd7h4c3s AdTc7h5d2d Ac8h7d7c3c 
QsQc8s6h2s KhTh9s4d4c AhTs8s5s3d AcKd8h8c2c 
KhTh5d4h4c 8c7h7d5d4d 6s5d4c3s3c JcTc9d4s4c 
AhQc9d9c2s QsQc8c6h2c Tc9c6h4d2h Js6s5d5c3d 
KcQcJc3s3d Kh8c7c4h2c QdJd9s8h4d QdJc8d6d4d 
KhQcJc8d2s AhJdTs6d2c JhTd8c7s3s KcQcJh3c2s 
Ah6d5h4c3h Kd9s5s3c2d TdTc9d8d5d JcTs5s3h2h 
JsTd8c5h3c Jc7d6h5s4d AhKd9s6s4c KsTc9h3d2s 
KsTd9c3h2s JhTc8d4h2s Jd9d7h4d3h JsJc6d4s2d 
KcJs8h6d3c 8d7s6d6c2s Tc8h5d5c3d Ks7s7d5c4s 
Tc8c5s5h3s AcJh8s5h3h Qc8c7c5d3d 9s9d8d6d4h 
KsTdTc3h3d Jh8h5c4s2s Js8h7c6c4d QsTh5d2s2d 
AdQh9c7c4s 9h9c6h4h2c Ts9h4s3h3c Js6d5s5d4d 
6s5c4d3s3d Qd8d7c6c3d AsQs6d3d2s QhTh7s4c3d 
AdJs8c7s2h Th9c6s6c5c KhJd8c7h3s Js7d6c5h4d 
Kd9s6d6c4h KhQcJc8d3s Qs9d9c2d2c Kh9h8d6h4c 
JdTs8s7s2h AsThTd6c3h Ts9s9d8h2c Th9d6s6d5d 
Tc7d6c5c4h AsKh4h3d2c AhJd9d6s4c JsTh5h3d2d 
Qc6h5c3s3h As9c6s6h4s KsKhKcQc8h QsQcJc7c3c 
