Kh9s9d8s4c 
JsJhJd9d9c Ad8s6h3s3h Jh7s5h4h3c Th5s5h4s3s 
Tc7d5c4s3c QdJc5h4s2s Ts9h9d4c2h KsJs8s7s4s 
KcTc8d4c2s QsTc6h5d2d Kh6h5d3h3c Tc9d6c5c2s 
QsJc7s5h2d JdJc7h6d2s AcTh4s4h2s TdTc7s6h2c 
Tc6d5h3h2c 9h8s7h5c2h Kc9s7s5s5d QsTh7s3h2s 
9s9c5h5d2d 7s6c4c3s2h Qd7s6h5c3s JhJd8c4h3h 
Qs9c5s3s2c JsJc6d2h2c Tc6h4h4c2d Ks9s6s5c2d 
KdJs8h6s3c Qc8c5s5d4c KcQs6h5d2h Qd8s4s4d2h 
8c6s6h3c2h QhTd5s4h2h Jc7s6d4d2c Ah9d6d5s3c 
Qs5s4h3h2h Kh7h4s3s2d Qc9d8s8d3h QsQc6d4h2d 
QhTd8s4d2c KhQc7s3h3d Qd7c6c5s5h 9h6c4h3h3c 
JhTh7h5h3h Jc9s9d7d2h Tc7s7h4c2h Jd9c4c3d2h 
9s9d7d5h2d 9c8s8d6c3c Td9h6s5c2h Js9s3d2d2c 
6d5d3h3c2c Qc8s6h6d4s ThTd8h4h3c QdTd7d6s2h 
Ts8h5s4c3d Qc6c5h4s2d As5h4s3s2d Js9h9c4d3c 
Ac9d8d6h3s Jh9s9d4c3d 7h5d4c2d2c 8h6c5d3s3d 
Kc8s6d4s2d AhKd9s6c2s Tc9c5c4s3c Jd6s5s2h2d 
Ts6s4d4c2c Td8h5h3d2s QhJd5s5c2h Th6c5s4s4d 
Ad9h6h5s3c Qd9d5s5h4d 9c7c6h4c3s Jd7s6d6c2s 
Kd9c8s6s4s KcJc6d4c3c Td6s5s3h2d JhJc7s6h2d 
9c8s8d5d2d Qh8h7h6d3c KdTd8s4d2c Jd9s5h5c4s 
AhKc7h3d2h Qd9h7s5h3h KhQs9h3c2d 8h7s4s4c2h 
AhQs8s6s3s QhTh8h5h2s AcTc4d4c2s JhJdJc9s9d 
Ks8s6s5c2d KsQsJs8s3d 9d9c8d7d4d Ac4d3c2d2c 
Tc9s9d4h2d Jc8d8c7h2s Td6h5h3c2d 6s6h5d2d2c 
7h6c5c3s3c Ks9c7c5d3c AsKs8d4s2s JcTc8c3d2s 
9s7d4d3s3d Qc7d7c6c2d Kh6d5c3d2c 8h7h6d5h2h 
Jd7h6c4d2c 9h8d7s5h2h Jd7c5s4c2s 9s7c6d5s2h 
KhJc8s5c3c 8s8c6c4d2c QhJh9h9d3h Ks7s6s5h2c 
Kh9s9d7c4c Jc7h5d5c4c Jd7s5h4s4c 8s7s6s4h3d 
Tc8c7d6s2c Jc9c4h2s2h Js8s8h5s3d JcTc9h3c2c 
9d8d6d5d2h 9s7s6d4s3h 8s6c4s4c2c KhJd8s7c3d 
Jc9d7c4s4h AdKd6d4d3d Tc6c4s4h2h 7c5d4s4c2d 
Qc8h7d3d3c Kh7h4d3c2d Qc8s4s4c2d Kd6h6c4d3d 
Th6d5s3d2h AdJc6d4d3d TdTc4s4c3c AhTc4h4d2h 
Jh9d8s7s3s 9s8s7s6d2h 8s7h4s4h2d Ad9h8s8c2s 
7c6s4s2h2c QdJhJc7h2h 9d8c7d3c2s AsKc9h3c2d 
Js9d6s6c4s Kh7s6c3c2h Qs9h5h3s2s Kd7h5c4d2s 
Kd9d6d5c2h QhTc8s4d2s Qs9c8d5h3d Td9d7d4s4d 
KhJs7c4d4c 8s6d6c3s2c Jh9h8s6h2c AdJs6h5h3h 
Ah8d5s5d4d Th9s8h2h2c JhTc7s6d2c AcTs9c3c2c 
Jh7s5d4s2d 8c7h7d4d3s Jd8c5s4h3d KdJs8c3c2s 
8h6s6c5d3h Ks8s8h3h2c AsTc6d6c3h AhQd7c3d2c 
AcQd4h3d2s Jc9d7c4h3s KsKhKdJcTc 9h7s6h4h3c 
Qs9c8s7s4s KdQs7s6c2h KhQd9d8d3s Jd9d4h4c2c 
Ts8d4s2h2d KcQd9s8d2d AdJc9c2s2h Tc9s9d7s2s 
Qh9d8d8c4s Ts8c4s2h2c AcKs9d3s2h AcQs7s7h3s 
Ad6d6c4d2h 7s6s6h3d2h 9s5s5c3s3d Jh9c8d5s2s 
9d7h7c4d2c KhTd8s5d2c AhKd8d4d3d Qh6d4s3s2h 
KdJd9d4s3d Qh9h7s4s2d 9s8c7d5s2s 9h7c4h3h3c 
Js9s4d2h2d QsJs8d4h3s 8s6s4h3d2d Qh7s7c5c4d 
6h5c3s2s2h 8s6s4c3h2h 8h6h4d3s2d QhTs7d5c2h 
Ks7d6c4h3h Tc8h8d4d3s QcTd8s4h2h Js8h6s5d3s 
KsQd9d5h2d As6s6h4s2d AhKs9c3d2s Jh7h5c3c2d 
Ts9c7s6h2s Qd8h4h3d3c Ts9d9c4c2h Ks8s7h3d2h 
ThTd5c4d2s KsJh6c4d3d QcJc8c4h3d 9s7s5h4s3s 
AdTc4s4d2d Jd7s5d4d3c AhQs7d6c2s 8s5c4c2s2c 
9h8c7h5d2h Ts8d6s4s3c QsQh5d3c2c Th9s8h3h3d 
QdJd8h7d2s JdTc8s2s2h Tc5h4c3s3h QsJs8s7h3d 
KdTh5c3d2s Qs6s5h5c3d KhJd9c4s3s Ks7c5h5d4d 
Js9d5c4h3h QdJc7h7d3s 7c5s5h3h2s Qh7d5h4h2d 
Ah9s9c8c2c KdJc8h6s3c Js7h5c4h4d KsJc8d5h3d 
Qc8c7c6d3s Kc8c6c5d2h QcJc9s9c3c Td9h5s4h3h 
9d8d6s3h3c KdQc9h6h2s Ks6d5h5d3c QhJd6c4d2s 
Tc9c8c7c2h KcTs8c3h3d 9d6s5d5c4d Qc5c4d3d2d 
9c8d6c3c2d Tc8h6s3c2s Qd8d6d5s2c Qd5s5d3h2h 
Kh9s9c5d5c Tc8c7s4d3h Kc9d5c3d2c Td7s5d4s2d 
Th5d5c2d2c QsJd9c3h2s Ah9s5s5c2c Jc5d4d4c2s 
Js9h5s3d3c AcJh6c2s2d QcTsTd3d2d 8s8d7h5h2c 
AhQc4s4d3d KcQh9h8h3s Jh8d7s5d3d Qs5c4h2s2h 
Qd8s7h3h3d AcJh5h4d2s JhJd8s7s2s KhJs8h4h3d 
7d5c4h4c2d AdTh6c5c3c Ts8s7h6d2s KdJh9h8h4h 
8h7d5h3d2s Td6s5c3s2d TsTh6c4d3d 8s6h6c5d3s 
AhTs6c5d3c TsTc8s4d3s Js5h5c4s2h AcQh7h3d2d 
8d5h4d2h2d 8d7d7c5s2d Qh9h5s5d4h Ac8s8h5d3h 
QsTs7s6d2h Tc7c5d4s4c 7s6s5s3h3c Ac9s4c3c2s 
9s8s7c6s2h 9h9c8d7h3h 9d8d7d6s2h Jc9c5d5c3s 
QsJd5c4h2c Kd7h5s5c4c Js8c5c4h4d 9c6s4c3s3c 
QsJh6c5d2c Jh8c6h5d3h Tc8d8c7c2h KdQh9s9h2h 
KcTc7h7c3c Ks9s9h8s4c KcTc7c5s2h Jh9s8c6c3c 
Th9h8h7c2h Kh7c6d4s3s Td8c6d3c2h As9c8c6h3d 
Qh9h9c7d2s As9c8h6d3h 6s5s3h3c2c JsTs6d4s2h 
9s6s5s4h3d 7d5c4s4d2c 9h9c7h2s2d KdJc6c4h3c 
Th9h5d2h2d AdJc9c4h2s Ts9c8h5h2h Th8h7s4d3c 
KdTs8h6c2c Qd8c6c3s2d 9c8c7h4h2h KsJh8d5h3h 
Kd8s8c6h4h Qs7h5c2s2h QhTd7s5c2h Ks8h6c4h2c 
7h6c4d4c3s Js9d8h2s2c Jc9s5h5d4s KhTd8s8c3d 
KsTc5h4d2c Td8d7d6d3h Kd9s8h5c4s Ac9d7d6h3d 
9h6h5s3h3d 7h6c4c3h2s 9h8s5s3s2h 8c6d5h5d3s 
AcTs6h5h3h Td9d7h5c2s QhTh6h5s2h 9s9c4s3c2d 
9s7s5d4s3s AsKh9s3c2s AcJs8c3c2d Qs8h4s4h2d 
KhQd9h3c2s KhQd5c3h2h Jc6h5s3c2h Kh9s9c7d4d 
QsJd9c3h3d 7s6s5d4h2s Qc6c5s4d2h Jc7h6d4c2h 
KcTc8c4h2s Qd9s7s2h2d Kd6d5c4s2d AsJc8c4c3d 
AcKsThTdTc Kc9c8c6d4c AdJc6s5s3s QsTh7s2s2h 
Jc9c7h7d4c QcJh9d3s2c 9d5h4d3s3h KsQd5d4d2d 
9s9c8s7s4s 8h7s6c3s3d AsQd9c4c3h Ad9c7s7h3c 
9d6d5d4c3s 9c8d7h7c2s QcTd7c2d2c AhKc8h3h2s 
QdQc8d3h2s Jd8s6d5h3d Td8d7s4c3h Js8s8h5s3c 
Td6s4s4h3h JhTc5s2h2d Qd5d5c3s2s Ks7s6s5d2c 
QdJs7d4d3c Jc9c4h2h2d AdTs7d5d2d KsTs7s5d2h 
Ts7c5c4s2s Tc9s9d4h2s Kh9h8h5d2s AcKs9h3d2s 
AdJh8d3d2s Kh9c6c5s5c 9h8s4h3s3c Tc9c7s3h3c 
JsJc9d6d2d Qh9d8s5c3s Qh9d8h5s2h 8s7h4s4h2c 
JdTs5h5c2s QdTc9c4c2c AhQc8c5c2c KcQs9s8s3h 
AdTc3d2s2h As8d7d7c3h Qd8d6d5s2h Kd9h8d7c2d 
Qc8h6c4d3s 7s7d6h5c2s QdTh5c4s2s KdQc9d3s2h 
AhJd8h4h3h KhTs7h3h3c KdQc8c5s2c Ad8c6s3h2d 
QcTd8c3s2h QsThTd3d2d JsTc5h5d2c 7s5s5d4c3h 
AdJs9c6c3c AcTs9h6h2d Jh7c5s5c4d Th8d7s6c2s 
Th9d6h5h2c Ac9h7s7d3h Tc9d8h5d2d Kc9s8d5h4s 
KcQs6s4d2s Qd9h9c8s3h QcTh7c2h2c Th8c4h2d2c 
Ac9s9h8h2h Jd7c5h5d3s KhQc9h4d2s Qd5h5d3s2s 
8c7s5s4d2h 8s6h5d4h3h TsTc8h3h3d 9d6c4c3d3c 
Qh8s8h4h4c Tc5d5c4d3d Tc8s6c3s2d 8d7h4d3h3d 
AhTd7d3s3c Th8d6h4h3s Ts9s9d7s2s QsTd3c2d2c 
KcTs9s9h9c QcTd8h4s2s Ts9s8s7s2c Kd6s5s5h3c 
9s9c4c3s2d Kd9s7s5s5c Qh7d5d4h2h Th7h6h4s4c 
Qh9c7h2d2c KcJc9d9c2c 9c5h4c3h3d Ac9s5s5d2d 
Td6d4h4c2c KhJd9c6c2s 9d8c7h4s4c KcJs9d4d3h 
KcJc8h3c2h Td8c7s7d2h 8h7d5s3h2d Ah8d7s6s3c 
Qh7h7d6h2d Tc9s9h7s2s 9s8d7d3s2h QsQc5h3d2d 
Ah9s7h4c2h Qc7h7d5h4h TsTc6h4d3d QsJs8s4h3c 
Qc8s8c5c3d Th8d7h5s2c Qd9s7s4s2d Th9d9c7c2c 
Jh7d6s4h2s KsJd6d4c3d Ad8s8h5c3s Jh7c6c4h2c 
Jd7s6d6c4d KdQs9c3h3d KcQh8c5c3c 9d5s4c3s3d 
7c5h4d4c2h AhTs8c4d2c QsTc8d4h2h Th7d6s4s2d 
Qs9h8c4c2h JcTh7c6c2s 8c7s5c3c2s JdTh8c2s2c 
9c5s4h3s3c KcJh7h4d3h 8s7h7c3c2h 9s6c5h5d4s 
Td9s8h5s2s AcQc4c2h2d KsJd9c7c2h QsJs7s4h3c 
Qs9h7h2s2c Th6s6d4d2s Jh9d9c7d2s 6s5c3h2s2c 
Td8c6h3d2h Js8s5s5c4s Th9d5s5c3c KdQd9d7s2c 
ThTc6d4s3s AhTh9h4h3h Qh9d7s5d3d 9h8d8c7s3h 
QhTh9d7h2h Ac9s7c4h2c Jh7h5s5d4h Th9s5d4s3s 
Td7h5d4c3d Ac3d3c2s2c AsTc8h4d2h Qs9h6h2s2h 
6h5s3h3d2s 9s8s7h6s2c Th9s8h3h3c Jc7c5d4c3s 
7s6c5d4h2c AhKh9c6h2h QsJd8s4s3h KhQc9s8c2c 
Tc9s8s4s4h QsTh6d5c2c Qs8h8d5s3c 9d9c5s2h2d 
AcKc9d3c2s Qh8h5d3s2s Qd7h5d4d2h QsJs8d4s3c 
Qs9c7s3c2d Kh9d9c7s4s AdQc4s4h3h 9s9h5c2h2d 
KhQh9c7h3h Ks8c7h7c4c As9h8c7c2c Th8c5c3h2s 
Td8d5h4s3c KcQc6c5d2c Jc8h5c3s2h KhTd9d3s3d 
Ks9d7h5d3d Jc9d6s6d4h Kh8h7s6c2h Qd8h6c5c3s 
Js8c6c2s2d As8c6s5s3s AsTc7s3s2d Ts8h8c4c3d 
Jc9d6h6c4c Ad7d4c3s3d Kd8h8d3c2h Jd7d5s4d3c 
Kh9s6d5d4d QdJc8d4d3s Ks8h7s4s2h AdQs5c3s2h 
9h9d7d4d3c JdJc9h4s2h KhQs9s9c2s Ks6c5h5d4d 
JhTh6s4h2c Qs9h9c7c4c Qd9s8c4s2c Qc9h8d4h2d 
Qc8h6c5c2s Jd7c5d4h3d Jd7h6h5h3s JhJd7d3c2c 
Ac5c4s2h2c Jd6c5c2h2d Kc6s3s3c2h Kh6h5s3h3c 
JhJd7h5h2c QsTd8d4d3d Qd9s7s6c3s Ac8s5s4s4d 
Qh9c4h3h3c QsJh9s4s4c KdQd9c7d2h Jc9s9h4d3h 
Th6h4d4c2d Ks7s4d3c2d As9h9c8h2h QdJd8s4d3h 
Jc9c8s8c3d 9s8h8d3s3c JsTc7h6d2c AsKs9c3s2h 
QdTh7s4s3s Jh9d7h4c3s Qh9s5s3h2h Th8s6d5h2h 
Qd7s6h5s3c 9c6c5c4s3d Jd9h8h6s2c AcJd7h5d2d 
Ac9s9h6s4s Qc7c5s5d2s QsQd8c4c3c Ad7d7c2s2d 
9s7s5h3s2h Qd6h4c3c2d 8h6h4d3c2c KdJh6d3s3c 
Td8c7d5s2h AdQd9d4d3s 9h5s5h4s2c QdJd8s4c3d 
6s6c4s3s3d Jc8c6s4h4d Jc9s8c7c3c 6d5d5c2s2h 
Tc8c5d4s3h Jc8s8c7d2h 9s9c3c2s2c QdJc9s3h2d 
9h9c7s4s3d Kd9c6c5h5c 9c8c7c5c3s AcTd7d3s3h 
QsTd8c5c2c KsTs9s3h3d KdQs9h8s2s JhTh7s5h2c 
Kc9c6c5s2h QsQd8c3h2d 6c5d3h2d2c 9s9c7s5d2s 
Kc5h4s3d2c AsKd5c3c2h KcQh8s8c2d AdQd6s5d2d 
Kd9h9d8d4c KdJc6s3c2s QhJc7h4h3d 9d6s6h5d3d 
Jd6c5c2s2d Th8s7d6c2d 9h6c5d4s4d Ts5s5h4c2h 
Kd8h5d3h2h AhQs7d6s2c Kd9s8d7c3d Kc9s8c7d3c 
QdJs9s3h3c Js7h5s5c4s KhJd7s6s3s Qs8h6h3d2s 
Jh8c6s2s2h 8h7s7h6h3d Qc8c4s4h3s KdJd9d4c2s 
AsJc8d6c3c Ts8c6s4s3h Kd7d5h5d3s KhJh9h4c2s 
Jc9h7c4s4d KhTs8s5c2d Ks7d4s3d2h KhJh6d2h2d 
Kh9c8s7s3d 9s8c7d6d2d AdJc8h4c2s QdJc9d4s2d 
Td8s7c5c3c JdTs4d3h2c TdTc8d4d3s AsQh9d4d3c 
Qd8d8c4s4d 8h7c5c4d2s 6s6h5c4h2d Kd7c5s4d2h 
Ah9s9d5c3d AhTc9s2s2d KcJs8h6s3d Th6s5d3d2h 
KdQh8c7h3s Jc8h7d5s3s Td7d6d4s4h Js9c7s6d2h 
Ts9h9c5s2s 8d7s5c4s2h 8h7d4h3h3d Ts8c7h5h3h 
ThTc7d5s2h Ah5c4h3h2s Ad7s6s4h2h 9s5d4s3h3d 
Kc9d8s6s4s As5d4h3h2d 6s6h4h3h3c KhJd6c4s3c 
Kd6s6d4d3c Ah9s8d6s3c JsTs6c4s2d 7h6s6h3c2s 
QhTc7d4d3d Qs9d7h4d2s Qd8s5c3d2c 7s6h6c3c2h 
QdTc8d3h2s Js5c4s4c2d Th9s9c4s2d Tc5c4h4c3h 
9s7h6h3d2d As9c5c4h2h Qd6h5s4h3c 8s5h4h2s2d 
6d5c3h2h2d 8c6s5d3h3c Ad7h5s4h3h KsQc8h5h5d 
KsJs9s4d2h Ks9s7c4h4d Ad9c7h4h2c Th9d7c5d2s 
Qd9h7d2h2c KdTc8s7s2s Ac7d6d4s2s 7c5d4h4d2c 
AcKh6d4d2s KcQd7d6s2h KcQd7d6d3d Ks9h8s7d3s 
Jh5c4h4c2d KcQh5h4h2h Qh9d8s4d2s Ts9s7c6d2s 
KdQc3s2h2d 7s6c4s4d2c Qd7s7h5h4c Kh7s7h4s2h 
AsTc7d3h3d As9d6d5d4h Kh9d8c5s4c AsTd9h6h2c 
AcQs9d4d3h AcKc9c4c3s Qh9c5s5d3h AsTd9c2h2c 
Jd9s6s4c2c AhQs6s6d3s Th8h6h4h4d 7c6h5h3h3d 
Jc9c7h3d2d 9c8d7s5c2c Td9d7c3s3d QsQh6d4c2d 
Jh9s8h8d2h 9h7d7c4h2c AcJd9h6h3h 9s9d4s3d2c 
Ts9d8d4d4c 9c8s7h7c4c Jh8d7c5h2s Td6d4s4c2s 
8d6s6c3d2s 7s5d5c4d3h Td9c3d3c2h Ts9c6d6c2h 
9h8h6d3s3c Js9c5s4h3s AhKh7s4h2h Kc7d7c2s2d 
Ts8s8h7s2d Ts6h5h3d2s 7c6h4s4c2h Kd9h5h4s2s 
Td7h6s4s2h QcTh8d4s2s Td9s5h4s3s Th8s5s3h2d 
QhJh9h9c3h KcQs7s6s3s Qc8h6h3s2c Qh4s4d2s2d 
Qc9d4c3d2h 6s6d4s3s3h Ks6s4h3h2s QsTc7h7d3c 
Kc9c6s5h2c Qh9d7c5d3d Jh9d5s4c3c Jd7h5d5c3s 
9c8c5h4s4d QsTd7c4c3c Ks8s7h7d2c Kh9d8c6c4c 
8d7h5c3c2d Qc8s7d3d3c KdTs8s5h2c QdTh9h4h2h 
8c7d7c6c3s Qc9c5s5d3h 8d6h6c5s2c 9c8s7d7c4c 
AcTs6s6d3h JsTd7h4d2c Th9d8c4d3s KcQd9c3s2h 
Kd5s4h3c2d KcQs6d5h2h KdTh8d3s3c Ah7d7c6h2h 
Qh9h7h7d4s QdTd8h5d2d Tc6h4s4h3s Qc9s7h5s3s 
8s7d4s4d2h 8h6s6c5d2s Qh7h6s6d4h QcTs7c3s2c 
7h7c6d5d2s Jd7c5h5c4s Jd5c4s4d2s Jh6h4d3s3d 
TsTd7h6c2d Ad5h4d3d2c 9s9d8h6s2s Tc6d5d3s2c 
QdQc8h3s2d Jd9d5s5d3h Ah5c4h3h2d 8c7s6h6d3c 
JcTc6d4c2s Jc6d5d2s2c QsTd5s3h2c KcTd8s8h2d 
6h6d4s3s3c 8h5h4c3c2d AsJd5c4d2h Ah9h8h6h4h 
QhJs6c4s2d As7c6s4d2s 8d6s6c3d2c AcQh5d3s2h 
Ad5s4c3d2d Ks6s5c4h2s Qh9s5h5c4h Js9h7d3s2d 
8c7s4s4h2c 9s9c7d5s2h QcTc7c4c3s AdQs6h4c3c 
AcTs9d2h2d KcQcTc7d2c AsQd9h4d3d Jc7h4h4c3h 
7d6c4s4d2c Tc9s8d5d2d QcJh7c5d2s KhJc6s6h2d 
Kd8d7c3h2c Qc9s8h6d2s Td7h6c4d3d 9s5h4h3s3c 
Jc9c4s3s2h ThTc8c4c3d KdQd5s3d2h AcKd8s3h2d 
Ks9c5s3c2s KhJc8c5s2c 9d5s5d3d3c 9s9h7s5c2s 
Jh6s5s2h2d Ah9s7s6d3s JcTh7d6s2h Ts6h6c4c2h 
9h8h4s4c3c KsQs7d2h2d AcQc6h5c2c As9h8d5h2c 
Td6c5s3s2d KcTh8s7s2s As9c8c7h2c Jh6h4s4d3s 
Jc8s8h5s3s Qh9h7d3d2s Ad9c7d4s2d Js7d5h4d2h 
8s6d5h3h3c KsQhJd7c2d Jh6h4s4d3d Jc9d9c4c3h 
As9h8s6s2s KdQs7s4s4h Qh7h6h4c3s AhJh5h3s3h 
Td9d8d5d3c 9s9h7c4d3d Ks9s7h6s2d Jd7c5h5d4d 
7c6h5s4d2h AhJc5c3s3c AcTh9c3c2c KcJd6s4h3h 
Qc9d6s6h4d 9d8d5c3d2c Ks9d7c5d3d QdTs8d2h2c 
Kh9d5d4s2s QhTd8h3s2c Qd8h6d5d2s 9s8c7h6s2s 
KhQc9c5s2c Tc7c5d4h4c Qd9s9c5h2d 8h7s5h3d2s 
AsKs9d5s2s KcJd8d4s3h KcJs6s4d3s 9d9c8s6c2c 
QdJs4d4c2h KsQs7h3h2s QdJd6d5d2c 6d5c3s2d2c 
Jh9h7h6h3d 9h5c4d3h3c TsTc5h4h3d 9h6h5h4d3c 
Ac8d6s3s3d 6h5s3c2s2c AcQs9h4s3s KhJs8s5c2s 
KsQs9h7s3s Ks6s5h4d2s Ts7c5s4h4d QdTc8d2s2h 
KsTd8c4d3h Th8s8c4s3d 9d5d5c3h3d Ad3d3c2h2d 
KcJs9d6d2h Qs9s7d4d2c 8s6h6d2s2c AsQd9c7h2c 
AhJd6c5c3c Qc9h8s5d3s 8h7d6c3s3d Tc9s5h5d3d 
KcThTd6h2h Ah8d7s7d3c Kc9d7s5d3d KdQd9d7c2h 
Kh6s4h3h2s Jh7d5d4c2c Jd9d3s2s2c 6h6c5s4c2d 
Jh7h5c4d3h AhQd9h6h2h QsJd9s4s4h Jd9h9c8s3s 
AsJs6s4d2c Ks9h8s7d2s Kh8h8c3d2c Ac9h7s4s2h 
Js9h9d8c2c KsQc8c5h5c Ac6c5c4c3s KdQs9c6s2s 
Qs6s5c4h2d AcQc5h5c2c Qh9s9d5c2h 5s5h4d4c3s 
9c8c7c6h2d AdJc5c4h2s 8d6d4c3s2c KcJd8h7s3d 
Ad9h9c6c4c KhJh9s9h2h Ac5c4h2d2c Td6s6c4s2c 
Ts9d8d2h2c 8d6h5s4h3h Jc7d5s5d4h KhQd8c6h2h 
Kc9s8d5d4h QdJc9d4h4d 7s6s4d3h2h AsJd8s4s3s 
8h8c7d4h3s Th9h8h7h2s Tc8d4d2h2c Jc8c7s5c2h 
KcJs6d4h4d Qs9s5h5d4s Kd7c4s2d2c KhJs9s4s3c 
AsKs8s5s3s 9c8s7s3c2d AdQh5c4c2s Ks8h6h4d2d 
AhKd9s3c2d 9d6h4d3h3d Qc7h7d6h4h KhQc9h3d2s 
AdKc9h3c2s 9c5s5c3h3c Ac9c6d3s2h 8h5s4c3h2s 
AdKh8d3s2d KhQh9d7h2s 9h6d6c5d3d KhJs8h6d2h 
9c7c6s4c3d KsQh5d3s2s KsQd3c2s2h Qs3s3h2h2c 
8d7c5d4d2s ThTc8d3s3d 8d7c6s6h3d Kd9d9c8d4s 
KdJs8h7c3s Ad7s5h4s3s Ad5c4s3d2d TsTc8h4d3h 
8c7h7c5s2c Jc9s6d6c4c QsTs6s5s2c Qh7d5s3s3d 
KdTc8s3s2c KhTh5c3s2d QhQd8h3s2c KsTh8s4d2s 
Js9c6h6c4d Tc7d5c4d2c Js9s8c6s2d 9d8c5c3c2d 
Ks9h9d5h4c 7h6c4s4h2c Td6s5s5d2d Tc8h8d2s2d 
KdQd7s3s2d AsJh7c5h2h Kh9h6s5d2h KdQs9h3d3c 
JsJh9c6c2c AhQc7d6s2c KhQc6s4s3s AsQd4c3d2h 
Ts9d5h4d3d 9c5d4d3s3c JdJc8d6s2d 9d6c5d4h4d 
QhTh4h4d3s Ts9s8s5h3s Qd7d7c6c2d KsQh7h4h4c 
6s6d5c4d2h KsJc9h7h2d KdQh9s7c3c 9d5c4h4d3c 
Kh6d4h3h2d 8h6c5h3s3d AsJd5s3h2s Ts8s6s4s4h 
Th8s4s3s3h KdTh5s3c2d Qc5s5c3h2h 9h6s6d3h2s 
Ks8s7c6h2s Tc9h5d4s3s 8d7d6d4s3h QsTh8c4d2d 
AdQh4s4h2c Kh7h7d2d2c 9c8d5s3d2s 6s6h4s4c2s 
Jh6s5d2h2d Qd8c6h5h3s Ts7s7c5h3s 8d7c5h3d2c 
Qs6d5c4h2s KhQc7c6c3c AsQh6c4d3d Qc8s7h4s3h 
Ad8h6s5c3s KhJc9c4c3d 9h7h5s5h3d Kh8h7c6s2h 
7h4d4c2d2c KhJs8s4d3c Ah8d7d7c3s Th8c6s4d2h 
JhJc6d4h2s KsQd9d5d2c 7h7d6h3h2d Kc5d4s3c2h 
AcTs7d3h3d Ad9s6s5h3c AsKh6c4c2c 9h9d8c7s3c 
9h9c3h2h2c AcTd8d4d2s JsJc8d2h2d Kc8h7h3s2c 
Ks8c6h6d4h Th9s8d5s2s Qc9s9d8h3s 9h9c3h3d2d 
Jc9c4s4d2d Qc7d6d5s5h KcJs8s4d3h QsQc8c3h2d 
TsTd7c5h2d 9h9c8s5s2s Qs8s6s5d2h AsJc6d5c2h 
Jc7d5d4h2h QdTd4d4c3s AhTsTd4c2d AcTh7c5c2c 
KhTs8h4d2h JcTs4h4d3h Qd9s4h3h2d Ad9c8c6c4c 
KhQh9c7h2d AhJh8h6d2h Th9c7h6s2h Td8h8c2s2h 
KhJd4h3s3h KhQd8d5d3c AsTh8s8h8d AcKh9s5d2d 
ThTc8s4c3c Ks9h6s5s2d 7c5s5h4s3d Qs6c5c3s2s 
AdTs9c2h2c Qs9h9c8d3c AdTsTh4c2h 7s6s6h3c2h 
Qd9d7h3h2s 8h7c5h3s2s 7c6h6d3h2d 9c7s5d4s3s 
AsTc9d5c2c KsTh5d3s2c AhQc4s4d3s AdQh4s4c3s 
Qd8h5d4c3s Kh7d5s5d4d AsKc6h4h2d KcJh8c5c3c 
KsJd9h6h2c Ks9c8s5s2d KdQs5h3d2d 9s9c8d5d2d 
Kh7d5d5c4d Kc7c6c5h2d KcTc6c5c2h 9s9c7h6d2c 
Qd7h6c5h3s Td9h9c4s2c KsQs9d7s3s Jh9s9h7h3h 
Jc8h6c5s3c KdJd3c2d2c KhJh8d3h2d Td9h8h4h4c 
Qc9c6c5d2s JdTs6s4c2h 9h7h6c4h3d Qh9d6d4c2c 
Kc5h3h2h2c 9s9h7s5d2s Kh9c8s5d4c 9h9d7c4s3s 
KhTs7d4d3d Ks8d5c4h2s Tc8s8h4s3d 9s8c7s5h2s 
Kc8h5c3h2h KdTh5c3s2d Td8c5c3d2s KcJc7d3s3h 
Qc9h8d5s3d 8c7c6s5c2c 8c7c5c4h2s 7d7c4s4h3s 
AsJh5h3h3d AsJd6s2h2c Kh9c7s5c3c Td5c4d3h3c 
AdKd4d3d2s QcTh6h3s3d KhQs8d7h3h QsJd8h6h2c 
Ts6c4c3s3c Ks6c5d4h4d QsQd6h2h2c 7s5h4h4d2s 
9s7h5d4h3h KhTd4c2d2c 8c5s4s4c3c 7d6c4c2h2d 
8s8h7d5d2c 9c7s5c3h2h Qd9c8h7c4c 9d9c4h3s3c 
9c8c5d4s4h AdJd6d4c2h Tc6s5h3s2c KdJs4d3h3d 
QcJc9h9c3c 9s8s6c4d3h Qc6d5d4h3s Js7h6s6d4s 
Qh6c5s4c3d Jh5d4h4c2c AdQs7s7c3s 9s6d5c4d3d 
Ks9h8d5c4h JhTd6c3s3c KdTc6s4s3s 9h7s7h4c2c 
KsQsTs7s2c Qs9s6s3h2h Js9d7h7c4h KdJsJd7d2d 
Tc7d5h4s4h Td9d8d5h3d Jd6h5d3c2h Ac9s8h6d3h 
8c7h5c3h2d Qs7h7d5h4c KcQd5h3c2c QhJd9h4h2s 
Qh9d6h4h3s 8s7d6d5c2d QhTc8d3h2s Td7h5d4h2d 
7d6c5s4h2c KsQc8d3d2c KhJc7d4s4d Jc9h7c6s2d 
AhQhTh7h2h JcTc8s8c3c Jc7s5s5h4d Qd9d6d5c2s 
Qc9s5s3c2c 8c5d4c3s2d AdTc7c3s3h Ks6d5h3h2d 
