Jc9s8c5d3c 
AhJs9s8s3s KhTsTc6c3c KsQh7h6h3c AdTs9c5h3c 
KhQc8c7c5c Js7d6d5s2c Jd8h8d4h3h 9s7s6s5s4d 
Kc9d9c8s4h KdJs6h6d3c KdJs5s4h4c Qs8s8h6s5s 
Ah8c6s5d4c AsQc8c6h2d JdTd9d3s3c KcJdTc5c2c 
As9s5h5d2c AhKs9d6d4d KsKh7h3h2d KhJd8s6c4s 
TsTc8c3s2s KhTh7d2s2d 9s8d6h4h2d KhJs6d3d2h 
Th9s4s4h3h TsTd7h6s3s Qh9c8c6d6c 8h7c5d4s4c 
KdQh5c3d2s AcJd9h6s6d Td7h6h5s4h JcTd7c4h3c 
AhTh7h4d2s Qs6d5c4h3s Td9h6h4h2d Ts9s7s7h3c 
Qc8s7s5h4d Jd9h6h6c2d JsJh9c6d2s Ad7s6s6c4h 
AcTc7c6d2h Jh6c5s3h3c Jd8c5h4c2h 9s8h6s4h2c 
KhQdTd5d2c Ts8c6s2d2c Ac7c5s3s2c Qs8s8h7d5s 
Jh9d6h4d3h TdTc8c7h3s Jc9s6s6d2c QhJh9h9c2s 
8s8c7d4c2d 9h9d8s4s3h Kc7s7c3s3c KsQs8s6s4d 
AcJs6d5h5d KsKh6c3d2c AdJc6h5s5h 9d8h6h5h5c 
Kd9s6c5d3d KsQhQd8d3d JsJdTd6d2h JsTd5h5c3c 
QsQc8h8d2h KdQs9h3h2s Kc9c7d3d3c KsTs9s5d2h 
AcKcJc3s2c Qs9c7h3s3c Ts9s7s6s5s Td9c6h5s3h 
Kd9c8d4h2c JcTs9s5h2s KcJh9h8s2d QdTs8s6s3h 
Qh8s8c4c3h Ts9s7s7d3h Ac7h6c2h2c Ah8d5s2h2c 
9h8h6s4s2s AhKs9s3d3c Td8s7h7d4d JhTs9d6d2c 
KdQcJh6d2d 9s9d6h4d2h 6c5h5d4d2h Jh8h6c4s2c 
Qc9c6s4h2s 6d5h4s4d3h Td9c6d5s3d 6d5h5c3s3c 
Qc8d7h5d3h KsQh8h3h2s QsJs8d3d3c QsTc5h4d2s 
Qc9s9c8h4d Ks8s6d3d3c Jh9s7c6h4h KcJd7c6s3c 
KhTh4d2d2c Qd8h8d6d5d Ad6d6c2s2h KcJdTh3s2h 
QhTd8d6d3s KcJs6d5d3h Ts9c6h4s2h QsJc9s6d2h 
Th8c6h3d3c Qs9d8s6s4h Ts8d7h3h3d JcTc5c4s2h 
QhJs8d5h3h Kc8s6s3s3c Ad8h8c7h4h As8d6h5c4d 
KdTd7s2s2h Th8s7c4s2h AdKd8h8c2d Th8d7d7c5d 
Qd8s8c4c3d KsJc9h3h2c Js6h5d4s2h Qc9s4h3s3c 
AhQh5h5c3h AcTh6h5h4d Ks6s5s5d4c Kc8h6s5c2d 
Ks9s5h3c2c Qh9d6h4s2s JdTh8d4c3d Kd8s7c6h4h 
Ac7d6c2d2c Td8h7h2d2c AhTc6d5h2h Ac8s7d6s2d 
As6s5d2h2c AcTc7h6c2s Kh8s6h4s2h KdQcJc6c3c 
9c8h6d5s3s Qs8c7c6s2s AsJh7d5d3d AsJc9c3d2d 
QsTc5c4d4c Kh9s8c7h2d JdTsTd7d2c Ks8h7d6c3s 
AdTh6s6h5h 8d6c5h5c4s Qh9d6s5h3h 9c7d7c5c4h 
Qc8h7d5c4c QhTs4d3h2d 9d8s7c5h5c Ks8s7s7h2h 
Kc9c5h3d2d QdTs8s7s4s Kh6h4s4c2c KdJh9d4s2c 
KdJs9h8s3c Ts9d5d3s2h KdTh9d6s2d AhQc9h6h3h 
Td9s8s5s4c 9h6d6c4d3c AdJs8c6c4c Qd9s8h2h2d 
9h9c6d4d2h Ts7s6c5c2h 8d7h5s4h4c AsTs7d5s2c 
7h7d6c4d2h JhJc7d3s3c KcJs8d4s2d Kc9s8d6s2d 
Qc9h7s6c4c 9s9h8h4s2d JcTd3h3c2h Qs9s9d6s4h 
Kc9s7s7d5h Js9h8d7c4h AcJd9h3d2h Ad8c6h5s4c 
AsKs9s4d4c Td8s6h6d4d KcTc6s6c5c QsTh5d4d4c 
KsJs7d6s3h 7c5c4s4d3d JsJd9d4h3d Qs7h6s5d5c 
AdTs7h6c3c Jh9s8d7c2h AsQh9d4h4c Ks7d6h4s4c 
KhKdKcTc5h JsJh8s6c3d 9s8s6s5d5c 7s7d6s4h3c 
Qc9c6h5d3c KhQh7h7c4d KcJd9h8d3s TsTc8h6s2d 
7h7c5d4s3d QsQd8s7s2h AdQsJh7c2h JdTh8h4s4h 
Td8s7c4s2d AdQs9d6d2c JhJd9h4s3h KcTd7h7d2h 
Jc7h7d3h3c Th7d6h6c5h Ad8h8c6h2c KhQsJc6h2h 
AhQhTd3h2h AcJd7h5h3h Ac9d9c4h2s Kh7s6h5h5d 
JdTh6c3h2d 9h8h6s6c5h Qd6s5h5d2s Qd9s7h3s3d 
JsJc9c5c2d QsJd4h3h2d KdTs8h4d2c As7h7d4s3s 
JcTd9d7s2d Td9h8s6d3d 9h8h7h7d2d Jh8h8c4c3c 
KsQdJc6s2s Kd6d5s4h3d AsKc8c4d3c AdTh9s6c3c 
QcJd9h6s2c KsTc9c8d2c KcQd9c7h4c Td9s9d5h3d 
AdTs5s4h2h KsJs4c3h3d AsTc9d5h3d 9h8d7h3h3d 
ThTc6d5h3h Ad9h8s7h4h Ts9d6s5c3s AcJd6s5d3h 
QhJc7s5h3h AhJh6s5h2c Kc9c5d3d3c 8s7d5d5c2c 
7s5s4h4d3h Ac7c6c5c3s Qd9h8d6d4s KdQd4d3c2c 
KcTc9c5d2h AcQh7h4d3s Jd9h7d5d5c Ac8s8d7d4d 
AsJc9s6h2s Ac9d7c4h3c KhTh8h6h4h Kh8c7s5d4d 
Ts7c6s6d5s Jc9h8c5s3c Js9s6s6d5h AhTh7c2s2d 
AhTs3h2s2h JsTh9s2s2d KcTsTh6s3s AhQd8s2s2d 
Ah8d4h3h3d QhTs7h7d3c JcTd6s4d3h Ts7d7c6h4d 
AdTh8c3c2h Td8d8c4h4d KdJdJc6h2d AdKhJc6c2s 
AhQdTd3d2s QhJh7c6d3s AhQh5h4h3d KsKc7s4s2s 
JcTs9h3c2d 7h7d6s2s2d TsTc8s6s2d QhJd8h6s3c 
AhKc8s5d3d AhKdTs3c2s AhTs6s6d5s AcQh8d3c2s 
JsJd7h3d3c AhKc9d6d4d 8s7d5s5h4s AsQh8d6c2h 
Jh7h6d5d2c Ts8h8c7d4d QdTc5c4h4c KcJc6s3d2s 
9s6h6d4h3d Qd8s6c5h3d Jd9c8h5s3d JsTh9s5s2d 
KsQc8d8c5c 8h7s6s6d4s Jc9s9c4s2c QhTh9h9d4h 
Kh9h8c3s3c AdQd8d5h3d 6h6c5h3s3d Ah9s3s2h2d 
Ah9h7d3h3c AdQc8s7h2c JdJc7h3s3c AhTd9s6c3c 
Ad9d7s5c2d Js9c7d6s4s Th8h7c5c2c AsJh5h5d4h 
AhJd8s6s4s KhQdJd9d4d AcKc9c4s4h QsQc8c3d3c 
JcTs9s5d2s AhQc6d6c4c KhQcTc4c2s Qd8c6s6h5h 
Ac9c7h5s2c 8s7d6d6c4d Ks9h7s4c2h Qs8d5s3d3c 
JcThTc7c2s AdTh5d3d3c Qh8d8c4d3h Kd8s7c3s3d 
KsTd7c3s2c Kh9d7s6h2c Ts7d6d5h4d Jh9d8c7s4d 
AhJs7c5c3c As6h4d4c2s AcQd8s5s3h 7h5h4s4c3s 
JhTs8d4d4c Jc8d7h7d3h KdTc7h3d2h AdKdJc3d2d 
Js9s9c6h3d Ts8s8c4s4h ThTc9s6d2s Jc9s8d5h3c 
AsJc9c8c3c Jh9h8c4c2d Ts9h8d6h2c QsTd5h4h4c 
9h7h5d4d2c Kd9d7h7c4s Qh9h6s4s2c Jc9s6d5h4d 
Jd9d7s7c2c As9h7c4s3s AdThTc4h3s AcKh8d7d3d 
Jc8s7h5d5c KdTh9c8h3h Th7s5s3h3d Qh8d5h4h3d 
9h6c5c4d2d KsQsJs6s4s AdQc3h3c2h Ad7d6d5c3d 
JhTs6d5d3d KsTs9s5c2h KdQd7s7d4h 7c5c4h4d3d 
Kd9c5d3h2h Ks6d5s5h4s QhTc5c3d2d Js9s9h8c4d 
KsTs4h2h2d Qc8h8d5c4c Jd9d7d6c4s 9s8c6d5s3h 
Kd8h6h5c2c AhKc8c4s3c KdQh7h6h3s JdTs9s5h2s 
Ah7c5s5d4d KcQs8s8d5s Qs9s9h6s4d Td9c8c5c4h 
8c6c5d3d2h 9c7d7c5c2d AcKh8s5d3d KcJc7c4h3s 
7d5d4s4h3h Qc8c5h4c3h Th8d7s7d5d Js8c5h5c2h 
Ad9c7h5c2h QsTd9d7h2c KsTd6d5d5c Kh6s4s3c2h 
QsTd9d5c2h Tc6c5h4h2s 8h6s5c4d3c KcTc6h6c5c 
JcTc7s2s2h KhTsTc8d2s As8c7h6c4c AdKcTs5s2s 
Qd9s9c8h5h 9s7s6s5s4c Ah5s5d4d3s Qh8d7h6d2d 
7d6d6c5d4s KhQd8d7d4c AsTh6d5s2s Kh9h8c5d3s 
9h8d8c6s4s Js9s7h7c2h QsJs7d7c4h QhTd8d6d3c 
QsJs8d3c2d QhJd9s5s5c Th8d7d2h2c KhTsTd8d2c 
JhTc5h3s3h Ts7s7c6d2c TsTc9d6c2h KdJd7s6d3h 
AsQh8d3s2c Tc9h7d7c3s Ah8s8d6d2s JsTs5s3c2c 
Ad8c4c3c2d AhJdJc6h2h Qd8s6s5s4c AsQh8s4d2s 
QhTh9c5h2s Qh9d9c6h4h AsJh6s3d3c Kc8c7d7c2d 
9d7d5s4s2h AsTs7s6h2d Qh7c5d4c3d Jd8h7d4h3c 
KsQdQc8d3d Ts9s9c5s3d Jc9d7h6s3c KcJc8d8c4h 
Js9s8c5s3h Qd9s7h5d5c AcJd8h8d3s Qd8s7s4d3h 
Td8d7c3h3c QcJh9c6d2s 9h9c6h4d2d QsQd7s5c2h 
9c8h7d6s3c 6s5d4d3s2h KsQc9s4h3d QsJs7c4d2d 
Ad9h7s6s6c JsJhJdTh9s 9h7d7c6h2c Ts8s7d3d3c 
KdTh9d3s2c Qh9s5s4s2h Kh7s7c5d5c Qd9s9d5h5d 
Ad7d6d5h3d QcTd9c3s2h Td8c7s7d5d AhKd9d4s4c 
KdQs4h2s2h QdJs6h6d3c KhQc7c6c3d KsKh7s4s2s 
Ts8c7h3h3c QcTd7h7c3s Qc9d6h5s4d Ah8c4c3c2h 
JdTh7d4c3d QsTs7d5s3h AsTc4d4c3d 8c7d5h5d2h 
JsJh7d3h3c AhTc8c7c3c KdTc5d2d2c Kd8h8c6h5s 
Ts9s9d4h2c Td7h7c5c4c JsTs8d7c2s Qs9c8s6s4h 
QhTd5h3h2d AcQcTs3c2c Jc9s6s6h2c AdJc6s5s5h 
Jd6c5h4c2d KhJc9h4s2d Td9d6d5c3h 9d8c7h2h2c 
Qh9h9c5s4h QsTs7h5s3c AcKd9d7d2h AcKh9s5d3s 
Jh8s8h6h5h KcTh7s5c2d KcJs7c6h3c QsTh8c6d3d 
KcJs7s5h5d Td9c6d5s5d Ac9c7h4c3s 9s8d7c6h3s 
Jd9d8s5d3c KcJc8d3s3d AhTc6c5c4s 9d6h6c4h3c 
AhJc9h6d2h Ts9s7s7h3d Ts9h8h3c2c 8c6s5d4h4c 
8d7s5h5c4c Kc8s6d5c2h QdJs8c5d3d 9h9c5h4s4h 
JhThTd3h2s QdTc5s4h2d Ks8h5h3s3h Ks8h7c4s2c 
Kd9d9c7d5d JsJd7c3d2s Jd9h8h3h3d KdQhTh4h2c 
9c8c5s4h2s AhTd6d6c5d Ad8s8c6s2c Tc8h6c5d5c 
KsJs8d3h2h Jd9h8s7c4h Jc9d5d3c2s Th6d5h4d3h 
Kd9d8h8d5s Ah6h6c4h3d Qs9s6h4c2h AcQhJd7s2d 
AcJs9c6h2c Qc8d6s6d5h Js9s8h5d2c Td6d6c4h3c 
Jh8d7d4s2h Ks6h5s5d4s KhJh8s5h5c Ad6d6c5h2d 
QcJh8c6s3d TsTd8s7h3c KsJs7s4c3d AcQsTs3s2h 
Kd8h6s5d2c JsTs5s4h2d JdJc7h7d3d Qh8c7d5h4h 
QdTc7c4s2s Ac9h4c3d2d QsQc8h8d2d Js9s8h5s3c 
8h8c5c3d2h 9d8s6d4s2c AhKdJd6s2d KhTsTc8c2d 
Ks6c5s5d4s Ks9c7d7c5h KhJc9h4d2s Ks6h4s4d2h 
Kc8h8d2h2c KsQcTc5c2d KsJc8d4c2d 8d7c5s5h4h 
Jd7s6s5d2h Qs9h6s4c2h 9h8c7s6s3d QdTh5c4d2s 
QsTc6c3s2s Kh9d8s6h2c AhQh9c7h3h QhTd6h5h3h 
KsTs8h5s5c KsJs6c3d2c Ks9h7c6s2d KdJd8s5d5c 
QcTd8d3s2s Qh9s9d6h4h QsTc7d3s2c AhJsJc6h2h 
KhQs8s8d5s QcJc7s4d2d JcTsTd7h2s Kd9h8s8d5d 
9s8s5c4h2c Kc8d6h5c2s Qs8h6c5d3s Th9s6h4c3d 
KcJh7h5s5d Kd5d4h3h3d QhQc8s6d3s Jd8s5h4s2h 
Qd8s6c3d3c QcTh8c3h2c Ks8d7h3s3d QdTs9s5c2h 
Kh9d8s7c3h AhTd8c7d2d AsQd7d6d3c Jd8s5d4s2s 
QsJc5h3s3d JhTc9d7h2h QdQc7d6s2h 6s5d4c3c2s 
KhTh8h8c5h KcQs6h5s2d Kc6h4c3s2h Kh6h5h5c4s 
Ks5s4c3s3c AdTd4s3d2s KdQhJs8d2d Jd7h7c3h3d 
9h8s6h5d2c Kh7d4d3h3c Tc7s7d6d2c Qs8s7d4s4d 
7d6s6d5d4c KhTd6d5s5d Ah8s8d6s2d Kd8h6c5d2s 
Jc9c7h3s3h Ts8s7h5h2h JcTd8d4s4d 8h7s6c4s4d 
KdJh8s6c4s TsTc3d3c2d Td9h6c4c2h 9h8s6c5d3d 
QsTs9d4s4h Qd9s7s6d2d JcTs8d6h3d KcQd8h8d5d 
9h8s7d5d5c Js9h8c5h4d Kh8d8c2h2c 9s8h7s5d3c 
Kc8d7h3d3c KcTsTc6c2d Js7h6s5h2d Ah8h7h4d3c 
KdQhJc6d2d JhTd7h5h3h AhKsTd4c2c KdJc8c3d2c 
Kd9s7s4d2h JsTh8d4h2c KsThTd7d3d QsTs5d4c2h 
KsQs6s5s3c KsTh9s3d2c KsJs9h5d2s 6c5h4s3s2c 
QhJc9d9c4c As7h6h5h4c JdTd7s2s2c Js8d6s6h3d 
Ac6d5s3c2h AhQc8d3h2s Td7d6c5c2s Qd9d9c5h5d 
QdTc6s5h3s 9c8s7h6d3c Jh9s7h6c2c QsTs8s5h5d 
Kd8s8h2h2d Jh9d7h6c2c 9d7h6h5s5h AsJd4s4h3s 
QdJd8d5c3h Kh9c8s7h2d Kh6s4h3c2s Ad9c7h4d3d 
KdQhQc8d2d Ac9d9c4s2h Qc8d8c4h3d Kh8h7h7c2c 
6d5h5c3s3h As9c7h4s3s KcQsQd8d2d Qc9s7s7c2d 
AcQh6h6d4h QhJs6h6d3c KhTc9d8c3c Th9h9c5d3h 
Js8d5c4c2d Jc8h5s5h2s Tc8h8c4d4c 7s7h4h4d2s 
Jc9c7s7h2h Kd9h6d4h2h QsTh5c4d2s JcTsTh7d2s 
Qh8s8d7s6s Tc9h7c2h2d AsTc4h4c3h Tc9c6c5d3h 
8d7h5d5c2c Jd9s7c6d3h KsTh9c8h2h 9h8c7s5h3d 
JdTdTc7d2s QhQcTd7d2d Ks9d7d4s2h AsTh6h5h5c 
Kc6c5s5d3h Kh9c6d5c4s QhTs6h3h2s 9d8s7d6h3c 
Jd8h6c4c3d Qh6s5h5c2c Qh9s9h5h4d Kd8h7c3h3d 
8h7d6c4s4d KsKhKcTh5c 6d5c4h3d2c KdJc8s2s2d 
QhTd9h3c2s Ad6s6d2h2c QhTh6c2s2c KhQsJs5s2s 
KsQcJd3c2c Qs6h5h5d3d QcJd8c6s3h KcQd7d5s3d 
AdTs8h3s2h Tc9h6c3d2h Kc6s5h5c4c Qd8h7c5d4d 
9s7h7c6h2c 9h9c8h5h4s AhTd6s6c5s AsQh9s6s2d 
Th7s7c6s2h Kh7d6s4h4c Td8h7s7c4d JhJc7d7c3c 
JcTh9c6s2c Kd8d7s7c5d KhQd9c4c2d Ad9d7c4h2s 
QsTh9c4d2h AcQc6c3s2s Ks9s8d5c3h Kc9s8h6s2h 
Jd9s7c5d3d Ks8h7h6c4h Ah7h5d3d2h AdKh5h4h2h 
KsKdKcQs4c 9s9c5c4c2s Kc8s8d2d2c KhTd5h2h2d 
AsQc8d7h2c As6h3s2h2c Js9c8d7h4c 8h7h7d4s2d 
JsTd9s2s2c 9c7s7d6c2s KdQd9c4d4c JsJc6d3s3h 
QdTs8h6c3h Ts9d8h7d2c 5h5d4c2h2d KcTc5h4s3c 
Kh6h6d2d2c AhQsJc7d2c 9s9c7c4h2s JcTsTh7d2h 
KcTc5d4c3h 7h6s6c5s4s QdTsTh5s2c KhTd9d8c2d 
KhTh7c3c2c Ac7c6s6d3c Jd9h7s6d3c Ks6c4s4d2c 
QsTc9s3h2d Jc7h7d3d3c Jd9s7d5h5d 9h8c5d3d2h 
AsJh6h3s2s 9d8c7h6s3d Qd6s5d5c2c AhJc6s5c3d 
Jd8s7c5h5d Td7s6h6d5d AcTc7s5c2d AsKd5h4h2c 
QdTc9c5s2h Qd9h9d5d4s KdQd8h5c2s Td7s7h5c4d 
Th8s7s2h2d KdJs9d4c2h AsQh5h4h3c Td9c8s6d3d 
KcJs9d5c2c AdTd7d3h3c KcQs5d3c2h TsTh8c6s2d 
9h9d6c4h2c Ts6s5d4d2h QdJd9d4h3s TdTc9h6s2h 
JhTs7h7c3h KhQc9d6s4s ThTd6h6c3h AdQs9s6c3s 
9d8d6s6c5d JdJc8s3h3d QsQc7c5h2d 8h7c6h2s2c 
Qs9s9d5c4s 9s8h5c2s2c Th9d6s4h2s Ad7h5s5c4s 
QcTs9c5c3c Js9s9d8c4h KhQdJs3d2d Ts9c8d6h3c 
Qc6s6c4s3c Qd8h7h5c4s Th9h6d6c5h Jc7c6h6d5s 
KdTc5s4h4c Qd8d7s4s4d Td8s7h7d5d AdJs9s3h2h 
7s5c4d4c3d Qs7c6c4d3d JhTd9h6s2h Ac9h7c5d2c 
KcTd9h5s3h AsJc7c6d2d AhKh9d6h3h Tc9h8d6h2s 
AsTd7c4h4c 8c6s5s5h4d Jh9s8s3s3h AsTh8h4c3d 
AdKd8d4s4d Qh8c6s5d3h QcTd8h6s3h Kd9d5c3s2s 
Ts9d7d6d4d AcJd7d4h2h QsJs9s4d3c 9s8h5d4d2s 
QdJc9h8s4s Qc9s8h7c4d AcJc7c5c4c JsJc7h3s3d 
QsTh3s3d2d KcJd5h5c2s KsQsTh3c2s QhJh9h4s3c 
Jd7h6h5c4h AdJc9c6s6c Qc6d5d3h2c Qd8h8d7c5d 
KdTd7h3h2h Qc9d9c6c4s Th9s6d4d2s Qh9c7h6s3d 
AsKc9h6h3d AsJs7s4s4h JhJcTc6c2s KsQh8d4h2d 
TdTc9s8c4c As6d4s4h2c KhQh6h5h3s KcTs3s2s2c 
Tc9h5d5c2d Th9s8c6h3h Jh8s6d5h5c 8d6d5c2d2c 
Qs9d4h3s3d Qd9d7h6h2d Td9s6d3s2h 9c7h6h6c2c 
KdQh6s5d2d Tc9s8d6h3d QhJc9c7d4c QsJh9h7c4h 
Qd6s6c5h5c Qh9h6c4c2s As8s7d6s2c Qd8h6h5h4s 
Qs7c6d5h4c QcTs6c4h3c JdTc7h7d3d Tc9c4s3s3c 
9d8h7d6s3c Js6d5h4d2s 9d9c8s4d2c QcJd7h5c3c 
Jh8s5h5d4c Kd6s5c3h3d AhTh7d5h2c QcTd4s3c2s 
AhQcJc4c2c Tc8s7h3s3h 9s6h5h4d2d Ad5s5h4s3h 
JdTs7d5d3d Ah9d8s6s6c Qc8s6h6d5d Ac9d4d2d2c 
QcTs9h7h3h 6h6d5d5c2s AcQdJs7h2s Kh6h5c4s3h 
KdJc9s6h4s Jd8c7d5d4d QsTd9h5h5c Td7s6s5h4s 
Ad9h9d7c2d Qd6h5s5h3s AsQh4d4c3h KdTh8c4d3s 
Tc9s9h8d2d JsJh7h7c3h Js8d5s4d2d KhJh3d3c2d 
AhTs8s7s3s Jh9h6h5d2d KdJs9h6s4s Kc9c7h7c2h 
QdTh8h3c2c 9d8s6d5h2c 8s6c5h4s4d Ts9c8c5c4h 
Jh8s7h5d3c 9d8h8c6h4h KcJc3h2h2d Td9d6s6h5d 
Jd9c8c3d3c KhQc8d4c2d AsKs9s6d3s JsThTc7d2c 
ThTc6s6c3c AhKhTh7h2h AhJs6c5d5c 9h9d5s5c3c 
KsKhKcTc5h AsJc5h5c4c Qh8d6d5d4c QdJd3h3c2h 
Ad9h5s4d2c Qh9s7s7h2s QdJd9d4h3c AcTs8d3s2d 
8c6c5d2d2c Td7s6d3s3h 9d8h6c4d2c Js9c7h6s3d 
Jh9c6d6c2h Js9s6d6c5s KcTh3s3c2s QcTh4d3c2d 
AcTs8h7s2s QsQc8c3h3c Kd8d6s3s3c KsJc7c5h5d 
QhJh8h5s3c 8h7c5d4s4h QhJh6s3c2c 6h5d4c2h2d 
8c7h5d4s4c Ts9d7s2d2c Th8c5c4c2h 9d7s6d5d4d 
TdTc6s6d3d KhJcTc8c2c KdQs8s8h5s Kd7c4c3s3d 
Kh9d6s6d5d JhTs8h4c3h Jh9c6h5s3h KcTc8s5d5c 
Js7s6s5h4d KsTsTd7s2c Kh9s8c6c2s AcJs9d6s6h 
As8c5d2s2h 9h9c8d4d3h QdTs9d5d3d 9h8d5s4s2h 
Qd8s8c7c6c Td9s7c5h3c Kc8c7h4d2d QsQh8s3s3c 
KhJhJc6s2h Kc9h7h4c2d Ks6s4d4c2c Ts9s6s5h3c 
9s8h8c6d4s QhJc9c7s4c 6h6c5s5h2d AdTs5d3h3d 
Jc7s6h6d5c Qd8c7h5c3h AhKhJh3d2h AdQh9d6d2s 
Qc9d7h6c4c AhQc7c6c3d Kd9d6h5c2s Ts9d8c5d4d 
KhQcTc5c2s QdJd6c3h2h Tc9s7d2d2c AcQs8c4d2c 
Ah9h7c6h4h Kc9d8c4h2d Jd8d6h4s2h QcTd9d5s5h 
AcKh9s5d3d QsQdTd7d2d AcTd9h6d3d 9c7c6c5c4s 
JsTs5s5h3d QsJd9c8h4h Qs9s7s6h4c QsJh7c5s3s 
KdJc9h3c2h 8s8h4s4h3s JhJcTh6h2d JhTc8c4d4c 
KdJd3s3c2c Kc7d6d5d4s KcJd5s5c2h KcTh6d4s4h 
KsTd6c4h4d QhTs7s4d2d KcThTd8d2s KhQd9s7h4h 
Tc9h8h5d4h Kd6d5d4s3c QsTd5h4s3s AcTc5s3d3c 
AdKh5s3s3c Qc7s6s6d3d Tc6c5s4c3s Js8c7d4c3s 
KhQhTd3s2h 9c7h5h5c2s Kd9d8d8c5s KsJc6s6h3d 
AsQc3d3c2d KcTd7h6s3h JdTc6s3c2d AhQc7s5s3d 
KhJs8s7c4s JsJhJdTs9d KcJh9s9c4c AcQs7s4d3h 
Ks8h7h3s3d TsTh8c7h3d Qs8d8c6d2c Js8s7s5c2c 
9d7s6s5s5h KsJsJh6c2s Qh8s8h7d5h 8h8d7h4c2c 
KcTc7h3h2h KsJs8s8h4c JhTs7h4d3h AhJs9s3d2d 
Kh9h7c5h3d Kc9d7s7h3c 9s7h6s5s4s Qs9c6d5s3s 
Qc9c7c6d4s JsJh8h6c3d Jd9s7h6d4d Jc9h6s6h2c 
9c7s7d6d2s Jh9c8d5s3h Tc8s7d7c5c Qh9h6s4c2s 
KdTh9c5c4c JhTh5h3c2c JsJdTs6s2h 7d5s5d4d3s 
QcTd5s4c3c Ts9h5c4c2h Jh8c7c4d2h QdJd9d4c3h 
JsTsTd3s2h QhQd7c6c3c Ah7s6s6d4c Jc9s5c4h2h 
JsTh5d5c3c Kd6s5h5c3d 8c7d6s6d4d AsTc6d6c5c 
Qd7d6d4h3h 7c5h4h4d3d AdTsTh4h3c KhJh9d7h4h 
QdJc9s5s5h Ad9s8c6h6c 9h9d8c7h4s Js8c5d5c2d 
Jd9c6c5h4s Kh8s7d6s4c QcTh4h2h2c AcJs6s3c2c 
QcTd4h3c2h Ah7s7d6s4c Kh8d7s5c4c JdTh9d5d2c 
Kh9c7h4d2c Ks9h6c4s2c Ks8s8c5c2s Qd7c6d5s2c 
Qc6s6h5h5d AhTd6s6c5d Ac9h7c6c4c QhJh9c7h3d 
KdQsQc8s3s KcJcTc2d2c KhQh5s3c2d Qd8d7c4d4c 
6d5c4c3d2s KhKd7d4d2d JsJc8d7s2h Ts9d7h2s2h 
Th6h6c4d3c AsQh7d7c2s Qs9s8c7d4h 7h6c4s3s3c 
9h8c6h4c2s Qc8s8h7s6s KhKdKcQc4h Td8h5s5d2h 
AdTc8c4h3s QdTd7d5h3c QcJh5d3s3c ThTc9d8s2s 
7c5h4s3s3c Qs8c6h6c5d Kd9s8s8h2h Tc9h7d5s3d 
QsJd5c3s3h Kc6h4h3d2c Qs9h8s6s4c Tc9d8h5c4c 
9h8s6d4h2d Tc9d9c5s3c Kc9h8c6s2d TdTc7d4c2d 
Jc8d8c7c2d AcKsTd5d2d Th6s6h4c3s 9s9d8c4s3c 
JhTdTc6s2d JsTs8s4d3h QsQh8s4c2d Ks9s8h3h3d 
6h6d5s5c3c AsJh7c5c3c 9h9c7c4d2h KcJd7c6h3c 
JcTd8h6s3h Qh6s6d5d5c Qc9d9c4s2s Jc6h6c5h3h 
QhQcTs7s2s KhTh6h6d4h Kd9h7d4c2h KhQd9d6d3s 
KhTd7c5s2h KdKc7c3c2s Ac6h5c2s2d QdTc8d5d3s 
Qc7d6c5s2d KcQs8d5h4d KdQh6h5h2s KdQd4c2d2c 
KsJs9c5h2s Qs8h8c6c2h Ts9d5s5h2h KcJs8h5h4h 
KhQcTh7s2h Jh8c6d5s5h KsQh6d5h2c Ac7h7d6h4s 
Kc9c8h5d3s Jd7s7d6c4h KhQh8h6h4d QcJc7s4h2h 
AcTc9s4c3c As7s5h3d2c KcTc6d6c4c KsQs4h2s2h 
Ad9s8s6s6c Kd9s8c6s2c Qs9c7s7h5s KhQd7d5d4d 
Kc9c7s7h4d KhTc7d5h2s Jh8s8c7c5c AdKc8c7c3c 
Kd8s8c7h5h Ac8s4s3s2c Jh7h6h5c4s 9c7s6c5c4c 
Kh8d5d3h3d Ac9h7c5s2c Js9d8h5d4d QhTs4s2s2h 
KhTs9s8d2s TsTd9h8c2c Td9h5d4c2c Kh9c6h2s2c 
KhTc8h7d2h QdJsJh5c2c 9s9d5h5d3d JhJd8c7h2s 
Jc6s6c5s3c TsTc8s7h3d Ac9d8h5s4h Qd9d6s5c3d 
Js9h8s7d4s KdQsTs4s2c QsJs3d3c2d KcJh9d5d3d 
Jh9h8d4d2s JhJc7s3d3c 9h7c6h5h4h QhTh7h5d3c 
KdJc9h8s3c KcTc5d4s3c JhTd6c3d2h AhTc6c5d5c 
Qc9c8d4s2d AdJh6h5c3s As9h4h2s2h Ad9h6d4d2h 
Qh7c6s6c3s Td8h7s4h2d Js7d5c3s3d QhJc3c2h2c 
JhJd9s8s4s KcQdTc2h2c Tc7s5s3d3c KhQs8d4s2d 
Tc9d7c5h3c KhQc9s6d4d KcQc8c6c4s Qc8s8c4d3s 
KsQc8s3h2h Td9c8s5d4d As6c4h4d2s Td8c6d3s3c 
KhJh3d3c2c Ah6c5s3h2d 9d8d5h4c2c Jd9h6h4s3s 
KhQs8h8d4c Jd9h6d5s3d KhQdJd5d2d AdKd9d6c3d 
