8h7h7d4c3s 
8h7d5h3h3c AcJs9h2h2d KhJd7s4c3s 7c6s6h4c2d 
QcTh4d2s2c AsKd6h4c2c 9h8c7s7c2d 9d7h5s4s3s 
9s5s4c3s3c KhQs8c5d3c AcTs5h3c2c As7h7d6d3d 
Ah9d6s5s3c Qc9s7c3s2s 8c7s5c3s2c AdJd9d6d2s 
7h5d5c3h2c QcJh7d3c2d Tc8h8d7h2h Ts7s5h5c3d 
Jc9h9d7c2s Qs7d5s5h3c QsJd7d4c3d 9s8c6s4d2h 
QcTd7c3s3h 9s6h4h4c2s TsTh6h4d2c Kc6s5c2h2d 
Kh9c7h4d3h Ah7c6c5c3c Tc9c5s5c3d 7s6d5c4c2c 
Jc6s5c4h3c Qh9s7h7d4h Js9c8d4h3s Tc6d5h5d4s 
Qc9h4c3s2h KsQh7h3c2c Ah9s6d5c3c QcTc5c4c3c 
AcQc6s3c2h 8h6d4c3d2h JhJc7s7h2h Jc9s8s6d3s 
6h5c4c3s3d 9d8h5s5h3c Jc9s8c6h2c 8h6d4h3d2c 
7h5c4h3s3d JsJd8s4s2c Kh8h8c6h2d AdJc7d2h2d 
7s7h6c5s2s Js7h5h2s2c Ts8d5d4d3c 7d6c4c3h2h 
9h8d4s4h2s KsQh8d2h2d AcJs9h2s2d JdTd5c3d2h 
Js8s8c4h3d Qc7d5h5c3s Js9c8d7d2d 9d8d6d6c2h 
Th9s5d4d3d JcTc7s6h2c 4s4c3s3h2c Kc8h4c2h2d 
Jh9s6s6d3s Kh7h7d4h3s 9h5d4h3d2c KsJd8d6c2h 
Ah5c4d3c2d Jc9d7d5h2s Kd8c7d6d2s Ah6s3h3c2d 
Th8c5s4h3d 9d7d5s3s2s Js7c5d4d3h KsTd6d4d3d 
Jh9s7d7c3d KcQd8h8c3s AsTc7d6h2c Qc9c5d3s3c 
KsJs7s6h2c AcTh7d3c2c Kc6d3s2d2c 5d5c4h3c2h 
Ks8s8c6d2s QcJd9h7c2c Kd9s7d5d2h Jd9d7d5s2c 
AsQc8d3s2s Jc8s5c4h3c As8c7c5c3c Kc9c6h6d2s 
8h8c7c2d2c KsQh8s7d2s Qc7h4h3h3c 7h7d6s3s2h 
Kh7h6d4s2c Ah9s6c5d3s KsQh4h3d2c AsTc7s6s2s 
Qd9c7d6d3d 8d6s6h4s3c AsTh8d2h2c 8s6s5s5d3c 
AcQd5h2s2d 8h5s4s3c2c Kc7d6s4s2d Qd6h4s3s3h 
Jh6h6d4s2s Qh8c6d3c2h Qh9d9c5s2d Kd9d5h3d2h 
Ad5d4c3h2d QhJh8h4d2s Kc8c7d4h4c 7h6d4h3s2s 
JdTh6s5s2s Jd8d7c4s4d Ad4c3s3h2d AhKd7s7c2s 
Jh8s7d4s4c 8d7c5s4h2h Kd8d7h4d4c Js8h7c5d3c 
8s8h3s2h2d Kc8s8c6c3d KhJs5d4d2c Ad9d7d4c2s 
Jc7s5d2d2c Js9d7d5h2c QdJh7s2s2d 8c7c5h5d3s 
Jd9d5c4s2h Jh8c5s5d3h QcTc9c2h2c Kd9s6h6c4c 
Tc6s6d5d4d Jh9s7d3h3c Th8c6s4c3c 9s8d6c4d3h 
Tc9h5s5h3h Kc9h4c2h2d QdTh7d6s2d Ks7c6h6c3d 
Ts6d5h4d4c Qc7h7c6c3s Jh9c8d7d2d 9h8h5s3d3c 
8d6c5c4c3c Qh9h5s4d2c Kh5h5d4h3c Qd6h5s5h4c 
Qh8d8c3d3c QdJh8c6h2h Jc9d6d5h2s Jh9h8h7d3h 
7h7c6h5s2h AcKh6s4d2d 7h7d4h3d2s 6s5h4h4c3d 
Kc9d8h7h4h Jd9d4c3h2h KdQh8s8h4h KhJh7h6d2s 
Ac8c7s4c3c Th9h6h3s3d Td9s6d6c2h Qh8h6s4h4d 
AdJh7h6h3h AsKh7d7c2d JcTs8h3d2s Qd5s4s2s2d 
Qd7d5h4c3d 6s6h5d4s2s Td9d8h3c2s KdTc8s4s4h 
8s6s5s4c2s Qc9s8s5d3s 8s8h3c2h2c Jc8h6c4d3s 
Kd7d4s2s2c Ks8s7d5s2c Ts8d6s6c3s ThTd6c4s2d 
Jc8s8d5h2d Ks4h4d2s2c KhJd8d6s2c Qh9h6s4c3h 
Tc5d4s4d2c Kc7s6d4d2s Kd9s6d4h4d Qs9s5d3s3c 
Qc5h4s4h2s 9d6c4s4d2c 5s5d4h3d2h Ad8c7c5h2s 
8d8c6h4d2d Qc7h6d5d3d Js8d7h4d4c Qc7s6c4h4c 
Th9h8h5h4h QsQh6h3h2c AhJs5c4s2s Js5s5d4h2h 
9c8h6c4d3s KdThTd7d2d 8c7d4c2d2c Ad8h7s7c3s 
Kd7d6s4h2c 9d8s7d3c2c Kc8c7s3h2h Ks8h8c6s3s 
Qh9d6h2h2d KdJs6d4d2h Kc7s6c5c2h Qc6h4s3h2c 
QsJs9d4h2s TsTh6c5h2h QsJd6d4c2d Th9s7s7c2d 
As8c7c5h2d KcQh8s8d3c Ks9d9c8s2s JsJh7s7d2s 
Qd8s6h6d2c QsJs5d2h2c Tc6c5c3d2d Jh8c7c5c3s 
9c8d4h4d2c 8d6h6c4h3s 9s9d8h7c2h KcQh8h7d2s 
Ts7s7c2s2c Qs9s5c3s3h 9c7c4d3d3c Jh9d8c4s4h 
9h7h5s5h4h 8s8c6h4s2s QcJh5d3d2s KsJs4h4c3s 
Qd6c4s3d2s Qh9d6h4s3h Jh6s6d5c4d Jh8s5h3h2s 
Ad8h8c5h2s Ad9c6h5h3s QsJh7c2s2c AcKc4h3c2c 
9h7s5h3h2s 7d6h5s4s2s KsKhKcQdJd Qs7s7h4d2h 
8s7h5h5c3h 7s5s5h3d2h QhJh8h8c2s Tc8s7h6d2d 
9d7c6h3c2h As9h9c4h2c JhTs5s4s2s AcKd7s7h2s 
Kd9d6d3c2c KsTh5h4c2d Kh9d8h3h2d 9s9c6d5d2d 
AhJhJdJc4d Ad9h6s5c3c Kh9h4d3h3d AsQc8d8c2c 
Jc8h5c4s3c Jc7d5h4h3s Kc8h7c3d2h Qc8s6c3s2h 
9c8d8c7s3c Th9c8d3s2h 7d6s4s3c2c QcJh6h4d2h 
QdJc9s7s2h Qs7h7c4c2s JdTc8h3s2c Js9h6h6c3h 
Tc5h5c4c3h 9s8d7h5h2h AhTd5c4s3c Qc7d7c5h3c 
Ts8s5s5d4s Qc7d4d3d3c Kh9h6c3s3d Th9s6c5s2s 
8d8c7h3c2d Kd9h6d2h2d KcJs6d5h2d QdJs7s4s3c 
Qh7s5d5c4d 8h7c6s3h3d QsTd8h3c2s Kc6c5d5c2s 
KhQc8d6s3s Tc9d8d7d3d 8h7c6c5c2c JcTd8s3h2d 
Kd9h4s4h2d KhKdKc9d4c 8c6c5h5d2s 8d5s5c2s2h 
Jd8c6d4h3s Qh6h6c4d3s AhJh6s4h3h Td9h7c5d2s 
Kd8s6d4h3d KdTsTd7d2d Td9d4s2s2d AcKcQc7c2c 
KsKhKc9s3c AsJh5d4h2h Js7s4d3d3c 9d8c7s5s2s 
Ts8s6h4s2d KhTc8s8d2s 9h6h5h4c2s QsJs5h2d2c 
Ad9h7d4d2c JhJd5s2s2c KsTc8h5d3d Qs8s5d4h3c 
Ac8h8d7d2d Js5s4h3c2h Th9d7d5s2c Js5c4s4h2c 
8s8c7c3s2s Td9h7s7h2c Kc9d8s8c3c Qs6c4h3h3c 
7c6c5h4c2d Jc7h7c6d3c Qd9c8c5h3c JcTh6h5d2h 
9h6d5d4c3d AdJs7d2h2d As9h7d2h2d Tc7h6s6d3s 
JsTh7h6h2c Ts7h6h2s2c QdJd7c6d3d Qc9c7h6c3c 
Qs6s6h5s3d Qh6d4h3c2c Js7d5h5c4d 7s6h4h3d3c 
AcTs6h4d3h QhQd8c4s2c 8c7h5c3d3c 6c5c4s3h3c 
Kc7c6d4h2s KsJh9h4d4c 8c7c6h3d2d 8c7d5c3s3c 
AsJd5c4c3c KdJc8s8d2d JsJd7c3d2c Jc6s6h5d4h 
Ts8c6d5h2h Jc9h8s4d4c Jd6s6c4s2c Qd9d6h4c3d 
Qc8h6h5d2s JdTh5s5c2c KcQd7d4d3h Kh9c8d4d3c 
Th6s5s5d4c KdTs5c4s2h Js8s6c2h2c Th7s7d5s3s 
AsQd5c2h2d Ad9h8s6c2c AdJs8s3h3c 8d6d5d5c3h 
Qc6c4h3s2s Ah8c7s7d3s JcTc7c6h2d Qh9c7c3d2h 
KhTd7s6c2c 6c5d3d2s2c KsQs8c7s2d AcJh4d3s3h 
Ad6d5d3c2s Qh5s5d3s3c Ah9d8c5s2d 9c8s7h7d3d 
QsQc8d4h2d QdTd9d2s2d QdThTc7h2h 8c7h5c3h2c 
Tc8s6d4s3s Th6h5c4s4d Jc9c8c7d3c Jd9s8h6c2h 
Tc9c4s3c2s Qd7c6d4h4d 8c6c5c3s3d Jd9d7s4d4c 
Jc5s5c3s2d KsQc8h5d3h Th9h5h5c3d Kh6s5s4s3d 
5h5d4c3s3d Qh7s4s3s3h QhJc7d6s2h Jh7h7d6c3h 
AcTc7c4c2h AsTd7h7c2h JhJd8d4s2d Jc7d5s3d2c 
6s5s5h4c2d Td7c6c2h2d Kd8d7c5d2s Jd7d4d4c3c 
AhQc6s5d2s Kh9h6h3c2c Kc9d8s5s4s 8d7s5d2h2c 
KhTh5h3s3d 4h4c3d3c2d 7c6s4s3h3d JsJc7d6h2s 
Jh9h9c8h4h 6s5s5d4c2h Kd9c8s4c3s 9s7h7c4d3h 
8s5d4c3s2c Qs9h7d2s2d As7s5s3s3d AdTs7h7c2h 
Qc7c5d4s3c As5d4d3c2c Tc9h8h3h3d 9s6s5s4s3h 
Th9s5d4c2h Ks7s7c4s3d 7h6d5s4s2s As8s7s5s2h 
Qs9c8h8d4h Th9d7s7d2c Kc9c5d4c3h KsTh9c3d2c 
Th9s9c4d2d Kh7d5c4s4c Th9h6h5s2d 8h6h4d3d2c 
KcQh8d6s3s KdQc8d4h2s Jh8c6c5c2s KcJs8d7d3h 
Qs9s5d3s3h QhTc7h3s3d JsJh5c2d2c KhJd8s5c2s 
AhJh6d4h3h JsTc6h6c2d Ks8d8c3c2s Js8s7c4s4h 
Kd8c5s5h4h KcTd8c3h2s QdQc6s4s2s Qd8s7s6c3h 
Js9c6s4h4d 9d8h4d4c2c Ts8c6h4c3c AhTd7d3d3c 
8h7h6c3s2s Td9c7s6c2c KdQc8d7h2d Td8c6s5c2c 
Td9h5c4s2d Th8d6s6c3s QdJs8h3d3c Js9s7s5h2d 
Qs9s5c4h2d KcTs8h4h4d KsJh6d4d3d KsQc9s7d2s 
Td9h7s5d2c KdTc8s8h2s KhJs8h8d2h Kh9c8c5c4d 
QdJc8h3s3d 9s6h4s4d2d Jc9h5s4c2d Ts9h9c5d2d 
Ks6c4c3s2s Kh8d7d6c3s Ks6d3c2s2d As7h7d5h2c 
JcTc7s7d2h Kh8h8c6h3d 9h7d5s5c3h Jd7h5c3h2d 
9d8c6c3c2d KhKdKc9h3c Ad8s7s5s3s 8h5s5d2s2c 
KhJc6s5d2s AdJh5h4h3h Td9h6s5h2h QhTd7c5h2h 
Jc5s5c4h2h Td8s7h6c2c Js9h6d5h2c QcJs9d4c2c 
QsJh6c5c2c KdTs6s4s3s Js8c7s4s4h KdQd7h6d2s 
8h8d4c3s3c 8h8c6d4c2c 9d9c8h7h3h As9s6s6c3s 
KcTc5c3s3h AhKs9s4s3s Jc9s5d4h3d Ts9s7s3d3c 
AcJs9d2h2d Qd8c6s5c3h Td9d4s4c3h Ac9c4c3h2h 
QdJd8h7c2d Td7c5h4d3d Th9s8h3d2c Qc9c7s7d4c 
KcJd9h4s2d AcQs6h5d2h Jc8h6c4s3d Jd8s8d3s2h 
9s9d8h7s2s JdTd6d3s3h KcJd9h7s2s Th8s7d4h3c 
Kh9d8d5c4d Qc9c7d4s2d 9s8c6h6d2d Qc9c7s3h2h 
Kd8d8c5d3s KdQs9c2h2d 6d5h4d3s2c 9d6d5d3h3c 
Ad8h7h5s2h KdTs7h3h2s 9s9d4s4h3c 9d8s5d5c3h 
QsJd8s7c2s JsTs8s2h2d Jh7h4h4c3c 9h8s7d3d2s 
8h5h5d2s2h 8h8d7d2d2c 9d8s7s3c2c AsJh4d3h3c 
Td9s5s4h3s Kh8s7h6h2c AdTd9d3d2c Jh8s8h4c3d 
KsQd8d7h2c QcJc4s3d2h 6c5d4s4d3h Tc6d5h4s4d 
Th8d7s5h2c Js7d5c4h3h KsQc8d8c4c Ks8s8d6h2s 
Jc7d6s4h3c KsKd8h3c2h 9s8c7h3h2c Qs9s6c4s3d 
AhQd8s3h2h Qs6s4h3c2c 8c6h6d4c3s 7d7c6h5c2c 
Tc9h6d5h2h 7s7d3d3c2c Jd5c4h4d2c Ks9s4d3c2c 
7s4d4c3h3c Kd9h9c7s3c 8d7d7c4d3h Th9c7c5d2s 
9h7d5h3d2d Td9h6s6d2c Qd8s8d5h3d KsQs7s7h3c 
KsQd8h8d4d Qs6c5h3h2c Jc9h3d2h2c AsJd9h2h2c 
Qd9c6d2d2c KcTs6h2d2c KcJc9h4c2d Ks8h4c2s2c 
QsJh9c7c2d AsQc5h2d2c KcJc9s4c2h JsJd7h5s2s 
Jc9c4s3h2h QhJc6c4c3c QsQc8c4c3c Qh7s4s4h3h 
AdTc9h3s2h KcQs8c7d3c AhKh6h6d2h Ts5s5d4s3d 
KhTs4h4c2d Jh8s5s4s4c AdTs5c4h3c 8c7c4h4d2d 
8h8c7s2s2d Ks9h8h7h4d 9d8s8h7c2d 6s6c5d4s2s 
Ac7s7d5d2h Qh8h6d6c3s Jd9h6s5h2c Th9s9c7h2h 
Jc9h8d7d2d Tc8d6h4d2s TsTc6d4h2c 8h6h5s5h3d 
9h8h7d7c3s 9h7s7d4h3c 8h7s7c5c2c AsJc7c3d2d 
Jc9s6s6h3s Ks9s6c4s4h Jd8d6d5d4d Jc9c8h4s3d 
Jh9c8s8c3c Td8s8h4c3h Tc9c8c5c2d JdTs5h5c2c 
AcTc5c3h2s QsTc8c7c2c Js8s6c4s4h Jc8h7h5h3d 
AsTdTc3c2h 5s5c4h3c2h 9h9c7d5h2h AdTs7d3h2d 
Qd9h8d8c4d Td9d3s3h2h AcKh9h4h3h Kd9h4s2h2d 
9h8d6s4d3c Ts9s6s3h3d AcQs8h6d2h Ts6s6c3h2c 
Qc9c6d4h3c KcTh8h4s2d KdQh9h4c3h Kd9d6h3s3c 
Ks9d9c7h3d Ks8c7h5d5c Jh9h7h5s2d 9s7s6h3s3c 
Ts6d5h3s2h 9h8c7h3s2s KdJs8h7h3c KhJd8d7c2d 
KhQc8s8h3d AhTc7h6h2h Kh8s6s5d3c Th5d4s4h2s 
Kd9s4h2s2d KsJc9d7h2h Qs9d6c5d2h Kh8d5s5d2s 
KhJs9s6s2d KhQd9s9c4s JhTc6s6c2d As8h8d5c2h 
Qc8s6c4d4c 9s9d4s3h3c Qs9s7c4h2c Qd9h6s5h2c 
Jh6d5d3h2d AhQd6s6c3s Td9d5h5c3d Td8d6h4s3d 
Tc8h5d4s2c Qs5h4h2s2h QcJd7h6s2c KcJc9c7d2c 
9h8d7h3s2s JsJc8d4h2d Tc9s9h4d2d AhQh6s6h3h 
Jh9c7s4d4c Qh9h8d8c4h AdJs7h5h2c KhQc4c3d2s 
AdJd5d4d2c Ac9c8s3d2c QhTc7d6s2c 8c7h6c3h2s 
QhJh5h5d2c KhJc8c7d2c Js9h7d7c3c 6s6d5d4d2c 
KsQh8h7d2c Kc9s4s3h2c AhJc7s3c2s 8d7d7c4h3s 
QsQh8s4s3s Tc8d5h4c3s 6h5d5c2s2h 6s5s4c3s3h 
Ac9d8s5h2d Ks8c7s3h2c Qh9c6d5c2s KhQh9c7d2h 
Tc9h8h7h3h Ac8d7d5s2h Qd9c4d3h2c 7d6c4h4d3s 
Td9d6s5c2d KdJd9c4s4d Qc7c5c4h2h JdTd4d3s3d 
KhQh4s4h2d KdQcJd8d2d AdQc8d3s2d Ts7h7d5c3c 
7d6c4d3s2s Qc9c7h3d2d 8h6h5h3s3d KsJh9s3s3c 
Ac5c4d3h2c Qs9d7s7c4s Ts9h9d5c2c QsJs8s4d2h 
Jd9d7h3d2h Jc8d7c4s4c As9h8c4h4d Kd9s9d5d4d 
KdQs9d8d4d 8d7h5c4s2s Kd9s5d4d3c QcJs7c4d3c 
Ah6d6c5d3d Js9s7c4s4h Kc8c7h4s4c Js6h5s4c3s 
Kd8d7c3h2h QsJs8s4c2h KdQs9c8h3h 9h6d4s4d2h 
JhJd8h4s2h Jd9d6s6c3d Kc9h6h5h4h QsJd9c4s2s 
Tc6s6d5s4s JsJh8d4s2s 9c7c4s3s3c 7s7c6h5s2s 
Ts9s6s6h3s Jc7s7c6d3c 8h6h6d2s2c Tc7c4h4d2h 
Jh9c5s4h2d KcJc8c5d2c KhQd9s7h2h Jd8c4d2s2c 
KsQc9d8d2d Js5c4s3d2d Qd8s8c7h4c KcQh8s5h2h 
9c8h4s4h3s KhQc9d5s2s Tc8h5h4h3d Ac9s9d6h3d 
Ah8s4h3h2s Js9s8h4c2d Td8c5s4h2d 8s8h7d3h2s 
Jd8d5c3c2d KhTs8d4d4c Kc4c3d2h2d AdQs9c4h4c 
6s5d4d3c2h AdTd7d6d2s AhQs9d4d4c JdTc5s3c2c 
7c6d4h3s3d 9s7s6d3s3c Kh8h8d6h3s KcTs4s3h2h 
Jh9h8h7c3h 9s8d7d4c3h QdQc6c3c2h AdQh7s7c3c 
Js9c6d6c4c 8s6s4c3c2h QhTd5s4c2s Td9s7h5d2c 
9h9c8d4h3s Js9d7c3s3h QdTs7d3h3c JhTd8d2d2c 
As9s7s4s3h Kc8d7s5h5d AsJs6s4h3s 9s7c5h4h3h 
Ts8d6h4d3d QsJd8s8c3s 8h7h4s4d2s Td8s8c5h2d 
Qh7h6h6d5h KhJd9c7d2d AcJd9s2s2h QsJd7h6c2s 
Td9d4h3d2h Ad9h8c5s2h AdKh6c4s2s QcTd8c3s3h 
Kh9s4c2s2h KcQh9s7h2d 9s9c7h5c2c AsTd7d6h2c 
Qd8s6s5c2h TsTh6s4d2c JcTh7h6h2s Tc8h7h4d3s 
QhTh7c3s3d Td8h7s5h3h QcJh7h4h3d 8d6d5h5d3s 
Qd9d8s8c2d JsJc6s4d2h 7h6s6d3s2h Kc9s6c4d3c 
Jc9c8c7s3c Jc8s6s5h3s 9c8s6h6d2d 8s7d7c5h2h 
Jc9s6s6h4s AdThTc3c2s Tc9s9c6c2c 8s7s6c3d2d 
Jd8d4h2s2h JsJh3s3c2s Jc9d5h4s3h ThTc5h4d2s 
KhQd8s6d2d Th5s5h3d3c Qs9c6d4s3s KsQh9d9c4c 
Qs7s6s6d5s Kc7c6s6h3c QhQc6s3h2h Ts8s8h5s2d 
9c8s6d4s3h Kh9d4s4d2h Kd8h8d6d3c Qh8s8d6c3d 
8s6d6c4c3h KcTs8h8d2d KdQdTd8d2d Td8h6c4h2s 
Ac8d7d6h3d Kd7h7d4d3c JsTs7s6s3s JdTd4h4d2s 
AsTh7d6c2h Tc8h8d4s3d Th5s5c4h2s Qd7s4s4d3d 
AsQs6h3s2d Qs8h8d7c4d Qd9s9c5h2c 8c5c4h3d2d 
Tc6c5d4h3c Ts9d9c3h2d 9d6c5s3h3c Td8s7d6d2h 
Kh9s8s8c4d Ts7s7d3d2c QdJc8h6c2c KsTs5s5h3s 
Qh8c5s4h2d 8s8h7d2d2c AsTd9h4d2d Ah8d7d6c3d 
QdTd9d2d2c Qc6s5d5c2h Ts8s6c3h2h AhKhJhJdJc 
Kc4c3h2s2h Qs9c7c5h5d Js9h8s4d4c Qh7s7d6c4c 
KcQhJh7h2d Tc9s5s4s3h KhTh7h7c2s QdJd8c4d2s 
Th8s4c3h2s KsJh9h6h2c JsJc8c4c3c Qs6h4c3s2h 
Jh9d8s8c3d Tc6s5d3c2d JsJh7c3s2c Jc7d5d2h2c 
Ac9h6h5h3s KdJd6d4d3h QsTs5h4s2s Qh9h8d7c2h 
Qh7h5c3s2s AsJh7c4c3c Kc9h7d5c2c Qd6s5d4h2c 
Ah9d7h4h2s Jc9c8d4h3s Ah7d5s3h2h QcTd6h6c2c 
AcTd7s7h2d JdTh8c3s2h Ad9s8h4s4c Kc9c6h4s4c 
Jh8s8c5h2d 8h7h6s3d2s AsTc7h7d2c Ks9s4c3s3c 
Kd9d8d5c4d As8s7s5s2d 8s7h5s3s3c KsJd5h5c3c 
Ad9h6c5c3s Qh9h9c6s2h JsJc8h6d2d Kd7d6d4s4d 
KhQsQhQc8s KcQs9h2d2c Ad8s4d3d2s Kd8d6c3c2c 
Jh7c5s5c2s 9h8d6h4c2s 8c7d5s4h2h AdQd6d3s3d 
KdQs7c4d2h 8s6d5s5h2c AhQs6c5d2c KcQs8h6s2s 
JsJc5d2h2d Qc8s7c4c2s Jh7s5d2h2d 8s5d4d3s2h 
Td6s5h3d2h KhQd6d4d2s Qc9h8s8c4c AhJd4c3s3d 
Jh9s7s5d2c Jd9c7h7c3c Qs9h7c2s2h 9c8h5h4h4d 
QcTs6s6h2d AdJc7c3s3h 8h7d5c4c2s Qs8h6h5d2c 
Qc6d5h5d4s Kd5h4s4c2d 8h5s4s3h2c Js9h3d2s2h 
Qc9h6s4c3c KcQc6h6c2s KcJh5s5d3d KcJs9s5s2s 
Qd9h7c3h3c 9s8h7d5d2d Td8c6h4c2s KcTd8s5h3h 
Ac8h7h6s3h 9h8d6h4s2c KcQs9s7h2s 6c5h4h3s3d 
8s7s5c4s3s 9h8s6s3s2h Kc9c4d3h2h 6s5s4d3s3c 
Ac7h4d3c2s KsJc9h4d2c Jc5d4h4c2d KdTd7h3s3d 
Ks9d8d5d4c Js8h6s4s4c 9h9c7s5h2h Qh7h5c4s3h 
AdQd8d4d2c Ts8c7d6h2h QcJs8d4s3s Th5d5c4h2d 
QhJh4d3s2c KcQd7h7c3c Kc7s4h2h2c As7h7d6h3h 
Jc8d5d4h4d Kh8h7s4h4c Qs5c4h4c2h Th8d7c6s2s 
QcJd8s3h3c 9c8h6d4h3s Qh9c7c5s5d Jd9c8h4s4d 
8h7s6h3s2d Jh7s5d4s3c QhJh8s8h2c 9c8s5s5h3d 
Kh9d6h4h4c Kd9c5h4c2h Kd7h7d5s2c Jc8h6c4d4c 
Jd8s5d4d3c KhThTd7h2h Kd6c3s2d2c Jh9h5h3d3c 
Th8s7d5h2c Kc8c7h5c2s Td6s5h5c4d KcQs7d7c3c 
Kh9s8h8d3h Js9h8c7c2c 9c6c5c4d2s Kd9d5c4s2h 
Kd8s8d6d3h QhJd9d7s2d QsQh6d4d2d Jd7d4h3h3c 
7s6d6c3s2d Qh8h5d2h2d Qc8h8d4h2d AcQd6s4s3s 
KdJh8d8c2d Ac5s4h3s2h 8h7s7c5s2s Jd9c8h4s3d 
Ac8h7h6d3h Qc9d6h3d2h KsJc8h4s3s KsTc6h2s2d 
Ah7h5d2s2h 9d5d4s3s3d AdKdJhJdJc Qs8h8c4h2c 
AcTs9h3d2h 8h8d3h2d2c Kc9s8h4s3h Ks9d8d5d4h 
TsTc8c4d2c AhQs8d3h2h KdTs7s5c2h Kd9h8h8c4s 
QsTc9d3c2c 9h9d7s6s2s Qh8s6h4h4c QhJh8h4s2d 
KsQs8c3s3c Qh8s8d7d4d KhQd8h8c3s JhJc6c4s2d 
As8d8c5d2h AsJc8d6h2h KdQs9d7c2d JhTd7s7d2c 
AsJc5c4c3c Ac8s8h7s2s Qs9s7d4h2d Qd6h5d4c2s 
Td9c8d3h2s KcJc4s2h2d KsQh9d9c2d 8h6h4c3c2s 
KdTd9d4d2h Qs7s7d5h3s 8d7c5s3c2s QcTs5h4d2h 
9s7c6h5c2c 9h8d6s6h2c Th9h6h6d3h QhJh7d4s4h 
QhJh5h5c2d JdTs7h4d2d AsJc7h3c2h Jh9h5c3h3d 
QhTd7s2s2d QcJh9s3h2d Ts5h4s4d2d KcJd8h5h3h 
AsTs7s4s2d 9s9d7c4d3d 7h7c6d5h2h As7d7c5d2h 
Ks9h6s4d3s QhJh5h4c2h Jd4h4d2h2d Kd9h8d5d4d 
9h9d8d4c3s 8s8c7d4h3h Kc8h6c2h2c KhJh8s8h3d 
KdQs9h9c4c AhJc7h2s2h As9s7s4h2d Jh8h6h5h4h 
QdJs9s7c2s Qs9h7d3h3d Qd8s6s5h2c 6s5h4h4d3c 
9s9c7h4c3c Js7c5c2s2h Ks7c6s5s2d Qs6c5s4h2d 
AhTc8c2d2c Js9d3h2s2d Qc7h7d4d2c JdTd7c6s2d 
Qc7s7d4d2c AcJh7d5d2s Qd6h4h3s2d Ad8c6s5s3s 
Th9h6s5c2h Kd8s8h7d2c Qd7c5h5d3s Js9c5s3s3d 
Ah9h7c4s2h Qc9h5s3s2h Kc8h7c3s2h KdTd7d7c2s 
JsTd6c4h2h QcTs8c4c2c Ac7c5s2d2c 7d6c5s4s2s 
Kh8s7h3c2s 8d8c7s3c2d Ad6d5d2s2c QhQd3h3d3c 
KdJh8h7h2c 8c6c5s5c3h JsTd5s5c2s KdQd8c7d2h 
Qd7c6s5s3s Jd8h6d4d4c Js9s5c3s3h KcQs7s3h2h 
JcTd6c3h3c 9h8d8c7s3s Kh6h5h5c2d JcThTdTc8h 
7s6c5h5d2h KdTs7h2d2c 8c7h7d2s2h Td8s5c4h2d 
6s6c5d4c2c Ac7h4s3c2d Kh9d8s4s3d Ts9c6s6d2h 
KhTc7c3d2d Ks8h8d3d2s Ks9s9d7s2c Jd9s7c4s4h 
KdTsTd4d2d Qh6s6c5c4c Jh9c7d4s4c Qc8h6d6c2s 
KhJd5d3s3d AsJh8c6h2h KsJh6c2h2c Kc7d5h4s4h 
AsTs7s6s3s KhQs6s4s2d Ah9s8d5c2s AsTh5h3d2d 
AsTd8h2d2c 8c5c4s3h2h Jd7h5s2s2d Ac8h8d6h3s 
ThTc6h4s2d Td8s5s4s3h Ac8s6h5h3h 9s8d8c6s2s 
Js9c6c5h2d 8c6c5d5c3h Kh7h4d2s2d QcJs7c3c2s 
8h8d7d5s2d KcJd9s7d2d Ts8s4s4h2h AsQd8h6c2h 
Tc8d7c3s2d 8c6c5c3h3d AsQd8d4d2c 9d9c8h7s2h 
9c7h5h3h2c KhTc6d2s2h Qd8h8d6d3c As6d3s3c2h 
8h5c4c3h2d Jd7s7h4s4c KdTc8d3s2h KdQc8h8c4c 
8h7s7c5d2d Th6s5c3h2c AcQd6s6h3h JsJh5c4d2d 
Tc5d4h4d3h JsTd6d3h3d Ah8s7c5s2d Ah9s8d5d2c 
7c6h4h3d2d KdJd7s3d2s Kh9s4s3c2h Th8d6c3d2c 
Js9d8h8d3d 6s4s4c3s3h Th6s4h3s3h Th8s6c4s3d 
Js7s6c4h4d Qc9s8s5h3s 9h9d8h4s3c KcTsTc7c2c 
Qc8d7h5s5d Jh9s6d5s2c AcQs6h6d3d Tc8s7d4c3h 
Qs8h8d4h2d QdTd5c4d2d 9s8d7s7h3c 9d8s6d6c2h 
KcQh9s9d4d Jc8c6h4d4c KcQhQdQc8h Td9d6h5d2s 
Th9h3s3d2d KcJh8s7h2h Jc9s3h2s2c KsJc8h5d2h 
Tc8h6h5h2d Ah8s7d5s2c Qc7d7c6c3s Kc8c6s3s2s 
9s8c7c4h3d Ad7d5c2s2d JsJd9c3d2d AhTs7h3d2h 
AsTh9c4h2h AdQs7h7c3h AcTh5c3c2d Th8d6s4d2c 
9c8h8d6c2c Jh8h7h5h5d Ac9h6d5d3s KhTs4s3d2d 
Kd8d7c3s2s Ad8c7c5s2h KcJs6c4c3c KcJd6s4s3s 
Qh9c8d4s3h Qs8s5c4d3h Jh7s5d3s2h KhJh7d3h2d 
