Qs9h6s4s3s 
Qc8h7c6s2c KhQs8h8d2h 6c5c4c2h2d Jc8c7s6c2h 
Tc9s8s3s2d Th9c7h2s2d Js9h6s5s2s 6h5h4h2s2c 
7d6h3c2h2d 8h6s5c3d2d Kh9c6d5s2d Ks6h4h3c2c 
Kd9h8c3c2h KcQh8d7s3d 7s6s6c4s2h AcQd8s3s3h 
KcTc4d2s2c QhTs4s3c2d 8c6s5d3s2h Qd7d4s4c2s 
Qd5s5c4d2h 7c6d3h2h2d Qc8c6d3s3h Ah7h7c3d2h 
Ad9d5d3c2h 9c8s8h3h2d KhTh6d3h2s Jh8c7c4d3s 
5d4h3d3c2c Kc8d3s3c2s Jd9c7h7d2d 9d5d4c3c2c 
Kd9d5d3s3h Jd8h7c6d2d Jh7h5h3s2s Jh6s6d4c3h 
AhJd7d4s2d 9h8c7h2s2d JdTd6d4h2d Qd8h4s3d2h 
9s9c6c4h2c Ah9d7h3h2c KhQh8h4s2d KcQd5c3c2c 
Ks9s4s4d2d AcTs6d4h2s Ts9h5h4d2h Qh8s8c6c2c 
Ts3h3d2s2h AhTs7s6s2s Ah6h4s3h2d Ks9d5s2h2c 
6d5c4s4d2h Tc9c7c4c3c Kd8d6s3d3c KcJc6d6c2s 
Ah9c6c5c3c Tc9h7d4d2d 9c6s5d4d2d Qc9c6c4s4c 
Qd8s4d3c2s KdTd6c3d2s JdJc7d4d2s Jd8c6h2h2c 
Qs6s6c4d2h Qh9s8s5s2s 9h7d4h4d2d Qh4h4c2s2d 
Jc8c7c4h3d Qd8d7h7d3s 8s4h4d3d3c 9s9h8s4s3c 
Qd9d6h6d2s 9h6c5s4s2s Td5c4d3c2c 9d8s6s4s3s 
AhQc9d4s2d Th7s7c6c2d Qd8s8d7d2c Qh6c4s4d3h 
AdTh7h2s2c Qd6h5s4c2c Kd8h6h4s4h 9c8c7c4h4c 
Jd9h9c3d2s Kd9c5s2h2d Qh7c5h2h2c 9d8d7h4d3s 
KsJc9h3h2d KsQc7s4d2s Th8c5s5d2h Qc7s4s2h2c 
6s5s4s2s2d 6h5h5c4d2h Jh9d8s3h2c Qd8d6d3s2s 
QdJh7h4s2c QsTh5c2h2d Ks6h5s4s2s Qh9c7d5h2h 
KcJd8h6h2h JhJd6s4s2c Kd9c8s5h2s JhTc6h3s2d 
Kh6s5d3s3c Td8s3d2s2h Kd8s7h4h4c 9h6c5s4d2d 
Kd6s5c4s2s JsJh4d3c2h Tc9s6s4d2s QcJs9d3d2d 
Jh5d3h3d2s Jd7c6d2s2c 5d4s3d3c2s QcTs6s3d2h 
Kc8s8d7d3h Jh7d7c5s2h Ts8s7c5s2s QcJc6c3d3c 
9s7h6d6c2h Ts9d5d4h2c 8c6h3h3c2s 8d8c5d3d2s 
Qs9c5h3s2d Js9s8s3c2d Jc8h8d6s2d AhJh6c2h2d 
KsQs7d6s2s Td5d4h2s2h Qh7c6c4c3s Jh9h8c4h2d 
AhTc5c4d2c Jh8d8c4s3d AcTs6d5h2d Qh8d7d3h2c 
9h8h6c4h2d Jc6h5c4d2c QhJh6h3h3d 9s6s3h3c2h 
9c8c5s3d2h 9h8d3d2h2c AhJc6h3d2h Kc9s6s5h2s 
Qc8d7d3c2s Jd9d8h4c2d KcTc5s5d2c 9c8h5d4h3h 
Qd8s6c3h3d Kd8h3d3c2c KsQs7s5s2c Ks8h8d6d3c 
KhQh8h4s2c JdTh7h6h2h QhJh6h3s3h Kc8s6d5h2h 
7h5d4d4c3d Tc3s3d2s2c Kc9s6h2d2c Kc8c6d3h3c 
Jh9c8d4s2c Qs9d9c4h3h Jh8s8d4c3s Kd8c7c5h2s 
Kd8d5s3d3c Ts9c5c4h2d QhTh6s2h2d KcQc6c3s2h 
9c8s5s4s2h Jc6s4h2h2c Qc9c5c4s3c Tc8d7c2s2c 
Kc9c8c6c2s KdTd8s3c2d KcJc4d4c3c Ts4d4c3s3h 
8h6s5c3d2h 9d7h5s5d2c KcQc8c7c2d 9s7d4c3s2c 
8d5h5c4c3s Qs8d4h3h2s Ah9s9c4d3c AcQh8s3d2h 
Qd8c7h6s2c Qs8d4s3c2d KsQc8c4c3h Jd7c5d4d3d 
Qc7d5d4s4d QcJs7s4s3s 9h8d7d3s3d Kd9s7d5d2d 
Kh7c6d6c3c Qc9s4d3h3c KcQh7d6s2s Jh8d7h3d2c 
Ad9d5h3d2s Ah5d4s4d3c QhTd4d3c2s KhTc7h4h2h 
KhJs8d6d2d Ad8s5s5h2c AcTh9h3h2h Kc8s7d6s2h 
5s4c3h3c2s As8h5d4h2h QsJh9d3d2d Kc9h8s5d2s 
Kh8h7h4s3c Jh8d7d3d2h QcTd8d3h2d Qs9h8d3s3c 
9s8s8h4d2s Jd8d7d4d4c KsTs4s4c2d 8s6h4h4c3d 
Jd9d6d3s3c Td9c5c2s2h Tc9c6d3h2c Jd8h8c4s3c 
7h6d5c3s2s KcQd8d4d3s Kc9s5s4d3h Kd9c7d3h3d 
9d6d4s3d2s Th9h6c3d2h AsQs7s4s2c JdJc6h4h2s 
8s7d4h4c3h 8h6c5s3d2h Kc7d6h6d3d Td8s5h5c2c 
Kd8c7h6s2c 9d6s5c3h2s Kd9s4d4c3h Tc7s7d6h2c 
Td7h5d3h2d AsJd7c4d2d Ac9h6d4s4h Qd4s3s3h2d 
Qc9c7c4h3d Tc9s7h4h2h Ts9h6c3s2s QhJc7h5h2h 
9c8d6d3s2h Jc8c7d6c2s QsJs9s4s2c Qh8s6s6c3d 
Qs8s8c5s3s Tc9c6d5c2c 5d5c4c3c2d Ac7d6c3c2s 
Ac8d6d5d3d 7s7c4h4d2s Ac7d5d4s2h Kc8s8h6s3d 
Jh9h8s4h2d KdQs7c3h2d AsJd8h3c2d Ad8s5s5c2h 
Kd7s6c5s2h Qc8s7s6d2h KcJd9h2s2h Tc8c7h5c2c 
KhTd8h3s2h Qd8c6h6c3s KsJd8h4c3h 9h7d5c4s2h 
Th9h5h4s2d 9d8d7h4d3c AsTd7d5d2d 8s7h4c3h2c 
AhQc7d6s2d Ks9h5d2s2c 6d4s4d3h2h Qh6c5s4s2d 
Kc9d5s2s2d 8s7h4s3d2d KsKhKcJc9c Kd9d4s4d2s 
KdQc6d4d2d Jh4d4c3s3d Qd4c3h2h2d 9h8s6d4d2d 
Qs7c4d3d3c 9c6d5h4c2c Jc8h4s3s2h Js9h8d3c2s 
Qs8c7c5c3h Qs9c3s3h2c Th7c4d2h2d Ks8h6h5d2h 
Qc8c7c5s3c Js9d7h6c2d Jc8d7c3d2h Qs4h3h3c2s 
KcQh7h4d2s Kc9h6s4h3d Ts9c5s4h2s Ts6c4c3s2s 
8d5s5d4h3c Tc9h6h4s2h KsQs7s6s2d KdQh9h4h4c 
Jh7h6s3d2d Qh8h7h7c3d Tc9s7d4h2s KdQd7h7c2s 
KcJs6c2h2d Td8h5s5d2d Qs8d4h4d3h 9d6s6h4s3s 
KcTd8d4d3d QcJc6c3h2s Jh9d8c4s2d Qh8c4d3d3c 
Jh8s7d4h2c Jc9s9d3c2h 9s7d4h3d2s 7d6c5s3h2h 
KsTs8c3d2s Ac7d6s3h3d KcJc6h6c2d Qd9d5d4s3d 
Jc7d6d3h2c Js7d6c3s3h Th9h5d4h2c Ac9s9h4s3d 
QhTh8h4h2h Qc7s4s2d2c KsQh8h4h3d Qc6d6c4h2s 
Qd8h4s3s2d 7c6c3h3d2h AcJs9h4h2h QcJs9d3s2s 
5d5c3s3h2d KhQh7h5h2s AdJs6s5c2s JsJh4d3c2s 
6d4c3d3c2c Qs7c6c4d4c Qh4h3d3c2d ThTd3s2h2c 
Qs8s8c7h2s Jc9d6d3s3d KcJc7c3h3d Td7c6s4d2h 
Js6d5h4d2c 9c6s4h2s2h Kh9s8h4h4c QhTh7h7c2d 
AhJs8s3d2c 7h6s6h4h2c QcTh7s3s3d QcJs6h4h2h 
KcQh8d6d2d JhTd7h3c2h QdQc7h4s2h Jc9c8s4c2h 
Jh9c7s3d3c KcTd7c2s2h Ts6c5d3h3c Qh8s6s5s3s 
KhJs6h2d2c Kd9d9c7d2d 9s8s7h3s3c Th7d4s4d2s 
Jc8c7c4h4c 5c4s3h3c2h Qh8h7s5h2d Kc8s8d6h3d 
KcTc9c5c2c Kh9c5s4d3s KdQc9c2s2h 9s8s5c2s2h 
KhJc5d3c2c 7h7c4d2s2h Kd9s6h4c3c Kc9c8s8c2c 
9c7d4h4d2c KsQh6h6c2h KsQs3s3c2d Jc8h7d6d2s 
Kd6d5d5c2d AsTd6d4h2c Jd9h8h2h2c Ks9d8h5c2h 
Th8h7s4c2h 8c6d5h3d2s Qd8d7h5d2c Js8h8d6s2s 
Jd7c4s2s2d Th9s8c3c2c Ks7d6s4c2s Qc8d7c6h2c 
ThTc6s4d2s Ac7d6h5s2d Qs6s6d4c3s Tc8d5s3s3h 
Jd9d6h3s3d Ah9h6s3c2h KhQs5s2s2c JhTs6h3c2d 
KdJc8c7c3c Jh7h6s3c2c As9d7s3s2h AcTd6c4c2c 
5c4d3s3d2c KdJd3c2s2h Js6c5s4s3s Jh9h7h6c2d 
Kh5h4c3s2h Js9h8d4s2s Qh7h7d5c2s 8h7h5h5c2d 
Jd8c7c4h3s 5c4d3s2s2d Tc6s6d5c2h Td9c6c4h2c 
KsKdKcJc7h Js7d7c2d2c Ad9d5d2s2h Qd9h6s3d2c 
Ac9h3s3d2c 6c4c3s3d2s Jh8h7d3d2c QsJh7d3s3c 
9d8d7c4h3d As6d5c4c2h 9h7c5d4c2s Tc9c5s3h2d 
TsTc5h4h2h Ts5d4s3d2d Jd6c4d2h2c Js5s5d3d2d 
9s8d7d4d3c KsJc4h4c2c 6d4h4d3c2c Qd9h5s5c2d 
Ts8h7s2s2c 8h7h5h5d2s KsQd9h7h2h Ks9h4s4h2s 
6h5h4d4c3h 8s6d5s3c2h KdQc7s3h3c Th9d4s4h2c 
Kd8s7c6s2h Ks9d7d4h4d Qd7h6s5h2c AdQd8d6d2d 
Jc8c5h5d3c Kc6d5s4d2d Qc8d4d3s2c 7d6d4d3h3d 
8h7s7d4c2h Ad9s5h5c3c Qc7d5d3c2c KsQs7h6s2s 
Kh7d5s3c2h Jd9s5c2h2d 8s8d4h2h2c Js9s6s3d3c 
Qs9c7s3c2s Th7d6d3s2s Qd9s3d2s2c 9h8h6c4h2s 
Qs7s5s4h3s Jd9h7c6s2c As7s6c3s2d As7h6s3s2c 
Kc9s9h6d2s KdQs6s3s2c 7c6s3d2s2d KhQs5c3c2c 
Kc5c4d3h2c Jh8h7h4c3d Ks9c5h4d3h Qd8d8c5d3d 
9c8d6s4h2d Jc9s8d3c2h Qh7h6d3s3c Js7h7c5d2s 
Kh9d8h5h2h QcTd6d4d2d Jd9s8c3h2d Kh8s7s7c3d 
AcJhJdJc8s Jc6s6d4h3c Qh9c7h3s3d Qd9h5s5h3h 
Js9s5c2h2d Js5h4s3s2h KdTs4c3h3c TsTd7d4c2d 
QsJh7h5c2h KcJc8c6d2c KsJc4d4c2c Qd7h6h4s4h 
Ah9s5c3s2c JsTh7s3d2s AhKh7h4h2h Ts7s6c4h2d 
8c6h5d3h2s Kd9c7h6s2c Ad8h5c4h2s Kc7s5d3s2d 
6c4h3s3h2s KsQh9h2d2c QsJd7d5h2d Js8c7h4h3d 
Ts9d5d4c2d Qc9h5c4c2d 7h6h5c3h2s Ts9h7d4d2d 
Qs9s9c8s2s 8s6c5d3c2h QhJh6h3c2d 7d6h5d3c2d 
Jd5d5c4h3s Jd5c3d3c2h 9s8d5d4d2h QhJc7d5s2s 
Jc7s7d4s3h Ts6c4c2s2c Ts9d7h4h2c QhTc7d5s2d 
KsJd6h4d2d Jd9c8c3h3c Qh7d4d2s2h Th9h7h5h2c 
9c8h7s4h3h KhQd8s7c3s Jc9c7c5h2c KhJs7s5s2s 
As9s5s3d2h 9h8d7s4d3d Qd7c6c3c2d Kd9d4d4c2c 
Ks9h5d4c3d AsQs4s3s2c 6h5c4s3s2s Js8s5d5c3s 
Qh9c6c4s3c Ts9d5s4h2s Kd6c5s3s3h KsQh8d6d2d 
Th7c5h3c2c Kc8c6c4h4c KhJs4s3d2c Kd9h7h5s2c 
Qc8h8c7c2s Tc6c5h4c2d Js9s8c4h2s Kh7d3h3c2d 
KcQd9h3s2d Qc6h4c2h2c Kc9d4h4c3s 9d7c5h5d2s 
QdTc5s5c2c 9h7h4d2d2c QcTd4h2s2d Td9d7h4s2d 
8h5d5c4h3s JsJh4c3d2h Jc6h6d4c3s KhTs8s4s3s 
AcJd9s3d2d Jd9c7h7c2s 4c3d3c2d2c AsQd5h2h2c 
QcJs8s3h3d 9h5h4h3s2s Qc8d7s3d2c Jc9c8h4c2d 
KsJd7h3d3c AhQh4h3h2c Jd9s6s3s3c QcJh8d4d2d 
Qs9h8h6h2h KcJc7h3s2d Th6h5h4s3h 5d4h4d3h2d 
AdJh5h5c2h 9c7c4h2h2d Tc6c5s4c2d Th6h6d3d2h 
8d6h5c3s2d Tc5s4c3c2s Qs9d8s4s3c Th9d7s4d2c 
Kh9s8d5c2c 5c4h4c3s3c Td7s7h6c2d Kd9c8c6s2c 
Kd8s8h5c3s KcJd7s3h3d Th7s6c5s2d KcTh8h3d2s 
Qh8h6c3s3d Ks9h7s3s3d JsTd3s2s2h Js7d4d3h2s 
QcTd4d3s2h QhJc6d3c2s Ks8d6c5h2h Th6s6h5c2d 
Js8s6h5s2s Qs8s8c7d2s 8d7c4d3h2h Kd9c6h2s2d 
KhJh7h6h2c As9h5d5c3d AhTc6h4h2h Ts9h7h3c2d 
Ts8s7s6h2s KdJs6s3s3c 9d7s5h5d2d 9d6c5c4h2c 
Ah8d5s4d3c Qc9h7d5c2c Qh8d6h3h2d Qd4h3h3c2d 
5h4h4c3c2c Ts9s5c2h2d 8h5c3s2h2c AdTc6c4c2h 
QsTd4c2h2d Jc8c7c4h3s 9s6c4d2d2c Jh9h8c6h2h 
AcKc7c4c2c 9d8h6h4h3h KhQh7s7c2d Qh8d6s6d3c 
Ks8d6d5d2c Kh9s5s4d3c QhTd7s3s3c Qs6h3s3d2h 
QdTs7h3h3c Qd9d7d6c2s Ac8c4c3s3h KhQs8d6d2d 
Kd8s5d5c3d KhQc9c4c2d 8h8d5d3d2s 8h5s5d4h3c 
9h7s7h6d2h AcJc8c6c2c Qc9s7s4h3d 9d5d4h3h2h 
Qd7s6s4s4h Jc6h4c2s2h QdJh9s3s2s 8h6c4s4d3d 
Js8d7s6c2s KcQc7h6c2c Js9d7c6c2h AcQc4c3c2d 
AcJs7h4s2s Qh9s6h4h3h 8c5s4d4c2h Qs7d6d4d3h 
Js9s6d3s3c Ac9d5s5d3d Js8h5d4d3d 8h7h5s5h2d 
AhTc8c3d2c QsJd7d4h2c Kc7d6s5d2h Kc6d5s3s3h 
8d5h3s2h2d Ah7s7c4c2d AdTd4d2s2h 5s5c3s3d2h 
Js8d7s3d2h QsJc3d2h2c AcKs6h3d2d Ah8h4s4d3h 
Ks8c4c3s2c Kc9h8s8d2d 8c6h4s4d3d JsJc7c4c2h 
QcTc8c4c2c JsJh7c6d2c Tc9c7s4d2c AsTd5d4c2d 
Kc8h7h5d2s Ad9d5s3d2c Qd8d7d6d3h Qd7d5h5c3d 
Qd8h6h4h3c Ks9s9c7s2s Th8d7c4c2s Th9s6s4s2d 
8d6d4s4d3h Qc8h7h6s2d 9s7s4c3d2d Qs9s9d3h2c 
Kh9d6c5s2c KcJc7c6c2d Qd9d8h7d3d Qc6s3h3c2h 
Jd9c8s3h2d Jc8s7c3s2h Ac7s7h4h2d 8s7s5s5h2c 
Kc8c7s7d3c Qc8s7d5c2c QsQhQdTs9c KhJs9c4s2s 
Kc7d5d4d3d QsTh7d5h2h 8s7h4h3c2c KhJc4c3d2s 
Jd9c6d5d2d QhTs4d3s2c 8h7h6c2s2h TsTd6c4c2c 
9c6d5s5h2s Kh7c5d3c2d Kc9h7d6s2h KhTh7h4d2h 
QhQdQcJc5d 9s6s5s3s3c Qs9s7s4c3h KcJd6s4d2d 
QdTd7h7d2s Ac8s5h4s2d Ks8d7d6c2h Ts9d5c4h2c 
Qc8c5s3h3d 9d6c5c4c2h Jh8s7s3s2h Ts6s5h4s2d 
KhQs9d3s2c Kh9d7d4d4c QhTs7h7d2h AhQc8s3s3d 
9s9d6h4d2d Kd9c7c5s2h 9c5c4c3s2s KhQd8s4c2d 
Js8h8c4h3d QcJh7s3d3c QdJh4h3h2s 9s7d6d2h2c 
Kh6h5c2h2d JdJc6h4s2h 8h6s5d3d2d TsTd5c4c2c 
Th9d6h2s2h QhJd7h5h2h Jc9s7h7c2c 8h7c4d4c3s 
Td9d4d4c3d Td7s4h2h2d Jh6s4h2s2d Ts8h6h4h3h 
7d6h3s3h2s AhJd7c4d2d Js8d8c7c3c Ks7c5c3d2d 
Ks9h8d8c2d 8d5h3h3c2d Jc5c4d3c2d KsQd5s3s2s 
As9d9c5c2h As9c5d4c3h Kh9h6s6d2h 9h6c5c4s2c 
Tc5d5c3d2h As6s4h3s2c Kc9h8d5d2d Jd9s7s6s2h 
Kc8s7c3h3d AcKd9d3s2d Jc6c5d4c2s Qc7d4d2s2c 
Tc9d8h3h2h Kh6c4c3d2d KsTh8s3d2s Ac7d7c6c2c 
Qs9h3s2h2d AsJsJhJd8c Jd6h5h4s4h Kd9c8d4h4d 
Ac6s6c4c2c Kh5d4h3c2h Jc9h6d4s2c Js9d6s5s2s 
Ah9s8s6s3s 9c8s5s4s2d 9s7d6h6c2d Jc8h7d6h2s 
KcJh8c4c3c Ts6s5s4h2c Ts7h7d3h2d 6c4h4c2s2d 
Kc8d7h7d3s QdJd8d7c3d Qs4d3s3c2d 8s7c4s3d2d 
Tc9s5s4h2s Ad6d4c3d2s Ks8s5h3s3d 9h9d8h3c2s 
Ks5s4d3h2s KcJd5s2h2d QcTd5s2h2d Js8d7c6h2d 
KcJh7s3h3d Js8s8h6s3s Qc9d5s3c2h Kh9d7h3h3c 
4c3h3c2h2c KcJd8s8d3d KdJd8s4d3d KcQd9h2s2d 
9d6s5s3h2c AsTs6d4s2s 8d7d4s3s2c QhJs8d4d2d 
Kh7c5s2s2c Js8s7c4h3s AdTd3d2s2c KcTs8h4h2h 
Js8s6s6c2d Jd9h6s6c2d Td7s7h6h2c KdJh7c3s2d 
KsJc4h2d2c Kh8d8c7d3s Jc8d7d6d2h Td5s4d3d2s 
9s5h4c2s2h QcTc4h4d2c QhTc4s2d2c Jd4s4h3s3c 
Qc6s4s3h2h Jh9h7h6d2c Qc6s6h4s3d Th7c5d4h2s 
Qc8c7d3d2h Jh8d7h3d2s As8h7d3s2s Kd9s5s4h3c 
Qc7s7c6d2h Qd9s8h3d3c KsTs6c3s2h 9c6s5s3s2d 
KcQc8c7s3c Qd8d7s5d2h Ah9c5c4d4c 9h6h6d4h3c 
Js6h4s3c2c AhJs7s4s2d Kd9c6s5h2s TdTc4d2h2d 
9c6s5d3h2s Tc9c5d2s2h Kc9d7h6s2d KcTh4c3c2d 
Js5d3s3h2h Ac7s5h4h2d QsJh7s6c2s QdJh8h4h2h 
KcJd4s2h2d KhQc8s7d3d 9c6c4s2s2c Qd7h6c5h2s 
9s6d6c4d3d Ac7s6d3s2d 9h9c8c4c2s Js8c6s3s2c 
JdTc7c4c2c Kh9s8s8c4s 7c6d5c3h2c 6d4s3s3c2c 
8h6h5h3s2c KsKhKcJh7d Kc9h5s2s2h AdJs9c3s2s 
7h6c5s5d2c Ad7h5s4s2c 9c5s5h2s2d KhJs4d2s2c 
Ac6s6d5h2h 8c5d3h3d2h 7h6h6c4h2s AcKs6d3h2h 
AdJh7h4s2h KhJh7c3d2s 7s5h4h4c3h QsJs4s2h2d 
Kc6s4s3d2d Td9c6c5c2c Ks7h6c5d2d 9c8s6h4h2h 
Ks9d8c5h2h Kd9c8h5c2s KdTc7s4s2h Jc9d8h3s2c 
8h6c5h3d2s Ac6c5c2h2c Kc8s8c3h3d QcTc3d2s2h 
KhQc7s7d3d Qd8s5d3h3c Jh5s3s3h2c Ks9d6d5h2d 
Tc7d7c3d2d QsTh4h4d2c Jc8s5s5d2h AhTc5s4d2s 
JsJd7d4d2c 7h6d3s3d2s Jh6d4c2h2c As9d9c5d2h 
Qh9h6h4h3d 9s6h4c2h2c 9h9d5h3c2s Qd7h7d5c2s 
6s5d4h3h2h 9c6c3h3d2h 7c5h3h2h2c QsJd4d2d2c 
QhJh7d4c2h Ks9c6c5h2c 8s5s5h4s2d 8h5s3d2s2h 
Ks9d4s4c3h Th6d6c4h3s Ad7h7d3s2d Jh8h7c6h2s 
TsTc7s6s2s Qh8s7s6d2c Jh8d4s2s2d 8d5c4h4d2s 
KsTs5h5c2s Jd8d7h6d2s 9c7d4s3c2s Tc9c6h3c2s 
Ah8c7d6d2d KcJc6s6c2h 9h9d6h4s2h 9d8c6s4d2d 
8c5s5c4c2h QhTs5c2s2d Th7h5s4c2d Td8c4s4d3h 
Ks6c4d2d2c 9c7d5h5c2s 9s9c5d4d2d Js8s8h2d2c 
AsJs7h6s2s KdQd8c4d2h Kd7s4d3h3c QdJd7c2d2c 
Kh8h5d3s3h TsTc7s4d2s KdQc3c2s2h 8d6h4h4c3s 
AcQh5s2s2d QdJd6d3c2s Qc9c5c4s2d 9s7s4h2h2d 
TsTh3d2h2c KhTh6c3h2d KhJs8d4c3c QhTc7c4s2d 
Jd8s4s3h2d 9h7d5s5h2c Kh9d8c5c2s Ts9c6s2s2d 
9s5h5c2d2c 7s6h3h3d2d Qc9h3c2s2h KsQd9c3h2d 
Ts8d4s4h3c Jh9s8c2d2c Qs8h4c3h3c 7h5h5c4d2s 
Js8d7s6s2h Ks9d8h3c2s 7h6s5d3c2c Qd7d6d4d3c 
AcTd7s4s2s 9c6h4s3h2s Kc8h3s2h2c KhQd8c4d3d 
Ac8c6h3d2c AsJh8h3d2c Jh8h6h6d2c 8s6s6c4h2s 
Td7s7c3c2s 9c8d5h3s2c 7c5s4s4d3s Ah7h6s3h2d 
Js6c5c4h4c Qh9s5h4h3h 8d7h4d3c2h Qd9c5h3s3c 
Ah7d5s4s2c Th9d8s3d2d Ts9s5h3c2d Ts9h6c4c2c 
KdThTdTc7c Ad8c5h4s2h Kd5h5c4s3h KhTd6s6c2d 
Qc9s9h7d2s AdTd6d4h2d 9c5s5d2s2h 9d8c6c3h2s 
9c7h5d5c2s AdQd4d2h2d Qc6d4c2d2c 9d6s5h5c2d 
Ks7c3s3h2h Js8h7s3d2d Kh9s7d6d2c 8s7s4c3c2d 
9c6h6d4h3h Jd9h6h5h2h QcJc8s7c2c 9s8s5d3h2c 
QdJc7s3h3c AsJs7d6s2s Qh8h7h6s3h Jc9s6d4s3s 
9h9d8h4h3s 9d9c8c3s2h 9s9h8c4d3d Qs8s6s4h2c 
Td8h3s2s2d Ah4s4h3d2h Ah9d6d5d3d 6s5s4s4d2c 
KsJc4d3c2h 9s5s4s3d2d Qs6d4d3c2c 8s4s4d3s3c 
Qd8d7c5d2s Jd7s4s3c2d KhTh5s5d2h 9h8c6d4d2d 
KsQh7h3d3c Ks8c3s3c2d 9c8d3d2s2c 8s7d7c6s2s 
KsJd6c4d2d Ts7c6h5c2d Qh8d7h5s2h Qd8c7d6h2d 
Qd4c3h3d2h 8c5h4s4c2d Qc8s6h3d3c 9h8d6c4c2c 
8s7d7c4h2d 9s6s4h3s2h QcTh4s3h2d Jh9c8s2s2d 
Td9d4s4h3d Th5c4h2h2c 9d7s4s4d2d 9c8d5d4s2d 
Kc9s5d2s2d KsJh7c5c2c Kh8d6d5c2d Kc8c6s3d3c 
KhTh9h4h2h KhJc7d3s3c Jh6h4h4d2d Ts8s7h4d2s 
QdTs5s5c2s AdJd6h2s2d Kh9s7s5d2c AdKh6c3s2s 
Kh9s5s5c4s JsJc7c4c2d Jd8s8h6c2s KcJd7h3s3d 
Ad9s9h4c3s 9d8h7h3h3c Jh8s7c6d2s Kd8h7s4s4c 
Qh6d4h2h2d 9h6s6h4h3d Kd9s8h5h2c Js6h5h4h4c 
Ac7s6c3c2d Js7c5s4s3s Ks8d7c2d2c 8s7s6s5s2s 
8h7h4c3c2d Qs8s8c3s2c Ks9s8s8d2s Jh8d7s7c2s 
Ah9d9c5c2s 5c4d4c3d2c 9c8h6h3d2s Qc5h4s4d3c 
Qh6h6c4h3d KcQh5d3d2d Ks7c6s3c2s KdQs4c3h2h 
Tc8s3s3d2c Td9d8d2h2d Ts7d5c4s2h 8c6h6c4d2c 
Jd9h7h6h2s 9h6h6c4h3d Jh5s4h3h2s AcQsQhQc3d 
Td7h6h3d2h Ah8c5s4c3d Kd9h9c8s3s Kh9h7c4s2d 
Ah6d5c4c2s Ah9s6s5d2c Qs8c6s3c2s 9d7c4s3c2d 
Ks9s8h7s3s Ts5h4s3h2h AdTh7h5h2h 9s7c5d4c2h 
KdTh4c3s3c Ac8h7s3c2c 9h8d8c3d2s KcJh7d3s2c 
8c5h5d4d3s Jd6s6h5c2d KcJh8h8d3h KcJc4s2d2c 
Jd8h4s3s2h 8s7d4c3d2c Qc8d4c3h2d Ah7h6c3h2d 
KcQh7h4s2d 9h8c4c2h2c Jh8h8d6h3h 8c7h4s4d3s 
7h6s5c3d2d Kd8s7h2s2h AhQh4h3h2s Qd7d7c5s2h 
Jh6d5d4s4d KhJs8h4h3h JhTd6c2s2h AdTd4d2s2c 
Kc9c8h8c2c Qd8c4s3d2c Kd8h5d5c3d 7s6h5d5c2h 
Jd6s4d2s2c Ts9s6d5s2s KcQd9d4s4d AcQh7h4h2s 
Td8c3s3c2d Kd8s4s3s2d 8h7s4h3d2s Qs6h4d4c3s 
KdQd6d3h2s 8h8c7s4d2s Qc5d4s4h3c Kh9c7s6d2c 
Td8c7h4d2d Js8s6h6c3s Kd8d7d4h3s Ks8s5h3s3c 
Qs9h4s3d3c Qc5s5c4h3c KdQd5h3d2d Qc8c5h4s2c 
Qd8d5h3s3c Qs8c7c3s2d AcTc6h4c2c 9h6c3c2h2d 
9c8s7h2s2d Ad9c5c4h3s Kh5d5c4s3d Jc8h6c3c2h 
Kd8h8c6s3h Qh7h6c3d2c Qh4s3h3d2d AcJd8h3s2d 
Kc7s5s3h2h AsTd6h6d2c 9h6d5c3s2d QhQdQcJh5c 
KdJh6s4h2h QcJd6h4h2h QcJc7d3s3h Kd7s5h3d2c 
Qs7s6h3d3c Tc9c6h3c2d AsJc7d4c2c KcQc8d4c2s 
Kh8d8c5s3c Qd9c6s3d2h QhTc6c3s2d Ac9s7h5h2h 
QcJd4d2h2d 6h4c3h3c2c Qh8s4h3d2d 8c7h4c3s2s 
Qh8h6h3c2c QsJs5s3h2s QsTs7s7d2h 7h6d3d3c2c 
Jc6s6d5h2c 9d8c4d3h2c Tc9h5s2d2c Ts6s5d4s2c 
8c6c4s4c3d KcTc7c4d2c KdJc9c6c2c Js9s7s6c2d 
AhJs5s5d2s 5s4c3s3d2c AhQd9s2s2c 7d6h5s5c2h 
Ac8s5h4d2h KhJc7s6s2d Kh9d8c5s2c 8c7c6d2h2c 
Ks8s7h7d3s Kh9d8s8c2s QdJd4d2h2c Kh8h6s3h3c 
Ts7s7h5d2c Qc8s7d6c2c AsKd8c2h2c Qc5h4d2h2d 
QsQc7h3s2d Jh8s8c6d2c Kc8s8d7c3c Ah8s5s4c2d 
Kc7h5d3s2c KhJs4d4c3d Ac9h8h6h3h Qh8d7c6c3c 
Kd9s7s6c2h 8c4s4h3d3c KhTd8d3s2c Ah8s8h3h2d 
8h6s6h4d2h 8h6d4s4c3s AhTc6d6c2s 6s5d4s2s2c 
As9d7h4h3h Qd6c5c4s2h Kd9c8c6h2c Ts7d4d4c2c 
Qd7c6s4s3s KsQc8s5s2s Qs9s7s7d4s 8d7s7c4h2c 
