JsTh6s3h2s 
8c7s4d4c3d Kh8h7h5c4h 8h7c4h4d3d AcQsJh6d2d 
Qc7s6h4h2c 8h6d5s4c2d 9d7h5h4d2s JcTd7s4s3s 
Qd7c6d5d3h Kc8h7s6s4s Qc8h8c2s2h Kh7h5s2s2d 
Jc9s9h6s3d Jh9s5s4c2c Qc8c7s4s3s Ks9c8s5s4h 
8d7d5h5d2h Jd6d6c5s4h Ah9s9c7s3d Qc9c8c5d4h 
AdKs9h6c3c Kh9h9c4c2c Jd9h7h7c2c Jh8h5c3c2d 
9s7c5s5d2d JhTs6c3c2s Ts9d6s3h2h AdQs6h4d2d 
AdJh9d3s2d 7h5h4s3s3h Js9d7d6d4d Js8d7c6c4c 
Qc8c7d6c2d Kd9d8c5h4d KcJs9h8s2s 9c6h5c3h2s 
8c5h5c4d2h AhKd8c4s4c 9s9d7d3s2c Ts8c4s4h3h 
JcTs9h3d2h QcJs8h5s2d Js9d7s4h2d AdJc9d3s2d 
Th7c6h4d2c QsTs7c5d3s 9c8h7s6d3h KcJdTs6h2h 
Ac9s6s6d5s QsTd5h4c3c 7s7d6h6c2h AdTh8h6h3c 
TsTd8h4c3d As6d5s4h2s AhKh7d7c2h Qc9c8h7s2d 
Jc9h9d3c2d JsTs8h4c2s Kh7s6s6c5d 7d6d5c3h2h 
Js8c7c6c4d AhQh9h9c3h AhTh7d4h2c Qd6h6d4s2h 
6d5d4s2s2d Ts8h6h5h4h Jc9h9d6d3s 9s8h8c4s2h 
Jc8d6c4d2d Jh9d8c2d2c Qs8h5h2s2c KhQh8h8c3c 
QhJc7d5s5d Jh8h7h7c6h Jh8h6h4s3s 9s8h7c6s3s 
Td7h6s4h4c 9s7s6h4c3d 9d8d7c5d3s 6s6h5d2s2c 
Ts9h7h4h2s Qs8c5h4c3h Td8c5d5c2c Ts9c4s4h2c 
Kc9d7h5s4s KhJs9d8d3c JdTc9h3s2h Td9s7s3d2s 
Kc7h7d6h5h QsQh5s3c2s Qc8h6c3s3h As8s8h5s3s 
Ac9h9d7d3s QcJs7d6s3h Ad9c7c6s2s Qc9s8h4h3s 
9s9h6c4h3d AsQs8s4s4c Kd8d6h2h2c KhJh7s5h3h 
KhQdJs3s2s Jh8d6d6c4s Kc9d7s4d3s AdTc9h7c2c 
Kc8c7c5d4c KdJd6d5d4d 8d8c5d4s2h Qs9c5h3h2s 
QcTs8d5s2h Tc9d9c7c4c Qc8c6s3s3h KsKhKd9d5s 
AdJs9d3h2d Ks8h5s3d2h 9s4s4c3d3c Ad9h8s6c4s 
AcTc4h4c3d AhQd9c4d3s Kd7d5c3h2h TsTc8d6c2c 
Ad6d5h5d2s Ah9h9d6h2s Jh6h5d3s3d Kd9d8d5s4c 
Td8h5d5c4s AcJh7c4c3c Jd8d7s7d6d KhQd4s3d3c 
Qc5h5d4h2c Ts9c8d5h5c Ks8h8c6c2h Jh9d7d3s2h 
Ks8h5c2s2c KsQh8c7d4c KhJs9s8s4c Ac6h5s4c2c 
Qs9d7d5c4h Td9h5h4d2h Th9c8d6h2h KhJsTc6d2d 
KhTc7s6h2h KsTsTc5s2d QcTs5s4s3h KcJs9d8d3h 
Ah8h7s5h3h Qc8s8c2s2h Kh9d6c5h2s KdJc9c8c4h 
9s7h6s6h2h Jh8d7s4s2h Th8s7h4d4c Jh8d7s5h3c 
QdJh7c5s5c Ah6h5h5c2s JsJd7d4c3h Ks7d7c6c5c 
9h7c6s6h3d Jd9s8d4s2d JsTs8c4h2s Kc9d7h2d2c 
Qs8s8c6h3d Qd9d7c6s3d JdTs8c6s2s Js9c8c7c4h 
Jh9d8d5c2s 6d6c5d3d2c 9s7s6d6c2c Kh9c7d5s4d 
AhTc6c5c4c Td7c6s5s2c QhJd7c6d3s Ad7h6h5h3c 
Ac9h3s2h2c Th8d7c5s5c KsJd5h5d3c Kc9s7d5h4h 
AsTd9h7d2d JsTs7s6d3s Kh9d8h3d2d 9h5h5c4c3d 
QcTd8s8d3h KsQh8d6d4d 9h8h7s4h3s Qs9h8c5d2s 
7h7c4h2s2c Jd9d8h6c3s QdJc9s9h4h Kc9s8h8d3c 
Jh9s8s5d2c KhTh3d2s2d As9h9d5h4c 9c8h7s5d3h 
QcTs6s4s4d QsJc9h9d4h Qs7s6d5c3s AcTc5s4c2d 
Tc9s8s7d3s JsTd7d3h2h 9h7h6s4c3d TdTc9s8s3s 
KcTd8c5s3c QdJd5d4h2s Qs9d9c6d3h KcTc7s4d2h 
QdTh7s5s5c QdJs7c6h3s 7c6h5h3s2s Ah9h8h5h3d 
Qd8h7h6h4c Qd9c7c5s4h Qh9d7c5c2d Jc9h9d8d2s 
JsJh7s4c3d Qc9h5s2h2c AcKd9h6s3h Qc6h6c4s2h 
9c8s7s5s5h 9s8h6h5h2c Qd9c5h3h2d Js8h7c4h2s 
9s8c5d3c2s QsTd8s8h2s Td7s6s4h3c 8h8c5h4s2d 
Th8s4h4c3c Qh8s6s6h2h KdTs7c4h2d KcTh5s5c3c 
JdTh9s6h2h AsQs6s4s4h 8h8c5d3s3d Tc7d6h5c2h 
As9c6c5d2d KdTc8c5c4c 9c8s7s5s5d QhTd9d4s2c 
Js8s7c4h2h 9c8s7s6s3h Ts6c5s5h2h Ts7h4h4c3s 
9d5h5d4h3c 8s6c5h3h2s 8s7s7c6h3d Jd9d8h6c4d 
9s7c6s4c2h Qc7d6c4s2d QsTd9d4c2h 9c8h6h5h2d 
Ks9s9d3d2c 7s6h5d5c4s AhQc9c5c3c Jc9d8h7s3c 
9d6h5c3c2h 9d8d5h5d3h 9d7h7d4s4c Ts6h5d4s2h 
Kc6c4s3s3c Qh8h6d3s3d Qs9d8d3s2d Ts7d6d4h3c 
Kh6s6d5d2s AdJd8d6d3s Qh7h6d5c3h AsQh9h5h3h 
AhJsJc6d3d QdTh9d4d2s KdTh6h4s4c AhTsTc7c2c 
AdTc7s6c3c Ks8c7h4s4d Kc5s5h4h3s Qc9s8d6s4s 
7d6d5c4d3d KhQs7d5c3c QsTc8h5s2s QhJc7d6s3c 
Kd7c4c3d3c AhKs9s4d2c QhJh4d4c3s KsKd8h3d2d 
AdQd9h2s2d 9h9c8s7d3h KsQs9s5c4s KsQc6s6d3s 
Th9s8c5d3d JdTc8d7d3d AcJh7h6h3s 9d7s4h4d3s 
KdJc7c4h2h KhQs7d4d2s 8c7c5s4h3d AdQd5d3h2c 
Js8h8c7d4s Th8s6s5d5c AdQd6d4s4d TsTd7c5h3h 
9c8d7c5s5c AsQc8d7c3c Qs9d7c5c2d TsTd8s8d8c 
Jd7h7d3h3d QsQh8s4s2c QsJc7h5d3h KhJdJc6c2s 
9d7s7d6d3c QdTd8h5c2d AhJh9h3c2s AsJs9s6s4d 
Js9d9c7h3d QhJh7c4c2c Qh9h8d5c2s Td7c6h5h2c 
Jh9c7d7c2d Kd8d6s2s2h KdJsJc7c2h As9h4s3h2h 
KsQh8d7c4d KdQd6d6c4d Kc9c5h2h2d Ah9h7s7c2h 
JhTc9d3c2c KdJsJh6s2c Ac8s5d3c2h JdTh8h6s2h 
Tc8d7c6c3s KsJd7h4d2h 8h7d4d4c3c 8d6h5h3c2c 
Tc7h7d6h2d 7s7h4s2h2c Kd9h5s5d4c KhTh9h5s3h 
Tc8c7h6c3d AdQd9c2s2d Qc7h6s6h5d JsTh7h3h2s 
KhJsJd6s2c 8s6h5c4d3h Ks9h8h7h5h 9d8c7s6d3d 
AcKd6d4d3d Kd7s6s6c5h QsJd8c7s2h Kd9h9d3c2h 
AsJs6h5s3s 8d5h5d4h3s 9h8s7c6d3s AcQc4s2h2c 
8h7s7d5h3c QhJs8c3s3c QdTs8h5d2d Jh6s6h3s3h 
9h8c6c5c2s AhKs9s9h9c KcJs9c7c2d Jc8s8h6h4h 
Jc9s9d8d2h JdJc8h5s3h Jd8h6h3d3c 9s8h5c3h2s 
Tc9d6h6c4c 7s7c4c2s2d 9c7d6d6c2d 8s7h7d5c3d 
Jc9s9c5h2d Qd9s8h5c2d QhJd7c4h3s 9d8h7c6d3d 
Kd8d6h2s2h Ac6s5c4h2c KsJdTh6c2c AhTd9c4d3d 
Td9c6s4c3h QhTc8d4s4c AhQc5h3h2d JsJd9h7d2d 
Jd8s6s6h5s QcTs6s4s4h Js8c5s4h4d Ts6s6c4s4h 
Qd9c8h4d2h QsJd8c6d3h 9c7h6c4h2d As8s7s6h2c 
AsKd4d3d2h Ts7c6h4d4c 9s9c8d7h3s JcTd7d3d2c 
8s8c6s3h3d 7d7c5d3s2c KdTd6d5s2h KhQc8d5s3c 
7h6c5c3s2s Qh9s8d6h3h Qc7s6h6d4c Th7s7d5h4h 
QhTd8s8c3d QhJh5h4c2s Kh5h3s3c2s QsTc9s4s2d 
9s7d5d4s2c 9c6s5d3c2d ThTd9s6s2c Qh7s7d5h2s 
KcJc7d6s2h Td9c8s7d3d JsTs9s6s3s Qs7h5c4h2s 
Tc7d6c4d2h Qh9h8s5c2d Td8s6s5h5c AsKh8d4d4c 
Th9s8c6s2s 9d7c6d2s2c Qd9s5s2d2c 9c7d4s4c3d 
9c8d8c5h3c QhQd6h5h2h KhJs7c4s2c Qc9d4h3h3c 
Ad9s8c2s2c Ad9s7h5c3s Ts6s5s4h2h QsTc7s4s3h 
As5c3s3c2s JdTs7h4h3h Ks8s8h5c4s QhTd5s4c3c 
Kc7c5h3d2d Qh7d5d4c2h 9c7c5s4d2d QdTd8s4h3d 
AhQd6h3s3h KhJs9d6d3c 9s7h7d6s4c Js9s8d6c3h 
KcQd9h6h3s Tc6c5c4s2s AhKs9h4d2h QsTh5c4d3d 
Ks9c7h2s2c QhQd5h3c2h Kd5d3h3c2h 7c6s5d3h3d 
QsTh8d7d2c JcTd8d5d3d Qs8s8c3d3c Qh9c8h3d2d 
KsJh8s5s2d QsJc8h7s2d Ah7s7d5s3s Th8h8c6d2s 
Ks9s8c5h2d Kd7h6s6h5c Kc9c8s5h2d JhJd8d6c2s 
Kh9s8d7h4h Th7s5h4s2d 9c7h5s4s2c AcJsThTdTc 
QhTs7h6d2c JdTs8c6d2d JdTh8d4s2d QdJc8s3s3c 
Th7d4s4d3h AsJh9c7d2h Ad8c5c4h3h Qd9s7h6h4c 
KcQdTs3s2h Jh9h8d5h2c KdQcTh3h2s Jd9c7c6s4c 
KdJs9s7s4s Tc6s6d4c2s Qc9d7h5h2d 9d8h8d3c2h 
Kd7h5c2d2c KhQc4s3d3c 9d8h8c4d2h Jc9h9d7s3h 
QcJh6h4d3h Ah9h7h3d3c Qh9d9c6d3s 7s6d5s3c2c 
KcJs8c5c2d JsTh8s4c2s KcQh9s9d4h Tc9s8h7d3s 
Tc7s7c5d2s Qh9d9c5s4c AcQd8d4h3s 9c6d5d2s2c 
Th8c4h4d3d QhJs8s6d3c 9s8s7c5d3s Ks7s6s5h5d 
Kc9c7c6d4c Qc8h5s4h3s 9d8s7h4h2d Jc9d7c4s2d 
KhTc7c5s5d KhQd9h8h4s QsTh9c4h2d AsKd9s9h9d 
KsJc6h5c2d Ts9h6c3h2c Td9d7c4d3s Jh8c7s4c3s 
AhTd8d6d3c QdJh3s2s2h Th9c5s4c2s QdJd6s5h2d 
QhTs5s4s3d KhTc7d4s2h KcJh6c5c2s QsTs6h5s3s 
Qd8h8d2s2h KsQcJc8c2d Ts9c8d7h2h AhKd5c4s2s 
Qh5c4h4c3c Kd9h8d5d4c QhJd6d4c3d Qs8d7s4h3h 
QhJh7c4s3d As9s7s3c2c QhQc9c4c2d Ah6s6h5h2d 
Tc9s8d7h2h AsQdJc6h2h QhTh8h5c2d JdTc5c3s3c 
KcQh8d7s4d Kd9s8c3c2d KcJc8s3s2s QsJsTh6s2s 
Kc9s8s3s2c KhTs8h5h5d Qc7c6c5s4c Kc5c4h4c2h 
AhJc7c6c3s AcQc9d2s2c Kc6s6d5d2s Th9s5s4h2s 
Qd8s7d4h3h Js9s9d3h3c AdJc6h6d3d Qc6d6c4c3d 
9s6s5h3d2d Qd7h6s4s2d QhJh9h8d4h Ac9h7s7h4d 
AsKh7h4h3h QsTc7s2h2c KhJs7h6d2c Th8s6s6c4s 
Qd9h7s5s2h AdJs6d6c3d Kh9h7h7d4c Jh5s5c4d4c 
QdJs9h9c2c 9h7h7c6h3s Ks5s3d3c2d KhQh6h6d4h 
Td9h8s5s5c Td9h5h4h2d 7d6d5h3s2s Jd9s7c6s2c 
7h7c6c4h2c 8s6h5c4d2h AcTc5h5c4c Tc9d8h7c3c 
AsKd8h5c2c QdTc5c4c3h Tc7c6d5d2d As9s7d3d2s 
AsKs6s4s2h Qh8h8c2s2c Qd8s8h5c3d As8s5s4d2h 
Qh8s7c4s4c Ad9c8d5d3d Qh8d6d4c3c TdTc8s4h3c 
KcQh4d4c2s 9h7d7c6h4s Jh9c7c6s3c AhJh7c4h2s 
AhKs9c6d3c QhQc5h3d2h Js9c5s5d4h 9h8s8d3d2h 
8s7c6h5h2d 9h8h6s2s2h Qd9h7d4h3d 8s6d5d3h2h 
JhTc8c6c2s Ts6s5s4c2c Qd9d7h6c3d Kd9s8s4d3d 
As8s7s6d2h AcKd6d4d2s ThTc5h4d3s QsQh5s3d2s 
KcTs9c5h2c QhTs9s4d2c AsKh9d9c3d KcJh9s8s3d 
Qd7d6d5h2h QcJc6d5h2c 9c8s7c5d5c Qh8h8c4s2s 
Qc8h7c6c4c KdJs5h5c4h 9h9d8c5s2d Qs9d9c5h4d 
9s8c6c5c2h Js9h7s4d2h As8h5c3s2d TsTc7d5s3s 
Td9c7d2d2c KhJsTd6c2c Qs9c7h7c5c 9c8d7c4d3c 
Kh8h5c3d2d 7c6s6d4d2c QcTc8d5c2h QcTh7c6s2d 
9h6h5d3c2c 7c6d5s5h4c Kd9s7c6s3h KsTs7h7d3s 
9s7d6s6d2d QsJh8s7s4s Jh9h8s5h2c ThTd6c4d3s 
Qs9d4h3s3h Ad5s3s3d2d KcJc6s6h3d KhJs9s7s4s 
JcTd8d4s2d Qs9s8s5h4d AhJdTd3d2d Ad9s3h2s2d 
Kd9s5s2s2d Th9d8s5c3h 9h7c5h3c2d Ks9s9c4c2c 
QdJcTc7h2c 9c6h6c4h3h Td7s4s4h3d KdTsTc7d2d 
AhKs9c5s2s Kd8h8d4s2h Qc8s8h4s2c KhTh7d4s2c 
KdTc8h7c3s Jd7s5s4d2c 9h6d5h2s2d Tc9s5s4s2c 
AcTs8c6c2c JdTs6d3s2d 9s9d4s4d2h QhJd6d4s3d 
Jh9c8s8h4d AsQh8c5c3c Qc7s7h6h4d 9s6d6c2d2c 
Kd8c7h5d2s KcQs9s6s4s Qh8s8d6s4s 9h7c6h2s2c 
Jh6h6c3h3c AhQh9d2s2h Js7h6c5c4c JdTs8s6s2c 
AhJh6d6c3h Qd8h6s4h3s QsTs6s6d3h KhTd8h8c3h 
AsJs7h4s2c 9h9d4d2s2h Ks9d7h6d3c JhTh6s5h3h 
9d6c5c2s2d Qc8c6c5d3h Qs7h7c5s2h JhJd5h4s2c 
9c8d8c3h2d AdTsTc6h3h Qs8d6d6c5d Qd9d7d6c2c 
9c5h5c4h3s Kd9s7h2s2d QhJs8h7c2d 8d8c6c3s2s 
AdQc9h4c3s Qh7d5c4c2h KhJs7c5d3c Kd9d8d5c4h 
Qs9c8h5d2s Ah8s7h5h3h ThTc6h3d2c TdTc9h4c2s 
JcTc6c5s2d Qd6s4s4h3d QsTd5d4d3c Jh7h6h5c3d 
AsJh6d5c3h Jd9d7h6d3c Ts7c6s4d2c Kd7s6d4d3h 
TsTh6h3c2s Qs6s5d3c2d AsTs7h4s2d 9s7s6d6c4h 
8h8c5h4d3s KcJc6c5d2s AdJd8d6d3c Kc9d7h6s3h 
Kc5c3s3h2h Jh9s6h4s2d QhQd5h3s2h AhJc8s8d3c 
Kc7d7c5c3s Td9d8d5d4h QcTc5h4d2c Qd8h7d4s3s 
Td9h8s5c3d KsJs7d4s2d Ad9d7h7c2d AhQh8c5h2h 
Ts8d4s4c3c Jd8d5h3h2c JcTh8s6h2h AdTc7s4s3h 
Ks7s6d4c3s QcJc9c8h4c AdKs9h6h3h Qh9s8c4c3s 
AhKc6h3s2h Ah7h6h6c4h Js9h7h7d2d TdTc6s6h3h 
9c8d5s3d2c Jc9h8d7c2s Td7s7h6d2s AsJc7h6d3c 
9d4s4d3s3c Tc9d8s5h3c Qd9h9c6h4h Qd9c7s7c5c 
Ah9h7h6d2c KhQd7s7h3c KsQc4s4h2d Kc9s7h2s2c 
JhTc8h4h2s JsTh8h5h2h Tc8s5s5d2d AdQc8h4d2d 
AdKs9c6h3h KhTh6h5c2s Qd8h6c4s4d 9s7c5c3s2h 
Kc9d8c3d2d QhJs8c5s2d JdTd8s8c2d Ts8s8h3h2c 
AhKs8s3d3c Qh9d7s5s2d Qs7h7c5s2c Ts9h8c7s3s 
KhTh6h6d3s Js9d5h3h2s Jh9c7c6d3s TsTh8d3h2d 
Qc6d5d3d2c KcJh9d6d3s TsTd8h3s2h Tc9h8d5s5h 
Ad9d7d6c2s Tc7h7d6c4c Qc8h8c3s3h Jh9d7s7d2s 
Qs9c7h6h4d Td8c6c5s5h Qd9c8c3d2c Ad9h6h6c5h 
Qh8s8c4s2h 8h8d5d3h2h KdThTc6c2s 8c7c5s5h4c 
Qh6s5s5h2h 9h6c5c2h2d 9h7d6s6d2s Ks7s5c2h2c 
9d7c5c3d2h Tc9d8c7c3h Qd9c8h6d3d Qh9d7s7d5d 
Td5d5c4c3h Ad9d5s3d2s Ks7h6h6c5d Tc9d5d5c2c 
Kh7h6c4s3h 9c7h7c6c3s Kh8d8c6c2d QdQc5c3s2c 
9d8h7c5h3h KsTc5d4h3c Qh9h8h5c4s KcJs7h2h2c 
KsQsJs7s4s TsTd5d4c3h Kh9c8h3c2c Ad9s7s7h4c 
QdJd9d3c2c KcJs8c5c2h Ah9h6d3h3c 8d7d6s5c2h 
Kd9d5h2h2c Th9d5c3d2h Kh8s5d4d3s Jh9h8c6d2s 
KsTc8c5h3d Qs8h8d6h4h As9s5s3d2d QhJd8s7c3h 
Ac8c5d3h2s AcKd6c3s2c Ah9h8h5h3s As8s7s6c2d 
7h6c5h3s2s KcJs7h4s3d KdTd8s5d3h Qh8c7c5s4c 
Kc9d5s5c3h TsTc6h3s2c Th9s6d4s3c 8s6d4h3s3h 
AdJc7s3d2h 7h7c4s2h2c 9s6d6c5h4c AhJs5c4s3d 
8s7d5h4h3c 8h7d5s4s3c Ah9h7d3d2h 9d8d7s4d3s 
KsQhTc3c2d Qd6s5s5h2h Qd9h8d4h3d Kc9s8c5h5d 
KcJd9h7s3s Qd6d5d4h2h Jh8h5c3c2s QcTs9d4h4d 
Jd8s8h7c4d 8c6h4s4c3h JhTc8c4c2d Jh8c6s6c4d 
Jh5s5h4d3s KhQs9c7s4s KsQd4s3s3c KhTh7s4d2c 
Kd9s9h8c3d Qh6s6h4c2s Tc7h6c4s2h KcTs6c5c2d 
Jd7d6d5c3h 8s8d7c6c3h AdKc8c3s3h QsQd6s4s2h 
9c4s4d3s3d Ac6s5s4h2h Th7h6d4c2c 8s8h6h3c2c 
AsKh6s3c2s AcQd9h4d3s 8c6s5h5d4d Th9s8d7h3h 
Ts9d6s6c4s Jh9s7s6s4d 8c6d5s4h3h QdTd9d4s4h 
Jh9c5s5h4d Td9s8c7c2c Jc9h7s6h2s QcJh6h4s3h 
KdTd3h2s2h QdJc5d4d2s Ks9c6c4h3h QsJd8c6h2d 
Qd9s8d4s2s Tc7h6s6h2c Kc7s7h4c2h 8s6s5d3c2d 
KhJsJd6h2h Qd7s7c6c4h Qh8h6h5c3d Th7h7c5d2c 
Th9s5d4s2d KhTsTd6d2c Jd9s6d4s2c Jc9h8s7h3d 
Js9c5s5d3h 8c6h5d3d2c JhTh8s4c2h Tc8s6s5h5d 
Ts8h4h4c3s QsJs7s7c4d QsTd8h8d3c Jc9d8s5h2c 
AcTs9d7s2s KhQhJh7h3s JsJd7s5h2c QsQc9c4c2h 
AdTd9d3s3d Ac9c8c5c3s Qc9s7h6h4d Jd6c5s4h3d 
Td9d6h6c3s Qc7c5h4d2h KhTh6h5d2c KdJh5d3c2s 
AdTh8s5c2h AsQd4s4h2s Tc9s7d4d2s TsTh8d6h2h 
AhTs8c4d3d Td9h8s5d3d Ad9d6s3d3c 7d6s5h5c4d 
AhKs5d4c2c JsTh9c4d2d KcJc6s6c4c Ks9h8c3c2s 
AdQc7c5h2s Kd9h7c4h3c Js9h9d6d3c TsTd6h4d3c 
KdJd8c3c2c As8s5d4s2c KdJd7c3s2s 9h8c7h4c3h 
Jh8c7s7d4s Qc9d8d3c2d Td7c6h5d2h KhQd9c7d4d 
QsJd9h9c2h Js9h7s7d4c AhQc8s7c3c QsJs9s8s3c 
AsQs8s4s4d Qc9h8c4h3c KhJc6h5h2s 7s7h5h3c2c 
KsTs6d6c3s Th8d7s7c4d 9h8h6d2h2d Kd5d3s3c2c 
Jd8c7s4s2d Qs6s5h3d2h QdJs8c5h3c KdJs9s6s3h 
QcTc8d5h2c AsJh9d6c4c Th9s8c5s5d 9h8d7d6d3s 
ThTd8s6c2c Jd9h4d3h3d 8c7c6c5h3c Jc8h7c4h3h 
QcJc7s4s2s Jd9s4s4d3s Qd8h7d6d4d 7s6d5s5h3c 
9h8h8d4d2d Jh5d5c4s4d QsJs7s7d4c Ks9s7d7c3h 
Qc9s8h6c3c Ks9s9h5c4s Js6s5d3d3c KhTs7d5c3d 
Qh9c5h5c2h Kh8h8d5c4h 9h9c8c7d3s Kh9h7s7d3c 
AsTc8d4h3h Js7s7c3s3c Qh9d8h4h4d Qh8s5s3s3h 
KsJc8s3s3c Jh5s5c2h2c Jc6s6c4s3s Jc8h6h6d5h 
Kd9s7c5h4c AhQd6d4c3d QsQc8c4c2d As6s5s5h2c 
QsTh8h4d4c Qh7h6s4c2c 9s9h5d3h2d 9d8s7c6d3d 
Qs9h9d6h4h Ad8d7h3d2h Kd6h4d2h2c AhKs9c6d3d 
AsKdJs6s2s AdJd7h4d2s Ah9h6s5h4h 9c7s6c2s2h 
KsTc7d4c3h 9d7h5d3h2s KcQh9d7h4h Qd9h6h3d2c 
AcTc5h4c2s AcJc7d4c2h Kh9s6c4c3s Kc8s8c5h3d 
AsTh5h5c4h Qc9h6h3c2d 8h7h7c5h3d 9h7s4h4d3s 
Td8s6h4s4c AcKhJc6c2c KcQsTh3d2h 6d5c4d4c3d 
9s9d5c3s2c KsQs6s6c4s JdTc8d4s2d Qc8s8h6h4h 
Kh6h4c3h3c Jc9d8d5h2s As8s7s6d2c Ad9d9c6d2s 
Qd8c6c4s3s 9h7s7h4d4c Ad9s6s5h2h 7h5s4s4h3s 
Qs8c6s3d3c Th9d8s5h3h Qs9c8d4s2d Kd8s8c7c2s 
Qs9d7h5h2d AdQd9c2h2d Kc9s7h5d4h Tc7s6s4h3d 
Qc7s7h6d5h QhJc9d8d2d As9c6d6c5h KcTd8s7d2h 
JdTh8h6h2s QdTh7d2s2h KdJd5h5d3s JhTh6c5h3h 
Qs9s8c7h2d KcJh6c2h2c KcQh9s6s3d Qs8s8h4h2h 
9d8h8d4d2h 9h8s7d4d2h AsKd9h9c3c Td8h7s4d4c 
Th9h8s5c2d KdQh8d3h2h Jd8s7c5d3h 9c7s7c4h4d 
AsTd7h6d3d Ad8h6c4c3h Ks7d5h2s2h Th7s6s5d3c 
Qc9h6s5s3s AdKcJd6d2d KhJh5h5c3s Kc9d7s4c3h 
9h7c6h4d2c Ac9d6c3c2d Jh9d7d6d4c KsQs4d3s3h 
Td9c8c7s3c Qs8h7c4h4c KcJd4s2s2d 9s7s7c5h3s 
QdJs8c7h3d Ts9h6c2h2c Td9s5h4s2h Ks9h8s5s4c 
TdTc8d7d3s Ad9c8s6h4s Th7h7c6d3s Jc7h5h4c2d 
AcTd8s8h2d Kd8c5d3s2c JsJc7s5d2h Jc5s5c4d3s 
AcQh7h5d2s Kh9c7c3s2h Ad9h7s7d2d Jc8c5h3h2s 
TsTc8h4d3c TsTd7d4h2h KhJd7s5c3s 8c6c5h5c4d 
Ts7h6h6d2s KhTh6d5c2h As4s4c3s2c 8h7h5s5h2s 
Ad9h8s2s2h Qc9s9d4d2c Td7s7c6c4c JcTh6h4s3h 
Ah6c5d4h2h Kh9d9c8h2s 8c7c5s4d3h Js9h9d7c3h 
AdQd8s5d2d QsJs6s6d4s KcTs8h8c3c KhJd9h6h3h 
KhQd8c6c4c Jh8c7s6s4s KsJhJc6s2s QdJs7c6s3h 
QdJc9h7h4h KdTc6d2d2c JdTh9d3d2c QdTc5h5d3d 
QdJs8h5c3h AhQd6c4h2h Qs8c6s6c2s KsQh8d6h3c 
KsKhKdQcJd Kc6s6h4c3d JdJc8h5c2c KsJdJc6h2c 
Ks6h6d5h2d 8h8d6d3s2s Kd9s6c4c3s Qs9s6s5c4s 
KhJh6d2d2c AhKd6d4s2d Ts9d8c6d2d KhTc6h5h2s 
Tc8d5s5d2s 9s7c5s5h2h AhJs9s4s3d QdJs7c4d3h 
9s9h7s3h2c Jc8s6s4h3h Qd7s6d5d3c KhQhJh7h3c 
QhQc9h4h2s 9d4s4h3s3h Ts7d6d6c2s 9h8c7h5h5d 
Jh8c7d4d2h Qc9h9d6d4d AhJc9d6s4s AcTsTd6h3h 
Jh9d7d5s5d Ks7s6s6c5s 9c7s6s6h2h Tc9d4h4c2h 
JsTd7d3c2c 9h6c5c2s2h Ks9s6d3d2s Jh9c5s5h3d 
8d6c5h4c3s 9s9h7h3s2c QhTs5c4d3d Ts7c6h5h2c 
Ks7d5s4s4h Tc9s8h5h5d Jd9d8h6s3c KhQh4d3s3h 
8s8c5s4h3d Qc6s6c4h2s QcJs9c8c2c 8d7s5c4c3h 
AdKc4c3c2h AcTsTd7h2s KsQd8s7h3c QdTd6d3c2c 
Tc8s4h4c3h AsTd5h5d4d Jc9s7s5s5h 8d6d5s3h2s 
AcKs9s9d9c Td9c6d3s2s AcTc4h4c3s AhTh8s3h2d 
Kc9s8c5h2d KhQd9h7c2s KdQd6s6d3h AcKs7s4s2h 
9d7d6s6h2s Th9c7s7d4d Td9h6h4s4c AcJd9c3h2c 
Js9d8d6h4d AhTc6h5s2h KhTh6s6h3d KsThTc7s2s 
9h9c4h2d2c Jc9d7d6h3d Jh9c6s6c2s Td9d7c4d3h 
Td9h8c5c3s Kd9s8h8c3d Ah8h7h6c2d Jc8s7s6s4d 
KdQc7s4s2c Jd9h8h7h4s Th8s5s5c2c Qs8d6h4s4c 
As8h6c4c3h Jd9h9c6d3s AdTs7c4c3h 9c7h6d6c3s 
QdJc8d7h2s Td8h4d4c2c Ts7c4d4c3s Th6h6c5s2s 
JdTd6s3s2s Th7h6h5s4h KdQs7s7c4s KcQs8h6s3d 
AdKs9d4h2d 9d8h7s4s2d Jh8h8d5c3s KcJh5s5d4s 
AhJh6c5h3h 9h9c5h3h3d KcQs9c7d2h AcKd8s4s4h 
7s7d4s2d2c KhJsJd6c2s QdJc7s4d3h Ts8c6d4h4c 
Kd9s9c8h3d Th7d6s5s2d Td9h9c6s2h Ks6h6d3s2d 
Ks9s8c5h4s 7h5s4h3s3h KdJd6h2h2c Jd6d6c3d3c 
Td9s8h7c2c JcTc6c5s2h KsQd9s7h2c QdJc7s6c3h 
QdTc7h5s5h KsKd6s6h6c Td9h4s4d2h 9d9c5d3s3d 
Kh9s6s3s2h 7c5s4s3s3c JsJd7s4h3c Js8c7h6h4h 
KcTc8c7c4c AdQd5d3s2c KhJd6s5d2c JhTh6h5s2d 
Qh9c7s5s2c Kh9h8s5c2d Qc9c5s3d2d Th9d8h7h3c 
Qc9s8h5c2d Qc9s8h3c2s 9s9d5h3d2h 9h7h6d4s3c 
