AhJdJc2s2c 
Jh8d6d5h5c JdTh8s3s3d KdJd7s5c3h Jh9d6d5c3c 
JsJd8s6s2d 8h7s6d5h4h KsJsJd9h4s KsJsTd3c2h 
AhTh7h5s3c AhTh7h6c3d QsJh9h7h5c AsKdJs7s2c 
7s7d6s3d3c QsQd9c3c2d AhKcQh7h2s AsQh9d7h2d 
QsQh7h7c4h Kh9s7h7d3d AcJc8d7s3c Kc5s5c4s3h 
QdQc7s5s5h Tc8c6s4s4h AhTs7h6d3h QsTh7d7c6c 
KdQsTc9s4s KdQs9d7d5c KsQd9c7c6c JsTsTc5s3d 
Td8h6h5c3d AhQs7c4c3s Ah9s7h2s2d QdTd9h8s2c 
AcTc7c6h3s Jh9h8h8d7c Ah9h7s4c2s AhKc7d5c3c 
AdJd7d6s6h Kc9d5s5d4c KdQhTs8c5s JcTc9c7h2h 
AcQh9h3c2c KdTh8s8c6h 9d8c6s5c2d Kd9h7h7c3d 
JhTsTc8h4h KcJh9s6d5s AdQhTh7h3s KcQh9s6h2s 
AsKhTh7h2d QcJdJc7h2h AdQhTs6d2d 8d7h6s5d4d 
QsJh9h7h5d Kc9d9c8s3s KcQc8h6s4d Tc9h6c4h4d 
AsJc4s3d2d QsTc7s7d3d QdTh6h5c4s JcTc8c6s4h 
AdTs8h6h2s TsTc7s5s3c Td9h9d6h2h Kd8s7d6c4h 
JsTh9d8d5d AhQc7s6d5d KsTd9h5h5d QsTd4d3s3c 
JhTh8c5d4h AhJdJc2s2d AcJc8c7d3s KdTc9d8d5h 
Jc9d7h7d3c Ah9d5s5d2h 8s8c7d6d5h Ks5s5h4h3c 
AcKs9c6h2d AsTc5h3h2s AhKd8d7d4d 7d6d5s3s3h 
Kh4s4c3h3c KhJh9d4d3h Ad5d5c3s2s KcQcTd5s2h 
KhJc8d5d5c AdQd4c3s3h Ah7s5c3c2h Tc8d6s4d4c 
AcTh9c5s5c 9d9c8s8c3h 7c6c5h3s3h Td9c8c7d3c 
KcTs6h4h3s KsJh9s5s4d KdTc9d4d2c AdQc7c5h4c 
AcQhTh6h3s Qs9c8c5s2d QsTc7c5h3h Kd9d8d7s4s 
KdQh6h3s2d Qc9h8d6d2c KdQh3c2h2d KdJd9h9d6s 
AdJd8c7s3d KsQsJs8c3c TsTh8s8d3c AhJh8c7d3h 
QhTc7s7d6d KdJcTs7s3h KsJhTh8h4c QhJc8s4h2c 
AdJdJc4d2h Qc9s7s6d4d JhTc8h3s3c KcTh8d7d3h 
QhTh9s7h5d QdJs6h4d2s KhQdTd9s2d Kh9h8s5s2c 
Td9s7d6h6c Kc8d7h5d4h KcQcTc7h2h AhQc9s7c2s 
AdJh9h3d2d Kh9s7s4h3d KsTc9s5h3d Js9h6h5h3s 
Qs9h8h5c2s 9h9c8c6h3c AhTs7h3s2s Qs8h5c4s4h 
AsTd7h7c6h JsJd8d6c4h AsTsTc4h3s AsKdTd6d3d 
QsQd9c8h2s JcTc9s5d4c 8s6c5d5c4d QhTh8h6s5h 
AcJd6s5s3d 8h8c7h6s3c KhTc9h5d3s JhTd7d6s5d 
AsThTd9d5d TsTh6s4d3d QdTsTc9s3h Ad9s7s5c3c 
Qh9d8h8c4c KcJh8s8h7h Th9s7c6s5s Jh9s8h6s4h 
KhQd8h8c3d KdJd7c5d4s KsJs8c6d2c Ks8h7s6d4c 
As8c6s6d5s As6h5d3h2s Qs9s7h6h3h AsTs9s6s5d 
KcJs7s4h2c ThTd9c6c5s ThTc8h6d5h 7h6s5s4s4h 
AcQhJh9h2s Th9d8c6d2c QcJd9d6s2s JhTh9s6h6d 
KcQs7c6c4h KhJhTs3c2d JhJd7s6s5s AhQs9d5h3h 
AdJd7c5h2s KhJdTd5s3d 9h7d6d5h5d JhTh9d6h6c 
AcQs5d4d2s AhJh7c5d2s AhQcTc6c3d KsJc8h6d4s 
KdQcTh7c4c AcTh9h4s3s 9s8d6h5d2s JhTd9d8c3s 
QhQd9h4s4c Ah9c5c2h2d AhKs7c6c4c Jd9s7s7c3d 
QcJc9h4d2h Td9s8s5d2h AcKhTd8s3s QsJd9c3s3c 
AcQd9h4s4c Ts8d6d5h3s Ts9s8s7h6s Jd9d8d6c5s 
AdJh7s7c3d KdJh7d6s6d KsTc9s5d3h AcKcTs4c2h 
AcKdTh8s3s QhQc9s3h3d AcQd7d3d2c AdKd8d5s2h 
Th9d8s5h3d AdKdJd7h3d KdTs7h5d4d AdKd8c7d2h 
8s8h7h5h3s KsQc7s6s4d QhTh7c6s5h Qh9s8d7c5h 
QhTc9s6c4d KhQd8s8h3d Jd9s9c8s3c KcTs7d6h5d 
JhTh8d6h3d Qs8s7d7c4d Qh6s6h5s4s AcJc8c6d5c 
Qd7d6d5h3h Jd9s6s5c3c AsKdTd7d2h KdJcTsTc2c 
KsQcJc5c3d KcQcTc6h4c AdJc6h2d2c QsJhJd9h4c 
KcJsTs5h3s Ts9c8s7d2d Kc9h8d8c3d AsKcQs7s3s 
AdKhJd7d2c AsKs8s6h4s AdKd8c4h2s Ac7s5d3d2c 
KcTs7d6s5s 8s8c7s6d3c Qc9h9c8s3s 9s9c8s8d3h 
KdJc7c6h3h QcTs6s5h4d AsJs8s7d3h AdKdJd6h6c 
AsJd9d3s2s Ks9h8s7h3h KhKd8c4d3d AdJd8d7h4d 
QsJdJc9d4h 9d8h8d5h2c KdTh8s6h5c AdTs8d5d4d 
JhTc8h6h4d JsJd9d6h4c QdJhTc8c2s JcTh6c5h2d 
9h8d7h6c3c AhKdTc8s3s KcQhTs8d5s KcQhTs7h4h 
8s7s5d4s4d KsTs8h6s4c KcJdTd8d4s AdQc8d3h2h 
AdTs9s4h3h Qd9h8s7c5d QdJdJc8h4d JdTd9d7s2s 
QhQd6d5d3s AhJh8s7d3h JhJd8c6c5c QsTh8c5h3c 
KhJcTd7d3s TdTc9d6s5d AdKc8h7c2s QsJc9s3d3c 
JhTc9s8d4c Kh9d7h5d3h AcTc4h4d2d QhThTc9h3d 
Tc7s6s5h5c AdKd6d5h4d QcJh5h3d2c AhKh4c3c2h 
KdQs9h5c4d Qs9s8h6s5d JhThTc8d2s KsQhJd7c3s 
KcJcTs3h2d QhTsTc9c3d AhJh8s6h5h Tc7h7c6c4h 
KdQd9s7s3d KhTh8c7h4s AdJh7c3s3d AcQd8h5s5d 
Ah6s6d5h3c Ad8d6s5c3h Ac5h4d2d2c Tc8h7s6c3h 
KdJsTc7d2h QdTs9h7s2h KdJd6s5c4d QcJs8d7c3d 
AcQc4d3d3c KhKc8h4d2s KsQd8s5c4h KcTd9c8h3s 
KsQhTh6c3h AcKc6s4c3d Kd5h5d4s3s 9c8s7c6h3h 
Ks9h6s5d2h Ts9s6d5d3d Jh9s9c6c3h As8c4d3s3c 
Ac9c7s4s3c KsQc9d8c4d QsJh7s6d3d Qc6c5s5d4s 
AhQhJh3h3d 8s8h6s5s2h AsJs6d4h3c Ah9c5c2s2h 
QcJs7c6d5c KhTh8s4s3s QsJc5s4h2h QsTs9d4d2s 
KhQs6h6d4c JsTs9c8d2s JdTh9s8c4h Kc9c8d5d2s 
QcTs9h5d3c KcQc9s9c6h QhQc6s5c3c Ad6h6d4s3c 
KcQd6s3d2c QhJc7h7c3s Kh7d6s5d2h Jh9d7s7h6c 
Js9s7s5h3h AhTh9h7h4c AsQsQc7s3s TdTc8c6h5c 
JhJd9h6c4s As7s6h3s3h KdJsTd6d3c 9s9d6d5d2s 
KsJs6s5c4h JcTc9s7c4d QsJh5h3d2s JhTs9c7c3d 
AhTc6d3c2h Jc8h7s6d5c Kc4s4d3s3c KhTs8c6s5d 
QsJc5s5h2c KdQhJs8s5s KsJsTs6d3c QsQdJh9d2d 
AsQd9c7d2c KsJc8h6h2s Tc8c6s4s4d JdTh9c3h2c 
QsTd8h8c5s Jc9h8d7h5h AcQh8s8h5h JsJd9c3s2d 
Kd5s5d4s3h AcKs8c7c2h AdKh8d5d3s AdJd8d7c3s 
Ah8h7s6h5h 9s9d6d3s3d AhTh7h6d3c QcTsTc3h2h 
Js9d9c8d4c QdJs9h7h6h Ts8d7d5s5d Js7c6c5s5h 
KhTh9c5h4s Ks8h7d6s4c JdTc9s8c2h Ah9h8d6c2s 
AcJs8c6h2d KhQhQd8s4h AhKs8d7s2c Ad9d8s5h5d 
KsQh7c6d3s Ah8d4h4c3d AdTd7h5d2h QhJsTs4c2d 
QhJd5d3s2h 7d6d5s4s4d AsKsTc6s2h KhJc7s5c4d 
KdTd8s7d4h AcKd7s7h4h KdTd9c8h5d QcTh9d6s6d 
Ad9c7h4h2d Jh9h9d7h6s AhKdQh7h3h Th8h7s6c4d 
QcTd8d7h5s Tc9h8c7h2h AcTc4s4d2s KhTh8d6h4c 
AcTd9d8h4s KhJh9d4c2d Jh9d6d5d3h QsJhTc4s4d 
AcTd5d3c2d Jh9h8h6s5d KsJsTh3c2d Js7s6h6c5h 
JcTs9d7s3h KcTd9d4c2c QhQcTs8d2s 7d7c6s3s3d 
KhTc7d6c4s KcQhJs4d3h TsTd8s7c5s KsQs9c7c3s 
KsJh8d7d7c 6h6d5s4h3s AsKs8c7d2s 9s8s7d6c3d 
KhQdJc9d3s Ts9c8s7c2c Ks9c5d5c4s QsQd7c6h4h 
QcTc9d7h5c JsTc6d5d2s JsThTc9h3h QhJcTs5d2c 
KhQd9c8c2d Ah7s7h6d4h KsQdJdTd2d QcTh7s7d6s 
Jh9h9c7c3c Ks9s7d7c3c Ts7s6d5c3d AcTd7c3d2d 
Ks9s8h6h4s QsJh8d4s2h Jc8h5h5d4c QdTsTc6d3h 
QcJs9s9h6d JdTh5h4d2d 9d7s7d5d4s Kc6h6d3d3c 
JsTs9s5h4c 9h8h7c6s3c KhTh9d8s5h AcTh9h8d4s 
Qh6d5s5h4s Ac8s4d4c3s 9s9c6d4c3s KhTd7c6d4s 
Kd8c6h5c4h AcQd9s8c2c JdTdTc5d3h KcJs8h6h2c 
KhJhTh6d3s AdTd9d7d4c KsKc7d6c2c Qs8h6s5c3c 
QhJd8s7s7c KhQd9h7h5s KdQsTc4h4d Tc9s8s5d3d 
Td9h7h5h5d KsJsTs6h3d QhJhTh7h5c Th7s7d6h6c 
Kd9s8d6c2s QdJsJd7h2h AsKc7s7d2h KcJh9s8d6d 
KhQdTs4h4c AhJc9c8d6c AhKc9c7c4d Td8c6c5h3d 
Ac9s8h7h6h AhJh6s6h5d Jc8s7s5d3c Th9s9d7h2d 
AdKsTc3h2s As9s8h7s4d QdJhTs4d4c Qd9h6c5d2c 
Qs8c6c5s2h TdTc6d4h3h JhJcTc4c3s JsTc8h8c5d 
AsQd6s5h3s Ks9c7c6s2d QsTsTc8d3h KhQcTc7s3d 
AcJh8h6h5s TdTc8s7h5c AsKsTd4s2c AhKh8d5c3h 
Jh9s9d6d3h AdQc8c6h2h AdQs7h6h5c AhJhJc6s2d 
Qc8s8d7c4d KdKcQs7h2s QhQcTd6d2s Qd9d8s6s2h 
KhJh7c5h4s QcTh8s4s4h KhTc9d6c2d KcQs6d3s2c 
JdTh9s8h2c AsTc9s5s5h Kd9c6c4d3s QdTs8d6d5d 
JsTh9c7c3d AdTd9d8h4d KhQs9h6c3d AsKsJs3c2h 
KsTs9c8d5s QhJs9h3s3c AhQh8h5c3s JsTd7d6c5d 
KhJdTc8d4d Ac9h9c8c4d Ks5s5c4c3h 8d7d6d6c4c 
KdTc7s6h5s QdJd7h6d5c JsJc9d3c2s KhQdJd5d3s 
KsQh9d6h2d AsQs9s7d3c AsKc7h6h4h 9d8c7d5d5c 
AcJsTs4d3s JhTd9c8c5c AdQsTs3h3c AsJd8h7h4c 
QsTd6d5h4c QsTd6s4c2d QhQd6h5h3c AcTdTc4s3c 
Ac9h7c2s2h AhTd7h6s3h AdQh8d5c3d KdTd9c7h3d 
ThTd8d7s4c TsTc9c6d4h AcJhTh4d3h JcTs8c3s3d 
AsKsJs7c3s AsTh5c3c2s Jd8s6s5s5d QhTd6d5c4s 
TsTc8s7d4h KdTh9c5h5c AcQh9s7s6s 9s9c8s3d3c 
Tc7c6h5s3h AhKh6d4h3s 9d8h7c5c3h TdTc9c7h2h 
JcTc9h8d2c TdTc8s5s3d QhJs7h6c5h JcTc9h8s2c 
QsJd6d4c2s AcKs5h4s3s JhTs7h5s2c KsQh8d6s4c 
AsQs9s7c3d AcQd8h8d4s JsJd9s6h4c Jh8c7h5d3c 
Tc8s7s5h5c KsTd4d3s3h Ac5s5c3d2d Ah9h8s7h4d 
AcKs5c4d2c QhJs7h5s2c AsKcJc9c4c KsQd8s6c4h 
QhJs5h4d2d Th8d7s6s5c Qs8d7d5s5d AsJd8h6c2s 
Td8c6c5s3d Ks6h6d3s3h Ah9d9c5h3s AdQd6s5c3d 
As6c5h3c2s Ah9h8c5h5d Ks4d4c3s3d AhQd9d8d6d 
KcJc6c5s4d AsQh6d5d2h AsKc8h7s2s AdQh7s4s3h 
KhJh9c7s3d AcQh6d4h3d QsQcJc6c3d KdQd8h7h3s 
TsTh8s7c5s Jh9h8h6c5s Jd8h6h6d4s AcKdTs4h2d 
Ac9s8c4s2s JdTd8c4d3c JdTd9c7d4h AcTh7s7c3c 
AsQs6d3c2c KsQsQc8d4s AcQc6d5h3c AcJsJh2h2d 
Kh8d6h5c4s QdQcJh5c2c JsTsTd9h5s AhQsJs6d3c 
Js9h8c5h3c Kc9s8d8c3d AdTd9s4d3h QsTd9h7d2h 
TsTc7d6c5c AcQs7s3s2c AhQs5c4h3h AcJhJd2s2h 
QdJs9h6c5c Ks6s6c5h2c KdJs8h6c4d Kc7s7d5d4s 
Kh7d6h4d4c Kh9d8s8h7h 8c6d5h5d4h AhKcTh4h2d 
QdTdTc8h3s AsJs9s9c5s Jc7c6d5d3h KcQcTc6c4h 
As6s5c3d2d KdTs9c8d2h As9d6d2s2h KdJd8c4s4c 
Qh9d8c6c2h QhTd7c5d3c Ad8s4s4d3h KsThTc6h2c 
AdQdJd2h2c 8c7h5c4s3h JhTc9c8d2s QcTd8c6c5c 
Qh9s8h6s4h KcJh7h4d2c QhQdJc5h2h KsJh6s5s2h 
Qh9d7h7c6s AhQc9s8h2h KcJsJc8d4c Qs9c5h4s4c 
Ad9c7h6h4c Ad7s5c3c2d QcJdTd4h2s AdTs5s3d2s 
AdKsTc4h2s Qc9s8h6s5d Ad9d8d6h2h QhJhJc9h5h 
Js9s9h7c6s Jh9c8d6d4c AcQd8d6h2h KhTdTc6d2c 
Tc9d8s5c3d Td8h7h6c5s Jc7h7d6c4h TsTc8h7c5c 
AdJs9h6h3s Tc9h7d4h4c AsJs6c5s2c 9c8h7h5d3d 
KcQs6s3h2c Qc9h9d8h7s KhTsTh8h6h Ks9c8s8h3h 
KhJdTs7h2c KhTd5d5c4c Qd9s8d6h5d TsTd8h7s5s 
Ad5c4h2h2d Ks9h9c7d6h AdQd9h3h3d QdJhTh4s2c 
AdJc7s3h3d Tc9d8c7d3d KsKcJh6h2d QdTh8d7d2h 
AhTd8h5h4h Th9h8s5s2s KcJcTc6s3h QcTs9h8d5h 
AhKc4s4h3h Qh9d8h6h4d KcJd6s6h5c AdKc8c6c5c 
AsKh7d7c4c Ah9s8d7s6s AsKsTs8d2s KhTs4s3h3c 
KhTs8s8d6c KdTs6s6d2c KcQc8d6h4s QsTc9d8h5d 
KcJsTc6c3h Js9c8h6c4h Ah9d4d3s3h AsJd6s4c3h 
8d8c7h6h5s 8c6h5c4s3s Jc9d7s7c6h TsTh8s6c5s 
AhKc9d5s5c Qd9d9c6h6d JdTc9s3c2s KdQsTh5c2d 
AdThTc8s3h Qs9h8c6s2c Kc8s7s6c3s KhTd9h5c3s 
Td9h8d7h3h Js7s7c4h4c AcJs9h8d6d AcKs9h5s5d 
AcTsTd8h3s Ks9d9c7s6s Jc9s6s5d3d AsTd7s3c2c 
JdThTc9c3c AsQs5c4d3s Ad9s5s5h2d QsJc7s5c2h 
QsJc9c3s2h Kc8d7s5d4s Js9c7d7c3s ThTc8h8d3s 
AsTs7s6s4d QhJsJd5c2d As9h8c7d5d KsQsTc6d2h 
KhQdTc5s2h 9h9c6d4c3h QsJsTs6h4s KhJs7s6c3c 
7s7c6s6h4d Kc8h7d5s4c KhQh9s6s2h AsJhJc9d2c 
JhTd9d8s3c 8h8c7c6s3s QhTd4d3h3c KdJd8d6c5s 
AcKh8c7c2d JhThTc9s2h AhTs7d7c6d QhTh7d6s5h 
Ac9h9d8c2s QsTh9d6d6c QdJd9d8s6d JhTc6h5c2s 
KsQd8s6c2c Qd9d8s8c7h QdTc8h6s4h Qd9c5h4d4c 
Qh6c5h5d4d QhJh9c4s2c AhKd8d4s2s JsTs8d6s3d 
AsJc6s4h3d KcJd7h5d4s Ah9c7h3h3c Ad6d5s3h2h 
Qd9s8s5c2d AcKs7d5s3s Td9s7c6d4h Jh8s7s5h3c 
AdKs4d4c3d Kd8d7c6s3s AcJd3h3c2h QhTd9s7c5d 
KdQsTd6d3h 8d6s5d4h3h KdJs9h6c5h KdQc9h7h6h 
AcQsTh6c2c Kh8d5h4d4c QhJsJc9d2h KsKh8c4s3s 
QdJsJc9s4h JdThTd9s2d QcJh8d6s5s QcJhJc7d2d 
JsJd8c7d4h KdJc9s9d6d KhKd7c3s3c QsJh7s6c3c 
Ts7h6s5d3h QhJs9s3h2c KcQsQd6d2h KhQd9s7s6s 
KcQc9s7h7c KsQc9s7d5s Qh8h7d7c4d AcQd5s4c3c 
QsTsTd9s3c Ts8c7c5s5c Ks8d7s5h4c QhTc6s6c3s 
8d7d6c5s4d AcQh6s4s3h Qs9h5h5c4s QsQcTh8c3c 
Kc9h8c6d2h QcTsTd5d4d AcQsTc5c3c QcJd9d6h2h 
AsQhTh3d3c KsQsJs6d3h AcKcQs6d2c JdJc8d6h4s 
JcTh5c4d2d AcTd7d5s4h Kh9c6d5d3c Jh8s7h5s3c 
KsJh7c6s2c Ad9d7c4d3c QhQd6d5d3c QdJhTh7h5h 
QcTh7s7d6d AdQh5d4s3d QsTc7c5d3d Kh6s6c3h3c 
AcJdJc4c2s KdTd9s5d4h AhJh6s4d3c AsKs8h7d2s 
AcJd8d7d4s AhQs8s8d5s QcTc8d7s5c Kd9c8d6h2c 
QhTc9s6c3d AdKh7s6s4s AsKh9h7h4d QcTs9d5h3c 
Ac9c7h4s2h AcQh4c3s3d AdQh9s8d2d TsTc9d5d2c 
9h8h8d5d2c JcTc9d6h6c As7s7d6h4s 9s8d6c5d2s 
JsJcTs7s3h KcJd9s8d5h JcTc5d4d2d KdQc8d7c2c 
KdTc8h7h3c Ks9h7h4s3d AdQd4s3h3c 9d8s8c6s6h 
Qc9d7s7c6h Kh9c7s7c3h KhTd9s7h4h KsJc8s7c3s 
KdQdTc5h3d QcTh8d4h4d Td7s6s5d3c 9d8s7d6h3h 
QsQdTh6h2c AcJc8c7c4s Tc9d8h5c3d Qc9c7s5s5h 
Ah7s7c5s3c QsTs7d6h5s Td9h9c6d5s AcJsJh7d4d 
AdQs9c7c6c KsTh6c5s5d AsQd9h6c2s QsTs9h3s3h 
KcTs6s4c2s AdQdTd8h2d QsTsTc8h2d AhJd8d6s4c 
Td7d7c6d5c Qd9d8c6d5s KcJc6d5s4c AhJc9s4c3s 
Kd9h7h6d2c AdQdTd8c2d KhTh7c6c2c KsTc9d7s4s 
QhTs9d6d6c 9h9d8d8c3s Tc9s7h6s6d Ad8d7s6s2d 
QhJd5h4s2s Kh9c5s5c4h KhTsTd6s2d Ad9s8d7h4d 
7h7c6c3h3d KdJs7s4h2d Ac9s8h5c4c JcTh9s7s3d 
Td9h8s7h3s QdTd7c6h6d Tc9h8h7h7d JhTd5h4s2s 
AsJs6h4c3d Qd9s7d7c6h QhTsTd6h3c QhQdJs9c4c 
KsJsJc9d4s 8s8c7s6s6d QdJhJd8s4d As8c4d3s3d 
AcTs6h3s2c KsQh8s7h2h KsJsJd9c4s QsQcJd9s2s 
Th7s6s6h5h AsQc8h8c4d AdQh8h6s2s Ad9d7h4h2s 
AhKh8c4s2d KhQdTh8c3s Qs6s5h5d4d AsJd8s6h2c 
KsKdQh9c2c AhJc8d5c4c QsJhJc9h4d QdJdTdTc5d 
As8d4s4d3c KdJd9s7h3c KcTd9c3s2s KhQs8h6c4d 
QsJc8s7s5d 9h9d7d4h4d KcJc7c5s4h Ah8s6d5s5d 
QsQhJc5h2h AhQd6c4d3c KhTs6d4d3s AcTs7s5d4h 
KcTs9c7h3c QhQd9h5h3c KcJc9s8d5c Th7h6c5d3d 
KsQdQc4h3h KcQh8s7c3s AsTh7s3c2c QcJh7h7c3d 
Qd9d7s6s3s QcJc6h5s5d QcTh7h5s3s QhQcJd8s2c 
AcQsTs6s3d AsTh8c5c2h KdQs9h6c5h QsJd6h4s2d 
9s9c8d8c3h KcTc6c5s4h QsTs9d7h5s Td7s7d6d4s 
AdQd8h8c3s JsTc7d3s3c Qc6h5d5c4d 8s8c6h5s2h 
TdTc8s8c3h Tc9c8h5h2h QdThTd3c2c JhTs9d4c3h 
KcTs9h8c2d KcQd9d6d5h Qd9d7c5d4c Ks8c7d5c4d 
AsThTd8c4c QsJsJh5s3c Ts8c6c5h3s KhQh8c7c3d 
Ad7d6c3d3c QsQcJh5c2c KcQdTh5s2c JdTs7d7c5h 
KdJc8d5d2c Td9c7h4d4c Jc9d8c7h3d As7c6s3s3c 
Kc9s8d8c7c QsQdJd6d3c TsTc8d8c3h QdJs8h7h7c 
Ad9d8c6s2h JhThTc5h3d KhTc8c7c6c Ah7c6d5d5c 
JsJc8d3s3d Qd6d5s4s3h Qs9s8c6c2d Qc9d7s7d5s 
Kh8d7s6h4c KcTc9c7s7c QsTh9s8c4d AhQcJs5s2d 
As6c5h3s2h 9c8d8c5d2h AcQc6d3s2s AsQc5d4s3s 
QcTdTc8s2h KcTc9c7h7c QsQhJc7s3d Js9c8s7s5d 
JcTc9s4h3d JdJc7s6s5s QdQcJh7d3s AhQcJd8s3d 
KcJc6h5d4c AsJdJc8h3c Js9h8d6d4h KdQhJd8d6d 
Jd8c7c5h3d QdTs9s6s5c QhTh5s4d2s 9d9c8d7c4d 
AsQc5s4d3s AhTd7s7c6c Ks9d6h5h3d AhQc8s8c3s 
As8c4s4d3c KdQhJc4s4d KdQs8d8c3s JhTd9h6c3s 
7d7c6h6c4s KsQsJs8s6d QcJh6h5h4s 9d8d7h6s3h 
8h8c6h5h5d JsTs7d6s5h AdKcTs2h2c Ac9s8d5c4c 
Ad9c8h5d4d AhQs8d6c5d AhQdTd6d3s AcQcTs6c2d 
AcTc9c6s6d Qs6d5s5h4d QhTs6h4c2s QhJc8s6s5d 
AhKc8c5s5c QdJs8h4d2s 9h9d8d3h3c AsQc8d8c4h 
KdJc9d5d4h AsQc9c5h2h AsJsJc4s2h KcJd8h7s7h 
Qs9s9d6s6c Kh9c8s8c2h AdQcJh7s3c Qs8c7h5c4h 
Ac9h8d7h6h KhKc4c3s2c KdQcJs4h3c Ks5s5d4h3h 
Ts8s6h5s5h Jc9d6d5s3s Qd9d6d5c3c Kh6h5h5c4c 
AcTc7c5d3s KdTh7h6h5s Kc8s7c6h4d KhJh7d5c3s 
KsTs9s8s7s AdKd8c7s2d QdTd6h6c5s JhJd9h6s4c 
Ah9c7s5h4h KdQhTc5s2d AcTc8c5d4c QcJh9c3h3d 
AhQhJh3s3h QsQdJd5d3d JsTsTc9h2s Kd8c5s5c4d 
AdJs6d4c3h JsJh7c6d5c KcJc9d4s2d 9s9d7c3s3c 
Td9d9c6c2c Kh7d7c5d4c Kh8c5d5c4h AhTc7s7d6s 
AcKdQc7c3c Kd7s7h5h4s KdTc7h7d2c Ks9h7c6h4c 
Qh9d7d6c4c 7s7c6c3s3h Jh7h7c5c4c AsKd5d4c2h 
Th7h6s5c3c AcQd8h7h5h KdTd9h7c3d ThTc8s7d5c 
KdJhJd9c4d QhTh8d7d2h KsQd9h7h6h KhQhTh6h4c 
KhKdQs8h3h Ts9s6d4d3h 9s9c8d7s4d QsJc7d5h4s 
Kh9s7h7c3c QhQd9c3c2d QdJh9d7d5s KhKc7s6h2h 
KdJd9c4h2c KdTd7h5d4c AcThTd8s3h AhJd7c3s3h 
KdQh8d6c2c KdTh7h6h5c 9d8c7c6c5h AdQs8s6c2c 
Th9c8c5h2s ThTc6h6d2c JsTs9d8c2s AdTd7d6h3s 
KdTs9c7d4d Qc8h7c6s5d JsTd5d4s2s Kc9d6c5h2d 
KdTc7h6c5c Qh7s6h5s3s QhJh9h8s6h QdTs9c7h5s 
AsQhTs4d2s Ad7d5s2s2c QhQd9s3h3c Qs7h6s5h3h 
AhJh7h6d5h AhKdTs6s6c AsQh5c4c2h KcTc9h7s3c 
KhJhTs7d2c AcJc9h9c5c JcTh9c6s3d KcJs7h5s4d 
KsKdJh4c2c QcTc9h4h2c JdTh8c6h4h AdTsTh7s4s 
Kc9c8s8c7h KcQcJc8c6h AdTh5h5c4c QdJd9h4c2h 
AhTh9c4h3d ThTc8d5d3c As6d4d3s3d KdQcTh8s3d 
JsTd9h7h4c AhQc7d6s5s Jd9d6h5h5d JdJcTs7c3c 
Tc8h7h6d5s QcTdTc3h2h KsQs9h6h2s QhTd8c4d4c 
KhJs6s3h3c KdJdJc6d5d QdJsJdTd2d 9d8c7c6c5s 
9s8h7s6d3d As6h5c3s2c AdJh9h8c6h TdTc8d4s3c 
AcKh7d7c2s QcTh9c6s4c Ks6s5s5d4d QdQcJc7s3h 
8s8d7d5d3s KdTc6s5h5d KsJs7d5c3h QcThTc8s2d 
8s8h7c6c3s KcJs8h6d4c KcJcTc6h3d KcQcJdJc3c 
KsJhTh5c3h AcJh7c4s4c QsQcJc6c3h QdJsJc7h4d 
QsQc9h8d2c Jh9s9c8s3c Th7h6c5c3d KsJcTd8c4c 
AhTs8d5d2s Ks8h7c5h4c AhQcJd5d2s KsTd9c8s2h 
KsQhJd8c5c Qs6s5d5c4c KcQc9h7h3c QhJd9h5c3s 
QsJsJh7d2d JcTc9s8d5c AdQcJh5h2s JdJc9h8h5h 
KsJs8c6h5s QhQc9s8d2c Ks9s8d7d4s AdQhQc8c3c 
QsTd8c7s5s QdJc5d4s2s Kc9c6s6d3s QcJcTdTc5c 
AsQhJc6c3d QcTd8s6h4s QdJs9s6h2h KdTh8s7s3h 
AcKcTh6c2s AcJd8c4h2s QcJs9h6d5d KdQhJs4d4c 
AsJdJc8h3d AcTh8d6d5s AcKh8s7c2c KdTc8c7c6c 
AcJh6c4s3d Kh9h7s7d3d 8d8c6s5h4s Kh9c8c6c3h 
Qh9d8d5h2s KhJh9c8d5h KdQhTh9c2h 7h6h6c5c4c 
Qc8h6s5h3c AcTc9c6c5h KhTc9h7d3h QsQc7h7c4c 
JsThTd6c4c Ts7s7c5c4c Qs9s7d6d3d Jc8c7h5h3d 
AsTs9s6c3h Ac8s6h2s2c Ac8c6d5s3h Ks6h6c3s3h 
7h6d5h4d3d Kd8c7s5h4d 9c8c7d6s3d AsTh8d6d5c 
AhJs4h3d2d Ks9d5h4s4d QsJs9s8h5d QdQcJs5c2c 
Ac8s8h6s4h Kc9d8s8d2c Ks9c7c4s3h AcKhJs7c2c 
AcQd6h4d3h KhQcJs8s5s Ah9s7c6c4s AcKs8s5s5d 
Ad9d8d6c2c AhKhTh4h4d 9d8s7c5c3s Qd9c8h6d2c 
KcJsTh8s4s Ks6s5s5c4c QcTd9s7s2d JhTc7h5d2c 
Qh9c5d4h4c 8h8d6h5s5h AdThTd4s3d KcQcTc6d4c 
JdTc8h8c5s AhTc6h6d3s 9c8d8c6h3d KdQhJh9s4c 
Jc7h7c5h4h As8s6h5c3d Qh7c6c5h3c As9d7s5d2s 
JhJd8h6h2d AsTh7s3d2d AcQh9s8s5s Th9d7c6s6d 
