Kd8s4h3h2s 
Jc8c4h3d2s KhTc7h7d7c Qs9d8d4d2d Qc6s5s2s2h 
Qh9d4h3c2h Ah8h3s3c2h Ts7h4c3d2s Kd9h5c3s2s 
Js8h6c2d2c Qs7h5c3d2c Kd9d5d2s2d Jc4c3h2h2c 
9s4s3d2s2d QdJs7h3s2c Kd9h8s3h2c Ac9s9d9c8h 
Tc5c4s3c2d 9d4s3s3d2d Ks9h9c4c2d Th5s4s3c2d 
9s9h4c3d2d Kh8c4h3d2s Th8s7d3s2c Kd8s8h3d2c 
9s5d5c3c2c Kh9d7d4s2d Qc7h5h5d2h Kd9s7c2s2h 
Kh9s8d4c2c KdJd8h3d2d Jh7s5d3d2c Qc7h6h4s2h 
Kh9s5d3s2s Jh5c4d2s2c Jc7h5d3h2h Kc9h8s3d2d 
Jh7h5h3h2s Ah9c4s4d3d As9d8s8h8c AhTd6h6d6c 
8d7h4d3c2s 6h4s3h2d2c Qc8s8h3c2d KhJc7c2d2c 
Jd5s4d3h2d Ks9c7c4h2c Td5h4s3d2d Jh7h4h3h3d 
Qc9d7s4d2h Ac8s7h3d2s JhJdJcTc7s 9h7h3s3d2c 
Qh7h6c4h2h 6c4c3s2d2c Ts5h4s3s2d Tc6c4c3d2h 
QsQhQc9s3c AcTh4d3s2s Jd9d6d2d2c Qh8h4d4c2h 
9s6s3c2h2d KsKdKc4h3s Ks6d4h3d2c Qh7d5h3s2h 
Qs7s6c2s2h Kc7c5h3c2c AdKc9s9h9d KdJs6s3s2s 
Ad9s6c4h2s QsQhQdJc9c Js7c6d6c2c Tc7s5s3h2s 
QsJhJdJc9h Qd7s5c3d2d Td7s4d3h2c Qh4h3d2s2c 
5c4c3s3h2d Kh9d5d3d2s Kh8h4s4h2d JhJdJcTh8h 
Js9c4d4c2c Jh5d4d3d2s 5c4s3c2h2c Jc7c3s3c2s 
Qh8c7c3d3c Ad9h7s3s2c Qh5c4s4d2c Qh7h5c4h2h 
Qh7d4c3d2c AsTc4h3h2h 9s6d3s2s2h As8c5h3d2h 
Jd6s6h4c2h Tc5d5c4c2c AhJs6c3s2s Ts8c4h3h2h 
8h8d4s3h2h Kd7d5d3h2d 7s6c3d2h2d As9c4h4d3h 
Jh9d3h2s2h Qs8c7c4d2c 5h4h3h3d2c Qh8h7s2h2c 
Ad8d4d2s2d Kh6c4d3d2s Kc9h7d3s2h Jc5d4h3s2s 
6s4h3h3c2d Jc5d4d3d2h AhTs3s3c2s KcQh8s3h2h 
Kd6s4s3h2s Ts4s3d2s2d Kd9h7s4c2s KcJd8h2s2h 
KcQh8h3h2s Qc7d6c3s2h Qh7d4s3s2d Ac7s3h2s2h 
AdTh4s3h2h Qd4c3s3h2d As8c5c3h2c As6h4h3d2c 
9s5h4c2d2c Qd9s4s4h2c Jc5s3d3c2h 6c4h4c3s2c 
Jc8c6h3s2c 6d4h3s3c2s Jd9c4s3s2h QcTd7s3s2h 
Jh9h3s3d2h Ts6d5d3d2h Ac7h4h4d4c Jh8d7s3c2h 
Ad7s7c3c2h 9s5h5c3d2d 8h7s4h3d2c Qd7s7c6h2h 
Kc9d7h4h2h 9d8h3s2s2c AcJd6s2s2h Qc8d7s4h2h 
9h7h4s4c2h 8d3s3c2s2h 9h5c4d4c2c Ks7s5s3s2d 
JhJdJc7s7d Qh8s4c3h2d QcTd9s9h9c Qd7s5d2h2d 
Qc8h4d3s3d Kh9c3d2d2c Qc7h4d4c2s Tc7h4d2s2d 
Qh7h5h4h2d Jc9h4s3c2c Ac7s6s2s2d Qd8s8d3d2h 
QcTc7c3c2h Kd8h5c3c2s 8s7h7c3s2s 9h8s7c3d2d 
8d5s3d3c2h Ts7h6s3d2s QsTd7h3h2c Ks8s8d8c7d 
9d5c4h2s2d AdTc4h3c2c Js6s4s3s3d 9d7c4s4h2s 
9c5d4d3d2s Qh8d4d3s3c Ad6s4s2s2h Kd7d6d2d2c 
9c6h4s3h2h Qh7s4h4c2d Qh9d7d4s2c Qc5s3h3c2c 
Jc5d4s3h2d Qd6d4c3d2s Kh8s4h2h2c Th6s6c3s2d 
Kd8c5c4c2c Qc8d5d2h2d 9s9c4h3d2h KcJd8c3c2c 
Kd9d5d2h2d 9c7h7c3c2c Ks7d5c3h2d Jd8h6h3s2c 
As7h4h2h2d Ad9h7c3s2s 7s5c3s2s2h Ks4c3s2s2d 
9c8h7s3h2h 9s4d4c2h2c Th6c4d2s2c Ad9d6d3d2c 
Jh8h7c3s2d QhJs6s3s2s Kc8h7d3s3h JsJhJd8d6h 
Kd7s7h4s2s Jc5h4s3h2h AdJs6c3s2s 8d5s4s3h2s 
KsQc8h3h3d 8h7s5s3s2s Ac9h7s3s2d Qs7d6s2s2c 
8s6s3h2d2c Ks9h6h3h2d AdTd5d3d2d Th8h3s3c2d 
Qh4h3s2d2c 9h6c4s4c2c Kh9c8s3s2s Jd7d4h2s2c 
Kc9h8s3s2s Jc8c5c3c2d KhKdKc4s3h Kc9s5s3s2h 
Ks6s5s3s2s Qh5s4d2s2c Td8d3c2s2d 6d4h3s2d2c 
KsKdKc5c3h Ah4s4d3s2c 9s6d3d3c2h As7d4d2d2c 
QhJh7s2h2d Kc7s5d3h2h Js5d4s2s2c QdTd3d2h2d 
Ks7h5d3h2c Qc9h7c3s2c Kc6s4h2s2d Jd9c7h3h2h 
Ks9d6s3s2s 9d5s4h4c2s Qc8h7d3c2s 8d7h6d3d2s 
8h7d6c3c2c Jc6d4d3s3d Js7c5h3c2d Td7h6h3h2c 
Qd9h3s2d2c 7c6d3c2s2h 8d4s3s2s2d Th7s6d3s2c 
Ah8h3d3c2h Jc9s7h3h2h Kd7h5h3c2s Qc7d4h3d2h 
Kh9s6d3c2c Jh6d5d2s2c Qd8c7h3s2d Ts8c5s3s2s 
9d9c7s7h7d As7s4c3s2s 9c6c3s2h2d Tc7s6c3h2c 
9h8c3s2d2c Qs9h4h4c2d 9s8h3d2d2c Tc7d5c2s2h 
Qc7c5d3s2c Qc7s4h4c2d Td8h5h3h2h Qd6c4s4h2s 
Tc7c4c2s2h Qs8d4h4c3d Kh7c4c3d3c AcJh7d3h2h 
Kc9s6h3h2d Ah8s5s3s2c 8s8c4d3c2c Ac9d5h3s2s 
Jh7s6c4c2c 9s6c4c3h2c Ks8h5c2d2c 9c5h4d3s2s 
Td5s4h4c2s 9c6d4d3d2h Tc4d3s2s2d Td7h5c3d2d 
Jd7c6s6c2c Qc6s6c3c2h Tc7d6h3s2s 9s6c4s3s2d 
Jd6h5h2s2h Qc8s7s3s3h Th4h3h3d2d Tc7s5s3s2h 
Qd5d3s2h2c Jh9s4d3d2c Ad8s7c3s2h Ah9s6c2d2c 
7d6c3h3d2s Kh9s4s3s3c Ac9h6s4d2s 6s4c3h2h2d 
Ac9h5s4s2s Ks7s6c3h2s Qh8s5c3c2d Qc8c7c5c2c 
Tc5s4d3h2c Jc7d3c2d2c Jh8h5s3h2h 6d4s3h3c2c 
Tc7s4h2s2d Kd8h5c2s2c Ks9s7s4s2c Ah9d5s3c2c 
Th6s4h3h2c Ad9s6s4s2c JhTsTdTc8d Ks8s6s2s2c 
KdJc7s3c2c Kc9h4c3c2d Js7s3d2s2d Ac4c3c2h2c 
Jd9s9d9c7s Ad7s6c3s2h Jh6h4c3h2d 7d6d4s3d2d 
Qc7d4s3s2d Th8s5s3s2s 8s8h7d3d2c 8h8d8c7c6d 
Jd6h4s3d2c Qc7c5d3c2s Ad7d4d3h2d Jc8s8c3h2c 
Qd9d6d3h2d Ts7d5c3s2s Ts8c4c3c2d Jc7c3d2d2c 
Ah8s4d4c2d QhJc7s3c2c Th8d3h2h2c Qc9s7d3h2s 
Tc7s7d3c2c Jd8h8c3h2h KhJh8h3h2s Td8s5d3d2d 
AcTs6d3d2d 9s5s4d3s2c Qd7h7d6d2d AhJsJdJc9s 
Jh6s5s3s2d Qd7c5d3d2h Ts6d4c3h2c KdJh8c3c2c 
Jc9d3c2h2c QsQhQc5c3h 8c6c3s2h2d Kd9d7d4d2c 
Kh6c3h2s2h Ad9c5c3c2h Kc7c4d3c2s Kc7s3h3c2d 
Ac7s4d2s2h 8s5h3d2h2c Kc8s8h3c2d Jd5s5c3h2d 
Ks8h7c3d3c 9s6s4s2h2d Qh7h5d4h2h Jd5c4c3c2s 
Kh8s8c4d2s Ah8c4s4c2c Jd7d6s2h2d Jd8s7c3d2h 
6s4c3h2d2c Qc8s7s4s2h Jd6s4s4c2h 6d4d4c3h2d 
Ts7s4s2h2c AdTs3s2s2h Qd8s7c2h2c Kd9c7c4h2c 
Ah9d6d4c2d 9c5c4c3h3c 9s6s4h3s2s Ad9h5s4s2s 
Js8d4d2h2d Tc8s7d3d2d Ah6h6d6c4c 9d5h5c4d2d 
Ah9d7c3s2s Qs8h5h3d2c Th7d5h3h2s KsQsQhQc9s 
Ad6c4c2s2c Ad7h7d7c4h Js8c4s3s2h Kc5s5d3h2s 
Kh9d6s3c2d Qh8d7c4c2c Kd5h5c3c2c 5h5d4c3d2d 
Th6h5s3h2h AhJd7s3d2d KhJc7s3s2d Th7c6c3c2s 
Qc9c7h4d2c Th6h4s4c2h QsQdQc6d4c TsTd4h3c2c 
Jc8s4s4d3s Th6d4d2s2c Ts7s7c3d2s Th8c4d3h2h 
Ks9h8c3c2c Js9s3s3c2h Td6s4c3d2d Jd7h5d3c2d 
Tc4c3s3c2s Js6c5c3d2c 8c4s3h2h2c Ac9d5h3s2h 
Ks9d7d4c2d Kh9h7c4h2h Jc8d4c3s2c Td7s5s3s2c 
Jd6c4c3s3c Qc9c4d3s2c Qh5s4d3c2d Td6h4s3c2h 
9c7c6c3c2h Qd7d5h3s2d Qd9c7h4s2c 9h6d4s4d2d 
QdJh8h8d8c Th5c4c3s3c Td5h4s4c2h 8s8h8d7s6h 
Js8s4s4h3s 8c6c4c3c2s Qh8c4s3d2h Ks8d8c4h3h 
Jd8h8c3s2h Td6d4s3h2d Tc5c4s2d2c Tc6s5s3s2d 
6d4h4c3s2d Qc5c4c2d2c 8s5s3h3d2c As8d7c3h2c 
9c5s5d3s2s Js5s4h2s2c Ts8d4h3s2s Jd8h7c3s2d 
8d6d3h2s2c Jh7d4c2s2h Ks7s4c3s2d Td6s4c3h2s 
Qd8h3s2s2h Qs5c4d4c2c Jd7s5h3s2c Kc8s7d4d2d 
Kh9s5s4s2s 9c5d4c3h2c Kh5d4d3d2d AcTd3s3h2h 
Qd5s4s4c2s Kd9h6h2h2c As8c5c3d2c Kd9c5c2s2h 
Kc8c7c3s2d Kc8s7d2h2d Jc8s4d2s2h Kd7s5c3h2c 
Th8s4c3h2h 9s4d3c2s2d Ac7d4d2s2d 9c5s5h3d2c 
Js6h4c3s2d 5h4s4h3h2d Ah9s9c3c2d Jh7h5h3s2h 
Jc9h4d3d2s Js8s6d3h2s Qd6s6d3d2c Ks9c7h4h2h 
JsJhJd8h6s Ad9h7c3h2h Ac7c4c3c2d Qh8h7h4h2d 
5s5h4c3c2c 9c8d7s3h2h Jd6h6c4s2s Ah9c5d2s2d 
Th8s8h8c7s Ad7h6c2s2h Qh8d4s3s3c Qh7h3s3h2s 
Js8s4s4d3s 9h8h4h2s2c 8s8d8c7c6d Jd9d6d3s2d 
Qd8c5s3h2s Js6s4h3d2c 9c7c3h2s2d Js9c8s8d8c 
8c6s3h3c2c 7h5c3s3d2c Js8c5h3h2h Td4h3c2h2c 
Kh8d6d2d2c Kd7s4d2h2d Jd6c4s4h2s Kd9h4s4d2d 
9c6d4s3c2c Ah6s4d2s2c 5d4h3h2h2c Qs5h4c2h2d 
9d8c7h3s2s As7c4s4h4c Qd8d4h2s2d Jd8h4d3s2c 
Jc6c5c2h2c Ts6c4d3h2d Ks9h5d2d2c Jh3d3c2s2d 
Td4d3c2d2c Jc7s5c3c2h 8h6d4d3d2d Jd9c4h3h2s 
Js7h3h3c2c Kh8s6s2s2d Jc9s6d3d2d Kh9d6d3c2d 
Qc5c4d4c2c Jd5d5c3h2d Ks6c4c2h2d 9s8h4s3d2c 
Kc7d5h3h2s Qc7c5d2s2c 9d4s3h2s2d Kd6c4d3d2d 
Js6h6c4c2c Tc5c4c3h2s Jh5c4c3c2d 9s9c4d3h2h 
Kh9h7h3h2s Kh5s4c2d2c 6c4h3s3d2s Jd5s5c3d2h 
9d7d4c2h2d Qh8s6s2s2c 9h6d3s3d2c 9d7d4h2s2d 
Kc6d4d2s2d Ts5c4s2s2h Qh9c4c3s2d Qh7h6c2h2d 
KcTd7s7d7c JdJc7h3s2s Jd6d5d2d2c Kc9h7s4d2d 
KsJs8c3s2s AhKs5h5d5c Jh9h3c2h2d Jh5h5d3h2s 
Jd3s3c2s2h Qs8c5h3d2d Tc8h7s3h2d Qc5h4s2s2d 
Td5s4d3d2h Jc9d4h3c2c Jc9s8s8h8c 6d4c3s3h2s 
Qc9s8s4s2s Jd7s5h3d2d Ks9d6d2d2c Jd8h5h3h2c 
Jh6h4s3h2c Ks6s3d3c2s 9s6d4s3h2s Qc8d7s4s2s 
Jd6h3s2s2h 8d7d4h4d2d Tc8d4s3s2s As7s6s3h2s 
QhJs7d3s2s 9s9h4d3c2d QhQdQc8d4c Jd9d3s3c2d 
Th8h7c3h2d Jc8s5h3h2h Kh9s6h3h2h AdTc3s3c2c 
KhJh7h3d2h Kd8d4h4d2s Kh7h4s2h2c AcJh6h3s2h 
Ks4c3s3h2s Ah7d6c3s2c Ac8h6s3d2d Js6s6d4s2s 
Kc9d7s4h2s Th8s7c3d2c Qs9d4d3h2c Qc9h9d3h2h 
9s5d4d4c2d QsQdQcJd8h JhTsTdTc8s Kc9s9d3d2h 
Ah9d9c4s2s Qd7d6h4d2d Ah7s7h7d4d 9c4h3d2h2d 
Ks5h5c3c2c 9d8d7d3d2s Jh9h3h2d2c Ac9d5s2s2h 
Td8d6d3d2c Kd9d6d2d2c QsTd7s3s2s Tc8s6s3s2s 
5d4h3s3c2s 9d6s4c3s2s Tc5c4d3c2s 9s8d3c2s2h 
9c8d3h2s2d 9d8h4h3c2s 5s5c4d3s2s Kc8d4s3s2d 
Ks9s4s3s3h KdQh7s3h2h 9h6h4d3h2s Jd6h6c4s2c 
7d5s3d2h2c Ks8d3h3d2h Kc7h4s4c2c Tc8s3d2h2c 
Qs9d6c3c2c Ac7d5h3d2d 9h8c4h3d2s Kd7d6d2h2d 
Js7s6c2h2d Qs8h4d3c2s Ah8s5c3s2s Qs9s6s2s2c 
Qd8h4s4c3h KsTc7s7h7c Qh8s7s4s2d 9h7h6c3h2h 
Ks7s6s2s2c 9h5s5c3d2h Qh7c6h3s2d JhJdJcTd8d 
Ac9c3s3d2c Jh8c7d3h2s 9s5h4c2s2d Jc9h6s3s2s 
As4s3s3d2s Qs9s7s4s2d JhJdJc7h6d 9c8s8h8c7h 
8h7d4s3d2c Th7c4s2s2d Qh7c4c3s3d Ts6d4s3c2s 
9d5h4c2s2d Qh8s5d3c2c Kd7h3d3c2s Ts6d4c3d2h 
Kd9d8d3c2d Ts8s3d2s2c Kc6d3s3c2c Kd5h4h2h2c 
Qc7s4d3d2s 7h5d3h2s2h Kc7h4c2d2c Kd9s9h4h2h 
Kh7h4d4c2h Ad9s5h4h2h Ks8c6c2h2d Ks8h8c4h2h 
Jc5d4s3d2d 4s3s3c2s2h Ks9h7c4c2d Qh5d4c3c2c 
9s5h4c3h2h Jd7d5d2d2c QsQhQcJd9d Kd9s7h3c2s 
Kd9h7c3s2h 9s5c4d2h2c Ts5h5d4h2h Kd7c5h3s2s 
KsJc8s8h8c Jc8c7h3s2c 9s8c3s3d2h Jd6h4s4c2d 
Jc6d5s3s2s Js6c4h2s2d 9h6h3s3c2d KhQd7h2s2h 
Qs8d3h3d2h JhJdJc9c5h Js8h4c3d2s Kc9d8s3s2s 
9c8h7d3h2h QsQhQd9s8s Th5c4d2s2h KdTd3d2s2d 
Qd7c6s6h2h Jc5h5c3c2s Tc8c6c3c2h Js6c5h3c2c 
Ah8s4d4c2s Kc5s5c3c2c KhKdKc7h6h Kd7s3h3d2c 
Ks6c4d3c2h Ah9s5d4c2c Kd8h4h4c3s Ad9c8c3c2c 
Th6c4h3s2h 7h6h3h3c2s Jd7d5d3s2h Jd8d6s3h2d 
7c6d3h2s2c Jc7c6s2d2c Ts5h4d2d2c Qc8h5d3s2d 
Ad6d4c3d2d Ac9d7h3s2h QsQhQdTc8c 5h5d4d3d2d 
Tc7c6d3c2h Jh6s4s3s3d 9h6c4s3d2c 9h4h4d3d2h 
9s5h5c3h2h 9h5d4s3d2d Jh7c5d3s2c Ah7s4d4c2d 
Kc5s4s2s2d Kh9d7c4s2s Qc8h4d4c2c Tc5d5c3h2s 
KhQs8s3s3d Jc7c4d4c3c 9h5h4d3c2h 9d6c3s3d2d 
QsJh7s2d2c Tc7d5h3s2s QhJs7h3h2c Qc8c4h4d2c 
Qs8h5c3d2c Ac7c3c2s2h Jd8c7d3s2h Qd7s5d3d2c 
Jh6h4d3h2s 9s7s6h3s2s Tc8s4c3d2c Kd9h9c4s2s 
Ah9c6h3h2h Ad8s6s3h2c 9c5d4s2s2h Qs9c7s3d2s 
6d4s3s3c2h Ks9d6c3h2c As8d4h4c2h Qs8h4c3s2d 
8c7c4s3c2d Th5h4s2h2d 6d4c3c2s2h 9d4c3c2d2c 
Ks6h6d3c2d Qc6d4d3h2s Td8s4s3c2s Ks7s4c3d2s 
Ah8h3s3d2h Th5h4h3c2s Ac9s7d3s2s Jh6s6c4d2c 
Jh7h5c3d2h 7c6d4c3c2c KhJs7d3s2s Qs9s6d3s2s 
Jh8c4h3d2s Jc9s4s2s2h Js7h5c3h2d 9h8d7s3c2c 
Qd9s7d4h2d AdQh7c3s2s Qc8s5h3h2h KhQc8c2d2c 
Jd5h4h3h2s 4d4c3d2s2h 7c5d3c2h2c Qd7h5d3d2s 
AdTc4h3h2h Qd9s3c2h2d Jc5d5c3c2s Tc8h7h3h2d 
Qd8h7c4h2h Jd8d7d3s2c Ks7s7d7c6d Jc7h3h3c2h 
Td8s4h3c2c Kh9c4h3h2s Qc7s6c2d2c Jd7c5d3s2d 
Ts8c3s2s2h Kh9d8s8h8d Qd7h5d4d2d KsJc8s8d8c 
8c7c4d3c2h Qc7d4s3h3d 9h7c4c2s2d Th8h7h3c2s 
Jd9c4c2s2h AhTc4s3d2d Qd6d4s2h2d Qc5h4d2s2h 
Qd5h5d3d2c 8c5d3h3c2c TdTc4c3c2c Kh9c4h3h2d 
Td5d4d3d3c Ah7c5s3c2c 9h8s4d3s2c Ts7h6d3c2d 
Ks9h9c4h2h 7d6d4h3d2d Kh8c7s4d2s Jc7h6s4s2s 
Js7s6h2s2d KhJd8h3h2h Th7s7c3d2c 9c6h4h2h2d 
AdJd6d3d2c Jc8s7h3d2c Jd8d7d3h2s 9h6s4h3c2h 
Kc7s3d3c2h Ac9d6s2s2h KcJc7h3c2c Kd7d5d2s2d 
KsKdKc9h5d 8d5s3d3c2d 7d6h3c2s2h Kc7h5s3d2s 
Ah8h6h3s2h KhKdKcQc7c As9h6d3c2c Jc8s8d3s2h 
Qd6c4d2s2d Qh5c3s3h2h Js9c6h3c2c Kd7c3h2h2c 
Qc4c3h2s2d 9c6c4s4c2c 8s8h4d3h2h Kc6h3c2s2c 
8s5c4c3h2c Qh8s5c3d2d Kh9c6d3d2s 9c5h4h3d2h 
AdQh9s9d9c Qh8d8c3h2s Th8d7s3s2s Kc8s8h2s2d 
Jh8d8c3c2c Qd6s6d3d2h 9c8d4d2s2d Kh5s4d2d2c 
9c8d3c2s2h Qd5s4s3h2s As8d5d3d2c Kc6s6h3d2h 
Jc7h7c2s2c Ks7h4s4c2s Ks7h4s2s2c Ks8d7s3h2s 
9h8c3d2s2c Ks8c7c3h3c Th7c5h3h2s Kc9c7c3c2s 
9s9d4c3d2d 9c8c4h4d2c Qh9c8s8h8c JsJhJd9h5s 
Td8h4c3s2s 9s7h4h4d2c Jh9c3s3c2d Qh7c5c2s2d 
Qs6d4s2s2h Ks9d4s4h2s 5c4s3h3d2d Td7c4s3d2h 
Js7d5h3c2d Jd6s4h3d2c Jh9d4c3c2s Js6s4d3s2c 
Kh9d8s4d2d 9h6c4c2s2d Kd7s7h4h2h 8s8h7c3h2h 
8c7c4h4c2c 8h7h4s3h2c Kc8c4s4c2d AhTd4s3c2c 
9c8c6c3c2c Ac9c3h3d2c Qd7h6s3c2d Ks9d8d2d2c 
Js6c5d3d2d Qc6s6d3d2h 9h5c4s3h2h Js7s6h2s2c 
Js5s4s4c3s Tc5h4s3c2c As8c5d3c2c Kd6h4s4c2h 
Kc9s8h4h2h 9c8d7h3c2c Jd7c5d3h2d Qh8s7c4c2c 
9s6c4c3c2h AsJd8s8h8c Jh8s4h3h2c QdTsTdTc8d 
9d8d4d2s2h AsQd7h3c2h 9c5h5c3d2c Jh7h7d6h2h 
Ts7d6h3c2h Qh8s5d3s2c Qs5d4c3h2c 7s7c6h6d6c 
6s4d3d2h2c 5c4c3s3c2h Td7c4s2h2c Jc8c6c2h2c 
Qh5s5c3c2d 9h4s3c2h2c Ah7s7h7d4s QcTs7d3d2h 
Ks6s3s3c2d Ac6d5s3d2d Jd6d4h3s2c Ts5h4h3h3d 
AhJsJhJd5c Th8s4d3h2h Th6h4h3d2c 7c6s3d2h2d 
Jh8d6d3c2s Qh8s4c3s3d KcQh8h3s3h Ks8h8d3s2c 
9s6h4c3d2h Qc5s4s4h2s QcJc7d2h2c Kh7h6c3d2h 
Tc6s4d3h2h Td7s6d3h2d 9s6c4c2h2d Td8s5h3s2s 
Kc9d8s3h2d Kd8s7h2s2c Th6h4c3h2d 6s4c3d2s2h 
AdQsQhQc4c Kh7s7h7d6d KhJd7s3c2c 9d8c4s3c2h 
QcJd7c2s2c Qc9d8c3c2c Jh4h3s2s2h Td8d3s2h2d 
KhJs7s2s2c Ks7s6d3c2s 9h8h7h3c2h KcQh8h3s2h 
7s5c3s3h2s Qs8s5d3c2s Tc9h9d9c7h Qd9d4s3d2c 
Ac7d6d3d2s AhTs3s2s2d QsJs7h2s2c 9h4c3h3c2c 
Th7h7c3h2s Qs8c7c4c3c Th6h4h2d2c 9s5h5d3c2s 
Td7c4h3d2s Js9h4c3c2d Kd9s6h3c2c As8s8d3s2s 
Qc5c3d3c2s Td5c4d2s2d Td7s5h3s2c Th6s4d4c2c 
7d5d3c2s2h AhJs6s2s2c JsJhJd7d7c Qd8s3s3c2c 
Ac8s8h3s2s As9d5c2h2c Qh5d4c3c2s Qc8d5s3h2h 
Th7h5d3h2s Kd5c3s3h2s Jd8s8h3c2s Js8s7d3h2s 
QsQhQc9c3s 9d7s4c3d2h Kd9d7c4d2d KdJc8h3h2h 
KhQh8h2s2c Kh9s9c4s2d Kd8s8d4d2d Qh8d5s3d2d 
Qh8h5c3d2h Kh9d9c4s2s KhQs7h2h2d Jc8c7c6c2c 
Js8s4s4c3s Js7d3s3d2s KcJd6d3d2h Kc8d4c2h2c 
Th3h3d2s2h AsJd6h2h2c Qd6h4s4c2c Ts7d6c3d2h 
9h8d3h2h2c Td6h4d3s2d QsJd7s3c2s Ad9c5c3c2s 
Td7d4s2h2c Ks4h4d3s2s Qs8s5c3h2s JsJhJc8s5c 
Ad8c7h3s2h KcTd4h3h2h Jh8c7h3s2d Jd8s4c2h2c 
9d5s5h3d2c Kd8d4s4d2c Jc6s6c3d2h Kd4d3d2s2h 
Jd7s6h4h2h Kc8h5s2s2d AdTd9s9d9c 9h5c4s4c2c 
9s7d6s3s2s Td7c6c2s2c Tc3h3c2s2d Jh7h5h3c2d 
Jc8d6s3c2c Jd7d5d3c2h JsJh7s3s2s Jh5d4s3d2d 
Td8c4c3c2h Jh8c4d2s2c AsTc3h3d2h Jc7s6h4s2s 
Kd7s7d7c6s Jc6s4h3d2c Jh8s4h3d2c Qs7c5h3s2s 
7h5d4d3d2d Qs8c4h3d3c Kh8d4s3s2d Kd9h7h4h2s 
9d7c4s4c2h 9d4c3h2d2c Kd5h5c3s2s As9h6h3c2d 
Jd8s5d3d2d Qs8s4d3c2h Kh9h8h3s2h Tc5s4h4c2c 
Ac9c3c2h2d QsJd7c3d2d 8d5s5h3d2d 9c7s4h4d2d 
Jh7s5h3h2d 6d4s4h3s2s Kh7c5s3c2d Jh9s7h4h2h 
8c3s3d2h2d Kc8h5d3d2s 7h6s3h3d2c Qs7c6h6d2h 
Kc6h6d3h2s Ts8s4d3c2s Ks7s5d3s2s JdTd6d3d2d 
Jc6c4c3h3c Jh9h6s3h2h Kh8c4s3s2c 6h4d3d3c2s 
Qc9h8h4h2h Js6d6c4h2c Td6c4d3d2h Qc7c5h3c2s 
Td7h5s3c2h Js9s9d9c7c 9d5h4c3s2s Th8c7s3s2s 
JhJdJc8c5d Tc8h7h3d2h Jc8c4d3s2h 9s9h9c7d7c 
KdQd8d2h2d Qc5s4d3d2d Th8h3s3h2c KsTsTdTc7h 
9c5s4s3s2h Th6c4d3s2d 9h6d4h3h2c 8c5d4d3s2d 
Qd8s4h3d2c Jc9h3s2h2d Kd9c3s2h2d Kc6h3s3c2c 
Qs8c5h3h2d Qd5h4s3c2s Ac8s7d3d2h Jh6h5h4h2h 
Kc9h8d3d2d Ts5h4s3c2s Qh7s4d2h2c Jd6c4s3d2h 
8s5h3d3c2d KdQs8h3h2c 8d5s5h3c2c Qd5d3h3c2s 
Qd6s6h3s2c Qh7d4h4c2s Qs7c4h4d3c Jc7s6h4h2h 
Qs8h8c3s2d Kh7h5h3h2c Ad9c5s4h2h Th6h4s4h2h 
Js6c4s3h2d KhQs8s3s3c Js3h3c2h2d 9d7c4s2h2c 
Ad8c7h3h2h JdJc7d3d2d Ts5c4h3h2d AsTh3h3c2h 
9c7h4d2s2h Th7d6s3c2s Qh7h5c3s2h Ts7h6h2h2c 
Js8s7s3d2h Td8c5c3c2h 7s6c3h3d2s Kh9c8c4c3c 
Js9c7s4s2s KhQh7h4h2h Th6s6c3d2h JhJc6h3h2h 
AcQsQhQd4s 8d6h4d3d2d Ad9s8h8d8c JsJc7h3h2d 
Qs7s5s3d2c Kc7c6c2d2c Tc8h3c2d2c 7h5d3c2s2h 
8h5h4s3h2h As9s3s2h2d Ts7h5d3c2h Ad8s8c3c2h 
Th9s9h9c7s Jh7s5d2s2c Td8s4h3d2d 9d6s4h3c2s 
Qs8d5s3s2s Ah8s7c3s2d Ac9h5h2s2h Ad7h4c2s2c 
9d7h4s4c2d Qc8d4c2h2c 9c4h3s2h2c Jh7d4s4c2h 
Td7s7d3c2d Ah9d5c3s2c Qd9d3h3c2s 8d5c3s3c2h 
AdQc7s3h2h Tc8h6h3h2h Qd5c4h3s2s Td5c4c3h2s 
Tc7c5s3h2c Kc8s8d3c2h Tc7h5s3d2h 6h4c3s3d2h 
6c4s3c2h2d 7s6s3s3c2d Js9s6s2s2d Qh7d4c2s2h 
Kc8s8d8c7d 8d5d4s3d2d 9c8d4c2s2c Qd6d4h2d2c 
Js7s4d2h2c Ts6s4d3c2s 9h4d4c2s2d Kd5h4h2s2h 
Kd6s4s2h2c Jd8h6c3d2d Qc4d4c3c2s 5c4d3s3h2c 
Kc7s5d3h2s Kd6c3d2s2d Js8s5s3d2s Qd6d4d3h2c 
Th5s4c2s2d Th5s4d3h2h Jh6c5c2d2c KdQs7d2h2d 
9h7h4s2h2d Jh8d7c3s2h 9c6h4s3h2d Qs6c4c3d2h 
Qh9d7s3c2d Jd7s3s3d2s 7h7c6s6d6c Qd9s4d2d2c 
Tc5s4c2h2c Ts7s6s3h2c Ts6h4d3d2c Kh9c7d2s2d 
KhJc6c3c2d 8h6s3d3c2c Jh6h4s4h2c AdTs3h3c2h 
Tc5c4h3s2d Ah9h5s3h2h As8h7d3d2d Ac7d6s2h2d 
