AsJs9c5s2s 
Kd9s7d5d4d Kc8c4s4h3h Ac9d8s7h3s 9h9c8s5c3c 
9d8s5s3h2d AdTc8c5c2s As7d4s2s2d QhJh9c4s4d 
KcTh9h4h3s QhQd7d5c2d AsTh6d5d3c 9s7h6d4d2h 
Td8s4s4c2d Td9c6c4s3h Js7h6h5d3c AcJd9c3c2s 
AsTs6s3d3c Tc6d4h4d3c Qh5h4s3s2c Tc8s5h5d4h 
9s9d6h6c2c JsJd8d5d2d Jd8c5h4s4h 8c7d6d5d3d 
QcJc9c6s2h KcJd8s7c3c 9h7s7d6h3c Jd9h7h4h2d 
Jh9c7h2d2c AdQh7d4d3d Qd8d7c5s5d QcJs6s6d3h 
AdKh7c5s2c Kd8s6h6c5h Kc9s9h2s2h Jc9h7d6s3h 
Ah9c8d8c4c 9d6s4s4c3c TsTc7d4s3s KcJh7h6d3h 
Kc9c8c7h3d QcTh8d7s3s Qh9c5h5d3s AhTh5s5h3h 
AhKh9h4s2c Ac8h6d6c2c 8d7c6s4h3d 9d8h6h5c2h 
Qc6c5s5c4d KsJc9s7h2s Ad4d4c3h2s AcKd7c2s2c 
7c6c5s5c3h AcJc7d6s2c QdTc7d6d3d KhJh5s4h3h 
Ks7h6s2h2c QdTh7c4d3d AsJs7h6c2s Kd8h5h2h2d 
Jc9d5s5d4h 8h6s6d5d2c AhKsKhKd9h 9h8c6d6c4c 
Qs9h7c6c3d Th6h6c4s2s 9h8s6c3h2s Kd8d6h5c3d 
AhQc7h4h2s Kh9s6c5d3c KcQh8c3c2h Ad9s8h4s2h 
Ts9c7d3d2c Jh8s7h5c3h 7h5h5d3s3c KsQd6c4h2d 
QhJd8c3c2d KcTsTd7h2d Tc8s5h5d4c QcTd4s3h3c 
Kc7h7d5h2d Th6c5s3s3c QsTh5c3h3d Qc9d7s5c3c 
Qh8h5d2s2d Kh8d7s5c2h KsQh8d2s2d Ts7d7c6h3d 
KsTh6c4d3c KsQd8h2s2h KdJs7s6h3s Td9c7c3h2h 
KsThTc4h3h 8c7s7d6d3h QsQd8s6s2s 8c7h4d3d3c 
KhJd8h7h2s As9h6d4d3h 7h6d4d4c2h Kd9c6h5s3h 
AcQd5s5d2h As9h8h7h2c Kh7h5d4h4c AdKh7s3s3c 
Kd8h5s3s2d Qh9h8s8c2d Kd9c7d5d4d AdKh7s2h2c 
Qh7s7d6c5c AcKs9s6s2d Ad6d4c3c2d KsJsTs8s2s 
QhJs6c3c2s 9s9d8h4h4c KhJd6c3c2d QdTd8d7d4d 
9h8d6h3c2c 9d8h7h6h2s 9d8s7c4s2c KdJd5d4c2s 
KhJh8d6c3h Ac9s7h5h3h AdQh8s6c3s KcTsTh4c2c 
Ts9s6c4s3h KcTc4s4h3d Js9s8d7c3s QhTh5s5c3h 
KsJs9c2h2d As8c5h4d4c KhTd9c6d2d 6s6h3s3h2c 
QcTh6h5d2s Qh9d7s5h3h QhJc8d3d2c KdJc8s4d2h 
Js8h7c3s3h KdQd7d5s5d KsQdTc7c2c KdTh8s7c3c 
AhJs4d2s2d Th9d7s3s2d AsQh6h5h3h AcJd9d4h4d 
Js9d8s7s3h Ts7s6h4s3c Tc9h9d6h2h Qc9s9c7c3h 
KsJs7c4s3h Jh9s8s8d2c AsKhJd6c2c Ah8d7d4s2s 
JhTd7s5d2c Ac7h4c3h2c Ad9h5d3c2s KhQc7s7c2s 
Kc8c7s6c3d Ts8h7d6c3h JhTc4s4d3h QcJc9d6c2h 
Jh9h5s3s2s AhKs9c4d2s Tc8s6s4s4h AdThTc4c2s 
Ks6c5c4h3d Th8h8c6h3d KsJh8d4c3s Qs9h9c5d4d 
Qc7c5h3h3c Qd6h6c2d2c 9h6h5h3s2s QhTd4c3d2c 
AsQd4s2s2c 9d7d6c4s2c Qh9s7s7h2h Jc8h6h5h5d 
7s6h5h3s2h QdJc8d6h3d Jd6s4s4c3d Jd7s7c6h5h 
AhJd5s5c3d QsQd5s5d5c Jh9h7s4c2c Kd9s6c3s3c 
AdTd3s2h2c AsQd9c6h2d QdJd8s3d2s Jh8d7c3h3d 
QsJs9d6s2h Th8c7c6c3d AsKh7d5c2d Ac9s7h7d3d 
8c5c4h4d3d Ts9h6s4s3c QcTs6s5h2d JsJd7h4d3d 
KsQs9d5h2s Js8c7h3s3c 8c6c5c4h3s 7c5c4d3h2h 
Td9c8c6c3c Kd8d5s3s3d Jd9h7d3h2s QdJs5h5c3c 
Kc8d7s5h2c Qh9c6c3c2h Qc8c7d4d2h 9s7d6h4h2d 
Ah9c6h5h2s AcTh6h5s3h QhJc8h6s3h Ah7c6d3h2s 
9c8d7c4h2d Jh8c7c3h3c KcJsTs3s2s AcTh6s5s3d 
8c5s5d3h3d Js7h5d4s3c Qh8s7c6h3d Kc8d4h4d2c 
8h8c5d2s2d KsQd8c2s2c Qs8d7d6c2c QhTs7h6h3h 
8c6d6c5s2h 9h9d8h5s2h AcJhJd7s2s Jh9c8s6d2h 
JsTc6h3s3d Js8s6s5h5c Ac4h4c3s2d KhJd8h7h2c 
Td7s5h4s2d 8s8d7d6d3c Ts8h8c5c3d JsTs4h4d2c 
Th9s8h4d4c Jc9d5d3h2h 9h7h7c5h4h Ac8d7c4s2c 
Jh9c8d7s3s Ad9h8s8c3s 9s9c6h5h2d 8c5h4h4d3c 
Qd8c6d4s4h KsQd4h2s2c Qc9h8c7d3s Js6h5h4c2c 
Ac7d4c2d2c 7c5c4h3d2h 9h6s4s4h3c Qd9s6c5d2h 
AsJd8h4d3c QsTs5c3s3d Ts9h5s5d3c 9c8h6h3c2d 
Ac9c5h3d3c AhThTdTc7d Ad7d6h2s2c Tc8s7s6d3s 
JdTs8s4s3s Qs9h7c6h3d Qs9s8h8d2c 9h6c4h4c3s 
KcJs4d3s2d Jd9s5s5h4c AcJh9d7s2s KdJs8h4d3c 
QsQc7d3s2d As9h6s3c2d AcJs6s5d3s KhJh8c6d3h 
Ts8s8d6s3h KcJd7h6s3h AhTdTc4s3s 8h5s5c4h3s 
Ah9c6h5h2d 9s9c8d5d3d Jc9h7s7d4h Kd7c5c2d2c 
AsKhKdKc2c QhTc7s4d3c AsJc7d5c2h Qh9c6s2s2h 
Ks8s8h6c2d Qd8c7h4d2c Kc7c5s5d4c 9h9c4h4d2d 
Tc6d6c4h2h QdTc8h7c3c As7h7c6h2c Jd6s6h5d4c 
Th9s7s3c2c Ac9h8d6h4h KhJc9h7s2h Td8h4s4d2h 
9s8h7c4h2c AsKd7s2s2c AhTd7d4c3d 9s8c6c5d2c 
9d8c6h6c4c AhQc8s6d3s Th7d5h4s2s 9c8h7c4s2h 
ThTd8d7c2d AdKc7s3s3h KcQh8h6s2d KsTd8c7h3h 
As7s4s4d3h KdQd9d4h3c As7h5c4d4c 8h6d5s4s2s 
Qc9c5d3d2d AcKs6h5h2h 9h8c7d6s2h Kc7s4c3s3c 
Jd9c8h6s2d KdJh8s4c3d Js6d4d4c3s QcTc5c4d2s 
Qs9s9d8c4s KcTc4h4c2h Ah8h5s5h2c JdJc5d2s2h 
AcKh9h4s4h KhTh8h5s2c Ah9c8s7d2d KhTh4h4c2c 
QsTs8s4d2c QsJh9c2s2d KhJc9s8d3s TdTc9h7s2h 
KhTd8c5d3s JsTs4d3s3c QcJh6s3s2h Ac9c8s2d2c 
AhKh6c2h2d Js8s5s4h4c AdJs8s3h2h Kc7s7h5s2h 
QsJsTs7c2s Tc9s6d3d2s Kd6s6c4h4c Td9s5d5c3h 
Ad7d6d3s3h Ac9h6c5c2s KsJh5c4c3c AdTc6s5s3h 
Tc9s6h4h4d Js7d6c5h5d AsKs7s3h2d 9h7c5s4d3h 
QhTh5h4d2c 9c7d6h4s3c AsQs4h3s2d AdQd5d4h2d 
Js6s6h5h2s 8s6d4s4d3s AsJh7s6s2c 6c5h5c3d2h 
AhKdJs6c2c TsTc8c7h2c 8d7c4h4c3d KcQs9h7h4h 
Ks8s7s6d3c KdJh4h3c2c Ad7h6s4s4c Ad9s8s5c4s 
AdKh7s5s2s AsKs5s2s2c KcJhJd8h2h 9c7d6s4d2c 
KcQd4h3s2c AcQc5c4s2c As8h8c6d4d Td9c6d4s3d 
Qd8s7h4s2d QdJs4s4c3h KcQh8h6d2s Jc9c7c6h4c 
Qh8c7d6h3s Jd9d7d7c2c Js8s5s4h4d Jd6s6h5h2s 
JcTd8c2s2h ThTd4s4h3c KcQc6c4s3c Kd6c4d3c2c 
Ts9s6h5d2c Ac6s6c3c2s 9h8d6s5s2s Js7s7c6h2c 
Td8d6h4c3s Js8s6s6c5s Ah8d6s6c4c Ad7h7c6h4h 
JsJh6h4c3h 8s8c5h2h2d Qc9c7c5s3d KsTc8d5c3h 
JhTs6s6d3s Tc9c7c5c3h KsQs9c5s3s QhJc8d5d3d 
As9c8c7h3c QsJh5h4c2h Qh9s7s4h2c AcTs6s5s3d 
Jc8h7s3h3c Qd8c6h5s5h Qs7s7h5c3d Qd8h5c4s4d 
KsJd6h3h2d AsTc9d4d3d Ah5c3h3d2s KsJs9s8s2d 
Ad9h8c4d3d Ad7c5s5h4c Tc9s7d3s2d Ac9h9d8s4s 
Tc9h8c5d3c 9h8h7c4d2d Jh9h6h6c2c QhTc3h2h2c 
JsTs6s3c2c KdTd8h4c3d 8s8h6c4c3d KhQdTd6d2d 
As8d6h4s3s 9c5h5c2h2c Ks8c6s3h2h Td9c7s3c2s 
Td7h6h6d2d Ah4s3d2h2c 9d6h4s4h3s Qc8h6d5s5d 
QsJs9d5s2s Jd8c5s4s4h AcJc9c3s3c AdQc8c3s2s 
9d7c4d3s3c Ac9s7d5d3d KsTs8h5s2c JsJd8s5s2s 
AcJd9d5h2d 9s6s5s3c2c AsJh8c6h3d 9s6s6d4c2c 
QhJd6s6d3c AdJc9h6h3s KsJs5c4h2s Js6d5c4d2c 
Kd8h7s5s2h QcJd4s3h3d Jc8s5d4c3h Js9s8s7c2h 
Jh9h7d4s2s AsJh6d3s2c AsJs7s6h2c KdTs9s4s3c 
Kc9h6s5s4d AhTs9s3d2c 7d6h4h4c2d AdJhJc7s2s 
KcTsTh5h2d JhJd8c7h2h Qc7s6c5d3c KhQc9h5s2h 
AcQc9c7d2c 8h6s4c2h2c KdTs8s6s3c KcQd9d5d3d 
9s6s4d3s3d Ks8s6c5s3h 9c7c5s4h4d Jh9d7d4d2h 
9c8h7d6s2c Ad9c8s8c4c QsJd8d7d4d KhQc7h4d3h 
Jc9d7s4c2d QdTd6s6c3d AcQd8s7d2d Th9d6d4c3s 
AsTd8d5d2c KsTs9s4s3c Kc7h6d5h3h Qc7d6h4s4c 
Th8d7d6s3d KsTs8d4s3c Ts9h8d5c2s AcKd9s6d2d 
Th9s9c7h2d 9c8h5h3s2c KsJd9h8h4h Js9s4s4c3c 
Qd9c7h5h4h QhTs8d7s3s 8d6s5h4c2h ThTc4h4d3s 
9h7d6h3s3c Jh9h7h6d4h Td9c6h3h2c 9d7d6c4s4d 
Ts7s7h4d2d ThTc8h7d3h AhQc5s5c2d Kh7c6c5c4c 
Td9s6s5s3s Qc9s7d5h4s KdTd5d4h2s JhJd8h7s2h 
As9h8h5d4h KsQc9d7h4h 9c8h5s5d4h Ts7d5h5d2s 
Js9c5h4s3d Ks8s6s5h3c Kd9d8s3s2s AhKc6s5s2s 
Ac8s8h6d4d QsTs5s4d2c AsKh9h4h4c Kc9c8c4d3d 
JsTs8c3h2d KhTdTc7s2d KhTc6s4d3s QhTs8s6s3s 
AsTh9c4c3c AsTd8d6d2c Jc9s8h8c3c QhJh6h6c3d 
KhJhTh6h3h 8d6h6d5c2s KcQh8d2d2c KdTd4s4d2s 
Jc9d5h5d4s 9s9c6h4d3d Ad7h5d4d2s Kd8s6d3c2c 
AhQd8d5d3d Tc7c5h3h3c Td9d4c3h2h AhTh8h4c2h 
QdJc8h5h3h QsTd7c4h3d Ts6c4d4c3s Ac9s9h5d4d 
Jh7s4h4c3s Ac9d8h4d2h Th7d4s4d3s Kh9s9d4d3s 
KsQh7h7d2d Ah9d8s8c3s Tc7d5c4h2d Qd8c7c4d3c 
9h8h6h6d4c KcJs9h3d2c KcQdJh3s2s Ts9s4d2d2c 
JsTs8s7s2h AhJs5s3c2c JsJd9s3h2c KdTsTh4s3s 
Jh9c8c3s2s Kh9h8c5h2s Ks9h6d3h3d KdJd8c6h3d 
Th9s6c3c2s 8c6h5s4s2s Jd9s6s5s5h Qc6s5c3d2d 
9h7d5c4s4c JcTs8c2h2d Qs9d6c3s2c QdJs4h3s3c 
AcKs9d4h2s Kc8s8d5s2d 9c8d8c5s2h Kd9d7h7d3c 
Qc5c4h3h2d Kd7s7c5c2s Jd6s6h5s2h Ah9s7d6c3d 
Ts7s6d4s3c Ks9h8h6d4h KcJs5d4c2c 9d8d7c4s4h 
Tc9s5h3s2h 9h8d7s6c2h AsJs7s6c2d Kd8h6d3s2s 
6h5s5d3d2h QdTsTd5d2d 9s9d6d3s2s QhJd9s2h2c 
8h5c4d3d3c Ad7h6h6c3s Qs8d7c5s3h Ad9d5h5c3d 
Qs7d7c6h5h Tc8s7s6s3d AdQh7h4c3h 9s8c6c3s2h 
Qc9s7d7c4h Td9d6d4s3c JdTh9s3s2s QcTd6h5s2d 
AdQd6d4d3c 7h5h5c3s3d 8s7h5c4d3c Kc7d6d3c2s 
Td9d8d7h3s KsQh7s4s3d Kh9s6c3s3c 9h6s6c3d3c 
AhTc8c5s2c KhTc8c6d3c Qs3d3c2s2d Js9c8s8h3s 
As8d7c5h3h Qc9h8c6c3s Qs8c6h2s2h Jc6h5s3s3h 
JsJh6d6c3c Qd7h7d4h3d KhQd4c2s2h Ks8c6h6d5h 
Tc8c6h4s3d QdJd9d6h2s Qd9d8d8c5d Kd9c8h6s4c 
9c6h4h4c3s Qc6c5s4h4d KcJhJd4s2s 9s6d4d4c3c 
AhTh8h4h2d QdTd8s4d2c Td7h7d5d4d QsJs9s6h2c 
Kc9s6d3s3d Ks7s5c4s4d 9h7h6d6c4h Kh7c4h4c3h 
Qh8s5s4c2c Jh6s5c4s2c Qd8s8c7h5h AhTs8d4c3d 
Jh9s5c4h3d 9s6d5h5d4c 9h8d7d6d2c As9d7h6c3d 
AcTh7d6d3d 9d8c5c3h2d TsTc8d5c3c Kh8d5c3c2h 
AcTs8s5h2s Td9c5s5d3h KsQhJc3d2d As9c8c4d2d 
Js9s9h4d4c Tc8h7h6s3h 9s9c7c4s2s KcQd5d3h2s 
Qd9s7h5d3d Jc7d6c5s5c Qc8c7h4h2d Js6s6c5c2s 
QcJs5d4s2s Ad7c6s6d2d KsJc9d8h3h Jh9c7h3c2s 
KdQd4s4d3c Ts9s5d4h4c 9d8h8c5s3d AsKs9s4d2c 
AhTc6d5d3s 8s8h5h3s2h AhJc8c4s2d Jh7s6h5d3h 
KhTh9d2s2h Ah9d5h3c2s Qs9s8s8h5s Ah9h8c2s2h 
KhQh7h6d3h KhTh7d6c2h As9c6d4d3c KhJc9s6d3d 
AcJd9h6h3s 9s6d4s4d3d QhTc7d4s3c Ks8d6s3c2c 
QhTs6c2s2c Ac8c6c3d2d KhJs9d9c4d AhQd8s7s3s 
Ts8d7d5c3h AdTdTc6d2d Jh9s9c8h3h 7s7d6d3s2c 
Ac7c4h4c3s Js9c8c3h2h 8s7d5h4s3s 9s6h6c5d4d 
KhQs4c3d2h Qd8h8c7c5c 7s7c6s3c2h 6s5h5c3c2h 
AhJh8h4h2s Qs6h6c2s2h QcTs7d4c3c QdTh7s4c3h 
9s8s7c4h4d AhTc9c2s2d KhJd9c4s3c KcQd9h7s4s 
Th7c6d6c5c AhJc5s5d3c Ts9s8s6c3s Tc7c4s3s3d 
9d8c7h6h3h QsQd7d5h2d Qd7h7d5s4d Ts9d9c5d2h 
As7h6c3s2d Js9s7s6c4s Qh9c7s6d3s AcKs8d5d2d 
Qs7d6d6c5d Ks9s8d3s3d KdTd9c2s2d KhQs4c2h2d 
AhKh9h4d2s 8s6s5d3d2s AhJsJh6h2h KdJd4s4d3c 
JsJh5s2s2d AhJc9c5d2c QcTh8h6h3h Qh8d6c2h2c 
AhKd8s6c2c 7s6d5c3d2s KdTc6s4s4h Ts8h7s4s4d 
Jd8c7d5s3d AsKd6s2s2h Qh8h7s4s2d Td9d6h4d3s 
Js9s7d4h2d KhJh4h4c3s Td7h5d4s2s 8d6c4d2s2c 
9d6h4h4d3c KdQh8d2h2d Ad9c7h6s3h TsTh4s3h2c 
JdTh6d4s2c ThTc8s7d2s TsTc8s7h3s KdTh6s4c3s 
9h7h6s5d2h Kd9c5d4h3s As8s6h4s3c Td9s5c4s3h 
KsQd4h3c2s AhJh4h4c2s Kc9d7s5h2c QsTd8h5h3h 
AcKh7d2s2h QcJd7s3d2c Td7h5d4c2h Jc7c5s5h4d 
Jh9s7c6s3s 8s7h4h4c3s QsTd7h4c3d AcQh9s5s2d 
Tc9s9h7d2h Ts8c4h4c2s 8h6h4h4c3c AdQc8s7s3s 
QhQd7s2h2c KdTd9d4d3h QhJh8c3h2c 9s9d6d3c2c 
9d8h8d5s2c JsJc4s4d2s JsTs4d4c2h QcJc5d3h3c 
As9h5s3s3d As9h6s5c2s KsQcTh7h2h KcTc9s3h3c 
QdJdTd7h2d As9c8h6c4c 9d8c5c3s2d AcKd7s5h2s 
Ac7d5s4s2d 9c8d7d6d2h QcJs8h6s2d JdTd9d4c2d 
Qd8c5c4s2s JdTd8h3s2c 8d7h7c6c3s Qs8s5h2h2c 
Jc6s6c4h4d Qd9s8d3s2s KcTc9c4h4d KdTh5d3d3c 
QcJc9d3h2s AdTd8d4h2d KdJc5d3s3d QsTh8c7h3h 
9d8c7d4c2c AcJh8s7h2h Qc7d7c5s3h Qh8d7d5s2s 
QdTh6h5s2c Jc8s6s5s5d AcJs9d7h2h Kc8c5s4d3h 
KhTd8d6s3d Jd9d6h6c4s Kd9c5d3d2c JcTd8s6s2s 
Tc9d8s5h2c KdTd9d6d2c Ad9h6d5d2c 8c5h5d4c3h 
As9s7h6s2d Ad9h7s6s3s 8d5s5c4d3c Ad9s7c6d2d 
Ah9c5h3h3d KsJc9c8h2c Ad6c5h4c2h Td9d4h3s2h 
9s8d7c6c3c Kh9c8s6d4c Qs5h5d3s3c KdTd9d4s4h 
Th9h7c2h2c Jd6h5s5d2h JdTd8s3c2h QsJd5h3s2c 
9c8h8d7d4d JdTd6d3c2c Jc9s7d2d2c QdJc4s3h3c 
AcJc7h6c2s Js8c6s5s3d Ts9h5h5d4c KcJs8c7c2h 
QdTs8s7c3s Js6c4s4c3h Th9s5s5d4c AhTd6c5s3d 
9s6c4h4c3h TsTc8c3h3c KdTc6d4d2h QdTh8s5s3s 
KcJd9s4h3d QsJh9s7d2c TsTc9d5s2s AsTd6d5d3c 
Ac6d5s4d2s AsQs4d3s2h Jc8c5h5c4s KdQd9s7d4d 
Jc7s7h6h2c Qc7h6s4d4c AhTh3c2s2d Qs8d7h4s2d 
6h5h5c3s2c QhJd7s6s3c KsTh8h5h5d 9d7h6s4s2h 
KsQcJh6h2h 8c7h6d5s2c KcJs9h8h4h As8c7c4d2d 
AsThTc4c2d 8h7d5c4h3h 7s5s4h3d2d AcJs7d6d3h 
Qs8d8c6h4h Ts9c6h4h4d AcJd8s4d3h As9d5s3s3h 
JhTd8h3s2c AhJc4d2d2c AdKc7h5s2h Ks9h9d7h4c 
9s9c7s4h3d Kh7c6d6c4s 8c7d6h5c2c Ad5c4h4c2h 
KdQh6d4d2s Ks9d9c7d4h 9c6h5h4d3s Tc9s9h8c3c 
AsJh5h3d2d AcQd9s5d2d Jh9s8c3s2c Ts9s6s4d3c 
Qh5s4h3s3h 6s6c4h3s3d 8d7h6h5h3h KsJd6s5s2s 
Ac9s8s5h3d Kc8c6s6d4c QdTsTh3d2d 8s7h7d6d3c 
QhTs9s6s2s Tc9c8h8d3c Tc9h8c5s3c JsTh6c3s3d 
9h9c6d5d2s QcTs8s6s3s AcQd5h5d2s Ah9s8c6s4s 
9s9h8c3d3c KsJdJc8c2c AsTh9d2h2c Kc7c6h2s2h 
Ts9c7d4c3h AcKh9c4c2d 9h6s6d5c4c Qd9s5d3s2d 
Kc8c6d5s3c Jd9d7s7d2s 9d8d8c5s2h AsTs8s4s2h 
AsJd9s5s2s 9h8s8d5h3h As9h6c5d4h Tc8c7c6d3h 
KhQc5s4c2c Ad9c8h7s2h KdJs9h6c3c KsQhJd3c2c 
9d8s8d5h2c Kc9h8s6d4h ThTd9s6s2s As9h8c7d3c 
Td9h7c3h2c AcQd7c4c3c JhJd9d4d3d AhQh9h7c2h 
Jc8s8h7h4h Js9d8s8c3s Qc9h6h3h2c KhJhJc8h3h 
AdJd7d5d2h Td9s8s5c2h Qd9s9h5c4c KsTd9c6h2h 
QhTs6s5c2d Jc8h7d3h3c 8d6c4h2h2d JdTs9c3c2c 
Kc6h6d4s4h 9d6h4h4c3c KcJh9d4s3d Ac7c4s3s2c 
AsTh9d6h2c Qd6h6c2h2d 9c6d5s4h3c 8s8d7c5h3h 
Jh9d8s3d2s Tc9h8c4s4d Jh9s5s5d4c Qc9c8d8c5c 
AcTh8h4s3h 8d6d5d4s3c AhJh4s4h2c 9h8s8d5c3h 
KsTh8h6d3h KsJs5s4h2d Qd9h8c7d3s KcTs8h6d2s 
KcTh9s6h2h Qs9c7h6c3d AhJh7d6c2h As9s6s3c2c 
KhJc9s4d3s Ad7s6d6c2d Td9h6s6h3h AhJc9s5d2s 
Ah9d7s6s3s 8d7s5h4c3s Ts7d7c4c2s Jh9d5d3s2s 
AsKc9h6c2c 8c7s7h5d3d KcJd8c4h2s Ah9s8c7d2d 
Kc9h6s5h4h KsJd9h9c4c 8h8d7d6d3c Kc8c6c5h3d 
Kd9h8h6c4h QcJsTs6s2s JsJh5h2h2d KdQc9s8s4h 
QhJs7c4c2s KhTsTc5c2d 9h8h7d5c2s Jh9d5s4h3c 
8d5s4s4c3c KdQc7d4h3d AhKc9s6c2c AhJd8c4d3s 
Kh9s6c5c4d KcJsJh8s2s KdTc8s3h3d 8s8c5c4h3c 
8c7s7h5d2h 9h6h5d3d2h 8s8d5h4c2d Td9c6d4d3h 
AdTd8d4d2h Qd9d5h3h2h TsTh8c5d2h 8c7h6d4s3c 
KsQs9c7s4s KcTc9c4s4d QcJc9c6h3c Jc9d8h5d2d 
Ac8c7s4c2h AhJd6c2s2h Jc7s6c5d3c Tc9s6h3h2s 
KsQhTc3c2c Kc6c4d4c2d Ad8d5h5d2s KcQc6h4c3c 
Jd9d6h6d5d Ks6d5h5d2h 9d8c7d5s2h AcQd8s5s2h 
Kh6s6c4d4c 8d7s7h5c3c Jh8s8d4h4c Ks9c5s4h3d 
Tc7h7c6h2c Js6d6c5s4h 9s7h6c4h2s 9c7d5s3d2s 
Ah4d3s2h2c As9h4d4c3s 9s8c7h4c2h AsQd9h6c2d 
AdTh6c4d2d KhQc7d6c2s Ts9d7c6s2h QdJd7d6h3s 
Ad5s5d4d2h Qd8s5s5h3h KsQh8h5c2d Ks8s5h4d3c 
QhJd8s5s3s As9h8c7d2h Jd8s5c4d3h Kh9d7s5c2h 
Td9h8h5h4h 9s6c5h4d3s Jd8s8c7c4c QsJc7d3c2s 
KhTs9d6c2c Qc9c6c5c3s 8d7c5c3d2h 8d6d4h3h3d 
ThTd9c5d2d Qc9h6d4c3s QsTd7d3s2s 9h9c4c2h2c 
Kd9h9c7c4s Th6h6c4d2d Ks9c8c6c4d QsJs9c3d2h 
9s9c7c4d3h 8s5d4s2h2d 9h6c4s4c3s Qs9s5h4d4c 
Ac9s9d4c3c AcQc6c5s2c KsJs5s4d2c QhJs6s5c2s 
As9c6d4c3d 7d6c4s4c2d 8s6s6d5c2h AhTs8s5c2s 
QsQh6d4s2s Jd7h6d3s3h Jd9d8h7s3d Jd6h5c4s4d 
JhTs4h3h3d 9s9h8s5c2s Jh8s5h5d4h Kh7d6h2d2c 
Ts6d4d4c3s Kd5h3s3d2h Th9s4h3s2d Ad9s8s8c4s 
9s9d8s3s2d Jc9d6s4c2s 8d7s5h4d3d Th8d5h2d2c 
AcKc7c3s2d Ad7d6d3h3c 8h5h4s4c3s Kd7c6h5c3s 
QcTh9d2s2h 9c6h4s4h3s Th8d4h4c2d Ad9s8s7s4s 
AhJd8d4c2s Qs7c6d6c5c Qd8c6h2h2d Jh7s5c4h3d 
KcJsJh8h2h KdTs6d4d2h Qd8s6h2h2d Js8h6s4s2h 
AdTs9c5h2s JsTd6c3s3h Kh6h6d3d2d JhJd9d3c2s 
Jc8h7h3h3c KcJc5s4d2c KhTs8d3h3c TsTd8d3h3d 
9s9h4s2s2h QhJs8d3d2s QsTd9h7c2h QhJc8c4d3s 
Ts9s8s7d3c KdJc9c6s2h Ah6s6d4h3h Qs9s5d3d2d 
KsQh7d2s2d QsTs4s3h2h 8c5s5h4c3s KcTh8c5c2d 
8s8c5c3s2c Ts9s6s4h4c AhJd5d3s2s KdTd8c4d3h 
KcQd4h2s2c Qc9d7h5c3c AdKc9s6c2c Td9h7c3c2h 
QcJd6d5s2d Js8h5d3h3d 9c7s7c5c4c Qc8h5s4d4c 
Ks7c6c3s2h 9c6h5h4s3d Ks6d5d5c2c JsTs4h3s3d 
Ts9c8h7c2c AcQsTs3s2s AdTc9c7c2c KsTd8c5d3h 
Td6h6d5c4s Kc7c6h5c3c Kh9h7h7d3s Tc7s7c4d2d 
As8s6s4s4c AsQc9d5d2h QsJc6c5d2c Qd8h5h5d2d 
AhKh9h4c2s QhJhTh5h2h QcJs9c7d2h Jc9s5h5c4c 
Ts9c8h5d2s AdQsQdQcJd 9c7s7d6c3c 9d6h4h4d3s 
8c7s5h4d3s As8h7h4c2c Jc7d6c3s3d KdJh8d7d3s 
KcJh9s3d2c Kh9s7s2s2h AdJc7d6d2s Ah8s6c4s3c 
Jc9s9d4h4c QcJh9h6h2s KdJc8s4d3h Jh7s5s5d2h 
Kh9s6c5d4c Jc7s7d6h5h AsQs8s6s2h Qd8c5c4h2h 
9c7c4h3s3h 8d8c5c4h3c Ac9s6h4h3s QsTh5s4c2s 
Qc8c5s3s3c Jd9c7s7d3h ThTd8c5d3d Ac7h6s6h2s 
QsJc8c4d3h 8h5d4c3d3c KdJs5s4c2h AcKs9d6s2s 
8s5d5c3h3c KcQdJc7c2h JsJd7s3s3c Ts7s6d4s3h 
9h7h4s4c3s KsJs8h4c3s 8s7d7c5h3h Qh7s7h6d4h 
Kh8c5h3s2s KsTh6s6c2d 9h7s7c6h3d QhJhTh8h3h 
JdTh6d4c2s Kc9d7h5s2c Ks7s6d2d2c KhQd9h5c2h 
KhJd9c8s3s Qc7c6h6c4s Td8c4h4d2c Qc9h5h2h2c 
QdJh7d4s4c AhQh9h5h4h KhQs7d6s2c QsQc7c5d2c 
Ad8d5d3s3c Ah9s6d5c4s KdJd7d5s3d 8d8c5s4h2d 
9h9c8d4s4d Qs9h8d4h4d 8s7s6d5c2s Tc8h7h6h3s 
Js7d5s5d2h Js9h8s7s3c Qd9c5d3c2d JsJh9s4s3s 
AcTd9d7d2d Ts9h5c4h3d QcTc5h3s3c Kc9c8c7s3h 
QcJd9h2s2c 9s7c6h4h3d AdQd6d5s2d Js9h7c4s2h 
KsTd8c6h2d Tc8s5h5d4d Qh9s7c6s3d 9s7h6d4d4c 
7d6c4h4c2d Ts9c6c4c3d Kh8s6d3d2h KcJhJc8c3c 
Ah7h4h4d3s Qh7s7h6c4h AhQh4d3h2c Tc7d6h4s3s 
Jc7h7d6h4s AhKd9h5h2h QsQd6c4s2s QsJd7c6c3h 
KcJc8c7s3d Ts9c8d5d3d KsTh6d6c2s KsJs8h6c3s 
8d8c6s4c3c Qh9d7c5s4d QdQc7d6h2d 9h9c6s6d2s 
