8h5c3c2h2c 
KcJc9c4c2c As8h6c3d3c QcJs8h2h2d Th5s3d2h2d 
7d6s6c3d2h Th6c4h4d3h Qs7h6d3h3c Tc8c5c4c3c 
Qs7d5d5c3d Kd8h6c4c3c Tc8h5h2s2d TsTh4h3c2d 
Js9s6c2h2d Qd8c7s7h2c JsJhJdTh6d Th7h3c2d2c 
Ts7d7c4h2c Ks6c4s3d2s Kh8h4d3s3c KhJc6s6d2d 
Ks9s7d4s2h Ad6s3s3h2h Kc8s7c3d3c Qh9d5s4s2c 
7c5s4d2h2c Th6c4s4c3d Td7h5h4h2c Js7s6d3s3c 
Jh8h6h6c2h Kc9h9c4d2c 9h8c6d3d2s 9d7h7c4h2h 
Jd9d7s6d2d Tc7s5s5d2h KcTd5s3h2s Qc7h4c3h2c 
QsJd7d3h3d Ad6h6c4s2c KsQd4c3c2c Jc7c6c3h2h 
Kh9h8h3d2c Td8s5c3h2d 7s5c4h3s2s Ad5d4d2s2d 
Qh6c5d3h2h 9d8s6c3h2h Th7c3h3d2d Qh8s5c3s3d 
Kh5d4s3s2c As6h6d4c2d Qc9d5d4s2d 8s6s4s3s3c 
8s5h5d4s3s Js9d7s3h2c AsTs6s2s2d 9s6s6d4s2c 
Ad5s5c4s2s Jh8h7c3s3h 9s8d7c4d2d Jh7h6c3s3h 
KdTs8c3c2h TsTd4d3c2h AsQd6c3d2d Qs8d5d3h3c 
Th8h4d2s2c Qd8d5s4d2d Js8h7d4s2s Js5s4c3d2h 
Qs9c8d4h2c QsQd7d3h2d Tc7c5c4s2c 7h5h4s3c2h 
AcJd7d2s2h Jc8d5d2h2d 9d8s8h3d2d 9c6h4s4h2d 
QdTs6h3c2c Ah5c4c3d3c Ks6d6c4c2h 9d6h6c3s2d 
Kd5d5c3h2d KhKdKc7h2c Jh8d6s4c2c Js9d7h3s2c 
Qs8s7h4s3d Ah8h4h3c2s KsJd5d3d2d Td4s4h3d2h 
Qd8h3c2h2d 9c8d6d3s2d As6d5h2d2c AcJh8d3s2s 
Td5c3d2h2c Ah8s6c3s3d AsQc7c4c2c 8h7d4c2s2c 
7c6s6h3c2d Js8h4d2s2c Ks9c6d3s2s QhTh5h2s2h 
7h5h4c3s2h 9d8s6h3c2s AdJh3h3c2h Ad6h4h4c3h 
QdJs7c3h2d 9h7d5d3d2c KhKdKc8d3h Js8d3d3c2c 
Th8c5s3d2h Qd7d5h4c2d Kc9c4h4c3s Ad8c6h4s2s 
9c7s5h3s2d As9h8d4d2d Tc8d6s3h2c KhQc8d4s2d 
9c5c3s2s2c 9d8s7h4h2h Qd7c5h3s3c Tc7s7c4c2d 
Ts9s5d2s2h KdTs7c3s2h QdTs7h3c2s Ad5h4h4c3h 
QhJd4c3c2c AcJd5s5d5c Js5d5c4s3s Ah5c4s4c2c 
6h6c3c2s2c Ac7h7d4d2d 9d8h4s3s3c 9h8d6c3c2s 
Kd9c5h3s3h QcJd4h3h2h 9s7s7c4s2h Js5h5d2h2c 
Qs8s8d4s2c 9h8h7c3d2s Qc9h8s3s3d Qs9h6d3s2s 
Kd9c7h3s3c AhJs7s3d2c Qd9h8h3s3h QsTs7s3h2d 
Tc9c6h3c2c Js7h6s6d2c Qh7s6c4h2h 8d7d3h2s2h 
8h7h4s2h2c Kh8h6h4c2h Kc6h4d3c2c Th8c7c4c2c 
AsKh9c3d2d Tc6h4s3h3d 8s5d3d2s2d 8c4h4c3h2s 
Qs7h4d4c3s Qs9d5s2s2c 9c6h6c4s2c Td7h3d3c2c 
Kc6s5d3s2h Th6h6d4h2c KsQc9d3h2d Qs5d4d4c3h 
Js6h4d4c3c QhJh6h6d2h Qs9h4d3h3c KsJs7s3s3c 
As6d3c2d2c As5h4h4c3h Kd7s7c6h2s Kc7h7c6c2c 
9s9c7c3c2d Qd8d7d4c2s AcQs8d3h2d AdTc7s3s2h 
Jh7h5s2d2c 8d5s5d4d2d Jd8h6s4c2c Jd9h5s2s2c 
Ts9d4d2h2c KdJd6d4d2d Tc8s4h4d2d 7d6s6h3c2h 
ThTc5h3h2d KhTs7s3d2c Jc9c7c2s2h KdTh8s3s3c 
Kc6d4h3s3d AsJc7c2h2d Qd9c6d2h2d 9c6c5h3c2c 
Js7s4d3h3c Td7h4h3s3h Jc7h5d5c2c Qc8h6h4s2h 
QhTs7d4d2d 8h7c5h3s2d Ts5s4d4c3h Kc5c4s4c2c 
TsTc4s3h2d QcTs6d3h2h KsQd9h2h2c Kh8s5d5c3s 
QhQdQcTs8h 7c6h6d3s2h 7d5s4h2d2c KhTc6d3d2s 
7d7c6s3d2d Qh8d7s7c2c QcJd6d3h2d JsJh6s3d2s 
Ks8s8h4s2d Qh5s4h3h2c Qd8s5h5c2h Kc9d6s4d2h 
QcJs7h4s2s Js5s4h3s3c Ts8c5h3d2s Kd9h8d3s2d 
Ah6s3h3c2h Ks8h4s3h2s Ah8s8c4c2c Td6c4h4d2s 
KsJd6h2d2c Jc6s6c4d2h AdJh4h2s2h Qd8h3h3d2h 
Jd9s5c2s2h AhKd8s3s2c KdJs6c3h2s Qs7h6d6c2s 
6c5s3s3h2d Kc7d4s2s2d 9s8c4c3s2s Th5s5d2d2c 
8s5d4s3s2h Kc5c3h3c2s Js6s5h2d2c Qc8c3s3d2d 
Kd5d3s3d2c Kh8s7h3h3c 6s6c3s2s2h Qc8h3h3c2d 
Ac6s3h3c2c 9s7d6h2h2c 8d4h4d3h2c KsJh8d2h2c 
Ts7d5d5c2h Ts9c3h2s2d Th7h3d3c2c Jh7h6h5h2s 
AcJd3s3d2d Kd9d7s7d2d Ah7s6s5s2s 8c5s4h4d2c 
KcJh4h2h2d Qh8d7d7c3d Qh8d6h2h2c Jc6h5s5h2d 
Kd8c7h4c3s KsQs7s7h2c QsJc7d3h2s Ad6h6c4s2s 
KhTd5s3d2d 9c8d6h3s2d 7d4s4d3h2h Tc9s5c4c2c 
Js8c3c2s2d Qs9h7d3d3c QcJh6h2h2d KdTd6d3d2c 
Kc5c4c3d2c AcQs6d3s2s JsTs6s3h2s Qs7h5h5d3h 
8h5h5c4h2h Qh7s7d3h2d Ks5h5d4d2d Js4h3h2s2d 
KdTs8s2s2c 9d8c5c3s2c Qc6s4h4d2c QsJc8s3s2d 
7s6s4d2s2c Ts9h7d3h2c Tc9h5h3d2h 6h5h4h4c2h 
Qd9s5s4s2c Td6c4s3s3h Kh7d5d4c2s QsTh7d3c2h 
KdQd9d4h2d Ks5c4d3h2h Qh9c4h3s3h Ks9s9d3s2c 
Qs9d9c4h2d Jd5d3c2s2c KdQh8h3s2c Tc8d5s3c2h 
Ad8h6c3s3c Kc9s6c3h2c Js6c5h5d2h Qc8d5s4d2d 
Qs9s7h4s3s 9s8c4s3h3d KcTh5h3h2s Jd8h5c3d2d 
QdJh6s3h2h AsQd8d3h2d Ah7c4s4c3c Kd8s6h4s3s 
Ad9s5s4h2s JsJh4d3d2d Jc9c4h4c3c 9c5c3h2h2c 
AhQd9s3c2c Js7s7d6c2s Jh6s5d5c2d Kc7s5s3s3d 
KdTh5s3c2s Qd6s4h3c2d Qc5s4d3c2c 9s5h5c4d3c 
Jd9d7d3d3c Kd9d8d6d2d Kc9s5d4d3d Jh8d7h2h2c 
AhJd7s3c2d KsQs9s4s4h Kh9d6s4c2d Qc7d6s5h2h 
Qc7d6h3d2h KdQh9s3c2c 9d8s7s3c2h 8d7d4h4d2c 
KcJh8h3s3d AdQs6c3s2s Kh8c6h3d2s 9d8s7d3d2h 
9s6s6d4s2h 9s6h6d3c2s As7d5d4c2d Ks6h6d4c2d 
Qc8h7c4c3d Kh7h7c5h2h Qd7d6c4d2s Qd8c5s3h3c 
AhJd5s5h5d 9c8h5h3h2d 7s4h3s3h2d Ac8s4s3h2h 
KcJh8h2s2d Tc8h6s3c2d Kh8d5s4c2s 9h7d6h4c2h 
Qc7s7d3h3d 9h8s6c3c2d Qh7s6d3s3c Kc8d7d3s2s 
9c7s5h4h2h Kd9s9h4h3c Jh7d6s2s2d Kc9d7d6d2d 
Jd9s6s3c2h JsJc6c3c2h Js9s7s3s3h 8c5c4s4h2c 
Ah6c3h2s2h Ts9d5c3c2c 7s7c3d3c2h Qs7d6h3d3c 
Kh6s5s3s2d KcQd3s3h2h Jc8s7d4h2h 6h6d3d2d2c 
Kc9s5d4d2h Kh7s5s3s3d Ts6h6d2h2c Ts6d4s4h2c 
Js9s7c6s2s Qc9h6s3c2c Th5c4d3s3h Jh9h4s2d2c 
Qc9c8c2s2d KsQs7s4d2s Jh6d3h3d2c Js8d3s3d2s 
QdTd7h3s2d Qs8h5h5d3h Ts9c7h3c2d 9h5s5c4d3h 
Th7c6d2s2h 8d7s5c3h2h Kc8c4c3h2h Qc7d5h4c2c 
9s7h5s3c2s KhQc6c2d2c Th7d4d3s3c JsTh4h3h2h 
As9d6d3h3d Kh6h4h3d2s Qs6c5s3s2d Kc9c5h2d2c 
Qs7h6h5h2c AhQd3c2s2c 8s7d3c2s2c Jc6s5c2h2d 
Ts7s7h4s2d Qs9s5s3d2c KhTs7d3s2c QsTs7s3c2d 
9s7s4s3d3c Ac7d6d5d2d Qh6h4d3s3h 8c5c4d3h2s 
QhJd7d3d3c Qh8d6d4c2d AsJc3h3c2c Qs7d6s4s2h 
Th4d4c3c2h Jh6s5s5d2c Kh6d4s3s3c 9d8h6c3s2h 
Kc8s6c3d2h AsJh3c2h2d Qs8s3d3c2c Qd8d7c3s3h 
AsJs7d3s2s 8c5s5d4c3c 8s7s4s4c2d AcQsQdQc2h 
KsQd6h3c2h ThTc5h3d2h Ac9h6s6d2s Jh6d4s3h3c 
Jd9d6c4s2d Js6c3s3c2d Ah6s6c4d2s Ah6d3s2s2d 
KhJh7d3c2h Qc8s5h5d2d AcTh8h3h2h KsQc8d4d2h 
QdTd7d3s2h KhQs6c3d2c Ks9s8d4s2h AhTsThTd7c 
9s6d6c3h2s Ac5d4s4h2h KdTd4d3s2d KsJs6c2s2d 
Td6s6c5h2h Jh9s6s3d2c Qh7s7d4c3d Jd8h6d3d3c 
Js7h6d5c2c As9h8d4c2d Qh6h5h4h3h 7h5c4d3h2s 
KhJs5d2d2c AcJc3c2s2c QdJd6d6c2d KdJs6d2d2c 
Js7d6d5d2h QsQhQdTc8s Kh9c8h3s2h AdJs3s2h2c 
Qh9h8h2s2d KhQd8s4c2s Th7d6s6c2d KhQhQdQc9s 
As8c6d2h2d JhJdJcTd5h 7h5s5h4h2h Ts9c5c3h2c 
Kd6s4h4c3c Jc9c6c4s2h 9d5d4s4h3c 8d5h4h3c2s 
Ad8h5h4h2h Qd6h4s3s3c KsTh5d3h2h 9d5s4s4c3s 
Qc7s6h3s2h Qs9h8h2d2c Ks8d5h4d2d Td7c3d2h2c 
8s7d4c2h2d Kd7s7h4c3c Kh8c7c3d2d 9d7s5c3c2c 
QhTh4s3h2h 8d3s3d2s2d Ad9s6s3s3c TsTh4s3c2d 
AcJh9h3h2h 9c4h4c3s2h Kh4d3d3c2c Th9c4c3s2d 
Tc7s7c4h2c 7d5s5d3h2c Ts7d7c4s2s Ts6c5h3d2s 
9s7c4c3h3c KcQc9c4h2c 7s7h4d3c2h 9c8s7c3c2d 
8d7s4h2h2c Kc6c4h3d2c Qs9h7c4c3c Qd8s5c3h3c 
AsKh7c3c2c Qc7h7d4s3h Ad5s5h4c2c QhQdQcTs8d 
7h6d4d2d2c Jc7c6c5c2h 7d6d5d3d2s Jh7h4s2s2h 
KsTc6h2d2c AsJc5d3d2h AsTc5d2h2d Td9s7c3h2h 
Kd8d4s3h3c Qd9h3s3h2s Jd9c8s3s2s QhJh3h3c2h 
7d5c4s4c2c 9h7h4h3s3c Kc9c4s4d3c Qs7d7c4h3d 
Jd7d6s4c2h Qs8h8c4h3d Jc9h5s2h2d Qd7s6c3s2c 
Qh7s6s4s3s Kc7h6s4d2h KcQh9s3d2s AcJs4s2s2h 
Jh8d6s6d2d Ks8d5h4c2h Qs8s7c3h3d Jc8d4h4c2s 
Js8d4s3s3c Kc8c4h3s3d JsJh6s3s2d 9c6h4h4d2s 
AsKc7h3d2h Tc8d4s4h2s Qd6c4d3h3d Js7c6s4d2h 
Jh6c5d5c2s Ah9d5d4c2s Jh8d7s4s2s Kh8s5d4s2s 
QhJc7d3s3d Td9c7h3d2d Qh5d4d4c3s 8c6s4h3h2d 
Jc7c6d3h3c Kc8h6s4s2d Th7s6c4c2c Kc8s5d4s2h 
Ts6d4c3h3d Qc9h7d5d2d 9h7c5d4d2d Kh8d8c5s2s 
Ks7s5s4s2d Td8d5c3h2s KsQd8h8d3d Jd7s7h6d2c 
Jd6s6h4c2d 8h7s4s3s2h 8d4s4d3c2s 9s8c7c3h2d 
7d6c4h3c2s Td6s5h3c2d Qs5h4s3s2c QhJs7c4c2d 
QcTc7c3s2h 9c8s4s4d3h Kh5s4c3s2d 8h7h4c2h2d 
Ks8c5d4c2h As9s5d4s2s Jh9s7c4c2d 9s7d6d3c2h 
Jc9s7c4h2c QcTsTdTc6s 9s5d5c4h3d AhKs9d3c2c 
Jc8c6s4c3c ThTc5d3d2s Ks5h5c4c2c Ks7d4h4c2s 
As9s5s4s2d Kd9d5s2h2d Qc8d5d3s3h Ac9d8s4s2s 
Kh5s4c3c2d Qh6s6h4h3h Tc4h4d3c2d KhJs4s2s2d 
AdKh7s3s2s Kh8h5h2d2c Qd7c6h4d2d Qc9d7s4s3s 
9h6h6d4h2s Ah7d5s5h5d 5d5c4h3d2s KhJs8c3h2h 
As7d6c4h2d 7s5h4s3d2s Ts7s6c4d2s KdTs5c3h2h 
Kc9s9c3c2h Ks9d7c4s2s KcTs8s2s2d Qs7h4s3d3c 
Qh7d7c3h2c Td6c4s3h3c Qs6s3d2s2d QhJsJhJcTh 
As6d5c2h2c Ts5d3h3d2s Tc7c3s3d2s Kc7d5c3c2s 
Ac5d4h4d3d Tc6s3d3c2s JsJd6h3d2d Kd8s6h4h2c 
Ad6d3h2d2c Th9d4h3s2h Qs7s5h4s2d Jh9h6h4c2d 
AdKs9c3h2h Ks7s5h2s2d Ac5h4s3d2h Jh5h4s4c2d 
Ts9s6s3d2s Js6h5c2s2d Ks5s5c3d2s Td7s4s3s3c 
9c4s4d3s2c 7s4d3h3d2h AsQs8c3s2s Tc9c5c3h2c 
8d8c3s3c2h 8h8c3d3c2s Th4h4d3d2d Ad7h7c4h2h 
Ac9c5c4c3c Qd8c7c4h3s Th7c6s6c2c Kc9h5h4s2d 
9h9d7s4c2c KhJh7h3h3c KcQs7d7c2c KdQs9c4c2c 
9h5d4s4d3c KsTd6h3h2c KhKdKc5s4d Kh9s9h3h2c 
KdQc6c2h2c 7s7d3s3c2h AhJs8c3d2c Ts9d4d3h2c 
Kd7d7c4d2h Tc8s4h4d2s Qs9d8h4h3h Qs9s5d3c2s 
AsTd5h3d2c Jc7h5d3c2s Qs8d5h4h2h 8s7s3d2h2d 
Th7h3s3c2c Tc7s3h3c2s 9s7s4s3h3c QdJs7s4h2s 
KhJh8d3h3c Th9d4d2s2c Jh4c3c2h2d Td8d4h4c2s 
Ks9s9h4d2s 9s9c6s6h6c KhQd9c3s2c AhQd4s3s2s 
Jd8h5h2s2h 9d5h4s4d3c Kd8h5h5c2s 9h6s6d3c2h 
Th4s4d3h2d AcTh5h3s2d Jh7d4s4h3h Qh8c7c4s3d 
Kc5s4d3d2h Ad6h5s2h2c Qd8s5c4c2c 9h5d5c4s3c 
Qc9c3h2h2c Td8s4s2h2c Kh8s5s5d2c AdTh5h3s2c 
KdTd8d2s2d KcTh6d3d2s Tc5d3h3d2c Ks9c4s3s3d 
Th7c3s3c2h Qc8s7s6s2h 7h6c4s3c2d QcJs8c3c2d 
Jh9s6d4s2c 6s6d4d3d2h KsTd5d3d2c Kh7c4s2s2c 
Kh9h7c4h2d AhJs3s3c2s Qs5h5c4h3h Jh7h4s3s2h 
9s9h9c6s6h Jd7d6s3h3d 9s9h7d4c2d As9h4h3d2d 
Ks8c7h7d3c Qs9c7d4c3c Jc8d4s4h3h Td9d6d3h2d 
QcTs7d3c2c Ah7d6c4s2d Ks8c4d2d2c Tc9s5d3s2s 
9h7s5s3d2s 7d5h4d3c2d AhKd8c3s2c Kd5s4h4c2c 
Qs7s6s4h2c AcTh6h3d2s Tc6c4h3s3c Ad8d4s3d2h 
Ks9d5s2s2h Jd7h6c5s2c Kc8d7d5d2d Qs9s8d3c2s 
AsQh3s3h3c Qc9h5h4h2d Jc9c7c6h2c 8s5h4h3d2c 
8h4h4d3c2d Kh8d5c4s2s Qs3h3c2s2d AdJs5s5h5d 
Ts8h4s4c2s 8s5h5d4s2s Kh7d6d4d2c Ks7c5s3s2h 
Kc8d5h4s2s AcJh3h2s2d Ks9c4s4d3s 7h5s4s3s2d 
KdQh8s4s2c Ad8c4h3d2d As6d4d3d3c JhJc7s3c2c 
Ts8d4h4c2d Jc8s4c3h3c Qd8d7c6d2d Jd9h5c2s2c 
Qh5h3s2s2h Qh6s4h4d2c Td8s5c3d2h Kh6s6h3c2h 
9h7c4c3s3c AdKc7h3s2s Qh9h7s7d2h 8c7h3h2d2c 
Js6c4h3h2c Td9d6d2h2d Kd9h6c4h2s 9c6h6c4c2s 
Qh8s6d3s3c Js7s6c3c2c Ts7s3d2h2d Kc8h7s7d3h 
KcTs8s3s3h 9c8h4s3s3d 8c7c4s4h2d Th8c5s3d2c 
Qd8h7h4s3c 9c5h5d4s3c Jh8h7s7h3h Td7h6s6c2s 
Qc6c5h2d2c KhQc8d8c3c Kh9d7d6d2d Jh5d4d4c3s 
Kh8d5s4c2c Qs9d8c3s2s ThTc6s3d2d Kh9d8d5d2d 
Tc7c6h2s2d Ts8s5d3h2c AhJd5s3s2c 7c4s4h3h2s 
Ah6h3c2s2h Kd8c5h5c3c Qh9s4s3c2c Qs8c5d3s2h 
KcQc6c3c2d Jd7s5s4c2s Qd7h7c5h2s 7d5d4d3h2s 
Js8d5h3s2c Qd9d8c3d2s Qc4d3h3d2h Qs9h8d4h3h 
8c6h4c3d2s Ks5d4d4c3d QhJs6d3d2c 7h5s4d2s2c 
Qd7d5s4d2c 9h7s6h4c2h Kd8s8c7s3s Ac5d4s4d2d 
Qs7d6d3h3c Js8d7h3h3c Qd8h4d3h2d Qd7h7c3s3c 
Qd7c4d3c2c KcQh3s3d2s Th7s7c4d2s Qs6s3h2s2h 
KcTs5h3d2h Jd7s6h4c2d Qd7s6h3h3c 7h7c6c3s2c 
KsQd9d4d2d Js8c7h3h3d KsKdKc7s2d Jd8c6h4s2c 
Jd7d4h3h2h KhJs4c3c2d 9h8s8c4h2h Qc8d6d4s2d 
Jh7d6s6h2c KdQc9h3s2h Jd7c6h2h2c Js7c4c3c2s 
Qd9h5h3c2s 7d7c6h3c2c Qh9c8s2d2c 9s7s7d4s2c 
Qh6d5h3h2c Qh9s8d3s3c Qc8c7s4c3h TsTc6d3h2h 
7d4h3h2d2c Jd7s4d3s2d 7d5c4h3c2s Jh6c5s5c2d 
9s7h7c4c2c Kd9d7s4d2h Jc7c6s3s2c Qh7d6d5s2d 
Kh9h6h3d2c Qs6h5c3s2s QcJh7h3h3d Qc8d5s4s2s 
Qd9d5s3h2d Jh7s7h6c2h Qc9s8c3c2d Ad8c4s3d2d 
AhTs5d3s2c 7d5c4h3s2d KdJh8d3d2c Qh5h4d3h2s 
Qs8c4s4d3h Ks8d8c5h2h Tc7h3h2d2c 9h7c4h3c2h 
Ac7d4s4d3d 8s8d7c3d2h Jh7s5c3h2d JsJc6c3d2c 
Jc5c4h3s3c Jh5s5c2s2d Ks6d4c3s2s Jc4s4h2d2c 
Qd8c3s2d2c Ks6c4h4d3d Ac9c5s4c2c QsTh3h2h2c 
Qh7s7d3h2s 9h6s6c3c2d Td7h3h3c2d AhJs7c3d2s 
8h5d4d3c2s Js5s4c3s3d Kd6s6h4h2c QcTc4h3c2c 
Ks9h5c4c3c 6d6c4c3c2s Js9h9d3s2s 9h6h5c3h2h 
Kd7s7h6h2h QhTs7h4h2h Kd9h5h4s2c Kd8d4d3c2c 
Jc8s7h4d2s Th8h5h3c2s Kh9h9d3h2s AsJh6c4d2d 
Kd9h8h5h2h Jd9d9c4d2d AcKh9s3d2d Js7d7c5h2c 
8c7h4s4c2d Jd8d6d6c2d Jc9d5h2s2h Qc9h7s7h2d 
8c5h4h2h2d Kh8h6h4h2c Kc9s8c2h2c Jh9d6d3s2c 
QcTc5c2s2c AhJc8s3d2d Kd9d6d3h2c 9d7c5h3s2h 
Th8c4c3s3c Th9d6d3d2d Ad9c7c2s2h Qc7c5c4s2d 
QdTd4d3d2c Js6s4c3h3d 8s7s3c2d2c AsTh5h3d2c 
AhQc7d3s2c KsJd8d3h3c AhTd6d3c2s Kc5c4d4c2c 
Th6s4c3d3c QhThTdTc6c KcJh8c2s2c Jd5d3h2h2c 
Ts7d7c2h2d 9d8c6c3c2s Qd8c6s6h2c Ah6d5c2s2d 
Ah8d4c3h2h Ks6s4d3c2s Jh7s6s5s2c Tc9d7s3h2h 
7s6d4s3c2h 7h6c4h3d2s TsTc5h3h2d Ah7d6d5d2d 
Ks8s5h2s2c AhTd5d3c2s Qh9c5d4d2s Kd8c5h5c2s 
9c7s5d3d2d QcTd7c4c2c Ah9s6c4c3c Jh9h7d4h2s 
8h4h4d2h2c Jd8d5d2s2c Kh7s5c4d2d JdJc4d3d2d 
As9d5d5c2h Kc8d8c4c2h Js8s4d3h3c Th8s4d3d3c 
8c7h4h3s3d Ks9h5h3d3c Jh6s4d3h3c Jh7s5h5c2h 
AcJh8s3d2d KdJs8c3s3h 8h5c4c2s2c Ah8c6c4c2d 
Ts9d7h3h2h Kd9s9d3d2h Kd7d5s2d2c Qc9h8h4s4h 
Qc9d6c3s2c QhJc8s3s2d TsTc7d3s2h Js8c7d4s2s 
7s6d4d4c2d Ah6d5h3h2h 9c8c6s3d2c Js5s4d3c2h 
Ts8d4d2h2c Kh8s6c4s2d Js6s6h4c2d KhTs4d4c2s 
Kc6d4h3s3h Ks8c5c4h2c Qd6d6c4d3d 8c4s4d3c2d 
8c6c4s3h2d Jh8s7h4c2h Ks7c4d2s2h AdKh9c3s2s 
Kh8c6h3s2d 7s6d5s3s2s Qd7c5s4d2d Td9h3s3d2c 
Qd8c5h4c2c Jc8d6s3s3h Qd8h5s5c2c As8h5h4h2h 
8s6d4c3c2h KdTd6d3d2s Jd7h6d4d3d 9d7h5c3c2c 
Tc9h7d3c2c Kd7s7c6h2c Qd8s3d2s2c Qh8d8c4c3s 
Kc4s3h2d2c 7d6h4s3h2c Kc7s5s3s3h 9d7s7c4c2c 
8h5h4c3d2s KsQd9h3c2h TsTc5s3h2s Kc7c5s4c2c 
Ks8c5h5c3c 7d6c4d2s2d Jc8h5h2h2d Ah6h5c3h2h 
Tc8d8c3h2c Qs9d6s3h2s Qs5h5d4c2c AdJc3s3h2c 
9s5s4s4c3h Kh9c5d3s3d Ah7d5c2s2d Ks6h6c4d2c 
Qs7h5d3h3c Kc8c7s4d2c Qc9h8c3c2s KdQc8s4s2h 
AcTd5h2s2h Kd9h5d2s2d Qh9d8s3s3c Qs9d7s4s3s 
Jc9c8c2h2c 7d5h4s3d2c Th6c4s4h2d 6s6d3h3c2d 
QdTd4d2h2d Jh7c6s5d2d KdTh5h3h2c Ts5s5c2s2d 
Jd7s5d4h2d Js7h6c4d2s KsJd8s3s2h As9c5c4h2c 
Td7c5d4h2d Qs6s5s4s2h Qh6h5d3h2s Ad6d5s3d2d 
Ks6s4c3d2s Jd7h6d6c2s Kd7s6h4c2s AhTs4d4c2s 
Ts9c5c3d2c 8h5s5d4h3h Td9s7c3s2h Ts8s8d3c2s 
KhQs3d3c2c Ah6s4s4c3s Kc6s5s3d2s 7d6c4d3d2s 
Ts8s5s3d2h Qh8c7d7c3c QcTd7d3s2h Js9h4d4c2s 
As7c5s5h5c QsJc7d4c2c Ts7c3h3c2s Qs8d7h7c2c 
7s6s5s3s2h KcQd8h8d3d 8s8c6d3d2h Ah9h5h4h2s 
As5d4d3h3d Qh7h5h4s2d Ts9h3d2h2c As7h4h4c3h 
Qd6h4s4d2c Ad9c8h4s2h Th7d3h3c2d Ks8s8d4s2c 
Ts5h3s2h2d QdJc6c2h2c KsJs5s2s2c Ad6h3s2s2h 
Kd9s7d4d2h Kc9c6h3s2c QcJd8d3d2s KsKdKcQc7h 
KhQh8h8c3h Jh7d4s2s2d Ks6s4h4d2s Js7c6s6d2h 
7h4h3c2s2c Qd8c5h5c2c 8c7c4s4d3c Th7s4d3d3c 
Ts7s4s4c3s Js9h6d4s2s AcQd7s4s2s Jd8c6h6c2c 
7s5d4c3s2s Th9c7s3s2s Js7s6s3h3c JdJc6d3h2d 
Qh9c5c4c2s KhQd8c4c2s Th8d5c3s2d Ah8d7d6d2d 
Ac6s5s4s2s Qs8s7s5d2s 9h6d6c4s2s Jd8s6s4c2s 
Ad5s4s4c2s Jh6c3h3d2c ThTd5d3d2d 7c6h6d3s2d 
Jd8s7h4c2c AsJd3d2h2c Kh8d8c6s2s 7d6h4d2d2c 
Jh9h6h4d2c Ts8c6d3h2s Qs9c7h4s2d Ac7s4s3h3d 
Qh6s4c3d2h Js7c6h4d2s Qh9d8d2s2c AcQh7h7d7c 
Kd9d8d3c2h Tc9c7s4c2c 7s5d4c3h2s 9s7h7c4s2d 
KcJs8c2h2c JcTc7c3h2c 7d6d5d3d2c Ah9h6h4h2d 
7h5s5c3c2d Qd9d4s4c3d Kd8d7h4c2d Qs9h7h7c2d 
Qd7h7c4c3c AsJc5d3h2h 9h9c3h2s2d Ks7h7c6d2h 
KsJh4h2h2c Jc8s7c4c3c Kd9s7s6s2s Th8s4s2d2c 
Qs9h8d2h2c Ts4h4c3h2s QcJd6d2h2d 9d7c6d4s2d 
Jh8s7h2h2d Ac8c4h3c2d 9s9h8d3d2d Ad7s7c4c2c 
Ts9c5s4s2s Jh8c6c4c2s AsJc9c3c2c Kc6s6d4s2h 
KcQh8c2s2d 6d5s3s3h2c ThTd5d3s2d Qc5h4s4h3d 
9h5d4s4h3c Kh9d6c3h2h 9h8c4c3h2h Kh6c5d3c2s 
AsQd7d2h2d Jc8s5d3c2c Jd8d7d2s2c 9s7h5h3h2c 
Th8d6d3s2d Qs9d8s3s2h Qc9s6c3d2c KsKhKc7c2s 
Qh6d4c3s2h Ah9h5c4h2h QdJc6h3h2s Qh7d6d5d2c 
8c7h3s2s2c 5s5h3h2h2d Kd9s7d4c2d Td6c5s5h2s 
QsJc6h3h2d 8h4h4d3d2c Td6c3c2s2d Kc7h4s2d2c 
QcTc3h3d2c Qs8s3d2h2d Th7s5h5c2d Qh9d9c7s2s 
8d5s4d4c2d QdJs7h4h2c 7s7c3h3c2d AcJs8d3h2d 
Ks9h6d3s2s 7h6d6c3c2s Kc8s7d4s3h KcTh8h3h3d 
Qd9d7h7c2d Qs8s7s4c2d Ts9s6s3s2h 9s8c4c3h3c 
QdJd6c2h2d Kc9s5h3h3d TsTh6c3s2s TdTc4c3h2s 
Kd6c4s4h3s Kd7d5c3d2s Jd7h5c4h2s Jd8d7h7d3d 
Qd8s7d4d3h QhJc8h3h2s 8d6s6c3d2h Qs9d8d2h2c 
Th9s3d3c2h Kc9d4c3h3c 8s7d3d2s2d Ks9s8s5s2s 
5d5c4h3c2s Jc7d5h3c2s JhJc7c3s2c Qh9d8d4s4d 
KcJd8c3c2h KcQh8s4s2d 8h5s4h3h2d Td8d5s3c2h 
7d5d4c3s2d Qh8c5s5c3c 7d7c6d3s2d 7s7h6s3d2s 
9h6s6h4d2h 8h7h4s2d2c AsTc8c3c2c Ks8d7d5d2d 
Jh7d6s5c2s Kh7s5d4c2c Qh8s7s3h2h Kd9d6c3s2d 
