Qc9d8c6d3d 
JsTdTc8h4h AhQh8h7d4h KdQdJd8d8c AdKdJs6c2d 
AcKsQh7d2s JdTd9c5h2s QhQdTs7d3d QhJh9s7h7d 
JsJd9h4h2d AsJd8d5h5d QdQc9c6h3c QdTc9d2d2c 
QdTc8d5c2d QcTd8s5d4h AhTc7h3s3d 9s9h8d6h5h 
AcQh6s6c4c Qs9h8c6d5d Jd8c5h5d4h AdJs6d2s2h 
QdJsJh4h3h KdTs4d3s3h AsQd8d5d4c AdQsJc2s2h 
Qc9h8h7h2c Ac9c5s5h2s 8c7c6s5c4h KdQh7s6c5s 
AhJdJc5h2h QhTh9s9c5d KcTh8s6h3s Th8d7c4h4d 
KcQs7s4h3h Js9s8d5c2c AcTs8s8h5s KdQc8s7s2d 
AsJd7h7c6d AdJc9s4s4c JhJdTs5c2d QsJc6s4d2c 
AsTsTh3c2d KdQd7c6h4d JsJh6d4d3h KsQsJs9c5s 
JdTh6c5h4h KhTs8h6h6c QcTsTh9d5h AcQcTc7d3c 
KhJc9d8c6c 8d7c5d4d4c QcTd6s5h4s Ks9c6h5c2s 
AcJd7d6d5s KcJh7h6h5s QsQdJh6c3c Jd9s9c7s3c 
TsTd4s4d3c KcQsTs8h4s QdQc8h6s3c Qs8h6d5s3h 
Tc8h8c7h3s 9h8s8d5d3s JsJh9s5s4d QsQc8s6h3d 
AdJd9d6d5h QcTsTc9h2c Qc9h8c6h2h QsJs7s5c3c 
AcKhQs3h2h KcQcJc9h5c Qh9s9d5h2s AcKh4c3d3c 
Ts9c7s6s6h 8d8c7s6d3s Ad7s4s4d2c AhJh6d6c2c 
AdQcJc5c3c QsQdJs5c2s KcJh8d6h5s 9d8h6c5h2c 
KdJc8s4s3d Qh7d5d4h3c Ad7s6s6h4h KdQh9h6c2c 
KsJhTs4s2d QcTc9c6c5d KsQhTd5s5c Ts9s9d6c5s 
QhTd8s8d2s Jc9c6s6h4s Ah9h4s4c3c 9h8h7s5d3s 
Ks9c8s7c2c Qh9s9h7d5c AdQd8d5c4d JsJdTd8d2h 
AcTsTc3h2d Ts9s7h6s6c QsQc9s6h3s KhQd8h7h5c 
QhJc8s4s4h 9s9c5h4h3c QsTh9d7c5d Qh7s6s5s3h 
QcJsTs6d3s AhKsJs6d3s KcTh7c6h2c KhQsQc6d2c 
QdQcJh6h3h Th9s8c6h5h JdTc6d5c2d KdQs9c6h5h 
AhKd8s4c2h Js7c6h5c3s Jh7s6c5h5c AhTd7d6s4c 
KsQhTc5h3h JdTh8d2h2c Td8s8d7s2c AdThTd3c2s 
Jd8c5h4h4d Th9s7h6h6d 9d7s7d5h3h KhQc6c5c4s 
TsTh8h6h4c Th9c8d6s5d JhTc7h6c2d AhJs8s5s5d 
AhJd9s4s4d Ac8h4s4c2h KcQd9s9c5h Kd9d5s4s4h 
AhTdTc5d4d AcJd4s3h3c Kc9c5d4h4d AsQc9s7d3s 
QsQcJd9d4d Jh7d6h5s3s QdJh8s7d2s Ad9s9c5c3s 
JcTc9h3c2h QhTc4h3d3c AcJd9h4h3d Kc9d7c5s2d 
AdTd7h7d5d JdJcTs8h2d KhJs7s6s5d 8d7d6s5h2s 
Ts9s9h6h2s QdJs5c3d2s AcTc9h4s3c Tc9h9c6c5s 
AhJh8d5h3s Jh9d8c6c2h JsTsTh2s2d TsTc7c5h5d 
KcQc8d7s2d AdQcJh6c3s TdTc9s4s2d Kc8c7h6s6d 
QdJhTc8s2h KsQd9c6c2d KhJs9d8c5s KhJh8h7h6d 
KsJc9s6c2s AsKcQh7h3h KsQcJc8d4h TsTd5c3s3c 
Qd9d9c7s5h AdQsTd4d3d 8c6c5d4d2s QsTc9s7h3d 
KcJd7d4h3h Kh9d7s7h5c Qh9c8h5s2c QdTc6s5h5d 
JdTh7d6h2s Qd8s6s5s3d AsKs3c2s2c AsQh9d8c4h 
AdQdJd7d3s 8h6c5c4h2s Th8h8c7c2d 9s9h8s7c2h 
Th9s8h5d2s QsTh7c6h5h QdTc8s6s4s AdTh9s8c3c 
TsTd8c7c2s JsTc8s2d2c Qd7d6c5c3c AcJh9s9d5s 
KcJd8d4d4c Qh9c6d6c3h JcTs9d9c2c QsTh9c5h2c 
QsQc9c3h2h AhJh7d2s2d TsTc8d7d2c QdQc9s5s4h 
QsJd8h6h3d AdKs8c5d3d QhTd9h3s2s KdThTd3s3c 
AsQdJd5d3d QsQd9h7c3s AsJcTh3h3d KcQs6s5s4h 
QhJsTh5h5c Kh9c8s5c2h KhTs5h3s2c KhJh8c4s3c 
QdTc7d6c2s AdQdTd4d3s AdTsTh9h4h 8h8d7s5d3s 
Ac6h4s2h2c QhTc7d6d5s KsTc9h9d5s Tc7c5h4s3h 
AcQs9d7d5d QsTd6h5s5c KsJh9d8c5h KsJdTc5d3d 
AhJh6s5h5d Jd9h8h6d2s Td9d8d7s2s TsTh7s6h2d 
Tc8h6d5h3c AsKsTs6c2h AdKd7d5d3c QdTc8c7s5c 
AcKdQs3s2h Qs9h6h5d3d QsQh9s5d3s Qh9s9h8s3s 
KhJsJc5h3h QcJhTc5s5c 9h9d8c6d2h Ah8s8d5h2c 
Ks9d5h4s3d Js9s7d7c4c QdTs9s6s4h 9h7s6h4s4c 
Ad7h5s3d2s QsQhJs5d2s KcQh8c4h3h KhQsTs6s3c 
Jd9s8d8c7d Td8h8d7h3c KsQhJc7s3d Jh9d9c8d7d 
QsTs9h7s2h Th9s8c7s5d KhQhQc7s2d KhJdJc9s4c 
QsTc8c6c4h AdKdTd6h2s AdTdTc6d3h QdQc9c6s2h 
QcJd8s7c2s Tc8h6d5h2c Qd9c8c7h3d KdQdTc4h3d 
Jh9s8c6h3s QsJhJc9d4h KdQsJs4s3h Kc8s7h7c5d 
JdTc9s9h2s QsTs8h7s5d JdTd8d7d5h Jh7h6d6c4d 
QdTh8c5h2c KcQs7c6d2d KdQhTd5s5c KsJc7d6h6c 
AdJd7c2s2c AdJdJc4s2d KhJs8h7h2s Qh9h9c8h6s 
Ad9s6d4c2s Ts8h7h4s4c KsJsJc9s4d QcThTc9s2c 
AsKc6c4h3d 9h8s8d7d4h KhQh7c5d4h AcQcJc9c5c 
QdTc9s7h5s JdJc6h4h3d JhJc9s4s2h QdQc8s4s2d 
KcJc8d5d3c QsTh8d7d5c AhTs8d8c5s QsJs8h6d6c 
AsKhTc5d3d KdQh6c5h3s KdQh6s6c5h Qs9c8c7d3s 
QcTs7s6h5s JcTc7c6s6h QsTd8d6h6d AcKd9h8s2d 
Jh9h9c5c2s Jc9s9c5h2h 9d9c7c4d3s Js9d8s8h2d 
Qc8h6s5c3h 9c7d5c4s3d AsQd7h7d5d QcTc8c7d5h 
AsTd7s7c2h ThTc9h4c2h AdJc6d2h2c QdQcJs5h2s 
Kc8s6c4s4d Jd9s8d7c2c Td9c7s4s3c QdTc8h8d4s 
Qs9c7c5c3s Qs9d6s5h2d Jc9d7s7c3s Jh9c8c7s6c 
Ad7s6s6c4c AhTs8d6c5d KsQs8c7c2d AdTs7d3h3c 
Kd8c5s4s4d Ks8d7s7d3c KsKh9d8d2c KdQd9h4h2s 
8d6d5s4s3h JsTd4s4c3c KhQs4s3h2s JhTc8s6s5s 
QhTh7h6s6c KcTs9c6c4h 9s9d8s8c2h 9s8s7d6d3d 
QsQc9d7h3s TsTd8c5d3c 9s6s6d4s4d QdTd6c5s3h 
QcTc6h4h2s KhJdTh5h3h AcTd7h5d4s KsJsTh6s3d 
Kc9h6d5d4h Qc9h7h5h3c KcQhJh7h5h AcJs9h4h3s 
QdJd6h5c4d Tc9h9c6s2s AcQcTh6d2c KhTs4h3s3c 
KdJd9d4h3h ThTd8h7s2s KcJsTh8c2c Ks9s9h7s3h 
Jd7s6d5c3c JhTd6d5d4c AdJc9s4s3c AdJd8c3d3c 
JcTsTd7s3h Jc9d8c6h3h AhKcTd4s3d 7c6h6d5h3d 
9h9c8s8h2d QdTh7c6d2h AhQh8h7s4h AdJd7h2h2c 
Jc8d5c4h4d Kd9d9c7d3c QdJdJc9h4d AcTsTh6s5d 
KhQdJd7s7d AhKc7s4d2h AdQd8c3c2c QcTs9s9h5d 
QcJs5d3s3d Ts8h8c6h3s QsTc9h4h4c JsJcTh8h3d 
KcQs8c7c5d QcJc5s4c2s KdTsTh5s4c KhQh7h6s5h 
QdJh9s3h2d AcTsTd4h4d KhQsTc9d3c Kd9c8d6d5h 
Ts7s6d4d4c QsJd8d7d5h KcQdQc7s3c KhTd9h8c5h 
KcJc8s4d3s KhJhTc8s3h AcJsTh6d3s 9c6c5d4d3h 
QsTh8h7s2s QsJcTh6h3d TsTh8h6s2h JcTd9s7d4d 
Kc8h6h4h4c QcJd5s3s3d Ts8d7h6h3s KdQs9h6h2s 
KhJh8h7h6s JhTd7d6d6c KdQc7s5h3d QcJs8s7s5d 
QdJc8c7c2d KcQh7h4s3s JhTc8s8d5h Ts9s6h4d3d 
Js9d8s5d2s Ac9d6s6c4h QhJs5d3s3d As9h8s3h2h 
AdTd9c3h2s KdTs7d3s3h As9h6s4c2h KdQhTs5h3h 
QhTc6h4s2s AsKh8s6c3s AcJs9h8s3d Th9h9c6h5s 
Ks8s8d5s4d KsJd9c7h3s Jc9d9c7c5s AdTs7h6c5h 
KcQhTh6h3s JcTd9h7d4d QdJh7s5d2h KdQhJd4s4c 
TsTc8h7h3s Ah8d8c5h2s 9c8s8h5h3s Ac9c6s6c3s 
JsTd7s6d2h Ad8d5s3c2s 9d8s8h5s3h Ad9s8h7s5s 
QdTh6s6c4d JhJd9c4s4h ThTc7c5s5d QsQd8h5c3s 
Jd9s9d5h2h Qc9d8d5s4s AsQs6d5s3c QhQc9c3d2d 
KcJdTd6s3h 8d8c7h5c3h ThTc9c8d5s 9d6d5h4h3c 
JcTd6d5d4s Jc9c8s8d7c AdJs8s5s5c QdJhTd8d3c 
KsQhJs7c4s QsTh8h6h6c Kh9c8c6d4d Js9c8s8c3h 
Qh9d8h6d2d AdKh6s6h4h Ts9s6h5s5h KhTc8d4h2d 
Ac9h7s5c3c 9c8c7d6d3d KdTh9h6c2c AdTsTh6s5c 
KhQh5c4s4d QsTs9c4s2c AcJdJc4h2c Jh9h7s4c3s 
JsTs9c5h2d 9d8d6s5s2d As7s6d5s3c AsKd6h5c4c 
AhJdTs4d3d JdTh7c5s3d Tc8h7s6h3s QhTd8d4s3s 
QdJsJc6h3c KcQdTh5s5c Td9h7h6c5h QhTc4d3h3c 
AhQs9d7d5d KdJsTd4d2c AdJs9s4c3c AhTc8s8h2h 
AcQdTs4h3s JhTh6d5h4c KdJh7h6h5c KdQc7d6s2s 
Kh9s8s6d4d Ks9d6s6h3h Tc9h6c4d3h JhTh9h6s4d 
Td8h8d7c6d AhJc8s8c2s QdJc9h4d2h Kc9d8c5s5d 
8h7c6h5d2c 9d8h7d5d3h AsJh5h5c3c JhTs4h4d3d 
AsTd9c3d3c Td8h6s5h2d Ks9c8d5c2s AdKh4d3d3c 
KhKdQd8c2d 9d7c5h4h3d Ad6d5s5h3c QdJsTh4h3h 
AsTs8d3s2d AdQc7h5s2d Qh6h5s4d3s KcJh9d8h6h 
AhKd6s6d3c 9s7h7d6d3h QhJs8s7s2h KdJd7d6s4h 
Jc9c5h4s3h KdQd7d5h4c QcTs6h5c4c AcTsTh6h5d 
Jc9s9c8s2s AcJd9c4h2s QdTd8c5c3d QhQd8h7c4h 
QhQc9s7d3h AsTd9s8s4s KhQhJh7d4c KhQs7h7c3c 
AdJhTs4h3h QsTh8d5h4c Th8c6s5c3h QdTc9c5s2s 
QhQcJd6s3s AsTs9s4h3d AcKs7d4h2c AhQdJs6d6c 
Th9c7c6d5c Ks9s8h6d2d JhJd3h3c2d QdJs9c8c5c 
9d9c8h6h3c Jd9d7s7h4h Qc8d7h5h4d KdQc7c6s6c 
KdJs7h5c4s Kc9h8h8d3c JsJh6c4c3s Ac5s5d3s2c 
Tc9d8c5c3d KsJc9h8d5c Ks9c7h4s3c Js9d8s8h7s 
KhQc9h7c2h Ad8h8c5s3d JdThTc8s4s QdTs9c4c2s 
AdQsJh2s2c 9h7d6d6c4c TsTh8d7d3h AdQs7h7c3d 
AhQc9h7s3h Jc9s8d6d2c AsKh9c6s2d QdQcJh6s3s 
QcTh9h3c2c AhJh8c5d3h Qh9s9h7d6h Ad7c6s6c4s 
Ks7s6h6c3h Kd9h9c7h4c KcJc7h6h2d KsTc9s8h5s 
KsQs8c6s3c Kd8d8c6h6d KsQcJs5h5d Qd8h6d5c4s 
QcJc9c5d4h KdJd8s4h3s Kc9h7d5s4c QhQc8h7d4h 
AsJs9s9h2d QhQd6c5c4c KhJd9d7d6d QcJs6s4s2c 
AcKd7s4c3c 8h8d6h4c3d Ad9d8c6d5d Qd9s8d7s4s 
9c8h6c5c3h QdJh8s4s4d KsQcTh5c3c ThTd8h7c3c 
9s8d7d5s3d KdQdQc7h2s 7c6h5s3s3h Qs8c6h5s3c 
9c7s6s6c4s QdTh9c6c4s QcTc7h6h2d KcJc9h3h2d 
Ts8c7h6d5c Ac8c6h2h2d AdQh9d6s2c Qh6c5s5c4h 
AcQs9h8d4s Ks9s8s7h7c KsJsTh8s3c KhTc9c6s5c 
AsJh9c6h3c KcQd7d6s6d AcQd7s5h2c Js8s7c5d3d 
Js9c7d6s5s 8s8c6h6d4h QhTsTd9c4d Kh9d8s7c6c 
QsJc8c6c2s AhQcTd8s2s As6h4c2s2h QsQcTh4d3d 
QcTd9c7h3s Jd9d6s6c4c QsQd8s4h2h QsQdTc4h3h 
9h9d8d5h2s KcQd7d4h3h KcJc8s5c3s Js9d8s6h3h 
Kd9h9c8c7s AdJd8h5d3s Tc9s9c7s2c AhKsQd6s2c 
9c8c7d5d3d Kd5s5d3s3d QcJs9h5c3d Ad9s9h5s3h 
KdQc8d7d3c QsTd7s4s4d Ac7h7c5s2d Qc8s6s5s3c 
Qs9s7h5h3h Ks9d6s6c3c Jh9d7s6s5c KdJsJh5h3c 
AhKh5h5c4h Td8h8d6s4c KdTc7d4s2s QsJhTd5h5c 
9s9h7c5h5d QcTc6d5h3s AdKd9d6s3h QdJcTs3d2h 
KdJdTs8h3d QhJc5s3h2c KhTc7h3d3c Jh8h8c6s6d 
JcTd9h9c2c KhJd7d4s3s Jc7c6s6d4d KcJcTd6c3h 
QhTc9c5s2s 9s8h6d5h2d QcTh4s3h3c Th9c7d4d3c 
AsTh9h7h5h KhQc9d9c4d KsTsTh8s4c Ac8h7s4c3d 
Kh9c5c4h3d As9c7d7c4d JsJh3s3h2c AcQs7h2h2c 
JhTs7d5d2h AsJhTc6h6d Kd7d6s6c3s AdKs6s4c3h 
KcQc7s5d4c AdQdTd4c3d 8c7d6c4s3d AhTh8h6c3d 
AcQcJc7c3d KcJh9s7d3c ThTd9s6d4c AsTh7s4s3d 
JsJc6h5h5d QdJd9s7c5d QdJc8s5c2s Ts9s6d4c3d 
AhQs8s7d4s KdQd8c7s5d KsJhJd6c3s AhTh9c8h3h 
AhKc9h6d3h KdJdTs8d3h QsTh7c5h2s KhJdTs7c3s 
KdQc9h5d4s Ks9s5h4h4c KcJc9d4s4d KcTd8s6s5h 
QdTdTc4s4h AhKh8c4h4d 9s9c8s7d2c KcQc9h4h2d 
AdKsQc7s2h Ah7c5s3h2s QdTsTc8d5d TdTc8s5d3s 
JdJc9s4d2s QsJh6s5c3d AcJh7h6h5s KsTs9h7s3d 
8h8c5h4s3c Th9h9c6d4s AdQs9s6s5h QdJc8d5d4h 
As9s9d5d2s As8s5c4d3h QhJc7d5h2c Kc9d8c7h7c 
AsJsJc4h2s Tc9d6c4s3d KcTc9d4s3h QcJc6h4h3c 
Kd9c7d5s2c Ac9s7d7c2h KsQsJh4s3d Ks9s5h4h4d 
AhKc8s8d4c 9c8c6s5s2c Js9h7s7c3c AsQh9s6d2c 
QdJh9s8s5s QdTc8s8c2s As7c4s4c2h KcTh5c3h2d 
Tc9d8s7d5h KsQsQd7c2h 8h6c5d4h3c TdTc8h7h3c 
KsTd6d6c2s Ad9h7c5d3d QsQd8h4h2d Td9d7h4s3h 
QhQd8c5c4s Ah8c7d6s5d Th8d6h4h4d Ts8h8d6d5c 
Tc9d8d5h2c Ah7h6c5h3s Qc6h5s5h4c QhJd5s3s3d 
Tc9s9d6d2s 9d9c8c5d2h AhQdTh7h3h Td9h8h5d3d 
Jd9d8s7h2h Kd9s7h5c4d Ks9s8s7h5d AhKsQh6h3h 
Qh9h9d8h4d KhJh9s3s2c Qc9c8d5c4d QdTc7c6s5c 
KhJc8c4h4c Ks9s7c5s5c QsJd8h5s4s Kh7h6s6d3d 
QsJd7c5s2d AcKcTc4c3s KsQsJs8s8h AcKdQh6d2s 
KsTd8s7h4s Kh8c7h7c3d QsTh7s6h2d AsTh8d8c4h 
9d9c8s6c3s AcKhJh6s3h ThTc6s6h5h 9h9d7s5h5c 
Ad8h7s4d3c KsQc9c6d2d 7d6s6c5c3s AsTs6d5s5c 
KhQsQd6c2d Ah5s4s3h2s KcTsTd7h3c 8h6s5c4h3c 
AdKd7d7c3h AcJh8d6s5d QsJhJd6c3d QcJh9h5d4s 
JsJd9s5s4h 9s9h8d6s2h QhJs9d3s2h 9s7h7c6c3h 
AdQdTd6h3d Th9h7d6s6h Jh7s6c5h3s AdJs9c2h2d 
QsJd9s7h5s JsJd9c4s4h QsTh8h7d5h AsTs9s4d3h 
Kd9s7d7c6d AdJc8h6s5h QdJsTc7s3h Tc9c6d5d5c 
Kh9h6d5s2s 8h6h5c4c2d KsQsJd6s3c 9s9h6s6c4s 
Kd8c7d7c3s AhQs9h6d2c AsTsTd3c2h AcTdTc6c3s 
9d8d7s5s3s Ah8d6h4s4c 9d8d6c5c2d Jd9s9h8d7d 
AhKcTd6c2s Qd9h5s5d4h QsJsTc9s4s JcTs9s9d2h 
Qh6h5c4d3c Jh9c8c6h2d QcTs8s8h2h JsTs9h8s2c 
QdQcJd5s2d AhQcJs2d2c 9s9c5h5c2s AhKdQs7c2d 
Kc7s6h5s3h Qs8c6c5c3s KhQc9s9h5d AsTd7c5d4h 
Qc8d7h7d5h KsTc8s7h4s AdQh9d7c3d 9s9c8h6c2s 
Th9s9h6c2c QhJc6h5d4h KsJs9h3h2c Js8c7h5h3s 
Ah9s7h7d2c KdQd8h6d3h KdThTc5c4s QdJdTd5s2h 
Jd7d7c6c4c QcJc6h5d3s AcTc9s7c3c AcTdTc6c3h 
As9d8h6h4d Kh9s8h8d2d AdJh7s6s5c Th9c7h6d5h 
AhQc7c4s3s KcQd7s7c3s Jh9h9d7d2s QhTd7h7d2c 
AhQh8h5c4h AsQh7d7c3s KdJc8h4h4d Td7d6s4s4c 
Th8s6d5s3h Kh9h6d5c2c Tc8h6c4h4c QdQc9d6h2s 
Kc9d8c6c5s QhQc7s6c3d QsTs8c5c3s QsThTd8s5s 
AcKs8h5c3c Qc9c8h7s7d AdQc6h6c5s Tc9d6d4d4c 
ThTc7d6d5s KdJs7s6s5c KhJdTs5d3d 9s6s5d4d3h 
Ac9s9h8h3s Jd9d5h5c4c Qh9h9c8h6d Ac6s6h5h4s 
8d7h6d4c3h AsJd7c6c5h QdTc8s8d4h JhTd9c6s6c 
AsTh8c6d5c Qh9d7h6h3d Qh9s8h5d2s AhJs7d6c5c 
AcQc8c7d4c AhKsQc3c2d QsJs6h4h3s AcQc6h5c3d 
QhTh8s8h5c 9c8d6h5d2h KhJc9d7s3h Js9s8h7c2c 
Ts8h7h4s4d Tc9h7h6d5h Ah9d9c3s3h QdJd9d5h4c 
AsKs3d2s2d KdTc9d6d4s AsJc9h6c3h Qc9s8d8c7c 
KcTdTc3s3h Qc9s7s5s3c AdKc6d4d3s Jc8h8d5c3h 
As8s7s5s4h KhTc7h4d2d KsTd9h9c5s Kh9h9c5h4c 
JsJhTd5c2h Jh8d6d5h3s KhJd9s3s3h KsQc9s6s5s 
KhQsJc7h3d Tc7s6s6c4c KdQh6s5h3c KcQd7s5h3c 
KcQs8s8h6d TsTc9h6s4d KcQh6s2h2c Ks9d7s5c2d 
KcJsTh3c2d AcTd7s6h5s QsTd8c6c4c KhJc9c7c6c 
AsJc7h6h5d Kd9s8h7c6c QhTc6d5h4h KhJdTd6s6c 
KdQhJc4d3d JsJh7d5d5c 9s8h7s5s3h Ah8c7s5d2h 
Ks9c7s5d2c AcKd9h9d4s AdQcJc3s2h ThTc9s7h5h 
JcTh5s4s2h QsTh8s7d5s AdKc9s9h6h 9h9d8s6d2h 
Kc9s7h4c3s TsTh8c5s3c Td9s9d6d5c Th9d6d4h4d 
KsQhQd6c2d AdQhJh9h4h AsJhTh6c3d KsKh8h2h2d 
9c7s5s5c4d QsJc6s5h3d 8s6c5c4s2d JdTs9d9c2d 
AhQhTh4d3h Kc9d8s8c2s Jc9c6h6d4d QsTsTh9d5s 
QhTc8s5c4d KhQd8c7c2h KcJc4s3s3d QsTd7h6c5h 
Jh9d5d3s3h AhTs7h7c2d Kd9h7h4c3d QsTc6h5s5d 
AcTh7s7d5d Ad7s7c3h3d Qs7d6d5d3s 9s9h5h5c2s 
Qs9h9c5c2s QcJd9h5d4s AcQdJs6d3h Qs8s7s7h5h 
Qs8s6c5c2h Qc9h8d6s5s Jc8h8d6d4h QcJd9h6s4c 
Jh9h9d8d2d AdKs9h6d2c Ks7d7c6h6c KhQd9c6c2d 
As9h7s7c2d AcKcQc7s2d AdJh9s8h3c AdKsJs5c2s 
QdJd8c6s6h AdKdTc6h2d QsJs8c7c2d KcQc8h7d5c 
Kh8c7d5d2h Th9s7h4s3c KcQh8c7c5d QcTsTh8c5c 
Tc9s8s7s3c KhQhJh8d4s KsTh8d6d5c Kd9d5c4s4c 
QcJsJc9h4c JsJh6d5d5c KcTh8c5h2c Ac8s7d4c3h 
JdJcTh8h3s JcTc6s6h5d Ad9s7s2s2d Ts8d6s5h3h 
JsTs7s7h3h QdTh8d7c5d Qs7h7d6s6c Ad9c7h7d2s 
KdQhThTc3h 9d8s8d6h2s QcTs9s6s4h KdJdTc8d3h 
9d7h5h5d4s AcJs8h5d4h KdTs8h8c4d QsTh8h4c3c 
KsQd9d8h2h Kd9d8d7s7h AdJs7h6c5c Tc8c7h6s5c 
QcTc6d4d2s KhJdTh4h2c QhTc8s6s4s Kd9d8s5s3s 
QhJh8c6s6d JsJc9s6d2d Ts8h8c6s3c Ks9c7s7h5d 
Ts8s6h5d3h JdTsTc4h3d AdTs9h6s5c AcTh9s6c3c 
AdJd8s5d3h AsKh8c7d2h KsQs9d4d2c Ad9h9d5h2d 
KcJd9d5s2s AsQc7h2s2h Ad8d7h3h2c Ks8h5d4s4d 
Qc7s5s4c3d KhJhTd8h3c Qs8d8c6d4c AdJc6c2h2d 
9s8s7h5d3h Ks9h8d5s2d Jh8s5h5c4c Qd8s7h7d4s 
JhTc6d5c4c AcTsTd9s4s QhJh5s5h3s QdTsTc7h4s 
AdTc5c4d2d Kc9d8c7s7c Jd7d6s6c4c Jh9s8h8d2s 
QcJsJh6d3s QsJsJh9c4s As9d8h8c7h KcQdTc5s5h 
9s9h8s6c3c QhTh6c5d3s Ks9d8s7s7h JdTd7s3s3c 
QcJh8s7c2s QdJhJc4h3h QdJd5c4c2d 8s7h5h4s4h 
9d9c5s4s3c 9d8d7h5s3h JcTh7c4h2d QcJcTc9h2c 
KdQc9s9h7h KcQsTsTd3s QcJh6c4d2h Qh9h9c7s6h 
8h6h5d4d2s Kd9c5c4d3s JsTd7s6d2c KdJd6c4d3c 
KdJcTc6c4c Kh9d5d4h3s Ts9h5s5c3h KsJsTh8s4s 
KsJs6d4d2h QdJc6s5c4c AdJsTc6s6h 9c6s6h3h3c 
KhQhQd7c3h AcJs5s5d3d Th9s9h6s2h Ts9h7c6d4s 
QcJc7h6d5c 8s8c7s5h3c 9h8h7d5s3d Qd8s7s7c5c 
Ks8d7s4d4c Qc8s7s7h5h ThTd7h7d2d QhJs6s4s2h 
QdJd5s5d3s QsQh7c6s3d AcQcTc4h4c Th9d8h8d2d 
QcJc6h5s4c Qs9s8c7h7d QcTh9d7s5d KhTd7s5d4c 
AsJh6s2h2d JdTs6s3d3c QcJh8d5c4c QhTd9h7s3c 
9s6s6h5h4d AhKs8c7d2s Qc9h9c6c3h AsKh9h7c2d 
AsKc8h8d4c KcTc8c7h4s Jc7c6s5h3h Tc9s7h6d4c 
AdQhJc6h3s 6s6h4s4h2d QsQc4h4c2d QhTd8d6d6c 
Kd8h8d5d4h QsTc9h6d3c KhTs7c5s4d Td9c8c7c3d 
8h6s5s4s3h KhQdTs8d4d QcJc9c7h6c JsTh9d6s3c 
Jd9h8d7c2c Ad9s8s6c4c 8c6h5h4c2s TsTd6c5h5d 
QsJs5s5h3h KcTs6h4s4h 9s8d6c5d2c AhJh7c2d2c 
KcQhTd5s5c Jd8d6c5h3h KdQs6h2s2d Th7s5s4d3h 
KcJh9d7c3s KdJd6c4c2s Ah6h5d5c3s AdTd7c4h3d 
KhQcJs6d3c Jc9s8s8c3d JdTh9s9h2c AsQsJs9c2s 
KsTd9s4c3h AcKdQh7h3h QdJd6s5c3h TsTc4s4c3d 
QhJcTd8s2c Tc7c5d4s3d QdJc6h5s5c KsQsQc7h2d 
JsTs7d3d3c TdTc5s3s3d AdTs8h8d2d QsQd8h5c3d 
QdTs9h4h2s JcTs5d4d2s QhJs8s8c2h AhJsTs6d3c 
KcJs8c7c2s 8d8c7d6h5d QcJc6s4s3c AcQsJs6h6d 
9d8c7c5d5c AhQs9h7d3h Jc9s8h6h2c JsTs9s6h4d 
QdQcJs6h3h AhJsTh4h3h Ad9h8s7h5h Tc9d9c7d2c 
KsTc6d6c2s KsJh9h7h5d KhJdTd6s3c AhQhTh6c3h 
Ad7d5h3h2c Tc9c7s6h6c Jc9s8s8h3c JsTh9c7s4s 
QdTd7d6s6h KsTc7d6h4h AsKcQd7h2c 9h7s6h4s4d 
Kc9h7d4h4c AsTsTd6s3c KcTd9c2d2c Jh9c8d6h3c 
QhQc9h6d2s Qs7c5c4s3d QdTc6h5d4d Ts8h8c6c5d 
8h8d5h4s3d KcJcTc8c5s QcJs9h6h2s Ah9c6c4s2h 
QhQc6s5s4s 9d7c6d4s4c ThTc8d7h2d KsQc7c4d3d 
Tc8d8c7h6c KhJdTc7s3c Tc8d8c7d2h JhTs9d6d6c 
KhQs6d5c4c JhJdJc9d9c QdJd7d5h3h Ac8c5d5c3d 
KsTs9d9c2h Ad8d7h3h2s Kc5d5c3d3c Kh9s6c5s4c 
QdQc9d5h3d Qd9s8s5h4h QsJd9d4s4d AhKd7c4h3h 
QsJhTh6d3h Ad9s9d5s2d Td8c7d5h3h KcTs6c5s2c 
Tc9s9c6s2c Ad8s7h6c5h QsTh8h6h4d AdKcTh4s3h 
Qd7s7d6s4s 8d8c6d4s3c JsTh7c5d3s Qd7s7d5s3c 
AcQd8c5c3s 8h7d6d5c2h Ad8d6c2s2c KhQh7s5c3d 
QhTs6c5h5d QhTd8s5d2s AsJsJd4h2s Kh9h8c5c3c 
JdTh9s7d4d Qh8s6h5s3s Kd9d7c4h3h Qd9d8c7s7h 
KdTh8d5h2d JdTc8h6h5h AsKs8d4s4c QhTd8d7s5d 
9h7d5h4c3d AhJd9d4c3c AcJh6c4h2c JcTs8c2s2h 
AdQh9s4s4h KhQdJd4d3s QsTc9h7d5h KsJhTc7d3c 
AhTs8s7s5s AdQd6h5d3s AdJc8s8c2s KcQh9s6d5d 
9d8s8d7c4c Qd6h5h5d4c QsTh8h4d3d Qd6h5h5c4d 
JsJd6s5s4h Js8d8c6h6d KsQc9h9c4h 9h8h6c5c2h 
Jc8h7d5h3c QdJd6c5s3h QhJd8c6c3d KsTd9d7d5c 
KdJc9h8s5c 9h9c7h4c3d As9c5s5d3h QcThTc3h2c 
