QhQd4h3d2d 
Qc9d8h6d3c 8h7s6s5h5c Jh9s9h7d3s QdJd5s4s2h 
Kc9c7h7d6s Kh7d5c4h3d AhQcTh2h2d Ah7s5d2h2d 
JsJhTd4s3c KcTh8c5s3s Qh7h6d5c3d AcTd8c2d2c 
Ad9s9d4s2c QsJs9s8s7c JhTh6d4s3s KcJcTs7c5c 
9c8h7h6c4h KdJdTh4c2s KsJs9s8h6c Ts9s8d6h2h 
AsTs9d6h4s Td7d7c4s4c QsJd8d5h3h KcJdTsTh3d 
KhQs9h5c2c Jc9h7h5s3s QdTh9s3h2d KcTd9h7c3s 
AsKs8h4h2s Td9h6s5h3s KsJs8c7h3c Ad7d6d5s4h 
9c8s7s6c3h QhThTc6h4s QcJh9c6c5d QhJdTd6c3s 
QcTh7d4h3c JdTc8c7s2s KsJc7c6h5d Td9c6h5h5d 
Ks8h7h5c3s AsQd8d6h4c KsTs7c6h2h AhQc9h8h3d 
Jh9h9c8d3c JdTs6d4d3s KsJhJc6d4c AsKdJd4d4c 
KsQsQhTs3s QsJdTd5h3d AsTc9s6h2d Td9d6c5c3s 
Kh9s9d8h4d As7h6s6c5s AcQcJh9c3c JsJc8s6c3s 
Jh9d8h5s3s Qc8s6h5h4s AsKd8d5h4d AcKc9d3s2d 
KcTd9h5c4s QsJsTs9c2h QhTc9s9d6c AhJsJh9h6h 
Js7s6h5s4h JsJd9s7d2d AcQc4d2h2d KhJh6c5d2c 
Ah6d4d4c3h QhJh6h5c3c KhTc9d7h3s Th9d6c5h5c 
KdTd9h8s3c Jh9d8h5s3d Qd9h9c6d3h AsTd9h2s2c 
KhJsJh7h4d Jd7h6d5c4c AhQs7h4d3c Qh7d6d5h3c 
QcTh7d7c3h Ad7d6c4c2h Td9d8s7d4s AhKdJh3h2c 
KdQh7s7c6h JhTs9d8c5s AcTsTd9h4s KcQhQcTc3c 
Kd7h7c5d3c AcTd9h6c2s KsKh6s4s2d JsTs6d4h3h 
AsKs7d4s4c Qc9h8c7d6c JdTd9d6c5s 9h7d7c5c4h 
AdTs9d6h2c JsJh5c4h4d Ts9c6h5c4h Jc7d6c5d3h 
AdKh9h8s3c KhQs4h3c2s JsJd9d7c5d QcJc7h6h3s 
Td9h8s7h2d AhKh9s3s2d AdQs9d5d4h AhKsQh8c3h 
KdTs6h5h3s QdJd9s6h5d TsTh9c7s5d Qs9s8c6s4c 
KsJcThTd2c Tc9s9c4s4c KhTh9s3s2c AcQdTs8h3s 
KhJd6s4h2d AsJcTh4s2s AhKc8d3h2d QdJhTh8h4s 
QhTd9d7d6d JsTc8s6c2c AsKdQs8h3s Th9s8h6d3d 
Qh9h7d6s3d QsJdTc7d4d JdTs8s6s5c AdKd9d8c5d 
9s9d8c7c4d Ks9c8d6s3d KdKc7s5s3s Jc9d7c6d3s 
KhJc8s6h2c AdQsQd6d2h Ah8h7c6s6h QhTsTc5c2s 
AhKhQd6h2c KdQsJh9c6c KsJsJc6h4s 8d7h6s6d4h 
KcTd7s5s3d AsQsQd6s2c Td9h6d5h4d QsTc6c5h3h 
JcTs8h8d6d Qd8c6s5s4c KdTh7h6s3s QcJs6c4s4c 
QcTs5s5d4d AcTh5s5d4c AhKd5h3c2s Jd9h8d7h3s 
Qd9c7c6d4c AsTs6h6c3d AsQdTh4d4c As7d5c2s2d 
KdTdTc4d3c AsKdTh7c3h JcTs7c6h6d Ts8s7d7c5d 
KcTd6h5h3d QhTc9d8s3h JsJdTh8c3s Jc9h5h5c4s 
Kc8c7h7c5h QdTd8h4h3c AsQhJc9h4h Qs8d6h5d4h 
AcKsJd4h4d KhJc8s6h3s As7s7h4c2c 9d7h7c5h3c 
QsTd9c6h3s KdKc5c4c2c KhQsTd6c4c AsKh7d6d5d 
KcQcJs5d3c KdJc9d6h5d KhQhTs9h3c QcJc9d6s5c 
KcQdTd7h5d Qd9h8s6s3d Td9s9c3s3c QcJcTc7h4d 
QsJs8h8d6c Qh9h9c5h5c Jc9s9c8d7c AhQsQh7h2c 
KcQs4c3h2s KdJh9c3h3d AcJd7c4s3h Kh8c5s5h4s 
Qd9d7h6c3h AdTs5s3d2h Tc9d7c5h3h JcTc9d7c2d 
Th9d8h6c3c KhJh8d7c3d QsJhTh9d3h Kc9s8c5d3s 
KdJsJd7h3c KhTs7h6s2s QcTh8c7s3s QcTsTc5c2s 
QhJsTs8s4c AhTd8s7d4d KsTc9s5d4h Ts8s6h6d4d 
Ah9h6d3d3c AhJcTd4h2h Ah5s5c4c2h QdJsTc8s4s 
Ah9h6d3s3d KsTs9c5c2s Tc9h6d5h3d KdJs9s8c4c 
AcKsTh7d3h AsKs9h9d4c AsKd9d8h3c KsQsTs5d2d 
KcTc7c6h5d Qc9c8h5s4s KhQh9s7h4s KcTd7h6c4c 
Th9d8c6d2h AdQdJh5d3d KdTd7s6d6c JdTs6s4h3h 
JdJc9h6s5h KcJhJd9s5d JhThTd3h2d AsTc8s7s2h 
KhTs9h9c2d KdTd7d6h5s KdKc6s5h2h AdJc8s4h3d 
Js9s7d6h4h KhTh7c6h6d Qs9h9d5d3s AsJh8h5d4c 
AdKd9c3s2c Kh9s8h6s2d KhQhTd9h3c QsJdTd6d5d 
KhKc6d4s3s Js9c7h5h3c AdJhTh5s5c 8d7h5h5d4s 
8s7h6s6c4h KsJd9s6h5s QdTs8h7d3h KhJh9s9h4s 
KdTc9h9d2s JsTc9h9d6s Kc7h6d5s4c QdJcTs7h5h 
8h6h6c5c4d KcQh8s8h7d AhJd8s6h3c KdTd9c8s2h 
KsTc8s8h2h Ah6d4h3d3c AcKdTh9h2h KdTd9h5s3c 
Ts9d9c5c3d Kd8d7c6h3c AcTc8d8c3h Th9h6d5d3c 
AcKc9c8h5c Td9s8d6c3c Ah7d5h4s4c KdKc4h2s2h 
AcKc5d5c3s 8h7d5h5d4s Tc9h6s5h3s KsQsJc8s5h 
AcTs9c2h2d QhJd8h7c6h QhQdJh7s2s Jd9s9c6s4c 
Ks7c6c5d4d KdJs9d6h5d KdTs8d7s3d QcTd6d6c3d 
QhTh9c6h5h QsTc9c4s2c Kc7h7c5s3h AdQcTc6h3s 
Kc7h5s4c3h AcQs5c4h2d QdJsJd7h5d KdQd8s5h3s 
Kc5h5d4h4d Qh9h9c8d2c Tc9d8s8d3c KcQh9c4s2h 
Jd9h8d5s3h JdJc6c5d2s QdTc5s5c3d KcQcTc5h2h 
AdKh6c4s4h Td9h9d8s6c KcJc9s5d3h JcTc5h4h2s 
AdKd8d4c2c Ks8h6d5s3d Qs9d9c6d3s QsJdTh7h2d 
Tc9s9c8s3c JdThTc3s3c As9h7d2s2h KhQhTh5d2d 
Td9d8c7d4c KsQhJh7h5c Th9s6s5d4d QsTc9d6h3s 
KdTd9c8s3h AsKc6h6d3s QdTh5s4h2d Js9h8h7d6c 
AsJs9h8d2s KsKd8s4c3h Ts9c6d5c4d KsQhJs9c2d 
QhJh7h7c5c AcKhTd9d2d QdJhTs7c4s Jd9c8c7s6h 
AcJsJc9c6c KhKd9c7c3c JcTc6h4s3s Jc9d8c6s4s 
AdQdJd5d3s KcQd8h5c3h QhTc5s5c4s AsQcTh8d3h 
Ac7d5s5c3h Jh9h6d5c3c Ks8h7s5d3h JcTs9h9c4d 
Ad9d9c4c2s QhQd7s5d4d Tc7s6h6c4h QhJcTdTc4c 
Ac9s8s6c2c Ac7c6c5d4h Td9d9c4h3h Ts8s8d4s4d 
Qd9d8s5h4h AhKh9d9c4s QhJsTh9h2c AdKh6d4c2s 
KsTs9d8c2h QcTd9s6h3c KhJhJd7s3c As6s4d3d3c 
JhTs7h7d3d JhJc6h5c2s Td9h7d5d4h 9d9c7s7h5s 
9d8c7c6d3h JhTd7s4s3d QcJd8c5c3d QcTs9h8d3c 
QdJd9s6c2s Kd9d8s6h3s AhKd8h5h4h QsQcTs4h3s 
Qc7c6s5d3s KsKd9d2h2d KdQsQd5d2c KhTh5c4c3c 
JdTh7d6d5c JdJc9c4s2d AcQcJc5c3h QcJh7h4d3c 
Jc9s8c5h2s KcQcTd6h6c Ts8d6c5s5d JsJh8s5s2h 
9s9h8d7d4h QcTd9s8d5h JsTd7c4c3d QhJhTc7s3d 
JdTc6s4s3c KsTc7h6s3d QcJc8d6c5s AcKcQd8c3h 
TsTd8d7h3s Ad9d8c4d4c KsJh8s8d6c QdQcJs4h2c 
JdTd9s8c3h 9s7h7d5d3h QsTh6h5s2c Td9h7s7d6c 
AcQsQd5d2d Ac9c6h3s3h Ad9s9h8c4d Ac9d7d5c2c 
JsJhTh9h3d As9s6c3h3c KcJcTd4s2h AsKs7s6h2h 
KsTs9h5d4c QsJs9h6c2h AhQs8d6h2c AcKh7h5h3d 
KcQsJs7s5d Th9s8d7s2h JcTd8c6d2d Kh7c5d4d3h 
KsJdTh4d3c Kc8h7c5s3h KhTsTd8c6c QsJdTd7d4c 
Jc8h8d6c4h Qd9d8h6d4h KdJcTc9c5h AcJc8s6h3d 
KsKcJc7c2h JcTd7h6s6d ThTd7c4d3h KhJh9h8s6d 
Js7h7d5h5d Ac8h7d6d4h 9h9d8h8c6h JsJh9s4c2h 
KdTh7h6c3c Js9c8s6h4h KcJsJc6d4c Tc9d6s5d4s 
KcTc9h5d4s AcJh8h5d4s AhTd4h2s2d JhTsTc9h5d 
KsJd7c4c3s Ac6s6d4c2s AsQcTd8d2h AcKs6c4d2h 
Tc9c8d7c4d TdTc9s7c2d QhJs9s7c4c Kc8d7c5s5d 
KhJs8h8d5c AdJd9h9d4c KdQdQc5d2h Kd7d6h4h3s 
AhQhQc6h2d AhJd8d7c2c KdTc7s5d2c AsJs7c6c2c 
AdKh6h6c5h KcQdThTd3s Jh9h8c6d4d AdKcJs7h3s 
9s9h8c6h3s QhTd9s6c5s JdJc6s5h4d QcJd7d4s3c 
AhJc9d8h3h QsQc9s7d2d 9d7s7h5s3h QsTs6s5h4d 
Js9s8h7c4h JsTd7h4s3h 9s7d7c5c4s AdKd9s8h4d 
Kc8h7c5d3h AcJh9h7h5d KsQs6d6c5h AdKdJd7h2c 
JsTh6h4h3s 8d5s5h4h4d AsQsTs8s3h Qh6s6d4s4h 
Jh9s9c7s6d Ad7h5c2d2c QhThTc6s4h AcKh7d4h3s 
KsKd5c2h2c QcTs5c4h2s Jd9s8d5c3s AhJd5h5d2h 
Ts9c8c7h2s QsTc9d8h3s AsQd9h9d5c Td8h6c5d5c 
Ac9c8c7d4s QdTs8d6s2d KcQh5c3h2h QcTs8c5d4h 
AdJsJh7s4s JhTsTd4d4c KsTh7d5s2h QhTd8d7h2d 
QhJc9c5c2h Qs9s9d8d3c KcQcTc5s2s Jc9h9c8d7c 
KhQd7d6s5d KdTsTd5c3h JsJhTd9s5s KdJh5s4s2d 
JcTd6d4d3c KsKc9d5d3d KhTc8h6h5d JsTh8d8c6c 
Kc9s9d8c4d Qh9h8s6h4s QsTd5h5d3s QsTsTc5s2c 
AhKcTc8c2d Kd7s5d5c4s KcQd9c4d2h QdJcTh7h2c 
Kh7h6h5d3d KhQdTh9h3c KdQhTc3h2c KcJdTh6d2h 
AhKdJd7s3d QsJd8d4s4h Th7h6s5s4h KhJh9h8d6s 
6d6c5d5c4d KhTh7s6d2d JdJc8h7h3c KcQh8d6s4c 
KhTd8h6h5s KsQs6h4h2c KsTc8s6s5h QdJdTs6h6d 
AcTd7d5h3h QcJdTh7d4d Ks7c5d4s4d QdJdTd9c2h 
QcJc7h7c5h QcJsJc9h2d Qs8s8d6d4s QsTh9c8h5d 
KdJsJc9h5c Kd8c6c5s3d KdTc9s9d3h QdJd9h7s7c 
AhKcJd7s3d 7h7c6c5h3h KdTh9d9c2s JsJd5h4d4c 
Tc9d8c5d3s KsJcTd4s3s QhQdJd7c2c AcKc8c4s2s 
AdJc8c7s2s Ad6s4s4c3d AcJc9h9c4s AsQdJc9h2c 
KsTh7c5c3h Th9c6c5h3d Qs9d8d7c4s KdJcTh7h4h 
AdKh6s4h4c KsKc8s4d3h KsQs9h8d5c AcJh8d4s3c 
Jd8s8h6d4s QsQd5c3d2c KsKh9d6h2h AhJc9s8h2h 
KcJd8h7c2h KsQd8c5s3c KcQsJh9c3d Js8h6s6h5s 
QsTh8c4s2h QsTd9d3h2s AhJc3c2h2d AsJd9h8s3s 
8s8c7d4s4c KsJd8s8h6c JdTsTc9d3h AcKdQh8s3d 
QcTh5s5h3c QdQcTh9s4s QcTd6c5s2d Tc9h6s5s3c 
AhQs7s7d6c QcJsTh6h4h KhQd4s2h2d AhJdTd6d5c 
AcThTd9s4d QsThTd5d2h Kh7c6s4s3h JhJc8c5s4d 
Ac9c6s3s3d QsJh8s7c6s Tc9d8h8d3c KsJs9s8d6c 
QdJd9d8s4s AsKh8s5s4s Kh9d9c8h4d QdJdJc7s5d 
KcJh5s3s3c QsJhJc9s5s Jd9c8d7c3s QhJd7s5d3s 
AsKsJs7c2d QsTs9c3h2c AcKc7s4d4c AcQhTh4s4d 
Qc6s6h4h4c Ks9s9d6c2d Qs6d6c5d5c Jh8s8d6h4s 
QsTd7s4d4c JdTh8s6s2d QdJsTc7c2s 7c6c5h4h3c 
Jh9h7s6c3s KcJs9h7s5d AdKs5h2d2c QcTs9h6s6d 
Qh6s6d5s5d AsKcQc6h3c Ac7d5d4d2c Ad7c6d4s2c 
KdJd6c5s2c Ks9c8s8c5s Ad9s6s6h2d JdTs6s5h2d 
KhJc8d6c2h QsJhJd5s3s KcQs8c6c5d Jc8c7h6h4h 
KsJhJd9s5s KdQcJh9c5c QdQcTs9s5s QcTh8h7c2h 
Js9h6h5s5h KdQc9d4s2c JdTh9h5s4c Qh7s7h5s4d 
Ad9h8d4s2s AdQs9s8s7s AhTc6s5s4c Ad9s7d5d4h 
Ad9d6h3h3c 9h9c8d7s6s JhJcTh9h4d Kc8c6s5s2h 
AsKsTc5s2d Jh9c7c5d3d QdJh8d5d3h Qh7h6c5d3c 
KsJd9s5d2s KdJd6s6d4s KdQcJh4c3s KcJd8d8c2s 
QhQcJs7s5s As8d7s5s2d AhJs9s9d7s 9c7h7d6d4h 
KhJh9h7s7c AcKsQs9s3d AdKd8d6d5c QdTs5c4s2d 
AhJc9s9c7c AcQcJd5c3c AsJh8h7c6h 9h8d6h5c3c 
AdKs7c5h4h QdQcJd8d4h JdThTc7s5s JhTc7s5h2c 
QhTs6s5d2h AhKh9h5c4s KdQs9s4d3d Kd8d7d7c5c 
AdQs9s9h5c JcTd7s4s3d QhTc7s4h3c AhKsJs7c3s 
JhTd6h6c3d JdTsTh8c4h Th9h9c5c3c AhQcJs4d3s 
AdQd8s8d5d QhJh9s9d7h AsQh4c3s3d AdJs8c7s3c 
AhKs7c4s3d AdKdQc6d2h AcJd8s3s2c JhTh8h7c2c 
KcJh9h8s4s AsQdTc4d3h QsTh5c4h2s Td9d9c7d6h 
AsKh9d9c4s Tc9d7s6c5h QcTsTc6c4d Kc8d5h5c4h 
Kc7c6d4d3h Ad9s8d4h2h QdJs6h4s4h KsKcJd8h3d 
JcTd7h4c3h KsKd4h2h2c QcJcTc9s2d AcKdJc3c2s 
JdJcTs4d3h KhQh9c7h4c Ac8h7c6h3c JsTs9c8h3d 
AdKc7h6c2h AdKdQh6d2c Jh8c7h6h6c Js9d8s7d3c 
JdTh7s6h6c Jd7h7d6s5s Ad8c7d5d2c KhKcTd5s2s 
AhKs5c2h2d JdTc9h8h5s 8c7d7c6c4d QdTc7d4s4c 
JdJc6d5s2c QhQcTc4d3c KdQc8h5d3h Ks8c5d4s4c 
Ts9h6s6h5h Ah8h7s6h6d JsJh7d6h3d KcJh7d4d3c 
AsJh5s4h2s AhKd6s4d4c AsKcQh5d2h Qd9h9c5h3d 
KsQc5h4h2c AcJc8h3s2s AdJsTs6s5c KdQd9h7h3h 
QsQh7h6h2s AhKhJh5h3d As9h8s3h2d KsQhJd4h3c 
Ac6c4d3h3d AhQc8s5s2c JcTd7c6c5s AcKs7h4s3d 
Kd8c7c5s3d Ac7s6c4d2s KdKcTh5h2h 9s9d8d6d4s 
KsTd8s8c2c QsTsTc5d2d AhKdJs8h2h Js9d8s6h4h 
Qh8d7c6d4c AdTsTh9c4s Qd9d8c7d6h Ac6s4c3s3d 
JcTc8c7s2s KdQdTd9c3h 8c5s5d4s4c QsJh7h4c3s 
Kc6h6c4h4c AhKhTh8h5h AsQd8h5h2d JsTs6c5c3s 
Ac7d6h4c2d JsTd5s5d3s AdKd9s9c4h AdTd9s4c2h 
KcTs7d5c2s AsTc6d5d4c Kc7h7d4h4c AsJd9c8s2s 
Qs7s7d6h4h AdJc9d8d2h Kd7s6s5h4h Jd6s6h5s5h 
Th8h6s6d4s Qd8s6h5s4h AdQdTc5d2s QhQdJs7s5s 
QsTh5d4h2s QdTh9c8s3d Kc9h9d8c4d JcTs8c7s2c 
9c8s6s5s5c KhQc6s4s3c AcQh6c5s5c KsQs9s6c5h 
KsJcTd4c3h Qs8h6s6d4d 9s9h7d7c5c QcJc8s7d6c 
AhJhJc6h5h KcJs7d5s3d Ah8s8h7c3d AsJhTd8c3c 
KhQd9s7d4s AsKcJh7d3h Ad7c5h2h2d Tc9s8c6h3h 
KsTh7h6c3c Js7s7c6h5h KsQs6h6c5d AcJs9c8c2h 
JsTs9h8c3d KhQh9d6c2c Qc9h9d5h3c JsJdTc9h2c 
AcKsTd7h3d KhQdJs9s6s As9d8s3d2c QsJsJd7s5h 
AdKhJc4h2s KhJd5c4c2h ThTd9s9c4c KdJcTs6h5h 
QsJcTc6h3d QcTh9s6d3c AhQdTs4d3c QsTc8s8d2d 
Jd8d7s6s4s Tc8d6h5h5c QhTh8h7h6d QcJsJh9c5c 
AhTd9s2h2c JcTh9s9c4d KhKd6s4c3c QdJcTc9c4s 
JcTs8s7h5s KcJsJh9d5s AdJd8h3s2s Js9s7d6c4c 
AcQhJs4s4d KdTd9c6s6h QcJcTd6h6c JhJdTc9d4d 
KsJsTs7d4s Kd9c8c5h5d QcJh9d5c4s KcQc6s6h5d 
6s6d5s5h3d KdQh9c7h4c Kd8s6s5h3d QcJdTd9h2d 
AsTh7d4h4d QhJc9h6h5s Ad8h6c5d3s QdJh9s9h4s 
8d7h6h6d5h Td8s6h5h5d Ah9h8c5d2s AsJdTc4s2s 
Td9h8s6h3s AhJc8c7d6c Qs9s9c8d2c KsQdJd7d5c 
Tc9h8d8c4d 9h8c7c6h4c AdKc7s6d2h AhTh8h4d2d 
AhTh9d6s4h QcTs9c3h2s AdKdTd7c3d QcJh9h7d4d 
AhJcTc6c5d AsQhJc9d2c Jd9c7c5s3s QhJh7c5c3c 
AdKh9h8c3s AdJh8h7s7h QhJhTs8c2d KdQc9d4h3h 
KdJc7h4h3d Th9s7c5c3h 9h9d8c7c4d AcJhTs4d3s 
KsJd8s8c6h JdTc8s8h6s KhKd6h4h2s AcKcQh8c3d 
AhKh8h4c3c KcJhTh9h2s Ac7h6s4c2h AsJdTd5d5c 
KhQsTc3s2c Ks8s6d5d3h QhJs6c4s4c AsQhTc4h4d 
KsTs7d6s6h AhKhJh9h4c AdJh8h7c2c JcTc6h4d3d 
QcTd6d5c2s KsJdTs7s3c KsTs8d5c4h KcJsTd7d4d 
Td9s6h5s3h KdJdJc7d4s AcJd9d7d5h KhTc9d5h4s 
Qc7s7c5s4h Ks8s7s7d5d AcQc9c5h2h Jh9s5s5h4c 
KhQdJc5s5h As9s9d6h5s AsQdJh9c3h QdJs8s4d3c 
QcJd9d5d2c AsKc4s3h3d KdQh8d6d5c JhTd8s5c4c 
QdJdTs7c3h KdQc8h7h6s KdQc7c6s5c AsQh8h3s2h 
Qh9s9h8s3d 8s8h7d7c6d KsJh6s4h3s JsTc9h3h2s 
9h8h7d5h4d AcKh9d6h2d Ks7d6d5c4c KdJd9h9d4h 
JsJdTh6s3c Kh9h6s5h4s QdJsTs9h4s AdTh8d7d2s 
Qs8s6s6c5c AhKh8h4c2c KdTh9s3d2h Tc8d6d4s4c 
Ts9d8c5d4c QdTh6c5h3c AdKdTh5d2c KsJc8d7d3s 
Jd9h5h5d4s ThTd8c7d3h KsJd8d4s3h KdKc6d4d2s 
Kc7d6c5d5c AhQhTh7s2c AhQcTc7c4c Th9h6s5s3c 
AhKhQh7h6h Jc9c8h6s4s AcKcJc7h2s Ts9s8h6c2h 
AsTdTc9h4c Ts8c7d7c5d AdQc7s5d3d Kd8s8c7h7c 
Qs9h7c5h3s AhKcJd4c2s QdJs9h9c7s QdJs8s5h3h 
Ah9d6d6c2h AcJd7h3c2d Jh9d8h5c2d QcJc5s4s2h 
AdJs3s3c2d AhQdJs9c3s JcTd8h6s6c JhJd6s6c5h 
AdTh5d4s3c Qs7d6d5s3c JhJcTs9h4h KsKhQh9h4h 
QcThTc6c4d Td9c7h5h3d QhJcTc6s3d Qc7d7c6d4h 
Kc5s5h4s4h TsTh9d7h5c AhKcJc4s4c JdTd6h5h3d 
QdTc5s4c2d JsTs5c4c2h KsTc7h6s4s Td9s9d8s3d 
QsTc9h6d5d QsJc8c4s3d KsQsTc6s5s Qd8d6d6c5c 
AdQsJc9s4s Tc9s6s6c3d Qs9h6s5s5h KsJh8s7d5s 
AhKcQc5c2d KdQhTc9d2d KhTc8h5c3c JcTh7s4c3s 
Kc9s7c6c4s Kd7d6c4h3c Ac8h7h4h2c AhQdJs4c3s 
8h8c6c5h3h KdQc5d3c2c QsJc8d5s4h Ah6h5c2d2c 
JsTd9h2h2d KsQsTd9s5c AcTd7s4s4d QcJsTs7s4d 
9h9d8s7s4h AdQsJh4h4c JcTc9h4h4c As9c8s4d2d 
KsQc9s4d3d AcKh7s5d4d AcJhJd7d4d AhQdThTdTc 
JsJhTc8h3d Td9s8d5s4d KdTd9s5s2d JsTs5d4d2h 
JsThTd5s3c Ts9c6s6c5c QcJhTc7s4c JdTs7d7c3c 
JhJc5s4h4d JcTc5s4s2h KsJh9s6c5s KdTd8c5s2c 
Kh7s6h4d3s KhJh9d5c3s AdKdQh8d3c QdThTc9d4s 
JhJc9h4s2c KdQc8s5d3s QcJdTd9d4s Ts9h8s6c3h 
QdJd9h8h2d JsJc8h5h2c Jh9c8h7c3s JdJc8d5c2c 
Kc7c6h4h3s QhJhTd6s6h As6h6c4s2h QhTc9c3s2h 
KcQhJd9h5h QsQcJd7d5d 9d9c8h8d6d AdKh8s3d2s 
AhKdQd9d2c AsQcJc5h5c KhTd9h5c4s AhKhJs7h2c 
AhTs9c2h2d AcTd8h7d4d KcQs5c2s2d KsQhQd3s2c 
Ts8s6d6c4c QsJc6h4h4c Qc9c8s5h4h 9s7h7c5c4s 
QsQc7c4s2d KsKc9c2d2c Jc9d8c5s3s AsJc8h7c3h 
KsTc9d3s2c AdKcJc7s2h 8h5s5c4s4h AsQsQh5s2s 
JhTsTc6d4h AhQcJh5h3h AsQh7c5h5d AhKcJc7d2s 
QhJcTc7s3d JsJh8s5h2h 8d8c6h5c2d JdTc7s6h6c 
JdTs7h4d3h AsKs9d8s6s KhTsTc9d2h KcJsTc7c5c 
9s7c6d5d5c Js9c8h7s7d AcQhJc5c3c Qc9d8d7s4c 
KcQcTh6c5c KcJcTc7d4c Ac7s6c4h2s QcTd8c5s4h 
QdTc9s4s3c KsQdTh9s2s AcJc9c5d4h KhQcTd3c2d 
KhJh8c5s2s KsTs9h8d2c KdJsJd6h4d Kc7s7c6s4c 
QsQdTh5c3h JhJd5h4s3s 8d7s6h5c4h KhKc8c4s3d 
KhKd6c4s3s Tc8d7h6d3c JsTs8h6s5c KcJh8s6h2c 
KdTc7c6s3s JsTc9s6c2s KcQh8s7c2h QhJd9h7c2d 
AcKcQs6c2h Kc9h8c6h2s AhQdQc5d2d AcJs5d2d2c 
QsJs8s8d7h AcJh8c6s4c KhJd8s6h3s AdTsTc7s4h 
JdJc7h6d3h QhJsTs6d3c 8d6h6d5h4s AhJsTc8s3s 
KhQd9s8h2s KcQc7h4h3d KhKdJh7h2c QhTc9s8d3h 
JhTs6s5d2h AcQhJh5s5h AcJs3s3d2c KsTc8s7c3s 
QhJcTc9c4s AhKs7c6c5c AcKd5s2h2c AsTc8s2s2c 
7s6s6d5h4h 8s8h6d5h3s QhTh9d3c2d Qh9d8c6c3h 
KcJdTh4s2c TsTc9h7s5d Tc9s9h8c3s QdTd6d5h4s 
AcQd8d6s4h JsTd8s7d2s QcJsTd7h4d AsJc8c7h7c 
AcKd7h6d2h Td9s7c6d5h 8s8d7s7d3s JsJdTc5h3c 
QsTs8h8d3h Ks7h5s5d4h KsQh7h6d5h KdJh8s7s3d 
Tc9d8s6d3s Kd8h8d5h4d 9c7d6s5s5d QdTh8h4c2d 
9s9h8d7d4s JhThTc3c2c QsQcTd5d3h AcKsTs8s2d 
9c7c6c5h3h JsJd9d7s2s KhJh6h6d4d Ks7c6d4d3s 
KsTh8s5h3h QcTs9d6h5d AhKc7d6c2d Js7d6s5c4c 
Th9d8c6c2h QdJd9d8h4h QhJc8c4h3d Td9s9d8s3s 
AdTc7s4s4c AcTh7d3s3c JcTs7h5c2s AhKc7s6c2s 
AcJh8h7h7d Tc9c8d7s7h KcQh5c2s2h KdQh4d3c2h 
KdJhTh7c3s KcQd4h4d2c KhJs9d8d3s Js9s8c6d4d 
KdQs9d4c3c KhJs9s8d4d Ad8h7h4h2d JdThTc5d3s 
KdQcTs9d5d Th9d6d5h3c Jc8s8d6c4d QcTh6h5d2c 
AhQs7c4h2c Jc8h6h6c5c Tc9d6d5c3s 9s7s6c5s3c 
KhJhTh7d4h AdQhJs9c2s KhQsJc8c5d Kh6c5c4h4c 
Kc7s7h5c3s As8s8h7c3d AsKsJh7s2c AsJc8h7h7d 
JcTsTd4s4h AsJcTd4h4c KcJh8s7h7d KsTd8s7h5s 
JsThTd6c4s AcQc6h5s5c QsJd9s5c2c Qc9d8c7s6c 
Ah7c4h3d3c QsJsTh7d3c JsThTc3d3c Ts9s7h7c4c 
QcTd6d5h2c Ks8h7c6s3h Qd8h7c6h4c AdKdQs6d2c 
AhTs7c3h3d Ad9d8h4h2h AsKdQd5d2c QhJsTc7c2s 
QcJc8h6c5d Ks9s7h7c6d Js9s8d5d4d JsThTc9d5h 
Kc8s6d5d3c Th7s7h4s4d AsQs5s5c4d QsTd9c6h6d 
8d8c6s5d3c QcJsTh7h2s QsQcTd7d5d Ah8h8c7s2d 
AcJs4s4c3c Kc7s6s5d4d QhTd8h7s3s KhQsJd5c3d 
JsJhTc9s4s JcTsTc6c4h JsJdTh7s3c QhJsTs8s4d 
AsTh9h8d5h Jd9h8h7s6c KcTs8c5h3h Kc8h7c6c5d 
Ks7d7c6c3s JcTs9d9c4h 9s9c8h6d6c AdTh8h7c2c 
Ts9s9c8h6d Jh9h6s5d3d JsTd9s9c4h Tc9d8c6h3d 
KcJcTc7d2d Jh9s8d5s4d 9s9c8c7s4d KsTsTc5d3h 
JcTs8h6h2c QcJh9c6c5s KcQhJd5s3d KcJs5h4h2c 
AcKdJh4s4h QsQcJd6h3d AcJc9c5h4d Td9s8s7s6s 
QsJdTd8d4h KhJh6c5h3c Qs9s8h5c4c Ah9c8d7d4c 
9h8d7d6h4d QhJsJc9h5h KdTdTc5h3s AhKcJd4s4d 
AdTc8s7d3d KsQs9s8d8c JsTh8h7d2d QsTc7c4s3d 
QhTc7c4h3d QdJc7c4h3d 9c8d7s6h5h JhJdTc4h3s 
AcQh9s9d3c Qd7s7d6s4h KhJc8d6h3d QhQcTs7d5d 
QsJsTc7h3d QdTc9c4d2c ThTc7s4c3h KcTd7h5h3d 
AcQd9c5c4h QdQcJh4s2d AcJh3h3d2c Js9s7c6c3h 
As9c8h8d2s KhKc6s4d3d KdTd7s6c2s Ad5d4c3h2c 
As9s9h6d5s Ah7h7d4s2s Ah9s7h5h4d KhTs9d3h2s 
