KsQh9h4h3c 
9c8c7h3h2d KsQdTs7s2s QcTc8c6c2c 5s5c4h3h2c 
Qs5d5c3d2s 9c8c6d4h4c Td9s7h5c2d Th6c5s4h4d 
Qc8s6d5d2h 9s8h6c4c3d AhKc9d5d2d AdJd3s3d2h 
KdJs7s4s3h Jh8c4s4c2h KsJc9c8c2c Jd7s5d4d4c 
Jh7c6h4d3s Jd7c6h4d3s Kh9d8c6s3d Kc9d8s8c4c 
KhTc6s5s2d 9s9d5s5c2s Ks9h4c3h2s AhJsJd6s2s 
TsTh9d4d2d Jh9h7d4h2d Jc9d7s2s2d QhTc6d5c2c 
KdJs7s7c3h Ts8c6d4h3c Tc8h4c3s2h 8s8c7d4h3s 
Ks8c6h6d4c QhJc9c4c2d Ts9d4s3d2d Ad9c5s5d2d 
8c7d6c3h2d AdJc9h4c2s Td9d8d4c3h AsTd9d6d2c 
AdJd3d3c2s As6d5d5c4d QsJs9h4s2c Kc4s3h3c2s 
KsKd8d3d2d Qh7d7c5s3h Ks6s5c4s3s Ad9d4h3h2d 
Kc9s9h5s4s 7d6d4h3s3d Js9s7d4c3s QhJsJc7h2h 
JhTs7d4d2c AhQs7s3d3c 9s8s7h3d2d QsQh7c4d3d 
7h6c4d3c2d Jc5h4c3h2s 6h6d5h4s2h 9s8h5s4d4c 
8s8d4c3d2s 9s9c7h2s2d Kd9c8s7d2d 8c7d7c3h3c 
9d5s4s3s3d JsJd7h4c3c 7h6s4s4h2s KhTd8c5s3c 
Qh9s4s3h2d Js9c8c7c3h Ac9h8d6s3h Kd5s5c4d2h 
Tc7c5s4h3c 9h9c5s4s3s ThTd6h5h2c As9h8d8c2h 
9c8c7h3d2d 9h7s6c5c2c Qs9d9c3d2c QsJs9s4h2d 
9h8h5h3d2d AcTsTd6d2d Qs7h6s4s3d QsTs9s7s2h 
9h8h7c3s2c Kc5s4s4h2h QsTd5h3h3c Qs9s7c4h2h 
7c6h6c4c3d Qh9s8c6d3d AsTh4s3s2d KcQs6c3d3c 
QcTs5h4s2s Kd9c5h4d2s QsJd9d7d2c KcQsJs8s2s 
9s8c6c5c2c Qc6s5h4c2d Qs8c5c4d4c Kh6h4c2h2c 
Kc8d7d3c2s Th8s4s4c2c 9s6h5d5c3h AcQh7d4d3s 
KsTs8d3h3c Qs8c6h3s2c 8s7c6h6c3c Js8s8c5s2d 
Qh7s5s3h2c Kh9c8h5s2h Tc8d7s6d2h Tc8c5c4h4d 
QhTs8c4c2d Ah7d6c4d2c QdJs9s7s2h 9d8h4h4d2c 
QcJd7d4h4d Qd9c8h5s3s 7s5s4s3h2h KsJs6d6c3s 
9d8d7d5h2c Js9d5d4c3h As8d8c7d2h Jc7d6c4d2s 
JsJh7c4d3d AdJc8h6s3s Qh9c7d6c3c Ts8d6h4c3c 
5c4s4c3h2h Jc9d6s6h4d JhTs6c5s2s AsTc9c6c2h 
AsQc8h3d3c Kc6h4d3s3c 7d6d4c3s2c Ts9d6c5h2c 
JdTc7s4s2h Jh5c4c3h3c Jc9s8s7s2h AhTs9s5s2d 
AdTs9h4h2c Js7d5d5c4d Jc9d6d3c2d KsQs8s7h2c 
9h8h6d4s4h Qc9s8h6h3h Td8h8c7s3d KcTs6s4h2d 
QdTc7d6d2h QhJh8d5h2h Jd9s8s7h2s AcKc8c3d2s 
Qd9s9h5d2d Ts9h7c3d3c Ah6s5s5d4s Th7s7c4d3s 
Ks8d6c4h2s QcTh7s3d3c Qs8h6s4c2d Tc9d5c4s3c 
QdJd7c3h2c Jd9s8c7s2s QdJsJc7d2d QhQd5d3d2d 
Ts8d5c3d2s KdJc8s6h2c Ah9s8d6c3s KhJs9h4h4d 
QhQc6h3s2h Qh9d5s3d2s 9s9h4d3h2s 9d8c6d4h4d 
KhJh7h4s3h Kh7s4c3s2h AhJs9s5s2s 8c7s6s4d2h 
KdTc6c5h2c KdJs4c3d2h 8s7h5s4d2c Qh7d6d6c4d 
Jc6s6h5h4d Jd9h6h2h2d Th9h5h5c4h KdQh8d5c2d 
Kc8s8d7h2c KsTc7s4s2h Js9d4c2s2c KdJh9s5c2c 
KsJc8c5c2d QsJd9d6h2d AhQs4c3d2s KhTs7c3s2c 
9h8s7c3c2h JcTh6s5h2h Td8c7s6c2h AcKc8d3s2c 
6s6h5h4c2h KdTh9s2h2c KcThTd5h2h QsJh9h6c2h 
9c8s5d3h3d Qc9c8d6c3c Kc9c6h4s2d QsJc9h6d2d 
Th8h6h6c3d Td8s8h7c3d AhTd8d3s3d AsQs9s7s2c 
QsQc7h6d2h Jc8d4h4d2c KdTs6s5s3s Jd6s6h5s4c 
Td8c6h4s3h Jc9h6s6d4d 8h8c7h4s3d Ah8d7s6c3d 
AhTs9d4d2c JsJc9c7c2c Qs9d9c6d2h Qs5d5c3c2s 
AdQh7s4s3c AdQc5c3c2s AsTd8c4c2c KhJd8d5d2s 
Qc9h5s3h2s Kd7c6s6c4c 8s7s7d3s3h 7d6h4c3c2h 
Jc8s8c5c2h AsKc8c3h2d Jd9d6d4s2s Qc9c7h4s2s 
KsTh8h4c3d As9s6s5s3h 4h4c3d2d2c Qs9d6s6h3s 
KhTh8h7c2h QdTd6d3s3h Th7s5c4c3d QcJh8c7c3d 
QcTd8c4c3c Qd7d5h4d3s JsJh9h7h2h KcTh8h5s3h 
Kd7s5d4c2h KdQd9d7d3s Th7s7h4h2s AdJh5c3d2d 
9c8s8d7h3d Jh7d6h4c2c Ah8d7d7c3d Ah9d6s6d4c 
Th7d5d5c2c 9d6h5s4h2c 9h7s6c3d3c 9h8h7h6d3h 
Js8s8h7d3c Kh6d4s3h3c KcQc7d5c2h Qd9d7h6c2s 
Kd3h3d2h2d KcQh7s6c2c 9s8h6h5h2h Jd9c7d3c2d 
Qh9h8h7d3s 6h5c3d3c2d Ks9s7s4h3c KsQc9s2h2d 
QsJd8c7s3s 9d7s7d3c2c Ac7d5h2h2d Ks6d4h3s3c 
Jh9d7s7c3d Qd8d6h6d4d Ac6h5c3s2c KhJd8s2s2d 
Td7c4d4c2h AsJs3s3d2c Jh8s4s4h3h QdTh5h3s3c 
Jd8s6s5h2c Kc7h6s6c2d Kh8h7c3c2s 7h6c4d3d2c 
7c6d6c3h2h 9s9d4h3d2s Kc9s5s5d2d Qs9h5d5c4d 
Qd6h4c2d2c Qc9s9d7h4h Ac9s5c4d2c AsJs3s3h2c 
Ks8h7d7c3s KcTd4c3h2s Qc6s4s3c2h 9c7h6d5s2d 
Tc8h8c7c3d Td9d8h4d3c Td7s7h4c3h Js7c6s4h3d 
Qs9s7d5h2c Jc8d6d5d3s KdJh7s7d2c Ad9s8d3d2h 
AdKh8h3s2c Ks9c8h5s2s Jc9s5c4c3d Ks8s6d5h2s 
JsTh5s2d2c Td8c7s7c3h Kd9d8h8d3s Jh7d6h4d2c 
Js7h7d6h2d Jd9d7d5d3d KdQd9s8d4d Ah7s5d5c3c 
Qd9d8d7s3c Jh7d5h4s4h Kd6d3s3c2c KsQs8s7d2h 
6s5c3s2h2c Qs8s6d3h2d Qs7d6c3d3c KdQd7c5s2d 
Tc8s5d3s2c Th6h4c3h3c Js9h7h3s2s Jh9c6h4d3s 
Ts8s6s6d3h Qs8h7d6s2c Qs8d7d7c4h 9s9d5d5c2d 
Ac7c6d4s2c QsJc7c4d4c Qc9d4d3s2c Qd9c8s8c2h 
KdQc6h3d2s Js7c5h4s3s Ts7d7c4h3c Kh7d6d6c4d 
KhTs4h3c2d Qc9h7c3d2h AhJs6c4s3d Js6h6d4h2s 
9d7c6d3h2h Td6d5s3c2s QsJd7d4d4c 6s6h4d3d2s 
Ad8h7s6c3h AcJh4c2d2c Td9c6d4s2h 9s8d6s6c3s 
QhJh8s6h2h AdKc8c3s2h Kd8d6s5h2d Qc5c4h3h2c 
Ah6d5h3s2h 9d7h6s5c2s Kd8c7h3d2c KsTc9d4h4d 
KsJd7s7h2c Ah7h6c4s2h Qh6s5h3s2h Kd6d6c4h3d 
Kc9d6c4c3s Qc7s5h5d4s 8c7d6h4c2s TdTc8d5d3d 
Jc9c7h4s3c Jh6h5c2s2c Kh7c5d4s3d KsQd9h8c2h 
KdJc7d6d2s Qc8h6s5c2c Td7c5h5c4c KsJc8h5d3d 
Qh9h8h7s3c AhTd9d6d2s Ts8h5s3c2h Kd9s9c6c4c 
QhTh8h7s2h Jd9s7d4s2d 9h6c4h4c2s 9h9c5c2s2d 
AhJc8c6c3d Qc9d7c3h2d Qh9d5s3h3c QhTs6d4c2d 
Jc9c7h4h2c 9h8c6c4s4c AcTd5d4d3h QhTs4h3h3c 
AcJs7s5d2s Ks8d8c7h2s Kd9d7d4s3h Jh9d8s8c4d 
Qc9h8d6s3s 8s7s6h4c2d Kc8d7c3d2s Ks7s6c3h3d 
QcJs5h5d2s Ah9s4h3s2h Ts9c6s4h2d KcTs9d4h2d 
Qh9c4c3s2h ThTc6s5d2h Kd8h7c3h2d Js8s6h5c2s 
KhJdJc3s2s QdJs8h6h3h 6h5s3h2s2d Ac4s4h3d2c 
9s8s7c5d2s Qs9c7d6c3c Tc9h7h3s3d KhTs8s5s3d 
Th9h8h4s3d 8d6h6c3h2c Js7d6h4s3c Qs9s8d6s3s 
Qd9d5h5d4s Ad7h6s4s2h Ac7s6s4s4d QdJs8c6c3c 
AhTc9c4d2c KdQs9s4s3h ThTd7s3d2s Th9c7h5d2s 
7s5d4c2s2d Kd9h7s5s3s 6d5c3d2s2c Js9d8d8c4d 
Kh9s8d5s4s AhJs9c4s2d Qs9h8d6c3c Tc9h4h3s2s 
Jc9s5s4h3s Jh5s4h3s2d Qh7d6s6c3h 7s6h6d5c2d 
Kd9c8c7s4c 8s7d5h3h3c 8s7d5d3h2s Qh9h7s6c2d 
Qs7c5d2s2d KsJh9h4d2c Qs9s7h5d2c Jh8d6c5s3d 
JcTc4h3s2d Qd6c4h2d2c Kd7h4h2d2c AcJc8s3h2c 
Tc7c5c4s4h 7s6s6c4s3d 7s5h5c4d3c JsTh5s3s2c 
7c6s6c4c3d Qc7s7d5h3c Jd5h4s4h2d AhQdTsThTc 
Jc8s4s4h2c Ks7s6s6d4s KsTdTc5d2d 9c5c4d3d2s 
AhQc8c6c2c 7h6h4c3s2c Jd9s4d3c2s Ts6s5c3h2h 
Ks4h3s3c2h Ks9d7c5c3c TdTc6h5s2d Ah9s6s6d4c 
JcTs5c3h2c Qc8h6d5c2c QdJd7h3c2h AhKd9s5s2s 
Qc9h6d6c3c QsQh9h4h2h 8c7d6s6d3d AsJc4h3s2s 
AdTc7s5c2h Kh7s5h2s2h AcJs6s6h3d KhJc8h4d3h 
Tc7c5s5d2s Th9s4h2s2h Qd8h5d4d4c 8c6s6d5s2s 
AdJh8c3d2d 9s7h6c3s2h Kh9h8d3d2h Td9c5s3h3d 
Kc8h7d3c2h JhTd8s3d2c 7h7d5d4d2s 8c6s5h5d3h 
As6h3s2s2h 8s7h5d3h3c KhJd9d7s2d Qd9s5c3h3d 
Ah9h7h5c2h Jc6d4h3h3c Jc9d8s7d2d Ac6c4c3h3d 
9h6s4s4h2d Qs9d8h6c3c Jd7s4s3s3d Jh8d6s3s3d 
AhKc9d4s3d KhTdTc3h2h Th8d7c6s2d Th8c6h5s2h 
Qd8s4s4h3d 8s7h5s5c3s Kh6s4d3h3c Td9h7s3s3c 
QcJc7s4c3d Kc8s4d2s2c KcTh8d4s3h Ts6d4s4h2h 
Qh5s5d4s2d Jc5s4c3s2d Ts8s7s6c2h QcJc9h4c2d 
KhQh7s5d2h Js9s7c4s2c Kh8d7c3h2d KdQs9h8c2h 
Qs7s5s5c4h Qd8c6h3h3c KdQd4d3s3h KdJc9c4h2s 
Kc9s8h4d4c 8h7s7h3s2d Js9d8s6s2c Kh7s6h6d2c 
9c8c7c5d2s JcTs5h3h2d QdTh5s3s3c 9h9d5s5h2h 
Jc9h5h4s4h KcTh9h4s4h Ts6d5d2s2c Th6s5h5c3d 
JcTh4d3s2c QsJs7h6d2c 8s6h6d5c2s AdTh8c4c2c 
QdTd6c3h2s TsTd7h5d2c Td6d5c4d3s AdJc8s6h3h 
Qh9c6h4h4d Td7h6s2s2d KhTc9s3d2c Kh7c5s5c2s 
Kh6h5h5d4h 9h8h7c3s2s Ks9s8s8h3c Ts9s7s7c2d 
Jd7c6d4c2h Jh9d8c7d2d AhJs8s6s2d KdTh4c3h2c 
KhJs7h6h2d As9s7s5d2s 9d8d6h3h2h AhKs8s3d2c 
Kd9h5s5h2s ThTc5s2d2c Jh5d4d4c2h KcQc4s2h2d 
Qd9h7d3s2h 8h7d6s4c2d Th7c5s4s3d Td9d5s5c4d 
Qd9h9c3c2h Qc9d8d6s3d Qc8d7s2s2c KhJc9h4h2d 
Kh9d5d5c2c AdJs7c3c2s Kd9h8s4d4c Kh9d8s4h4c 
QsTh7s6s2c Tc8d6h4s2h Kd9d7s7c3d Qh9c6d6c4c 
Js7d7c4s2c Ks6h5h4d4c AhJd9d3d3c Ac9h8h5d2s 
KcTd6h3c2s AdTc4d3d2s AsJh7h5c2h KsQd8s5h2s 
Ah6s5c3c2s KcJh8h7h3s QsTs8d4s3s Qc9d5h3s3c 
QdJh8d4c3d As9d8s3s2c JhJd6c4c3c QhTs5s3d3c 
Qc9c5d5c4h QcTc8c7h2c Js8s7d4s2d Ks9c8d7s2s 
Th6d4s4h2s KsQh7c6d2h Kd7d5s2s2d Jh9c8d7c2c 
9s9d8s7c2s 7d6c4c3s2d AhJs6c2s2c KdThTc3d2d 
9c5c4h3h2s TsTh9c4c2c Ts8s7h6s2d AhTh9h3s2h 
AdKd7s7d2d 5s5d4d3s2h 7d6s6d3h2h Qc9h8s6h2h 
KsTs7s4c2d Jd8d8c5s2d Jc5s4s4h2c Jd8h6c5d2d 
Js8d8c5h2s 9s7h6s3c2c Kd9h5s4d2c AsJd8c4c3c 
Qh7s5s5h2h AhQd7s4c3c Ts6c5h2s2c Ts9s8d4s3c 
Kd8s8h7h4h Ks9d9c5h4h AcKs9d4h4d Kh9s5s5d2d 
Qs7h5d5c4h 4s4d3h2h2d Ts6d5c4s4h Jh7c6h4c2d 
Js9h8h7h2d KcQs6h6d2c Kh4h4d2s2c AcJh9d3s3d 
KhQd7c4d3d 9s8d6h6d2c Qs9h6s5d2s Ah8h7s7h2h 
Td8d6h4c2s 9h6c5h3s3d 8h5c4c3h3c 9d5d4h3h2s 
AsTd9d5d2h 8s7c4c3s3c Tc9d6c4h2s QhTs7h4c2d 
Ks9s8s7h4s 8s7h4c2s2c Qc6d5h4h3s 7s6c4s4c2c 
KsQc6d3s2h 9s9c6h4h3d QsJh8c4h2d ThTd7d4d3d 
8h7c6s4h2d Td9h6c4d2s 9h8s6h3s2h KdTd4d4c3h 
Qs7d5s5d2d Kd8h7d3h2s QcJh7c3h2c KhQc9s8s2d 
AdQc4s3h2c 9d6s5d5c3d Qd9s8s4c2c 9d6c5d3s3h 
8s8c7c5c2h Ks8s7s5h2c Kh9d8h3d2h Ac9s8d3c2c 
Tc8s8c7c3h Kc7h4s3s2c As9s4c2s2c Js9d8d7c2d 
KsJs6s4h2c Kh9s7s7d3c 9h8c7h6h3h Qs8s7c2h2c 
Qc9s7c3h2s 8d7s7h5c2d Kd9s7h5h3h QdJd7c4s3d 
Qh9d5h4s3h QsThTc3d2d Js6d5c4c3h 9h8s7s5s3s 
Jc7s6c4d2d Ts8s8h7s3d KhTs4d3d2s Jc6s6d5h3c 
8d7s7d3s2h 9h5c4d3d3c QhTh7s6c2h Ac9d8d6d3s 
JcTc5s4c2c AsJh4s2s2d Qc9h4h4c2s TdTc8s4c2c 
Js8h6d5s2s AdJd4s3d2h AhKc9s4d3s KdQcTd7d2d 
Jd6h5d2s2h JhJd7c4c3c QcJh9d6s2s Kh8c7h3h3c 
Th8s7d4c3h Js8h7d6h3c 9s9h5s2s2c KhJh8c5h3h 
Jh9c6s6d4d Th9d6h4s2c Kh8d6d6c4d KsJc9c8c3c 
Kh7s7c5h2d AhTs8s3s3d Js8c6c5h2d Ts6s4c3s3c 
Ks8d7c3d2s Ac9s4h4c2d Qc9d6h6c3c Ts7c6s2h2c 
Qd9s6d5h2d 8d7s5h5c3h Th9c8d4s3s Td9h8h4c2s 
AsJd7h6c3h Jc7s6h5s3s Tc8c6h5c2s AdJs8h6c3c 
Qs8s7d7c4s Kc7h7c3d2h 9s9c8s7h2s Jc7s5s5d4s 
AdTd8d5d2d KcJs5d4s2s Tc8c6c4d2h Ac9c8c3d3c 
Qh9h7c2d2c KdJd6d4s2c QsQdQcTd7s Qh8s7s7c4d 
Jc7s6h4c3d Qc6h4s2s2c AcTc8c5c2c Kd7d4h3c2c 
Tc8d7h7d3s Qd8s5d4h2c KcQd8d5h3d Js8h4s4h3s 
9c6s5s3h3d Qs9d8c6h2c Jd5h4h3h3d Th8d5h3c2c 
KsQc4d3c2h Kd6c3s3c2d Kd8h7s4s3h 6d6c4h3h2d 
Qd9s9h7d3d KdQs6c3d2h AhQc5c3c2d KhTs7h5d2h 
KcJc6c5s2c AhTs9s2s2c Js9s7d4h3s Qc9d4d4c2h 
Qd6h5c4d2s 8d7s6h4d2c QdJd8d3c2c As7h4s3d2c 
Th8s7d6c2s KhTd7d5c2d 9d6d5h5c4d Td8c6d5s2d 
Th9d7c3s3c Ah9h8h3s2d Ts7c5h4d3d Qh9c5s4h3h 
JhTd7c5s2c QsTs8h3d2c 7c6d4h3h2d KdQd8d7s3c 
Js8h4h4d2s KhJh8s8h2d Th8h8d6h2h Qh8c5c4s4c 
KcQd9h4d3d 8s6c5s2h2d QcJd9d7d3d 7d6s6h5s2c 
Jh8d8c5s2h AhTd5s4c3c Ad7c5s5h3c Kh8d4c2h2d 
AsTc5s2s2d Ks8s7d4h3c 9h5s4c3s3c 7d6h4c3d2h 
Th8d6c5s2d Jc7s7h6h4h 8c6h6d3d2h KdTh6s5s2c 
9h7s7d5d2c KsTd6d5h2d KdTh9h5c2h Kc9s8d5s4s 
Kc9s6c3c2s Kh9c8d7s4d Jd8c6h5h3s Ks9h8h6c3d 
Td8c6h5s2h Ks7d5h4c3h AdKs8h4h3c 9c8s5h3h3d 
KdTh9s3c2h Th6c5d4d3s Qs9s8s7h3c Ad8s8h5s3s 
6d6c5d4h2d Qc9s9d8c2c QdJc9h6s2s QdJhJc7d2d 
9c7h6h3h2c Jh7s7c4h2s Jh8d6d5s2c 9s7d6h5h2h 
Qd6d4h3h3d Js9s6s6h3d Jd7c4c3d3c KhQd4s3d2c 
QsJd8h4d2c Kd7c4d4c2c Kc8c5d2d2c Td8d5d4s4h 
Kh6h5c4h3h KdTh6s3d2c Ks9d4s4h2d Qh6s6c5d4c 
Qd8d6c4s3h QcJh8c4s3c 7h6s4h3s2c Qs7d6h3h3d 
Jc8s6s5h2d Kh9d8s5h2h KhKdKc8s8d KsQs8s7c2d 
Ts9s5s5h4s Ts8d4s3c2d AhQd5c4s2s Th9c8d3s3d 
Ks7c4h3c2s QdJs8h4s2c QhJh8h3c2c AsQh9c3s2s 
Kh9h8h7s4h Js9h4h2s2c 9s5s5d4h2d Js8d4s4c2d 
6h6d4h3s3c Ks8h7c4c3h Ad9h5s4h2s AcJc6s4h2c 
Ks9d6s5c2s Qd7h5c3h2d 8d7h4h3h3d Kd9d9c7d3d 
8c6s6h5c2c Qs7d6h6d4d KsTs4d3s3c Jc8h5c3d2d 
Td7s5d2s2h Th7h5d5c2c Ad7c6c4h4c Jh9d5d4c3s 
Jd9d7c4h3d KsKdKc7s7h Tc8c6d5c2h 7s6h6c5d2h 
Jc8s7d7c2h KdQd9s3h2c AhTd9c4s2c Ks9s9d6s2h 
8d7s7d6c2h QhQc7h4d2s Js9h9c5d2d Ac8c7c4h3c 
9c6s5h5c3c Jd8s8d7h3c Kh9s9c5c4c Qs6c4h2s2h 
8c7h7c3h2s Jh6h5s4h3d Qh9d8s5c3c KsQc8c5d3c 
7d6d4h3c2h 8d6s4s3h2h QcJh6c3s3d Jd7d6d5d3c 
Td7d5c2s2c Jc9h6s4c3d Ts7h6s2h2c KsJd8c2d2c 
Td9s3h3d2h Tc8d7h6d2s AhKh8h3c2d 9d7h5c3s3h 
KsQh9c5c2d AdJc6s6c3h AhJc8s4s3s Qd9d7c5s2h 
Ah6h4h3s3d KdQsTd7d2d Jd8c6h5s3s KcJc7c4s3c 
Jc8c4s4h2s 7h5h5c2s2d QdTd8d7s3d Qc9s7d3c2s 
Kd8h8c7c4c 9s8h8c7d2c Ah6c5d3d2c JsTs7d6s2h 
8s8d7c4d3d 8s6d5c3h3d JsJc6d4d3d Jd9d6s6d3h 
Qc8d7s5s5h Jh7c6h4c2s 9d6s5h5c3s Kc9h7c4c3d 
Qs9h7d5d3d QhTc9c3c2s Qd9s9c8d2d Js9h8h8d4h 
Th8s7s3h2d Kc7s6s6h4s Qs8s6s6c4s Qh8h6c3d2c 
8h6s5d2d2c Jd9h8s8c2s KcJd7s7d3h As7h5d2h2d 
9s9d7s6c2s KsJs6s4c2d Qc9c6d5s2c Js8h6d5d3c 
Jd7d5h5c3s TdTc6s6c2c 8d8c7h3s3h KhTc9c3s2d 
9s5c4c3s3c 9c8s6d6c3c Qd5s4s3d2s QsQd6s3c2s 
AcJs9s5s2s Th9d8s3s3c 9c7s7c3s2s QdJd9s4d2h 
JhTd7c6h2h KcJd8c4h3c Tc7s6d2d2c Ts8c5h3h2s 
TsTc6h5d2c Ah8d7s7d3d Kh7h4s4c2s Qh9d8d5d3c 
Js8c7s3s3c Ts6d5s5c3h AhJc8d4s3s KsJh6h6c3d 
Qc9s5d3s2d Ts8s8d4c2s QsTd7s6s2h Jd7h6c4d3s 
6d5h3d2h2c Kh8h7c3h3c Js9h5c4s3s QhTd5d3s3c 
Jc8d6h3h3d AdJs8s6s3h QdJs9c6h2h Td9s4s3s2d 
JhJd6s4s3s AdQs9h7s2s Qd7s7c5h3d JsTh6d5c2c 
Tc8c6h4d2s QsJs7d6h2c QdTd8c3h2s 9c8d8c3h3c 
Ks9d5s2s2d KsQh7d6s2s AhQs6d4s2c Jd6c4s3s3d 
AhTs9c6c2c Ks8c6h4d2s 8h5c4s3s2h Ts8h7s6d2s 
KcJh8s2s2h JsJh9s7s2s 8h7h5h5d3c KhTc4s4h3h 
Qc7s5s3c2h Ac9d8d5h2s 9h8c5d3s3d Qc9h5s5d4d 
JcTc5d4c2c KdTc4d3h2s JhTs6d4s2c QsJd9d2h2c 
8h7d4c2d2c 8c5c4h3h2c KdJc7s7d2h KcJc6c5h2c 
QsTs7d6c2s Ks9d8d6c3h Jh8s8h6d2c AsJhJd6h2h 
KhJd8d5d2c 9h5s5d4d2h 7h5h4s3s2s Tc7s5h4h3d 
AhKd8d3d3c Qc9h4h4d2c Th9d7c5s2h Kh8h6d5c2h 
Ks7c6c4d2d Jd9c7d4c2d JsTc7c5d2c 9s8s5d4s4h 
JsTd8h3d2c Qh8d8c2d2c Jc7c6d4s3h Qh7d6c3d3c 
Ts9s5s4s4d Qh9c8d8c2s 5c4s4d3s3h Qh8d7h2s2d 
Kh7d5c4c3s Jh8d6c5h2h Qs9s7c5d2h Qd9s9h6c2h 
Jc7c5h5d3s Qc6h4d2d2c Ks9h8c5h4h 9h7d5s3d3c 
KdTc9c5s2c AcKc9c6d2c Ac6s5h3c2c 8c6d5c3h3c 
AsQdTsThTc 9d5s5d4h2s 9h9d8d7c2d Ad9h8s8c2h 
8s7h5h5d3c KhTh4c3h3d KdJd6s6c3d KcTd4s3s2d 
9d7s7h5h2c Tc9d5h3s3c QsJs8s4h4c Qc8d4h4d3c 
9h7s7h4c3d QcTc7d6h2c Td8c6s4h2s 9c6s6h3h2s 
Kc8s6s6d4s 9s6s5c4s4h 9h8d8c6c2c AsJc9d4h2c 
4h4d3c2h2c Th8d5h3s2d Kh7s6h6c2d Td8h8d7d3s 
QsJd7c5d2h AsKd7d2h2c AdJc9c5c2c KcJc9c5c3c 
9s6h4h4d2d Qh6d5h3d2h Td9c4d2d2c AdKs9c4c3h 
Td7h5s4h4c Tc7s5s5h2h Tc6d4s4c2s KcQh7d6c2c 
AsKc8c3d2h Jc8h8c7s3d 8d7h7d6s2c Ad7d6s4h2d 
Ts6s5d3c2c 7h7c4s3c2h Ks6d4c3s3h 9s8d6s3d2d 
Th8s7c6d2s 9s8s8c3s3h 7s7c4h3c2s Jh9c8h6h2s 
QsJs8c7s3d KcJc9d6c2c Ks7h5s4d2c 7d4h4c2d2c 
Th8s5h3c2c Jh8h7c4h2c QhJs7d7c3h Js8s8h5s2c 
KdQs9s9h4s Qs9s9h6s2c AhKd9s4c3s Ts7s5d5c2d 
6h6c5h4s2h AcQc9h6c2c KdTd7h4s2d Th6c4d4c2h 
Ks9h4h2s2c Jd8s6s5s3c KcQd7s4d3d QdJc9c3s2h 
Ah9s5h5d2h AdTd5d3s3d KsTd8h5c3h 9s7s6d3d2d 
Kh7s5h3h2s 9s8h5h4d4c As7c6d4c2d Kd6d5h5d4d 
9s7d5d3s2s Jc7s7h6s4s Qd9c7s6c3c QhJh7d3c2d 
JcTc7s6c2d Tc9h5c4c3s Jc6c5h4c3d Kc9s9c8h2c 
KdQc9s3d2h 9s5s4d3h3d Tc8c6h6c3s KhJc9s4h2h 
KcJs9h5d2d Qc8h5s4d2c Jd9d8d8c2s 6d5h3s3h2s 
KhJd7d4s4d JcTd7h5d2d KcTs6d5d2h QsQd6d4d2d 
Tc9s4s3d2d 8c7c4d3d3c 9h8h8d3s3h Js8s8d5h2s 
Qh7h6h4c2c Qs9s9d6s2h 6h5c3s3c2h Qd6c4c3d2s 
QdJs8s7s3c Kc4d3c2h2d Kc8c5d4s4c Kd8s6s5h5c 
As7c6c4h4c Qc8h7s2s2c 9s8s7s5c2d Kc8h6h5s5h 
7h5s5d4c3d KdJs5s4s3s Jd7h7d5s3d Tc8h8c2s2d 
Kc4h4c2s2d AsQh6d5d2c Ah9s8h3h2c 5s4s4h3c2c 
Qd9c8h6h3h Kc8h8d5s4s KdQd9d5d4d Ks9h6h5h3h 
Jh9c8d6s3s AsJd7c3c2d 7d5s5c4h3c Jh9s6c5h2h 
KsKhKd8s8c AhTs9c6s2s 9s5d4d3s3d Ts9d4d3h2h 
Jc6s4h3h3c Ts8h5c3h2s 9d8d5h3h2d 9s8h7h5d2h 
Ah9d8d6d3c Kh6s3s3d2h Qs9h7d5c2s Kh9d8s7c4s 
9h7h6h4d4c AcKc8c5c2c Qc9d7s5h2c Qs9s8s7d2c 
AdJs8c6h3h QdQc6c3h2c Jc8s6d5c2c Qd9c4c3d2s 
QsJs9h4s4c AsTh9h2h2d As6s4s3h3c 7s7h5h4h2c 
Qc9h4h3c2d Tc9d7d3h3d QhJs9c6d2d Jc8h6d5s3h 
QdTc6h4s2h Js9d4h3s2d AsJc5d5c2h KhQc9d3h2s 
9s5s4h3h2d QcJd8h4d2s KdQd9c8d4d Th9s5h4d3h 
As9s8s3c2d JsJc9d4d2h KhKc8h3h2h QdJd9s4d2c 
Kc6h4s3s3h QsTh5h3h3d QhTc7s6s2d KsTs9s4h2s 
9c8h6s6d3d Qs8d7s5s3c KdJd6d4h2c 9d7h7d4h2d 
Kh7s4s2h2d Qd9h8s8h2c Qd8h5h4h4c KhJh8d2h2d 
8s8c7c5c2d 9s7h5d3h3c Jd8d8c6s2h KsQs7c5s2d 
KcQd6s5s2s AcTh9h6h2s 8d5c4c3d3c AhJd7s6c3s 
Ac9d6s5h3s AcKd7d6d2d 8s7h5d3d3c Qd7s7d4s2h 
8h6s6d5h3h Ts7d5h4c3c 8s6h4c3h2c Jh8h8c7d3s 
AcKd9s4s4h KcTd7s3d2s AdJs9s2s2h AdQs7s3h3c 
KdQd5s5c2d 9c7s7d5d2h Ks8c7d4d3c Kd7h7d3c2h 
