AcQs7s6d3s 
QsJsJd4s2s KcQs8h8d5h JcTc9h2d2c Th9c5d5c2h 
AhQd6c3h2s KsJs6s5s5c KdTs9c8h2h QcTs7c5c3h 
Kc7c5s3s2h Ks8d8c7c5h Js8h8d7h4c KdTc9s5h3h 
Ts7s7c6d2d QhTc8h5d3h ThTd6s4d2s Kd9s6s5c4h 
Ad8s7d4h3d AhQd9s6d3d Ks9s7c4c2h KdQs9s7c3h 
Ks9h9d5c3s KhTc8h3c2h QdQc7c3s3c Qs9d8s6c2h 
KsQh9d5c4c JdTh7s3d3c Qc8c6d6c3d QhTd7h4s4c 
AdJh3c2s2d Jd9c6s6h5c JhJc6d6c3c QhTh7c3h3c 
Qc9s6c3h2s 9d8h7s2h2d 8s6d5s2s2d Qh9s9d6d4c 
Js9c7d6c3h QhTd3c2h2c 9c6c5d3d2h Jh5h5c2d2c 
As6d5d4c3c QcTs8h6d2d QsQc7c5c3c Qc8d8c4d3s 
8s7d5s2h2d Ac6s5s4h3h QdTh3c2d2c AhJsJd6d3d 
Js9h9d6c4h QhTd9d5d5c Qh9h7d3d3c JhJc9h4s2d 
Tc8h7h7c2c 9s8h7s4c3h KsTh9c8d3d KsJdTd7h2d 
Jd9s5s5d2s AdQd8h3d3c Ts7d7c6h4h Tc8s7s7c2c 
AdJh8s5c3c Jc9d5c2s2d KcJh9d7h3h Ts9c8h5s3d 
8s6h5d4d4c QhTc7h5h3s Th9c6d4h3s ThTc9h5d2s 
Jh8s7s6s2h KdQcJc6c2h Th8c5s3s3h Qs7s7c3d3c 
8d6h6c4d2c Js9c8c4d2d KhTsTd8c3s Kc8s7d5d4h 
KhQhJd6s2h AhJs9c7s2d 9d6d5h5c2h Ac8h6d5h4h 
Kd7c5c3d2s AcJs8c3h3c KsJdJc8h2d QcJh9s9d3s 
QdJh6h4c3s Tc9h8d7c2s AsTd9d7h2d Th8h6h4c2c 
QdTsTd8d2d Qd9s8s8c5h AhQh5d3h2c Td9d8d6c4d 
JhTs8d4c3d KcTd5s3h3c AcKc3d3c2h QhJh9c7d3h 
AdQh9c7h2s Js9s6s5c4h JhTc6s6c3d QcTh5s5d3c 
Qh9d8s4h2d KcJd8d5h3s KhQcTc6c2d Qh8d7h5c4h 
KcTc9c5c3h AdQh7s5c3s AhJh9c6h2s AdJhJc6c3c 
9s8s8h4h3h QhTd8s3s2d Th9s9d4d3c AcKc3h3c2s 
Jc9s6h5s4d KdTh9c8s3s Qc9h7d6h4s Td9s7s7h3c 
Ac9h9d6d5d As8c6h6d5h Jc8h8d5s4s Th8h7s5h4h 
AhTs8d5c3c Tc8c7d2s2d KcQsTc3h2c Tc8h7s3h3c 
QhTc8d3d2c Th9h8d6c2h Jd9h6d6c2c Qh8s6d6c4h 
Tc9h5s5c2h KhQh7h7d5h KsQc9c8h4d QhJd8d5s5d 
QcJs8c5c2d QdTd6s6d4d Tc9h8d6d3d QdJc6d3c2c 
Ah9c7h3h2c Ah9h4d3s2s 7h6h6d5c3s TsTd7d4s2s 
Qd8d7d7c5h As7s5s3c2c 9s8d5d4h2s QdTc7h6h3s 
7s6d5s5d2s AdKhQc6s2s Qh7d6d5d4c KhQhJs6d2h 
Td9d9c7d3d KhQhTs8h3h KcQh9d8s3h Jh9d8h7s2c 
QsJh8c5d2h Ah9d8s8c4s Jd7d7c5h2c QhJh8h6h5h 
Th8s6d3s3h Ah9d8c5s4d AsJs9h6s4s Qd9c6d3s2c 
Jh7h6d4d3h Jh9s9d7h3c Jc9d8s6h4d Kd9h8d7d4c 
AdTc9s4h3h QsTc7h6d3d AsJh7c2s2d AdJd6d5c2h 
KdJh7h6s3c KhTc9d7s2c AcJdTh6s2h JsTd9h3c2d 
Qc9s8c4h2s Kc7s6c4h4d QsJd8c6s2h JdTc7s6s3s 
8h6h5d3s2s Qh8d7h4h4d Ks5h5c4d3s KsQc8d6h2s 
Kh8h8c7h4s Qd9c8s4d2c 9h8c5s2h2c KcQsTd6h2h 
QsTsTh5c2s Ks9d7d5h4c JhTs8s4s3d Jd8c6h4h2d 
Js9s6s4c3c KhJh8c3s2c Jh9c4h3s3c QsJd9h8d3d 
QcJh8c6s2d AsTh9d4c3c Tc8s7d3s3c QdTh8d4s4c 
KcQcJh6s2c KhTd4d4c3c AdJh5s5c4c QsQd7s5s3s 
QhTc4h3s2s Kd8s5s4d2d 7c6s5h5d4h JhJc8s3s2h 
AsTc7h7d3c QhThTd4h2s JsJd8h7c2s KdJc8d5h5d 
Ad9h8h7s3c Qs9h8c4s2h AhQd7d6s3d Td8d6d4s2s 
KcJd7d5s5d KcJs9h8s4d KhQdTc8s2s Th8s7c4s2c 
Td9s9h8c2h Kc8c5d5c2d 8h8d7s4s2h KsJd8h3s2h 
9c7h5h4s2c JsTsTd6s2h QdJc6d3h2h 7d6h6c2h2d 
9d8d6s2s2c JsJd9h8h2h 8c6h5c3d2h Qh8c7h7d2d 
KcTh8c2h2c Tc8d7s4d2s KhJh9d5h5c Ah9c4s3s2h 
Ad9d8d8c3d Kd8c7d4d3c Kd8h7s5c4s 9c8c6s2s2d 
7d7c5h3d2c JhJdTs6c2s KsQs7c5d2h Kc7d6h6c4c 
ThTd9d5d3d KdJcTh3c2c JsTs7h3c2c Js8s8h3h3d 
QdTd9h7c2d JhTh5d4c2h QdTd7h7c4d Qd9s8c4d2s 
Jh9h6h5c4s Td8s8h4s4c 8d6h4h4d3s 8h8c7d6h3s 
KdTs9d8d3d AcKs9d8h2h JhTh7s3d2d QhQc9c7c2d 
Qs9h6h5h4d Td9c4d4c2h AcTd9d5h5d KcQd8h6s2c 
AdTh8s8c2s JsTc6h6c3d KhQs3s3c2c Qc9s8s7s5s 
AsKd8s6s2s Js9c7c6d4h QsJd6s3c2c Ks9c8s3d3c 
KsQcJc7d3c Tc8d6s2s2c Jh8h7d5d2h AsJc7h4h4d 
Jd5h5d2h2c JsJhTc6d2c AcJh8h7h2d AcQs6c3d2h 
Kh9h8c4d2c KdJc8c5s3h KhQhJh5s2h Jc8h6h6c3h 
KsTc9h8h2h Js8h6s6d5s QhJd9s4c3d JcTd9d6d2s 
KhJdJc8s2c 9d8c7s5h3s JhJc7d5d3s Kd9s8d3s3c 
7d6s5h5c4c AcJd7s4s4h JsTc7c5c3c AdQh9c4s3h 
Ts8h7c4h2c Kh9c6d6c5s AsTs9s4s4h QcTsTd5h2s 
9s9h8d6s4s KcQc6c5d3c KhJh6d3c2c Ks8s8c7s4d 
Kh6d4s4d2h Jd9d7h6s4d QhTc7h4d3s QhJh7c3d3c 
Qh8c7s7c2h ThTc8d5h3s QsJh8h5h3c Jd9c8s3s3c 
JsJd4s3s3c KhJd9c7s3c QsQh7s3s3c KcJd9h6s4s 
QsQh8s4d3s 9d8h6c5s3c KcJc5s3c2s QsJc6s3d2d 
Js9c7c5h5d Kd9d8c7s2h AdQs9s9h3s KsQcTd6h2h 
KsTh9s8s3s KhQcJc7c3s AsTc9h4d3d Ah9c7s5s2c 
JsJh6c5c3c Jh9s7s5d5c Td4h4c3d3c AdTd7h7c2d 
AcJc9c4h2s KcTh8s7c3c 6d5s4d2s2c AdJd9c6d4d 
Qs8h7c5h4d 7h7c5c4c3d 9h8s8c6c3d Th9h5s3d2s 
KhQsJs7d3s Ad8c4s4d2h KhJc8c2h2c 8h6s6d5h4h 
AhKh4h3s3h QdJc9s6s4s 6d6c5c3d2h Tc9c7h2h2d 
KsQh8d8c5d KsJd5d5c4d Qd8d7s7c3c Ks9s6c3h2c 
Jh9h7c6d4h As9h5s5d2c Qd7h5d3s3h Js9d6c5h5d 
Td7h4h4d3s 9d8s5s5d2d KhQh7h5d5c JsJcTh7h2h 
Kd8s7h5h4c Kd8h8c4d3c Kc7s5s3c2h Jc9d5d3s2c 
7s5s5c4c3c KhQd7h6c2s 9s9d7h4h4c QhTc5s5c3d 
AsTs8s4s3d 6c4s4h2h2c Js6s6c4c3h 9s8c6d5h3c 
Ks9c8s5h4s AsTc6h5c2h 8h8c7d6c3s Th7s6d5s2h 
AhTd8c5c3s KcJd7d5h5d QdJh8h5c2s Ts7h6s6h2c 
Ks9d9c8h2s KcJh9s7d3s QsJc6h6d4h Ks6h6d3h3d 
Qd9s6d5h5d Ac6s6d4h4d Ac8h7c4s3c JhTd9c3s2d 
8s8c7h7d3c Ts8c7d6s3h Jh8c7c6d2d Jd9h8c6s4h 
Qs5s5c4c3s QcTs6s6d3h ThTc7d4d2h Qh7h7c5c2s 
Qh9s6d4h2s QhTc9d6d2d KcQdTh5h2h Tc8c6c4h2h 
QdJd5c2d2c QdTh7c4h2c 6h4s4d2s2h KhQdTc6s2s 
7d6d5s4d4c QcTs6s6h3d Ac8h3d3c2h AsAdAc9h3h 
Kc9h9c6d4c 9d6d5s5c2c Tc9h6d4s4c QsJs5s4s4d 
Qs9s7c5s4d Td8d7h5d4d KsJc9d5h3h 9c7s7c6c5c 
KsQc7s7d2d Tc9d8c3c2d 9d8d6h5s3d Th8h6h4s2s 
Qs9d8d7d5d 8s6h6d5c4s AsQd7c4d3h KdQc5c4s2h 
Jc9d6h5s4d QhJd8s8c4d AhQs9c6s3s AsKd9c8h2h 
7c6s5s4s4d QsThTc6d2c Qc8c6s4s2s KdQh9s8d4d 
KdTh6h6c4h Td9d8s6c2d AcKdTh6h2h JcTc7s3d2d 
Kh8s8c7c5d As6h6d4h3d QsQc8s4d3s Ts8s6c5s5d 
JhJd6h4s3c QhJs8c6h2d KsTc9d5d3d 9c8s5s4h2c 
8h6s6d4d2h JsTh5s4s2c AcJd9s6d3h Ah9d7c5s4s 
AsJc8c7c2h Tc7h6d3h3d AhKs7d5c2c KhQhJc8s3h 
8c7s6h2s2c JcTs9s6s2d 7d6d5s3s2h 7c6c5s3s2d 
AhTc6h3s3h 6d5d4c3h2c Ks9c6d5d2c Qh8h7d7c3d 
Tc9h6h2d2c 6s6c5h3d3c 8s8h6h5h3c QdJc9h8s3s 
QdJd5d4s4d AsQhJh6h2c Qs7h6h5s2s KhTd8h3d2h 
KcJsTd7s2s QcJh6s6d4d JsTd9d6d2h Qd9h8d6c2s 
Qc9d5d3c2h KdQh9c8d4d KdJd7s4s2d KhQdTd6d2c 
Qd8d7s7c3s QsQh9d5c2c Th8s4s4h3d 9c6s6h4h4d 
Ad9d8h5d4d Jc9d5d4c2c QdTh3h2d2c 9h6c5d4d2c 
AcJc9c4s2d KsTh6h6c4h 9s6h5h3s2c 8s7s6h6c4s 
Kh9c5s3h2s AsTc7d6d3h AcTd7c6h2c 9s8c6h5h3h 
KcTc9c5c3s AdJh5d4s2d Js9c8c3h2s JdTd9h2s2d 
9s9c3d3c2s 9s8h7c6s3d KsJh6s3h2s 9c6s6c4h4d 
Jc8d7d6h2h AcJd9h6d3s QsJd9c4h3d KhTc9d8d3d 
JhJd9s8s2s KsTc6h4s2d Jd8s6d5h5c QdTh7d5d3c 
Js9d8h6c4d 8h8d6s3h2d Ah5d4s2h2c Th9c8h7h4h 
AdJd9h6d2s QhQd7s7c3s Qc7h6c5c2h KdTs9c5c3c 
Ad9d9c4d3h KcTh8h7s3d Ac8d7d6s6h TsTd8d7c2h 
Jd9h8h3s2d 7c6h6d3s3d QhQd9c6s2c 8s8h7d4d2s 
KdQhJh8s2h KsQh3h3c2c QhThTc4h2s AsKd9h7c2h 
QsTh5c3s3d QdThTc6h2s AsJd7c4h3d AdTs7h5s3s 
QsJh8s6c2d JhTc6c3c2h Td8h6s6c4d Td7s6c5s2d 
AsKh8h6c2h AdQcJc6c2h Qs8h7c6h6d KsJs9d5s5h 
QcJd6c3d2d QhJd9s7s3c Qh9s9d6s4c AdKh8h6c2h 
Kd9c6c5h4s AdTc8d5d3d QhJc7h7d2c QcTd8d5s5d 
Ah7s3h3d2s JhTc9d4s2d AcKcJc6h2c Ad7d5d3h2h 
AcJh5c4d2c Qd9d9c8h3s Kc9c6s3h2s Jc8c7s6d2s 
AhKh3s3h2c Jd7d6h5c2h KdJhTc7s2s Qc8d7s5d4h 
Ks7s5d3d2h QsTd3d2s2c Qd8s7h4d3h AsQs9s5d2s 
Qc8h7d6s6h QsJd8s3d2s QcTs8h8d2c 6s6c5d3s2c 
QhJd9s9h4h Qc9s9d6d4h KhJdTs7c2c AdTs9s7h2s 
KdQs9c8c5c Td7h7c6s4s 9d8d7h2s2h KsJd7d5h5d 
KhQhJd5h2h KdQs8c5h4h QdTh8d5s3d Th9h7c2d2c 
7s7c6d4c3h Ad9s7c4s3c QcTsTd6h2d Js8s6h4c2c 
KdQc8h8c3h Ac9d7c3c2d 6s5s4d3c2c 8d7d6d6c4s 
KcJd8d6h4d Ac9s5s3c2c Kh9c8d8c6c JsTd6d6c3h 
7h6c5d2h2c JhTc9s3d2c Ah8d7c6h2h KdTd9c4s4d 
QhJs8s5c2d Kc8s6c5c4c Ac9d8d5s5d Ad5c4s2h2d 
AhKh3h3c2d Th9c8c7s2d KdJc7d4d3s Th7d6c5d2h 
8h7h6d6c5h AdJh9s6c3h Td4s4h3h3d Ac9h8h8d4s 
KdJd8d5c4d Kc9s8c3s3h Ad7c5d3h2s TsTd9s6s3s 
AsJh9h5d2c AsTh7s6c2s As5s4s4d3c KdJd9s5h5d 
Js9h6d5c4h 7h7c5c3s3c Jc7c6d6c3d Ac9h6c4h2c 
JhTc8c4c3s Ah9c4d3d2h 7s5c4s4d3d KhJsJh6h2c 
Jd6h5d4s2s QsJc9d9c3c Ts6s6d5s3d AsTc9c7c2h 
AdQd6h3d3c 9h9c5c3h2d KhJsJc8d2c Th8h6s5h5c 
Qc8d7d4h3c 9s8h6c5d3h 9s6s5h5d2h AhQsTc7c2c 
QhQd5d3d2s KhJcTd7s2s QsJs5s5c3d Ts8c5d3s3c 
Kd8c7h5s4h QcJd9s9d3d Kd9c7c6s4h Qs7s7d3h3d 
9c8h8c7d4s Jd6s6c3s3d 8s6h5c4d4c Kh8s6c5s4d 
KcQhTc3s2c KcQh8s8d5s 9s7d5d4c2s QdJc7h7d2c 
Qc9d8c2h2d AcJc4s2h2d Tc9s6s5s4s AcTc9c6c5c 
9c6h5d4d2h QsJs9s6s6c 8h8d5d5c3d JsJc8h7d2c 
KhQdTs5s2s QcTd8c4s4h QcTh7d6s3s JsJc7c3s2h 
Jd8s8h6h4c Jd9s8d3h2s Ts8h6c5d3s Qs9s6c4d2d 
AdQc7c6s3c 9h8s6c5d3c Kd6s6h2s2d QhJs6c4h3h 
AhKsTd3d2c KsQh4s3d3c Jd9h6s5c4h QcJh7c5c3s 
8d7h6d5s2c KhQcTh3d2h AcTs6s5d2d KhQc9s8s5s 
AdKdJd6d3d QcJd5s4h3s Qc8s7h5d4s 9h9c8d6h4h 
AsQs8d7s3s AsQh7s3s3d TsTh9s5s3s QdTd6d4s3c 
QhTd4h3s2s KdJs7c6h3s AsQc8c7c2h Jh6h6d4d3s 
QhJh9h7d3c KsQcJc8d2c KsTs7h6s3s Js9s4h4d3h 
Ad8s4d4c2h Qc9d7d6s6d AdKc6h5s2s Js9h6d5h4c 
9d9c5d3c2c Jc8d7d6s4d AhQc9c4d3s 9d8h6d3h3d 
KdQd9h3h3d Ks7s5c3c2d QdJs9h9d4d Jc8s7h7d4c 
Jh9h6h5d4s Js9d8c7h4c QcJc9s9c3d Qs8h8c7d5h 
Jh8h7c6h4h KcTd9h7d2s KhJh6s3c2c Jd9s6c5s4h 
Qh9d8c2h2d Td9s8d8c2h Ks9c7s3c2h QdJs9d9c4d 
KhJs9c7d3c KdTs8c6d2d 6s6h5c3h3d AsJc6d4s3s 
AhQc9s8d2s QdTh7h5s5h 8c6s5d4h4d AdJc9h3h2c 
QhJh9d7s3h KdKc6s3s2h Kd8h7d4d3h Js9h8c7s3d 
JsJh9s4c2d 6s4h4d2s2h 8d7d6s6d4h QsThTd5c2h 
KcJs9s3h2h Ad9h8c5s4h Jd8d5h5c2c KhQh9h7d3c 
Jh9c8h7h4s KhQs7h6d2c Jh6h5s4d2d AsTd6c5c4h 
KdJs9h7s3s Ac9h8s6h4d 9d8d6c4h2h Qd9h8h8c5s 
QsQd9h5c2c 9h7d6h5h3h KsQh9c8c5c JhJd8s7c2d 
KcJc6h3s2s QsQd8h5c3c AdTd9c3s2d AsJh9s4d2s 
Ac5c4d4c3h Ad9h7s5s2h 8c7c6s6c4d Ah9c5s5h2d 
AsQd9d4c3h Qh9h9c8s3d 7h6s6d2s2h KdTh9c5c3c 
Jh9h8h7c4d AsJhTd6c2d AcTd8h5h3s Ad7c3c2h2d 
9h9d5c4s4c KcJd6d5d3h As9s5c3c2s As9h8h8d3c 
Ac9c4s3h2h QsJd9c6c4c QdJsTc7h2c KcTd9h5s3s 
KdQd9h9c3s AdJs7c6s3h AcJh9s9h2h Ad8d5s5d3c 
Qs9c7d6c4h AdQs9c7c4c Jc8d6s6c5c 6s5c4h2h2c 
KhJsTs7c2s 9s8d5c4s2c Ad6s5s4c3c AcTs7c6h2c 
KsQs5s4h2c KsJd6d5d3c KcTc6s4d2h QsTd8h6c2c 
JsTdTc3c2c 9s8s5d4d2s Qd8h7d7c2h KsJc6c5c3d 
Kd8h6h2d2c QsJdJc8h2h QcJs8s6s4s QsTs9d7c2s 
7s7c6c3h3d 6s5s4c3d2d 7c6c5s5d2s Tc9d6c2s2d 
AsTc8h5h3d Ts9h6c5s3s Ts9s9d7s3s Qs9c8s6d4s 
QsQc8s2s2h Th6h5h5d3d Ac7s6c5d2c As9c7s3c2s 
QsJh5d4c3d 9h8c5s4h2s Qs9c6c5h4c Ts8d7s5s2d 
Kh8c5d4d4c Ad9s8h5c4s Ah6s6d4s4c Ah8c7h4d3h 
8s8c6s5s3d AcTc6c5s2h Qc9c8h5s4c Kh8s8d4h3s 
7h5c4h4d3d 8c7h6h5s3h KsQcJc6c2h AhKc7s5d2d 
KhTs7h5c2d Ks5s5c4d3h AhQd9d3c2c Ts9h6s6c3d 
KcTh8c4s4d Qd9d6c4s2s Td9c5h5d2c KsQd5s4c2s 
QsJh9s9c4s KcTc7h7c3d KcTh8d6c2c Jh7c6d5c4c 
KhJc9s9d4c Ah9h4c3d2d AsKc8h7d2h KsTs5h5c4s 
Kc9d7d6h6d JhTc9d3s2c QdJs6c4d3d Jd8s8c6s4h 
9s9d8d5c4d QdJh8h5h3c Jd9h8h4c2c Ad9s7s4h3h 
Qd8s8h5s2h Ks9c6c5d4h Ah9h5s3s2h Ks9s8d4h2d 
AhQdQc7s2s Th9s8d7h2c QsTh8s7s2c QcJd9h9c3c 
Kd9s8c6h6c JsJc9h8h2h Ah9c8s5d4c Qc9c8d5s4c 
8s6d6c4c2s As9d7s5s2c TsTc6h4c2h QdTd9c7h2d 
Qh7c6h5h4h QhTc7d6s3d Qd8s7d4h3s Ac9s5s5h3h 
7s7c5d3c2s 9s7c6s5s3s Qc5c4d3s2d AcKcTc3s2c 
KhQh5h5c3d KdQh3c2h2c Qd8d5h3h3c TsTc6d4c2d 
AhQd6d4s3c KsJh9d5c3c Kh9s6s6c5d Qd9d8h2s2h 
KhJsJc8s2d QdJc9s9h3s 9s8d8c4d2c 7s6s5c3c2d 
9s7h7d6c4c KdQhTc6s2s 8d6d5h3c2c Ac8s8h4h3s 
AcJh9c4d2c KcQc4h3h2c 9c8s8c7d4h KdJd6d5h5d 
Ac9h8h7d4h As9c8c7h4c Jc6s5c4h2h Jd9c6c5s4c 
KdQd5d5c3h KcTd7s4s2d KhTh8d6h2s Qc8c7s7h3s 
KhQd3s3d2s Jh9d9c7s4h KhJsJd8s2c Qs9h8s6d2c 
Js9s8h3h2h Qc8h8c7s4d Qs9s8c2d2c Jd9h8h3c2d 
QhJs9d4h3h Jc9d8s3s3d QcJd9h9c4c QcJd9h8s2h 
KhTd5d4s4c QhTs7c6c3d Jc9d8c7h2s Js6s6d5d2d 
Jd8s8d3s3h KhQd9s7h3h 8d8c6c5c3h 9d8c5c4s2d 
Kc9c6s5d3c KcJc6c5d5c Ks6h5d4h2d QcJc6d4s4c 
Jh8h6d4s2s Js9c8s7d2h QcTc9h4c3c Jh9s9c6d3s 
Jd6h5h4s2d JhTh9d2h2c Qs9h9c4c3h Jc9d7s5h3h 
Ks7h6s4d4c QsTd6s5h2c Js9c7d5h5d KsJs8d3c2d 
Jh9s6d6c5s QsJc7s7d2c Ts9c7s4c2d QdJs9d5d2h 
TdTc6c5c4c 9d8h7c2h2d QsTc7d6d3h Th8h7d2d2c 
Qd7h7d3h3c Qs9h8s2h2c AhTs8d5d3c Qs9d8h4s2d 
9s8d6c5d2h QsTh7h6h3d Ad7s3h3d2s Js9d8s7c3h 
JdJc7s5s3h 8d7d7c4c2d Kd9h9d4d3h JdJc4d3s2s 
Th8d7c2h2c KcQd8s6h2c AhKc6s4d3d AhTd8s8c2c 
9s8d5s5d2d Kh7h5d3d2c JsTc6h4h4d Qd8c7h7c2d 
KdQc5d4s2d Qd9d7h5d4c KsTs8c7s2d Js6d6c3s3c 
JdJc4d3s3h AcQc8c4s2h QcJs7h7c2s 7h7c6d4c3s 
Kh9c6s6c5d KdTd7d5d4d Qd9s8h8c5s JhTd7d5d3d 
Js8s5h5c2c 7d7c5c4c3s Td6c5c4s2d Kc5s4s3s2c 
Ah9h7c2s2d JhTc9d5h2h Ts9h8c7s2d Ts9h9d5d3d 
QsJc8s5h3s Jh9d8s3s3d JhTc8s8d3c KsQc3d3c2d 
AsQhJh6h2d KhTs4h3s2s AhKs9c3s3d QsJs9h7d3s 
Jc9h9d6s4h KhQcJs8d3s AdKc8d6d2d Qh9s7d6s4c 
KhQcTs5s2s AhJd9s6c3d Js9h8h4d2d 7d6h6c3s3h 
TsTd8c6s3s KhQcJs8h3h 6d5c4d2h2c Kc8s6s4c2c 
JhTd9c5h2h 8s8c6h3s2c Jc8s6h6c5c QsJs7c4c2h 
AsTs8s6s2c JhTh7h4s4d Qh9s7h5c4h Ah8h5s5h3c 
KhTs9d8c2c Td6s6d5d3s 9c6d5h4h2d Kh9d5d3d2h 
QhJd8h3h2d AhQdJd6s2d 8c7s6d2s2c KsJs5s3c2c 
7d5h4s4d3s KhQsJs3s2d JsJc8d3d2c AhJc6d4d2c 
Td8h5s3s3d KcTh9d5s3s AdJh9d4c2d AsJd6c4s3s 
KdJsTs6s2h KhQc9c7d3s Th8c7h7c2h KdQcTs5h2h 
Ah6c3h3c2c KcJs9d5h3h Jh9c8d7s4d Jh8d6h6c5h 
Th8h7h6h5h 9s8d7s6h3s TsTh9h7h4h 9c8c7h4d3d 
Ks9s8h7c2d Ah6d5d4c3c Jh7h6c5d2c KcQdTs5h2h 
AsQh6c4d3h Qc8d7h5d4s Ad9d7d5h3d Qh8d7h4s3d 
QdTs6d5c2h QcJs5d4d3h As9h7h4c3c JdTs6d4d3h 
QcJc5s2s2c Kh9h5d4d2d Jd9s7h5c3c JdJc6s5s3s 
AhJh6h5d3h JcTs8h8d3s Jd9d8h4h2d Ks9d8s3h3d 
AcQd9h7d2s Th8d7h6c3s KdTh9c8c2c AcTc7c4d3c 
Td9h8c5d3s Qd8h7d7c2c Jc9d8s3s2c 9d8c6h5c2s 
QsTh7d4h2d AsQdTc3d2d JhJd6s3d2h Th8c7d4c2d 
Qh7c5h3s3c KhQh5s4d2h Kh9c7d4d4c 7s6h6d3d3c 
Jc9s6h6d5s Td6s5s4c2d AcJs7d6s3h KsJc9c3h2h 
AhQh6d3h2d KhQc3s3c2s KdQh8h8c3c QcTh8d5h3s 
JsTd5h5c3d KsQdJd6d2c KhTs6c4h2d KsKhKd5h3s 
Jd9h4d4c3h AsQs8s5s4s Js9d8s7s4h TsTh7c3s3d 
JcTc7h3d2d QsJd9h5c2d QdJc8c5h2s KdJc9h8c4s 
Jd7d6s4s3d Jc9s8h6d4s Ts8s5c3h3c JcTd8d4d3s 
Ks9d7d6c4h KcQh8s5d4d QhQd6s4c3s Kc8d7s5s4h 
QhTc8d6s2s Ad8s7s6h6c Jc9h8s5c2d 9s9h8s5d4s 
AcTs9s5s5d Jh8d8c7d4s Th8c5c3s3h Jh9c7s5d3d 
AdTc7h5c3c Td6d5c4h2c Jc7d6h3h3c Qd8d7h7c3h 
Jh9c8h7d2s Kh9s6h3d2d AcKs8s5s3s Td9s6c4d3h 
7h7d5c3d2h Js8s7h6d2h QhJs8c4h4d Qs8d7s4s4d 
AcKh8h5h3h Tc6d5c4d2h KhQh4c3c2h KhQd5h4c2h 
Qs9d6c4s2d AdQc7d3s3d JsTh6c3h2c AsTd9d5h5d 
Ks9d8h8d6d Ks8c6c4s2s 9h9c5c3s2h Ah8c6s6d5s 
AdJc7s6c2s QhTs8s7c3d QhJs5d4d3c KcQcJc4d2c 
KcQc9c7h3d TsTh7h4h2s JsJd6h3s2d QdJs8s3d2s 
8d7h6c2h2d JsJh4d3d2h KsJhTh6h2c KcQh8s6d4s 
Jh8h5d5c2d QhTdTc6s2c Qs7s5s5c3c Td7d7c6s2s 
9d7s7h6c4c KsQhTd5d2d 8s6s5c3h2h KhJs9d5c3c 
AhTh5h4h4d Ah8d7h4h3c Qc8c5d3s3d QhJs8d5d3c 
QhTc7s7d4s KsQs5d4s2c 6h6d5c3h2d Jc9c8d3h2d 
AdQh7s5s3s Js9c5d2s2c AcJd9h3h2d KsQc3h2h2c 
KcTh7d5d3s QsJc9h4d3c Ad7h6d5c2d KdTs4s4h3h 
9c8c7s5c4c Td8d6h2h2c Js9d7h6d3c Ac8s6d5d2s 
AsQcTh3c2c JcTs9d5c2c KsJc9h7d3h Jc9h5h5c2h 
Th9s6d4h3c QcTd3h2h2c Td9d8d5s4c Kh9h8s7d2c 
8s7h5s2h2d Qh7h7d4s3s Qs5s4h3c2h AsJs6s5c3s 
7d6s6d4h2s KcJh5s3s2h AsTs9s8s2s KcJc5c3d2d 
Qh9s7h4s3s Jc8h7h6s4h KhQd9c5s4s As9d9c6s3s 
Qh9c5c3h2d 6h6d5h3d2s Tc4s4h3h3c Js6h5s4d2d 
AdQdJd7d3d KcJdTs7d2d 7s7h6c4h3d AdTh5h5c4s 
Td8d7s2s2c 6s5h4s2h2c 7h7d5d3s3d QdTh7s6s3c 
JsTh7d6d3d 9c8d6h5s3h 7s6d5h5c4c KcQdTh5s2s 
Ts7d6h3h3d AdQd5s5c2d Ks8h7c5c4d Jc9s5d2s2c 
Ac9s8d7d4d Td6s5h3s3d KdQd7c6s2h Kh8s7d5s4c 
KcTh9c5d5c KcTh9h4s3d AcQsJs6d2s Kd5d5c4c2d 
Tc9s6d6c3h AdJs9h3h2s 7h6s6c3s3d 8s6h5s2s2h 
Ah9s3h3c2s Qc7h7c4d3d QsJc9h5d2c Th9c7s7c3d 
9s7h6s5s5c 9c8c6h5s3c Ks8h5h2s2d Th7s6c5h2s 
Kh8s7h4s3h JdJcTs7s2s QsJs5s3d2d QsQc8s2s2d 
AdTd6s5d2h 9s9d8s6h2c QhTh4d2d2c QcThTc4c2s 
Ts7s7h6s4c QcJc7d3h3d AhTh7d7c2h Qh9d6s4s2h 
Qc9s8d4c2s KcQd6s6d3h KhJcTs3c2c Ah6d6c4s4d 
Jc9h7h6c2c AcTh9h5s5h Js6s6c4c3d Qd8c7d5h4d 
KhJs5c3c2s As9s8c3s3h Ts9c8s3s2c Kh9s8h5c4h 
9h6h5s5c2c QsJc8s5s3d Ad9s8s7c4s Jh9d6c3d3c 
QdTh5d4c2s 9c7h6d6c2d Th9s4s4h2c Kc6h6d2h2c 
JhTd9s3c2d QsTc4s3h2h Js7h6c5h4h AdQs9c4h3s 
QsJhJd8h2h JsJdTh7h2h As7d6c5h5d 9d8c5s4d2s 
Qh8h8d4d3s Th9h8h5s4c As9c7d5d2c Qs7h6h5h4d 
AcTd6h5d2h AdQd6c3d2c Tc9d6s4h4c 8h8d6d5d3c 
