Qd9h7d4s2h 
KsJh9d5d2c KsJh8c5c3d 7d6s4s4c2c KsJs7s6d3s 
QcJc7h4c2h KdQh9s9h3h JhTs7h6d2c QsTh5s5d2c 
Jh9h8h7d3c KsQc7d5h2c KdQh8d6s3d Jd9d9c6h2s 
KdQc9h9c3c 6s6h5d4c3d KhJs8d5c2s Tc9s8c4d3h 
Jc8d7c4d2d KsJs8d7s3h Ah9s9c6d4s Ts9c8d8c2c 
7c6c4h3h2d As5s4h4d3s Kd8h6s3d2s Qs8h8d4h3d 
Jh7s4d3s3h Qc7d6h4c2h 8s7d6s5c2s QsTc8d7h2d 
KcJh4s3d2c Jc8h6s4h2s Jc9c8c5d3c Ac8h5s5d4h 
AsKs6s4h2s Jh9h5c4d3h Ah8h6d3c2s KsTc8h7d2h 
Td8d8c5d3s QsQc6s3h2d 8d7s4s2d2c JhTh7s5d2h 
Qh9s8h6d3h Jc9s9h5d2h 9s6c5h5c3d Qh7h6h5s5d 
KcTh9d3c2c Qh8h5c3c2s ThTc6d4c3c Qc6s5c4h4c 
AsJh7d4d3c Qd7s7h5d4d Ts9h5c4d3h KsQc5s2h2d 
KsQd7c5h2d 6h6c5s4d3s Qc8h7d5h2d Th9c7c6d2c 
Ts9d6h4c3h Ac9c7c4d4c Jd6c4s4d3s QdQc3s2s2h 
Jh5h5c4d2c 9c6h4s3h3c 9s8h7c6d2c Td8c6h3d2c 
QcJc7s5c3c 9c6s5h4d3s Jh7d6d4h2c KcJs5s5d3s 
AhKd6c3s3c Kh9d7s5c3s Jc9s6c2s2d 9s8s7s7d4h 
Ks8s7c2h2c Ad9c8h5c3c Ks8s8c4c3s KcQh9d4c3c 
Ts9s8d4c2h KhQcJc6c2c KhQs8h6h2c 9d7d6d4h3s 
8h6h5s4c3h 9s9d8c7s2h KdQc9s9d3d 9s7s5h4h2s 
Qh8d7s4s2h Qs8c4s4c3d 7s6s6h3h2c AhQh8h8c3h 
KdTs8h7c2c 8s8d5h4c2c Jh9h5h4d4c Ac9h6h5h5d 
Js9s8c7s2h AsQh8c7d2c Qs9d8h6c3d Ks8c6h4h3c 
QcJc3h2h2c KcJs6d4s3s KcQd4h4d2s 9h8c7s6d2s 
QdTc8h2s2d ThTd9c5c2s 9h9d6h2s2c Qs8d7s5c3h 
Tc8d8c6h2c KsQc9c8d4c QhQc6h3d2s AsKh8h4h2d 
Ad7c5c4s4c KdTsTc4s2h Ac9s8c4h2c QhTc7c4c3s 
ThTd7s7h2h 9s6d5h4d4c KsJhJd7h2h Jh7c6s5s5d 
QhQc8s4c2c Qc6s5c4c3d KdJh5s4c2h Tc6s6h5s2h 
Jc9d5h5d4d Jd9h6s3h2d Kd9h8d6s2d QhJs7c6d3d 
Td8s6d5h3d Th8d8c7h3s Kc9h7c4c2h QcTs8s4s4d 
AhJd7d4d3c Ac9c6s3c2s 7h5d4h3c2c Kh9h8h6s2c 
Qd9h9c7h4s QsQc7h4c2d Qh9c8c4s3s Qh7c4d3h3c 
TsTh9d7d2d QdJd8s6c2d Ac9s7s7h4s Jc9d7h3d2c 
TsTh7c3c2s Qs9d7d4c2s Jc8h7h4s2s Ad9d6d3h3c 
Jd7s7d4c2s Ks9h9c5d4c KcTc9c5s5c Qs8d6s2d2c 
QhJd9d5d2d Ah6h3s3h2s Kc9c6d6c3s Tc9h9d5c2s 
Ah8c7s6c3d Qs9c7h5d5c 8d7s6s5s2h 9s7h5s4s2h 
Kh7d6d5c3d Tc7h6c4s4c Ah7h6h4s3h Ad8d7d5c2d 
Ah6s6c3h2d KdQcTc8c2c Kh9s6s5s4d AsKh7h3d2c 
AcTh8d3s3d Jc8h7c2s2h JdJc6s3c2s Ad7s7h4h3c 
AsKc9h9d2d 9d8h8c7d4d Tc9d8s3h3d AdTc7h7c2s 
AdJc7h2h2c Js7s6h6d4c JhTh5s3c2d Kd9d7d5d3s 
KhJc8d5s2c Jd7h5s4s4c JhTs6c5d2c Qd7h6c5c2h 
QcTd8s8h2s Th5c4c3h3d JhTh5h4h2d Js9s8d6s3h 
Jc9h8s8c4c Jd8h6s4h2s Js6c5c3h2s As8h7d6h3c 
9s9c6c2h2d 9c7h5d4s3h Qs9h7c5h3d Qd7s7h6c4s 
KcQs5d3s2h JhTs4d3d3c Qc7d5h5d2c 9s6s6d3d2h 
AhKc7h3h2s Qc8d7c5h3s QdJh8c4s3h Tc7c6c4d2d 
8d6s5c4s2s 7h6s4h2s2h Td7h6h6c2c As6s5h2s2d 
Qc8s6h6d4d 9d8c6c3h2h QdJc8h4s2d 7d4d4c2h2c 
9d7c5s4c3h Qs8c7d5c2d Td9h7h6c2s Qs6s5h4c3s 
Ah8c7d6c3s KcJd7h4h3s JsTd8d3d3c Ah9s6d3c2h 
Js9s6s5d4s KsQh8d6h3h Tc9c8h4s2d Qh9c8d7s3h 
Qd7s4c3d3c AsJs8s8h2s Ac6h6d3c2s KsQh8c5h2d 
9c7s7h4s2h Kc7s6d3c2s As9c8s4d2s Ts7d5s5d2h 
Qs8d8c4d3c AsTc6s4d2s KhJh8h6s3c Qh9h6s6d4h 
Ad9h7c6h3h Qh9d9c7d4s AhJd7c6d3d KdJs7c4c3h 
AsJc8d4c3c Ah9s9d8c2d Qc7h4d3d3c 7h6h4s3s2c 
Jd8s5h3d2s KcQh9d8d3s Ts8d6s5s3c AhQd6h5h2h 
TsTd8d4h2c 9d8d6h3s2s Td9s7s6h2c Js9h6c4c2h 
Kh9d4h4d2s Jc9s5d4h4d KsJc6s6h3s QsJd9s7s2c 
Jd9d8d7s3c 8h8c7s6s2s Th7d5c4d2c Jd9h9d5s2d 
JcTc7c4d2h AcKc5c3d2c Jc6s5s3h2c Jc8h8c5s3c 
KhJs8d7s2c JsJh4h2d2c JdJc5d4d3d Ts8h8c6h2d 
9h8s8h7d3c 9s8c7d6h2d As7d6s4s2c Kh5c3s2h2c 
Ad9h7h7c4h Jd6s5d3c2c KdQdJc8d2d Qd9c7s7c2s 
Ac8c6h4c2s 9s7c6c4d3c Jd9s6c4h3d TdTc7c3h2h 
Qc7s7h5c4c Ah9d6c5s4s KhJh7h7c2c KsQs9h4d2c 
AdJh7s4s3c 8d7d5s3c2s Jc7s5d4h4d Qh9s6s6c3d 
KdQhJd8d3d Qd7h5h4h2d KhTc9s5s5d Th9s7d6c2c 
Td9d5d4c3s KhKc7s3s2d Ts9d7d4d4c Ah8c4c3h2h 
Jd7h6s5h2s Kc7c6c4s4d Js8c6s6h4s Kh8d5h4c3s 
Qh8c7s7c2s KhQh8h6d2s 9h7c6s5d2c Qc9h7d5s5h 
AsQh7d5h2h QhJd7c5h2s AdJh3s2s2h KsQsJs8d3s 
Ts9d5h5c4d QdJd9d8h3d Ts8h7c6h3h QcTh8d7d3d 
QdTc8c5h2c 8s6d5c4h2h 8h8d7c6d2d 9c5d4s4c3s 
7c6s4h2h2c QhTh7d5s2c KsTc9s2s2h Jd8h7c4c2h 
Tc7s5c4s2s KhQh7h7d2d Qs9c8d5d3h 9c8h5s4s4d 
Jh9d6d2h2c KhTh6d2h2d Kh7c6d3h2d KcQh8s6h2d 
Th8h5s3d2d Jh9h6s3d2s TdTc5d3d2c Ts9h7h4h3d 
Kc9h8s6c2c Qs8c6c5h5c Kc6s5d4c2c JsJh6d3s2d 
Tc7h6d4h3s Jh9c8s8h4h 9d6c4d4c3d 9c7h5d3c2h 
KcQd5c3c2h Jh7h6d6c4s Qd7h6c4d2c QhJh7c3h3c 
9d7c6c3d2s 9c7h5s4d3h Tc6d5h5d2h 7d5d4s4c2c 
KhQs7d5h2h QdTs8s4c3s AdJs8d6d3d AdJs9c6s3s 
Tc8s8h4d3c JsTd7h4s2c 8s7h5h4d3h Qc9s9h5c2d 
As8s7h2s2c Js8h4s4d3d QhJc8d6s3s Jh9h8s8d4c 
KcQsJd7c2c QhTd9c4s2s Jh9h8c6h3d Tc8d6d4d3s 
JhTc7s5d2d Ts9d8h2h2c QdTs7s4h4c KsTd8c5c3h 
QcTc6d6c3c KhTd7h5h2s 8d7c4c2s2d Ks9d7s3s2d 
Js9s8s5c3s 9h8d8c5s2h JsTd7h6d2c Jc7h6h4c2d 
KdJc7h4c3c Ac7d6h6d4d Qc9d8s7h4d TdTc8h4c3s 
Qh9h8c5h3s QhJs7s7c3d Jd9c6h2h2d Qc7s6d5h5d 
5s5h3d2s2d KhJd8s7d2c Kc9d8s7h4h Ad9s9c8h2c 
Qc8h8c7s4c AcQd8h7s2s JhTd7c4s2d Jd8c5d4s4d 
Qs7h7d5c4c KhQs7c5d2s KdJs9d6h2d 9h7h5s5c4h 
Th7s6h4d4c KhQc6d4s4d Ts9h6d4h3h 9d8s6s3c2c 
Ad9s6c5h4c 8h8c7d6c2c KsQdJs8s3s KcQs9d7h3d 
Jc6s6d4s3d Tc9c8s6c2c QsQh8d4s2s Th7s4s3s3h 
Jd7s6h5h5c Kh9c7h4h2c Qd7c6d4h2h KcQs4s4d2h 
KcTh6s4s3d AdKs8h6h3h 9s8h8c6s2d ThTd8c4s2d 
Td9c7d4s4d As9d8h7d2d Qs8s7d4c2c Jd7h4c3h3d 
Kd9s8c6h4h Qd9c6h4h2c Qc9h9c6c4c Th9c7c4d4c 
KdJh9c5h2h KhQh7h4d4c AhKd7d3s2c Kc8s6h4s3h 
QdJd8d5d3h Jh9c4h3c2s Jc9s9c6h2d AcKh6c4c2c 
KdTs9h5h5c QcTh9s3c2c As8d7c3h2s Qs9h8c5c4c 
KhJc5s3h2d Qh9c6c3h2c Jc8c5d4h3s 9c6s5h4s4d 
Tc7s6s6d2d QsTd5h4d2c AcJsJdJc7s Qs7s4h3h3c 
QdJd3s2s2d 9d7c6d4c2c Jd9c8h7s2s Jc7s5h4h2s 
Jd9s6d2s2h Ks9d7s4h4c QsJc7h5s2d Jd9s6c5h2d 
Jc9h6c2s2h Jc9s5s3c2c Jh9s6h5h2c Ks9d9c7h4c 
Qd6d5h3h2h Qh7h4c3d3c KhQh9h8h4s Js9d6c2s2c 
KsQh8d4s3c KsTs8s7s2d JsJd9s4h2s 8d7s7c3h3c 
KsTh7h4h4c KsTc8d7h2d 8h5d4c3h3c ThTd7h7c2h 
Ac8s6h4s2h JhTc7h5s2h Jd9h6d5d2c Jh7h6c5h3s 
QsJs9c4s3s QcTs7s4s4h 7h5h4s3s2d Qh5s4c3h2s 
KhJd8c5c3s 9c7s6c4s2s Kd7d6s4d4c Js9s8s8h4d 
As9c6s3s3h KdJd8d5d3h 9h8s7s7d4s Qd7h7c6s4h 
9d6d5s4c3d Ah8d5h2h2c AsKs9s6s2c Ts7d7c5h3c 
Kh8h6d4c2s Qs9s6d6c4s QdJd5d3s3c 8s6c5h4c2c 
QdTc5h5d2s As8c7d3s2h Kd8d7h2s2h 9c8h5s4d4c 
Ts9s8c4d3h Tc7d6h4d2h Qh9c7c6c3d Ks9s8s5c3d 
Kh9s7c3c2h TsTd5h3d2h QdTd8d4s4h QsJh6d4s2c 
9s6d5h5c3c TsTd9c5c2h 9h8h5h5d4c KcQs9d9c3c 
Kc7h6s6h2s AdKs7d3d2h Ks9d8s6c2s Tc9d6s4d3d 
Jc8s6h5c3c JdJc6d5h2d AsQc7d5c2c Tc9h8d2s2c 
Qs9s5c3s2c As7s6s4d2h Qd7h6d3h3d 7s4s4d2d2c 
8s7c6s5d2s 9d7d6c4s4h Jc8c5s5d4c Ac9h9d4s2c 
8h7s7d6c3c AsKs9c3h2s QsJh8h6h2c KsQc6h4d3h 
QcTh8s4h3h Ah7s7c4s3d Jd9c5c3d2d JdTh7c4d2s 
9h9d8d5d3d KdQd9s4c2h ThTd5h3h2d 9h6c5s5d3d 
Kh8c6s3c2h 9c6c5h4s3c Td7d5s5d4c AcJs4h4c2c 
QsJc8h4d2s Kd8h6c3d2h Qd8c7s7d4d Jd9h9c8s2h 
Ks9c7d5h3d 9d6h4c3h3c Ts7d6h6d4d QhTs5c3h2d 
QhJd7c4s3d KsJh7s2s2h QhJh6h4h3c 7h5d4h2s2d 
Ac9h6d5s4d KsTd8c7d2d Th8h5s2s2h Qd9c6c3d2c 
Qs9d6h4h2d Kd8c6s4d2h Js7d7c6h4d QcJc3d2d2c 
Kd6d5d4c3d 9s6c5h5d3h AcKc9s3d2c Td8s8h7d3c 
AhQh6h4c3h KsQc8d6c3c KsQd9d8d4c 9s7c6h4c3c 
KsJh8d6s2s KdJc9c7c2h Td9s9c5h2c QcJs8s6s2h 
Ad7d6d4c2s QhTd9d7d2c KdQs8d6c2d Kh9h8c7h3d 
JhJd7d3d2h Td7s7c5h3c Qd8s7d5c3h 9h7c6d4c3c 
QsJs7h5s3s Kh9d8h6h2s Ts9h8c2s2d 9s7s6s4h2h 
QhQdQcJc8h AsQs7s7h2d 9s9h8c7s2d Ah9d8d6d4c 
Ks5s3c2d2c Qd9s7h5s5c 9h6c5s5c3d Jd6h5h3s2d 
KsTd7d4c3d Ad9d6c4s3d Th8s6s6c3d Kh8s5c4s3c 
JsJd9d4c2d Qd7d7c6d5d Ts8d8c6d2h QcJh8c4d2s 
Jh7d7c6s4d KsTc7s5s2h Tc7s6s4s4h QsJs7d7c3h 
Tc8s6c5h3c JcTd6h5c2c QcJs6d4d3d Kd8d7s2s2c 
Qd8d5s3s2c KsKhKdJhTh Ks6d5c4s2s Td8s6s6h3c 
KsJd9s8s4s AcTs7s3h2h Qh8c7s4s2h 9d8s6c3s3h 
AcQh6s4h3h 9h9d8s7s4s QcJs7s7d2d Qc9d6s6d3h 
KdQs5s5c2h AsTh9d4c2h Ah9s7s6s3c Jd9c5s4s4h 
Js8s8d6c3h KdTh8s7h3h Tc9h7h4h3d 8c6h6c5s3c 
KhQc5h2s2d Ad7h7c2h2c 9h6d5d5c3s AdQc7s7h3c 
8d7c4h4d2c KsQsQc8s3s Ah8h8d2h2c Ts6d6c5c2d 
Jd7s6h3s3h KdTsTh8c2c 7d7c6c3s2s AhJd7s4s3c 
Qd9h6c4s4d Kh5s4h3s2h 8h7s7c6h3h Qh6h4h4d3d 
Js9h9d6d3d QhJs8c7d2s Th8c6d5h3h Jd9c7s7h3d 
Kd8h6h4s3s Td8h6h4h3s AdQs8h6h3h AcKh4s3h2h 
9d6s5c4h3s Ad8d6c3s2h AhJc8h6h3h Qs7d6h5c3h 
Kh8h7c2s2c AhTc7s7c2d 8s7h6s5c2s AcJh6h4h4d 
Td9s8s6s2s KhQd4d4c2s 8h8d7c5s2d Kc9s7d3s3d 
8s8c6h3s2h Qc7h6d6c3s 9c8c6d3h2h KdQc8s4d3h 
7d4s4d2s2c Ts8h7h6d2c Qc9s8h6d3s 8c6s5d4s2s 
QhQd6h3c2s Tc8h8c3h2h QsTc8h2s2d Tc9h3h3d2c 
KdJhJc7c2c AdJs8h6s2c 9h6s5d4c3s Kd9c8h6s4s 
JcTs7d4c2h AsJh7c2h2c Td8s8d6d2c KdJs5s5h3s 
KcQc4s4d3c Ts9d7d4d3h Qc8d6s4h3c AdJdTsThTc 
Qh7h6c5h2c QcTc3d3c2d JsTs8h2s2d Ks9c6h4s3s 
Ks9c4s4c2d AcJd6h6d2h Ad8d6s6c3d 8d7d6d5s2h 
AsTd8c4c2h Jc8h6c2h2d 9h9d4c2h2c Td7d5h5c4d 
AsQs5s2h2c Ac9h8h5h4h Kd9h9d3h2h KcQd6s4d2h 
Qh8s7h7d4h 6h6c4s4d3h KcJs9c4d2c 7d6h4d2s2h 
Ad7c6d4d2s Kd6c5h2s2d KhJh8h6d3s Ah7d6d6c4d 
AcQh8d6d3d KcJh7s4d2c JsJd8h6s2s Js7h7d6c4h 
Jd5h5d4c2h JsTs8d3s2c QhJd8s6c3c KdTd9d2h2c 
TsTh4d3h3c AcTd9h4s2d JhTd8d3d3c Kh7s5s4d2d 
KhQd5h2s2c AdKs4h3s2s 9d8s8h5c2d AhJd5h3h2s 
9h7s5h4h4c QhJh9h8c3h Kh9s8s5d4c Qc6h5c4s4c 
AsTh6c4h3d QhJc8s6d3d Jh9c8s6c3d QsJd8d4h2c 
Ts9d8d6d2d AdKh8h4h2c Td8c7s6c3c Kc7d5h4d2h 
AsQc9c7h2c 8h8d6c3h2c Jh7h4s4d3s AdQs3d3c2d 
Ad8d7d5s2d Tc7c6c4h3d Th7h6h4d3c Tc9c8h6c2c 
QcTd7d4s4h JsJc6d3d2s JhTh7h4s2d Td8s7h6s3s 
Jd7h6s6h4c 9s7d6h5c2d 8s8h5d4c3c Kc9s4s4c2h 
Th7s6c4s3d QcJs9c3d3c TsTc6h4s3s AsQs7c4s2d 
Tc9s8d2s2h Ts8s7d5s3c Js8s7h7d4s Ah9d8s7d2d 
Ts7s6s4h3c AhKc8s3c2d 9s9h8h5h3h Jd9s8d7h2d 
7h5d4h3s2s QdJs8s4s4c Ks5c4h3s3d Js9s8d5h2s 
9s8s6s5d3s Jd9h9d6s2c KsTc5h4c3c QcTd6s4h2d 
AsJs7c5s2s AsKs6s4d2s Td7s5d5c2c Jc8d7h4h2d 
Td7s6s4s4h Qc7d6h5s5d Td9s9d8d3d Qh8h4s3s3c 
Qh9s6c4h4d JhJd3d2s2c Kd9s8h7c4s Jc8h6c5d2s 
JdTc6d5h2d Ad7h5c4s3h AdKh8s6s2s QsTd5s5c2h 
Qh7c6s5s2c 9d8c6h3s3c 9h7s6s3h2d Ad5d4d3h2c 
KcQh8d6h2s Tc7h6s6h3d KhQh9d4c2s 9d8d5s5d4c 
JhJd6s3s2h Ad8s8c3h2d Ks9s6h4s3d AsJc4d3d2c 
Th8d6d4d3s 7s6s4c3c2d 8h8d6d2s2d Ks5d5c3h3c 
JsTs8d3s2h Kd8d5s5d4h Js9d6h4s4c QcJh8h6h2s 
AsJs7s5c2s Ts9h6d3h3c AdQh7s5h2h KcTd8h7d3d 
KhJhTc6h2h QsTd5s5h2c KdTd7c3c2d Js9s9c6s4s 
AsQd3s3h2s KhTc9c4d2s Ks8s7h5s3c KsJc9s4h2s 
Jh7s7h4c2s QhJh7s4h2s Th9h8h8d4s Ac5s4h3s3h 
Qh6c5s4h3h Qd9c8h7h4s Qc8c7s4d2d AhKs6d3d3c 
Th9c8d4s4d 8d5h4c3d3c AsJc3d2d2c Kd9d8s5h3d 
Tc9s7s6h2d As9h9d7h3h Ah8c7d4c2d Kd5d3h2h2c 
7d6d5d3s3d KhQc6s4d3s Js8d7d4d2s Js9h7c3h2s 
TsTc7c3h2h Ac7c6c4d2s Qs7d6s6c3h Ad8h6c4h2c 
QdJs9c4s4h 9s6h6c4h2c Th9d8c4h2s Tc9d7d6h2d 
Kh8h4d3s3d JsTc7c3d3c QdTs6s5s2h KsQcTc8c2c 
QsQh6s3d2c KcQs8h6s3s QcJh9d4s4h 8d7h6s4d3d 
Td9c7s3h3c AhJs7s4s3d Td9c7c4s4c Ad8s5d2h2d 
KhJsJd8c3c Jc7c5h4h2c JsJc9d3h2s AcTh5c4c3c 
KhTd9s3h2h Kd7s6h3s2d KsQh8c6h2d 9c6s5d4s4h 
QhJd9c3h2s KhJh6s6h3c JcTd5s5h2c 9d8s6d5d3d 
Ts8s6s5s5d 9c7s5d4h3s 9h7c6h3h3d Ks8c6c4h3h 
KhQsTs8s2s KsJs6s6h3c Td9d8c4s2h TsTc8d7d3d 
Kh7c6h3s2s AdTs9c5h2c Qs8s6c5h2s Th6h6d4s2d 
Kd7h7c6s4s KdJsJc7s2s QcTs8c4c2d 8s8h7d5c2c 
8d4h4c2h2d Kh6d5c4c3s Td6d6c4s2c Js8s7h4d4c 
Tc9s8h8d4s Qc6h5c4c3d Ts7s7h4h2s Tc8s7h5d3s 
Jc9d8s7c2c Tc7d6s4d2s Ts7d5s4c3h KsTs7c2s2c 
8s8c7c5c3c JhJc3s3c2d Tc8d8c3d2d Qh6h5s3s2h 
Tc7s5c4h3d TsTc8h7d3h JdJc6h3h2d Jd9s9c6s3s 
ThTd6c4h3h Tc7d4d4c3c Js7c6c5h3c Td9h4s3d2h 
AcJh9s6d3d Qc6c5c4s3d Kd5c4s4c3s QsJh6h4d2c 
Ac9d6c3s3c 7h6h6d3d2s 9s6d5d5c3h TsTc4d3s2c 
Ks8d6c3s2d AcJs7h3s3d Ts7d7c5h3d KcTc6d4c2s 
Td8c4d4c3d Jd9s7d5c2h KdJd9d5h2d KhQc7d5h2h 
KcJc9d8c4c Js9h5h5d4h 9d6c5s4h3c KcQc6h4c2s 
Kh8h6c4d2s Ks8s5s5c4h Qc8c7h3s3h 8s8h5s2s2d 
TdTc9h7h2h 9s7s6s4c2c Ts7d6c4d2c Ts9h7h4h4d 
Qc9h7s5h3d QcTs8s7s3s QcJh6s6d3h 6d5d3h2h2c 
Js8h7s2h2c KsTs7s6s3s Kc9s6s5s4d 9h7c6s3d3c 
QhJh8d6c2h As7c6s4s2h QhJd6d4c2s Ts9h7d3h3c 
Kh8d6c4c3d 7s5s4h4c2h QdTc5s5d2h 9h7d6h3c2d 
TsTd9c7c2c KhJh9h5h5c AdJc7h4c3c QsJc8c6c2d 
Ks9s5s5h2h 9c8s5d4h4c KdJd7d6d4d Kh9s8h6d2h 
Qd9h8c7c4s Jc7s6s4c2h 9s6s6h3d2h Jc9s5s5d4s 
8s7c6c5c2d Qd9s9d3h3c 8h8c6d3h2d QsQc7h7c2c 
8s8h6h2h2d Tc9c8d8c4s KsJsTc6s2s KcTd6h3h2d 
Kh8c5d4d2c 8d7c6c5c2h 9s8s6d3s2d 8s8h6s2s2d 
Jc9d4s2d2c KdJd8s7d3c Td9h7s4c3h Js5c4s4c3c 
KhTd7d4c3d Kd8s5h4c3d Jd8s6c5d3d JcTd7s5h2h 
QdJh7s6c3c KdTs7s4s4c Jc7h6h5s2s JcTs8d3h3d 
AcQs7d3d2s Td9c6d5h2s Jd8h7d4h2h Jh7s6s5h2h 
Js9s8h6s3c QcJc6c4c3s Js7d6h5h3c Kc8d4s4d3c 
Qc9h8s6s3d Jc8h5h3s2c KsJc9s6h2s 8s6h6c5c3c 
AsJhJd3c2c Kc8h4h4d3c QsJh8c7d2h 6s6d3d2s2c 
Ks8h8c4s4d Td8h5h4s4h KsTd7d4h3d Qd6d5s3s2s 
AcJd6h5s3h Qh9c7s5d3s Qs9d8d4h3h 9d7h5s4c3h 
AhTd9d4s2c AsTh7c3h2c KdJs9h5s2s Ts8h8c3h2c 
KsQd9s4h4c Js9d8c7h2h Jd7c4s3d3c Jd9s9h8h3h 
Td7c6c4s4c KdJc9s5s2h KdTd8d7d2s Jc9h6s4s2h 
AsJc6c4h4d Ks7d6c3s2c Tc9h8d2s2h Kd8s5d4h3c 
KcQc9c6c4c Jd9h7c3h2d JsTs7s4c2h Kh9h8s5d3h 
Ts9d8c2h2d JcTs7h5d2d QcJs8d4h3s QsQh6h3c2d 
Th8h6c5s2h AhJs6d5c3d KhTd7d4s4d KcTs7s4d3s 
Kc8s5h4d3c Qd6h6c5h4s 8h6h5d4s3h KsQc5h4d2d 
Kd7c5c4s2s 9s8s6d3c2c 9h7h5c4c2h 9s9d8h7d2c 
Qh8d4h4d3c KsJd9s8s2s AcJs5d3s3h Qd9d8c6d2s 
Jd6d5s3h2h 7s5c4s4h2h TsTd6c3c2s Kc5s3c2s2h 
As7c5c4h3d As4s3d2s2d Qd7h4s3h3d Jd7c6s5c2s 
JsTh7h4d2c KcQc8c6h2d Js7c5c4c2s Tc9s8c2h2d 
Th9d8s4h2c 9h8h7h7c4d Ts9d7s4s4h Jh8s4c3s3h 
KdQc4s4h2d Js9c7d2s2c As9h8s4s2d 7d7c6h4h3h 
AcQs9s4s4h AsJh6s3c2d Ts9c6h4d3h QcJs9h4s4d 
Ks9s6s5h3s 9h6h6d3s2d Ac7d5d4s3h Js9s6c3c2h 
8d5h4c2h2d 9h9d4s2s2h Td9d8s3h3d AsJd5c4h3c 
JsTd5d3h2c AsJd5c4c3h Jh9c6s3s2h 9h9d4s2s2d 
Qc7c5d4h3s Kc9s8d7h4s 9d8s7s7h4s 8s8c5d4h2h 
Jd9c7h7d4d Js7d5h4h2d AcTh7c2d2c QsTh6h5h2d 
Js9s6d3h2d QdJc6s4s3s AsJc9c6h3c Td7h7c5s3h 
9c5s5d3h3c Qc7s7h6d4s Ks8d4h4d3s 9s7c5d4c3h 
Qs9h8h7d4c Jh9h7c4s3d QcJc9c4s3c 8s8h6c3h2c 
Jd8c7c4c2d Js6d5s3h2h AsJh9h5h2d 9h6s4s3h3d 
QsQhQdJh8s Kc7h5s5c3c KhJc5s4d2c Js8h7h4s2h 
Qs8s8h7d4s Td6h6d5d4c Qd8c6c5h5c Ks9s6h4s3c 
Qh6c5h4h3d QsTs3s3c2c Qs9h8s4s2h Kc7c6d4h4c 
KhJc9c5c2d QhTd9h3c2h Jc7d6h5h2d 9h7h6h4s2s 
ThTd5d3d2h 7d6c4h4c2h KcQcJs8c2c KdJs9d4h2d 
KdTd6s2s2d QdJs8h4c3s KhJd9h6s2h AhJd4c3d2c 
KsQc7d5s2s Jc8h5h3d2c QdTc8d7d3d Qs7d6s4h3c 
KsQs7s5d2c Kc7c6c4s4h Kh8d5h4c2s KhJs9c5s2s 
QdJc8h4s3c Qh7h5c4s3d 9c8h6d3c2d 6h6d4d3s2s 
Ac9s9d6h4s 8h8c5h2h2d JdTc5c3h2s 9c8h8d7c3s 
Jh9c7h7d4h Ts8s7h6s3s Td8d8c6s2d 9c6c5s5d4h 
JsJc6s5d2s KdQd7d5c2h JdTd7d4s2h Tc9d8s2h2d 
Kh9c6s4c2s AdKc8s6s3s Jc9s8h8d4d AsJd4s4h2s 
KcJs9d8d2d 9h9c8d6s2h Jd8d7h5d3s Jh9c6d4s4h 
AdQh4c3d2d Js9d8h8c4c As9c7c6c3h QsQd7h4d2c 
Jd8c6s5d3d Ts7h7c5d3c Qs7s6d4h3c Jc9c8h7c2s 
KcJc6h6c3s Jd8h4s4d3s Th7s5h5d2d QhJc8c4d2s 
9s8s8h3s2h Js9h6d4d2h Jc8h6d4h2d Kd9s8d6h3d 
Ah7s7h6c2h Qc9c7c6c4d KhTsTh3d2h Jc7h6h6d5h 
Ac9c6c3s3d Jc8s8d5h3c 8d6h6c5d2s Kc7h6h5h3d 
Jd8h5h3c2d Jh8h5d5c4h Tc8s6s3h2c TsTd7s3d2d 
Js7d6h3h3d KcQc7c5s2h QcJd6h6d3d KsQh9s4c3s 
Jc9s9d8s4s Qd6d5c4h3d AhJh7h5c2h KsTh8d6c3c 
QhTc9s4d2d KsTs8s7s2h 7s6s5s3d2d 9h6h5s5c4d 
Kh8d5s4d3s AcKs6s6h2s 8d6d5s5h4d Kc8c5s5h4c 
Js9s6c3c2d 7s5s4h4d2h Jh7c4h4c3h QsQd7h4s2c 
9s8d8c7s4s Ac8c7d2h2c Kh9h9d5c3h Qd9s6s6c3h 
9h8h8d7c3s 9h6d5s3h3c AcTs8d4d2h As9s8c6s2s 
KdTd9d5d2c Js9d7s5c2h KhJhTd6h2h QhQd7s4h2c 
AcJs6d3h2c 8h7h5s5h4h Td8d5c2d2c Jc9h4c3h2d 
9c7s5d4s3h KsTc9d3s2s Kh9h8s5c3h QhQd6h3s2c 
KdJd7d5h2c KcTs9c3c2h QdJs9c6d2d Tc8h6d3c2h 
Tc8s8d6d2h Tc8c7d5c3s AdKc6s3s3h Tc7s6d4s2d 
Ac9d8s7d2d ThTd4s3h2d KdJd8d5d3s Qs9c8d6h3c 
AdJs7s4s3h Qh6s6d5d4c 8h8c6d2s2d Td8s6s4s3h 
Th5s5d4h3s AdTd6d6c2h Js8h5s2s2h Qc8c7s5h3d 
8h6h4c2h2c Qs6s5s4c3d Tc8s5s2s2c Td9c4h3d2c 
9h8s7d7c4c KdJd9d5s5d Ad7d6d4s2h QdJs7c4h3s 
JsTs6c3s2c ThTc6s4h3h Tc9c8d4s3h AhTs5c4d3s 
