Jd9c8d3h2s 
Ad8c7s5h2s 8h6h5d2s2c 9h8s6c4d3c KhTh7h3s3d 
Js9d9c4d3d Js7d5c3s2c Kh8c7s5c3d Jh7s6s5s3s 
AsTc5h4h3h JhJc6c4c3c 7d5d4s4d2s Jd9d7h5s2d 
Kh9s7c4h3h Ah4d4c3s3d As8c6d2d2c 7s7h5s2s2c 
Kh7d6h5s2h Kc9s7c6d2c Qd8s5s3s2d KhJs8s8c3d 
6s6h5c3d2h KhQs4h4c2h 6d5c4s3h3c Qd8d7s5d3c 
Ad9s5c4d2d 9c7c5c3s3d KhJh8d4h4c QhJc9s3s3d 
Kc8d7h6s3h 9s9c7h6c2c Kh9d8s4s4d Td8s7s5h2c 
Tc8d7s7h3c 9d7d5d3s3h Tc9c6s4d2c Js8h7c5s2s 
Ks7h4c3s2c AhKs9d3d3c 8d7s7h6c2s QcJd8h4h3s 
Th8d7c5d2s Ks7s5c3s3h AsTh7h6h2d Tc8s8d7h3d 
KsJs6h5s2s QdThTdTc8c QhTh5h4c2h QdTs4c3d2h 
7h7d5c4d2d Ks9c8d6c3c Ts5h4s4h2c Qd8d7h5d3c 
8h8c4h3s3d KcJd5s3c2c Qh7c6s2h2c 8s8h4h3d2d 
JdTh8s3d2d KcTs7c6c2c 7s6s4s4c3h Td8h4h3d2c 
Ks9c5h4d2s Kc7h4d3c2d Th9d8s4d3d AdTh5h5c3h 
Qd7h6s6c4h QhJc8c7d3c KsQh9d5c2d Qh9s9c8s4s 
Kh9d4s3h2s 8h7d4s4d2s KcQs8s4h3d Ad8s7h6c3h 
QsTs7s4d3s Ks8h5h3s2s Kh7c4h3d2c Ts8d5c4h3h 
Ad7s5d3h2d JdTd7h7d2s QcJc6s6d2h Tc6s6c3s2h 
Ad9s9h6c4c QdTs6h4h2h Kd9h9c8h2s Kh9s8s5d3c 
9s8h6s3s3d Ts9h3h3c2c Jh9h8d7h2h Kh9s9h7c2h 
Ad7h6s4c3c Td6s5d3h2h Kh4d3d2h2d KsJd8c6d2h 
Qd7c5s4d3d Kd8h6s6c2d AhQc9c2s2d AsQc7h5h2d 
9c8h8c6c3c QdTh6s4s2s KdQs7h5s2s Ts9d8d4d3h 
Qc9s9c4h4c 7s7h4h3c2c Qs7h5s2h2d Tc7h5s4d3h 
Jc7s5d3h3c Ad9s9d9c8s Ad8d5d2s2c KdThTc3s2h 
5d5c4h3c2d Js9c7h4d3c KcQd7s5d2d KhTs6c5d2c 
KsTs9s4s4h QdTh4c3d2s Ah8h5h4h3s Kd8s6h5c3s 
Ks8h6d6c2s 9d8d7s4d4c 9h9d6h2s2h Tc9c5d3h3c 
Jh9h7h3s2s 8d7d4h4d2h Jd8d7d5h3d QhTd8c4c2c 
8c7c4h4c2h Qh5s5h3h2s Qh9c5h4h3d QsJh9d4c2d 
TsTh4d4c2s KcJc5d5c2s AcKc8c6c3c Qc7d7c4h2h 
Qc9c6s6h2d As8c6c4d4c Tc9s9h3c2d Kh9s9d8s2c 
AhJs9h6h2h Th8d6d3h2h As9h9d6c4c Ts8d5s4h3s 
As8s5s2h2d AhKd7s4c2s 7s7h3s2h2d 9d6h6d3h2d 
Kh9d6s4c2h Tc6s4h4c2s Qc8h6d5s2d Kc9d8d4h3h 
Td7c5c3s2d Ah8s8h6h2h Tc7h5s4s3s Qs8h8d7c4c 
Qc9d7c5s2h 8h7d7c6s2c KsJs8d4s3h Qh8s7h4s2h 
7h7d3h2d2c Ad9h8s3h2s Jh9d4s3h2s Td6s5s4c3h 
JsJh9h9d9c JcTs8s3h2s Jh9h7h4c3s Qc9s7c5d2h 
KhQc6s6c2d Jd9h9d5d2d Ad7h7c3s3h Ac7c6c5c3c 
Kd7s7h5c3s Ac8d7s6d3d AcQh4d2s2h QdQc7h5s2s 
Th8d6s6c2h Kc9d5c4s2h Kd9d4h3h2c As7s5h3s2d 
Td8d7d5s5d 9c8h7s3h3d AcQc8h3s2c AhTs5s5c3s 
KdTh5c4c2s Qh8s7h5c3h Qc9d8d3h2h AhKd9d2d2c 
KcQs4c3d2c 9s8s7s7d4s JsTd7d6c2d Jd8d6h5d2c 
QsJh9d7h2h QcJs8d4d3h Ac8s6s5h3d JhTd8s3h2h 
Kd8s7s5c3h KsJs8h4s4d 8d7c5c3c2d KhQc7s6c2c 
KcQc8c5s3c Kc9h7h5h4h Qs9c4d3d3c Ad7c5d3h2d 
8s8h7c5c2c Td6s6d3s2h Qd7h6c2d2c QdTd4d3s3c 
Ks7d6s5c2s KsQc5c3c2d Kh8h6d4s3h Ts9h8h4h3d 
KhJc8s7s2d JhTs6s4c2s Kh9h4s3s2c Jc9c8h6c3c 
Js7h6s6h2s 7d5d5c4d3h KdQc5c3h2c Ks9s7s6d2c 
Qh7s6c5s3s Ts6s6d3s3c 7h6s4c3c2h Td9c8s3c2h 
Kd9d8s8c4d Th8h8c4h3d Qd9s8h7h4h KcJc8h4s4c 
8s8c4s4h2d JsJd6s2h2c 9c7d6c5h2c AhKc8d4d2d 
9h8s5s4s3d Qc8c7s5c3d 9s9d7h5c2c Qc9s8h5s3s 
8h8d7c6c2s KdTd9d3h3d Ts9d5h3h3c KsJh6d3h3c 
Th7c5d2h2c Jc7c5c4h4d Js8c7s5s2d 8h6s4s3h2c 
Jh7d4d4c3c QsJh9h3h3d Kh5s5d4h3h Js6s6h5s3d 
Jh9c6h4s4h Qh9h6s3d3c 9s9h6s5s2s AsTd6d3h2h 
8c7s5s3c2c JhTh4s4h3h KhJc7c6s2d AsQh9h2d2c 
Jc6d6c5c3h JhTd7d5d2d Tc9d7s5h2d 6d5c4h3h2s 
7h6s5s4c2s Qc9c8h4s3d Kd8s7d4h4d 6d6c5s4h2s 
Js7h6d4d4c Qh8d4d4c2h Qc8h8c4d3s Kh7s4s3c2h 
Ts7c5h4d3c 9h8d7c3d2h Qc9c5d4h3c 9c8d6s3h3c 
8c7d6h3c2d Ks8c5c3s2s Kd6d4h3s3c Kc8d6s5h3s 
Jc8s6s5d2s Qs8c5c3c2s KsQs9c3h2s 9d7d6c3d2c 
Kh7s4s4d3d QhQc7s4c2c 7d6s6d3s2s AsKd8c4c2h 
Tc8c4h2h2c Ts8d4c3c2s Td6h5s4h3c QhTs9d3d2d 
Jd9h7c5c2s KhTs7h6h2h AhJc6d5s2d Td6d6c4h3s 
Td9c6d5s2d Ad8d8c6d2d Js9s8c5s2s 8d7h5c4h2h 
AsTd5d5c3d 6h5s5c4d3h Kc8c6d6c3s Ac7d5c3s2c 
Kd8s7d4d4c QsJc9c3d3c JhJd6d2s2c 9c7s7h3h2c 
5s5d4c3s2d Tc9h7s5c2c AdTd6c2s2d Js8s7s5d3s 
KsTh3h3d2d 7s7h3s3c2h Kh9c8s7c3d As8d7h7c2c 
AcQs4h2s2d 6s4d4c3s3h Qs9h8s8c2s Kc9s5c4h2d 
Qh7s6s5s5d 8s5h4c3h2s Qc9s4d3s2c Qc9s7c5h2d 
Jc9c8s8h2c QcJc8c6c3s Ah8h7h6h2d Td8s7c4h3s 
Ad7c5d3s2d Qd6c5h4s3c KsJd6s3s3h Jh9h7h4s3c 
9h8d3h3c2d Qc9d8h8c2c Qc8h8d6h3s KsJc7c6h2d 
QhTd7d5c2s 8s7s5h4d2s AdJs6h5c2h Jc9h9d4s3s 
6h6d4h2s2c Qd6c5s5h2d Qc9h5d4c2s Ks9h5d4c2s 
Jd9s7s5s2c 7s6h6d5h2h Kc7h7d3h2c Ah9h7d2s2h 
5c3h3d2h2c QdJd8d8c3h 8d5c4h3c2d QdJh5s4s2s 
Kh9s9c6h2h KhJc6h3h3d AsQh9c6d2c Qd8d4s4h2s 
Js9d5h4d3d Th8s7c3c2h Kh8c7s3h2s TsThTc9h8s 
Th8h7h5c2s KdJd6s4d2c QsTs7s5c2d 9d8c6s6c3c 
9d8h4c2h2d KhJh9h3s3d Jd9s5h4s3s QcJs9c3c2h 
ThTc4s4d2h Js8s7c2s2c AhKs9d6c2c AhQd7s7d2c 
9c8s7h3c2s 9h9d7c6h2h KdJd8h4d3s 8d7h6s4s2c 
QsTc4c3h3d Th5h4s4d2s Kc6d3s3c2d Jc7s7d6d3h 
Ah4h3s3c2d QsJc5d4d2d 7s7c5s4h2s 8s7c6h3s2c 
Ts8s7d4h3s KdTh8s5s2c Js9d4c3c2d 9d8d6h6d4d 
Qd9c8s3s2c 8s7h6d4c2c Tc7s7h4c3d KhTh4d3s2c 
Th8c6s6d2h KsQd8s4h4c QdJd5h3d2s Tc8s7h3h2c 
AdTd6d2s2c Ts8h5c4d3d Tc9s5s3h3d JcTs6h4c2c 
7h7d3c2h2d Ah9d8s6c2d Jh6h6d5s3h KsQc9d6h2h 
Qh9s8d5c2d 9s8s7c3h3d 5h5c4s2h2d Qc9s9d8d4d 
Ac7s7h5d2h Ac9s7s4d3h Jh9s9d6h2c Kd9h8s6h2c 
Td8s5d3s2s QsTs7h4d2c AhJd8s4d2d KdQh7s2s2h 
Kh9s9d8d2c AsTs6h2s2d Jh7c5s3h3d Tc6s4d3c2d 
QdJh9h3s3h Kh9h5s4h4c JdTc6c4c2s QhTh7c3c2h 
Js8s7d6s3h Jd9s9c4s3s Tc9s6h6d2h 8d5c4d3s2s 
7c6d4s3h3c Tc8d7h4d3s Qs7s6s6c3h AcQd9h4h3h 
9h6h4s4c2s As9d8s3c2s Kh8d6s5c3d KdJh7h5h2c 
Qs8d6s5c2s Qd9s8c7c3h KdJd9d3s3h Ad9c4h2s2d 
7h6h4s3s2h Th6d5d4c3s Kc9s5d4d2s KcQs6d2h2c 
Td8d4s3c2c JdTh8c3s2c Qs9d9c8d3d Qd8h6c5h2s 
Ac8d7h6h3h QsTs4h4d3s Kc9d6s6d3h QcTc4s4d3c 
KdTh7c5s2h Td8d7s5d2h KcTc9c3h3c 8s8d3d3c2c 
5s5d4s4c3s Jh8c7d6d3d Tc5s5h4h2c AdKc7s4h2s 
Kd9c7s4d3d Jc9c7s6d2h 6d6c5h3s2d Ks9d7h4s3s 
Js8h8c7d3s 8c5d4s3s2d QcJd8s7s2h JsJh7h6h2d 
JhTs4h2d2c Td9c6c4s2h Td8s6s6c2h Ts8s7c5s2d 
Kd8d7d5h5d 8h7s6s3d2d Ah9s6s5d3s 6h5d4s3d3c 
7d7c5c2s2c 9s6c4c3s2d KsJs8d7s2s Kc9d6d4h2h 
Ts8d7h4c3d Kc7d6c4h2s KcJc9c7c2h Kc6d6c3d2c 
Ad8h7c6s3c KsJs9s7s2c Qh9d4h3s2s AdQc9s4h3h 
Qs9d5s4s4c KsJc5h3s2s Qh7h7d4s4h Kc8h7s5h3d 
Jd9d8h7d2d 8h7d6h5h2h Qs9d6d3h2h KhTc6d4s2c 
As9c7h4d3c Ts9s6h4c2s 8s7h5c3h2s QhTd6s4s2s 
AdQc8h4h3s KsJd5s5h2s Td9s6h6c2c QdJd8h8d3c 
Ks9s4d4c2d KhJh6c4h2s KcQd7h3h2d 8h6h6d5c2h 
Qs7d5d3c2s QhTh7s4c2d Th7s7d4h3c 8s7h4h4c2c 
QdJs6d5d2d Ks9h8c7h3d 8s7c5d4c2c 5h5c4s4d3s 
9s8d7s4c3h 9d7s7h4h3c Ks9h9c8c2d KsJs7s5s3s 
KdQsJc7c2c Qh9h8c4d3s Ad9d8c3d2s Ts8s7s5h2c 
Qs9h7c4s3d AhKc8d4s2d Ad9c8s3c2s Qd9h8h7c4h 
Kc8h5s5d3c QsTs9d4s2s Ts6h6d3s3c 8d7d6d5c2d 
Th7s5d4s3s Kd6h4d3s2c Ks8s7s6d2h Ks9d8d4c3c 
Qs6s6c5d3s QcJs6s5s2s Jh8h5h4h4d AcJd6h5s2h 
8h6s5s5d2c 8h8d7s5s2s KdTh7d4s2d KcJh8d7d3d 
QdJd5h3d2c 8s6s5h4s2s Jh8s7h7d3c 9s9c7d4d3d 
Ac9d8s6d2h Qc9h5c4s4c Th8s7s4c3s 9s8d4s3s3d 
KhQc7s2s2c JhTs7d6c2c 9d5c4s4d2s Qd6d6c5h2s 
JhTh4s4c2h Jh7c6h6d3s 8s6s6c4h2d 8c6s4c3s2c 
KcTd8h8d3d KsTs4h3d2c Qh7c6d2h2c As8h7d6h3h 
Jh9h8h5h2c KcTs8d3h2c Ad8h6h5s3h JsJc7c5h2c 
KsQc7c6c2d Ks9h7d7c3d Kh7d7c3c2h Kc9d8d5s3h 
QdJs7h4h4c QcTs4h4d3s Kh7s7c6s3d Ts8d5s5c3h 
QsJs4h2d2c QdJc9h4s2h AdKs9s4c2s Jh7d6d6c2c 
9s8h4c3h3c 9c6s6d5h2c Qc8s7h7d4h QdTh9s3c2c 
8d8c7c4c3s Qd8s8h7c4c Ac9c5s5h2c Th8d6s6d2c 
Jd8s7d2s2d Qc8d7c4d2c 9c8h7s3h2c Jh9h7c6d2s 
QsTs7d3s2d KhQdJc7c2c KdQc7h3h2c Js9s7s3h2h 
Qc9h7c6d2s AhTdTc5s2s Qd6s4s3d2s QdJd9d8d3d 
Qc9d6d5h2s 7c5h4h4d3s QsTh6d3c2s 8h5d4c3c2d 
QsTs7s5d2h Qd9h6c5s2h Ac8c7c6c2d 8c7h4h4d2d 
Jc8h8d6d3s AhTc7c5s2c Kd9d7d6h2s Ac9d5s5d4h 
AcTd7h5h2s Td9d6s6d2h 8c7c5d3h3c KcJh7c3s3d 
Kd6s3d2s2c Qs9h7d6s2c Qh9h6s6d2c Jd8s5s3d2d 
Qc8s6c2s2c 8d6d4c3c2d Kd9d9c5d3d KcJd6h3s3d 
Ac8h7s6d3s Ts6d5c3s2d KcJh8s7d2s AsTc4s3h2s 
Js9c8h4d4c Kd9s8s4c3c Ks7d6s4c2h KhJc5s3h2h 
KcTc7c3s3d Ts7h5h2s2h Jh9h6c5s2h JsTh8c3d2c 
Qs6s6c3h2c Qd7c6h6c2h Qs7s6h4s4c AsKh8d4d2c 
Tc6d5d4s3d Ks9s7s6c2h Kh9h9c5h3h As9h7d4c3h 
Kh7s7d5c3d AcQc7s7h2c QcJs9s3s3d Td9s5c3h3c 
Kh9c6s4d2h 9c6h6d3h2c Jc5c4s3s2s QsTd9c3c2c 
KdJd9d3h3c Qd9h7s7h4c QhQd8h4h2h Qs8c6h5c2d 
AsTd4h3s2s KhQh9h9d3h KdTd7s4d2c Qs7h6c5h3h 
AcTs6d4d3h KcTd5h4h2s Kc7c5c4c3s KhTs8d4s2c 
Ts7h4s4c2c 9h9c6c2s2c KdTs8s4h4c AdKs8d4d2d 
9d8d7s3h3c Js8d6c5d3d Tc9h8h4h3s Qd9c6c4c3h 
AcJd4h4d3d Js9h8d6d2d Kd9h8c6h3h 8s6h5h5d3h 
Th6s5c4d3s Ts8c7d3d2s 8h7d6c3d2c Kh9d9c6c3c 
QcTd9c3c2c 6s5h4c3d2s Qd8h6s4d3c QhJh9h3s3d 
KhQs7d4d3d Th8d7s6h2h 9h7c6h5d2h Jd8h8c6s3d 
AcJc7c3d2s Td5d4s4c2s Ts5d5c4c2s Ac8d7s7h2s 
Qh9c7d7c4s 8h8c4d4c2s Td7s6c2s2d QcTh6s4d2d 
JhTh6h4d2c Ts9h8h4h3c Jc7d6c4s4h 9c6h6c5c4c 
QhTh7h4s3h JsJdJc9c8d Qd8h7d4h2d 9h9c6c5c2c 
Qs6c5s4s3s KcTs6h5d2h 9c8s6s6d3s QsTh4d3c2s 
9d8s4s4d2s 9d8c7s3h3c As8c6c5d3h QsJd7d2s2d 
JcTh8s3h2h Th7c5d4c3c Qd9c8c6h2c 9s8d7h3s2d 
9c8s8c6c3c KsTs4d3c2h Ts6h5c4h3h Qs7s7c4s4h 
Js9s8c4h4d 9c6d5s5h3c Js8h8c3c2s Kh7s4h3c2s 
AcTc6c5c2d Js7d6h4h4c KsQd9c6c2c Ad9s5d4d2c 
AsKh9h4d2h KsTh8d5d3d Qh8c7s5d2h Qh9c7c3h2s 
Jh7d6s6d2s Kh7s7d3h2d KsTc8d8c3c Jd7c6c5c3c 
Th9d6s5s2c KdQs9c6h2h Kc7h7d3c2d AcQd9d2s2h 
KdJc7c5c2h 6s4h4d3s3c Kc9c7c6s2d Kh8d6c5d3s 
Qs6s6d3h2d 8s7d4d2s2d Qh8h7d5h3c 8h7s6d4c2c 
Tc8h5d4s3c 9h9d7d2s2d KdTd7d6s2d Qd9h8s4d4c 
Qh7d6s6d2s JhJc7h2s2d Kh8d7h5h2s Ac8d4s4c3c 
AhKs9c3d3c Jc9h9c7d2c Js9d7d5d2h KhQs7c5s2s 
9h6d6c3d2h Qc7s7c4h4c Jc5d5c4d2c Qs9d6d4d3c 
Ts6s6c3c2d 8s7s7h4c3s Jd5h4c3d2c QsTs5s4c2s 
KhJc5s5h2h Qh7s5s2h2c KdQs8c7d2d KhJc8s7d3d 
Jh7c6d6c2d Kc9d7d6d3d Ts8h7h5d2c KhQs8h6h3h 
Qs7s6s6h2h AsTd6h6c3c Tc8h5d4s3s Js8s8c7d3s 
QhTs9c3d2d Ac8s8h7h3h QdJh7h5c2s QsJh7h2s2h 
KdQh5h3h2c Qh9s8c7c4c Qs9s6h6d2c KsTd8s4s2s 
7h7c6h2s2d 9h9c7d6c2c Ks9d5h4h2d JhJd6s5s2s 
Qd9d8s7c3d Ad6s4s4h2h 9h9c5c4s2d Td6c5h4c3s 
Qs7s6s6h3c QcTh6s4s2s 9h8h7d4h4c AdJs8c4s2s 
9c8s3h3c2s KhQs8d4c2h Js7c6s4h2c Ah8s8d7c2s 
Ts5s4d4c2c KdJh8s7s2c Qs7h6d5h3h AhTdTc4c2c 
QhJs7s5d2c QhJd7h6s2c As9d8s3h2s Qc9h4s3s3h 
KcJs6c3h3c AhJd4d4c3d 9s7d7c4d3h QsJh6s4s2c 
QcJh6c5c2c 8d7h7d4c3d Ad7c6s4h3h Jc8c7s2s2c 
Kc7s6c4h2d Jh7s7h5h3h QhJd5h3h2c QsJd7s5s2c 
Qd7c6h5c3c 5s5c4d3c2s Jh7c6c5c3c AsJc5c4c2d 
6c5s4d3h2c QcJh9h3s3h 8d7s6c3s2c Qh9h8c7h2s 
Kh8s6c5d3c Kc7s5s4d3s Qs8h7d7c4c 9c8c7h7c3s 
KsJh8d7d2c Tc5c4h4d2d Kc7s7d3c2d AdKs8h4h2h 
AsQs9s7s3s Tc9d6c5s2c Ks7d7c5h3d Jd8c7d4s3h 
QhJc5s4s2s 8c6s6h2s2d AhJs7s4s3s As7h6c4d3d 
As8h7d7c2d 8s8d7s4s3h KhQc5d5c2c AdKc9c2s2c 
AsJh5h4h2d KsTh5d4d2c JdTd7s7d2h QcJh8d4d3s 
QdJs7s5c2h Qd7s6h6c4s Jc8h8d3c2d KhTh7s3c2d 
8s8d3s3h2h Jh5h4s3s2s Qh7h7c5h4h Qs6d6c4c2d 
Qs7h5d3s3c JhTs5d2s2c Ah7s6c4d3s 7s7c5d4d2h 
KdQs7h4h3h Ts8c7h6s2s KhQh6c4h2h Jd9h8s6s2s 
KsJd8c5d2d Qc9h8d3h2d Td9d7h5s2d QdJd8d7d3c 
Jd5d4c3c2c KdJh5c3d2d Jc8h4s2s2c Td7h7c4h3s 
Kc8c7c5h5c QdJh6d5d2d QcTd9s3s2s Ks9d8h6d3d 
8s7h6c3h2c KcQc9c5h5c KsQs6s6c3s 9s7h7c5d2h 
TsThTc7s7h Kd8c7d4s4d 9h6h4c2s2c Kd8h7d4d4c 
As7d6h4d3c 8s7s5h3s3d AsKs5s4s2s Ac9c7s2h2c 
Tc6s5s4h3d 6s6c4c2h2d Th8d7d4c3d 7c6s4d3c2d 
8h7c6d4s2s Td8d7d5d3h Kc9c8s8d4c AcQs4d2s2h 
QdJs6s5s2s KhQs8d7h2h KcJc8d4h4c 9h7s7c4d3h 
KcQd8h4s2c AdTh7c5c2s KcTs6c2h2d QdJd8c4h2d 
KhJh9h7h2d Kc9s8s7h3d Js8d7s7h3c Qs9h7s6d2c 
8s8d3d3c2s AdQd8s3h2d Qc9c5s5c3h 9c7s7h4s3d 
9h5s4h4d2d Qs7h5s4d3s Jc8c7d6c3s KdTc7h5s2c 
QcJs9h3h3d Jh8c7d6d3s Td5c4s3s3c Qc9s7s3c2h 
Qd8h7s5c2d Ac7h5c3d2c Tc8h7d4s3h AdQc4h2s2c 
Kh8h6s6h3d ThTc4s4d2c Ks9h7h6h3h QcJh5h3s2h 
KcTd6c2s2h Ad7c5d3d2h 8d6s5h5c2h KcQd9h6s2s 
Ad9c7c4s3c 9d8h7c3d2h Kh7s7d3s2h Jc9c4s4c2s 
KhJh8d4h3s KsJs9s3h3d KcQh5h5d2h AcTs5s5d3s 
KdQh7c4c3s TdTc4s4h2d Ts9d8d4h2d Ks9d5s4c2h 
Ah9s9c7c2d 8d8c7h6h2s Kd8h6c3h3c 7s6d5d4h2d 
Qc8c7d5c3s QhJs5h3h2d Tc6s5s4h3s 7h7c5s4s2d 
QhJh9h6h3h Qs9d7c4s3h AhJd4d3s3c KsQs8h7c3s 
Qd7h5d2h2c 8h8c4h3s2s KcQh7s3s2h Js7c5c3h2s 
TsTc7d2s2h KsJc5s5d2s Ks8h7s5s2c Qd7c6h5d2s 
KsQh8h4c3d AdTc5d3h2d 6h5d4s3s3c Qh8c6s4s4d 
AsQh6s3d2s Tc9h8s4d2d 9h8s7d3h2s Ts6h6c5s3s 
Tc8c7s3d2d 8h8d4h4c3h As9c5h5c4d KsQc6h2s2d 
KdTd8s7d2d Kd8h6s5c3h QcTd8s3h3d Jh9h7s4h3c 
Td7c5c3h2d QcJd9c3c2h 9d8s7c3d2s KhQd7s3s2d 
Ts7s7h3c2h QcJs8h4h3d Jc7h7d6d3s 9c7s7d4h3c 
QhJh9h2s2c Jc9c7s4c3d Qs8d5h5c4d Qd9s6s5h2c 
Ts8d5d4h2c Kd8d8c6h3d Qs8c7d5h2s Kc9c4h4d2d 
Jd6s5s5h4c Ac9h8s6d2h Qh9c8d5s2s Js9s6d4s4h 
9c8s8c7h2c Js8d6h5d3d Qd7s6h5s3s Kc6s6d2s2d 
Ks9d8d4h3h JsJh6s2d2c 8d5h4s3s2h 9d8d7h3s3c 
QsJh8d7d2c Qs9s9h4s4d KsTd7c4s2s Kh7c5c4s3c 
Ts9c4h3d3c Tc5c4s4d2s QdJs5s3h2s Tc9s7d5h2s 
5h5c4d3h2c Jd6s5h4d3d Ts7s5s5d3c As7h6d4c3c 
Ah4h3s3d2c KhQd8d6s2d JdJc7d2s2h Th8d7d6d2s 
QcJd7c6h2s KsTs6h6d2s KdJc7s3s2c Ac9s8c3h2c 
AcTs3s3h2h KdQc7h4h3s KsTc8c4h4d Qs8h7h5h5d 
Qh8c4h4d2d KsTs9s3s3c 9c8h6h6d3h Jd9c8s6s2h 
Tc8h6s4s2d Qs8h7s6c3s QcTh6d3s2c KdTc9s4s2s 
7h5d4s4d3c KhQc8s5s3d KsQh7d4d3d Jd9h4c3c2d 
8c7h5d4h2h KhTh7s4h2d AhKs8c4c3c KdTc8s4c2h 
Ks9h7d4s3s QsQc7d4c2c QhQc5s3s2s Qh9c4h3d2d 
QdJh4s3d2c JdJc9s9h9d Td8s8h4c2s Ah7c5h3s2h 
Ks9c7c6c3c KdJc6s6h2d Qh7s7h4h4c KdTd4c3h2s 
Jd8s7c6c3c Qh7h6d4s4h Qh9c7s5h2d Tc9s8d4d3d 
Qh9d6c5s2d KcTh7d4c2c Js9s7s4d3h QdTh8c3s3h 
Kd9h7d6c2d KsQc4h3h3d Js8d7s4h3c QdJs9h4c2h 
QcJc8d4s2c JdTd4s4d3d Ts6h6d5s3c Kc9c4d3h2d 
Ks7h5s5c2d 6h5h4s3c2d AdKc8s4h2s Ks8d7s3c2c 
AdQh6h6c2s 9h8h7h7d4h 7s6c5c4d2c 8c7c5s3h3c 
Qs9h9d8h4h 8s8c4c3h2h KsJs9d3s3h AcJs6h5d2s 
KdQd9s4h2d Ah9h7c2s2h Qh7c5h4s4h Th8s6s6c2d 
Ad8c4s3h2d ThTd9s9h9c Ts7d5c4c3c Qh8d6h2h2d 
KcQh9d4h2s 9d7s7c5h2c Qs6d5s4s3s KcTd8c4c2c 
JsJd7s6s2h Jd9d7h6s2c Kc7h6c5d2c 7s6s4c3c2s 
Qs7d5d2s2c Tc9d6s5c2c Qc9c8h7c4c Ts9h6d6c2c 
KdJh6d3d3c Ad9c5h4d2d Ks4h4c2h2c Tc8d7c4h3c 
QdJh5c4c2c Jc8d7h5c2c 9s8d7c3s2d Qc9s5h4c2d 
QsJc8d4d3h QsQc7s6s2s 7s6s6d2h2c AcJs7h5d2h 
QdTc8s3h3c Kh8d7c6c3s Ts8d5s5h2c Qs8s6s5s3h 
KcQc9h4s2c QdTh8c4c2c Qd6d6c5d4d Td6c5s4c3h 
Qd7d6h6d3s KdTd7d3s3c 9s8c6s3s3h Qh8c5h3c2c 
KsJd8s5s2s Jh7h5h4s4d 9h8c7h6h2h Kd6c5s5c4c 
As8h4s3d2c KdQd8c7h2d Jd9c3d3c2h Td8c5h5d3s 
8s7s7d4h3s AcJsJhJc3s 7s6s4s4h3c Jd9c8d3s2h 
KcJh8d5h2h Qd8s8d6h2d 7d5c4s4c3h Kd6d5h2s2c 
8h8c4s4c3c QhJh5s3h2d QhTh5h4s2h Tc7s5s3d2c 
Kc9c7c6h2s KcJc5h5c3c Ts7c6h4h3h KcJs6h3s3d 
9d5h4h3d2c Th9h8s8h4h Ac8h6h5s3d Jd9d7c6h2s 
Kh8h7d5c2h Kc8h7s5c2c Ac8s7s7d2h 9h8c6s6d3c 
AhJs6s4d3s 9d8d7s7d4d Ac8d6h5s3s QsJs9c3h2s 
7s7h5c4s2s Th8s7c5d2s Jd9d6h3h2d Td6s5s4h3c 
JsTs7s7h2c 7h7c5d4d2s AsQs5d3s2s AsKh8d8c2c 
KcQd5s5d2d 9s9c7s2s2h TsTh4d3d2s Ks6h4h4c2c 
Qs9d8h5d3d Kc6s6h2s2h Qs7d6h5d3d Kc8d6h5s3h 
Ac7s6h6d3h 9d8h5h4h3c KhJh8d4h2c 9d7s7c4h3d 
Ah8d7s7c2s QsJc7h5d2c Ts8c5s5d2h Jd7h5h3s2d 
KdQs9h6h2h QsJc8s4s2h 8h7s6d3s2h JdTs5h2s2c 
Td8s7c6d2d KdQh3d2s2c 9c8s6c3d3c 5s5h4s4c3s 
Qd8h7d5c3d Jh7s6d6c4s Kc9d8d7h3s QcJc8c7c3d 
Th6s5c4s3s Jd6h5c4s3h Kc8h6s3s3h 9c5d4s4c2s 
Qh6c4c3h2c Jd9c8s6s2s Tc8c6d6c2h Th8s6h3s2s 
Kc9d7h7d4d AcThTd4h2h Tc9s8d4d2h Ts9c8c4h2c 
Js8h6h5d2h Ac8h8d7s2h Kd7h4c3d2c Kc8c7d6c2s 
KhQs4h3d2h Kd8h5s5c3d 7s7h5d4c2s Td9h4c3s3h 
Qd6d4c3c2h 9c7s7d4d3h Jd9d7s5h2d 9h5d4d3h2c 
Qh9d6s6c3c Qd9c8h6s2s Qs8s6d4h2c Qh8s5s3s2h 
Ks9h7c4s3s Qd9d8h7c3d KcQc8d7h2c 8c7d6h3d2c 
KcTd7h5s2d AcKd8d2h2d AcTh5h5d3h KsJc6s3s3h 
Qd8c7c3d3c Th9d8c4c3c Kd9c6h4s2d Jc8c5c4s2h 
Kc7h5d5c2s 9c5s4s4c3s KdQs5s5c2s QhQc7s5s2s 
QdJc7s5d2d 8s6s5d3s3c Kd9s6s6c4h Jc8c5s5d3h 
7s7h5c4h2h Tc5c4s4d2d 8s7h6c4h2d AhKd8d2s2d 
Jh9h7d6c2s AhTh4d4c2h QdTd7s4h2c 9h9d6h2h2c 
Tc8h8c4c3d KdQc8h4s2d Td8s5s3s2d Kd7h6s4d2c 
