Ac8h8d6s6d 
JhTs4s4d2h QcJcTc5s5h JcThTc6s3c Tc9d7s6d2s 
Kd8d5s4h2h AhKcJc9c2c QdJs8h6s4c AsQhTd4d3d 
Js9d5s4s4d KsJs8c6s3c Ad8s8c6s6h 8d6s6h3s3h 
Js8d6c5c2s Qc7h7d4h4c Jh8d7h6c3d KcJd9d5s4h 
8s8c7h6d4h Ts7c6s6c3d Kc7h6d5s5c KdTh7d6c3d 
Ts9h8s3h3d Tc7c5h4h3d KhQsJs7s4d 7s7h6s5s4c 
9c8s7h7d6h Kh8h5s4d2d JdTd6s6d5c 8s8d7s4c3c 
Qs8d6s6c3d KsTc5c4s2s KcQh9s5d4h Qd9s8s7s4d 
Ks6c5s5h2c JsTc6d5s2d Qd8s7h6s5c KsTs9s5h4d 
Kc9d7d5c2d KhQc8s5s2c AhTs9d5s4c Kc7h6c5d3s 
JdTs7h4h2d AhJs9d8c3s 9s6h5h5c3c 8d7s5d4s3c 
QdTs8d3s2h As8d5d3s2d AhQsJc4d2c Kc7c5h4h4c 
Qd9s9h8h4s JhTc4s4c2h AcKs8d2s2d Jc9h6s6h4s 
AdQc9h5c3s QsTd9d3c2c Td9h8d5h2d KhQh9s6h5h 
JsTh7s5s3d AdQsTh6c3c JhTs9s8s3d Qc8h6d5h3d 
KhQh9d6h5h JsTd5c2s2d Jh9d7s7c6h Qd9h7c6s5s 
AcJcTc4s2c 9d7d5h4s4h KsJh4d2s2h Qc9s9d6s5h 
Qs9s6d4h3h QhTs7c4c3s AcJhJd8d2s Qs9d8d8c7d 
KsTs7s7d4h Qs7c6d4c3s 9h8d7c5h4s 9d8s8c6s2c 
Ks9s9d8d3s JdJcTd4s2d Kd7h6s6c5d 9s9d6h6d3c 
KsQhJh7d2d Jd9s8s8d2d AdKs7h5s2c KdTs9h9d4d 
QhTsTc4s4d Tc9s9h6c5c Ah6c4h2s2c KhJsJd8h3c 
Kc6s5d3c2d KcQs5s5d2d Ac8c7d3s2d QcJh8s7d5s 
JdTs7h6d2h Kc9h9d5d4h Qd7s6s6h3d 9h7c6s4s4c 
9c7d6c5h4s AsTc9d5c2d JcTc6d4d2s Jd9s9h8d6d 
Th9h6d5d2c Td7h7c6d3h 9s8h6s5s2h JdJcTh3d2s 
AdQc6h6c5c Qd9s8c6c5c AdQhJs2s2c 9c8h8c7d3h 
Js8h6c5c2s QsQc8c6d3c AcTc6d3d2d AdKsKdKc5h 
Ac9d7h6d5s JdTd9d6h5d AsQd7s6h2c Kh9h7s6c2c 
8s8c7d5c2s KsTd8s6h3c QdTs9d8c3d 8d8c5h5c4c 
9h9d7d5h2d AhQs9s6c4d KsJs9c8d3h Ac9c5d2h2d 
JdJc7c4d2h 9h8s8d6h2d AcTs9d8d2h AdKdJd3d3c 
AdJs7c5c4c Jc9s7c4s4h Jh9c6h5d2c 8c6s6d3s3d 
Kc9d9c8d2c QdTd9c8h3d KcTh8d5c4c JsJd9s8h2c 
KsQsJh8c3d KhKd9s9h9c KcTd7s7d5h QhJsTs5d2s 
QdTs5s3h2d QdTs6s5s4h KcJh8h5s2s Th7h5d4c3c 
7h7d6d5c2h 9d7d5s4c3c 9s7h6h5s2d Ts9h5h4s4c 
Ad5h5d3s3d Td9c6c3s3d Qs9d7s7c4d Qs7s7h6c3h 
Ks8h7h5s2h Qh9s8s8h3h Ac7c5h4d3c Kd8c7s4c3d 
JhJc7d6s4d AdQdJd4c2d QsJh9s8d2c As9d7s3d2d 
JcTs9h8c2c Js8h8c7h6d Jd9s8s7h2h QdTc9s5s4h 
Jh9d7c5s4h KsQhJh9c3h Qc9h8d7h4d QhTh5c4s3d 
AcTd8h7d3s Qs9s8h8d7s Jc8h6s5c3h JhTd8s3d2h 
8h5s5c3h3c Jh9s9d2s2d Qd7h6h4d3s 8s5s5h3h3c 
Tc7d6d6c3s AcKdJd6h2s Ah7h5s3s2s Jd9c6s5d2c 
AcJhJd5d3d Kc9s9h8d5c 9d7h6c5s4s QhJs8d7d5d 
JhJd8s7s4c QdJhJd8s2c Ac9c8h7c2s As9d9c6c4d 
Tc8s6d5d2c AcTc4s3h2h JhTsTh8h2c Ac9h7s7c4c 
KdJd4h3s2h AcQdJd5d2h AdQcTh4h3h QsTs7c6h3d 
AcJc5h5d4c Kd6c5d5c3d Js9h8h8d3d TdTc4d3s3c 
KhJs8c7s4d KhJc4c3h2s 9s7c5d4s4c 8s8d7d4h3s 
QsJh8c7c5c Ac9d9c8c2h KhQh9s6h6c Jc9s5c4s4c 
KhTc9d7h2s AsQs6d4s4h KdJd8c7c2d Jd9c7h5s4c 
Qs6d6c4d4c KhTs9d8d5c 8s8d6h4s4c KcJsTd6s3h 
Jd8h8d5h3h KdTh8s5s3h AcQcJc4s2c KdTdTc6h2s 
Js9h6d5h2s KcQs9h5d4s Kh9h7d6s2s QsTc7s5h2c 
JhTs4h4c2s JhTc9s5c3c QdJc5c3c2d KhJs8s5c2c 
9h7s6c4s4c TsTd9d4d4c Th9h7c6s3d Kh7s7d4d3h 
JsTc7d6s3h KdJsJd3c2h KcQd6c4s3h KcJs6c4c2s 
QhJhTc7s3h KhTc7h6d3h KdJhJc8s3d Kh9s8s6h2h 
QsJd9s8c2h QcTsTd9s4s AsThTd8c2d KsQsJs9h2c 
Kd6c5s4h3d AsKcJc7h2c Kh9d5h4d2c As9d8h8c7d 
AdQd7h4c3d KhJhJc3d2s Jd9s7h7c6d KsKc7c4c2d 
Td8d6s5c2c KcJs6c4d2d 9h9c7h6d2c JhTc7s7c4c 
Jd9c6s5c2d Qs7c6h6c3s Tc9d5d4h4c Ac8c5h5d3s 
Ah9d6c4h2c AsQs7c3c2d KdJh9d6d6c KcQd9h6c4c 
JdTh9c7s3s AcQc7d7c2d AcJsTd4s2h 7s7c5h5d4d 
Qc9s7h7c4s KsJh4s4d2d QsTs9c8d3s QsTc7h4h3c 
Kc7d6h5s5c Ks9s9c4d3c QsJdTs4s2c KcQc7d7c6c 
Kc9h9d4d4c QcJh8d4h4d KhQcJs8s4d 9h7h5d4c3c 
KsKhQc8c2c AdTd7s7c2h 8d8c6d4s4h KcTd8s7d5d 
KhTc8h6s3d AsTc4s4c2s QsQh4d4c2h QhTs9h5d3h 
Kc8d6d6c3s AhTs4s4h2h QsQd4c2h2d Tc9d6d3s3c 
Ts8h8d7d3s Qh6d5s4d2h KsJd7d6h6c AsKh7c5h2d 
Tc8s6h5c2s Ac9s6c4s2s KdJs8s4s2d AsQdQc6h3h 
9s9h8h6h2s KhJc7c6s6d Tc9h6d5h2c Jc9c8c7s7h 
AdKs9s7s4s KcQh9d7h5h KhTh6h5h4s Ts9c6c3s3h 
TsTc9h5c4d AsQhJh2d2c KdJs8d4d3s 8h6c5h4c2c 
Qs7s6c5s3c As6h4d3h2s AcJs6s3c2s Kd8d6s4s3h 
9s7d6c4d3c Td9d6h5h2c KdJsTh6c3h JcTc6h4h2d 
KdTd8s6c3h Th6c5h5d4d 9h6s6d3s3d Qd7d6s5s5d 
QcTdTc8c5c ThTc6h4c3c Ah6d4d3s2h Qs9d9c8c3d 
Ad9s9c4h4d AdThTc3s3c AcQsTd6h3h AdThTc8s2h 
JsTd9d5d3h AsQc8d7s3s QhQcJc8d3c KsQh9c4s2c 
KhJc9h5s4h Td9c5d4c3s QsJcTd6s2h As7c5d4c3d 
QhJs4c3s2h KcQd9h7s4c Ah9c8d8c2d Jd8h7d5c2c 
JsTd5c4s3h Td8c7s6d2s Jc9h7c5d2h Ah8d7s3h3c 
9s8s6s5d2d QdTs9s3h2h AdJs6c2d2c Ah5h4c3h3c 
QsQhJh7h4h Ts8h6s4c3c Ah8s5h3c2c KhTc9h6d2s 
Js9c7h5d4s KdTc7s7c5h Qc9s9d7s6s Jd8d6c5s2c 
AdQsJd6d3d Ks8s5d4d3h Tc9h8c4d3d QdQc7h2h2d 
QsJd9h5d4d Qh9s7d6c5c QhJd8c5c4s JhTh7h7d4c 
Ah6h5h5d2d Qh9d9c8d3c ThTc4c3h3d 9h8s8c6c2h 
Kd9s9c5s4c KhQh7d5s5c KsQdTc8h3d Qc8c7h5d3d 
Kd8d6h4h3c Ks8h8d7s6s Kc9h6h5d3d JhTs9h7h4h 
QdJcTd4d2s Ah9d8s4h3c JsJc6h4s2c Qh7h7d6d3c 
JhTd9d8d3s Ks9h9d4s4d JsJh7h4d2s QsTs7h6d3c 
Th9s9d6d5d Kd8s7s7h4h Jh8s8c6h5d Qs7s6h5s3h 
Ac9c6c5h2h 9s7d6c4c3d KcQhQc5c2c KcTd8d6s6h 
Tc6s5h5c4h Ks8h5s4c3h QsJs9s6s5h 9d8h7h7d2c 
QhJs8c4s4c As5s5c3s3h AdQs8d6d3c Ts9h6h6c2s 
AcJc8s3h3d Ad8c6s3d2s Jd9h8h8d2d KcJh3h3c2d 
JhTc9c5c3d AdKs7s6c3s Tc9h6h3d3c JhTs7h5s2h 
KsJhTc6c3d KsTs9s9h3c KhJd4s4h2s AsJc6d2s2d 
QsJc9d8s2h KhJc8s5d4c JcTs5d2s2c QdJhTh3s2c 
QhQcTc3c2d KhTd9s9h4h AdJc8h5h4h AhJd9s6c5s 
AdKh7d5d2s Jc9d5d5c3d JcTh4s4c2s Ad7s6h5d2c 
AhJsJc5s3s 9c7h6c5s4d AcQc7h4d3c Th9c5h4c3d 
AsTd8h3s2c Ah9d6d4h3h Qh9s9h8h2s JhTsTh8h2d 
AdJdTd4h2d QsTc8d2s2c Kd8s6d6c3s QsTd7d4h2s 
JdJcTc4s2c Ts9s7d6h3c AcQc7h3h2d Ah6s6d3d2h 
AsJs7s6h2h 7s6s4h3h3d KcJd9s9c3h QdTc6s3s3c 
Kc7c6s4c3s AcJs9d5s5h 9s9d6s5s3c Qs9d8s6s2d 
8s8d5d4d3s 9h7h5c4d3d Kc9s8c5c3s Tc8s8d7s3c 
Jc8d7c5d3c KsQc9d5h4c AsKd8c2d2c Kc7s6s4c3c 
QcJc6h6c5s KcJsJc4h3c Jd9h7d4s4h QhJs9d5s4s 
KdTd8d8c6d Ah7h5c4d3h KcJh9s6s2h AhQh4h3d2d 
9c7d6h3h3c QhTs9d7c4s KsQhQd7c2s Kd8h7s7d3h 
QcJc6s6c5d QhJs7h6h4c KhTd6h4h2d JhJc9d7s3c 
QcJh4s3h2c Jh9s7d5h4c JsTd9d8d3c 9h9d7s4d3s 
AcKd5h4s4h KdTdTc6s2h Th9d8h4c3c Ah8h7d4d2h 
9h6c5c4d3h KcQd9s5h4d As9s8s8h2c KcJc9s6c5c 
AcJs4h4d3c ThTc7s7d4d KcTc9c5h4d QdTd9d6s4d 
Qh9d5d5c3h Qs8d8c5s3c JhTd7d7c4d Ah6s4s3h2d 
Qd7h5s4s3d Jh7h7d6d3s AsJhJc8h2d QsTs7s4d3d 
QdJs7c6h5c Ad9d6d5c2c AhJs8d5d4d AsKh8d6s2s 
JcTd4s4d2c Ah7h6d3s2s Ts9s8d4h3h 9s8c7d7c4s 
9s9c6h5d4c AcQc5d3s2h AdJsJc8s2h KsJs9d6s6c 
Ad6h4s3h2d Ah8c6d3h2d Ah9s9c6c4s Qc9s8s7h4h 
Ad8h5d3c2c Qh9s8d6d5d QsJs6h5s4s QcTc9d8s3c 
AcKs9h9c3c AsTd9h8h2c Ah8d7h4h4c As9c5s3d2d 
Jd7d6d5s3s AdJs9s6s5c Js9d6s5h2d AhQh7c4s3h 
QdJh8d4c2c Jd8c6h5h2d AcKdQs8s2h QhQcJh8s3h 
Ad6s4s3d2h Qc9h8h8c4h KcTc7d3s3d Jc9h7s7d6c 
AhQh7c6d2s Qd7h5c4d3h 8s8c5h4d4c ThTd7d7c3s 
AdJd7d6d4c Td9d5c4c3d JcTc5h4h2c KhQcTd8s4s 
Kh8s7h7c3s Tc9h8h6s6h Tc7h5d5c4h Qs7d5h4h3s 
Ac9d7d6s5d QdJc6s5c3h Th7h5d4d3s Ks8s6s5d4h 
Qd7d6h4h3s 9h9c8c5c2h QdJc8s7s5s Kd7d6d4c3c 
KsTs6s5s4c KsTd5s5h2h 8s7d6d4h3h 9h8s8h7c6h 
Qd7h5s4h4d QsJd8c4d4c Qc9h8d6s5d AsKdJs6h2s 
Td7s6s6d3c 9h8h8c7s3c JsJhTh3c2d 8c5h5d3d3c 
KcQhJs6d2c AsTc9h8h2d 9c8d7s6d2s AhQdJd6d3s 
Jc9s7s4h4c KcJhTs6h3d QcJs9d4s4d QdTs6s5h2h 
Qs8h8d5d3s KdQh8h8c6h QsJsJd8c2h Th9c8c5d2d 
Qc9d8c7c4d QhTs9s3d2d Qc9c7s6h6d KhKc9c5c2c 
Jh8h8c5d2d Kc9h9d8s5c Kh8h7d5c4h AsQc9s3h3d 
KhQhJs8d3c QcJc8d7d2d KsQs6d6c2d AsTc4s4h3d 
7d6d4h3s3h KcJc9s6d3h Js7d6s5d3s AhKh6s6h4h 
AsQs7c6s4s KsJh7h6s2s AhJd7h4c2s 8s6d6c3s3d 
KsJs9s6h4c AsQsQhQc8c Kc9h8c7h3c Ah8c7h4h4d 
QhJc9h8s2d Th8c6s5h2s AdTh9c7s3c AdQh9h6c4s 
KsTh9c7d2s AsQh7h5h5c KsKc6s3d2s AdQd6d5d4s 
Tc8c6h5h2d As9h9d5s2c KdJdTs5h2d JdTd7h7d4s 
KdJc8s6c5c KcTc8h3s3h AhTdTc3s2h Th8h7d6s6h 
JdJc7d4c2s Jh8h7c6d3d Qh9d8d7s4s JcTc7s7c5d 
KdQcTc6h2s JhTc6s5c2s Qh9s8h7h4s KcQh8h5d2d 
Ah8c5c3h2c 8s8d7c6h4s Kc7s6d5h5c Qs9c6s4d3d 
8c5d5c3h3d Qh9c8s6s5s 8h7s5h4s3d 8s8d7c5d2s 
KcQs6c5h3c Ad7d5c4h3d Js8s8d5d3d Ah6d5h4c2s 
Js9d6c5d2s AcQhTd4s2h AcKc9s3h3d Qh6c5h4h4c 
As7d6h5s2c Jc9h5s4c3s 7s7c6d6c3h TsTh4s4d3d 
9d7d6s4c3c As7s5d3d2d As7h6c3s2h Jc9d5s3s3c 
AcQd7d5h5d KsJd8d4s3s AdQdJs5d2d TsTh9c6h4h 
AsQc6s2s2c Jd9h7s6d6c Ad7h6c4h4c QsTc9s9d3s 
Ks9s9h6d4c KcTs9h7d2c Tc8d7c5h3d Jc9h7d4h3c 
AcQhTs7d2h JcTh9d8d3d Qd7s7d6c3s AdJc5h4d3d 
Jc8s8d4s4d AsJsTs2s2c AdJh9h6c5h QsJc6h5s3s 
QdTh7c4c3h Kc8s5s4s3c Ah7d6d3c2h JdTs6h5s2h 
8h7h5s4h3s Td9h5s4s3d QdTc6s5h4h 9s8s7s6s5c 
Js9h7s4h4c QsQh8s6d3s AhKhJh9h4h 7s7c4d3s3c 
9s8d8c6d2c KcQcJc9s2d Js9d9c4d3c Ks9s9d6h4c 
9d8s8c6d2s Qc8h6d6c3h AhJh7c4s3h KsQh4s4c2c 
9c8s7s7d4c JdJc6h4d2c Qd7c6s5d4h TsTd9h5d4c 
Ad8d7s4s2d As9c7d6c5h AdJs9c8h4h Jc9s7h5c4d 
AhQs8c5d4d 8s8c7d5s2c AhTs4h4c3d Td9s8d6h6c 
Kd9h9d8h2d 8s8h7s3h3c Ac7d6h5c2s Ts9c7d3s3c 
JdJc5d4h2h AsQs7c6h2d AhTc8h6h2d JdTd7s7d5h 
9h9d8d6d3h AcJc8c5s5c KsQsQc5s2s Ac9d6h4c2h 
JcTc9s6d3c Ac9c8s8c2h Tc9s9d6s5s As9s8h7s2d 
AcTh9d5h4s AcJc4h3s3d Kc9d5h3h3c KhTs8d7s5s 
8c5s5h3s3c 8s6s6d5c2d Tc6d5s5c4s QhQcJc8s3c 
KdTd7d5c4d AdTh8s7h3c QhQd7h7c3s KsJh8h4h2s 
9c7c6h4d3d Th7h5s4c3c Qd8s6s5d2s KdQcTd7d3h 
TsTc7h6d4h QsJh7s7d6s Th9h8s4c3c QsTs9c6d2h 
Kd8h7s6c5s Ac9c5d4d3c Ac7h6s5c2d JdTs4h4d2s 
AdJs5h3s3h AhJs7c6c5c Ah9d6h4d2d ThTc9d8s5d 
Qs6s6h5c3c 9s7d6s5h4c Qs7s6d5d3s KsJh7s6s5s 
JdTc9h7s3s AsQsJc8s3s 9d7c6d4c3s KdQsTd7d3h 
ThTc7d7c3s KcTsTc6h2d As7c6h3s2c JhJd7h5d2d 
QsJc7c6s2h Qd8d8c6h2c AdJc9c8h2s QhTd7d4s2h 
AdQs7s6c4s Ks8s6s5c4h QdTs9d8c4d Qh9h7d6s6c 
AdQs6s6h5s AsJs6s5c3d KhQc4h4d2d Qd9h8s6s5s 
Qh9h6c4s3s KhJs9c8d3h TsTc9h5s4d QsTc9h9d4s 
JdTd9h8c4d Qc9h8s8h7h QdTd7s6h3c AcQc7c6s4c 
KhJc6h5h5d AsKs9c7s2h QsTs7s6s5d JhTh9c8d4h 
KsQd7s7h5s QsTh9d5c4h Qc9c8s8h7c KdTd7c6d4d 
AsJs8s5s5c AcJhTd7s2d AsTs4h3c2c AcQd8s5s4h 
KhKdKcJc7h KsTd9h8h5c KcQh9d7s4c KdQd4s3s3d 
AhKhJh5h2c QdTh9s8s4s Qd9h6d5s4c AdQh8s5c4c 
JsJd7c6s4s AdJh9h8s2c Jc7s5h4c3h 9s9c7h6c2h 
Ks7s6s4c3c KsKd6d3d2c QsJh8d6h2d KhJh8s7h4d 
KsQd8s6s6h Th8s8d7d2h Ah8c6c4h2h KcQsJd8d4h 
Jc8s8c6h5d KsKh8c5d3d Tc8h6c5h2d QcJh8h5h4d 
KsJcTh6h3d AhQdTc7d2s AdQsJc6s3s ThTc7s4s3c 
JsJdTs8h2s QhJh6h6c5s AdJd6d5h3c QdJh8h4d3d 
Jd9s6s6d4d QsJhJd7h4h QhTh9s8h4d KcJh9d8s3c 
Kh8c6h5d4h QhJd8h4c2c Qd6d5h4h3d QdTd9h8d4c 
AdQh8c6d3d Qh9d8d5h3h Qc9c8c7c6h Ah8c7d3s3h 
KdJd8s7d4h AsTs7s5s5c Qc9s8s7h5d 9c6s6h3s3h 
Jh9s9d4d3s QcJcTs7c3h Qh9d5s4h3s JsTc9h6d4d 
Kc9s6d5s3d QsQh7s7d3c Ad6c4h3c2d KhQc6c3h2c 
QhQcTs5s2d Tc7c5h4h3s 7h6h4d3d3c 7h7d6d5h2c 
QdJcTs6d2h 9h8s8c5c2h Jc9d7c5s2d Ah9s7s7c5d 
KhTc6d3c2h QhQd9s6c2h KcJd8d4c3c Kc8s5c4d3s 
Td9c7d5s4h JsTc9h5h3h QcJsTh6c2d AdJh9h8h4s 
KdQdTs7d4d JsJd7d5s2s KhTs9h9d2h As5s4d3s3d 
6h6c4s4c3h AcKhJc6s2c QhJd8d5d4s Tc7s7h6c3s 
KsTd7s6c3s AsTh9d5d2h ThTd9h3c2c JhJd9s6h3c 
KsTsTh6c2d AcTd7s6s4h Ks8d8c7h5s QsQh9s8s2d 
TsTh7d4d3s Ks6d5s5d3s AhKd4h2s2c QsThTc4h4d 
Kc9s7c6d6c Jh8s5s4h3c Ts9s5c4c3s KcTc8s8c2s 
KsJsTh7s2d Kd9c8d6c2d Ks9h9c5s2c 8s7h5c4c3s 
Ks9d9c4s4d As6d4d3c2s Js8c7d6d3s 9c7h7d5s5h 
Jh9c7h4d4c JhTs5h4c3d KdJdTh7d2c KhTs9h9c4h 
Ac9d7h7c4c Ac9d7s6h5h TsTd7c6d2s 7c6h5d4h3s 
KdJd9d6h4c Ad9h8h8c2c As5s5h3s3d KhQcTs2h2d 
Kc8c6s4s3d Jh9s9d4s3d AcKd8d7h3d TsTh6d4s4c 
Qc7d6h4h4c Qd9h6d4s3s AsTc8s6s2d KcJs8d5s4h 
QcTh9s5s4d Qh9s8s7d5c AsKdJd7c2d AcJh9h8s2d 
9d8h8c6c2h QcTs8d2s2c TsTd6d5d4c QhJhTs7c3h 
Ad6c4s3c2d TdTc9h5d4s Kh8d5h4c3d 9s8d8c6d2s 
KsJs6s4d3d AdQsTs7c2h As5s5h3s3c Kh8h5d4c2c 
QhJc8s4s4c AsTd9h5d2h AhJs9h7h2c 7c6s6h5d5c 
Ah9c6d4h2d KsKd7d4d2h QsJc9d9c6c Js9d6h5d2s 
Ah9h7s6h3d Ad9c7h6s5s KdTd8d8c2c 9h8h8c6c2h 
QhJhTc7d3h Ah9d9c3h2c Jd8c6s5d3c TsTd9c5h4s 
Qc9s9c8s4c QsJh9h6h5h Kd9c6h5c3h Ts9h6h6d2s 
Jc7h5s4c3s KhTc5s5h2s KcQcTc9c2s KdQd6s6c2s 
KcQcTc6h6c QdTs6c5h4h Ad9h5d4h2h KcQs7d7c5c 
KdTc8s6h4c As8s8c2s2c Qs7c6c4s3d Th8s7c6h2c 
QsJc6h6c5c QhQc9s5s3s QdJs6s6h2d Qd8d7c5h3h 
AhJh6h5s3c 9c8s8d6s2c AsQs6h5s4s KhQh6s4d4c 
AsTd7s4c3s Kh9s5c3h3c TsTh5h4s3h KdTs6c3s2d 
Jh7h6h5s3s 9c8h8d6h2d Ah8s5h3d2d KsKd6s3s2h 
Jh8c7h6d3c KhJs4d2s2h Qc9h8c7c4h Td9h8c4h4c 
AsKsJh5s2s Ts8h8c5s2c Ks5s5c2h2c AcQsQdQc8d 
AcJs5d4c3c Ks8c7c4s4c Jc9s8s8c2c ThTd7s7c4s 
Ts8h7h6h5c 9d9c6d2h2c KcQs6c4d3h Kc8s7c4s3d 
8h6h6c5s3s As7c6d3s2c Kd8d5s4c2c Qs9d6s5c4h 
Kh8c7s7h3c AsTh9d4d2h Jh8h7s5s3s TsTc9c4h4c 
Js8s7h5h2c Kd9h8s6c4d Js9c7h5s4d 9h9d6c5c3s 
Tc9h8d4h4d Qd8h7s6c4d AsJc9c6h5c Qs8d6h5d3h 
KcJs5c3d2d AhTh4c3s2s TsTh6s5s4d JcTh5c4s3d 
QdJsJh7s4s KsQdTc8h4h AhKs7c5s2d AhQc7h6d2s 
Qh8c7d6d5s KsJh6s4d2d KhTc7d4s4h QsJh7d6c5d 
QhTh9s7h4d AcQc6c5c4d KhJh8c6h3c QhTc8d2h2c 
Jc9s6d5c2s AhQc9c6d4s QhTc5c3d2h QdJd8s7s2s 
JhJc9s7h3d AhQd8h6h3c KdTc9c8h4s QhJc8h3s2c 
QhQd9s8c4c JhJdTc3d2s Ah7s6s3c2h AcJc9h7c3c 
KhTh7c6h4h AcJs8h8d4d AcJs9d6h5d Tc8h7h7c3s 
AcKcJd5c2c Td9s5s4h4d Ks7h6c5s5d TsTc8c7c4d 
Td8s8c7s3d AsJc7h7c6c KsQd6d3d2s KsJdTs5h2s 
As6h5s4d2c JsJd7s4h2d 9d7h6d4h3c Qd9h5h5d4d 
Ks8c7s5c3s Qd9c7s7d4c AcKcQsQhQd 8d7c6h6c3h 
As5s5d3s3c ThTc4h3d3c JsJd9h7d3c KcQhTd8s4s 
AsQs6h4s4d KdQdJd9s2c QhTh9d8h5h Ks8s7h6c2h 
QdJdTs7c3d AsQd6h6d5d Kd9h8d5d3h Td8h7h6s4h 
Js9h8h4s4c QdTc9s8c2h KhQd8s2h2d Qd8h8c5d3c 
QcJd7d6c2s Ac8s6h3c2h 9h8h7d6s6c 8s8c6d4h4c 
8s8d5d5c4d As6c4c3s2d Kc7d5c3h3d KsTc9s5d4s 
Jd9s9h8c5d JsJcTh3c2d As6h4h3s2d 9h8d7s7c6s 
Ts9d5d4s4c QhJs7h7c3c Ac9d6c4d2d Js9d7h6s6c 
7h7c6h5h4d Jd9s8s7c2c KcTs9d4s2d Td9h5s4h3d 
QhQc8s6c3d QhJc9d4d4c KhQc9c4c2h KsQhJc8c4d 
AdKs5h4h4c JcTd7h6c3s QcJd9s9d6d As8d7s3h2h 
AdJd4c3s3h Qd9h8d5h5d Ad9h5d3s2s AhTh8h5s5h 
JhTh7h7c4s JsTs9h6d3s QhJd8s6d4c QsTd7s5s4h 
Qd8s7h6c4d Tc9c6h5s4d AhKc7s7d3c KsTh8d5d3h 
QhTc9d6s2h Kd9d9c4h3c AhKd8d7c3d KcJc9h6s6c 
AdQd7h3h2c Qd7c6s4c3d KdQsTh8c3s KcQc9h6d6c 
Ad7h5h4d2d Ah6d4c3d2h KsQc8s6s6d Ah7c5c4h2h 
KsTs7d6s4s KsQc6s4d3h 9d9c6h6d3s JsTc8s8d4s 
Kh8h7c6d2c Kh8s6c4c3h 9s7d6h4h3d KcJcTs5d2c 
QsTh9c6d2s Ks9h9d5s2d QdTs6d4d2s 8c6d5c4d2d 
AsQdJd5d2c KsJs9s8s6d AdQdJh8d3d QcJs9s9d6s 
Tc8h8c6c3h 8d7c6c4s3s KsJs9s6c5s AsKh8s5d2s 
Kd9s8d6s2d Qs8h7d6d5c Tc8s8h7h2c AhQhJh4s2h 
AsJc9s5s2d AsKdJd7h2d KhQs4d3d2h Qh9d5h4s3s 
Js9d6s6d4s QhJs6d5s3c Ad7h4h4d2h 9s8h6d4s4d 
KdQs7d7c4h AcJhJd9h2h Th8h6c5d2d Qs7c5d4s4c 
Qs9d8c7d4c Ah8h8c2h2c QhJs8h4s4h Jh8c7c6d3h 
AdJh6s2s2d Ah7h7d6d2h QdTc8c7s4c Kd8d5h4c2c 
AcQsQhQc8s JcTh9h8h3s 9c5h5d3h3c KsKh8h4c3h 
8s7d7c6h5c Jc9h9d8c6c Kh8d7d4h3c Qc7h5s4h4c 
JsTc9s8h4s AcJsJd8d2h KdJh9d5s4d QsTd8d5c4d 
Th8c6d5c3d 7d7c5d5c2c QhJh6h6d5s KsJc7s6s5s 
Jc8d7c5s2s AhQs7s6d4s As9s8s8d2h QcTs8d3d3c 
Ks9s9d8s4d Qs6d5s4s4d JdJc6h4c2d As9d9c4s4h 
7s6c5d4c3h QcTh8c3h2d JhTh9d6s3h KsTh8c6s3d 
Jh8h8c7c2s 9c8s8d5d2c As8h7d7c2s 8s6s6h5c2h 
AhJc8s5s4s QsTs5h4c3d KdTs8d7c3h JdTh7c6d3s 
KhQdJd9d5d KdQdJs8c3h Kh8s7h7d3s Kd9s8d5s5d 
Qc7d5h4c3d Ah7c5d4c3d QsJd8d8c5h Qh9d8c6s5c 
KcTs9c5d4c Jd9d8s8h6c AcKd5s4s4h QcJhTd7d3s 
AsJc7s4s3h Jh9s5d4h3d Td7d5c4h3h Qs8s8d6c2d 
Ad9d8h6s4d Td8h8c7c2d Qs6c5h4c2s Qs9s8s7h6s 
AcTc8d4c3s KsTs6h6c2h AcJs9s8s4h Tc9d9c3h2d 
QsJc7h4s3h KcQcJcTc5c Qs8h8c5s3h Tc8h8c4d3d 
Th9c5c4h4d Ac7s7d5c2h KhQd8s8d6d AdQh6s6h5h 
KdQh7s7d5d Kd7h6d6c4s 9h8h7h6c5h Qs9d6h6c5s 
Qs8h7c6c5d 9c6c5s5h3s QsTsTc8s5s Qs9h5s4d3h 
QcTh6h5s2s QhTd9s3s2d As9d9c3s2d Tc9h7d6h2d 
AhTs6s6h2h Th9s5s5h4h KdJd9s6d6c Tc9d5d5c4c 
9d9c7h7c3s As7s5h4s2h Qd9s5d4h3s QsTd6c3d3c 
KcTdTc6s2h QhJc9s4s4c AcJh6h3c2h Kh7d6c5s5h 
KcQd6c4h3s KhQd6c5c4c Qc6d6c5h3h Ad6s4h3s2d 
QhTsTh6h3d Kc8c6c5h3h Qh6h6d5c3c 8h7d6d4c3c 
9s9d6s6c3h Qd9s8d7s3s 9c8c6s5d4h KcTs8h6c3d 
KhJh4d3s2d AdQs7d6d4d KsQh4d3d2s Ts7d6s6d3c 
KdTs9d5d4c Qd7h6s4s4d KhQd7h7c5h KsJh3s3h2c 
Jd9h6d5h2c Qs9h9d8h3d KhQd6h2d2c Ad8c5d3s2s 
