QhJh4c3h3c 
ThTd9c7s3d AhJh9d7h2c JdTs8d7c2h Qd7h5h4d4c 
JcTh7d6s3c KdQd6h5s2c Jc8c7s4s4h AhTd9s7s3s 
KhTc6d3h2c AcJh7h6s4d KcTsTd9s4s JcTd8c6h3s 
Td8c5c4d4c 8s8c6c4s3s Kc5d5c4h2d Qs9s8d7c3c 
9s8h8c2h2c Td9c8c4s3s AcTd7d6d4h Qd8d7h6h2s 
KhTc9s7d4c As6s6c3d2d ThTd5d4c2h KcJhJd9s4s 
9c7h6s5h3d QsQcJh8c3c AsJcTd4h2d QhTc5d3h2c 
9h7d6s5d3c QsJs8d6h4s AdQc7s5h4h JdTs9s7s3c 
7d6h6c5s5h JhTh6c5d3s QdJc8h4c3h KdQc7c5h2h 
Tc9s9c6d3h JcTc9h7s2d Ts9d5s4s4d QsTd8c3d2s 
Tc9c8s4s4c KsQs8h7d4c AcQc8c5d2h QdJc9s6c4h 
Kh8d6s4h2d Kc8s8c5h2s QsQh8h6h3c QcJd9c8s4h 
JsJcTh8d2h QdJcTs8c2c KhKcJd7s2s Js8d7s7c6h 
AsQh7h6h4d Jc7d5s4s3c 7d6c5c4h3s JsTc9c7c3h 
AsKhQh9h3h 8s7d7c6s3c 9s6d5h4s4h 9h7s5s4h4c 
8d8c7s5d4d AhKsJd8c2d KcJs9h8d2c Tc9h6d5h2d 
AsQs8d7h3s 9s9h8h3s3h KhQsTd6d3d AdQd8h2h2d 
KcQdJc8s3h KsTh6c3s2h QsJdTd8d2h AhQhJh6h3d 
Jc9h9d6d2c Ks8h6d5s4s JdTs7h6h2s 8h6h6d4s3s 
KdJhTd4s2d AsQc7h5d4d Tc9h9d7d4s 9s9h8s7d3d 
AdTs6h5c2d Kc8d8c5h2h Ts8c6d5d3c JhTc6c4c2h 
KcQsJd5h2d JhTs8d5s5c As8h7c3h2s ThTc8d4d3h 
QsTh7d5h4c 8h7s7c5d5c Ks9c7s5d3h Ts7c6d4c3d 
Kc9c7d4s4d JhTd9d8d2c AdJd7h7d6d Td8d5c4c3s 
JhTh6d3d3c Ts8h6s6h3d AsQs9h9c3s KdJd8s5c3h 
Td8d7c4d4c AhJdJc4h2h JdJc9c8h4c KhTc8h5h4d 
Qs7h7c5s3c Qh9h7h7d6s Td7d6d5s3s Ah9d8c6s5d 
TsTh8c4c3s Ah9c8d6s5c QhTh9c5s3h AcTs9s5h2h 
KcQcTc9s5c 9s9d5c2s2d KsQh8c7c3h QcJs9h7d4c 
KdJsTd4h2d JhTs9h7d2c As8s7d6s4s AdJhTs4c2s 
AdKc6h2h2c KcJhTh8s2d Qh8d7h6c3c KhJsTc8d3s 
QdTh9s8s3c Jh5h5c3d3c JhTd9h7s2c KdThTc8s4c 
Qh8c6c4h4c Qd9h5s3h3d AcJc9s6c3h Qh9c8h5s2s 
7h6h5d4c3s QdJc9s5h3c AdJc7d6s3d AhKd8d5d3s 
8h7d7c6d3h 9h7d6d5c2h AsKc9d7c2h KhTc6c2s2h 
9h8d8c5h2d QhQc7d4c2d ThTd7c6h2c 9h7c5d5c3d 
KcQdTh5s3s KdJs6c5c2s 9c7d6s5c3h QdJs9c3s3c 
8s7s7h3h3d KdJc8h7c3h KhTd7c6h3h As9s7s7h3c 
JsTc9d8c2c KsQhTs9s2s AhQh6c3s3d QhTc7h6s2s 
Td9h5s4h3s JdTd9h9d3s QcTh9s9d3s 8s7s7h6h3h 
KdJc6d3h2c KsQhJd4c3c QhJh7s7d6h JcTh7c3h3c 
KhTsTc7d4d AsJhJd4d3d Ad7h5c4s2d Kc9c7h5h2h 
AdKd9c7h2d JhTh7d7c5h 8d7c6h4c3d Td8c6h6d3h 
Ks9c6s5h5d ThTd6s5d2h AhJd7h2h2d Kd9h6d5s5c 
QcTs7d5d2c AdTc7c6h4c AcJc6d3d2h Jh7h6s5s3h 
Tc7c6s4h3h KdQc8c7h3h Ts9c7d6s2d KdTs8c7c4h 
7d6h5s4s2d AsTc7h6h4h Td9d8s5d2s KcTs8c3d2s 
Jd8c6d5h4s JcTd7d4d2c KhTh8h6h4d KdJdJc5d2h 
AsQh4d3s2c Qs7h6h5c3c AhKcJc7c2s Qc8d7s6c3s 
AcTc8s3h2d AhTd7s7c4d Th9d5d4h3s AdKhTc4c3c 
Js7s6c5h4d 8c6c5c4s3s Th9s8d2h2d Qh7h7c5h4c 
AhJhTh8h2h AdTd9d8d2s QhTh9h9d4s AhJs9d5c3s 
KsJs4d4c2d Tc9d8d4h2c JsJdTh3c2s Tc8d5d4d4c 
Qs9h5h3s3c AcTs8d5c2c KcQs5d4h3s Th8c7d5c3d 
KhQcJd5s2d Ts9d9c4d2c KsTs9s6c5s KsTh9c7d3h 
Qd6d5c4d3c QhJc7h6c2s AcJdTd6s6d Ks9d7d3s3h 
AcTh9s7s3s 9d8c7h7d2h AsTd9c7h3h AhQdJc3s2c 
QsJc9h5d4h Jh9h9d3h3d 6s5d5c2d2c Td8h8c6h2d 
QhTc5s3h2c 8d7h7c5h2c AsQd9c5h3d Jd7h5d4h3h 
Ks9h8d5d4h Js9h9c8h5d Ks7d7c6h4s JsJc9d3s2d 
9h8d7c6s6h Ah9s9h5h4d Ad9d7h6s2c 8s8d5d2s2d 
QsJhTd8h2h KdJhJc9s4s Qs7d6s4c3c As9c7d6h5c 
KcJc8h8d3d 9c8d7h7c3h KcQs8d6h4s AsJh8c5d5c 
Tc7d6s4s4d Jc8d8c7s2d AhJd6s5d5c KhTd7h4s3c 
9c7s7d3d3c 9c8h8d7s5d KdJd8c5d4s QhQd3s3d2c 
QsJhJd6d3d AhKd8c6d2s KcQsJs9h2s Ah9h7s7h3d 
AsQc8s4s4d AhQd9c5s3d Ad9d8s7c2d Ac9h7d6c2s 
QsJh7h5h2s Js8d7c6s3d KdQsJs9s2h Ks9h9d2s2d 
As4s4h3c2c Jc8h5c4s3h AdTc7c6c4h Qh8s6h6d5c 
Ts9c6h6c5d Th9c8s2s2h AsJd7s6c3s 9s9h5h5d2d 
Qh8d7h5s3d KdJcTd3d2h Qh9s8d6h4c 8s8h7d6d5d 
6s6h4d3s3d AhTd6s5c2h 8d8c7s6s5s Jd8s5h4s4h 
AcKhTd6d3d 8d8c7h2d2c KdTc7s6d3d Qs8s6s5c3c 
QsQdTd3h2d Td9s9d5h4c Qh8d6s6h5c KcJs7s6d4h 
Qh7c5c4h4d Ah6d5s5d4s Th9s8s7d5s AsKs9h7d2s 
QsJs9s6h5s AdTs9s5h2h Ks9s8s8d6c AdTh6c5h3c 
JhTd8h5s2c QhJsTh4h3h 9d9c8c7d2d Ac9c8c6s6h 
JsTd9d7d3c AsQc9d8h3c 9d8d5s5c3s QsJsTd4c2s 
JsTc9d9c4c Qh9h8h6c5h QdTc8s8d5d KsKd5s3s2s 
Jd5h5d3h3c Jh8s6d4s4h AcQs9h8d3s JsJd6h5c4c 
KsTs8h7c2d Tc9c5h5d3d Ts6s5c4d3c JsJd9s3s2d 
JsJh7c5d4d AhJhTc6h2d 8h8c6s2s2h 9s7h6d5h3c 
Ac9h6c5s5c 9h9d8h7s5h AsJcTd6h3h AcKc6d3d2c 
Ts9c5h4c3h KhTd4s2h2d QcTd7c6c4c KdQsJc6c3c 
Tc9s5d5c3d KsTd8h7s3c JsTd7s3s3d Qc9d8c5c3d 
Ks9c8h6h4c Ah8d5s4h2c AsKsQs3s2h KcJh7h6d4s 
KhTsTh5h3d KdKcJd7d2d Ks9s6c5d3h AdQs5h4c3s 
AdQs7h7c5c Ts8s7s6h4d QsTd7h5d4d AcKhJs8d2s 
AdQh7h5c3s AcKhJc5c2c QcTh7c6d2d Tc8d8c4d3d 
QcTd5s5d2c Qh9d8h5c2c AhTd9s7c3c KhTh9h6c5h 
8d7h7d3s3h AcQcJc6c3d QsJs9h3d2h As9c6h5s2d 
QsQdJc5h2h Js8h7h5d3d AcKh8s6d2h KhQdJs8c4s 
QsTc7s6h2h Jh7d6d5s3s QdQc7h4d2h 9h8c6s5s4d 
TsTd9d3h3c AcKh8c3s3d QhQc8s8h2h KcTd9h7s3d 
QsJs7s7c6d JsTc7d5s2d KdJd7h5h2d QhQd9d3d3c 
KdJd8h5c3s AhTh3s3d2s AhTc7c6c4d AsKh9c7h2d 
Ks5s5c4c2h Kh9d7c6d5d Ts9d8c7c5c Qc9s8d7c2d 
AdJsTc4h2c QsThTd6c3h AdKc8s6c2h JsTc9s7h2d 
Kd9c5d4c3c JhTd6h4d2d Qh8d8c6d3h AdJd6s3s2h 
JsTs7c6d2d Ks5s4h3h3d QhJh6c4s2c AcQs7s5d3h 
Ah8d7s4c2h KsTh8c3h2s ThTd8h4s2s KdTc4h4d2c 
KdQd6c5h2s KdJh9d7d4s QhJd9h8s4c Jc6d5h4c3d 
AsQc8d6h6d AcTh5c3s3d QhJc9d7s4h Th9s8c6d4d 
Qd9c8d5h2h ThTc9s7d3h AdJd9c3h2s QhJc9d3d3c 
AhKc6s6d2h Ts7s7h4h3c JdTh8s8c5h 8d6s6d5c3s 
ThTc8c4d2d AhKd8c5d3d Jd6s5c4s4d AdKd9d4c2c 
QsJs9d7h4c Ah7d4h3h3d Kh9c8s8d5h Ac8d7h3d2c 
QcJd9s6h3c Ah8s5d4h3c JsJd7c5d2c JdTh8c5s5h 
KsKh8h7h2h AhQc9s8d3c 8s8h7d5h4h QsQc6c3d3c 
Jh8s8d5s3d KdJs9h5d5c Ks5s5h4c2h KsQhTh4c3h 
AhKs6c3c2s KcQdJc8h3s KhJh9s5d3h AdQsJc8s2s 
Js6c5h4s4c KdJd8d6h5d Th7d6d4c3c 8s6h5s4h3h 
QdJsJh3d2c KhTs7c6h3h AsKc8h6d2c KhJc6h3s2c 
AcQs9s8h2d 9s7s6d3h3d Qs9h6h6c4c Kc6s6c3s3c 
KcJhTc3c2d Jh8c6s4h4c Th8s5s4s4h Jd9s9d6d5c 
AhJc9s8d4s KdQs4d3h2h Qh9d5s3h3d AsKdQd6d3d 
KsTd9d6h3c KsJd9s3d2d KcQh6s4s2h 9h9c8c3h3c 
7h6s6h5h3s Js8s7d4d4c JhTc9s5h5d JhTh7d4c2c 
KdQh8h7h6h Jd7h6s5s5h Js9c8h5h2c 8c7s6c5s2c 
AcTs6c5h3c Qc8s7d5c3d QcJhTc4d2c Qc6h6c5h4c 
AcTd7s6h4s KsQs6d5s5h Ks8d5s4d3c QdJd9s7c4h 
QdJh9c5c3s QhJs5d3d2h AsJd7d6h4c Js8c6s5d4h 
Kc5c4h3s3h QdJd8c4h2h Td8h6s6d3h 8c7h7d6d3c 
Kd8s5d4h2h KdQsJs9s2c Tc8d6d4d3c KcJs8h5h2s 
Kd9d8c6h4s KdJd8s7c3h KcJs9c7c4d KcTd8s7s4h 
Th8s6h6d3s 9h7d7c3h3d 9c8c7h5s2s KhTsTc8d4s 
Jh9s7d4s4h KhJh8h7d3d QsTh8s3c2h QhQdTs7s3s 
QcJc9d3s2d Ks7d6h3s3h AcQdJh8d2d KdJsJd7d4d 
AhKdJd3c2d QdTc8s5h4s Ks8c5h4s3c AhQc7c6c4s 
Ah9s9d7h4h QdQc3h3c2s QdJh7d5s3c KhQd9d8d6d 
AhTc7s6d4s JhJdTs3c2h QcTc6d6c5h KdTs8h3s2d 
AsQc7h3h2s AhTs7s6c4s AhJh9s7h2c AdQcTh4s3s 
KcTc8d7c5c Ah7h5h4d4c Tc8s6h6c3s KcQs6c5c4c 
Kh6h5s4s2s Qh8c7h6s4d Ad6s6c5h5c Td9s8s4c3c 
KhKdJd7d2d JhTc9d9c4c JcThTc8c3d KsTd8h3d2s 
KhJs9s3h2h QhJc7h4h4c Ad9h8s6s5c Ts9c6d5c2d 
Ts9h5s5c3c 7d6h6d4h3d KhTs8h5h4c KcTd4s4c2d 
Tc9s9d4s2d AsQdTd2h2c KcJd7c4d2d Kh9s9c2h2c 
AcJs9s9h4d AdJc7d6d3s AsQh7c3c2s 9d9c7s6c2d 
7s7h6c5h4h Ts7c5c4s3d Qd7s5s4d4c KsQdTh5c3c 
Jc9d6h4d4c KdTsTc9s4s AhQd7s6s6c Js9h7s7h3h 
KsTsTd5s3h AcJc9h6c3s Tc8h7d5c2h Qd9s9h4h4d 
JsTd6s4d2d QcTc5s5h4d Qs9h7c6c5d KcJs9c7c4h 
AcKcQc3c2s AcQdJc8c2c KsJc6h5h4d 8c7s6s5s4s 
KcTc8s4c3s Jd9s8s5c2c KcJc8c5h4d Qh7d7c5h3c 
KsTd6d2s2c AsQs7c4s4d KhJc9s8d2h TsTh7d6h2d 
QsQc9d8d4h AhTc9s7d3d 8s6h6c5d5c Ks9s7d4d4c 
QcJdJc6c3s Th8h6c4d3c KcJc9c7d4s Ad7c5d4s4d 
AdTc9h7c3c Qs8h6s6c5d Kd6h5s3h2d KdJcTs5s5h 
Kh6c4h4c3s Jc7d5d5c4d AsQs8s5d2h JdTh9c8c2c 
JhTc9s8s2s KhQhTs3d2c Kd8s5s4d2c AhTs8c5h2h 
KdTs9s6h3c JdTd5h3c2h KsQcJs8h2d Jc9s7s5h2c 
QcTc9s9c2h AcKs6d3d2s Jd8d7h5s2s As8s8c4c2s 
AdKsJs7s2c Kd9s5d3s3h Ks7d5d4c2s KcQhTd6d3d 
6s6d5h2s2d 9d9c5h2d2c Qc9c7s7c6d JsTdTc6h3d 
QsThTc6d3c Ad8c6d4c3d JsTh7c5h3d AsQs9c8s4s 
Jh6h6c5d4d AsKs9s7d3s Ts7d6s6c3c Ac9s9h3h2c 
Ts9h5s4d3h 7h7d6s5h4h JdTd9h4d3c KhQsJd8c4d 
Kc9c6h5s3d Th7c5c4h3d JhTh9c4h3d 9h6d5c4h4c 
KdTh7c6d3d QcJhTd8h2h Td9c8c4s2d KsQsTsTh4s 
JsTc7s4d2d Kd9d8d8c6h KdQs3s3d2d Tc8c6d4s3d 
QcTs6h5h4h AhKdJd7d2c KsJsJc7s3h KdQsJh4c2s 
QhJs9d5c4d Ks5s4h4d3d 9c8s8h6d5d AsAhAd8s2s 
QdJd5s5c2s 8d7s6d5s2d KcJc8h5c4d AdJh8s8h4h 
QhJc9c3h2c KcQsJc5h2c Tc9h9d6s5s AsTh9h7d3h 
KdTd8h5c4d Ts9s9d5h3c JdJc9c8s4c 9s7c6c4s3s 
AsTs8d3c2h JsTs5h3c2h 9h8h8d7h4d Jc8s7s6d5h 
Kd9h8h8d2h AsJh7h6d4c Kd8h5d4s2s QdJs8s6c2c 
Qs9h9c4s4h JhTc9s9c3c Th7s6s4c3c Jd7h5h5d4h 
9s8s8d7s4d Ad9d7c6h2s QsJhTd2d2c Kh8h8c5s2s 
Js7s6d5c4h AsKsJs4h2s Jh9s5s5h4h JhTc9c7s2d 
Jh7s6c5s5c Jc8d6c5s4h QhJc9s5d3c KdTc7c5c4s 
KsQdJd9d2c JdTc5d4s4h KdQhJh9c4h Ad8c5s4d2h 
QhJs9c3s3c KhJs7h7d2s 9h8h5s5c3s 9s6c5s5h4c 
Td9s9d7h4c Jc9h7h4d3c AsQcJh8d3d Kd8s7d6s3d 
Th9c8c3h3c QdQc8h5s2d JdTc8d7s2h Js8d8c5c3d 
JsTc7h5c3d 9h8c7h7d3d 9d9c8h7c3h KdQcTd2s2h 
JhTc9h7d2s Js9h8d5h2d Qd8s7h6d3h KdQs8c6h4s 
Th8h6s5s3s Ts8c7s5s3c Tc8h6s6c3s QcJd7c4d4c 
AsQd8c6h6c KhTc6s3h2c KhTs9c7d3s JhTh6s5h5d 
QcTd9s8h3d KsKdJh7c2c Ks8h8c5s2c QsJh7s6d2h 
Kh7d5d4c2h Qs9h8s7h2h Ac9c6h5d3c AsQd7h5h4h 
KhJsTc4s2d Ad9c7h6d2s AhKh9h8h6h 9s9d5s5h2h 
JcTs7d6h3c Kc8c7c6d3d 9c8s5s5c4c KdJc9d5d3s 
7c6s5c4s2d QhTs7d5s4s Kc9h7c5d3s QhQd8d6d3s 
KsJsJh7s3d KsQc6d4d2c Ah9c8s6s5d Jd9c7c4s3d 
9s9c8s7s5d Qd8h7d5h5d AdTd8c3h2s QdQcJs6c2c 
QdTc5h4h2c As7d5h4c2s KdQd6c5h5d Js8d6c4s4d 
AsJh8d5d5c QsTd9h8h3c JsTs7d4c2c Qs9h5s5c3c 
Js6s6d5h4h AcJh6c3s2s QdJsTh8c2c AdJhTh6h6c 
QsQhJh8h3d AhQcJs8d3d KdJd9c5h3d Kc9c8h6c3h 
Th9s9c6d5d Ac8h7c4c2h KdQh9d3h2h KsTc8h3c2s 
AhQh8d2h2d 8h6s6d5d5c KsQsTs9c2s QsTd7d5d4h 
QhTs9c8c2d KsJdTc4d2h Tc9h7h6s3d JcTh8c5s2d 
Js9s8c7c2s 9s7h5h4s3d KcQsJs9s2h QcThTd9d2d 
Jc6c5d4s3d 9d8h7d7c2c Ad9d7h3h2h KhJdTd8c2s 
KhTc7h6h3d QcTd9s9h3h Kd7d6s5h5c JhTh7c6c2s 
TdTc9c7c4h KsQdJc9d4d Jd9s8s8c7s Kh9d8h6s6c 
JdJc9s5d3d Ad9h9c3c2d QhJh9s6d3c KdJd8s7h3c 
Ks9h9c4h3s JsJd9d6c3h KcJh8s6h3s KhTc6c3h2d 
Qs6s6d5s4d Qd9d7s7d6c AcKc9d4h2s Qs9c7s7d6s 
Qc8d7h6c3h AcQh9h8h4d Kc9s7h5d3c JsTh6h3s3h 
QcTc9d9c4s AhTs9s5c2c Th7c6h4c3c AhJh9c3d2s 
AcQs6c3c2s Qc9d7s6s5h Tc9s9d7s4h AsKs9s8s5s 
Ac9c6h6d5c KsKh9h4c2h Jd7s6s5h3h 7d6s5s4c3h 
Qc9s8d5s5d AsKc8s6d2s Jd8s5c4d3s KsJc7d6h4h 
Tc8d6h4c3d AdTd3h3c2h AhQd6c5s4c AsQc9d8h2c 
KdQh7h5s4h AsQh9d2s2c KhKd8d4s2d QsQd5d4c2h 
Ah8c7s3c2h KdJcTh4c2s KsJh6s3c2h AdJh4d3s3c 
Js8h6s5c4d AcJh8s4s3h Th6h5s4c3s KcQhTs5h5d 
KsJh8s6s4c Kd8h8d5s2h Kh8h6s4c3s KcQdTc9c2c 
6s6c4h3h3c AhQd7s5s4s 9c7d6h4h4c KdJd9s5h3d 
QsQhTd7d3d JcTd7h5c2h KdQd9h7s4c 9h9d6d5c4d 
AcTd6s5d3s Jh9d6c5h2c AcQdTd3s2h QcJsJd6d3d 
KcTc5s5h4d KsQsTc8s3h JsJh9s8d4s Th7s6d4d3s 
KcJd6s5s2d AdQc8s5s4s AcJc7h6c2h ThTc8h4s2s 
QcTd7c6h3s KhJs6c5c2s AsKs9d4c2h AdKc5c4h2c 
Ts9d6c5d2c Js7d5h4h3s As6d5h4h4d QsTc9h9d3c 
Qc9s9h4h4c Kh9c7c3h3d Td7h7d4h3s Tc9d7d6h3s 
KdJh8c5c2h Th9s8c4c3h Th8c6h6d3c KhTdTc8h4h 
AdTh7h6h4c 9d9c8c7s5c Ts9c5d5c3d JsJc7c6h4c 
Kd7h6h3d3c Ts7d6d5s5d Kc9s6s6c3c As8h5s4c2d 
Kd9d8d8c6s KcQcTc8c5h QcTh9s8s3d 9d7h5h4d3c 
Jc8h7h6s5d KhJh9d5c3h QhTdTc9s2s TsTd8d4c2c 
Jd7h6d4s4h Ad9h7s6c5h AhKd6c3s2h As8s7s4h2h 
QhQd8c5s2h KcTd8s6h4h QhTd5d4h2h Ac6s5h4s4h 
Qh8d7h5c3c Kc6c5c4s2s AsQcJd6d3d Qc9h8s8h4s 
Th9d6c3d3c 9d7d6s3s3h Jc9h9d7d5d KcJc4s4h2s 
AsTh5s4c2d Ac8s5h4c2d 9d9c7h5c4c Ad9h9d5d4c 
Kd7h7c5s4d JsTc8c7h3d KhJh8d7s3c Jh7c6s5s5c 
AcKdTh4h3h KdQs8s5h4c Ts8s6d4c3d Ts9d5h4d3h 
Qd9h7s7d6d AdQsJh3c2h Kd8d5h4c3h KdQc8h4h3d 
AsQh8d5d4d Tc8d7s5c2d AcKh7d2h2d AcJd9c3h2s 
JsJd9s8h4s 9h8h7d5s2s QdJc9d8h4s KdTd6c4s3h 
Jd8h8d7c2h Qs8c7c6d5h AdQsTh6h3h Th9c8c4d2h 
9d7h5h4d4c JsTs6d5s5h JcThTd8c2s Ah7s6c3h3d 
Ks5s5c4c3c Qh9s8d8c7s KcQh7h5s2s JdTs8c2s2c 
Jd8h7c6s5h QcJcTc6s3c Td8h5h4c2d Jc9s8c6c3s 
KhJd6h3c2d 8d6d6c4s3s QsJs6h4d2h As9s6d6c5s 
KsTc9s9d3s KcJc8h8d3h KsQcTc4h3c As9h6d5s2c 
Ad9c6c4d2c 8h6d5h4d3h QsJd9h8c3s AsQd9d8h2c 
AcQc8s7h3c QsTs9s9c2d Th7c6c5h5c QsQdJh8s3s 
KsTc8d7s3h Tc8h7s7d6h Td7h6d5s4c 7s6s5h4h2c 
KhJc4c2h2d 9h7d5h4h3d AdKc6c4h4c 9h9c8s2s2c 
KsKc9d7d2d Td9s5s4d3h AdKh3s3c2d 9s7d7c3s3c 
Kh8s5d4h3s AdKs6h6c2d QdTd9d7h2h QhJs8c7c2s 
QdQc6c5s2h Qh7c6c5s3s KdJd9d7s4c 9s9d7s7c4s 
8h8c7c5d2d 9d8h8c6s5s AcJd9h8d3d Kd8c6d4s3s 
QsTd7h5c4d KhTs8h8c5h Ts8c6s4h3c QhTd9s8c3d 
TsTc6d5s2c Kh6c4h4c3d Ks6d4c3s3c JsTs9s9c3h 
KsKd8s7s2s Ts9s7s6c5s JhTc7s5d5c Jc7s6s5c3s 
Ad9c6s5d2h Kd8h5d4s2h Qc9h5h3s3c AsKc8s6s2d 
AhQcTc3s2d Ad8s8h7s3h KhJc7d6d5d Js6h5d4s4h 
AsTd9h8c2c KdTc4s4d2c Ts7d7c6c3d JsTc9h8c2c 
JsJh8d6s4s AhKsJd8d3d KcJd4d2s2c Td8s8h7d3h 
KcTs8d3s2c KdQhJs6s3s Td8s8d6s3d Tc8s7h5d4c 
AcKh8s2d2c Js7d6c5d5c AdQd8c2d2c Qs9c8s5s3c 
JhTh6d4c2c QdQc6s6h3h AcJc9c7c3h Qs9s8h6d6c 
Qd9d8c6c2d ThTd6c5d2h AcQdJs8h3h Tc8s7c5s3s 
Kd8c6c3h3d Jh8s7s5c3c Js8d7s4d4c JsTc8s3c2c 
9d8h7d7c3c AdJhTs5c2s 7s6d5s4c2c Ad8d5h3h3d 
AhJcTd6s3s As8s5s4c2c AhTd5h4c2s 9h9d7c6h2d 
KcTh8s7d5d Ad7s6s3d2c 8s7s7h6d5c QsTd9s6s3s 
KhQsJh8d3c ThTd5d4s2h AdKsTh4h3h Qd8d8c6c3c 
AcJd9c4h3c AcKs6d2s2d KdTd7s5s2d QsJs7h7c3c 
AsJc6s3c2c Ah8h7s6h4h AcKs9d6s4s Kh8h7s4s4d 
Ah8s6s3c2h AcKs8h5s3s KdQs8s7c5s Qh8c6h4h4c 
QdTh7d6s3c Jh7s6h4s4c QcTh8s3h2c JhTs8h5c2d 
AsKs9s4h2h Kc9s8c6h6d AcTd9d7h3d QsJd5h3h2s 
Ts9h6d3h3d JcTh6h3h3c Td8c6h5d3h QhQcTh3s2h 
Th7s6c4c3s Qh7c6s4h3s AdTd7c5d3d Ac9c8h7s2c 
JsTs8c5h2d AdKs8d6c2d QsTc7c5c4h AdTd6c5d3h 
JdTd6c5h5d KsTd6d3s2c KhJc8s7c3s Js6h5d4h3s 
As8d6s4d3s Jd8c7d5c3c Js9c6c5d2d AcKsQd7h2d 
Ah9h6s3c2s QdJhTs2s2c AdKc8s5c3c 8c6s6c5s2s 
9s8d8c5s2c AsQsTs3s3c 9d9c6c5s4c AsJs9h6s3d 
AcKd8d5d3h KcQd9s7h5s Td8s8d7s2d Qs9s8h8c3c 
Ks8c5d4s3c AhJd8c2s2h AcQd6c3c2d QcTc6h5c4c 
As9s8d7h2s Ks6s5s4h2h Qs9s6c5d4h 9d7d6s3s3c 
AhJs8s4c3c KdThTc8s4h KcJc6h3h3d 9s9c5s5h2h 
AdQd7d6d4h Qc9c8h8d3d Kh8h7d7c5s Jc7h7c4h4c 
KdQhQc8c3s QhJhTh3s3d 9h8h7c5s2s 7s6h5s5h3h 
AcJhTh6h6d QcThTd6s3h JcTs9s4h3s KhJh8h5s4c 
JdTs7c5d2c AhJc6s5d5c QdJh9d6s4d Ah9c6h3s2c 
Qd9h9d6h2d QhTs7c4s2h Th7h5h5c4c AdKsJs3c2s 
Jh9c7d4h3d QcJs5d3d2c Kc8h5c4h3s Jd7d6s5s3d 
Ac8s7h5d4h Td7d5s5d4s Ah7d5s4c2h JhTd9s8s2s 
QhQc3h3d2s Qd8h7d6s4c JhTh8s5c2d AdTh9s7h3h 
Tc7h6d4d3h 8h7s7c5h4d Ah6d5c4d4c TsTh9d8c2h 
KsQdJh8c4h AsTs3d3c2d QhTh9s5d3h KsTs7h5h2s 
Ks8s7h7d5c KhQdQc5s2s QdTc6s5s4s AdQh4c3d2s 
AhQdTd3s2c KsTc8s8h5s KcQc6d5s5c JdTd8c5h2s 
KdJs8h6s3h Ts9d8d4c3c Ah8s7d3s2h QsQd8s8h2s 
Jc7d5s4d3c AdKsJs3h2s QcJd9d6s6h KdTd7s6d3h 
JhJd8s8d3c KhJs8s8c6d KsQc6d5s2h JcTc9d9c2h 
Td8c7s5c3s KhJcTs5s5d Jc9h7d4h4c QdJsJc6c3c 
QdTs7d6h2h AdQcJs6s3s QsTs5h5d4c As9h6s5s5c 
Jc9d9c3d3c KdTs6s3d2h QdQc3h3d2s 7s6c5s4h2h 
KhTh8s8h5c QsJs8c4d2d Jd8h7c5c4s QsTd9h9c3d 
QsQd5d5c2d Qc8s8h6s3c KcQdJs5c2c 7d7c6s5d4d 
QdTd9s9d2h Ks9h8c6c4h Ah8s8h4s2h Jd9h6c5d2c 
Kd8d8c5c3c AdKd6d3c2c Kd9c8d7d3c JhTh8s8h4c 
6h6c5s2h2c JdTd9c4s4h KcJd6h5h2d KhQcTs6s3s 
AcJs6c3s2s KhQh9s9d5c AsJh7s6d3s AdJs9d4c3d 
Td9h6h6c5s Kh9h5s3s3d JdTs7d4c2c Tc8d8c7s2s 
AhJs8d4d3s Tc9s8s3s3c Ts8c5c4h2s Td9c5d4s3c 
QhJhJc6h3d Tc7s7d5s3d Jc9h5d4d3h 8h7c5c4s3s 
KcTd8s7h5h Jh7d5c4c3h Ac8s5c4h2d KsKd8h4s2s 
AdQd8h7c3d Qh9d9c4h4c 8d8c6s2s2d QsJh7d5d2s 
KsQcTs9s2s Jh9d8d7s5d AdTc9c7h3c KhQhTh8h4c 
KsQhJh9c2h QhQc9s7c4c AdKs9h7s2c Ts8c7c4s4c 
AcQc8c5s2h Td8s6h5h3s As9h7d6s2c AhTs9d7d3d 
AsJh9s3c2d As7h6s5s4s AdTc7h6c4c 8s7d6s4d2c 
Ah8s7h5h3d QsTsTh9s4s JdTh7s5d2s Tc8s6d4c3s 
Kd5d5c4c2s 8h7s7c6s3h QhQdJd7c2s Kh7d6s5s5d 
KsKhJh7h2h Ah9h8s7c2h Ks8s8d5c2c 7s6h5s4c2c 
AhTh6c5h3d Jc9d7d5h2c Kh8s6d4s2h KdJd8h7c3s 
9d9c8d7s5d Qh8s8h7d6h KdTd7h6d3c KsJh9c8d2s 
AdKs8s5s3h Ah7h6s3s2d AsKc6d2d2c AdKs8h5s3s 
JsTh9h7d2c KsQs9h7c4d Js8h6s5d4c 8d8c7h5c4c 
AhQs7d3s3d Kd9d8s6d3s KsQhQd8h3c 7c6s6c5s2d 
KcQhTc2s2d AsJc9h8d4h Kd9s7h7c6c Ks9c8c5s2s 
7c6s5d4s2c KcTs8d7d4h Ah9h5c4s4d 8c7s6c4s2d 
