8d8c6s4s2c 
QsJc7h7d5c Js7h6c4c3s Ts9d4s4d3c AsTd9d8d4d 
AcKsJh6h3h Kd9d8h6s3c Ah7h6d3s3c QcJh8s8c4d 
9h8h7s7c5d KsQcJs2s2h Ac9d9c6h3c AdJd9d8h2d 
AsKdQh7d2d Ac9h7s6s5s Ah8s8d7d2s AsTh9s3d2s 
As8d8c6d3c Td9s7h5c3s As8d6d5h3h Jh9s8c7h4d 
9s8s7h6s6d AsJs9s8h2s QsTc9d7s2h Qc9c7c6s6d 
9d7h7d5h2s KdTs8s7h4s Kd8c6s6d5d QdJc7s7h5c 
QhJsJd6h2c Qd9h7s6d2s Qh8d8c7s6d AsQc9c7h4c 
Kd9d7c3h3c QcTs8h7c2d Kh7s7c6h2s AdTd5c4d3s 
QsJh9d7c3s Jd6s6c5s3d QcJc9c7c6c Ad7c6s6c5c 
AhTd9d8d4d Kc8c6s4h2h 7s6s6c5d2d 9s9c7s5s4d 
JsJc7s6h2h AcKhJh8h2h Ac8h7s7h3s KcQd5s3d2s 
5s5h4s4h3d AhKd9d6d3s Qc9s8s7s7d Jh9h7s7d6h 
KdKc8s3s3h Qd8c7s4d4c KcTd9d8h3s AcTs8d4c2c 
Th9s6h5d4h Ts7s7c5c3s Qs9d8c7h5d Jh9c8h8d5h 
QsJh7d5c4c QsJsTh8s2s Kd9c8s8c4s Qc9c7c6c5h 
AhQsJc7s2d KdJc6d2s2c 9h7s6d5d3d KdJd8s4s2s 
KsJdTh4h4c AhJs8c7s3d JhJc9h8d3h 9c6s5s5c4s 
QhTh9h5c4h QdQc7h4d3s KdJhTh4c2h Tc9s6s4h2c 
AsKh8d8c4d QcTd6s2d2c Ac8c7h7c3s Jh8h7h6s5h 
JsJd7h7c3d 9h8s6h4c3c KhJc9h5s5d Td9c8c2d2c 
KhTh7c5h5d KdQsJs6h2c KcQcJc8c6c Td8d7c5d4h 
KdTh7c5c2h Ts8s7h5s4d JsJh9d6c4d QdTs9s7s4h 
Js9s7h4h3h QcJsJd7d3h QcJsJh8d3h As8d8c7c2d 
QhTd8s4h4c QcTc9s3h3d QdQc7d5d3h 8s7d7c6c4h 
KhTs7s6d3c AhQs5s4s4d KdQd9s5d3c QhJc7s5d3h 
KcQc9h6d2s Kc9s9d6h4c Qc9s7h6h2c KdTc8s7s4s 
AdTs9h6h6c AhQs9c8c3d Jc8s8c5c4h As7s5s5d3h 
As7d6h5c4h AhTc8h3h3d KdKc9c3s2c QhTs8d4h4c 
Jd9h8s8c5c QhJs8c7s4d Jc9d8c4s3s JcTh9c6c4c 
Kh8h8d7d3h Kd5s4s4c2d 8s7h7c6d4d JhJc9h4s3d 
KsQdTs7s3s QhJd9h8c4h KsQsJh7c3s Qs8h8d7c6h 
9d8c6h6c5s QsTh9d4h3c AcQc8c3h2h Qd9d8s7s2d 
Js7c6h4s3h Ah5c4s4h2d Tc8h8d6s4h QhQd8h5h3c 
Qh8d8c7s6s Jd8c7s5d2s Jc6d5d4s4c Ac5c4s3h3d 
QsTd6c2s2d Kc8c6d6c5h 9c7h7d4d3h Qd9s8c7h5s 
AsKs9c6d2s KdJc6c5s5h 9s8d6s4c3c 9h9d7d5d4s 
Ah8s6h4h4c QhJd9c8s3d QdQc8c5c3h Kd9h6s6h2d 
Ac6s3h3c2h KcJs7h7d5h Ks8s7s7d5h Th8h8d6c4h 
8h8c4h3d3c 8d7s5c4s2d QdTc9h7d2s AcKd6d4s3d 
Jh8c6d4c3h KhQdJs3s3c AdJh4d4c2s AcQhJs7d3d 
Jd8d8c5d4h 9c8s8h7h5h JcTh5d4c3c 8d7c5s4s2c 
8s7c5h4h2c 9d7s7c4c3s AhKc5h2h2d 7s6d4s4d3c 
QdTs7d5h3c Jc9d6h5s4c Kh9s8h4c3s AcKdJd5d2d 
Jh9c6d5h4s JsJh7d7c3s AdJh9s9c4c Js8h7h7d3s 
AsKd9d6d3h Ad9h7s6s5s Tc9h8s5d4s 8s7h7c6h4d 
Jh9h7c4c3c QdJc7s7h5s Ks6c4c3s3d Td9c7h5h3s 
Td8h7s4s3d 9s8h6d5h4h QdTd9s3h3c 8h8d6s6d3d 
AsQc4s4h3s KsJs6c4h3d 8s7d6c3s3d KhQh8c7s4h 
AhQc5h2s2d 8d8c4d3h3c Kh5s4h3s2c Jd9h6s4s3d 
8h7d6h4s2s Qh9d5h4s2d AsQh6d4h4c Td9c6d5d2c 
AcQh9h7s4h QcJc9c4h2h 9c7h6h6c2s 9s9d7h5c4h 
TsTc9c4h3d Qh8s8c7d6d Td8s7h4d3h 7h6s6h5d2d 
Qd8d6c4h2c Jh9s6d4s3h Qh9d8c4d3h Kh9s9d6c4h 
9s9h7h5h4c AdJd7s6c2h QhQd8s6h3h 8s7s6d3d3c 
TsTh9c6c4c KsQh7h7d5h KcQc7s6c3d Kh9h8c4s3c 
AcJd9h4h2d Qd6h6d4s3h Tc9h7s6c3c Ts6d5d4s3s 
QcThTc8d3c TdTc9c4s3h Js9c6d5s3h TsTd6h5s3c 
QdTd7s7c5d 9c8c6d4d2s KsJc5h5c4d KdTh9c5h4s 
Kc8s7h5s3h As9h8d8c6h QsTs6s5d5c JhTd5c4s4c 
AsKd6d5h2d AcJc8c4s2h 9s9h8s5d4c Ac7d6h5s4h 
Kd9h7s6h6c 8d7h7d5h2h KhQsJs6d2c Qd9d5c3h3c 
Jc8h8c7h3h QdQc9s8h2s 6c5d5c4s3s Jh9c8d7h4s 
QsQh9c7d4d Qs8d8c7h6c KsTd8h7h4h 9c8s8d7s5s 
QcJsTh5h2h AdJs9s7s3c Jc8c7s6s2d 8d7h5s4h2d 
Tc8h8d3d3c AsJc8h5d3c QhJc9d7s3h Kh8c6s5c3s 
Qs8h5h4s2d Kd9s8s7h3h KdQd9c6s2h 9d8d7c6h6d 
KsQhJh6c2d Jd9s9d4c2s Td9s6d5c3h Kd9s6s4d2c 
KdJs9s8s5s Jd9d8c4c3s AdKdJd7d2c Tc8s7h7c5d 
Qc8c6c5d4s Jh7s5s5h3h KcQsTs8s4s 6s6h5c4h4d 
TsTc7c4h2s KdTc8d7d4d Jd8s5c4d2s TdTc7s6s2d 
Qc8s6c5c4d AsQh8s8c3s Js8d7c6h6d Kc9c5d4c3d 
QsJd7c5c4h AhJdTs3s2c 9s9c6d5s3s AdTs8h4d2d 
AdKd9c4d3s Qs8s6h6d3d JhJd9h4c3s ThTc7c4d4c 
QcTd6d5d3s AhQsJd4d2d Tc8s6h6d5d Js8s6c5s4d 
9s6d5s4d3d KsTd9s5h5c KdTs8c5h2d Qs9c7s5h2c 
JhJd7s5h3h QdQcTs5h2h Qd8d6d5s4h Kh7h7c5s3d 
QcTd7c5s3h Ts7d5d5c3s AhKc5s4d3d KcQcTh5d2c 
Td8c7h5c2d Qc7s6c5d4c KcJcTs6c2d QhTd9s4c3d 
Jc9s7d5h4h AcKh5h3s2d AcQs9s7d4s JdTd8d7h3c 
Ts9h8c5d4c Kd9s5d4d3s AdKsKhKc3d TdTc9h6h4h 
Js9c6h6d5d QsTd9d7d4c QhJs7s4h2d AdKd4s2d2c 
AcJs9h9d4h QhTs6h3c2s Kd5c4h4c2d AcJd4s4c2h 
KdTsTh9s3s Js8h7s6c2h KhQs4d3s2d Jc9d8s8c5c 
Kc7h6d5s4h As7h7c5d4d Qd6d6c5s5d 9s8c6h5s4s 
QhTc4d4c3d QsJs8d5s4s Qh6s6h5d2s KsJsTs6h3s 
Ts9h8d6d4d AcJc8s2h2d JhThTd8h2h Jc7c5h5d3h 
Kd8h8c7s6s KhQsTd4s2c Qd8s7s5h3h 9h8h8c5h5d 
QcJsTc6d2c KsJcTc8d2c Qs9d9c3d3c KcQc8h7d4c 
Th8s8c6d4s 8s7h6d6c4d Ks7h5s4d3c AsQs7d4c2h 
AdJs9s8c2s 9c8d6c4s3s Jh9s8s3h3d As9d7c6c5c 
QcJsTd3h2d As8d7h5h4h QdJs7d4h2s AdQhTh7h2c 
KdTc8d3s2s 8d7s5h5d3s 5s5c4h3s3h Tc9h6h4s2c 
9c7h6h6c2d Qs8c6s5d4s QhTd9d7s4d AsKc8c5c2h 
AdTd9s4c2d Td8d7c5s2s QdTs7s5h4s JsTd9d5h2c 
Qh9d9c4d4c Tc8s8h4s2h Th8c7s7h5d KcJd9s5d4d 
Th9c7c6s3c QhTh7s7d4c Jd7h5h5d3d AsQh6d4h2d 
JsJdTd3c2d Jd8h7c6s6h 8s7c5h3s3c Ah9s7h2s2h 
Jc9h6c5h2c Kc9s9h7s5s AsJd4s4c2h 7c6h6c5d2d 
Tc8h7s7c5d AcTc6d6c3s KcQhJc3c2d Jh8d5s4d2h 
Js9c8s8h5s Jc8d7s7d3c Kd9s9h8h2s Td9s4s4d3h 
9d8s6d6c3s QdQc8d5d3h JsTc8s3c2s KdQs7s3h2d 
KcJs7s5d3h Jc9h6d5s4c QcTd4s4d3s KhJs9s8s5s 
Qd9c8s6h6c Ks9d8d4s3h QsQd6s4c2h JhJd7s7c3h 
KhTh9s7h2c QhTs7h5c3d KdTd5s2s2c AsJc6c5d2d 
Kd8s6c5c3s Kc9s8d7h5s Th8h5s4d3s Th7h7d5d3h 
Js8d6c4d3s QhTd6s3s2h KhJcTd7s2c Jd9c7s7c2d 
TsTd6c5h3d 9c8h7c4h4c QcJs6d5s3s Qc4d4c3s3d 
Kh8s8d7c6d Js7s6d5h4s Ks9h8c4h3s AhQcTc7c2d 
9d7d5s4d3s QdJh7c5s4c KcQd7h5s4h 9d8d7h7c3c 
KhJcTc4s2c Ah9d8d7s4c Qh8c5h4c3s Jd8s8d6h2s 
Kc7d6s4c3h Qd9s7h6c4d 8s8h6d4d2s Td9c7c6c2d 
KcJs6h5s3d AdQcTc4h2c Jh9h8d4d3c 7s6h5c4d3h 
ThTd6c5d2c Td9h7h7d2h JhJc9s4c3d 9s9d8c5h5c 
Kd9c7d6d4s 9c7c6c5s4d Qh8h6d6c3d JdTd4h4c2h 
QsQh3d3c2h KhQcTs4c2d Kh9s5s4h3h JdTs6s5c3h 
Ts9h7c5h5d KdTs4h2h2d QhTs9d7h2c Qd9c8d6s6d 
Qh9d8d7d6d TsTd7h6h2s AsJs6d6c3h KsQs3h3c2c 
Ks9s5c4c2h 9s9d6c5s3s Js8h6d5d3h JhJd9s4c3h 
Ad8s6d5d3c 8h8d6c4c2d Kd5s4d3s2h KsQc5h3c2h 
KsKhKcQs5c JhTc5d4s4d 9h9d8d8c2d KcJs8c7d2h 
KdJs9d5h5c KcJc7c5d3s Js9d9c5d4h QsTd4h4d3h 
Tc8c7s5d2s 9c8d8c6h4s AdJs9c5c4c Jd8h6d5d3h 
QcJd7h5h2d 7h7c6c5s4c QdJd5d4s3c KhQc9h6d2s 
Jd9h9d5s5d Tc9s7s7d2c KcQc9h6s2d KsKdKcJc6d 
KhJdTc8d2d JsTd9h4c2d AhKsJc6c3c 9d8s7d5s2s 
AdJd6c4d2c 8s7h7d6d4c QcJhJd7c3s JdTc7d6c2c 
AsJd8s6s3h Jc9h8s8d5s TsTc9s7s5s KsQsTh4s3s 
9s8s8d6h4c Js8c7h6d6c JhTd9d5s5d 9h9d5h4d2c 
Qs9c8d8c6c Ad8h6s5h3s KhJhTh6s3h AcQh9d6s3h 
KhJc9s5d3c 8d7d7c6s2c Jd9s8s3h3d Td8d7s5h2s 
Qc9c8s7s2c QdTh6d3s2h JdTd9d6d4s Jc8s5s5c2h 
Ah9h6c4d3s QdJh7h5s2s Kd9h5h5d2c Tc9d4d4c3h 
KdTh6d5s2c AdQc9h5s4h JcTc4s4d2d AsTs4h4c3d 
AdTh5h5c3c JdTs4d2s2h 9d7s6d4s3d KdTs9h6c3c 
KsJc9d7d4h Jd8d8c6s3s KhQd7s5c4s KcTc8c6s4c 
AdTs8c4d2d KsJcTd8c2c Jd8h6s5s3h AcJsJd4s2h 
Qh7s7d5d3s AdQh7d4d3s Jc9c7s4s3s Jc8s8h6s5d 
Kd9c5d4d3c Jd6h5d4h4c KdJs6c5s3h Ac7h6s5d4s 
Tc7s6h5c4c AhKh6h4c2s AsKc8h8d4h KhJs9d6s6c 
JhTs9d4c2h AhTd9c6h2h KsQh9s5c3s Js9d6h5s3c 
KdJd6h4c3s AsQdJd3c2d Th9d7c6c4c KhQsTc8c2d 
KhTh7s5h3c Kd9s8c7h5s Th9h9d8s4c KsJc5d5c4h 
Td8h5h4s3d JsTc9c5h2d Ac8h7d5d2h AcQc6c4s4h 
9d8d7c6d2c Tc9d9c8s4h Ad9c6s3h3d Ah8s7s7c3c 
Ah8s8d7s2d QsJhTd3c2d Ad8c7h5h4h AhJd5h5c3h 
JhTs7h6d3h KdQd7s6d3h AsJcTd3d2h JhJc3d2h2d 
9h8c6c4s2s Ts6h5s5h3c AsQh6d5s2s Jc9s9d5s4h 
Kc8c6h4d2d As9s6d4h3c Th8d7s5d2h Td9d6h6c5s 
JsTc9s8s3s QsJd7h5h4c KsQh9c8s2d 9h7h5c3h3c 
Th7h5c4h4c AhJd8c6s4s AhJc6c4d3d KsKhQd7d2d 
Ks9c8c4s3h Kd9h5d4d3h Jd8s8c7c5h QhTh9d7h3s 
KhJs5s5d4c Qs8c7s6s6d QhTc6d2h2c KsTsTc8s5s 
QdTd9s7d3c 9d8h8c7h2d 9d8s6h5d4d KsJd9c4d2c 
AdJh6s5s2h 8s8d7s5s4s TsTh9d8c3s JcTs9s5h2d 
Kc9d9c5s4h KsQc7h5d4h QsJhJc8d3c AdJc6c5h2h 
Kd9c6h5d4d Js7d6s4d3c QcJsJh8d3s Kh7h6c4d2d 
Kc9h9d7d5d 7s7d5h5c3d JhTs5h3h2s Ks7d5s5c4h 
JsTs8c4h3d KcTs9d4c3c 6s6h5d4h4c KdQh8d4d2h 
QdJhJc7d3s KcQdJc2h2c KsJd6c5d3h AdTc8c4s4h 
JdTc7c5s5c Jc7h5h5c3c Qs6s6h5d2h KsJs9c7d2h 
Jd8h6s4h3d AsQs7s7d3h Kh9d7s7h2d QcJh7s5d4d 
KsQc9d7d5d Js8s5d4d3d Kc8h7c6c5c KhTc8s5d2h 
QhQc7c5c3d KsTs8c3c2h KhQc7c3h2s KdQh9d6c2s 
AsQd9c6h3d Tc8h8d2h2d Js8d7c5c4c Jc8d5d4d3c 
JhTh8d4s3c JsTh9s3d3c 8c7s5c4c3s Ts8c7d4d3s 
AdQcJc6s2h Ks5s4h4c2c Th8d7h7c5s KdTh9s4d3d 
Jh9c7s7d5c AsQc5c4h4c KdJc4h4c3h JcTc9c8h3c 
AsJdTc5c2c KhTh9s9c3h QsJh7d5d4c Qs9d8c4d3s 
JsTh5s3s2h Js7h6s4h3c KsQc7d5h4d 9c8c7d6h6c 
JhTh5c4d3h KcJd9s3s3d AhQh7s4c2d Ac7s6s6h3h 
AsQhJd4d2d 9h9c7h5h4s JcTd7d3h2c AdJh8h5c3s 
KcTh9h8d2s 9s8s8c4d3c Qd8s5s5h4h AsKd6d4c3d 
AhJh8h4s2d 8d7d7c6h2c Tc9s7h5h3d Jh7h5s5d3d 
KcTd9s7s3h Jh8c5s4h2c KsThTd9d3d Th9c7h7d4s 
QsJdTs6s2c Kc9c8d6s3h 9h7h6h5s4d Ac8h7s6c3c 
8s8d6d6c3d Jc8d5s4c2d KdTh7d5c3d JsJc3d2d2c 
AdTd4s4c3h 9s8s7h7d5c Js9s5c4c3c QhTh9s4c3h 
Qs9s9h5d5c 7d6s6d5c2c Qh6s5s3h3c Qs9s8c4c3h 
KdJh8d7c2s Ac8d6h5d3h 8d6h5s5d2s Ad7d4h3s2h 
Qc8d8c5h4s QsJd7d6d5d Ac9d6c5h3c As8s7h6s3c 
Qd8d6d5h4s Ks6h5d4s4c Kd9s8h7c5s KsJcTd4h4d 
Tc8c7c6c5d AcKc6d4s2c 7h6c5d4s3c KcQhJs9s3s 
KhJc9c6d3s Kc8s6h6c5c QhJd8c6d4d KhJd9c5d4d 
Jd9s8s3d3c 9d8c6d6c2c AcQd9d7h4d Jh8s7c5c4c 
AdJc8d6d3s AhKh4c3d2h Ad9d6s4c3h QhJs8h5d5c 
KhQc8h3c2d Tc7h7c5h3c Kc5s5h4c2s 9s8h7h6h2s 
Th8s5s4c3h Qc9h6c4h4c QdTd8d5d4c 6h6c4s4h2c 
QhJs8d7s4c KsQh9d8d5c AcTs7s6s4s Kd8d7s7d5c 
Td6c5s4s4d 9h8h7d7c5s ThTc6c5s2s Kh8h6d4s2s 
TsTh6c5h3d 9s9h7s5d4s AsTd9d5h3c KhJd6h2s2d 
KhTs8h7h4h As9d6d3s2d Jc6h5h4s4c AsQcJd4d2d 
9h8h7h5d4s JdTs7d6s2s 9s9c7d2s2c QhJd9s4c3h 
Ah8d8c6d3c KhTs5h5d4h Kc9h7s7h3s AcQdJh7h3h 
8h8c7s3h3c AdJd7s6d4d KcTh4s2s2c QsJh9s3h2s 
KhTd9d8c2s Td8h6s6c5s QhJd8h3d3c KcQc9s3s2h 
Tc8s6h4c2h Ac7h7c6c3s AhKc7d4c2s QsTc7d4d2s 
KdJh9h8h5h AsQs9c5s2d AcQc5c3s3d Ks9h7h7d3d 
AsJc7s5s2d KsQsTs4s3d AdJh9s6h2s AdKh7c6h2s 
AhTd8h3s3h JdTsTh7d3d KsTc8c7d4c AhKd9c5h2h 
AdQc9s8s4s KsJc4d3s2d Kh9c7h6h4s KhJd9c3d3c 
JsJh7s4s4c Qd4h4d3h3c Jh8h7d6d2s JdTc5d3d2c 
8h7c5d3h3d QcTh9s7c2d Ad9d6c4h3s QdJhJd8d3c 
KhQc7s7c5c QdQc6c4s2h AhQd8s8h3h QsQc8h3s2h 
Qh8s5h4c2c Kc5s5d4c2s 8h8d7d6d5d Jd9d7c4c3c 
Qc9s8h5s2h AhQcJc3c2s QdJs7s5h2h Td9s7h6d3d 
KsKh9h3d2h QsQd7c5c3h QcTd4d4c2d 7h6d5c4s3c 
Js8h7d5c4c Td9s7h7d4c 8c6d5s5c2s As8c6c5h3h 
QsQh6s6c2s Js8c5c4h2s 8s6c5s5d2d 8s8d6h4h2d 
Ad6h5d5c3d Js9h6c4h3s Jd9h7h7c2d QsTc6c3h2s 
Ah7s6d5s4c As6c5d4s3s AsJh8d6c4c 9c8s8d7d2c 
Jh9h8c4c3s KsTd5h3s2h Th9c6s6d5h KdQdTc5s2d 
QhQc6c4d2s KdQsJc3h3c KhQs9c8h2d 8s7c5d4s2d 
9h7h6h5d3s AsKd7d5d2c AsKs9d6h2s AhJc9d8c2c 
Ac5s4c3h2d Tc8c7s5c4h KsQhJc9c2c JhThTc7s2d 
JhTh8h7d3s AcJd8h5s3d Th9d8s4h2s Qh9c7d6h2c 
QsJd6s5s4s QdJc9s8h3c QhJc7d5c4c Qh7d6h5s4h 
Qs9c7d6c2s AdQd3h2h2d QcJc8h7h3c KdJc8s5d3h 
Kc9d7c6h4c AhKcJc5c2c KsQs7h6s3d 8c7d6d4h2h 
KhQhTd4h3h Jd7h6s4s3d Ah9s6c4h3d AcJc7h6s2d 
Td8h7c4d3c KcJh7d3c2h AdKc8c5c2s AsKsTc4s2s 
Qd8s8c7h6c Td8c7h4d3h QsTs9h3d3c AdJc6h5c4s 
KhKc9c3d2c ThTc6s5c2s 8s7s6d4c2d JsTs4d4c2d 
Ac9s8s5h2h AdTh9c5c3s 9s8s8h7c5s Ts8c6h4s2h 
Qs7c6d5d2s QhJc4h3s2s ThTd7c6c2h 8c7d7c6s2d 
Jh7c6d4h3d 9s6d5s4s3d AsQd5s2h2c Ad9s6h5h3s 
QsQh8s7s4s AcQh6s5c2c Qd8d7s6s2s AsJh8d5c3h 
JhTc8c5c3s Jh8s5s5h2c KhQc8s3h3c KsTs7c5s5d 
JsTh7h3c2s 9d8s6d6c2c QcTc7s7d4h AsQs7s7c3d 
As8s7s6s6h KhJsTs4d2s JdTc5c4h4c Th8h7s5h4d 
KdQhJs8c3h Jh9s5c3s3c Kd9s8d4h3s 9c8h8c6s4d 
AsTd9s3h2s AhJd9d5d3c KcTc7h5s5c KsQh9s6d2c 
Kh8s7c5s3c 7c6s6h5h4d Qh8s8c7c3h 9d7s7c4d3s 
AsQh9h8d3h Js9d7d6d6c QsJdTc3s2s AcJc6s6d4c 
8h7s7c4c3h AhTh6h4s4d QhJsJd5h2h KhQhTc5s2h 
AsKs4h2s2c Td9h7c5s5h Ks9c8h4s3c Ts8c5c4s2d 
Ac8c7c6s6c Ks8s8d6d2s JdTc6d6c2c KsJs9s8s5d 
KsJh7d5d4d Qs9h9c7c5d JhJc9s5s3s QsJd5c3c2d 
KhQs7s3h2d 9h9c5s5h4d 8h6s6d4h3d 8c7h5d5c3h 
KdTd4s3s3d 8s7s6h4c2h KsTs9d9c5s 9h9c6s5c3c 
JcTd3d3c2h Ac8c7s7c3h KdJh9s4d3c 9h7s7h5s2c 
AhKsQc7s2s AhTd9h6s2h AhQd4h3c2s Qd9s9h5s2h 
KdThTd4c3d AhKsJd6c3c AcTc4h4c2h Ts9d8c5h4c 
Kd6c5s4h4d Kd8c7h4d3h ThTc7h4h4d 9h8c6h4s3s 
AdQsJs3c2s KcQhJd8s3h Th9s9d3d2h Kd9h6d5d2h 
KsJdTd5h5d KhJsJd9c3c QcTh9h7h4s AsJc9d6c2d 
KcQh7s6s4s QhQc8h5h3s QsTs7d7c4h Ah8c7s5s2c 
KhQd6h3d2h Th8d6d4c3c Qc9s7d6c2s Th7c5h5c3d 
Qd8s7s5d2c TsTc9h8d3s KdTc9c8h2s QsJh9s8d4s 
JdJc9h4c3s Ah7d6d6c5d Jd9d5s3s3d QdTh8c6h3s 
KhQs8c4h2c AhQdJc7d2s Ad5s5h4s4c Tc9d8d2d2c 
Tc8s7h4h3c JsJh6h4s2h QsJs5d4s4c KdJs9c5s4s 
AcQdJh7s3s KcJh9d7s3h QhThTc8s3h QhJc5s5d4c 
9c6s6c5d2d Kd8h6h5c3c QcTs6s5s3h AsTc6s4d3s 
Qd8s7s5d2h Th9h8d7h5h KsQcJh9h2h Ah9h8s4c2d 
Td9h9d8d5c Ac6s6d3s3d KhJh7d5c3h 8d7h5s4s2h 
KhTc6s6c5d Ah5c4d3h2s Jh6h5c4d4c JcTh6h5s3d 
AhQdJs7d2c QhJd8s6d4d Kd9d6h4d3h JsTd7d3h2s 
AdKh6c5c3c AdQd7h4c2s KcTs7h5c3c AhQd5d4d4c 
AdJs6c5s4h Js8d7s6h2d 8d7d6c4h2c Ah8c6h5h3s 
KcQcTd5h2c Qc9h6h6d3d Ks9c8s4h3c Ad9c8c5h2h 
Qh9c8d7s5c Kh8d7h4s3s QcJhJd8s3d AhQdJs7s3s 
AhJs9c7c3d Ks9s8s7h2h AdQc8h8d3d QhTc8s6c3d 
JhTs6d6c4s 9d8s8h7s5s KsJc9d7h3c AsTc9s4h2s 
Ac9d6d3c2d Js9d7d6h6d 9c8d7s6h4d Td9d8c4d3c 
9s8c7s5c2c KhJh9d8h5h 8s7s7c5c2c Jh7d5h5d3h 
AdKs5s3h2c 9s9c6h5c3c AcKc9d4s3c 7s7d5h2h2d 
9d8c6c5h4c QdQcTc7s2c AdJc9s7s3h KcTc5s2s2d 
9s8c6c5d4c JsTs9s9c5s 9d7c6h5c2h JsTc6s4c2s 
JdJc7c6h2h Jc9h6d5c4s JdTs8s3c2c Qd8h8c7h2d 
AdTh9s6h4h AsJs8d6h3s Jd8s8d7c5d 9h7h5d3h3d 
As8c7h7d6c Js7c6s4c3h AhKs6c5c3c Jc8d5h4d2c 
AhQh8s8h2c KsQhJs2s2d KsTc8h5d2s KcJs6h5s5d 
AcQd8h3h3d QhJh7h4c3c KhQc9h6s2d Th9h8h7d5h 
Kd8d6c4h2h 8c7s5h3h3c KdTh4c3d2c Ac7c5d5c3s 
Qh8d8c6h2d Jd8h8c7c5s QhQc7s4h3d Ad9c7s7c5c 
Kh8c7s5c3s KsQc8h3s3c Ad9h4s4d2h Tc9d8s6s4s 
9h6c5h4h3c KsJh8h6c4d QdTd9s7h2c QdJh5c4s3h 
AsJd9c5c4c Jh9d6s4h3d Kc8d6s5s3d 8h7s6c5h3h 
QdJc8s8d4h JhTd6h4d2h Qd9d7d6s6h KcQc9s6d2h 
JhTc9s5c2d KsJc8h7h4d QdTd7c3h3c KdJh6c5s5h 
9h8h8c4s3c AdTd9c4d2h Jc8d7d6s2c Kc9c7s5h5d 
AcTc9h4c2s KsTd9c4s4h AdKh9s5h3h AsJs8s4c2d 
9s7c6c4s3c 8s7h5s4s3h Td8s8c4c2s Qs9h9d7c5d 
AhQhTh8h2h JhJc9s8d4s 7d7c6d5h4d KhTd7d7c4s 
QhJdJc6h2s QsJd4s3d2d QhJd7s5s2d KhTh6h6d2d 
9d7s6c5c3c ThTd7d4s2h Jh8c7s7c3h QhJs5s4d3c 
AdJs9d3d3c KhKc9h3d2h AhKcJd6s3s 7h7c6c5h2c 
QcTd9d7s4d Qs8s6d4c3c KcJh8s7s4d KcQcTh4c3c 
KcJc8c6h4s AcKc9c5s5c Qh9c8s5c2s KsKc9c3d2c 
Ts9h7s7d4c KsTc8d5h2s 9c8h7h5c2h QsTc6s3h2c 
KcTc8s8d5c Jc8h7c6h3c AsJhJc4c2d Td9s7s6s2d 
Qd9h7s6s5s QhJc5s4d3c As8s6h5s4s AcQd4c3h2s 
Kc9h6d5c4c AhQh8c3h2c KsJs9s8d4h Qh9c7s6h2s 
9s8s8c5s5h QhJhTh8d2h 9s9d7h6c3d 7h6h5d4s3h 
AhJd5s5h3h Ac9h6s6d3c KcJc7s7c4h Qc9d8c6s6c 
AsJd8h5c3d JdThTd8d2d Ts9h9c3c2s QdJd9s7h3c 
KdTh9s7c3s Kh9s7h7c2s 9d8h7h5d2d JdJcTc3h2c 
KsQcJh7s3s AsQd6c4s3s QsTc9h9c3c AcKh9h6h3d 
KsQh6d5h3h JdJc9h8c3c Qc8c5d4h3h KdTc7s5d3d 
Ks8c5s5d2c Ts9c7h6s3s JdTdTc8d2d QdTc6d5d4d 
Qs9d5s4c2d Kc8h7d6h5h JhJc9d6c3c Kd9c8c6c5h 
9d8d7s7h3s QdTd7h3s3h AcQs8d8c3c AdKs9h8c4h 
Ac8h6h5d3d Kc9c8h6s3d KsThTc8d4d Kh7d6s4h3c 
QdJd9c7h3s AhQc4s4h3h KcTs9h4c3c KcQhJh6d2s 
JhJc7c4s4c 9d8s8h7c5d Th6h5c4h4c AhKh9s4d3h 
KhJs9c5d3s 8s7s7c6d2c Jc9h7h4h3c AhTh9c4h2s 
Ac8h7c6c4c 8h8d7s6s4s Qd9s9c5s2c AhTs6s4d3d 
QcTs6s6h2h Js9d7h3s3d AdTd9d7d2s 8d7c6h5d3d 
7d6d5s4h3d Kd8d5h5c3h 8h7d7c6c4s KhKd8s3s3c 
KhJs4s4d3d AhTd9d7d4d Kc9c7h5s5d QdJc9h3c2h 
Js9h9c5s3d QdTc8d7s3h QcTd9s7s3h AsQcJc3h2c 
8d7h5c4h2d AcKh5d4h2h Kh9h9c5s3d Kd8h7d5h2d 
Js8c7d7c3s Kd8s8d7s3d Kd6s4h3s3d KcJd6d5s5h 
Ah7h6s3d3c Qs8c7s6s6h AhJd9s7s3c TsTh6h5c2c 
9s9c8h6h4d 6h6d4s4h2d KhQh5c3s3d Th8d6s6c5c 
QdQc8s3d2s 5s5h4d3h3d 8h7d7c6s4s AdJsJh4s2c 
6h6c5s4h4d JsTc8h7h2d Qs8c6s5s4d Th6h5h5c4c 
Qd8d5c4s2c Tc8c6d4s2d JcTd6d5h3s Kh9d7h6c4h 
Qd7c6d5s4d AsQc9c8h3c JcTd7d5h5d Kc9h5h5c2s 
Tc8c7s5c4d Td8d7s5h2h AhTh6h6c3s Ts9s9c8d4h 
