Kd8s3s3d3c 
9d5c4s4d4c Ac7s7h7d3s TsThTd6h2s Qd7d3h3d3c 
8c7s7d7c3c Ah7s3s3d3c Td6c4s4h4c Js4s2s2d2c 
Qh6d4s4d4c 9d6s6d6c3h Th9s9d9c3h 9s9h9c4d3d 
5d4d3h3d3c 8s8h8d3h2s Ad9s9d9c3d 6c4c3s3h3c 
Ks7s7d7c2c Qd5d3s3h3c 6h3s3d3c2h 6s2s2h2d2c 
7c4d3s3d3c 8d7d5h5d5c Kh7s7h7d6h TsThTd9c4c 
Kc7s7d7c3c Kc7d4s4h4c 8s5c3h3d3c KsKhKdKc5h 
Qh9h9d9c6h 8s8h8c7d2h Th7s7h7c2d Ts8h8d8c4c 
Qd4c3h3d3c 8s8h8c3d2h Kd9d5s5h5d 8s8h8c4h2c 
8h4h4d4c3h 9s6h5h5d5c As7s7h7c3s Js4s4h4c2s 
QsQhQdQc4h Ts5s3h3d3c QsQhQc5s3s Kc5s3h3d3c 
5d4s4h4d3d TsThTd8h4c 8h8d8c7c3h Qs6s6h6c3c 
Th4h4d4c3h 7s3h3d3c2h Jd7h4h4d4c AcJs5s5h5d 
8h8d8c7d2d 7c6s6h6c2d 7c3s3d3c2s Td7s7h7d2d 
KhJh2s2h2c Qs7s7h7c3h QdJd4s4d4c Tc9c2h2d2c 
Ac9h2s2d2c Td4s4d4c2c Qh5h2s2h2c Jd5s5h5d5c 
Kc3d2s2d2c 3h3d3c2s2d Ac8h4s4h4d KhTs2h2d2c 
9d5h5d5c2s Td3s3h3c2c 9s6h6d6c4s 5s5h5c3d2c 
Ts6h3s3h3c Qc9h9d9c3c Ac4s4h4d4c Jh8s8d8c4c 
8s7s3h3d3c 8h8d8c6s3c Td7h7d7c3h Qc5s3s3h3c 
8d5d3s3h3c Kc7c4s4h4d 5h5d5c3h2c Qs8c2s2h2c 
Ts8s8h8d2h Jc6s4s4h4c TsThTd8s4s 9c5c4h4d4c 
9s5c2s2h2c 9c4h2s2d2c Ah6c2s2h2c 7s7h7d3c2d 
7d5h5d5c2d 9s9h9d7d2c Jd7s7d7c2h Kc8s8h8d2d 
9h7d4s4h4c Ts6d3s3d3c Js7s2s2h2d Td7h3h3d3c 
Th6s6h6d5c Qh8s4s4h4c Kc8h8d8c2h Qd8s8d8c7d 
JsJdJc4h2h Qd6s6h6d6c Jh5d2s2h2c ThTdTc5h2c 
8c7h5s5d5c Kc7s7h7c2c 8h5h4s4h4d Jc6h6d6c3h 
Jh8h7s7h7d 9c6s6h6c2s 9s9d9c8h3s 6s5s5h5c2s 
QsQhQc9d2h Qs8s8d8c6s Tc6c3s3h3d Ah8h4s4h4c 
Th9d4s4d4c Qh9h8h8d8c 8c7s7h7c2c KhTc2s2h2d 
Jc8h8d8c2s As3h3d3c2s 7c6s6d6c2d Td5s5h5d3s 
8h8d8c3d2h 6s6h6d6c2h Jh5s2s2h2c As6h6d6c4d 
JhJdJc5d3s 9s9h9d3h3c 6h5h2s2h2c Ts9c2s2h2d 
TsThTc6d3d Kh7h7d7c5h Qs5d4h4d4c 9c8s8h8d2s 
Jc7d4s4d4c 7h7c2h2d2c Kh9c7s7d7c Kd9s3s3d3c 
8d3h3d3c2d Jh9h4h4d4c Qc8s8h8d8c Js6h6d6c4c 
Js7h7d7c3c 9h7s7h7d5h Tc5s5h5d4c Qs5c3s3h3c 
Kd6s6h6c5c 6h4s2h2d2c 7d4s4h4c3d Th7h2s2h2c 
4c3d2s2h2d Th7s7h7c5h Ac8h3s3h3d 8d3s3h3c2d 
Td4c2h2d2c TsTdTc7d2c Jc5d3s3h3d Kc9s9h9d3c 
TsThTc6h2c Kc6c2s2h2c Js5s5h5d5c KdTd2s2h2d 
6h4s4h4c2s Qc4d3h3d3c 9c8s5s5h5c Td8s8d8c6d 
Jc5c3h3d3c TsTdTc5h4c 6h5s5d5c3d JsJdJc6d5h 
Qh9h5s5h5c Ac9s3h3d3c KhJc6s6h6d AcJs6s6h6d 
QcTsThTc2c TsThTdTc9s Qs9h2s2d2c JsJdJc9h5h 
Kd9d4s4d4c ThTdTc8d2s TsThTc7c5d Jh9s7h7d7c 
Qd6d5s5h5d JsJhJc6c3c 9s6c4s4h4c Kc7c4s4d4c 
9d7s2h2d2c Ac7s7h7d4h 9d4s4h4d4c JsJdJc8h3c 
8h5s5d5c2h Jh9s9d9c4c 6s6d6c3d2d JhJdJc5d4s 
9c6s6h6d5h Ks9s9h9c5s 9s9h9c8d5c Kh9h5s5d5c 
AcQc2h2d2c AdJs7s7h7c QsQhQc8s3d TsThTc6d2h 
KdJd5s5h5d Jd9s2s2h2d Qh3d2s2h2c Jc8s8d8c3d 
6s6h6d3h2d JcTd7s7h7d Tc7s7d7c2d Ks7s7h7d2s 
9s9h9c3s3d 5c4s3s3h3d JhJdJc7c4s 7s7h7c2h2c 
TsThTc9d2h Ts7s4s4d4c Kh4h4d4c2s 7s5d3s3h3c 
Qh6s3h3d3c KsQd3s3h3c 7s7d7c3d2d 6d4s4h4d4c 
Js8s5s5h5d 9h5s5h5d4s 8s6s6h6d2c 8s3c2s2h2d 
Ad6h2s2h2d Js3s3h3d3c TsTdTc4d2s TsTdTc8d4h 
9c5h5d5c4s 9h9d9c7d2d 7h3d2s2h2c JsJdJc8d3d 
5c3s3h3d2s Js6s6d6c2c Ad7s7h7c5c Ah4h4d4c2s 
8c7s7h7c3c 8s3h2h2d2c Ac6c4s4h4c 7s5s5d5c2c 
9d8c5s5h5d Jd5s5d5c4h KdJh6s6h6c 9s9h9c4h2s 
Ts7h7d7c4h QsQhQc7h5h Js3s3h3d2s Kd9c3s3h3d 
Qd8s8h8c5d Ad9s9d9c4d Jh6s6d6c4s 7h5h4h4d4c 
6h6d6c3s2c 5s5c2h2d2c Th8c2s2h2d 7d5s5h5c3d 
Qh8s8h8c2c Kc6c4h4d4c Jc8s8h8d6c Kd8s8h8c4d 
Ks5h4h4d4c Jd8s8h8c2h Qc9c5s5h5d KcTs5s5h5d 
Ad4c2s2h2c 8d6s6d6c2c Jc5h5d5c3s Qh9d3s3h3c 
5d3s3h3d3c Qc7d2s2d2c TsThTc7h3d 9d8c5s5h5c 
Jd8s8h8d2h 7c6s2s2d2c Td5s5d5c2c 9s4d3h3d3c 
6s5s5h5d3s 7h5d2h2d2c 8d5d4s4h4d 9c6h2s2h2d 
Ks9h6s6d6c 8c7c3h3d3c Qs8h8d8c4s 6c4s4h4d3h 
Kd7s7h7d5d Qs9h2s2h2d Kd4s4h4c3c JhJdJc5c3s 
Qh9s9d9c4h TsTdTc5h2h KsKhKc3d2d Js5s5d5c3h 
JsJhJd8c6c 9c5h2s2d2c Ks9h2h2d2c QsQhQc8d3s 
Qc8d4s4d4c Qd7s7h7c6d 9h7s7h7d4c 6s6h6d2s2c 
Qc4h4d4c2h 5s3c2s2h2d Td3s3h3c2d 7d5c2s2h2c 
9h8h3h3d3c 4s4d4c3s2h 8s8h8d4h3s As8s3h3d3c 
JhTh4s4d4c AsTs2s2h2d 8s3s3h3d2c Jh7s4h4d4c 
7s7h7d7c2s Qd6d4s4d4c Kh6h5h5d5c Jc9s5s5d5c 
Tc7h7d7c5c Kh9h2s2h2c 9d8d4s4h4c 8d6d5s5h5c 
Ts6h6d6c2h As8h8d8c3d Ah9c4s4d4c Qh5d3h3d3c 
Qc8s8d8c2s Ks5d4h4d4c 9c7c3h3d3c Kc5c2s2h2d 
QhTsTdTc5c Th7s7d7c2s Jh8s8d8c5d 8s6s3s3h3d 
8c5s5h5c4c KcQc3s3h3d 7s6s3s3d3c Ah9c2s2d2c 
7h7d7c3s2c 9d4s4h4d2d Ah9c4s4h4d 9s8s6s6h6c 
QdJs6s6h6c Qc8c7h7d7c Qh6s6d6c4c JhJdJc8h4s 
Kd5d4h4d4c 8s6s6h6d5s Ac4h4d4c2s 9d7d3h3d3c 
Qc8h4s4h4d Ks6s6d6c2d 8h8d3s3h3c 9s9d9c5c2d 
8s8d8c5h3h Ks9s9h9c3h Qc7h4h4d4c Kd6s6h6c5h 
Ts6d4h4d4c Tc6h4s4h4c Th5c2s2h2d 6d3s3h3d2d 
6s5s5d5c4h 5d3s3d3c2c 6s6h6d3h2h 8h8d8c6s4c 
Jh4c3s3h3c 8h7h5s5h5c 8s8h8c7h4d Ac9s9h9d6s 
QsQhQdQc3c Jh4s4d4c2d Qc6s2s2d2c Jh7h4h4d4c 
5s5h5c4h3h 9d7d5s5h5c TsThTd8s2s Jc5h3h3d3c 
8s5h5d5c2c Ah9s9d9c6d 7c4s2s2h2c Qc5s5h5d2s 
As6s3s3h3c KhQs7h7d7c Jh8s5s5d5c QsJc3s3h3d 
TsTdTc4h2d 7h6s6d6c2d Qh9d2h2d2c Ac6s2h2d2c 
Jh8s8h8c6h Kc9c5s5h5d 8s4d2s2h2d JsJhJc3h2d 
Td8s2h2d2c JhJdJc3h2h 7h4s3s3d3c 6h5c2s2d2c 
Qd3s3h3d3c Th8h8d8c2h TsThTc3d2d Tc6s6d6c4h 
Jc5h5d5c3c Qc8s4s4h4c 9h8s8h8d5c 9s6h4s4h4d 
Js7s5s5h5d 8s8h8c6c3c TsThTd3c2d Ac7s7h7d2h 
Qh4h4d4c2d Jd8c4s4h4d Th7h3s3h3d Qs8h8d8c7s 
9s8s8h8c3d 5s5h5c4d3c 6s4s4d4c2s 9s9h9d8h3c 
Ts6c3s3h3c 8s5h5d5c3s 7s7h7d4h2h Kh7h3s3d3c 
Js5s5h5d2h Th6d2s2h2c Th5c2s2d2c Kc4s3s3h3d 
KcTd5s5h5d 9d7s7h7d2c 9h9d9c5h2s Th9s9d9c5d 
5s4s2s2h2c Ks9d2s2d2c Ad4h2s2h2c TsThTc7h2s 
Jh4c2h2d2c QsQdQc8d2h 9d7s7h7c5s JdTd6s6h6c 
Th9s5h5d5c 9d5s5h5c3h 7h7d7c5s2d Kh9h9d9c2s 
6c5h3s3d3c KhQs8s8d8c Td5h4s4d4c QsTh2h2d2c 
QsJd6h6d6c 6c3c2s2h2d 9s4c2s2h2d Ts3s3d3c2d 
Th7s4s4h4d QcTh2s2h2c Jh3h2s2h2c Qs6s4s4h4d 
9s9h9d5d3c Js8d3s3h3c 6c5d4s4h4c AcTsThTd2d 
Qh7s4h4d4c Ah7s7d7c2h 5s5h5d4c2s JcTs5s5h5d 
9s9h9d9c7s 7h7d7c3h2h 7d3c2h2d2c AhTh4h4d4c 
7d6s6d6c2h 9h7s7d7c4s Ah8s8h8c3h QhTd4s4h4c 
7s7d7c5h3d Kd9h3s3d3c Th5s5h5d2h Ts6s6h6d5c 
Jc5s2s2d2c 8s4h3s3d3c 7s3s3h3d2h ThTdTc5s3d 
9s7h7d7c4d Tc4h2h2d2c 4c3h3d3c2c Qd9d7s7d7c 
Ah6c5s5d5c Jd7s2s2d2c Ks8d2s2h2d 9s7s7h7c4s 
Kh8h8d8c2h Qc5s5h5d5c 8s8h8c6c2d AdJh7s7h7c 
JsJhJd6s2s Qs8h5h5d5c 9d8s8d8c4d 9s9h9d5h2c 
JsJhJd6s2d QsQhQd8d2d JsJdJc4s2s Ts6c2s2d2c 
Qd9s9d9c2c Qs7s6s6d6c KcTc5h5d5c 6h6d6c4s2s 
TsThTd9s3s Qc9d6s6h6d Jc9d5s5d5c Qs8s8h8c2c 
Ks7d2s2h2c Jd8s8d8c5h Qh9s9h9d5h 7s7h7c6h3d 
Qc6h6d6c3s Qc5h5d5c2d 8s7s7d7c3h Jh9c2h2d2c 
JsJdJc7s3h Jh6h6d6c5s 9d7c4s4d4c Kd9s9h9c6c 
Kd9s9h9c2s Kd8h6s6d6c Qc6s6d6c2h Qh6c2s2h2d 
Qc9h9d9c2d 6s6h6d6c5c Jc8s4s4h4d 9s9h9d4s2h 
Kc6s6d6c4h Qd3h2s2d2c Js3h2s2h2d As6c2s2h2c 
Qc9d5s5d5c Kd9h4s4h4d 5c3s2h2d2c 6c5d4s4h4d 
Js7s7d7c3h Jd6s6h6c2h Jc4h4d4c3s AdTsThTc2s 
Ac5c3s3d3c Ac7d4s4h4d Jh4d2s2h2d QsTh4h4d4c 
Jh3d2s2h2d Tc6d3h3d3c 8h4s2s2d2c 7s7h7c6c3c 
Kh6s6h6c5h Qc7s7h7d6d Kd5h5d5c2s Kc5s5d5c3c 
ThTdTc3s3d Jh9s9d9c4d Jd6s4h4d4c AsTs3h3d3c 
8d7s7h7d2s KcJc4h4d4c Jd7h7d7c4d 8h7s7h7c5d 
Jc9s4s4d4c JhJdJc6c4c 9d7s7h7c5c Ks3d2s2d2c 
Th7h6h6d6c Qs8s7s7d7c Ah8h8d8c2h 8h6s6d6c2h 
TsThTc5s4d 9s8d5h5d5c As9h4s4d4c Jc9c3s3d3c 
Jd9c2s2h2c Qh6d3s3d3c Qs6s3h3d3c Jh9s9h9c6d 
6s6h6d5d3c QsQdQc7h2d QsQhQc8c3c Ts5s5d5c3h 
Ts4d2h2d2c 8s3s3h3d2s 8c7c4h4d4c Js9d6h6d6c 
9c6h2h2d2c 9c6c3s3h3c 9s9h9c7d3d 9h5h3s3h3d 
8c6s6h6c4c Kd6h2s2h2c 6c4s4h4d3c Jh9c5s5h5c 
Tc8s8d8c2s 6d4s4h4c3h 7s6h6d6c3c Qs6s6h6d6c 
Ks7s2h2d2c Jh5d3s3h3d Kc7c2s2h2d TsThTd5s2c 
Qh5c3s3h3c 7s5d4s4h4c Ts9c5s5h5d Kh8s4s4h4c 
Tc7s7h7c4c Ks8d3s3h3d 5s5h5d3s2h Qd4d3h3d3c 
KcJd3s3h3c 9d6s6h6d4c 8s5c4s4h4d Kh4h4d4c2h 
Qc5s2s2h2c Kd8s8h8c6h KhQc8s8d8c AdTh4s4h4c 
7s7h7d6c2s 9s7s3s3h3c QsQhQd7d3c Kh6s6h6c2s 
Ts5d2s2d2c Kh5s5h5d5c Ah3d2s2h2c Qd9s6h6d6c 
8c5h2h2d2c 9s9h9c8d5d 9s9h9d6h2h Ad6c3s3h3c 
9h9d9c4s4d Kc4s4d4c2h JsJhJc4c2c 8h5h5d5c3c 
KcTs5h5d5c 8d7s2s2h2c TsThTc7s2d Qh9d4s4d4c 
9s9d9c6h2s JhTd7s7d7c Tc8h6s6d6c KhJh6s6h6d 
8s8h8d7c2s 8s7d4s4d4c 9h6s6h6c2h Qc8s2s2d2c 
8h8d8c3s3d 8s8d8c7d2c 5d3s2s2h2d Qh5s5h5c2h 
Qd8c5s5d5c JhJdJc6d2c 5h4d3s3d3c Td9s4s4h4c 
6h6d6c3c2d 9s7s7h7d3c 9s9d9c2s2h Jc6s6h6d2h 
Js9s9d9c2s QsQhQdQc5h Kc7d2s2h2c Qs7s7h7d4s 
9d6s2s2h2c Ts8s8h8d3d 8s8h8d8c6d Kh9s6s6d6c 
Ad9s9h9c3c Th8s8h8d4h Qc6c2s2d2c 9h7c4s4d4c 
Jc7h2s2d2c Jh8s8h8c2c Th5d2s2d2c Qs6s5h5d5c 
TsThTd7c5s Jc7s7d7c3c Qs9s9h9d2h 8s8d8c3s3c 
9s8c4s4d4c 9h9d9c8s5s 6c4s4d4c2d Qd8h8d8c4s 
8s8h8d3c2h Td4s4d4c3s Ks9d5s5h5d Ts9h2h2d2c 
JhJdJc5c3c 9c7s2h2d2c 8d5h4s4h4c 9d3s3d3c2h 
Kd9c2h2d2c Ks9d3s3h3d Ts8c6h6d6c TsThTc5h3d 
QsQdQc3h2s 7d5h3h3d3c Qc9h3s3h3d 9h6h2h2d2c 
Th3s2s2h2c Tc3h3d3c2d Jc7s3s3h3d QsQdQc9c2c 
Qs6s6h6d3d Js8h4h4d4c 8d4h2s2h2d Qd5h5d5c2d 
6c5s5d5c4h Jd8c5s5h5d KhTd6s6d6c Js7h3s3h3c 
Jc5s3s3h3c Jh7s7d7c2s 6s6h6d3c2h 9c8c2s2d2c 
Td4s2s2d2c 8s8d8c4c3h 8s6h6d6c5d Qs8h8d8c6c 
Ts8s4s4h4d QsTs6s6h6d Js8s8h8c3d Kc5h5d5c4c 
7s3s3h3c2d TsTdTc7s4h Qc8s8h8d7h 6d5h2s2d2c 
QsQhQdQc8c TsThTd4s4c 8d6c2h2d2c 9h8d3s3d3c 
7s6c3s3d3c 9h9d9c8s2c Kh9s9h9d4c JhJdJc4s2s 
Th9s9h9d2c 9c6s6h6d4s 9s9d9c2h2d 7s3s3h3d2d 
Th5s5d5c4c Ad6s6d6c2h 6d3s3d3c2s 7c5s2h2d2c 
KcTc5s5h5d Td7s6h6d6c Jh6s2s2d2c Jd9s9h9d5d 
Jc6d3s3h3d 8h7s7d7c2h Tc8d5s5h5c QsQhQc3h2h 
Tc8d2s2h2c QhQdQc5h2s As6c3h3d3c Kd8s7s7h7c 
9d8s4s4h4d 7d6c2s2h2d Jd9d2h2d2c 9s9d9c5s3h 
Ts5s5d5c2h Kd8d4h4d4c Qc6d3h3d3c Qc9c4s4h4c 
KsKhKdKcTc 7s4h2s2h2d JsTd5h5d5c Qc8h3s3h3c 
Ts5h4s4h4c Ks9h4s4d4c JhJdJc7d5d Kh9h9d9c3c 
6c5d3s3h3c QsQhQd5s2s 8s8h8c7c3s Qc9d3h3d3c 
Ad6h2h2d2c Kd4s2s2h2d Jc4h4d4c3h Th4d3h3d3c 
Qd6c3h3d3c Ks9d6h6d6c Qd4h4d4c2d Kd4h2s2h2c 
Ts6h3s3h3d Td4h3s3h3d Qc4s4d4c2h Th9s9h9c5h 
Qd8s8h8d8c 9h5s5h5c3c 9h4h4d4c3s 9h8h3s3h3c 
Js9s6s6h6d Ah6h3s3h3c Tc7h7d7c6c Kd8s8h8d3d 
JsJhJc6c5d 8s8d8c6d4d 8s8h8c7c4d 9c8s8h8d5s 
Js6d4s4h4c 9s6c3s3h3c Tc8h4s4h4c Th9s9h9d4c 
8c5s2h2d2c Kc8h8d8c3d Ts7h7d7c4s Ks9s3s3d3c 
Ks6d2s2h2c 6h6d6c4c2s TsThTc7d5h QhTd2s2h2d 
Ts3h3d3c2h Ts9d3s3h3d Qh6h3s3d3c Jc9s2s2h2d 
8h7s7d7c4c Js8s7s7h7c 8s7s7h7c3s 9d4s2s2h2c 
JsJhJd6h3c 5d3s3h3c2d Ad9s2s2h2c Jd7s7h7d6d 
7s7d7c5h3h JsJdJc5d3d 9s9d9c4d3h JhTh3s3d3c 
Kh3c2s2d2c Kd6c3s3d3c Ks5c3h3d3c Js7c4s4d4c 
Kc9s9h9d5d Td6s6d6c4h 8s8d8c6c2c Ks7s7h7c2d 
JsTs5s5d5c Ks7s5s5h5c Ts8h8d8c2s Jd9d3s3d3c 
8c7d3s3d3c TsTdTc4c2h Qs8d5s5h5c Qh6c5s5h5d 
Tc8d3h3d3c Td5d2s2d2c 8s8h8c7c3h 7s3h3d3c2d 
8h6s6d6c4d Qc8h2h2d2c 7s7h7d7c5d Td6c5s5h5d 
8s8d8c5h3s Ah4s4d4c3d Jd6s6d6c2s 4d3s3h3d2d 
Qc3s2s2d2c 8s5s5d5c3c 8s7s6s6h6c Th7h7d7c2c 
8s7c6s6h6d Kd8h5s5h5c Jd9s9h9c5c TsTdTc5d4h 
6h4h4d4c2d 9s4s2h2d2c 7d4s3s3d3c Ks4h3h3d3c 
QsQdQc7c4c Qd8h8d8c6d Th3d2s2h2c Jd6c2s2h2c 
Qd8h5h5d5c 9s9h9c7s3d Jc5s5d5c2c JsJdJc5s3s 
Js7s7h7d3h Jc9c7s7d7c 9h5c3s3h3d Ah4s4h4d2c 
7d5c2s2h2d QhQdQc8d2s Qc4s4d4c3h QsQhQc4d2h 
Tc7s7h7c2s AdJd2s2h2d Js5h4h4d4c AdTd6h6d6c 
Jh7h6s6d6c Js4c3s3h3c Tc4s3s3d3c 4d3s2s2d2c 
ThTdTc7c5c Qc5h4s4h4d Ts6s6h6d2s 7s6c4h4d4c 
QhQdQc9h3h 7h4s4h4c3c Jh7h7d7c5s KdTd4s4d4c 
Jh8s2s2d2c Qc9d3s3h3c 9h5h2h2d2c Ks6s6h6c3d 
9d6h2h2d2c Ac8c6s6d6c Qc5s5h5c2c 4h3h3d3c2c 
Kh6c2h2d2c Jd9s9h9c4d Jc9s9h9d3d TsThTd5c3h 
Ks4s3s3d3c Ts6s6h6c2c 8s6s6h6d3c TsTdTc8d5h 
QsQhQd8s2s Qc7s7d7c5h QsQhQd6d2c Jd8s8h8d3d 
Jc9c7s7h7c 9s9h9d2h2c Js9s9d9c5h Ts7s4s4h4d 
Kh5h4s4h4d JsJhJd5c2h Kc7s7h7d5s 8h8d8c6c3s 
JdTh5s5h5c Tc8s5h5d5c 9s9h9c6d2h 6c5s5h5d5c 
Jc4s4h4c3d Ac9d3s3h3c Jd5s2s2d2c Qh6s6h6c3c 
9h9d9c4c2c Js8s8d8c4s 9s9h9d7s2c 8s8d8c7s2c 
8d5d2s2h2d Tc7s5h5d5c Kd7s7h7d4d 8s6s6d6c3h 
9d7h4s4h4c QsJs5s5d5c Ah9h5s5h5d Qc5s5d5c4h 
Qs9d3s3h3c 9s8s3s3h3d Jc3s2h2d2c 8h7s7d7c5h 
Ad6d3s3h3c 9c3h3d3c2c TsTd2h2d2c Ah9h9d9c4s 
7d6s5s5h5c Jc9h5s5h5d Ts3d2s2h2c Qh9c2s2h2c 
9h5h4s4d4c 8h4c3s3d3c 7c6h3h3d3c Js5h2s2h2c 
9s9h9d3c2s 9s7s7d7c5s Th8h6h6d6c Ac5h5d5c2c 
Tc7c3h3d3c Tc4h3h3d3c 8c6s6d6c2h Ad8d4s4h4c 
Th3h2s2h2c Js8s8h8d5s 9d5c2h2d2c 7c4s4h4d2c 
Qs8h8d8c5s 9s9h9c8s2d 8h8d8c5s3c Td8s8h8c4s 
8d7h7d7c4d Ks7s7d7c3h JsTsThTdTc Qs5c3s3h3d 
Js7h5s5d5c TsThTd6c4d Th4s4h4c3d 8h5s5h5d4h 
9c4s4h4d2d Ks4h4d4c2d Ts6d5s5h5c Qd7s7d7c6h 
7d4h4d4c2d Qh6s6h6d2c Jc8c6s6d6c 6s6d6c4d3d 
8s8h8c6d2s 9d8h2h2d2c JsJhJd4c2d KdTsThTc2c 
Jc6h6d6c5s Jd7s7h7c5d Td9s4h4d4c 8s8d8c6s3s 
Js4d2s2d2c 7s5c3s3h3c Jc6s6h6c3d Qc7d6s6h6c 
JhJdJc7c2h Td9d5s5h5c JsJdJc5h3d 6h4c3s3d3c 
Ts8c6s6h6d 5c3s3h3d2h Kc6c2h2d2c 9h9d9c5d4s 
9s6s6d6c2h 3s3h3d2d2c Td7h2h2d2c QhTc4s4d4c 
Kd9h2s2h2c 9s9h9d5c3c Jc6s5h5d5c Js9d5s5h5d 
Jd4s2s2d2c KsJs3s3h3d JsJhJd5c4h QdTsThTc4d 
Qs9s9h9d4c Qc5s5d5c4c 7h7d7c6d2s 6d3h3d3c2d 
9s9h9c8d3d Jh5h2s2h2c 5c4s4h4c2s QcJh5s5d5c 
8s8d8c3c2c 9c8h2s2h2d ThTdTc5c2c 6h6d6c4d2s 
Kh8s8h8d3h 9d5h3s3d3c 9s9h9d9c5c Qc7h3s3d3c 
KdQc5s5h5c Qd5s5h5c2h Qh9c3s3d3c 7c3h2h2d2c 
Js7d3s3d3c Qd4s2s2h2c 9d7d4s4h4c Ks7h3s3h3c 
Ts8h6h6d6c KhTsThTdTc AcTsThTd4s TsThTc9d5d 
Kc9c2s2h2d Qd8s4s4h4d Kh5c2s2d2c 9s9h9c6c2c 
Kc8c4s4d4c 6s6d6c5d3d 9s9h9d9c6h Jh6h2h2d2c 
KcTh3s3h3d QsQhQc9s3s Ac5s2h2d2c 5s5h5c4d2d 
Jh8h4s4h4d AsTc4h4d4c Th9s5s5h5d 8d5h5d5c2s 
4d3d2s2h2d Kc6d3s3h3c 6s6d6c5s2h Qc8d5s5d5c 
9h5h5d5c3h 9c6c4s4d4c Qc6s6d6c2s 9h4s2h2d2c 
Qd8h3s3h3c Qd8h5s5h5d 5h3d2s2h2d 6d4h3h3d3c 
6s4c3s3d3c 7c5s5d5c2h 8h6s6h6c2c JsJhJd9s2c 
Jd5s2s2h2c Ks5c2s2h2d Qh3s3h3d2h 9h9d9c6d4d 
TsThTd6s3s 6h5c4s4d4c Ks9s9h9c2s Qd4c3s3d3c 
Qh7h7d7c4d Qs7h7d7c4h Ts7s5s5h5c Qd9h5s5h5d 
QhQdQc3h2h Qc6s4s4h4c 8s5s4s4d4c 6h4h4d4c2s 
8d3h2s2d2c 9c7s7h7d7c 9h8h5h5d5c Jc8c2h2d2c 
Jc7h7d7c3s 7d5c3h3d3c Kh9h9d9c6h Js5h5d5c4d 
Qd3h3d3c2d Jd9s2s2h2c Jc9c4s4h4c Qd4s4d4c3s 
Td7d6s6h6d Jc9c7s7h7d 7s6s2s2h2c JhJdJc8s3h 
Ts5h4h4d4c 7h5c2s2h2c JhTd6s6d6c Kd6s6d6c3h 
TsThTd6d4d 8h8d8c4s2d ThTdTc7s2s Td4h4d4c3c 
KdTsTdTc4d 8s8c2s2h2d 8s8h8d5d3d Qd6s6h6c3c 
9c7h7d7c2h 8s7s7d7c2h JcTc5s5h5d Qd8s8h8c6c 
Th7h7d7c3h Jd8s8d8c2c Qc3c2s2h2d Ad7d2s2d2c 
9s9h9c3d2c 8s3c2s2h2c TsThTc7d4d 6c2s2h2d2c 
QhQdQc5d3d Qc9c4s4h4d 5s5h5d5c3h Jd9c5s5h5d 
9h9d9c4s3c 9c7d2s2d2c QcThTdTc3c AsQs2s2h2c 
6h6d6c4c3s QcTsThTd2s Ks6h2s2h2c 7h6h4h4d4c 
Js5s5h5c2h Ks7s2s2d2c 9s9h9d3d2h TsTc3s3h3d 
Jd5s3s3h3d 9s9d9c6h3d Qh9h9d9c4d Qd6s6h6d3d 
Kd9s9h9d3h 8s8h8d4h2h Kh5s5d5c3s 9s5s5h5d2c 
Qs4s4d4c2h Kd4s2h2d2c Qs8s8d8c2d Qd6s6d6c3h 
QsQhQc8c2c TsThTd4c2s 8h5s3h3d3c TsThTc8h4d 
Td8s7s7h7c KdQd4s4d4c 9d7s7h7c3h Ah9h9d9c3h 
QsTsTdTc4s Jd5s3s3d3c 8s8h8c5d4c Ts7s7h7d5s 
QcTc3s3h3c 9h8s8h8d3s 9h6s3s3d3c 7d6s6d6c2c 
8s3s3h3c2h Js9s2h2d2c KhQh3s3h3c 7s3s2s2h2d 
5s3s3h3d2d Jh6s6h6c4h Jd7s7h7d7c AcTsThTd2s 
6s6d6c5c2h Jd8d6s6h6d Ts8c2s2h2c Kd8s8h8c4s 
5d3s3h3c2c 9s5s2s2h2d Qh7s7d7c6d 9c5s5h5c3h 
Ts8s8h8c3c QsTd5s5h5c 9d5s5h5c4s As9d4s4h4c 
9h8s8h8d4s 9s9h9c7s2c Tc7c5s5h5c 7c4s3h3d3c 
Jd6s6h6d3c 7s6h6d6c5s 9s3s3h3d2h 6d5s2s2d2c 
Ts9s9d9c4h Ac9s9h9c3c 7c5s5h5d4s Jh6s6h6c3d 
5s5d5c4d2h 9h8h8d8c6h 7s7h3s3d3c Ts4s4h4d2d 
8s6d2s2h2d 9s8s2s2h2c 9s9h9d8c3d TsThTc4h3d 
Qd8s2s2d2c 9s9h9d6c4d 9c7h2s2h2d 9s9h9d8c3h 
Ah9s9h9c2h 9s9h9c8c4c 9h6s5h5d5c JhJdJc3h2s 
KsKdKc7h2h KhQh5s5h5c Qd9h2h2d2c 8d3h3d3c2s 
8s6s6d6c5s Ks8c4s4h4d QhJh8s8h8c 8c4s4d4c3s 
9d8s8d8c3c TsThTd9h4h ThTdTc5h2h Ac7h3s3h3d 
Qd4d3s3h3d TsTdTc5h5c Qd8s4s4d4c QsJs4s4h4d 
Ad7s7h7c3s 6c5c2s2d2c Td9s9h9c4h Jc5c4s4h4d 
