8h7s6h6d5s 
JdTh6h6c4c Ts9d8d6s3c As8s5c3d3c Ah7d4s3h3d 
QdTd8h6c2h Ah9s8s4d2h QdJs8h5h5d 9h9d7d6c5s 
Td9c7c5s4s 8c7h7c5s4s JcTs9h4c2s Qc9d6s5s4c 
AcQdTs9h2s AcQhTd3d2h 9s7h6c5s3c AhJdTh6c2s 
KcQd9d5d5c KsQh9h8d6c AsKs8h6s4c KdTc5c4c3d 
8s8c6d6c2s JhThTd7s5h JsJh9h5d5c KdJcThTd5d 
KdKc9s8d4d AcJs4h3s2c As7c6s4s4c AsJs7h6c2c 
JcTh6s5s3h KdJd9s7s2c 8h7h7c5d4d Ad7c5d4c3d 
KhJsJh8s3h Td7s7d5s5d QhQcTh6h4h AdKd6h5s3d 
KdJc9c5d2c QsTs8s7h7d QsQh9d3h2s JhTs7c4h3s 
KhTc8h7c2c QsQc9h3s2c KdQsJcTc4c AsTc7s6s6d 
JdTs6c4s3d KhTc8s5s3h KsQh8c7s3h KsKcQs9s2h 
AhTc8s7d5s KsJc7s7d6h KdTd8s6s2c AsJh8c7d5d 
QcTc8s5s5d KcTsTc9d2h JsJhTc7c5c Ts9h7s7c5h 
Qd5s5c4s4d Jc9d6h5d3c AdQcJh9h4s AhKdQd8d4c 
QdJh9s7c6h QsTh9c7c2s QhQc6c5c4s Td9d7s5h4h 
JsTh8d6d3h KsJs9c7c2h Qs9h7c6h6c KdJsJh7d4c 
KdQh9d9c6s Jd9d8c7h6s KsTc8d4s4c Jc8s8c6s4h 
KcJhTc6c5c AsJc9h3h2s 9c7h6h5c4h KsTd8d4c3s 
7c6s6c4s4d KcJc7s6h4d Tc8d6d6c5h KdTd8c6s4h 
AhQd7d5s3s AsTd5h4s4c Kd9h8c5d4h AcQd9d6s5h 
JsTd9d3s3d Tc9d9c2h2d Qc9c7s7c6s JcTd9d4d4c 
QhTc9c5h5c KcTc6s5d2d QsQhTd7d4c KdTc8h4d4c 
9h8d7h7d5c JdTc9d7c2c AcQs5c3c2s KcTc9d8h5s 
JsTh6h5h3s ThTc9h6c2d KcQs9s8h7s Ks8s8d6d4d 
Qd9s7c5d4s 9c7s7c5s5c 8d7d7c5h4h Jh9h7d5d5c 
Td9h7h5s4s KsJhTh9d2c KsJc7h4s4h Ts9h6d5h3s 
KsKcJc8d3c KdJhTs6d4d KhKcJs5d2s AcQd9s9d3s 
9s9c7s6d5h Tc9d7d7c5d AcKh8s6c3d KsJdTd8d6c 
KcJs6s4s4c Ad9h6h4d3h KsKc9s8s2d KdJs8d6h5c 
QsJsJc6d2d KsTc8d5s2c AcJc8h8c7c AhJc7s6h2s 
JhJd8s7c6c Td9h7s5h5d QdJsJh8h6h KhQhJd7h5s 
JhJdTs6h5h QdTs8d6h2h JsJh8s8d5s Ah9d6c5s5h 
Qs5h5c4s4h AdKsTc9c4c Ah9d8h2d2c AsThTc7c6d 
Jd9d8c5h4c As9h6d5s5c KsQdJc7c6c QdTs9s2h2d 
Tc9c7d5s4s 9s8h6c5s4h KhJcTh9s3h JhJc4h4c3h 
AhKc9h5s5d Ks9h8d7h4s KdJd9h7h2c 8s8h7s6h4h 
Jh9s8h7c6d Kh8s7s5h3c QhQdJs7h4c KcJsTs9h4d 
KhJc6s6h3c KcTs8s4d3c KhQcTh3s2s TdTc9c8c3d 
JsJcTh2d2c Ks9h9c7h4s AdThTc7h6s AdKs8s8c3c 
KhJhTsTd5h Qs8d7h5d4s QdJdTh6d2h Kd9c8h8c6h 
AhJd9s3s2h Jd7d6h5s4h AcQd8s5d3s KsQc9d8d4s 
JcTs9c7h7c KcQs9s8d6h KsJd8h5s3h KcTc9d4s4d 
Js9c6d5c3s AdKc5h4c3s AcKdJc8s3c QcJdTd6c2d 
KhQhJs7h5d QdJdTs6d2s AcJsJd9c3c JsJc8s6d5h 
Jc9h8h5s4s AdKsJs5s3h 9s8h7s7h5d Ad8d5h3h3c 
KdTd8h8d5h Js8s8h7h4c AsQs8c7s3c KsQs9d8c6s 
AsQc8d5s2h KcQs6c5c2s Td8c6d6c5h KdTd7h6s4d 
AdTd7h4h2h AdKc9d5s5h Ac8h7d7c6c KsJc9s6d2c 
As9c6h3s3c Kd8d7d5c4c QsTh8d7h7c Js9d6c5s4d 
KsTc9d8c2d QdTc9d7s7h KcJdTc5s2h AhQh9h9c5d 
KcTc8h6s4d Kd9s9h7s4d KhKcQc6c3c JsJd8d8c5d 
AdTh8s8c2d KdQs7s7h3d JhJd9d4h2c AdKc9s7s6s 
QcTs9h9d7h Kd8h7d5h4d Qs9s7c6c4h AsQd9s9h2c 
AsKc8c7c4h 8h8d7h5h4d QsJh5c4h4c AsKc9s9d6s 
JdThTd5d4s AsJdJc9h6d QsQd5d3s2d QhTsTd4s2h 
KhJh8d7c6h Jc9h7d5d3c KhQhJh9h9d 9h8c6c5s4h 
KdQc9d7h2c QhJdTs9d3c AsKs5s4h4c KsQcTc5h4c 
KhJdJc9s6d QhJc8d5d3h QdJc6d6c3h AcQc9s8c7c 
KsJhTd9h2c Qs9s6d5d5c Th9h9c6d3d 9c7s7c6c5s 
AcQsTd9d5d Kd9d7c5s5c Ad9s6d5c2c AcQh9s5h3s 
KhJd9s9d8d 8h8d6h6c3c Qd9s7h6s6h AhKd5s5h2c 
Jh8d6h5d4d As7d5h4s4c AdJc4d3h2c KhTs6s5c2h 
AdJc9h7h5s KsQd9d6c5h AcTs5s5c3c KcJsJd9h6d 
Ad9d9c7s3h QsTd8s6c2c QhJh8c5d5c QcJdTc5c3h 
AcKsQd8d4h KhJdTh8h5c KcQhJh7s3s QdJc8d7s5h 
AdJc7s4s2d JhJcTd6c5c KhTd9s8c6c AcKcQd9s2c 
AsQs7d6s6h Tc9h8h6c3d QsJdTh9c3d QdTs8c4d3s 
KhQhTsTc4d KhKdJc5s2c QcJsJc7s2h AcKcJd8c4c 
JhTc6d4c3h KcQs9s5c2c KdQd9h5h4d QhQc9c6d3s 
8d7s6h6d5s Jc9h7h5c4h KsKd8h7h4c KdJhTh6c4s 
AsTs6c5h3d JsJh9s7c6s Jh8s8h7h7c QsJh5s4h2d 
KcQc6s5h2s QcJd9d8c2d AdTs9c8s5h JcTd8s7s3d 
KcJs6s5h3h KsTs9c8h5d QhTc9d2h2c Ac7h5d5c4s 
KdJhTd8d6d AsQs9s9d5h KdQs9h8h4d Qs8d8c6d4s 
Ks9h6s5c3c KhJd6d4h4d AcJc9h8c5c QdJh9s8h6c 
KhQc9c8d7c QcTh8d7d2c QhQdTc7c4s KhQhJc8h8d 
KsKhQs9s2c JcTc9d3s3d KhJd6h6c3d KcQsTd9h5s 
KcQhTs7s7d KsJc9h7h4c QhJhThTc2d KdQd5c4c2h 
QhJsJh7h6c KdQs9s9c8s AsQc9c6d5h QcTs8c7d3s 
Ks8d6s6h4d AhQcJh5h2s KcJh9d8c5s 9s8h7s5h4d 
Kh8d6h6d5h AcKdTs8h4h Kd9s8s7d3c Ac9s6s6c2h 
KhJc9d9c8c AdKhTc8s4s AhJs3s3h2c JhJc8c6d2h 
KsJh7c5h2s JsJc9h7c2s AdTd6h4s2s KhTs8h7d2d 
QdTc9s2d2c As8d7s6s3d KhJcTh6s3d Tc7s6c5d4d 
KdTh9s5s2d Kd9h6h5h3d JdTc6s5s3c Jh9h9d6c4c 
ThTd9s8d6d Qh9c7s5s4h Ac8c5d3h3d QhQd8h5s2s 
Ts9h9d4s4h Kh9h7d5d5c AcQdJh9d2s JhTs5s5c3h 
As5h4s4h2c Ah8h6c4c3s KdQsJc6s4h JcTh6s6h4s 
AhKdJd5s2c Ad6d5c3h3c AhQhTs9h3h QcTd7c6h5s 
KhJs9h8h7h JcTd8c4d3s QhJh8d5c3c Qh7h6h5s4s 
JdTs8h5h3s QcTs9c8h5d KhTd9c8s6s QcJsTc6d3h 
Jd8c7h6h6d QsQd6s5c4s Tc8d7h5h4d KcJs7h4h4c 
AsAhAc6h2d AdKs6d5d3h Ts9s7h5c4c AsJsJdJcTc 
Ad8s8d4s2h AcTs5h5c2s TsTd9c8s6s As9d6d4s3d 
Ac7d5s5d2c Th7c6s5s4h KdKc8s7s4h Kh8h8d5s4s 
TsTh7d4s4d AcQh7s6d5h KcQs9s8d7s KdJhTd8d5s 
KsJhJd8s6s AhQc8s7c5c AcKc7d5c4c JcTsTh7s4d 
AdKdJh8d3c AdQc8d7h4d JcTh9h3h3c QsJc5s4c2h 
QdJhTs6s4c KdQh9h5d2d AdTc5d5c3d KdTh9s8s4h 
KhTc9s5c4s AhKs8s7s4c AsQc9s3s3c AsQc7c5d3d 
AdTc8d3h2h Jc8h8c7h4d Ad8s5s4d3s JcThTc5c4d 
AhKc8s8c3s TsTc8d7h6h Ac9c7s6h5c JdJc6s6c5h 
QhQc8d7d3h 9h8d7d5c4c TdTc9s9h3h JsJh9h7c6h 
Ad8c6h6d2c KsQsJc6c2s 7s7d6d5s3h AhKd5s4d3c 
AsKsKdKcJh AhJh8h8c7h Ad5h5d2s2h AsJh9c3c2s 
Ts9s8c6d3c KsJs8c7s6d TsTh9s6h2c QhJs9c8d5h 
KsJh8s6c5d QcTs8h7c3s AdQhQc9h4h Kh7s7h5s4s 
Ac9h7s7c4d Td9d9c8c2h QcJhJc6d2d JdJc9h8d5s 
AhQsTs6c4s QdThTc4h2d JdTsTh7s4c QdJcTc9c5h 
8h7h6d5c3c JdTh9h4h4d AsKcQs2s2d KhJc9s9c8c 
AcQsTh7h4d KsQs5h4h2d 9c8s7d6c4s JsJd8d6s3c 
QdTh8d6c5d KcJdTd9h4s 9c8s7s7h5h QdJh6h6d3c 
KcTd5h5c3d KcThTc9s2d QsTs6d4c3d Qd9d9c5c3s 
9s8d7s6h4d KsJdTsTh5s KsQdTh7h7c QdJd9s8c5h 
AdKdJh8c3d QdJhTdTc4d AcKhJd9s6s AcQhJh9h7h 
KsTc8s6d2d 8h7h7c6s4c KsTsTh9s7s KhTh9d9c6h 
Ks8c6s6d4c AdJc8d4c2d QcTs9s9d6h QhQcJs9s5d 
KhTs9d8d6c AcQhTd5h3s Tc9d8d5h4c QhJcTh5h4h 
QcJs9d7h6s AdJc8h7s7c AdKcJs9h6h Ah9c8c4d2h 
Js8c7d6s6d Kc9d9c7h3d Qs8c7d5c4s JsJdTc6h6c 
JhTc7d4h3c AsJhJc7d4c AhJh8h7h6d KdTh8d6c2c 
KsJc7h5c2s KcQc5s5h3h Kh7s6s5h3s Ac9d6h5s5c 
KdJsTs8h4c 9h8c7h5c4d AsKs8s7s7c KcTh8h4d3c 
Tc9c7s5h4h Jc9h8s8h5s JsJh9h4s2c KsQhJs8s8c 
AsJhTh7h4h Qs9d6s5d5c QsQd3d2s2d AdKh5c4h3s 
AdQh6s5d4d Qh9s7d5d4h KsQh8c7h6d 6d6c5s5d4c 
KdTs5s5d3h Ac9h8c7s7c Kd9c8h7h4d Ks9s7c5h5c 
AhKs5d4s3c Kd9h9d7s3h Ad9s7s7h5h Ah9h6d5c2c 
AhQc9c8c6s QdQcJs5s4s AcJcTs5d2c KdTc9s6d5d 
QdTh7d5s5h JcTs6h5h3s QcJh9d8h6s AhTsTd9s5c 
9s9d7s6c5h QcTh7d5h3c AhJsTs7s4s Tc9c8d6s3d 
8c7d6c5d3s KcQhJc9c7c Ks8h7d6h5d AcKh6c5c3s 
Kd8d7d5h4h JcTh9c2h2d Jc9s8c7d6h AcJdTs6h5s 
KsQd9d6h5c AhQcTs7s4d Ad9h7h7d3d QdJhTs6h2s 
AsJcTd3c2d KcTsTh7c4d QsQc7d7c5c QsQdTd7c4d 
AsKhJd6s2c KdQdJh7c2h JhTd8c7c3d Ah8d7h7c6h 
Kh9d6d5d3h Ks9h8d7d4s TsTd9h8h6c KsJh6s6h3c 
AsJcTh5d3c QhTd7c5c3h 9d7h7d6s5s Ts9c7d6d3c 
9h9c7c6s5d 9s9d7c6d4c AsQsJs7h7c QsJsTc6c2s 
JhTh6d5d3s AcKd7c5c3s QcTh9d7d3h AcQsJd9d4h 
AdJhJd4d3c Js9s8h7d4d JdJc9c7h6c Td8s7s5s4d 
KdJs9c7c6h KdTh7d5d3h AhJs8d7s6c JsJhTs3d2d 
JcTc7s5s5c QsTsTc8c2s QhJc9h8h6d QcTh8h4s4c 
AhQs8c5h2d QhJdTh5c3h Js8d7d6s6c KcJh9s7d6h 
QhTs8h4s3c Ts9s8h7c4c QcJsJd8d6d AdJh5d2s2h 
KsQd6s6d3d QcTh8c6d4s AsAdAc6d4d AsQs8c7c2s 
QcJc9d8h5s KsQsJh8s7s KcJsTh6c4c 8d8c6s6d3s 
AsJdJc7d2c QhTh8s5s5d AsTh8c4h4c QdTs7c5s3d 
As7h5s5d4c AcJs9c7d2h QdJdTs9d3h AdKs7d5d4d 
Jd8s8d6s4h JhJd9s4s3h Ad8s8c4d3c QsJs7s5h4h 
Jd7d6c5h4c QcJc9d8s6c JhJcTs2h2d Js9h6d5s4h 
KdJsTs8s6c Ac8d7c4s2s KcJcThTd5c Jh9c8h7d6s 
7c6d6c4h4d QhJdTh6h2d QdTh8s7d3h Js9d7s5c3d 
QhTc8h4c3d KdQcJd8d6s Ah9s7c6h3d QsJhJdTs2s 
JsJd8h5d3h AhTc8h6s6h KsTh9c6s3d QdTs9s9c6h 
Ad5s4h3s3d KsKcQc6c3c Qc7s7d6c5d QsJcTs5h3s 
AsTs7h7d4s QdJc8c5c3d KsTd9c7h7d KdTh7c6d2h 
KsJc8h6s3c Ac9s8h7d3c AhQc7s6d5c QcJd8c7h5s 
QsJsTsTd5h AcTsTd8h5d AcJc8d8c7c KhJh8d7h6c 
Ks9h7s5h3h KcJsTh9h3d Ac8h8c4s2h QcTd8h7d3c 
KhQcTh5s4h KcTs8d8c3s Jd8s7c6d4s Jh9s6h6d5s 
KhJs9h4s3s KcTh9d6c5c Jd9h6c5h3d AdQcJd4d2s 
AcQsTh3h2s KdTdTc9d7d JhTs8c6c3s JhTh8c4s4c 
AsQsJs8c2d QsTs8c5h5c KsJh6s6d3h As8c5c4s3c 
Td9d8h6c3h 8h8c6d6c3d 7c6h5d4h3c AcKhQh9d2s 
As7s7h5s4c KdJcTh9h4s JhJdTc6d5d KdQhTd5s4d 
KcQdTs3s3d KhTc9d8d4c QhJsTc8h5h Ac8s7s4s3c 
As5s5d2d2c JsJh9d7s2h KhTd8s5h2d KcQsJc9c7c 
AhKsJc5d3c TdTc9d5d3c KhTh9h8s2s Qd8h8d6h5d 
AhKh5h4d3s AsQsJs5c2d QhJdTs6s4c Kh8c6s6h4c 
Ad7s7d6c2s AsQd6d3s2c QhQdJh6h4c Ac8c7s4h2s 
QsQdJh9d2c Ts7d6d5s4c KcThTd7c4s JdJcTc6c4s 
Ks9d8c5d4s AhQh6c4c2c QhJd9s5s2h KdQsQc9d4h 
KdJh8h6s3d Tc8d6d6c5s KcJc8h7c6d JdJc8h5d3h 
Ks9h9c7c4s KhJh8s7d6h Ac9d7s7c3h KsKhKcJhJd 
AhTsTd8c5d Ts9s8c6s4c TsTd6c5d3s AcJh9s9h3s 
KhTh8c6d4s Ad9d7h6s5d AsKcJc5c3d As9h7c6s3d 
KhTh7d4s4d AhJh8h8d7h JdTc9s4d2c Ad5h5d3h3d 
Kc9c7h5s5h AhQdTd8c2s AcQs5d3h3c Ts9s8s7h6d 
KdJs8d7h3s Ah8s8h5h5d AcKsJs5h2d QdJs6s5d2h 
KdQc9c8c3d Jd9d8h5c4h Jd8s8c5d4c As8d7d4s2h 
AdJs9h6d6c Ks8s6d5s4d 9s8h6s6c5h KdTs5s4s3d 
Td9c8c7s4d JhJd8h6c2d 8d7h7d6c4h AdKsTh7s2c 
Td8d6d5s4s KcQcJd7h2d JdTd9d9c4c Kc9c6d5d3d 
Js9s9d6c4c AsKdTsThTd AsQdTd8h2c AsKh7c6h4h 
KdTd7c4s4c JhTdTc7d4s AhJhTs6h3d JsTs9s9d4d 
JcTd6h5h3d KhTh9s7s2h AdQs7c4c2d AsKd9s7s5s 
Ks8s6c5c4s KsTd9c5c2s Js9c6c5d4s AdKs9d4c2c 
JhTsTc6c5d QhJs8d5h5d AsKs6c5d3s QsJd9h8c5s 
QsJd9s7c4c AsQd5c4s2h AsKhTs7d2s KcJh6s5c4d 
QdJsJd4h4c AhQc9c8c6d AhKdTs3h2c AhQs8d6h3c 
AsQd9s7s7h Qs9h6s5d4d AsQd4h3h2s AdKd6c5s3d 
Jd9s6c5s3d QcTh9c7s7d As6s5h3h3d AdQd7h7d5c 
Ac9s9c8d4h AsKsKhKdJc AdKhTd7s2d As8s8c5s5h 
KdTs9h8s2h KhJcTc8s4d Td9d7h6s3s JdTs9d2s2h 
QsJc9s8s6h Ac5s4s4c2h Tc8s6s5h4h Th7c6c5h4s 
KsQsJd6s4h AsJc9s6h6d AcQsQh9s4s KdQdJc6d4h 
KsQcTs7h5s 9c8h7h7d5d Jd7d6s5c4s AdJd5h3s2h 
QcJdTc5h3c JdTsTc7d2c KcTs9h7s7d KcJh9c8h4c 
Ts9h8h6s4s KsJcTs5h2d KhTs8h5s5c KcJs8c6s3d 
QsQdJh9h5c QcJsJc4h4d AcQs9s9d4d KcTs9d8d6h 
QdJh6h5d2s KhTs9d8s2d TsTh9c2h2c Js8h7c6s4h 
AhQhJd7s2c Ah9s6h5c2c AdJdTs9d2d KhJc9h6s2c 
QhTc8h5c3c KdTd9c6c2c AcJd5c2s2d JdTdTc9h2s 
9d7s6h5d3h QdQc8c5h2h Ks9s9h7c3h KdQhTc3h3c 
JsJc9d4d3s Ks8s8h6h4h As7d5h4s2d AsJd3s3d2h 
KcQsTd7h4s JcTh8s7s3h Ah7s5c4h2s JcTsTd7c2s 
KsTc6h5d4s AcQh8d5s4h AsJc8d6d4c AcTd5s5c2d 
QdJc9d7s4s QsQhTc8d3s JcTh8d6h2c Ac9d7d7c3c 
KsQc8c7h3s TsTh9c8c6d QsJd8h5d3h JcTd6s4d3c 
AhTs5s5h3h Qd9c7d6c3h Ah7c4s3h3c KsKdTh8c2h 
Ah8s6h6d2s JsJc8s6h2c Ad9d7c6h5d AhQc4d3h2d 
KdJs9c6s2d Kh9s8d7d4h QhJs9s7h4h Kh9s9d7d4h 
AdQh5s3d3c QdTc8s7s2d AhTh6c3d3c Qc9h7s6s6h 
AdJh8s6s4h Ah8d7d4h2s Kc6s5h4c3s 9d8h7s6d4h 
AcQsQh4s2d Ac8d6c4d2s Ah8c6h4c2d QdTs8d7d7c 
QhJhJc6s2s AdTc6c5d3d Ah9h7s6h5d JhTs9c5s2h 
QsJhJc8c6c Th9d7s6s3d JdTs8d8c6h QhTs8d7s7c 
9h8s7s6c4c As8d6s4d2h Jh9d6d5h4s AhQhJh8d2c 
AhQcJh8h4h KcJsTs5d4s Kd9h8s5h4d AdQd8d6s3s 
Qc8c7s5h4h Ah9c8h6d5h Qs9s8c6d4d Jd9c7c6d3s 
AdQd7s7h4c KsJdJc9h6c 9s8h7s6c4h KsJcTc6d4h 
AhQd8c5h2s Ad5h4c3h3d QhJhThTd5s QhTd9s9h6h 
AsKdTc3s2h JsJh9h7d6h QhJh8s5c3c KsJs9d8s7s 
AsTh8s7s4s AcTh8s7d5s QsQhTc4s3d KhQhTs7c4h 
KsJcTh9h3d KcTs9h8h6d KsTs7d6c4s KsTh8h6h3s 
Js8c7d6s4d KdJsJd9d6h QhTs8d7h5c JhTs6s6c4c 
JsTd9s7s7h Jc7c6h5s4h KdTc9s7h7c Tc7h6d5d4c 
KhTh6c5s2s Tc7s6h5c4h QcTdTc4d2s KcTh7s4c3s 
JhTd7h7c6s QcJc8d5s5d JhJd7d3s3h AcQsQh4h2d 
AdJdTs8d3d QsQh7s7c5s QdJs7c6d3s JsJd6h6d5c 
JsJh9s8c6s QhTs6d4d3h Ah9d8d4c2h AcKdJh7s4s 
QsJdJc8d6d JhTc6h5h5c AdJc9d7s2h KdQs9h8d4h 
Ad9d7s6d5h QcTh9c7c3h JhJd9d8d6s Ac9s8c4h2s 
KhKcQc6c2d JcThTc9d2s QcThTc8h3c QhTs8s8h3d 
JsTd8c5c3d KsQsJh8s8c TsTc9d8c2d KsJc8d5s3d 
QsJsTh9s3d KdQdJd9s9d AcKdTc7h2c KdJdJc3c2d 
QdJdTdTc5h KsQcTh3h3c QsQc6s5h4s AcJhTc6s2d 
QdTc8d7h3c Qd9h7s5s4d Qs8h7d5s4d Th9h8c6c4h 
Td9d7h5s3h 9h8c7c5d4d AdJcTh9h6h AdKd8s6d2s 
AhTc9c8s8c AcQsJh8h4h JdTsTd9d6h JsJhTh7s2h 
Qc8d7s5d4c AcKcQh9s2c AsQd5s3s2d AdQc6c3d2h 
QdJsTs9s5h Th9s8s7c4h AhQd7c6s5d KsJdTd9h4c 
JhTh9s4d2s QcTc8h6h2h Jh8c7d6h4c Ah8c7c4h2d 
QsQcJd8d5h Jh9c6c5d4h QcJd6d6c3s KdTsTd9d7d 
QsTd7h5s5h QcJsTs6c2s KsJc8s6h3c AdQcTh9h5h 
QhTd9c7d2h AhJcTd5s3c Kd7c6d5s5c KhTh7c6s4h 
KdJhJcTs5s QdTc8s6d2s AsTd7s6s6c QdQcJh9c4s 
JcTc9d4s2d KhQhJd6s2s JsTs8d5h3h Qc5s5h4s4c 
KhTs6s6c5c Qh9h8s6c4c KdQh9c8h6s KhJs8h7c3s 
Qd9h7d6s4s KsJsTd6h6c Td8h8d7s4h AsJhJc8c6c 
9h8s7d6h4s Qs8s6d5d4d Qd8c7s5c4d KhTh9c7d4s 
AdQd8h5s4d Qd9s9d6s3c KdTh8h6h3d 8s7s6d5c3c 
Th9d8d7c4h QsJs7c5d5c Ts9d7c5s5d Qs8h7c5h4s 
Jc8d7c6d4h Qs7d6d5c3s AcJhTs7d3s AdQdTs9d3d 
KdQsJhTh4h Ah9s8s2s2h Ac8c6h4h2s JcTh7s7c6d 
KdTc6c5s2d Jd9d8s7h6c Ah8s7s4h2d ThTc9s9d3d 
Ac8d7h4s4c KdTd9s8h5c AcKd9h9c6c Td8c6h6c5h 
As6d5h4d2s AcKd8h7h5h KdTd8s6s2h QsQd9h3s2d 
QsJsTh9d5s Qs8h7s5h4c KsQhQc8s5s AcKdJd8d6d 
JdTs6d5s5d KhKd9d8s3d KcJc8d5h5d AhJsJd7c4d 
AcQh6h5d3d AcQd4c3d2d AsQh8c6s3d QhTh9d7s7c 
AdTd6s3s3h KsJc8d6s5h KcQc5h4h2s AhQhJh7s7d 
KsJhJc7s4d KsTh7s5s3h Ac7h5d4s4c As6d5s4s4d 
Qd9c8s6s6c JhTsTc6s5d AcJh7s6c2s JdTh7h4h4d 
Ah9c6h6c2d AcTd7c2h2d TsTh9s8s3h AdQcJh9c2s 
AhQc8h5s5h AcKh9c4s2s Ad8c7s7d6d KdQcJc8s8h 
QsQhTh5h3c Ah5h5d2s2d Kh9h8s7d4d KcJsJd5d4h 
KdQhJc6d3s QdJh9d8d6s JsJh6h6c5d Kc9h9d5c4d 
AhQh9d9c4s Ah7d5s5d2h Ah9s8h4c3c QhJcTc9c5d 
KdJs9c7c4s QhThTc8c2h Th9c7h6d3d Ad7h4s3h3d 
Ks8h7c5s5h AdQs9s9c3c Qs9d7c6d6c As9h6h4s3h 
KsJhTh7h7c AhKh6s5c3h AhJsTc9s2s Th9h7c5c3s 
TsTh8c4s4c KhTs6h6c3c Ks9c8d5s4d KsJs9c8c2c 
KcJsThTc5c Ad9d7c6d5s Td9h8h6d3s AdJh7s6d2s 
AdQd7c3s3c Ah7s5h5c4d Ad8s7d6d3s JdJc9c7s6c 
AcQd9c7s7c AcQcJc8d2s QsTd8s6h2h KhQh5d5c3d 
Kc8h6h6c5c KsJhTh6d4c JsJh8h6s3d QhTd9d7c2h 
Jh9s6s5d4h Ts9d8s6d2c KsJcTc6d5c AcKhJh6h4s 
KhJs6h6c3s KsTs8c7h2c QdQcTs4d3h 9c7h7c6s5s 
QsJs8h5d3d KdTd9d5c3c AcJhTc6d2s Kc9h8s7c6c 
JsJdTc6s5s AcQhJh9h6s AhQcTs3s2c AsJc3s3h2c 
QcJc8h5h5d QhQcTd7d4s QcJd9s6s3d AdKsTc6h4c 
JsTsTd7h5s JhTs8d7h3d AhKhQc9s2h AdKsQs8s4h 
KdQs9s8c6h KdTc8d5s5c TsTh9d5h3d As7c6s6h4d 
Ah9s7h7d3c As8h7d2s2h AdQh7c4c2d QdJdTdTc5s 
AsQd7h5h3d Kd6c5s4d3c QsQdTd6d4d KdJsTsTc2h 
JdJc6h6d5s Ks9h9c5s4h Kh9d8s7s4h AcKhJd9s4d 
KsJd9s8d2s Kd6c5h5c4d Ts9s8d6d4s JsTc6s5s5c 
AhTh7h7d4c QhJdTs6c5c JsTdTc7c4h Ad9s9c4s3d 
Jd8s6d5s4s QhQcJd9h2s TsTh9d9c3d KcQc6d5s2d 
TdTc8s8c4h AsQd9s4c2c QhTd8s4h3d Td9d7c5h3c 
Qc9s7d5c4s QdQc6s5c4c KcTd9s7h7d KdJcTd8d5h 
Ad9h6d5c2c KcJd9h9c6s KdQcJh9h6s KcTc6d5h2h 
KhQs8c7h3s AdJhJc8h6h Js9s8d5h4d KdTd8h6c4s 
KcTh9c4h2h KsQd9d9c8d Tc9c8d7s4s AdJh4d3s2h 
Jc9d9c6s4s QhTs9h7d7c AcJsTh3s2h Ah8h7s4d2s 
KhQd6d3s3h Js9d7c5c3s AsKhQh8h4d 9s9c8c7h7d 
KsJc9h7d6c AhKd8c7d4d QsQhTc9c4d QhTc7s6d4h 
QcJhJc3h2c JdTh9s7s2h KdJs9h9d6c AsKcTd3s2h 
Qc8h6h5c4h KhTc8h7d2d JdTsTd5d4c Kd9h7s6d5c 
Kc8d8c6c5d Qc8s7c5s4d QsJh9c6c3h Js9c6c5h4s 
Qh8d7s5h4s Jh8d8c7s7h KhTc6h5c2s As9d8s4h3h 
KhTs9c8d6d AcKc8h3s3h AdJc8s5s3c KsQcTh5c4c 
JsTd8d5s3d AhQs5d3h3c Kc9s7c5s3s AhKdQh2s2h 
QcJcTs9h5c AhQdJs9s4c KcTc9s6s2s QsTs9s8d2d 
QcJc9h8d6c KhTh8c7s2c KhTh8c7h6h QsJs8d5h5d 
Kd9h9c6h3d Td9h6s5h3d KdTs9c7s3c 9h8s7s5c4c 
AhJcTc9c2d Qd9c6s5s4d Ts9d8s7d4s QhJcTh6s3d 
Qh8d8c7s7h JcTd6c5d3d KdTs8d5s2c KhTsTh8h7h 
Qd9s9c5d4c QhJhTd7h5s Ks9s9h7s7c JhThTd4d2h 
QhTc7d5d3h AcTd8h7s5h QcJsTh9s3d Jc8s7c6s4h 
9d7d7c5d5c KhQs9h9d6c Kc9d9c7s7c Jd9c8c5s4s 
KhTc8h6s2s KhQsJdTd2d KdQh7h7d3c 8s8c6s6h2c 
AcKs9c4h2h As7s5d4d3s Qd8d6s5s4s AdJh7c4d2c 
Qc9h6c5s4s JdTh9d7c2c QhTd9c5h2c Jc9s6s5c4h 
AdQsQc4s2h As9h8s6d5s AsKd8h7h5h AhKh9h9d7h 
QsTsTc8s6s Qc9s7d5d4c Qh9d8s6s6d KhQs9h8s3s 
AsKs6h5d3s Js9d8c7h6s Qd8d7h5c4c Kh7s6h5s5d 
KdTs8d8c3s Qd5s5h4s4d KcQs7c6d2s AsKhQh8h4c 
Kc6h5s5h4c Ts8h8c7h5s Th9s8h7s4h AdTd8s5h2c 
ThTd8s4s4h KcJs8s7h2c KcTc8d8c5d KcQcThTd3s 
KsTh6c5c2s JhTs8d6s2h QdTs8d7h3s AcQs7c5h4c 
AdJdTh8d3d KsJhTd3d2h KhJh9d8h7h 6s6h5s5c4c 
AcQhTs9s4s QdTs8s4h4d KdJsJc7d5d AsJs9s8h5s 
