Qh9s7d5s2s 
AsTc5s3s2s AsTs4s4c2s 8d5c4d3s3h Qh7c5s3s3d 
Kc8d7d5d2h Qc9d7h5s2h 9d8s7h3c2d Js9s5d3s2s 
6d4d3s3d2s KdJc6s4s2s Jd7s4d3s2c Jd8s6h6c2c 
Kh6s6c5d2d AsJd6d6c2h KhQh5h2s2h AdJh4h2s2c 
Th7c5h4h2s Js9d6d4h2c AsQd8c2h2c Kh8c5s4d3s 
Qc9c8d3h3c QdTs4s2s2h QsJs8d3s2c Kh4c3h3d2s 
Jd7h5c4d2d Td9d5d4s2d Kd7c6s3h2d Qh8d7s7h2h 
KcJc5s5c2c Tc7h4d3s3h Jc6h5h3s3d 7c4d3s2s2d 
Ac7h4h3s2s Qs5h5c4d3d 9s6s6d5s2s Jd7s5c4d2d 
KhJc7d4s2s Qs8c5c4c2h 8h7s4s2d2c 8s5s4s4c2h 
Kh8s8h6h2h Ts9s5s2h2d Ad8h7h4h2s KhTd3h2h2c 
Js9h7d7c2h Qs8d5s4s3s 8c7c4h3c2h Kh4s4c3d2h 
Kh8c5d4d2s Ac9d8h4d2d Jd5d3h3d2h Kc6h5d3s2s 
9c7c5d3c2h Jd7c5s4d2d QdJc5c3c2c Th9c6c3s2c 
AcQh3s3d2s Jh9d6s4c2c Ad8h5h4h2c JcTd6d3s2d 
9s7c6h4d2c 8d7s5c3h2s 7h6c4s2d2c Tc8s4h4d3s 
8c5d4h2s2d 7d6h4s4d2c Js9d8d3d2h Qh9h7d3h3c 
QsQdQcJc3d QsJc8s3h2s AhTs6s6d2s AdTs6s6c2s 
Qs5c4s3s3h As8c7c4d2c KcJd7s7d2h 8d7c3d3c2s 
JcTh7d3s2d Jh8s6h4h3h Kd7d6h2s2c Jd9h6s6c2s 
QcJc8c7c3c Kc9c8c3s3d KhTs4c2s2d Qs8s5h3c2d 
9c5h5d4c3s Qh9h7h4h3d Td5s5c4h3s JsTd6c3d2d 
Jc7h6s3h2c Td8d5d5c2d Jh6s5d3h2c Qs8c5d3h2s 
KhJd6d4d2d QcTd3s3h2d 9s8h7c4d2c 9h8d5h3h2s 
Jh4s3h3c2s 9h8c5s3c2d KhTc6d3s2c Td7s5h4s2c 
Kd7h6d3s2c Jd9h5h3h2s Jh9s8d4c2c 8c6s4c2h2c 
As6h4d4c3d Kd9d8d4c2h Qc9s9h4s2d Jc7s7h5c2c 
9h9d8h4h3h Th6d5s4s2s JcTh7s3s2s Ad5d4h3d2d 
Ts7d5s4s2c Tc9s7c3d2c Tc6s6c5h2c Qh9h4c3s3d 
9c5s5h4h3h As7d6c4h2c AcQs5s3s2s Qh8c6d3d2c 
Jc6d4s4c3h 9s6s3s3d2d Ac9d8s3d2h Ts9s5c3s2h 
9c8c7c4s2h QcJh8s3c2c As9h5h4h3c Qd7s4h3d2s 
Ac9d8d3s2h Jc8c7h4c3c Kc8d4h4c3s 9d8c6d3d2h 
Kh8c5c4d3c 9s8c7h3d2s Ks8d6h4c2d QdJd8h3s2d 
Qs7d4d3s2d Qs8s7s6s2h Ah8s6d4c2s As8d6c4d3d 
Ac8s7s4s2h Qs6c5c3d3c 8d7c5h3s2h 9s7c6c4d2c 
Td9c5d3s2d Kc9s5c3d2c Jh8c4c3h2h Ah7s5s4s2c 
QcTh4d3s2d JsJc7d3h2s KdQs7s4s2c Qc6h5d4d2d 
7h6h5h3s2h 8d5s5c4s2s Qh7d7c3c2h Jc9c4h4d2s 
9s7h7d4d2c QsTd7s5s2s Th7h6d4h2s AhJh8d3h2h 
Qh6c5c3s3c 9c7h4d3h2d Qd8s7d7c2d As9s7s4s2c 
TsTh7c4c2c 9h7d6c4h2h 9s7h4s3s2h 9h6h5h2s2h 
AcJd7d4d2d 7s6s3s3h2h 8d7s3s3d2c Jd7h7c3c2h 
7c5h4s4d2s Kc8s4h3s3h 9s7d6h4c2d Qd9c8d2s2d 
Qc9h7s6h2h 9h7s4h3h2s As4c3s3h2s Ts7h4s3s3d 
Jd8s8d4d3d Kh7s7h4d2h Th7s6c4d2s Ts7h6d5c2d 
AhTc6s6c2c 7h5c4h3h2s QhJd7d4d2s Qh6h4h3s3d 
Ah9c8s4d2d Ks8d5c4c3c Qh7h7c3s2s 9c5s3h2s2h 
Jh6s4d2s2d Jc5c3h3d2h Qh7h5h5d3h Js6s5s4s3s 
Qc7d7c3h2h Jc9c5c4h2c Td8c4h2s2d KhQh8d8c2h 
Jc6s5s3s3d Qh9h8d2s2h Qs5d3h3d2h 9d7c3d2s2c 
Qs8c7c5c2d Tc9c5c3d2h JhTs6s3c2s Kh8s6c4d2s 
Ac5c3c2s2h QsQd7s3s2h Ks7d6c5h2c 9h9d6s3c2c 
Qc9s8c4c2d Kc4s3h3c2d Kh8d5h3s2c Qs8d4d3d2s 
9c8d6h3s2c As5s4s3d2s 7h5h4c2s2d AcKd9h4h2h 
9h5d3h2s2d Ah5c4s4d3c Ks8d5d4c3d QsTh6h3c2h 
As8s6s2s2d 8d6c4c2h2c Ts8h4d3h3c 9c6d3h2h2d 
Tc6s3s3d2c JsTh6s2s2c KcQd7c4c2c Ah8d6s4s3s 
QhTs3h2h2d KsJc7c6c2c Qc6c5c3d2s Jh6h4s3h2s 
6c5c4c3c2h 9s8h6c3d2c QhJh6h4h2h Qh5s3s3d2d 
Tc7h6h5d2h 9d6h6c4c2s 9d6c4s4h3c KsQc7c4c2h 
7s7h6c3d2d As9c6c4c3h Js5s5h2s2c Jc8h8d4s2h 
Ad8c7c2s2c Td9h5h4h2h KhQdJsJdJc AdQd6c3d2d 
Jh7c6s4h2d 9s9c8s3s2h 8h5h3h3d2d Th9s5s2s2d 
Td9d7h3d2c KsJd6d3h2c Jh9c7s4d2h Js9d8h4c2c 
KhTd8s2s2c Th9d6d4d2d As8s4s4d3s AcJh6s4h2h 
9s8s8c3h2s 9d8s4d4c3h 9s7c6c4c2h Td7s6s4s2c 
JcTd7h3s2h Ac8s6d4s3s AsJc5h2h2d 8c7c3h3d2d 
QcJs3s2s2d Qd8s8c7h3h Qs9h5d4d2d QhJh8s2h2c 
9s8d7c4h2h Qc5h4c3s2c Jh7s6d3s2h Ah5h4d3h2h 
Ad9c8s3c2h Js8s6h6d2s KcQs8s7s2s KsTh7c4c2c 
Jc9s5s4s2s 8c7d4s4c3c Ks7d7c5h2d Ks7s5s3d2c 
Kc7h7d6d2s Qs9s6h6c2s Jc8d4h4c3s Tc6h3c2s2h 
Th7s6d4c2s Td6s3c2d2c 8c6h4c2d2c Js5s5d2s2c 
Jd8c7h2s2d Js8s8d4s3s 5s5c3s3h2s QdJd8s3d2c 
Qc9c7s7c2h 9s6h6c3d2h Td7d4s4c3d Qs9d7c5h2h 
Jd8h7d4d2s KhQs8s8d2s Qh9h7s5h2h 9c7h6s4c2c 
9c8c4c3h2h Jd7c4d3s2c 7s5d4h3h2h 7h6d4s4h2h 
Kc9d5c3h2c 9c8c4s3h3d 9s9c4c2d2c Tc6c3h2s2h 
QsJd7d3h3c KhTd4s2d2c KsKhKcTh7h Qc9s9d7s2s 
Qc9d8s4s3h Jd8h7h4h3c 9c7h4h3h2c Qs9h8s4s2d 
Ah9h4h4c2d Td8d4s3d3c JhTd7c3s2c Js8h6h4h3c 
Jd9c5h3s2h KhQh7h4h3h Qd9d8s4c2d Qh9s8s4d4c 
KdQd8d4d3c KcJc8h3c2s Qs9s8c4d2s 8h5d4h2s2c 
KsKdKcQd9d Jd9s5h3h2c Ah9s6c5c2c Qs9h7d5c2c 
Kc9s7d5d2d 8h5c4d2s2c As8c7d4c2c KsTs4s4d2s 
Qc4h4c3c2h QhTs4s4d2s Jh9s8s3s2c Jd8c3h3d2h 
Ks7c6d3h3d Js6s6h3h2s Kh8s5c4s3s Tc9h6d3s2d 
Td7h6s6h2c Qh8d8c7s2d Jh9h6c4h2d QdQc7c3c2h 
Qs9s8c4s2h Tc8h8d3h2s 9s8d6c3h2c AsQc8h3c2c 
Kh7d6s3d2s Ks8s7s5h2s KhJh9s3h2h Ts9s4c2s2h 
Td7h4d4c3d Qd8s8h7h2h 9h9c8h4h2h JsTd7c3d2d 
Ks8c7c4d3h Jc8h3s2s2c 9d8c7c4h2c QhTh7c2s2d 
7c6c4d2s2h 9d7h5s5c2h KsQh8h4h3h Qd8c7c4s4c 
7d6h5h3h2h QsJc9s9d9c AcTs5c3c2c JsTd6s2s2c 
KhTd7s3c2d Th8c5s2s2d Ts6c3h2s2c Tc7d4c3c2d 
Qh9s7c5d2d Ks8c5c4h2d Kh7s7c2s2c Td8d4c3h3d 
Kh8s7d5d2d Jd6s6d5h2d Qs5d4h4c3h AdKh6s3s2s 
9c7s4c3d3c As7h5c4c2c 6s4s3s3h2h Jd9c6s6c2c 
Ks4d4c3h2s As9h8c4h2h Qd8c6s3s2c KcQh9s3s3d 
9h7c4h4d3h KsJs8d4s2s 9d7h6h4c2h As7c4s3d2s 
Qc5s5d2s2h Qs8h6c3c2h AcJh8s3h2h KcJh4d3s2s 
Th8c5s5c2c 8d6c4s4h2s AdTd4d4c2d Ah7s6s6h6d 
Kd8c5h4c3c Jd9s4s3h3c Tc9d7s3h2s Kc7c4d3h3c 
Jh6h5s5h2c Qh8d5d4d2c Qd9c8d3s3d Th9c5s3d2d 
Qh9d6d4c2s KdTs7c3h2s Tc6c5h3s2d Ts6h3d2s2h 
8c4s4d2h2d Kh7d6c3s3c Ad7h4s3d2d ThTd6c3h2s 
KdTh8c2s2c Tc9c3h3d2s Kh9s5h3h2d KhTd6s3c2d 
As6h6c2h2d 7s4d3s3c2c Ad6d5d3s2d 9s9c6d3d2d 
KdTs4h3s2c Js8c7d2s2h Jd8s8d3h3d As9d8d4c2d 
9s9h7d4s2s Jc4s3s3c2d QhJd8d3d3c KdTh6s3c2h 
Jc4h3d3c2h 9s7c6d4h2c JdTs7c3h2c Jd9h7c4d2d 
9s7h6s2s2c Kc6d4c3c2h 9h8s4h4d3c Qd6h6c4s3h 
Ah6s6d2s2c Jc8d3s3d2c 6h6d4h3s2h 9c7s6d4h2d 
AsTsThTd3d Ks7s6d2h2c AhKc7s3s2d Ts9h5d3s2s 
QhJh8h2s2c Qh7d6s5d2d Qd6h6c4s3s QcJd7d3s3h 
Qs7s7c4d3s As7h4h3h3c TdTc3c2s2c 7d5h4d3d2s 
Jh6s6d5c2c 9s9c7h3s2d 8d5h5c4c2c 6h5s3c2h2d 
Jc8d5c2s2c KhQc7c4d2c Qs9d7c6c2c 9d8h8c4h2h 
9s9h4s2s2d Qc4s3s2s2c Jc8c6c4d2h KsQh7c4h2h 
9h8h7h4s2d Jd8s7c2h2d Ac7h7d6d2d Ks6h4s3s2c 
JsTc7d3d2h Kd8c7h7c3c KhQh4c3h2h 8s5d4d4c2d 
Tc9c5c4d2c 9s7h6d4s2s 9c5s4c3h3c Kh9c8h4h2s 
9c8h5d3s2d Qh5d4h3s3h 9s7d4h3h2d Kc8s5s4s2d 
8d6c3d2d2c Ts8s5s5c3s As7h5s3s2s Qd7s4c3d2s 
Ks8h7h4d3c 8d5s4h2d2c Kd7d5d3h3d 6h4c3h3c2h 
Qs9d8s4s2h Qd9c5h3d2d Jd6s6c3c2s Ah5h3h2s2d 
Js8d6h4d2d AsQd7c3d2h Ac9h6s5s2s Js6s4h3s2h 
KcJd3s2h2d Jh9c7h4h2s As7s4h3s2c KcJs7h4s2s 
AsQd9c4c2c Ad7d4d3s2c Kc9h7h5d2h Ac9s5s4d3s 
Ah7s7d6d2d 9c6c4d3h3c Ah8c6s4d2s KhQc9c2d2c 
Qs8s6s6c2s Td7d5c4s2d Kh9d8h3s3h QsTd3s2s2h 
Ac8s7d4s2s Ah8c7c2d2c KdJc4s3h2h Jh8d3h3c2c 
Jc6h5s4h2h KcJs6s3d2h Jc9d5d2h2d 9c8d5c3c2s 
As9s7s2s2c Kc8d6h4s3d KsJh6h3c2d Kd6c5s3h2s 
9s8s5s4h2s Tc9s5s2s2h 8h6s3h2s2h Kd9d8d4c2s 
Td9d5c3d2h Ad8s8h4c2h 9c8s4h4c3d Qc6d5h4s2d 
KcTh4s4d2s Tc6d5s5c2c 9h6s6d3c2s KsQd9d2d2c 
Ts6d5h5d2c KsJc9c4c2c Js7h5h4d2c 9d7d5c2h2d 
Jh9d8s3c2s Kd9h9d4d2c Ks9h8d4s2s Qh8c3s3c2h 
Kh7s6s4d2c Tc8s8h3d2h Js8h3h3c2s JsJd6s3c2h 
Ah8d7c2s2c Kh7s7c5s2d Jc9s5s3s2d As5h3h3d2d 
Jc9h6s3d2c Qh7s6c5c2d Ad8c7c4c2s Tc6h6c2s2d 
Jh8d5c3s2h Qc7d6h5h2h 9c5d4c3h3c Tc9d4h4c2c 
Qh9s7d6s2s QhJh8h2s2d Js8c6s4s3s Qh6c5h3d2h 
Jh8h3s3c2c 9c8c7c5c2c Ts6d3h3d2s Ks8h4h4d2d 
Js5s4s4h3c 9c7h3c2h2d Kh8d6d6c2s AhJd5c3s2c 
Qd7h4h3c2d AsTs5h3s2s Qd8h7h4s4c Kd8c6h6c3c 
Qc8h4s3d3c Qs9d6h4h2c Jh9s8s3s2d Ts7h5s4s2d 
Ks9d6d6c2h Qc8c5d2s2h Qs9s7s6c2s 7c6c5c3h2c 
KsJh5d3d2d Qc7s5d3h3d 9h7d4s3s2d 9c7c5d3h2c 
AhJd5c2s2c Qc8s7d6h2d 9c8c6c4h2c Qd6s5s3s3c 
9c6s3s3c2c Jh9c7c4d2s Tc7c6h6c2d Td6h5h4h2s 
Qs8h6s4s3s Jc9d7c2s2h 9d9c7h4c2c Kh8s7c6s2s 
Qd9s5d3d2h Qh6s6h5h2h 9s9h4s2s2c Ts7h7c6s2s 
Qs8s7c3c2s Jh4d3s3d2h Kh9h8h4d2s 9d5s3s3d2s 
TsTh7c3d2s Qc9s8d4h4d Td6s6c5h2c 9h8c5s3d2s 
Jh9d8d4c2d 7s6c4s4d2s ThTd7c3s2d Kd9s6c3h3c 
AsQh7c3h2d Td9d3s3c2h Ks7d6s3c2h 9c8h5c3d2c 
KcJs8d4h2h 9s9d7c4d2d KdJc4s4h2h 7h5d4s3s2c 
7c5s4h3h2d AhTsThTd5s 9h7s4h3h3d Th8d4s4c3c 
6s5h3s3d2c Qh9s7d5c2c Td9s5d2d2c Ts6d3c2s2d 
8s7d4c3h3d Jc7s6c2s2c Jd6h6d5s2d Jh8h7h6c2h 
9s6h6d4h2c Ad8d4d2s2h Jd7h6c5h2h Qc4h3c2h2c 
Kc4h3s3c2d Kc8d5h4h2s 6s6c3s3d2s Kc7s5h4s2d 
Kd7h7d4s2d Ac9s7s7d7c Qd7s5h3h3c Kc8d5d4h3d 
Th9d8h3h2h 9h7s4s3h2s Kh8d4h3s3c 8h7d4c3s3d 
KcQh7h3s2d Ac7c4h3c2d JsJd7s6s2s Jd4s4d2h2c 
Ah4c3d2d2c Td7s6s6c2h JdTh7c3h2h Kh7d7c5c2s 
9s7h3s2s2h Js7h5c4c2d Th8h5h5c2h Td9d4c3d2h 
Kd8s6h4c3c Td8d7c2h2d Qh7d5d4d3d Th8d4c2s2c 
TsTd7h3c2s Jc9s8s4d2s 9c5d4s3h3c Jd8d7c4d3d 
Qh5s5d4c3c Ah8c7d2s2d Kc8h7s5s2s Kc5c4s2h2c 
Qh9h6h6d2h Td5s3c2s2d Kh7s6c3s2c Qd7s5d4d2h 
Kc8c7s7c3c 7h4d4c2s2c Ah8h6h2s2h Qd9h6c4s2h 
9h6c4h4d3h AhJs8c3c2d Ks8h6c4d2h 8c6s4h4d2h 
QhJs7c6d2c Jd9s7c3h2d Js9h8d4h2h 8s8c6h3s2s 
Td9h7c3c2s As4c3h2h2c Ks8h4s3d3c QsJc8c2d2c 
Qs6d5c4d2d Kd9h9c5s2s Kc7s6d3h2c Jd7s4h3d3c 
As7s5h3s2s Jd4h3c2h2d QhQd7s3d2d AcJc3h3c2c 
Td9h6h3s2h Jd6s4d3s2s AdJh4h3c2h As9h8h4d2h 
Kc9c8c4h2d Qc7c6h3h2c Qc7d6s5s2s KsJh6h6c2h 
9h6d6c4d2s AdKh7s3s2c Kc7c4d3d2c 8s6s4h4d2s 
Ah7c4s3h2h QsQdQc6d5s Js9d7s2h2c 8s7h5h3c2d 
Qc8d3d2h2c Qh9h8c4h2d 9d7s3d2s2h Js8c5d2h2c 
Ad6d3d3c2h 5h5d5c4h4d KsQd8h4c3c Qh8s3s2h2d 
Tc9h7d3s2d AsJs4s3h2s Ac9h8d3h2s 9h8h5s3h2d 
QdJd8d2h2c Ad9c8c3h2s 9c8c7s4c3c KcQs9c4c2c 
Ah7c6s4d2s AhQhQdQc8h Jc6h5s4s2s 9h5d3c2d2c 
9h8d7c4s2c Ts7s6h4s2c AhJc6d4c2c 8s7d4s3d2s 
Js7h6d3h3c Kd8c6c4s3c As9c5h4h3h Kc9d5c3s2c 
9s8h8c3c2c Qs8d8c7h2d JcTs6s3h2s 8s7s3h3d2h 
Th8s4c2h2d 6d5d5c3d2h Js9s7s4c2d Ac8d3c2s2h 
Ad9d7d4d2h 9h7h5d3h2c Ad8h7s2h2c JhTc6d3s2d 
Td6s6c4s2h Th7h4d3h2d QdTc7d5d2d Kd8h8c7s3s 
9c7s5h2s2d Kh7d6c3c2d KsJc7d4h2d AdJc6h6c2s 
Ah8c7s4d2s Qh9s6h2d2c Ac4s4d2s2h Tc8h4d3s3h 
6s5d5c3d2d Js8c7h4h2d 9s8d4c3s3h 9d8c5s3c2h 
Js8h7h4h3c Ah8c6s4s3s Js7s6h2s2h Jc7s7h5h2h 
Td8s8h3s2c 8c6s3s3c2c AhQs9d3d2c Ks7c6c5d2c 
9h7c4h3s3d Jd9h5h2s2h AdTs6h4h2h Ts9c4d3c2h 
Ac5d4s3s2h KdTd3h2s2d Qc9c8s2d2c Kc9s8c4c2d 
Td7d6d5d2c Jd8c7h4c3c 9c7c5c4c2d KcQs6c2d2c 
KhJs7s4c2s 8h6s3s3h2h Th9d7s3c2s QdJc3c2h2c 
Jh9c6s6c2c AdTc6s6h2c AcKh7s3s2d 8d5s3d2s2c 
QhTs8d3d2d KhQs9s3c2s As6c4h3c2h QhTs6c3c2d 
9d5s5d4c3d Tc6s6h2d2c Qc6h3h2d2c Ac8d7h2s2d 
9d7s5d3d2h Qd8s7h6s2s Jd5d4d4c3h KcJd9h3h2h 
KdQs8s4h2s Ah6d6c2s2c KhJh8s3h2d 9c7s7h4s2d 
Th5s5c4d3h Kc8s8h3d3c 7c5c4h3s2d 7d5d4s3h2c 
8h7c4h4d3h Qd8h5d2s2c 7s4h3d2h2d Tc7c6h4c2s 
As7d4c3h3c Ad9d8h3d2d Ts8h8c3d2h Kc5h5d4s2h 
Qd8s7d3d2s QhJs6s2d2c AcQd6d4d2d Qs7d6h5h2h 
Qd8d5d3s3h 9d7c6d3d2s Qs9s8h2s2c Kc9c5s3d2c 
Ts6s4h3d3c KcQc5c2h2c 9s8s8d3c2s Ac7d6h3h2d 
Qd9d8h4d2s Kh9h5h3d2c KhJd8c4s2c Jc9s6h4h2d 
QsJh7c4s2s Td6d4c3s3h Qs8s7d4h3s 9d7h4s4c3c 
Qd7s4d3h2h Qs8h7s4c3s 9c8d7h4c2c Kh8h8c3h2c 
Ks8s4d4c3h Js7d6c3h3d Td7s4h4d3d Jh8d7s4s2c 
KhKdKcTc7c As8d6c4h2c 9h6c3d2d2c Ts7c4s3c2s 
Qh8c5h2s2d Qh4d3d2h2d Js9c8h4c2c Th6h5s3d2c 
Qh8c7h4s3h AsQh6h3h2c KdJd8d4s2d QsTsThTd9c 
QhJc3c2s2c Kh8d7s7d3d Qh8c5s3d2h Kh8s4d3s3d 
9c6c5c4s2c Ts9h5c3d2c Tc6c5s5d2h QdTs6s3s2c 
6c5d3d2s2h 7d5h4c3s2c Qc9s8d4h3d 8d5c4h2s2h 
8s6c4h4d2d KsQc3c2h2c Kd9h6h5h2h 8d6d4d2s2c 
Th7c5d4c2s Kc9c7s5c2c Jc6s6h4s3d 9s7c4c3s2c 
Qs9s7d5s2s Qs9c6c4d2h 9d8d5h3d2s 9h9d8s3d2d 
Ks9s8d2s2h 9s9h8c3h2h 9s8h7s4c2s 9c7h6d4s2d 
KhJh8h4c2h Qh8c7c4s4c Js9d7h4s2s 8h5c4h3s3d 
Jd9c6h3s2d KhTh4h4c2h 9h6h5s5h2h Ah5s4d4c3s 
Jc7s4s3c2s Qs9s8s4h4d AhJs8d3s2s 7c5h4d3s2d 
Jc9d5h3s2h Td6d3h3c2c Ad5s5h5d4h Qh9d8c4s3c 
Qc8h6d4d3d Tc8c5d5c3c AcJh8d3d2s AdQh3s3c2c 
Js6d5h4d2d AdTc6h4h2h Qd8s7h5c2c As7h6c3c2h 
As8s8h8c6h QcJd9h9d9c Ks8d7d5d2c Jd8d6c3s3d 
Qh7h7d3d2d 9d7c5d4d2s 7d4h4c3d2h 9h5s3h2s2d 
Ks9d8s3s3h Th5d3s3h2s Qd9h5s3d2d 8s7s4s4d3c 
Js9h8c3h2d Th6c3d3c2h AcQc7s7c2c Jd7s5s4h2c 
9d5c3h2h2c Jh8s8d4c2d Ts8d4c3h3d Ac7s4h3s3d 
Jh8h4s4d3c Qd8s8h7c2s Js6h5h3h3d Qc8h5h4h2s 
As7d6s6h6d KsQd9c3c2h Ac8s5s4s2h 7d4h4d3d2h 
Qc7s4d3c2s Jc8c3s3h2h 9d7s6s4s2h Qd8c7c5h2c 
9s7c6d4s2s Ah9s4h2h2c 8c5d4c3s3h Js9h4h4d3h 
Js7c4h3s3d As6s3s3c2h JsJd8d3d2c Qc9d7s7c2c 
Td9d5d2h2c KsJs8h3c2s Jh9h6h5h2h Jd8c6s6h2c 
9s7s6s5s2s 9d9c4s4h2h Jc9h8s4d2d KsJd5c3c2c 
Ad9h8s4s2c Jh8h6h5h2h Qs8d6d4d2h KsJh8s3s3d 
9h7c6h4h2d Th5h5c4s3d Js9c7d3h2s Kh8d5c4d3d 
6d5h3s3d2c Ks8d5h4c3h Jd5h4d3s3c Ts8h4s2d2c 
9s9d7h3d2c KsJd7h4c2h As7h4h3h3d Jh7h6s2s2h 
Qh8s3h3d2d Qs9h3s3h2s Ad6s6h2s2c Js7d6s3h2h 
Ac5s5h5c4s Ad8s6c4s3s 6h5c4h3h2h Ks7h6d3h2d 
Kh8s6c4c3d 9h5d4s3h3c Ac9s5h4h3h Qs7c4c3d2s 
KsTd7h4h2h Qd9s7h6s2s QcTh7d4s2d Ac7c4d3c2h 
9d8h8d3d2c Kh8s7s7d3s Ac7d4c3s2c AdTh6h6c2h 
Js4s4d3d2d 9h8s7h4c2h Kh9c8h3h3d Qd9s8h4h3c 
Tc7s4c3d3c Kh7c6h3s2d Qd8c5c3s3c Qh9c5d4s2d 
Js5s5c2h2d Qs8d7d4d4c 8d5s4h3h3c Qc9s7h5d2h 
QcJs7c6c2c Jh7s6d5s2s Td8s4h4c3h Tc7h4d4c3c 
Qs8d6h4h3h As4d3h2h2d 9d8s5c3h2c 8c5d4s3s3h 
Th7d6c4h2h Qc7h5s3s2h KcQc8c4c3s QsTh6d3c2d 
Th9h5h3c2s As8d7c4h2c KhQs9c3s2s Tc6s3c2s2d 
Td9s5s4s2s QsJc7c4c2d Qh8d7d4d4c KhJc6s6c2c 
Jc5c4s4c3d Qs9h9d7d2d Kh8h6h3d3c Ts6c5c4h2c 
8h7h4h4d3s KsJs3s2h2d Jh7c5s4h2h QsTc3d3c2h 
QsJh8c3s2s 7c5d4s4h2s JsJc4d3d2h Th6s5c3d3c 
Tc9c5d3c2h Qs8d7h5c2c Jh7s6h2s2h Ts8d4c2s2h 
Th8h6s3d2c Qh8s8c7d2d KhQh8h4d3h Kd8s4s4c2c 
Ts8s5s5d3s 8c5d4h4d3d Qd8s8d4c2d 9d8c5d3d2h 
AhJs4s3c2s Kh9d4h4c2s Ks7s7h3h2s Ah7s7h7c5s 
As6h4d4c3c As9d6h3h3c 7c5c4d3s2h Js7d6h3d2h 
6d5s5c3c2c Qh8d6s4d2d AdQd8d3d2c Qd8c3c2s2d 
Td6c3c2d2c KdQs7s3c2h AsQh3h2h2c QcTh6h3d2h 
9d8c5d3s2d Qh9c4d2d2c KhJs8h3h3d 6s4s3s3c2c 
7d4s3d3c2c Qc8h4c3c2h AsQsQhQc8s As8c6c4c3d 
Ad8c5c4c2h Qd4s4h3h2s Tc6d3s2d2c Ad4s4h2h2c 
Kh8h8c3c2h QcJh8d3s2h Jc7s6c3d2d AsJd5h2h2c 
9h9d7d4s2d AcJh4h4d2h JsJd7h3c2s 9s7c6d4d2h 
Qd9h8d2d2c Ts9s5s2h2c Kh8s7s4c3d Jd9d7s3c2h 
Ac6c3s3c2h Ah7c4h3s2h Kh9s4h4c2d AdTs5h3c2s 
Ks9d7d4d3c Ad8d7d4d3d QhTs4d3c2d Jd9h8h4c2h 
Ts8h4d4c3h Ac9s8d4h2s Qd9c7c6h2c Jh8s4s3c2c 
Th6s6c4c2d Jc6s6h5d2h KsJs8s4d2s KhTc8s2s2d 
7c5s4c3c2h Kd7d6h3c2s Kc5s3d2s2d Jh7h5d4s2h 
KsJc6s3s2d AhQsQhQc8h QsJh7c6d2c Kh9d7d4d3c 
Jd9d6s3c2h 8d8c6s3c2c Kd8c7s7c3c Ac9d8s4h2d 
Qs8d7h6c2h Td7s7c5h2h Kc7c5h5d2c Qd8h6d2s2c 
Qs9s5s3s3h Jh5h4s3d3c QhTd7s4d2d KhQs7d7c2s 
8c7h5s3d2s Qc8s8h7d3d 7d6c3c2d2c Js9h5h2h2c 
Jd9s6d3c2h Ks8c7c4h3d AcTd6s6h2d Tc6h6c5d2c 
Qc5c4c3s3d 9d8h7h4s2h Qd9h6h4s2c AcTsTdTc3d 
9s7d4h4c3c Ts5h4s4c3d Jd9h5h4h2h Kh5h4c2s2h 
AdQd7d5d2d Qs7h6d5h2h Th7c6c4d2c 9s8h5s3s2c 
8s6s4c2s2h Jd4s4d3d2s As7c5d4d2d Ah9d8s3d2c 
KhQd9c3d2d 8h8d6d3d2s KhJd8h3s3h Tc9d7c3h2c 
Td8s4s4c3s Td7s5d4d2h QsTd7c4d2d Th9c5h3s2h 
9s8s4s3c2c KhJc4s3c2c 6d5s3c2s2h 7h6c4s4h2h 
Ac9s6h3h3d Ts9d6d4d2d Js9h6h4d2c KsTd6d3c2h 
QcTh3s3d2h 7d6h4h3c2s Qs6s6c2h2d Ah7s7d4c2d 
QsQc7d3s2s KdQh7s4h2h Ac7s6d4h2d As8h6h4h3d 
AdJd4d3s2d Ac9c8s3c2c Js6d5h4h2h Qh9c5s5d2s 
Th9d5h3c2h 9s7h6s3s2c AdTsThTc8d 9d8d5c3d2s 
Qc7s4s3c2s Qd9s9c7c2c 9d7d5h3d2s 9d6h3h3d2d 
QdJs7s3h3c KhQd3d2d2c Kc8h8c4s3c Qh9h9d4s2h 
Js9s7s4c2h Jd6h5c4h2h Ac9d6s4h3h Jc7c5h5d2s 
Jd9c6h4s2s QdTc5s3s2s 9d9c4d2h2d Qs7s7h3s3c 
Td5c4s4h3d Qs6h6d4s2s KcJs7d3h3d AcTc4c2d2c 
JhTd7c3d2d KsQd9c3h3c Kh6d5s3c2s KsKhKc2d2c 
Jc7h5d4d2s AdJs6h4h2c 9s9d6c3h2c Ad9h8s4c2h 
9d9c7h3s2c 7h5d4c3s2c Kc9c8s2d2c KdQdJsJhJd 
Ks7c6h3h2c Qs7s7c3s3d KhQs8s4c2s Jc6c5s5c2d 
Td6d5d4d2c Ad7s5s4s2h Qh8d6c4s2c Jh9d7s4c2h 
Jd6d5s5h2c 9c8h6c3d2c QcJc8h3s2c 7s4h4d3s2d 
AdJs8s3s2h Ad9c8d3d2d Js8c3d2s2d Js5s4h3d3c 
