AdKh8d8c3d 
Js8h7c6s3c KhQsJs7c3d 9s9c6h6d3c QsTc6d5s3s 
KdQd8s8c2s Qh9h9d7h5s QhThTc9h2h QcTh6d4h2d 
Ah8s8d7c5c Js8s7s7h6c AcQsTs4s3s KcJhTs6h2d 
QsTc6d3s2c KdJd7h4c2c Ad7s6d4c3d KhThTc8d2h 
KdTsTd9d2d Ac7s6h6c3c Qc8s8h6c5c Kd9c8s6c5c 
TdTc9d3h3d Kh6h6c4c3h KhTd8s5d4c QhTc8c4d2d 
AsTd9c6d3h KsJs4d3d2h JcTc7h6h2c Th9s9d5s4c 
Ts8c6d6c5h KhTd7s6c2h Ad8s8d7h3d JhJd5h3s3c 
Ad7c5s5d3d Qd8h6s6c5d AdTh9s5s4c Ts6d5c4d4c 
JsJh9d4d4c 7h6d5s4h2d QsJd8d4h2h QdQc5d4h2d 
QhQcTc5c2c Qs8d6h5h3d Ad9h8h6s3s JsJhTh3h2d 
KsQh8h6h4d QcTc6s4c2s 9s9h8s8c3s Kh9h7d5h4s 
As9d4s4d2c Qs6c5d3s3d KdQd9h9d6d Ks8s7s6d4c 
Qs6h5s4h3s Jc9s8h4h4c Qh6c5h4d2c AhQd9s5s4c 
KcQc8c6c5s Kh9c8h6s6h Js8s7h6h3s JcTc8c5h5d 
Ac8h6s4d2c KsTh4s3c2h QhTc9s5c3c KdTd4d4c3c 
KhTsTc6h2d KcJsTh7c2c ThTc6h4h4d Qs9s9d7h2h 
AsJcTh5c2c JdThTc7h2s AhKd6d5d3d QsJd7c6d4h 
JcTh4d3c2d Ks7h5c4d3s AcTs8h5h5d 9d8c6s6h5s 
AcJs9s7d4s QhQd5h3s2c KcQdJd5d3d QdTc7d4h2c 
KsJs9d6c2h As9s6h4s3h KdTc4s3c2d QsTd6s6d2s 
AcTd6s4c2h QsJc6h5h5d AhJsTd3s2c Js9s8d4h4d 
Ts7s7h5h3h Js8s7c6c3c Jd9c8s4d3c QcTs6h5c3c 
Kh6d5h5c4s AcQdTd2s2d QhJh8c5s3d AhQc9c8c2s 
AhKd8d4s4d Ac8c7s3h3d 9s7s5s5c3c QdTs4h3s2d 
Qh8h5s4d3s AsTs7h3s3d Ac9c6d5c3h AdTc9c7h2s 
AdKh8h4c3s QsJh9h5c3h Qc9s6s4d3d 6s6c5d5c3h 
Td8d6c5d2c Tc8s8d5d2s Qd9s9d5h4c QhJd7c5d2c 
Kc8s8c5s3c Ks9c6s5c2s KsQdJh3s2s JdTc7c5c3h 
AcKcQc8s2c KcTsTh7d3h AsKh8h4h4d 6s6h5d5c4s 
Kh5c4s3h3c 9d8d6s5h5c QcTs8c5d2h Kd7d6d5s3c 
QsQc5s3d2h Kc7h6d5s4d KhTs6d5s4s KsQs8s6d6c 
Qh9h5s4s3s Th8c5c4h3d KhQdJc7s4s KsTc5d5c3d 
JdJc8h3d2c AdTc6s6d2h AsTh7c5h2c Jc8h5d4d2c 
9s9h8s8c4s Kd9s9h7d5d KhTc9s6s4s Qd8s6h5c4c 
JsJh8c5d3s AhQh5c4h2s AhQh5d4h2c Td7h7d6s5c 
QsJs7s6d6c Jd8h8c6d3c KcTd9h5s2c QhTd8s6c3d 
AsTh6s6d2c KcJc9h7d4c Jd9c7c3h3d Th8h7d6h4h 
Tc9s6c5s2c KsTd4d3s2d AdTc5h4d3d KcQc9d6c3h 
JdTsTc4h2d Jc8c7s7c5h KdJh8s7c4h KcJh6s5d4d 
KcQcTh9c2c JsTdTc4h2d Qs9s8s6s5d As8s6d6c4s 
KhJs6h3s2c AhKcJs4s2s 9d8c7s7d6d Qs8h6d4h3s 
KcJsTh5d2h KhTs8h3s2s JdTh8c5d2s AcKc7c6s2h 
TdTc7s7h3d QhThTc8d2h KhQcJs4s4d AhKc9c6d3c 
JdTh8s5d2c JhTh9c5h5d KcJh9h6s4d AcQhJs8s2s 
KhTh8h7d4h 9s8h6s6d5c Jd8h6d5c4d Th9s8s8c5d 
QsJc9h6d3c AsKc7c3h2h KhTs7d2s2h Td7s7d6s3d 
AcQsQdQc4d Jd9h9d8d5c Qc9s9c7h2h QhJc9s5d3d 
Qh9h7c6h5h QcJsTd4d2d Tc9s9h5d5c 7h5h5c4s3s 
JsTs7h7d2d KhJh7s4c2c AcThTc4c2d Tc9s8s6s4h 
QsJh3s2h2c KhTs7d7c5c Td8h6h5c4s KcQs8h6s4s 
Tc9s9h5h4d Kd8c5s5c3d Js9s9d4d3s KdQs9s5c3h 
KhJcTd4d2s Ts9c8c3s2h AhKh9c2s2d KhThTd9h3h 
9d8h6s6c5d Jd9c8d4h4c QcJd9h8d3s KcQd9h3c2h 
QdJh8c3h2d QhJs9d5c2h 8h7d6c5c3s QhTc8c7c4d 
Td9d8s3h2s AdTh9c6s3h 9d8c5h3h3c JsJc8s4s4h 
QdTd6c4c2d Th8c6c5h2c Ah9h6h5s5d QhTs5c3c2h 
KsQd6d4h3c Ts8h6h5d4c KhTh8h7s4h KhQs4h4d3c 
KdTd6h5d3s Th9h7s6h3c KdQhQd4d2d AcQsJh8h2h 
JhJd9d6d3s Kd9s9c6c5h AdQcJh4s2s Jd8d7s7d6h 
AsQd9d8d2c Qc9s9c7h5c 8h8c7s4d4c KcJc4d3d3c 
KdQhTs7d2c As8s7c5s2d Th7h7c3d3c QsTh9d4c3d 
KhTd8d2h2d As8s5h4s4c Th8d7s5s2h JsJd8c5h3d 
Ts8h8d7c5h KhQd8d6d4c KdQd6s3c2c Kc9s5s3s3c 
AhJs9d8c3d Jd9d7d7c3c Qs8s6h5s2h Td8s8c4d3c 
JdTd6c4s4h Ts8s7d5d2c AcJc9c8c2s KcTsTc8d2c 
JhTs9s5d5c 9c7s6h3s3h Jh9c8d4h3d KcQd5h3s3c 
AdKs9h5c4c KsJs9h7d3s QsTd7d6d4d Jc9d8h4c3d 
AdKd8h4s3d AhTd9c7c2s Ad9s6d5c4d QhJd9s8c4d 
QsTh6d3s2h Qc8c7d6h6c AhKhJh8s2h AhJd9d5d4s 
Js8h8c7d5c Kd6s6c5d3h Qh9c7s5c2h As8c6h3s3d 
KsTh9c7d3d AdKd9d6h4d Tc7h7c3s3h AhTd6c4h2s 
Tc8h8d5h2d Qc8s6h6d5c AhJs5d5c2h JhTs9d7s2c 
Ts8h6s5h2s Qh8c5h5c2d Td9s7c5h4h AcKsTs4s3s 
JcTd8c5c3s JcTs9s5h5d Jd8s8c7h6h AsQd9h4d2h 
JdTd9c6d4d KdTc9s6s4s Kd9s8s7h5c Jh8c7s5c4c 
8d6d6c5s5d QhTd6s5h3h JhJd8s5c3h Th6d5s4d3h 
QhQc9h6h2d KcJh7s5d4d 9c8d7s4s4d Jc7s5s4h3h 
8c7c5h4d2d TsTc4d4c2s 7s6h5d4h2d QhTs7c6h3h 
Ts8h7c4h3s 9c8d7s4d4c 9h7s7d6c5h 9d8s6c5s5h 
Kh8h8d5d3h Jh9h7c5c2c Kh5d4h3s2d KdQdJh3d3c 
Tc8s5d4s3c 7d6d5h4c2c Qd6c5h3h3d Kh9s8d5c4h 
AdKcQd8d2d KhQcJs3d3c AcTs9h5h4d 9s9d7c6s4s 
Ts9h7s6d3s Jh9d7c6s6c Jc7d7c6s5h Jc9h9c8c5s 
QsJh9d6c3h Kh9s5c4s2h Qh8s5s5h2d AsQs9s5c2d 
Jc8d7d6s3s JhTh8s5d3h As7c6h3c2s QdJsTh7h3h 
QhJs9d8h4h AdTd8d7s2d Qd6s5s5h4h AdKh6s4c2h 
Jc9d9c8c5h KhQs5d3h3c AcJs9s7h3s Ah9c8c6d5c 
QsTs8d5c3h 9s7s7d5c2d Kc8s5d5c3s Ac8c7c6d4c 
AdTc9h6s6c JsTd5d2s2d KsJhTd4c2d Kh9d5d4s2h 
Th9c7h6s3h Ts7s7c3h3c Td8h5d4h2s AcJc8s8d3c 
QdTh6s5h3c Qh9s7h7c5d QcJc8h4h3c Js7s7h6d5c 
Qh8s7s6c2h QcTh9c5c4c Td9h8h3d2s AsJcTc4h2c 
Kh8c7c6d5c AhKs5c3s2d JdTh7s7h2s KdQhJh5h5c 
AdQd8d4s3c KsTd8s5c2h Jh9d6h4c3d JdTd7d5c2c 
KcQd9s3c2s QsTh4d3h2s Jh8s5s5h3d Qh9s6h5s2h 
AhTs9c5c4d Jd9d7d6d5s Td8s7d4c3c AdKs5c3s2h 
As8d7c6d3c 7h6d5s4d2s QsQdTd5d2d 8c7s6c4s3c 
AhJsJd5c2d JdJc7c6d2d AsKc8c7d2c Ts9s8d4d2h 
QcJs6c3s2d KhJdTd8d2c KdJh6s5c4c QsQd5d4h2d 
Jc7d6s4d4c 8s7d5s4d2h Js8h5h4s2d Tc8c7h4s3s 
As8h8c7d6d AdKh8h5s3h Kc8s5s5d3c 9h8d5h5d3s 
8d6s6c5d2s 9c7d6h5c3c QsQh5s3c2d JcTd7d5s3d 
KcJsJd6c3c KcQd9h8d5d 8d8c7h2h2d Kc4s4c2s2d 
QhJd8s3d2h Ah9d8h7h4h Th6c5d4c3h TsTh5h4h4d 
AcQhJc4c2c Js7s6c4c3d Ac9h9c5c3d Qs9s8s6s5c 
Qc9h8s4s4c 9s8s6s6c3c Ks5h4c3c2s Qc7h7c5h3h 
KdQc8s6c4c JhTc5c4s3c AcQsQd7s2s AdJsJc5h2c 
Ad7s6d4s2d Jc9s5s5h3h Ac7c6d4s3c AsKc6d4h2c 
Ts8h8d3h3d Tc7d7c5s5h As9c5s5c2s Kd9s9h6h5c 
Qc8d8c6s4h KhTs7c6h2d Tc9h9c6s3c Qh9c7h6d4s 
KcTdTc8s2c TsTd7h7c3d 8c7s5c4s2d Qd9s6h5c3d 
Jh9h6d4d3s Ah8c7s6c5c KhQh7s5c3h KsQdJh3h2c 
KsTc8d5c4h JdJc5c3s3h KcJc6h5s3c KsTc9s6s3s 
KdTh9h7h5h KhQh7h5d4h QhTs7h7c2c AdKs7h6c2s 
Qs9s7h6d2d Qh9h7c6d2d Td9c7s7d2c Ks9d6s5d2s 
Qs9s9c8h5s Qs6d5s4c2c Qs8s8h6c4d KhTc8s4s4c 
KsJh5c2s2c 9h9d7d4d3h 9s8c7s6s6d Ad7d6s4d2s 
KcQc6h3d2d AdKh5c3h2s Td9s7h5c4s QhJsTh3c2h 
QsTc7d7c5h ThTc9s7d4d 8s7s6h4d2d JdTh9d5d5c 
KsJs6s6h5s QsJc9d5h3h Jd9d8c7s4h KsJdTs8s3s 
KdJd4s3c2c Ac7c6d3s2d Kh9s8c6s5d KdTc8s5h3d 
JcTs8c5c3d QhTs6s2h2c KhQh7s6h4h QhTh9s9d5h 
AsKs6c3s3h Kd9s8s7c5h As9d5s5d2s Ad9s8d5c2d 
KcQh9d7s5s 7d7c5d2h2c Td9h7c6h3s Jd9s9c6d2c 
Ah6d6c5d3c AdKc9h7s3h TsTc9d4h4d Qc6h5s3s3c 
QsQc3h2d2c AdQh9s5c4c JhJc8d5s3h Ad9h6d3h2h 
Jd9d7h6h2s As8s5h4s4d KdTs9s8c5s QcJs9h9c4d 
KcJh7c5s3c 8c7d6h6c5s Qc9h9d7h2c AdJc7c6h4c 
QcJc5s5h4c JsJc5d3s3h AdQsQdQc4s Qs9s9c7s5d 
KhQhTs9h2h Qs8c7s6c2h QdJd9s7d2s Kd8d7h6h2d 
JsJc5s3h3d Tc8c7d4s3s KdQs9d4c2c Ts8h7s5d2d 
AdQhQc7h2h KhJcTc8c2d 9c8s7s7d2c Ks8s6d5s4h 
QsJhTs7c2d QcTd9d8s3d AsJh8h6c4h AcJsTh5s2s 
Kh9c8c7d5s Qd9s6d5h3c Ts6c5h4c3s AsTs7c3s3h 
9s8d6d6c3s AcJdTs7s2s Td9c8d6d5d AsJs6c3c2c 
Ac9h6h5s3s AhQs9h5c2h 9d8d6s6d3s Ac8c7c6h4c 
AsQc7d6c2d Jd8s8c6d3c 8h8d5s5d3c AcKs8d5s2s 
Ks8h5h5d3s AcQs5s5h4s Js7h5s4h3s Js8c7s7d2c 
KhJhTc3h2d KsQsTd9s2s JdTd7h6h2d KdQc8c6c4h 
KhJs8h6c4h 8c7c6d5c2d 6s6d5d5c3h 9d7d7c5s2c 
QhTc7s7c5d Js8h8c6s3c Jd9s8h6s2h Th9s9d3s2d 
KsQd8c7d2c Jh7h6c4c3d Kd8s7s4c2d AhQc9h5s2h 
Th9s7c5d4s 9c8d5d5c3s QsTs5c3d2c QsJh7c5h2c 
8s8h7c6s4s Kh9d7c5h4h JhJc9h6h3s QdQc8c7h3s 
Ad9d6d5s5c TsTc6c5s2c KcTd6h5d2h QsJs9h7s2h 
Jc7h5h4s3s KcTc9s8d3c 9s9h7d6s4s AdKhKdKc7s 
Qd9d6d6c3c Ah8h6s6c4h QhJd8d3h3c Td8d5h4h2c 
Tc7s5s4s4c Ad6d5c4s3d QdTc9s7h3s As7h6c3h2s 
Qc8c5s4s2d KdJc8h3d2c Jd8h8d5s5d Qc8h7c6h2d 
6d6c5d4d3c AhJcTc5d2c Ts9h8s3h2c KsTh9s4c3s 
KhJdTs5c2s JsTs7s5c2c QhTs9c5h5d 8d7c6c4d3c 
KsJhJc7s3s Jh9s7s3h3c KdTc4d3s2c JsTs8s5h5c 
QdTh6d3h2s 8h7h6d4c2c Jd9d7d6d5c Td9d8h7d4s 
QhJc6c5c4c KdJc7d4h3s KsJs4d3s3d KhQhJs3h3c 
Ad6d5s4c3d QdJcTh7s2d 8h7s6s6d4c 9c7d6s5h3d 
KdQcTs8h3s JdTh7h4c2c QdJhTh2h2c KhQcTh5h5d 
AhQh9c5s2h JdTsTh4c2h 8s7s5h4d2d JcTsTh7s2d 
Tc8s8d6s4s AsQd9c4c2d Kc9c7s6c4d JsTd8c3c2d 
Js9c8d4s3c Qc8h5h5c2d AhKcTs5d2s AdTc7h5c2h 
KsJd5c2s2c AdQsQdQc3c Kd9d6d5s2s AhKh8s4c3h 
Ah9h8s3s2h QcTh8c5s5d Td9s9c5s4h Jd8h7d7c2h 
KhTd9d8c5d KhTd7c6s2h AdJhTc6h3h KcJd6s3d2c 
Ts9h9d7h3c AcQc4d4c3s AsQs9s5h2d AcKc6d3h3c 
AcKh9c5c2d Ah7h6s3c2s AdJd8h4d3s JsJh8s4s4c 
AdKsKhKd7c KcThTc8s2c 9h8s7d6h4c KcTd8d3d3c 
AhKh8h3c2c KcQc9s9c6c AhQdQc7c2c AdQs9s5s4h 
Th8h6s6c3s 9h7d6h5s4h As9c6c5d3d JcTh9s5s5d 
Jd7c6h4d4c QdJhTc7d2s 9s8h7s6s4c Ts9s8s6s5d 
6h6d5s4d2h Kh9h8c4c3s Jh9s8d4h4d Ah6h5d4s4h 
AdKd9h6d4d AsKcTh7d2d Ks8s7s6c4d Ah8d7c6d5d 
Js9c8s4h4c Qc6h5c4h3c KcQh9h3c2c QsJc8d3c2s 
Th9h8c4s2s QhJd6h3d2s 8h7s5s4d2d Tc7s7c5h5d 
AhQdJs4c2c QcTd7s5h3c JcTh9c5c3c Td8h5s4h3d 
KsTh5h2s2c 9h6h5c4h3c Th8s7h5d2s QdTd7s6c3d 
KsQsJh7s4s JdTc9s4s3h KhQdTh5h5c JhTc7s5s3d 
KdQh9s7h4c Kd9h5h3h3d AhQdQc7d2d KsTs6s4c2c 
QsTs6s5c3h Jh9c6s5s2c Ks9c5c3s3c KsJc8s8d5s 
KhThTd3s3h KdJh9d7s3d Qc9h7d6s6h Ah6h5s4h4d 
KcQc6s3h2h TsTd6h6d3c AdQsQhQd3s KsQh4s4d3c 
JsTc9d2s2h Ts8d6c5d2c AdKd7h3s2c KsTd4s2d2c 
9c7c6c4h3h Kc9d5h4d2c KdJhTc6c3c JhJc9c5s2d 
7h7d5d2s2h Jc9h8d5c4s Ts8c7d5d2s Ad8c7h6s6c 
Jc8c7h7c5d Qh8c6d4c3h AcKs9d5h4h QcTh6s5c3c 
JcTc7s4h4d QhJc6h6d2d Td8s8d5s2s KdTh5h3h2d 
Tc9h6d5s3c Qh9h9d7h5c JhJd9d5s2c AsKs8c3c2s 
Js7d5d4c3c Tc9s8s3c2d Ks6d4s4d3d Js9h6d5d2h 
JsJh9c5d2s 7s7c5d4s2c Td7c6c3h3d KsJcTc8c2d 
Ah8s6c4d2h Qc9s9d6s2d ThTc9h3s3h Qh8h8d6c4s 
AhTh8h7c2h Ks8s7s6c4h Qs9s9d8c5s KdTc4c3d2c 
8c6h5h3d3c JsTs4h2h2c KcQsJs5s5d AsKs5s3d2h 
KsJs4d3h2h Kc9d8s5h4c QsQd6c5s2s Tc9s8d6c3h 
9s7d6h3h3d JcTd7s5s3h KsTs6h5s3c Ks7c6s4h2c 
Qd8h6c5c4s AdKc6s6h4s QdJh3d2h2c 7d6c5d4d3h 
9s9c7c6d4c KdQdJh3s3d Th9c8d8c5s Jc9c6d4d3s 
AhKs8h8d3h Qc8s7c5s2h 9c8s6d6c5h Ts8d8c3d3c 
Ah8c5h5d4h Qs9s7h6c2c AcKc8c3h2h Js8d7h5d4c 
9c8h6s6d5d Kh8h8c5s5d QsQc9d7h3d Tc8d6s5d2s 
Ah9d9c6c5s KhJh7s5h2s JsTc6d5c3c QcTc6s4s2c 
KdTc9h6h4h Kh8d7s7h4c Qd9h9c7c2d QhTd6c4d2c 
QdTh6h6d2d KsQc7s5d3s Jc9c5s4d2d 9s8c6h6d5s 
AdKc3d2s2h KdJsJdJcTc QsJh8h3s3d KdQd6s3h2h 
AhJcTd5c2c KcQd9h5c3c Ac8d5s5c4c 8h7d6h4h3d 
Jc8d8c5h5c QhTh9h6c3h KsQd9d5h3c 8h8d7c6d4d 
JsTs9c5s5h Ad8c7h4d2s 9d7c6h5s5h AhTc7d5c2d 
AsKd9d6h3d 9h7c6s5h3h 8s6c5h5c2h AcTh6d4c2s 
QhTh5c3d2c AcJc8s6c4c AsKs9h3d2c AdTc9s5s4h 
Th9d6h5s4c KcTs7h7d5h AcKhTh3h2d AsQh9c5c4d 
AhJcTs7s2s Th9h8c3d2c 9s8h7h7d2s AdQcTd4d2d 
QsQc9h7d3h Ac9h9c6c4s KdJh8c6d4d KcTh9h9d5s 
KcQhJh5h5d Jc9h6c4s3s KdTs7d5d3c Jh9d7s5d4c 
JhTs7s7c2c Jh8d7d5c4s AdKcQc9c2c AcTd5c4s3c 
Js9h7c6d6c KcQcJh7c4c QcJsJd6h3h Ad9c8c6s5c 
AcKs8s4d3h KsTc4s2d2c 8c7h6s6c5d KsJs7c5s3h 
AsKs5s3h2c AsJcTh6c3c AsKcJh7h2d KcJh9d5s4d 
QdJh9s8c4h KhTd7s2h2d JhTd8s7c2h Tc9d7d5h2h 
Ac9h8s8h5h KsTh8s3h2h Td8s8h5d4c KsJs5h4d4c 
AdJhTh4s2h ThTc5h5c2h Ah9s6h3d2d QdTs9s8c3s 
9h9c6s6d3h Qc9h7d4d4c Qs8d5s5d2c 9d8d6s4h3h 
Ks9h8c5s4d Td9s9c5h5d Kd7s7c4s4c Jd9c7s5c4h 
Jc9d5h4c2d Ks5d4s4d3d 7s7c5h4c2s Jd8s8h6d3h 
Qd9c8c7d2d Qd9s9c6s2c KdQd9h6d3c 7s7c5h2s2c 
AhQs6d5d4c JcTd6d5d4d KdJh8h3s2d AcTh9h8h3h 
JhTd8s6d3c Qd9d7c6s2s KsQdJh9c3c Ts9s9c4d3h 
QhTh6h5d3c KsJh5c4d2s TdTc7d6d2c AcTsTc5c2d 
Ad7c4h3c2d Tc9h8s7d4c Qd9d5h4h2s Jh9c5d5c3d 
Js7s6d4c3c As9h7d4h4d JhJd5s5c3d JhTh7d6d2h 
QhJc8h7h5h KhQcTh5s5h Kd8h7s5d5c AdTs5h4d3d 
KcQd9d7d5d AcKs7d6h2s AsQcJh4c2c Qh9s8s7h2h 
AhKhQh8h3c KsJhTd5c2d QcJs8s4d2d AhQd5s5d4d 
Qd8c6d5c2d Jd9s7h5s4c Ac8d7d3d2c 7h6d5d4d3c 
Jd9d8h7s4c KdQd6s3c2s Ks4s4c3s3c KdQhQc4s2s 
Ts8h8d6c4c JsTc4d3s2d Ad8s7h2d2c AhTd5h4h3s 
JhTh7d3h3d AhKs7c2h2d AdQh9h7h4s AdJd7s7d4d 
QsQc6s5s2h Tc9s9d6s3h KsQc9h8c5c KdJd7s5d3c 
QhQc6c5c2s 9s9h7c6d4d AdQhQdQc3h QsTh8h8c4h 
AsKd9s5s2h QdTc7h5s3d QhJc8c4d2d KhTh8h7c4h 
AdQc7h7d2s AcJhTh4s2h Ts9d8d8c5h Qd8h8c5h2d 
Th9c4c3s3h KcTh7c5c3d KsTd5d2s2h Tc9c8s7c4h 
KcQs9s6s4d Td9d6s5h5c AdQd9d8d4c Qc9d8h4h4c 
Th8d7h4c3c Jc8s7h5s4d KsTd6c5h2s TsTc8s8h3s 
JhTc9d4s4c KhTs4d3h2s KdJs8d5h3c Qh8h5c4d3c 
AcQh9h8h2s KcJc6d5s3c AhQc9c8c3d AsQs8s4h3d 
QcTd5c2s2d QhTs7c4h2c Kc9c6h6c3h AsQh8s6c2s 
AhKh5h3s2c Td9s8c7h4d 9d7s7d5c2s 9c7s7c5h2s 
Qc6s5c4h2h QdTs9h5d5c Kc9s6c4s2d 8d6s6h5d2h 
Qd6h5s3s3d KsQd9c5s3s QhTh9h6d3h 7h6s5c4s2c 
Th9s9c6h3d Js9s7s6s5d Jh9h8h7s5h 8h8c5s5c3d 
8s6s6h4h3d AdTsTh7h3h KsJs9h4s4h Ad8h6d3h3d 
KsTc9d2d2c ThTd9c6s3c Jd8c7s6s5s Ts8c5c4s3h 
6s6h5h5c3d AdQh9s4s2h KsTh8d5h4c KcQd9c7c5c 
Qd8s8c5c2d Td9c7h5s4c Ts9h7h5c2c 8d7d5s4h2h 
AhKs8s4s4d 8h7d6s6d4c AdTs9c3s2c Ac7c6s4c2s 
AhQc4s4c2s KcJhTc8c3c Qs9h8s5h2s KsKc7h6h2h 
Jd9s6d4h3h QhTd6c3h2d KhQcJs7d4d QsJd9h5c3c 
Qc8d7d6s2c AhJh6s4h4c QdTh5c3c2d KcJd8s7h4d 
AcQh9h9d4s 9h8s7s7d2h Kh8h6c4h4c AsTh5d4s3s 
Qc8h5h5c2s Th9c7h6h2c KhTd9s5c2h Qh9s6c5h3d 
JcTc4d2h2d Kd9d8d8c7d Ad7d6d4h2h Jd8s7s6h3h 
9h9d6s6c3h AcKc9s3h2d 9d6d5s4d3s KcQcJs3d3c 
Td9d8s4s2c AhKh9h6d2c JsTs6c4d3h 9c8s5s5c3h 
KhQd9d5c3s KsTc8s5h2d AhKd6s4d2c TdTc7s7h3c 
JhJcTs5s2s 9s8s6h4c3c Ah7s6c3s2h JsTd7s6s3h 
Jc9h5d4h3d KcTh8h2h2c 9d8c6s6h5d Js8s8d6h3d 
AcJd8h5d3s Qc9h8c7c3h AsJdTc7h2h JsTd9c5h5c 
AcKc8h3h2c Ks8h5c3s3h 9d8s6h6c5d Ac8s7d6s6h 
Ts9c8d5s4h As9c6d6c4d Jh8d5h5c2c KsQc6c3s2s 
7s7h6h5d3c AcKh8h4h4d Th9s9c7d4h TsTc7h7d3c 
Jc9s5c4s2h KcThTc9c3c Tc7d6h5d4s AdJd7d5d3c 
Tc8h6h6c2s QcTc6c5h3s Ac9h9d6h5s KcQh9s5c3c 
AsJhTc3h2d Ad7c4c3d2h QcTd9h5d3d Jc7c6s4d3d 
Jh8d7c5h2d JdTc4s3d2s QsTh9c7d3c KdQc8d8c2d 
QdTs8d5c2h AcQs8s7d3h Qd8s8h6s5c JdTs7s4c2c 
9h7c6h5d4h Js8c7s5s4h Jc9d8d4c3h AcTh7s5s2h 
Ks7c6h6c2s KcJc7d4h2h KsThTd7c3h KdTc9s9c5h 
JsTd6d5d4d JsTc7c6c4c 8s8h7h5s2s QhQd8h3c2c 
9h8h8d5c4s KdJc9d6d4h QdTc9s8h2s KhQh6c3d2c 
AsTd5s4c3s QcJsTd7d3d 9h7h5h4s3s QhTd5h2d2c 
AdTc9h5s4h 6c5s5c4s3h JdTd8s5d5c 9d8s7s7c5h 
JcTc8s5d5c Qd9d8h8d4h 8d8c5h5d3s Tc9h8d5s4c 
KhTc9h4d3h JdTh6s6h2d Td9c7s7h5d AsKh8c7h2h 
Ks8h7s6s4c KhTsTh8d2h JdTh9s7h2c QsTsTd9s2s 
Ac9s7h4s4h 8s8d4s4h3h AcJsTs4h2s Tc9h8d6c3s 
KdQh9h3d2d KdJsTc4c2h QdTs6c4s2c KdJc8c7c5c 
AhTd5h4c3h KhQd9c8d5d Td6h5h4c3c 5h5c4h4c2s 
Qc9h6c5s3d AsJd8h6s3s 7h7d6s5c3d JdTh7c5c3s 
KsJcTd6d3d AsTc6h4s2d 6s6h5c4h2s JdJcTd6d3d 
JsTs8s5h2d 9d8h6s5c4c Ad8s7h4d2c Tc8c6c5d2d 
Js9h8d4s4d QcTs9d5s3s AcKsTh2h2d Qh8c5d4h2d 
AsJs7s6s6h KdQsJs5s3s 9h8s7d4s4h Qc9s9d8h5d 
8s8d7h2s2h KdTc7s7c5c 8d6d5h2h2c Qs9h6s5c3d 
AdKs6c4s2h KcTs8c5d2h KhQdJd7c3s JcTd5c4c3h 
9d8d8c5h4s QdTh5d2s2h AsKc7h6d2c QsQh8s7c3d 
QcJh9s9c4d Jh8h5s4s2d Tc8c6s6d3s Td9s8d4s3d 
JsJhTs6s3s Td9s9h7h3c KhQs7d5c3s Tc9h9c4s3d 
Kd9s9c6s5h KhJd5s5h4h AdTs9s5h4s 9h8h5s4c3s 
QdTsTh4d3d AhKc8c7d2c QsTh4s3h2c JdTc8h5s3c 
AcJh8c4c3d TsTd6d5s2d AsQs9c7s4s KhTh9c8d3h 
Ts7c5c4s4c JsTdTc7c2h QcJc7h7c5d QhQd9d6d2c 
9s8c6s6d5h 9d7h6c5h3h QdJc9c5h3c Jc8d7s5h4d 
AcJsTh7d2d JcTs9c5d5c QcJd9h6s3d KsTd6h5d2h 
KdTd9s8c3d JcTh8s6h3d Td9d7c5d4h AdJc9h8s3h 
Qd9s8s7s5c AdKhJs4s2s QsJc6s6h2h Jh7d6h5c4s 
9h9c8h8d4h As9s8d4d2s QdTc4s3s3c KdQd7d5c4d 
QsQd9c8h2h QsTc8s5h5d Ad8c6d4h3s Kd7c6d4c2h 
JdTd8s4c2h Tc9h8h6h4d QsQd6s5s2c AcQc7c5d3c 
Jd9d5h4s2s Kc7d6c4d2s JdTd7c4h3s Kc8s8h7s6s 
JdTd9d5s5c KhQsTh7d2c KhThTd9h2h QcTh9d5h4h 
Kd9d6h5d4s Ad9s9d5d3c 9c8c5s4s4c Kc9s5s4d2c 
KsQs9s5h4d KhQsJs5s5c 9h9c7s6c4c AsTd6s4c2h 
Td8h7c4h3d Ad9c4d4c2s Ad8d7d6c4d Ac9c6h5c3d 
9h7s6d5h3h 9d9c4c3s3d Td9s9c3s2c Th8s8c6c4c 
AsJs8h8c3s Ac8c7c5s5c AdJh6d4s4d QhJdJc7s3h 
KsJhTc5d2c 7d6c5h4c2h QsTc8d8c4c Jc8h5d5c2d 
AcQs9c5h2c KcJs9c6c4h QsTs9s7s4d As8s7s6c4s 
9h8d5c3d3c 5d5c4d4c2s Th8h7d4c3c KcJc9s4s4c 
AsJs9s8s2c QdJs9c6h3s 7d6h5d4d3s QcTd8s8d5d 
Qh6d5h4c2d Qh9c7d6s6c QsJs8d7s5s JdTd6c4s3h 
KsQd3s2s2d KhJh9s6c2d QhTs6d3h2s Ac9s9h6h5d 
QcTc8s5c4c Kd8s7s4h2d KcJd7h4s3c Qd7h5d4h4d 
9d8h7h7c2d AsKs9s5d2c Kh8s6h5d5c AcTs9s5d4s 
Ks8s8d5d2d AcKh9s7d3d Tc8s6s6c2h JcTs5c4c3d 
