Kc9s9d4c3d 
QhJd8h7s2s KcTh5d4h3d Ad8d4s4c3s AhTd8h6s2h 
KhJs7c5s4s Ac7h5d4c3c AcQsJc7d2c Ad8d6c4c3d 
KdJhJc9c3s As9s5c3d2d Ts8c7s6s3c 9h8d7d5c2h 
AhJs7c5c2s Qs9c8c6c5h Qc8d7h5h3c QhTd5d5c3c 
QdQc9c7c4s 9d9c7d4s3s KdJs7h4s4h Kh8h7d5s2d 
JdJc8c3h2d 8c6c5s4s2c 8c7c6s4s3s KhQh7d6s2s 
JsJh6s6h2h QcTh8d5s4s As8h7s6d2c 9c8d8c7d3h 
AcQhTs4h2d KhJh5c3s2c Qh9h5s5d4s KhJdTs7s3s 
AhQs9c6s6d KhTd9s3s3d Th9c8c6s4d Qc8c6d4s3d 
TsTc8c5c4d KdJhJc5h3h Ah8h7d5h3c Jd8s5s4s4d 
QcJh5d4s3c Ks9h9c4s3h Kc8s5s4c3d Td7h5h4s4d 
JsJd8d3c2s Ad8h4h4c2d QcTd9d5h3s Qh9c6d4c3h 
QsTs7c5h4s Ks8h7d6s2d KhQhJs8d4h KdQd9c7s2s 
Qc8h7d7c6s KhQd9d4s3s Tc8d7h6s6d KsQcJd3h2s 
Jc8h8c6h3d QdTd9d8c3s AhQc9c7c5c QcJc8c6s4d 
KcQhQd8s2c Ad8s8h7h6c As9h6d3h2s AcTh9d6h5h 
Qd7d5s4c3c 9s7h5h5c3s AdTh9h8h3s As8c6s3c2h 
AdTh9c8s2h QsTd7h6s2h Ks9d8s5d2d Kh9c5c4h4c 
AcJh8s3d3c QdJhTc8c3c 9h8s7d6s2h Ks6s5h3h3d 
KhQs9s4c3c KcQdTh7d3s AhQs5c3d2h Kh7h6h6c3c 
AdJc9d4d3h JhTsTc9h2h Kc8s6s6d3c AdJhJc3d2d 
9s8s5d5c4c AcQhJc7c2s QcThTc7d4c Td9s9h7c5c 
JhJcTd8c2c 9h9c7c5d2h KcJs5d4c3h QcTs7c5s2d 
JsJc8s8d2h Qc8h6d5h5d Ad8h5h5c4c Ks8c7s7h3h 
AdJd9d8c4d Ts9s8d7c5s Td9c8s8h6c JhTh8c5s5d 
Ts9h8d6d5d QsTc7h7c3h Kh9h9d8s6h QdJh9d3h3d 
AcTh9s6h5h 9h7s5d4h3s KhTd9c7h3h KsJcTd7d3d 
QhJc8h7s2s KcTd7s4c3h 9s9h5d4h3d JsTc7d6d2s 
KhTd9s6c5c KdQh8c6h2c Qc6h5c4h4d AdKsTh8c2c 
KsJs7h6c2c Kd8s8h6s2d KhJc4h3d2c AdQhJc6d2d 
QcTd8s5h4h KcQsTd7s3h JdTh9c6c3s AhJc7s5s2c 
JsJc7d5d4h JsTd9h8c4c KsJc6d4d3c KhJc9s8h3d 
KdJc6s4s3c QhJh8h6d3d QhJs7d7c6d AsThTd9c3c 
QsTs9h8s3c Tc9s8h4c3s Ah9h6c5s5h QsJd7h7c6h 
JhJc8c6c5c JsTd9h6c3d KcQhTs9s3s Qc7s7c6c4s 
QhTc9d5c4s KhQd8c7s4h Ac7d6h5h3d Js9s7d7c6h 
Jh9s7s4h3c ThTc9d8c5c KhJdTh3h3c Td9s7s6h4c 
AsQcTh5c2d Kc7s5s4c2h KhJc6c5d2d Kd5h4d4c3c 
ThTc8s7d5d QhJhTc3d2h 9s9c5c4h3h Ah9h7s6c3h 
AdQh7c3s3d AdKh6d5d3d Kc8d6d6c2h AhJd9d5s3c 
TsTh8c5h4h KdQsJh9h4c KdJsJc5c3c 8d8c7h5s5d 
As8h4s4h2h KhJs8h4h2s KsQh8c6c5d AdTs5d5c4d 
Th8c5h5c4h KhQc6c5s5d QhJc8c6s6c Qs9c7d6c5h 
AcKs6c5c3c QsTs9d3d2s Qs9c7d7c3s Kh9s7d5s3d 
Qh8h8c6c2s AcJh8s6h6d AhKc8d6s6d As8s7s5c4s 
Th9s8c4h3s JsTd6c4c2d 8s8h7s2h2d Th9d7h4d3d 
Tc9c8h7s5c Qc7h6c5h3c AcTs8h5s2h QsJd4d4c3c 
AdQc8h4h2c AhQs6d4h2c AcJs9h8s2d KdQd8s6h4d 
QhJc8h4s3s Kc7h5d3h3c Jd9d8s6h5d Td7s6c4s3d 
9h8s8h5h3s Ac7d5c4d2c KhQc7d6d5d AdQsJd7h2d 
Qh5h5c3s3c Js8h6s5h3c Tc7c6d4s3d Kc9h5c4d3d 
9s9h8d3h3d AhTs8c4h3h AcKsJc8c3c AsKdQh5c2c 
Th9c7c6d6c AdQsTh7c3c AsKh9h9c3d As9s8s7c2d 
Ts9s9h8c5d 7d6s5s4h2d KdTd9h2h2d JhJc8h8d2s 
AdJd9d9c6d Tc8s7c6c3s JsJhTs5s2c JhTs5s3h2c 
Kd9s9d8c6d Kc8d5d4c3s QcJs8s7c2c Th8s7c6d4s 
KcTc7h4s3d 9h9d7d4c3c As8h8d6s4s 8h8c7d5s5c 
Th9d8c7s5d QcTh6c4h2c KcQhTs3d3c KdTd8d5c2c 
KhTd8s8d3s Ah9s8h7c3h AcQd9h9d6d KcTh9s3s3h 
JdJc8s8d2h Qd8d6s4h3s KhTs5d3s2h AhQd8c5s4c 
QhJsTc2s2d Qs8s7h7c6d 9c6s6c5s4s JsJhTc5d2c 
JdTh6c3d3c AhQd7s7c6c AdQcTh5c2s JhTd5s4d4c 
AcJd9d7h3s KcTh8h6s2s Ac9h7d6d3h Ks9s8d6d3s 
7h6c5c4d2h AdTsTh9c3c 8s8c7s2d2c Jc9s6s5h2c 
KdQsJh8c2d 9c8s7h6s2c KdQd6h5s3d Th9s7h4s3s 
QcJc9d4d2d 8s8c7d5h5c KhJh8s7s3h KdQc9d8d5h 
Qs9h9c8d6h KdQdJd5c2s JsTc9d6h3c Ah6h6d3c2d 
Kd9h5d4s3s AhQc8s5d4s Kc5s4s4c3h Ah9h8s5h3c 
AcTc6h2s2h KdQdJd9d5s As9s9d7s3c AhJh7h4s2s 
KsTh5d3h2s Qs8h6h5s3s AsQcJs7h2s Kd8c5c4h2d 
9h8s6h5s2h AhQc8s8d4c Jc8c7s6c5d AsJs6d3h2h 
KhQdJc6s3c AhTs8c5s2c KsJd7c6h3s QdTdTc7h4d 
QhQc8h5d2s Th9d8s7c5c JdTs9h6s3s Ks7c5d3s3c 
Qd9h8h5d2h AcQh8s4s2h AsQhJc7h3h Kd8s6s6d2h 
KhQcTs7c3d Ts9d7c6c3h Td8h8d5c3c JdTh5d3h2c 
AcJh9h5d3s KhTd6h4s3c QhJh5d3c2d KdJs8d4d2s 
JhTc9s8d4d 9c7h5d4c3h KcTs8s6d4s AdQs9s6c2c 
AsKh7c5d3c 7s7c6h5d4h 8c7s5s4h3c Tc9s9h4h2c 
KhQd5s4c2h Qs9h7s6d6c 9s7h5d4s3h AhKsTs2s2d 
KsTd8h8d2h KsQdJh9h4c QhJsJc8s4s QhQd9d7d4c 
QsJhTd2h2c AsJcTs6s3s JcTs7s7h4d AsJh7c6h6d 
Jd8s7h6s5c AcJsTh7h2d QhQd9s6s3c KcQc8d8c4d 
JdJc9d5d3s KcTs9h6d5d AcJs9d6h2c QdTh4h4d3h 
KcQs8s6d2d AcTc7h7d3c 9s9d4s4h3d QdTd9s8d3h 
8s8d5s4d3d 9h9c7c5s2h KcTd8d6h2h AdTs9c6c5h 
KcJh7s7h5d AhTs5h4h4c Kc9h8s8c6c Jc9c7d6s5c 
Tc9d7s6s3h Ks8d8c5s3d KhQsTs8d2c Qs5s5c3h3c 
Kd8s5h4s3d 8c7s5s5c3d QcTc9d8c3h AdJs8c5d2d 
TsTc9s3c2c Qh8s8h5c3c KcQh8h5d3d AdKc8h6s6h 
Qc8d8c6d2h Qc9h6h6c4c QcTdTc7c5c AsJs9s5s4h 
Ad8h7c3d2c AsJc9c7c4d KcJc6h6c5s AhTd8d5s5c 
JcTh8d3h3d AsQsJs6c3s 8h8d5c4d2c KsTs9s9d4h 
Qs8d7s7c6h Ah8c6h3c2d Qd9h8d7d5c KsTd9d7h4d 
7h7d6s5c4s QsTdTc6d3h AhQh8h6c3s TsTh9d6c4d 
KhJc9d5h2s Ks7d5d4s2c KcQcJh9s2c QdTsTc6s3h 
AcQdJs7h3s Jd9c7h7d5s JcTh9s9d3s AdQs6h3d3c 
AsKs7d5s2h AsQcJc6h6c AcKs7c5h2c Qd8h8c6s6h 
Kd8h7h7d3h QsQc9c7h3c AcJd9h8h3s QsJc6s3s3c 
Td9h9c4h2d Jh7s7c6s4c 9s8c6s5c2s QcJdTc4s4c 
QsTc4s4d3d 9c6h5s4s3c KhQs7c6d6c Ad8h7d5s3d 
AsJh9h7h4d Js8s7d6s5c Kc7s7c5h4d KhThTd6h4h 
KcJd7d3h3c JsJc8s6s5s Ah8c5d5c4d Td7c6s4c3d 
Kc6s5c4h3d JdTd9h9d4s As9s6c5s5h Kd9h8c7c4h 
9d6h5s4d3s 9h8h8d6s6h AhKdQs6s2c Qc8c7h7d6s 
Ts7s6h4c3h AsJc6s5d3s Jd7d5c4c3h QhQd9d8d3c 
AdTc8s6s4h As8h7h7c5d Jh8d7s6d5c Tc9h8s8c6c 
KsJd8d4s2d Qh7h5d4s3s AsTh7d5c4c AhJc8d6d2c 
AdQs4c3s3c KsQd6h4s3c AdQsJh7s3s QdTsTh3d3c 
Qh9h9c5d2d KdQh8h5c3c KdJs7c6d3h Jh8c6d5c3h 
AcTh9h5d4s Ac9h8s3d3c 9d8h8d5d3h AdQd8h7d3c 
9s8s6d5s2d AsJd6s5c3s KdJc5s3s3c Js8h6s4h4c 
TdTc6d5h2c 9c7s6c5d2s Ah8d6d4h3h QdJs8s7d2d 
KdQd9h7c2c QhJh8h6s3s QdJc7h7c3d QcJs8d7s2d 
KcJhTh9h4h Jc9h7h6h5s QdTs7h6d3c KsTd8d7h2h 
AcQh8c5c2s As9s6d5s5c TsTh8d7c5c 9c7d6s5h3c 
Th8h8d6c2c KdJs7s3h3d Td9d7h5s4c Jh8s6h5s3c 
Qc9h9c4d3h 9c6d5s4s3c KhJcTs4c3c Kc7c6s6c3s 
KsQdJc3h2s Ac8s7s5h4d QcTs8c7d4c KsJdTh6c2s 
KcJs9h6c4c Ac6s6c5h2d AsTh9h9c4h Js7s5d4d3c 
KsQdTc7d3h Kd9s8s8d4d JcTd6d5d2c KhQcJd3s2h 
AdTs9h8s4s Qh7c6s5d4h KsQs9c7h2h JcTc9d8c3s 
AsJs6h3d2d QsQc9d6d3h KcQdTd8h2s KcQs6h5d3s 
QsJhJd9d4d Jd8d7c6s5d AcTh9h8h3d QsTs9s8c2d 
QhJc9d6s6c Kh9s9h3s3c Kd5h4s4d3s AcThTd6d5d 
9h8h7d5c2d Ts8c7s6c2h 8d7s5s4h3d KcTc9h9c5s 
AcTs7h5d4d AcJc7c4s2s KdJs9h5d2c AhJc5h2h2c 
KhJd5c4h3s QsTh6h6d5c Ad9d5s3h2h KsQc4c2s2c 
Ts8h8c5c3s KcTh5s4d4c Jd8h5h4h4d AhJc8s8c4d 
JsJh8d8c3s QsTd9d7h5d Jh9h7s6c5h KdTc7c6c5c 
JsJcTs5s2h Ks5d4s4d3h JsJdTd5d2c Jh8h7c6d5h 
QhTc5s5c3s KcQh6d5s3h Th9h9d7c5h AcQd9c6s3c 
QdTh9c6s4s QhJc7s7d6d KsJhTd8d3c Jc8s7d6s5h 
AhTh6c4s4h Kh7c6d6c4d AsQh6c3s3d Qh9d7d5c4c 
9s9d5s4h3h KsTs9s9c5d QsJcTd4h4d AsThTc4s3s 
JhTd5h5c2c Qh8s8h6h5d QcJc9h8s4d QhQcJd4c2c 
AcKc9c7s2d KdTh9c6s5s Ad9h6d5s2c Th8d6d5h3h 
Jd9s8s6c3c Ah9d7s6s3d Ad7h6d2s2h KhTc7s7h4h 
QhTd9s9c2h Jc9s7s4c3h QhQdJs4h2h QsJsTd3c2s 
Kh8c7h7c3c Tc7d5s4s3c JsJh8s6s4d KdKc7s4d2d 
Qd9c7c5h4h Jd6s6h5d4h Ah8h7h5s4h Qd7c6s5s5c 
Td9s8c4d3s Td9d5c4h3h QhJs7d6s6c Kd6s5d4c3h 
TsTd7c5h4s AsJs7d4h2c JsTh8d3h3d Js8s6h5c3h 
AcJd9h7h4s AdTc5s5d4d Jd9c7s7d5h Js7d5c4s4d 
Qh9h9c5c3h Ac9d6s3d2c AcJdTs5s2h Ad8s8h6d4d 
Qh7h6s4c3s JcTs8s8d5s 9d8c7c6d3c JsJc9c5c3h 
QhJd6h4s2s Qc9d9c7c4d Tc9s6h4h3s AhQc9s9d5s 
AdQcTs7h3h Js9d9c5d2c AsKdQh6h2c Qh9c7c5s4s 
QdTc8d7s4d KcTs8s6s5d KsQh9h4s4h 9c8h7h7c4c 
KhTc9d5h4h QsQc9d4c3h Jc9h7h7c4c AdQc6c5c4h 
AsQs8s6c3d Ad8s4s4c2d Th8s7h7c6h Jh8d6h4d4c 
Kc8s5d4s3c QdJh8d7h3h Kh9d8c7c4d JsTs5d3s3d 
AdKc9h9c3s QsQdJh4d2d QcJh9c4d2d 8s7c5c4h3s 
Ts7c5c4s4h Kh8d7d6c5s Tc9d7s6c2d Ac9d6h3d2c 
KdJh7s5h4h QdTd6s6c4h Th7d6h5d3d QhThTd4s3c 
QcTs8d7s4h Ac7d5h4c3c Jh7s7d5h3s KcQh5s4d2c 
AcJs8s8d4h KdQd9c5d2c KdJh7h7d2c Ks9d5c4d3s 
Qd8d7c6h3h JdTh9s9c3c QdQc8c6s2h Ks9s9c8h6s 
9d6c5h4h3d AhQd7c5c4s As9c8c4s2s KdKc7s4c2c 
QhJc9c4h2h Th8d5h5d4h Qc8s8h6h6d AdJd6s3c2s 
Jd7s5s4h3d QhThTd7s4h AcJh7d5s4s 9d8c5s5c4d 
AhTc9s6c5c As7s6h2h2d Tc8d6c5h3d KsTs8s6s5h 
Ah9h7c6h5h QcTh7d6d5d Qh7h7d6h4d AdKd9d7c2s 
Jd9d7h6d3h Jd7d7c6h6d KhJc6c5s4c Ks9h8h7s3s 
QhQc9d6s3d Jh9s7h7c5d Kd9s8h7d4c Ks9c8s6s3c 
Ac8s4s4d2c KsJc9s8s6s Qh9h8d7h7c Ac8h5h3h2c 
Ah7s5h4s2h AdTh9h5c4s Tc8d6h5c4s AsJsJd9s2s 
Ah8s7s5d3d Ad7s6d5c2h Jh8s6h5d3s Jd9h9c7h2d 
Td9h7c6c2d QhTh9s3h2s QhTh9c8s4h KsTd8d7c5d 
KhJs5s3h2s Jh9s7d6d5d 8h7c5d4h3c AcJd6c5h3c 
Qd7s5c4d4c KhTc5d4c3d KhTc8c6d2d JsTh9c8d4d 
KdTd9h9d4c AsQd6c4s2h AcTsTd4d2s Ad8h5s5h4s 
AdTsTh4s2h As7h6s5d2c QsQc7c4h4c AsJh8s7d2s 
Ks8d7s7h6s Qc8s6s6d4d KsKh5d3d2c JsTc8h2s2h 
AcQs7d3h3c Jh9c8h6d2d Jc9d7d6d5s Kd8c6d6c2s 
Kh7d5h4h4d AcTs8c2h2d Qc8c6h5h2h As9s8d5s3c 
Ah6s4s2s2h QdJd8d6s4c KsTsTc5s5h Th9h7c5s4d 
Kh8d6h6d2s AcKc9c7h2s 8s8h7d6h5h Kh7s6s6h3h 
QcJs8s7c3s KhJc9c6c5d AcTd9h6h5s 9d7h6h6c3c 
As7s5h4c2d Ks8h7s7d3d Ts9s8h7c5s Jd9c7c6c5s 
As6c5d4s2h KdTsTc8c5h KhTd5d5c2h Kd9s7c6h5s 
Jd9d8h6s2h Qh9c7h6d5h QcJs9c7h2h JsJd6d4h2s 
9s6d5h4s3h 9h8h7s6c2c TsTc9h8c5c Ad8s6d3s2c 
JhTdTc7h3s Ks8h6h6d3s QsJs5d3c2d JsJh9h3s2h 
AcJh6c5c3d KdJc6c5h4c Tc8s7h5h3c ThTd8s5d4d 
KdJhJc5s2d Qd7d5s5c4s Th8h8d5s3s Qh9d8d6d5c 
QcTs7c4s3c Ks9c7h5s2h KhTc8s8c3s QcJh6c4d2d 
AhTd9d9c3d Jd9s9h5s2h KsJsTh4d2s Kh9d5d4h3d 
AsQd9c6h6d Js8d5d4s4d 9d6h5s4s3d Kd9c8h7h6h 
QdTc9s6h4h AsQsTs6s3c AdTh9s8c2h KcTd8h8d3h 
KdQcJs9s4h AcTc8h4s3c KsTs9s8d4c 9h8s6c4s4c 
Jh9c8c6d3d Qd7d5h4c3c QsTh8c5h4h Jd9d9c7s5d 
9s7d6h6d3h KdJd9h7d4s QsJsTs5h3s Kd5s4h4d3h 
Kh8c5c4s2h KhTh6h5d2d Ad9d7s6h3d Tc9h7c4s3s 
KcJc7c4d3d QhJcTc5c2d QcJs8h8c2h AhTs9s8d3s 
Kd8h5s4h3d Th8d7c6s4d AdTh8s5h2s 9s8d6d4s4c 
JhJd7c5c4s AhJs6s3s2h AdJs9s7s4c AhTh8s4c3h 
Td6s6c5d4c QhJc9s9d6d 7d7c6c4d3c Th9d8d6s4c 
KsJd9d4h3h QsJsTc5h2s 9c8d8c5c3d Jd8h8d7c5s 
QhTd6s5d2s Jc9s9h8s6d QhTc9h4s3d KdTh9c7d3d 
KsJcTd8d3h QsJh6h3s3h KhQd8d5c3c Qd8d8c6c2s 
Kh8h7d6c2c 8h8c7h2d2c KdJsTh7h3h Ks9c5s5h3c 
AhTc8h5h2s As8d7h3s2h Td9c5d4s4c Ah8d7h5h4h 
9s9d8c7h5h QhJd9h8s3c KsKc5h3h2d JdJcTh6s3h 
Td8s8d5c3c AsQhJh8h2d KdQhJs3c2d JdTh9c8s4s 
Qd9d7s7c3c Kd9s5s4d3s Ad9s8h8d3d KcJc9d7c4s 
Kh9s7h6d3c Kd9c6s5d4h KhQh9s9h7h 9c8d8c7d4d 
KcTsTh7d5d Td9s8s4c3d Tc7d7c6d3d Qh9h8s7h7c 
AcTs8h8d4d As7c5h4s3s As7c6s5h3s Jc9s9h5c4d 
Qc8c7s6h3h 8h7h6c4s3c KhJs7h6c2c Th8s6s5h3h 
AhJs6d4s4d Kh8d7d6h2d 9d8h6h4s4d Kh7s6c5c3s 
Js8d6s5d3c AdQh8d5s2d QdTd9d8c2h AsJc9h8c2d 
Td8s8d6c2c KsJc8s8c3s KdQc8c5h3h 7s7h4s4d3d 
Kd9d5s4s3s KsJc5c3s2c JhTh5d5c4s AcTh8c5c2d 
JcTh9s9d3d KdQd8c7h2h AcJs9s7s4d KdTd8d5c3c 
KdQhTd7s3d QcJh8h4d3d KhJs7d6c3h As7s5d4h2c 
Qd9s7h5h4s 7s7d5c4s4h KhJs7d6h3c AcQhJd7s3d 
AhJh6c3s2s Kc6h6d5h4d AdJc9d6s6d AhTd8s5s4s 
QdJs8d4c3c Ah7c4d4c2h KcTsTh8c2d Td8d6s4c2c 
KdTh8d4d3h KsQc9c6c5c Ts8c7d6h4h Ad6s6d5h2c 
JcTs7d6d2c AdKd8d4s4c Ac7c6s2s2d QsQd8d5c2h 
AdTs9c8h2s 7h7c5s4d4c KhJd7c4c3d AhQh7s6h3d 
AdKh9c7d2d Td9d8c7h5d Td9c8h6c4s Qc9s8c7d3d 
QsTd6d6c5h QcTh7s7h3s Jc9c8s8d2d KcJh5s3s3h 
9h8h6d5h2d 9c7d6d4s3s 8d6h5s4d2h KhThTc6s3h 
Kd9c5s4c3d QhJs8s4d3d QdJd8c7d6d AcJd6h6c3s 
AsTd9c6c5h 7c6h5h4c2s KsQs9d9c6s Qd9d9c5c3d 
KhJs9d5s4c 9h8d8c6h3c AhJd8s6d6c Kh9s8d7h4c 
Tc7d7c5h3h Jh9d7d4h3s JhTh7h5h4c Js9c7s7c4s 
QdJs9d7c2c AcQsTd7h3h QcThTc4d3s AcJd8c4s4c 
AsTh9d7c4c Ad4d4c2d2c JhTd9s6c3d Qc9d8d6d5h 
KhQd8c6s5s Qh7d5h4s3d Ac7d4s2s2c KcJh5c4s3d 
Ks8s8d5d2c KsQsJc9d2s Tc9s9h7d5d KcQs9s6s5s 
KcJh9s9d6h KdJs9h6d3c KhTc5h4s4d Jd6s6h5d4s 
QhQc8s5s4s QdJh7c6c5c 8s8c7c5s3c 9c8s6s6c4s 
Ts9d9c6d4h QsThTc7c4c QdJdTh5s2d Tc7s6h4s3c 
KcTd9h3h3d 8h6d5s4d2s KhTdTc9c5c JcTs9c4h2d 
AhJd8s3h3c AcTd8h5s5d QsJh7c6h6d Qc9c5s5h4s 
KdTd8s7c3h Ts7s6h4d3h Kc9h7c6d3s AhKdTd2s2d 
QdJc9h9d3s JhTc5s5c4d Qc7s5c4d3s KsTdTc8d5h 
Jh7h7c6h6d AdTc8s5s4s Jh9s9c5h4d Jh9d9c8c6s 
Qs7h6d5c4s AdJc6s4s4c Th9s7d6h2s Kd8c7h7d3h 
QsTh9h5d3c KhKc7s4h2h As9h6s5d2c KhQhJs8c4h 
Kd8h6c5h5c Qc9d8d6s3s KsJc9h6s4s Qh9s8h7c3c 
Jc9h9d8h6s KhJs7c6h3d Qd8s6c5s5c Ac9c8h7s3c 
Jh9h8d7h6h KsJs7c5h5d AcTd7h5s4s 7s7c4h4c3h 
Qc8s8c5h3s QdJs8s4c3c Th9h8d4s3d Ts9h5h4s4h 
KhQh9s8h5d QdTh5c3h3c AhTs5h4h4d KsJs7c6h2h 
As8c7s5d3s Ad6d4h2h2c KdQd8c7c3c Th8h6c4d2d 
AsJs7d3h3c AcQdTs5d2h AhKh9h7h4d KsQc6d4s3h 
Ac8d8c4h3s JcTc9s9c4h JcTd9h8s4h 9c8c7s6d2d 
TsTc8d6h4d Tc8h7s6h6d Ac9c5d3d2s TsTh8h8d2c 
KsQsJd8h4s Ah8h4s4c3s Qd8h8d6d5s JdTc9h7c3c 
AcJs5c3s2c QhJd7h6c4s Th9s8s5s2h Kd9h7c5d2c 
Qd9c8c6c5h AsJh8d6d2h KsTs9s9d5h 9c7d5d5c4d 
AsQs8d7s3c JsJcTs9s2s AsJs9s8s4c Ts7h6s4h4c 
KdQc8c6h2h QhQd7d4d4c Kc7c6d6c3d AcJs5c4h3c 
JsTc6s5h5d JdJcTs6h3s AhTs9s8s3d AcQc8d7c3s 
QdTd9s8d3c Ac8d8c4d3c AdQhTs5h2c Kd7d6s6d3s 
KcJc9c7d2d As7h6s2h2c JhTd9c8s4c 7s6s5h5d3d 
Ad8s8d6c2h Jh9h5h5c4c ThTd8h5h4c Ad9d8d7s3h 
AcKdTs8h2h KsTc8h8c3h 9s8s7h7c6d Qh8h6s4s4d 
QdTd7s7c5h Ts9c8d6d5d QdJh8d7s2s QcJc8h4d3h 
Td8s6d5h3s AcKcTc7c2s Qh8s8d7c6h KhTc8d8c2d 
QdTc8d7h4d QsQd7c6c4c 9h8d7h6s2d Ac9d6c5s2h 
AhTs7c6c5c Ah9h8c5h3s Th8s7s6h3s QhJhTd5h2s 
Jd9s8h6d2s JsTc9s4d2h QhJdTs4s4c JhTsTd6c3h 
Qd9s8s5d2s QsJc7h7d6h JsTd9s4h2c KhQs8d6s6c 
QsJhJd4s3s AsKs8h6c3s JhTs9c7s3s JhJd6d4h2s 
QsQd9s8c4s QsTs8s5c2c KsQs9s9c7s TsTc9c3s2s 
QcJh9c8s3d Ts9c7h7c5d KsTh4s4h2c KhQsTh9h3h 
KcQc9h7h2h AcQh9h5d3s Ah8d8c5s2h AdQh5s4h4c 
KhKd7s4h2h JhTc7h5h4h KsQsTsTh5s KdTc8d5s4d 
Ks7s7h5d4c Ts9s9d8c5h QdJsTc2s2h AhKh9s9h5h 
Ts7d6s5s5d 9c7h7c6c3h 7d6h5s5h3s JdTc9h6c3s 
KsQhQc8d2s Ah9h8h7h4c 9d8s5s5d4c As9h8c7c2h 
KdTc7s7d4d QdTs9s6s3c AhTd8s6s4c Kd8d7c5h2h 
QsQcTd4h2d Ks8h5h4d2s JsTd8d8c5d Jc9c7d6c3d 
Qd8h8d5h2s JhTs7c6c2h 9s8s5h5d4d QcJhJd9d4d 
KsJs8d7d3s QhQc8c5s2d Qc9c8s8c6d Ah9s5d5c4h 
Ts9d6c4c3d TdTc8s6h4s JcTs6s5s2c AdKhTh2s2h 
QsQh9h8c4h Qd8d6s4s4c AhQc8s7d4s Ad9c8h8d3d 
KsTs9s8c4h AhTc8h5h2d AsJd8h8d4c Ks9h8s5h2h 
Jh6s6c5h4s AdKd6c5d3d KdKc9d4d2h Ah9d8s6d5c 
Kh8d6s5s5d AhTc8d5c2d KsKd7h4s2s AsJs9c2h2d 
Js7h7d5s3h AcKs7d4s3s ThTc8c5c4d 8c7c6d4d3d 
Kh9c5h4s3s JhJd6h6d2d Jc7h5h4s3c Th8d7h6d2s 
QcTh9c7c4s 9c8s8c7s3d Jh6c5c4d3h KhQhJh8h5d 
Ks5d4s4h3h Jh9d8h6s6c KdThTc9c5c KdJc7d6h2h 
Qd9s7d6h6c QcJh8h6h6d AcKs8d7s3s QhQd9c4d3s 
Ah6c5h4c2h Qc8d7c6h5c Kc6h6c5s5c KhQdJc8s3h 
As9c7s5h2d Qd9h9d4h3c KhTdTc8d5s 7d7c5h4s4c 
9h7c5d4h3c Jc8s8c6s3d Kh8s7d6h2d As9s5d3d2h 
Ad6c5d4c2d Ac9s9d7c2h KdQh8s6s5c KsJdTs4s3s 
Ac9c8c7h3s ThTd8c7s5s AdQh7s7c6c AdQs8h7c4h 
JcTd9c4s2h Kc9h5h4c3h JhTd7s7d5d Ac8d7c6h2s 
JsTh5d4h4c Kh9d8s7h4c Tc8d7d6d3c KcQh8c6c4d 
QhJd9h7c2c Jd9d8s6h2s Td9c8c6h4s AdQdTd6d4d 
AhTh9h8d2h JhTd9d8d5d 9h6h6d5c3c As7s5h4d2c 
AdKsKdKcTd AdJhTs7s2c Ah9c6s3c2h AdKc8s6s4h 
QsQd8c5c4c Th9s9c7d5d KhTh7d4s3c Ts9h9d7c5c 
9c8d7d5s2c AsQc5h3d2s KsQcTh3s3d Qd7s6s6d4d 
KhQc9c4d3d Qd9h9c8s6h KsJd7h4d3h Th9c6s4s3c 
8s7s6c4h3c 9h9c5d4c3d KdTdTc5h5d AsTc8d6d4h 
AsJc8d6d2c Ac7d6c2h2d Th9c7d6d2h AsJs8h5s2c 
AdTh8s5h5c AhJc9d6s2h AdJs8d7h2d Td9h5h5c3d 
Ac7s6c2s2h AsJd9s6s6c AsKdTd2d2c AhJh9c2s2d 
AcQd9s9d6d KhTc8s5h5d QhTc6d5c2d AcJh6h3h2c 
KdQs8s5h3h KcJh6h5s2s Jd9h9c5d4s Jh9h8s8c2s 
9s9h8s5s3h Ts8s5s5h4h KhJd7s6s6c 9s9h8c3h3c 
AhKh9h9c4s AhTd9c8c3c KdTd9d9c5s AdKd9s9d5d 
9d7s5d5c3c Jc9s9d8s6h Ts8c6c5s3s KhJd8d4d3h 
QhJc8c6s6d Ks7s7c6c3s Js9d9c8d6h Kh9d8h5d2d 
QcJd9s9h6s 9h8h5s5d4s Tc9s7c4s3s Th9h5c4s3s 
JsTs7s5s4d QdJd9s8h4c AcQdJc7h2c 9s9c5c4s3c 
Th8d7s6c4d QsTc9c7d5c Td7h6h6c3c As9s7c6c2s 
AsTs8d4h3s KhTd8d6c5d KsTs7s6s6h Td7h5c4d4c 
JsJc9c3s2c 8h7h5c4d3d Ts7h6h5s3h Ac9s9c4s3c 
QcJc8d7c6c Qh8h6c5c2c Js9h9c5s4d 8d8c7h5s5c 
Tc9s7c4h3h KcQhTc7d3c Ks9c7d6h3s Jc9c8h6d5c 
9s7s6h6d3h KhQs7h6c3d 9s8s7s5h3h KcJd9h9c5c 
Qh8s7h7d6c 7h6c5c4h2d QsJd8s4h3h QdTh9h8h5s 
Jh9s5s5d3h 9s9d6d5s2s 9h8h5d5c4d KsThTd9d5d 
Ah7d6h5c3h Kc8d7s6c2s Js8s7s7c4c Qh7h6c4d3c 
