Ts9c8c6h2c 
Jd8d7s7d3s KhJc9c4d3s Qh5h5c4d2c AcTc8h6c3c 
Ts7s6s6h5c KhQs7d5d5c KdTh6s3d3c Qc9s7c6s2c 
JdJc9s6d2d Ts9c8d6h2d Jd8h6s5h5c Qh8h5c4h2c 
JsTs7s7c3h As8c3s3c2c KhTsTc8h3h AcJh9s4d3h 
AdQh8d4d2s Jc8s7h7c4d QhJc7c5c3s QdJd8d5h2c 
KhTsTd8s2s JhJd8h5h2s 7s6h6d5c3c AhQhJs7h2h 
QhTc4s4h3d KdQhTh7h2c Ac9h9c8c4c Jd9d4s3s3h 
Kd9h8d4h2h Jd9s8s5h5c AdKh8d3d3c KsJc6s4d3s 
QcTh6s5s3s KhJc7d3h2d Tc9d6h4s4d QdJc9d7s3d 
KsQh9d6h2c Jc8c6h4h2s 9h8d5c4d2h KhQc6c4c3s 
AcTs6h4h2s Qs9s9h3d2h Tc9d8s8d2h AsQc6s4s2h 
Qs6c5s3d2c AcTs8d4h3s AhKd9d5s2d Th8h7d5s5h 
7c6d5d2d2c Qc9c8h8d5c 8c7h7d4h2d QsJdJc6s2s 
Qs9h6s4s2h Ks9d7h4s2h AhTs6h5h2d Jh8h7d6d2h 
Ac7s6d5d2s 6s5c4s4d2d 9h8c6h6d4s AdKs9c5c3c 
Kd9d8c7h4d AhKsKdKc6h Tc7d6d4s2c KsJhJd4h2h 
QhTh6h5c2d Jd6d6c5h2c 8s7d6h2h2d As9d8h7d3c 
Qh9c7s7d5d 9s8s7h4h3h Qc9h6s6h2s JcTc8d8c3h 
Tc8h6d3h3d KcJs6d4h3s KsQd6h5h3h AhTs8c5c2d 
Jd8s7c4d2s Tc6h6c5s2h QcTh8h6h2d KcTd7s7c2h 
Jd7h5h4s2d AdQhJc7h2h Kd7h7d4s2h QcTs4h4c3d 
AcJc8d8c3c Tc7s5h4h2c QdJs9d6d3d 9c6s5d3d2c 
KdTh6h4s3c 9d9c6c3h3c KsJd8c6h4h Qh9d6s5d4d 
KsThTc8c2c Jh7h6c5h5d Kd8d5s4h4c QsTd9d6c2d 
AcJc7s2h2d Qc8c6d5c4c Qs8h6s5d2c 9d9c5c3c2d 
QsTs9h3s3c Td7h6c5c2d 9c8h5h4h3c 9s8d8c5s4s 
Ks9c7c2s2d KcJh6d5s3d JsJc7c3s2c AhKsKdKc4c 
QcTd8h4c2s Kd9c7c4c2d QsTd9d4h4c KhJd8s8d4c 
JhTd8s4d2d QsTs7h7d3c 8s8h6c5h2h QsThTc4d2c 
Qh9d6c5d3d Ac9s7s5s3d Ac9d9c5c2h QsJc9s4d3s 
KsJd6s4c3s Jd9s9d7d3h Jd9s6c5d3d Th7s6s4d2h 
Ks9s9c5d2h KsQc7d3d2s 9c8s8h5h3d KhJh9c7h2d 
9d8h7d4h2s Qd7s7h5s5c AcTs9d4d3h Jc8d7h7d2h 
Kh7d5d3d2h Ad8c7d6s2d KdQd9d6d4s Tc9h8h6d2h 
KcJh6d4s3h KdQc6s3c2s Kd9c5s4c3s AcJc9c7c2s 
Td8d7s5d5c Jd9d8c5s3d QsThTd4c2h Jd8c6s5h5c 
KhQh6h5d2c Jh7d5d4s2h Qs8d7c6d4d 9c5d5c2s2d 
Qs8d8c5h5c Ts9d9c6c2h As9h7c6c2h KcJc6c5h3c 
6d5h5d4d4c 9s9h6h3h2s Ad9h8c6c4s Tc9d7s7c4c 
Qc9h7h6d4s JsTc8d4s2s AdTh8c4s3h Th9h8h7c2s 
QhJd9c8c4c QhTs8d5d3c Qs6s5d3h2h QcJc8h4d3s 
8s6h5h4h4d AcKd5s5d5c AcQd7h2s2c Ah6d4s3h2c 
QdQc8s4h2d 8s7d7c4c2d QsJh9s4c2d QhQc7s6h2h 
QcTsTh6c2c KsQd9d7d4h QdJs7h4h2d AsQh9c7d2h 
Qs6s6c4c2d KhTd5d5c4s KcJd9s7s3s KcJc7s4d3c 
8d8c7c5c3s 6s6d5h5c2h Kc7s7d4s2c 9c7s7d5d3d 
QdJc5c4h2s Ad9d7d5s2h Kc6s6c3h2h KsJd8s5c3s 
KcTh7s5d3d Qc8c5c4d3d Tc7s6h6d5d AsQh9c5h2d 
Qc9d7d6s4h Qh9h7d5c4h QcTc7h7d3s Ts9s8s6s4c 
Kd8s7h3h3d KhTh7h5c3h 8d6d4c3h3c QsQh9c6c2c 
KcQcTc8s3c Ah9d7c6c2d QhQd4c3h2s KdQs8c5d2h 
Kd9s7h6s2h KcQhJs6d2s QcTsTd6h2h Qs8c7d4c3s 
QhTc7d2h2c AcKd8s6s3h QsQc8d4h2s 8h6d5c4d2s 
Ad8d5h4d3c 6h6c5s5d2h QsTc7h2s2c QsQdQcJs9c 
QcJh8s6d3h Ks6d5s3d2s QhTc8c6d2c Ad9c6s6h2d 
KsQs8s8h2h Th7d7c5c2h Qd9d8h5d4c 8s7s7c5d3h 
Ad8h6c5c4c Qd7s5s4d2h KdQd6c5d2h Ah9c7s5c3c 
Kc6s4s4c2s QhTh7s6h3h JdTd8s8c3d JsJcTs3s2s 
JcTc9c5s5c Ac9h7d5h3h KdTc8h7h3s AsQd3c2d2c 
AdJh9c6h4h Ac9s9h8d4h Jd8d6d5h4d Js9h6c5s3s 
Kh8h7h7d6h 9c8d7c5h3c Th7s6d6c4c 8d6d4s3s3h 
KdJc7h7c2h Th9c8s4d3h KsJsJh4s2s Qd8h5c2h2d 
9d8s6s4d2s QhTd8c7d2s Qc8s6c5h3d Qh9c8c3d2h 
KsQcJh6d2h KcTh9s6d2s QhJd5d4c2s Ts9s6s6c5s 
Ad8h6s6h5h Js9c5s3d2d KsQdJh7h3h KcQh9h6d2s 
Jh7d5c4h2d KsTh6s6c3s KhQc6d3c2d Ks9s8c7h4s 
Jd9c8d5d2h KsTd7s4h2c Td9h9c4c3c QdJh5s5d3d 
Qc9h4c3s3h 8s5h5c4h3c JsJd6c4s3h Kd9s7c6c2s 
8d6c5c4h4c QhJh9s9c3h Qd6d6c4c2s Jd4s4d3s3d 
Ac8h7s7h4h QcThTc8c3c QdQc9s4s3s Jh8c6d4d3c 
Ts9s7c5s4s AhKsQs8s2s JhJc7h3s3d 8s8c7c6d3h 
AdKh8d5d2d Tc9d8d6d2h Jh9s6c5h3h Qs6d5s3d2c 
AhQsTs7s2s Qc9s9h5s5d Jd9c8c4c2d AhJh7d3s2c 
Kd9s9h8d3c QcTc7h6c3c KcQcTc5d5c Qs9s6h6d4c 
Tc6s5c4h2h Th9s8c6d2c AcKd7h4s3s Qh9s8s5c4d 
QhJc6c4s4d Jd8c7s4d2c Jd8c6h5s5c Qh7d5h4d2s 
Js9h9d7s4s 6c5d4s4d3c Qc9d6s5d4d Kh8h5d4s4c 
Qc9c7h7d5c QdTs9c3s3h KdTh9s5h3h Ac6c4h2s2d 
JsJh5c4d3d Tc9h7c5d5c AcQh9h7s2d QdTs9h7s2c 
KsQc8c3s3c QhTd8d8c2s Qh9c5h3c2s Ac9c8h7c3c 
Td8s7c6h3h KhTdTc8d2d Ac9d7h5d3d 9c8d5s4d2c 
Jh9s6c5s4s Ad8h6s5s4s AcJh8h6d3s Th7d6s6c5d 
AhJh6s6c2d KsJc5c3h2h Kc5s5h3c2h JhTh7c6h3h 
Ac6c5c4s2h QdJs9c5c2h KhKd7c3d2d KcTsTd4h3d 
Ks6h5h4c2c AcJd7s4d3h Jh9s8d5s3c Qs9h8d5c3s 
KhQh9d8h4c QhTc9h3h3d Jc7c6s5h5c Ts9c7s5s5h 
Ts7h7c5c2s AhQc3s2s2c Ad9h9d5d4d Ks6s5c3s2c 
Jd9d6d5d4s 9s9c8h5d3c Kd9h9c8d3s 8s6c5d4d2h 
JsTs7s4s3c Ks6h6d4c3s Ts9c5s3c2d Td7h6h5d2d 
QdJh9h8h4h 9s6s6h2h2c Kd9c7c2s2d KcQhJh8d3h 
JhTc7c4c3d AhTs6d4d2s AcJd6h5c2c Ad7h6c5s5c 
KsJh7d5h3h 9h8d6h6c4s Qh9s8c6d2h Js9h6h4d2s 
AhJs8s6d3c KdJd7h4s3d KhJd8c6h2s KhTd8h4c2s 
Jd8s7s6s6c AdTd8d6h2d AhJs8c7d2c Qs8c5c4s2s 
KsQhTd3d3c Qc9h7d6s4d Jd9c6s6d4h JhTd8d4s3d 
AcQd8h5s3s Ts8h4d3s3h Ah8h5c4d3h KdJc5d3s3h 
Qc9h7h6s4d Jh9c8s4s2c QdJc9d4h3d Td8s4c3s3d 
JsJh6d4s3c JhTs8d4d2c Qd9s9d6d3h Ah6h5c4s2h 
9s7d5h4s2h Qd9d8s8h5d 9h9c8s5d3h Tc9s8s6h2s 
Qd7c5s4d3h Ac6h5s5c2c ThTd8c7h2s Qd7s7h5h5c 
Tc9d8d6h2d KdQcJs7s3s QdJh9c8c4c Ts8d7h6c3c 
KcJd8s8d4h JdTs8h6h2c KsJs7h4d3s Tc6d4s3d3c 
AhQsJd7s2s Qh9d6h5s3h KcJh9s5h5d Qs9s7d6s3c 
AdKs4s2h2c Qc9s7s6d4h Ac7c6h5c2s Qd9h5c3h2d 
9d8s8h7c4c Ts9c5d5c2d JhTc9h3d2h Jc9c5h2h2d 
Th9s9d4s3s Ks8c6s2h2c Tc9s9c8d2c AcJc6s6d2h 
9d7s6h6c4h Qd6d4h4c3c Tc9c8s5c4c Th9d8h7s2h 
Jc9s6h5c3c Ts7h6d5c3s Kh7d5s5h3c Th6c5d4c2h 
Kh9s7c6d3s Qc7d7c6h2d Qs9c7s6s3h QsQh3h2h2d 
AdTs7s6h3s KsJc7d7c2d Kd9c6d5h2s QsTd5c3d2c 
AhQc9h2s2h 9s9d8c5h3d JsJh6s3d3c Js9d7d6h2h 
KhJd9d4s3c Ad9s7h6h2s Jd9s8h5d3d KhQd6d3c2c 
AhTc9s3d3c Td9s8s8h2c QsTd8h8d2c Ks9c5h4s4d 
JdJc7d6d3s 9c8s8d5c3h 9s8c5s4c3s Ac8d6h6d5d 
AhTd4s4h3h KcThTd3s2c QhTc4h4d3s KdQh8h3h3d 
Qd9s8h6c4h AhQs9s8s2s AhKs4s3d2s QhTdTc6h2h 
Js9h6s3s3h Jc9c8s3s2h AhJs8s4s4d Kd7s6d5c2h 
Tc6d5s4s2c KcTs6d5h3d JhTh8h7s2h KhQsJs8d3s 
8c5h5d4h3d 9s9h8s7s4c AdKhTc6s2s AdQc7s2h2d 
KdJs6h5c3h Ah7c6d5h2h Qc9d5h3h3d Qd8h7d7c5d 
Qh9d7s7h2d KcQc9d8s4c 7d6s5d4h4d Qs8s6h5s4s 
KcJh8h4d2d Tc8h7h6d3s QdJs9s5h2s Ks7s5h3c2h 
JsTs8s8c3h 9h8s8d5h4h Ac8h7h6d2d KhQh9h6h4s 
Qh9h6s5h5d AcJd9d6h3s Td8d7s5h5d Th9s7h5h5c 
Ks6h6c3s3d AsTh9c6c3c AdJh5h4s4h Qh8c7d6c4c 
Ks9d8c7h2s Jh9s8c4s3c 9s9d8h5c3s Jc9d6h6c4s 
AsJc8c4h4c 8h8d5c3s3d As9h9d8c4h Kh9d9c8h3s 
Kc9d8s8c3h Kh9h7s5h5c 9h9d8s5s4c Ah8s6c5c4c 
Td9d7s3s2s Th6d5s3s3h QsJh9c8d2d Qd9c8c5s4h 
QsJh9h9d2h Ah9h6d4h4c KsQsTs5s5d Ts9d7c4s3h 
KsQd8c7d4d KdQs9h5h3c AsJc9c6h4c Jd6s5d3s3h 
AdKh9c5c3c Qh9h8s5h4c KhJh9c4h3s QsTc7c2s2h 
KcJc9c6s4c AsKcTd6h2h QhTd9c3s3d Th9h9c8h5h 
Ts9h9d6d2c Ad7c6h5c3s QdJc9c5s2c AhJd7d4s4d 
QhQc7d6c2c 8d6d4h3h3c AcJd5d4s4d QsTd8d6h2d 
Qs7s7c6d2c Ks8s6h5s5c ThTd8c3c2d AsKd9d6d3d 
KcJhTs4d2d As8d7d7c4d Tc9h8c7d2c KcJh9s8s4d 
KsTs9s4d3s QhQd7d3c2c Ts9h7s5s5c JsThTc7s2s 
QsQdJs6s2s As8s3h3c2h Kc8s6c4h4d KdTd9s5h2d 
Js8d6h4d3h KdJc7h6s2d 8c5d5c4s3s Qd8d5c4c3d 
KcJs8h6d2c Jd7h6s5d2h Jh8s8d6c4c 6d6c5d3h3d 
Ks9d7s6c2h AhTd9d4c3d Js9h6d5h4h AdTs9h4c3h 
Th8h7d5h5c Tc9s7d4h4d Jd9s7d6d3h QsQh9c7s2s 
Kh9s8h4s2s 7d6d5d4h3d Td9s7h5s3s Qs8d7h7c5c 
Qs9d7d6h4c KcQs8s6s4s KcTs5s5h4d 9d6d6c2s2c 
Qc5d5c4s2d KdJh7c6s2d Ad7c6s5s5h AcJc9c2s2d 
TdTc6d3c2s KdQd8h5d4d AhQc4s3d3c Ts4s4c3h3c 
QhTh9s3h3c Tc8s7h7d4d QsTh8c5d3c Jh9d4d3s3h 
Ah7c6d5c3s Th9d8s8c4h JsTd8c4h2c Kd8s7s3s3d 
QhJs8s5d3s AcTd8d5s3d AsKs8h6s2s 7c6c5s3h3d 
QdJc9h9c2c Jc9h8h7s2d Kd9h9d5c2s QcJhJc7s2d 
Ts6h5s4d2d Tc9h9d8s4s AhTd9c6c3c KhJd9c6d3d 
Kh7h5s4s2h Ah8c7s7c4c Ts8d7h5d5c 9d8h6h5s2c 
Qc9h7c5d5c 8h6s5c4s4d KcTc8c6d2h Js8c7c6h6c 
Td9h8c5c4c As8h7d5h3c Qc9s8c5d3h Qh9c4h3s3c 
QsTh8d5d3c Js9c8h4h2c 6c5s4c3s3c JsJc5d4h3h 
9h9d6s3s3c 6h5s4s3s3h Ks9c7d6c2d JsJh7h3s2h 
TdTc6h4s3d KcTs8c4d2h KhTd9c6c2s Qs9h7d6c4h 
QsTd8h8c3s KdTs8d3d2s Qd9s9d6d3c QdJd9h9c2d 
KsQc8d5s2h Qc7s7d5s5h KcJc8s8c5c AcTh5s4c2c 
KsQs9d6s4s KcJh7c3h2h JdJc9c6c4c Kd7d5h4h2d 
Td8h7h4c2c Qd8h8c5s5h JsTh8d4c2d Kh8s8h6h5h 
Kd7h7d4c2h KhQh9d6h4h Td8s5s4d2d 6s6d5c3h3c 
Jc8d7h4c2d Td8d4s4h3s QcTs8h4c2d Tc8s7d5s5h 
9s9c7h4c2s Ah8h7c3h3d As9d7s2h2c AdQs7d6h2d 
9d8c6h5c3c AsTc8c3h2h 7s6d6c4s2c Ah7h6d5h2s 
AcQsTd6d2d 9d8d7s5d5c KhQd6c3d2c KcTd7h7c2s 
QcTh6c5s2c Js9h8c5d3c KhTh9c5h2s Tc9d7h5d3d 
Kh6h6d3s2d JcTc9c5d5c Jd9d8d7d5d AdQh6s6h3c 
8s5s5d4c3c KdTh5s5h4c 9c8h6s5h3h QsTs5s4s3c 
Td6h6c4s4h QdQc9d7s2d Ts9d8h5h4h AcQsTh3d2d 
8s6d5c4d2h Ac9d7h5d3s Ac9c6h4s4c AdJd5h5d2s 
Kh7h5c3d2c AsJs7s4d2h Js8s7c5d3h QdTc8c4s3h 
Qh9s7h6h3c KsJh5h3c2c AcJd6s4d2s As6s5c4h2s 
QhJd9s8s4s Qh8s6h5d3c Ah9d8h6h4h JsTh8c4h2h 
KcJh8c6c4c Tc9d8h4s3c AdJd6h2h2d Qs9s9d6h2c 
9s9h7h5h4h Jc9c5h5c2h Jc7d6d3s3c 7s7h6h3h3d 
KcJc9s4c3h Th9h7d4s4c QsJh9h6h4h AsQh9d4s2s 
9h9c7s4c2h Td9s7c5s3s QhJh6d4h3c Qc9h7h4c3c 
8d6d5s4h4d Jh9c8h8d2s KcJc9s4d2h Ts7d6h6c5c 
KsJc8s5s3d QdJs6h3h2d KcTs8h8d3c Qs6s6h4h2h 
JhJc6s4c3c KdTsTh8d3d QcJc8s7c4c AsJh9h6c4h 
7s6s5h4d4c QhJd9s9d2d 9d8d5d4h3h AsKc4c3d2c 
Jh9h8s7c4h AsJd9h6h6c QcJd9d5s2d KhJd8s6c2h 
JsJc9c6c3c Td6s6c4h4c Th9c8s7d3s KdJh8d5s3d 
KsTs9s5d5c QdQcJc6c2c QhTh8h8c2s AcJc6s6c3d 
Jc9s8c2s2c Jd9d8d5s3c Kh8h6c5s5h 8c7h6s2s2h 
7h7d6h3h3c Js8c6h4s2h KhQd7d6s3d QcTd6c5h2c 
Qs6s6h5h2s Ah8c7c6s2s KhJd9d8s4d 9s9c6c3c2s 
TdTc7c5h3c KdQd7h7c2c Kd9c8d4c2c KhJd9d4c3s 
JhThTc7s2h AsJs9s6c3s Ks8h8c4h4c Ah9c7c5c3d 
As8c7h7c4c Jh9h4c3s3c Jc9c8s5d5c Td9s8h7c3h 
JsJc7c6c3d AhTs9c3s3d JhTc8d4h2h 8s8h5h3h2s 
Kd9h6c4h3c QsJh8c5h2h Td9h8d5d5c JhTs8d8c2s 
AcJh5s2s2h 8h4s4d2s2d KcJs8s4h2h Jd9c8c7s2h 
Jc9d8c5c2h AcJd7h7d3s 6s6d5h4d3c KdJc9d4d3s 
Jd8d6c4c2s Js8h8c6d4d Kh8h7h7c4s Jd8c7c6d2c 
9d8s7c4s2d QhTs7s2h2c 9d9c7s7c2c Ad9s6d2s2d 
QhQd9c7h2h 9d8c5d4d2c QcTd9c2s2c QsTs6s5c2d 
9h8h7d4d2s Kd8c7d2s2c KcJc9c7d3c KsQc6d4c3c 
Kc9d7h6d2h KsTc9s4d2s Jd6s6h5d2h KcQc6s5c2d 
9d8s5c4c2s Qd8d6d4h3h 8c7h7d4d2h Kd8c7c5c4h 
Kc9c8d7s4c AcKc9h7c2c Qd9c7d6d3s Js8s6h5s5c 
Ks8d7d6d5d KdQd6s5d2h QdJc9d7h3d TsTh9c5d2h 
ThTd8c7s2h AdTh5d4s2d Qd8d6h4d2h QhTh7h7d3c 
JsJc6d4s3s AdQs8d4d2h 9h9c7c4d4c Tc7d6s5s2c 
Ks6d5d4c2c QsJd9h5s2s Qh9c7s6d4s JhTc7d3h2d 
KhTh9h5s5c KhJd8s6h2c AcQsTd6h2h QcTd9c7c2h 
Jh9h8d5s3h AsKdJc3h2h Kc6s5s4d2d AhQdJs7d2d 
8s8h6s3c2h Kc8h8c2s2h Ad6d5s4c2d KdTsTh8h3h 
7d6s5s3c2d Qh7d5h4d2c KdQc6d5d2s Tc7h6s6c4c 
Ts9s8s7d2h Tc9h8s7d3s Tc9c6d6c4h Qh6h5s4h2s 
TsTd8s3d2s Qs9h9d6c4d QsQdJd6d2d Kc8h8d4c2h 
QcJdTc6c2c Ah9s7h2d2c Ac9h7h6s4d 8s6c5s4d2h 
QdJd8h4c3s KsTc9c6h2c Qh5h5c4s2c Ah8d6s5s4s 
Qc6c5d3h2h KdTsTh8s2s Ts9h8c5c4c Kh8c6h4s4d 
KhJh4s2s2h Qd6s5d3h2s Ts8h5d4h2d KcTs9h6d2h 
Ts9d8h6c2h KdQs9h6s2c KsTs6c3c2s KsJc9d7d3d 
Qc8s6d2s2c QcJc8c5s2h AcJc9h4s2c 7d6s6d4d2s 
KhQhTh8h2d 6d5s4h4d2h 5s5h4d2h2d 8h5h5c4d3c 
KsKhKdQh2s Qd9c8s6h4s Kh8c7s3s3h Ks9h7d6h2d 
QhTc9s3d3c Jh9d5h4d2h 9c8s7c5h3c AdJh9s6h4h 
JsTh9c3s2s AcJd9h6s4h KhTs6d3h3c KsTc9d7h2d 
Ah8s7d5s3c Kd9s6d5c2h QhJh6s4h3d KsJs5h3d2c 
Th9h6d3s2s Jh8s8d6c4s 9c8c7h4h3h Qd9d7s7h2h 
KhTc7d4h2s Qc9h9d6s4d AhQd6h4h2c As9s6h4s4c 
9c8s7h4s2c AcJc7h2s2d KsTs9c4d2s AhQsTc6c2c 
KhTc9d6d2s 8c7s7d4d2s Kh9c8s8h4d Qh6s6h5h2s 
Kc9c8c6s3h Qc9h6d2h2c KcJd5h3s2c KsJs7s5s3h 
AsTc6s3h2d JdTh6s3s2d KdJs7s7h2h Ks9h5c2s2c 
QcTh9c2d2c QcJc5h5c4c QcJh9c4d2s Kh7s7c4c2h 
Qc9d7c5s5c KsTc6d5h3d AhKs4d4c3d JcTh9c3s2c 
Kd9c5s2s2d Td9s4h2s2d Js6c5s4d2c AcQs7c6h2c 
KhTdTc8d3d 9h8s5d4s2d QdTd3s3h2h 8c6h4h4c2s 
KsTd9c6h2c Kc9s9c4h2h Qd9s7d6d3c Kh9h7s4c2c 
Td9d6h3s2s Kh6s6d5c2h 7h5c4h4c3h KsTd7d5d5c 
KcJs6d4c3c QdTd5s3s2d AcQd6h5d2s KhJd8d4c2c 
KdTh7s4s3c Ac8d7s7d4d Qh5s5d4d4c JhJd7h7c2s 
Js9h9c6d3s 8s6h5s4d2c Kc8h7h5h4d Jc6d5s3s3c 
QsJdTd7d2c 9d8h5d4h3d Qh5s5h4d2s AsQd8s4s2h 
Js9h6c5d5c KsJh9h7c2d Js8h6d5h5c AsQh6d5h2c 
AdKc8d3h3d KcJc8h4s3d QsTh9s4c2s Jd9h6d6c4s 
Ts6d6c4h4c QsJh8d5h2h Jc7s5c4s2d QcJh9d5h2h 
Qs9s9h7c3d Jd6s5d3s3c QdTd8d6s3d Jh9h5h4s2s 
Qd7h5s4d3c JdTc6h4d3d Ts8s4h4c3h QdTs6h6c3s 
Th9h6s3d2d QdJhJd7c2s AsQs9s9h2s KdTd5h3d2h 
Ks7d7c6s4s Jd9s9c6h3d Jd8c7c6h6c Kh9c8h4c2c 
AhJs7s7d3c TdTc9d6d2s Kh7d5h3d2s QcTs9d7s2h 
9d8c5h4c2h QsTs9d3s3c KsTh7s4c2d Jh7c6d4c3d 
Tc9s5h2s2c AhQc6c4s4c AsTh8s5s2s QsTsTc8s3s 
KsTd7h3s3c Td9c5d2d2c QcTd4c2d2c AsKd9d5c2d 
JsJh8s5s2c 6s6c5h5d2s Ad7c3s3c2d QcTc7d6c3c 
QdQc8c4c3s QcTd8d4s3h Qh8h7d6d2h 9d8s6h2s2h 
9s6h5s4h2h QcTc8c7s2h Ts7d6h6c5d Kd9s7h6h2s 
Td9h7h7c4h Ac8s7c6h2c Jh7h6c5d2d Qc9s6s6h2h 
Td9h8d5s5d Tc9d8c7h2c Qs9s7h5c4s Tc9s6s2s2c 
KdJh7d3h2h Jh9d8c4c2d Qc9c7h6c3d Qs8s5s4h3h 
8s8c5h3s3d Qs9d6s4s2d KdQc9h5s2c Tc9d5c3s2d 
Kd7s7c6d4d QsTc6c5c3c QsJc5c4h2d 8s8h6h3c2s 
Th9h8s7c3h As9d7d6h4c Qc9d5s3c2s Tc9s7d5s3s 
AdQh5s3d2d Jc9c8h7s4c QhJsJc6h2h AdTs8d3h2d 
Qd6h6d5h2d Th7d5c4c2h AsTc9c4h3c KcTsTd8s3s 
Kc8s8c6c5c Th7s6d5c3h KdQd9c8d4h QdTd8h8d2s 
Tc7h5h3h3c Jc9d8c3h2h JcTs3s3d2d Jd9h8h7s2c 
KcJs6d5d3d Jh9h8d5s5h 9h9d7s4d2h Jh9c7c6d2d 
Th9d8h7c2h Ad9s6h6c2d Qd5c4d3h3c 9s8c5h4h2c 
QhJc9h7d3h JdTd8d5h3d 6d5c4s4c2s 6s6h5h3h3d 
8s6c5d3c2s Tc9s8s8d5s AdTh9s6s3s Qc9d8d3h2c 
AsKhKdKc4d Ah7d5c4s4d KsQc9d6c2h JcTd8d4h3d 
9s8h8d5d3c 8s6h5d4d2c 9d8s6h5h2c QdTsTc7h3h 
9s9d8c6d2h Ks9c8d3s2d AcTh9d3s3h AcQs9s7d2h 
AcKdTs6h2h KdTs6d6c3d Qd5s5h4h4c Qd8s6d5d5c 
QhJd7c4c2h QdTc6s4h2d Ah8h5s2d2c Kh6d6c4s3h 
Jh9h8c7s4h 9s9d6s3s3c Tc7d6h5c3s JhTs9s3s2c 
JcTc7h5d2s Kh8d7s4s4d Ts9s7s6s3d 8s6c5d4c2h 
Ts9h5s2s2h Th9d6s6c3s Qc9h9c8c5c AdTh9s4s3c 
9d8c7c4h2d AhKs6d6c2s AdJd5d5c2s QhTs7s3d2h 
Js8c5d2s2c KcJh7s7h2s QhTs8c7s2d KsQs6c5s2h 
TsTh3s3h2s KsQh9s8s2d Td6h5c3d3c Qs9s9c7d3h 
Js8c7h4s2c As8c5d4d3c Qd8d6s5d4d 9s8c7d4c2s 
KsJh8h8c4d Ac8h7c6d2c Qc9h8c4s2s Kc9h8s5c4c 
8h6s4s4h2d Jd9s6s4c2d KcQh9d5s2h Qh9c5s3h2c 
Kc9s7h6s2h QcTsTh6d2d KcTh6s5h3h Qd9c5s3d2c 
AhTs9c4d3c 8c7d5h2h2d Kd9s8s6h4c Kc6h5s4s2h 
Kc6s6c3d2s Ad8d5h2s2c KhQd6h5h2s 8h8c6c3d2h 
AsKh4h3c2h Ts9h7h7c4h 9c6s6h2h2c 9d6c5h3h2d 
AdQh7d6c2d Qc9h8d5s3c AcQc7s3s2c QsQc7s4s3d 
Jc7s7c5c4d AcTd9h4h3s Td9h7s4d3c AhTc8c5d3c 
9h9c8s7d4s Qc9s5h3c2s AsKd9h7h2c Qd8d6d4c3c 
QhJd8h7s3c Ac6d4h3c2s Td7c6s5s2d Qs9h7c6d4h 
QhJs9d4h4c Kh9d6s3s2h QdTs8h8c3d AhQs6c3d2h 
Kh9s7d4h2d Jc8h5h4d2d KhJs6c4h3h Qc9s6d2s2c 
8d7h7d5s3c KcJs9d8d4h Qh6h6d4d2d QdJc9s5c2c 
Th9h6s3d2s Js9d8h8c2s Qc9c8c6c5c ThTd9d6d2c 
QsQc4h3s2d AhJh5h5d2c KsTh8s4d2c AhQs9h2h2d 
QhTc6s4d2h 8d7d6d5s5c AsKh9c5c3c AsJc9d6c4c 
Ac9h7s5h3h QsJd9c4s4h Jd8s7d4h2s Jc8c6s5h5c 
Ah8h3s3d2s KsKc6h3d2d AdTh8s5c3s QdTs7s5h5c 
Kc8s8d4s4d Jd7d6s5c3h Jd8c7s7c2s Ks7s5d4d2s 
9s8d6d5h2c KsJs7s5s3c KsKh6c3d2d Qs6h6c5s4d 
8h6c5s3c2h Jd8c5c4h2h Tc9h7s7c4c TsTc9s3d2h 
KdJs5h5c4s Tc9h8s8d4c Td9c8h4s3d KdQc8s7c4c 
8c7s6s4s4h KsQd8h7d4d Ts8s6d5c3h KdQdTd6d2c 
KdTh7h5s5h Th7s6c5h3h AhJc8c5c2d KcQd9c7s3c 
AcKc9s7c2c JhTc9c3c2s Ks7c5c3c2s JhJd9c6d2d 
JsTh8s8d2s Ah9c8s6s4d Kd7d5h5c3s KdTc7d3c2d 
Ah9c8h4h3s 9h8d5h4h2d 8s6s5h4s4c KdJh9s9c3h 
KdJc8h8c4s Qh9c6d5c3c QsQh7d6s2s Td9d7h3h2h 
Qd7c6d6c2h Ts7d6h6c4c Tc9h9c8c2s TdTc9d7d2h 
QdTh6h4c3h TsTd8c2s2h Qs9s8d5h5c Ad7h3s3h2d 
Jd9s8c4c2s Jd9s8h7s4s Kh9c5s4h4d QsJh8h5d3h 
Kc8c5s4h4d KdJc9h6c3c Ts8s7d5s5c Ts9d7h5d3d 
QcJdTs6s2s AcQdTh3s2s Qh9s9c5s5d AcQcJh7c2c 
Ad8s5d4d2h KhQs6d5d3d JhJd6s5h2c QdJs6s5c2h 
Qs9d8h6c4h AdJd7c3s2h Jd8c5s2d2c Ts9h6d6c4d 
AhTd6h5h2c QcJh9h6h4h TsTh8d3d2s 8h7h5c4h4d 
9s8h7h4d2s AcTh9s3h3d QhJh4s3h2s QsJh8s7d3c 
Kh8h7s5h5d KsJd6c5h3c AcKs5s5d5c Qs6s4d4c3c 
JsJc5d4d3h JhTd8s8h3h 8s8c6d5c2c Qc9d7c5c3s 
