Jc8c6c5c3c 
Td9d6c2h2d KsQc8d7d3d Jh9c7s7d2s Jc6h6c3s2s 
Ts9h5h3h2c Qs9h8h4d2c 8c7h4s4d3c Jc6h6c4c3d 
Ks7c3d3c2s 7s6s5c3h2s AsJc7d6d2d AcQs7h2s2d 
Js9d7s4h2c QdJc3s3h2c Ts9d5c3d2h 8h5s5c4d2c 
8h6d4s4h2h 6h4d3d3c2h Js9c8d3d2h As5h4h4c2d 
Kc9h8c4s2c Ah9c7s6d2d Jh8c5h3d2s Jd6h5d5c2d 
QsJc4d2h2d Kh8h7c3c2h 8c5h4c3d3c Qc5d4h3c2s 
Jh8d6h4h2s 8s6c4c3h3c AsJc4h3c2d Ad8c6h4h2h 
Kc7h7d3s3d As8h7h3h3c Tc6d5c4s2c QhQd6h3h2h 
Qh7s4c3h2c Ah7s7c6c2d 7s5s5c4s2h Kd8c7d4h2d 
KsQd9s9h9d QdJd6h3s2d Kh5d5c4d2s Kh8c7c5s2c 
Jd9d6d6c2h Qd6h5s4c2s Qh7s4h4d3c AsJd7h6h2h 
Jh8d7c6d2d Jd9s7c2h2d 9h7c5d5c2c Qd6s3c2s2d 
8s7s6s2s2d 6s5d4h4c2s JsTc6s3s2h QsJc7d6s2s 
Qc6c3h2s2h Kh8d7d5s2d Jh9d8d4d2s Kh5s5c2d2c 
Qh8s8d7d2c Tc6s6c4h2d AcKc8h3c2c QdTs7h7c2c 
Qs7s6s3d2d Qs7d4d2s2d Jd8c7s6s2s 7d6s4s4c2h 
KhJs9s3c2s KhJs3s3c2d Kh9h6d4h2c Qh9h6d2s2c 
Qh8c5d4d2s Tc7c4s3s2c Qs9c7c5c2h 9d9c6h4h2h 
Ts5s5c3c2s 8s6h4h3h3d QdJs8h3s2c Qd8c6s6c2c 
9s6s4s4h3d Qc7s4c2s2d KsJh5d5c2c Qc7s4c3d2s 
KcTd5d3s2d Ks9d3s3d2s As6c5c3d3c Kh9s7c3d2h 
Ad5h3c2h2c 9s7d5s4c2s Th6h5h5c3h KcTc4c2h2d 
6s6d5s5h5d Kh9d8h4s2h 9d7s4c3d2s 8c5h4s3h3d 
Kd8h8c5h2s 9c7h4s3d3c QcJc7d3s3c Js9d7c6d2d 
AhKc8h3h2h 8c5s5c4c3h Th9c8c3c2c 7h5s5h4h2d 
9c8s7d4s2h Qh6c5s4d2s Qs6s6c5d2s Ac8d6s4s3h 
Js9c5d3h2c Td7d5h5d3d KhTc5d2s2c Kh8s7h2d2c 
8s8h7h4h2h Qs8s4d3s2d Qc9s8c3h2c Qd5d4s4h2c 
Qs8h5d4d2c QsJd3h3c2c 8s7c4h3c2s Js7c4h3s2h 
JsJh7s4s2s Kc8s7c4d2c Jh7d4d3h2s Ac7s7h6s2d 
Kd5d3s3c2h Jc7h4s4h2s 9h7h5h5d2s AsQd7c4h2c 
Ad8s5s4s3h Kc7h3s3h2c Kc9d8s8d3d JsJhJd8d8c 
Ks8h7s4s2d Qh8d7c4s4c Qh9s7d3s2d As7d5c4d2h 
8c6d4s2h2d KcTd8h2s2d KcTc7s7c2c Ks8h8d5d2c 
Js7h6s5c2s 8s5s4h4d3s JdTh7d2d2c Kd5c4h3s3h 
KdJh8h6h2h Qs6h4d3s3c Jc7d6h5c2c AcJs7h6h2h 
Kd9s6d4d3d 9s7h5d5c2c Jh9h8h4s3h Jd6s6d3c2c 
7s6s5d3c2s 9s7c4d2d2c KdQh9c4c2s AcJd7s4h2s 
KcJs4s2h2d 7h6h5c3s2h As6c5h4c2c Qh8d6c4s2d 
AsQc7d4d2h KsQc9h4c2c 6s6c4d3h2s Td7s6h5c2s 
QdTs3h2s2c Jd8d6d4c3d As9h9c6c2c 8d7h4h4c3h 
Th9h5s5d2h Td9s6h3s2s Ad8s5h4c2c Qd7h7d4d3c 
Ts5h5c3c2h Qs5s5d4s2h 9d7h4c3s3d Js7c4s3d2d 
Th8h5d3s3h Qh9s5s4d2c KsJh3h3c2d Qd4s4h2d2c 
As7h5d4c2d Js7h7c3s2h Qh9d7c4s3s Qs9d8d4h2c 
Ks8s6h3d2c Kc8c4h3c2h Td7d7c5h2d 9s7s6s4d2c 
Kh5d5c2s2c Ts9s6s3d2c Ac8h7s4d2h AsQh3h2d2c 
Tc8h6s2s2d Jh9c8s4s2s Jh7h4d3s2s Kc8c6s3d2h 
AsQs3s2s2d Qh5d5c4s3c As8d6h4h3c 9d7c5d3h2s 
KdTh8h3s3c AdQc7c3h2s Qh7c6s4d2h Kc9h5h5d3h 
Th7s6h6c2d 9d7d5s2h2c 9d8d4h3h2d Th7h5h3d3c 
7d4s4d2h2d 8h7h4h3s2s AdQc9s3c2c Ts8s5s3h3d 
Kc7h3h2d2c Th9c5c3s2d Qd8c7s7h3s Kh9d5h4h3h 
Ts8s5d2h2c AcTs4h2s2d Qc8h5s4s2d Qs8h6h4d3h 
Ad7s7h3h2s 9h6s5s2s2d QhJh6s3c2h Tc7d6s5c2c 
Qc8c5s3h3c 9c6c4d4c3s Js7h6d5c2h Js9h6h4h3h 
9c5d5c4h3s JdJc7s3d2h Jh8s8c4h2h KhQh4h4c2h 
Qs7d6c4h2s QcTh7s7d2d 9h7d4c3s3h Th6s5h4c2h 
JhJdJc8s8c Qc8d6d4h3d Qh7s6s3h2h Js8h7c6c2c 
As6s4s4d2s 6d4s3d2s2d QsQhQcTc3s Qh5h4s4c2d 
Qd8d5d4h2d AdJh6s3s3c Jh9c7s2h2d Tc8c4h4c2d 
Js9c7d2s2h Qh8h6s2d2c 9s8s5d3h2s Qc6c4h4c3d 
Ad9c4h4c2h Jd7s7h3d2s Jh7c6s3h2c KdJh3d2d2c 
Ks7d4s4c2h QsQhQdTh3d 7c6c5s3h2c QcJhJdJcTs 
Jd9d7d6d2s Qc9d5d4d3d Kc8c5c4c3s 9c6d4s3s3h 
5h4d4c2s2h Td8h5c2s2h As7c5h4c2d Jh8c7s4c2d 
Kh9d9c2s2d Qs4s3h2h2d Qc6s6h5d2s AsKd6c3h2c 
Jd9h4s4c3c 7c6d6c4c2c Jc5h5d4c3s Qs8h5c4h3h 
9s8d5d3c2h Js9s8s4s3h Kd8c7h6s2h Ac4s3c2d2c 
Ac9h6s5d2s Jd8d8c6d2d Qc6d6c5s2c 9h9c8d3d2s 
Ts7s6s4d2c AdQs7c4c2h Tc8s4c3d3c Ac9d8d4d3h 
Qc9s8c3d2c Td9h5c4c2c TsTd6s3s2c KsJd3s2s2h 
Qc8s8d5d2d 9s7h5c3d2s JhTd6s2d2c Th8s3s3h2h 
9d6d5s4d2d Js9d5c4c2c 5d4s4c2h2d Jd8c7s3c2s 
Tc7h6s4s2d Jd8c7c4h2s Th7h7d2s2c 7s7d6c3h2d 
As4s3d2s2h Ks9h9c3d2s Qh9d5s5h2h Qs9s5h5c2s 
Js9s5s2h2c 8d5h3h2d2c AcTs7s4s2s Jc8h6c4c2d 
KsKhKdJc7h Js9s3c2s2c Js9c7h2s2d Ac9s5h4d3s 
Qc9h7c4d4c Qd9h7h6h2c 8s6h4d4c2s 5s5h3d2h2c 
Td9h4s4h2h AdQc7s2h2c 6d5s5c3s2h 9c7s5h3h2d 
Qc6c5h3s2d Kh8d5s5d3c Jd7c6h5s2c As6d5d4d3d 
Qh8c6s4d2c Th6h6c5h2d KdJc8h4h2h KhJd9d3c2d 
Qs7d6d3s2s 8d5h3s2s2h Th6s3s3h2d Ts9d7h4c2c 
Qh8s8d7c3s AdTs4h2s2c Qh7s7c5h2d Ks8h3s2h2d 
Jd7s6h3d2s Ks8h7d6c2d AsTh6c4h2h Qc7s5d2s2d 
Ts9h6c2d2c Qh5s5c4h3h Jh7s7h5h2d JhTd7h2s2h 
Th8s5c2h2d Qc7c6c4d4c KhQd8c4s3c KdTs7s7c2s 
Jd7d4h3s2s 7d6h4c2s2d Kd5s5d3d2c KdJs5h3c2c 
AhTc4d2s2c Qs8d8c7d2h 7h5s5h4h2c Js6h5s5c2s 
AsTd6d4c2d Jd9d5s3d2c Kd7d6d4d3d Qc7d4s3c2s 
7c6h5s3c2c Qh7h6h3c2c Qh7d4s2s2h KsTs4h4c2s 
8c7h4s3h2c Jd7s6s5c2h Kc8s5d3h2c TdTc6d3d2s 
Js7d6s3c2d Kc9d6d4s4h Kd9s7c2h2d KhTs6d6c2d 
9c6d5h3h2h Jc8s7h3s2h Td9d5h3c2d Qs8s8d4s3c 
Qd8s6h4c2s Ks7s4h3s2h QdJd4h4d2d Qd8h7h7c2s 
Td5c3d3c2h 9h7s5c4d2c Jd8h3h3d2c AhQc9s4s2d 
Kc8c6h3s2d AhQd7c4s2c Jc8d3d3c2s Th6h5d4c2h 
KsJh7d4d2d Jc9s6s6h2d JhJc8d3s2d Kc8s3s2d2c 
Qc7h4c3s2h 8c7d4h4c3s Qh9h7d4h4c 9h8h7h4d3h 
Kc6d4s4d3h Ad8c7h4s2c Ah5s5d4s3s Ac9s6s5h2s 
Tc9h4c3d2s Ts9d5d3d2h 9h5d5c4s3s Qs9d5s5h2s 
9s9c6s4s2s QhJs7d7c2h Ac5s5h4h3h 8s5h5c4d2d 
Ac6s5d4s2s QsQc6h3h2h Jd8h8d4c2d Ad8c6s4h3h 
KcJh7d6s2d Ks9h9c7h2h QsQhQcJc4s Ts6s6h5s2c 
JsJd7c3s2h Qd7h4c2d2c QhTc6d2s2d Ks7d4s3s3c 
Qd9d5s5h2d Ah9d8s4s3c KcQc8s3h2d Tc9s6h2h2d 
Ks8c6h3h2c KhQd8s7s2s Jh9c6s2h2d KsQd9h4h4c 
8c5s4h4d3s QhQdQcJc6h Jd8h5d3c2s Qs9d7c4h4d 
9h6h4s4h3c Qh7h4s2s2d Qd7s6s5c2h As9d6d5d2h 
8d6s4d3h3c Ac9h9d5h2h 7c6h5c3c2d 8h8d6h3c2h 
Jd8c6h4c3c Qd6c4s3h3d Ah8d5d4d3c Kd9s6c3s3h 
Qd7s4d3c2s Ac5s4d3h3d Td8s3s3d2d Td9h7h3c2h 
7c4s4h3s2c 9c8c7c3s3c Js7h5s5d2c KhJsJdJcTs 
QcJh4d2s2d Js8c6h4c3c Ac9d6h5h2s Kd7c6d4d2h 
8h8c6s3d2d Tc9h6s2s2d 7d7c4d2h2d 9s8s5c4h2s 
QdJs7h6d2d 9d5s3s2d2c KhTh5h2s2d Qh5h4d3s3h 
Jc4h4c3h2s AdKd8d3c2d Qd9s5s4s3s 7s5s4s3s3d 
Tc5h5d3d2h 7d5c4d3h2s Ac9c6c3d3c 7s4h4c3c2s 
Qs9d6h6c2c Jh7h6d3d2c Ks9d6c3h3d 8c7d4h3s3h 
Kh5s4s4c3d Qc7d5s2s2d Ac6c4h4c2c Kh9s9d3c2h 
9d6h5s3c2s Ad5d3h3c2d Th7h5h4c2s QsQdQcJc2d 
7c5h4c3d2s Js7c5c3h3c Qc8h8c3h2c Jd6h6d4d3c 
Jd7s6d3h2s Js9d8c4c2c Jd7s4s2s2d 9d7d6s4c2d 
6s6c5s5d5c KsJs6d3s2c Qc9d7h4s3d 7d4h4c3c2d 
QhJh7s3h3c Th6s5d5c2h AcTs6h4s2s 8d7d4s3h3c 
QcJh3h2s2d Qd6s3d2s2h Tc9s7c3c2d Jc9d8h3s2d 
KsTh5d2h2c 9h8h5h3c2s 8h5h4d4c2s Ac8s3h3d2c 
9c8d5d3h2s Js8s6c3s2c Tc7d6s4d2h Jc9d8d4d2h 
9s8d7h4h2c Ad9d6d3d3c AcQd3s3d2d Qc7s7h6s3s 
TsTd3s3h2s Ts7s4h3h2s Qs9h5c4h2d Th7d6d4c2s 
Jc6c4c3h2h Ad9c8h4c3s JsTh7h3d2h KcTs7c2d2c 
8h5h4d3h3c Qd8c5h5c2s Kc5s4c2h2c Qc8h7h3c2h 
Ac9s8h4s3d Ks9h8s4d2s 9s8d5s3h2c As9c6h4c3d 
QhJc7c6d2c Jc6d5d4h2d Qh6s5c4d2c KdJd6d3s3d 
9d7d5c3s2h 7d6h5s3s2s Ad9s5c4s3s Kd8s6h4s3c 
9d7s6h4s2c AsJh4c2h2d 7d6h6d4d2d Ah6s4c3d3c 
Ks8h6d6c3d 9h7h6h4h3h 9s8h4h3d2d Qs8d6d6c2d 
JcTc7c2s2h 7h5d5c4s2c Ac7h5s5d2s Th8h4h4d2c 
JsTh3h2h2d JsTh6h3h2d Kd7c3d3c2c KhTd5c3s2d 
AhQd9c3d2d Jc9h8d3s2h QcJd6h2s2d QhJc7h4h2s 
QsTs5s3h2s 8h7c4d3s3d Th7s6h3h2s Qh5s4c2h2d 
Qh9c5c4c3c Kh8c6s6d3d 9h6d3s3d2s Qc9s7s3d2d 
Qc9h9c7c2c Kd5s4s4h3c 9d7c5h3s2d Ts9d5c3c2h 
Qh7d4h3d2s KsKhKdTc6s JsTd7s2s2c Qh8s8d5d2d 
QcJc4h4c2c 8d5s3s2h2d 9c6s5d3c2c Qs9h8d4s2s 
Jc8d6d5d2d 7h6s5d3h2h Qs9d7d3h2h Qd8s5s4c2s 
TsTh5d3s2c 9c6d5s5d2d Kh9h6h4s2c Jc9h8d4h2s 
9h7s4h2s2h Qc7h7c3d2h Td9d6d3h2s QsTh6s2s2c 
AdKd8d3d2h QcTh3d2s2h Ah9d5s4c3d AdQs8s2s2c 
Kd7s7h3s3c 7s7c6h3c2d Ts9h6d3c2c KhTh4h2d2c 
Ts8d7c2h2c As9s8s4h2s Td7d6d4h2c Qs9c7d4h4d 
Jh9d9c4s2s Td6d6c5d2s AdJc6s3s3h Qh8c7d6d2d 
7s6c5s3s2d QsJh7s3s3c Ad9h9c4s3s Kh8s8c5s2d 
AhTs6d4d2c Kc9c6h4c2s Ks8h5h4h3c QhJsJdJcTd 
Tc7s6c3c2s Jc8c6h3h2c KsTs7s3s3h 9s8h5h4h3h 
Jh7c6d3h2c Qc9s7h4h4d Jc9h5d3s2s Ks7s4s4d3c 
QsJs8s3h2c 7s7d6h3c2d Ac6h4d3s3h As5h5d4d3d 
9d6s5s3h2s Ac8h6d4d3s Jd4s4h3h2d Ks9d7d4c3d 
KsJh8h6h2h Js6h5d3d3c QdJh6d3s2d Qh7h5h3s3c 
Qs6d4c2d2c Ks8c3c2s2d Qd7c5d4s2d 8d5d4h2s2d 
QsJs7h4s2d KhTs7h2h2c KsJh3s3d2s Jh9c8h3h2s 
Tc9s7s3d2s JsJh6h4h2h Qh8c6s4c3c Jc9s4h4d3s 
KcJs7d4d2h 9d8d6h4d2d Kh9s5d4c3c 9h5s3c2s2h 
Ks8c4d3s3h QsTd6h3d2d Qc8c4d3c2d AdTc7h3c2s 
8s7h4h4c3h Jh8s5s3s3c Kc7s4c3s2c Td7s5d4c2h 
Ac8s5s4s3h 9c7d4s2s2d As4c3s2s2h JhJc6h4h2h 
8c7c5h3d2s Th9d5s3d2c Td6d4s3d2s Ac9s8d4s3h 
9c6d3d3c2d Js6d5c3h3d KhJd7c6c2c Js8s7s7c2s 
JcTs7c2d2c Kh8d6s6c3d Kc9c4s2s2c Td7d4h3h2d 
Qc6s5s4s2h 9d6s5h3d2d JsJh4s3d2s Ks7s3d2d2c 
Js9h5h5d2h Th7c6s5d2d 9s7s6c4h2s Qs6s5d3h2c 
7s6d3s2d2c Ks5d5c4d3d 7s6s5h3c2s Kc8c7h5c2c 
KhQd7d3d3c Jh9d4s4c3s Js8s7s5s3s Ah9h8h5h2h 
QsJd7d6d2h Qh8c7c3h2c AdJh7c4s2c 9d6s4s3s2d 
QhJh4d3h2h Ks8h6d6c3h Js9h7d7c2c Ah8h6h3c2s 
Tc9c5h3d2c Ts7h6s4c2d Ks8d4d3s2s Js4s4c3c2d 
Ah8c7c3d3c Jd9h5s3d2d Jd4d3h3c2c Jh4h4d3s2d 
Qc7c4s3s2d Js8d3s3d2c Qd9h9d3s2d JdTh6s2h2c 
Ad9c6s5c2c Jh9d4s4c3d Qh9d5c4d2s AcQh7d4s2d 
5h5d3s2h2c Jh8d7d3s2s Qh8d8c3s3h Tc4s4h3h3d 
Jc9c5c2s2d Qc9d8s4h3d KhQc9s4c2c QdJs7h6s2s 
Tc7c5c4h2s Qh5c4d2s2h Th9s5c4c2c Qs8c6h2s2d 
8c6c4d4c2h Qd8h6c4s2h Js7c6c5d2h 9s8d5h4d2d 
KhQs8d7d2d Qc6s5d4h2d Ks9h5h3h3c Js8d7h4d2c 
8h7s4s4c3s As5h5c4d2c Qh8c7c6d2c 9h7h6h4s2d 
Kd5h5d3d2c 9c8c5c3d2s KdJh5s5c2s Qd6h4s3s2h 
6d5s5h3s2c 9c8c7c4d3c Jh9d5h2s2h 8h6d4d4c3d 
Tc8c5s3h3c AhJd9c3c2c Qh7c6h3h3d JcTc7d3s2c 
Jc7h6s5h2d Js8h7d3s3c Qd9c5s5c2h AsQc7c6c2c 
Ac8d6s4s2s Qd9h7c4s3s Jc6s5d5c2c 8s8d5h3d2d 
6s5h5d3c2s Ac7d5h4s2s KdJc6s4h2s Qd8s5c4c2h 
6s6c3c2h2d Kh7s6s3c2c 9d5h3h2s2d 7d5d4s4d2c 
ThTd3s3h2h AdKc6s3h2s Jd6s6c5c2h Qh9h9d3s2h 
Ts9c6h3d2d AdKc6c3c2c Jc9d9c3s2c AdTh6h4s2h 
Ts9h6h2d2c Ts7s7c2h2d 7s7d4s2s2c Qd9d4s4d2s 
Qs9s8s7s4s TdTc8s3h2h Th9d5c3d2s Jd8s7c3h3d 
Jc8h7h5h2h Td7d5d3s3c Ts5h5c3h2c Ts5h5d3h2d 
Kd9c8d4h2d Jc8c5c3h3c Jd7h5h3h3c 9h7h5s2d2c 
9c7s6h4d2c KcQh7h3h3d Ts7h6c5d2h Kh9h7d3c2s 
Ts8d6d4d2d KsQc9d4c2c 8c6h4s4h2h Td7s6h5h2h 
Ac5h3d2h2d Ks8h8c6d2h 8h7h7c4h2h QsJh7s4d2s 
Qs7h6s3s3c Jc6d5s5h2c JhJd4h3c2h Ah6c5c3s3c 
9d7s7d5d2d Js9s4s3h3c Ks8h8c7h2h Qc7d7c3d2h 
Qh7h6h4h4d Kc9h7h6d2h 9s8h5h3c2d 6d5h5c3d2s 
Jd9s8c3c2h Jc9s7d2h2c KsTc5d2h2c 9h7h5h5d2c 
As9h8d4d3c Qh7s4s3s2h 9s8d8c3s2h Jh8s8d4c3c 
9d6d4s4d3c 9s7s5s5d2c Kc8s5s5d3h 9c5d3s3d2s 
Ks9d7h2s2c Ac9s8s4h2d Tc7s6s4d2h Ks9s8d4c3s 
9h9d8s3s2c Qc9c6h2s2d Jd9s6s4s3s QsJh8h3d2c 
Ad9h5h3h3c Ks6h4h4c3d Qc6s5h4d2h KsJc4c2h2d 
Kh8c4c3h2h Jh6s6h4h3c 9h6c5c2d2c Qs5d3s2s2d 
AcTh6s6d2d Ts9s6c2s2d Qh8c5d4s2d Qs8d6d6c3d 
8d6h5c3d2d KdTd6d2h2c 9s7h4h4c3h Jc6d5s4h2s 
8s7c4h4d3s Jd8h6s4s3s JhJc7d3c2s JsJd6h3c2s 
Qs4s3c2h2c Kh7h3d2d2c Kc8d5c2s2h 9c6s5c4c2c 
As8h3d3c2s Qd7d7c3s2c Th7h5h4d2c KdQd4d2h2d 
Qs6c4d3d2c 6d4c3h3c2d 9d8h5d3c2s Ks8h8c5h2d 
JhTd6c3c2s Qd8s8d2h2c Kc9s7h4s3s Qh7c4h4c2h 
Qs9h8d4h3c AcQs3s3d2s Kh9c7s4c3c Qs6d5s3c2h 
Qd8c6h6c3c Qs7s7d4s3h 5s5d3h3c2h Qd8h5c4s2c 
8h6c4s4c2c AdTs7s3c2h Js8c5c3h3c 9d5c3h3c2h 
ThTd5s3h2c Ah8h3d3c2s 7c5s5h4d2d Qd7s7c6h2d 
9c7c6c4d2h KsTs8s3s3d QdJh9d3d2d KhTd8s2d2c 
9h7h6c2s2d Ah9c5s4d3d Td7s4h4c3h Th6s6c4d3d 
Kc8h8c4c3d 9c7h4h3s2s Ks8h3c2s2c Ac8h6d4h2s 
Kd8h3d3c2h Tc8s4h4d3c Qs8h5h4c2h Qc8c5c4c3d 
Qh7s4c2h2c Qh8d7s7c3c Jc9c7h4d2s Ks7c4s4h3s 
7s6d4c2s2h 9h6d6c4s2d 8c5c3h2h2d 9c6s3s3h2h 
Jc8s5h3h3d KdTd3d3c2s Qd9h6s2d2c Jh8s7c3s2c 
9s9h4s4d2s Qh9s5s5c2d Qc6d3s2s2c 8d8c7d4d2d 
Kc9s7h3d2c Td9c5s3s2h 9c7s5h5d2h Ac9d6s5d2d 
Qh8d5s4c2d 9h6s3h2s2h Th8c6d2s2d AcTc5c2h2c 
Jh6s5s5c3s Kc7c4h3c2h Qh6d5c4s2c 8c7s4h3c2s 
Js7s4s4d2d Qd7d4h3s2h 9h7s5h3d2c Kd9h6h4s4c 
Qh8h8d3d2h Th7c4d2d2c Qd9s7c4h3s Js7h4h3s2c 
Ac9s9h5d2d Th7h6h4d2s 9s9c8c3h2c Kh8s3h2s2d 
Qc8s8d3h3c JdJc6h3s2d Qd6d3c2h2c AsQh9h3c2h 
QdTd3s2d2c Kd7c5c3s3h 8s6h4c2d2c As9h6d5d2c 
Td9d7s3c2d 9s9d5c3c2h 7s6c4h2s2d KdTd6d2s2h 
AhTs7h3h2h Kc7s6s5s2d AdQc4s3s2h Kd7d4h4d3s 
Ac8c4d2s2c Jd8s7h7c2s Ad9s8c4s3s 9c7s4d3d2c 
Tc8h3h3c2c 9s9h7d4d2c Ah9d9c6s2s KcQd8h7h2h 
Qd7c6c5s2h 9s6d5c2h2d JsJd8c3s2s KdQc6s3c2c 
Tc5h5d3h2d Qh8d8c4h2s Kh8s8c6d2s QhJh6d3c2h 
Ad5c4h4c2s KcTd5h2s2d QsJs8s3h3c Ah8s7c4d2s 
Jd8d3s2s2c Js7h4h3s2d 9h6h5s3h2c QhJd6d4d2d 
Qc8h7d6d2d Jh7h7c3c2c Td7h7c4h2s 9h6d5c3d2d 
Js9c8d3h2c Kh8d7s6c2s Ts7s5s5d3s Js8s5s4h2s 
AcJd6d3h3d Qc8h7d4c2s Js8s6c3c2s 9d6s5s3c2s 
KdQs9h4h2c Kh8c7d5c2c 9c7c6s6c2c Td6s6c4d2h 
Ts7s7c5h2s AhTsThTd4s 9s7s5s5c2h Ad8h6d3c2d 
AcJd6d3s3d AdJc5c2h2c Kh9c5c4d4c 9s8s5s3d2c 
8c6d4h2s2h KdJd5d4d2d Js9s8h3s2c Ts8s4s4h3d 
Ac7h6h3h3d Qd7c6h5s2h KdTh6s6c2s Jc8h5c2s2d 
Qd9h7c3h2c AsKs8c3s2s AdQh6c4c2c Ts6d4h4c3s 
9h9d7h4h2c QcJs7c4d2c 9c6s5s3d2s QhQdQc8s8d 
QhTh7h4d2h Js8s7d3d2s Jh7c6s5s2d 8h8c7h4h2h 
Kc7s4d4c2h Jc7h6c5s2c Js6d5d4d2c Qh8h8d3s3c 
Ts8s5s4d2s Qd7c4s3d2s As5s4s3s2c As9h8h4h3d 
Qh9d6s2h2c Jd8h6h4c2s Ah9h8h4c2h QcJs6h3c2c 
8c6s5d3s2s Jh9h6h6c2d Ts7c6s6h2s Ks9d5s4s3s 
Th7s6h6c2h KcTc4c2s2h Qh5h4d3h3c 7s5c4s3d2h 
8h6s4h4c3h JhTc6s3s2d AdQs7h4c2h Qs7d4c2s2c 
9s7h5d4s2s As7c5d4c2h QcTc7c4d2c KhTc6s6d2s 
Jh6s5s4c2s Ks8d8c6h2c KhQd8s4s3c AsQh7d6d2d 
As7h3d3c2s Qd7d4s3h2s Qc6s6h3s2h KcJc3d3c2s 
KcQh4d3s2d QcTc8c3h2c Js7s6c5h2s AdTs6s5s2s 
KcQc6h2d2c Ac4c3s2h2c KdJs7s3s3c Ah8s8c4c2d 
9c8d7h4d2s 9c6c5c4c2d 7h6h6c4h2h AcQc6c2d2c 
9c6c5s4c2c Tc7c4h3s3d JcTd7c2h2c Qs7c5s5h2d 
AsTd6d4h2d 6h6c5h5d5c QsJs7d4s2h Qs8d5h4d3d 
Jh9c8d4c2s Kd5h4s4h3c Kd8h8c7c2c AsJc3h3c2d 
Qd9s7d4h4d Ad9s9c5c2c Jh9s8c3c2d Qh8s7s6c2s 
Ad9c8c4h2s JhTh7d3c2h Tc9h4s4h2d As7d5d5c2d 
JhJd7c3d2s 9d6h6d3c2s Kh8s6d6c3c Kc9c5s5c2d 
Td7s5d4h2c KdQs8d3h3c QsQc6d3d2d Ad9s9h4c3c 
Ts6h5s4d2s Kc9c6s4c2d Qs8c5h4c3c Jc7s7h3s2c 
Qd8s6h4s3s KdQs7c2h2d Qh8h5d3h3c ThTd7c4c2s 
Qs9s4h2s2h KcQh9s4h2h Ah9s8d2d2c Kh9h6h4s2d 
Tc6d5h4c2c Ad7d6c4d2d KdJc7h6h2h QhJh7h4d2c 
Qs7c5h5d2s QcTd7s3h2c Td7s4s3d2s Jh7s6c5h2h 
Ks8h7s4c2s Tc7d4s2s2d 8d6d4s4d2c QhJc7s6c2c 
9s6s5s4s2h TdTc7s4s2h Js9s9h3c2s Ks5h5c4h2d 
Qd9s7h6c2c Kc8c4s3c2s As5d3c2d2c AsTc7d3c2h 
Kc9h9d5h2h KhTh4h2s2c 8d5c4s4h2h Js8h6d4d2c 
Kh9s9d6c2c Qd8d5d4s2d Ks9s4h3d3c Qc6h6d5s2d 
KcJd8c4c2c Th9h7h4h2s Qh9d8c4s3d Ks9d7s6s2s 
6s6d5s5d5c Js9h4s4c3s QhTd4d2s2c 9c8c5s3h2c 
Qh9h6c2s2d Ts9c7d4h2h Kd8h8c5c2s Jd9d5d3c2h 
Jd7c4s4c2s As4h4d3h2d Ts9c6h3h2h Td7d4c3c2d 
Qh7h4s3d2s Jd9h7s6h2h Kc9h5d5c2c Kh5d5c4s3s 
9h6s6c4d2s Ah7h5h2h2c Qc8d5s5c2c Ah6s5d4d2d 
Qh8d6c4d3d AsJc6c3h3c Ah9c7d6s2s 6s6h4s3d2c 
7h5h4h3h3c 9h6c4s3d3c Jc9c5d3c2h Ah8s6h3c2h 
Js9s7c4d2h KhJd7s6s2s Kd8s5c4h3s 9d5c3c2s2d 
Js6h5h4d2h Ah9s9d4c3c Js8c7c6c3c Qc9d8d7d2d 
7s5c4d4c2h Qh5d4s4c2h 9h7h7d5h2h Jc7c4h4c2h 
8d5s3s2d2c KhJc8s4c2c 9s7d5h5c2h Qs9c7d5d2h 
Ts4h4c3h3d 8h6c4h4d3h Kc9s7d2h2c AsKs8d3s2s 
Qh8s5d4s3s Jd6h5s3s3c Ad8c5c4h2c Qh9d7d5d2s 
AcKd9h3s2h Ad8s7c4h2s Th7s6c5c2c Tc9h5c2s2d 
KcJh5s5d2d Js7s6d5c2s 9c7c6h4s2c 9d7s5s5c2s 
QsJs6c3s2d AcJh4s3h2d Td9d7c3s2d 9d7s3h2s2d 
Kd8s7s6s2c QcJsJhJcTd Jc8h6s4s2d AsJd4h3d2c 
QhJc7s7d2h KdQh6c3h2h Td8s4h4c3d Jd7c4c2d2c 
Th9s6h3h2c As6d4h3h2d Jc5h5c4c3d 9d7d5h5d2s 
Kc8s5c2h2d Qd7s7c6c3c QhJh8h4c2h 8h6s5s3s2d 
Kd6c4s4c3h AcTc6s6c2c Ac4s4h3h2s TsTc7d4d2h 
QhTh5h3d2h Ad9h8h4s2c Ts9h4d2s2c JsTh7h3h2d 
Tc9h4h4d2s Kd7d6s4h2d Td8c5c4c2c QhQdQcJh2c 
9h9d6h4h2h Kc9d5s4c2c TsTd7s3h2c Kh7h4c3h2c 
Qs7c6s3s3h QhQdQcJdTd Kh9h6d4c2h Ah9c6s4c3d 
KsQc8d4d3h As9c5d4c3c Js7s6h3h2d JcTd7d3d2s 
Ac7s6s3s3d QcJh7s7d2c KdQc4s3h2s AcKc7c3s2c 
