8s6c4d3s2c 
Qd8h7c5d3d Qs9s9h4d3s Jd8c4s4c3s QdJh6c4c2s 
5h3h3c2s2c Ac8s6h5s3s Js9h7d5c2h Jd9d7d4s4h 
Qs9h4h4c3c Qd9h6s4h4c Js8c7d4s3h KsQs9s6h2s 
AdQc9c5c2c Js7h6s4d3s Kh5h4s4c2d Th9d5d3d3c 
8h7c6c3h2d 7d6h4h3d2d ThTd6c4c3c Ah6s5d4c3d 
8s7d7c2s2h Jc7d6c4d2c 6h5c4s3d2s Qh9h6h5h3h 
Ts8c6h3h2c 9s8c5h4h3d Td6s5c4h3c KdJc6h5s2s 
Qc6c5d5c3s Kh9h8h5h3s KdTs6d5d2d 8c7s5d5c2h 
Td7s5h5c3d KsQsQhQd5d Ts9h5s3s3c Qh6h4c2d2c 
8c7c5s4c2d As7h5h5d3h Td8h7s6h2h Ad7d6s5d2d 
Kc9h8s6d3d KcJh8s6d3s AhTh3s3h2d Td7h6h3d2s 
Ks8h7c5d3d Kd8c5s4d3d Qc9h7c3d2d Kc8s8c5h3c 
8s6c4d3s2d 7h7d4h4c2h JcTc5h2s2c Tc8s7h4d2c 
Kc9c6s4h3c KsQs9c4s2h 9s9h4s3d2d KsTh7h4c2d 
7h5s4d3h3c Kh7s6c4d2h Jh9c6c4d3s 5d4s4d3h2s 
QhJh6c4h2s JsTd5d3d2h AcJc6c5c2d AhTd7d6c2d 
9s5s4d4c2c Js9h7s4s3d Jh9s8s7s3s Qd9d8d3s2s 
Jh9s7s4d4c 9d8c4s4c2s Jh8d7h6s3h KcJc5c4c2h 
9s6s5s4h4c Js8d6d4h4d QhJd5d5c2d KsJc9h3c2d 
Jc9h6s4h4d AcTh9s3h2h 9s8s6d4c2h Td9s5c4h2s 
AhQc9c4c3c Tc7s5s4s3d 8h7d6d2s2c AcQs7c6c2c 
Js3h3d2s2d Jd8h8d7d3s Qc8c7s6d3c Ts9h5d5c3h 
QsJh8d7c3d KcQd8h4s3d Ad9d7h7d2d AcQd3s3d2h 
Td8s7h4c2d As7s7d5s2s AhKc9d6d2d KcTd6s3h3d 
Qh7h5s2s2d Jc8d4h4d3h QhJd4c2s2h 6d5c4s3d2h 
Js9c8h6s2s Qc9d8c5c3c 8s6h6d4c3d Kd8h7h4s2s 
Qh9c4s4c3s Kh7c4c3c2h Jc9h6s3h2s QhJc7c6c3c 
QsJs5s3d2h KsQh8c6c3c Qh7c5s4d4c Qh8c6h5h3h 
Jh5d5c4c2d KsJc8h7d3h Js5s5h3c2h 8d7s5s4h2s 
Qh4h4c3h3d AdQs8h6h2h Js9h6s6c2d Jd5s4s2h2d 
Qs9d4h3s2h QhJd9c6c2c QsJd4h2d2c Ah8c6d5d2s 
QdJh5s5c2s As6c5h4d3h 9d9c8d7d3d Qh7c6s4c2s 
Jd9h6c4c3s 7d6h4s3s3c Qc9s8d6d2d Td9h8s3d2c 
Ks7h4h3h2s Jc8h7d6c3c KhTd8s4s3c Ad7h5s3h3c 
Jd7h5s3d2h Ks8h7h4d2d Jh8s5h5d3c Qh8s7h6h3d 
Jh7s7c5c3c QdJs5h3s2s Jc9s9c7c2c Qc8c6s3s2d 
Qd7c6d4s3d Qd8h8d6d2c Jh7h5h5c3d 9c8d7c3d2d 
8d7h7d3c2c Ah9s8d5d2d AdTc9c3s2c Jd9d8d7s2d 
Th9h8h3h3d KhTs4d2h2c Ah9s8d6s2s Jd7s5d3h2h 
Qd9c8s5s2h JhTd9s9h9d Qd8c6h5c3c 8h8d7d3d2h 
Jd7c5c2d2c 9d8d7s7h2c KdJs7h4h3h 8c5c4c3h2h 
9d9c4c3h2d Qh4s4h3h3d 8c7d6s2h2d Jh7d6d4s2s 
Jh9s9h6h2c Ad9h8c5c2c 7d6d4c3s3h Js5h4c2s2h 
Ks8s5s4c3d Js7h6h4c2c Ts9c5d4h2c Jd9s3s3h2d 
8s7h7c3c2s AsTc6c5c3c 6c5s4d3h2d Tc9d7s7h2h 
Qc5d3s3d2c Qh8s6h3d2d KdQc8h6s3h Jc9c7h7d2s 
9d7d7c4h3d 6d5h5c4s2h Tc8s8h4s2d AdTc6s5s2h 
9s8s5s5d3h Js8d6h4c3s 9h8s5c4d3c 8h8d3h3d2d 
Ac8s6c2h2c Kc6h5h4s4h Qd8d7d5h3s Js6h5d4c3d 
Ts8s5h3h2s Kd9h8s5s3c 8d6h6d3d2h JhJc9d3s2s 
Jc7h7c2h2d JcTh7d4d2d Qc9c8c6c4c Qs8s7s5c3d 
9d8s5s3s3c Jh7d6h4h2d Th8d5d5c3s 7s7d6c5h2c 
Jh5c4c2h2d JsTh7h4h2d KhTd5d4d2c Qs6s6h2s2h 
KdQc8s4h4c Ad9h8c5h2h Jh9c4h3h2c Td9h9d3s2d 
7s5h4s3s2h AsTs8s3s2h 9h7h6h4h4d KhQh8s4c3h 
8s6d4h3s2h Kc9c6d4s3c Qc8s5d3h3c KcTs8s5s2h 
QhTh5d3h2c AdJc8h4s2h 9c7h7c5c2s Qh9c4h2s2c 
Td7s5s5d2s 8d7h5s2s2c 6d3h3c2h2d Ks6c5c4d4c 
Jd6d4h3h3d Qs7s5d3d2c Kh8s6c4h3h AcKs5d2h2d 
Kc9h6c4s2d Js8d7h6s3s 8h8d7d4s3d Kh5c4s3c2s 
Tc8h6d4s2s TsTh6d4d3d QdTd5c3d2s 7h6h5h5d3h 
Ks9c5s4s4d KhJh5c3h2s QhTs5h3h2d 9c7d7c5c2s 
Jh7c5h3s2c Qd8h6s5h3h Kc9s9h8d4s KdTs6c5h2h 
Ks9h5s5c2d Kc8s8c4d4c 7d4s4h3d3c KcQh6h3s3h 
9d6c4c3h2d 8s7h6c3c2h Th9d8c4s2c Tc8h7s7d3s 
Qd9s7h7c4h AcQs7s6h2s 9h8s5s3s3c KcTsTdTc8s 
9c8s7d4h3d Td8s7h4d3d Jc8d8c7c3h 8d7h6d6c2s 
Ac8h6s5h3h Qd7s7c6c2s Kc9h6h6d4h QdJd6h4d2c 
QdTd8d2s2h Qh8c5s5h3d QhTc4s4d3d KcJc7h7d2s 
JhTs4d2s2c Tc8d7s7h3h ThTc7c4s2d 9h8c6c4d2s 
Jh9d7s5c2d Ah9h4s3d2c Qs9s9c5h2s Ks5c4d3d2c 
Kh6s6h3h2s Jd5h4h2d2c Js8s7h7c3d Ts8d6c4h2h 
KdJs8d8c3d AhTd6s4c3c QdTs5d4d2d Qh9s6d4c3c 
Js9s9d8s3s Qh6h5s5h3c Qc9h4s4h3s Jc9d6s4s3h 
As9c8h6h2h 9c8c6d4h2s Ts8d7c4h2s Jc9s7d5h2s 
QcJs7h6c2d AhTc9s4s2s Jh8d5c4h2h 9h5h4s4d2d 
Qh8d5h4s2h 9h8c6s4d3d Jh9c8s6d2d KhJh8d4s2h 
AsTs3s3h2d Td8c7s3d2s Js9d6d5d2c Jd6s6d4d2s 
KhTs8d4c2s Jd6c5s4h2d QcJd6s6h2c Jd8d6h3c2h 
ThTc6d5d2s Th9h9d3s2h TsTh6s5d2s KdTs4c2h2d 
9h7h7c4h3d Qh9c8s8d2c Kd5c4h3c2h Qs8s8h3h2d 
9h8s5c3h3d 9s8s7d7c2h KsJc8d6d3h JsJh6h6c2h 
8s7d6s6h2c Qc8s8c6c2d 5s4h4d3s2h QdTs7s6s2h 
Th8d7d7c2s Qh6h5h4h3d 8d6d6c4d3h Jc9s8h4c2d 
Ad5s5d3h2d 7h6c5s2d2c QhQc9s3s2d QdJs4s4h2c 
Tc8d6c3c2d 7d5s5c3c2d Jc9d8c6c3c Jd9c6h4s4c 
QhJc4s2h2d Th7s4h4c2s 8d8c7d4h2s 8c7d7c3d2d 
Th9c8c2d2c Qd9s9h7h3h Jd8h5h3c2c AcTs6h5s2d 
Js9h4c2h2c KcTh5s3h3d KdQd4d4c3d Qh8d6d3h2d 
Qd9h6s4c3c Qc6s6d2s2d Kh8d7d4s2s Qs9d6c4h4d 
As9s7d4s2c AdTs4h3h2s Jh7s6s4s2h Jc6s6c4c2s 
Qs9c5d5c3h AcQs9s5s2s Qd8d5h4d3s Jc9d4c3h2h 
9c6d4d2s2c Td8c7s7h3s Ks7h5d5c4h 8s7s6s6d2h 
9c6s6c5c3c Ad8s7s7h2s AhTh6h3d2c Js8h7c6d3c 
Qc9d6s4h4d QcTs8d2s2h Qs9d6h4d4c QdJs7h3s2h 
8s8h3s2s2h JhTs7d7c2c Qc8c5d4c3h Js7c5d4c3c 
Qc8c7c5d3h AsQc7c4d2h 8s7c6s6h2d QcJh6s6d2c 
9s7h7d6h2c Jh8d4c3d3c Qh7d5s4d2s Js8d7c3c2s 
As9s4d3c2h KsJs9s4d4c Kd9d4c2s2c Qd9h8s6s2s 
Td8c4s2s2c 5s4d3s2s2d Td8s5h4c3s Qh9c8h7h2d 
6s3h3d2s2h AcJs6s5s2h KdTs4h2d2c KcQc5h2d2c 
KsTh8s2d2c 8h6h6c4h3s 8h8c7d3h2d Qh6d6c2d2c 
Ad9h6s6c4s 9c8c7c5c2d Tc6s6d3h3d 7h5h5c3c2h 
8d7h6d3c2c QdQc7c4c2h KdJd8d5d2c Jd7s7c5s3s 
4s3h3c2h2c KhTc8c7c3c 8h8d7c6s2s Ts7c5h5d3s 
QsJh6d4d2c KhJd6s6d3d Ts8s8c7h2s 9s8d5c4h3c 
7h5h5d3d2h AdJd4d3h3d Qc8c6h3h2s AcTh4s3h2s 
7s7c4d4c2c Ah8d7d6d3s Jc9d4s2s2d AsQc9h5h2h 
QcTc5s3c2h Tc9c8c5s2c Ks9h8h6d2c KsTd7s3c2h 
AhQs9s5s2s Ah8s4s4d3d QsJc5h5d2h Td7d7c3s3d 
9h8h7h6h2s 6c5d4h3s2h 9c8s8c6c2c Jd9d6h5d2s 
Qs6h5d3s3c KsJs6s3h3c Ad6h5s4h3c QcJd9h6h2h 
7s7h6c2d2c Qc8h8d3c2h 8s8h4c3h2c Jc9c8c7s2c 
Tc9c7h5c2d KcTc8d8c3c KdJd9d4s4c Kh6s5s4s4c 
Jh8s7c6h3h Js7d5s3h2d 6c5s5c4c3h Ad9c8s6c2c 
Qc9d7c4d2d AhKs9c6c2c QdTd6c2s2h Qd8h5d5c3s 
Jh9c7d6s2h 9h5s5h3s2c AdQs9h4s2c Ah9h5s4d2h 
Ts6h5s4s4d 7s5d5c3d2s Js9s7d5s2h 8h7s6s4s2d 
KhQs9s8s3s KcJh8s5d2d KdJd9s3h2d Td9d3s3d2s 
QhJc8d4c2c AsTc9h3d2c QdJs4h2d2c Ks8c7s6s3s 
Ad9h6s6c4c Js7c4s4h2h Kh8c7s4s2c Jc6d6c2h2d 
9c8d4d4c3c Qc8d6s5d3d Kc9d6h6d4d 9s7c6c5c2c 
7s6s5s5h3s JhJd9d4d2d Kh8h8d5s2h Kc6h6c5c3c 
Kd8s5d4d2c 8d7c6h4s2h AdJs4d3d2c QcJd4h2s2d 
Tc5d5c4d2d KhJd8c7d3d Qd5c3h3c2d AdJc8s4h2s 
Jd9c8h3s3h AsQh3h3d2c Tc8h8c5c3c Qd9d6c2d2c 
Ac6h5h3s2s Ks8c6s3h3d Jh6c5c4s3d QdTs7s3c2c 
Kd8s7c3c2d QhJd9s6s2s AsQs3s2h2c JsTc7h7d2h 
KdTd8d4s4d Jh8h7s6d3h 8s6d4c3s2c 9s8s6h4c2d 
7s7h6d5c2d Ts9d8h4c2d Kh8c6s5s2d AcKs6s6h6c 
Kd8h6c5c2s Jd9c7h3c2h QdTc5d2s2h KcJc6h3s3c 
Kd9s8d4h2c Td7h5d3c2h Jc9c8c7c3h Th9d4h3s3h 
Qh9s6s4c3d Ks9h7s4s4c 8h6s6c4d3c KhJd9d6c2d 
JdJc9h3h2s 8h5h4h3s2s AsKd9h4h3h Td9h4h4c3s 
9s8s6h3s3d QcJc4h4c2d Th9d7h5s2h JsJh6h2h2d 
9s9d8c7c2c 9d5h5d3h2c QhJd6s6c2h KdJd5d3c2s 
QcJs5s5h2s Ks6d5h5c3h QhJc7h3s2s Js9c8c5c2c 
AsTh6c5h2d 9h8h6h4h4c Qc9c5s5h3c KhTh8h4h3c 
Ad8s5c3d2d Jd9d6h5d2c 7c6s4s3c2c AhJc7h3s2h 
8s7s6s4d3s QsJs4d3c2s 8d7d6d6c2h Ks9c8s4h3d 
9s6h4h2s2c Tc8c7h7c3s Qs7h6s4d3s 8s6c4h3s2c 
KhQh8d4s3h Ac6s5h4s3d 9s9c8c4h2d 9h9c4h3s2s 
KdJh8s7c3s Qc9c7h7c3s Th9c4d4c3s 6d3s3d2s2c 
Jd9c8c7c3c Tc8h6d4d2d 9s6d6c5s2h JsTh7d7c2c 
KdQd9d8d2h AdQs6d2d2c Qc6d5s3h3c Js7s5d3c2c 
AcKs8d4h2h Qd7h5s4s4c QcTc8c2s2h Td6d5c2s2c 
Ks9d5s5h2c 8s7h5s4d2s 9c8h7d4s3d JcTh6s4d2s 
Tc8s5h4c3c Qh9d5d5c3s QhJs8h6h2h Ts9s8h4d2s 
6d3h3c2d2c 9s8h5s3s3c QcTs7c5c2h Jc8s6h4h4d 
Ad6c5c3s2s Kd9d5d4h3s 8s6c5s2s2h Th7s5s4s4d 
5s4h4c3s2h JsJd7c5h2h Jd9d5d4s3d AhJc6s6h2h 
8s8d7c3d2c Td7h5d3c2c QcJc4s3h2c Qs8d5s5h3c 
Kc7d6d4s4h 5s5h4h4c2h Qd9c8s7c3h Ks9s7c6d2s 
Th9c4h3s3d Qd6h5h3s2s 8d7s5c4c2c Jh9s9h6h2d 
Tc9s4c3d3c QdJc6d3s3d Jh8c7d6s3d KdTh4d2s2c 
KsTc8c7c3c Kc8h4s3c2h QhTs7s4s3s QdJs5d2h2d 
AhJd9d4d2s Ad8s6h5s2c Jd7d6s6d2s Kh8c5h4h2d 
Th9d8d2s2d Jh8h7h4s4c Ah9h7d4h2c QhTd8h3h3c 
9h7h6h4d3h KhQh9h9d2h KhJh5h4h2c AcQd8s4s3s 
Th8d8c5s2c Th7h7c3s3h Qs8c5s5d3h Jd8h6s4s4c 
9h8c5d3s3h QdJc8d4s2d Jc8h6s5s3s 8d7s7d3c2c 
KdTs8c4c3h Jh3s3c2s2h 6s6c4d2h2c Ts9d6h5h2h 
Js6s6d2d2c 8h7d7c2s2h Jc7s5h5c3c Kc9s9d4d2s 
8d5s5c2h2d 8d6s5s2s2c Qh8c5d4s4c QcTh7h6h2d 
Jd8s8h5h2h Js8c5d4s3s AdJh6c4h3h Th8d6c4c2c 
Qh7s6h4d3h AcQh3s3h2d JhJc6d6c2c Jc8c7h6s3c 
AdJd9d4d2s KcTs8s5h2s Jh8s8h7h3c AhJs8d4c2d 
As6h5d4h3c Jh5h5d3s2d Qc7h5d4h2d 9d6d4h3h2c 
Td9h8c4s2h QsTh5s2d2c QdJh5s5h2h 8h7d6d3h2s 
AhQd3d3c2s Ah9c7c5s2d Jc6s5h4d2c Qd9s9d3h3d 
Qc9h5s5h3d Tc6s5d3s2d Ah8s7s6s3d KhJd8s5c2c 
Qd7h5d4d3s Jc6d5d3c2c Qc7c5h4d4c 9d8s5d3d3c 
Kd9d7c3s3h JhTs7c4s2s Ts9h8c4d2h Js8d5s5c2h 
Jh9s6c4c3d Qs9c8d7h2c Qs9d8s7s2h AhTd4c3c2d 
8c7d6s6d2h Tc7d7c4s3c KdJh8s6h3h Ad8d5d5c2d 
9h7c6c5c2c 9c6c4d3d2h QsJh8s6s2s Ks8d8c7h4h 
Qh9s9d7d3d Qh9d5h5c2s Td8s8c4h2d Jd5c4s2d2c 
Kh9s7h6h2c Js8h5s5d3c Jh8d5s5h3c Kh9s3d2s2h 
8s8c4d3s2d Js5s4d3s3d Jd6s5h5c4h 8d5s5h2d2c 
KdTd8h8d2d Kc6c3s2s2h 9c5h5d3d2h Th9c8d4c2s 
QhJs4s4c2d Td8h6h4c3h AcTd6s5s2h JhJd8c4c3c 
Jc8c5h4d3c KdJd9d3h2c As9s5s4c2h KcQhQdQc7h 
JhJdJcTc7d AsQc3h3c2d KsTs6s5h2s Th7s7c3d3c 
Jc8h5s5h3d 8h7d6s3s2h Js8d5d5c3h 6d5s4h3c2h 
Jc8d6h4s2c 8h8d7s4d2c 6c3s3h2s2c Ad8d6d3s3c 
Ts9s7s3s3d Kd9c5d4h4d Ts9s8s3s3h ThTd7h4c2s 
9d8c5s4h3s 8h7s6s2d2c QhJh7d2s2d 8s7s6s4s3h 
Qs9s6s4d4c Ts8h7c4s3s Th9d4s4c3h 8s7c5h4s2s 
Ts8h4d3s2d Th8s7c4d3c Td9d8c4d2h KdQh8c4s4h 
Kc8s7d4d2s Jd9h6s3h2s Qd9h8s7d3d 8c7d6h6d2s 
Td8c6h3s3d QsTh7s5s2c AhJh4h3h3d QcJd6h4h2s 
Kd9h8s7c3s AdTs7s6c2s KdQh9c4s4h AsJd9c4c2h 
7d5s5h3h2d AcTh6d5h2s Js5s4d3d2h Jc9h9c6d2c 
KhTc7d6d2d 8c6h6d4s3c KcTd6h3s3d 8c7d6h3h2d 
Tc9s5d4h2s AhQc8d4d3d KsJd8c4d3h QcJd6d3s3d 
KcJc7h6d2c QsJh8d4s2s KcJh8d4s3h ThTd6s4s3s 
Qs9s7s5s5d KhJh9h6s2h KhTh8h4h4c 8h7c6c4c2s 
KsJc9d4c2h 9d7d7c4d3h Ks9s9c5s2d Ah7h5h3s2d 
KhQd8s5c2s Qc9h9c4d3c Jh9s6d3s2d Ks8c6h5d3d 
Jd8s8d5d3d Jh9c4d2d2c KdQs5c3s2s Js8d5d3c2c 
KsJs6s3d3c AhJh7h2s2c Ac6s5d4h3d AhQd9d4d3d 
KdQd9d8d2s AsJh8d4c2d Kd9c6s6h2d 5s3s3c2h2c 
Jh7d7c4h3s Qd8h5d3h2d Tc9c8s4c2d AhJc9s4s2d 
KdQh4c2s2h Ts6d6c3d2s Jd9h6s4c3h KcJd9h3d2s 
9h9c6d4s2h Jh7h5s3c2c Jc8s8h5s2s Ts7h4s4d2h 
Js8d4s4d2d KhTs8d5c2c KcQs8c4c2h Jd5d4h3h2s 
Js9s5s5h4s Kc9c7s2s2c Jh9d6s5c2d QhQd7c6c2c 
Kd8h7h3d2h QhTh7s5c2h Ac8d7h5s2s Js9d3d3c2s 
Kd8c7s4s2c 8s8d4h4c2d Qc9d7c3s2s 8h7s7c6d2d 
Kd8h5s5h4c Ts8c6d3h3d Jd9h5s3s3c KsJhJc7d2d 
Qd8s7d6c2h KcTs7h5s2d AhJc6h6d2h Ks6d6c5c3c 
Ks6s6d5s3s Jd9h7d7c2s Td9s8s3h2c As6s3d2h2c 
7c6d5h4c2c 9s7s7h4c3s Ad9h8h5c2h AhJs5s3d2c 
Qh8h7h5d3c QsJd5d5c2d KdJd8c4s2d AhJh9h4h2s 
KdQd9h4d2c QhJc8s7c2c Kh8d7h5s2h Ac6s5s3h2h 
9s9c8d7d2d Jh5h4s3d2d Jd9h5c3s3c KdTs5s5h3s 
8d7s7h5d2d Ah8c6s5c2d JsTh7s5s2s Jd9s6c4s4h 
Kc9c7d2d2c 7s6h5h4h2c AdJd4d3d3c Js8s7d6h3s 
Js8h7d6s3s Qh9c8s5s2s AcTd8s2s2h Qc9s5s5h3d 
Tc7h5d3s3c Th9h8c4s2h Ts7c6h3s3d Kc5h4h3d2d 
Tc9h4s4h3d Ac8h6s4s4d KcQh8h7h2s Tc7s5s4s4h 
JhTs6d6c2s Qd7c6d2s2c QhTh6d2s2c KdTc9s4h2h 
JdTh7d3c2s Kd7c6h4h3s 8h6h6c5h3h Jc8h5d4c3c 
KdJc5d3d2s Qd9s8h6h2h 9d6h4h3c2d Ts8h5d4c3h 
Th9h5d4c2s Qd4s4d3h3d Kc6s5s4s4d Kc9s5c4h4c 
Jc7s5c2s2d KdQc4h2s2c AsQh8c6c2c AcJc9c4c2s 
KdTh8c4s3s Ac7s6h4h3d Kc8h7s6d3h KhJs7c3s2c 
KcJh7d3h2d QdJs8c4d2d Jc8h7d3d2c 9d8h8d4c3d 
KdJh9c4h2s Td6h5c4s3c KdQs9h4c3h 9d8h7s3h2s 
Kd8c6c5h2s QcJc4h3s2c KhQd5c3d2d AhKs6s2s2c 
Ts5d5c4c2d JsJd6h6d2d KcTs8h4d2s Qs8s4s4h3h 
Td8h6c4s2s QsJh8c4h2h 8d7d5d4c3d Qc9s4s4d3d 
Tc9h8h3d2s Jd5s5h4s2h 6h6d5s4s2s KsJh7d7c3c 
9d8s4s4d2d 8h7s6h6d2c KsJc9s2s2d Ts5s5h4h2h 
Tc7s5h3d3c Jc8h5d3s3c KdQd9d8s2d 6h4s4h3s2d 
AdJs6h4s3s 7h5s4s3h2h 9c8h7s7d2d Jc9c8c7h2c 
Jh7s5h3d2s Qc9d7s7h3s Ks8d5h4s3s 9s9d8s7s3s 
Qs9d7h7c4c Tc8h6d6c2c Th8s8c4s2d Ts5s4c3s3c 
Ks8c5s3c2s AhQd5c4c2c KsTd6h5c2c Qd9h8s5h2c 
9h8d7h5h2h QdJc5s5c2c QcTd7d4d3d QdQc7d2s2d 
Ad9s8c5c2c Tc8c6c5c2s Jd5c4s4c2s Qd9d7h3s2h 
Jh7d7c5d3d AsJc8d2h2c Js6h6d5h3c Kh8h5h4s3d 
AcKh5d2s2d 6c5h4c3d3c AsKc5d2h2d KdTc7s6s2s 
Tc7d5s3d2c Js6s6h2h2d AsTd9c3d2d KsQs8s6s2d 
Kc9s9h7s3s Ad9d4d4c3h Jd9s7h3s2h Qd7c5h3d2h 
7c6c5h5d2s 8s7c5c4d2c Ad8h5c3d2d AsTd8c2h2c 
Ad8h7h6h3s Js8c7h6d3h 9s8d8c7c3c TsTc7s6h2s 
Th8c7h3c2s KcTd4c2s2h Qd9s9h7s3s Qc8h5d3s3c 
Jd4s4h2s2h 9s6s6c5s3s Ac7h5s3s3d Ad9s7s5h2c 
QdJd5d3s2h Kd9c6s6c4c Td6s5d4h4d Th8h7h5c3h 
Qs8h8c3s2c 5d4h4c3d2h Kd7h7c5h3h Qs8s7s6s4s 
7h7c6s5d2s QdJc4h2s2d KsTh7c5h2d 9d8c5d3s3d 
7h6h5s3c2d Kc9h8d6d3s 6h3s3c2h2c Tc9d8d2s2d 
Ad6h5h3s2s KhJs9h2h2d KsJh7d7c3d 9h5s5c3c2s 
Js7s5s5d3c Ts8c6d5d2d Tc9c8c3s3c Ac9c6s6h2c 
KcTd5d4d2h Jc9h7s5h2d Qc9h4h4d3d AsTh7s4s2s 
Qc9d8s8h2d AdKc9s6s2s TsTd7c6s2s Ah8h6s2h2d 
Ts9s8s5d2s AsQs9s4d2s AcJd6d5d2h QdJh6s6c2d 
Jd8c7h3h2d Ks7s6d4s3s Js9s5c4s3s KcJs6h5d2d 
9c8s5s3s3d Qd9c6h4s3s 8h8d7s4c3s 9s9c5h2h2d 
7h6s6c5d2d QsTs8s5s3s Js9s6c4s3d Td9h8s4h2c 
AcKs6s2s2h Kd8h7c6s3h Jh8h4h4d2d Th9d8d3s2c 
9d8s8d4h3c Tc8c7c4s4c Tc8h7d4s2c 9h5s4c3h2c 
KdQd8d6d2s Ad9d7c4d3d JsTc7s5s2s Qh9s9h5d2h 
QhTc8h3h3d Kc8d7d4h2h KhJd8s4c3d QhJh7c3c2c 
KcQc4c3d2h TsTd6s5c2s 7c6s6d5h2c Qs9c7h4s4d 
8c6s6c3c2s JhTs6c4d2c Kh9d9c4c2d Ts9h8s4c2s 
Th7s5h3c2c Td8c5s4d3d Kh9h7s7h4h Jc6h5s3s2h 
Jh8d5d5c3s Js7c6c4d2d JsJc6c4d2c Jh7c6s6c4c 
Jd9h4s2s2h As9c8c5h2c Jh8s7h6c3h Kc9s5h5c2d 
9s6s5s4h3s Tc9s7s4s3s KhJd6c3h2s AcJs4c3c2h 
KhTc4s3d2h Js9c7c4h4d 9h9d6s4c2h KsTd4c3h2s 
KsQc8d5h2d 7d6d5h3c2s Ts8h6h4c3h Tc8s7c5c2h 
Jc6d5h5c3s QhJs8d7s2s Jh9h9c6h2s KsJd7c4c3c 
KsTsThTc8c Th9s3c2s2c KcJd8h4s3d Ts7s5d3d2c 
KdTc4d2s2h Ac6c5d4c2c 9s8s8d4c3h Td8c5c3d2c 
Qs9d7c4h3s Qd8s4s2d2c Th9h5s4c2d AsKd4c3h2h 
9h8h5h5c3d AsKd7d4d2d QsQd4d3d2d Jd6c5h3h2c 
JsTh4h3d2c Ad6h5c4s3s Js8d7h4s3c Ah5h5c4h3h 
Qh9s9h8h4h Kh8h8d4s4h Jc9c6c4h3d Qs8c7s6s3h 
Qh8d7c5h3h 8s8h4d4c3s KhTs6d5s2s Ah9h5d4s2h 
Ah5s5h3c2h AsQd4d3c2h Jc9s6s5s2h AcTs5h4s2d 
Th8h7h7d3c 9c8s4s4h2h 6h5s5h4h3c KhTsThTd8d 
Jc9c7h3h2h 9d8h6d3s3c Kh9c8c7c4c Kd9c7d4h4d 
Js9h5d3d3c QdTd7d3s2s 9d8h6c3s3c Qd9s9c8c2c 
Qs7s5c4s4d Jc8d5h4c2c JhTc4c3s2d Ad8d5d3h3d 
Td7s7h3h3c Qh8s7h6d2c KhJh8s4d2h JhJc7s5d2d 
Kc5c4d4c3h Th8d5h4s2c Kc9s8s6h3s TdTc7h6h2s 
Ad8d6h2s2d Ad9d5d4c2h KsJh9h6d2h As9s4s4c3h 
AdQh7h4s2c Ks8s8h5d3s QdTc8d3d2s Kh9d8s7c3s 
8h6c4d3h2d AhTh5d4h2h 8s7h5h4d2h Td9s6c5c2c 
Ad9d6s6c2d 6h5d5c4h3s 8h8d7d6d2s Ts7h5s3d2d 
6s5d5c4s3h Ts8h5s4s3d 8c6h5c2s2c JsJd7h5c2h 
AdJh6d6c2d As9h8h5h3h Ad6d3s2h2c KsQh5d3h2h 
Ac8s6h5h2d Ad5s5d3d2h Ad9h8s5h2h QcJd8h7s3s 
Kh8s7s5s5d Ah6s5d4c3c KcQc4c3s2d KdJd7h4d3d 
Jc9c5s5h2d Tc7d5d5c2d 8c7s5d2h2d Kd9h8h6h3s 
Qh9h4s4d2d Kc9h9d7h3h 9d8s6c4d3h 8c7d6c4c3c 
KcJs8d4h3s Jc9s9d6d2h QdJc4h2s2c Ks8h6c4s3s 
AcTh7s5d2s 8d7h5s5c3d 9d7h6d6c2s Kd8h7d5c2d 
Tc6s4s4c2s KsJs8h5s2s Jh9h7c3c2h QsJs9s8s2s 
Qs9d5c4d3h Kd9c6d4s2h AsQc9d4c2h 8c7s7d3h3c 
7s7h6h2h2d KhQd8s6c3s 9d8s6h3h3c JhTh6d3s2c 
Qs7c6s2h2c KhJc9d3c2s AdJd9d4d2c AhJh4h3s3h 
9d8s8d4c3h KcQc7c5c3c KcTh6d5h2h QcJc9d3c2h 
KhTc9s4d2d Qc7s7d6d2s 9h7s7c6c2d JhJc6h5h2h 
Td7h5s5c3d Qh8s8c3h2c Ac9s9d6d3d KhTc8c5d2c 
9h8s4s4c2c 8h7d6d4d2s 8d6c4s3d2c Qs7c5h4c2h 
Td7d5c3c2s Th5c4h4c3c Kh9s8s6c2d Ts8d5s4s3h 
Th9s7h5h2d Qc9h9c4s3c Qh9c8s6s2s 7s5h5d2s2c 
Ad9h6c5c3c Jh8d5s4h2h 7d7c4d3c2c Qs9d7h4s4c 
JhTs4c2s2d Th9s7h5h2c Kc8s7h4h2s 8s8c7h4c2d 
Qd9d8d3h2h 7h6h6d5c2h Ks8h4c3s2h Kh9s8d6c3c 
Ah9h5h4s2d 9c8s5d4h3h Qh8s5h4c2h AcKh6h3h2d 
Jh9s8c4h2d QdJh5h5c2h 9d8d5h4c3s 8h7c5s5c2d 
Qh8h7h5d3s Qd8c5h3s3d Js7s5s5h3c 8h7d5d4c2d 
