KdQsJs8s3s 
Ac9d6s5d3h Tc6h4h4c3h 9h7c4d3d3c Kd9h7s7h2s 
9d5c4h3h3d 9s8c4s4h3c AsTh7d3d2h Ks7s7h6s4s 
TsTc7d6c2h Ks8s6d3s3d KsTd7c6d2h Jd9c7h7c4c 
Qc9s8h5s3d AcTd9h5s2s Th5s4h4c3c Th9c7s4s3d 
Td7h7c4c2h 9s6s6h4s2h Js9s7d4h4c JdTd8c3s3d 
9s7d6c4c3c AhTsTc6d2c QsTc6s4h2s 9h8h7s6c2h 
9h9d5s5c2h Qd9s7s5c4s Ah8c7h4h2d JcTs5c4c2c 
KhTc8s5d2c KdTc6s3c2s 7d6s5d4d2c Ts7d5d4c2c 
KdQd8s5d2h AcTh5h4s3d QsJh8h7d2c 9c7s5c4c3d 
Ad7d6c4d2s Th6s5c4h3d Ks8d4d2s2h Qd9d9c4h3s 
Jd9d5c4s4d AsQd9h7h2c Qs9c8s7d2h Qc9s8h5c2c 
KdQh8s7h2c Jc6s5h4c3d QdTd8h7d3d QhTh7d4h3h 
Jh8s8c4d4c KsTd6h3c2s AcJs7s5s2d Ac9d7h7d3d 
Qc5h4c2h2d 6s6d5c4h2d Jc9c8c3d2d Ac9s8d6d3h 
Kd6d5h3s2c Tc8s7d5c3c QdTh6d3d3c QhJh9c6d2h 
TsTd6d3c2c KcTs6d2s2d Kh9d8c6d3s Jh8d4s4h2s 
TsTc8c5d2c Td9h7s6s2c Qh9c8d7h4h QdTs8h4c3h 
KsJs8s6d2c KdQc5s3h2c 7s7h5d2h2c KsJh6h5c2h 
KcQd8d6d3s AhQh9h3c2s Qc9d8d6h2s 9s9c5h5d2c 
7h6c5h4h2d Kd5d4c3s3h 8d7s5h4c2h Kd6c4h4d3s 
Qc9d7d5d4d AsTc7h3h2c JsTd6h5h2c 6s6c5h4d2c 
AcJh8d3s3h Ad7d4h4c3d AsJc7d4h3h Qc9d7h5s5h 
Kd9d8h8d4c 8s8c7d2s2h Th9h8h7h3c Th9d8s8c2d 
8d5d4s4d2s Qc9c8h4h2c Qh6s6c4s4d KdTh9s5h2h 
AcTs8d6d2d JsTd6s5s2h 9s9h6c5d2c JsTh4h3h3d 
AhTc6s6h2h KdQd8c4s3h Jd6h5h5d2d Js8d7d5d5c 
Ah7d5d5c3s TsTc8h5h2d Tc9c5s4d3c Ac8s8d5d3h 
6h4d4c3s3d KdTs9h4s2c Tc9h8h5h2s KsJc5c4c2d 
QhQd7c5c2s Tc8s8c5h2d Js9s6h3d2d 7s6d4h2h2d 
QdJh9s3c2h AdKd8d7d3d 8d5s5c3h3d As8c6d6c4c 
9s8d7d5d2c 9s6h5c4s3s KdJs8s5s5c KsQs8d5h2s 
KcJs8s6d3h Ad9h6h6c2c KdQs9c8h4c Jh9h4s3c2s 
KdTd8d6h2d Qh9s8s6d2c KdQd5h3c2d Js9s8s6c2d 
7h7d4h3h3c Kd6s5d4d3d KsTc6d6c3c TsTh7d6s2c 
JhJd5s4h2h KdQd6h3c2s Tc9c7s3c2s Ah6c5s5d4c 
QdTs9d5d2d AsQc9c4h3c 9d7c5c4c3h Ks8h8d5h5c 
7c6s4h2s2h KhJs9s4d3s Th7s5h4h2s AcJh9d5s2s 
Ad8h7s5h3h KhQs8h8c4h Jh9c7s7c4c KsTs5d5c2h 
Qh5s4h2s2d Qh9h8h8c2s KhQsJd8d3d Qs8d4h3s3h 
Qh9s9h7c3h 8s8d6c4h2s Qh9h8h8d2c QcTs5h4h2d 
9s5d4s4d3h AcJs9d7d2d KsJhJc6h2h Ad9s6c4d3d 
9h6s6h4s2h QsJd7c4h4d Qs9h8d5h5c QhJh9s6d2h 
Kc8h6s4s2h AhQh9c3h2s As6h5s2s2d QhTs9c4c2c 
9s8h7s5s2d 9s8s8c4s4h KsQs6d4c2s Qc9d7d5s4d 
QdTh6d4d2c QcJc9d7c2s 9d6h5c3s3c Tc7c4d3d3c 
9d7h4s3s3h Jc8s5d3c2d Kc7c6c5d5c Kc8s8h5c2d 
Kc8h8c5c4c Ad9h8s6c3c 7s7h4s3s3d AcKc8c4h2c 
Ad9s8c5c3h Kd9c6d5d3d As9h9c5h4h AdTc8s5s2s 
Qs9s8h3s3h AsKs7h2s2c AdTd7h7d2d Qc7h5d5c4c 
KsJd9c4d3d 8h7c4h2d2c Jh6s4s3h3d Kd9c8h6c3s 
KhTs9c4s2d Jd9s9c2s2h Qd9c7h5c4c QhTs8d8c2s 
Qh8s7h4s3h JsTd6s6c2h ThTc9c3d2c JsTd4h4d2c 
TdTc8h5c2c Th8d8c7s2c Kc7h6s6d4h Ks7h6h3h2s 
Jd7d7c5d4d Kc9s7d6d3d AsTs7s3s3d 9s8d7c5h2h 
Js9d7c4c2d Ks8d7h4c3s AcJd5c2h2c Qh9h9d8h2c 
AdTs7s4s3s QdJc8s8c3h Ad7c5h4c3s Jc7h5s5d3c 
KsTc6d2d2c 9s9h8h2h2c Ks9d8h6d3c AcTc9s4c2c 
JdJc8s5s2s JhTh6c5d2h AsTc9d5d2h Qs9h8s7c2d 
9s9h8c2d2c QcJd6h5s2s Tc7c6h4d4c Ad7s7c4c2s 
9c8c7h5c2d Qd9h8s6h3c Ac6d6c2s2c AdJc8h4s3h 
AhJd3s3d2s JsTs6h5s2d Jd6h6d4c2h QsJs7c3c2d 
Qd8h5c3c2d JhTs5d3h2c Td6d5h4s3c Jh9d7h3s2s 
AdKs7c3d2d KsJs7d5h2s 9c8s5s5d4s Kc8h6d5c2c 
JsTc5s4s2s QcJc9d7c3c KsJh8d8c2s Ks7c5h4c3d 
AhQs6d4c3d QsQc9h9d9c Kh9s6d5d3d Ad8s7d4d2h 
Jh6s5d4h3c Ah7h6c3d2s Kd9c6s5s3s Ts8h8d6s3s 
Ks7d5c4d3h Ts9h5h5c4h ThTc7d4d3d KcTd8s2h2c 
9h8s8d3d3c Ts8c5c4h4d Qs9h8h5h4h Td9d7h6d2c 
Ah8d7s5d3d Js8d7h5c2s Qd9h6h5h3h AsTd5d4c3h 
Kd9s9d8d3h Th6s6h4h2s Qc9h9c8s2c Ad9s6s6c2c 
7h6d4s2h2d Th8c6h4d3s 7s7d5h2s2c 8s8d7h6s2c 
Jc5s4s3h3c KcTc5d3s3c Ts9h7d4d3d QcJc4d3s3c 
QsTs9s7h2s Ts8h7d6s2c ThTd9d3s2d Js8d7h7c4d 
Ts9h4s3c2c 9s6d5s4h4c 9s7h6h6d3h QsTd8d6d2d 
7d5s4h3h2s Ac9h6s5h3d AhJd8s8c2c KhQd9c4s2h 
9c8s5s5h4s 9s9c8c7c2d Jh7h7d6h5h KcQd4d3h3d 
8h8d6c4c2s KhTs8h4h2d Jd9d5d4h3s Tc7c6h4c2h 
KcTh8c4c2s Ac5s5c4h2c JsTs8s3h3d QdQc9c3c2s 
KhQc7h4s4h Tc7h5h4s2s AdKc5c3c2c 9s7h5h4h4c 
KdTc8s2h2d Jd9s8c5h2c Ah5h4s4h2c Ks8h6s5s2d 
AdKd9d4s4d Qs9s7s5h5d AcJs9d4h3h KhQh6c4d2h 
QhTs7c5h2d As6h6c4h2c JsTs7h4s2c KdTs8d6d2d 
QcTh7d4s3d JsTs6d3s3h 9s7d5s5d2d 8s7s6s5s2d 
Jh9d9c8h2h JhTd6s5s2c KsThTd7h2h KcTh8h6h2d 
Th7h6s6h5h AdKh3s3h2h 9h6s6c4h2c 9h8s7d6c2c 
KdThTd3d2c QhTd6s4s2c Jc7c5c4h2h Js9c8h8d3h 
AcKc7s2h2c Kd9s9d4h3c KsTh9c4d2h JsTd4d3h3d 
5d5c3d3c2c 9d8c7d3h2c AsTs7c3s2d Tc8d6h4c3s 
KsQs6s4s3d 9c8s7c4c2s JsTh9h3h2h 9s7s6s5h2c 
Jd8s4d4c2c 8s7c6d5d2d QsQhJh7h2h Ah7s7d6c3s 
Qd9s9c5c3c AcJc8c3d2h Qd7s5d5c2s KsJc8c5c3h 
9d7d5d5c2c Ts7h5h4h2s 9d6h6d4h2h AhTs8d4d3d 
As9h6d4s3s Js9s7h2h2d Qc8s4c3s3d AcTh6d4s3h 
Ts7d5d4h2h Th5d5c4c3d 9s7s5s5d2d Qd8c4s3s3d 
6s6d4d3s2s Ad8s7d4d2c Kh8d8c5s5c QhTs7c4d3c 
AdJh8s4s3c As9d9c4h4d AhQhTh4h2h 9h8c7s5d2s 
Kc8h8d7s3c Tc9h3c2h2d QsJs8s5s2c QsTc7h6s2s 
QdJc8s8h3d QsJs4s4h3d Jh7s6c4h4d AhJs8d8c2c 
Qh7d6c5s3s QdJh7c5s2d 8d5c4h2h2c Th6h5d4c3s 
KcTh6d5s2h Kd8s8h6s4s AsQs9d3s2h Qd8s7s2d2c 
AcQh7h6s2d Qd9h5h5c4s KhTh6h4s2d QhTd6c5c2s 
AcQc8s4c3c QcJh9d6h2h KdTs8s6s2h Ts8s7c5h2d 
Jh8c7d6s3h KsQs8h5s2d Qc8c7d7c4s KhTh5d5c2s 
QcTh7h6d2s Qs9s8c4c2s Qh8d4c3h3c AdJc9s5s2s 
Jh9s9d4s4c Tc6s6h5d4c Qd9c8s5c3h KcJc7d4s2h 
Th9h7h5h5d KhJh8h6s2d 9h7c6c5c2s 8s7h6h4c3h 
AdKc3h3c2c Kh9h8c7s2h JdTd9d6c2d Jh9s8c5c2c 
KcTs8s8h2d Qs8s6h3c2c Qc5h4s4h3s AhQh7h5d2h 
QcTc7c5h3c Js9h9c5c2c Jd7h7c6s4s KsTd5h2s2c 
TsTd6s3s2d KhJd4c2s2h Jc7s7d6c4c 7d6h4d4c2c 
QcJc7d3d2h 6d6c5d2s2h Ah9h8h5h2d JdTd7h7d3d 
8s8c7h6d2s AsKh3h3c2h Ac7s7c4c2d Qs9c6h6c4d 
Ks7s6c3d2c Ac7c4d3c2d Qh9d8d6d3s AdTh8c3s3h 
Tc8s6d5h3d AdQh4s4c2h AdQs9h7h2c Js9h8d8c3c 
AhJd5h2h2c 9s8s6h6d4s As5d4s4c2s Ts9s7d6s2h 
Ts5h4s4c3h Qh8c4h3s3c Jh9d9c4s4c 9d7d5d4h3c 
Td8s7d5c3d 9d7s5s5d2s KhKdKc6c3d Jh7c6d5s3s 
Th9c8h7h2h Ad7d6h4d2s QdTh6s5c2s Th8c7s5d3d 
AcQd6s3h3d KhQh8s2s2c KcJc8c5d3c QsTs7s5s3d 
Kd9h4d3h3d As9c8h6h4h KdQs9h3c2d Td8h6c4d2s 
Td8d6s5h3d Ac9d5c2s2h QcJc4d4c3h AcQd9h2s2d 
Js9d8c5c2c Jc8h8d4s4h Qc9h4d4c2h Jc9d5s5h3h 
KsTs5h3s3c 9d6c5d4s4h Qh9c7c5d4c As8h7s3c2d 
QhTc7d4c3c KdQh9c4s4d Kh4c3d2h2c Kh6s6h3h3c 
Ac6s6h4s2h JdTc7c5c2s AdTs9c5c2h Ad8s7d3h2c 
Td9c6c4s3c Th5d5c4d3c Kc9c8h8c4s 7s7d4d3h3c 
KsQcTd3h2h 8s6h5h3h2s Tc9d5d4s3h KsQh6h6d3h 
Qs8s6d5c3s AsTd7d4d3d KcQc6h3d2s 9s8s8d6s2h 
QcTd6h5h2s QsTs9c5s2s Ah8h4c2s2d AdJd8d4s2d 
ThTd9c3d2d Ts6c5h4d3s Td7s7h4h2s Kc5s5d4d2s 
AdQc7h3s3c QsJh9c4h2d Ks7d5h5d4c 7c6s5d4s2h 
Ks4d3d2s2c 9s7s4s4c3c KdTc9h5s2h 6s5s5c4h3d 
Jh7h6s4d2d Js7s6s6h5s Qc9d7d5h4d Qd8s6h4h2s 
QcJh6c4s2c As9d6c3s2h As7s6d4s2c Jd8d5s3h2h 
KhJh8h4d3c QsTd7s3s2d QdJh9c4c3c Kd8h7c4s3d 
QdJc5s2h2d KhJh9h8s2h Kd9s9d6d4d AsQh8d4c2h 
AhQh6h5h3h KdJc9h4c3c Jd9s9h6c2d AsJc8h4d3h 
Td9s4d3h2h Ac7d6c3s2h Kd4s3h2s2d Jh7h5h4d2d 
Jc9c4d3h2d Ad9s9h6d2d 7s6c5h4h2d QdTh8h6h2h 
QdJh5s2d2c As8c7h5h3h Qd9s5s5c4h JcTh5c4c2c 
AhQc5c3d2s KsQd9d8c3d Qh7c5h5d2c Tc8s8d7s3h 
KsQs9s7h4s Tc8d6s5h3s 6h5s5c2s2d AcQc9c7c4c 
Th7c6h4d3h As7s7c4s2h KsQc8c5c2d Ks7h5h5d4c 
8d8c7h6s2c Qc8h5s5h2s ThTc8c5d2c AsJh8c4d2h 
Kc8s6d5c2c 9c7d6d5h2s Kc7d6s6h4s 8d7h5s4c2s 
QcTs7d4h3d Th8h5s5d4h As7c5d5c3h Jc9s9h6d2c 
QcJh5s3h2d Qc8s8c4h4d AdTh8s4h2h Qc9c5d2d2c 
Td5s4d4c3s JcTs4d4c2h AsTc8d3h3c Th8s8d7s2c 
Jh9d6h4d2h KdTh8h6h2s 9h8h8d4s4h KsKhKd6d3s 
Js9h8s6s3d Kd9h7s6s3s TsTh8d5d2d 7s7c4s3h3d 
9s7h5h4h4d Js8h5c3h2s QcTs6c4c2h 9s9d7d5d2h 
QsJc8h7c3c Tc9h3c2s2h Kc6s5s5h4d QcJs9d7h2s 
JhTc6d5d2s 9h9c7s6h2d Js7h6d5c3h QhTs6s5d2s 
Qs9s8c5s2h Jc9d7h4h2d Ac9h8s4s2h Ks9s8d6c3s 
AcKc8c4d3c Qd7c4d3s3c KhJd7d4s4c Ks9c8d6c4c 
Th9d4h3s2s AsQh5c3d3c Th8h7h6s3h Th7s7d4d2s 
Th5s4h4d3d QdQc7h4s2d QsQc9c7c2c 9d5d4h4c3h 
AhTc8s4d2c KcJd5s3h3d Tc8s7s5h3s Qs9h9c6d3d 
Qh8d6s4d2s QcJs8s6h2s JhTd6h5h2s Qh6d4h4c2d 
QcJs9d4s2h 8d6c4d2d2c Qs9d8h6d2c Ad7d6d5d4d 
9s6s6h5c3s Qc7d5h5c4c QsTs6d3s3c KhQs8d7c3s 
9c8h7c5c3c Tc9s7d4d3h QcTs5h4d2s Td9d7d6h2c 
Js9s5h5d4s Td9d3c2s2c Qc8d5h5d2h Ad8c7s5c3c 
Jd7h6c5s3s 9d6h6c4d2h KdJc5c4c2s Tc8d5s4h4d 
Qc7s7d6c3h Ks8d4s4h2d Qh6h6c4h2c KsJd8d5d5c 
Kh8h7h6h4h Qd8s6h6d3c 8d4s4d2s2h Jd7d5d4c2c 
Ts7s4d3s3d Tc9h7d4d3d 9d8c7s7h4c Jh8c7d5c3s 
Jc7d6s6h4h Jc9h5d5c3c QhTs7d4c3d JhTs5h2h2c 
KdJd7s2s2c Ac9h8h8d2s JdJc7h3h2d Tc7d6d4d3s 
Kd9h8s7d3d 9s6s6c5d3s Ac9c8h4d2c QsJd9h6d2d 
Tc8d5d4s4h KcQh4h3h3d Ts7h7c2s2h Qc9s8d6h3d 
9s7d5c3c2d 9s6s5s5h3c Kh4c3h3c2s AsKd3s3d3c 
AsQh5h3d2c JhTh9h6d2h KsQsJc8s3s 6d6c4c3d2d 
AdKd7c2h2d KcQc8h6c2d Jd9h7s3d2h KsTdTc7c2c 
JhTc5s3h2d QdJh4s4c3h JcTc6h5s2c Kd8s8h7c4s 
8d8c7d3s3h Th9h7s3d3c Td8s6s4h3c 8h7s6s4s3d 
Qc9h8h6d2s Tc6s4s4c3s 8s8d7h6h3h As8s8d7s2s 
7d7c5s4c2h 8d7h7c4s3c Ks6s6c4d2h Jc6d5h4c3s 
Th9h7d6h2c AdQd9d7d4d Th9s7c6d2s KdQs9d7d3d 
Ks6s6d5s2c Jh7d6s6c4c 7h7c4h4d3h KsQs5s4c2s 
JcTc6s6d2h 9d6h5d4s4c AcJc5c3d2h Th9s8d5c2c 
As8s4h2d2c Ks7d6h6c4h Tc8s8h5d3h QsJd8c7d3d 
Jd9s9c5s2s Th6h6c5d4h Tc5s4d3d3c Ts9s5h4s4c 
Jh8s4d2s2h 7c6h5s5h3h Qc9c8s8c4d Th6h5c4d3s 
AhJd8c3s3d Jh8d4h3d3c QhTd4s4h3h KsTs5d3s3c 
Qh8h8d4s4c Ad7s5h4s3c Jh9s8h6h3c JsJh8d6c2d 
7c5s5h2h2d AcQs6s4h2d QsQh7d4c2h Ts9c3d2s2c 
QhJsJhJd9s Td5c4s4d3c Qs9s5s4h3c QcJd8c5c2c 
6c5h3d3c2d AsJc8d6d3h Td9c5h4h3s KdJs7d4h2c 
9c6h5s5c3d QdTs7c6d2d Kd9c8s6c4c KcTh7c4c3c 
7s7h6d3s2d Kc8c6c5d5c Ts9s8h2d2c KdQd8h6d2c 
Kc9h8c4h2c 9d7d6c2d2c AdKd9d3s2h Qc9h5h4s2s 
JsTs8s6d2s Jd7s7c6d4d Kh9c6c3h2h Ad8c6h5h3s 
AcJd9s4h3h Ts9c6h5d2s 9h9d3h3d2d KhQs8c5s3s 
Qc8c6d3s2s KhTs6s6c3s QdJs8h7s3s AsQd9c2h2d 
Jh9s5c4c3d QcJs5d3h3d AcJd9h7h2h 9c6h6c5d3c 
KhJd5d4d2c Js8s6h6c4s QsQh8d7d2d Ks7d5d4h3c 
9d7h7d3d3c Ad9d8d6d3h 9h7c5s3s3d JsTc5d3h2s 
Kc8d4d2h2c 9h8c4s3h3c Qc9c8s6h2c 9s8s7c6h2s 
AcJd8d6h3d Kc8s8d5c2h Qs9s9d4d2s AdTd7c3d2s 
TsTd6h6c2s Ac7s7h4s2h Ts8d6c5c2h AcQd4s4h2d 
Kh9s8c5s4d JdJc5d4d2s Th8h5s3d2s Tc9h7s4h3h 
Qc8d7c5s5c Th9c4c3h2c 9h8s8h6h2d 9c6d5d4d3h 
8s6s6c3c2h KhJhJd6h2h Ah9s8c6d3d Td8s8h7h2c 
QcJh8s4d2h KhTs5h3d2c KhQd9d7c2s 6h5h5d4c3s 
Js8d4h2s2d Qd8s7d5h5d KcQh3d3c2s KsQsJs9s3s 
KcTd5s2h2c KsJh7s4d2c 7s5c4h3s2h Jd8h8c4s4h 
QcTd9h7s2s Ts9d7c4d3d AhQd8c6s3s Kh8s6h3s2s 
6h5s3h3d2d Qh9d8c5s3d KsQs8s5d2c Ah8d4h3d2h 
8c6c5c4s4c KsTh8h8c2d Th5d4c3h3c AcQc8d4c3c 
Qh8s4h3s3c Jd6d5c4s4h Td9d5d4s4c 8c7h6h4h3d 
KcQd9h3s2c Ad8h8d6d3d QsQc9h4h2d Qs8c5d3d2s 
AhKh9h3d2c Qd9d8h5d2c AhTd6c4s3d Ad9c7s6h3h 
9h9d8s5h2h Qs7d7c5d2c Ts8s8h4c3d KdQs9h7c2s 
Qh8d7h4c2c 9s7c5h4d3h Ad9h8h3c2c Qc9h7s5s3d 
KsQs8h5d2s KdQd8c2h2c QcTs9d4d2d Ts8d8c6d3d 
8h5s4c2s2c Qd9s8h6c3h Qh9s9h4c3d 7c5s4d3d2s 
AdQs6c3s3h Jd9c7h3h2d 7s7c5h4c2d Kh8h7c4s4d 
Td8d7s5c2h 8s6s6c3d2d Qs9s8s8h4c Th8d7s6h2c 
As8s6d6c2s 9s8d4h3s3d KdJs9h8h3h 9s8h7s5s3s 
9c8h8c5c2d Kh9c7s7h3h ThTd7c6d2s 9s9d5h4c3c 
JhJd8c6s2c Jd9s7c4c2s Jc9s8s6s4s AcQc9c3s2h 
Qc8h6s4h2s 9d6d4d4c3c Jc9h7s3s2c Ad5h3d2s2c 
QsJs7h3h2d KsQs8c6s2d AdKd9d4h4d 9d8d6h4s4c 
Js4h4d2s2d Ac7h7d4d2h 6h5d5c2s2c Qc8h8d7d4s 
KsTd8d8c2h Qs9h8c6c2d Th8d5s2s2d Qd9c8h6c2s 
Qh8s6s5c3d Td8c5h4s4c Td9h6c3s3c Ad9d8d5d2h 
Ad9s9h8c3c Td8c7c3h2d AsJd8c4h3c 9c8c6c4s4d 
ThTc8d5s2d TsTc9d3c2c Jc9s7c4s2s KhQd4h2s2c 
Jh9d5s5c3c QcTd6c4c2h KhJs7s4d4c QhTc5d5c3c 
KcQd9h8s2s 9d8d8c4h4d Ad7h6d3s2c Kd8c7h6d2d 
Ts9d7c6c2c QdTc7s4h3h 9c8s5h5d4c 5s5h4h4c3d 
Kh8d6h6c2s QcJc9c7s2h As9s8s4h2d 8s8c7s2h2d 
Kc9h9d7h4h Th8h8c7d3h 7c5s5d2h2d AhTd8s4d2d 
QsJc5h5c2d QhJh4c3h3d 9d7s6c4d3d KsQd9c3h2s 
Kh8d8c5h2s KsJs6s4s4d JsJdJcTs8d QcTs8h3d3c 
KhQd8s7c3d KsJh8h7d2c AhKh8s3h2d Ks7s6d3c2d 
QcJc7h3h2s Td9d6d4d3h AcQc3h2d2c 8s7s7c5h2d 
9s7s5s4d3h Qd9d5h5d2h JsJh8d5d2d QhTc6c5d2c 
9h8c7c6c3c KhTc8d6c2c AsKs9s3c2d Ad9c8h6h4h 
8c6s6c3d2d JsTc7s7h2d AdQc6c4h2s Ks9s8c5s5d 
Jh9h4s3d2s Qc9h7h6h4h QhQcJh7h2h Kd9c7s6s3s 
Js8h6h3s3h KcQh8d5c2c KcQc5c3s2h Ah7d6s4h2h 
JcTs7d5c2c QcJc9c7s2d Jd9c5h4s4c Td9h5c4s3c 
Ts8d5d4h4c Ah9d8s6c3c 8c7s7c5d2h AhJh8d3h2s 
Kh9h7h4s2s Ts8c6d5d2h Th8s8d7c2h JhTd7s5s2c 
Ad7s6d3h2c KdQs8c4h3d 8d8c7s6h2c 9h8d5c4s4d 
Ad7d4h3d2h As9h8d5d3c AsQs9d3c2s KcJh9s4s3s 
KhTc5h3d2s TsTc8h5d2h QcJd8d6h2d KdTh9c4s2h 
AhJs5c4d3d Qs7h5s5d4s Ts6s6d5c4s QdTc6s4s2h 
QhQd9s3d2d Jc9h8c6c3d Qc8d8c6s3c 7h6s6h5d2c 
Jc8h5s3h2c Jh9h8c3h2c Kc7c6s3h2s KcThTc3c2s 
9h8h6d4s4c Kc8d6c5h2c Kc9s8c3s3c Ts7s6d4d2s 
Jc4d4c2h2d Jd8h5h5c4h Jc8s5s5h4s KcQh8c4d3s 
Js9s8c6h3s Ad6h6d2d2c Tc9d8d5d3d KcJd8d7s2h 
Ts7d7c4d2c KsTh6d5c2h 8s7d7c5s3s QcTc7c5c3d 
9s8d5h4d4c 9d6h5s5d3c Js9c8d6h3d Qh6h5d3h2d 
Jh4d4c2h2c Tc9d8c7c3c Kc8h7s4d3c 9d8s7d3c2s 
As8d7s3h2c Ad7c6d2s2h KsTsTc3s2d Qc8s8d7s4h 
Kc9c7c4d2d KsTd6c3d2c KsQs5h2d2c Jc9c8c3h2h 
KhQsQc7d2d Ts8d8c7c3h KsJc9c4d3c Tc8d8c7h3c 
Qs8d4c3s3c QsTs9s5s2h AdQh7c3s3h AsTs6s4c3s 
Jh9h8h6d2s KsQd9s7s3s Ah8s7h4h2c Ts8s6d3h2d 
Qh5h4c2s2c Kh9h8h6h4c 7d5h4c3c2h Th7h6s6h3d 
AsJd8c4c3h KcJd4h2s2c QdTh6d4d2s Qd9s4d4c2s 
Jh9h6d4c3s Td8d6h5c3d Qc8c6d5s3c Js9c8h6d3h 
Qs8c4s4h3c 9h8d7s6d2d QdQc7s5s2h AhTs8c5c2c 
Js6c4c3s3d 9s6d5d4d3c QsTd6h5h2c AdJs8s6h3s 
9h5h4s4c3s Qc8h6s4s2h Qs8d6s6h3c Ah9s9d5s4s 
AhJs8d4c3d 9h8h7h6h3c KhJh4s3d2c Kc9h8s6h3d 
9c8h8c6d2c Th6c5d4h3s AhJs7s5s2d Kd6d5s3c2h 
Kd9c7d5d3d 9d6h6c4d2c 9c7s6s3c2s 9d9c8h7h3s 
KhTd5h4h3h Jc7c6s4d2d TsTd6h3s2h QcJc7c5c3h 
Qh7s5h5d2s 9d7d6h4c3d Qh8c7c2h2d AdQs9s6s3s 
AhQc8d4c3c As7d7c3s2h Js8d5d5c4d Qd9s6d6c2h 
Jh9c8d5d2d QcJh8h4s3h As5d5c4s2s QdJd4s4d3h 
Kh9c7s7c2s Qc5d4c2s2d Qs8h7s4h2h Ts9h6d5h2c 
QdQc7h4s3h Ts8s8d4h3c AhJs9d7d2d QhTd6h4h2s 
As6d5h5c4d 9s9d8d7c3d Js9s5d3s2d KsQs5s3c2d 
Kc7s7d6s4s Th8h5c4h4d ThTd6c3d2c Td7h5h5c4s 
KsQs6s5s2d KdJc5c4c2h AdQd3h2d2c Kc5h4d3h3d 
Jh6s5c4h3d Kd6d6c4h2s Jc8d6c3h3d AdJs5c4h3h 
Jc9s9h2s2d KdJd9d8c2d KhJc8c7s2d Kc9s9c8c3h 
AhKh9h3s2d QcJh6c4d2c Kh6s5h3h3d AhTs6s4d3c 
Qh9s9c6d3d Tc5d4s3s3c Js9s7c3c2h QcJd5s3d2h 
AsQh9c2h2d 6d5s5h2s2c KhQh8h6h4h Qd8d6c5s3d 
Qs7c5s5h2c KdQd5d3h2c AcJh9s7s2s Qs6s5h4s4c 
6d5h5c2s2h KsJs4h3s3d Ac6h6d4h2d 8s7d4s2d2c 
AhTsTh4h2h Qs8s8c5h2d 9h5h5c3s3d As7h7c3d2s 
Td9h7h6h2c Ad9h6s4d3d Tc8s5c2s2c 9c7h5h4h3d 
AhQc9d5s2s AdQh7h6c2s QsJs9s7d2c QdJd9d9c2d 
QsJh8d4c2h Qh9s7c5d5c Qs9c7h5h3d Jc7h5h4d3s 
Jh8s4h3s3c QhJh9s3h3c QsTs9s4s4c QsQd7h4c2d 
Qh8c5h4s4d 9c7h5c3h2c Th8h7s5c2d Qd9c8d6h2d 
Js6h5d4s3c AcJc8s3c2h QhJd6s5c2c KsJh9c4h3h 
KsTh6h6c3h QhTs7h3h2s Ac7c6s3d2h JhTc6s6h2d 
KhTsTh3h2c AhQc6c4d2s Ts8s8d7c3s 9d9c8d7d2s 
9h5h4s4d3s Kc8c7s6h3c Jh7d6s5c3d JcTc6h3d3c 
Ac9h9d4s4d Jh9c7c4h2h AhKh7d3h2s 8s7h7d4c3d 
KcJc7h5s2c Qc9d8h2h2d Ad7s7c4s2c Kc9c8d6s3c 
Qs8d6h4d2h Jc8d7h5s2c JhTc7s5s2d AcKh9c6c2c 
Qd9d8c5h2d QdTc9s3h2s Qh9c6s6c4d Tc9d7h4h3h 
9s8d6s5s2s AdTs7c3c2s 6h6c4c3h2c QsTc7s3s2c 
9s8d7h5c2h Ad6h6c4c2h 8d6d6c3h2h AcKs5s3s2s 
As9d6h6d2h QhTd6h4h2c QsTh8d4c3c KhQs8d5s3s 
Kc9h6c5c3c Kd8h7s4c3d Js4d4c2s2c Kc8d6s6h3c 
9h7s5s4s3c Qs6h6d5s3s Jc6s5h5c4d Kc9s9c8h4c 
Ad8s7c5c3c QdQc9s3d2d Js7h4c3s3c Jd8h5c4d2s 
KsTs8d4h2s 9d7s5h5d3d Qd9h8h6s2c Kh8s8c6h2d 
KhQh8d4c3s KhQs9c4h4d Ad8d6s6c2d TsTh6c3s2c 
Jh8c4s4c3h 8s7s6d6c3h Kc8s4d4c2s Qs7h7c5h2c 
KhJc6c5d2c AsKs7c2s2d Jh8s6h3s3c KdTs5s4s3c 
Tc8h8d6h3h Qc9h8c7s2d Jh9h8c7s2h QcJd6h4s2d 
Ks9s7s4d2d QdTh5s5h3h Ad8d4s2h2c AcTd9s5s2h 
KhQd9c8s2s Ad5s4h4d2d Td7c6c4h3c Js7h4h4d3s 
QhTc7c2h2c ThTd8d5s2d Jd8s5d4c3h AhJd8s3d3c 
Ah9d8c5s2c AdQc7s3h3c Qc9h7s5h4h Ac7c6d3h2s 
Kd6h5s3d2c Qc8c5s5c4d Ks8d6c4c2d Td9d7c6d2h 
KhJs7c5h2h Jh9h8c6s3h Tc7s7h6s3s Ks6s6c3s3d 
